Burannaya	id=g:570887
Bugry	id=g:571190
Bugry	id=g:571191
Bugry	id=g:571192
Bugrovskiy	id=g:571193
Bugrovskiy	id=g:571194
Bugrovskiy	id=g:571195
Bugrovoye	id=g:571196
Bugrovo	id=g:571197
Bugrovka	id=g:571198
Bugrovka-Klyuchevaya	id=g:571199
Bugrovka	id=g:571200
Bugrovka	id=g:571201
Bugrovka	id=g:571202
Bugro-Klyuchi	id=g:571203
Bugrino	id=g:571204
Bugrino	id=g:571205
Bugrino	id=g:571206
Bugorskiy	id=g:571207
Ostrovki	id=g:571208
Bugorki	id=g:571209
Bugor	id=g:571210
Bugor	id=g:571211
Bugodak-Uyskiy	id=g:571212
Buglen	id=g:571213
Bugino	id=g:571214
Bugda-Tapa Gora	id=g:571215
Bugazskoye Girlo	id=g:571216
Bugayevka	id=g:571217
Bugayevka	id=g:571218
Bugaroy	id=g:571219
Buganak	id=g:571220
Buganak	id=g:571221
Bugalysh	id=g:571222
Bugal’skoye	id=g:571223
Bugakovskiy	id=g:571224
Bugabashevo	id=g:571225
Budzi-Varyash	id=g:571226
Budyrovka	id=g:571228
Budyni	id=g:571229
Budym	id=g:571230
Budylgina	id=g:571231
Budylga	id=g:571232
Budylevka	id=g:571233
Budyanka	id=g:571234
Budyaki	id=g:571235
Budy	id=g:571236
Budy	id=g:571237
Budy	id=g:571238
Budvenets	id=g:571239
Budushchevo	id=g:571240
Sovkhoz Budushcheye	id=g:571241
Budul’chiner	id=g:571242
Budskiye Vyselki	id=g:571243
Budrinskaya	id=g:571244
Budrino	id=g:571245
Budrino	id=g:571246
Budrino	id=g:571247
Budovo	id=g:571248
Budovka	id=g:571249
Budovizh	id=g:571250
Budomitsy	id=g:571251
Budogoshch’	id=g:571252
Budochki	id=g:571253
Sovkhoz Budnyanskiy	id=g:571254
Budnitsa	id=g:571255
Budnitsa	id=g:571256
Budnitsa	id=g:571257
Budnëvka	id=g:571258
Budnetskiy	id=g:571259
Boloto Budkovskoye	id=g:571260
Budkovskiy	id=g:571261
Budkovo	id=g:571262
Bud’kovo	id=g:571263
Bud’kovo	id=g:571264
Budkovo	id=g:571265
But’kovo	id=g:571266
Budkov	id=g:571267
Budki	id=g:571268
Budki	id=g:571269
Budki	id=g:571270
Budki	id=g:571271
Budkachëvo	id=g:571272
Budka	id=g:571273
Budishchi	id=g:571274
Budishche	id=g:571275
Budishche	id=g:571276
Budino	id=g:571277
Budino	id=g:571278
Budimirovo	id=g:571279
Budimir	id=g:571280
Budilovo	id=g:571281
Budilovo	id=g:571282
Budilovo	id=g:571283
Budilovka	id=g:571284
Budilikha	id=g:571285
Budevichi	id=g:571286
Budënyy	id=g:571287
Stantsiya Budënnyy	id=g:571288
Budënnyy	id=g:571289
Budënnyy	id=g:571290
Budënnyy	id=g:571291
Budënnyy	id=g:571292
Budënnyy	id=g:571293
Budënnyy	id=g:571294
Budënnyy	id=g:571295
Budënnovskiy Rayon	id=g:571296
Budënnovskiy	id=g:571297
Budënnovskiy	id=g:571298
Budënnovskiy	id=g:571299
Budënnovskiy	id=g:571300
Budënnovskiy	id=g:571301
Budënnovskiy	id=g:571302
Budënnovskiy	id=g:571303
Budennovskaya	id=g:571304
Budënnovskaya	id=g:571305
Budënnovsk	id=g:571306
Budënnovka	id=g:571307
Budënnovka	id=g:571308
Budënnovka	id=g:571309
Urochishche Budënnovka	id=g:571310
Budayevskiy	id=g:571311
Budayevskiy	id=g:571312
Budayevo	id=g:571313
Budayevo	id=g:571314
Buda Vtoraya	id=g:571315
Buda-Vovnitskaya	id=g:571316
Staraya Buda	id=g:571317
Buda Staraya	id=g:571318
Stantsiya Budassi	id=g:571319
Budarki	id=g:571320
Budarki	id=g:571321
Budarka	id=g:571322
Stantsiya Budarino	id=g:571323
Budarino	id=g:571324
Budarino	id=g:571325
Budarin	id=g:571326
Budarin	id=g:571327
Budarin	id=g:571328
Budarin	id=g:571329
Buda-Ponurovskaya	id=g:571330
Buda Pervaya	id=g:571331
Budanyar	id=g:571332
Boloto Veryazhskiy Mokh	id=g:571333
Budanovo	id=g:571334
Budanovka	id=g:571335
Sovkhoz Budamshinskiy	id=g:571336
Budamsha	id=g:571337
Buda-Monastyrskaya	id=g:571338
Buda	id=g:571339
Buda-Koretskaya	id=g:571340
Budakhino	id=g:571341
Budagovishchi	id=g:571342
Buda	id=g:571343
Buda	id=g:571344
Buda	id=g:571345
Buda	id=g:571346
Buda	id=g:571347
Buda	id=g:571348
Buda	id=g:571349
Buda	id=g:571350
Buda	id=g:571351
Buda	id=g:571352
Buda	id=g:571353
Buda	id=g:571354
Buda	id=g:571355
Buda	id=g:571356
Buda	id=g:571357
Buda	id=g:571358
Ruchey Buchnukha	id=g:571359
Buchnëvo	id=g:571360
Buchnyata	id=g:571361
Buchkovo	id=g:571362
Buchki	id=g:571363
Buchikha	id=g:571364
Buchevo	id=g:571365
Bucharova	id=g:571366
Buchalki	id=g:571367
Bubyl	id=g:571368
Bubyl	id=g:571369
Bubyakovo	id=g:571370
Bubrovo	id=g:571371
Buborino	id=g:571372
Buborino	id=g:571373
Bubolevo	id=g:571374
Bubnovskoye	id=g:571375
Bubnovskiy	id=g:571376
Ostanovochnyy Punkt Bubnovo	id=g:571377
Bubnovo	id=g:571378
Bubnovo	id=g:571379
Bubnovo	id=g:571380
Bubnovo	id=g:571381
Bubnovo	id=g:571382
Bubnovo	id=g:571383
Bubnovka	id=g:571384
Bubnova	id=g:571385
Bubkovshchina	id=g:571386
Bubidon	id=g:571387
Bubenovo	id=g:571388
Bub	id=g:571389
Bub	id=g:571390
Bub	id=g:571391
Buady-Bash	id=g:571392
Stantsiya Bua	id=g:571393
Bryzgovo	id=g:571394
Bryzgovo	id=g:571395
Bryzgovo	id=g:571396
Bryzgalovo	id=g:571397
Bryzgalovo	id=g:571398
Bryzgalovo	id=g:571399
Bryzgalovo	id=g:571400
Bryzgalovo	id=g:571401
Bryzgalov	id=g:571402
Urochishche Bryzgalikha	id=g:571403
Bryuzli	id=g:571404
Bryushli	id=g:571405
Bryushkovo	id=g:571406
Bryushki	id=g:571407
Ostrov Bryusa	id=g:571408
Mys Bryusa	id=g:571409
Bukhta Bryusa	id=g:571410
Mys Bryunn	id=g:571411
Bryumbel’	id=g:571412
Bryukhovo	id=g:571413
Bryukhovo	id=g:571414
Bryukhovo	id=g:571415
Bryukhovo	id=g:571416
Bryukhovka	id=g:571417
Bryukhovitsy	id=g:571418
Bryukhovetskiy Rayon	id=g:571419
Bryukhovetskaya	id=g:571420
Bryukhovaya	id=g:571421
Bryukhatovo	id=g:571422
Bryukhanovskoya	id=g:571423
Bryukhanova	id=g:571424
Bryukhanov	id=g:571425
Bryukhachikha	id=g:571426
Bryukhachikha	id=g:571427
Brytova	id=g:571428
Brysino	id=g:571429
Bryntsy	id=g:571430
Bryn’kovo	id=g:571431
Brynka	id=g:571432
Brynitsy	id=g:571433
Brinitsy	id=g:571434
Bryndino	id=g:571435
Brynchagi	id=g:571436
Raz”yezd Bryn’	id=g:571437
Bryn’	id=g:571438
Bryn’	id=g:571439
Brylino	id=g:571440
Stantsiya Brylëvo	id=g:571441
Brylëvo	id=g:571442
Brylëvo	id=g:571443
Brykovy Gory	id=g:571444
Brykovo	id=g:571445
Brykovo	id=g:571446
Brykovka	id=g:571447
Brykino	id=g:571448
Brykino	id=g:571449
Brykino	id=g:571450
Starobrykino	id=g:571451
Brykin Bor	id=g:571452
Bryki	id=g:571453
Stantsiya Brykanovo	id=g:571454
Brykalov	id=g:571455
Brykalansk	id=g:571456
Brychevo	id=g:571457
Bryaussu	id=g:571458
Bryasletsovo	id=g:571459
Stantsiya Bryantsevo	id=g:571460
Bryantsëvo	id=g:571461
Bryantsëvo	id=g:571462
Bryantsëvo	id=g:571463
Bryanskoye	id=g:571464
Stantsiya Bryansk-Orlovskiy	id=g:571465
Stantsiya Bryansk-L’govskiy	id=g:571466
Bryanskiy Rayon	id=g:571467
Bryanskiye Lipyagi	id=g:571468
Bryanskiy	id=g:571469
Bryanskiy	id=g:571470
Bryanskiy	id=g:571471
Stantsiya Bryansk-Gorod	id=g:571472
Bryanskaya Oblast'	id=g:571473
Mys Bryanskaya Kosa	id=g:571474
Bryanskaya	id=g:571475
Bryansk	id=g:571476
Bryansk	id=g:571477
Bryankustichi	id=g:571478
Bryanovka	id=g:571479
Bryan’kovo	id=g:571480
Stantsiya Bryandino	id=g:571481
Bryandino	id=g:571482
Stantsiya Bryanchaninovo	id=g:571483
Bryanchaninovo	id=g:571484
Bryanchaninovo	id=g:571485
Bryakunovo	id=g:571486
Bryachkovo	id=g:571487
Brutovo	id=g:571488
Brut	id=g:571489
Brusyana	id=g:571490
Brusyany	id=g:571491
Brusyanka	id=g:571492
Brusyanovka	id=g:571493
Brusy	id=g:571494
Brusun	id=g:571495
Brusovoye	id=g:571496
Brusovoye	id=g:571497
Brusovo	id=g:571498
Brusovitsa	id=g:571499
Brusovets	id=g:571500
Brusovets	id=g:571501
Brusovets	id=g:571502
Brusova	id=g:571503
Bruslyanka	id=g:571504
Brusny	id=g:571505
Brusnovolovskiy Pogost	id=g:571506
Ostrov Brusno	id=g:571507
Mys Brusninskiy	id=g:571508
Brusnichnaya	id=g:571509
Brusnichnyy	id=g:571510
Brusnichnyy	id=g:571511
Brusnichnoye	id=g:571512
Urochishche Brusnichnoye	id=g:571513
Brusnichnyy	id=g:571514
Brusnichnaya	id=g:571515
Brusnichka	id=g:571516
Brusna	id=g:571517
Brusna	id=g:571518
Brusna	id=g:571519
Bruslanovka	id=g:571520
Bruski	id=g:571521
Brusilovskoye	id=g:571522
Gora Brush-Syrty	id=g:571523
Brusentsevo	id=g:571524
Brusentsevo	id=g:571525
Razvaliny Brusentsevo	id=g:571526
Brusentsovo	id=g:571527
Stantsiya Brusenitsa	id=g:571528
Brusenets	id=g:571529
Ozero Brus	id=g:571530
Brus	id=g:571531
Brus	id=g:571532
Brunnikovo	id=g:571533
Brunikha	id=g:571534
Urochishche Brukol-Bash	id=g:571535
Brukol	id=g:571536
Brui	id=g:571537
Borozdënki	id=g:571538
Sovkhoz Brovtsino	id=g:571539
Brovtsino	id=g:571540
Brovskiy	id=g:571541
Brovsk	id=g:571542
Brovnya	id=g:571543
Brovnichi	id=g:571544
Brovkino	id=g:571545
Brovki	id=g:571546
Brovka	id=g:571547
Brovenino	id=g:571548
Brosovo	id=g:571549
Ozero Brosno	id=g:571550
Ostrov Brosh	id=g:571551
Brosachikha	id=g:571552
Mys Brorok	id=g:571553
Brontsy	id=g:571554
Bronskiy Vatras	id=g:571555
Stantsiya Bronnitsy	id=g:571556
Bronnitsy	id=g:571557
Bronnitsa	id=g:571558
Bronna	id=g:571559
Bronitskiy	id=g:571560
Bronino	id=g:571561
Bronevo	id=g:571562
Krasnyy Bronevik	id=g:571563
Stantsiya Bronevaya	id=g:571564
Ostrov Bromvicha	id=g:571565
Brodygino	id=g:571566
Brody	id=g:571567
Brody	id=g:571568
Brody	id=g:571569
Ozero Brodskaya Lakhta	id=g:571570
Brodovoye	id=g:571571
Brodovichi-Zapol’ye	id=g:571572
Brodovoye	id=g:571573
Brodok	id=g:571574
Brodnikovo	id=g:571575
Brodniki	id=g:571576
Raz”yezd Brodni	id=g:571577
Brodki	id=g:571578
Brodki	id=g:571579
Brodki	id=g:571580
Brodino	id=g:571581
Brodilovka	id=g:571582
Brodi	id=g:571583
Brodetskoye	id=g:571584
Brod	id=g:571585
Brod	id=g:571586
Brod	id=g:571587
Brod	id=g:571588
Brod	id=g:571589
Brod	id=g:571590
Brod	id=g:571591
Brod	id=g:571592
Briyent	id=g:571593
Brityshi	id=g:571594
Britvino	id=g:571595
Britvino	id=g:571596
Ostrov Britvin	id=g:571597
Mys Britvin	id=g:571598
Gora Britsken	id=g:571599
Britovo	id=g:571600
Britovo	id=g:571601
Britovka	id=g:571602
Ozero Britomlya	id=g:571603
Britino	id=g:571604
Proliv Britanskiy Kanal	id=g:571605
Boriskovo	id=g:571606
Brish-Tamak	id=g:571607
Brishchi	id=g:571608
Brish	id=g:571609
Brin-Navolok	id=g:571610
Brin’kovskaya	id=g:571611
Brin’	id=g:571612
Brilyakovo	id=g:571613
Brilino	id=g:571614
Brilino	id=g:571615
Brikova	id=g:571616
Mys Briketovyy	id=g:571617
Stantsiya Briketnaya	id=g:571618
Brik-Alga	id=g:571619
Brigadnoye	id=g:571620
Stantsiya Brigadirskaya	id=g:571621
Brigadirovo	id=g:571622
Brigadirovka	id=g:571623
Brigadirovka	id=g:571624
Bridino	id=g:571625
Brichi	id=g:571626
Brezhnëvo	id=g:571628
Brezhnëvo	id=g:571629
Berezhinovskiy	id=g:571630
Brezgunovka	id=g:571631
Brezga	id=g:571632
Breytovskiy Rayon	id=g:571633
Breytovo	id=g:571634
Mys Breytfusa	id=g:571635
Ostrov Breydi	id=g:571636
Breya	id=g:571637
Brevnovskaya	id=g:571638
Brevnovo	id=g:571639
Brevnovo	id=g:571640
Brevno	id=g:571641
Brevino	id=g:571642
Brevënnyy	id=g:571643
Brevënnoye	id=g:571644
Ostrov Brevennik	id=g:571645
Kamen’ Brevennik	id=g:571646
Brevënnoye	id=g:571647
Breusovo	id=g:571648
Breslavskiy	id=g:571649
Breslavka	id=g:571650
Brenyashi	id=g:571651
Brennoye	id=g:571652
Ostrov Brenn-Kholmen	id=g:571653
Brenikha	id=g:571654
Brenevo	id=g:571655
Brekhovskaya Dacha	id=g:571656
Brëkhovo-Krest’yanskoye	id=g:571657
Brëkhovo	id=g:571658
Brëkhovo	id=g:571659
Brëkhovo	id=g:571660
Brëkhovo	id=g:571661
Brëkhovo	id=g:571662
Brekhovka	id=g:571663
Brekhachikha	id=g:571664
Mys Brëggera	id=g:571665
Bredki	id=g:571666
Bredikhino Vtoroye	id=g:571667
Bredikhino Pervoye	id=g:571668
Bredikhino	id=g:571669
Bredikhino	id=g:571670
Bredikhino	id=g:571671
Bredikhino	id=g:571672
Bredikhino	id=g:571673
Brazunovo	id=g:571674
Brazino	id=g:571675
Brazhnoye	id=g:571676
Brazhnikovo	id=g:571677
Brazhnikovo	id=g:571678
Brazhnikovo	id=g:571679
Brazhnikov	id=g:571680
Brazhkino	id=g:571681
Kamen’ Brazhkin	id=g:571682
Brazhino	id=g:571683
Brazhino	id=g:571684
Brazgunovo	id=g:571685
Ostrov Braysa	id=g:571686
Mys Braysa	id=g:571687
Brayki	id=g:571688
Proliv Brauna	id=g:571689
Bratyshki	id=g:571690
Brat’yakasy	id=g:571691
Braty	id=g:571692
Bratukhi	id=g:571693
Stantsiya Brattsevo	id=g:571694
Brattsevo	id=g:571695
Brattsevo	id=g:571696
Bratstvo	id=g:571697
Bratskoye	id=g:571698
Bratskoye	id=g:571699
Bratskoye	id=g:571700
Bratskoye	id=g:571701
Nogamirzin-Yurt	id=g:571702
Bratskiy Soyuz	id=g:571703
Bratskiy Soyuz	id=g:571704
Bratskiy	id=g:571705
Bratskiy	id=g:571706
Bratskiy	id=g:571707
Bratskiy	id=g:571708
Bratstvo	id=g:571709
Bratskiy	id=g:571710
Bratskiy	id=g:571711
Bratskiy	id=g:571712
Bratskiy	id=g:571713
Bratskiy	id=g:571714
Bratskiy	id=g:571715
Bratskiy	id=g:571716
Bratskiy	id=g:571717
Bratskaya	id=g:571718
Bratovshchina	id=g:571719
Bratovshchina	id=g:571720
Bratovshchina	id=g:571721
Bratovka	id=g:571722
Bratovishchi	id=g:571723
Bratovets	id=g:571724
Bratonezh	id=g:571725
Bratkovskoye	id=g:571726
Bratkovo	id=g:571727
Bratkovo	id=g:571728
Bratkovaya	id=g:571729
Bratki Pervyye	id=g:571730
Bratki	id=g:571731
Bratishki	id=g:571732
Ostrov Bratinskoy	id=g:571733
Ostrov Bratil’skiy	id=g:571734
Ozero Bratilovo	id=g:571735
Bratel’skoye	id=g:571736
Bratilovo	id=g:571737
Bratilovo	id=g:571738
Protok Bratilovka	id=g:571739
Bratilova	id=g:571740
Brateyevo	id=g:571741
Bratchikovo	id=g:571742
Ostrova Bratany	id=g:571743
Brata	id=g:571744
Brasovskiy Rayon	id=g:571745
Stantsiya Brasovo	id=g:571746
Brasovo	id=g:571747
Braslavl’	id=g:571748
Stantsiya Brantovka	id=g:571749
Urochishche Brandovka	id=g:571750
Branikha	id=g:571751
Branevo	id=g:571752
Ostrov Brandvakhta	id=g:571753
Zaliv Brandta	id=g:571754
Mys Brandta	id=g:571755
Brandrovka	id=g:571756
Brancheyevka	id=g:571757
Braklitsa	id=g:571758
Brakhovo	id=g:571759
Brakhlov	id=g:571760
Brailovskoye	id=g:571761
Brailovskiy	id=g:571762
Stantsiya Braguny	id=g:571763
Braguny	id=g:571764
Bragin Ostrov	id=g:571765
Bragino	id=g:571766
Bragino	id=g:571767
Bragino	id=g:571768
Bragino	id=g:571769
Bragino	id=g:571770
Bragino	id=g:571771
Bragino	id=g:571772
Bragino	id=g:571773
Bragina	id=g:571774
Bragin	id=g:571775
Bragichi	id=g:571776
Bozovo	id=g:571777
Staraya Boznya	id=g:571778
Bozino	id=g:571779
Bozino	id=g:571780
Bozhonki	id=g:571781
Bozhonka	id=g:571782
Bozhkovskiy	id=g:571783
Bashkovka	id=g:571784
Bozhkovka	id=g:571785
Bozhidayevka	id=g:571786
Bozhevodovo	id=g:571787
Bozhenki	id=g:571788
Bozhenka	id=g:571789
Bozhatkovo	id=g:571790
Ozero Bozh	id=g:571791
Bozgon	id=g:571792
Boz	id=g:571793
Ostrova Boyurivo-Shari	id=g:571794
Kamen' Boyun	id=g:571795
Stantsiya Boytsy	id=g:571796
Kobylkino	id=g:571797
Boytsovo	id=g:571798
Boytsovo	id=g:571799
Boytovo	id=g:571800
Boynitsa	id=g:571801
Boylovo	id=g:571802
Boykruchey	id=g:571803
Boykovo	id=g:571804
Boykovo	id=g:571805
Boykovo	id=g:571806
Boykiyevskiy Liman	id=g:571807
Boykoponura	id=g:571808
Boykiye Dvoriki	id=g:571809
Sovkhoz Boyevoy	id=g:571810
Boyevoy	id=g:571811
Boyevoy	id=g:571812
Boyevo Vtoroye	id=g:571813
Boyevo Pervoye	id=g:571814
Ostanovochnyy Punkt Boyevo	id=g:571815
Boyevo	id=g:571816
Boyevo	id=g:571817
Boyevo	id=g:571818
Kolkhoz Boyevik	id=g:571819
Stantsiya Boyevaya Gora	id=g:571820
Boyevaya Gora	id=g:571821
Boyev	id=g:571822
Boyets	id=g:571823
Boyets	id=g:571824
Boyerachnyy	id=g:571825
Boyary	id=g:571826
Ozero Boyarskoye	id=g:571827
Ozero Boyarskoye	id=g:571828
Boyarskoye	id=g:571829
Boyarskoye	id=g:571830
Boyarskoye	id=g:571831
Boyarskoye	id=g:571832
Boyarskoye	id=g:571833
Boyarskoye	id=g:571834
Boyarskiy Yag	id=g:571835
Boyarovka	id=g:571836
Boyarskaya-Gorushka	id=g:571837
Boyarskaya Gora	id=g:571838
