Migliarello	id=g:2524159
Lubrichi	id=g:2524362
Lotzorai	id=g:2524363
Lo Schioppo	id=g:2524364
Lorica	id=g:2524365
Riu Longu	id=g:2524366
Longobucco	id=g:2524367
Longobardi	id=g:2524368
Longi	id=g:2524369
Longbardi	id=g:2524370
Locri	id=g:2524371
Loceri	id=g:2524372
Locati	id=g:2524373
Locadi	id=g:2524374
Litarru	id=g:2524375
L’Isola	id=g:2524376
Torrente Lipuda	id=g:2524377
Isola Lipari	id=g:2524378
Lipari	id=g:2524379
Isola di Linosa	id=g:2524380
Linosa	id=g:2524381
Linguaglossa	id=g:2524382
Lingua	id=g:2524383
Linera	id=g:2524384
Monte Linas	id=g:2524385
Limpidi	id=g:2524386
Comune di Limina	id=g:2524387
Limbadi	id=g:2524388
Punta Limarsi	id=g:2524389
Li Gretti	id=g:2524390
Lido di Mondello	id=g:2524391
Licodia Eubea	id=g:2524392
Licata	id=g:2524393
Librizzi	id=g:2524394
Libertinia	id=g:2524395
Isola di Levanzo	id=g:2524396
Levanzo	id=g:2524397
Punta Levante	id=g:2524398
Leuca	id=g:2524399
Letojanni	id=g:2524400
Letoianni	id=g:2524401
Lercara Friddi	id=g:2524402
Le Pioppe	id=g:2524403
Leonforte	id=g:2524404
Rio Leonaxui	id=g:2524405
Lenzuno	id=g:2524406
L’Entrata	id=g:2524407
Lago di Lentini	id=g:2524408
Fosso di Lentini	id=g:2524409
Lentini	id=g:2524410
Lentina	id=g:2524411
Torrente Leni	id=g:2524412
Leni	id=g:2524413
Le Madonie	id=g:2524414
Le Macchie	id=g:2524415
L’Edera	id=g:2524416
Le Castella	id=g:2524417
Le Caselle	id=g:2524418
Lazzidono	id=g:2524419
Fiumara di Lazzaro	id=g:2524420
Lazzaro	id=g:2524421
Lazzaretto	id=g:2524422
La Volta del Ponte	id=g:2524423
La Volta del Forno	id=g:2524424
Lauropoli	id=g:2524425
Torre del Lauro	id=g:2524426
Monte Lauro	id=g:2524427
Lauro	id=g:2524428
Laurignano	id=g:2524429
Laureana di Borrello	id=g:2524430
Lattarico	id=g:2524431
La Torre	id=g:2524432
La Torre	id=g:2524433
La Taverna	id=g:2524434
Las Plassas	id=g:2524435
La Sila	id=g:2524436
La Scruca	id=g:2524437
Lascari	id=g:2524438
La Scala	id=g:2524439
La Rotondella	id=g:2524440
La Rocca	id=g:2524441
Larderia Superiore	id=g:2524442
Larderia Inferiore	id=g:2524443
Laratta	id=g:2524444
La Punta	id=g:2524445
Lappano	id=g:2524446
La Plaia	id=g:2524447
La Pervolidda	id=g:2524448
Monte Lapera	id=g:2524449
Monte Lapanu	id=g:2524450
La Palombella	id=g:2524451
La Palazzina	id=g:2524452
Fiume Lao	id=g:2524453
Lanusei	id=g:2524454
Landro	id=g:2524455
La Mula	id=g:2524456
Isola di Lampione	id=g:2524457
Isola di Lampedusa	id=g:2524458
Lampedusa	id=g:2524459
Lamia	id=g:2524460
La Matina	id=g:2524461
La Marinella	id=g:2524462
La Maddalena	id=g:2524463
La Lenza	id=g:2524464
Laino Castello	id=g:2524465
Laino Borgo	id=g:2524466
Piano del Lago	id=g:2524467
Lago	id=g:2524468
Laghitello	id=g:2524469
Laganadi	id=g:2524470
La Gala	id=g:2524471
La Foresta	id=g:2524472
La Foresta	id=g:2524473
La Ferrera	id=g:2524474
La Ferrandina	id=g:2524475
La Favella	id=g:2524476
La Fabbrica	id=g:2524477
L’Addolorata	id=g:2524478
Laconi	id=g:2524479
La Chiesa	id=g:2524480
La Certosa	id=g:2524481
Lacecetto	id=g:2524482
Lacchi	id=g:2524483
La Casiola	id=g:2524484
La Callura	id=g:2524485
Labonia	id=g:2524486
La Banca	id=g:2524487
Kamma	id=g:2524488
Punta d’ Izzo	id=g:2524489
Monte Iudica	id=g:2524490
Torrente Itala	id=g:2524491
Itala	id=g:2524492
Ispica	id=g:2524493
Isola delle Femmine	id=g:2524494
Isola di Capo Rizzuto	id=g:2524495
Isnello	id=g:2524496
Is Meddas	id=g:2524497
Isili	id=g:2524498
Ischiaromana	id=g:2524499
Ischellini	id=g:2524500
Isca sullo Ionio	id=g:2524501
Riu s’ Isca de Arcosu	id=g:2524502
Fiume Irminio	id=g:2524503
Iria	id=g:2524504
Ruderi di Ipponion	id=g:2524505
Joppolo Giancaxio	id=g:2524506
Ioppolo	id=g:2524507
Ioppola	id=g:2524508
Ionadi	id=g:2524509
Ioggi	id=g:2524510
Ingurtosu	id=g:2524511
Punta degli Infreschi	id=g:2524512
Porto degli Infreschi	id=g:2524513
Canale Industriale	id=g:2524514
I Mulelli	id=g:2524515
Torrente Immacolata	id=g:2524516
Fiume Imera Meridionale	id=g:2524517
Stazione d’ Imera	id=g:2524518
Imera	id=g:2524519
Riu Imbessu	id=g:2524520
Il Torrione	id=g:2524521
Il Seduttore	id=g:2524522
Il Porcile	id=g:2524523
Il Pagliarone	id=g:2524524
Il Monte	id=g:2524525
Il Faraglione	id=g:2524526
Il Crossetto	id=g:2524527
Il Catalano	id=g:2524528
Il Casale	id=g:2524529
Ilbono	id=g:2524530
Il Baraccone	id=g:2524531
Iglesiente	id=g:2524532
Iglesias	id=g:2524533
Jerzu	id=g:2524534
Ieno	id=g:2524535
Monte Idolo	id=g:2524536
I Casoni	id=g:2524537
Monti Iblei	id=g:2524538
Iatrinoli	id=g:2524539
Monte Iato	id=g:2524540
Masseria Iato	id=g:2524541
Fiume Iato	id=g:2524542
Ianni	id=g:2524543
Fontana Iacolano	id=g:2524544
Gutterie	id=g:2524545
Guspini	id=g:2524546
Lago Gurrida	id=g:2524547
Gullo	id=g:2524548
Guido	id=g:2524549
Gugliano	id=g:2524550
Guasila	id=g:2524551
Guarrato	id=g:2524552
Aprigliano	id=g:2524553
Guardia Piemontese	id=g:2524554
Punta de su Guardianu	id=g:2524555
Riu Guardia Muta	id=g:2524556
Guardavalle	id=g:2524557
Guamaggiore	id=g:2524558
Grugua	id=g:2524559
Grotteria	id=g:2524560
Grotte	id=g:2524561
Portella Grottacalda	id=g:2524562
Grotta	id=g:2524563
Grisolia	id=g:2524564
Grisi	id=g:2524565
Grimaldi	id=g:2524566
Grillea	id=g:2524567
Monte Grighini	id=g:2524568
Monte Grifone	id=g:2524569
Capo Grecale	id=g:2524570
Gravano	id=g:2524571
Gratteri	id=g:2524572
Torre Grande	id=g:2524573
Capo Granitola	id=g:2524574
Granitola	id=g:2524575
Fiume Grande la Noce	id=g:2524576
Porto Grande	id=g:2524577
Montagna Grande	id=g:2524578
Isola Grande	id=g:2524579
Fontana Grande	id=g:2524580
Fiume Grande	id=g:2524581
Gran Cratere	id=g:2524582
Grammichele	id=g:2524583
Fiume Gornalunga	id=g:2524584
Gonnostramatza	id=g:2524585
Gonnosnò	id=g:2524586
Gonnosfanadiga	id=g:2524587
Gonnoscodina	id=g:2524588
Gonnesa	id=g:2524589
Goni	id=g:2524590
Golino	id=g:2524591
Godrano	id=g:2524592
Gizzeria	id=g:2524593
Porto Giunco	id=g:2524594
Rada dei Giunchi	id=g:2524595
Giumarra	id=g:2524596
Giuliano	id=g:2524597
Giuliana	id=g:2524598
Punta Girotta	id=g:2524599
Girifalco	id=g:2524600
Girello	id=g:2524601
Girasole	id=g:2524602
Gipso	id=g:2524603
Gioiosa Marea	id=g:2524604
Gioiosa Ionica	id=g:2524605
Gioia Tauro	id=g:2524606
Golfo di Gioia	id=g:2524607
Gioia	id=g:2524608
Ginostra	id=g:2524609
Gimigliano	id=g:2524610
Gimello ne’ Monaci	id=g:2524611
Gimello	id=g:2524612
Giffone	id=g:2524613
Gibellina	id=g:2524614
Gibbesi Vecchio	id=g:2524615
Fiume Gibbesi	id=g:2524616
Giba	id=g:2524617
Giarre	id=g:2524618
Giarratana	id=g:2524619
Giardini di Gioiosa	id=g:2524620
Giardini	id=g:2524621
Giardini Naxos	id=g:2524622
Giardinello	id=g:2524623
Giardinello	id=g:2524624
Giardina	id=g:2524625
Planu sa Giara	id=g:2524626
Fiume Giancaldara	id=g:2524627
Giamiglione	id=g:2524628
Ghorio	id=g:2524629
Scoglio la Ghinghetta	id=g:2524630
Fiume Ghetterello	id=g:2524631
Gharaca	id=g:2524632
Gesturi	id=g:2524633
Gesso	id=g:2524634
Gesico	id=g:2524635
Gergei	id=g:2524636
Riu Geremeas	id=g:2524637
Geremèas	id=g:2524638
Gerbini	id=g:2524639
Fiumara Gerasia	id=g:2524640
Geraci Siculo	id=g:2524641
Fiumara di Gerace	id=g:2524642
Gerace	id=g:2524643
Genuri	id=g:2524644
Monte Genuardo	id=g:2524645
Genoni	id=g:2524646
Genniomus	id=g:2524647
Arcu Genna Bogai	id=g:2524648
Monte Genis	id=g:2524649
Gemini	id=g:2524650
Golfo di Gela	id=g:2524651
Fiume Gela	id=g:2524652
Gela	id=g:2524653
Gazzi	id=g:2524654
Gastili	id=g:2524655
Gasperina	id=g:2524656
Forte Garzia	id=g:2524657
Garisi	id=g:2524658
Garigliano	id=g:2524659
Gardi	id=g:2524660
Gangi	id=g:2524661
Gambarie d’Aspromonte	id=g:2524662
Gallucci	id=g:2524663
Fiume Gallo d’Oro	id=g:2524664
Gallodoro	id=g:2524665
Monte Gallo	id=g:2524666
Fiumara Gallo	id=g:2524667
Capo Gallo	id=g:2524668
Fiumara Galliporo	id=g:2524669
Gallina	id=g:2524670
Galligianesi	id=g:2524671
Gallico Marina	id=g:2524672
Fiumara di Gallico	id=g:2524673
Gallico	id=g:2524674
Galliciano	id=g:2524675
Galli	id=g:2524676
Galatro	id=g:2524677
Galati Marina	id=g:2524678
Galati Mamertino	id=g:2524679
Galati	id=g:2524680
Galati	id=g:2524681
Taquisara	id=g:2524682
Gairo	id=g:2524683
Stazione di Gagliano-Leuca	id=g:2524684
Gagliano del Capo	id=g:2524685
Gagliano Castelferrato	id=g:2524686
Gagliano	id=g:2524687
Gaggi	id=g:2524688
Fiume Gaggera	id=g:2524689
Gadoni	id=g:2524690
Fuscaldo	id=g:2524691
Furtei	id=g:2524692
Torrente Furiano	id=g:2524693
Furci Siculo	id=g:2524694
Punta Funtana Cungiada	id=g:2524695
Fronte Aguglieri	id=g:2524696
Fiume Freddo	id=g:2524697
Frazzanò	id=g:2524698
Frassino	id=g:2524699
Frassineto	id=g:2524700
Frassi di Mele	id=g:2524701
Frascineto	id=g:2524702
Campo della Frasca	id=g:2524703
Francofonte	id=g:2524704
Francica	id=g:2524705
Francavilla Marittima	id=g:2524706
Francavilla di Sicilia	id=g:2524707
Francavilla Angitola	id=g:2524708
Punta di Fram	id=g:2524709
Fragulo	id=g:2524710
Riu de Foxi	id=g:2524711
Fossiata	id=g:2524712
Fossato Serralta	id=g:2524713
Fossato	id=g:2524714
Forza d'Agrò	id=g:2524715
Fornazzo	id=g:2524716
Fornaci	id=g:2524717
Fornaci	id=g:2524718
Isolotto Formica	id=g:2524719
Fordongianus	id=g:2524720
Forcanello	id=g:2524721
Fontanelli	id=g:2524722
Fontanelle	id=g:2524723
Fondaco Vecchio	id=g:2524724
Fondaco Apostoliti	id=g:2524725
Fondaco	id=g:2524726
Fondachello	id=g:2524727
Fondachello	id=g:2524728
Fattoria Foderaro	id=g:2524729
Focà	id=g:2524730
Fluminimaggiore	id=g:2524731
Riu Flumentepido	id=g:2524732
Fiume Flumendosa	id=g:2524733
Floridia	id=g:2524734
Floresta	id=g:2524735
Fleri	id=g:2524736
Flavetto	id=g:2524737
Fiume Fiuzzi	id=g:2524738
Fiuzzi	id=g:2524739
Stazione di Fiume Torto	id=g:2524740
Punta Fiumenicà	id=g:2524741
Fiumefreddo di Sicilia	id=g:2524742
Fiumefreddo Bruzio	id=g:2524743
Torrente Fiumedinisi	id=g:2524744
Fiumedinisi	id=g:2524745
Torrente la Fiumarella	id=g:2524746
Fittasi Sottano	id=g:2524747
Fitili	id=g:2524748
Firmo	id=g:2524749
Finale	id=g:2524750
Filogaso	id=g:2524751
Filigieno	id=g:2524752
Isola Filicudi	id=g:2524753
Filicello	id=g:2524754
Filemi	id=g:2524755
Monte Filau	id=g:2524756
Filaga	id=g:2524757
Filadelfia	id=g:2524758
Figunni	id=g:2524759
Figu	id=g:2524760
Fiera	id=g:2524761
Ficuzza	id=g:2524762
Fico	id=g:2524763
Ficarra	id=g:2524764
Ficarazzi	id=g:2524765
Ficaia	id=g:2524766
Capo Feto	id=g:2524767
Stazione di Ferruzzano	id=g:2524768
Ferruzzano	id=g:2524769
Monte Ferru	id=g:2524770
Fiume Ferro	id=g:2524771
Ferraud	id=g:2524772
Capo Ferrato	id=g:2524773
Feroleto della Chiesa	id=g:2524774
Ferla	id=g:2524775
Ferdinandea	id=g:2524776
Felline	id=g:2524777
Fazio	id=g:2524778
Isola Favignana	id=g:2524779
Favignana	id=g:2524780
Fiumara Favazzina	id=g:2524781
Favazzina	id=g:2524782
Favata	id=g:2524783
Stazione di Favarotta	id=g:2524784
Favarotta	id=g:2524785
Favara	id=g:2524786
Fattoria Feudonuovo	id=g:2524787
Fattoria Cazzipoli	id=g:2524788
Fatighella	id=g:2524789
Fasano	id=g:2524790
Fasana	id=g:2524791
Faro Superiore	id=g:2524792
Punta del Faro	id=g:2524793
Faro	id=g:2524794
Punta Faraglione	id=g:2524795
Fantini	id=g:2524796
Torrente di Fantina	id=g:2524797
Fantina	id=g:2524798
Isola Fanciulla	id=g:2524799
Falerna	id=g:2524800
Falcone	id=g:2524801
Falconara Albanese	id=g:2524802
Castello di Falconara	id=g:2524803
Failla	id=g:2524804
Fagnano Castello	id=g:2524805
Faghita	id=g:2524806
Fadarechi	id=g:2524807
Fabrizia	id=g:2524808
Punta Eva	id=g:2524809
Monte Etna	id=g:2524810
Esterzili	id=g:2524811
Escovedu	id=g:2524812
Escolca	id=g:2524813
Escalaplano	id=g:2524814
Erice	id=g:2524815
Eranova	id=g:2524816
Provincia di Enna	id=g:2524818
Enna	id=g:2524819
Elmas	id=g:2524820
Elini	id=g:2524821
Fiume Eleutero	id=g:2524822
Eianina	id=g:2524823
Isole Egadi	id=g:2524824
Monte Eccas	id=g:2524825
Torrente Duversa	id=g:2524826
Drosi	id=g:2524827
Drauto	id=g:2524828
Drapia	id=g:2524829
Doria	id=g:2524830
Donorì	id=g:2524831
Donnici Superiore	id=g:2524832
Donnici Inferiore	id=g:2524833
Donn’ Angelo	id=g:2524834
Donnalucata	id=g:2524835
Donnafugata	id=g:2524836
Donisi	id=g:2524837
Donigala	id=g:2524838
Donigala Fenughedu	id=g:2524839
Donigala	id=g:2524840
Domusnovas	id=g:2524841
Domus de Maria	id=g:2524842
Domanico	id=g:2524843
Dolianova	id=g:2524844
Dolcetti	id=g:2524845
Serra Dolcedorme	id=g:2524846
Divieto	id=g:2524847
Fiume Dittaino	id=g:2524848
Diso	id=g:2524849
Dipignano	id=g:2524850
Isola di Dino	id=g:2524851
Dinami	id=g:2524852
Digerbato	id=g:2524853
Porto Dietro Ísola	id=g:2524854
Diano	id=g:2524855
Diamante	id=g:2524856
Fiume Deura	id=g:2524857
Destro	id=g:2524858
Depressa	id=g:2524859
Val Demone	id=g:2524860
Delianuova	id=g:2524861
Delia	id=g:2524862
Decollatura	id=g:2524863
Decimoputzu	id=g:2524864
Decimomannu	id=g:2524865
Davoli	id=g:2524866
Dattilo	id=g:2524867
Dasà	id=g:2524868
Cutro	id=g:2524869
Custonaci	id=g:2524870
Cusino	id=g:2524871
Curinga	id=g:2524872
Curcuris	id=g:2524873
Cuppodia	id=g:2524874
Cumia Superiore	id=g:2524875
Cumia Inferiore	id=g:2524876
Cumia	id=g:2524877
Punta Cugno	id=g:2524878
Cuccumella	id=g:2524879
Crucoli	id=g:2524880
Crotone	id=g:2524881
Crosia	id=g:2524882
Cropani	id=g:2524883
Cropalati	id=g:2524884
Crocevie	id=g:2524885
Croce Valanidi	id=g:2524886
Passo di Crocetta	id=g:2524887
Crocetta	id=g:2524888
Rifugio Croce di Romeo	id=g:2524889
Crivola	id=g:2524890
Cristofano	id=g:2524891
Crisionis	id=g:2524892
Crima	id=g:2524893
Simeri Crichi	id=g:2524894
Bacu sa Cresia	id=g:2524895
Punta Crepazza	id=g:2524896
Fiume Crati	id=g:2524897
Faro di Cozzo Spadaro	id=g:2524898
Cotturella	id=g:2524899
Fiume Cottola	id=g:2524900
Cotronei	id=g:2524901
Costiera	id=g:2524902
Cosolo	id=g:2524903
Cosoleto	id=g:2524904
Torrente Coserie	id=g:2524905
Provincia di Cosenza	id=g:2524906
Cosenza	id=g:2524907
Cosentino	id=g:2524908
Fattoria Cosentini	id=g:2524909
Fiume Coscile	id=g:2524910
Punta del Corvo	id=g:2524911
Corvo	id=g:2524912
Cortiois	id=g:2524913
Corte e Porcus	id=g:2524914
Cortale	id=g:2524915
Marina Corta	id=g:2524916
Fiumara dei Corsari	id=g:2524917
Corsano	id=g:2524918
Torrente Corriolo	id=g:2524919
Corriolo	id=g:2524920
Riu Corr’e Pruna	id=g:2524921
Isola delle Correnti	id=g:2524922
Capo delle Correnti	id=g:2524923
Rio Corongiu	id=g:2524924
Monte Coromedus	id=g:2524925
Isolotto del Corno	id=g:2524926
Stazione di Corleone	id=g:2524927
Corleone	id=g:2524928
Corigliano Calabro	id=g:2524929
Coremo	id=g:2524930
Corazzello	id=g:2524931
Coraci	id=g:2524932
Fiume Corace	id=g:2524933
Copanello	id=g:2524934
Contura	id=g:2524935
Sella Contuberno	id=g:2524936
Colle del Contrasto	id=g:2524937
Contrada San Leonardo	id=g:2524938
Contrada Lacco	id=g:2524939
Contessa Entellina	id=g:2524940
Conocchiella	id=g:2524941
Isola dei Conigli	id=g:2524942
Conidoni	id=g:2524943
Conflenti Superiore	id=g:2524944
Conflenti Inferiore	id=g:2524945
Condrò	id=g:2524946
Fiumara di Condoianni	id=g:2524947
Condoianni	id=g:2524948
Condofuri	id=g:2524949
Concio di Liquirizia	id=g:2524950
Concio di Baracco	id=g:2524951
Comparni	id=g:2524952
Compagna	id=g:2524953
Comitini	id=g:2524954
Comiso	id=g:2524955
Comerconi	id=g:2524956
Colosimi	id=g:2524957
Punta delle Colonne	id=g:2524958
Capo Colonne	id=g:2524959
Valle Colonci	id=g:2524960
Isola Colombaia	id=g:2524961
Torrente Colognati	id=g:2524962
Collinas	id=g:2524963
Collesano	id=g:2524964
Monte sa Colla	id=g:2524965
Colla	id=g:2524966
Coletta	id=g:2524967
Colamanci	id=g:2524968
Colacaruso	id=g:2524969
Golfo del Cofano	id=g:2524970
Monte Cocuzzo	id=g:2524971
Coccorino	id=g:2524972
Cleto	id=g:2524973
Riu Cixerri	id=g:2524974
Civita	id=g:2524975
Cittanova	id=g:2524976
Cittadella del Capo	id=g:2524977
Cittadella	id=g:2524978
Cirò Marina	id=g:2524979
Cirò	id=g:2524980
Punta Ciriga	id=g:2524981
Cirella	id=g:2524982
Cirella	id=g:2524983
Cipollina	id=g:2524984
Cinquefrondi	id=g:2524985
Torrente Cino	id=g:2524986
Cinisi	id=g:2524987
Capo Cimiti	id=g:2524988
Ciminna	id=g:2524989
Ciminà	id=g:2524990
Monte Ciccia	id=g:2524991
Cicala	id=g:2524992
Cibali	id=g:2524993
Ciavolo	id=g:2524994
Ciaramiti	id=g:2524995
Ciaramira	id=g:2524996
Ciappi	id=g:2524997
Ciano	id=g:2524998
Cianciana	id=g:2524999
Cialandaro	id=g:2525000
Fattoria Cialampa	id=g:2525001
Chorio	id=g:2525002
Chiusa Sclafani	id=g:2525003
Chiubbica	id=g:2525004
Chiesa Vetusa	id=g:2525005
Chiesa Nuova	id=g:2525006
Chiesa di Pusillesi	id=g:2525007
Chiesa	id=g:2525008
Chiaravalle Centrale	id=g:2525009
Chiaramonte Gulfi	id=g:2525010
Chia	id=g:2525011
Cetraro	id=g:2525012
Stazione di Cessaniti-Ionadi	id=g:2525013
Cessaniti	id=g:2525014
Cesarò	id=g:2525015
Cerzeto	id=g:2525016
Cervicati	id=g:2525017
Cozzo Cervello	id=g:2525018
Cerva	id=g:2525019
Cerrisi	id=g:2525020
Cerreto	id=g:2525021
Cerretella	id=g:2525022
Cerisano	id=g:2525023
Cerenzia	id=g:2525024
Cerenzia	id=g:2525025
Cerda	id=g:2525026
Cerchiara di Calabria	id=g:2525027
Ceraso	id=g:2525028
Cerasi	id=g:2525029
Ceramida	id=g:2525030
Cerami	id=g:2525031
Centuripe	id=g:2525032
Centrale Timpa Grande	id=g:2525033
Centrache	id=g:2525034
Monte Cendri	id=g:2525035
Cenadi	id=g:2525036
Cellara	id=g:2525037
Celico	id=g:2525038
Punta Celesi	id=g:2525039
Capo Cefalù	id=g:2525040
Cefalù	id=g:2525041
Cefalì	id=g:2525042
Cefalà Diana	id=g:2525043
Lago di Cecita	id=g:2525044
Fermata di Cavorà	id=g:2525045
Ìsola dei Càvoli	id=g:2525046
Torre Cavallo	id=g:2525047
Cavallari	id=g:2525048
Cavaliere	id=g:2525049
Cavaliere	id=g:2525050
Cava d’Aliga	id=g:2525051
Stazione di Caulonia	id=g:2525052
Caulonia	id=g:2525053
Cattolica Eraclea	id=g:2525054
Fiumara Catona	id=g:2525055
Catona	id=g:2525056
Catenanuova	id=g:2525057
Provincia di Catanzaro	id=g:2525058
Catanzaro	id=g:2525059
Stazione Catania Sicula	id=g:2525060
Stazione Catania Porto	id=g:2525061
Stazione Catania Centrale	id=g:2525062
Stazione Catania Borgo	id=g:2525063
