Ali Muhammad Buhar	id=g:1184661
Ahmadpur	id=g:1184850
Ahmadpur	id=g:1184851
Ahmadpur	id=g:1184852
Ahmadpur	id=g:1184853
Basti Ahmad Nāich	id=g:1184854
Ahmadnagar	id=g:1184855
Ahmadnagar	id=g:1184856
Ahmadnagar	id=g:1184857
Chak Two Hundred Forty-Three	id=g:1184858
Ahmadnagar	id=g:1184859
Ahmad Mohāna	id=g:1184860
Ahmadkot	id=g:1184861
Ahmad Kodan	id=g:1184862
Ahmad Khel	id=g:1184863
Ahmad Khel	id=g:1184864
Ahmad Khānwāla	id=g:1184865
Ahmad Khān	id=g:1184866
Ahmadi Shama	id=g:1184867
Ahmadi Dirga	id=g:1184868
Ahmadewāla	id=g:1184869
Ahmad Dīwāla	id=g:1184870
Ahmad Bughio	id=g:1184871
Ahmad Bari	id=g:1184872
Ahmad Baghela	id=g:1184873
Ahmad Arāīn	id=g:1184874
Ahmadāni	id=g:1184875
Ahmad Ali Lār	id=g:1184876
Ahmadāl	id=g:1184877
Ahmadābād Nau	id=g:1184878
Ahmadābād	id=g:1184879
Ahmadābād	id=g:1184880
Ahmadābād	id=g:1184881
Ahmadābād	id=g:1184882
Ahmadābād	id=g:1184883
Ahmadābād	id=g:1184884
Chak Two Hundred Ninety	id=g:1184885
Ahmadābād	id=g:1184886
Ahmadābād	id=g:1184887
Ahmad	id=g:1184888
Ahlu	id=g:1184889
Ahli Kamboh	id=g:1184890
Ahlewāla	id=g:1184891
Ahīr Surkhru	id=g:1184892
Ahīr Fateh Shāh	id=g:1184893
Ahingaro Derai	id=g:1184894
Āhenwāri	id=g:1184895
Ahdhiān	id=g:1184896
Ahār Bela	id=g:1184897
Ahal	id=g:1184898
Ahad Khān	id=g:1184899
Agro	id=g:1184900
Agri Khānzād Khel	id=g:1184901
Agri	id=g:1184902
Agrām Gol	id=g:1184903
Āgra Kūz	id=g:1184904
Āgra	id=g:1184905
Agra	id=g:1184906
Ago Munda	id=g:1184907
Aghzar Khel	id=g:1184908
Aghwān	id=g:1184909
Aghor	id=g:1184910
Aghimāni	id=g:1184911
Rāmu	id=g:1184912
Kili Ghabargah	id=g:1184913
Aghbargai	id=g:1184914
Aghbargai	id=g:1184915
Aghbargai	id=g:1184916
Aghbargai	id=g:1184917
Aghbarg	id=g:1184918
Aghbarg Lāhar	id=g:1184919
Aghbargai	id=g:1184920
Aghbarg	id=g:1184921
Aggar	id=g:1184922
Ugārai	id=g:1184923
Aghāni Reserved Forest	id=g:1184924
Āgāni	id=g:1184925
Afzalābād	id=g:1184926
Afsik	id=g:1184927
Afrīdīan	id=g:1184928
Afghānpur	id=g:1184929
Afghānganj	id=g:1184930
Afghānān	id=g:1184931
Adwāla Rūd	id=g:1184932
Adujo Wand	id=g:1184933
Adu	id=g:1184934
Dhok Adrāna	id=g:1184935
Adrāna	id=g:1184936
Ādra	id=g:1184937
Adowāna	id=g:1184938
Adowāli	id=g:1184939
Ādowāl	id=g:1184940
Adosh	id=g:1184941
Adoke Kalān	id=g:1184942
Adoke	id=g:1184943
Ādo Kaur	id=g:1184944
Adoi	id=g:1184945
Adlīke	id=g:1184946
Adlāna	id=g:1184947
Adlakka	id=g:1184948
Adīri	id=g:1184949
Adio Wāh	id=g:1184950
Adīna	id=g:1184951
Adil Sipra Khurd	id=g:1184952
Ādilgarh	id=g:1184953
Adilgarh	id=g:1184954
Ādi Lashāri	id=g:1184955
Ādil	id=g:1184956
Adigāon	id=g:1184957
Adiāla	id=g:1184958
Chak One Hundred Ninety-Eight	id=g:1184959
Ādi	id=g:1184960
Adhwāl	id=g:1184961
Adhrahma	id=g:1184962
Adhowāl	id=g:1184963
Ādhi Sargal	id=g:1184964
Ādhi Kot	id=g:1184965
Adhi	id=g:1184966
Adha Khīāreh	id=g:1184967
Adha	id=g:1184968
Adezai River	id=g:1184969
Adezai	id=g:1184970
Addepur	id=g:1184971
Adda	id=g:1184972
Adānki	id=g:1184973
Ādan	id=g:1184974
Adamzai	id=g:1184975
Adam Wāhan	id=g:1184976
Ādam Sahāba	id=g:1184977
Ādam Pīr	id=g:1184978
Sheraki	id=g:1184979
Ādamke	id=g:1184980
Adam Gatti Kaur	id=g:1184981
Adalzai	id=g:1184982
Adāga Lāhar	id=g:1184983
Āda	id=g:1184984
Ada	id=g:1184985
Achu	id=g:1184986
Achli	id=g:1184987
Achhral	id=g:1184988
Achh	id=g:1184989
Achar Zom	id=g:1184990
Āchar Sadāyo	id=g:1184991
Achar	id=g:1184992
Achār	id=g:1184993
Acha Pīr	id=g:1184994
Achalwāli	id=g:1184995
Achageji Kaur	id=g:1184996
Abwāl	id=g:1184997
Abu Saeed	id=g:1184998
Abu Said	id=g:1184999
Abuhta	id=g:1185000
Abū Bakr	id=g:1185001
Ābu	id=g:1185002
Abrīnd	id=g:1185003
Abri	id=g:1185004
Abri	id=g:1185005
Abri	id=g:1185006
Abra	id=g:1185007
Ābra	id=g:1185008
Abji Minor	id=g:1185009
Ābizar	id=g:1185010
Āb-i- Sār	id=g:1185011
Āb-i- Gum Railway Station	id=g:1185012
Ābid Markhiāni	id=g:1185013
Aburo Lākho	id=g:1185014
Abhulke	id=g:1185015
Abhoro Hingora	id=g:1185016
Abhiānwāla	id=g:1185017
Ābgul Jhal	id=g:1185018
Ābgīr Dhat	id=g:1185019
Abgarch	id=g:1185020
Abdul Rahmānzai	id=g:1185021
Abdur Rahmān Wāsa	id=g:1185022
Abdur Rahmān Kili	id=g:1185023
Abdur Rahīma	id=g:1185024
Abdul Wāhid	id=g:1185025
Abdul Rahmān Dāhri	id=g:1185026
Abdul Rahim Darkhan	id=g:1185027
Abdullāhwāli Khūi	id=g:1185028
Abdullāhwāli Khūi	id=g:1185029
Abdullāh Shahīd	id=g:1185030
Abdullāhpur	id=g:1185031
Abdullāhpur	id=g:1185032
Abdullāh Mandhra	id=g:1185033
Abdullāh Jān	id=g:1185034
Abdullāh Dar Khan	id=g:1185035
Abdul Khel	id=g:1185036
Abdul Khāliq	id=g:1185037
Abdul Karīm Khoso	id=g:1185038
Jalab Gandan	id=g:1185039
Abdul Husain Minor	id=g:1185040
Abdul Hakīm Distributary	id=g:1185041
Abdul Hakīm	id=g:1185042
Abdul Ghani Mānda	id=g:1185043
Abdu Karim	id=g:1185044
Abdu	id=g:1185045
Abadkās	id=g:1185046
Ābdarra	id=g:1185047
Abdāri Kaur	id=g:1185048
Abdāli	id=g:1185049
Abdāl	id=g:1185050
Abdal	id=g:1185051
Abdāl	id=g:1185052
Abbuwāla	id=g:1185053
Abbottābad Lines	id=g:1185054
Abbottābād District	id=g:1185055
Abbottābād	id=g:1185056
Abbāspur	id=g:1185057
Abbāspur	id=g:1185058
Abbāspur	id=g:1185059
Abbasi Minor	id=g:1185060
Abbāsia Canal	id=g:1185061
Abbar Pass	id=g:1185062
Abbanwāla Toba	id=g:1185063
Abul Wāh	id=g:1185064
Abdāl	id=g:1185065
Aba Khel	id=g:1185066
Abāzai River	id=g:1185067
Khwar Kalle	id=g:1185068
Abāzai	id=g:1185069
Aba Shahīd Nāla	id=g:1185070
Ābād Rio	id=g:1185071
Ābād Purāna	id=g:1185072
Ābādpur	id=g:1185073
Ābād Pancho	id=g:1185074
Abadon	id=g:1185075
Ābād Nawa	id=g:1185076
Abādi Rāi Ganga Rām	id=g:1185077
Ābād	id=g:1185078
Purāna Ābād	id=g:1185079
Goth Ābād Magsi	id=g:1185080
Ābād	id=g:1185081
Abād	id=g:1185082
Ābād	id=g:1185083
Ābād	id=g:1185084
Ābād	id=g:1185085
Ābād	id=g:1185086
Abābakrai	id=g:1185087
Abābaki	id=g:1185088
Wāgah	id=g:1253028
Sir Creek	id=g:1256093
Padhāna	id=g:1260929
Naugām	id=g:1261694
Maili	id=g:1264306
Nīlam River	id=g:1266491
Barnāla	id=g:1276894
Arja	id=g:1278403
Spīnkanri Narai	id=g:1283745
Isānyānwāla	id=g:1329750
Bungi Bhisan	id=g:1329751
Thatti Kalāsan	id=g:1329752
Ojha	id=g:1329753
Alpa	id=g:1329754
Mulk Hāji	id=g:1329755
Thatta Talgera	id=g:1329756
Chāh Hukam Singh	id=g:1329757
Thatti Murād	id=g:1329758
Jhok Bhuki	id=g:1329759
Jalib Chak	id=g:1329760
Bagra	id=g:1329761
Pathānwāla	id=g:1329762
Nathuwāla	id=g:1329763
Bahādur Khān	id=g:1329764
Pindi Pīrān	id=g:1329765
Galu Gāhra	id=g:1329766
Mochiwāla	id=g:1329767
Latān	id=g:1329768
Kālu Khel	id=g:1329769
Martinābād	id=g:1329770
Bauti Perānwāli	id=g:1329771
Younganābād	id=g:1329772
Kot Barsyer	id=g:1329773
Dogāij Kalān	id=g:1329774
Lāl Masunda	id=g:1329775
Santwāli	id=g:1329776
Naushera	id=g:1329777
Jhabrān	id=g:1329778
Randhir	id=g:1329779
Hargarh Chak	id=g:1329780
Rāmpur	id=g:1329781
Bholāwāla	id=g:1329782
Gandhra	id=g:1329783
Burāwāla	id=g:1329784
Jarmiān	id=g:1329785
Kotgarh	id=g:1329786
Pake-Ka Wāra	id=g:1329787
Kāki	id=g:1329788
Dhabān Kalan	id=g:1329789
Dhabān Khurd	id=g:1329790
Jābar	id=g:1329791
Nizāmpur	id=g:1329792
Meli Burji	id=g:1329793
Changwāla	id=g:1329794
Arjanprud	id=g:1329795
Jawāhira	id=g:1329796
Nāzirwāla	id=g:1329797
Bajwāna	id=g:1329798
Chadrawāla	id=g:1329799
Chak Three Maryamābād	id=g:1329800
Bhattīwāla	id=g:1329801
Salār	id=g:1329802
Mochīwāla	id=g:1329803
Chaudhrānwāla	id=g:1329804
Mallāh Bilandah	id=g:1329805
Chak Two Chnāpānwāli	id=g:1329806
Bahādurwāli	id=g:1329807
Māhiwāli	id=g:1329808
Har Chand	id=g:1329809
Mungāwāla	id=g:1329810
Mangat	id=g:1329811
Khūh Rustam	id=g:1329812
Māhīwāla	id=g:1329813
Jhandīwāla	id=g:1329814
Thatta Asiān	id=g:1329815
Thatta Jahadka	id=g:1329816
Qila Bakhsha	id=g:1329817
Burj Dāra	id=g:1329818
Joyia Minor	id=g:1329819
Khola Minor	id=g:1329820
Halla Direct Ditch Distributary	id=g:1329821
Lower Bāri Doāh Canal Main Line	id=g:1329822
Māngutāru Minor	id=g:1329823
Saiyyidwāla Distributary	id=g:1329824
Bucheke Minor	id=g:1329825
High Level Distributary	id=g:1329826
Shāh Kot Distributary	id=g:1329827
Pakka Dālla Minor	id=g:1329828
Donatta Distributary	id=g:1329829
Adoke Distributary	id=g:1329830
Kharora	id=g:1329831
Mohānawāla	id=g:1329832
Basti Baliānan	id=g:1329833
Chāh Sherwāla	id=g:1329834
Chāh Dhāriwāla	id=g:1329835
Chāh Thakurwāla	id=g:1329836
Chāh Jamanwāla	id=g:1329837
Chāh Lakhīwāla	id=g:1329838
Harmalpur	id=g:1329839
Chāh Kīkarwāla	id=g:1329840
Bakhshi Mūl Chandwāla	id=g:1329841
Mandi	id=g:1329842
Dhotenwāla	id=g:1329843
Chāh Billearwāl	id=g:1329844
Chāh Samundarwāla	id=g:1329845
Chāh Jhandewāla	id=g:1329846
Christiānwāla	id=g:1329847
Chāh Ambwāla	id=g:1329848
Chāh Khitariwāla	id=g:1329849
Bāghwāla	id=g:1329850
Chāh Khajīwāla	id=g:1329851
Mūnriwāla	id=g:1329852
Nūrwāla	id=g:1329853
Faqir ci Kulle	id=g:1329854
Christiānwāla	id=g:1329855
Chāh Faqīrwāla	id=g:1329856
Chāk Maliwāla	id=g:1329857
Chāh Muhammadwāla	id=g:1329858
Nūrewāla	id=g:1329859
Rām Krishan	id=g:1329860
Mīrjāna	id=g:1329861
Jhangniwāla	id=g:1329862
Habīb	id=g:1329863
Ghanuān	id=g:1329864
Dilluwāla	id=g:1329865
Chāh Bānmanwāla	id=g:1329866
Chāh Rattewāla	id=g:1329867
Billi	id=g:1329868
Wāgha Kaleka	id=g:1329869
Chāh Pindīwāla	id=g:1329870
Kakka Arainwāla	id=g:1329871
Saiyidanwāla	id=g:1329872
Chāh Tahlīwāla	id=g:1329873
Chāh Sherwāla	id=g:1329874
Chāh Kanahi Rām	id=g:1329875
Chāh Fateh Chand	id=g:1329876
Chāh Garianahwāla	id=g:1329877
Chāh Balochānwāla	id=g:1329878
Chāh Sardārwāla	id=g:1329879
Chāh Azīmwāla	id=g:1329880
Jhehdwāla	id=g:1329881
Manianwala	id=g:1329882
Chak Two Hundred Eighty-four	id=g:1329883
Bhirkuwāla	id=g:1329884
Rosanīwāla	id=g:1329885
Bharwāna	id=g:1329886
Chāh Jalālwāla	id=g:1329887
Chak Two Hundred Sixty-Three	id=g:1329888
Baharwāla	id=g:1329889
Loliānwāla	id=g:1329890
Chāh Mochiwāl	id=g:1329891
Chāh Samundarwāla	id=g:1329892
Chak Two Hundred Sixty-Two	id=g:1329893
Begiwāla	id=g:1329894
Dauke	id=g:1329895
Pakka Naulānwāla	id=g:1329896
Dāduāna	id=g:1329897
Thatta Ali	id=g:1329898
Thatta Sherka	id=g:1329899
Mallāhān	id=g:1329900
Chāh Mamunwāla	id=g:1329901
Thatta Māhla Railway Station	id=g:1329902
Chāh Rām Rattanwāla	id=g:1329903
Thatta Phalwan	id=g:1329904
Ballo	id=g:1329905
Kot Murād	id=g:1329906
Chāh Bhatiānwāla	id=g:1329907
Chāh Barālanwāla	id=g:1329908
Chāh Karīmwāla	id=g:1329909
Chāh Fazal Shāhwāla	id=g:1329910
Chāh Sakānwāla	id=g:1329911
Chāh Lālianwāla	id=g:1329912
Chāh Hastiwāla	id=g:1329913
Ballo	id=g:1329914
Chāh Waryāmwāla	id=g:1329915
Chāh Ahimewāla	id=g:1329916
Mukhiāna	id=g:1329917
Chawan	id=g:1329918
Lalwāla	id=g:1329919
Dorotta	id=g:1329920
Chāh Rahmānwāla	id=g:1329921
Chāh Tarkhānwāla	id=g:1329922
Pannlwāl	id=g:1329923
Chāh Mamurwāla	id=g:1329924
Rivaz West Bank Railway Station	id=g:1329925
Rivaz East Bank Railway Station	id=g:1329926
Chāh Korwāla	id=g:1329927
Dāduāna Nau	id=g:1329928
Thatta Kauriāna	id=g:1329929
Sandrana	id=g:1329930
Miān Bhāga	id=g:1329931
Thatta Muhammad	id=g:1329932
Thatta Kouriāna	id=g:1329933
Thatta Hidāyat	id=g:1329934
Chāh Laiwāla	id=g:1329935
Naya Chāh	id=g:1329936
Chāh Hidāyatwāla	id=g:1329937
Chāh Kalwārānwāla	id=g:1329938
Chāh Bhojrānwāla	id=g:1329939
Thatta Maneriānwāla	id=g:1329940
Chāh Muhammadwāla	id=g:1329941
Chāh Jhandewāla	id=g:1329942
Chah Pīrānwāla	id=g:1329943
Chāh Shaduwāla	id=g:1329944
Chāh Tāhliwāla	id=g:1329945
Chāh Sangiwāla	id=g:1329946
Chāh Mukhtiārwāla	id=g:1329947
Chāh Khotiānwāla	id=g:1329948
Chah Lakanwala	id=g:1329949
Chāh Tahilpurwāla	id=g:1329950
Chāh Kourewāla	id=g:1329951
Chāh Muhābatwāla	id=g:1329952
Chāh Nathuwāla	id=g:1329953
Chāh Dilluwāla	id=g:1329954
Chāh Malakewāla	id=g:1329955
Chāh Dūrboyiwāla	id=g:1329956
Chāh Saiwāla	id=g:1329957
Chak Hamza	id=g:1329958
Jhugge Sardar Shāh	id=g:1329959
Chāh Pīr Kamalwāla	id=g:1329960
Chāh Marianwāla	id=g:1329961
Mamran Mantrin	id=g:1329962
Laura	id=g:1329963
Thatta Joyān	id=g:1329964
Thatta Burhān	id=g:1329965
Chāh Longrewāla	id=g:1329966
Thatta Hamāyūn	id=g:1329967
Qādiān	id=g:1329968
Chāh Kahdānwāla	id=g:1329969
Buddheke	id=g:1329970
Sandelianwāla	id=g:1329971
Chāh Poliānwāla	id=g:1329972
Chāh Kaluenwāla	id=g:1329973
Chāh Khizarwāla	id=g:1329974
Chāh Mamurewāla	id=g:1329975
Chāh Mahinwāla	id=g:1329976
Thatta Kandarka	id=g:1329977
Thatta Bharwāna	id=g:1329978
Chāh Dinanwāla	id=g:1329979
Chāh Bakainwāla	id=g:1329980
Jhang Minor	id=g:1329981
Minor Six	id=g:1329982
Minor Five	id=g:1329983
Ghannu Distributary	id=g:1329984
Minor Four	id=g:1329985
Minor Three	id=g:1329986
Rājo Branch Distributary	id=g:1329987
Khiwa Minor	id=g:1329988
Sultān Pakhra Distributary	id=g:1329989
Nihālpur	id=g:1329990
Māriwāla	id=g:1329991
Nūrewāla Canal Lodge	id=g:1329992
Kot Fateh Shāh	id=g:1329993
Koti Naubahār	id=g:1329994
Kotla Pathānan	id=g:1329995
Shāhwāla	id=g:1329996
Khān Begwāla Khu	id=g:1329997
Thatti Long	id=g:1329998
Thatta Jān Muhammad	id=g:1329999
Thatta Pathānwāla	id=g:1330000
Norangwāla Khu	id=g:1330001
Joyānwāla	id=g:1330002
Katowāla	id=g:1330003
Kotla Fateh Khān	id=g:1330004
Thatta Humāyūn	id=g:1330005
Chāh Kuhāriānwāla	id=g:1330006
Lower Rāni Wāh Drain	id=g:1330007
Gulbāna Minor	id=g:1330008
Sandrāna Minor	id=g:1330009
Abaghāt Minor One R	id=g:1330010
Chak One Hundred Thirty-Six NB	id=g:1330011
Harnia Minor	id=g:1330012
Haryanwālā Railway Station	id=g:1330013
Chak One Hundred Forty-Nine/One Hundred Fifty NB	id=g:1330014
Chak One Hundred Forty-Seven/One Hundred Forty-Eight NB	id=g:1330015
Lakhuāna Canal Lodge	id=g:1330016
Kot Pindi Das	id=g:1330017
Naurangwāla Distributary Eleven R	id=g:1330018
Chak One Hundred Thirty-Four NB	id=g:1330019
Chak One Hundred Thirty-Three NB	id=g:1330020
Thatta Surābwāla	id=g:1330021
Panjpir	id=g:1330022
Ziārat Hayāt Mīr	id=g:1330023
Jinda Kimān	id=g:1330024
Rabāna	id=g:1330025
Hayātpur	id=g:1330026
Kot Allāhyār	id=g:1330027
Khichi Minor	id=g:1330028
Chak Rājgarh	id=g:1330029
Shergarh	id=g:1330030
Maqbara Ghulām Muhammad	id=g:1330031
Chak One Hundred Forty-Four/One Hundred Forty-Five NB	id=g:1330032
Shergarh Minor	id=g:1330033
Jahānewāla	id=g:1330034
Subedār Rang Shāhwāla	id=g:1330035
Kot Amanullah	id=g:1330036
Jahānewāla	id=g:1330037
Haveli Nathuka	id=g:1330038
Chirāghwāla	id=g:1330039
Ashābwāla Pind	id=g:1330040
Jhok Muhammad Hayāt	id=g:1330041
Dhup Sari	id=g:1330042
Mīr Ahmadwāla	id=g:1330043
Ararwāla	id=g:1330044
Feroz Makki	id=g:1330045
Koti Gul	id=g:1330046
Chak Ghulān Muhammad	id=g:1330047
Kālriānwāla	id=g:1330048
Nawa Log	id=g:1330049
Kalyar Minor	id=g:1330050
Kot Gul	id=g:1330051
Thatti Umar	id=g:1330052
Canal Chauki	id=g:1330053
Chirāghwāla	id=g:1330054
Asālatwāla	id=g:1330055
Sahba Canal Lodge	id=g:1330056
Dhul Bāla	id=g:1330057
Chogi	id=g:1330058
Dadhār Drain	id=g:1330059
Jarra	id=g:1330060
Bhān Muzaffar Khān	id=g:1330061
Jhok Lakhi	id=g:1330062
Jawāhirpur	id=g:1330063
Sāhīwāl Distributary	id=g:1330064
Sikandri Minor	id=g:1330065
Samandarwāla	id=g:1330066
Haveli Wairān	id=g:1330067
Habībpur	id=g:1330068
Jalla	id=g:1330069
Faruka Distributary	id=g:1330070
Budhāwāla Drain	id=g:1330071
Dera Minor	id=g:1330072
Langanwala	id=g:1330073
Muhammadwāla	id=g:1330074
Haveli Mekhān	id=g:1330075
Koba	id=g:1330076
Shāh Jiwāna Inspection Bungalow	id=g:1330077
Chak Kālra	id=g:1330078
Chak Berwali	id=g:1330079
Chak Daulat Khān	id=g:1330080
Shāh Jiwāna Minor Two Right	id=g:1330081
Sarki	id=g:1330082
Chāh Dārewāla	id=g:1330083
Mubārak Shāh	id=g:1330084
Basti Jogiān	id=g:1330085
Darbār Bahādurwāli	id=g:1330086
Dosera Canal Bungalow	id=g:1330087
Thatti Warriān	id=g:1330088
Chāh Mullānwāla	id=g:1330089
Jindiāna	id=g:1330090
Jhugge Awān	id=g:1330091
Muhārwāli	id=g:1330092
Kot Imāmla	id=g:1330093
Bhasin	id=g:1330094
Kot Ali Yār	id=g:1330095
Arrewāli Ziārat	id=g:1330096
Ramāna	id=g:1330097
Chak One Hundred Sixty-Four NB	id=g:1330098
Khāl Gādhi	id=g:1330099
Darbār Jalāl Shāh	id=g:1330100
Ratta Kalān	id=g:1330101
Hisām	id=g:1330102
Chak One Hundred Sixty-four	id=g:1330103
Chak One Hundred Sixty-Two NB	id=g:1330104
Chak One Hundres Sixty NB	id=g:1330105
Chak One Hundred Sixty-One NB	id=g:1330106
Chak One Hundred Fifty-Nine NB	id=g:1330107
Chak One Hundred Fifty-Seven NB	id=g:1330108
Minor Six Right	id=g:1330109
Shāhrinwāla Minor	id=g:1330110
Ghauspur Minor	id=g:1330111
Kotwāla Khu	id=g:1330112
Latīfpur Minor	id=g:1330113
Mannānwāla Khu	id=g:1330114
Chak One Hundred Seventy-Four NB	id=g:1330115
Kot Sultān Distributary Fourteen Right	id=g:1330116
Garwān	id=g:1330117
Jhallār Shamīr	id=g:1330118
Sheikhān Inspection Bungalow	id=g:1330119
Rustliwāla	id=g:1330120
Saiyidān-ke-Jhugge	id=g:1330121
Nūr-Umar-ke-Jhugge	id=g:1330122
Mangnānwāla	id=g:1330123
Ahmadnagar	id=g:1330124
Ināyatpur Minor One Right	id=g:1330125
Kherewāla	id=g:1330126
Chak One Hundred Fifty-Eight NB	id=g:1330127
