Kalalella	id=g:1242308
Kadurugoda Vihare	id=g:1242538
Kadurugaswewa	id=g:1242539
Kadurugaswewa	id=g:1242540
Kadurugaswewa	id=g:1242541
Kadurugaswewa	id=g:1242542
Kadurugaspitiya	id=g:1242543
Kadurugaskotuwa	id=g:1242544
Kadurugaskada	id=g:1242545
Kadurugashena	id=g:1242546
Kadurugashena	id=g:1242547
Kadurugasdeniya	id=g:1242548
Kadurugasdamana	id=g:1242549
Kadurugamuwa	id=g:1242550
Kadurugalawatta	id=g:1242551
Kadurugahaulpotha	id=g:1242552
Kadurugahapelessa	id=g:1242553
Kadurugahamadditta	id=g:1242554
Kaduru Ela	id=g:1242555
Kaduruduwa	id=g:1242556
Kanduruduwa	id=g:1242557
Kadurudena	id=g:1242558
Kaduruatte Ela	id=g:1242559
Kadurem Ara	id=g:1242560
Kaduragediwela	id=g:1242561
Kadura Ela	id=g:1242562
Kadupitiya Oya	id=g:1242563
Kadupara	id=g:1242564
Kadumahawela Ela	id=g:1242565
Kadukkaimunai Kulam	id=g:1242566
Kadukkaimunai	id=g:1242567
Kadukanna	id=g:1242568
Kaduhukothinachenai	id=g:1242569
Pahala Kadugannawa	id=g:1242570
Kadugannawa	id=g:1242571
Kadugammulla	id=g:1242572
Kadugala	id=g:1242573
Kadrigal Kanda	id=g:1242574
Kadohuthe Wewa	id=g:1242575
Kadiyawatta	id=g:1242576
Kadiyawala	id=g:1242577
Kadiyawala	id=g:1242578
Kadiyawa	id=g:1242579
Kadiyangalla	id=g:1242580
Kadiyagawa Maha Wewa	id=g:1242581
Kadiyagawa	id=g:1242582
Kadiun Ela	id=g:1242583
Kadithalamulla	id=g:1242584
Katiriya	id=g:1242585
Kadirepola	id=g:1242586
Kadirawa	id=g:1242587
Kadiraveli Aru	id=g:1242588
Kadiran Oya	id=g:1242589
Kathiran Kulam	id=g:1242590
Kadirandola	id=g:1242591
Kadirana North	id=g:1242592
Kadiragoda	id=g:1242593
Kadiragama	id=g:1242594
Kadiragama	id=g:1242595
Kadihingala	id=g:1242596
Kadiheragama	id=g:1242597
Kadiheragama	id=g:1242598
Kadihera	id=g:1242599
Kadihagama	id=g:1242600
Kadigomuwa	id=g:1242601
Kadigamuwa	id=g:1242602
Kadigomuwa	id=g:1242603
Kadigomuwa	id=g:1242604
Kadigawa	id=g:1242605
Kadigawa	id=g:1242606
Kadigangoda	id=g:1242607
Kadigamuwe Wewa	id=g:1242608
Kadigamuwa Wewa	id=g:1242609
Kadigamuwa	id=g:1242610
Kadigamuwa	id=g:1242611
Kadigala	id=g:1242612
Kadienlena	id=g:1242613
Kadewatte	id=g:1242614
Kadedduwa	id=g:1242615
Kadduwa	id=g:1242616
Kadduvan	id=g:1242617
Kaddupuvarasankulam	id=g:1242618
Kaddupputu Kulam	id=g:1242619
Kaddu Murivlikulam Wewa	id=g:1242620
Kaddu Kulam	id=g:1242621
Kaddu Kulam	id=g:1242622
Kadduk Kulam	id=g:1242623
Kadduk Kulam	id=g:1242624
Kaddukkudiyiruppu	id=g:1242625
Kaddukkarankudiyiruppu	id=g:1242626
Kaddudai	id=g:1242627
Kaddayadimadu	id=g:1242628
Kaddawakarai Odai	id=g:1242629
Kaddaparutti Kulam	id=g:1242630
Kaddaiyarkulam	id=g:1242631
Kaddaiyan Kulam	id=g:1242632
Kaddaiyan Kulam	id=g:1242633
Kaddaiparichchan Aru	id=g:1242634
Kaddaiparichchan	id=g:1242635
Kaddaikadu	id=g:1242636
Kaddagala Wewa	id=g:1242637
Kaddadivayal	id=g:1242638
Kadayan Kulam	id=g:1242639
Kadayandaluwa Wewa	id=g:1242640
Kadayandaluwa	id=g:1242641
Kadayamotai	id=g:1242642
Kadawela Wewa	id=g:1242643
Kadamel Ara	id=g:1242644
Kadawelapitiya Wewa	id=g:1242645
Kadawelagedaro Wewa	id=g:1242646
Kadawelagedara Wewa	id=g:1242647
Kadaweddawa	id=g:1242648
Kadawattiya	id=g:1242649
Kadawatte	id=g:1242650
Kadawathamadu	id=g:1242651
Kadawathabendimulla	id=g:1242652
Kadawatgama	id=g:1242653
Kadawathgama	id=g:1242654
Kadawatgama	id=g:1242655
Kadawata Wewa	id=g:1242656
Kadawatamadu Kulam	id=g:1242657
Kadawatamadu	id=g:1242658
Kadawatamadu	id=g:1242659
Kadawatakanda	id=g:1242660
Kadawata	id=g:1242661
Kadawata	id=g:1242662
Kadawara Wewa	id=g:1242663
Kadawaramulla	id=g:1242664
Kadawallu Wewa	id=g:1242665
Kadawale Wewa	id=g:1242666
Kadawala Wewa	id=g:1242667
Kadawala Wewa	id=g:1242668
Kadawala Wewa	id=g:1242669
Kadawalapitiya	id=g:1242670
Kadawalagodella	id=g:1242671
Kadawalagedera	id=g:1242672
Kadawalagedara	id=g:1242673
Kadawalagedara Wewa	id=g:1242674
Kadawalagedara	id=g:1242675
Kadawalagedara	id=g:1242676
Kadawalagedara	id=g:1242677
Kadawala	id=g:1242678
Kadawela	id=g:1242679
Kadawala	id=g:1242680
Kadawala	id=g:1242681
Kadawala	id=g:1242682
Kadaveen Ela	id=g:1242683
Kadaveem Oya	id=g:1242684
Kadarawa	id=g:1242685
Kadapola Oya	id=g:1242686
Kadapawunduwa	id=g:1242687
Kadapara Ela	id=g:1242688
Kadapalla	id=g:1242689
Kadandugama	id=g:1242690
Kadanawa Wewa	id=g:1242691
Kadanawa Ela	id=g:1242692
Kadambawa Maha Wewa	id=g:1242693
Kadambawa	id=g:1242694
Kudamankan Kulam	id=g:1242695
Kadamanakkan Kulam	id=g:1242696
Kadalkiranchitalvu Kulam	id=g:1242697
Kadalkaraichchenai	id=g:1242698
Kadaliranchitalvu Kulam	id=g:1242699
Kadalanchiya	id=g:1242700
Kadalanchi Kulam	id=g:1242701
Nadahera	id=g:1242702
Kadahathwewa	id=g:1242703
Kadahatawewa	id=g:1242704
Kadahatawewa	id=g:1242705
Kadahatawatte Wewa	id=g:1242706
Kadahatawatta	id=g:1242707
Kadahatagama Wewa	id=g:1242708
Kadahatagama	id=g:1242709
Kadahapolamulla	id=g:1242710
Kadagahapola	id=g:1242711
Kadaeme Wewa	id=g:1242712
Kadadora	id=g:1242713
Kadadorapitiya	id=g:1242714
Kadadora Pallegammedda	id=g:1242715
Kadadorakanda	id=g:1242716
Kadadora	id=g:1242717
Kadadekawewa	id=g:1242718
Kadadekawewa	id=g:1242719
Kadadekawewa	id=g:1242720
Kadadekawewa	id=g:1242721
Kadadekawewa	id=g:1242722
Kadadeka Kandura	id=g:1242723
Kadachurithoduvai Kulam	id=g:1242724
Kadabindichcha Ela	id=g:1242725
Kachigal Ara	id=g:1242726
Kachchirawa	id=g:1242727
Kachchimadurankuli	id=g:1242728
Kachchilamadu	id=g:1242729
Kachchikodiya	id=g:1242730
Kachchigala Tank	id=g:1242731
Kachchigala	id=g:1242732
Kachcheri	id=g:1242733
Kachcheri	id=g:1242734
Kachchativu	id=g:1242735
Kachchalkodi	id=g:1242736
Kachchal Chamalan Kulam	id=g:1242737
Kachchakodi Kulam	id=g:1242738
Kachchakodi Aru	id=g:1242739
Kachchakaduwa	id=g:1242740
Kachchakaduwa	id=g:1242741
Kachchai	id=g:1242742
Kachchagoda	id=g:1242743
Kachaikodipallam Kulam	id=g:1242744
Kabulumulla	id=g:1242745
Kabragalla	id=g:1242746
Kabillidowa	id=g:1242747
Kabilladowa	id=g:1242748
Kabellawela	id=g:1242749
Kabellapinu Wewa	id=g:1242750
Kabbalasalawa	id=g:1242751
Kabare Gala	id=g:1242752
Kabarayamulla	id=g:1242753
Kabarawa	id=g:1242754
Kabaragoya Wewa	id=g:1242755
Kabaragoyawewa	id=g:1242756
Kabaragoyaindapugala	id=g:1242757
Kabaragomaditta	id=g:1242758
Kabaragala	id=g:1242759
Kabaragala	id=g:1242760
Kabaragala	id=g:1242761
Kaballebuke Oya	id=g:1242762
Kabalewa	id=g:1242763
Kabalewa	id=g:1242764
Kabalewa	id=g:1242765
Kabagamuwa	id=g:1242766
Kaaradumunai	id=g:1242767
Kaali Kulam	id=g:1242768
Juulgaha Wewa	id=g:1242769
Julpallama	id=g:1242770
Juliyanwatta	id=g:1242771
Julgaswalagoda	id=g:1242772
Julgamuwa	id=g:1242773
Julamulla	id=g:1242774
Julampitiya	id=g:1242775
Julagahawalagoda	id=g:1242776
Josnell	id=g:1242777
Josnell	id=g:1242778
Jorsigoda	id=g:1242779
Jomahandigoda	id=g:1242780
John’s Land	id=g:1242781
Jonannesburi	id=g:1242782
Johanawatte Group	id=g:1242783
Johanawatte	id=g:1242784
Joansland	id=g:1242785
Jiwanawatta	id=g:1242786
Jeewanadeniya	id=g:1242787
Jeewana	id=g:1242788
Jesserwatte	id=g:1242789
Jayasundaragedara	id=g:1242790
Jayasirigama	id=g:1242791
Jayasurigama	id=g:1242792
Jayarajapuraya	id=g:1242793
Jayanthi Wewa	id=g:1242794
Jayanthipuram	id=g:1242795
Jayanthipura	id=g:1242796
Jayamanna	id=g:1242797
Jayalatgama	id=g:1242798
Jawatta	id=g:1242799
Jatunkanda	id=g:1242800
Jasingama	id=g:1242801
Jarugawa Wewa	id=g:1242802
Jansagama	id=g:1242803
Jankure	id=g:1242804
Jankurawela	id=g:1242805
Jangulle	id=g:1242806
Jandura Wewa	id=g:1242807
Jandura	id=g:1242808
Jamburuutugoda	id=g:1242809
Jambureliya	id=g:1242810
Jamburegoda	id=g:1242811
Jambura Wewa	id=g:1242812
Jamburagala Wewa	id=g:1242813
Jamburagala	id=g:1242814
Jambugas Wewa	id=g:1242815
Jambugaswatta	id=g:1242816
Jambugahawatta	id=g:1242817
Jaltara	id=g:1242818
Jaligoda	id=g:1242819
Jalatgama	id=g:1242820
Jak Tree Hill	id=g:1242821
Jakaduwa	id=g:1242822
Jahapagama	id=g:1242823
Jahakagama	id=g:1242824
Jagama	id=g:1242825
Jaffna Road	id=g:1242826
Jaffna Peninsula	id=g:1242827
Jaffna on Rocks	id=g:1242828
Jaffna Lagoon	id=g:1242829
Jaffna Jetty Number One	id=g:1242830
Jaffna District	id=g:1242831
Jaffna Beacon	id=g:1242832
Jaffna	id=g:1242833
Ja Ela	id=g:1242834
Ja-Ela	id=g:1242835
Ja-Ela	id=g:1242836
Jackelyn	id=g:1242837
Jaagedara Mada Wewa	id=g:1242838
Iyattan Villu	id=g:1242839
Iyankaravur	id=g:1242840
Iyankan Kulam	id=g:1242841
Iyankan Kulam	id=g:1242842
Iyankan Kulam	id=g:1242843
Iyankan Kulam	id=g:1242844
Iyankan Kulam	id=g:1242845
Iyankam Aru	id=g:1242846
Iyankadiveliyit Kulam	id=g:1242847
Iyana Keni	id=g:1242848
Iyangan Kulam	id=g:1242849
Iyanar Kulam	id=g:1242850
Iyakachchi	id=g:1242851
Ivygaladbe	id=g:1242852
Ivurawala	id=g:1242853
Ivinai	id=g:1242854
Ivies	id=g:1242855
Ittiwatana Wewa	id=g:1242856
Ittikulama Ela	id=g:1242857
Ittikulama	id=g:1242858
Ittikulam	id=g:1242859
Ittik Kulam	id=g:1242860
Itti Kulam	id=g:1242861
Ittikkulam	id=g:1242862
Ittikkandal	id=g:1242863
Ittikattiya	id=g:1242864
Ittikattiya	id=g:1242865
Ittikattiya	id=g:1242866
Ittekanda	id=g:1242867
Ittawa Wewa	id=g:1242868
Ittavil Kulam	id=g:1242869
Ittavil	id=g:1242870
Ittapara Wala	id=g:1242871
Ittapana	id=g:1242872
Ittamaliyagoda	id=g:1242873
Ittagala Wewa	id=g:1242874
Ittagala	id=g:1242875
Ittadenkele	id=g:1242876
Ittademaliya	id=g:1242877
Ititumbala	id=g:1242878
Itimuringan Kulam	id=g:1242879
Itikata Kalapuwa	id=g:1242880
Itikala Caves	id=g:1242881
Iththiyadimadu	id=g:1242882
Iththimoddai	id=g:1242883
Iththepechchagoda Wewa	id=g:1242884
Ithithimurippu Kulam	id=g:1242885
Ithi Kulam	id=g:1242886
Ithew Wewa	id=g:1242887
Ithekadawala Wewa	id=g:1242888
Itewa	id=g:1242889
Itanawatte Thanayamgama	id=g:1242890
Itanawatte	id=g:1242891
Ethanawatta	id=g:1242892
Italwiddawewa	id=g:1242893
Italwetunuwewa	id=g:1242894
Italwetunuwewa	id=g:1242895
Iswetiya	id=g:1242896
Iswetiya	id=g:1242897
Iswatiya Wewa	id=g:1242898
Iswetiya	id=g:1242899
Iswatige Wewa	id=g:1242900
Ismanne Wewa	id=g:1242901
Issenbessawewa	id=g:1242902
Issenbessawawewa Forest Reserve	id=g:1242903
Issanne-Ara	id=g:1242904
Issadeniya Ela	id=g:1242905
Isetiya Wewa	id=g:1242906
Isankan Kulam	id=g:1242907
Isamalaittalvu	id=g:1242908
Isabelwatte	id=g:1242909
Iruvil	id=g:1242910
Iruvi Kulam	id=g:1242911
Irupu Kulam	id=g:1242912
Irupalai	id=g:1242913
Irugalawatta	id=g:1242914
Ivudugoda	id=g:1242915
Irudalai Kulam	id=g:1242916
Irrudduchola	id=g:1242917
Irrahanda	id=g:1242918
Iriyawetiya	id=g:1242919
Iriyaulla	id=g:1242920
Iriyatota	id=g:1242921
Iriyangala Ela	id=g:1242922
Iriyanewa	id=g:1242923
Iriyamaditta	id=g:1242924
Iriyagolla	id=g:1242925
Iriyagolla	id=g:1242926
Iriyagolla	id=g:1242927
Iriyagolla	id=g:1242928
Eriyadeniya	id=g:1242929
Eriyaba	id=g:1242930
Iriwendumpola	id=g:1242931
Iripinnuwewa	id=g:1242932
Irindiligoda	id=g:1242933
Iriminnagama	id=g:1242934
Iriminna	id=g:1242935
Irihabe	id=g:1242936
Iridugoda	id=g:1242937
Iribissew	id=g:1242938
Ireby	id=g:1242939
Irattala Totam	id=g:1242940
Irattakulama	id=g:1242941
Irattaikulam	id=g:1242942
Iratperiyakulam	id=g:1242943
Iratperiya Kulam	id=g:1242944
Iratai Kulam	id=g:1242945
Irasenthirankulam Forest Reserve	id=g:1242946
Irasendiran Kulam	id=g:1242947
Irappuddi Odai	id=g:1242948
Iranchi Kulam	id=g:1242949
Iranawila	id=g:1242950
Iranaille	id=g:1242951
Iranamadu Tank	id=g:1242952
Iranamadu Forest Reserve	id=g:1242953
Iranamadu	id=g:1242954
Iranaitivu	id=g:1242955
Iranaitivu	id=g:1242956
Iranai Iluppaikkulam	id=g:1242957
Irampaveddi Kulam	id=g:1242958
Irampai Kulam	id=g:1242959
Irampaikulam	id=g:1242960
Irampaikkulam Forest Reserve	id=g:1242961
Irampaikulam	id=g:1242962
Irampaikkulam	id=g:1242963
Iramiyankulama	id=g:1242964
Iramiankatkulam	id=g:1242965
Irambai Kulam	id=g:1242966
Iramari Villu	id=g:1242967
Iraman Kulam	id=g:1242968
Iramanatan Kulam	id=g:1242969
Iral Kulam	id=g:1242970
Irakkattuveli	id=g:1242971
Irakkandy	id=g:1242972
Irakkamam Tank	id=g:1242973
Irakkamam	id=g:1242974
Irahandaketu Wewa	id=g:1242975
Iragalla Ela	id=g:1242976
Iraddaipanai Kulam	id=g:1242977
Iradalai Kulam	id=g:1242978
Irachendiran Kulam	id=g:1242979
Irabadagama	id=g:1242980
Ipulweheragama	id=g:1242981
Ippantivu	id=g:1242982
Ippalagama Wewa	id=g:1242983
Ipalogama	id=g:1242984
Ipolagama Wewa	id=g:1242985
Ipitawatugoda	id=g:1242986
Ipitagoda	id=g:1242987
Ipiladana	id=g:1242988
Ipata Wewa	id=g:1242989
Ipalowa	id=g:1242990
Ipalogama	id=g:1242991
Ipalogama	id=g:1242992
Ipalogama	id=g:1242993
Ipalawa	id=g:1242994
Ipalawa	id=g:1242995
Iona	id=g:1242996
Invery	id=g:1242997
Inverlieth	id=g:1242998
Inuviddia Kulam	id=g:1242999
Inuvitiya Kulam	id=g:1243000
Inuvil	id=g:1243001
Inoorvillu	id=g:1243002
Inner Katta	id=g:1243003
Inner Kadda Rock	id=g:1243004
Inner Harbour	id=g:1243005
Innampalaipuval	id=g:1243006
Ini Wewa	id=g:1243007
Inipanduregoda	id=g:1243008
Inigodawela	id=g:1243009
Inigala	id=g:1243010
Inguruwattegama	id=g:1243011
Inguruwatta	id=g:1243012
Ingurugamuwa	id=g:1243013
Ingurugala New	id=g:1243014
Ingurugala	id=g:1243015
Ingurudaluwa	id=g:1243016
Ingrogalla	id=g:1243017
Ingaradawula	id=g:1243018
Ingoya	id=g:1243019
Ingiriyawatta	id=g:1243020
Ingiriya Forest Reserve	id=g:1243021
Ingiriya Ela	id=g:1243022
Ingiriya	id=g:1243023
Ingiriya	id=g:1243024
Inginiyagala	id=g:1243025
Inginiyagala	id=g:1243026
Inginiwatta	id=g:1243027
Inginimitiya	id=g:1243028
Inginiangala	id=g:1243029
Ingestre	id=g:1243030
Induruwegoda	id=g:1243031
Induruwa	id=g:1243032
Induruwa	id=g:1243033
Indurugas Wewa	id=g:1243034
Induru Ganga	id=g:1243035
Indurugalla	id=g:1243036
Indureagare	id=g:1243037
Induranpitiya	id=g:1243038
Indurannewila	id=g:1243039
Indurannewila	id=g:1243040
Indurana	id=g:1243041
Indurana	id=g:1243042
Indunugale	id=g:1243043
Indunilpura	id=g:1243044
Indulpitiyawa	id=g:1243045
Indulgodakanda	id=g:1243046
Indulgoda	id=g:1243047
Indrani	id=g:1243048
Indra	id=g:1243049
Indolewatta	id=g:1243050
Indola	id=g:1243051
Indiya Wewa	id=g:1243052
Indiwitiya	id=g:1243053
Indiwinna	id=g:1243054
Indi Wewa	id=g:1243055
Indi Wewa	id=g:1243056
Indi Wewa	id=g:1243057
Indi Wewa	id=g:1243058
Indi Wewa	id=g:1243059
Indiwewa	id=g:1243060
Indiwewa	id=g:1243061
Indiwewa	id=g:1243062
Indipokunegoda	id=g:1243063
Indipitiye Wewa	id=g:1243064
Indipitiya	id=g:1243065
Indiparape	id=g:1243066
Indipalegoda	id=g:1243067
Indikola Wewa	id=g:1243068
Indiketiya	id=g:1243069
Indikatupana	id=g:1243070
Indihena	id=g:1243071
Indigolleyaya	id=g:1243072
Indigollewa	id=g:1243073
Indigollewa	id=g:1243074
Indigollewa	id=g:1243075
Indigollegama	id=g:1243076
Indigolla	id=g:1243077
Indigetawela	id=g:1243078
Indigaswila	id=g:1243079
Indigaswila	id=g:1243080
Indigas Wewa	id=g:1243081
Indigaswewa	id=g:1243082
Indigaswewa	id=g:1243083
Indigaswala	id=g:1243084
Indigastuduwa	id=g:1243085
Indigaspotana	id=g:1243086
Indigaha Wewa	id=g:1243087
Indigahawewa	id=g:1243088
Indigahatota	id=g:1243089
Indigaha Pelessa	id=g:1243090
Indibedda	id=g:1243091
Indian Walk	id=g:1243092
Indalande	id=g:1243093
Inchstelly	id=g:1243094
Inawella	id=g:1243095
Inamaluwa	id=g:1243096
Inamaluwa	id=g:1243097
Inamalawa Forest Reserve	id=g:1243098
Inamaluwa	id=g:1243099
Imiyangoda Pahala	id=g:1243100
Imiyangoda Ihala	id=g:1243101
Imiyakoonwewa	id=g:1243102
Imiyagama Wewa	id=g:1243103
Imiwatta	id=g:1243104
Imihaminnegama	id=g:1243105
Imekanda	id=g:1243106
Imbulpitiya Wewa	id=g:1243107
Imbulpitiya Meda Duwa	id=g:1243108
Imbulpitiya	id=g:1243109
Imbulpitiya	id=g:1243110
Imbulpe	id=g:1243111
Imbulmalgama	id=g:1243112
Imbulliha	id=g:1243113
Imbulhititenna	id=g:1243114
Imbulgolla	id=g:1243115
Imbulgodayagama Wewa	id=g:1243116
Imbulgodayagama	id=g:1243117
Imbulgoda	id=g:1243118
Imbulgoda	id=g:1243119
Imbulgoda	id=g:1243120
Imbulgoda	id=g:1243121
Imbulgoda	id=g:1243122
Imbulgoda	id=g:1243123
Ambulgaswadiya	id=g:1243124
Imbulgala	id=g:1243125
Imbuletenna	id=g:1243126
Imbulegoda	id=g:1243127
Imbuldeniya	id=g:1243128
Imbulanwala	id=g:1243129
Imbulangoda	id=g:1243130
Imbulangoda	id=g:1243131
Imbulanegama	id=g:1243132
Imbulandanda	id=g:1243133
Imbulana Oya	id=g:1243134
Imbulana Ela	id=g:1243135
Imbulana	id=g:1243136
Imbulana	id=g:1243137
Imbulana	id=g:1243138
