Mulligan Creek	id=g:5128141
Narrow Island	id=g:5128287
Narrow Lake	id=g:5128288
Narrow Notch	id=g:5128289
Narrow River	id=g:5128290
Narrow Hill	id=g:5128291
Narrows Creek	id=g:5128292
Narrows Mountain	id=g:5128293
The Narrows	id=g:5128294
The Narrows	id=g:5128295
The Narrows	id=g:5128296
The Narrows	id=g:5128297
The Narrows	id=g:5128298
The Narrows	id=g:5128299
The Narrows	id=g:5128300
The Narrows	id=g:5128301
The Narrows	id=g:5128302
The Narrows	id=g:5128303
The Narrows	id=g:5128304
The Narrows	id=g:5128305
The Narrows	id=g:5128306
Narrowsburg	id=g:5128307
Narvoo Hollow	id=g:5128308
The Narrows	id=g:5128309
Nashville	id=g:5128310
Nashville	id=g:5128311
Nassakeag Elementary School	id=g:5128312
Nassau	id=g:5128313
Nassau Community College	id=g:5128314
Nassau Country Club	id=g:5128315
Nassau County	id=g:5128316
Nassau County Department of Public Works	id=g:5128317
Nassau Farms	id=g:5128318
Winthrop University Hospital	id=g:5128319
Nassau Knolls Cemetery	id=g:5128320
Nassau Lake	id=g:5128321
Nassau Point	id=g:5128322
Nassau School	id=g:5128323
Nassau Shores	id=g:5128324
Nassau Street Pedestrian Mall	id=g:5128325
Town of Nassau	id=g:5128326
Nassau-Schodack Cemetery	id=g:5128327
Nat House Mountain	id=g:5128328
Nate Pond	id=g:5128329
Nate Pond Brook	id=g:5128330
Nash Road School	id=g:5128331
Nathan Hale School	id=g:5128332
Nathan S Kline Institute for Psychiatric Research	id=g:5128333
Nathaniel Woodhull Elementary School	id=g:5128334
National Cemetery	id=g:5128335
National Golf Links of America	id=g:5128336
National Museum of the American Indian	id=g:5128337
Nativity Chapel	id=g:5128338
Nativity Church	id=g:5128339
Nativity of Our Blessed Lady School	id=g:5128340
Natural Bridge	id=g:5128341
Natural Bridge Cemetery	id=g:5128342
Natural Bridge Station	id=g:5128343
Natural Bridge of New York	id=g:5128344
Natural Dam	id=g:5128345
Natural Hatchery Brook	id=g:5128346
Nathan Cummings Center	id=g:5128347
Naumburg Pond	id=g:5128348
Nauraushaun	id=g:5128349
Nauraushaun Brook	id=g:5128350
Naumburg	id=g:5128351
Navy Point	id=g:5128352
Navy Yard Basin	id=g:5128353
Nay Brook	id=g:5128354
Navarino	id=g:5128355
Nazareth Academy	id=g:5128356
Nazareth College of Rochester	id=g:5128357
Nazareth Hall School	id=g:5128358
Nazareth Regional High School	id=g:5128359
Neahwa Park	id=g:5128360
Lake Neatahwanta	id=g:5128361
Lake Nebo	id=g:5128362
Mount Nebo	id=g:5128363
Mount Nebo	id=g:5128364
Nebraska Brook	id=g:5128365
Naylor Corners	id=g:5128366
Neck Point	id=g:5128367
Nedrow	id=g:5128368
Neds Creek	id=g:5128369
Neds Hole Creek	id=g:5128370
Neds Meadow	id=g:5128371
Needle Island	id=g:5128372
Needles Eye	id=g:5128373
Neejer Hill	id=g:5128374
Neelytown	id=g:5128375
Neff Hill	id=g:5128376
Negro Bar Channel	id=g:5128377
Negro Brook	id=g:5128378
Neck Creek	id=g:5128379
Negro Brook	id=g:5128380
Negro Brook	id=g:5128381
Negro Brook	id=g:5128382
Negro Creek	id=g:5128383
Negro Hill	id=g:5128384
Negro Hill	id=g:5128385
Negro Hill	id=g:5128386
Negro Hill	id=g:5128387
Negro Hill	id=g:5128388
Negro Hill	id=g:5128389
Negro Hollow	id=g:5128390
Negro Hill	id=g:5128391
Negro Hollow	id=g:5128392
Negro Hollow	id=g:5128393
Negro Hollow Church	id=g:5128394
Negro Lake	id=g:5128395
Negro Marsh	id=g:5128396
Negro Point	id=g:5128397
Negrohead Point	id=g:5128398
Neguntatogue Creek	id=g:5128399
Negro Lake	id=g:5128400
Nehasane Lake	id=g:5128401
Neiber Swamp	id=g:5128402
Neiding Swamp	id=g:5128403
Neil Armstrong School	id=g:5128404
Neils Creek	id=g:5128405
Neischell Cemetery	id=g:5128406
Nellie Ayres Memorial Park	id=g:5128407
Nellie Brook	id=g:5128408
Nellie Hill	id=g:5128409
Nellie Pond	id=g:5128410
Nellis Cemetery	id=g:5128411
Nellis Center School (historical)	id=g:5128412
Nellis Field	id=g:5128413
Nelliston	id=g:5128414
Nelson	id=g:5128415
Nelson Brook	id=g:5128416
Nehasane	id=g:5128417
Nelson Corner	id=g:5128418
Nelson Corners	id=g:5128419
Nelson Lake	id=g:5128420
Nelson Mandella High School	id=g:5128421
Nelson Park	id=g:5128422
Nelson Pond	id=g:5128423
Town of Nelson	id=g:5128424
Nelsonville	id=g:5128425
Neno International Airport	id=g:5128426
Nepera Park	id=g:5128427
Neponsit	id=g:5128428
Nepperhan	id=g:5128429
Neptune Island	id=g:5128430
Neptune Park	id=g:5128431
Nesbit Pond	id=g:5128432
Nesconset	id=g:5128433
Nestepol Marsh	id=g:5128434
Nestle Cemetery	id=g:5128435
Nestle School (historical)	id=g:5128436
Netherwood	id=g:5128437
Netherwood School	id=g:5128438
Nettle Creek	id=g:5128439
Nelson Cemetery	id=g:5128440
Nettle Valley Cemetery	id=g:5128441
Nettle Valley Creek	id=g:5128442
Nettle Hill	id=g:5128443
Neumann High School	id=g:5128444
Neumann House	id=g:5128445
Neumans Corners	id=g:5128446
Neuter Fort (historical)	id=g:5128447
Nevada Avenue School	id=g:5128448
Nevele Falls	id=g:5128449
Neversink	id=g:5128450
Neversink Reservoir	id=g:5128451
Neversink River	id=g:5128452
Neuman Creek	id=g:5128453
Town of Neversink	id=g:5128454
Nevin Field	id=g:5128455
Nevin Memorial Church	id=g:5128456
Nevins Cemetery	id=g:5128457
Nevins Point	id=g:5128458
Nevis	id=g:5128459
New Albion	id=g:5128460
Town of New Albion	id=g:5128461
New Apostolic Church	id=g:5128462
New Baltimore	id=g:5128463
Town of New Baltimore	id=g:5128464
New Berlin	id=g:5128465
Town of New Berlin	id=g:5128466
New Boston	id=g:5128467
New Boston	id=g:5128468
New Boston School	id=g:5128469
New Bremen	id=g:5128470
Town of New Bremen	id=g:5128471
New Bridge Brook	id=g:5128472
Neversink Rondout Aqueduct	id=g:5128473
New Britain (historical)	id=g:5128474
New Calary Cemetery	id=g:5128475
New Campbellwood Wye	id=g:5128476
Herman L Bradt Elementary School	id=g:5128477
New Cassel	id=g:5128478
New Castle Public School (historical)	id=g:5128479
Town of New Castle	id=g:5128480
New City	id=g:5128481
New City Elementary School	id=g:5128482
New City Park	id=g:5128483
New Concord	id=g:5128484
New Connecticut	id=g:5128485
New Covenant Church	id=g:5128486
New Croton Aqueduct	id=g:5128487
New Croton Dam	id=g:5128488
New Croton Reservoir	id=g:5128489
New Dorp	id=g:5128490
New Dorp Beach	id=g:5128491
New Dorp Beach	id=g:5128492
New Dorp High School	id=g:5128493
New Ebenezer	id=g:5128494
New Forest Cemetery	id=g:5128495
New Forge	id=g:5128496
New Hackensack	id=g:5128497
New Hall	id=g:5128498
New Hamburg	id=g:5128499
New Hampstead	id=g:5128500
New Hampton	id=g:5128501
New Hampton Training School (historical)	id=g:5128502
New Hartford	id=g:5128503
Town of New Hartford	id=g:5128504
New Haven	id=g:5128505
New Haven Station	id=g:5128506
Town of New Haven	id=g:5128507
New Hempstead School	id=g:5128508
New Holland Clearing	id=g:5128509
New Hope	id=g:5128510
New Hope Church	id=g:5128511
Town of New Hudson	id=g:5128512
New Hurley	id=g:5128513
New Hyde Park	id=g:5128514
New Ireland	id=g:5128515
Jefferson Elementary School	id=g:5128516
New Jerusalem Church of Christ	id=g:5128517
New Kingston	id=g:5128518
New Lake	id=g:5128519
New Lake Mountain	id=g:5128520
New Lake Outlet	id=g:5128521
New Brighton	id=g:5128522
New Lebanon Center	id=g:5128523
Walter B Howard Elementary School	id=g:5128524
Town of New Lebanon	id=g:5128525
Lincoln Elementary School	id=g:5128526
New Lisbon	id=g:5128527
Town of New Lisbon	id=g:5128528
New London	id=g:5128529
New Lots Yards	id=g:5128530
New Made Island	id=g:5128531
New Milford	id=g:5128532
New Millpond	id=g:5128533
New Montefiore Cemetery	id=g:5128534
New Mount Ida Cemetery	id=g:5128535
New Ohio	id=g:5128536
New Ohio Cemetery	id=g:5128537
New Oregon	id=g:5128538
New Paltz	id=g:5128539
New Paltz Cemetery	id=g:5128540
Town of New Paltz	id=g:5128541
New Pond	id=g:5128542
New Pond	id=g:5128543
New Pond Brook	id=g:5128544
New Lebanon	id=g:5128545
New Reservoir	id=g:5128546
New Road Mountain	id=g:5128547
New Roc City Shopping Center	id=g:5128548
New Rochelle	id=g:5128549
New Rochelle Assembly of God Church	id=g:5128550
New Rochelle City Hall	id=g:5128551
New Rochelle Harbor	id=g:5128552
New Rochelle High School	id=g:5128553
New Rochelle Post Office	id=g:5128554
New Rochelle Public Library	id=g:5128555
New Rochelle Seventh Day Adventist Church	id=g:5128556
New Rochelle Station	id=g:5128557
City of New Rochelle	id=g:5128558
New Russia	id=g:5128559
New Salem	id=g:5128560
New Salem	id=g:5128561
New Scotland	id=g:5128562
Town of New Scotland	id=g:5128563
New Scriba	id=g:5128564
New Sebago Beach	id=g:5128565
New Springville	id=g:5128566
New Springville Park	id=g:5128567
New Square	id=g:5128568
New Suffolk	id=g:5128569
New Union Field Cemetery	id=g:5128570
New Utrecht	id=g:5128571
New Vermont Cemetery	id=g:5128572
New Vernon	id=g:5128573
New Vernon Cemetery	id=g:5128574
New Village Church	id=g:5128575
New Westbury Cemetery	id=g:5128576
New Windsor	id=g:5128577
New Windsor School (historical)	id=g:5128578
Town of New Windsor	id=g:5128579
New Woodstock	id=g:5128580
New York City	id=g:5128581
New York Army National Guard Heliport	id=g:5128582
New York Athletic Club	id=g:5128583
New York Avenue Junior High School (historical)	id=g:5128584
New York Cardiac Home	id=g:5128585
New York Community College of Applied Arts and Sciences	id=g:5128586
New York City Criminal Courts Building	id=g:5128587
New York City Police Headquarters	id=g:5128588
New York City Supreme Court	id=g:5128589
New York Clearing House Association	id=g:5128590
New York Cocoa Exchange Building	id=g:5128591
New York Cotton Exchange (historical)	id=g:5128592
New York Country Club	id=g:5128593
Manhattan	id=g:5128594
New York Engine Company 41	id=g:5128595
New York Engine Company 55	id=g:5128596
New York Engine Company 73	id=g:5128597
New York Engine Company 82	id=g:5128598
New York Engine Company 94	id=g:5128599
New York Engine Company Number 60	id=g:5128600
New York Engine Company Number 73	id=g:5128601
New York Engine Company Number 83	id=g:5128602
New York Guild Home	id=g:5128603
New York Historical Society	id=g:5128604
New York Hook and Ladder Company Number 42	id=g:5128605
New York Hook and Ladder Company 48	id=g:5128606
New York Hook and Ladder Company Number 17	id=g:5128607
New York Hook and Ladder Company Number 29	id=g:5128608
New York Hospital	id=g:5128609
New York Institute of Technology	id=g:5128610
New York Ladder Company 31	id=g:5128611
New York Medical College (historical)	id=g:5128612
New York Mercantile Exchange	id=g:5128613
New York Mercantile Exchange (historical)	id=g:5128614
New York Military Academy	id=g:5128615
New York Mills	id=g:5128616
New York National Speedway	id=g:5128617
New York Presbyterian Hospital	id=g:5128618
New York Public Library for the Performing Arts	id=g:5128619
New York School for the Deaf	id=g:5128620
New York Naval Shipyard (historical)	id=g:5128621
New York Skyports Incorporated Seaplane Base	id=g:5128622
New York State Barge Canal	id=g:5128623
New York State Fish Hatchery	id=g:5128624
New York State Game Management Area	id=g:5128625
New York State Game Management Area	id=g:5128626
New York State Hospital	id=g:5128627
State University of New York Maritime College	id=g:5128628
New York State Police-Troop T Heliport	id=g:5128629
New York State Reservation	id=g:5128630
New York State Supreme Court	id=g:5128631
New York Stock Exchange	id=g:5128632
New York United Hospital Medical Center	id=g:5128633
New York University	id=g:5128634
New York University College of Engineering	id=g:5128635
New York University University Heights Campus (historical)	id=g:5128636
New Prospect Church	id=g:5128637
New York	id=g:5128638
Newark	id=g:5128639
Newark Country Club	id=g:5128640
Newark Island	id=g:5128641
Newark Reservoir	id=g:5128642
Newark State School (historical)	id=g:5128643
Newark Valley	id=g:5128644
Town of Newark Valley	id=g:5128645
Newberry Pond	id=g:5128646
Newbridge	id=g:5128647
Newbridge Creek	id=g:5128648
New York Vietnam Veterans Memorial	id=g:5128649
Newbridge Road Park	id=g:5128650
Newbridge Road School	id=g:5128651
Newbridge Road School	id=g:5128652
Newburg	id=g:5128653
Newburgh	id=g:5128654
Newburgh Country Club	id=g:5128655
Newburgh Junction	id=g:5128656
City of Newburgh	id=g:5128657
Town of Newburgh	id=g:5128658
Newcomb	id=g:5128659
Newcomb Cemetery	id=g:5128660
Newcomb Hill	id=g:5128661
Newcomb Lake	id=g:5128662
Newcomb Pond	id=g:5128663
Newcomb River	id=g:5128664
Newbridge Pond	id=g:5128665
Newell Cemetery	id=g:5128666
Newell Cemetery	id=g:5128667
Newell Corners	id=g:5128668
Neweys Canal	id=g:5128669
Newfane	id=g:5128670
Newfane Marina	id=g:5128671
Town of Newfane	id=g:5128672
Newfield	id=g:5128673
Newfield High School	id=g:5128674
Newfield State Forest	id=g:5128675
Newfield Station	id=g:5128676
Town of Newfield	id=g:5128677
Newfoundland Creek	id=g:5128678
Town of Newcomb	id=g:5128679
Newkirk	id=g:5128680
Newman Hall	id=g:5128681
Newmans Corner	id=g:5128682
Newport	id=g:5128683
Newport	id=g:5128684
Newport	id=g:5128685
Newport	id=g:5128686
Newport Brook	id=g:5128687
Newieden	id=g:5128688
Newport Pond	id=g:5128689
Newport Yacht Club	id=g:5128690
Town of Newport	id=g:5128691
Newrys	id=g:5128692
Town of Newstead	id=g:5128693
Newton Brook	id=g:5128694
Newport Marina	id=g:5128695
Newton Cemetery	id=g:5128696
Newton Cemetery	id=g:5128697
Newton Falls	id=g:5128698
Newton Falls Brook	id=g:5128699
Newton Brook	id=g:5128700
Newton Hook	id=g:5128701
Newton Memorial Hospital (historical)	id=g:5128702
Newton Run	id=g:5128703
Newton Hill	id=g:5128704
Newtonville	id=g:5128705
Newtown	id=g:5128706
Newtown	id=g:5128707
Newtown	id=g:5128708
Newtown Battlefield Reservation	id=g:5128709
Newtown Creek	id=g:5128710
Newtons Eddy	id=g:5128711
Newtown Creek	id=g:5128712
Newtown High School	id=g:5128713
Newville Creek	id=g:5128714
Newville	id=g:5128715
Nia-Wanda Park	id=g:5128716
Niagara Avenue School	id=g:5128717
Niagara Bar	id=g:5128718
Niagara Basin	id=g:5128719
Niagara Brook	id=g:5128720
Ney Hill	id=g:5128721
Niagara Falls	id=g:5128722
Niagara Falls	id=g:5128723
Niagara Falls Country Club	id=g:5128724
Niagara Falls International Airport	id=g:5128725
Niagara Falls Memorial Park	id=g:5128726
Niagara Falls Memorial Parking Ramp Heliport	id=g:5128727
City of Niagara Falls	id=g:5128728
Niagara Fan	id=g:5128729
Niagara Frontier Country Club	id=g:5128730
Niagara Frontier State Park Commission	id=g:5128731
Niagara Mountain	id=g:5128732
Niagara River	id=g:5128733
Niagara County	id=g:5128734
Niagara Square	id=g:5128735
Niagara Street School	id=g:5128736
Niagara University	id=g:5128737
Town of Niagara	id=g:5128738
Niagara-Wheatfield High School	id=g:5128739
Niagra Shoal	id=g:5128740
Lake Nianque	id=g:5128741
Nice Shoal	id=g:5128742
Nicholai School	id=g:5128743
Nicholas Brook	id=g:5128744
Niagara River Yacht Club	id=g:5128745
Nichols	id=g:5128746
Nichols	id=g:5128747
Nichols Brook	id=g:5128748
Nicholas Point	id=g:5128749
Nichols Cemetery	id=g:5128750
Nichols Cemetery	id=g:5128751
Nichols Cemetery	id=g:5128752
Nichols Corners	id=g:5128753
Nichols Corners	id=g:5128754
Nichols Corners	id=g:5128755
Nichols Hall	id=g:5128756
Nichols Hall	id=g:5128757
Nichols Hill	id=g:5128758
Nichols Hill Island	id=g:5128759
Nichols Pond	id=g:5128760
Nichols Run	id=g:5128761
Nichols Run	id=g:5128762
Nichols Cemetery	id=g:5128763
Nichols School	id=g:5128764
Nichols School	id=g:5128765
Town of Nichols	id=g:5128766
Nicholson Cemetery	id=g:5128767
Nicholson Island	id=g:5128768
Nicholsville	id=g:5128769
Nicholville	id=g:5128770
Nick Creek	id=g:5128771
George H Nichols School	id=g:5128772
Nickel Vly Brook	id=g:5128773
Nick Mountain	id=g:5128774
Nicks Creek	id=g:5128775
Nicks Lake	id=g:5128776
Nicks Pond	id=g:5128777
Nicks Pond	id=g:5128778
Nicoll Bay	id=g:5128779
Nicoll Island	id=g:5128780
Nicoll Point	id=g:5128781
Nicoll Point	id=g:5128782
Niets Crest	id=g:5128783
Niffin Vly	id=g:5128784
Nigh Creek	id=g:5128785
Nicks Point	id=g:5128786
Nile	id=g:5128787
Nile Cemetery	id=g:5128788
Niles	id=g:5128789
Niles Cemetery	id=g:5128790
Niles Cemetery	id=g:5128791
Town of Niles	id=g:5128792
Mount Nimham	id=g:5128793
Lake Nimham	id=g:5128794
Nimrod Lake	id=g:5128795
Nine Corner Lake	id=g:5128796
Nine Partners Cemetery	id=g:5128797
Ninemile Creek	id=g:5128798
Nightengale Elementary School	id=g:5128799
Ninemile Creek	id=g:5128800
Ninemile Creek	id=g:5128801
Ninemile Creek	id=g:5128802
Ninemile Creek	id=g:5128803
Ninemile Point	id=g:5128804
Ninemile Swamp	id=g:5128805
Ninemile Swamp	id=g:5128806
Nineteen Gully	id=g:5128807
Ninemile Point	id=g:5128808
Ninety Five Hill	id=g:5128809
Ninety Six Corners	id=g:5128810
Ninetyninth Street School (historical)	id=g:5128811
Nineveh	id=g:5128812
Nineveh Junction	id=g:5128813
Nintyfifth Street School	id=g:5128814
Nintyfirst Street Park	id=g:5128815
Nintythird Street School	id=g:5128816
Niobe	id=g:5128817
Nipmoose Brook	id=g:5128818
Nineteenth Pond	id=g:5128819
Nippletop	id=g:5128820
Nippletop Mountain	id=g:5128821
Nisbet Cemetery	id=g:5128822
Niska Island	id=g:5128823
Niskayuna	id=g:5128824
Niskayuna Modification and Test Plant	id=g:5128825
Town of Niskayuna	id=g:5128826
Nissequogue	id=g:5128827
Nissequogue Neck	id=g:5128828
Nissequogue Point Beach Club	id=g:5128829
Nissequogue River	id=g:5128830
Nipmoose Hill	id=g:5128831
Niver Cemetery	id=g:5128832
Niverville	id=g:5128833
Nixon Hill	id=g:5128834
No Bottom Pond	id=g:5128835
Noahs Boat Club	id=g:5128836
Noahs Rump	id=g:5128837
Nobby Island	id=g:5128838
Noble Corner	id=g:5128839
Edward J Noble Hospital	id=g:5128840
Noble Mountain	id=g:5128841
Noble School (historical)	id=g:5128842
Noble Shores	id=g:5128843
Nobleboro	id=g:5128844
Nobles Hill	id=g:5128845
Nobles Island	id=g:5128846
Nobody Station	id=g:5128847
Noisey Inlet	id=g:5128848
Noisey Ridge	id=g:5128849
Noisy Brook	id=g:5128850
Nissequogue School	id=g:5128851
Nokomis School	id=g:5128852
Dorothy Nolan Elementary School	id=g:5128853
Nondaga Cemetery	id=g:5128854
Noon Notch	id=g:5128855
Noonmark Mountain	id=g:5128856
Nooteeming Lake	id=g:5128857
Noranale Mountain	id=g:5128858
Norcross Helipad	id=g:5128859
Norcross Point	id=g:5128860
Nordica Hill	id=g:5128861
Norfolk	id=g:5128862
Town of Norfolk	id=g:5128863
Norman Kurrass Contractor Heliport	id=g:5128864
Norman Pond	id=g:5128865
Norman Ridge	id=g:5128866
Normans Kill	id=g:5128867
Normanside Country Club	id=g:5128868
Normansville	id=g:5128869
Norridge Trail	id=g:5128870
Norridgewock Lake	id=g:5128871
Norrie Heights	id=g:5128872
Norrie Point	id=g:5128873
Margaret Lewis Norrie State Park	id=g:5128874
Norrie Yacht Basin	id=g:5128875
Norris Cemetery	id=g:5128876
Norris Pond	id=g:5128877
Norten	id=g:5128878
North Adams	id=g:5128879
North Adams Cemetery	id=g:5128880
North Afton	id=g:5128881
North Alexander	id=g:5128882
North Amboy	id=g:5128883
North Amityville	id=g:5128884
North Argyle	id=g:5128885
North Babylon	id=g:5128886
North Bailey	id=g:5128887
North Bangor	id=g:5128888
North Barton	id=g:5128889
North Bay	id=g:5128890
North Bay	id=g:5128891
North Bay	id=g:5128892
North Bay	id=g:5128893
North Bay	id=g:5128894
North Bay	id=g:5128895
North Bay	id=g:5128896
North Bay	id=g:5128897
North Bay Shore	id=g:5128898
North Bay Stream	id=g:5128899
Nokomis Camp	id=g:5128900
North Beacon Mountain	id=g:5128901
North Beaver Dams School (historical)	id=g:5128902
North Belle Isle	id=g:5128903
North Bellmore	id=g:5128904
North Bellport	id=g:5128905
North Bend School	id=g:5128906
North Bergen	id=g:5128907
North Bethlehem	id=g:5128908
North Black Banks Hassock	id=g:5128909
North Blenheim	id=g:5128910
North Bloomfield	id=g:5128911
North Bolton	id=g:5128912
North Boquet Mountain	id=g:5128913
North Boston	id=g:5128914
North Boylston	id=g:5128915
North Branch	id=g:5128916
North Branch	id=g:5128917
North Branch	id=g:5128918
North Branch Basket Creek	id=g:5128919
North Beach	id=g:5128920
North Branch Black Creek	id=g:5128921
North Branch Black River	id=g:5128922
North Branch Boquet River	id=g:5128923
North Branch Callicoon Creek	id=g:5128924
North Branch Clear Creek	id=g:5128925
North Branch Conewango Creek	id=g:5128926
North Branch Cummings Creek	id=g:5128927
North Branch Fish Creek	id=g:5128928
North Branch Glendening Creek	id=g:5128929
North Branch Great Chazy River	id=g:5128930
North Branch Grindstone Creek	id=g:5128931
North Branch Hemlock Creek	id=g:5128932
North Branch Indian Creek	id=g:5128933
North Branch Lake	id=g:5128934
North Branch Ley Creek	id=g:5128935
North Branch Little Black Creek	id=g:5128936
North Branch Little Salmon River	id=g:5128937
North Branch Mad River	id=g:5128938
North Branch Mill Creek	id=g:5128939
North Branch Mill Creek	id=g:5128940
North Branch Moordener Kill	id=g:5128941
North Branch Moose River	id=g:5128942
North Branch Mountain	id=g:5128943
North Branch Mountain Brook	id=g:5128944
North Branch Newtown Creek	id=g:5128945
North Branch Phillips Creek	id=g:5128946
North Branch Plum Bottom Creek	id=g:5128947
North Branch Salmon River	id=g:5128948
North Branch Sandy Creek	id=g:5128949
North Branch Saranac River	id=g:5128950
North Branch Sawmill Run	id=g:5128951
North Branch Shingle Shanty Brook	id=g:5128952
North Branch Slide Creek	id=g:5128953
North Branch Snook Kill	id=g:5128954
North Branch Sugar River	id=g:5128955
North Branch Trout Brook	id=g:5128956
North Branch Tuscarora Creek	id=g:5128957
North Branch Van Campen Creek	id=g:5128958
North Branch West Branch Sacandaga River	id=g:5128959
North Branch West Stony Creek	id=g:5128960
North Branch Wiscoy Creek	id=g:5128961
North Branch Wolf Creek	id=g:5128962
North Breakwater South End Light	id=g:5128963
North Broadalbin	id=g:5128964
North Brook	id=g:5128965
North Bridgewater	id=g:5128966
North Brook	id=g:5128967
North Brook	id=g:5128968
North Brookfield	id=g:5128969
North Buffalo Suburban Airport	id=g:5128970
North Burke	id=g:5128971
North Bush	id=g:5128972
North Byron Cemetery	id=g:5128973
North Cambridge	id=g:5128974
North Cameron	id=g:5128975
Town of North Castle	id=g:5128976
North Cazenovia	id=g:5128977
North Cemetery	id=g:5128978
North Central Church	id=g:5128979
North Channel	id=g:5128980
North Channel	id=g:5128981
North Chatham	id=g:5128982
