Quebrada La Julia	id=g:3781369
Quebrada Guaravita	id=g:3781450
San José	id=g:3781451
La Patria	id=g:3781452
Quebrada Marsella	id=g:3781453
La Armenia	id=g:3781454
Quebrada Chorroseco	id=g:3781455
La Bella	id=g:3781456
Quebrada Cañaveral	id=g:3781457
Guayabal	id=g:3781458
Quebrada de La Habana	id=g:3781459
La Selva	id=g:3781460
Tumarapo	id=g:3781461
El Rajui	id=g:3781462
Quebrada Chavarquia	id=g:3781463
Italia	id=g:3781464
Quebrada Cascabel	id=g:3781465
La Esmeralda	id=g:3781466
Quebrada Llanograndre	id=g:3781467
Primavera	id=g:3781468
Quebrada Guamito	id=g:3781469
Quebrada Las Mercedes	id=g:3781470
Quebrada Pablo Blanco	id=g:3781471
La Margarita	id=g:3781472
La Primavera	id=g:3781473
Loma de Santa Rita	id=g:3781474
Quebrada Las Pavas	id=g:3781475
Trapiche	id=g:3781476
El Libano	id=g:3781477
Quebrada del Manzano	id=g:3781478
Moravito	id=g:3781479
Alto de Arauca	id=g:3781480
Quebrada Sarciri	id=g:3781481
Quebrada Concharía	id=g:3781482
Quebrada Los Fierros	id=g:3781483
Cerro Conchari	id=g:3781484
El Cedral	id=g:3781485
Quebrada Guerrero	id=g:3781486
Quebrada Aguas Claras	id=g:3781487
Magallenes	id=g:3781488
Quebrada Cambia	id=g:3781489
Samaria	id=g:3781490
Cuchilla de Guerrero	id=g:3781491
La Rochela	id=g:3781492
Quebrada del Japón	id=g:3781493
Bellavista	id=g:3781494
Quebrada Montelindo	id=g:3781495
Venecia	id=g:3781496
Santa Inés	id=g:3781497
Cuba	id=g:3781498
La Estrella	id=g:3781499
Quebrada La Estrella	id=g:3781500
Quebrada Carminales	id=g:3781501
Quebrada Aguas Claras	id=g:3781502
Quebrada Guanguia	id=g:3781503
Guadalupe	id=g:3781504
Guerrero	id=g:3781505
San Nicolás	id=g:3781506
Santagueda	id=g:3781507
Quebrada de Los Lobos	id=g:3781508
Cerro Ginebra	id=g:3781509
Quebrada Buenavista	id=g:3781510
Quebrada Guerrerito	id=g:3781511
La Julia	id=g:3781512
Quebrada de Llano Grande	id=g:3781513
La Ginaria	id=g:3781514
Quebrada El Salado	id=g:3781515
Lomas de Tibayes	id=g:3781516
Río Tarria	id=g:3781517
El Guamo	id=g:3781518
Quebrada de Julia	id=g:3781519
El Diamente	id=g:3781520
La Amapola	id=g:3781521
Quebrada Diamante	id=g:3781522
Quebrada Calentaderos	id=g:3781523
Quebrada Villa Martín	id=g:3781524
La Paloma	id=g:3781525
La Estrella	id=g:3781526
La Tebaida	id=g:3781527
Leticia	id=g:3781528
Cerro Cocorondo	id=g:3781529
Cerminales	id=g:3781530
Quebrada Costa Rica	id=g:3781531
El Agrado	id=g:3781532
Quebrada Cartagena	id=g:3781533
Janeiro	id=g:3781534
Palermo	id=g:3781535
Quebrada de Las Galias	id=g:3781536
La Sonora	id=g:3781537
Quebrada El Rubí	id=g:3781538
Quebrada Minarrica	id=g:3781539
Quebrada del Purgatorio	id=g:3781540
Calentaderos	id=g:3781541
Quebrada Santa Rita	id=g:3781542
Quebrada del Rosario	id=g:3781543
Quebrada Negra	id=g:3781544
La Torre	id=g:3781545
Tres Esquinas	id=g:3781546
Quebrada Tamboral	id=g:3781547
Buenavista	id=g:3781548
El Rubí	id=g:3781549
Margaritas	id=g:3781550
Cerro Bravo o de Don Erasino	id=g:3781551
Palmera	id=g:3781552
Quebrada La Hondita	id=g:3781553
Quebrada del Conejo	id=g:3781554
El Cedrito	id=g:3781555
Quebrada Manzanares	id=g:3781556
Quebrada Fonditos	id=g:3781557
Quebrada El Rayo	id=g:3781558
Gibraltar	id=g:3781559
Quebrada Zabaletas	id=g:3781560
Quebrada de Betania	id=g:3781561
Quebrada Cristalina	id=g:3781562
Guaimaral	id=g:3781563
La India	id=g:3781564
Quebrada Guayaquil	id=g:3781565
Quebrada Sifilfia	id=g:3781566
Quebrada Los Cuevos	id=g:3781567
Las Pavas	id=g:3781568
Quebrada El Rosario	id=g:3781569
Algarrobo	id=g:3781570
La Paz	id=g:3781571
Samaria	id=g:3781572
Lomas de Morritos	id=g:3781573
La Rosalba	id=g:3781574
Arabia	id=g:3781575
San Rafael	id=g:3781576
Pinares	id=g:3781577
Quebrada El Naranjo	id=g:3781578
Morritos	id=g:3781579
Alto de La Cruz	id=g:3781580
Adolfo Ríos	id=g:3781581
Laguna Agua Blanca	id=g:3781582
Quebrada Aguablanca	id=g:3781583
Río Aguacacia	id=g:3781584
Quebrada Aguadulce	id=g:3781585
Alto de Aguafría	id=g:3781586
Quebrada Aguas Claras	id=g:3781587
Quebrada Aguas Claras	id=g:3781588
Cerro del Ají	id=g:3781589
Alemania	id=g:3781590
Quebrada de Alpaso	id=g:3781591
Altamira	id=g:3781592
Cuchilla Alto del Aire	id=g:3781593
Río Amoladero	id=g:3781594
Amsterdam	id=g:3781595
Andalucía	id=g:3781596
Quebrada Andamios	id=g:3781597
Quebrada de Antiguas	id=g:3781598
Antonio Nariño	id=g:3781599
Aposentos	id=g:3781600
Quebrada Arenal	id=g:3781601
Quebrada del Arenal	id=g:3781602
Avícola Aretama	id=g:3781603
Loma de Armadillos	id=g:3781604
Laguna del Arnical	id=g:3781605
Quebrada Arnical	id=g:3781606
Arrayán	id=g:3781607
Quebrada de Asilo	id=g:3781608
Peña Atravesada	id=g:3781609
Peña Azul	id=g:3781610
Quebrada de Balcones	id=g:3781611
Río Balcones	id=g:3781612
Quebrada del Baluval	id=g:3781613
Hacienda Bellavista	id=g:3781614
Bemposta	id=g:3781615
Berlín	id=g:3781616
Betania	id=g:3781617
Quebrada Betlemita	id=g:3781618
Quebrada Blanca	id=g:3781619
Quebrada Blanca	id=g:3781620
Quebrada Blanca	id=g:3781621
Alto Blanco	id=g:3781622
Río Blanco	id=g:3781623
Río Blanco	id=g:3781624
Río Blanco	id=g:3781625
Río Blanco	id=g:3781626
Bobadilla	id=g:3781627
Cuchilla Bocachica	id=g:3781628
Cerro de Bocatorta	id=g:3781629
Río Bogotá	id=g:3781630
Bolívar	id=g:3781631
Cerro Bolsa Negra	id=g:3781632
Hacienda Boncí	id=g:3781633
Boquerón	id=g:3781634
Granja Boriguen	id=g:3781635
Bosconia	id=g:3781636
Hacienda Boyerito	id=g:3781637
Boyero	id=g:3781638
Laguna Brava	id=g:3781639
Laguna Brava	id=g:3781640
Buenavista	id=g:3781641
Buenavista	id=g:3781642
Buenos Aires	id=g:3781643
Alto Buitrago	id=g:3781644
Lagunas de Buitrago	id=g:3781645
Quebrada Buitrago	id=g:3781646
Cuchilla de Cachinchoque	id=g:3781647
Cachival	id=g:3781648
Cuchilla Cachivalí	id=g:3781649
Quebrada Cajón	id=g:3781650
Caliche	id=g:3781651
Quebrada de Calostros	id=g:3781652
Hacienda Camacho	id=g:3781653
Camargo	id=g:3781654
Cuchilla de Campanario	id=g:3781655
Campoalegre	id=g:3781656
Quebrada Cananed	id=g:3781657
Quebrada Candales	id=g:3781658
Quebrada Candela	id=g:3781659
Quebrada Caño Negro	id=g:3781660
Cerro de Canoas	id=g:3781661
Quebrada Capanta	id=g:3781662
Capilla de Belén	id=g:3781663
Cerro Cara de Perro	id=g:3781664
Cerro Carare	id=g:3781665
Quebrada del Carare	id=g:3781666
Cuchilla Careperro	id=g:3781667
Quebrada Carpanta	id=g:3781668
Cárpatos	id=g:3781669
Lomas de Carpintería	id=g:3781670
Casa Blanca	id=g:3781671
Hacienda Casa Blanca	id=g:3781672
Quebrada Casarrials	id=g:3781673
Castilla	id=g:3781674
Centro Alto	id=g:3781675
Cuchilla del Cerrado	id=g:3781676
Cuchilla de Cerro Bravo	id=g:3781677
Lomas de Cerro Redondo	id=g:3781678
Quebrada Cerro Verde	id=g:3781679
Quebrada Chamizal	id=g:3781680
Páramo Chamizales	id=g:3781681
Cuchilla de Chapaimilla	id=g:3781682
Chatosuga	id=g:3781683
Quebrada Chiguaque	id=g:3781684
Quebrada Chinagocha	id=g:3781685
Quebrada del Chinchorrito	id=g:3781686
Alto Chinchorro	id=g:3781687
Río Chinchorro	id=g:3781688
Quebrada Chinsaco	id=g:3781689
Río Chipatá	id=g:3781690
Cerros del Chiquero	id=g:3781691
Río Chiquito	id=g:3781692
Río Chiquito	id=g:3781693
Río Chirivital	id=g:3781694
Chisguates	id=g:3781695
Quebrada Chisguates	id=g:3781696
Alto Chizo	id=g:3781697
Alto de Choche	id=g:3781698
Quebrada Chorralargo	id=g:3781699
Río Chorrera	id=g:3781700
Quebrada Chorrerita	id=g:3781701
Chorrillos	id=g:3781702
Quebrada Chorrillos	id=g:3781703
Quebrada Chorro Regalo	id=g:3781704
Quebrada de Chucua	id=g:3781705
Cuchilla Chupadero	id=g:3781706
Quebrada Churuguaco	id=g:3781707
Quebrada del Chuscal	id=g:3781708
Quebrada Chuscales	id=g:3781709
Chusnequé	id=g:3781710
Chuza	id=g:3781711
Cuchilla Chuza	id=g:3781712
Río Chuza	id=g:3781713
Río Chuza	id=g:3781714
Río Chuza	id=g:3781715
Cerro Cienpozuelos	id=g:3781716
Quebrada de Cimaya	id=g:3781717
Cocubal	id=g:3781718
Quebrada Colombia	id=g:3781719
Laguna Colorada	id=g:3781720
Quebrada Colorada	id=g:3781721
Quebrada Colorada	id=g:3781722
Alto Coma	id=g:3781723
Concentración Márquez	id=g:3781724
Río Concepción	id=g:3781725
Corales	id=g:3781726
Córdoba	id=g:3781727
Lomas Coscuba	id=g:3781728
Cuchilla de Cristal	id=g:3781729
Cerro Cruz Verde	id=g:3781730
Cuarteles	id=g:3781731
Cubia	id=g:3781732
Quebrada Cuchilla Larga	id=g:3781733
Quebrada Cuchilla	id=g:3781734
Quebrada del Cumi	id=g:3781735
Quebrada del Cura	id=g:3781736
Quebrada Curubital	id=g:3781737
Cuzaquin	id=g:3781738
Domingo Savia Meusa	id=g:3781739
Quebrada El Aliso	id=g:3781740
El Alto	id=g:3781741
El Alto	id=g:3781742
El Amoladaro	id=g:3781743
El Antojo	id=g:3781744
Alto El Arrastradero	id=g:3781745
Quebrada El Arrayán	id=g:3781746
El Bebadero	id=g:3781747
Quebrada El Bolsillo	id=g:3781748
El Boquerón	id=g:3781749
El Bosque	id=g:3781750
Quebrada El Buitre	id=g:3781751
El Cajón	id=g:3781752
El Carmen	id=g:3781753
El Carmen	id=g:3781754
El Carmen	id=g:3781755
El Carmen	id=g:3781756
El Carmen	id=g:3781757
El Carmen	id=g:3781758
El Carrizal	id=g:3781759
El Carrizal	id=g:3781760
El Cedra	id=g:3781761
Cuchilla El Cedral	id=g:3781762
El Centro	id=g:3781763
Quebrada El Cerezo	id=g:3781764
El Cerrito	id=g:3781765
Laguna El Cerro	id=g:3781766
Alto El Chical	id=g:3781767
El Chircal	id=g:3781768
El Chital	id=g:3781769
El Chital	id=g:3781770
Quebrada El Chivor	id=g:3781771
El Chocal	id=g:3781772
Alto El Chulo	id=g:3781773
Río El Chusca	id=g:3781774
El Chuscal	id=g:3781775
El Condor	id=g:3781776
El Descansadero	id=g:3781777
El Desierto	id=g:3781778
Alto El Desierto	id=g:3781779
Cerro El Diamante	id=g:3781780
Cuchilla El Diamante	id=g:3781781
El Durazno	id=g:3781782
El Edén	id=g:3781783
Cerro El Edén	id=g:3781784
El Escobal	id=g:3781785
El Espinal	id=g:3781786
El Faro	id=g:3781787
Quebrada El Granadillo	id=g:3781788
Quebrada El Granizo	id=g:3781789
Quebrada El Gusano	id=g:3781790
Club Náutico El Hanza	id=g:3781791
El Hatillo	id=g:3781792
El Hato	id=g:3781793
El Hato	id=g:3781794
El Jardín	id=g:3781795
El Líbano	id=g:3781796
El Líbano	id=g:3781797
El Lindero	id=g:3781798
El Llano	id=g:3781799
El Manzano	id=g:3781800
Quebrada El Morro	id=g:3781801
Alto El Muchacho	id=g:3781802
El Neusa	id=g:3781803
El Ocal	id=g:3781804
Alto El Ovejero	id=g:3781805
Quebrada El Palmar	id=g:3781806
Quebrada El Palmar	id=g:3781807
El Palo	id=g:3781808
Alto El Palo	id=g:3781809
El Páramo	id=g:3781810
Alto El Páramo	id=g:3781811
Quebrada El Peine	id=g:3781812
Alto El Peñón	id=g:3781813
Alto El Picacho	id=g:3781814
Filo El Piñal	id=g:3781815
El Pino	id=g:3781816
Hacienda El Pino	id=g:3781817
El Placer	id=g:3781818
El Placer	id=g:3781819
El Plan	id=g:3781820
Club Náutico El Portillo	id=g:3781821
Cuchilla El Portillo	id=g:3781822
Loma El Porvenir	id=g:3781823
Cuchilla El Pulpito	id=g:3781824
Cuchilla El Quichal	id=g:3781825
Loma El Raízal	id=g:3781826
El Rancho	id=g:3781827
Quebrada El Raudal	id=g:3781828
Alto El Rayo	id=g:3781829
El Recuendo	id=g:3781830
El Recuerdo	id=g:3781831
El Resguardo	id=g:3781832
Quebrada El Retiro Arriba	id=g:3781833
Peñas El Retiro	id=g:3781834
Quebrada El Retiro	id=g:3781835
El Rincón	id=g:3781836
Quebrada El Rincón	id=g:3781837
Quebrada El Rincón	id=g:3781838
Hacienda El Rocío	id=g:3781839
Loma El Rogache	id=g:3781840
El Rosal	id=g:3781841
El Salitre	id=g:3781842
El Salitre	id=g:3781843
El Salitre	id=g:3781844
Quebrada El Salitre	id=g:3781845
Peñas El Saltadero	id=g:3781846
Quebrada El Salvio	id=g:3781847
El Santuario	id=g:3781848
El Santuario	id=g:3781849
El Santuario	id=g:3781850
Alto El Santuario	id=g:3781851
Loma El Santuario	id=g:3781852
Lomas El Santuario	id=g:3781853
Quebrada El Santuario	id=g:3781854
El Sucre	id=g:3781855
El Tablón	id=g:3781856
Peña El Tablón	id=g:3781857
El Toronjo	id=g:3781858
Quebrada El Toronjo	id=g:3781859
El Treinta y Seis	id=g:3781860
Alto El Trigal	id=g:3781861
El Triunfo	id=g:3781862
Quebrada El Tunjo	id=g:3781863
El Volcán	id=g:3781864
Loma El Volcán	id=g:3781865
Quebrada El Zajón	id=g:3781866
El Zaque	id=g:3781867
Cañada Escobal	id=g:3781868
Quebrada Espino Corcobado	id=g:3781869
Río Farallones	id=g:3781870
Río Farallones	id=g:3781871
Alto Fausto	id=g:3781872
Quebrada Fausto	id=g:3781873
Ferralara	id=g:3781874
Refugio Náutico Fibamox Chaleche	id=g:3781875
Florencia	id=g:3781876
Cuchilla Fonte y Cardón	id=g:3781877
Fraile Jonal	id=g:3781878
Río Frío	id=g:3781879
Cerro Fronterita	id=g:3781880
Gabriel	id=g:3781881
Gabriela Mistral	id=g:3781882
Gachetá	id=g:3781883
Río Gacheta	id=g:3781884
Río Gachetá	id=g:3781885
Quebrada Gallo	id=g:3781886
Peñón de Gama	id=g:3781887
Gambita	id=g:3781888
Quebrada Gaquinal	id=g:3781889
Alto del Gavilán	id=g:3781890
Gigante	id=g:3781891
Cuchilla de Golillas	id=g:3781892
Quebrada de Golillas	id=g:3781893
Quebrada del Golpe	id=g:3781894
Quebrada Golpes de Agua	id=g:3781895
Quebrada Granada	id=g:3781896
Granadillo	id=g:3781897
Granadita	id=g:3781898
Alto Grande	id=g:3781899
Quebrada Grande	id=g:3781900
Quebrada Grande	id=g:3781901
Granja	id=g:3781902
Hacienda Guacamayas	id=g:3781903
Lomas de Guacamayas	id=g:3781904
Alto del Guamo	id=g:3781905
Quebrada de Guandita	id=g:3781906
Guarumal	id=g:3781907
Guasa	id=g:3781908
Río Guatafur	id=g:3781909
Río Guatiquía	id=g:3781910
Río Guatiquía	id=g:3781911
Guavío	id=g:3781912
Río del Hatillo	id=g:3781913
Hato Grande	id=g:3781914
Hato Grande	id=g:3781915
Cuchilla Hato Grande	id=g:3781916
Alto Higuerón	id=g:3781917
Hogar	id=g:3781918
Quebrada Honda	id=g:3781919
Quebrada Honda	id=g:3781920
Quebrada Honda	id=g:3781921
Hoya Grande	id=g:3781922
Cerro Hueco	id=g:3781923
Páramo de Huila	id=g:3781924
Río Humea Chico	id=g:3781925
Jerusalén	id=g:3781926
Quebrada Jordán	id=g:3781927
Laguna Juan Vaca	id=g:3781928
Alto Juiquín	id=g:3781929
Río Juiquín	id=g:3781930
Alto Juncal	id=g:3781931
Junia	id=g:3781932
Quebrada Junia	id=g:3781933
Hacienda La Alcancia	id=g:3781934
La Aldea	id=g:3781935
Hacienda La Argovia	id=g:3781936
La Armenia	id=g:3781937
La Aurora	id=g:3781938
Alto La Bandera	id=g:3781939
Laguna La Bolsa	id=g:3781940
Peñas de La Bolsa	id=g:3781941
La Cabaña	id=g:3781942
La Cabaña	id=g:3781943
Cerro La Cabrera	id=g:3781944
La Caja	id=g:3781945
Alto de La Caja	id=g:3781946
Quebrada La Caja	id=g:3781947
Quebrada La Cañada	id=g:3781948
La Carbonera	id=g:3781949
Peña La Carbonera	id=g:3781950
Quebrada La Carbonera	id=g:3781951
Quebrada La Carbonera	id=g:3781952
La Carolina	id=g:3781953
Quebrada La Cascada	id=g:3781954
La Casita	id=g:3781955
La Cecilia	id=g:3781956
Quebrada La Centella	id=g:3781957
Quebrada La Chala	id=g:3781958
La Chamba	id=g:3781959
La Chapa	id=g:3781960
La Chorrerita	id=g:3781961
Alto La Cruz	id=g:3781962
Alto La Cruz	id=g:3781963
La Cumbre	id=g:3781964
Alto La Cumbre	id=g:3781965
La Diana	id=g:3781966
La Diana	id=g:3781967
Hacienda La Escuela	id=g:3781968
Cerro La Esmeralda	id=g:3781969
La Esperaza	id=g:3781970
La Estancia	id=g:3781971
La Floresta	id=g:3781972
La Florida	id=g:3781973
Quebrada La Fragua	id=g:3781974
Quebrada La Fuente	id=g:3781975
Quebrada La Glorieta	id=g:3781976
La Gruta	id=g:3781977
Quebrada La Gruta	id=g:3781978
La Guaca	id=g:3781979
Hacienda La Honduras	id=g:3781980
Quebrada La Horqueta	id=g:3781981
La Hoya	id=g:3781982
La Independencia	id=g:3781983
La Joyanca	id=g:3781984
Laguna La Joyanca	id=g:3781985
Cuchilla La Laguna	id=g:3781986
Hacienda La Laguna	id=g:3781987
La Lagunita	id=g:3781988
Cuchilla La Laja	id=g:3781989
Quebrada La Laja	id=g:3781990
La Loma	id=g:3781991
Quebrada La Moya	id=g:3781992
Quebrada La Moya	id=g:3781993
Quebrada La Moya	id=g:3781994
Quebrada La Moya	id=g:3781995
La Ofrenda	id=g:3781996
Cerro La Paila	id=g:3781997
Quebrada La Paila	id=g:3781998
Lomas La Palestina	id=g:3781999
La Palma	id=g:3782000
Chorro La Palma	id=g:3782001
Quebrada La Palma	id=g:3782002
La Paloma	id=g:3782003
La Palomita	id=g:3782004
La Paz	id=g:3782005
Alto La Peña de Águila	id=g:3782006
Loma La Peña de Villeta	id=g:3782007
Quebrada La Pepita	id=g:3782008
Cuchilla La Pipa	id=g:3782009
La Playa	id=g:3782010
Hacienda La Playa	id=g:3782011
Río La Playa	id=g:3782012
Hacienda La Polonia	id=g:3782013
La Portada	id=g:3782014
La Providencia	id=g:3782015
La Quinta	id=g:3782016
Alto La Salvadora	id=g:3782017
La Sauceda	id=g:3782018
La Selva	id=g:3782019
Quebrada La Siberia	id=g:3782020
La Toma	id=g:3782021
La Trinidad	id=g:3782022
La Unión	id=g:3782023
La Unión	id=g:3782024
Quebrada La Unión	id=g:3782025
Quebrada La Vaina	id=g:3782026
La Vega	id=g:3782027
La Vega	id=g:3782028
La Vega	id=g:3782029
Alto La Vieja	id=g:3782030
La Villa	id=g:3782031
La Villa	id=g:3782032
La Violeta	id=g:3782033
Quebrada La Virginia	id=g:3782034
Río Lagunero	id=g:3782035
Loma Laguneta	id=g:3782036
Quebrada Lagunitas	id=g:3782037
Quebrada Lagunitas	id=g:3782038
Quebrada Laja	id=g:3782039
Quebrada Laja	id=g:3782040
La Peña	id=g:3782041
Quebrada Lamederos	id=g:3782042
Barajas Páramo	id=g:3782043
Laguna Las Bonitas	id=g:3782044
Quebrada Las Ciervas	id=g:3782045
Alto Las Cruces	id=g:3782046
Quebrada de Las Cuadras	id=g:3782047
Quebrada Las Curies	id=g:3782048
Las Delicias	id=g:3782049
Quebrada Las Delicias	id=g:3782050
Quebrada Las Esmeraldas	id=g:3782051
Las Juntas	id=g:3782052
Las Juntas	id=g:3782053
Las Juntas	id=g:3782054
Las Lagunas	id=g:3782055
Alto Las Lajas	id=g:3782056
Quebrada Las Lajas	id=g:3782057
Quebrada de Las Lajas	id=g:3782058
Las Lomitas	id=g:3782059
Las Lomitas	id=g:3782060
Quebrada Las Lomitas	id=g:3782061
Las Marías	id=g:3782062
Las Mascota	id=g:3782063
Quebrada Las Mayitas	id=g:3782064
Las Mercedes	id=g:3782065
Quebrada Las Mercedes	id=g:3782066
Quebrada Las Minas	id=g:3782067
Quebrada Las Pavas	id=g:3782068
Quebrada Las Peñas	id=g:3782069
Quebrada de Las Tapias	id=g:3782070
Las Tominejas	id=g:3782071
Quebrada Las Verdes	id=g:3782072
Quebrada Leirero	id=g:3782073
Río Lejías	id=g:3782074
Cerro Leticia	id=g:3782075
Chorro Leticia	id=g:3782076
Peña de Limas	id=g:3782077
Llanadas Arriba	id=g:3782078
Llanadas Bajo	id=g:3782079
Cuchilla Llano de Huila	id=g:3782080
Quebrada Llano Grande	id=g:3782081
Los Aguados	id=g:3782082
Los Alisos	id=g:3782083
Quebrada Los Alisos	id=g:3782084
Los Andes	id=g:3782085
Los Andes	id=g:3782086
Avícola Los Antanes	id=g:3782087
Quebrada Los Arenales	id=g:3782088
Los Arrayanes	id=g:3782089
Los Arrayanes	id=g:3782090
Cerro Los Boquerones	id=g:3782091
Los Cárpatos	id=g:3782092
Los Cerezos	id=g:3782093
Los Cerritos	id=g:3782094
Los Corales	id=g:3782095
Quebrada Los Curos	id=g:3782096
Los Espinos	id=g:3782097
Los Estados	id=g:3782098
Alto Los Gavilanes	id=g:3782099
Peñas Los Gigantes	id=g:3782100
Los Guaques	id=g:3782101
Cerro Los Guayabos	id=g:3782102
Quebrada Los Jeques	id=g:3782103
Cerro Los Laureles	id=g:3782104
Quebrada Los Llanitos	id=g:3782105
Quebrada Los Llanitos	id=g:3782106
Quebrada Los Llanitos	id=g:3782107
Los López	id=g:3782108
Cuchilla de Los López	id=g:3782109
Río Los López	id=g:3782110
Los Naranjos	id=g:3782111
Los Naranjos	id=g:3782112
Peña Los Picachos	id=g:3782113
Los Pinos	id=g:3782114
Los Pinos	id=g:3782115
Cerro Los Quemados	id=g:3782116
Quebrada Los Rincones	id=g:3782117
Los Sauces	id=g:3782118
Cerro Los Viejos	id=g:3782119
Madrid	id=g:3782120
Hacienda Manga	id=g:3782121
Maracaibo	id=g:3782122
Cerro Marayal	id=g:3782123
Quebrada Marmajita	id=g:3782124
Márquez	id=g:3782125
Masa	id=g:3782126
Cuchilla Mata de Ramo	id=g:3782127
Quebrada Materrano	id=g:3782128
Farallones de Medina	id=g:3782129
Medio Rozo	id=g:3782130
Laguna del Medio	id=g:3782131
Hacienda Mercenario	id=g:3782132
Quebrada de Mi Padre Jesús	id=g:3782133
Miguel Antonio Caro	id=g:3782134
Milán	id=g:3782135
Minas	id=g:3782136
Miraflores	id=g:3782137
Alto Miraflores	id=g:3782138
Quebrada Moncabita	id=g:3782139
Quebrada Moncoba	id=g:3782140
Monguetiva	id=g:3782141
Montecillo	id=g:3782142
Cerro Montecillo	id=g:3782143
Cuchilla Montes Negros	id=g:3782144
Quebrada Montes Negros	id=g:3782145
Río Moquentiva	id=g:3782146
Quebrada Mosquita	id=g:3782147
Río Muchindote	id=g:3782148
Quebrada Mundo Nuevo	id=g:3782149
Quebrada Muñoz	id=g:3782150
Quebrada Muragá	id=g:3782151
Nazareth	id=g:3782152
Laguna Negra	id=g:3782153
Peña Negra	id=g:3782154
Quebrada Negra	id=g:3782155
Quebrada Negra	id=g:3782156
Quebrada Negra	id=g:3782157
Quebrada Negra	id=g:3782158
Quebrada Negra	id=g:3782159
Quebrada Negra	id=g:3782160
Negrecía	id=g:3782161
Cuchilla Negrecía	id=g:3782162
Cerro Negro	id=g:3782163
Quebrada Negro	id=g:3782164
Río Negro	id=g:3782165
Río Negro	id=g:3782166
Río Negro	id=g:3782167
Nemostén	id=g:3782168
Quebrada Niza	id=g:3782169
Hacienda Noraima	id=g:3782170
Nuevo Edén	id=g:3782171
Lomas de Pacheco	id=g:3782172
Palacio	id=g:3782173
Alto Palacios	id=g:3782174
Palmar	id=g:3782175
Palmar Abajo	id=g:3782176
Palmar Arriba	id=g:3782177
Quebrada Palo Blanco	id=g:3782178
Alto Pan de Azúcar	id=g:3782179
Río Pan de Azúcar	id=g:3782180
Cerro de Panamá	id=g:3782181
Quebrada de Pantano Grande	id=g:3782182
Pantano Largo	id=g:3782183
Quebrada Paso Claro	id=g:3782184
Pausa	id=g:3782185
Laguna de Peña Azul	id=g:3782186
Peña Blanca	id=g:3782187
Lomas Peña Blanca	id=g:3782188
Cerro Peña Blanca	id=g:3782189
Cuchilla Peña Blanca	id=g:3782190
Quebrada Peña Blanca	id=g:3782191
Cuchilla Peña Colorada	id=g:3782192
Quebrada Peña Colorada	id=g:3782193
Cerro Peña Cuadrada	id=g:3782194
