Whitney Hill	id=g:4983047
Wiley Brook	id=g:4983137
Wiley Brook	id=g:4983138
Wiley Cemetery	id=g:4983139
Wiley Cove	id=g:4983140
Wiley Cove	id=g:4983141
Wiley Hill	id=g:4983142
Wiley Mountain	id=g:4983143
Wiley Neck	id=g:4983144
Wiley Point	id=g:4983145
Wiley Pond	id=g:4983146
Wiley Pond	id=g:4983147
Wiley School	id=g:4983148
Wilhelm Reich Museum	id=g:4983149
Mount Will	id=g:4983150
Willard Beach	id=g:4983151
Willard Brook	id=g:4983152
Wiley Cemetery	id=g:4983153
Willard Brook	id=g:4983154
Willard Brook	id=g:4983155
Willard Cemetery	id=g:4983156
Willard Point	id=g:4983157
Willard Ridge	id=g:4983158
Willard Rock	id=g:4983159
Willard School	id=g:4983160
Willard School	id=g:4983161
Willard School	id=g:4983162
Willard Square	id=g:4983163
Willard Square	id=g:4983164
Willet Eddy	id=g:4983165
Willett Brook	id=g:4983166
Willard Mountain	id=g:4983167
Willett Brook	id=g:4983168
Willett Brook	id=g:4983169
William A Farnsworth Art Museum	id=g:4983170
William A Farnsworth Homestead	id=g:4983171
William A Farnsworth Library	id=g:4983172
William Fogg Memorial Library	id=g:4983173
William H Rowe School	id=g:4983174
William Haskell Recreation Center	id=g:4983175
William Henry Memorial Fort (historical)	id=g:4983176
William S Cohen School	id=g:4983177
Williams Brook	id=g:4983178
Willett Hill	id=g:4983179
Williams Brook	id=g:4983180
Williams Brook	id=g:4983181
Williams Brook	id=g:4983182
Williams Brook	id=g:4983183
Williams Cemetery	id=g:4983184
Williams Cemetery	id=g:4983185
Williams Dam	id=g:4983186
Williams Hill	id=g:4983187
Williams Island	id=g:4983188
Williams Island	id=g:4983189
Williams Island	id=g:4983190
Williams Mountain	id=g:4983191
Williams Mountain Lookout Tower	id=g:4983192
Williams Playground	id=g:4983193
Williams Pond	id=g:4983194
Williams Pond	id=g:4983195
Williams Pond	id=g:4983196
Williams Pond	id=g:4983197
Williams School	id=g:4983198
Williams School	id=g:4983199
Williams School	id=g:4983200
Williams Temple Church of God in Christ	id=g:4983201
Williamsburg	id=g:4983202
Williamsburg School	id=g:4983203
Willimantic	id=g:4983204
Town of Willimantic	id=g:4983205
Willis Corners	id=g:4983206
Willis Island	id=g:4983207
Willis Mill	id=g:4983208
Willis Point	id=g:4983209
Willisms Point	id=g:4983210
Williston-West Church	id=g:4983211
Willow Brook	id=g:4983212
Williams Cemetery	id=g:4983213
Willow Brook	id=g:4983214
Willow Brook	id=g:4983215
Willowdale Golf Course	id=g:4983216
Wills Brook	id=g:4983217
Willowbrook Museum	id=g:4983218
Wilmot Brook	id=g:4983219
Wills Gut	id=g:4983220
Wilson Bridge	id=g:4983221
Wilson Brook	id=g:4983222
Wilmot Cove	id=g:4983223
Wilson Brook	id=g:4983224
Wilson Brook	id=g:4983225
Wilson Cemetery	id=g:4983226
Wilson Corner	id=g:4983227
Wilson Cove	id=g:4983228
Wilson Cove	id=g:4983229
Wilson Creek	id=g:4983230
Wilson Head	id=g:4983231
Wilson Hill	id=g:4983232
Wilson Hill	id=g:4983233
Wilson Hill Pond	id=g:4983234
Wilson Lake	id=g:4983235
Wilson Lake Country Club	id=g:4983236
Wilson Ledges	id=g:4983237
Wilson Ledges	id=g:4983238
Wilson Point	id=g:4983239
Wilson Pond	id=g:4983240
Wilson Pond	id=g:4983241
Wilson Pond	id=g:4983242
Wilson Pond	id=g:4983243
Wilson Pond Camps	id=g:4983244
Wilson Pond Dam	id=g:4983245
Wilson Pond Dam	id=g:4983246
Wilson Pond Dam	id=g:4983247
Wilson School	id=g:4983248
Wilson School	id=g:4983249
Wilson Stream	id=g:4983250
Wilson Cemetery	id=g:4983251
Wilson Stream	id=g:4983252
Wilson Stream	id=g:4983253
Wilson Stream	id=g:4983254
Wilson Stream Reservoir	id=g:4983255
Wilsons Mills Post Office	id=g:4983256
Wilton	id=g:4983257
Wilton Farm and Home Museum	id=g:4983258
Wilton Free Public Library	id=g:4983259
Wilton Intervale	id=g:4983260
Wilton Station (historical)	id=g:4983261
Wilton United Methodist Church	id=g:4983262
Town of Wilton	id=g:4983263
Winche Mountain	id=g:4983264
Windemere	id=g:4983265
Windey Pitch	id=g:4983266
Windham Baptist Church	id=g:4983267
Windham Center	id=g:4983268
Windham Christian Life Center	id=g:4983269
Windham Hill	id=g:4983270
Windham Hill	id=g:4983271
Windham Hill Cemetery	id=g:4983272
Windham Hill United Church of Christ	id=g:4983273
Windham Mall Shopping Center	id=g:4983274
Windham Plains Chapel	id=g:4983275
Windham Public Library	id=g:4983276
Windham Real School	id=g:4983277
Windham Town Hall	id=g:4983278
Town of Windham	id=g:4983279
Windle Brook	id=g:4983280
Wilsons Mills	id=g:4983281
Windows Ledge	id=g:4983282
Windsor	id=g:4983283
Windsor Elementary School	id=g:4983284
Windsor Fairgrounds	id=g:4983285
Windsor Neck Cemetery	id=g:4983286
Windsor Neck Hill	id=g:4983287
Windsor Station	id=g:4983288
Town of Windsor	id=g:4983289
Windsorville	id=g:4983290
Windy Hill	id=g:4983291
Windy Pitch	id=g:4983292
Wing Brook	id=g:4983293
Windmill Point	id=g:4983294
Wing Cemetery	id=g:4983295
Wing Cemetery	id=g:4983296
Wing Pond	id=g:4983297
Wingate Hall	id=g:4983298
Wingdam Island	id=g:4983299
Wingdam Rips	id=g:4983300
Wings Mills	id=g:4983301
Winkumpaugh Brook	id=g:4983302
Wing Cemetery	id=g:4983303
Winkumpaugh Cove	id=g:4983304
Winn	id=g:4983305
Winn Joy Mountain	id=g:4983306
Winn Mountain	id=g:4983307
Town of Winn	id=g:4983308
Winnecook	id=g:4983309
Winnegance	id=g:4983310
Winnegance Bay	id=g:4983311
Winnegance Causeway Dam	id=g:4983312
Winnegance Creek	id=g:4983313
Winkumpaugh Corners	id=g:4983314
Winnocks Neck	id=g:4983315
Winns Hill	id=g:4983316
Winship Brook	id=g:4983317
Winnegance Lake	id=g:4983318
Winship Stream	id=g:4983319
Winship School	id=g:4983320
Winslow Brook	id=g:4983321
Winslow	id=g:4983322
Winslow Cove	id=g:4983323
Winslow Hall	id=g:4983324
Winslow Hill	id=g:4983325
Winslow Island	id=g:4983326
Winslow Lake	id=g:4983327
Winslow Memorial Park	id=g:4983328
Winslow Pond	id=g:4983329
Winslow Rocks	id=g:4983330
Winslow Stream	id=g:4983331
Winslow Cemetery	id=g:4983332
Winslows Mills	id=g:4983333
Winston Hill	id=g:4983334
Winter Brook	id=g:4983335
Town of Winslow	id=g:4983336
Winter Harbor	id=g:4983337
Winter Harbor	id=g:4983338
Winter Harbor	id=g:4983339
Winter Harbor Grammar School	id=g:4983340
Winter Harbor Historical Society Building	id=g:4983341
Winter Harbor Light	id=g:4983342
Winter Harbor Marina	id=g:4983343
Winter Harbor Yacht Club	id=g:4983344
Town of Winter Harbor	id=g:4983345
Winter Hill	id=g:4983346
Winter Street Church	id=g:4983347
Winterport	id=g:4983348
Winterport Station	id=g:4983349
Town of Winterport	id=g:4983350
Winterville	id=g:4983351
Winterville Post Office (historical)	id=g:4983352
Winterville Station	id=g:4983353
Plantation of Winterville	id=g:4983354
Winthrop	id=g:4983355
Winthrop Center	id=g:4983356
Winthrop Hall	id=g:4983357
Town of Winthrop	id=g:4983358
Wiscasset	id=g:4983359
Wiscasset Airport	id=g:4983360
Wiscasset High School	id=g:4983361
Wiscasset Historic District	id=g:4983362
Wiscasset Jail and Museum	id=g:4983363
Wiscasset Middle School	id=g:4983364
Wiscasset Post Office (historical)	id=g:4983365
Town of Wiscasset	id=g:4983366
Wisdom Middle-High School	id=g:4983367
Wiskeag Creek	id=g:4983368
Winter Harbor	id=g:4983369
Witch Cove	id=g:4983370
Witch Hole Pond	id=g:4983371
Witch Hole Pond Carriage Trail	id=g:4983372
Witch Island	id=g:4983373
Witch Rock	id=g:4983374
Witcher Brook	id=g:4983375
Wiswell Cemetery	id=g:4983376
Witchtrot Hill	id=g:4983377
Witham Bog	id=g:4983378
Witham Brook	id=g:4983379
Witcher Swamp	id=g:4983380
Witham Brook	id=g:4983381
Witham Brook	id=g:4983382
Witham Mountain	id=g:4983383
Witham Pond	id=g:4983384
Withee Brook	id=g:4983385
Witham Corner	id=g:4983386
Witherell Island	id=g:4983387
Witherle Memorial Library	id=g:4983388
Witherle Park	id=g:4983389
Witherle Ravine	id=g:4983390
Withee Pond	id=g:4983391
Witherspoons Airport	id=g:4983392
Withey Bog	id=g:4983393
Withey Brook	id=g:4983394
Witherspoon Cemetery	id=g:4983395
Witt Swamp	id=g:4983396
Wizard Pond	id=g:4983397
Wohoa Bay	id=g:4983398
Wolf Island	id=g:4983399
Wolf Neck	id=g:4983400
Wolf Neck Cemetery	id=g:4983401
Wolf Pond	id=g:4983402
Wolfes Neck Woods State Park	id=g:4983403
Wolsgrover Island	id=g:4983404
Woltz Point	id=g:4983405
Wolverton Brook	id=g:4983406
Witt Hill	id=g:4983407
Wonderland Trail	id=g:4983408
Wonsqueak Harbor	id=g:4983409
Wood Cemetery	id=g:4983410
Wood Cove	id=g:4983411
Wood Island	id=g:4983412
Wood Island	id=g:4983413
Wood Island	id=g:4983414
Wood Island	id=g:4983415
Wood Island	id=g:4983416
Wood Island	id=g:4983417
Wood Island	id=g:4983418
Wood Island Harbor	id=g:4983419
Wood Island Light Station	id=g:4983420
Wood Island South Ledge	id=g:4983421
The Wood Land	id=g:4983422
Wood Pond	id=g:4983423
Wood Pond Cove	id=g:4983424
Wood Pond Point	id=g:4983425
Wood Stream	id=g:4983426
Wonderland	id=g:4983427
Woodard (historical)	id=g:4983428
Woodbine Cemetery	id=g:4983429
Woodbridge Corner	id=g:4983430
Woodbridge Island	id=g:4983431
Woodbury Hill	id=g:4983432
Woodbury Hill	id=g:4983433
Woodbury Hill	id=g:4983434
Woodbury Hills	id=g:4983435
Woodbury Pond	id=g:4983436
Woodbury Pond	id=g:4983437
The Woodbury	id=g:4983438
Woodchopping Ridge	id=g:4983439
Woodchuck Hill	id=g:4983440
Woodcock Brook	id=g:4983441
Lake Wood	id=g:4983442
Woodfords	id=g:4983443
Woodfords Congregational Church	id=g:4983444
Woodfords Corner	id=g:4983445
Woodland	id=g:4983446
Woodland Baptist Church	id=g:4983447
Woodland Cemetery	id=g:4983448
Woodland Cemetery	id=g:4983449
Woodland Center	id=g:4983450
Woodland Church	id=g:4983451
Woodland Consolidated School	id=g:4983452
Woodland Dam	id=g:4983453
Woodland Flowage	id=g:4983454
Woodland Junction	id=g:4983455
Woodland Ledge	id=g:4983456
Woodland Park Campground	id=g:4983457
Woodland Terrace Golf Course	id=g:4983458
Town of Woodland	id=g:4983459
Woodlawn Cemetery	id=g:4983460
Woodlawn Cemetery	id=g:4983461
Woodlawn Cemetery	id=g:4983462
Woodlawn Cemetery	id=g:4983463
Woodlawn Cemetery	id=g:4983464
Woodlawn Cemetery	id=g:4983465
Woodlawn Cemetery	id=g:4983466
Woodlawn Cemetery	id=g:4983467
Woodlawn Cemetery	id=g:4983468
Woodlawn Cemetery	id=g:4983469
Woodlawn Cemetery	id=g:4983470
Woodlot Ridge	id=g:4983471
Woodman Bog	id=g:4983472
Woodman Brook	id=g:4983473
Wooden Ball Island	id=g:4983474
Woodman Brook	id=g:4983475
Woodman Building	id=g:4983476
Woodman Hill	id=g:4983477
Woodman Junior High School	id=g:4983478
Woodman Pond	id=g:4983479
Woodman Pond	id=g:4983480
Woodmans Mills	id=g:4983481
Woodruff Cove	id=g:4983482
Woodruff Mountain	id=g:4983483
Woods	id=g:4983484
Woods End	id=g:4983485
Woods Island	id=g:4983486
Woods Millpond	id=g:4983487
Woods Point	id=g:4983488
Woods Pond	id=g:4983489
Woods Pond Dam	id=g:4983490
Woods School	id=g:4983491
Woodside Elementary School	id=g:4983492
Woodstock School	id=g:4983493
Woodstock Seventh Day Church	id=g:4983494
Town of Woodstock	id=g:4983495
Woodsum Brook	id=g:4983496
Woodman Cemetery	id=g:4983497
Town of Woodville	id=g:4983498
Woodward Cove	id=g:4983499
Woodward Hall	id=g:4983500
Woodward Mountain	id=g:4983501
Woodward Point	id=g:4983502
Woodward Point	id=g:4983503
Woolwich	id=g:4983504
Woolwich Central School	id=g:4983505
Woolwich Town House	id=g:4983506
Town of Woolwich	id=g:4983507
Woolwich-Wiscasset Church	id=g:4983508
Wooster Cove	id=g:4983509
Worcester Lodge	id=g:4983510
Work Cove	id=g:4983511
Work Point	id=g:4983512
Worleys Ice Pond (historical)	id=g:4983513
Wormell Ledges	id=g:4983514
Wormwood Pond	id=g:4983515
Worster Brook	id=g:4983516
Woodsum Cemetery	id=g:4983517
Worthley Brook	id=g:4983518
Worthley Brook	id=g:4983519
Worthley Pond	id=g:4983520
Worthley Pond	id=g:4983521
Worthley Pond	id=g:4983522
Worthley Pond Dam	id=g:4983523
Wounded Deer Pond	id=g:4983524
Wreck Corner	id=g:4983525
Wreck Cove	id=g:4983526
Wreck Island	id=g:4983527
Wreck Island	id=g:4983528
Wreck Island Ledges	id=g:4983529
Wreck Ledge	id=g:4983530
Wight Corner	id=g:4983531
Wright School	id=g:4983532
Wrights Cove	id=g:4983533
Wrights Mill Stream	id=g:4983534
Worthley Pond	id=g:4983535
Wrights Wharf	id=g:4983536
Wyer Island	id=g:4983537
Wyles Brook	id=g:4983538
Wrights Point	id=g:4983539
Wyman	id=g:4983540
Wyman Bay	id=g:4983541
Wyman Brook	id=g:4983542
Wylie Rock	id=g:4983543
Wyman Brook	id=g:4983544
Wyman Brook	id=g:4983545
Wyman Brook	id=g:4983546
Wyman Brook Ridge	id=g:4983547
Wyman Dam	id=g:4983548
Wyman Dam	id=g:4983549
Wyman Dam Post Office	id=g:4983550
Wyman Lake	id=g:4983551
Wyman Ledge	id=g:4983552
Wyman Mountain	id=g:4983553
Wyman Pond	id=g:4983554
Unorganized Territory of Wyman	id=g:4983555
Wynburg (historical)	id=g:4983556
Wytopitlock	id=g:4983557
Wytopitlock Elementary School	id=g:4983558
Wytopitlock Lake	id=g:4983559
Wytopitlock Stream	id=g:4983560
Wyman Cemetery	id=g:4983561
YMCA Building	id=g:4983562
YMCA Building	id=g:4983563
YMCA Building	id=g:4983564
YMCA Camp	id=g:4983565
Yachtsman Building	id=g:4983566
Yagger	id=g:4983567
Yallaly Hill	id=g:4983568
Yankeeland Campground	id=g:4983569
Yankeetuladi Brook	id=g:4983570
YMCA Building	id=g:4983571
Yarmouth	id=g:4983572
Yarmouth Academy	id=g:4983573
Yarmouth Elementary School	id=g:4983574
Yarmouth High School	id=g:4983575
Yarmouth Historical Society and Museum	id=g:4983576
Yarmouth Island	id=g:4983577
Yarmouth Junction	id=g:4983578
Yarmouth Ledges	id=g:4983579
Yarmouth Reservoir	id=g:4983580
Yarmouth Town Hall	id=g:4983581
Town of Yarmouth	id=g:4983582
Yates Point	id=g:4983583
Yeaton Brook	id=g:4983584
Yeaton Cove	id=g:4983585
Yeaton Hill	id=g:4983586
Yeaton Island	id=g:4983587
Yeaton Point	id=g:4983588
Yellow Birch Head	id=g:4983589
Yellow Brook	id=g:4983590
Yankeetuladi Pond	id=g:4983591
Yellow Head	id=g:4983592
Yellow Head	id=g:4983593
Yellow Island	id=g:4983594
Yellow Ledge	id=g:4983595
Yellow Ledge	id=g:4983596
Yellow Ledge	id=g:4983597
Yellow Ridge Island	id=g:4983598
Yellow Rock	id=g:4983599
Yellow Rock	id=g:4983600
Yellow Rock	id=g:4983601
Yellowbirch Mountain	id=g:4983602
Yerxa Brook	id=g:4983603
Yellow Head	id=g:4983604
Yerxa Ridge	id=g:4983605
Yoho Creek	id=g:4983606
Yoho Head	id=g:4983607
Yoke Ponds	id=g:4983608
Yonder Hill Campground	id=g:4983609
York Advent Christian Church	id=g:4983610
York Beach	id=g:4983611
York Beach Camper Park	id=g:4983612
York Beach Fire Station	id=g:4983613
York Brook	id=g:4983614
Yerxa Cemetery	id=g:4983615
York Cliff Historic District	id=g:4983616
York Cliffs	id=g:4983617
York Cliffs	id=g:4983618
York Corner	id=g:4983619
York Country Club	id=g:4983620
York County	id=g:4983621
York Fire Department York Village Station	id=g:4983622
York Hall and Commons	id=g:4983623
York Harbor	id=g:4983624
York Harbor	id=g:4983625
York Harbor Entrance	id=g:4983626
York Harbor Marine	id=g:4983627
York Harbor Post Office	id=g:4983628
York Heights	id=g:4983629
York High School	id=g:4983630
York Hill	id=g:4983631
York Hill	id=g:4983632
York Hill	id=g:4983633
York Hill	id=g:4983634
York Hill Cemetery	id=g:4983635
York Historic District	id=g:4983636
York Hospital	id=g:4983637
York Institute Museum	id=g:4983638
York Island	id=g:4983639
York Landing	id=g:4983640
York Ledge	id=g:4983641
York Ledge	id=g:4983642
York Ledges	id=g:4983643
York Middle School	id=g:4983644
York Narrows	id=g:4983645
York Pond	id=g:4983646
York Pond	id=g:4983647
York Ponds	id=g:4983648
York Public Library	id=g:4983649
York Ridge	id=g:4983650
York River	id=g:4983651
York Cemetery	id=g:4983652
York Street Baptist Church	id=g:4983653
York Town Hall	id=g:4983654
York Valley	id=g:4983655
York Village	id=g:4983656
York Village Elementary School	id=g:4983657
York Village Post Office	id=g:4983658
York Water District Office	id=g:4983659
York Woods	id=g:4983660
Town of York	id=g:4983661
Yorks Corner	id=g:4983662
Yorks Logan	id=g:4983663
Yorks Wild Kingdom	id=g:4983664
Yorktown Brook	id=g:4983665
York Rivers Farms	id=g:4983666
Young Brook	id=g:4983667
Young Hill	id=g:4983668
Young Point	id=g:4983669
Young Point	id=g:4983670
Young Point	id=g:4983671
Young School	id=g:4983672
Young Siding	id=g:4983673
Youngs Bay	id=g:4983674
Youngs Brook	id=g:4983675
Young Hill	id=g:4983676
Youngs Cove	id=g:4983677
Youngs Cove	id=g:4983678
Youngs Cove	id=g:4983679
Youngs Islands	id=g:4983680
Youngs Lake	id=g:4983681
Youngs Lake Dam	id=g:4983682
Youngs Mountain	id=g:4983683
Youngs Neck	id=g:4983684
Youngs Point	id=g:4983685
Youngs Point	id=g:4983686
Youngs Point	id=g:4983687
Youngs Pond	id=g:4983688
Youngtown	id=g:4983689
Youngtown Field	id=g:4983690
Zakelo Island	id=g:4983691
Zeb Cove	id=g:4983692
Zebelon Knight Hall	id=g:4983693
Zeigler Campsite	id=g:4983694
Zeke Point	id=g:4983695
Zekes Lookout	id=g:4983696
Zekes Mountain	id=g:4983697
Zella Island	id=g:4983698
Zephyr Ledges	id=g:4983699
Zephyr Rock	id=g:4983700
Zion Hill	id=g:4983701
Zion Hill Cemetery	id=g:4983702
Zircon Brook	id=g:4983703
Youngs Corner	id=g:4983704
2 Lake	id=g:4983705
3 Lake	id=g:4983706
8 Lake	id=g:4983707
A C Miller Airport	id=g:4983708
A Pool	id=g:4983709
A-Two Pool	id=g:4983710
ATI Heliport	id=g:4983711
Aamodt Park	id=g:4983712
Abbaye Peninsula	id=g:4983713
Abbey Drain	id=g:4983714
Abbott Drain	id=g:4983715
Abbott Drain	id=g:4983716
Abbott Drain	id=g:4983717
Mount Zircon	id=g:4983718
Abbott Lake	id=g:4983719
Abbott School	id=g:4983720
Abbott School	id=g:4983721
Abbott School	id=g:4983722
Abbott-Fox Camp	id=g:4983723
Abbottsford	id=g:4983724
Aberdeen Elementary School	id=g:4983725
Abernathy Lake	id=g:4983726
Abeys Lake	id=g:4983727
Abinodji Falls	id=g:4983728
Abitosse Creek	id=g:4983729
Abbott Junior High School	id=g:4983730
Abraham Lake	id=g:4983731
Abrams Municipal Airport	id=g:4983732
Abscota School	id=g:4983733
Abson Cemetery	id=g:4983734
Acacia Park Cemetery	id=g:4983735
Acadian Creek	id=g:4983736
Abke School	id=g:4983737
Acker Lake	id=g:4983738
Ackerman Drain	id=g:4983739
Ackerman Lake	id=g:4983740
Ackerman Lake	id=g:4983741
Ackerson Lake	id=g:4983742
Ackerson Lake School	id=g:4983743
Ackland Lake	id=g:4983744
Ackley Creek	id=g:4983745
Ackley Lake	id=g:4983746
Ackley Lake	id=g:4983747
Ackley School	id=g:4983748
Acme	id=g:4983749
Acme Airport	id=g:4983750
Acme Creek	id=g:4983751
Achim Cemetery	id=g:4983752
Acme Skyport	id=g:4983753
Acme Township Cemetery	id=g:4983754
Township of Acme	id=g:4983755
Acorn School	id=g:4983756
Ada	id=g:4983757
Ada Cemetery	id=g:4983758
Township of Ada	id=g:4983759
Adair	id=g:4983760
Adair Airstrip	id=g:4983761
Adair Creek	id=g:4983762
Acme Heliport	id=g:4983763
Adams Cemetery	id=g:4983764
Adams Creek	id=g:4983765
Adair Gas and Oil Field	id=g:4983766
Adams Creek	id=g:4983767
Adams Drain	id=g:4983768
Adams Drain	id=g:4983769
Adams Drain	id=g:4983770
Adams Drain	id=g:4983771
Adams Drain	id=g:4983772
Adams Junior High School	id=g:4983773
Adams Junior High School	id=g:4983774
Adams Lake	id=g:4983775
Adams Lake	id=g:4983776
Adams Lake	id=g:4983777
Adams Lake	id=g:4983778
Adams Lake	id=g:4983779
Adams Oil Field	id=g:4983780
Adams Park	id=g:4983781
Adams Park	id=g:4983782
Adams Point	id=g:4983783
Adams School	id=g:4983784
Adams School	id=g:4983785
Adams School	id=g:4983786
Adams School	id=g:4983787
Adams School	id=g:4983788
Adams School	id=g:4983789
Adams School	id=g:4983790
Lake Adams	id=g:4983791
Township of Adams	id=g:4983792
Township of Adams	id=g:4983793
Township of Adams	id=g:4983794
Adamson Lake	id=g:4983795
Adamsville	id=g:4983796
Addams School	id=g:4983797
Lake Addie	id=g:4983798
Addis Creek	id=g:4983799
Adams Heliport	id=g:4983800
Addis Lakes Ski Trail	id=g:4983801
Addison	id=g:4983802
Addison Junction	id=g:4983803
Addison Millpond	id=g:4983804
Addison Oaks County Park	id=g:4983805
Township of Addison	id=g:4983806
Addy Drain	id=g:4983807
Addis Lakes	id=g:4983808
Adelphian Academy	id=g:4983809
Adler School	id=g:4983810
Adrian	id=g:4983811
Adrian Center Cemetery	id=g:4983812
Adrian College	id=g:4983813
Adrian Creek	id=g:4983814
Adelaide Island	id=g:4983815
City of Adrian	id=g:4983816
Township of Adrian	id=g:4983817
Advance	id=g:4983818
Advance Cemetery	id=g:4983819
Advance Island	id=g:4983820
Advent Creek	id=g:4983821
Adrian Temple	id=g:4983822
Advent Swamp	id=g:4983823
Adventist School	id=g:4983824
Adventure Creek	id=g:4983825
Advent School	id=g:4983826
Aetna	id=g:4983827
Aetna Cement Corporation	id=g:4983828
Aetna Cemetery	id=g:4983829
Aetna Cemetery	id=g:4983830
Aetna Church	id=g:4983831
Aetna Creek	id=g:4983832
Adventure Mine	id=g:4983833
Township of Aetna	id=g:4983834
Affolter Park	id=g:4983835
Afton	id=g:4983836
Agate	id=g:4983837
Agate Beach	id=g:4983838
Agate Beach	id=g:4983839
Agate Cemetery	id=g:4983840
Agate Church	id=g:4983841
Agate Falls	id=g:4983842
Agate Harbor	id=g:4983843
Agate Point	id=g:4983844
Aginaw Lake	id=g:4983845
Agnew	id=g:4983846
Agnew Corners	id=g:4983847
Ahearn Drain	id=g:4983848
Ahgosatown	id=g:4983849
Ahlman Lake	id=g:4983850
Ahmeek	id=g:4983851
Ahmeek Cemetery	id=g:4983852
Ahmeek Mine	id=g:4983853
Lake Ahmik	id=g:4983854
Ahmikwam Lake	id=g:4983855
Aho Creek	id=g:4983856
Township of Aetna	id=g:4983857
Ahola Creek	id=g:4983858
Ahrens Field	id=g:4983859
Ainger	id=g:4983860
Ainsworth High School	id=g:4983861
Air Park North	id=g:4983862
Air Rahe Airport	id=g:4983863
Airbatco Field	id=g:4983864
Airport Forest	id=g:4983865
Airport High School	id=g:4983866
Ajibikika Falls	id=g:4983867
Akron	id=g:4983868
Akron Oil Field	id=g:4983869
Township of Akron	id=g:4983870
Al Meyers Airport	id=g:4983871
Alabaster	id=g:4983872
Alabaster Junction	id=g:4983873
Alabaster Swamp	id=g:4983874
Alabaster Township Cemetery	id=g:4983875
Alabaster Whitney Drain	id=g:4983876
Ailes Point	id=g:4983877
Alaiedon Elementary School	id=g:4983878
Township of Alaiedon	id=g:4983879
Alamando	id=g:4983880
Alameda School	id=g:4983881
Alamo	id=g:4983882
Alamo Valley School	id=g:4983883
Township of Alamo	id=g:4983884
Alan B Shepard School	id=g:4983885
Alanson	id=g:4983886
Alaska	id=g:4983887
Alaska Bay	id=g:4983888
Alba	id=g:4983889
Albain Drain	id=g:4983890
Alban Cemetery	id=g:4983891
Albany Bay	id=g:4983892
Albany Creek	id=g:4983893
Township of Alabaster	id=g:4983894
Albany Island	id=g:4983895
Albee School	id=g:4983896
Township of Albee	id=g:4983897
Albert Drain	id=g:4983898
Albert E Sleeper State Park	id=g:4983899
Albert J Lindberg Airport	id=g:4983900
Albert Township School	id=g:4983901
Township of Albert	id=g:4983902
Alberta	id=g:4983903
Albino Lake	id=g:4983904
Albion	id=g:4983905
