Malmunj	id=g:1468082
Pas-e Band	id=g:1468294
Deh-e Murghān	id=g:1468295
Darah-ye Wayd Khind Āb	id=g:1468296
Sar-e Darah-ye Āb	id=g:1468297
Kōh-e Bārīkī	id=g:1468298
Kōh-e Āftāb Nahār	id=g:1468299
Kōtal-e Māyōr	id=g:1468300
Darah-ye Khambēl	id=g:1468301
Kōh-e Mīrzā-e Jānān	id=g:1468302
Kōh-e Buzkush	id=g:1468303
Kōtal-e Safayd Kōh	id=g:1468304
Kōh-e Ḩaẕrat-e Sulţān	id=g:1468306
Yaylāq-e Sar-e Kamar	id=g:1468307
Zīārat-e Khwājah Sar Khēl-e Walī	id=g:1468308
Kōh-e Ganj	id=g:1468309
Yaylāq-e Lūlalī	id=g:1468310
Yaylāq-e Farghistān	id=g:1468311
Yaylāq-e Khirmanik	id=g:1468312
Yaylāq-e Birgich	id=g:1468313
Yaylāq-e Bar Khōsh Yārān	id=g:1468314
Silēmaīt	id=g:1468316
Bānēw	id=g:1468317
Khambēw	id=g:1468318
Yabābūk	id=g:1468319
Sūchū	id=g:1468320
Kōlgā’ī-ye Bālā	id=g:1468321
Sarāsak Darah	id=g:1468322
Yakhchiw	id=g:1468323
Ūnar	id=g:1468324
Kōlgā’ī-ye Pā’īn	id=g:1468325
Sang Āw	id=g:1468326
Mazār	id=g:1468327
Ghūziw	id=g:1468328
Pārkhāw Darah	id=g:1468329
Tōzh Darah	id=g:1468330
Shahr-e Zārān	id=g:1468331
Bazgirān	id=g:1468332
Pōshtēk	id=g:1468333
Wā’īm	id=g:1468334
Sar-e Qōl	id=g:1468335
Pārkhāw	id=g:1468336
Pījāngīw	id=g:1468337
Yabāb	id=g:1468338
Darah-ye Razān	id=g:1468339
Deh-e Mīsīn	id=g:1468340
Kurkhū	id=g:1468342
Chapchī	id=g:1468343
Sar-e Ḩowẕ	id=g:1468344
Darah-ye Sīāh Jar	id=g:1468345
Furmurāgh	id=g:1468346
Darah-ye Kalān	id=g:1468347
Gandah Chashmah	id=g:1468348
Kōl Dasht	id=g:1468349
Shāzamīn	id=g:1468350
Sar Shār	id=g:1468351
Karsaīd	id=g:1468352
Rubābī	id=g:1468353
Ghāngah	id=g:1468354
Ubēw	id=g:1468355
Dēgah	id=g:1468356
Ghumār Darah	id=g:1468357
Z̄akik	id=g:1468358
Pashāyil	id=g:1468359
Kōtal-e Kāfirān	id=g:1468360
Sar Darah	id=g:1468361
Chap Darah	id=g:1468362
Kōtal-e Chap Darah	id=g:1468363
Sar-e Qōl	id=g:1468364
Kōtal-e Chār Sū	id=g:1468365
Yaylāq-e Ghaypchā Sar	id=g:1468366
Kōh-e Chihil Gazī	id=g:1468367
Yaylāq-e Tagāb-e Noh Shahr	id=g:1468368
Kōtal-e Sar-e Firyaz	id=g:1468369
Khāshīm	id=g:1468370
Yaylāq-e Sarāy Mīr	id=g:1468371
Kōh-e Sūr Khān	id=g:1468372
Shīn Shal	id=g:1468373
Deh-e Biland	id=g:1468374
Ţāq Nēshāsh	id=g:1468375
Yaylāq-e Nārjayw	id=g:1468376
Kharābah-ye Farbih Darah	id=g:1468377
Yaylāq-e Parwayz-e Khwājah Mullā	id=g:1468378
Darah-ye Khildisk Āw	id=g:1468379
Daryā-ye Zarīn Āb	id=g:1468380
Qōl-e Aḩmad	id=g:1468381
Sīāh Kōh	id=g:1468382
Sinjil	id=g:1468383
Yaylāq-e Wushing	id=g:1468384
Rāgh Darah	id=g:1468385
Sar Band	id=g:1468386
Deh-e Tagāb	id=g:1468387
Yaylāq-e Bāgh-e Dīshār	id=g:1468388
Palang Darah	id=g:1468389
Yaylāq-e Khāl Tayl	id=g:1468390
Kārā Shākh	id=g:1468391
Yaylāq-e Pāghar	id=g:1468392
Yaylāq-e Tayghōk	id=g:1468393
Yaylāq-e Khingān	id=g:1468394
Yaylāq-e Tagāb Barshar	id=g:1468395
Darah-ye Chār Sū	id=g:1468396
Kōtal-e Band-e Qāpchīn	id=g:1468397
Darah-ye Zarnūd Āb	id=g:1468398
Darah-ye Zarīch Āb	id=g:1468399
Kōtal-e Gulzārī	id=g:1468400
Dēgah	id=g:1468401
Yaylāq-e Ghākā	id=g:1468402
Kōtal-e Narmah	id=g:1468403
Ēwrī Darah	id=g:1468404
Kham-e Ḩāfiz̧	id=g:1468405
Pūnītūn	id=g:1468406
Zrangān Darah	id=g:1468407
Bāgh-e Girdak	id=g:1468408
Darah-ye Pashāyil	id=g:1468409
Kālgī Darah	id=g:1468410
Zard Ālū	id=g:1468411
Naghz̄ Darah	id=g:1468412
Ēl Darah	id=g:1468413
Jōy-e Ghūzān	id=g:1468414
Yaylāq-e Zimchayw	id=g:1468415
Yaylāq-e Murdār Sanghā	id=g:1468416
Yaylāq-e Jow Sārah	id=g:1468417
Yaylāq-e Kōh-e Bun	id=g:1468418
Kōtal-e Kōh-e Bun	id=g:1468419
Kōtal-e Gūmbāk	id=g:1468420
Kōtal-e Bābā Yār Muḩammad	id=g:1468421
Kōtal-e Shālah	id=g:1468422
Yaylāq-e Tāghgah	id=g:1468423
Yaylāq-e Safayd Jayriw	id=g:1468424
Kōtal-e Bōstānak	id=g:1468425
Kōh-e Band-e Garm Āb	id=g:1468426
Yaylāq-e Ganjūrak	id=g:1468427
Daryā-ye Ganjūrak	id=g:1468428
Chāwush Darah	id=g:1468429
Shahīd Darah	id=g:1468430
Kālar	id=g:1468431
Khijow	id=g:1468432
Jōy-e Shalūk	id=g:1468433
Ērt	id=g:1468434
Kōh-e Band-e Zarnūd Āb	id=g:1468435
Dēblō	id=g:1468436
Darah-ye Qungur Āb	id=g:1468437
Darah-ye Qungur Āb-e Khōrd	id=g:1468438
Shaylah-ye Khōrd	id=g:1468439
Kōtal-e Kaskhāh	id=g:1468440
Kōtal-e Kashtarmah	id=g:1468441
Wādī-ye Dasht-e Darāz	id=g:1468442
Qal‘ah-ye Sangar	id=g:1468443
Shaylah-ye Kalān	id=g:1468444
Qal‘ah-ye Sarfarāz Khān	id=g:1468445
Qal‘ah-ye Fatḩullāh Khān	id=g:1468446
Wādī-ye ‘Az̄āb	id=g:1468447
Yaylāq-e Kīshmanyū	id=g:1468448
Yaylāq-e Archah	id=g:1468449
Āb-e Darah	id=g:1468450
Yaylāq-e Pas-e Fī	id=g:1468451
Yaylāq-e Shahū	id=g:1468452
Kōtal-e Chahār Rāh	id=g:1468453
Kōtal-e Shakar Khāşah	id=g:1468454
Yaylāq-e Dilwākh-e Mag	id=g:1468455
Yaylāq-e Pas-e Bākharō	id=g:1468456
Yaylāq-e Gurūjay	id=g:1468457
Zamīn-e Shīōn	id=g:1468458
Qōlgaī	id=g:1468459
Kōtal-e Shud Wīst	id=g:1468460
Kōtal-e Kham Bēw	id=g:1468461
Darah-ye Bākharō Āb	id=g:1468462
Tūt Darah	id=g:1468463
Daryā-ye Rēwūd Darah	id=g:1468464
Deh Yaylāqah	id=g:1468465
Qal‘ah-ye Qāẕī	id=g:1468466
Qal‘ah-ye Muḩammad-Ḩayyāt Khān	id=g:1468467
Qal‘ah-ye Mīrzā Az̧īm	id=g:1468468
Z̄āz̄anwurs	id=g:1468469
Qalāt	id=g:1468470
Khambēw-e Bālā	id=g:1468471
Khambēw-e Pā’īn	id=g:1468472
Khamkōk	id=g:1468473
Wōrsūk	id=g:1468474
Baydūk	id=g:1468475
Khwājah Mashtū	id=g:1468476
Sar-e Sang	id=g:1468477
Kōtal-e Kajyā	id=g:1468478
Jōrah-ye Gāwjān	id=g:1468479
Kūshkah Darah	id=g:1468480
Deh-e Moghul	id=g:1468481
Shaykh-e Mast	id=g:1468482
Kōtal-e Gird Bayd	id=g:1468483
Marghayl	id=g:1468484
Dōghābād	id=g:1468485
Chadēw-e Pā’īn	id=g:1468486
Chadēw-e Bālā	id=g:1468487
Bahār Dūr	id=g:1468488
Shiblān Jēl	id=g:1468489
Pas-e Nang	id=g:1468490
Nūghūs Palah	id=g:1468491
Mārch	id=g:1468492
Paytāwak	id=g:1468493
Tōr Bāgh	id=g:1468494
Pasnyas	id=g:1468495
Chap Darah-ye Talik Dasht	id=g:1468496
Glēk-e Ēlgah	id=g:1468497
Kilklēw	id=g:1468498
Darah-ye Pasnyas	id=g:1468499
Gāw Ghumār	id=g:1468500
Shilkhah Zār	id=g:1468501
Kōh-e Jangah	id=g:1468502
Kōtal-e Dar Bandak	id=g:1468503
Darah-ye Khambēw	id=g:1468504
Daryā-ye Tūrghān	id=g:1468505
Chinār	id=g:1468506
Darah-ye Bād	id=g:1468507
Darah-ye Khitif	id=g:1468508
Surkh Lōlah	id=g:1468509
Puruj-e Nīāwah	id=g:1468510
Zarmīch-e Bālā	id=g:1468511
Zarmīch-e Pā’īn	id=g:1468512
Nīāwah	id=g:1468513
Pas Pul	id=g:1468514
Dowlat Rabāţ	id=g:1468515
Chumut Ēlgah	id=g:1468516
Darah-ye ‘Abdul Naz̧ar	id=g:1468517
Darah-ye Şālaḩ Bāy	id=g:1468518
Ghumār-e Jar	id=g:1468519
Kōh-e Khudā Rajak	id=g:1468520
Darah-ye Yōlūksāy	id=g:1468521
Bar Kham	id=g:1468522
Kōtal-e Khitif	id=g:1468523
Tūrchūt	id=g:1468524
Tāqarchah	id=g:1468526
Buzkush	id=g:1468527
Manţaqah-ye Tūrghān	id=g:1468528
Dōzakh Darah	id=g:1468529
Chāshtēzh	id=g:1468530
Darah-ye Qurbān	id=g:1468531
Bulbul Darah	id=g:1468532
Kamar-e Şaīqān	id=g:1468533
Lab-e Āb	id=g:1468534
Chishūr	id=g:1468535
Darah-ye Chahār Sang	id=g:1468536
Darah-ye Dād ‘Alī	id=g:1468537
Bēkhā	id=g:1468538
Khirs Darah	id=g:1468539
Safayd Jirēw	id=g:1468540
Kalān Darah	id=g:1468541
Paschūt	id=g:1468542
Darah-ye Raḩmān Dād	id=g:1468543
Kushlar	id=g:1468544
Kōh-e Safayd Jidēw	id=g:1468545
Glīk Darah	id=g:1468546
Manţaqah-ye Khūnī-ye Takhtah	id=g:1468547
Suprūzīlgah	id=g:1468548
Manţaqah-ye Sīāh Chagat	id=g:1468549
Shkūl Darah	id=g:1468550
Darah-ye Sīāh Chagat	id=g:1468551
Darah-ye Dilbarzah	id=g:1468552
Bāshdēw	id=g:1468553
Darah-ye Tūray Darah	id=g:1468554
Manţaqah-ye Pul-e Zarēwān	id=g:1468555
Sumī Darah	id=g:1468556
Manţaqah-ye Shighnī Dō Āb	id=g:1468557
Manţaqah-ye Dō Āb	id=g:1468558
Darah-ye Pām Darah	id=g:1468559
Daryā-ye Kalawch	id=g:1468560
Gul Darah	id=g:1468561
Darah-ye Khūnī	id=g:1468562
Mār Darah	id=g:1468563
Kōtal-e Wurān Shahr	id=g:1468564
Darah-ye Wurān Shahr	id=g:1468565
Darah-ye Mazār	id=g:1468566
Manţaqah-ye Qāq Dasht	id=g:1468567
Wurān Shahr-e Bālā	id=g:1468569
Wurnēl	id=g:1468570
Manţaqah-ye Qaşāb Darah	id=g:1468571
Daryā-ye Gulistān	id=g:1468572
Manţaqah-ye Takhtak	id=g:1468573
Manţaqah-ye Langar	id=g:1468574
Shānzdēw	id=g:1468575
Manţaqah-ye Bām Darah	id=g:1468576
Darah-ye Chūkash	id=g:1468577
Darah-ye Kuhīndī	id=g:1468578
Lakhsh	id=g:1468579
Qaryah-ye Safayd	id=g:1468580
Daryā-ye Chashmah-ye Zilaykhā	id=g:1468581
Ghajīn Dur	id=g:1468582
Kōh-e Yabāb Darah	id=g:1468583
Purūj-e Sar-e Shākh	id=g:1468584
Farishtah Jāh	id=g:1468585
Kōh-e Ghazālēw	id=g:1468586
Kōtal-e Dēg Dānak	id=g:1468587
Kōh-e Darah-ye Qalāt	id=g:1468588
Kham Chashmah	id=g:1468589
Imrān Dur	id=g:1468590
Khashab Deh	id=g:1468591
Şāliḩ Rāh	id=g:1468592
Deh-e Bālā	id=g:1468593
Maīdān-e Bālā	id=g:1468594
Maīdān-e Pā’īn	id=g:1468595
Wunīchar	id=g:1468596
Wuzdū	id=g:1468597
Farghēl-e Bālā	id=g:1468598
Farghēl-e Pā’īn	id=g:1468599
Darah-ye Lakhsh	id=g:1468600
Darah-ye Tagābchah-ye Dēw	id=g:1468601
Chapar Sērak	id=g:1468602
Pūshistān	id=g:1468603
Khushtarēw	id=g:1468604
Yazakh Chāh	id=g:1468605
Pasī Bāgh	id=g:1468606
Waḩīl	id=g:1468607
Khisrow	id=g:1468608
Shaghān	id=g:1468609
Shaf Chān	id=g:1468610
Pastīrah	id=g:1468611
Barah Barah	id=g:1468612
Khūch	id=g:1468613
Khashpīn	id=g:1468614
Kabēk	id=g:1468615
Dāg Khāneh	id=g:1468616
Dashtī Khān	id=g:1468617
Shīn Ghūk	id=g:1468618
Gharīb	id=g:1468619
Aṟkhē	id=g:1468620
Shīsindur	id=g:1468621
Sīkhawāl	id=g:1468622
Gird Bayd	id=g:1468623
Mush Tōr	id=g:1468624
Ēlgah Darah	id=g:1468625
Bāgh Darah	id=g:1468626
Kōh-e Sar-e Zard Guluk	id=g:1468627
Darah-ye Zardgiluk	id=g:1468628
Darah-ye Gird Bayd	id=g:1468629
Būsht	id=g:1468630
Daryā-ye Qalāt	id=g:1468631
Pas Khān	id=g:1468632
Wīnj	id=g:1468633
Jōy Bār	id=g:1468634
Yarīm	id=g:1468635
Pējūj	id=g:1468636
Afrīj	id=g:1468637
Sākhāy-e Malang Āb	id=g:1468638
Maghā’ib	id=g:1468639
Darah-ye Pējūj	id=g:1468640
Darah-ye Khunukā	id=g:1468641
Chap Darah	id=g:1468642
Wakh Shayr	id=g:1468643
Wakh Shayr	id=g:1468644
Darah-ye Rīsh Āb	id=g:1468645
Dōgh-Ghalaţ	id=g:1468646
Daryā-ye Mach	id=g:1468647
Kōh-e Band-e Derakht	id=g:1468648
Kōh-e Targōl	id=g:1468649
Kōh-e Tālah	id=g:1468650
Kōh-e Akram	id=g:1468651
Nashrīn-e Pā’īn	id=g:1468652
Sang Darah	id=g:1468653
Qal‘ah-ye Dowlat	id=g:1468654
Z̧ulmābād Kand	id=g:1468655
Kōh-e Ūkow	id=g:1468656
Kōh-e Ūnarēw	id=g:1468657
Kōh-e Gōr Shākh	id=g:1468658
Zīz̲h̲ay	id=g:1468659
Kōh-e Gardanah	id=g:1468660
Sangānī	id=g:1468661
Darah-ye Tūtūk	id=g:1468662
Kōh-e Tarang	id=g:1468663
Darah-ye Shafīn	id=g:1468664
Darah-ye Farghū	id=g:1468665
Kōtal-e Rāh Darah	id=g:1468666
‘Abd ur Raḩmān	id=g:1468667
Kōtal-e Bād Rowūk	id=g:1468668
Darah-ye Khūlah	id=g:1468669
Darah-ye Abyōk	id=g:1468670
Nūlān	id=g:1468671
Daryā-ye Zamūr	id=g:1468672
Kōtal-e Kōh-e Tak	id=g:1468673
Kōtal-e Yō Band	id=g:1468674
Daryā-ye Darah-ye Aqshīrah	id=g:1468675
Kōh-e Sīnah	id=g:1468676
Kōh-e Padjak	id=g:1468677
Magz̄ār	id=g:1468678
Darah-ye Sīnah	id=g:1468679
Darah-ye Kund	id=g:1468680
Pōsīdah Shākh	id=g:1468681
Akhrahkham	id=g:1468682
Jalḩam	id=g:1468683
Darah-ye ‘Alam	id=g:1468684
Kōh-e ‘Alam	id=g:1468685
Pāchē	id=g:1468686
Darah-ye Khwarē	id=g:1468687
Tsapêrō Sar	id=g:1468688
Chapdar	id=g:1468689
Sar-e Khingē	id=g:1468691
Darah-ye Nalwēj	id=g:1468692
Mushtarow	id=g:1468693
Darah-ye Gāwinj	id=g:1468694
Band-e Darah Kishak	id=g:1468695
Sar-e Irēsh	id=g:1468696
Sīāh Shākh	id=g:1468697
Layrak	id=g:1468698
Chīdrē	id=g:1468699
Shikārgāh	id=g:1468700
Darah-ye Munjah	id=g:1468701
Darah-ye Kishak	id=g:1468702
Darah-ye Rōbak	id=g:1468703
Darah-ye Aṟkhē	id=g:1468704
Kōl-e Bēzangī	id=g:1468705
Darah-ye Ghalāmak	id=g:1468707
Sēyak	id=g:1468708
Chashmah-ye Kandū	id=g:1468709
Kōh-e Kabēk	id=g:1468710
Kōh-e Pas Khān	id=g:1468711
Daryā-ye Ābdow	id=g:1468712
Tāṉē Ghar	id=g:1468713
Darah-ye Zangich	id=g:1468714
Darah-ye Dargāw	id=g:1468715
Kōh-e Gharīb	id=g:1468716
Kōh-e Kamar-e Pīsā	id=g:1468717
Kūh-e Jaghḏawēk	id=g:1468718
Kūh-e Khal Khān	id=g:1468719
Darreh-ye Asīk	id=g:1468720
Darreh-ye Yasek	id=g:1468721
Kōh-e Sīch	id=g:1468722
Qabr-e Jabār	id=g:1468723
Myālāl Waṯaī	id=g:1468724
Wêch Khwā	id=g:1468725
Wutkaī Tangaī	id=g:1468726
Tsêrī Ghar	id=g:1468727
Gōrahkharān Khwaṟ	id=g:1468728
Pēl Ghār	id=g:1468729
Shēkh Mazār Waṯaī	id=g:1468730
Chakaṟī Khwaṟ	id=g:1468731
Kalā Ghar	id=g:1468732
Murchal Ghar	id=g:1468733
Taghar Khwaṟ	id=g:1468734
Bagrāmī	id=g:1468735
Tōr Ghar	id=g:1468736
Gōsfand Darah	id=g:1468737
Kōh-e Bārān	id=g:1468738
Kōh-e Laghmānak	id=g:1468739
Kārayz-e Muḩammad ‘Alī Khān	id=g:1468740
Qal‘ah-ye Muḩsin	id=g:1468741
Kōṯah-ye Ma‘ābir	id=g:1468742
Qal‘ah-ye Rābāz	id=g:1468743
Atal Ghar	id=g:1468744
Khvājeh Bīnā	id=g:1468745
Māndakān	id=g:1468746
‘Ālimī	id=g:1468747
Pumbak-e Bālā	id=g:1468748
Kōh-e Ghāt-e Khurmāw	id=g:1468749
Sar-e Ambah Darah	id=g:1468750
Safayd Shākh	id=g:1468751
Zīngurd	id=g:1468752
Kōh-e Kambōk	id=g:1468753
Durufchah	id=g:1468754
Sar-e Surkhī	id=g:1468755
Kōh-e Kalashkarī	id=g:1468756
Darah-ye Mīrkān	id=g:1468757
Tang Darah	id=g:1468758
Dasht-e Ḩarām	id=g:1468759
Darah-ye Bandōk	id=g:1468760
Safayd Shākh	id=g:1468761
Sarīah Kham	id=g:1468762
Darah-ye Khwājah	id=g:1468763
Kōh-e Spīn	id=g:1468764
Mullā Khāk	id=g:1468765
Arapas̲h̲ Darah	id=g:1468766
Darah-ye Kōtal-e Mashtān	id=g:1468767
Chingaī	id=g:1468768
Chingaī Ghunḏêy	id=g:1468769
Kōh-e Sarī Ambil	id=g:1468770
Gomarān	id=g:1468771
Ōbō Nāw	id=g:1468772
Sefīdāb	id=g:1468773
Wêch Nāw	id=g:1468774
Dokānhā-ye Gomarān	id=g:1468775
Spō Zawar	id=g:1468776
Khōsā Chīnah	id=g:1468777
Pāchālārah Darah	id=g:1468778
Gāw Band	id=g:1468779
Gāw Band Ghar	id=g:1468780
Sêyā Shākh	id=g:1468781
Kōh-e Sêyā Shākh	id=g:1468782
Darah-ye Kalān	id=g:1468783
Kōh-e Gudarah	id=g:1468784
Kōh-e Pas-e Shālah	id=g:1468785
Darah-ye Āwush	id=g:1468786
Wund-e Mashtān	id=g:1468787
Kōh-e Guz̄ar	id=g:1468788
Kōh-e Yārāghj	id=g:1468789
Yōkh	id=g:1468790
Gora Sarvandaygar	id=g:1468791
Kōh-e Payshbaruk	id=g:1468792
Pāykō Tangaī	id=g:1468793
Tangī Ghar	id=g:1468794
Tangī Tōkhchī	id=g:1468795
Darah-ye Yakham	id=g:1468796
Dāmān	id=g:1468797
Bīnīgāh	id=g:1468798
Kōh-e Taygh	id=g:1468799
Taran	id=g:1468800
Khwājah ‘Omar	id=g:1468801
Darah-ye Sōryan	id=g:1468802
Dōbanday	id=g:1468803
Kōh-e Spīn	id=g:1468804
Darah-ye Āwrō Khān	id=g:1468805
Khaf Darah	id=g:1468806
Rōd-e Ūrsajāb	id=g:1468807
Yōkh	id=g:1468808
Darah-ye Firgardī	id=g:1468809
Darah-ye Ghashim	id=g:1468810
Darah-ye Mashtān	id=g:1468811
Jar-e Takht	id=g:1468812
Kanḏow Ghar	id=g:1468813
Jar-e Kamarangāh	id=g:1468814
Zīārat-e Khwājah Sulţān Shayrah	id=g:1468815
Kōh-e Barah Khānah	id=g:1468816
