Santo Stefano d'Aveto	id=g:6542010
Pecetto Torinese	id=g:6542156
Castelnuovo Calcea	id=g:6542157
San Giorio di Susa	id=g:6542158
Dusino San Michele	id=g:6542159
Curiglia con Monteviasco	id=g:6542160
Pino sulla Sponda del Lago Maggiore	id=g:6542161
Montano Lucino	id=g:6542162
Sotto il Monte Giovanni XXIII	id=g:6542163
Gravellona Lomellina	id=g:6542164
Darfo Boario Terme	id=g:6542165
Torre Beretti e Castellaro	id=g:6542166
Moniga del Garda	id=g:6542167
Credera Rubbiano	id=g:6542168
Grumello Cremonese ed Uniti	id=g:6542169
Roncegno Terme	id=g:6542170
Galzignano Terme	id=g:6542171
Campitello di Fassa	id=g:6542172
Canal San Bovo	id=g:6542173
Giacciano con Baruchella	id=g:6542174
Colloredo di Monte Albano	id=g:6542175
Grizzana Morandi	id=g:6542176
Rivamonte Agordino	id=g:6542177
Iesolo	id=g:6542178
Bagnaria Arsa	id=g:6542179
Marciano della Chiana	id=g:6542180
Bastia Umbra	id=g:6542181
Montopoli di Sabina	id=g:6542182
Baia e Latina	id=g:6542183
Gallo Matese	id=g:6542184
Marzano Appio	id=g:6542185
Rocchetta e Croce	id=g:6542186
Tora e Piccilli	id=g:6542187
Danta di Cadore	id=g:6542188
San Tomaso Agordino	id=g:6542189
Telese Terme	id=g:6542190
Taibon Agordino	id=g:6542191
Capriglia Irpina	id=g:6542192
Vodo Cadore	id=g:6542193
Voltago Agordino	id=g:6542194
San Nicandro Garganico	id=g:6542195
Rodì Milici	id=g:6542196
Lampedusa e Linosa	id=g:6542197
Nughedu San Nicolò	id=g:6542198
Trinità d'Agultu e Vignola	id=g:6542199
Loiri Porto San Paolo	id=g:6542200
Erto e Casso	id=g:6542201
Pasiano di Pordenone	id=g:6542202
Bannio Anzino	id=g:6542203
Trarego Viggiona	id=g:6542204
Frassinello Monferrato	id=g:6542205
Vignale Monferrato	id=g:6542206
San Remo	id=g:6542207
Paderno Ponchielli	id=g:6542208
Terzo d'Aquileia	id=g:6542209
Granarolo dell'Emilia	id=g:6542210
Gabicce Mare	id=g:6542211
Gambassi Terme	id=g:6542212
Greve in Chianti	id=g:6542213
Montecatini Val di Cecina	id=g:6542214
Calvi dell'Umbria	id=g:6542215
Bolsena	id=g:6542216
Posta Fibreno	id=g:6542217
Castel Vittorio	id=g:6542218
Torbole Casaglia	id=g:6542219
Sant'Angelo Lomellina	id=g:6542220
San Martino dall'Argine	id=g:6542221
Brusasco	id=g:6542222
Cascinette d'Ivrea	id=g:6542223
Santa Croce del Sannio	id=g:6542224
Torella dei Lombardi	id=g:6542225
Ortona dei Marsi	id=g:6542226
San Benedetto dei Marsi	id=g:6542227
San Martino sulla Marrucina	id=g:6542228
Civitacampomarano	id=g:6542229
Pietramontecorvino	id=g:6542230
Marsicovetere	id=g:6542231
Scanzano Jonico	id=g:6542232
Cassano allo Ionio	id=g:6542233
Sclafani Bagni	id=g:6542234
Castelmola	id=g:6542235
Moio Alcantara	id=g:6542236
Portopalo di Capo Passero	id=g:6542237
Ossago Lodigiano	id=g:6542238
Isola di Capo Rizzuto	id=g:6542239
Monterosso Calabro	id=g:6542240
Moriondo Torinese	id=g:6542241
Cravagliana	id=g:6542242
Motta de' Conti	id=g:6542243
Varallo	id=g:6542244
Borgolavezzaro	id=g:6542245
Castagnole delle Lanze	id=g:6542246
Contursi Terme	id=g:6542247
San Pietro Mussolino	id=g:6542248
Cencenighe Agordino	id=g:6542249
Forgaria nel Friuli	id=g:6542250
Dolegna del Collio	id=g:6542251
Casalfiumanese	id=g:6542252
Sassofeltrio	id=g:6542253
San Paolo di Jesi	id=g:6542254
Capraia Isola	id=g:6542255
Collesalvetti	id=g:6542256
Avigliano Umbro	id=g:6542257
Monteflavio	id=g:6542258
San Biagio Saracinisco	id=g:6542259
Santopadre	id=g:6542260
Gricignano di Aversa	id=g:6542261
San Gregorio Matese	id=g:6542262
Petruro Irpino	id=g:6542263
Castiglione del Genovesi	id=g:6542264
Isola del Gran Sasso d'Italia	id=g:6542265
Castel Frentano	id=g:6542266
Montefalcone nel Sannio	id=g:6542267
Celle di San Vito	id=g:6542268
Torremaggiore	id=g:6542269
Sant'Ilario dello Ionio	id=g:6542270
San Giuseppe Jato	id=g:6542271
San Filippo del Mela	id=g:6542272
Acquedolci	id=g:6542273
Luogosanto	id=g:6542274
Sant'Antonio di Gallura	id=g:6542275
Scano di Montiferro	id=g:6542276
Tresnuraghes	id=g:6542277
Caiazzo	id=g:6542278
Pozza di Fassa	id=g:6542279
Montiglio Monferrato	id=g:6542280
Padova	id=g:6542281
Genova	id=g:6542282
Milano	id=g:6542283
Venezia	id=g:6542284
Firenze	id=g:6542285
Siracusa	id=g:6542286
Reggio di Calabria	id=g:6542287
Soverato	id=g:6542288
Creazzo	id=g:6542289
Ponte San Nicolò	id=g:6542290
Santa Croce sull'Arno	id=g:6542291
Silvi	id=g:6542292
Massa Lubrense	id=g:6542293
Pieve Emanuele	id=g:6542294
Osio Sotto	id=g:6542295
Scanzorosciate	id=g:6542296
Bedizzole	id=g:6542297
Mazzano	id=g:6542298
Castelnuovo del Garda	id=g:6542299
Romano d'Ezzelino	id=g:6542300
Saonara	id=g:6542301
Mediglia	id=g:6542302
Curtatone	id=g:6542303
Buccinasco	id=g:6542304
Montoro Inferiore	id=g:6542305
Montoro Superiore	id=g:6542306
Lamezia Terme	id=g:6542307
Cardano al Campo	id=g:6542308
Caronno Pertusella	id=g:6542309
Cassano Magnago	id=g:6542310
Gerenzano	id=g:6542311
Uboldo	id=g:6542312
Pero	id=g:6542313
Pessano con Bornago	id=g:6542314
Settimo Milanese	id=g:6542315
Cassola	id=g:6542316
Pieve a Nievole	id=g:6542317
Arcisate	id=g:6542318
Basiglio	id=g:6542319
Bussero	id=g:6542320
Verano Brianza	id=g:6542321
Treviolo	id=g:6542322
Concesio	id=g:6542323
Pino Torinese	id=g:6542324
San Cipriano d'Aversa	id=g:6542325
San Felice a Cancello	id=g:6542326
San Nicola la Strada	id=g:6542327
Crispano	id=g:6542328
Pollena Trocchia	id=g:6542329
Quarto	id=g:6542330
Tremestieri Etneo	id=g:6542331
Santena	id=g:6542332
San Pietro in Cariano	id=g:6542333
Casagiove	id=g:6542334
Frignano	id=g:6542335
Orta di Atella	id=g:6542336
San Marcellino	id=g:6542337
Teverola	id=g:6542338
Casavatore	id=g:6542339
Volla	id=g:6542340
Santa Maria la Carità	id=g:6542341
Trecase	id=g:6542342
Sant'Egidio del Monte Albino	id=g:6542343
Bellizzi	id=g:6542344
Alba Adriatica	id=g:6542345
Gravina di Catania	id=g:6542346
Sant'Agata li Battiati	id=g:6542347
Lusciano	id=g:6542348
Parete	id=g:6542349
Piedimonte Matese	id=g:6542350
Cesano Boscone	id=g:6542351
Cesate	id=g:6542352
Due Carrare	id=g:6542353
Porto Viro	id=g:6542354
Fonte Nuova	id=g:6542355
San Giovanni Teatino	id=g:6542356
Bernareggio	id=g:6542357
Brozolo	id=g:6542358
Magliano Alfieri	id=g:6542359
Moiola	id=g:6542360
Mombarcaro	id=g:6542361
Mombasiglio	id=g:6542362
Monasterolo Casotto	id=g:6542363
Montaldo di Mondovì	id=g:6542364
Rocca de' Baldi	id=g:6542365
Coassolo Torinese	id=g:6542366
Inverso Pinasca	id=g:6542367
Priero	id=g:6542368
Roascio	id=g:6542369
Rocchetta Belbo	id=g:6542370
Roddi	id=g:6542371
Roddino	id=g:6542372
Rodello	id=g:6542373
Sale delle Langhe	id=g:6542374
San Benedetto Belbo	id=g:6542375
Sinio	id=g:6542376
Mompantero	id=g:6542377
Pinasca	id=g:6542378
Pramollo	id=g:6542379
Prarostino	id=g:6542380
Belveglio	id=g:6542381
Cantarana	id=g:6542382
Capriglio	id=g:6542383
Castel Boglione	id=g:6542384
Castellero	id=g:6542385
Castelletto Molina	id=g:6542386
Cellarengo	id=g:6542387
Roure	id=g:6542388
Salza di Pinerolo	id=g:6542389
San Raffaele Cimena	id=g:6542390
Traves	id=g:6542391
Val della Torre	id=g:6542392
Cinaglio	id=g:6542393
Coazzolo	id=g:6542394
Corsione	id=g:6542395
Ferrere	id=g:6542396
Maranzana	id=g:6542397
Maretto	id=g:6542398
Mombaruzzo	id=g:6542399
Mombercelli	id=g:6542400
Monale	id=g:6542401
Monastero Bormida	id=g:6542402
Alluvioni Cambiò	id=g:6542403
Vauda Canavese	id=g:6542404
Verrua Savoia	id=g:6542405
Montabone	id=g:6542406
Montafia	id=g:6542407
Montaldo Scarampi	id=g:6542408
Piovà Massaia	id=g:6542409
Quaranti	id=g:6542410
Refrancore	id=g:6542411
Roatto	id=g:6542412
Robella	id=g:6542413
Rocca d'Arazzo	id=g:6542414
Agrate Conturbia	id=g:6542415
Castelspina	id=g:6542416
Cella Monte	id=g:6542417
Conzano	id=g:6542418
Oviglio	id=g:6542419
Bellino	id=g:6542420
Briaglia	id=g:6542421
Briga Alta	id=g:6542422
Camerana	id=g:6542423
Caprauna	id=g:6542424
Celle di Macra	id=g:6542425
Verrayes	id=g:6542426
Aquila di Arroscia	id=g:6542427
Monastero di Vasco	id=g:6542428
Cosio di Arroscia	id=g:6542429
Diano Arentino	id=g:6542430
Mendatica	id=g:6542431
Montezemolo	id=g:6542432
Monticello d'Alba	id=g:6542433
Niella Tanaro	id=g:6542434
Ostana	id=g:6542435
Perlo	id=g:6542436
Pontechianale	id=g:6542437
Rittana	id=g:6542438
Roccabruna	id=g:6542439
Cosseria	id=g:6542440
Giusvalla	id=g:6542441
Magliolo	id=g:6542442
Mallare	id=g:6542443
Scagnello	id=g:6542444
Torre Mondovì	id=g:6542445
Valloriate	id=g:6542446
Agliano Terme	id=g:6542447
Mioglia	id=g:6542448
Plodio	id=g:6542449
Rialto	id=g:6542450
Casarza Ligure	id=g:6542451
Davagna	id=g:6542452
Orero	id=g:6542453
Beverino	id=g:6542454
Camerano Casasco	id=g:6542455
Incisa Scapaccino	id=g:6542456
Isola d'Asti	id=g:6542457
Passerano Marmorito	id=g:6542458
Rondanina	id=g:6542459
Rovegno	id=g:6542460
Carezzano	id=g:6542461
Cassinelle	id=g:6542462
Castelletto Merli	id=g:6542463
Cerrina Monferrato	id=g:6542464
Coniolo	id=g:6542465
Lozza	id=g:6542466
Malgesso	id=g:6542467
Masciago Primo	id=g:6542468
Mesenzana	id=g:6542469
Montegrino Valtravaglia	id=g:6542470
Orino	id=g:6542471
Saltrio	id=g:6542472
Drezzo	id=g:6542473
Morbello	id=g:6542474
Odalengo Piccolo	id=g:6542475
Pozzol Groppo	id=g:6542476
San Giorgio Monferrato	id=g:6542477
Bizzarone	id=g:6542478
Blessagno	id=g:6542479
Blevio	id=g:6542480
Bulgarograsso	id=g:6542481
Cadorago	id=g:6542482
Carate Urio	id=g:6542483
Carbonate	id=g:6542484
Caslino d'Erba	id=g:6542485
Casnate con Bernate	id=g:6542486
Castelnuovo Bozzente	id=g:6542487
Ayas	id=g:6542488
Chamois	id=g:6542489
Champorcher	id=g:6542490
Fénis	id=g:6542491
Introd	id=g:6542492
Merone	id=g:6542493
Moltrasio	id=g:6542494
Montorfano	id=g:6542495
Nesso	id=g:6542496
Ranzo	id=g:6542497
Andora	id=g:6542498
Arnasco	id=g:6542499
Borgio Verezzi	id=g:6542500
Bormida	id=g:6542501
San Siro	id=g:6542502
Moconesi	id=g:6542503
Zignago	id=g:6542504
Bodio Lomnago	id=g:6542505
Brezzo di Bedero	id=g:6542506
Castelveccana	id=g:6542507
Novedrate	id=g:6542508
Ossuccio	id=g:6542509
Parè	id=g:6542510
Peglio	id=g:6542511
Plesio	id=g:6542512
Sala Comacina	id=g:6542513
San Bartolomeo Val Cavargna	id=g:6542514
San Fermo della Battaglia	id=g:6542515
San Nazzaro Val Cavargna	id=g:6542516
Solbiate	id=g:6542517
Stazzona	id=g:6542518
Veniano	id=g:6542519
Oggiona con Santo Stefano	id=g:6542520
Bema	id=g:6542521
Cino	id=g:6542522
Sernio	id=g:6542523
Tresivio	id=g:6542524
Veddasca	id=g:6542525
Albavilla	id=g:6542526
Beregazzo con Figliaro	id=g:6542527
Casasco d'Intelvi	id=g:6542528
Assago	id=g:6542529
Basiano	id=g:6542530
Bellusco	id=g:6542531
Consiglio di Rumo	id=g:6542532
Cremia	id=g:6542533
Eupilio	id=g:6542534
Faggeto Lario	id=g:6542535
Faloppio	id=g:6542536
Gironico	id=g:6542537
Grandola ed Uniti	id=g:6542538
Mezzegra	id=g:6542539
Monguzzo	id=g:6542540
Montemezzo	id=g:6542541
Pianello del Lario	id=g:6542542
Schignano	id=g:6542543
Trezzone	id=g:6542544
Valbrona	id=g:6542545
Val Rezzo	id=g:6542546
Castione Andevenno	id=g:6542547
Pozzo d'Adda	id=g:6542548
Pozzuolo Martesana	id=g:6542549
Renate	id=g:6542550
Roncello	id=g:6542551
Bedulita	id=g:6542552
Canonica d'Adda	id=g:6542553
Carobbio degli Angeli	id=g:6542554
Cenate Sopra	id=g:6542555
Cenate Sotto	id=g:6542556
Moio de' Calvi	id=g:6542557
Palazzago	id=g:6542558
Pedrengo	id=g:6542559
Peia	id=g:6542560
Pianico	id=g:6542561
Piario	id=g:6542562
Piazzolo	id=g:6542563
Pognano	id=g:6542564
Ponteranica	id=g:6542565
Fara Olivana con Sola	id=g:6542566
Foresto Sparso	id=g:6542567
Isola di Fondra	id=g:6542568
Locatello	id=g:6542569
Oltressenda Alta	id=g:6542570
San Paolo d'Argon	id=g:6542571
Spinone al Lago	id=g:6542572
Rota d'Imagna	id=g:6542573
Sant'Omobono Terme	id=g:6542574
Taleggio	id=g:6542575
Ubiale Clanezzo	id=g:6542576
Valbrembo	id=g:6542577
Valgoglio	id=g:6542578
Torre de' Roveri	id=g:6542579
Valleve	id=g:6542580
Vilminore di Scalve	id=g:6542581
Bione	id=g:6542582
Brione	id=g:6542583
Verdellino	id=g:6542584
Viadanica	id=g:6542585
Vigano San Martino	id=g:6542586
Costa di Serina	id=g:6542587
Algua	id=g:6542588
Agnosine	id=g:6542589
Alfianello	id=g:6542590
Lodrino	id=g:6542591
Lozio	id=g:6542592
Corvino San Quirico	id=g:6542593
Montecalvo Versiggia	id=g:6542594
Mornico Losana	id=g:6542595
Collebeato	id=g:6542596
Incudine	id=g:6542597
Irma	id=g:6542598
Rocca de' Giorgi	id=g:6542599
Santa Margherita di Staffora	id=g:6542600
Val di Nizza	id=g:6542601
Valverde	id=g:6542602
Longhena	id=g:6542603
Losine	id=g:6542604
Malegno	id=g:6542605
Milzano	id=g:6542606
Ome	id=g:6542607
Cappella Cantone	id=g:6542608
Corte de' Cortesi con Cignone	id=g:6542609
Prestine	id=g:6542610
Prevalle	id=g:6542611
Persico Dosimo	id=g:6542612
Urago d'Oglio	id=g:6542613
Bagnaria	id=g:6542614
Canevino	id=g:6542615
Montescano	id=g:6542616
San Giorgio di Mantova	id=g:6542617
Bastida Pancarana	id=g:6542618
Bleggio Inferiore	id=g:6542619
Bleggio Superiore	id=g:6542620
Bresimo	id=g:6542621
Cimone	id=g:6542622
Commezzadura	id=g:6542623
Fierozzo	id=g:6542624
Garniga Terme	id=g:6542625
Giovo	id=g:6542626
Montagne	id=g:6542627
Redavalle	id=g:6542628
Robecco Pavese	id=g:6542629
Roncaro	id=g:6542630
Rovescala	id=g:6542631
Sant'Alessio con Vialone	id=g:6542632
Santa Maria della Versa	id=g:6542633
Pieve di Bono	id=g:6542634
Rumo	id=g:6542635
Sagron Mis	id=g:6542636
Sant'Orsola Terme	id=g:6542637
Terragnolo	id=g:6542638
Ton	id=g:6542639
Trambileno	id=g:6542640
Torre de' Negri	id=g:6542641
Torricella Verzate	id=g:6542642
Valfloriana	id=g:6542643
Vallarsa	id=g:6542644
Villa Agnedo	id=g:6542645
Brentino Belluno	id=g:6542646
Concamarise	id=g:6542647
Lavagno	id=g:6542648
Travacò Siccomario	id=g:6542649
Velezzo Lomellina	id=g:6542650
Verretto	id=g:6542651
Verrua Po	id=g:6542652
Gerre de' Caprioli	id=g:6542653
Zeccone	id=g:6542654
Zenevredo	id=g:6542655
Pedemonte	id=g:6542656
Ripalta Arpina	id=g:6542657
Ripalta Guerina	id=g:6542658
San Daniele Po	id=g:6542659
Valdastico	id=g:6542660
Velo d'Astico	id=g:6542661
Fonte	id=g:6542662
Pieve di Coriano	id=g:6542663
Ponti sul Mincio	id=g:6542664
Redondesco	id=g:6542665
Serravalle a Po	id=g:6542666
Bersone	id=g:6542667
Bolbeno	id=g:6542668
Brione	id=g:6542669
Massanzago	id=g:6542670
Megliadino San Fidenzio	id=g:6542671
Cagnò	id=g:6542672
Villanova di Camposampiero	id=g:6542673
Vo	id=g:6542674
Papozze	id=g:6542675
Lisignago	id=g:6542676
Malosco	id=g:6542677
Nanno	id=g:6542678
Nogaredo	id=g:6542679
Ossana	id=g:6542680
Pelugo	id=g:6542681
Buja	id=g:6542682
Fiumicello	id=g:6542683
Sarnonico	id=g:6542684
Segonzano	id=g:6542685
Sfruz	id=g:6542686
Smarano	id=g:6542687
Reana del Rojale	id=g:6542688
Resia	id=g:6542689
Soraga	id=g:6542690
Sover	id=g:6542691
Tenna	id=g:6542692
Terzolas	id=g:6542693
Torcegno	id=g:6542694
Varena	id=g:6542695
Zuclo	id=g:6542696
Verzegnis	id=g:6542697
Corte Brugnatella	id=g:6542698
Angiari	id=g:6542699
Boschi Sant'Anna	id=g:6542700
Cerro Veronese	id=g:6542701
Colognola ai Colli	id=g:6542702
Grancona	id=g:6542703
Roveredo di Guà	id=g:6542704
Roverè Veronese	id=g:6542705
Molvena	id=g:6542706
Valmozzola	id=g:6542707
Lugo di Vicenza	id=g:6542708
San Gregorio nelle Alpi	id=g:6542709
San Nicolò di Comelico	id=g:6542710
Monfumo	id=g:6542711
Monte Grimano Terme	id=g:6542712
Pietrarubbia	id=g:6542713
Terrassa Padovana	id=g:6542714
Fiordimonte	id=g:6542715
Ussita	id=g:6542716
Castel di Lama	id=g:6542717
Montegallo	id=g:6542718
Cortino	id=g:6542719
San Romano in Garfagnana	id=g:6542720
Caminata	id=g:6542721
Cerignale	id=g:6542722
Capraia e Limite	id=g:6542723
Tavarnelle Val di Pesa	id=g:6542724
Gazzola	id=g:6542725
Caprile	id=g:6542726
Callabiana	id=g:6542727
Montegioco	id=g:6542728
Calvignasco	id=g:6542729
Sardigliano	id=g:6542730
Nibionno	id=g:6542731
Lumarzo	id=g:6542732
Cornegliano Laudense	id=g:6542733
Castegnero	id=g:6542734
Palazzo Pignano	id=g:6542735
Terranova dei Passerini	id=g:6542736
Capriata d'Orba	id=g:6542737
Granaglione	id=g:6542738
Bigarello	id=g:6542739
Fabbrica Curone	id=g:6542740
Montemignaio	id=g:6542741
Isola del Giglio	id=g:6542742
Tresana	id=g:6542743
Pontey	id=g:6542744
Castelbianco	id=g:6542745
Giustenice	id=g:6542746
Larciano	id=g:6542747
Onzo	id=g:6542748
Orco Feglino	id=g:6542749
Roccavignale	id=g:6542750
Stella	id=g:6542751
Broccostella	id=g:6542752
Colfelice	id=g:6542753
Vendone	id=g:6542754
Vezzi Portio	id=g:6542755
Avegno	id=g:6542756
Sant'Olcese	id=g:6542757
Tribogna	id=g:6542758
Valbrevenna	id=g:6542759
Cosio Valtellino	id=g:6542760
Forcola	id=g:6542761
Menarola	id=g:6542762
Castel di Sasso	id=g:6542763
Castel Morrone	id=g:6542764
Samolaco	id=g:6542765
Valdisotto	id=g:6542766
Val Masino	id=g:6542767
Marmentino	id=g:6542768
Monte Isola	id=g:6542769
Monticelli Brusati	id=g:6542770
Muscoline	id=g:6542771
Pertica Alta	id=g:6542772
Pertica Bassa	id=g:6542773
Pezzaze	id=g:6542774
Preseglie	id=g:6542775
Provaglio d'Iseo	id=g:6542776
Provaglio Val Sabbia	id=g:6542777
Puegnago sul Garda	id=g:6542778
Remedello	id=g:6542779
Tignale	id=g:6542780
Tremosine	id=g:6542781
Treviso Bresciano	id=g:6542782
Valvestino	id=g:6542783
Albaredo Arnaboldi	id=g:6542784
Castelletto di Branduzzo	id=g:6542785
Concei	id=g:6542786
Sovramonte	id=g:6542787
Paderno del Grappa	id=g:6542788
Sarre	id=g:6542789
Valsavarenche	id=g:6542790
Valtournenche	id=g:6542791
Bajardo	id=g:6542792
Ceranesi	id=g:6542793
Roè Volciano	id=g:6542794
Soiano del Lago	id=g:6542795
Venticano	id=g:6542796
Vallada Agordina	id=g:6542797
Cavaso del Tomba	id=g:6542798
Giffoni Sei Casali	id=g:6542799
Montecorvino Pugliano	id=g:6542800
Lucoli	id=g:6542801
Ocre	id=g:6542802
Conflenti	id=g:6542803
Africo	id=g:6542804
Fiumara	id=g:6542805
Roghudi	id=g:6542806
Terme Vigliatore	id=g:6542807
Maniace	id=g:6542808
Valledoria	id=g:6542809
Camandona	id=g:6542810
Cerreto Castello	id=g:6542811
Curino	id=g:6542812
Mezzana Mortigliengo	id=g:6542813
Selve Marcone	id=g:6542814
Soprana	id=g:6542815
Vallanzengo	id=g:6542816
Veglio	id=g:6542817
Castello di Brianza	id=g:6542818
Colle Brianza	id=g:6542819
Garbagnate Monastero	id=g:6542820
Monticello Brianza	id=g:6542821
Castiraga Vidardo	id=g:6542822
Corte Palasio	id=g:6542823
Jonadi	id=g:6542824
Antrona Schieranco	id=g:6542825
Madonna del Sasso	id=g:6542826
Montescheno	id=g:6542827
Oggebbio	id=g:6542828
San Bernardino Verbano	id=g:6542829
Valstrona	id=g:6542830
Montemale di Cuneo	id=g:6542831
Monterosso Grana	id=g:6542832
Murello	id=g:6542833
Paroldo	id=g:6542834
Perletto	id=g:6542835
Pianfei	id=g:6542836
Pocapaglia	id=g:6542837
Polonghera	id=g:6542838
Torre Bormida	id=g:6542839
Torre San Giorgio	id=g:6542840
Verduno	id=g:6542841
Vezza d'Alba	id=g:6542842
Villar San Costanzo	id=g:6542843
Albugnano	id=g:6542844
Antignano	id=g:6542845
San Martino Alfieri	id=g:6542846
San Paolo Solbrito	id=g:6542847
Soglio	id=g:6542848
Tigliole	id=g:6542849
Vaglio Serra	id=g:6542850
Viarigi	id=g:6542851
Vinchio	id=g:6542852
Alice Bel Colle	id=g:6542853
Altavilla Monferrato	id=g:6542854
Avolasca	id=g:6542855
Belforte Monferrato	id=g:6542856
Bergamasco	id=g:6542857
Berzano di Tortona	id=g:6542858
Borghetto di Borbera	id=g:6542859
Bosio	id=g:6542860
Carpeneto	id=g:6542861
Casal Cermelli	id=g:6542862
Casaleggio Boiro	id=g:6542863
Costa Vescovato	id=g:6542864
Cuccaro Monferrato	id=g:6542865
Fraconalto	id=g:6542866
Francavilla Bisio	id=g:6542867
Fresonara	id=g:6542868
Gavazzana	id=g:6542869
Grondona	id=g:6542870
Masio	id=g:6542871
Molino dei Torti	id=g:6542872
Mombello Monferrato	id=g:6542873
Momperone	id=g:6542874
Moncestino	id=g:6542875
Montacuto	id=g:6542876
Montaldeo	id=g:6542877
Montechiaro d'Acqui	id=g:6542878
Montemarzino	id=g:6542879
Morsasco	id=g:6542880
Odalengo Grande	id=g:6542881
Olivola	id=g:6542882
Orsara Bormida	id=g:6542883
Pietra Marazzi	id=g:6542884
Piovera	id=g:6542885
Ponzano Monferrato	id=g:6542886
Rosignano Monferrato	id=g:6542887
Sant'Agata Fossili	id=g:6542888
Sezzadio	id=g:6542889
Solonghello	id=g:6542890
Treville	id=g:6542891
