Shīv-ā Hiskt	id=g:446063
Wādī Jalāl Nāvishkī	id=g:446146
Kēlaspī	id=g:446148
Shākh-i Ogird	id=g:446151
Rūbār-i Sarchāwā	id=g:446152
Shākh-i Sōrik	id=g:446153
Blinkā	id=g:446154
Sanāwa	id=g:446155
Girdikhwādāw	id=g:446156
Qirtik	id=g:446157
Simāgulī Sēnan	id=g:446158
Kurtajar	id=g:446159
Rūbār-i Kōlōsh	id=g:446160
Cham-i Nāzanīn	id=g:446161
Kēw-i Sūrabal	id=g:446162
Bādawān	id=g:446163
Kānī Kand	id=g:446164
Kātrōshī	id=g:446165
Hamabāyizān	id=g:446166
Māmā Mahmūdah	id=g:446167
Huwāwān	id=g:446168
Huwāwān-i Khwārū	id=g:446169
Mizgōtōka	id=g:446170
Qūsh Tabbah	id=g:446174
Murtikah aş Şaghīr	id=g:446175
Mīrzā Āghā	id=g:446176
Halaja	id=g:446177
‘Umara Sūr	id=g:446178
Bustānah aş Şaghīr	id=g:446179
Sarmāzrā	id=g:446180
Kāni Bizra	id=g:446181
Gird-i Qarachanāgha	id=g:446182
Kirdarash As‘ad	id=g:446183
Kēw-i Kānī	id=g:446184
Dārātū	id=g:446185
Cham-i Bāwājī	id=g:446186
Kamila-ī Khwārū	id=g:446187
Shaykh Ardān	id=g:446188
Qarah Sūr	id=g:446189
Shīla	id=g:446190
Dāramazin	id=g:446191
Bāmurdkān	id=g:446192
Bājawān	id=g:446193
Awdālōk	id=g:446194
Binaşlāwah aş Şaghīr	id=g:446195
Kēw-i Lakasūr	id=g:446196
Rūbār-i Kōya Sanjag	id=g:446197
Dōl-i Tālāwa	id=g:446198
Dōl-i Kunakamtiyār	id=g:446199
Gird-i Kākila	id=g:446200
Bāyzīk	id=g:446201
Cham-i Zōrabī	id=g:446202
Kurdāwā	id=g:446203
Cham-i Tōpzawa	id=g:446204
Dūrā	id=g:446205
Qimmat Talānī Kūnah Asbindārah	id=g:446206
Bīr Rash	id=g:446207
Kasnazān	id=g:446208
Wādī Sharabūt	id=g:446209
Jabal Kalāw Qāsim	id=g:446211
Bīrkūt	id=g:446212
Gor-i Shaykh Muhammad-i Khōrāsani	id=g:446213
Sarshīnā	id=g:446219
Tārāwah	id=g:446220
Jabal Sarbāl	id=g:446221
Shākh-i Khidrakhul	id=g:446222
Chiyā-i Zardkān	id=g:446223
Jabal Bānī	id=g:446224
Ashkaft	id=g:446226
Sārtikah	id=g:446227
Shīra-i Khwārū	id=g:446228
Sar-i Kaprē	id=g:446229
Shākh-i Sarkūr	id=g:446230
Sīsāwah	id=g:446231
Kawīkān	id=g:446232
Shīnāwah	id=g:446233
Shāwaysiyān	id=g:446234
Sar-i Kānī Kōrāwa	id=g:446235
Qasrūk	id=g:446236
Mīrzā Rūstam	id=g:446237
Tapk-i Shinē	id=g:446239
Sar-i Garāw-i Dēwāna	id=g:446240
Shlīmak	id=g:446241
Shākh-i Mīrān	id=g:446242
Gird-i Zinōk	id=g:446243
Shīwa-i Khwārū	id=g:446244
Gird-i Mīr Ḩasan	id=g:446245
Biyūkah	id=g:446246
Gird-i Sangarān	id=g:446247
Jamarkah	id=g:446248
Chiyā-i Kazhōst	id=g:446249
Gird-i Rishk	id=g:446250
Mandēr	id=g:446251
Gird-i Rasha Dōl	id=g:446252
Chamiyāwā	id=g:446255
Shākh-i Nūsak	id=g:446256
Karik	id=g:446278
Shaykhah Shal	id=g:446279
Shawk	id=g:446280
Gōlak-i Gawra	id=g:446281
Māwārān as Suflá	id=g:446282
Kawrak al Kabīr	id=g:446283
Kirdah Jā	id=g:446284
Jabal Sibī	id=g:446285
Jabal Zīwkah	id=g:446286
Kūrah Shīr al ‘Ulyā	id=g:446287
Sharbūt	id=g:446288
Qimmat Nāwdārī	id=g:446289
Bīrash	id=g:446290
Darāsh	id=g:446291
Gird-i Dīka	id=g:446292
Qimmat Kūrak	id=g:446294
Hanārah	id=g:446295
Zīkha	id=g:446296
Qarmān	id=g:446297
Khurān	id=g:446298
Lūtka-i Mōta	id=g:446299
Kūl Bināwnah	id=g:446300
Dūnkizāwah	id=g:446301
Qōpī Basjī	id=g:446302
Gird-i Bēsārān	id=g:446303
Bināwīyah	id=g:446304
Kānī Kawānah	id=g:446305
Kūmāsibān	id=g:446306
Bardabī	id=g:446307
Darband Kūmaspān	id=g:446308
Nāwazīnān	id=g:446309
Jabal Jīshkah	id=g:446310
Āmānj	id=g:446311
Wādī Jīshkah	id=g:446312
Sarūkānī	id=g:446313
Dūāwān	id=g:446314
Sūsā	id=g:446315
Bānamān	id=g:446316
Bīrūkān	id=g:446317
Nāwdārūkān	id=g:446318
Qūmāwān	id=g:446319
Sūlāwik as Suflá	id=g:446320
Sayūkah	id=g:446321
Lūtka-i Najma	id=g:446322
Shākh-i Shīshār	id=g:446323
Gird-a Rash	id=g:446324
Bānāmān	id=g:446325
Shākh-i Nēwa	id=g:446326
Shākh-i Sardōl	id=g:446327
Sūlāwik al ‘Ulyā	id=g:446328
Shākh Qōpī Dūrāwār	id=g:446329
Qimmat Tish Ḩājj Malik	id=g:446330
Shākh Qōpi Sardōl	id=g:446331
Jabal Talānī Rash	id=g:446332
Shākh-i Bīlrōk	id=g:446333
Āqūbān as Suflá	id=g:446334
Lūtka-i Sarshāna	id=g:446335
Āqūbān al ‘Ulyā	id=g:446336
Qōpī Hawrē	id=g:446337
Qimmat Tishī Āqūbān	id=g:446338
Bīrkah	id=g:446339
Chinērān	id=g:446340
Lāsah	id=g:446341
Karūnān al ‘Ulyā	id=g:446342
Karūnān as Suflá	id=g:446343
Jabal Shākirūk	id=g:446344
Shaykh Maḩmūdiyān	id=g:446345
Jabal Mīrāwah	id=g:446346
Mīrāwah	id=g:446347
Kūrasak	id=g:446348
Jabal Kird Shūr	id=g:446349
Khatībiyān	id=g:446350
Kūrāshir as Suflá	id=g:446351
Qalā Sinj al ‘Ulyā	id=g:446352
Ziyārat	id=g:446353
Sārtkah	id=g:446354
Sārtikah	id=g:446355
Jabal Sāritkah	id=g:446356
Ţūbzāwah	id=g:446357
Qala Mortka	id=g:446358
Harsham	id=g:446359
Dīrī	id=g:446360
Kāwānyān	id=g:446361
Shaykh Ḩimūndiyān	id=g:446362
Ziyārat	id=g:446363
Qimmat Bishtī Zīnah	id=g:446364
Ashkā	id=g:446365
Al Lilāwah	id=g:446366
Ḩājī Aḩmad	id=g:446367
Qimmat Khidir Akhūl	id=g:446368
Sbīkrā	id=g:446369
Zirkūz	id=g:446370
Tīrkāwah	id=g:446371
Jabal Bānī Sarī	id=g:446372
Bāsk-i Darwēsh	id=g:446373
Kāwānī	id=g:446374
Al Māwān al Kabīr	id=g:446375
Qōpī Dandī	id=g:446376
Chiya-i Bērīsh	id=g:446377
Zībārūk	id=g:446378
Chiyā-i Kārōkh	id=g:446379
Gird-i Sarmērg	id=g:446380
Sar-i Rabāt Māma Rasūl	id=g:446381
Sar-i Shakala	id=g:446382
Kabj-i Bērī	id=g:446383
Rūbār-i Razhga	id=g:446384
Tūbzāwah	id=g:446385
Shīw-i Ashān	id=g:446386
Mila-i Khānzād	id=g:446387
Cham-i Qaysarī	id=g:446388
Karāw	id=g:446389
Cham-i Kānī Kurd	id=g:446390
Cham-i Ashād	id=g:446391
Cham-i Sayyid Ahmad	id=g:446392
Cham-i Pamūyān	id=g:446393
Kand-i Qishlākhān	id=g:446394
Shīw-i Kānī Sārik	id=g:446395
Jayshnīkān	id=g:446396
Wādī Qāzī	id=g:446397
Cham-i Mam Krāwē	id=g:446398
Kūrī	id=g:446399
Cham-i Azhga	id=g:446400
Jabal Kānī Kird Jāl	id=g:446401
Jabal Jidsarīn	id=g:446402
Gird-i Tārnōdār	id=g:446403
Gird-i Zīkaylī	id=g:446404
Wādī Duwaykhilah	id=g:446406
Wādī al Ubayyiḑ	id=g:446407
Safāwīyat ash Shaykh	id=g:446408
Fayḑat al Jāyīsh	id=g:446409
Rijlat ad Duwaykhilah	id=g:446410
‘Adhād	id=g:446411
Umm al Khafīr	id=g:446412
Khabrat Umm al ‘Iz̧ām	id=g:446413
Miḑakhkhat Mā’ Umm Kuwānī al Habbārīyah	id=g:446414
Qaryat Abū Ghār	id=g:446415
Āthār Qaryat Amrī	id=g:446416
Qaţţārī	id=g:446417
Tulaylāt az Zurk	id=g:446418
A‘şābah	id=g:446426
Makhfar al Abyaḑ	id=g:446427
Sha‘īb al Ḩashū	id=g:446428
Makhfar Ḩudūd Umm al Ḩashū	id=g:446429
An Nu‘mānī	id=g:446430
Khānzād	id=g:446434
Bastōra	id=g:446435
Qulbān al Fuwayrah	id=g:446439
Al Qayşūmah	id=g:446441
Wādī ash Shubhah	id=g:446443
Cham-i Kulka	id=g:446445
Cham-i Sīwākah	id=g:446446
Chiyā-i Sar-i Darokī	id=g:446447
Hawīnahāwār-i Warta	id=g:446448
Qulbān al Fuwayrah	id=g:446451
Makhfar Umm al Ḩashw	id=g:446455
Sha‘īb al Khadd	id=g:446458
Gali Askauta	id=g:446459
Cham-i Bī Shaykh	id=g:446460
Cham-i Zīlān	id=g:446461
Shīw-i Sēdarka	id=g:446462
Shīw-i Malīkastā	id=g:446467
Cham-i Karwēshk	id=g:446470
Shīw-i Suwēra	id=g:446471
Shīw-i Khurān	id=g:446472
Galī Harmik	id=g:446473
Galī Spi	id=g:446475
Shīw-i Kirkāwa	id=g:446476
Cham-i Bēnātān	id=g:446477
Cham-i Mērg-a Qal	id=g:446478
Gird-i Bāra	id=g:446479
Cham-i Girdik	id=g:446480
Gūlān	id=g:446481
Cham-i Parōshīn	id=g:446482
Shīw-i Talān-i Safmērd	id=g:446483
Cham-i Sitāwān	id=g:446484
Cham-i Andīk	id=g:446485
Kand-i Ghilā	id=g:446486
Galī Gurgan	id=g:446487
Lūtka-i Tūrakht	id=g:446488
Cham-i Bēkil	id=g:446490
Cham-i Betwātah	id=g:446492
Rūbār-i Kōrā	id=g:446493
Shākh-i Pisht-i Jūtbard	id=g:446494
Lūtka-i ‘Abd al Ghanī	id=g:446495
Shākh-i Pisht-i Zarōmar	id=g:446496
Shīw-i Gom-i Hawrē	id=g:446497
Khir a Kāwil	id=g:446498
Shīw-i Kuramīsh	id=g:446500
Khir-i Ashkawtān	id=g:446501
Cham-i Tālūk	id=g:446502
Shākh-i Kāmusāk	id=g:446505
Makhfar al Abyaḑ	id=g:446507
Bāqlan	id=g:446508
Alyān	id=g:446509
Cham-i Mihut	id=g:446510
Cham-i Kulēwa	id=g:446511
Jirgazawī	id=g:446512
Shīw-i Shīra	id=g:446513
Mila-i Mahmūd Bag	id=g:446514
Sar-i Awghān	id=g:446515
Chiyā-i Bērik	id=g:446516
Chiyā-i Malā Mīr	id=g:446517
Sar-i Qabū	id=g:446518
Daramīr	id=g:446519
Cham-i Daramīr	id=g:446520
Qalātajin	id=g:446521
Chiyā-i Tibīr-i Shaykh Kārī	id=g:446522
Chiyā-i Kōrite	id=g:446523
Chiyā-i Shaykh Wāsān	id=g:446524
Chiyā-i Shūnī	id=g:446525
Shīv-i Darī	id=g:446526
A‘şābah	id=g:446528
Kēw-i Sarband	id=g:446529
Talajār	id=g:446530
Gird-i Nāw	id=g:446531
Cham-i Hēzhik	id=g:446532
Chiyā Sōlan	id=g:446533
Bīrmarwān	id=g:446534
Khir-a Nish	id=g:446535
Garmāwa Galī	id=g:446536
Chiyā-i Kurgāmēsh	id=g:446537
Cham-i Kularash	id=g:446538
Quba	id=g:446539
Cham-i Garāw-i Bābāchichak	id=g:446540
Gird-i Bōr	id=g:446541
Garā	id=g:446542
Gird-i Bardasūr	id=g:446543
Watkah	id=g:446544
Jabal Tākādār	id=g:446545
Jabal Bānī Naşārā	id=g:446546
Kānī Bī	id=g:446547
Gird-i Aḩmad Sīdān	id=g:446548
Qūr Talās	id=g:446549
Kēw-i Takwal	id=g:446550
Jabal Ḩājj ‘Alī	id=g:446551
Sāwah Qūb	id=g:446552
Bīrar	id=g:446553
Lūtka-i Kalikhāniyān	id=g:446554
Jabal Bānī Samāqah	id=g:446555
Jabal Kīw Sibī	id=g:446556
Bank-i Bāwājī	id=g:446557
Qimmat Sarī Bardī	id=g:446558
Jabal Rabanūk	id=g:446559
Jabal Ḩasan Bayk	id=g:446560
Dūlānah	id=g:446561
Qimmat Haykūk	id=g:446562
Māwān	id=g:446563
Sumīlān	id=g:446564
Sar-i Tājdīn	id=g:446565
Imām Khaţiyān	id=g:446566
Jāwat Kah	id=g:446567
Bīshah	id=g:446568
Zīnū-i Bēsha	id=g:446569
Jabal Tātān	id=g:446570
Ghafūrāw	id=g:446571
Balkah Rash	id=g:446572
Bafjā	id=g:446573
Ḩamzah Bak	id=g:446574
Shīwā Bīrān	id=g:446575
Wādī Bātānūk	id=g:446576
‘Ājá Wsū	id=g:446577
Ākhūrah	id=g:446578
Wādī Zāzir	id=g:446579
Simāqah Shīrīn al Kabīr	id=g:446580
Wādī Tarjīnā	id=g:446581
Cham Ashkafta Saqah	id=g:446582
Bānī Mārān	id=g:446583
Dārbasar	id=g:446584
Rūbār-i Bāwēs	id=g:446585
Wādī Kūlikhānū	id=g:446586
Kūmāshīn	id=g:446587
Wādī Kūmāshīn	id=g:446588
Kānī Darband	id=g:446590
Galī Dēgala	id=g:446591
Dēr-a Birūsha	id=g:446594
Qalā-i Rāshā-i Kōr	id=g:446596
Chiyā-i Dēr-a Birūsha	id=g:446597
Qōch-i Gājūt	id=g:446598
Cham-i Zarkā	id=g:446599
Kalakin	id=g:446600
Qōch-i Qīrsān	id=g:446601
Qōch-i Gōlik	id=g:446602
Sarū-i Zurgī	id=g:446603
Qōch-i Razhga	id=g:446604
Qōch-i Braymān	id=g:446605
Rashān	id=g:446606
Gird-a Rash	id=g:446607
Zaran	id=g:446608
Gird-a Nīsk	id=g:446609
Gird-i Būtār	id=g:446610
Gird-i Kuhasīkhur	id=g:446611
Chamasōra	id=g:446612
Gird-i Tawmirgān	id=g:446613
Kabūr	id=g:446614
Gird-i Hōmar Āgha	id=g:446615
Cham-i Kūba	id=g:446616
Hālmandān	id=g:446617
Gird-i Kikibizāw	id=g:446618
Gird-i Jūtastērī	id=g:446619
Kānī Khazān	id=g:446620
Gird-a Shēr	id=g:446621
Kānī Tāwuk	id=g:446622
Khire	id=g:446623
Barbīya	id=g:446624
Cham-i Barbīya	id=g:446625
Qura Bag	id=g:446626
Zirgoz	id=g:446627
Sar-i Ḩāji Māma	id=g:446628
Sar-i Bāsik-i Kārita	id=g:446629
Cham-i Kirtāma	id=g:446630
Mandiyān	id=g:446631
Cham-i Tōpīna	id=g:446632
Māmandōk	id=g:446633
Kēlī	id=g:446634
Khulē	id=g:446635
Kandagul	id=g:446636
Mīr Bāliyān	id=g:446637
Dāzīm	id=g:446638
Cham-ē Shārōk	id=g:446639
Cham-ē Dāzīm	id=g:446640
Sharfūna	id=g:446641
Sulāga	id=g:446642
Bardīn	id=g:446643
Nāwshiwān	id=g:446644
Kānī Chargān	id=g:446645
Sar-a Ward	id=g:446646
Galī Bēkhima	id=g:446647
Chiyā-a Malē Mūsá	id=g:446648
Bibi	id=g:446649
Galūk	id=g:446650
Wādī Bardah Zardah	id=g:446651
Zēwa	id=g:446652
Warya	id=g:446653
Wādī Maykūkān	id=g:446654
Khilan	id=g:446655
Gankāw	id=g:446656
Daralah	id=g:446657
Bāzagīr	id=g:446658
Kānī Shaykhān	id=g:446659
Jabal Sarī Mirdkān	id=g:446660
Qūkhah Rashīd	id=g:446661
Jabal Kalwayn	id=g:446662
Jabal Tawānah	id=g:446663
Cham-i Shan-i Eākhāwis	id=g:446664
Sūsnāwa	id=g:446665
Jabal Bahār Kānī	id=g:446666
Qimmat Kataw	id=g:446667
Jabal Kānāsur	id=g:446668
Jabal Qūḩān	id=g:446669
Jabal Sarkūk	id=g:446670
Bismikran	id=g:446671
Kēw-i Qal`at Sārim	id=g:446672
Qal‘at Sārim	id=g:446673
Chiyā-ē Bardazard	id=g:446674
Sarkandāl	id=g:446675
Rūbār-ē Sāsē	id=g:446677
Chiyā-ē Kawlīs	id=g:446678
Rūbār-ē Kalātī	id=g:446679
Malā Mūsa	id=g:446680
Qaļāta	id=g:446681
Dēratīsū	id=g:446682
Galī Narī	id=g:446683
Mālamīn	id=g:446684
Sāwān	id=g:446685
Cham Bēki	id=g:446686
Chiyā-i Malā Mūsa	id=g:446687
Būsil	id=g:446688
Ashkawta	id=g:446689
Filōn	id=g:446690
Afriyān	id=g:446691
Rikāwa	id=g:446692
Cham-i Darbandōk	id=g:446693
Glūk	id=g:446694
Mērgamōshk	id=g:446695
Barāzān	id=g:446696
Cham-i Mōltka	id=g:446697
Cham-i Shāmiyān	id=g:446698
Mamdī	id=g:446699
Marzan	id=g:446700
Gird-i Biz	id=g:446701
Cham-e Zēwkī	id=g:446702
Gird-i Sarawrāz	id=g:446703
Razkah	id=g:446704
Cham-i Dēr-a Birusha	id=g:446705
Kānī Bīnān	id=g:446706
Sorsōra	id=g:446707
Muzawe	id=g:446708
Cham-i Kānī Nērē	id=g:446709
Khanzad Soran	id=g:446710
Gird-i Astēri	id=g:446711
Shīw-i Sleman Bey	id=g:446712
Hanārān-i Khwāru	id=g:446713
Hanārān-i Zhūrū	id=g:446714
Darbandōk	id=g:446715
Hardī	id=g:446716
Sar-i Bardōka	id=g:446717
Mandān	id=g:446718
Hanāra	id=g:446719
Jāfirka	id=g:446720
Khunāsi Khawr	id=g:446721
Goras	id=g:446722
Klachin	id=g:446723
Pīrachīn	id=g:446724
Kānī Gulik	id=g:446725
Lēramēr	id=g:446726
Jōnāra	id=g:446727
Galī Khalān	id=g:446728
Khalān	id=g:446729
Khalifān	id=g:446730
Dash-i Lōka	id=g:446731
Khalifān	id=g:446732
Galī Darshā	id=g:446733
Chiyā-i Ḩarīr	id=g:446734
Galī Qalāta	id=g:446735
Gird-i Raz-i Khirwātān	id=g:446736
Gird-i Brūja Rashka	id=g:446737
Galī Hanjīrōka	id=g:446738
Galī Soran	id=g:446739
Gird-i Kurbāshīlān	id=g:446740
Galī Ālāna	id=g:446741
Galī Shinbuwa	id=g:446742
Galī Razga	id=g:446743
Gird-i Dōli Raza	id=g:446744
Gird-i Qōdī	id=g:446745
Shīw-i Yaltik	id=g:446746
Shīw-i Kākō	id=g:446747
Shīw-i Alasi	id=g:446748
Shīw-i Bēwi	id=g:446749
Bajwātah	id=g:446750
Girdakōk	id=g:446751
Galī Rimāwēzh	id=g:446752
Alāna	id=g:446753
Cham-i Gōm-i Kularash	id=g:446754
Qimmat Khatyāţ	id=g:446755
Qarakhān Dōla	id=g:446756
Chiyā-i Abrūn	id=g:446757
Bila-i-Zhōrī	id=g:446758
Hardān	id=g:446759
Cham-i Bila-i-Zhōrī	id=g:446760
Sar-e Havīz	id=g:446761
Galī Bila	id=g:446762
Talan-i Khāndōla	id=g:446763
Skīw-i Khāndōla	id=g:446764
Gird Kānī Bēsān	id=g:446765
Cham-i Kānī Spīlik	id=g:446766
Shīw-i Ashkawl	id=g:446767
Gird-i Maḩmūd	id=g:446768
Gird-i Akhal	id=g:446769
Shīw-i Fishak	id=g:446770
Qimmat Şaqar	id=g:446771
Shīw-i Kanīsōr	id=g:446772
Sar-e Satrīstān	id=g:446773
Sar-e Havārjū	id=g:446774
Gird-i Gōranchiqil	id=g:446775
Gird-i Tik	id=g:446776
Shirka	id=g:446777
Shīw-a Berik	id=g:446778
Dowl-e Zīn	id=g:446779
Bekhāl	id=g:446780
Galī ‘Alī Bey	id=g:446781
Sar-i Mila Sirwē	id=g:446782
Qimmat Bardat Rash	id=g:446783
Qimmat Jināristān	id=g:446785
Wādī Zarī Khān	id=g:446786
Chiyā-i Rīzabard	id=g:446788
Galī ‘Alī Beg	id=g:446791
Chozgā	id=g:446792
Shawrān	id=g:446793
Dōl-i Birūshōk	id=g:446794
Dōl-i Māzna	id=g:446795
Galī Chēwī	id=g:446796
Banah	id=g:446801
Qimmat Sarī Ajar	id=g:446802
Gird-i Sinkā	id=g:446803
Sar-i Binibardī	id=g:446805
Tall Lūtī Mīrkat Māyah	id=g:446806
Shiw-i Buamīs	id=g:446807
Gerd-e Matārīz	id=g:446808
Qimmat Dūlat Maydān	id=g:446809
Qōsh-i Dōlamaydān	id=g:446810
Wādī Mīrkat Mīr	id=g:446811
Sar-i Hawar-i Mala Mustafa	id=g:446812
Qimmat Siyāh Kayū	id=g:446820
Sar-i Siyākhumār	id=g:446821
Qōch-i Kārgozīn	id=g:446822
Cheyā-ye Bardajow	id=g:446823
Cheyā-ye Bashmāshah	id=g:446825
Gerd-e Lowlāv	id=g:446826
Shīw-i Barāzān	id=g:446827
Chiyā-i Sarūka	id=g:446829
Gerd-e Kermalowk	id=g:446830
Shīw-i Garrik	id=g:446831
Bīrm-e Dendārān	id=g:446832
Wādī Bīrat Sah	id=g:446833
Gird-i Bazēbardī	id=g:446834
Kārgozīn	id=g:446835
Gird-i Hawābezhān	id=g:446836
Melah-e Kārgozīn	id=g:446838
Wādī Banī Bardī	id=g:446839
Shīv-e Sān	id=g:446840
Gerd-e Sān	id=g:446841
Gerd-e Nadīl	id=g:446842
Wādī Şaqar	id=g:446843
Shīw-i Sīāt	id=g:446844
Chiyā-i Girdashuwān	id=g:446847
Gird-i Tirakhān	id=g:446848
Wādī Shaykh Rash	id=g:446849
Sar-i Garū-i Kōmī	id=g:446850
Qowch-e Lowlān	id=g:446851
Rūbār-i Lōlān	id=g:446852
Rī Sūr	id=g:446853
Lūlān	id=g:446854
Sūrah Zawī	id=g:446856
Dowl-e Nowshīv	id=g:446857
Bīrkān	id=g:446858
Āw-i Khunēra	id=g:446859
Galī Bīrkān	id=g:446860
Chiyā-i Bardaspī	id=g:446861
Chiyā-i Wēma	id=g:446862
Dīmah	id=g:446863
Qimmat Hazda‘	id=g:446864
Shīv-e Bīsūr	id=g:446865
Kuwān	id=g:446866
Asqara	id=g:446867
Kāwulkan	id=g:446868
Wādī Sūr	id=g:446869
Tall Biyū	id=g:446870
Qimmat Biyūkah Rah	id=g:446872
Kurak	id=g:446873
Tall Kalātat Sūshī	id=g:446874
Gird-i Sēmik	id=g:446875
Banī Kāuwl	id=g:446876
Qimmat Zīrīnā	id=g:446877
Wādī Hawār Bālūl	id=g:446878
Wādī Dīmah	id=g:446879
Qimmat Ghālah Rash	id=g:446880
Sar-i Dōlabardā	id=g:446881
Cheyā-ye Sarsūl	id=g:446882
Sar-e Z̄īlak	id=g:446883
Sālār	id=g:446884
Kand-e Zahūlah	id=g:446885
Qimmat Sarja	id=g:446886
Sar-i Mir Hamas	id=g:446887
Qimmat Tātā	id=g:446888
Sar-i Gilasūr	id=g:446889
Chiyā-i Bējān	id=g:446890
Tall Bāsh Khān	id=g:446891
Sar-e Shatrah	id=g:446892
Tall Khānū	id=g:446893
Jabal Tātā	id=g:446894
Kānī Kūn	id=g:446895
Chiyā-i Gōrasan	id=g:446898
Jabal Darkah Lah	id=g:446899
Zīnū-i Dārgalah	id=g:446900
Jabal Bāshkūrān	id=g:446901
Jabal Talān	id=g:446903
Zīnū-i Dārgalah	id=g:446905
Bāshkūz	id=g:446906
Nāwkilakān	id=g:446907
Chamrakhān	id=g:446908
Jabal Sarī Bānāwān	id=g:446909
Qimmat Sarī Juwānkāyy	id=g:446910
Qimmat Barmak	id=g:446911
Balat as Suflá	id=g:446912
Garawān Zhuru	id=g:446913
Qimmat Rushān	id=g:446914
Makhfar Shurţat Sarī Bardī	id=g:446915
Jabal Lātī	id=g:446916
Bāsk-a Bēsha	id=g:446917
Jabal Sibī Bālīs	id=g:446918
Chiyā-i Bislī	id=g:446919
Bīshūk Zarū	id=g:446920
Bēshōk-i Khwārū	id=g:446921
Zarwā Matrūkah	id=g:446922
Jabal Qalānī	id=g:446923
Chiyā-i Bēsar	id=g:446924
Shākhī Birshār	id=g:446925
Kortik	id=g:446926
Dīkah	id=g:446927
Nizārī	id=g:446928
Wādī Nizārī	id=g:446929
Kūlah	id=g:446930
Banī	id=g:446931
Armūsh	id=g:446932
Tall Kartak Samūr	id=g:446933
Markaz Shurţat Bafistyān	id=g:446934
Galā-i Bēkhāl	id=g:446935
Qimmat Harmūshah	id=g:446936
Qimmat Kūrak	id=g:446937
Jabal Kūrah Shīr	id=g:446938
Wādī Armūsh	id=g:446939
Chiyā-i Gōraspī	id=g:446940
Dirāw	id=g:446942
Qimmat Jabal Jiyāsūr	id=g:446943
Qimmat Milī Bāy	id=g:446944
Dōl-i Milēbāy	id=g:446945
Tālīstah	id=g:446946
Qimmat Bīshī Sarah	id=g:446947
Qimmat Jabal Tatāsūrah	id=g:446948
Kayrīn	id=g:446949
Bīshūk	id=g:446950
Pāwas	id=g:446951
Ḩayy Lāwah	id=g:446952
Mirājiyān	id=g:446953
Sar-ē Salān	id=g:446976
Rūbār-ē Barashū	id=g:446977
Chiyā-ē Bāshkawla	id=g:446978
Chiyā-ē Barāt	id=g:446979
Dōl-ē Kūhtān	id=g:446980
Mīrgē	id=g:446981
Chiyā-ē Dērbishk	id=g:446982
Saka	id=g:446983
Chiyā-ē Kerōk	id=g:446984
Arwān	id=g:446985
Kalka	id=g:446986
Sar-ē Razōk	id=g:446987
Chiyā-ē Būkāsar	id=g:446988
Zōragwān	id=g:446989
Sharī	id=g:446990
Sluki	id=g:446991
