Republic of Kenya	id=g:192950
Katse Location	id=g:193280
Katse	id=g:193281
Katse	id=g:193282
Katsangatifu	id=g:193283
Katrima	id=g:193284
Katothyani	id=g:193285
Katothia	id=g:193286
Katothia	id=g:193287
Katoteni	id=g:193288
Kator Sub-Location	id=g:193289
Katora	id=g:193290
Lomilia Katopothinyang	id=g:193291
Katongaa	id=g:193292
Katolotwa	id=g:193293
Katoloni	id=g:193294
Katoloni	id=g:193295
Katmerit	id=g:193296
Katmerit	id=g:193297
Katiya Dam	id=g:193298
Katitu Sub-Location	id=g:193299
Katitu Sub-Location	id=g:193300
Katitu	id=g:193301
Katitu	id=g:193302
Katito	id=g:193303
Katito	id=g:193304
Katitika Sub-Location	id=g:193305
Katitika	id=g:193306
Katitika	id=g:193307
Katisi	id=g:193308
Katirr	id=g:193309
Katirikiki	id=g:193310
Katirikiki	id=g:193311
Katira	id=g:193312
Katinomoge	id=g:193313
Katine Sub-Location	id=g:193314
Katine Dam	id=g:193315
Katina Estate	id=g:193316
Katimok Forest	id=g:193317
Katimo	id=g:193318
Katiluku	id=g:193319
Katilisya	id=g:193320
Katilini	id=g:193321
Katiliku	id=g:193322
Katiliko	id=g:193323
Katilia	id=g:193324
Katikomo	id=g:193325
Katikoko	id=g:193326
Katiko	id=g:193327
Katiko	id=g:193328
Katikithikiria	id=g:193329
Katikani	id=g:193330
Katikani	id=g:193331
Katik	id=g:193332
Katigithigiria Hills	id=g:193333
Katiga Sub-Location	id=g:193334
Katieno Sub-Location	id=g:193335
Katieno Sub-Location	id=g:193336
Katibanga Estate	id=g:193337
Katiani	id=g:193338
Kathyaka	id=g:193339
Kathyaka	id=g:193340
Kathuya	id=g:193341
Kathurine	id=g:193342
Kathure	id=g:193343
Kathuniri	id=g:193344
Kathungu Sub-Location	id=g:193345
Kathunguru	id=g:193346
Kathungure	id=g:193347
Kathungure	id=g:193348
Kathungu	id=g:193349
Kathungu	id=g:193350
Kathungu	id=g:193351
Kathungu	id=g:193352
Kathungu	id=g:193353
Kathungi	id=g:193354
Kathumoni Dam	id=g:193355
Kathumo Dam	id=g:193356
Kathuleni	id=g:193357
Kathugu	id=g:193358
Kathua	id=g:193359
Kathpat Estate	id=g:193360
Kathonzweni	id=g:193361
Kathondo	id=g:193362
Kathole	id=g:193363
Kathoka	id=g:193364
Kathogoliatom	id=g:193365
Kathiwa	id=g:193366
Kathithyamaa	id=g:193367
Kathita Munyi	id=g:193368
Kathita	id=g:193369
Kathita	id=g:193370
Kathirionyone	id=g:193371
Kathiri	id=g:193372
Kathioko	id=g:193373
Kathini Store	id=g:193374
Kathini	id=g:193375
Kathini	id=g:193376
Kathimbi	id=g:193377
Kathiliwa	id=g:193378
Kathilani	id=g:193379
Kathilani	id=g:193380
Kathiiyoni Grazing Area	id=g:193381
Kathiini	id=g:193382
Kathiiani Sub-Location	id=g:193383
Kathiiani	id=g:193384
Kathigiri	id=g:193385
Kathigagacheru	id=g:193386
Kathieno B Sub-Location	id=g:193387
Kathieno A Sub-Location	id=g:193388
Kathie	id=g:193389
Kathibo	id=g:193390
Kathiani	id=g:193391
Kathiaka	id=g:193392
Kathi	id=g:193393
Kathi	id=g:193394
Katheri Sub-Location	id=g:193395
Katheri	id=g:193396
Katheri	id=g:193397
Kathera Sub-Location	id=g:193398
Kathera Sub-Location	id=g:193399
Kathera	id=g:193400
Katheo Thiru	id=g:193401
Kathenaugi	id=g:193402
Kathemboni	id=g:193403
Kathemani	id=g:193404
Katheka Sub-Location	id=g:193405
Katheka Settlement	id=g:193406
Kathekani	id=g:193407
Kathekani	id=g:193408
Kathekani	id=g:193409
Katheka Dam	id=g:193410
Katheka	id=g:193411
Katheka	id=g:193412
Katheka	id=g:193413
Katheka	id=g:193414
Katheka	id=g:193415
Katheka	id=g:193416
Kathatu	id=g:193417
Kathari	id=g:193418
Kathare Sub-Location	id=g:193419
Katharaka	id=g:193420
Kathanguni	id=g:193421
Kathangi Estate	id=g:193422
Kathangei	id=g:193423
Kathangari Sub-Location	id=g:193424
Kathangariri	id=g:193425
Kathangari	id=g:193426
Kathangachini Sub-Location	id=g:193427
Kathanga	id=g:193428
Kathandi	id=g:193429
Kathanawa	id=g:193430
Kathama	id=g:193431
Kathalani	id=g:193432
Kathakwa	id=g:193433
Kathaiya	id=g:193434
Kathairu	id=g:193435
Kathai	id=g:193436
Kathagu	id=g:193437
Kathaana Bridge	id=g:193438
Kathaana	id=g:193439
Kathaana	id=g:193440
Kateruk	id=g:193441
Katerongoi	id=g:193442
Katerongoi	id=g:193443
Katerition	id=g:193444
Katene Sub-Location	id=g:193445
Katene Dam	id=g:193446
Katene	id=g:193447
Katene	id=g:193448
Katene	id=g:193449
Katende Hills	id=g:193450
Katende Forest Nursery	id=g:193451
Katende Forest	id=g:193452
Katelepai	id=g:193453
Katelene	id=g:193454
Katelembu Settlement	id=g:193455
Katelembu	id=g:193456
Katelelua	id=g:193457
Kataruk	id=g:193458
Kataret Dam	id=g:193459
Kataret	id=g:193460
Kataradwe	id=g:193461
Katani Sisal Estate	id=g:193462
Katangi Sub-Location	id=g:193463
Katangini Sub-Location	id=g:193464
Katangini	id=g:193465
Katangini	id=g:193466
Katangini	id=g:193467
Katangini	id=g:193468
Katangini	id=g:193469
Katangi Dam	id=g:193470
Katangi	id=g:193471
Katangi	id=g:193472
Katangi	id=g:193473
Katangi	id=g:193474
Katangau	id=g:193475
Katanga Sub-Location	id=g:193476
Katanga School	id=g:193477
Katanga Dam	id=g:193478
Katanga	id=g:193479
Katandewa	id=g:193480
Katambulu	id=g:193481
Katambauku	id=g:193482
Katama	id=g:193483
Kataluni	id=g:193484
Katalir	id=g:193485
Katalele	id=g:193486
Katakwa	id=g:193487
Katakon	id=g:193488
Katakolo	id=g:193489
Katakano	id=g:193490
Kataka	id=g:193491
Kataier	id=g:193492
Katabur	id=g:193493
Kataboi	id=g:193494
Kataa Point	id=g:193495
Kataa Dam	id=g:193496
Kata	id=g:193497
Kasyongo	id=g:193498
Kasyondila	id=g:193499
Kasyelia	id=g:193500
Kasyathyu	id=g:193501
Kasyala	id=g:193502
Kasyala	id=g:193503
Kaswanga Sub-Location	id=g:193504
Kaswanga Point	id=g:193505
Kaswanga	id=g:193506
Kasuvi	id=g:193507
Kasuria	id=g:193508
Kasura	id=g:193509
Kasupi	id=g:193510
Kasunguni Sub-Location	id=g:193511
Kasunguni	id=g:193512
Kasunguni	id=g:193513
Kasunguni	id=g:193514
Kasunguluni	id=g:193515
Kasumi	id=g:193516
Kasule Sub-Location	id=g:193517
Kasueni	id=g:193518
Kasowai	id=g:193519
Kasolongo	id=g:193520
Kasokani	id=g:193521
Kasoiyo	id=g:193522
Kasoa	id=g:193523
Kaski	id=g:193524
Kasiwonyu	id=g:193525
Kasithit Hills	id=g:193526
Kasisit	id=g:193527
Kasisiku	id=g:193528
Kasirime Sub-Location	id=g:193529
Kasiri	id=g:193530
Kasipul Location	id=g:193531
Awach Kasipul	id=g:193532
Kasioni	id=g:193533
Kasiokoni	id=g:193534
Kasingila Dam	id=g:193535
Kasinge	id=g:193536
Kasinga Sub-Location	id=g:193537
Kasinga	id=g:193538
Kasindano	id=g:193539
Kasin	id=g:193540
Kasima	id=g:193541
Kasiluni Ka Mahoundu	id=g:193542
Kasilia	id=g:193543
Kasilia	id=g:193544
Kasilet	id=g:193545
Kasikeu Sub-Location	id=g:193546
Kasikeu	id=g:193547
Kasikeu	id=g:193548
Kasii	id=g:193549
Kasigau Location	id=g:193550
Kasigau Forest	id=g:193551
Kasigau	id=g:193552
Kasigau	id=g:193553
Kasidi	id=g:193554
Kasidi	id=g:193555
Kasiandila	id=g:193556
Kasi	id=g:193557
Kasi	id=g:193558
Kashapure	id=g:193559
Kashani	id=g:193560
Kashang’a	id=g:193561
Lach Sara	id=g:193562
Kasha	id=g:193563
Kasha	id=g:193564
Kasha	id=g:193565
Kasevi Dam	id=g:193566
Kasevi	id=g:193567
Kases	id=g:193568
Kaserion	id=g:193569
Kasengo	id=g:193570
Kasemeni Sub-Location	id=g:193571
Kasekero	id=g:193572
Kaseitet	id=g:193573
Kasei	id=g:193574
Kasei	id=g:193575
Kasebi	id=g:193576
Kasebe	id=g:193577
Kasebe	id=g:193578
Kasayani	id=g:193579
Kasauria Escarpment	id=g:193580
Kasat	id=g:193581
Kasasi	id=g:193582
Kasasi	id=g:193583
Kasarua	id=g:193584
Kasarini Estate	id=g:193585
Kasaringa	id=g:193586
Kasar	id=g:193587
Kasambwia	id=g:193588
Kasa Mbuya Dam	id=g:193589
Kasalungi	id=g:193590
Kasalamati	id=g:193591
Kasala	id=g:193592
Kasala	id=g:193593
Kasala	id=g:193594
Kasaini	id=g:193595
Kasaguru	id=g:193596
Kasaguru	id=g:193597
Kasagam	id=g:193598
Kasafari	id=g:193599
Kasa Dedu	id=g:193600
Kasabe	id=g:193601
Kasa	id=g:193602
Karweti	id=g:193603
Karwe	id=g:193604
Karuwun	id=g:193605
Karutuwe	id=g:193606
Karuthi Sub-Location	id=g:193607
Karuthi	id=g:193608
Karute	id=g:193609
Malka Karus	id=g:193610
Karuru Two	id=g:193611
Karuru One	id=g:193612
Karurumo Sub-Location	id=g:193613
Karurumo	id=g:193614
Karurumo	id=g:193615
Karuruma	id=g:193616
Karuruma	id=g:193617
Karuruma	id=g:193618
Karuru	id=g:193619
Karuru	id=g:193620
Karuru	id=g:193621
Karuri Sub-Location	id=g:193622
Karuri Dika	id=g:193623
Karuri	id=g:193624
Karuri	id=g:193625
Karuri	id=g:193626
Karuri	id=g:193627
Karuri	id=g:193628
Karuri	id=g:193629
Karura Sub-Location	id=g:193630
Karura Kanyungu	id=g:193631
Karura Forest Station	id=g:193632
Karura Forest	id=g:193633
Karura Farm	id=g:193634
Karura Falls	id=g:193635
Karura Dam	id=g:193636
Karura	id=g:193637
Karura	id=g:193638
Karura	id=g:193639
Karura	id=g:193640
Karura	id=g:193641
Karura	id=g:193642
Karura	id=g:193643
Karura	id=g:193644
Karura	id=g:193645
Karura	id=g:193646
Karunkyukuri	id=g:193647
Karunja	id=g:193648
Karungu Island	id=g:193649
Karungu Bay	id=g:193650
Karungu	id=g:193651
Karungu	id=g:193652
Karungu	id=g:193653
Karunge Sub-Location	id=g:193654
Karunge	id=g:193655
Karunga	id=g:193656
Karunga	id=g:193657
Karunga	id=g:193658
Karundu	id=g:193659
Karuna	id=g:193660
Karuna	id=g:193661
Karumu	id=g:193662
Karumu	id=g:193663
Karumba	id=g:193664
Karumba	id=g:193665
Karumandi	id=g:193666
Karumandhi	id=g:193667
Karuiro	id=g:193668
Karuiro	id=g:193669
Karugutu	id=g:193670
Karugo	id=g:193671
Karugia	id=g:193672
Karug	id=g:193673
Karueti	id=g:193674
Karuero	id=g:193675
Karubangorok	id=g:193676
Karuari	id=g:193677
Karuari	id=g:193678
Karuamgi	id=g:193679
Karua	id=g:193680
Karua	id=g:193681
Karsha	id=g:193682
Karsa Saadigo	id=g:193683
Karsa Kile	id=g:193684
Karsa Gudas	id=g:193685
Karsadera	id=g:193686
Karsa	id=g:193687
Karrsa	id=g:193688
Karole	id=g:193689
Karole	id=g:193690
Karoitangole	id=g:193691
Karogoto	id=g:193692
Karogoto	id=g:193693
Karogoto	id=g:193694
Karoga	id=g:193695
Karoe	id=g:193696
Karo	id=g:193697
Karmada	id=g:193698
Karkor	id=g:193699
Karkal	id=g:193700
Murua Kariwan	id=g:193701
Moru Kariwan	id=g:193702
Moru Kariwan	id=g:193703
Moru Kariwan	id=g:193704
Kariumbaini	id=g:193705
Kariua Sub-Location	id=g:193706
Kariua	id=g:193707
Karithathi	id=g:193708
Karisia Hills	id=g:193709
Karisia	id=g:193710
Karis	id=g:193711
Kariru Sub-Location	id=g:193712
Kariru	id=g:193713
Karirau	id=g:193714
Karipun	id=g:193715
Kariobangi South	id=g:193716
Kariobangi	id=g:193717
Karini	id=g:193718
Karinget	id=g:193719
Karingare	id=g:193720
Karingani Location	id=g:193721
Karingaini	id=g:193722
Karinga	id=g:193723
Karinga	id=g:193724
Karinga	id=g:193725
Karinga	id=g:193726
Karindo	id=g:193727
Karindi Sub-Location	id=g:193728
Karindi	id=g:193729
Karimu	id=g:193730
Kariminu	id=g:193731
Karimboni	id=g:193732
Karimba Sub-Location	id=g:193733
Karimba	id=g:193734
Karimba	id=g:193735
Karima Sub-Location	id=g:193736
Karimani	id=g:193737
Karimani	id=g:193738
Karimani	id=g:193739
Karimani	id=g:193740
Karimamwaro	id=g:193741
Karimadu	id=g:193742
Karima	id=g:193743
Karima	id=g:193744
Karima	id=g:193745
Karima	id=g:193746
Kariku	id=g:193747
Kariku	id=g:193748
Kariko Sub-Location	id=g:193749
Kariko	id=g:193750
Kariko	id=g:193751
Karikau	id=g:193752
Kari Karuru Sub-Location	id=g:193753
Kariguini	id=g:193754
Karigoni	id=g:193755
Karigiri	id=g:193756
Karigi	id=g:193757
Kariene Sub-Location	id=g:193758
Karie Camp	id=g:193759
Karie	id=g:193760
Karie	id=g:193761
Karie	id=g:193762
Karichora	id=g:193763
Karichiungu	id=g:193764
Karibirimaji	id=g:193765
Karibani	id=g:193766
Karia Sub-Location	id=g:193767
Kariara Sub-Location	id=g:193768
Kariara	id=g:193769
Kariara	id=g:193770
Kariara	id=g:193771
Kariani	id=g:193772
Kariani	id=g:193773
Kariandus Prehistoric Site	id=g:193774
Kariandus Diatomite Mine	id=g:193775
Kariandus	id=g:193776
Kariandus	id=g:193777
Kariandus	id=g:193778
Kariandea	id=g:193779
Kariamekeris	id=g:193780
Kariakomo	id=g:193781
Kariaka Dam	id=g:193782
Kariaini	id=g:193783
Karia	id=g:193784
Karia	id=g:193785
Karia	id=g:193786
Karia	id=g:193787
Karia	id=g:193788
Karia	id=g:193789
Karia	id=g:193790
Kargi	id=g:193791
Kareti	id=g:193792
Kareruenu	id=g:193793
Karero	id=g:193794
Karero	id=g:193795
Karerema	id=g:193796
Karengelabu	id=g:193797
Karenge	id=g:193798
Karen Country Club	id=g:193799
Karen	id=g:193800
Karen	id=g:193801
Karen	id=g:193802
Karemeri	id=g:193803
Karembu	id=g:193804
Karel	id=g:193805
Kare-Kapakalem	id=g:193806
Karei	id=g:193807
Karege	id=g:193808
Kareburr	id=g:193809
Kareburr	id=g:193810
Karea	id=g:193811
Karaya	id=g:193812
Karaweni	id=g:193813
Karawa	id=g:193814
Karawa	id=g:193815
Karau	id=g:193816
Karau	id=g:193817
Karatu Sub-Location	id=g:193818
Karatu	id=g:193819
Karati Settlement	id=g:193820
Karatina	id=g:193821
Karatina	id=g:193822
Karatina	id=g:193823
Karatina	id=g:193824
Karatina	id=g:193825
Karatina	id=g:193826
Karatina	id=g:193827
Karati	id=g:193828
Karati	id=g:193829
Karathing	id=g:193830
Karateng Sub-Location	id=g:193831
Karasuk Hills	id=g:193832
Karasuk	id=g:193833
Karasi	id=g:193834
Karasha	id=g:193835
Karasasi	id=g:193836
Karari Guda	id=g:193837
Karari	id=g:193838
Karari	id=g:193839
Karare	id=g:193840
Karare	id=g:193841
Karare	id=g:193842
Karara Dam	id=g:193843
Kararacha	id=g:193844
Karara	id=g:193845
Karapul Umala Sub-Location	id=g:193846
Karapul Ulafu Sub-Location	id=g:193847
Karapul Ramba Sub-Location	id=g:193848
Karapani	id=g:193849
Karantin	id=g:193850
Karani	id=g:193851
Karangia Sub-Location	id=g:193852
Karangi	id=g:193853
Karangi	id=g:193854
Karangare	id=g:193855
Karangaita	id=g:193856
Karandini Market	id=g:193857
Karamuroi	id=g:193858
Karamoja Farm	id=g:193859
Karameno Road	id=g:193860
Karameno	id=g:193861
Karameno	id=g:193862
Karambaka	id=g:193863
Karamat	id=g:193864
Karama Sub-Location	id=g:193865
Karamangiao	id=g:193866
Karamakinei	id=g:193867
Karamai	id=g:193868
Karama Antuamuo	id=g:193869
Karama	id=g:193870
Karakuta	id=g:193871
Karai Sub-Location	id=g:193872
Karai Settlement	id=g:193873
Karaini	id=g:193874
Karaine	id=g:193875
Karai Location	id=g:193876
Karaihu Sub-Location	id=g:193877
Karai	id=g:193878
Karai	id=g:193879
Karagoini Settlement	id=g:193880
Karagoini	id=g:193881
Kara Duse	id=g:193882
Karadolo Sub-Location	id=g:193883
Karadolo	id=g:193884
Karadolo	id=g:193885
Karading Sub-Location	id=g:193886
Karachwonyo Location	id=g:193887
Karabondi Sub-Location	id=g:193888
Karabondi	id=g:193889
Karabok	id=g:193890
Karabioi	id=g:193891
Karaba Sub-Location	id=g:193892
Karaba Special Camp	id=g:193893
Karabamba Hills	id=g:193894
Karaba	id=g:193895
Karaba	id=g:193896
Karaba	id=g:193897
Karaba	id=g:193898
Karaba	id=g:193899
Kara Arba	id=g:193900
Kara Agarsu	id=g:193901
Kara	id=g:193902
Kaputir	id=g:193903
Kaputir	id=g:193904
Kapur	id=g:193905
Kapuonja Sub-Location	id=g:193906
Kapunia	id=g:193907
Kapunga	id=g:193908
Kapundore	id=g:193909
Kapulon	id=g:193910
Kapulia	id=g:193911
Kapulia	id=g:193912
Kapulia	id=g:193913
Kapturwo	id=g:193914
Kapturo Sub-Location	id=g:193915
Kapture	id=g:193916
Kaptunai	id=g:193917
Kaptunai	id=g:193918
Kaptum Sub-Location	id=g:193919
Kaptumo Location	id=g:193920
Kaptumo	id=g:193921
Kaptumek Sub-Location	id=g:193922
Kaptumek	id=g:193923
Kaptum	id=g:193924
Kaptoror Sub-Location	id=g:193925
Kaptongoch	id=g:193926
Kaptolomwa	id=g:193927
Kaptolomwa	id=g:193928
Kaptolil	id=g:193929
Kaptogee	id=g:193930
Kaptiurin	id=g:193931
Kaptiony	id=g:193932
Kaption	id=g:193933
Kaptimom Forest	id=g:193934
Kaptimom	id=g:193935
Kaptim	id=g:193936
Kaptilonwo Sub-Location	id=g:193937
Kaptildil Sub-Location	id=g:193938
Kaptildil	id=g:193939
Kaptiki	id=g:193940
Kaptibengwa	id=g:193941
En Kapthuria	id=g:193942
Kapthuni	id=g:193943
Kaptesang	id=g:193944
Kapteriti	id=g:193945
Kapterik	id=g:193946
Kaptere Sub-Location	id=g:193947
Kapteren Sub-Location	id=g:193948
Kapteren	id=g:193949
Kaptenden	id=g:193950
Kaptel Sub-Location	id=g:193951
Kaptelel	id=g:193952
Kaptel	id=g:193953
Kaptega Estate	id=g:193954
Kaptega	id=g:193955
Kaptede	id=g:193956
Kaptebeswet	id=g:193957
Kaptebengwet	id=g:193958
