Bản A Ma	id=g:1591223
Bắc Phong Sinh	id=g:1591443
Bắc Phong	id=g:1591444
Tonkin	id=g:1591445
Khê Ba Con	id=g:1591446
Ba Côc	id=g:1591447
Rạch Bà Cố	id=g:1591448
Bắc Ninh	id=g:1591449
Bằc Nhung	id=g:1591450
Sông Băc Ngúng	id=g:1591451
Bàc Ngông	id=g:1591452
Bắc Ngọc Linh (3)	id=g:1591453
Bắc Ngà	id=g:1591454
Bac Nàng	id=g:1591455
Bắc Nam	id=g:1591456
Bàc Nạc	id=g:1591457
Bac Muoi	id=g:1591458
Bac Mu	id=g:1591459
Bac Mio	id=g:1591460
Bằc Minh	id=g:1591461
Bác Miêu	id=g:1591462
Bắc Mi	id=g:1591463
Bắc Mé	id=g:1591464
Bác Mã	id=g:1591465
Bắc Lý	id=g:1591466
Bắc Lũng	id=g:1591467
Bắc Lũng	id=g:1591468
Bác Lục	id=g:1591469
Bac Lu	id=g:1591470
Kinh Bạc Liêu đi Vĩnh Châu	id=g:1591471
Kinh từ Bạc Liêu đến Bãi Xầu	id=g:1591472
Rạch Bạc Liêu	id=g:1591473
Bạc Liêu	id=g:1591474
Bạc Liêm	id=g:1591475
Bắc Lê	id=g:1591476
Bac Lao	id=g:1591477
Bạc Lang	id=g:1591478
Bác Lang	id=g:1591479
Bác La	id=g:1591480
Song Bac Khe	id=g:1591481
Bac Keno	id=g:1591482
Kinh Bà Chủ	id=g:1591483
Bạch Thở	id=g:1591484
Bạch Sơn	id=g:1591485
Bạch Sam	id=g:1591486
Bạch Sa	id=g:1591487
Suối Bà Chổn	id=g:1591488
Bắc Hội	id=g:1591489
Bắc Hóa	id=g:1591490
Rạch Bạch Ngưu	id=g:1591491
Kinh Bạch Ngưu	id=g:1591492
Bạch Mai	id=g:1591493
Bạch Mai	id=g:1591494
Ðộng Bạch Mã	id=g:1591495
Bạch Mã	id=g:1591496
Bạch Lưu	id=g:1591497
Ðảo Bạch Long Vĩ	id=g:1591498
Bạch Long	id=g:1591499
Bách Lộc	id=g:1591500
Bách Kim	id=g:1591501
Bà Chin (2)	id=g:1591502
Kinh Bà Chiêu	id=g:1591503
Suối Bà Chiêm	id=g:1591504
Bạch Hạc	id=g:1591505
Bạch Hà	id=g:1591506
Bạch Hà	id=g:1591507
Bac Hen	id=g:1591508
Sông Ba Chẽ	id=g:1591509
Bạch Dương	id=g:1591510
Bạch Ðoài	id=g:1591511
Sông Bạch Ðắng	id=g:1591512
Cửa Bạch Ðằng	id=g:1591513
Bạch Ða	id=g:1591514
Bạch Cừ	id=g:1591515
Bách Cốc	id=g:1591516
Bạch Câu	id=g:1591517
Bạch Bào	id=g:1591518
Ba Chất (2)	id=g:1591519
Bà Chân (1)	id=g:1591520
Rạch Bà Chăng	id=g:1591521
Bắc Hà	id=g:1591522
Bắc Hà	id=g:1591523
Bac Gioc	id=g:1591524
Bắc Giap	id=g:1591525
Bắc Giang	id=g:1591526
Bắc Giang	id=g:1591527
Băc Dung Dộng	id=g:1591528
Rạch Bắc Ðông	id=g:1591529
Kinh Bắc Ðông	id=g:1591530
Bac Ðich	id=g:1591531
Bắc Cường	id=g:1591532
Bắc Cong	id=g:1591533
Rạch Bắc Chan	id=g:1591534
Sông Bác Cầu	id=g:1591535
Bắc Cát	id=g:1591536
Sông Bac Cap	id=g:1591537
Bắc Kạn	id=g:1591538
Bac Cai	id=g:1591539
Bác Buong	id=g:1591540
Bắc Bình	id=g:1591541
Bắc Bin	id=g:1591542
Bắc Bằng	id=g:1591543
Hòn Bac Ban	id=g:1591544
Bàc Ban	id=g:1591545
Bác Ban	id=g:1591546
Bac Ba	id=g:1591547
Bà Cát	id=g:1591548
Ba Cap	id=g:1591549
Rạch Bà Cao	id=g:1591550
Rạch Bà Cang	id=g:1591551
Kinh Ba Càng	id=g:1591552
Ba Càng	id=g:1591553
Sông Bac	id=g:1591554
Sông Bạc	id=g:1591555
Hòn Bàc	id=g:1591556
Ðộng Bạc	id=g:1591557
Cơ Bác	id=g:1591558
Babueur Aroune	id=g:1591559
Col Babonneau	id=g:1591560
Ba Bio	id=g:1591561
Ba Bình	id=g:1591562
Babin	id=g:1591563
Ba Biên	id=g:1591564
Bả Biến	id=g:1591565
Hồ Ba Be18	id=g:1591566
Ba Be18	id=g:1591567
Ba Bếp	id=g:1591568
Kinh Bà Bèo	id=g:1591569
Kinh Bầ Bèo	id=g:1591570
Núi Ba Bên	id=g:1591571
Ba Bay	id=g:1591572
Ba Bao	id=g:1591573
Suối Ba	id=g:1591574
Sông Ba	id=g:1591575
Phu Ba	id=g:1591576
Núi Ba	id=g:1591577
Núi Bà	id=g:1591578
Núi Bà	id=g:1591579
Núi Bà	id=g:1591580
Núi Ba	id=g:1591581
Ngòi Ba	id=g:1591582
Mũi Ba	id=g:1591583
Khê Ba	id=g:1591584
Hòn Bà	id=g:1591585
Hòn Bà	id=g:1591586
Hòn Bà	id=g:1591587
Hòn Ba	id=g:1591588
Hòn Bà	id=g:1591589
Hòn Bà	id=g:1591590
Hòn Bà	id=g:1591591
Hòn Bà	id=g:1591592
Ðồi Bà	id=g:1591593
Ðiện Bà	id=g:1591594
Dak Ba	id=g:1591595
Cù Lao Bà	id=g:1591596
Chư Ba	id=g:1591597
Chư Ba	id=g:1591598
Chư Ba	id=g:1591599
A Yuân	id=g:1591600
A Yong	id=g:1591601
A Yin	id=g:1591602
Ay Hơ Lay	id=g:1591603
A Xiêm	id=g:1591604
Tam A Vương	id=g:1591605
Âu Ca	id=g:1591606
Suối Au	id=g:1591607
A Tul	id=g:1591608
Át Sơn	id=g:1591609
Tioh A Toah	id=g:1591610
Kron A Toah	id=g:1591611
Atiun Young	id=g:1591612
Atiun	id=g:1591613
A Tin Young	id=g:1591614
A Tin Trên	id=g:1591615
Núi Atine	id=g:1591616
A Tin	id=g:1591617
A Tep	id=g:1591618
A Teo	id=g:1591619
Atchourro	id=g:1591620
Bol Atchai	id=g:1591621
Ðộng A Tạy	id=g:1591622
Tiều Atar	id=g:1591623
Passe de l’ Aspic	id=g:1591624
A Sơ Young	id=g:1591625
A Sơ Ră Katoi	id=g:1591626
A Sơ Ra Kadao	id=g:1591627
A Sơ Ră Amo	id=g:1591628
Bol Aso	id=g:1591629
A So	id=g:1591630
A Sầu	id=g:1591631
A Sầu	id=g:1591632
A Sáp	id=g:1591633
A San (1)	id=g:1591634
A San Young	id=g:1591635
Ðộng A Rur	id=g:1591636
Tam Artel	id=g:1591637
Arpou	id=g:1591638
A Rouye	id=g:1591639
Kăkan Aron	id=g:1591640
Khê Aroh	id=g:1591641
Aroh	id=g:1591642
A Ro	id=g:1591643
A Riêng	id=g:1591644
Pointe de l’ Aréquier	id=g:1591645
Île des Arènes	id=g:1591646
A Re	id=g:1591647
Archinard Îlot	id=g:1591648
Rocher Arbre	id=g:1591649
Ara	id=g:1591650
Ấp Yên Thượng	id=g:1591651
Ấp Yên Hạ	id=g:1591652
Ấp Yan Kar Dom	id=g:1591653
Ấp Yan Kar Ðăng	id=g:1591654
Ấp Xương Thới	id=g:1591655
Ấp Xương Thạnh (1)	id=g:1591656
Ấp Xương Hòa	id=g:1591657
Ấp Xuân Tùy	id=g:1591658
Ấp Xuân Thiều	id=g:1591659
Ấp Xuân Thành	id=g:1591660
Ấp Xuân Sơn	id=g:1591661
Ấp Xuân Sơn	id=g:1591662
Ấp Xuân Sanh	id=g:1591663
Ấp Xuân Sắc	id=g:1591664
Ấp Xuân Phú	id=g:1591665
Ấp Xuân Khánh (4)	id=g:1591666
Ấp Xuân Khánh (2)	id=g:1591667
Ấp Xuân Khai	id=g:1591668
Ấp Xuan Hoa	id=g:1591669
Ấp Xuân Hòa	id=g:1591670
Ấp Xuân Hòa	id=g:1591671
Ấp Xuân Hòa	id=g:1591672
Ấp Xuân Dương	id=g:1591673
Ấp Xuân An	id=g:1591674
Ấp Xóm Mới (2)	id=g:1591675
Ấp Xóm Mới (1)	id=g:1591676
Ấp Xóm Mới	id=g:1591677
Ấp Xóm Hanh	id=g:1591678
Ấp Xóm Giữa	id=g:1591679
Ấp Xóm Ðạo	id=g:1591680
Ấp Xóm Châu	id=g:1591681
Ấp Xóm Bưng	id=g:1591682
Ấp Xoài Xiêm	id=g:1591683
Ấp Xiêm La	id=g:1591684
Ấp Xẻo Múi	id=g:1591685
Ấp Xẻo Lá	id=g:1591686
Ấp Xã Tỷ	id=g:1591687
Ấp Xa Trạch (1)	id=g:1591688
Ấp Xà Mách	id=g:1591689
Ấp Xã Ðon	id=g:1591690
Ấp Xa Bang	id=g:1591691
Ấp Xá	id=g:1591692
Ấp Vú Nàng	id=g:1591693
Ấp Vong Ðông	id=g:1591694
Ấp Vóm Xáng	id=g:1591695
Ấp Vị Qứi (2)	id=g:1591696
Ấp Vị Qứi (1)	id=g:1591697
Ấp Vĩnh Xương	id=g:1591698
Ấp Vĩnh Tường Hai	id=g:1591699
Ấp Vĩnh Tường	id=g:1591700
Ấp Vĩnh Trinh	id=g:1591701
Ấp Vĩnh Thuận	id=g:1591702
Ấp Vĩnh Thuận	id=g:1591703
Ấp Vĩnh Thới	id=g:1591704
Ấp Vinh Thới	id=g:1591705
Ấp Vĩnh Thành (3)	id=g:1591706
Ấp Vĩnh Thạnh (2)	id=g:1591707
Ấp Vĩnh Thạnh (1)	id=g:1591708
Ấp Vĩnh Thanh (1)	id=g:1591709
Ấp Vĩnh Thành (1)	id=g:1591710
Ấp Vĩnh Thanh	id=g:1591711
Ấp Vĩnh Thạnh	id=g:1591712
Ấp Vĩnh Thành	id=g:1591713
Ấp Vĩnh Thanh	id=g:1591714
Ấp Vĩnh Thanh	id=g:1591715
Ấp Vĩnh Thạnh	id=g:1591716
Ấp Vĩnh Tây (2)	id=g:1591717
Ấp Vĩnh Tây (1)	id=g:1591718
Ấp Vĩnh Tây	id=g:1591719
Ấp Vịnh Sao	id=g:1591720
Ấp Vĩnh Qứi	id=g:1591721
Ấp Vĩnh Phước Hai	id=g:1591722
Ấp Vĩnh Phước Ba	id=g:1591723
Ấp Vĩnh Phước	id=g:1591724
Ấp Vĩnh Phước	id=g:1591725
Ấp Vĩnh Phú	id=g:1591726
Ấp Vĩnh Phú	id=g:1591727
Ấp Vĩnh Phú	id=g:1591728
Ấp Vĩnh Phong	id=g:1591729
Ấp Vĩnh Ninh	id=g:1591730
Ấp Vĩnh Nẩy	id=g:1591731
Ấp Vĩnh Mỹ (2)	id=g:1591732
Ấp Vĩnh Mỹ (1)	id=g:1591733
Ấp Vĩnh Mỹ Một	id=g:1591734
Ấp Vĩnh Mỹ Hai	id=g:1591735
Ấp Vĩnh Lợi (2)	id=g:1591736
Ấp Vĩnh Lợi (2)	id=g:1591737
Ấp Vĩnh Lợi (1)	id=g:1591738
Ấp Vĩnh Lợi (1)	id=g:1591739
Ấp Vĩnh Lợi	id=g:1591740
Ấp Vĩnh Lợi	id=g:1591741
Ấp Vĩnh Lợi	id=g:1591742
Ấp Vĩnh Lợi	id=g:1591743
Ấp Vĩnh Long	id=g:1591744
Ấp Vĩnh Long	id=g:1591745
Ấp Vĩnh Lộc	id=g:1591746
Ấp Vĩnh Lộc	id=g:1591747
Ấp Vĩnh Lạc	id=g:1591748
Ấp Vĩnh Lạc	id=g:1591749
Ấp Vĩnh Khánh (1)	id=g:1591750
Ấp Vĩnh Hưng (2)	id=g:1591751
Ấp Vĩnh Hưng (1)	id=g:1591752
Ấp Vĩnh Hưng	id=g:1591753
Ấp Vình Huệ Mội	id=g:1591754
Ấp Vĩnh Huệ Ba	id=g:1591755
Ấp Vĩnh Hội (2)	id=g:1591756
Ấp Vĩnh Hội	id=g:1591757
Ấp Vinh Hội	id=g:1591758
Ấp Vĩnh Hòa (1)	id=g:1591759
Ấp Vĩnh Hòa	id=g:1591760
Ấp Vĩnh Hinh	id=g:1591761
Ấp Vĩnh Hiệp	id=g:1591762
Ấp Vĩnh Hảo A	id=g:1591763
Ấp Vĩnh Hảo	id=g:1591764
Ấp Vĩnh Hanh Chàm	id=g:1591765
Ấp Vình Gốc	id=g:1591766
Ấp Vĩnh Ðông (2)	id=g:1591767
Ấp Vĩnh Ðông	id=g:1591768
Ấp Vĩnh Ðông	id=g:1591769
Ấp Vĩnh Ðịnh	id=g:1591770
Ấp Vĩnh Ðiền	id=g:1591771
Ấp Vĩnh Cữu	id=g:1591772
Ấp Vĩnh Bình (2)	id=g:1591773
Ấp Vĩnh Bình	id=g:1591774
Ấp Vĩnh Bình	id=g:1591775
Ấp Vĩnh Bình	id=g:1591776
Ấp Vĩnh Bình (3)	id=g:1591777
Ấp Vĩnh Bình	id=g:1591778
Ấp Vĩnh An (2)	id=g:1591779
Ấp Vĩnh An (1)	id=g:1591780
Ấp Vĩnh An Số	id=g:1591781
Ấp Vĩnh An	id=g:1591782
Ấp Vĩnh An	id=g:1591783
Ấp Vĩnh An	id=g:1591784
Ấp Vĩnh An	id=g:1591785
Ấp Vinh An	id=g:1591786
Ấp Vinh An	id=g:1591787
Ấp Vĩnh An	id=g:1591788
Ấp Vĩnh An	id=g:1591789
Ấp Vị Ðông	id=g:1591790
Ấp Vị Bình	id=g:1591791
Ấp Vạn Xuân	id=g:1591792
Ấp Vạn Tự Tây	id=g:1591793
Ấp Vạn Trình	id=g:1591794
Ấp Văn Nhứt	id=g:1591795
Ấp Vạn Khê	id=g:1591796
Ấp Ván Hương	id=g:1591797
Ấp Văn Hiến	id=g:1591798
Ấp Văn Giáo	id=g:1591799
Ấp Vân Dương (1)	id=g:1591800
Ấp Ut Thượng	id=g:1591801
Ấp Uát Mâu	id=g:1591802
Ấp Tuy Tịnh Chàm	id=g:1591803
Ấp Túy Sơn	id=g:1591804
Ấp Tùy Lộc	id=g:1591805
Ấp Tuyên Thạnh	id=g:1591806
Ấp Tuyến Bình	id=g:1591807
Ấp Tư (4)	id=g:1591808
Ấp Tứ (1)	id=g:1591809
Ấp Tư (1)	id=g:1591810
Ấp Tư (1)	id=g:1591811
Ấp Tư Tây	id=g:1591812
Ấp Tường Tính	id=g:1591813
Ấp Tường Thọ	id=g:1591814
Ấp Tường Thạnh	id=g:1591815
Ấp Tường Nhơn (1)	id=g:1591816
Ấp Từ Linh	id=g:1591817
Ấp Tư	id=g:1591818
Ấp Tư	id=g:1591819
Ấp Tuk Chât	id=g:1591820
Ấp Trường Thuận (4)	id=g:1591821
Ấp Trường Thuận (3)	id=g:1591822
Ấp Trường Thuận (2)	id=g:1591823
Ấp Trương Thuận (1)	id=g:1591824
Ấp Trường Thọ (3)	id=g:1591825
Ấp Trường Thọ (2)	id=g:1591826
Ấp Trường Thọ	id=g:1591827
Ấp Trường Thạnh (2)	id=g:1591828
Ấp Trường Thạnh	id=g:1591829
Ấp Trường Tây (3)	id=g:1591830
Ấp Trường Sơn	id=g:1591831
Ấp Trường Phú (2)	id=g:1591832
Ấp Trường Phú (1)	id=g:1591833
Ấp Trường Phước	id=g:1591834
Ấp Trường Ninh (2)	id=g:1591835
Ấp Trường Huê	id=g:1591836
Ấp Trường Hòa (1)	id=g:1591837
Ấp Trường Hiệp (2)	id=g:1591838
Ấp Trương Ðông	id=g:1591839
Ấp Trương Bang	id=g:1591840
Ấp Trung (3)	id=g:1591841
Ấp Trung (3)	id=g:1591842
Ấp Trung (2)	id=g:1591843
Ấp Trung (2)	id=g:1591844
Ấp Trung (2)	id=g:1591845
Ấp Trung (1)	id=g:1591846
Ấp Trung Thạnh	id=g:1591847
Ấp Trung Thạnh	id=g:1591848
Ấp Trung Sơn	id=g:1591849
Ấp Trung Phú (1)	id=g:1591850
Ấp Trung Phát (1)	id=g:1591851
Ấp Trung Nhì (1)	id=g:1591852
Ấp Trung Nhì	id=g:1591853
Ấp Trung Lợi	id=g:1591854
Ấp Trung Kiều (1)	id=g:1591855
Ấp Trung Hưng (2)	id=g:1591856
Ấp Trung Hưng (2)	id=g:1591857
Ấp Trung Hưng (1)	id=g:1591858
Ấp Trung Hưng (1)	id=g:1591859
Ấp Trung Hưng	id=g:1591860
Ấp Trung Hưng	id=g:1591861
Ấp Trung Hòa	id=g:1591862
Ấp Trung Chánh	id=g:1591863
Ấp Trung Bình Nhì	id=g:1591864
Ấp Trung Bình	id=g:1591865
Ấp Trung	id=g:1591866
Ấp Trung	id=g:1591867
Ấp Trung	id=g:1591868
Ấp Trùm Tri	id=g:1591869
Ấp Trùm Thuật	id=g:1591870
Ấp Trũ Mật	id=g:1591871
Ấp Trông Văn	id=g:1591872
Ấp Trinh Tường	id=g:1591873
Ấp Trịnh Phú	id=g:1591874
Ấp Trinh Lợi (2)	id=g:1591875
Ấp Trinh Ba	id=g:1591876
Ấp Triệu Dương	id=g:1591877
Ấp Trèm Trẹm	id=g:1591878
Ấp Tra Võ	id=g:1591879
Ấp Trà Thê	id=g:1591880
Ấp Trà Thê	id=g:1591881
Ấp Tra Thanh	id=g:1591882
Ấp Trà Thăm	id=g:1591883
Ấp Trà Phô	id=g:1591884
Ấp Trà Ông	id=g:1591885
Ấp Trân Tạo	id=g:1591886
Ấp Trần Hưng Ðạo	id=g:1591887
Ấp Tranh	id=g:1591888
Ấp Tráng Lưc	id=g:1591889
Ấp Trảng Lắm (1)	id=g:1591890
Ấp Trảng Dầu	id=g:1591891
Ấp Trảng	id=g:1591892
Ấp Tràng	id=g:1591893
Ấp Trà Một	id=g:1591894
Ấp Trà Môn	id=g:1591895
Ấp Tràm Một	id=g:1591896
Ấp Trầm Lạc	id=g:1591897
Ấp Trạm Hành	id=g:1591898
Ấp Trạm	id=g:1591899
Ấp Trà Khứa	id=g:1591900
Ấp Trà Kha	id=g:1591901
Ấp Trại Ðèn	id=g:1591902
Ấp Trại Bí	id=g:1591903
Ấp Trại	id=g:1591904
Ấp Trà Hắt	id=g:1591905
Ấp Trà Cô	id=g:1591906
Ấp Trà Cô	id=g:1591907
Ấp Trạch Thuận	id=g:1591908
Ấp Trạch Phổ (2)	id=g:1591909
Ấp Trạch Phổ (1)	id=g:1591910
Ấp Trạch Kiên	id=g:1591911
Ấp Trà Chinh	id=g:1591912
Ấp Trà Bang	id=g:1591913
Ấp Trà Ban	id=g:1591914
Ấp Tổng Khâu	id=g:1591915
Ấp Tổng Cang	id=g:1591916
Ấp Tịnh Phú	id=g:1591917
Ấp Ting Wil	id=g:1591918
Ấp Ting Wil	id=g:1591919
Ấp Tiên Lợi	id=g:1591920
Ấp Tiên	id=g:1591921
Ấp Tích Phước	id=g:1591922
Ấp Tịch Phú	id=g:1591923
Ấp Tích Khánh (2)	id=g:1591924
Ấp Thủy Tú (2)	id=g:1591925
Ấp Thủy Trùng	id=g:1591926
Ấp Thủy Thuận (3)	id=g:1591927
Ấp Thủy Thuận (1)	id=g:1591928
Ấp Thủy Lập	id=g:1591929
Ấp Thủ Trước	id=g:1591930
Ấp Thủ Sau	id=g:1591931
Ấp Thường Tu	id=g:1591932
Ấp Thường Quói	id=g:1591933
Ấp Thường Phú	id=g:1591934
Ấp Thường Lạc	id=g:1591935
Ấp Thượng Hòa	id=g:1591936
Ấp Thượng An	id=g:1591937
Ấp Thượng	id=g:1591938
Ấp Thượng	id=g:1591939
Ấp Thừa Phước	id=g:1591940
Ấp Thu Hồ	id=g:1591941
Ấp Thủ Cửu	id=g:1591942
Ấp Thuận Phú (2)	id=g:1591943
Ấp Thuận Phú (1)	id=g:1591944
Ấp Thuận Phước	id=g:1591945
Ấp Thuận Nghĩa	id=g:1591946
Ấp Thuận Lợi	id=g:1591947
Ấp Thuận Hóa	id=g:1591948
Ấp Thuận Hòa	id=g:1591949
Ấp Thuận Hòa	id=g:1591950
Ấp Thuận Hóa	id=g:1591951
Ấp Thuận Ðức	id=g:1591952
Ấp Thuận An	id=g:1591953
Ấp Thuận	id=g:1591954
Ấp Thủ	id=g:1591955
Ấp Thốt Lốt	id=g:1591956
Ấp Thới Xuyên	id=g:1591957
Ấp Thới Trinh (2)	id=g:1591958
Ấp Thới Thuận (4)	id=g:1591959
Ấp Thới Thuận	id=g:1591960
Ấp Thới Thuận	id=g:1591961
Ấp Thới Thiện	id=g:1591962
Ấp Thới Thạnh (2)	id=g:1591963
Ấp Thới Thanh	id=g:1591964
Ấp Thới Thanh	id=g:1591965
Ấp Thới Phước	id=g:1591966
Ấp Thới Phước	id=g:1591967
