Iwey	id=g:2136806
Pointe Honofit	id=g:2136910
Honnfar	id=g:2136911
Hongraï	id=g:2136912
Honeram	id=g:2136913
Homo Bay	id=g:2136914
Holen	id=g:2136915
Hokoua	id=g:2136916
Pointe Hohoua	id=g:2136917
Hog Harbour	id=g:2136918
Hog Harbour	id=g:2136919
Hiu	id=g:2136920
Grotte Hitibrong	id=g:2136921
Pointe Hinavéno	id=g:2136922
Hilliard Channel	id=g:2136923
Hibao	id=g:2136924
Hérat	id=g:2136925
Baie Héounarouk	id=g:2136926
Hémébouer	id=g:2136927
Hélendaa	id=g:2136928
Hébel	id=g:2136929
Hawor	id=g:2136930
Havoumala	id=g:2136931
Port Havannah	id=g:2136932
Haro Point	id=g:2136933
Pointe Harnoram	id=g:2136934
Harimal	id=g:2136935
Passage de Hargonmari	id=g:2136936
Harbelbel	id=g:2136937
Umpon Yélongi	id=g:2136938
Hangar	id=g:2136939
Boutou Hanamangaé	id=g:2136940
Hampèt	id=g:2136941
Hamélinks	id=g:2136942
Source Hamarabika	id=g:2136943
Halpalak	id=g:2136944
Halos	id=g:2136945
Halhal	id=g:2136946
Source Haléba	id=g:2136947
Chenal du Guichen	id=g:2136948
Grempo	id=g:2136949
Green Point	id=g:2136950
Green Hill	id=g:2136951
Taolgira Passage	id=g:2136952
Waï Gowanga	id=g:2136953
Pointe Gousouvorou	id=g:2136954
Gousounransit Point	id=g:2136955
Pointe Gousounonla	id=g:2136956
Pointe Gousounanbouisil	id=g:2136957
Pointe Gousounanboué	id=g:2136958
Goun	id=g:2136959
Goulouf	id=g:2136960
Goul	id=g:2136961
Good Bay	id=g:2136962
Goat Island	id=g:2136963
Gniérenioumen	id=g:2136964
Ngwei Gakw Reef	id=g:2136965
Gilendoungi	id=g:2136966
Gérèn	id=g:2136967
Gérégon	id=g:2136968
Gébénour	id=g:2136969
Gavigamana	id=g:2136970
Baie de Gaspard	id=g:2136971
Gariroumroum	id=g:2136972
Garet	id=g:2136973
Santa Maria	id=g:2136974
Pointe Gagévétawa	id=g:2136975
Vewoag Point	id=g:2136976
Fwimbérougou	id=g:2136977
Fwimatal	id=g:2136978
Fwimambwetoli	id=g:2136979
Futuna	id=g:2136980
Baie François	id=g:2136981
Framnais	id=g:2136982
Fousroumbous	id=g:2136983
Founpat	id=g:2136984
Foulwoul	id=g:2136985
Foulouk	id=g:2136986
Foswaravo	id=g:2136987
Fortsenal	id=g:2136988
Pointe Foroup	id=g:2136989
Foreland Anchorage	id=g:2136990
Cap Foreland	id=g:2136991
Foreland	id=g:2136992
Foréas	id=g:2136993
Forari Bay	id=g:2136994
Forari	id=g:2136995
Fonwor	id=g:2136996
Fonwé	id=g:2136997
Fontengro	id=g:2136998
Fonteng	id=g:2136999
Fonté	id=g:2137000
Fonbéta	id=g:2137001
Fona	id=g:2137002
Flror	id=g:2137003
Fitchar	id=g:2137004
Fisina	id=g:2137005
Pointe Firifirihin	id=g:2137006
Fiourou	id=g:2137007
Finoua	id=g:2137008
Finongi	id=g:2137009
Fingalato	id=g:2137010
Filakara	id=g:2137011
Île Fido	id=g:2137012
Pointe Fetsoso	id=g:2137013
Féléa	id=g:2137014
Fedmogkoum	id=g:2137015
Baie Fedjian	id=g:2137016
Fébor	id=g:2137017
Favendao	id=g:2137018
Fautem	id=g:2137019
Fatouleokakoula	id=g:2137020
Pointe Fatou Bangaou	id=g:2137021
Fatmar	id=g:2137022
Mount Fatmalapa	id=g:2137023
Fatiarrip	id=g:2137024
Fatfosafosa	id=g:2137025
Rocher Fatavaga	id=g:2137026
Fartabo	id=g:2137027
Île Faroun	id=g:2137028
Faroun	id=g:2137029
Faréalapa	id=g:2137030
Fantiékon	id=g:2137031
Fanréréo	id=g:2137032
Fanpatey	id=g:2137033
Fanouatatao	id=g:2137034
Baie Fanmarmat	id=g:2137035
Fanla	id=g:2137036
Fanebal	id=g:2137037
Fandoué	id=g:2137038
Fanavat	id=g:2137039
Fanarara	id=g:2137040
Famban	id=g:2137041
Faloua	id=g:2137042
Faliwar	id=g:2137043
Falimapkon	id=g:2137044
Falibeur	id=g:2137045
Fali	id=g:2137046
Faléa	id=g:2137047
Falatasa	id=g:2137048
Falaou	id=g:2137049
Falan	id=g:2137050
Faétini	id=g:2137051
Pointe Facio	id=g:2137052
Passe du Fabert	id=g:2137053
Éwosé	id=g:2137054
Ewor Creek	id=g:2137055
Evitawo	id=g:2137056
Éuta	id=g:2137057
Etpouléo	id=g:2137058
Nézwon Etounourao	id=g:2137059
Etoumoo	id=g:2137060
Eton	id=g:2137061
Etmat Point	id=g:2137062
Etmambok	id=g:2137063
Récif Ethel	id=g:2137064
Lac Etas	id=g:2137065
Étarik	id=g:2137066
Espiritu Santo	id=g:2137067
Espen	id=g:2137068
Esou	id=g:2137069
Eskanétoz	id=g:2137070
Baie Esema	id=g:2137071
Erueti Lep Island	id=g:2137072
Rivière d’ Erskine	id=g:2137073
Mont Erskine	id=g:2137074
Erromango	id=g:2137075
Erévoulay	id=g:2137076
Eretoka Island	id=g:2137077
Eren	id=g:2137078
Eratap Island	id=g:2137079
Erata	id=g:2137080
Erasfion Point	id=g:2137081
Erapo	id=g:2137082
Erano	id=g:2137083
Lagune d’ Erakor	id=g:2137084
Erakor Island	id=g:2137085
Erakor Bay	id=g:2137086
Epouin	id=g:2137087
Épi	id=g:2137088
Rocher Épévéné	id=g:2137090
Epantgoueï	id=g:2137091
Éou	id=g:2137092
Le Jourdain	id=g:2137093
Enpinane	id=g:2137094
Enouwakeur	id=g:2137095
Emis Point	id=g:2137096
Enlial	id=g:2137097
Enkoul	id=g:2137098
Enkésouwowo	id=g:2137099
Enkaro	id=g:2137100
Eniou	id=g:2137101
Engem	id=g:2137102
Enfitana	id=g:2137103
Endou	id=g:2137104
Étang Enam	id=g:2137105
Baie d’ Enam	id=g:2137106
Emua	id=g:2137107
Empaoura	id=g:2137108
Emiotouan	id=g:2137109
Emiotébin	id=g:2137110
Emioté	id=g:2137111
Emiobour	id=g:2137112
Emèt	id=g:2137113
Emer	id=g:2137114
Embuetan	id=g:2137115
Embok	id=g:2137116
Embariti	id=g:2137117
Lacs Emao	id=g:2137118
Emao Island	id=g:2137119
Source Emafo	id=g:2137120
Émaé	id=g:2137121
Elouk	id=g:2137122
Elou	id=g:2137123
Elmoamir	id=g:2137124
Ellarmo	id=g:2137125
Baie Sowki	id=g:2137126
Baie d’ Eliou	id=g:2137127
Île Elia	id=g:2137128
Elia	id=g:2137129
Pointe de l’ Éléphant	id=g:2137130
Pointe Elentakara	id=g:2137131
Pointe Elaboé	id=g:2137132
Baie Elaboé	id=g:2137133
Baie d’ Ekpi	id=g:2137134
Ekpi	id=g:2137135
Ekar	id=g:2137136
Nétchan Einiat	id=g:2137137
Inwa Einiat	id=g:2137138
Eili	id=g:2137139
Nafayava Ehesjei	id=g:2137140
Éfaté	id=g:2137141
Ebouli	id=g:2137143
Ebouli	id=g:2137144
Ebaonapkas	id=g:2137145
Ebao	id=g:2137146
East Channel	id=g:2137147
Eas	id=g:2137148
Pointe Dupuy	id=g:2137149
Mohongnwilvara Passage	id=g:2137150
Dudley Channel	id=g:2137151
Drivaï	id=g:2137152
Douèn	id=g:2137153
Pointe de Douceré	id=g:2137154
Pointe Doublet	id=g:2137155
Douane	id=g:2137156
Donmat	id=g:2137157
Pointe Djénaro	id=g:2137158
Dixon Reef	id=g:2137159
Passe de la Dives	id=g:2137160
Dirihi	id=g:2137161
Pointe Dip	id=g:2137162
Pointe Dima	id=g:2137163
Baie Dillon	id=g:2137164
Diamond Bay	id=g:2137165
Diamond Passage	id=g:2137166
Devil’s Point	id=g:2137167
Passe D’Hestreux	id=g:2137168
Pointe Deyas	id=g:2137169
Pointe Dévoutwat	id=g:2137170
Devil Rock	id=g:2137171
Dévèl	id=g:2137172
Deuriv	id=g:2137173
Pointe du D’Estrées	id=g:2137174
Pointe Désolée	id=g:2137175
Pointe Déo	id=g:2137176
Baie de la Délimitation	id=g:2137177
Déli	id=g:2137178
Délap	id=g:2137179
Baie Dehaakor	id=g:2137180
Dalotaropou	id=g:2137181
Dalops	id=g:2137182
Dalahoum	id=g:2137183
Cumberland	id=g:2137184
Rivière des Crocodiles	id=g:2137185
Kérembitia Bay	id=g:2137186
Craig Cove	id=g:2137187
Crab Bay	id=g:2137188
Cotamtam	id=g:2137189
Mawatan Passage	id=g:2137190
Cook Reef	id=g:2137192
Cook Bay	id=g:2137193
Yewao Point	id=g:2137194
Baie Cook	id=g:2137195
Constantine Seamount	id=g:2137196
Cap Cone	id=g:2137197
Clemenceau Point	id=g:2137198
Pointe Christine	id=g:2137199
Pointe Chong’neou	id=g:2137200
Baie Chipo	id=g:2137201
Chinohouse	id=g:2137202
Ching’onponi Point	id=g:2137203
Pointe Ching’on Naron	id=g:2137204
Cherem’ba	id=g:2137205
Chelva	id=g:2137206
Baie Charley	id=g:2137207
Pointe Chapuis	id=g:2137208
Camp Chapuis	id=g:2137209
Plaine de Cendres	id=g:2137210
Plaine de Cendre	id=g:2137211
Casuarina Point	id=g:2137212
Casuarina	id=g:2137213
Pointe Carloti	id=g:2137214
Île Carlo	id=g:2137215
Le Marais aux Canards	id=g:2137216
Bwélétaveureukon	id=g:2137217
Bwéhaltalam	id=g:2137218
Bwatnapné	id=g:2137219
Plantation de Bushman Bay	id=g:2137220
Baie de Bushman	id=g:2137221
Buninga	id=g:2137222
Bumboko	id=g:2137223
Canal du Bruat	id=g:2137224
Brigstocke Point	id=g:2137225
Rivière de Brennwé	id=g:2137226
Brennwé	id=g:2137227
Bowé	id=g:2137228
Pointe Bouy	id=g:2137229
Bouvo	id=g:2137230
Boutvatano	id=g:2137231
Mont Boutouet	id=g:2137232
Boutouanminmin	id=g:2137233
Boutnérip	id=g:2137234
Boutnavaga	id=g:2137235
Boutmas	id=g:2137236
Boutmaraémojoro	id=g:2137237
Bouté-Bouté	id=g:2137238
Bouroumba	id=g:2137239
Bouron	id=g:2137240
Rivière de Bourbar	id=g:2137241
Bourbar	id=g:2137242
Pointe Bououma	id=g:2137243
Bounondavou	id=g:2137244
Bounlap	id=g:2137245
Baie Bounkil	id=g:2137246
Bouniarom	id=g:2137247
Bouniakoup	id=g:2137248
Bounanbaga	id=g:2137249
Bounahatsa	id=g:2137250
Boumhaéham	id=g:2137251
Pointe Boulmaténia	id=g:2137252
Boulhak	id=g:2137253
Boulenmen	id=g:2137254
Boularou	id=g:2137255
Boul	id=g:2137256
Baie Boukoutou	id=g:2137257
Bouisourou	id=g:2137258
Bouinii	id=g:2137259
Bouilipsel	id=g:2137260
Bouilihas	id=g:2137261
Pointe Bouiliarkon	id=g:2137262
Bouhinboué	id=g:2137263
Bougainville Strait	id=g:2137264
Boufa	id=g:2137265
Boufa	id=g:2137266
Bouégou	id=g:2137267
Bouéboué	id=g:2137268
Boudiara	id=g:2137269
Pointe Bouanok	id=g:2137270
Baie Bouangali	id=g:2137271
Botvornov	id=g:2137272
Baie Botoun	id=g:2137273
Boton	id=g:2137274
Botnembaou	id=g:2137275
Bosao	id=g:2137276
Boroumvor	id=g:2137277
Borabor	id=g:2137278
Bopnapenial	id=g:2137279
Bonnasaria	id=g:2137280
Bonkowia	id=g:2137281
Bonkilsip	id=g:2137282
Bongor	id=g:2137283
Bongabonga	id=g:2137284
Bondli	id=g:2137285
Boloun	id=g:2137286
Bolii	id=g:2137287
Bolès	id=g:2137288
Bokoua	id=g:2137289
Boingai	id=g:2137290
Bogorfan	id=g:2137291
Bogor	id=g:2137292
Boelsopa	id=g:2137293
Pointe Bodiroua	id=g:2137294
Boatpasis	id=g:2137295
Boaka Riki	id=g:2137296
Boaka Lata	id=g:2137297
Pointe Bluff	id=g:2137298
Blévèt	id=g:2137299
Black Sand Bay	id=g:2137300
Black Hill	id=g:2137301
Black Beach	id=g:2137302
Bitar	id=g:2137303
Bingi	id=g:2137304
Biloykoulouwan	id=g:2137305
Pointe Billy	id=g:2137306
Billata	id=g:2137307
Bilibil	id=g:2137308
Bilbilou	id=g:2137309
Bihelli	id=g:2137310
Bigeïlan	id=g:2137311
Big Bay	id=g:2137312
Big Bay	id=g:2137313
Biey	id=g:2137314
Béwéto	id=g:2137315
Pointe Bévala	id=g:2137316
Mont Beutloa	id=g:2137317
Bétoutoulfer	id=g:2137318
Bétopouaté	id=g:2137319
Betlipmap	id=g:2137320
Bethel	id=g:2137321
Bétel	id=g:2137322
Bétarara	id=g:2137323
Bétapren	id=g:2137324
Bétap	id=g:2137325
Bespira	id=g:2137326
Baie Bésol	id=g:2137327
Bésol	id=g:2137328
Pointe Bésil	id=g:2137329
Bérovatiwal	id=g:2137330
Béroua	id=g:2137331
Mount Bernier	id=g:2137332
Bérapter	id=g:2137333
Bé Ouinou	id=g:2137334
Béouan	id=g:2137335
Bentoro	id=g:2137336
Bénoungeway	id=g:2137337
Pointe Benmaliligni	id=g:2137338
Port Bénier	id=g:2137339
Benemdon	id=g:2137340
Bénéhour	id=g:2137341
Benbow	id=g:2137342
Bénavoué	id=g:2137343
Bénamour	id=g:2137344
Pointe Bémarou	id=g:2137345
Béloumbévou	id=g:2137346
Baie Belmoul	id=g:2137347
Belmoul	id=g:2137348
Belmoul	id=g:2137349
Belmoul	id=g:2137350
Bellevue	id=g:2137351
Bélarlar	id=g:2137352
Bélap	id=g:2137353
Baie de Bélann	id=g:2137354
Békoma	id=g:2137355
Pointe Bek	id=g:2137356
Béfernonom	id=g:2137357
Béésel	id=g:2137358
Beer	id=g:2137359
Nokonbédo Point	id=g:2137360
Bébarborglov	id=g:2137361
Béaou	id=g:2137362
Bayvorasiolés	id=g:2137363
Bayalo	id=g:2137364
Batvoubarav	id=g:2137365
Batrier	id=g:2137366
Batountalbarav	id=g:2137367
Batounsara	id=g:2137368
Batounloko	id=g:2137369
Batounlemak	id=g:2137370
Batounlamévous	id=g:2137371
Batounklao	id=g:2137372
Batounkila	id=g:2137373
Batounilovoutsavira	id=g:2137374
Batounfaramb	id=g:2137375
Batounéser	id=g:2137376
Batounboaen	id=g:2137377
Batounbataoro	id=g:2137378
Batounasébou	id=g:2137379
Batounasébou	id=g:2137380
Batounaroutoul	id=g:2137381
Batounaéré	id=g:2137382
Batouna	id=g:2137383
Batoum Natéou	id=g:2137384
Batouitano	id=g:2137385
Batouin	id=g:2137386
Batouantimble	id=g:2137387
Baie Batouaka	id=g:2137388
Batnavni Bay	id=g:2137389
Batnavni	id=g:2137390
Batnarouta	id=g:2137391
Pointe Batlangou	id=g:2137392
Pointe Batit	id=g:2137393
Pointe Batigo	id=g:2137394
Pointe Batéraïgi	id=g:2137395
Batenta	id=g:2137396
Batenfoutou	id=g:2137397
Batarlilip	id=g:2137398
Batarhoumbou	id=g:2137399
Batar	id=g:2137400
Batambou	id=g:2137401
Batambon	id=g:2137402
Sésivi	id=g:2137403
Rivière de Barvet	id=g:2137404
Barvet	id=g:2137405
Barrier Bay	id=g:2137406
Barniendré	id=g:2137407
Barniaj	id=g:2137408
Mbarmel Anchorage	id=g:2137409
Barksal	id=g:2137410
Baie Baritié	id=g:2137411
Pointe Bariri	id=g:2137412
Barinon	id=g:2137413
Barik	id=g:2137414
Barias	id=g:2137415
Baréréo	id=g:2137416
Barbouar	id=g:2137417
Barbé	id=g:2137418
Baraitova	id=g:2137419
Bantété	id=g:2137420
Torba Province	id=g:2137421
Banks Islands	id=g:2137422
Banhoul	id=g:2137423
Bangon	id=g:2137424
Pointe Bangéréti	id=g:2137425
Banam Bay	id=g:2137426
Plantation Banam	id=g:2137427
Bamboo Bay	id=g:2137428
Baltinoun	id=g:2137429
Balitsololo	id=g:2137430
Baldwin Cove	id=g:2137431
Bald Hill	id=g:2137432
Balago	id=g:2137433
Bakor	id=g:2137434
Bakmier	id=g:2137435
Bakamil	id=g:2137436
Bakakara	id=g:2137437
Baïtora	id=g:2137438
Baie de la Tortue	id=g:2137439
Îlot Bagatelle	id=g:2137440
Baga	id=g:2137441
Point Baffling	id=g:2137442
Baalap	id=g:2137443
Baagwergwèr	id=g:2137444
Awirhemo	id=g:2137445
Awéi	id=g:2137446
Avounbaka	id=g:2137447
Avokh	id=g:2137448
Îlot Avok II	id=g:2137449
Îlot Avok I	id=g:2137450
Avira	id=g:2137451
Aviliana	id=g:2137452
Avatouna	id=g:2137453
Avatlanghul	id=g:2137454
Avatao	id=g:2137455
Avanasao	id=g:2137456
Aulua	id=g:2137457
Pointe Atuol	id=g:2137458
Atsoma	id=g:2137459
Atsaritibi	id=g:2137460
Rocher At Pouris	id=g:2137461
Atla	id=g:2137462
Atihou	id=g:2137463
Atchin	id=g:2137464
Atavoa	id=g:2137465
Atasiwo	id=g:2137466
Atasiwo	id=g:2137467
Atangouroua	id=g:2137468
Ataboulou	id=g:2137469
Assourou	id=g:2137470
Baie d’ Assouk	id=g:2137471
Assoué	id=g:2137472
Rivière d’ Assen	id=g:2137473
Baie d’ Assen	id=g:2137474
Assen	id=g:2137475
Pointe Asmé	id=g:2137476
Ashwell Bluff	id=g:2137477
Ashuk Head	id=g:2137478
Asé	id=g:2137479
Sinio Asarou	id=g:2137480
Pointe Asaola	id=g:2137481
Arteb	id=g:2137482
Arroboua	id=g:2137483
Baie Arouboubé	id=g:2137484
Aroon	id=g:2137485
Arong	id=g:2137486
Aroné	id=g:2137487
Aronbalato	id=g:2137488
Aroka	id=g:2137489
Aribi	id=g:2137490
Ariaou	id=g:2137491
Mont Arian	id=g:2137492
Pointe Aréven	id=g:2137493
Arem	id=g:2137494
Baie Areb	id=g:2137495
Malapoa Point	id=g:2137496
Pointe Arawisbal	id=g:2137497
Aravida	id=g:2137498
Aratoa	id=g:2137499
Arasa	id=g:2137500
Aramanroum	id=g:2137501
Araki	id=g:2137502
Apouna	id=g:2137503
Apouek	id=g:2137504
Apopo	id=g:2137505
Apinol	id=g:2137506
Aoutili	id=g:2137507
Aouta	id=g:2137508
Rivière d’ Aouloua	id=g:2137509
Baie d’ Aouloua	id=g:2137510
Pointe Aoula	id=g:2137511
Aou	id=g:2137512
Aoré	id=g:2137513
Aop	id=g:2137514
Aoba	id=g:2137516
Baie Anwounoopol	id=g:2137517
Nétchan Anwougay	id=g:2137518
Inwa Anwizéi	id=g:2137519
Anwaré	id=g:2137520
Inwa Antina	id=g:2137521
Antaripoï	id=g:2137522
Nézwon Antangnanomou	id=g:2137523
Inwa Anpéké	id=g:2137524
Anpéké	id=g:2137525
Anowounoouras	id=g:2137526
Anowounamalo	id=g:2137527
Pointe Anousa	id=g:2137528
Anoumetch	id=g:2137529
Anoumalet	id=g:2137530
Île Anouit	id=g:2137531
Baie Annmari	id=g:2137532
Anner	id=g:2137533
Anmouit Point	id=g:2137534
Anli	id=g:2137535
Aniwa	id=g:2137536
Anitchawo	id=g:2137537
Anioura	id=g:2137538
Nézwon Aniopré	id=g:2137539
Nétchan Anétitchao	id=g:2137540
Inwa Anétcho	id=g:2137541
Nétchan Anésinomo	id=g:2137542
Inwa Anéro	id=g:2137543
Nafayava Anéritjé	id=g:2137544
Baie Anéplizey	id=g:2137545
Anémek	id=g:2137546
Anémdanaè	id=g:2137547
Anelghowhat	id=g:2137548
Anelghowhat Bay	id=g:2137549
Anelbounbékè	id=g:2137550
Nétchan Anégéné	id=g:2137551
Anégen	id=g:2137552
Andgwété	id=g:2137553
Anawonzé	id=g:2137554
Nafayava Anawamét	id=g:2137555
Anawamet	id=g:2137556
Anavouala	id=g:2137557
Anavinyangas	id=g:2137558
Anatom	id=g:2137559
Inwa Anasawe	id=g:2137560
Anap	id=g:2137561
Baie d’ Anaouya	id=g:2137562
Anaouya	id=g:2137563
Nétchan Anangné	id=g:2137564
Inwa Anamé	id=g:2137565
Baie Analas	id=g:2137566
Anaïa	id=g:2137567
Inwa Anaétien	id=g:2137568
Anabounboun	id=g:2137569
Nafayava Anaaïtienwey	id=g:2137570
Amseran	id=g:2137571
Rochers Amora	id=g:2137572
Amok	id=g:2137573
Amio	id=g:2137574
Ambrym	id=g:2137575
Ambousi	id=g:2137577
Amboré Anchorage	id=g:2137578
Ambit	id=g:2137579
Ambao	id=g:2137580
Amata	id=g:2137581
Étangs Amampinwi	id=g:2137582
Amalaboua	id=g:2137583
Alowou	id=g:2137584
Alowarou	id=g:2137585
Monts Alombéï	id=g:2137586
Alolo	id=g:2137587
Alo	id=g:2137588
Pointe Alitmérènbét	id=g:2137589
Baie Aliouan	id=g:2137590
Alihak	id=g:2137591
Aligu	id=g:2137592
Aléo	id=g:2137593
Alémémer	id=g:2137594
Alélé	id=g:2137595
Alékar	id=g:2137596
Alavas	id=g:2137597
Alanbwarato	id=g:2137598
Tavani Akoma	id=g:2137599
Akoko	id=g:2137600
Île Akam	id=g:2137601
Akam	id=g:2137602
Ajuga Point	id=g:2137603
Aiwos	id=g:2137604
Aitcharbo	id=g:2137605
Aïpousa	id=g:2137606
Aïowo	id=g:2137607
Aï	id=g:2137608
Sinio Ahoungwe	id=g:2137609
Ahoungwe	id=g:2137610
Aésé	id=g:2137611
Adson	id=g:2137612
Abwatuntora	id=g:2137613
Abowi	id=g:2137614
Abounavahé	id=g:2137615
Abounatari	id=g:2137616
Abounanbay	id=g:2137617
Voïsa	id=g:2137618
Mont Ablot	id=g:2137619
Abatvenou	id=g:2137620
Abatouwai	id=g:2137621
Abatounbwabwa	id=g:2137622
Abatounbouliva	id=g:2137623
Abatabanga	id=g:2137624
Abanga	id=g:2137625
Inwa Aatium	id=g:2137626
Baie d’ Aatium	id=g:2137627
Aatium	id=g:2137628
Aatch	id=g:2137629
Aala	id=g:2137630
Aadjitoo	id=g:2137631
Anabrou	id=g:2206436
Ekasuvat Lagoon	id=g:2206437
Nambia Tri	id=g:2206438
Mount Etumow	id=g:2206439
Talimoru	id=g:2206440
Worowloa	id=g:2206441
Grand Quai	id=g:2206442
Tokofé	id=g:2206443
Nokosaké	id=g:2206444
Témaonu	id=g:2206445
Fatumaru Bay	id=g:2206446
Stade	id=g:2206447
Centre	id=g:2206448
Quai Ardimani	id=g:2206449
Mésiré Point	id=g:2206450
Tatavai Point	id=g:2206451
Worowloa Point	id=g:2206452
Pontoon Bay	id=g:2206453
Paray Bay	id=g:2206454
Melcofé	id=g:2206455
Burns Philip Wharf	id=g:2206456
Baliand Wharf	id=g:2206457
Salmalao Point	id=g:2206458
Paray Oil Jetty	id=g:2206459
Ekapum Lep Island	id=g:2206460
Palao Creek	id=g:2206461
Leinamaia Point	id=g:2206462
Paul Reef	id=g:2206463
Nangisu Ni Tam̄as	id=g:2206464
Mount P̄aopakoa	id=g:2206465
Port-Havannah	id=g:2206466
Bluff Point	id=g:2206467
Namoso Passage	id=g:2206468
Mount Erkao	id=g:2206469
Tép̄ukoa River	id=g:2206471
Epule	id=g:2206472
Epao	id=g:2206473
Mount Putuet	id=g:2206474
Epule Creek	id=g:2206475
Mount Tafa Ki Malao	id=g:2206476
M̄angéa ni Éuta	id=g:2206477
Scott Rock	id=g:2206478
Uranaleilei Reef	id=g:2206479
Natasiriki Passage	id=g:2206480
Uduna Passage	id=g:2206481
Utanlangi	id=g:2206482
Basilisk Shoal	id=g:2206712
Miranda Reef	id=g:2206720
Bucephale Reef	id=g:2206721
Pasco Bank	id=g:2206725
Tangoa Anchorage	id=g:2206727
Cape Matáavéa	id=g:2206730
Nokuku Anchorage	id=g:2206733
Nokuku	id=g:2206734
Tolomako Anchorage	id=g:2206747
Biam Point	id=g:2206787
East Point	id=g:2206788
Kuru	id=g:2206789
Makéoné	id=g:2206790
Avtitnan	id=g:2206791
Langrom̄os	id=g:2206792
Mbarévit	id=g:2206793
Teuvrat	id=g:2206794
Kwétégaveg	id=g:2206795
Kwakéa	id=g:2206796
Wosaga	id=g:2206797
Kwanglav	id=g:2206798
Vévérao	id=g:2206799
Ngéré Malak Point	id=g:2206800
Vatlés	id=g:2206801
Ngéré Aro Point	id=g:2206802
Ngéré Kwon	id=g:2206803
Mele Anchorage	id=g:2208169
Orati	id=g:2208170
Manuro	id=g:2208171
Nawora Matua Anchorage	id=g:2208172
Purumea Point	id=g:2208173
Maunga Repu	id=g:2208174
Somervill Bank	id=g:2208175
Day Patches	id=g:2208176
Nelson Bay	id=g:2208177
Revio	id=g:2208178
De Chauliac Bank	id=g:2208179
Mount Molasia	id=g:2208180
Nub Hill	id=g:2208181
Mount Gillan	id=g:2208182
Naram	id=g:2208183
Mansa Reef	id=g:2208184
Belbin Bay	id=g:2208185
Saone Patch	id=g:2208186
Tolamp Reef	id=g:2208187
Loltong Bay	id=g:2208188
Ngwala Rock	id=g:2208189
South Point	id=g:2208190
Malampa Province	id=g:2208265
Penama Province	id=g:2208266
Shefa Province	id=g:2208267
