Shelëpovo	id=g:495026
Shchitnikovo	id=g:495190
Ozero Shchirskoye	id=g:495191
Shchirsk	id=g:495192
Stantsiya Shchirino	id=g:495193
Sovkhoz Shchirino	id=g:495194
Shchirino	id=g:495195
Shipuny	id=g:495196
Shchipunovo	id=g:495197
Shchipki	id=g:495198
Stantsiya Shchipakhovskiy	id=g:495199
Shchipachevo	id=g:495200
Shchilinka-Karel’skaya	id=g:495201
Shchikino	id=g:495202
Shchigry	id=g:495203
Shchigry	id=g:495204
Shchigry	id=g:495205
Shchigry	id=g:495206
Shchigrovskiy Rayon	id=g:495207
Shchigorchik	id=g:495208
Shchigor	id=g:495209
Shchiglovka	id=g:495210
Shchibrovo	id=g:495211
Shchiborovo	id=g:495212
Shchetnikovo	id=g:495213
Shchetnikovo	id=g:495214
Shchetnikovo	id=g:495215
Shchëtniki	id=g:495216
Shchëtniki	id=g:495217
Shchëtkino	id=g:495218
Shchëtkina	id=g:495219
Shchetinskoye	id=g:495220
Shchetinskaya	id=g:495221
Shchetinovka	id=g:495222
Shchetinovo	id=g:495223
Shchetinovo	id=g:495224
Shchetinovo	id=g:495225
Shchetinovka	id=g:495226
Shchetino	id=g:495227
Shchetino	id=g:495228
Shchetinka	id=g:495229
Shchetinka	id=g:495230
Shchetinino Vtoroye	id=g:495231
Shchetinino Pervoye	id=g:495232
Shchetinino	id=g:495233
Shchetinino	id=g:495234
Shchetinino	id=g:495235
Shchetinino	id=g:495236
Shchetinino	id=g:495237
Shchetinin	id=g:495238
Shchetin Bor	id=g:495239
Sherdino	id=g:495240
Shcherbovo	id=g:495241
Shcherbovskiy	id=g:495242
Stantsiya Shcherbovo	id=g:495243
Shcherbovo	id=g:495244
Shcherbovo	id=g:495245
Shcherbovo	id=g:495246
Shcherbovo	id=g:495247
Shcherbovo	id=g:495248
Shcherbovo	id=g:495249
Shcherbovka	id=g:495250
Shcherbinskaya	id=g:495251
Shcherbinovskiy Rayon	id=g:495252
Shcherbinovskiy	id=g:495253
Shcherbinovskiy	id=g:495254
Shcherbinovka	id=g:495255
Shcherbino	id=g:495256
Shcherbino	id=g:495257
Shcherbinki	id=g:495258
Stantsiya Shcherbinka	id=g:495259
Shcherbinka	id=g:495260
Shcherbinino	id=g:495261
Shcherbinino	id=g:495262
Shcherbinino	id=g:495263
Shcherbinino	id=g:495264
Shcherbinino	id=g:495265
Shcherbinino	id=g:495266
Shcherbinino	id=g:495267
Guba Zapadnaya Shcherbinikha	id=g:495268
Shcherbet’	id=g:495269
Shcherben’	id=g:495270
Shcherbedin	id=g:495271
Shcherbazh	id=g:495272
Shcherbatovshchina	id=g:495273
Shcherbatovo	id=g:495274
Shcherbatovka	id=g:495275
Shcherbatovka	id=g:495276
Shcherbaki	id=g:495277
Shcherbakovskiy	id=g:495278
Shcherbakovskiy	id=g:495279
Shcherbakovo	id=g:495280
Shcherbakovo	id=g:495281
Shcherbakovo	id=g:495282
Shcherbakovo	id=g:495283
Shcherbakovka	id=g:495284
Shcherbakovka	id=g:495285
Shcherbakovka	id=g:495286
Shcherbakovo	id=g:495287
Shcherbakovo	id=g:495288
Shcherbakov	id=g:495289
Shcherbachi	id=g:495290
Shcherbachëvo	id=g:495291
Shcherbachëvo	id=g:495292
Shcherbachëvka	id=g:495293
Shcherbachëvka	id=g:495294
Shcherbachëvka	id=g:495295
Shcherbachenko	id=g:495296
Shcherba	id=g:495297
Shchepy	id=g:495298
Shchepot’yevo	id=g:495299
Shchepot’yevo	id=g:495300
Shchepot’yevo	id=g:495301
Shchepot’yevo	id=g:495302
Shchepot’yevo	id=g:495303
Shchepnoye	id=g:495304
Shchepkin	id=g:495305
Shchepkin	id=g:495306
Shchepkin	id=g:495307
Shchepkin	id=g:495308
Shchepinskaya	id=g:495309
Shchepino	id=g:495310
Shchepino	id=g:495311
Shchepina Gora	id=g:495312
Shchepikha	id=g:495313
Raz”yezd Shchepets	id=g:495314
Shchepets	id=g:495315
Shchepet	id=g:495316
Shchepachikha	id=g:495317
Shchipachevo	id=g:495318
Shchennikovo	id=g:495319
Shchenniki	id=g:495320
Shchemilovo	id=g:495321
Shchemelëvo	id=g:495322
Shchel’ye	id=g:495323
Shchel’ye	id=g:495324
Shchel’yayur	id=g:495325
Shchel’yabozh	id=g:495326
Shchel’pino	id=g:495327
Shchelokovka	id=g:495328
Shchelokov	id=g:495329
Shchëloki	id=g:495330
Shchëloki	id=g:495331
Stantsiya Shchelkunovo	id=g:495332
Shchelkunovka	id=g:495333
Shchelkunova	id=g:495334
Ostrov Shchelkun	id=g:495335
Shchelkukha	id=g:495336
Shchëlkovskiy Rayon	id=g:495337
Shёlkovskiy	id=g:495338
Shchëlkovo	id=g:495339
Shchëlkovo	id=g:495340
Shchëlkovo	id=g:495341
Shchëlkovo	id=g:495342
Shchëlkovo	id=g:495343
Shchelkovo	id=g:495344
Shchëlkino	id=g:495345
Shchëlkino	id=g:495346
Shchelkina	id=g:495347
Shchelkovo	id=g:495348
Gornocharovskaya	id=g:495349
Shchelkanovo	id=g:495350
Shchelkanovo	id=g:495351
Shchelkanovo	id=g:495352
Shchelkanovo	id=g:495353
Shchelkanka	id=g:495354
Shchelkanka	id=g:495355
Shchelkan	id=g:495356
Shchelkan	id=g:495357
Shchelkan	id=g:495358
Shchelkachëvo	id=g:495359
Shchelino	id=g:495360
Shchelino	id=g:495361
Shchelino	id=g:495362
Shchelinka	id=g:495363
Shchelina	id=g:495364
Mys Shcheliki	id=g:495365
Shchelguchka	id=g:495366
Ostrov Shchel’gostrov	id=g:495367
Shcheleyki	id=g:495368
Kamen’ Shchelevatyy	id=g:495369
Shchel’	id=g:495370
Shchekut’yevo	id=g:495371
Shchekutovo	id=g:495372
Shchëkuteyev	id=g:495373
Shchëkuteyev	id=g:495374
Shchekinka	id=g:495375
Shchëktovo	id=g:495376
Shchëkotovo	id=g:495377
Shchëkotovo	id=g:495378
Shchëkotovo	id=g:495379
Shchekotovichi	id=g:495380
Shchekotets	id=g:495381
Shchekoldinskaya	id=g:495382
Shchekoldino	id=g:495383
Shchekoldino	id=g:495384
Shchekkila	id=g:495385
Shchëkinskiy Rayon	id=g:495386
Shchëkino	id=g:495387
Shchëkino	id=g:495388
Shchëkino	id=g:495389
Shchëkino	id=g:495390
Shchëkino	id=g:495391
Shchëkino	id=g:495392
Shchëkino	id=g:495393
Shchëkino	id=g:495394
Shchëkino	id=g:495395
Shchëkino	id=g:495396
Shchekavtsevo	id=g:495397
Shchegurcha	id=g:495398
Shchegry	id=g:495399
Shchegrovityy	id=g:495400
Shegra	id=g:495401
Shchegoshcha	id=g:495402
Staryye Shcheglyata	id=g:495403
Shchegolya	id=g:495404
Shchegolovo	id=g:495405
Shchegol’noye	id=g:495406
Shchegolevo	id=g:495407
Shchegolevo	id=g:495408
Shchegolek	id=g:495409
Shcheglyat’yevo	id=g:495410
Stantsiya Shcheglovo	id=g:495411
Shcheglovo	id=g:495412
Shcheglovo	id=g:495413
Shcheglovka	id=g:495414
Shcheglovka	id=g:495415
Shcheglovka	id=g:495416
Shcheglovka	id=g:495417
Shcheglovitovka	id=g:495418
Shcheglov	id=g:495419
Shcheglov	id=g:495420
Shcheglov	id=g:495421
Shchedrovo	id=g:495422
Ostanovochnyy Punkt Shchedrovka	id=g:495423
Shchedrovka	id=g:495424
Shchedrino	id=g:495425
Shchedrino	id=g:495426
Shchedrino	id=g:495427
Shchedra	id=g:495428
Shchechkovo	id=g:495429
Shchechenki	id=g:495430
Shebolovo	id=g:495431
Shchebino	id=g:495432
Shcheberino	id=g:495433
Shcheberekha	id=g:495434
Shcheberikha	id=g:495435
Shchebenka	id=g:495436
Shchavel’nitskiy	id=g:495437
Shchapovo	id=g:495438
Shchapovo	id=g:495439
Shchapovo	id=g:495440
Shchapovo	id=g:495441
Shchapovo	id=g:495442
Ozero Shchalo	id=g:495443
Shchadnevo	id=g:495444
Shaburova	id=g:495445
Shaytrovshchina	id=g:495446
Shaytan-Pal'nik	id=g:495447
Kordon Shaytanovka	id=g:495448
Shaytanka	id=g:495449
Shaytanka	id=g:495450
Shaytanka	id=g:495451
Shaytanka	id=g:495452
Kamen' Shaytan	id=g:495453
Kamen’ Shaytan	id=g:495454
Kamen’ Shaytan	id=g:495455
Shaytan	id=g:495456
Ozero Shayskoye	id=g:495457
Shayskoye	id=g:495458
Shay-Ozero	id=g:495459
Shaymurzino	id=g:495460
Shaymurzino	id=g:495461
Shaymuratovo	id=g:495462
Shayma	id=g:495463
Shayma	id=g:495464
Shayma	id=g:495465
Stantsiya Shaykovka	id=g:495466
Shaykovka	id=g:495467
Shaykin	id=g:495468
Shayki	id=g:495469
Shaygino	id=g:495470
Shaydury	id=g:495471
Shaydorovo	id=g:495472
Ozero Shaydom-Ozero	id=g:495473
Shaydomka	id=g:495474
Shaydoma	id=g:495475
Shaychurino	id=g:495476
Shevtsovo	id=g:495477
Shavshuki	id=g:495478
Gora Shavrukha	id=g:495479
Shavrino	id=g:495480
Shav-Reka	id=g:495481
Mys Shavor	id=g:495482
Ozero Shavlya	id=g:495483
Shavkunovo	id=g:495484
Shavkovo	id=g:495485
Shavkovo	id=g:495486
Shavkovo	id=g:495487
Shavkhata	id=g:495488
Shava	id=g:495489
Shaverki	id=g:495490
Shaverki	id=g:495491
Ozero Shaverka	id=g:495492
Shaverka	id=g:495493
Shavarzhaki	id=g:495495
Shavandino	id=g:495496
Stantsiya Shavan’	id=g:495497
Ozero Shavan’	id=g:495498
Shava	id=g:495499
Shaury	id=g:495500
Lednik Shaurtu	id=g:495501
Gora Shaurtu	id=g:495502
Shauri	id=g:495503
Razvaliny Shaurdat	id=g:495504
Guba Shaunya Laksi	id=g:495505
Shaumyanskiy	id=g:495506
Shaumyanovskiy	id=g:495507
Shaumyan	id=g:495508
Shaulino	id=g:495509
Shaukol	id=g:495510
Gora Shaukhana-Bash	id=g:495511
Khrebet Shaukamnysyrty	id=g:495512
Pereval Shaukam	id=g:495513
Stantsiya Shaturtorf	id=g:495514
Shaturtorf	id=g:495515
Shaturskiy Rayon	id=g:495516
Sovkhoz Shatura	id=g:495517
Shatura	id=g:495518
Shatur	id=g:495519
Shatunovo	id=g:495520
Shatunovo	id=g:495521
Shatunova	id=g:495522
Shatunovka	id=g:495523
Mys Shatunok	id=g:495524
Ostrov Shatun	id=g:495525
Shattashkem	id=g:495526
Shatta	id=g:495527
Shatta	id=g:495528
Shatsk Vtoroy	id=g:495529
Shatskoye	id=g:495530
Shatskiy Rayon	id=g:495531
Shatsk	id=g:495532
Shatry	id=g:495533
Shatry	id=g:495534
Shatrovo	id=g:495535
Shatrovo	id=g:495536
Shatrovo	id=g:495537
Shatrishche	id=g:495538
Shatrets	id=g:495539
Shatrakasy	id=g:495540
Shatra	id=g:495541
Ozero Shatozero	id=g:495542
Urochishche Shatozero	id=g:495543
Raz”yezd Shatovskiy	id=g:495544
Shatovo	id=g:495545
Shatovo	id=g:495546
Shatovo	id=g:495547
Shatovo	id=g:495548
Shatovka	id=g:495549
Shatovka	id=g:495550
Shatova Gora	id=g:495551
Shotogorka	id=g:495552
Shatnovichi	id=g:495553
Shatnevo	id=g:495554
Shat’maposi	id=g:495555
Shatmantamak	id=g:495556
Shatlyk	id=g:495557
Shatkurga	id=g:495558
Shatkovskiy Rayon	id=g:495559
Shat’kovo	id=g:495560
Staroye Shatkino	id=g:495561
Shatki	id=g:495562
Shatino	id=g:495563
Stantsiya Shatilovo	id=g:495564
Shatilovo	id=g:495565
Shatilovo	id=g:495566
Shatilovo	id=g:495567
Shatilovo	id=g:495568
Shatilovka	id=g:495569
Shatilovka	id=g:495570
Shatilova	id=g:495571
Shatilova	id=g:495572
Shateyevo	id=g:495573
Shatenëvo	id=g:495574
Shatalovo	id=g:495575
Shatalovo	id=g:495576
Shatalovo	id=g:495577
Shatalovo	id=g:495578
Shatalovka	id=g:495579
Shatalovka	id=g:495580
Shatalinskiy	id=g:495581
Shatskoye Vodokhranilishche	id=g:495582
Blokpost Shat	id=g:495583
Shat	id=g:495584
Shastov Pochinok	id=g:495585
Shastovo	id=g:495586
Shastovo	id=g:495587
Shastka	id=g:495588
Stantsiya Shastinskiy	id=g:495589
Shasta	id=g:495590
Shashurki	id=g:495591
Shashur	id=g:495592
Shammetovo	id=g:495593
Shashmaki	id=g:495594
Shashkino	id=g:495595
Shashkino	id=g:495596
Shashki	id=g:495597
Shashki	id=g:495598
Shashi	id=g:495599
Shashelovo	id=g:495600
Sharzhen’ga	id=g:495601
Sharzhen’ga	id=g:495602
Sharzhenga	id=g:495603
Shar”yu	id=g:495604
Sharyshka Vtoraya	id=g:495605
Sharyshka Pervaya	id=g:495606
Sharyshka	id=g:495607
Sharypovo	id=g:495608
Sharypka	id=g:495609
Sharypkino	id=g:495610
Sharynino	id=g:495611
Balka Sharyn	id=g:495612
Sharygino	id=g:495613
Sharygino	id=g:495614
Shar’yevo	id=g:495615
Shar’ya	id=g:495616
Shar’ya	id=g:495617
Shar’ya	id=g:495618
Shar’ya	id=g:495619
Sharvol'	id=g:495620
Ozero Sharvi-Lambi	id=g:495621
Ozero Sharvi	id=g:495622
Sharvi	id=g:495623
Sharvary	id=g:495624
Ozera Sharva	id=g:495625
Sharunyata	id=g:495626
Sharukova	id=g:495627
Shartyugskiy	id=g:495628
Shartymka	id=g:495629
Shartova	id=g:495630
Shortino	id=g:495631
Shartanovo	id=g:495632
Shartanovo	id=g:495633
Sharshun	id=g:495634
Russkaya Sharshada	id=g:495635
Sharshada	id=g:495636
Sharshada	id=g:495637
Sharpayevka	id=g:495638
Sharpayevka	id=g:495639
Sharpa	id=g:495640
Sharp	id=g:495641
Shara	id=g:495642
Boloto Sharovo	id=g:495643
Sharovo	id=g:495644
Sharovo	id=g:495645
Sharovo	id=g:495646
Sharovka	id=g:495647
Sharovka	id=g:495648
Sharovichi	id=g:495649
Sharovaraka	id=g:495650
Sharony	id=g:495651
Sharon	id=g:495652
Sharomskaya	id=g:495653
Shorokhovo	id=g:495654
Sharok	id=g:495655
Sharoargun	id=g:495656
Sharo-Argun	id=g:495657
Sharnutovskiy	id=g:495658
Sharnovo	id=g:495659
Sharnino	id=g:495660
Sharninka	id=g:495661
Sharna	id=g:495662
Sharna	id=g:495663
Sharmashi	id=g:495664
Sharma	id=g:495665
Sharlykskiy Rayon	id=g:495666
Sharlyk	id=g:495667
Sharlyk	id=g:495668
Sharlyk	id=g:495669
Sharlyk	id=g:495670
Stantsiya Sharlovo	id=g:495671
Sharlovo	id=g:495672
Sharlota	id=g:495673
Sharlino	id=g:495674
Sharliarema	id=g:495675
Sharlash	id=g:495676
Sharla	id=g:495677
Sharkunovka	id=g:495678
Gora Sharkum	id=g:495679
Sharkivara	id=g:495680
Sharkino	id=g:495681
Sharkin Bor	id=g:495682
Ozero Sharki-Lambi	id=g:495683
Sharki	id=g:495684
Sharakhalsun	id=g:495685
Sharkanskiy Rayon	id=g:495686
Sharkan	id=g:495687
Sharkan	id=g:495688
Ozero Shari-Yarvi	id=g:495689
Ozero Shari Yarvi	id=g:495690
Shariyarvi	id=g:495691
Gora Shari-Vaara	id=g:495693
Sharitsa	id=g:495694
Sharipovskiy	id=g:495695
Sharipovo	id=g:495696
Sharipovo	id=g:495697
Sharipovo	id=g:495698
Sharipovo	id=g:495699
Sharipovo	id=g:495700
Sharipovka	id=g:495701
Sharipino	id=g:495702
Sharinskoye Ozero	id=g:495703
Shar’inskiy Rayon	id=g:495704
Sharikina	id=g:495705
Sharik	id=g:495706
Sharibash-Yurt	id=g:495707
Ozero Shari	id=g:495708
Ozero Shari	id=g:495709
Shari	id=g:495710
Selo Shargoli	id=g:495711
Shargoli	id=g:495712
Ozero Shargo	id=g:495713
Shargadyk	id=g:495714
Shargadyk	id=g:495715
Shareyevo	id=g:495716
Gora Shared	id=g:495717
Shared	id=g:495718
Ozero Shardozero	id=g:495719
Shardozero	id=g:495720
Shardovarovskiy	id=g:495721
Ostrova Shardonskiye	id=g:495722
Shardonem’	id=g:495723
Shardoma	id=g:495724
Sharden’ga	id=g:495725
Shar-Davr	id=g:495726
Shardatma	id=g:495727
Stantsiya Shardanovo	id=g:495728
Shardakovo	id=g:495729
Shar’yevo	id=g:495730
Sharabas	id=g:495731
Sharovitsy	id=g:495732
Shara-Ulyun	id=g:495733
Sharashinskiy	id=g:495734
Sharapy	id=g:495735
Sharapush-Yaga	id=g:495736
Sharapovo	id=g:495737
Sharapovo	id=g:495738
Sharapovo	id=g:495739
Sharapovo	id=g:495740
Sharapovo	id=g:495741
Sharapovo	id=g:495742
Sharapovo	id=g:495743
Sharapovo	id=g:495744
Sharapovo	id=g:495745
Sharapovo	id=g:495746
Sharapovo	id=g:495747
Sharapovo	id=g:495748
Sharapovo	id=g:495749
Sharapovo	id=g:495750
Sharapovka	id=g:495751
Sharapovka	id=g:495752
Sharapovka	id=g:495753
Urochishche Sharapovka	id=g:495754
Sharapovka	id=g:495755
Sharapova Okhota	id=g:495756
Sharapova Gorka	id=g:495757
Mys Sharapov	id=g:495758
Mys Sharapov	id=g:495759
Sharapov	id=g:495760
Sharanskiy Rayon	id=g:495761
Sovkhoz Sharanskiy	id=g:495762
Sharanitsa	id=g:495763
Sharanino	id=g:495764
Sharangskiy Rayon	id=g:495765
Sharanga	id=g:495766
Sharanga	id=g:495767
Sharanbashknyazevo	id=g:495768
Sharan	id=g:495769
Sharan	id=g:495770
Sharama	id=g:495771
Sharama	id=g:495772
Sharakino	id=g:495773
Shara-Ioki	id=g:495774
Shara	id=g:495775
Shar	id=g:495776
Shapy	id=g:495777
Shapurovka	id=g:495778
Shaptunga	id=g:495779
Shapta	id=g:495780
Gora Shapsukho	id=g:495781
Shapsukho	id=g:495782
Shapsugskoye Vodokhranilishche	id=g:495783
Shapsugskaya	id=g:495784
Shapshi	id=g:495785
Shapsha-Ladvinskaya	id=g:495786
Ozero Shapsh”yavr	id=g:495787
Shapsha	id=g:495788
Shapsha	id=g:495789
Shapsha	id=g:495790
Shapsha	id=g:495791
Shapovo	id=g:495792
Shchapovo	id=g:495793
Shapovara	id=g:495794
Shapovalovo	id=g:495795
Shapovalov	id=g:495796
Shapovalov	id=g:495797
Shaposhnitsy	id=g:495798
Shaposhnikovo	id=g:495799
Shaposhnikovka	id=g:495800
Shaposhnikovo	id=g:495801
Shaposhnikov	id=g:495802
Shaporova Buda	id=g:495803
Shaporëva	id=g:495804
Shapochki	id=g:495805
Shapochka	id=g:495806
Shap-Navolok	id=g:495807
Ozero Shapkozero	id=g:495808
Shapkozero	id=g:495809
Shapkozero	id=g:495810
Shapkovo	id=g:495811
Shapkovo	id=g:495812
Shapkovo	id=g:495813
Shapkovo	id=g:495814
Ozëra Shapkinskiye	id=g:495815
Shapkino	id=g:495816
Shapkino	id=g:495817
Shapkino	id=g:495818
Shapkino	id=g:495819
Shapkino	id=g:495820
Shapkino	id=g:495821
Shapkino	id=g:495822
Shapkino	id=g:495823
Shapkino	id=g:495824
Shapkino	id=g:495825
Shapkino	id=g:495826
Shapkino	id=g:495827
Shapkino	id=g:495828
Shapkino	id=g:495829
Shapkina	id=g:495830
Shapkina	id=g:495831
Stantsiya Shapki	id=g:495832
Shapki	id=g:495833
Shapinka	id=g:495834
Shapilovo	id=g:495835
Shapikh	id=g:495836
Shatalovo	id=g:495837
Shanya	id=g:495838
Urochishche Shanya	id=g:495839
Mys Shantsa	id=g:495840
Shantary	id=g:495841
Shantalovo	id=g:495842
Shanskiy Zavod	id=g:495843
Shan'sherovo	id=g:495844
Shaninskiy	id=g:495845
Shanino	id=g:495846
Shanin	id=g:495847
Shchanikovo	id=g:495848
Shanikha	id=g:495849
Shanikha	id=g:495850
Shang-Ruchey	id=g:495851
Shang-Ostrov	id=g:495852
Shanginichi	id=g:495853
Shan’gi	id=g:495854
Stantsiya Shangaly	id=g:495855
Shangaly	id=g:495856
Shangala	id=g:495857
Shaneyevo	id=g:495858
Urochishche Shandu-Vara	id=g:495859
Shandrovo	id=g:495860
Shondon	id=g:495861
Shandasha	id=g:495862
Yekaterinoslavka	id=g:495863
Shandary	id=g:495864
Shandalovo	id=g:495865
Shanda	id=g:495866
Shancherovo	id=g:495867
Ostrov Shancherga	id=g:495868
Shancherga	id=g:495869
Raz''ezd Shanayevo	id=g:495870
Shanary	id=g:495871
Shana-Khuduk	id=g:495872
Shamsutdinovo	id=g:495874
Shamshur	id=g:495875
Shamshudinovka	id=g:495876
Shamshino	id=g:495877
Shamshi	id=g:495878
Shamshevo	id=g:495879
Shamrayevka	id=g:495880
Shamratovo	id=g:495881
Shamova	id=g:495882
Shamorga	id=g:495883
Shamordino	id=g:495884
Stantsiya Shamoksha	id=g:495885
Shamoksha	id=g:495886
Shamoksha	id=g:495887
Shamnino	id=g:495888
Shamkino	id=g:495889
Shamkhal-Yangiyurt	id=g:495890
Shamkhal-Termen	id=g:495891
Shamkhalbulak	id=g:495892
Shamkhal	id=g:495893
Shaminka	id=g:495894
Shamino	id=g:495895
Shamino	id=g:495896
Shameyeva	id=g:495897
Shamenichi	id=g:495898
Shambulykhchi	id=g:495899
Shambovo	id=g:495900
Shambovka	id=g:495901
Shamary	id=g:495902
Shamary	id=g:495903
Shamary	id=g:495904
Koptelo-Shamary	id=g:495905
Zaliv Shamardina	id=g:495906
Shamardan	id=g:495907
Mys Shamal’	id=g:495908
Shama	id=g:495909
Shalazha	id=g:495910
Shalynovo	id=g:495911
Shalygino	id=g:495912
Ostrov Shalyga	id=g:495913
Shalyapina	id=g:495914
Shalya	id=g:495915
Shaly	id=g:495916
Shalushka	id=g:495917
Shalushka	id=g:495918
Shalupovo	id=g:495919
Shaltyk	id=g:495920
Ostrova Shal’skiye	id=g:495921
Shal’skiy	id=g:495922
Ozero Shalozero	id=g:495923
Shalovo	id=g:495924
Shalovo	id=g:495925
Shalovo	id=g:495926
Shalovo	id=g:495927
Shalovka	id=g:495928
Shalonino	id=g:495929
Shalonik	id=g:495930
Shalonichnaya	id=g:495931
Ozero Shalomot’yavr	id=g:495932
Shaloch’	id=g:495933
Shaloch’	id=g:495934
Ozero Shalm-Yarvi	id=g:495935
Shalma	id=g:495936
Shalkinskiy	id=g:495937
Shalkino	id=g:495938
Shalinskiy Rayon	id=g:495939
Shalinskiy Rayon	id=g:495940
Shalinka	id=g:495941
Shalimovo Vtoroye	id=g:495942
Shalimovo Pervoye	id=g:495943
Shalimovo	id=g:495944
Shalimovo	id=g:495945
Shalimovo	id=g:495946
Shalimovka	id=g:495947
Shalimovka	id=g:495948
Shalimovka	id=g:495949
Ostrov Shalim	id=g:495950
Ostrov Shalim	id=g:495951
Svetlaya	id=g:495952
Shalikovo	id=g:495953
Shalikha	id=g:495954
Shalib	id=g:495955
Shali	id=g:495956
Shali	id=g:495957
Shalgovaara	id=g:495958
Shalginka	id=g:495959
