Qaanaaq	id=g:3831208
Leven Ø	id=g:3831323
Kap Leiper	id=g:3831324
Kap Leiningen	id=g:3831325
Leidy Gletscher	id=g:3831326
Kap Lee	id=g:3831327
Langfjeld	id=g:3831328
Landsø	id=g:3831329
Lafayette Bugt	id=g:3831330
Knud Rasmussen Gletscher	id=g:3831331
Knøsen	id=g:3831332
Knorr Øer	id=g:3831333
Kløftø	id=g:3831334
Kissel Gletscher	id=g:3831335
Kiatak	id=g:3831336
Kiatak	id=g:3831337
Kap Kent	id=g:3831338
Kap Kenrick	id=g:3831339
Kâvigârssuk	id=g:3831340
Kangigdlît	id=g:3831341
Kangermiutarssuaq	id=g:3831342
Kangerlussuaq	id=g:3831343
Kangerluarsuk	id=g:3831344
Kangeq	id=g:3831345
Kangeq	id=g:3831346
Kangeq	id=g:3831347
Kagdlûssat	id=g:3831348
Josephine Peary Ø	id=g:3831349
Josephine Headland	id=g:3831350
John Brown Kyst	id=g:3831351
John Brown Iskappe	id=g:3831352
Joe Ø	id=g:3831353
Jensen Pynt	id=g:3831354
Kap Jefferson	id=g:3831355
Jægerstien	id=g:3831356
Kap Jackson	id=g:3831357
Innartalik	id=g:3831358
Ivnarssuaq	id=g:3831359
Ivnârqigsorssuaq	id=g:3831360
Ivnaligssûp Timimiutai	id=g:3831361
Ivdlernârssugssuaq	id=g:3831362
Ivar Berendsen Gletscher	id=g:3831363
Itivdliarssuk	id=g:3831364
Itilleq	id=g:3831365
Iterdlagssûp Qíngua	id=g:3831366
Isussik	id=g:3831367
Issuusarsuit Sammiutaat	id=g:3831368
Ismågereden	id=g:3831369
Isbjørn Harbor	id=g:3831370
Isbjørneø	id=g:3831371
Ippik	id=g:3831372
Iperaataq	id=g:3831373
Inuarfissuaq	id=g:3831374
Innartallit	id=g:3831375
Iniartorfik	id=g:3831376
Inglefield Land	id=g:3831377
Inglefield Bredning	id=g:3831378
Kap Inglefield	id=g:3831379
Kap Ingersoll	id=g:3831380
Kap Independence	id=g:3831381
Inalugssuaq	id=g:3831382
Íkátupaluk	id=g:3831383
Íkátupaluk	id=g:3831384
Igssûssarssuit Sermia	id=g:3831385
Igdluluarssuit Gletscher	id=g:3831386
Igdlernârssuk	id=g:3831387
Igdlernap Nûa	id=g:3831388
Igánaq	id=g:3831389
Ikersuaq	id=g:3831390
Hurlbut Gletscher	id=g:3831391
Humboldt Gletscher	id=g:3831392
Hubbard Gletscher	id=g:3831393
Hoppner Næs	id=g:3831394
Højbjerg	id=g:3831395
Hiawatha Gletscher	id=g:3831396
Heywood Bakke	id=g:3831397
Qeqertarsuaq	id=g:3831398
Henryk Arctowski Iskappe	id=g:3831399
Helland Gletscher	id=g:3831400
Heilprin Ø	id=g:3831401
Heilprin Gletscher	id=g:3831402
Hatherton Bugt	id=g:3831403
Kap Hatherton	id=g:3831404
Harward Øer	id=g:3831405
Hartstene Bugt	id=g:3831406
Hart Gletscher	id=g:3831407
Harris Bakke	id=g:3831408
Sermersuak	id=g:3831409
Hannah Ø	id=g:3831410
Kap Handy	id=g:3831411
Kap Hamilton	id=g:3831412
Halls Rest	id=g:3831413
Hakluyt Ø	id=g:3831414
Haffner Bjerg	id=g:3831415
Kap Grinnel	id=g:3831416
Graptolit Næsset	id=g:3831417
Granville Fjord	id=g:3831418
Gonioceras Bugt	id=g:3831419
Kap Godthåb	id=g:3831420
Kap Godfred Hansen	id=g:3831421
George Ø	id=g:3831422
Gade Gletscher	id=g:3831423
Freuchen Nunatakker	id=g:3831424
Kap Frederik VII	id=g:3831425
Franklin Ø	id=g:3831426
Kap Francis	id=g:3831427
Four Mile Dal	id=g:3831428
Foulke Havn	id=g:3831429
Foulke Fjord	id=g:3831430
Fossil Bugt	id=g:3831431
Force Bugt	id=g:3831432
Kap Forbes	id=g:3831433
Five Glacier Dal	id=g:3831434
Fitz Clarence Rock	id=g:3831435
Fisher Øer	id=g:3831436
Field Bjerg	id=g:3831437
Kap Field	id=g:3831438
Farquhar Gletscher	id=g:3831439
Fan Gletscher	id=g:3831440
Faith Gletscher	id=g:3831441
Etah	id=g:3831442
Eripassut	id=g:3831443
Eqi	id=g:3831444
Eqalussuaasaq	id=g:3831445
Eqalulik	id=g:3831446
Eqalugdlip Qeqertâ	id=g:3831447
Eqalugaarsuit	id=g:3831448
Kap Eisendecker	id=g:3831449
Kap Edvard Holm	id=g:3831450
Dundas	id=g:3831451
Kap Dudley Digges	id=g:3831452
Dryasbjerg	id=g:3831453
Drown Bugt	id=g:3831454
Drinkard Bluff	id=g:3831455
Dodge Gletscher	id=g:3831456
Dodge Bjerg	id=g:3831457
Døcker Smith Gletscher	id=g:3831458
Djævlekløft	id=g:3831459
Diebitsch Gletscher	id=g:3831460
De Dødes Fjord	id=g:3831461
Daugård-Jensen Land	id=g:3831462
Dallas Bugt	id=g:3831463
Crystal Palace Klipper	id=g:3831464
Crozier Ø	id=g:3831465
Cripple Beach	id=g:3831466
Crimson Cliffs	id=g:3831467
Kap Coppinger	id=g:3831468
Kap Constitution	id=g:3831469
Igannaq	id=g:3831470
Clements Markham Gletscher	id=g:3831471
Kap Clay	id=g:3831472
Chield Gletscher	id=g:3831473
Chester Bjerg	id=g:3831474
Chamberlin Gletscher	id=g:3831475
Kap Chalon	id=g:3831476
Cecil Gletscher	id=g:3831477
Castle Cliff	id=g:3831478
Cass Fjord	id=g:3831479
Carey Øer	id=g:3831480
Canyon Elv	id=g:3831481
Kap Calhoun	id=g:3831482
Cairn Pynt	id=g:3831483
Cache Pynt	id=g:3831484
Bushnan Ø	id=g:3831485
Bu Gletscher	id=g:3831486
Bryant Ø	id=g:3831487
Bryant Gletscher	id=g:3831488
Kap Bryan	id=g:3831489
Brother John Gletscher	id=g:3831490
Brooks Ø	id=g:3831491
Bowdoin Gletscher	id=g:3831492
Bowdoin Fjord	id=g:3831493
Bowdoin	id=g:3831494
Booth Sund	id=g:3831495
Bonsall Øer	id=g:3831496
Blomsterbækken	id=g:3831497
Blackwood Næs	id=g:3831498
Bjørnehiet	id=g:3831499
Bjørling Ø	id=g:3831500
Bewerly Fjelde	id=g:3831501
Bessel Fjord	id=g:3831502
Berlingske Gletscher	id=g:3831503
Benton Bugt	id=g:3831504
Kap Bemerton	id=g:3831505
Bastion Pynt	id=g:3831506
Barden Bugt	id=g:3831507
Bancroft Bugt	id=g:3831508
Bamse Gletscher	id=g:3831509
Balgoni Øer	id=g:3831510
Autorussarssuaq	id=g:3831511
Aunartoq	id=g:3831512
Aubrey Bjerg	id=g:3831513
Atrypa Elv	id=g:3831514
Kangaarsuk	id=g:3831515
Asîngánguit	id=g:3831516
Arctic Highlands	id=g:3831517
Appat Appai	id=g:3831518
Appalilik	id=g:3831519
Appaliarsuit	id=g:3831520
Appaarsuit	id=g:3831521
Anoritoq	id=g:3831522
Angiussak	id=g:3831523
Alûssaq	id=g:3831524
Alida Sø	id=g:3831525
Ullersuaq	id=g:3831526
Aleqatsiaq Fjord	id=g:3831527
Alákariapaluk	id=g:3831528
Alajaq	id=g:3831529
Akuliarusersuaq	id=g:3831530
Akuliaruserssûp Nûa	id=g:3831531
Akuliaruseq	id=g:3831532
Akia	id=g:3831533
Ajakos Skær	id=g:3831534
Agpaliarssulipaluk	id=g:3831535
Agpaliarssuligssuaq	id=g:3831536
Kap Agassiz	id=g:3831537
Advance Bugt	id=g:3831538
Adams Bjerg	id=g:3831539
Inersussat	id=g:3831540
Academy Gletscher	id=g:3831541
Academy Bugt	id=g:3831542
Kap Abernathy	id=g:3831543
Aappilattoq	id=g:3831544
Aappaluttorsuaq	id=g:3831545
Bylot Sound	id=g:3831678
Ivnag	id=g:3831679
Arferfik	id=g:3831680
Ivnak	id=g:3831681
Dundas	id=g:3831682
Thule Air Base	id=g:3831683
Uummannaq	id=g:3831684
Seqquussuaq	id=g:3831698
Iterlak	id=g:3831699
Paattorfiarsuk	id=g:3831700
Kangilinnguit	id=g:6295666
Tasiilaq	id=g:6295687
Angisoq	id=g:6295688
Aputiteeq	id=g:6295689
Narsarsuaq	id=g:6295690
Constable Pynt	id=g:6295691
Daneborg	id=g:6295692
Danmarkshavn	id=g:6295693
Egedesminde	id=g:6295694
Frederikshaab	id=g:6295695
Groennedal	id=g:6295696
Godthaab / Nuuk	id=g:6295697
Holsteinsborg	id=g:6295698
Julianehaab	id=g:6295699
Jacobshavn Lufthavn	id=g:6295700
Kulusuk Lufthavn	id=g:6295701
Cape Tobin Automated Reporting Station	id=g:6295702
Prins Christian Sund	id=g:6295703
Sdr Stroemfjord	id=g:6295704
Thule A. B.	id=g:6295705
Scoresbysund	id=g:6301404
Tuppiap Qeqertaa	id=g:6419083
Summit Camp	id=g:6949601
Angissq LORAN-C Transmission Mast	id=g:7282236
Ameralik Span, Tower North 1	id=g:7283852
Ameralik Span, Tower North 2	id=g:7283853
Ameralik Span, Tower North 3	id=g:7283854
Ameralik Span, Tower North 4	id=g:7283855
Nuuk Substation	id=g:7290109
Avannaarsuani Tunumilu Nuna Allanngutsaaliugaq	id=g:7422379
Pituffik	id=g:7422509
Yundum College	id=g:2411650
Banjul International Airport	id=g:2411651
Old Yundum	id=g:2411652
Yundum	id=g:2411653
Yuna	id=g:2411654
Yorro Pendeh	id=g:2411655
Yoro Ya	id=g:2411656
Yoro Cheke	id=g:2411657
Yoro Beri Kunda	id=g:2411658
Yora Jula	id=g:2411659
Yonah	id=g:2411660
Yida	id=g:2411661
Yelitenda	id=g:2411662
Yarobawal	id=g:2411663
Yallal Bah Ker De Kumba	id=g:2411664
Yallal Ba	id=g:2411665
Yallal	id=g:2411666
Yallal	id=g:2411667
Wurokang	id=g:2411668
Wurambang Bolon	id=g:2411669
Wulumisa	id=g:2411670
Wuli	id=g:2411671
Wulem Kunda	id=g:2411672
Woi Buray	id=g:2411673
Wirdeba	id=g:2411674
Willingara Samba Tako	id=g:2411675
Willingara Kejaw	id=g:2411676
Willingara Ba	id=g:2411677
Willingara	id=g:2411678
Willingara	id=g:2411679
Willingara	id=g:2411680
Willingara	id=g:2411681
Western Ridges	id=g:2411682
Western Division	id=g:2411683
Wessedung	id=g:2411684
Wellingara Yoro	id=g:2411685
Wellingara Nding	id=g:2411686
Wellingara Momodou	id=g:2411687
Wellingara Mansal	id=g:2411688
Wellingara Galo	id=g:2411689
Wellingara Ello	id=g:2411690
Wellingara Bubacarr Bah	id=g:2411691
Wellingara Ba	id=g:2411692
Wellingara Alhaji Alpha	id=g:2411693
Wellingara Adama	id=g:2411694
Wellingara	id=g:2411695
Wellingara	id=g:2411696
Wellingara	id=g:2411697
Wellingara	id=g:2411698
Wellingara	id=g:2411699
Welingara	id=g:2411700
Wayahon	id=g:2411701
Wassu Bolon	id=g:2411702
Wassu	id=g:2411703
Wassadung Demba	id=g:2411704
Wassadun	id=g:2411705
Walli Kunda	id=g:2411706
Walliba Kunda	id=g:2411707
Walalan	id=g:2411708
Wakilarr	id=g:2411709
Upper Saloum	id=g:2411710
Upper River Division	id=g:2411711
Upper Niumi District	id=g:2411712
Upper Baddibu	id=g:2411714
Upert	id=g:2411715
Tyba	id=g:2411716
Tyba	id=g:2411717
Turnbull Bolon	id=g:2411718
Turi Kunda	id=g:2411719
Ture Kunda	id=g:2411720
Turan	id=g:2411721
Tunjina	id=g:2411722
Tumbul Tanga	id=g:2411723
Tuman Tenda	id=g:2411724
Tumani Fati	id=g:2411725
Tujering River	id=g:2411726
Tujering	id=g:2411727
Tubeya	id=g:2411728
Tubaya	id=g:2411729
Tuba-Wuli	id=g:2411730
Tuba Wollof	id=g:2411731
Tuba Wappa	id=g:2411732
Tuba Tafsir	id=g:2411733
Tuba Sandu Kotor	id=g:2411734
Tuba Pakala	id=g:2411735
Tuba Ousman Boye	id=g:2411736
Tubanding	id=g:2411737
Tuba Mbakeh	id=g:2411738
Tubamadadi	id=g:2411739
Tuba Kuta	id=g:2411741
Tuba Kuta	id=g:2411742
Tuba Kuta	id=g:2411743
Tubakuta	id=g:2411744
Tubakuta	id=g:2411745
Tuba Koto	id=g:2411746
Tuba Kolong	id=g:2411747
Tuba Gumbuya	id=g:2411748
Tuba Demba Sama	id=g:2411749
Tuba Demba	id=g:2411750
Tuba Burey	id=g:2411751
Tubabkollon Point	id=g:2411752
Tuba	id=g:2411753
Tuba	id=g:2411754
Tuba	id=g:2411755
Tranquil	id=g:2411756
Trankill	id=g:2411757
Torro	id=g:2411758
Toro Tayem	id=g:2411759
Toro Mbaien	id=g:2411760
Torben	id=g:2411761
Torbeh Chindeh	id=g:2411762
Toranka Bantang	id=g:2411763
Toniataba Bolon	id=g:2411764
Toniataba	id=g:2411765
Toll Point	id=g:2411766
Toben	id=g:2411767
Tintinto	id=g:2411768
Tintiba	id=g:2411769
Tinkinjo	id=g:2411770
Timpa	id=g:2411771
Timpa	id=g:2411772
Timbintu	id=g:2411773
Timbing Kortor	id=g:2411774
Tiaba	id=g:2411775
Tia	id=g:2411776
Thistle Bolon	id=g:2411777
Tento Malick Bah	id=g:2411778
Tento Madi	id=g:2411779
Tenkoli	id=g:2411780
Tengkul	id=g:2411781
Teneng Fara	id=g:2411782
Tendi Bolon	id=g:2411783
Tendaba Bolon	id=g:2411784
Tendaba	id=g:2411785
Tembetto	id=g:2411786
Temanto Sana	id=g:2411787
Temanto Demba Jamang	id=g:2411788
Temanto Demba	id=g:2411789
Temanto	id=g:2411790
Temanto	id=g:2411791
Tawtoh	id=g:2411792
Tawa Kaltu	id=g:2411793
Tasili	id=g:2411794
Tasili	id=g:2411795
Tarburung Kotor	id=g:2411796
Tankung Bolon	id=g:2411797
Tankular	id=g:2411798
Tanku Bolon	id=g:2411799
Tankong Kunda	id=g:2411800
Tankanto	id=g:2411801
Tanji Manjago	id=g:2411802
Tanji Fish Curing Site	id=g:2411803
River Tanji	id=g:2411804
Tanji	id=g:2411805
Tanene	id=g:2411806
Tandi Wollof	id=g:2411807
Tandi Kunda	id=g:2411808
Tandi	id=g:2411809
Tampoto Koto	id=g:2411810
Tampoto	id=g:2411811
Tampoto	id=g:2411812
Tambasensan	id=g:2411813
Tamba Nani	id=g:2411814
Tambana Bolon	id=g:2411815
Tambana	id=g:2411816
Tambakunda	id=g:2411817
Tamba Koto Bolon	id=g:2411818
Tamba Koto	id=g:2411819
Tambajang Forest Park	id=g:2411820
Tambaco Swamp	id=g:2411821
Tamanso Kunda	id=g:2411822
Tally Ya	id=g:2411823
Tallen	id=g:2411824
Talito Musa	id=g:2411825
Talito Luntang	id=g:2411826
Talinding Kunjang	id=g:2411827
Talen Wollof	id=g:2411828
Talen Pol	id=g:2411829
Taindaitor	id=g:2411830
Taimang	id=g:2411831
Taifa Seekou	id=g:2411832
Taifa Amadou	id=g:2411833
Taibatu N’Yang-en	id=g:2411834
Taibatu	id=g:2411835
Taibatu	id=g:2411836
Taiba	id=g:2411837
Taiba	id=g:2411838
Taiba	id=g:2411839
Tabo Kotor	id=g:2411840
Tabo Koto	id=g:2411841
Tabokoto	id=g:2411842
Tabirereh Bolon	id=g:2411843
Tabaworo Kunda	id=g:2411844
Taba Woro	id=g:2411845
Tabanding	id=g:2411846
Taba Nding	id=g:2411847
Tabanding	id=g:2411848
Tabanding	id=g:2411849
Tabandadong Bolon	id=g:2411850
Tabanani	id=g:2411851
Tabanani	id=g:2411852
Taba Nani	id=g:2411853
Tabanani	id=g:2411854
Tabajang Kisimasu	id=g:2411855
Tabajang	id=g:2411856
Tabaiel	id=g:2411857
Sututa	id=g:2411858
Sutu Sinjang	id=g:2411859
Suturah	id=g:2411860
Sutukung Bani Forest Park	id=g:2411861
Sutukung	id=g:2411862
Sutukoba	id=g:2411863
Sutuko	id=g:2411864
Suol	id=g:2411865
Sun Kunda	id=g:2411866
Sumbundu	id=g:2411867
Sumakunda Samba	id=g:2411868
Sumakunda Mamudu	id=g:2411869
Suma Kunda Koto	id=g:2411870
Sumakunda Fye	id=g:2411871
Sumakunda Bakary	id=g:2411872
Suma Kunda	id=g:2411873
Suma Kunda	id=g:2411874
Sulolor Fula Kunda	id=g:2411875
Sulolor	id=g:2411876
Sukuta	id=g:2411877
Sukuta	id=g:2411878
Sukuta	id=g:2411879
Sukuta	id=g:2411880
Sukuta	id=g:2411881
Sukur	id=g:2411882
Sukotto	id=g:2411883
Sukoto Fula	id=g:2411884
Sudowol	id=g:2411885
Suarra Kunda	id=g:2411886
Suara Point	id=g:2411887
Stop-in-Time Bank	id=g:2411888
Sotuma Samba Koi	id=g:2411889
Sotuma Sairey	id=g:2411890
Sotuma Sainy	id=g:2411891
Sotuma	id=g:2411892
Sotoma	id=g:2411893
Sotokoi	id=g:2411894
Sotokoi	id=g:2411895
Sotokoi	id=g:2411896
Sotokoi	id=g:2411897
Sortokoi	id=g:2411898
Sor Kunda	id=g:2411899
Sondeh Densay	id=g:2411900
Somita Selelew	id=g:2411901
Somita Saniang Kunda	id=g:2411902
Somita	id=g:2411903
Somita	id=g:2411904
Soma	id=g:2411905
Solifor Point	id=g:2411906
Sohm	id=g:2411907
Sofaniama	id=g:2411908
Sobaly	id=g:2411909
Sittanunku	id=g:2411910
Sittanunku	id=g:2411911
Sitta	id=g:2411912
Sita Bantang	id=g:2411913
Sise Kunda	id=g:2411914
Sintet	id=g:2411915
Sintchi Kattaba	id=g:2411916
Sinsu Njiebeh	id=g:2411917
Sinsu Mousa	id=g:2411918
Sinsu Kusala	id=g:2411919
Sinsu Demba	id=g:2411920
Sinki	id=g:2411921
Sinchu Yoro	id=g:2411922
Sinchu Wallbeh	id=g:2411923
Sinchu Tamsir	id=g:2411924
Sinchu Sara	id=g:2411925
Sinchu Sambar	id=g:2411926
Sinchu Samba Koumbel	id=g:2411927
Sinchu Omar See	id=g:2411928
Sinchu Omar	id=g:2411929
Sinchu Musa	id=g:2411930
Sinchu Medina	id=g:2411931
Sinchu Kali	id=g:2411932
Sinchu Kai-Hai	id=g:2411933
Sinchu Jenun Touray	id=g:2411934
Sinchu Jajeh Sagnia	id=g:2411935
Sinchu Gundo	id=g:2411936
Sinchu Garrba	id=g:2411937
Sinchu Garber	id=g:2411938
Sinchu Fye	id=g:2411939
Sinchu Dumbe	id=g:2411940
Sinchu Dembel	id=g:2411941
Sinchu Demba	id=g:2411942
Sinchu Danku	id=g:2411943
Sinchu Chamalel	id=g:2411944
Sinchu Bora	id=g:2411945
Sinchu Boggal	id=g:2411946
Sinchu Baya	id=g:2411947
Sinchu Bamba	id=g:2411948
Sinchu Balla	id=g:2411949
Sinchu Bachy	id=g:2411950
Sinchu Alpha Sain	id=g:2411951
Sinchang Saradu	id=g:2411952
Sinchang Njokala	id=g:2411953
Sinchang Keykala	id=g:2411954
Sinchang	id=g:2411955
Simbara Tukulor	id=g:2411956
Simbara Sinchu Manjai	id=g:2411957
Simbara Ngor	id=g:2411958
Simbara Madi Sisi	id=g:2411959
Simbara Ker Mafaal	id=g:2411960
Simbara Ker Chaindu	id=g:2411961
Simbara Kai	id=g:2411962
Simbara Bolon	id=g:2411963
Simbadu	id=g:2411964
Silla Kunda	id=g:2411965
Si Kunda Forest Park	id=g:2411966
Si Kunda	id=g:2411967
Si Kunda	id=g:2411968
Si Kunda	id=g:2411969
Si Kunda	id=g:2411970
Sikon	id=g:2411971
Sika Point	id=g:2411972
Sika Bajonkoto	id=g:2411973
Sika Baduma	id=g:2411974
Sifula	id=g:2411975
Sifoe	id=g:2411976
Sibito	id=g:2411977
Sibi Nding	id=g:2411978
Sibikuroto Forest Park	id=g:2411979
Sibi Kuroto Forest Park	id=g:2411980
Sibanor	id=g:2411981
Sibanor	id=g:2411982
Shindifula	id=g:2411983
Sey Kunda	id=g:2411985
Seven Foot Bank	id=g:2411986
Sering Sahor	id=g:2411987
Sere Kunda NDing	id=g:2411988
Sere Kunda	id=g:2411989
Sepu Island	id=g:2411990
Seno Bajonki	id=g:2411991
Sendebo	id=g:2411992
Semangara	id=g:2411993
Selety	id=g:2411994
Seleri Kunda	id=g:2411995
Schooner Gap	id=g:2411996
Sawadi Kunda	id=g:2411997
Sasita	id=g:2411998
Saruja	id=g:2411999
Sarre Kunda	id=g:2412000
Sarm	id=g:2412001
Sarkuli Kunda	id=g:2412002
Saringa	id=g:2412003
Sare Yorrori	id=g:2412004
Sare Yoro Yeli	id=g:2412005
Sare Yoro Golori	id=g:2412006
Sare Yoro Egge	id=g:2412007
Sare Yoro Buka	id=g:2412008
Sare Yoro	id=g:2412009
Sare Yesu	id=g:2412010
Sare Wonku	id=g:2412011
Sare Tuluwuleng	id=g:2412012
Sare Tobi	id=g:2412013
Sare Timbo	id=g:2412014
Sare Talata	id=g:2412015
Sare Suna	id=g:2412016
Sare Sofi	id=g:2412017
Sare Silere	id=g:2412018
Sare Sarko	id=g:2412019
Sare Sarjo Biloh	id=g:2412020
Sare Sandi	id=g:2412021
Sare Sambel Kunda	id=g:2412022
Sare Samba Tene M’Balde	id=g:2412023
Sare Samba Taku	id=g:2412024
Sare Samba Takor	id=g:2412025
Sare Sambaru	id=g:2412026
Sare Samba Ngai	id=g:2412027
Sare Samba Kah	id=g:2412028
Sare Samba Jidah	id=g:2412029
Sare Samba	id=g:2412030
Sare Samba	id=g:2412031
Sare Salieu	id=g:2412032
Sare Sajo	id=g:2412033
Sare Saidy	id=g:2412034
Sare Sabo	id=g:2412035
Sare Pateh	id=g:2412036
Sare Pateh	id=g:2412037
Sare Pateh	id=g:2412038
Sare Pate	id=g:2412039
Sare Pate	id=g:2412040
Sare Parteh Jameh	id=g:2412041
Sare Nyagna	id=g:2412042
Sare N’Jobo	id=g:2412043
Sare Njagga	id=g:2412044
Sare N’Gatam	id=g:2412045
Sare N’Gai	id=g:2412046
Sare Ngai	id=g:2412047
Sare Ngaba	id=g:2412048
Sare Nfali	id=g:2412049
Sare Ndala	id=g:2412050
Sare Musa	id=g:2412051
Sare Muntaha	id=g:2412052
Sare Mowdeh	id=g:2412053
Sare Modu Bah	id=g:2412054
Sare Modi Kulo	id=g:2412055
Sare Modi Kah	id=g:2412056
Sare Mbye	id=g:2412057
Sare Mbye	id=g:2412058
Sare M’Bunka	id=g:2412059
Sare Maunde	id=g:2412060
Sare Marie	id=g:2412061
Sare Mansong	id=g:2412062
Sare Mansala	id=g:2412063
Sare Mamoudu	id=g:2412064
Sare Malang	id=g:2412065
Sare Mala	id=g:2412066
Sare Madi	id=g:2412067
Sare Madi	id=g:2412068
Sare Madi	id=g:2412069
Sare Luntang	id=g:2412070
Sare Louba	id=g:2412071
Sare Lalu	id=g:2412072
Sare Lalla	id=g:2412073
Sare Kunda	id=g:2412074
Sare Koki	id=g:2412075
Sare Kinte	id=g:2412076
Sare Kannen	id=g:2412077
Sare Kanaman	id=g:2412078
Sare Jutah	id=g:2412079
Sare Juley	id=g:2412080
Sare Jowbe	id=g:2412081
Sare Jideh	id=g:2412082
Sare Jide	id=g:2412083
Sare Jawbeh	id=g:2412084
Sare Jatta	id=g:2412085
Sare Jarje	id=g:2412086
Sare Jam Gido	id=g:2412087
Sare Jallow	id=g:2412088
Sare Jabel	id=g:2412089
Sareh Mowndeh	id=g:2412090
Sare Hande	id=g:2412091
Sare Hamady	id=g:2412092
Sare Hamady	id=g:2412093
Sare Gubbu	id=g:2412094
Sare Goral Bah	id=g:2412095
Sare Gelel	id=g:2412096
Sare Gela	id=g:2412097
Sare Geda	id=g:2412098
Sare Ganya	id=g:2412099
Sare Ganardu	id=g:2412100
Sare Galajo	id=g:2412101
Sare Futa	id=g:2412102
Sare Fonkoi	id=g:2412103
Sare Fodigey	id=g:2412104
Sare Duto	id=g:2412105
Sare Dene	id=g:2412106
Sare Demba Dardoh	id=g:2412107
Sare Demba	id=g:2412108
Sare Demba	id=g:2412109
Sare Debo	id=g:2412110
Sare Dadi	id=g:2412111
Sare Dadi	id=g:2412112
Sare Dadeh	id=g:2412113
Sare Dabo	id=g:2412114
Sare Chikam	id=g:2412115
Sare Cherno	id=g:2412116
Sare Buluma	id=g:2412117
