Wādī Medhar Brega	id=g:2469031
Ţawīl Mas‘ūd	id=g:2469098
Bir Messaoud	id=g:2469099
Mastūtah	id=g:2469100
Mastūtah	id=g:2469101
Hanshīr Mastūrah	id=g:2469102
Bi’r Mastūrah	id=g:2469103
Mast el Kelb	id=g:2469104
Wādī Massouge	id=g:2469105
Jabal Massouge	id=g:2469106
Massicault	id=g:2469107
Chott el Massekh	id=g:2469108
‘Ayn Masrab	id=g:2469109
Masjid ‘Īsá	id=g:2469110
Zamlat al Masīlah	id=g:2469111
Wādī al Masīlah	id=g:2469112
Wādī Masīlah	id=g:2469113
Plateau de Masīlah	id=g:2469114
Oued el Masid	id=g:2469115
Jabbānat al Masīd	id=g:2469116
Jabal al Masīd	id=g:2469117
Jebel Msid	id=g:2469118
‘Uwaynat Mashtá Ḩalīmah	id=g:2469119
Mashtá ash Shuwayshah	id=g:2469120
Mashtá al Anad	id=g:2469121
Mechta Abd Allah Ben Sassi	id=g:2469122
Jabbānat al Mashrī	id=g:2469123
‘Ayn al Mashrī	id=g:2469124
Oued el Mechra	id=g:2469125
Burj Mashhad Şāliḩ	id=g:2469126
Bi’r Mashhad Şāliḩ	id=g:2469127
Mashhad Riwāq	id=g:2469128
Mashhad Bū Darbālah	id=g:2469129
Wādī al Mashhad	id=g:2469130
Jebel Mecherga	id=g:2469131
Sabkhat Mashāqīq	id=g:2469132
Hanshīr al Mashāhīr	id=g:2469133
‘Ayn Mashāhid	id=g:2469134
Msatria	id=g:2469135
Msatria	id=g:2469136
Kudyat al Masārib	id=g:2469137
Oued Massenagh	id=g:2469138
Mu‘tamadīyat Masākin	id=g:2469139
Masākin	id=g:2469140
Oued Messaïda	id=g:2469141
Oued el Mashel	id=g:2469142
‘Ayn al Masāḩil	id=g:2469143
Aïn Merzoug	id=g:2469144
Aïn Meriem	id=g:2469145
Bi’r Marwān	id=g:2469146
Oued Maarouf	id=g:2469147
Marsá Tal Fan	id=g:2469148
Mers el Bejah	id=g:2469149
Mers el Bhima	id=g:2469150
Shaţţ al Marsá	id=g:2469151
Ra’s Marsá	id=g:2469152
Sāniyat Mars	id=g:2469153
Marjat Marraoua	id=g:2469154
Oued Marguellil	id=g:2469155
Wādī al Marqad	id=g:2469156
‘Ayn al Marqad	id=g:2469157
Bi’r Marqab Muḩammad	id=g:2469158
Jebel Mergueb et Trok	id=g:2469159
Hanshīr al Marqab al Ghurābah	id=g:2469160
Jebel Maargaba	id=g:2469161
Kudyat al Marqab	id=g:2469162
Kef el Mergueb	id=g:2469163
Kāf al Marqab	id=g:2469164
Jebel Mergueb	id=g:2469165
Jabal al Marqab	id=g:2469166
Henchir Mergueb	id=g:2469167
Bled Margueb	id=g:2469168
Ra’s Marmar	id=g:2469169
‘Ayn al Marjah	id=g:2469170
‘Ayn al Marjah	id=g:2469171
Oued el Merj	id=g:2469172
Mu‘tamadīyat Mārith	id=g:2469173
Mārith	id=g:2469174
Oued el Mrira	id=g:2469175
Oglat el Mrira	id=g:2469176
Siouf el Mrira	id=g:2469177
Kudyat al Marīrah	id=g:2469178
Wādī al Marīr	id=g:2469179
Wādī al Marīr	id=g:2469180
Wādī al Marīr	id=g:2469181
‘Ayn al Marīr	id=g:2469182
Marie Antoinette	id=g:2469183
Oued Maghrat	id=g:2469184
Ra’s al Marhesia	id=g:2469185
Jabal al Marerhni	id=g:2469186
Jebel Marchana	id=g:2469187
Jabal Marbaḩ al Aşfar	id=g:2469188
‘Ayn al Marbaḩ	id=g:2469189
Oued el Merazig	id=g:2469190
Marāzīq	id=g:2469191
Marāsin	id=g:2469192
‘Uqlat Marārah	id=g:2469193
Sayḩ al Marāqib	id=g:2469194
Hanshīr al Marākib	id=g:2469195
Ţawīl al Mar’ah	id=g:2469196
Bir el Mektouf	id=g:2469197
Ghurd al Maqtalah	id=g:2469198
Maqţa‘ al Maghāribī	id=g:2469199
‘Ayn Maqţa‘ al Jibs	id=g:2469200
Oued el Mekta	id=g:2469201
Sabkhat al Maqţa‘	id=g:2469202
Jebel el Mokta	id=g:2469203
Bi’r al Maqţa‘	id=g:2469204
Wādī Maqsam Farāţīsah	id=g:2469205
Maqsam at Turāb	id=g:2469206
Hanshīr Maqsam at Touffa	id=g:2469207
Hanshīr Maqsam al Quzzāḩ	id=g:2469208
Hanshīr Maqsam al Karmah	id=g:2469209
Wādī Maqsam al Ghūlah	id=g:2469210
Hanshīr Maqsam al Fayjal	id=g:2469211
Oued el Meksem	id=g:2469212
Shu‘bat al Maqsam	id=g:2469213
Shaţţ al Maqsam	id=g:2469214
Hanshīr al Maqsam	id=g:2469215
Ghadīr al Maqsam	id=g:2469216
Zamlat al Maqrūnah	id=g:2469217
Wādī al Maqrūnah	id=g:2469218
Wādī al Maqrūn	id=g:2469219
Oued el Magroun	id=g:2469220
Wādī al Maqrūn	id=g:2469221
Wādī al Maqrūn	id=g:2469222
Shu‘bat al Maqrūn	id=g:2469223
Hanshīr al Maqrūn	id=g:2469224
Hanshīr al Maqrūn	id=g:2469225
Bi’r al Maqrūn	id=g:2469226
Bir el Magroun	id=g:2469227
Bir Magroun	id=g:2469228
Aïn el Magroun	id=g:2469229
Mégrine	id=g:2469230
‘Ayn al Maqranāt	id=g:2469231
Wādī Maqran al Kalīl	id=g:2469232
Oued el Magran	id=g:2469233
Kudyat al Maqran	id=g:2469234
Jabal Maqran	id=g:2469235
Oued el Megaïz	id=g:2469236
Zumaylat al Ma‘qil	id=g:2469237
Bi’r al Ma‘qil	id=g:2469238
Wādī al Maqātilah	id=g:2469239
Sabkhat al Maqātilah	id=g:2469240
Jabbānat al Maqāţi‘	id=g:2469241
Jebel el Mkata	id=g:2469242
Hanshīr Maqārīn Khaddām	id=g:2469243
Wādī Maqārīn	id=g:2469244
Bi’r al Maqārīn	id=g:2469245
Oued el Makabra	id=g:2469246
Aïn Makabra	id=g:2469247
Wādī Manzil Yūsuf	id=g:2469248
Mu‘tamadīyat Manzil Tamīm	id=g:2469249
Menzel Temime	id=g:2469250
Menzel Chaker	id=g:2469251
Manzil Sālim	id=g:2469252
Jebel Mennzel Moussa	id=g:2469253
Manzil Khayr	id=g:2469254
Manzil Kāmil	id=g:2469255
Menzel Jemil	id=g:2469256
Anse de Manzil Ismā‘īl	id=g:2469257
Menzel Heurr	id=g:2469258
Manzil Ḩarb	id=g:2469259
Jabal Manzil Ghūl	id=g:2469260
Manzil Dār Bū al Wā‘ir	id=g:2469261
Manzil Bū Zalafah	id=g:2469262
Mu‘tamadīyat Manzil Bū Ruqaybah	id=g:2469263
Menzel Bourguiba	id=g:2469264
Mu‘tamadīyat Manzil al Hādī Shākir	id=g:2469265
Bir el Menzla el Outani	id=g:2469266
Bi’r al Manzilah al Fawqānī	id=g:2469267
Menzel Abderhaman	id=g:2469268
Quwayrat al Manzil	id=g:2469269
Bi’r al Manzil	id=g:2469270
Manzil	id=g:2469271
Wādī al Manzah	id=g:2469272
Mu‘tamadīyat Manūbah	id=g:2469273
Manouba	id=g:2469274
Jabal al Manşūrīn	id=g:2469275
Shu‘bat Manşūr Bin Şūlah	id=g:2469276
Oued el Mannsourah	id=g:2469277
Wādī al Manşūrah	id=g:2469278
Ra’s Manşūrah	id=g:2469279
‘Ayn al Manşūrah	id=g:2469280
Oued Mansour	id=g:2469281
‘Uqlat Manşūr	id=g:2469282
Qar‘at Manşūr	id=g:2469283
Jabal Manşūr	id=g:2469284
Ḩasy Manşūr	id=g:2469285
Aïne Mannsour	id=g:2469286
Aïn Mannsour	id=g:2469287
Mennchia	id=g:2469288
Jabal al Manşaf	id=g:2469289
Manqūsh	id=g:2469290
Jebel el Menngoub	id=g:2469291
Jebel Menngoub	id=g:2469292
Bir Menngoub	id=g:2469293
Manqib ath Thanīyah	id=g:2469294
Manqab Iklia	id=g:2469295
Zamlat al Manqa‘	id=g:2469296
Wādī al Manqa‘	id=g:2469297
Wādī al Manqa‘	id=g:2469298
Jebel Mennjour	id=g:2469299
Sabkhat al Māniqah	id=g:2469300
Ra’s al Manfas	id=g:2469301
Qārat Manāzilah	id=g:2469302
Qulūb al Manāshi’	id=g:2469303
‘Ayn al Manārī	id=g:2469304
Ra’s al Manārah	id=g:2469305
Kef Mnara	id=g:2469306
Jebel Nara	id=g:2469307
Jebel Mnehala	id=g:2469308
Hanshīr al Manāfi‘	id=g:2469309
Bi’r al Manādilah	id=g:2469310
Ma‘mūrat Sīdī Stout	id=g:2469311
Wādī al Ma‘mūrah	id=g:2469312
Ras Maamoura	id=g:2469313
‘Uqlat Mâmrat	id=g:2469314
Jabbānat al Ma‘marīyah	id=g:2469315
Oued el Melouia	id=g:2469316
Aïn Malouia	id=g:2469317
Malta	id=g:2469318
Henchir el Mellouli	id=g:2469319
Bir el Mellouli	id=g:2469320
Melloulèche	id=g:2469321
Mallūl	id=g:2469322
Jebel el Mellaha	id=g:2469323
Bir el Mellah	id=g:2469324
Bir Malla	id=g:2469325
Wādī Malīz	id=g:2469326
Kudyat al Malīz	id=g:2469327
Mellita	id=g:2469328
Mellita	id=g:2469329
Bi’r al Malikāt	id=g:2469330
Aïne el Malah	id=g:2469331
Chegguet el Malah	id=g:2469332
Wādī al Malāmis	id=g:2469333
Jabal al Malālīs	id=g:2469334
Bi’r al Malāliḩah	id=g:2469335
Jebel el Melaha	id=g:2469336
Wādī al Mal‘ab	id=g:2469337
Wādī al Mal‘ab	id=g:2469338
Jabal al Mal‘ab	id=g:2469339
Mu‘tamadīyat Makthar	id=g:2469340
Maktar	id=g:2469341
Jebel Maskine	id=g:2469342
Hanshīr al Makrla	id=g:2469343
Qārat al Makman	id=g:2469344
Ḩasy al Makman	id=g:2469345
Qar‘at al Makkī	id=g:2469346
Jebel Mekki	id=g:2469347
‘Irq al Makhzan	id=g:2469348
‘Ayn al Makhzan	id=g:2469349
Oued el Mekhrougua	id=g:2469350
Garet el Makhrougoa	id=g:2469351
‘Ayn al Makhraq	id=g:2469352
Jabal al Makhnaq	id=g:2469353
Ru’ays Makhlūf	id=g:2469354
Wādī Makhīlah	id=g:2469355
Garet el Mekharga	id=g:2469356
Kudyat al Makhānib	id=g:2469357
Makhālīf	id=g:2469358
Ra’s Makāmin Bū al Abyaḑ	id=g:2469359
Jabal Mājūrah	id=g:2469360
Mājūrah	id=g:2469361
Mājin Bū Qar‘ah	id=g:2469362
Mājin Bū al ‘Abbās	id=g:2469363
Mejen Bel Abbès	id=g:2469364
Jabal Mājin as Sāf	id=g:2469365
Mājin al Fajj	id=g:2469366
Wādī al Mājin	id=g:2469367
Oued el Majene	id=g:2469368
Wādī al Mājin	id=g:2469369
Wādī al Mājin	id=g:2469370
Wādī al Mājin	id=g:2469371
Hanshīr al Mājin	id=g:2469372
Hanshīr al Mājin	id=g:2469373
Hanshīr al Mājin	id=g:2469374
Zamlat al Mājil	id=g:2469375
Garaet Mejdoul	id=g:2469376
Bi’r al Majdhūbī	id=g:2469377
‘Ayn al Majdar	id=g:2469378
Wādī Majāz Stama	id=g:2469379
Oued Mezas el Sid	id=g:2469380
Majāz aş Şafā’ Shaţţ	id=g:2469381
Wādī Majāz aş Şafā’	id=g:2469382
Majāz ash Shīḩ	id=g:2469383
Wādī Majāz al Baqarah	id=g:2469384
Mu‘tamadīyat Majāz al Bāb	id=g:2469385
Majāz al Bāb	id=g:2469386
Monts de la Medjerda	id=g:2469387
Delta de la Majardah	id=g:2469388
‘Urqūb al Ma‘īz	id=g:2469389
Kudyat al Ma‘īz	id=g:2469390
Oued el Maïou	id=g:2469391
Aïn Maiou	id=g:2469392
‘Ayn al Maïou	id=g:2469393
Jebel Meïda	id=g:2469394
Jebel Maïana	id=g:2469395
Oued el Mahrouga	id=g:2469396
Mahrouga	id=g:2469397
Rass el Mahroug	id=g:2469398
Hanshīr al Maḩrūq	id=g:2469399
Bir Maherine	id=g:2469400
Bi’r al Maḩram	id=g:2469401
Oued el Mahou	id=g:2469402
Bir el Mahmoudi	id=g:2469403
Bi’r Maḩmūd Bin ‘Alī Aslāq	id=g:2469404
Mahmoud Ben el Haj	id=g:2469405
Henchir Mahmoud	id=g:2469406
Bi’r Maḩmūd	id=g:2469407
Banc Mahmeur	id=g:2469408
Ţawīlat Maḩmad	id=g:2469409
Jabal Maḩjūj	id=g:2469410
Aïn Mahjouba	id=g:2469411
Maḩjūbah	id=g:2469412
Maḩjūbah	id=g:2469413
Wādī al Maḩjūb	id=g:2469414
Jebel Mahfoura	id=g:2469415
Hanshīr al MAḩfūrah	id=g:2469416
Bir Mahfoura	id=g:2469417
Aïn el Mahfoura	id=g:2469418
Zamlat al Maheris	id=g:2469419
Wādī al Mahdī	id=g:2469420
Ţawīl al Maḩbas	id=g:2469421
Wādī Mahatab	id=g:2469422
Bi’r al Maḩārizah	id=g:2469423
Mahārī Jabbās	id=g:2469424
Jabal al Mahārī	id=g:2469425
Ḩawḑ al Mahārī	id=g:2469426
Qar‘at al Maḩāmīd	id=g:2469427
Jabal al Maḩallah	id=g:2469428
Hanshīr al Maḩallah	id=g:2469429
Ghadīr al Maḩallah	id=g:2469430
Ghadīr al Maḩallah	id=g:2469431
Dhirā‘ al Maḩallah	id=g:2469432
Wādī Maḩāḩīr	id=g:2469433
Thamad Maḩāḩīr	id=g:2469434
Hanshīr al Maḩāfī	id=g:2469435
Bir el Mehadba	id=g:2469436
Wādī al Maḩābis	id=g:2469437
Ra’s al Maḩābis	id=g:2469438
Sebkret el Mehabeul	id=g:2469439
Bi’r Maguer	id=g:2469440
Oued Magrat	id=g:2469441
Jebel Mrihila	id=g:2469442
Wādī al Maghdir	id=g:2469443
Bi’r al Maghdir	id=g:2469444
Oued el Meghbia	id=g:2469445
Oued el Meghassel	id=g:2469446
‘Ayn Maghārifah	id=g:2469447
Jabal Mafsel as Sahela	id=g:2469448
Mafraq ath Thanāyā	id=g:2469449
Pointe de la Madone	id=g:2469450
Jabal Ma‘dir al Ḩassān	id=g:2469451
Hanshīr al Madīnah	id=g:2469452
Hanshīr al Madīnah	id=g:2469453
Hanshīr Madīnah	id=g:2469454
Oued Maden	id=g:2469455
Oued el Madene	id=g:2469456
Henchir Maadene	id=g:2469457
Jabal al Maḑīlah	id=g:2469458
Touil el Medkour	id=g:2469459
Qārat Madhkūr	id=g:2469460
Hanshīr al Madhkūr	id=g:2469461
Wādī al Ma‘dhir	id=g:2469462
Kef el Mader	id=g:2469463
Jebel Mdeker	id=g:2469464
Aïn Mdeker	id=g:2469465
Hanshīr al Madfūn	id=g:2469466
Oued el Mdarej	id=g:2469467
Wādī al MAdārij	id=g:2469468
Chebkat el Medarej	id=g:2469469
Gouvernorat de Médenine	id=g:2469470
Wādī Madanīn	id=g:2469471
Bi’r Madanīn	id=g:2469472
Medenine	id=g:2469473
Mu‘tamadīyat Madanī	id=g:2469474
Henchir el Madani	id=g:2469475
Oued Medeïna	id=g:2469476
Sabkhat al Madā’inah	id=g:2469477
Hanshīr al Madā’inah	id=g:2469478
Bi’r al Madā’inah	id=g:2469479
Kef el Mad	id=g:2469480
Garaet el Mabtouha	id=g:2469481
Koudiat el Mabtouha	id=g:2469482
‘Irq al Mabţūḩ	id=g:2469483
Aïn Mabrouka	id=g:2469484
Chebket el Mabrouk	id=g:2469485
Bir Mabrouk	id=g:2469486
Bi’r Mabrūk	id=g:2469487
Shabakat al Mabāt	id=g:2469488
Kef Mazil	id=g:2469489
Hanshīr al Maârem	id=g:2469490
Wādī al Maal	id=g:2469491
Bi’r al Maal	id=g:2469492
Maafrine	id=g:2469493
Oglat Maadene	id=g:2469494
‘Ayn al Ma‘ābid	id=g:2469495
Wādī al Mā’	id=g:2469496
Shu‘bat al Mā’	id=g:2469497
Shu‘bat al Mā’	id=g:2469498
Qārat al Mā’	id=g:2469499
Bir el Maa	id=g:2469500
Wādī Lum‘ah	id=g:2469501
Kāf Lum‘ah	id=g:2469502
Bir Loummilah	id=g:2469503
Khoumt el Melah	id=g:2469504
Aïne el Loumi	id=g:2469505
Wādī Lougsiba	id=g:2469506
‘Uqlat Lougsiba	id=g:2469507
Bi’r al Louda	id=g:2469508
Hanshīr Loubbira	id=g:2469509
Wādī al Loua	id=g:2469510
Lortess	id=g:2469511
Station de Lorbeus	id=g:2469512
Wādī al Lokrib	id=g:2469513
Jebel Loka	id=g:2469514
Wādī Lisseri	id=g:2469515
Jabal Liourda	id=g:2469516
Bir Liouane	id=g:2469517
Limaguess	id=g:2469518
Wādī al Liḩām	id=g:2469519
Kef el Leham	id=g:2469520
Bir Left	id=g:2469521
Wādī Liefcha	id=g:2469522
Oued Lebna	id=g:2469523
Sebkha Lebna	id=g:2469524
Les Violettes	id=g:2469525
Les Deux Soeurs	id=g:2469526
Les Salines	id=g:2469527
Les Salines	id=g:2469528
Les Peupliers	id=g:2469529
Les Mimosas	id=g:2469530
Les Chênes	id=g:2469531
Les Caroubiers	id=g:2469532
Leptis Minor	id=g:2469533
Jabal Lengua	id=g:2469534
Ra’s Lemsa	id=g:2469535
‘Irq al Leguine	id=g:2469536
Guelb Leguera	id=g:2469537
Wādī al Leguene	id=g:2469538
‘Ayn Lefua	id=g:2469539
Khanqat Lefaïa	id=g:2469540
Jabal Lefaïa	id=g:2469541
Kāf Leddeb	id=g:2469542
Gouiret Lila	id=g:2469543
Wādī al Layl	id=g:2469544
Oued el Lil	id=g:2469545
Wādī Lāyah	id=g:2469546
Wādī al Lawzah	id=g:2469547
Wādī al Lawzah	id=g:2469548
Wādī al Lawzah	id=g:2469549
Kudyat al Lawzah	id=g:2469550
Fosse de Al Lawzah	id=g:2469551
Wādī al Lawz	id=g:2469552
Wādī al Lawz	id=g:2469553
Wādī al Lawz	id=g:2469554
Wādī al Lawz	id=g:2469555
Wādī al Lawz	id=g:2469556
Bi’r al Lawz	id=g:2469557
Bi’r al Lawz	id=g:2469558
Bi’r al Lawz	id=g:2469559
Bi’r al Lawāfī	id=g:2469560
Plaine de Soukka	id=g:2469561
La Savoyarde	id=g:2469562
Bir Larouah	id=g:2469563
La Provençale	id=g:2469564
La Pêcherie	id=g:2469565
Jabal Laoueche	id=g:2469566
Laoudia	id=g:2469567
Lantorcho	id=g:2469568
Wādī Lanndjaï	id=g:2469569
Ferme Landas	id=g:2469570
Lamţah	id=g:2469571
La Moselle	id=g:2469572
‘Ayn Lameur	id=g:2469573
Oued Lameje	id=g:2469574
La Madeleine	id=g:2469575
Lalla Zohra	id=g:2469576
Lāllah Zīnah	id=g:2469577
Lāllah Zawāyā	id=g:2469578
Lāllah Zahrah	id=g:2469579
Hanshīr Lāllahum	id=g:2469580
Lāllah Turkīyah	id=g:2469581
Lāllah Telkouasset	id=g:2469582
Lāllah Shuwayqirah	id=g:2469583
Lāllah Shalabīyah	id=g:2469584
Lalla Samra	id=g:2469585
Lalla Samaa	id=g:2469586
Lāllah Sa‘īdah	id=g:2469587
Lalla Maïza	id=g:2469588
Lāllah Maryam	id=g:2469589
Lalla Manoubia	id=g:2469590
Lāllah Mabrūkah	id=g:2469591
Lalla Mabrouka	id=g:2469592
Lāllah Krola	id=g:2469593
Lāllah Khayrah	id=g:2469594
Lāllah Khaḑrā’	id=g:2469595
Lalla Jemlia	id=g:2469596
Lāllah Ḩafşīyah	id=g:2469597
Hanshīr Lāllah Fāţimah	id=g:2469598
Lāllah Dallia	id=g:2469599
Lāllah Chaa	id=g:2469600
Lāllah az Zurqānīyah	id=g:2469601
Lāllah az Zhania	id=g:2469602
Lāllah as Sahla	id=g:2469603
Lāllah al ‘Uwayjā’	id=g:2469604
Lāllah al Gammoudia	id=g:2469605
Lāllah al ‘Akārimīyah	id=g:2469606
Lāllah ‘Ā’ishah al Mrakchia	id=g:2469607
Lāllah ‘Ā’ishah al Mourakchia	id=g:2469608
Lāllah ‘Ā’ishah	id=g:2469609
Lāllah ‘Ā’ishah	id=g:2469610
Lāllah ad Dahmānīyah	id=g:2469611
Lalla	id=g:2469612
La Jurassienne	id=g:2469613
Wādī Lajaf al Hamman	id=g:2469614
Lā’iḩat Tennich	id=g:2469615
Lā’iḩat Maḩmūdī	id=g:2469616
Laïha Mabrouk	id=g:2469617
Lā’iḩat Bin Rehouma	id=g:2469618
Lā’iḩat Bersof	id=g:2469619
Lā’iḩat Awlād ‘Awn	id=g:2469620
Wādī Lā’iḩat al Kardī	id=g:2469621
Lā’iḩat al Kardī	id=g:2469622
Laïhet el Hellam	id=g:2469623
Shu‘bat al Lā’iḩah	id=g:2469624
Hanshīr al Lā’iḩah	id=g:2469625
Ra’s Lahia	id=g:2469626
Jebel el Laham	id=g:2469627
Pointe de la Lagune	id=g:2469628
La Grande Moselle	id=g:2469629
La Gerboise	id=g:2469630
La Galite	id=g:2469631
La Forestière	id=g:2469632
La Fauconnerie	id=g:2469633
La Fauconnerie	id=g:2469634
La Fauchelle	id=g:2469635
Shu‘bat Ladel	id=g:2469636
Shabkat Ladel	id=g:2469637
La Croix	id=g:2469638
La Corniche	id=g:2469639
Bir Lachla	id=g:2469640
La Champenoise	id=g:2469641
La Césarée	id=g:2469642
La Cagna	id=g:2469643
Goulet du Lac	id=g:2469644
Kef Labzekre	id=g:2469645
Oued el Lebba	id=g:2469646
Wādī al Labwah	id=g:2469647
Kef Labi	id=g:2469648
La Béarnaise	id=g:2469649
Oued Lebba	id=g:2469650
Sāniyat al Labbādah	id=g:2469651
Zamlat al Laban	id=g:2469652
Wādī al Laban	id=g:2469653
Wādī al Laban	id=g:2469654
Daf‘ al Labad	id=g:2469655
Hanshīr Laasla	id=g:2469656
Ktifet el Hamrane	id=g:2469657
Hanshīr al Kutayfāt	id=g:2469658
Bi’r al Kutayfah	id=g:2469659
Wudayy al Kūshah	id=g:2469660
Oued el Koucha	id=g:2469661
Hanshīr al Kūshah	id=g:2469662
Jabal Kusaykīs	id=g:2469663
Sebkhet el Kourzia	id=g:2469664
Wādī al Kurūm	id=g:2469665
Hanshīr al Kurūm	id=g:2469666
Kef el Korath	id=g:2469667
Jebel Korj	id=g:2469668
Ras el Korane	id=g:2469669
Hanshīr al Kūrah	id=g:2469670
Wādī al Kunbūt	id=g:2469671
Kumm as Sidr	id=g:2469672
‘Ayn Kumm an Nawā’il	id=g:2469673
Jebel el Koumine	id=g:2469674
Wādī al Kūm	id=g:2469675
Bi’r al Kulayb	id=g:2469676
Oued el Kouki	id=g:2469677
‘Ayn al Kūkī	id=g:2469678
‘Ayn al Kūkah	id=g:2469679
Oued el Kohol	id=g:2469680
Jabal al Kuḩl	id=g:2469681
Wādī al Kufūl	id=g:2469682
Bi’r al Kūfah	id=g:2469683
Bi’r Kudyat al Jāziyah	id=g:2469684
Wādī al Kudyah	id=g:2469685
‘Irq al Kudyah	id=g:2469686
Hanshīr al Kudyah	id=g:2469687
Shaţţ Kudwat alk Ḩalfā’	id=g:2469688
Ḩasy al Kudwah	id=g:2469689
Hanshīr al Kudwah	id=g:2469690
‘Ayn al Kudwah	id=g:2469691
Ru’aysat al Kūb	id=g:2469692
Ksaret Sidi Amara	id=g:2469693
Jebel Ksaïra	id=g:2469694
Jabal Ksaïra	id=g:2469695
Station de Khoussiah Sahali	id=g:2469696
Hanshīr Kroussiah	id=g:2469697
Khoussiah	id=g:2469698
Fisqīyat Kroula	id=g:2469699
Jebel el Khissa	id=g:2469700
Bir Khichane	id=g:2469701
Jabal al Kretalla	id=g:2469702
Qar‘at al Kresouma	id=g:2469703
Jabal Krermachiet	id=g:2469704
Bi’r Krerioua	id=g:2469705
Bi’r al Krerbine	id=g:2469706
Wādī Krenane	id=g:2469707
Wādī Kremachiet	id=g:2469708
Kudyat al Krell	id=g:2469709
Wādī Krebita	id=g:2469710
Jabal Krebita	id=g:2469711
‘Ayn Krebita	id=g:2469712
‘Uqlat al Krebiat	id=g:2469713
Mejez el Kratra	id=g:2469714
Jabal al Kratra	id=g:2469715
Krata	id=g:2469716
Wādī Krarguet ad Dīs	id=g:2469717
Aïn el Kranntouch	id=g:2469718
Henchir el Khanga	id=g:2469719
Hanshīr Kramzia	id=g:2469720
Kef Kralem	id=g:2469721
Kef Khakhmat	id=g:2469722
Jabal Krakita	id=g:2469723
Kef Khakhmat	id=g:2469724
‘Uqlat al Krag	id=g:2469725
Krafja	id=g:2469726
Ras Khabeuch	id=g:2469727
Kourkata	id=g:2469728
Bi’r Kourima	id=g:2469729
Wādī Kourikria	id=g:2469730
Kourchine	id=g:2469731
Sebkhet el Kotaïa	id=g:2469732
Qubbat al Koria	id=g:2469733
Hanshīr al Korbouch	id=g:2469734
Pointe el Kosseïne	id=g:2469735
Kobtine Ouled Amor	id=g:2469736
Wādī Knibitt	id=g:2469737
Knibitt	id=g:2469738
Klioua	id=g:2469739
Jabal Klass	id=g:2469740
Oued el Klaïaï	id=g:2469741
Jebel Kesra	id=g:2469742
Forêt de la Kesra	id=g:2469743
Kesra	id=g:2469744
Wādī al Kīs	id=g:2469745
Kirchaou	id=g:2469746
Wādī Kinānah	id=g:2469747
‘Ayn Kinānah	id=g:2469748
Qūr al Kilāb	id=g:2469749
Aïn el Klab	id=g:2469750
Aïn el Klab	id=g:2469751
Jabal Kīfān ‘Alī Sousou	id=g:2469752
Jabal Kīfān	id=g:2469753
