Aneri Soak	id=g:2077736
Five Fathom Bank	id=g:2078624
The Roarers	id=g:2078625
James Rocks	id=g:2078626
Lambert Passage	id=g:2078627
Passage Rock	id=g:2078628
Maddens Rock	id=g:2078629
Pointer Rock	id=g:2078630
Shag Rock	id=g:2078631
West Rock	id=g:2078632
South West Rock	id=g:2078633
Flat Rock	id=g:2078634
Challenger Rock	id=g:2078635
Sea Reef	id=g:2078636
Challenger Passage	id=g:2078637
North Channel	id=g:2078638
Fraser Point	id=g:2078639
Currie Point	id=g:2078640
South Point	id=g:2078641
Orelia Point	id=g:2078642
Perriam Reef	id=g:2078643
Flat Ledge	id=g:2078644
Stag Rocks	id=g:2078645
Middle Ground	id=g:2078646
Seven Stones Rock	id=g:2078647
Channel Rock	id=g:2078648
Pinnacle Rocks	id=g:2078649
Inside Rock	id=g:2078650
Surface Rock	id=g:2078651
North West Spit	id=g:2078652
Entrance Rocks	id=g:2078653
Entrance Point	id=g:2078654
The Brothers	id=g:2078655
Beacon Head	id=g:2078656
Second Head	id=g:2078657
Harding Rock	id=g:2078658
Luscombe Bay	id=g:2078659
Dance Head	id=g:2078660
Sulphur Bay	id=g:2078661
Sulphur Rock	id=g:2078662
Cliff Point	id=g:2078663
Pinnacle Rock	id=g:2078664
Calista Channel	id=g:2078665
Stirling Channel	id=g:2078666
James Point	id=g:2078667
Kwinana	id=g:2078668
Hawley Shoal	id=g:2078669
Calista Point	id=g:2078670
Two People Bay	id=g:2078671
Point Atwick	id=g:2078672
Collins Point	id=g:2078673
Gilbert Point	id=g:2078674
Hoking Bay	id=g:2078675
Ewing Bay	id=g:2078676
Pope Point	id=g:2078677
Buache Bay	id=g:2078678
Baudin Point	id=g:2078679
South West Point	id=g:2078680
Goodwin Bay	id=g:2078681
McKail Point	id=g:2078682
Collie Head	id=g:2078683
Collie Ledge	id=g:2078684
Southern Flats	id=g:2078685
Shoal Cove	id=g:2078686
Parkin Point	id=g:2078687
Colpoys Point	id=g:2078688
Careening Bay	id=g:2078689
John Point	id=g:2078690
John Ledge	id=g:2078691
Mushroom Rock	id=g:2078692
Shoalwater Bay	id=g:2078693
Gull Rock	id=g:2078694
Bird Island	id=g:2078695
White Rock	id=g:2078696
South Channel	id=g:2078697
Mount Stewart	id=g:2078698
Mount Lotus	id=g:2078699
Buchanan Bay	id=g:2078700
Inner Harbour	id=g:2078701
Cape Vlaming	id=g:2078702
Lancelin	id=g:2078703
Dump Reef	id=g:2078704
Taylor Reef	id=g:2078705
Little Bomba Break	id=g:2078706
Mile Reef	id=g:2078707
Bennetts Reef	id=g:2078708
Big Bomba Break	id=g:2078709
Horrie Lump	id=g:2078710
Ledge Reef	id=g:2078711
Home Reef	id=g:2078712
Manakoora Reef	id=g:2078713
Manakoora Sand Patch	id=g:2078714
Big Horseshoe Reef	id=g:2078715
Platform Reef	id=g:2078716
Windmill Passage	id=g:2078717
Gilt Dragon Reef	id=g:2078718
The Lumps	id=g:2078719
Breton Reef	id=g:2078720
One Mile Reefs	id=g:2078721
Tanais Reef	id=g:2078722
Leschenault Reef	id=g:2078723
Seabird	id=g:2078724
Guilderton	id=g:2078725
Ville de Rouen Reef	id=g:2078726
Linda Reef	id=g:2078727
Mallee Reef	id=g:2078728
Map Reef	id=g:2078729
Cook Lump	id=g:2078730
Gretel Reef	id=g:2078731
Two Rocks	id=g:2078732
Unwin Shoals	id=g:2078733
Rhodes Reef	id=g:2078734
Laurance Reef	id=g:2078735
El Reef	id=g:2078736
South West Break	id=g:2078737
Pipidinny Reef	id=g:2078738
Hugill Reef	id=g:2078739
Alkimos Reef	id=g:2078740
Pamela Shoal	id=g:2078741
Eglinton Hill	id=g:2078742
Direction Bank	id=g:2078743
Duffield Ridge	id=g:2078744
Horseshoe Reefs	id=g:2078745
North Point Reef	id=g:2078746
Bathurst Point	id=g:2078747
Kingston Reefs	id=g:2078748
Thomson Bay	id=g:2078749
Parker Point	id=g:2078750
Jackson Rock	id=g:2078751
South Passage	id=g:2078752
Middle Bank	id=g:2078753
Champion Rock	id=g:2078754
Hall Bank	id=g:2078755
North Rock	id=g:2078756
Buckland Hill	id=g:2078757
Woodman Light	id=g:2078758
Hillarys Boat Harbour	id=g:2078759
The Lumps	id=g:2078760
North Lump	id=g:2078761
Ocean Reef Boat Harbour	id=g:2078762
Three Mile Reef	id=g:2078763
Burns Rocks	id=g:2078764
Staggie Reef	id=g:2078765
Quinns Rocks	id=g:2078766
Calder Shoal	id=g:2078768
Luxmore Head	id=g:2078769
Cape Lavery	id=g:2078770
Don Point	id=g:2078771
Laxton Reef	id=g:2078772
Saunders Patch	id=g:2078773
Robinson Inlet	id=g:2078774
Bura Bura Head	id=g:2078775
Kanunga Point	id=g:2078776
Gullala Creek	id=g:2078777
Radar Hill	id=g:2078778
Penguin Hill	id=g:2078779
Castle Hill	id=g:2078780
Cockle Point	id=g:2078781
Red Cliffs	id=g:2078782
North Gutter	id=g:2078783
South Gutter	id=g:2078784
Lorna Shoal	id=g:2078785
Loee Patches	id=g:2078786
Roche Reefs	id=g:2078787
Cape Grose	id=g:2078788
Bare Sand Island	id=g:2078789
Bass Reef	id=g:2078790
Jones Bank	id=g:2078791
Middle Reef	id=g:2078792
Unjin Point	id=g:2078793
Moira Reef	id=g:2078794
Burge Point	id=g:2078795
Gilruth Point	id=g:2078796
Thrings Channel	id=g:2078797
Gunn Reef	id=g:2078798
Foelsche Bank	id=g:2078799
Fenton Patches	id=g:2078800
Skottowe Shoal	id=g:2078801
Lowry Shoal	id=g:2078802
Hancox Shoal	id=g:2078803
Moresby Shoals	id=g:2078804
Buchanan Island	id=g:2078805
Peron Island North	id=g:2078808
Peron Island South	id=g:2078809
Shepherds Patch	id=g:2078810
Brue Reef	id=g:2078811
Strickland Bay	id=g:2078812
Salmon Bay	id=g:2078813
