Duvaduve	id=g:7453416
Vutete	id=g:7453760
Chitakira	id=g:7453761
Takavinga	id=g:7453762
Mufahore	id=g:7453763
Ndisavaka	id=g:7453764
Musara	id=g:7453765
Bubaiwa	id=g:7453766
Mabika	id=g:7453767
Mudyiwa	id=g:7453768
Whititi	id=g:7453769
Tarupiwa	id=g:7453770
Magombedze	id=g:7453771
Mutare	id=g:7453772
Tizeyi	id=g:7453773
Munhowei	id=g:7453774
Mukundu	id=g:7453775
Mapfumo	id=g:7453776
Tavura	id=g:7453777
Makuvaza	id=g:7453778
Zvorushe	id=g:7453779
Chivenge	id=g:7453780
Hwingwiri	id=g:7453781
Zibaiwa	id=g:7453782
Tazivei	id=g:7453783
Sundire	id=g:7453784
Madzimure	id=g:7453785
Musevenzo	id=g:7453786
Chindito	id=g:7453787
Muchemwa	id=g:7453788
Machovo	id=g:7453789
Mufari	id=g:7453790
Tinarwo	id=g:7453791
Zimunhu	id=g:7453792
Tarubuda	id=g:7453793
Mangoro	id=g:7453794
Dire	id=g:7453795
Manangwa	id=g:7453796
Munechisvo	id=g:7453797
Mazhawidza	id=g:7453798
Panganai	id=g:7453799
Whekwete	id=g:7453800
Muchinapo	id=g:7453801
Mutare	id=g:7453802
Chiwara	id=g:7453803
Musimudzwa	id=g:7453804
Matambo	id=g:7453805
Chikara	id=g:7453806
Kwengi	id=g:7453807
Mushava	id=g:7453808
Tafundu	id=g:7453809
Utete	id=g:7453810
Zeveresi	id=g:7453811
Chitsa	id=g:7453812
Vashamba	id=g:7453813
Mapungaliva	id=g:7453814
Marimuka	id=g:7453815
Nyamapura	id=g:7453816
Chiwere	id=g:7453817
Musara School	id=g:7453818
Machawira School	id=g:7453819
Gwingwiri School	id=g:7453820
Makuvise Business Centre	id=g:7453821
Dopota Business Centre	id=g:7453822
Mazuru Business Centre	id=g:7453823
Matusire Business Centre	id=g:7453824
Mugo Dam	id=g:7453825
Maweni Business Centre	id=g:7453826
Chapota	id=g:7453827
Rutowa	id=g:7453828
Pfumbe	id=g:7453829
Mhaka	id=g:7453830
Chifadza	id=g:7453831
Mapfumo	id=g:7453832
Kuvengwa	id=g:7453833
Matereke	id=g:7453834
Mukungu	id=g:7453851
Gava	id=g:7453852
Ganda	id=g:7453853
Mukozho	id=g:7453854
Zvoushe	id=g:7453855
Chinefu	id=g:7453856
Chawunga	id=g:7453857
Panchavo	id=g:7453858
Munyayi	id=g:7453859
Manyengwa	id=g:7453860
Dzivakwi	id=g:7453861
Shumbanhete	id=g:7453862
Chinatsire	id=g:7453863
Panganai	id=g:7453864
Ushe	id=g:7453865
Toga	id=g:7453886
Dabwai Business Centre	id=g:7453887
Mumwe	id=g:7453888
Musungwa	id=g:7453889
Dzivakwi	id=g:7453890
Musungo	id=g:7453891
Kugura	id=g:7453892
Ruchecha	id=g:7453893
Mawire	id=g:7453894
Gonde	id=g:7453895
Chipundo	id=g:7453896
Nyamatikiti	id=g:7453897
Chitezwa	id=g:7453898
Musasa	id=g:7453936
Rutsuro	id=g:7454273
Nhema Business Centre	id=g:7454274
Muchuchu Dam	id=g:7454310
Pfumbe	id=g:7454311
Zariro	id=g:7454312
Chavahera	id=g:7454313
Kvideka	id=g:7454314
Makwenjere	id=g:7454315
Mpeza School	id=g:7454316
Jongwe Business Centre	id=g:7454317
Marambanyika	id=g:7454318
Muchuwa School	id=g:7454319
Matombonyi	id=g:7454320
Mushauri	id=g:7454321
Hamuchiro	id=g:7454322
Tafirenyika	id=g:7454323
Kwaipa	id=g:7454324
Mutumbwi	id=g:7454325
Ganyiwa	id=g:7454326
Machimbiro	id=g:7454327
Mamvura	id=g:7454328
Muvavarirwa	id=g:7454329
Nyika	id=g:7454330
Nyazvivi Business Centre	id=g:7454331
Nyazvivi Dam	id=g:7454332
Mvurwi	id=g:7454333
Mvurwi	id=g:7454334
Rugoti	id=g:7454335
Tangwara Hill	id=g:7454336
Matura	id=g:7454337
Chesuko	id=g:7454338
Chebvute	id=g:7454339
Dzingadye	id=g:7454340
Mudodiwa Dam	id=g:7454341
Zuwa Dam	id=g:7454342
Hunjane Dam	id=g:7454343
Manope Dam	id=g:7454344
Matombo School	id=g:7454450
Gotore	id=g:7454552
Chifeyo	id=g:7458200
Chakwana Pan	id=g:7464930
Dulini	id=g:7464931
Mabude	id=g:7464932
Matule	id=g:7464933
Sibaba	id=g:7464934
Dingant	id=g:7464935
Taffila	id=g:7464936
Emapanini	id=g:7464937
Manyenge	id=g:7464938
Emhlabeni	id=g:7464939
Ganga	id=g:7464940
Cuseculu	id=g:7464941
Mandau	id=g:7464942
Tshampeni	id=g:7464943
Ndawana	id=g:7464944
Danda	id=g:7464945
Gwaai	id=g:7464946
Glandangula School	id=g:7464947
Mahambe	id=g:7464948
Gotshane	id=g:7464949
Nveresis	id=g:7464950
Ngamo Windpump	id=g:7464951
Lihio School	id=g:7464952
Sibopoma School	id=g:7464953
Mkomba School	id=g:7464954
Emabandeni	id=g:7464955
Gamur School	id=g:7464956
Wexau Pan	id=g:7464957
Mbazu Pans	id=g:7464958
Mandiseka Windpump	id=g:7464959
Sehme School	id=g:7464960
Kapanyana	id=g:7464961
Mbizo II	id=g:7464962
Egeekeni	id=g:7464963
Mashake	id=g:7464964
Sikale	id=g:7464965
Regina Mundi Mission	id=g:7464966
Bonyonko	id=g:7464967
Silombopoka	id=g:7464968
Capuka	id=g:7464969
Luwilili	id=g:7464970
Sipepa II	id=g:7464971
Ekoneni	id=g:7464972
Nyelesi	id=g:7464973
Mahula	id=g:7464974
Lombajana	id=g:7464975
Nhobatshipadanka	id=g:7464976
Ndodana Pan	id=g:7464977
Sihume	id=g:7464978
Gwande I	id=g:7464979
Gwande II	id=g:7464980
Mahalayedwa School	id=g:7464981
Mareza Pans	id=g:7464982
Sdaka School	id=g:7464983
Makeni	id=g:7464984
Mangutana	id=g:7464985
Tshayisani	id=g:7464986
Mpandamanzi	id=g:7464987
Nsukamini	id=g:7464988
Tabagwa	id=g:7464989
Tshiyakwaklwe	id=g:7464990
Manyika	id=g:7464991
Mapilimbomvu Cliff	id=g:7464992
Mapilibomvu	id=g:7464993
Maqetuka	id=g:7464994
Elangeni School	id=g:7464995
Salankomo Rest Camp	id=g:7464996
Kumbula School	id=g:7464997
Tshakabanda	id=g:7464998
Dandamjena	id=g:7464999
Hangamwe	id=g:7465000
Cijima Dam	id=g:7465001
Luhonjana	id=g:7465002
Madziba	id=g:7465003
Saint Josephs School	id=g:7465004
Chief Thomas	id=g:7465005
Madziba	id=g:7465006
Dombo School	id=g:7465007
Mhlatshwa	id=g:7465008
Bumbu	id=g:7465009
Tshomwina	id=g:7465010
Nxuma	id=g:7465011
Dzokotze	id=g:7465012
Butshena	id=g:7465013
Bushman Diwa	id=g:7465014
Muziomutsha	id=g:7465015
Saint Ninians School	id=g:7465016
Mbute	id=g:7465017
Lutiba	id=g:7465018
Bayane	id=g:7465019
Mange School	id=g:7465020
Bule II	id=g:7465021
Mloyi	id=g:7465022
Kautsheka	id=g:7465023
Manyanda	id=g:7465024
Gewalangamate	id=g:7465025
Ntulula	id=g:7465026
Enkalange	id=g:7465027
Menyezwa II	id=g:7465028
Manzamnyama	id=g:7465029
Halangamate	id=g:7465030
Mapane	id=g:7465031
Mpaniwenyama	id=g:7465032
Budhli	id=g:7465033
Gariya	id=g:7465034
Gariya Dam	id=g:7465035
Wilson Pan	id=g:7465036
Tshamona Pan	id=g:7465037
Nata Communal Land	id=g:7465038
Sifapawakwa	id=g:7465039
Mahlamombe	id=g:7465040
Mayeza	id=g:7465041
Zibalonkwe School	id=g:7465042
Elulwane	id=g:7465043
Malanda School	id=g:7465044
Emambanjeni	id=g:7465045
Dikili	id=g:7465046
Chief Gambo	id=g:7465047
Nqaye	id=g:7465048
Dinyani School	id=g:7465049
Mehlobamyo	id=g:7465050
Matula	id=g:7465051
Masekesa	id=g:7465052
Emloteni	id=g:7465053
Mehlobomvo	id=g:7465054
Soluswe	id=g:7465055
Tshetshisa	id=g:7465056
Segogo	id=g:7465057
Guswini	id=g:7465058
Makala	id=g:7465059
Getshenge	id=g:7465060
Mbambo	id=g:7465061
Mbowani	id=g:7465062
Sigaqana	id=g:7465063
Maputata	id=g:7465064
Nkomombili	id=g:7465065
Dokwe Pan	id=g:7465066
Mamina	id=g:7465067
Ndolwane School	id=g:7465068
Mpapa Pan	id=g:7465069
Maitengwe Communal Land	id=g:7465070
Masili Dam	id=g:7465071
Maitengwe	id=g:7465072
Four Valleys	id=g:7505350
Wessels Block	id=g:7505351
Zimbile	id=g:7505352
Hlolo	id=g:7505400
Aboyne	id=g:7505401
The Pioneer Block	id=g:7505402
Mount Royal	id=g:7505403
Stoneham South	id=g:7505404
Wolfs Crag	id=g:7505405
Obocooso	id=g:7505406
Dry Valley	id=g:7505407
Riverside	id=g:7505408
Wabai	id=g:7505409
Inhlanhla	id=g:7505410
Gwamanyanga	id=g:7505411
Umgazi	id=g:7505412
Browns Farm	id=g:7505413
Longton	id=g:7505414
Adams	id=g:7505415
Torwood Lee	id=g:7505416
Runde School	id=g:7505417
Chinami School	id=g:7505418
Fizho School	id=g:7505419
Nyama Business Centre	id=g:7505420
Mapanzule Business Centre	id=g:7505421
Sivanga School	id=g:7505422
Spondulu	id=g:7505423
Shangangwe	id=g:7505433
Greystone	id=g:7506383
Umlomo	id=g:7506385
Roodeheuvel	id=g:7506386
Riverton	id=g:7506387
Spiljoen Kop	id=g:7506388
Uitkijk	id=g:7506390
Rustgevonden	id=g:7506391
Regina	id=g:7506392
Fort Rixon Memorial	id=g:7506393
Journeys End	id=g:7506394
Greater Kya Lami	id=g:7506395
Lincoln	id=g:7506396
Indina	id=g:7506397
Centerbank	id=g:7506398
Grand View	id=g:7506399
Zimbile	id=g:7506400
Intabanenda	id=g:7506401
Matchstick	id=g:7506402
York	id=g:7506438
Bar 2 Ranch	id=g:7506439
Oasis Ranch A	id=g:7506440
Avondale	id=g:7506442
The Springs	id=g:7506443
Rusvinge School	id=g:7506445
Msipani School	id=g:7506446
Mbirashava School	id=g:7506447
Bushman Paintings	id=g:7506451
Zvegona School	id=g:7506452
Wedza School	id=g:7506453
Sandemans Farm	id=g:7506454
Wedgehill	id=g:7506455
Cleveland	id=g:7506456
High Shapparal	id=g:7506457
Umchingwe Block	id=g:7506458
Saint Stevens College A	id=g:7506462
Clarks Farm	id=g:7506463
Swaithe	id=g:7506464
Swazi	id=g:7506465
Comedy	id=g:7506466
Mickey	id=g:7506467
Lion West	id=g:7506468
Lion East	id=g:7506469
Annedale	id=g:7506470
Progress	id=g:7506471
Jeffs	id=g:7506472
Filabusi Memorial	id=g:7506473
Fletchers Farm	id=g:7506474
Celtic	id=g:7506475
Isonomy	id=g:7506476
Gruyges	id=g:7506477
Huntley	id=g:7506478
Dwala	id=g:7506481
Meiklejohns Right	id=g:7506482
Hamilton	id=g:7506483
Atlas	id=g:7506484
Anderson’s	id=g:7506485
Mnyama Extension	id=g:7506486
Inyankuni Block	id=g:7506487
Bradford	id=g:7506488
Rietfontein	id=g:7506490
Chunkunyane	id=g:7506491
Xalanga	id=g:7506492
Woodstock	id=g:7506493
Heathfield	id=g:7506494
The Bungalow	id=g:7506495
Mesandra	id=g:7506496
Pipe	id=g:7506497
Mimosa	id=g:7506498
Bungwe	id=g:7506499
Laings Syndicate Block	id=g:7506500
Zeederbergs Block	id=g:7506501
Na	id=g:7506502
Yellow Vlei	id=g:7506503
Shangri La West	id=g:7506504
Springvale	id=g:7506505
Hippo Pools	id=g:7506506
Gwatemba	id=g:7506507
Sampson & Montrose Block	id=g:7506508
Umtata	id=g:7506509
Bolo	id=g:7506510
Ormonde	id=g:7506511
Chelo	id=g:7506512
Mosenthals Farm	id=g:7506513
Hay Hill	id=g:7506514
Senka School	id=g:7506515
Clan Mac	id=g:7506516
Mbalani	id=g:7506517
Insiza Block	id=g:7506518
Stamford	id=g:7506519
Enyema	id=g:7506520
Avalon	id=g:7506521
Congese Outspan	id=g:7506522
Nkankezi	id=g:7506523
Congese	id=g:7506524
Shamba Block	id=g:7506525
Shamba Range	id=g:7506527
Malole	id=g:7506528
Summer	id=g:7506529
Dora Range	id=g:7506530
Kromdraa Dam	id=g:7506531
Shangri La East	id=g:7506532
Dunning	id=g:7506533
Aqua	id=g:7506534
Gwanhugwi	id=g:7506535
Clifton	id=g:7506536
Kanteweni	id=g:7506537
Zingesi	id=g:7506538
Saulo	id=g:7506539
Inyeze	id=g:7506540
Uyanezi	id=g:7506541
Impala	id=g:7506542
Ingwe	id=g:7506543
Drumbulchan	id=g:7506544
Nooitgedacht	id=g:7506545
Eskdale	id=g:7506546
Kent	id=g:7506547
Norma	id=g:7506548
Hope	id=g:7506549
Pepper	id=g:7506550
Gold Fields	id=g:7506551
Wallingford A	id=g:7506552
Wallingford	id=g:7506553
Arcadia	id=g:7506554
Winnifred	id=g:7506555
Geneva	id=g:7506556
Celigny	id=g:7506557
Charter	id=g:7506558
Macoomber	id=g:7506559
Springs	id=g:7506560
Di Di	id=g:7506561
Mlowezi School	id=g:7506562
Ntembeni School	id=g:7506563
Charter	id=g:7506564
Msiti Hills	id=g:7506565
Kleinbegin Oost	id=g:7506868
Mabika	id=g:7506992
Chimire	id=g:7506993
Diki	id=g:7506994
Takaidzwa	id=g:7506995
Mafukidze	id=g:7506996
Javangwe	id=g:7506997
Mahope	id=g:7506998
Mashizha	id=g:7506999
Njube	id=g:7507000
Nemaparo	id=g:7507001
Matendere	id=g:7507002
Nechibvuri	id=g:7507003
Chavunda	id=g:7507004
Matamba	id=g:7507005
Maduku	id=g:7507006
Machindu	id=g:7507007
Munoda	id=g:7507008
Mamvura	id=g:7507009
Chiwara	id=g:7507010
Makuvise	id=g:7507011
Mamvura	id=g:7507012
Mudite	id=g:7507013
Sakurai	id=g:7507014
Chinyai	id=g:7507015
Ngome	id=g:7507016
Mangonono	id=g:7507017
Tarusenga	id=g:7507018
Makufa	id=g:7507019
Dabwa	id=g:7507020
Munguri	id=g:7507021
Chindito	id=g:7507022
Kwangare	id=g:7507023
Makonese	id=g:7507024
Ruzive	id=g:7507025
Chibhamu	id=g:7507026
Sonono	id=g:7507027
Guzha	id=g:7507028
Zvenidza	id=g:7507029
Govo	id=g:7507030
Mafudze	id=g:7507031
Maibire	id=g:7507032
Makura Business Centre	id=g:7507033
Makura School	id=g:7507034
Urayayi	id=g:7507035
Ziso	id=g:7507036
Mutongiwa	id=g:7507037
Machakadze	id=g:7507038
Mangwiro	id=g:7507039
Rangarirai	id=g:7507040
Vurayai	id=g:7507041
Raubwe	id=g:7507042
Mapfumo	id=g:7507043
Tarugarira	id=g:7507044
Zivanai	id=g:7507045
Mugwagwa	id=g:7507046
Muswayi	id=g:7507047
Jerera	id=g:7507048
Mudodo	id=g:7507049
Mupatsi	id=g:7507050
Mutubuki	id=g:7507051
Muchabaiwa	id=g:7507052
Mabuvo	id=g:7507053
Muchakata	id=g:7507054
Zinjera	id=g:7507055
Nzara	id=g:7507056
Mutsakatira	id=g:7507057
David	id=g:7507058
Mutukwa	id=g:7507059
Chivhuro	id=g:7507060
Murwiri	id=g:7507061
Musundire	id=g:7507062
Tarupuwa	id=g:7507063
Muchoto	id=g:7507064
Mutsvangaiwa	id=g:7507065
Cuvaruhu	id=g:7507066
Chivasa	id=g:7507067
Tokwe	id=g:7507068
Chikuvire	id=g:7507069
Mudedye	id=g:7507070
Hapanyengwi	id=g:7507071
Chimwana	id=g:7507072
Chikwiro	id=g:7507073
Gotora	id=g:7507074
Zvenyika	id=g:7507075
Sanangurai	id=g:7507076
Rutave	id=g:7507077
Ringisai	id=g:7507078
Ndimba	id=g:7507079
Mudakureva	id=g:7507080
Basera	id=g:7507081
Ndakaripei	id=g:7507082
Mutihero	id=g:7507083
Munyaka	id=g:7507084
Tirarami	id=g:7507085
Marodze	id=g:7507086
Jereswa	id=g:7507087
Zvirevo	id=g:7507088
Charumbira	id=g:7507089
Mharadze	id=g:7507090
Maneta	id=g:7507091
Bhaseta Business Centre	id=g:7507092
Mpindimbi Rest House	id=g:7507093
Merekiyu Business Centre	id=g:7507094
Chingori	id=g:7507095
Znichi	id=g:7507096
Chigweremba	id=g:7507097
Miraikumwe	id=g:7507098
Mugariwa	id=g:7507099
Masiyandima	id=g:7507100
Rife	id=g:7507101
Chikonye	id=g:7507102
Chauruka	id=g:7507103
Tafuma	id=g:7507104
Chidya	id=g:7507105
Gwamure	id=g:7507106
Zeka	id=g:7507107
Tsaurai	id=g:7507108
Dzivakwi	id=g:7507109
Zvidzai	id=g:7507110
Chakona	id=g:7507111
Mutondoro	id=g:7507112
Hudson	id=g:7507113
Chinganga	id=g:7507114
Chagonda	id=g:7507115
Zambeza	id=g:7507116
Gogode	id=g:7507117
Chaminuka	id=g:7507118
Zano	id=g:7507119
Musiiwa	id=g:7507120
Shumba	id=g:7507121
Mangwena	id=g:7507122
Rasa Business Centre	id=g:7507123
Chibaya	id=g:7507124
Pambayi	id=g:7507125
Beni	id=g:7507126
Muzorori	id=g:7507127
Machikiche	id=g:7507128
Masvingo	id=g:7507129
Gonye Business Centre	id=g:7507130
Mutambara Business Centre	id=g:7507131
Devure School	id=g:7507132
Abraham	id=g:7507144
Dabwa School	id=g:7507145
Ranga School	id=g:7507146
Malebeling Dip	id=g:7507147
Makgatho Dip	id=g:7507148
Havambe	id=g:7507149
Devure Business Centre	id=g:7507150
Mushayavanhu Business Centre	id=g:7507151
Chisheche Business Centre	id=g:7507152
Chipangami Business Centre	id=g:7507153
Chidembo School	id=g:7507154
Gutu School	id=g:7507155
Derryvale School	id=g:7507156
Jakata School	id=g:7507157
Magadzire School	id=g:7507158
Saint Marys School	id=g:7507159
Chamisa Dip	id=g:7507160
Gutu Dip	id=g:7507161
Gonamutenga	id=g:7507162
Chipumu	id=g:7507163
Eben	id=g:7507164
Woodlands Dam	id=g:7507165
Derryvale	id=g:7507166
Tweespruit	id=g:7507167
Mupako Dam	id=g:7507168
Munhende Dam	id=g:7507169
Mupandawana Business Centre	id=g:7507170
Mukoka School	id=g:7507171
Chimedza School	id=g:7507172
Chimedza Dip	id=g:7507173
Chikwanda Mission	id=g:7507174
Marirangwe	id=g:7507175
Dashira	id=g:7507176
Chirumpandebvu	id=g:7507177
Matemanhengo	id=g:7507178
Mambiya	id=g:7507179
Rombe	id=g:7507180
Nemakonde Dip	id=g:7507181
Excelsior Dip	id=g:7507182
Gono School	id=g:7507183
Domboshava	id=g:7507184
Mawere School	id=g:7507185
Chekure School	id=g:7507186
Makweva School	id=g:7507187
Cheninga School	id=g:7507188
Mawere Dip	id=g:7507189
Kufonya Business Centre	id=g:7507190
Kufonya School	id=g:7507191
Mawere Business Centre	id=g:7507192
Mangweng	id=g:7507193
Saint Martins Chitenderano School	id=g:7507194
Chief Makore	id=g:7507195
Mungezi Dip	id=g:7507196
Chiwara Dip	id=g:7507197
Nyamwira	id=g:7507198
Vumba Business Centre	id=g:7507199
Masunda Dip	id=g:7507200
Mvurachena	id=g:7507201
Domburavapfuri	id=g:7507202
De Doorns	id=g:7507203
Shumba School	id=g:7507204
Veta	id=g:7507205
Garanji	id=g:7507206
Gangarabwe	id=g:7507207
Majada School	id=g:7507208
Marinda School	id=g:7507209
Chembazwi	id=g:7507210
Marinda Business Centre	id=g:7507211
Mungezi River Ranch	id=g:7507212
Glen Clova	id=g:7507213
Matezwa	id=g:7507214
Mungezi School	id=g:7507215
Mungesi	id=g:7507216
Gawa	id=g:7507217
Chikukutu Business Centre	id=g:7507218
Chidakwa	id=g:7507219
Machawira	id=g:7507220
Muchenga	id=g:7507221
Chamisa	id=g:7507222
Mupandaguta	id=g:7507223
Zindinda	id=g:7507224
Rinashe	id=g:7507225
Majaya	id=g:7507226
Rambakudzihwa	id=g:7507227
Rutonga	id=g:7507228
Nhau	id=g:7507230
Chimwango	id=g:7507231
Chikerema	id=g:7507232
Panganai	id=g:7507233
Mushirivindi	id=g:7507234
Dzambi	id=g:7507235
Matingwadza	id=g:7507236
Taruvinga	id=g:7507237
Nhambu	id=g:7507238
Munyindi	id=g:7507239
Gahadzikwa	id=g:7507240
Chahata	id=g:7507241
Mashako	id=g:7507242
Machokoto	id=g:7507243
Sengai	id=g:7507244
Mudawu	id=g:7507245
Chapwanya	id=g:7507246
Magwiro	id=g:7507247
Muderedzwa	id=g:7507248
Mauto	id=g:7507251
Chivuna	id=g:7507252
Gwiznimbi	id=g:7507253
Zizima	id=g:7507254
Makufa	id=g:7507255
Mukoriro	id=g:7507256
Kwangwa I	id=g:7507257
Tokura	id=g:7507258
Kizito	id=g:7507259
Gwaza	id=g:7507260
Chinaka	id=g:7507261
Kwangwa III	id=g:7507262
Njerere	id=g:7507263
Viyai	id=g:7507264
Zvariruka	id=g:7507265
Mugadza	id=g:7507266
Chiriga	id=g:7507267
Jani	id=g:7507268
Rashayi	id=g:7507269
Payarira	id=g:7507270
Tavuya	id=g:7507271
Dzingirai	id=g:7507272
Rumurai	id=g:7507273
Mapfumo	id=g:7507274
Vanhukwavo	id=g:7507275
Tofaraseyi	id=g:7507276
Mazambara	id=g:7507277
Matorere II	id=g:7507278
Mafinyor	id=g:7507279
Musarira	id=g:7507280
Fundikai	id=g:7507281
Chaurura	id=g:7507282
Rufu	id=g:7507283
Zvidzayi	id=g:7507284
Boyi	id=g:7507285
Maboke School	id=g:7507286
Murwira Business Centre	id=g:7507287
Maname	id=g:7507288
Mandinde	id=g:7507289
Shava	id=g:7507290
Rumidzi	id=g:7507291
Chikato	id=g:7507292
Mupuwi	id=g:7507293
Mhakore	id=g:7507294
Mudzwiti	id=g:7507295
Kanjera	id=g:7507296
Muptukidzwa	id=g:7507297
Ndisengei	id=g:7507298
Mawindo	id=g:7507299
Nemashakwe	id=g:7507300
Mukosi	id=g:7507301
Mari	id=g:7507302
Vangarirai	id=g:7507303
Hokoyo	id=g:7507304
Mandaba	id=g:7507305
Wilson	id=g:7507306
Machako	id=g:7507307
Chokuda	id=g:7507308
Itayi	id=g:7507309
Muradzi	id=g:7507310
Busvumani	id=g:7507311
Tumbe	id=g:7507312
Gore	id=g:7507313
Chadyeni	id=g:7507314
Chihenhamo	id=g:7507315
Murinda	id=g:7507316
Manyadza	id=g:7507317
Tomasi	id=g:7507318
Mudzimbabwe	id=g:7507319
Mufunda	id=g:7507320
Tadiosi	id=g:7507321
Nhamo	id=g:7507322
Pavari	id=g:7507323
Guchu	id=g:7507324
Tarwirei	id=g:7507325
Jecha	id=g:7507326
Tanda	id=g:7507327
Rugare	id=g:7507328
Tabva	id=g:7507329
Chomunorwa	id=g:7507330
Chigavade	id=g:7507331
Madzivire	id=g:7507332
Zibhache	id=g:7507333
Tarwira	id=g:7507334
Mugeji	id=g:7507335
Chandida	id=g:7507336
Regedzai	id=g:7507337
Mutamire	id=g:7507338
Mubako	id=g:7507339
Mapxere	id=g:7507340
Mazano	id=g:7507341
Chigomo	id=g:7507342
Manyanye	id=g:7507343
Pisayi	id=g:7507344
Muneri	id=g:7507345
Ngundu	id=g:7507346
Urayai	id=g:7507347
Nyika Business Centre	id=g:7507348
Chishungubvu	id=g:7507349
Mupamaonde Business Centre	id=g:7507350
Ndisengei School	id=g:7507351
Hwarungu	id=g:7507352
