Bissanbougou	id=g:6875181
Parandougou	id=g:6875872
Tonbonka	id=g:6875873
Tien	id=g:6875874
Dougourani	id=g:6875875
Bounga	id=g:6875876
Sabara	id=g:6875877
Konoula	id=g:6875878
Amadou-Wéré	id=g:6875879
Soumana	id=g:6875880
Diendou	id=g:6875881
Nyiné	id=g:6875882
Wéla	id=g:6875883
Matama	id=g:6875884
Brahmabougou	id=g:6875885
Niagara	id=g:6875886
Kopa	id=g:6875887
Wènè	id=g:6875888
Pakuizo	id=g:6875889
Bouizawa	id=g:6875890
Niansandaga	id=g:6875891
Kammpéna	id=g:6875892
Bayidaga	id=g:6875893
Kansara	id=g:6875894
Diama	id=g:6875895
Sissébougou	id=g:6875896
Blanbougou	id=g:6875897
Ousmanadaga	id=g:6875898
Koundiadaga	id=g:6875899
Diankweidaga	id=g:6875900
Nioumasso	id=g:6875901
Touroukoro	id=g:6875902
Dankéléna	id=g:6875903
Kontoni	id=g:6875904
Téoulé	id=g:6875905
Sabélédaga	id=g:6875906
Assadaga	id=g:6875907
Woradougou	id=g:6875908
Falakui	id=g:6875909
Bankouma	id=g:6875910
Soumankui	id=g:6875911
Nankofa	id=g:6875912
Sokoura	id=g:6875913
Soukarodaga	id=g:6875914
Massatamoudaga	id=g:6875915
Miniani	id=g:6875916
Ningodaga	id=g:6875917
Bélédaga	id=g:6875918
Sobédaga	id=g:6875919
Wemmbédaga	id=g:6875920
Bouowa	id=g:6875921
Sondo	id=g:6875922
Sanakoro	id=g:6875923
Emmpérani	id=g:6875924
Poussaté	id=g:6875925
Palindougou	id=g:6875926
Kilèdaga	id=g:6875927
Pahandaha	id=g:6875928
Pahakan	id=g:6875929
Bourèdandi	id=g:6875930
Siandougou	id=g:6875931
Kéréré	id=g:6875932
Batirikui	id=g:6875933
Kin	id=g:6875934
Manikui	id=g:6875935
Barana	id=g:6875936
Konkonan	id=g:6875937
Tièbakui	id=g:6875938
Wouné	id=g:6875939
Poromouzo	id=g:6875940
Bina	id=g:6875941
Ndobougou	id=g:6875942
Nientéla	id=g:6875943
Dondiéréla	id=g:6875944
Bénidaga	id=g:6875945
Wèsso	id=g:6875946
Diougosso	id=g:6875947
Bankouma	id=g:6875948
Kouotina	id=g:6875949
Kouanan	id=g:6875950
Fifini	id=g:6875951
Gani	id=g:6875952
Siradji	id=g:6875953
Niadara	id=g:6875954
Ohosso	id=g:6875955
Bororé	id=g:6875956
Toubinkoro	id=g:6875957
Antoumadaga	id=g:6875958
Kouna-Habè	id=g:6875959
Kouna-Mindolo	id=g:6875960
Bamako	id=g:6875961
Adamandaga	id=g:6875962
Damandougou	id=g:6875963
Bona	id=g:6875964
Bounkon	id=g:6875965
Nina	id=g:6875966
Soukourani-Bosso	id=g:6875967
Soukourani-Soubala	id=g:6875968
Tinindoni	id=g:6875969
Kounani	id=g:6875970
Nérékoro	id=g:6875971
Parana-Wéré	id=g:6875972
Sièsso	id=g:6875973
Nimi	id=g:6875974
Paramandougou	id=g:6875975
Bonimasso	id=g:6875976
Kouotébé	id=g:6875977
Sara	id=g:6875978
Késsédougou	id=g:6875979
Dimikui	id=g:6875980
Oho	id=g:6875981
Tébékui	id=g:6875982
Zoufian	id=g:6875983
Sounina	id=g:6875984
Tayo	id=g:6875985
Sarani	id=g:6875986
Kokui	id=g:6875987
Zakui	id=g:6875988
Koha	id=g:6875989
Siziankoro	id=g:6875990
Tinékui	id=g:6875991
Bérékan	id=g:6875992
Tiéparandougou	id=g:6875993
Toubala	id=g:6875994
Kaana Boronkui	id=g:6875995
Yéréni	id=g:6875996
Sossiadougou	id=g:6875997
Sokoro	id=g:6875998
Kansémakui	id=g:6875999
Souara	id=g:6876000
Hasso	id=g:6876001
Konkui	id=g:6876002
Lorokui	id=g:6876003
Banankora	id=g:6876004
Doufiakui	id=g:6876005
Borébougou	id=g:6876006
Amadébougou	id=g:6876007
Dialakoro	id=g:6876008
Dakoura	id=g:6876009
Donbala	id=g:6876010
Dangassoni	id=g:6876011
Karafébougou	id=g:6876012
Zana	id=g:6876013
Korodouba-Wéré	id=g:6876014
Boura	id=g:6876015
Koron-Bosso	id=g:6876016
Diaratou	id=g:6876017
Bangolosso	id=g:6876018
Touba	id=g:6876019
Ngorokan	id=g:6876020
Wolo	id=g:6876021
Dimikui	id=g:6876022
Matomo	id=g:6876023
Wèna	id=g:6876024
Bolokounou	id=g:6876025
Doubakui	id=g:6876026
Bourouma	id=g:6876027
Lakui	id=g:6876028
Konokui	id=g:6876029
Darakui	id=g:6876030
Botiolo	id=g:6876031
Worolo	id=g:6876032
Tiérakui	id=g:6876033
Makui	id=g:6876034
Djirawa	id=g:6876035
Bankouma	id=g:6876036
Koura	id=g:6876037
Soneko	id=g:6876038
Sanouna	id=g:6876041
Nohou-Wéré	id=g:6876042
Mamadidaga	id=g:6876043
Dafolokui	id=g:6876044
Tiraba	id=g:6876045
Bangama	id=g:6879423
Téoudi	id=g:6879424
Niofoldou	id=g:6879425
Tiabével	id=g:6879426
Diavéli	id=g:6879427
Kéléguémogo	id=g:6879428
Kona	id=g:6879429
Siguinnvonsé	id=g:6879430
Foabougou	id=g:6879431
Ringandé	id=g:6879432
Tenogo	id=g:6879433
Diord	id=g:6879434
Sièlè	id=g:6879435
Navali	id=g:6879436
Dounanbougou	id=g:6879437
Souzoundiéla	id=g:6879438
Kongodian	id=g:6879439
Wènina	id=g:6879440
Manémanebougou	id=g:6879441
Neguena	id=g:6879442
Karamabougou	id=g:6879443
Bouanakoro	id=g:6879444
Nango	id=g:6879445
Nieguéna	id=g:6879446
Domikoro	id=g:6879447
Fammsala	id=g:6879448
Zanfina	id=g:6879449
Nassiguila	id=g:6879450
Moronbièla	id=g:6879451
Bléno	id=g:6879452
Tougouma	id=g:6879453
Diongoumougou	id=g:6879454
Banzaniguélé	id=g:6879455
Niamana	id=g:6879456
Falanbougou	id=g:6879457
Diarakala	id=g:6879458
Markala	id=g:6879459
Tomi	id=g:6879460
Galomansana	id=g:6879461
Sabaré-Sidi	id=g:6879462
Moribougou	id=g:6879463
Gounando	id=g:6879464
San-San	id=g:6879465
Kouya	id=g:6879466
Ndorobala	id=g:6879467
Dialakoro	id=g:6879468
Balibougou	id=g:6879469
Torokoro	id=g:6879470
Sébeninnkélé	id=g:6879471
Soribougou	id=g:6879472
Konona	id=g:6879473
Tiémintiébougou	id=g:6880197
Baka	id=g:6880198
Tiongozana	id=g:6880199
Moko	id=g:6880200
Toukassi	id=g:6880201
Macina	id=g:6880202
Mamaribougou	id=g:6880203
Denmdolila	id=g:6880204
Tiébala	id=g:6880205
Balibougou	id=g:6880206
Wéla	id=g:6880207
Markala	id=g:6880208
Nassanbougou	id=g:6880209
Maninie	id=g:6880210
Tanbana	id=g:6880211
Dokourouna	id=g:6880212
Badiona	id=g:6880213
Goumabougou	id=g:6880214
Bakmabougou	id=g:6880215
Kanditougou	id=g:6880216
Kassanbougou	id=g:6880217
Sienmo	id=g:6880218
Makéréla	id=g:6880219
Saala	id=g:6880220
Diola	id=g:6880221
Bangaka	id=g:6880222
Bangabougouni	id=g:6880223
Sabalibougou	id=g:6880224
Diadou	id=g:6880225
Banzaniguélé	id=g:6880226
Bérabougou	id=g:6880227
Balibougon	id=g:6880228
Tnongolola	id=g:6880229
Ndiguitiona	id=g:6880230
Mafinnka	id=g:6880231
Tiongo	id=g:6880232
Kouabougou	id=g:6880233
Niétiabougou	id=g:6880234
Goumabougou	id=g:6880235
Soualébougou	id=g:6880236
Madina	id=g:6880237
Danina	id=g:6880238
Koni	id=g:6880239
Sakénébougou	id=g:6880240
Kababa	id=g:6880241
Amatoumouka	id=g:6880242
Yardié	id=g:6880243
Yaka	id=g:6880244
Karabougou	id=g:6880245
Kouéla Markala	id=g:6880246
Moukano	id=g:6880247
Bouka	id=g:6880248
Koudoumo	id=g:6880249
Babougou	id=g:6880250
Bossébougou	id=g:6880251
Barimaka	id=g:6880252
Déniabougou	id=g:6880253
Malifi	id=g:6880254
Gladia	id=g:6880255
Tiakoura	id=g:6880256
Barakabougou	id=g:6880257
Kouin	id=g:6880258
Eliyaka	id=g:6880259
Boulibana	id=g:6880260
Bassankoura	id=g:6880261
Yékoura	id=g:6880262
Markala	id=g:6880263
Salamabougou	id=g:6880264
Nayo	id=g:6880265
Goulan	id=g:6880266
Koussouka	id=g:6880267
Goursi	id=g:6880268
Koussabéla	id=g:6880269
Moribougou	id=g:6880270
Takala	id=g:6880271
Némabougou	id=g:6880272
Danbougou	id=g:6880273
Rimassa	id=g:6880274
Nansiguio	id=g:6880275
Rassogoma	id=g:6880276
Foulabougou	id=g:6880277
Médina	id=g:6880278
Dar Salam	id=g:6880279
Bamakokoura	id=g:6880280
Massadougou	id=g:6880281
Ségoukoura	id=g:6880282
Sansanding	id=g:6880283
Nara	id=g:6880284
Kokri-Bozo	id=g:6880285
Dioumandiéla	id=g:6880286
Goumba	id=g:6880287
Diamaratogo	id=g:6880288
Boubaké	id=g:6880289
Tien Kouri	id=g:6880290
Tien Golola	id=g:6880291
Sélé	id=g:6880292
Kouroukounou	id=g:6880293
Diarabougou	id=g:6880294
Sinalika	id=g:6880295
Ladjika	id=g:6880296
Babougou Koroni	id=g:6880297
Balaka	id=g:6880298
Soumana	id=g:6880299
Sourouka	id=g:6880300
Kangorongo	id=g:6880301
Wolokouna	id=g:6880302
Kaniebougou	id=g:6880303
Madeira	id=g:6880304
Nbingolola	id=g:6880305
Zanbala	id=g:6880306
Saïmandiéra	id=g:6880307
Aligonsoro	id=g:6880308
Aourou	id=g:6880309
Tiennténi	id=g:6880310
Ouronéma	id=g:6880311
Faka	id=g:6880312
Wana	id=g:6880313
Ngouloumbougou	id=g:6880314
Yayaka	id=g:6880315
Ba Traoré Ka	id=g:6880316
Diankou	id=g:6880317
Kouroumana Banbara	id=g:6880318
Sina Marka	id=g:6880319
Kouroumana	id=g:6880320
Sanbaka	id=g:6880321
Niga	id=g:6880322
Maïka	id=g:6880323
Baka	id=g:6880324
Sinaka	id=g:6880325
Missaka	id=g:6880326
Eri	id=g:6880327
Bertabougou	id=g:6880328
Séribabougou	id=g:6880329
Binbéné Nobougou	id=g:6880330
Pandiguira	id=g:6880331
Diomougouba	id=g:6880332
Niandéléla	id=g:6880333
Toumabougou	id=g:6880334
Dagaba	id=g:6880335
Dionbougou	id=g:6880336
Misseïna	id=g:6880337
Sakounou	id=g:6880338
Niansana	id=g:6880339
Fala	id=g:6880340
Sanbabougou	id=g:6880341
Nakoro	id=g:6880342
Sidia	id=g:6880343
Mangouka	id=g:6880344
Foko	id=g:6880345
Walakabougou	id=g:6880346
Souzangoré	id=g:6880347
Babadiourika	id=g:6880348
Markatinti	id=g:6880349
Tienbala	id=g:6880350
Foutgul	id=g:6880351
Karika	id=g:6880352
Baka	id=g:6880353
Sala	id=g:6880354
Morokoro	id=g:6880355
Massatoumo	id=g:6880356
Zogana	id=g:6880357
Dolion	id=g:6880358
Kiran	id=g:6880359
Diarakoro	id=g:6880360
Doguéla	id=g:6880361
Bakari	id=g:6880362
Dieli	id=g:6880363
Mankoni	id=g:6880364
Massa	id=g:6880365
Saraba	id=g:6880366
Fale Mbougou	id=g:6880367
Gan	id=g:6880368
Difora	id=g:6880369
Komango	id=g:6880370
Maribougou	id=g:6880371
Babougou	id=g:6880372
Diassabougou	id=g:6880373
Diourabougou	id=g:6880374
Karadiola	id=g:6880375
Ngarababougou	id=g:6880376
Madimansa	id=g:6880377
Noumou	id=g:6880378
Zoumanafinnka	id=g:6880379
Tlabougou	id=g:6880380
Korokounou	id=g:6880575
Moinka	id=g:6880576
Sina	id=g:6880577
Tianbali	id=g:6880578
Mamadoubalika	id=g:6880579
Boulika	id=g:6880580
Koumatreka Kourouba	id=g:6880581
Faka	id=g:6880582
Monkui	id=g:6880583
Diadaka	id=g:6880584
Tomina	id=g:6880585
Zanbougou	id=g:6880586
Banan Ngulle	id=g:6880587
Tiessoka	id=g:6880588
Kako	id=g:6880589
Tienaka	id=g:6880590
Izaka	id=g:6880591
Djibougou	id=g:6880592
Bouka	id=g:6880593
Souzourouna	id=g:6880594
Sinnta	id=g:6880595
Kossi	id=g:6880596
Wenika	id=g:6880597
Dadaka	id=g:6880598
Sanata	id=g:6880599
Gonbéla	id=g:6880600
Nionina	id=g:6880601
Mariniazogoré	id=g:6880602
Wariniamana	id=g:6880603
Diohofié	id=g:6880604
Ngabakoro	id=g:6880605
Sassibougou	id=g:6880606
Badia	id=g:6880607
Kouli	id=g:6880608
Amadidiadiéka	id=g:6880609
Fakourbu	id=g:6880610
Badiaka	id=g:6880611
Solomani	id=g:6880612
Diorotinti	id=g:6880613
Kani	id=g:6880614
Diakoroba	id=g:6880615
Mogham	id=g:6880616
Gouma	id=g:6880617
Diéké	id=g:6880618
Tiéba	id=g:6880619
Tiékélébougou	id=g:6880620
Mindia	id=g:6880621
Dionna	id=g:6880622
Diaraka	id=g:6880623
Brahmaka	id=g:6880624
Wéréna	id=g:6880625
Tibi	id=g:6880626
Missala	id=g:6880627
Tibi	id=g:6880628
Touméla	id=g:6880629
Touméla	id=g:6880630
Fizangolola	id=g:6880631
Ngolobala	id=g:6880632
Konankou	id=g:6880633
Yayaka	id=g:6880634
Gouangongo	id=g:6880635
Ganindo	id=g:6880636
Dienbougou	id=g:6880637
Sinalébougou	id=g:6880638
Tien	id=g:6880639
Fakourou	id=g:6880640
Samabougou	id=g:6880641
Bassibougou	id=g:6880642
Dirimania	id=g:6880643
Simalabougou	id=g:6880644
Gassin	id=g:6880645
Dakalakaka	id=g:6880646
Baguéka	id=g:6880647
Timini	id=g:6880648
Kariba	id=g:6880649
Niamassourouma	id=g:6880650
Kouintikika	id=g:6880651
Flabi	id=g:6880652
Bé	id=g:6880653
Bagadadji	id=g:6880654
Kolongonona	id=g:6880655
Touba	id=g:6880656
Souala	id=g:6880657
Sékourani	id=g:6880658
Kannson	id=g:6880659
Sounkalo	id=g:6880660
Niho	id=g:6880661
Kongo	id=g:6880662
Mienga	id=g:6880663
Babako	id=g:6880664
Mbiabougou	id=g:6880665
Niélé	id=g:6880666
Yassalamou	id=g:6880667
Mondonébougou	id=g:6880668
Fala	id=g:6880669
Tatla	id=g:6880670
Tana-Miesso	id=g:6880671
Tienbougou	id=g:6880672
Toumala	id=g:6880673
Mamaka	id=g:6880674
Ngofouma	id=g:6880675
Kassorola	id=g:6880676
Zangonibougou	id=g:6880677
Doma	id=g:6880678
Babadika	id=g:6880679
Foloma	id=g:6880680
Péringata	id=g:6880681
Djibara	id=g:6880682
Foka	id=g:6880683
Wakoro	id=g:6880684
Topala	id=g:6880685
Touma	id=g:6880686
Madina	id=g:6880687
Siradouba	id=g:6880688
Kouroumaka	id=g:6880689
Konongo	id=g:6880690
Noumoubougou	id=g:6880691
Sanbouika	id=g:6880692
Touganabougou	id=g:6880693
Tlèma	id=g:6880694
Maliguika	id=g:6880695
Wakala	id=g:6880696
Banankoro-Kamanongo	id=g:6880697
Bougoukourala	id=g:6880698
Dotoumbougou	id=g:6880699
Tiendéguébougou	id=g:6880700
Fassonbougou	id=g:6880701
Ngaakoro	id=g:6880702
Bouassibougou	id=g:6880703
Banguéna	id=g:6880704
Bitela	id=g:6880705
Boukakorobaka	id=g:6880706
Zangonobougou	id=g:6880707
Diourabougou	id=g:6880708
Ngnélébékoro	id=g:6880709
Sinabougou	id=g:6880710
Kotemmbela	id=g:6880711
Ngarababougou	id=g:6880712
Glada	id=g:6880713
Wolobougou	id=g:6880714
Bakarabougou	id=g:6880715
Zangorabougou	id=g:6880716
Amarotobougou	id=g:6880717
Fouobougou	id=g:6880718
Dianbougou	id=g:6880719
Ndezana	id=g:6880720
Moussa	id=g:6880721
Binaka	id=g:6880722
Diongoka	id=g:6880723
Boulidian	id=g:6880724
Kouroukoro	id=g:6880725
Niamina	id=g:6880726
Kan	id=g:6880727
Weïna	id=g:6880728
Kooka	id=g:6880729
Karamoko	id=g:6880730
Gomaké	id=g:6880731
Wéléna	id=g:6880732
Seïdouka	id=g:6880733
Katiénakoro	id=g:6880734
Sanbalika	id=g:6880735
Diasseka	id=g:6880736
Bougoukoura	id=g:6880737
Bramatouréka	id=g:6880738
Séméno	id=g:6880739
Nabasso	id=g:6880740
Kontonau	id=g:6880741
Kama-Markala	id=g:6880742
Tana	id=g:6880743
Bellessoni	id=g:6880744
Dioou	id=g:6880745
Ngouna	id=g:6880746
Solosso	id=g:6880747
Massabougou	id=g:6880748
Sienso	id=g:6880749
Mbébougou	id=g:6880750
Banansirakoro	id=g:6880751
Bouassaba Peul	id=g:6880752
Béléko	id=g:6880753
Fofana	id=g:6880754
Papala	id=g:6880755
Totodanga	id=g:6880756
Bodani	id=g:6880757
Ndlala	id=g:6880758
Mamourou	id=g:6880759
Ndoba	id=g:6880760
Markala	id=g:6880761
Dokolo	id=g:6880762
Koula	id=g:6880763
Flassokala	id=g:6880764
Kouola	id=g:6880765
Dala	id=g:6880766
Diébougou	id=g:6880767
Nera	id=g:6880768
Diguéna	id=g:6880769
Bougoura	id=g:6880770
Ofienso	id=g:6880771
Kouoro	id=g:6880772
Kankélébougou	id=g:6880773
Sanogoli	id=g:6880774
Dokorola	id=g:6880775
Tientiéni	id=g:6880776
Sébanso	id=g:6880777
Wotonobougou	id=g:6880778
Nouasso	id=g:6880779
Tonfonso	id=g:6880780
Kawesso	id=g:6880781
Bolokolasso	id=g:6880782
Molobougou	id=g:6880783
Lesso	id=g:6880784
Soumouni	id=g:6880785
Sama	id=g:6880786
Wotorosso	id=g:6880787
Sénesso	id=g:6880788
Siékorosso	id=g:6880789
Sokourani	id=g:6880790
Markasso	id=g:6880791
Pérébougou	id=g:6880792
Sirakorosso	id=g:6880793
Nérékoro	id=g:6880794
Kafigué	id=g:6880795
Kapéguesso	id=g:6880796
Npérisso	id=g:6880797
Gonisso	id=g:6880798
Ngosso	id=g:6880799
Foungosso	id=g:6880800
Niamana Bélédéla	id=g:6880801
Niamana Soubala	id=g:6880802
Niamana Kafigué	id=g:6880803
Niamana Ntchiéguesso	id=g:6880804
Niana Soubala	id=g:6880805
Niana Markala	id=g:6880806
Niana	id=g:6880807
Wola	id=g:6880808
Bouassani	id=g:6880809
Guénesso	id=g:6880810
Tokosso	id=g:6880811
Tiguida	id=g:6880812
Sienkoroni	id=g:6880813
Wolosso	id=g:6880814
Ndéresso	id=g:6880815
Dabala	id=g:6880816
Diékonso	id=g:6880817
Sien Markala	id=g:6880818
Sien Banbara	id=g:6880819
Niabougou	id=g:6880820
Seribougou	id=g:6880821
Toukoro	id=g:6880822
Diassou	id=g:6880823
Koniégué	id=g:6880824
Ména	id=g:6880825
Dounogoloni	id=g:6880826
Ndoma	id=g:6880827
Koutienso	id=g:6880828
Fla	id=g:6880829
Dangosso	id=g:6880830
Tawa	id=g:6880831
Mbéké	id=g:6880832
Moussaka	id=g:6880833
Niani	id=g:6880834
Balangoka	id=g:6880835
Sirikika	id=g:6880836
Nabougou	id=g:6880837
Diéka	id=g:6880838
Koulasso	id=g:6880839
Dougoulou	id=g:6880840
Soumanso	id=g:6880841
Gan	id=g:6880842
Kienviesso	id=g:6880843
Ntonina	id=g:6880844
Mbiéna	id=g:6880845
Tala	id=g:6880846
Niokolola	id=g:6880847
Nialo	id=g:6880848
Bougoura	id=g:6880849
Niabougou	id=g:6880850
Koumouni	id=g:6880851
Sokorola	id=g:6880852
Néguéna	id=g:6880853
Dawarika	id=g:6880854
Guénandou	id=g:6880855
Kotiéna	id=g:6880856
Guénando	id=g:6880857
Baïli	id=g:6880874
Tomi	id=g:6880875
Mandiébougou	id=g:6880876
Goundam-Tokossel	id=g:6880877
Kobadji	id=g:6880878
Béka	id=g:6880879
Ngorobougou	id=g:6880880
Saré Amadi	id=g:6880881
Iro	id=g:6880882
Indiem	id=g:6880883
Fadoulllaye	id=g:6880884
Bakanilabi	id=g:6880885
Aoune	id=g:6880886
Kekeye	id=g:6880887
Gouokoure	id=g:6880888
Tinndim	id=g:6880889
Koyam	id=g:6880890
Konga	id=g:6880891
Goudïouguil	id=g:6880892
Koté-Amadou Moussa	id=g:6880893
Séké	id=g:6880894
Sanaloubé	id=g:6880895
Saké	id=g:6880896
Ojo	id=g:6880897
Koufa	id=g:6880898
Aïoum	id=g:6880899
Fita	id=g:6880900
Gounambougou	id=g:6880901
Tanné	id=g:6880902
Missila	id=g:6880903
Dounguel	id=g:6880904
Kolé Djadjé Issa	id=g:6880905
Inndio	id=g:6880906
Nguélobaré	id=g:6880907
Dakahandoukou	id=g:6880908
Algoa Manéri	id=g:6880909
Soundoko	id=g:6880910
Boli	id=g:6880911
Wako	id=g:6880912
Gogona	id=g:6880913
Dounguel	id=g:6880914
Ouro-Boubou	id=g:6880915
Youmaïré	id=g:6880916
Nawel	id=g:6880917
Baraka	id=g:6880918
Doua	id=g:6880919
Ban	id=g:6880920
Galilalo	id=g:6880921
Lélel	id=g:6880922
Oré Séno	id=g:6880923
Fountali	id=g:6880924
Gabi	id=g:6880925
Tiaye	id=g:6880926
Filennza	id=g:6880927
Filenza Bakou	id=g:6880928
Velndou	id=g:6880929
Gogoré	id=g:6880930
Godiorio	id=g:6880931
Kévariré	id=g:6880932
Toba	id=g:6880933
Bouria-Bamangal	id=g:6880934
Dounga	id=g:6880935
Wabi	id=g:6880936
Bongoe	id=g:6880937
Toguéré-Maïrou	id=g:6880938
Tisi	id=g:6880939
Mbétou	id=g:6880940
Guédié	id=g:6880941
Alsoundouga	id=g:6880942
Biritanga	id=g:6880943
Djingaram	id=g:6880944
Wango	id=g:6880945
Ouro-Esso	id=g:6880946
Séré Touba	id=g:6880947
Tiarguiniba	id=g:6880948
Kiri	id=g:6880949
Dang	id=g:6880950
Doubouroubani	id=g:6880951
Saré Bana	id=g:6880952
Djiguinaré	id=g:6880953
Naouré Balol	id=g:6880954
Béloua	id=g:6880955
Diaye Bokar Saïdou	id=g:6880956
Tiékoural Fagoume	id=g:6880957
Doungoudie	id=g:6880958
Andoukou	id=g:6880959
Amedi Niékou	id=g:6880960
Diaye Oré Séno	id=g:6880961
Ouro Bougué	id=g:6880962
Ouro Afomomanga	id=g:6880963
Bougoudi	id=g:6880964
Tongomadji	id=g:6880965
Alfandé	id=g:6880966
Sogo-Ouro	id=g:6880967
Sogo Sara	id=g:6880968
Saré-Massi	id=g:6880969
Missi-Sara	id=g:6880970
Missi-Ouro	id=g:6880971
Tiergona	id=g:6880972
Dari-Sélouma	id=g:6880973
Koétao	id=g:6880974
Oré-Séno-Dara	id=g:6880975
Diékounadibougou	id=g:6880976
Masse-Toumaré	id=g:6880977
Djibara	id=g:6880978
Takana	id=g:6880979
Saré-Abé	id=g:6880980
Maboto	id=g:6880981
Séwol	id=g:6880982
Séri	id=g:6880983
Diendiem	id=g:6880984
Bouria Maradji	id=g:6880985
Dafi	id=g:6880986
Konaré	id=g:6880987
Souli	id=g:6880988
Marsiré	id=g:6880989
Sissabougou	id=g:6880990
Bordouga	id=g:6880991
Souboundou	id=g:6880992
Gambala	id=g:6880993
Mayel Tarabé	id=g:6880994
Sassi	id=g:6880995
Djinango	id=g:6880996
Kowa	id=g:6880997
Koroba	id=g:6880998
Nokobougou	id=g:6880999
Samanabougou	id=g:6881000
Djiba	id=g:6881001
Kabou	id=g:6881002
Bourou	id=g:6881003
Dialigui	id=g:6881004
Saré Mamari	id=g:6881005
Kokorourou	id=g:6881006
Saraféré Merignan	id=g:6881007
Goudié	id=g:6881008
Sakal	id=g:6881009
Koram	id=g:6881010
Bodedji	id=g:6881011
Débiavi	id=g:6881012
Oura-Késil	id=g:6881013
Bella Bambi	id=g:6881014
Ouro-Balbossi	id=g:6881015
Endelle	id=g:6881016
Ségué	id=g:6881017
Dorovel	id=g:6881018
Leide	id=g:6881019
Koma	id=g:6881020
Garadié	id=g:6881021
Inguéri	id=g:6881022
Saré Mamani	id=g:6881023
Ankoye	id=g:6881024
Siti	id=g:6881025
Sangui	id=g:6881026
Gounako	id=g:6881027
Toungouna Kongo	id=g:6881028
Fanabougou	id=g:6881029
Saré Feré Dofina	id=g:6881030
Dofina	id=g:6881031
Bango	id=g:6881032
Marésire	id=g:6881033
Wolo	id=g:6881034
Noradji	id=g:6881035
Bougourinké-Ouro	id=g:6881036
Bagui	id=g:6881037
Kalifaré	id=g:6881038
Kéra	id=g:6881039
Dombia	id=g:6881040
Anam	id=g:6881041
Sirabougou	id=g:6881042
Dari	id=g:6881043
Kokoro	id=g:6881044
Sounkourou	id=g:6881045
Galdiouma	id=g:6881046
Gombo Dinné	id=g:6881047
Mamaré	id=g:6881048
Débaré	id=g:6881049
Pounabougou	id=g:6881050
Messéna	id=g:6881051
Tié Kouraré	id=g:6881052
Kérétogo	id=g:6881053
Babako	id=g:6881054
Brabanou	id=g:6881055
Fara	id=g:6881056
Diampana	id=g:6881057
Tomi	id=g:6881058
Imméré	id=g:6881059
Sonkara	id=g:6881060
Kobi	id=g:6881061
Mayel Dorodil	id=g:6881062
Sirati	id=g:6881063
Diéninkoré	id=g:6881064
Gareye	id=g:6881065
Dongo Siré	id=g:6881066
Falembougou	id=g:6881067
Niongolo	id=g:6881068
Ourolinga	id=g:6881069
Tchokou	id=g:6881070
Ena	id=g:6881071
Tété	id=g:6881072
Onto	id=g:6881073
Dempari	id=g:6881074
Bobovel	id=g:6881075
Boulibafa	id=g:6881076
Namaré	id=g:6881077
Namaré	id=g:6881078
Chognolou	id=g:6881079
Mongui	id=g:6881080
Siba	id=g:6881081
Bondokoli	id=g:6881082
Soukl	id=g:6881083
Sérifiré	id=g:6881084
Baniaqa-Tchel	id=g:6881085
Babadinngo	id=g:6881086
