Konechnoye	id=g:545529
Komsomol’skiy	id=g:545714
Komsomol’skiy	id=g:545715
Komsomol’skiy	id=g:545716
Komsomol’skiy	id=g:545717
Komsomol’skiy	id=g:545718
Komsomol’skiy	id=g:545719
Komsomol’skiy	id=g:545720
Komsomol’skiy	id=g:545721
Komsomol’skoye	id=g:545722
Komsomol’skiy	id=g:545723
Komsomol’skiy	id=g:545724
Komsomol’skiy	id=g:545725
Komsomol’skiy	id=g:545726
Komsomol’skiy	id=g:545727
Komsomol’skiy	id=g:545728
Komsomol'skoye	id=g:545729
Komsomol’skaya Pravda	id=g:545730
Komsomol’skaya	id=g:545731
Komsomol’skaya	id=g:545732
Komsomol’skaya	id=g:545733
Molodëzhnyy	id=g:545734
Komsomol’sk	id=g:545735
Komsomol’sk	id=g:545736
Komsomol’sk	id=g:545737
Komsomol’sk	id=g:545738
Sovkhoz Komsomolets	id=g:545739
Komsomol’skiy	id=g:545740
Kolkhoz Komsomolets	id=g:545741
Kolkhoz Komsomolets	id=g:545742
Komsomolets	id=g:545743
Komsomolets	id=g:545744
Komsomolets	id=g:545745
Komsomolets	id=g:545746
Komsomolets	id=g:545747
Dubrovskoye	id=g:545748
Komsomolets	id=g:545749
Komsomolets	id=g:545750
Komsomolets	id=g:545751
Komsomolets	id=g:545752
Komsomol Chemerden	id=g:545753
Komshchinskaya	id=g:545754
Komshanskaya Rudnya	id=g:545755
Komsha	id=g:545756
Komsha	id=g:545757
Ozero Kompakovskoye	id=g:545758
Kompakovo	id=g:545759
Komovo	id=g:545760
Komova	id=g:545761
Kamorino	id=g:545762
Komorguzya	id=g:545763
Komonevskiy Pogost	id=g:545764
Vozrozhedeniye	id=g:545765
Svet	id=g:545766
Kommunisticheskiy	id=g:545767
Kommunist	id=g:545768
Kommunist	id=g:545769
Kommuna Zarya	id=g:545770
Kommuna Yasnoye Utro	id=g:545771
Vperëd	id=g:545772
Kommuna Vlast' Sovetov	id=g:545773
Kommuna Vladilen	id=g:545774
Kommunary	id=g:545775
Kommunar Vtoroy	id=g:545776
Kommunarskoye	id=g:545777
Kommunarskiy	id=g:545778
Ozero Kommunarov	id=g:545779
Kommunarov	id=g:545780
Otdeleniye Sovkhoza Kommunarka	id=g:545781
Kommunarka	id=g:545782
Kommunar Kolkhoz	id=g:545783
Kolkhoz Kommunar	id=g:545784
Kolkhoz Kommunar	id=g:545785
Kolkhoz Kommunar	id=g:545786
Kommunar	id=g:545787
Kommunar	id=g:545788
Kommunar	id=g:545789
Kommunar	id=g:545790
Kommunar	id=g:545791
Kommunar	id=g:545792
Kommunar	id=g:545793
Kommunar	id=g:545794
Kommunar	id=g:545795
Kommunar	id=g:545796
Kommunar	id=g:545797
Kommunar	id=g:545798
Kommunar	id=g:545799
Bol’shoy Gok	id=g:545800
Kommunar	id=g:545801
Novaya Zhizn’	id=g:545802
Kommuna Iskra Kavkaza	id=g:545803
Kommuna Iskra	id=g:545804
Lenina	id=g:545805
Kommuna-Bor’ba	id=g:545806
Kommuna	id=g:545807
Kommuna	id=g:545808
Kommuna	id=g:545809
Kommuna	id=g:545810
Kommuna	id=g:545811
Kommuna	id=g:545812
Kommuna	id=g:545813
Kommuna	id=g:545814
Kommuna	id=g:545815
Kommuna	id=g:545816
Kommuna	id=g:545817
Kommercheskiy	id=g:545818
Kommayak	id=g:545819
Ostrov Kommar-Shaari	id=g:545820
Komlya	id=g:545821
Kaplinskaya	id=g:545822
Komlevy	id=g:545823
Komlevo	id=g:545824
Komlevo	id=g:545825
Komlevo	id=g:545826
Komissarovskiy	id=g:545828
Komissarovo	id=g:545829
Komissarovo	id=g:545830
Stantsiya Komissarovka	id=g:545831
Komissarovka	id=g:545832
Komissarovka	id=g:545833
Komissarov	id=g:545834
Kominternovskiy Rayon	id=g:545835
Kominternovskiy	id=g:545836
Komintern	id=g:545837
Kolkhoz Komintern	id=g:545838
Kolkhoz Komintern	id=g:545839
Kolkhoz Komintern	id=g:545840
Kolkhoz Komintern	id=g:545841
Urochishche Komintern	id=g:545842
Komintern	id=g:545843
Komintern	id=g:545844
Komintern	id=g:545845
Komintern	id=g:545846
Komintern	id=g:545847
Komintern	id=g:545848
Komintern	id=g:545849
Komintern	id=g:545850
Aleksandrovskiy	id=g:545851
Komintern	id=g:545852
Komino	id=g:545853
Respublika Komi	id=g:545854
Komgaron	id=g:545855
Ozero Komgar’	id=g:545856
Komela	id=g:545857
Komel’	id=g:545858
Sovkhoz Kombinat	id=g:545859
Kombinat	id=g:545860
Kombaynovyy	id=g:545861
Stantsiya Kombayn	id=g:545862
Kolkhoz Kombayn	id=g:545863
Kombarovka	id=g:545864
Kombakovo	id=g:545865
Koma-Vis	id=g:545866
Komary	id=g:545867
Komary	id=g:545868
Komary	id=g:545869
Komary	id=g:545870
Komary	id=g:545871
Komary	id=g:545872
Komary	id=g:545873
Komary	id=g:545874
Komarushka	id=g:545875
Razvaliny Lesouchastoka Komartikha	id=g:545876
Komarovskiy	id=g:545877
Komarovskiy	id=g:545878
Komarovskiy	id=g:545879
Verkhnekomarovskiy	id=g:545880
Komarovo	id=g:545881
Komarovo	id=g:545882
Komarovo	id=g:545883
Komarovo	id=g:545884
Komarovo	id=g:545885
Komarovo	id=g:545886
Komarovo	id=g:545887
Komarovo	id=g:545888
Komarovo	id=g:545889
Komarovo	id=g:545890
Komarovo	id=g:545891
Komarovo	id=g:545892
Komarovo	id=g:545893
Komarovo	id=g:545894
Komarovo	id=g:545895
Komarovo	id=g:545896
Komarovo	id=g:545897
Komarovo	id=g:545898
Komarovo	id=g:545899
Komarovo	id=g:545900
Komarovo	id=g:545901
Komarovo	id=g:545902
Komarovo	id=g:545903
Komarovo	id=g:545904
Komarovo	id=g:545905
Komarov Log	id=g:545906
Komarovka	id=g:545907
Komarovka	id=g:545908
Komarovka	id=g:545909
Komarovka	id=g:545910
Komarovka	id=g:545911
Komarovka	id=g:545912
Komarovka	id=g:545913
Komarovka	id=g:545914
Komarovka	id=g:545915
Komarovka	id=g:545916
Komarovka	id=g:545917
Komarovka	id=g:545918
Komarovka	id=g:545919
Komarovka	id=g:545920
Komarovka	id=g:545921
Komarovka	id=g:545922
Komarovka	id=g:545923
Komarovka	id=g:545924
Komarovka	id=g:545925
Komarovka	id=g:545926
Komarovka	id=g:545927
Komarova	id=g:545928
Komarov	id=g:545929
Komarov	id=g:545930
Komarov	id=g:545931
Komarov	id=g:545932
Komaro-Umët	id=g:545933
Komaritsa	id=g:545934
Komaritsa	id=g:545935
Komaritsa	id=g:545936
Gora Komarinnaya	id=g:545937
Komarikhinskiy	id=g:545938
Stantsiya Komarikhinskaya	id=g:545939
Stantsiya Komarikha	id=g:545940
Komarikha	id=g:545941
Komarikha	id=g:545942
Komarikha	id=g:545943
Komarikha	id=g:545944
Komarichskiy Rayon	id=g:545945
Komarichi	id=g:545946
Komariche-Kuznetsovka	id=g:545947
Komari	id=g:545948
Komarevtsevo	id=g:545949
Komarëvo	id=g:545950
Komarëvo	id=g:545951
Aleksandrovka	id=g:545952
Komarenka	id=g:545953
Komardino	id=g:545954
Komarikha	id=g:545955
Kamary	id=g:545956
Gora Komandnaya	id=g:545957
Komandir-Shor	id=g:545958
Komandirovka	id=g:545959
Peski Komakty	id=g:545960
Kom	id=g:545961
Kom	id=g:545962
Kol’zivanovo	id=g:545963
Mys Kolzakova	id=g:545964
Kolzaki	id=g:545965
Kolyzhino	id=g:545966
Kolyvanova	id=g:545967
Kolyvan’	id=g:545968
Kolyushevo	id=g:545969
Kolyupanovo	id=g:545970
Kolyupanovo	id=g:545971
Kolyupanovo	id=g:545972
Kolyupanovo	id=g:545973
Kolyudy	id=g:545974
Kolyuchka	id=g:545975
Kolyuchevo	id=g:545976
Kolyubyakino	id=g:545977
Kolyubakino	id=g:545978
Kol’yu	id=g:545979
Kolyshleyskiy Rayon	id=g:545980
Kolyshley	id=g:545981
Kolyshley	id=g:545982
Kolyshley	id=g:545983
Kolyshkino	id=g:545984
Kolyshkino	id=g:545985
Kolyshkino	id=g:545986
Kolyshkino	id=g:545987
Kolyshëvo	id=g:545988
Kolyshëvo	id=g:545989
Kolynva	id=g:545990
Kolynevo	id=g:545991
Kolykhmanovo	id=g:545992
Kolykhaleno	id=g:545993
Kolygina	id=g:545994
Kolychëvskiy	id=g:545995
Kolychëvo Vtoroye	id=g:545996
Kolychëvo Pervoye	id=g:545997
Kolychëvo	id=g:545998
Kolychëvo	id=g:545999
Kolychëvo	id=g:546000
Kolychëvo	id=g:546001
Kolychëvo	id=g:546002
Kolychëvo	id=g:546003
Kolychëvo	id=g:546004
Kolychëvo	id=g:546005
Kolychëvo	id=g:546006
Kolychëvo	id=g:546007
Kolychëvo	id=g:546008
Kolychëvka	id=g:546009
Kolychëvo	id=g:546010
Kolych	id=g:546011
Kolybino	id=g:546012
Kolyberovo	id=g:546013
Kolybel’skoye	id=g:546014
Kolybelovka	id=g:546015
Kolybelovka	id=g:546016
Kolybelka	id=g:546017
Kolybel’	id=g:546018
Kolyazhka	id=g:546019
Kolyanur	id=g:546020
Kolyanur	id=g:546021
Kolyanovo	id=g:546022
Kolyagino	id=g:546023
Kolyady	id=g:546024
Kolyadchino	id=g:546025
Kol’vozh	id=g:546026
Kol’yu	id=g:546027
Razvaliny Kol’vozh	id=g:546028
Gora Kolvivara	id=g:546029
Ozero Kolvitskoye	id=g:546030
Kolvitskaya Guba	id=g:546031
Kolvitsa	id=g:546032
Kolvitsa	id=g:546033
Kolvinets	id=g:546034
Kolvavis	id=g:546035
Kolvasozero	id=g:546036
Ozero Kolvas	id=g:546037
Kolva	id=g:546038
Kolva	id=g:546039
Kolva	id=g:546040
Kolva	id=g:546041
Koluzayevo	id=g:546042
Kolushkino	id=g:546043
Liman Kolur	id=g:546044
Kolupayevo	id=g:546045
Kolupayevo	id=g:546046
Kolunets	id=g:546047
Kolundayevskiy	id=g:546048
Koludarovo	id=g:546049
Kolybanikha	id=g:546050
Khrebet Kolu	id=g:546051
Koltyrikha	id=g:546052
Koltymak	id=g:546053
Koltykanov	id=g:546054
Koltushi	id=g:546055
Koltushi	id=g:546056
Koltunovskiy	id=g:546057
Koltunovka	id=g:546058
Koltyube	id=g:546059
Koltubanovskiy	id=g:546060
Stantsiya Koltubanka	id=g:546061
Koltubanka	id=g:546062
Kol’tsovo	id=g:546063
Kol'tsovo	id=g:546064
Kol’tsovo	id=g:546065
Kol’tsovo	id=g:546066
Kol’tsovo	id=g:546067
Kol’tsovo	id=g:546068
Kol’tsovo	id=g:546069
Kol’tsovka	id=g:546070
Kol’tsovka	id=g:546071
Kol’tso	id=g:546072
Kol’tseyevo	id=g:546073
Koltsanharju	id=g:546074
Koltovskoye	id=g:546075
Koltovo	id=g:546076
Kal’tino	id=g:546077
Kol’ticheyevo	id=g:546078
Koltënki	id=g:546079
Koltakyulya	id=g:546080
Koltakovo	id=g:546081
Kol'ta	id=g:546082
Kol’skiy Zaliv	id=g:546083
Kol’skiy Rayon	id=g:546084
Kola Peninsula	id=g:546085
Kolshevo	id=g:546086
Kolshakovo	id=g:546087
Bukhta Kolsa	id=g:546088
Kolpyanka	id=g:546089
Kolptsa	id=g:546090
Kolpnyanskiy Rayon	id=g:546091
Kolpny	id=g:546092
Kolpna	id=g:546093
Kolpity	id=g:546094
Kolpita	id=g:546095
Kolpita	id=g:546097
Kolpiny	id=g:546098
Ozero Kolpinskoye	id=g:546099
Kolpinskiye	id=g:546100
Kolpinovo	id=g:546101
Ozero Kolpino	id=g:546102
Ozero Kolpino	id=g:546103
Ostrov Kolpina	id=g:546104
Kolpino	id=g:546105
Kolpino	id=g:546106
Kolpina	id=g:546107
Kolpino Pervoye	id=g:546108
Kolpino	id=g:546109
Kolpino	id=g:546110
Kolpino	id=g:546111
Kolpino	id=g:546112
Kolpinka	id=g:546113
Kolpinka	id=g:546114
Ozero Kolpinets	id=g:546115
Ozero Kolpinets	id=g:546116
Kolpina	id=g:546117
Kolpenka	id=g:546118
Kolpenitsa	id=g:546119
Kolpashnitsa	id=g:546120
Kolpashino	id=g:546121
Kolpakskoye	id=g:546122
Kolpakovo	id=g:546123
Kolpakovka	id=g:546124
Kolpaki	id=g:546125
Kolpaki	id=g:546126
Kolpachki	id=g:546127
Kolpachëk	id=g:546128
Kolpa	id=g:546129
Kolp’	id=g:546130
Kolp’	id=g:546131
Kolp’	id=g:546132
Kolp’	id=g:546133
Raz”yezd Kolozovka	id=g:546134
Koloz’ma	id=g:546135
Kolozho	id=g:546136
Kolozërskaya Guba	id=g:546137
Stantsiya Kolozero	id=g:546138
Ozero Kolozero	id=g:546139
Ozero Kolozero	id=g:546140
Ozero Kolozerka	id=g:546141
Koloyar	id=g:546142
Koloyar	id=g:546143
Kolovo	id=g:546144
Kolovertinskiy	id=g:546145
Kolovert’	id=g:546146
Kolousovka	id=g:546147
Kolotysh’	id=g:546148
Kolotygino	id=g:546149
Koloty	id=g:546150
Kolotskoye	id=g:546151
Kolotskiy	id=g:546152
Kolotovshchina	id=g:546153
Kolotovo	id=g:546154
Kolotovo	id=g:546155
Kolotovo	id=g:546156
Kolotovkin	id=g:546157
Kolotovka	id=g:546158
Kolotovino	id=g:546159
Kolotov Buyerak	id=g:546160
Kolotilovka	id=g:546161
Kolotilikha	id=g:546162
Kolote	id=g:546163
Kolotayevskiy	id=g:546164
Kolot	id=g:546165
Kolos	id=g:546166
Kolosovo	id=g:546167
Kolosovo	id=g:546168
Kolosovo	id=g:546169
Kolosovka	id=g:546170
Kolosovka	id=g:546171
Kolosovka	id=g:546172
Mys Kolosova	id=g:546173
Kolosov	id=g:546174
Kolosok	id=g:546175
Kolosley	id=g:546176
Koloskovo	id=g:546177
Stantsiya Kolosistyy	id=g:546178
Koloshma	id=g:546179
Koloshma	id=g:546180
Koloshka	id=g:546181
Koloshino	id=g:546182
Koloshina	id=g:546183
Koloshichi	id=g:546184
Ozero Kolosen-Yarvi	id=g:546185
Kolos Dobra	id=g:546186
Kolosar’	id=g:546187
Sovkhoz Kolos	id=g:546188
Kolkhoz Kolos	id=g:546189
Kolos Kolkhoz	id=g:546190
Kolkhoz Kolos	id=g:546191
Kolkhoz Kolos	id=g:546192
Kolkhoz Kolos	id=g:546193
Kolkhoz Kolos	id=g:546194
Kolkhoz Kolos	id=g:546195
Kolkhoz Kolos	id=g:546196
Kolkhoz Kolos	id=g:546197
Kolos	id=g:546198
Kolos	id=g:546199
Kolos	id=g:546200
Kolos	id=g:546201
Kolopino	id=g:546202
Kolo-Oya	id=g:546203
Kolontayevo	id=g:546204
Kolontayevo	id=g:546205
Kolontayeva	id=g:546206
Stantsiya Kolontayevka	id=g:546207
Kolontay	id=g:546208
Kolontay	id=g:546209
Kolontarevskiy Vtoroy	id=g:546210
Stantsiya Kolonka	id=g:546211
Kolonka	id=g:546212
Yanino Pervoye	id=g:546213
Koloniya Gagarka	id=g:546214
Koloniya Finmanskaya	id=g:546215
Koloniya	id=g:546216
Kolonitsy	id=g:546217
Kolonist	id=g:546218
Kolonichino	id=g:546219
Ozero Kolongozero	id=g:546220
Kolonga	id=g:546221
Kolonets	id=g:546222
Kolomytsevo	id=g:546223
Kolomytsenko	id=g:546224
Kolomyagi	id=g:546225
Kolomo	id=g:546226
Kolomno	id=g:546227
Kolomno	id=g:546228
Kolomno	id=g:546229
Kolomna	id=g:546230
Kolomlino	id=g:546231
Kolomino	id=g:546232
Kolomino	id=g:546233
Kolomino	id=g:546234
Kolomino	id=g:546235
Kolomino	id=g:546236
Kolominka	id=g:546237
Ozero Kolominets	id=g:546238
Kolomina	id=g:546239
Kolomino	id=g:546240
Kolomytsevo	id=g:546241
Stantsiya Kolomenskoye	id=g:546242
Ozero Kolomenskoye	id=g:546243
Kolomenskoye	id=g:546244
Kolomenskoye	id=g:546245
Kolomenskoye	id=g:546246
Kolomenskiy Rayon	id=g:546247
Kolomenskiy	id=g:546248
Kolomenskiy	id=g:546249
Kolomenskaya Sloboda	id=g:546250
Kolomenka	id=g:546251
Beregovaya Kolomenka	id=g:546252
Kolomenka	id=g:546253
Kolomasovo	id=g:546254
Kololovskiy	id=g:546255
Stantsiya Koloksha	id=g:546256
Koloksha	id=g:546257
Koloksha	id=g:546258
Kolokolusha	id=g:546259
Kolokol’tsovka	id=g:546260
Kolokol’tsovka	id=g:546261
Kolokol’tseva	id=g:546262
Kolokolovskaya	id=g:546263
Kolokolovo	id=g:546264
Kolokolovo	id=g:546265
Gora Kolokol’nya	id=g:546266
Kolokol’nya	id=g:546267
Ozero Kolokol’noye	id=g:546268
Kolokol’nitsa	id=g:546269
Guba Kolokolkova	id=g:546270
Kolokola	id=g:546271
Kolokarëvo	id=g:546272
Kologreyevo	id=g:546273
Kologreyevka	id=g:546274
Kologrivskiy Rayon	id=g:546275
Kologrivovo	id=g:546276
Stantsiya Kologrivovka	id=g:546277
Kologrivovka	id=g:546278
Kologrivovka	id=g:546279
Kologrivovka	id=g:546280
Kologrivo	id=g:546281
Kologriv	id=g:546282
Kologreyeva	id=g:546283
Kolod’ye	id=g:546284
Kolodyassy	id=g:546285
Kolodnya	id=g:546286
Kolodnya	id=g:546287
Kolodnya	id=g:546288
Kolodnya	id=g:546289
Ozero Kolodnoye	id=g:546290
Ozero Kolodnoye	id=g:546291
Kolodnoye	id=g:546292
Ozero Kolodno	id=g:546293
Kolodno	id=g:546294
Kolodniki	id=g:546295
Kolodnaya	id=g:546296
Kolodlivaya	id=g:546297
Kolodkiny	id=g:546298
Kolodkino	id=g:546299
Kolodkino	id=g:546300
Kolodkino	id=g:546301
Kolodinskaya	id=g:546302
Kolodino	id=g:546303
Kolodino	id=g:546304
Kolodino	id=g:546305
Kolodino	id=g:546306
Kolodino	id=g:546307
Urochishche Kolodino	id=g:546308
Kolodino	id=g:546309
Stantsiya Kolodinka	id=g:546310
Kolodinka	id=g:546311
Kolodikha	id=g:546312
Kolodezskaya	id=g:546313
Kolodezskiy	id=g:546314
Kolodeznyy	id=g:546315
Kolodeznyy	id=g:546316
Kolodeznyy	id=g:546317
Kolodeznyy	id=g:546318
Kolodeznyy	id=g:546319
Kolodeznyy	id=g:546320
Kolodeznyy	id=g:546321
Kolodeznoye	id=g:546322
Kolodeznaya Kalpenka	id=g:546323
Kolodeznaya	id=g:546324
Kolodeznoye	id=g:546325
Kolodezi	id=g:546326
Kolodeznaya	id=g:546327
Kolodeznyy	id=g:546328
Kolodezki	id=g:546329
Kolodezki	id=g:546330
Kolodez’ki	id=g:546331
Kolodezi	id=g:546332
Kolodezi	id=g:546333
Kolodezi	id=g:546334
Kolodezi	id=g:546335
Kolodezi	id=g:546336
Kolodezi	id=g:546337
Kolodezi	id=g:546338
Kolodezi	id=g:546339
Kolodezi	id=g:546340
Bogdanovy-Kolodezi	id=g:546341
Kolodezi	id=g:546342
Kolodezi	id=g:546343
Nevezhekolodeznoye	id=g:546344
Kolodezi	id=g:546345
Ozero Kolodezhskoye	id=g:546346
Kolodezhnoye	id=g:546347
Kolodezhi	id=g:546348
Ruchey Kolodez’	id=g:546349
Kolodez’	id=g:546350
Kolodeyevo	id=g:546351
Kolodeyevka	id=g:546352
Kolodeyevka	id=g:546353
Ozero Kolodeya	id=g:546354
Kolodeya	id=g:546355
Kolodetskiy	id=g:546356
Ozero Kolodenskoye	id=g:546357
Kolodinka	id=g:546358
Kolodenka	id=g:546359
Kolodenka	id=g:546360
Koloda	id=g:546361
Koloda	id=g:546362
Koloch’	id=g:546363
Koloch’	id=g:546364
Kolobynino	id=g:546365
Urochishche Kolabrodovo	id=g:546366
Kolobrodovo	id=g:546367
Kolobrodov	id=g:546368
Kolobovskaya	id=g:546369
Kolobovo	id=g:546370
Kolobovo	id=g:546371
Kolobovo	id=g:546372
Kolobovo	id=g:546373
Kolobovo	id=g:546374
Kolbovo	id=g:546375
Kolobovo	id=g:546376
Stantsiya Kolobovka	id=g:546377
Kolobovka	id=g:546378
Kolobovka	id=g:546379
Kolobovka	id=g:546380
Kolobova	id=g:546381
Koloberdin	id=g:546382
Kolobenki	id=g:546383
Kolobayevo	id=g:546384
Kolob	id=g:546385
Kolo	id=g:546386
Kolob	id=g:546387
Kol’na	id=g:546388
Lesopunkt Kolmyki	id=g:546389
Ozero Kolmozero	id=g:546390
Kolm-Oya	id=g:546391
Kolmovo	id=g:546392
Kolmolovo	id=g:546393
Kolmogory	id=g:546394
Kolmodvorka	id=g:546395
Ozero Kolmi	id=g:546396
Porog Kolmatskiy	id=g:546397
Kolmoshino	id=g:546398
Kolma-Oya	id=g:546399
Ozero Kolman	id=g:546400
Kolmakovo	id=g:546401
Kolmakovka	id=g:546402
Kolmaki	id=g:546403
Kolmak	id=g:546404
Kolmachëvo	id=g:546405
Proliv Kollinsona	id=g:546406
Kollektivskiy	id=g:546407
Kollektiv Nomer Pervyy	id=g:546408
Stantsiya Kollektivist	id=g:546409
Kollektiv	id=g:546410
Stantsiya Kollasyoki	id=g:546411
Ozero Kollan-Yarvi	id=g:546412
Ozero Kol-Lambina	id=g:546413
Ozëra Kolladi-Yarvi	id=g:546414
Boloto Kolkovo	id=g:546415
Kolkovo	id=g:546416
Kolkovichi	id=g:546417
Kalkni	id=g:546418
Kolkkala	id=g:546419
Kolkino	id=g:546420
Kolki	id=g:546421
Kolki	id=g:546422
Kolki	id=g:546423
Kolki	id=g:546424
Kolkhoznyy	id=g:546425
Kolkhoznyy	id=g:546426
Kolkhoznaya Akhtuba	id=g:546427
Ostanovochnyy Punkt Kolkhoznaya	id=g:546428
Kolkhodoy	id=g:546429
Kolkach	id=g:546430
Kolkach	id=g:546431
Ozero Koli-Yarvi	id=g:546432
Kalitino	id=g:546433
Kolionovo	id=g:546434
Kolinovka	id=g:546435
Porog Kolikorva	id=g:546436
