Puu Mala	id=g:5852979
Puu Waiko Loa	id=g:5853059
Puu Wanawana	id=g:5853060
Pu‘u o Hekili	id=g:5853061
Puu o Hewa	id=g:5853062
Puu o Hewa Reservoir	id=g:5853063
Puu o Kaau	id=g:5853064
Puu o Kahua	id=g:5853065
Puu o Kahuku	id=g:5853066
Puu o Kaia	id=g:5853067
Puu o Kalaukani	id=g:5853068
Puu o Kali	id=g:5853069
Puu o Kamaoa	id=g:5853070
Puu o Kanaloa	id=g:5853071
Puu o Kaopuu	id=g:5853072
Puu o Kaupo	id=g:5853073
Puu o Koha	id=g:5853074
Puu o Lani	id=g:5853075
Puu o Lokuana	id=g:5853076
Puu o Malei	id=g:5853077
Puu o Miki	id=g:5853078
Puu o Nale	id=g:5853079
Puu o Papai	id=g:5853080
Puu o Umi	id=g:5853081
Puu o Umi	id=g:5853082
Puu o Weli	id=g:5853083
Puua	id=g:5853084
Pu‘uahi	id=g:5853085
Pu‘u‘ahu‘ula	id=g:5853086
Pu‘u‘ai‘ākala	id=g:5853087
Pu‘uala	id=g:5853088
Pu‘u‘alaea	id=g:5853089
Pu‘u‘alaea	id=g:5853090
Pu‘u‘alalā	id=g:5853091
Puualealea	id=g:5853092
Pu‘uali‘i	id=g:5853093
Pu‘uali‘i	id=g:5853094
Pu‘uali‘i	id=g:5853095
Pu‘uamuamu	id=g:5853096
Pu‘uanahulu	id=g:5853097
Pu‘uanahulu	id=g:5853098
Pu‘uanahulu	id=g:5853099
Pu‘uanoano	id=g:5853100
Pu‘uapalu	id=g:5853101
Pu‘uau	id=g:5853102
Puuauuka	id=g:5853103
Pu‘u‘enuhe	id=g:5853104
Pu‘u‘eo	id=g:5853105
Pu‘u‘eo	id=g:5853106
Puueo	id=g:5853107
Pu‘u‘eo Pali	id=g:5853108
Pu‘u‘eopākū	id=g:5853109
Pu‘uepa 1	id=g:5853110
Pu‘uepa 2	id=g:5853111
Puuepa Kokoiki Homesteads	id=g:5853112
Pu‘uha‘a	id=g:5853113
Pu‘uhaehae	id=g:5853114
Pu‘uhaha	id=g:5853115
Pu‘uhaiwahine	id=g:5853116
Pu‘uhakina	id=g:5853117
Pu‘uhale	id=g:5853118
Puuhale Elementary School	id=g:5853119
Pu‘uhalo	id=g:5853120
Pu‘uhaoa	id=g:5853121
Pu‘uhapapa	id=g:5853122
Pu‘uhaukea	id=g:5853123
Pu‘uhau‘oki	id=g:5853124
Pu‘uhe‘ewai	id=g:5853125
Pu‘uhele	id=g:5853126
Pu‘uhele	id=g:5853127
Pu‘uheleakalā	id=g:5853128
Puuhewale	id=g:5853129
Puuhi Reservoir	id=g:5853130
Pu‘uhinahina	id=g:5853131
Pu‘uhinahina Lookout	id=g:5853132
Pu‘uhīna‘i	id=g:5853133
Pu‘uhoaka	id=g:5853134
Pu‘uhoakolei	id=g:5853135
Pu‘uhoi	id=g:5853136
Pu‘uhoi Ridge	id=g:5853137
Pu‘uholei	id=g:5853138
Pu‘uhonu	id=g:5853139
Pu‘uhonua Point	id=g:5853140
Pu‘uhonua o Hōnaunau National Historical Park	id=g:5853141
Pu‘uhonua‘ula	id=g:5853142
Pu‘uho‘olehua	id=g:5853143
Pu‘uho‘olewa	id=g:5853144
Pu‘uho‘olio	id=g:5853145
Pu‘uhou	id=g:5853146
Pu‘uhou	id=g:5853147
Pu‘uhuluhulu	id=g:5853148
Pu‘uhuluhulu	id=g:5853149
Pu‘uhuluhulu	id=g:5853150
Pu‘uhuluhulu Gulch	id=g:5853151
Puu Ka Manu	id=g:5853152
Puuiki	id=g:5853153
Pu‘uiki	id=g:5853154
Pu‘uiki	id=g:5853155
Pu‘uiki Beach Park	id=g:5853156
Pu‘uiki Cemetery	id=g:5853157
Pu‘u‘iliahi	id=g:5853158
Pu‘uililua	id=g:5853159
Pu‘u‘iloi	id=g:5853160
Pu‘u‘io	id=g:5853161
Pu‘uioane	id=g:5853162
Pu‘u‘iwa‘iwa	id=g:5853163
Pu‘uka‘aumakua	id=g:5853164
Pu‘ukae‘o	id=g:5853165
Pu‘ukahekili	id=g:5853166
Pu‘ukaheu	id=g:5853167
Pu‘ukahiliku	id=g:5853168
Pu‘ukahinahina	id=g:5853169
Pu‘ukahua	id=g:5853170
Pu‘ukahuauli	id=g:5853171
Pu‘uka‘īlio	id=g:5853172
Pu‘ukaimu‘uala	id=g:5853173
Pu‘ukainapua‘a	id=g:5853174
Pu‘ukaiwiiwi	id=g:5853175
Pu‘ukala	id=g:5853176
Pu‘ukala Point	id=g:5853177
Pu‘ukala-Kaulana Homesteads	id=g:5853178
Pu‘ukalena	id=g:5853179
Pu‘ukalepeamoa	id=g:5853180
Pu‘ukaliali	id=g:5853181
Pu‘ukamaile‘unu	id=g:5853182
Pu‘ukamana	id=g:5853183
Pu‘ukanaio	id=g:5853184
Pu‘ukanakaleonui	id=g:5853185
Pu‘ukanalopakali‘ili‘i	id=g:5853186
Pu‘ukanalopakanui	id=g:5853187
Pu‘ukanawahua	id=g:5853188
Pu‘ukanehoa	id=g:5853189
Pu‘ukānehoalani	id=g:5853190
Pu‘ukao	id=g:5853191
Pu‘uka‘ohelo	id=g:5853192
Pu‘uka‘ōkū Falls	id=g:5853193
Puukaoku Point	id=g:5853194
Pu‘ukaone	id=g:5853195
Pu‘ukapanaha	id=g:5853196
Pu‘ukape‘elua	id=g:5853197
Pu‘ukapele	id=g:5853198
Pu‘ukapele	id=g:5853199
Pu‘ukapele	id=g:5853200
Pu‘ukapele Forest Reserve	id=g:5853201
Pu‘ukapolei	id=g:5853202
Pu‘ukapu Hawaiian Home Land	id=g:5853203
Pu‘ukapu	id=g:5853204
Puukapu Homesteads	id=g:5853205
Puukapu Reservoir	id=g:5853206
Pu‘ukapuai	id=g:5853207
Pu‘ukapukapu	id=g:5853208
Pu‘ukaua	id=g:5853209
Pu‘ukauā	id=g:5853210
Pu‘ukauā	id=g:5853211
Pu‘ukauai	id=g:5853212
Pu‘ukauaua	id=g:5853213
Pu‘ukauila	id=g:5853214
Pu‘ukaukanu	id=g:5853215
Pu‘ukaupakuhale	id=g:5853216
Pu‘ukauweweole	id=g:5853217
Puukawaiwai	id=g:5853218
Pu‘ukawipo‘o	id=g:5853219
Pu‘ukawiwi	id=g:5853220
Pu‘ukea	id=g:5853221
Pu‘ukea	id=g:5853222
Pu‘ukea	id=g:5853223
Puukea	id=g:5853224
Pu‘ukea‘au	id=g:5853225
Pu‘ukeahiakahoe	id=g:5853226
Pu‘uke‘eke‘e	id=g:5853227
Pu‘uke‘eke‘e Game Management Area	id=g:5853228
Pu‘ukekuakāhea	id=g:5853229
Pu‘ukeōkea	id=g:5853230
Pu‘ukeonehehe‘e	id=g:5853231
Pu‘ukēpau‘ula	id=g:5853232
Puuki	id=g:5853233
Pu‘ukī	id=g:5853234
Pu‘ukī	id=g:5853235
Pu‘uki	id=g:5853236
Pu‘ukī	id=g:5853237
Pu‘ukī Wai‘alae Trail	id=g:5853238
Pu‘ukihe	id=g:5853239
Pu‘uki‘i Island	id=g:5853240
Pu‘uki‘i‘āina	id=g:5853241
Pu‘ukilauea	id=g:5853242
Pu‘ukinikini	id=g:5853243
Pu‘ukinikini	id=g:5853244
Pu‘ukiolea	id=g:5853245
Pu‘ukīpū	id=g:5853246
Pu‘ukoa	id=g:5853247
Pu‘ukoa‘e	id=g:5853248
Pu‘ukoa‘e	id=g:5853249
Pu‘ukoa‘e	id=g:5853250
Pu‘ukoholā	id=g:5853251
Pu‘ukoholā Heiau	id=g:5853252
Pu‘ukoholā Heiau National Historic Site	id=g:5853253
Pu‘uko‘ihala	id=g:5853254
Pu‘ukoko	id=g:5853255
Pu‘ukole	id=g:5853256
Pu‘ukole	id=g:5853257
Pu‘ukole	id=g:5853258
Pu‘ukole	id=g:5853259
Pu‘ukolekole	id=g:5853260
Pu‘ukoli	id=g:5853261
Puukolii	id=g:5853262
Puukolii Reservoir	id=g:5853263
Pu‘ukolo	id=g:5853264
Pu‘ukolo	id=g:5853265
Pu‘uko‘ohi	id=g:5853266
Pu‘uko‘oko‘olau	id=g:5853267
Pu‘ukou	id=g:5853268
Pu‘ukuanene	id=g:5853269
Pu‘ukūkae	id=g:5853270
Pu‘ukulua	id=g:5853271
Pu‘ukūmakali‘i	id=g:5853272
Pu‘ukumu	id=g:5853273
Puukumu Stream	id=g:5853274
Pu‘uiki	id=g:5853275
Pu‘uku‘ua	id=g:5853276
Pu‘ula‘alā‘au	id=g:5853277
Pu‘ulā‘au	id=g:5853278
Pu‘ulahohinu	id=g:5853279
Pu‘ula‘i	id=g:5853280
Puulala	id=g:5853281
Pu‘ulala‘au	id=g:5853282
Puulani	id=g:5853283
Puulani	id=g:5853284
Puulani Reservoir	id=g:5853285
Pu‘ulanihuli	id=g:5853286
Pu‘ulanipō	id=g:5853287
Pu‘ulau	id=g:5853288
Pu‘ulehu	id=g:5853289
Pu‘ulehua	id=g:5853290
Pu‘ulena	id=g:5853291
Puulena Crater	id=g:5853292
Pu‘ulilinoe	id=g:5853293
Pu‘uloa	id=g:5853294
Pu‘uloa	id=g:5853295
Pu‘uloa	id=g:5853296
Pu‘uloa	id=g:5853297
Pu‘uloa	id=g:5853298
Puuloa Camp (historical)	id=g:5853299
Pu‘uloa Number Three Camp	id=g:5853300
Pu‘uloa Number Two Camp	id=g:5853301
Puuloa Playground	id=g:5853302
Puuloa Rifle Range	id=g:5853303
Puuloa Salt Works (historical)	id=g:5853304
Pu‘ulohena	id=g:5853305
Pu‘ulou	id=g:5853306
Pu‘ulua	id=g:5853307
Pu‘ulua	id=g:5853308
Pu‘ulua	id=g:5853309
Pu‘ulua Gulch	id=g:5853310
Pu‘ukuolani	id=g:5853311
Pu‘ulu‘au	id=g:5853312
Pu‘ulupe Stream	id=g:5853313
Pu‘uluahine	id=g:5853314
Pu‘uma‘au	id=g:5853315
Pu‘umā‘eli‘eli	id=g:5853316
Pu‘uma‘ema‘e	id=g:5853317
Pu‘umahanalua	id=g:5853318
Pu‘umahanalua	id=g:5853319
Pu‘umaho	id=g:5853320
Pu‘umāhoe	id=g:5853321
Pu‘umāhoe	id=g:5853322
Puumaiakahe	id=g:5853323
Puumaiekahi Gulch	id=g:5853324
Pu‘uma‘au	id=g:5853325
Puumaile Gulch	id=g:5853326
Pu‘umaile	id=g:5853327
Puumakaa	id=g:5853328
Pu‘umaka‘ala	id=g:5853329
Pu‘umaka‘ala Natural Area Reserve	id=g:5853330
Pu‘umakahalau	id=g:5853331
Pu‘umakakilo	id=g:5853332
Pu‘umakali‘ili‘i	id=g:5853333
Pu‘umākanaka	id=g:5853334
Puumakani	id=g:5853335
Puumakani	id=g:5853336
Pu‘umali	id=g:5853337
Pu‘umāmane	id=g:5853338
Pu‘umanamana	id=g:5853339
Pu‘umana‘o	id=g:5853340
Pu‘umaninikolo	id=g:5853341
Pu‘umanō	id=g:5853342
Pu‘umau‘u	id=g:5853343
Pu‘umoa	id=g:5853344
Pu‘umoana	id=g:5853345
Puumoi	id=g:5853346
Pu‘umōiwi	id=g:5853347
Pu‘umo‘opuna	id=g:5853348
Pu‘unāhāhā	id=g:5853349
Pu‘unāhāhā	id=g:5853350
Pu‘unāhāhā	id=g:5853351
Pu‘unānā	id=g:5853352
Pu‘unanaha	id=g:5853353
Pu‘unau	id=g:5853354
Pu‘unaue	id=g:5853355
Puunene	id=g:5853356
Puunene	id=g:5853357
Puunene Airport (historical)	id=g:5853358
Puunene Filtration Plant	id=g:5853359
Puunene Hospital (historical)	id=g:5853360
Pu‘unianiau	id=g:5853361
Pu‘unananana	id=g:5853362
Puunoa	id=g:5853363
Pu‘unoa Beach	id=g:5853364
Puunoa Point	id=g:5853365
Pu‘unole	id=g:5853366
Pu‘unōpili	id=g:5853367
Pu‘unui	id=g:5853368
Puunui Playground	id=g:5853369
Pu‘unukohe	id=g:5853370
Puuo Point	id=g:5853371
Pu‘uohai	id=g:5853372
Puuohala Village	id=g:5853373
Pu‘uohanalei	id=g:5853374
Pu‘uohā‘upu	id=g:5853375
Pu‘u‘ōhelo	id=g:5853376
Pu‘uohoku	id=g:5853377
Pu‘uohoku Ranch	id=g:5853378
Pu‘uohu	id=g:5853379
Pu‘uohua	id=g:5853380
Pu‘uohua Stream	id=g:5853381
Pu‘u‘ōhulehule	id=g:5853382
Pu‘u‘ohulu	id=g:5853383
Puuohulu Beach Park (historical)	id=g:5853384
Pu‘u‘ohulu Kai	id=g:5853385
Pu‘u‘ohulu Uka	id=g:5853386
Pu‘uoili	id=g:5853387
Pu‘uoka‘eha	id=g:5853388
Pu‘uokahanui	id=g:5853389
Pu‘uokahaula	id=g:5853390
Pu‘uokaiaka	id=g:5853391
Pu‘uokāka‘e	id=g:5853392
Puuokalauliko	id=g:5853393
Pu‘u‘okale	id=g:5853394
Puuokalepa Stream	id=g:5853395
Pu‘umā‘ili‘ili	id=g:5853396
Pu‘uokauha	id=g:5853397
Pu‘u‘oke‘oke‘o	id=g:5853398
Pu‘u‘okihe	id=g:5853399
Pu‘u‘okila	id=g:5853400
Pu‘uokila	id=g:5853401
Pu‘u‘okīpahulu	id=g:5853402
Pu‘uoko‘eke	id=g:5853403
Pu‘uokoholā	id=g:5853404
Pu‘u‘okona	id=g:5853405
Puuokumau	id=g:5853406
Puuokumau Reservoir	id=g:5853407
Pu‘u‘ōlelo	id=g:5853408
Pu‘u‘oli	id=g:5853409
Puāuāomahana	id=g:5853410
Pu‘uomahuka Heiau	id=g:5853411
Puuomaile	id=g:5853412
Pu‘uomāui	id=g:5853413
Pu‘u‘omāwae	id=g:5853414
Pu‘uone	id=g:5853415
Pu‘uonepohue	id=g:5853416
Pu‘u‘ō‘ō	id=g:5853417
Pu‘u‘ō‘ō Ranch	id=g:5853418
Pu‘u‘ōpae	id=g:5853419
Pu‘u‘ōpae	id=g:5853420
Pu‘u‘ōpae Reservoir	id=g:5853421
Pu‘uopele	id=g:5853422
Pu‘u‘opipika	id=g:5853423
Pu‘u‘ouo	id=g:5853424
Pu‘uowaha‘ula	id=g:5853425
Pu‘uowailau	id=g:5853426
Pu‘upāhe‘ehe‘e	id=g:5853427
Pu‘upahu	id=g:5853428
Pu‘upahu	id=g:5853429
Pu‘upaipaia	id=g:5853430
Pu‘upalailai	id=g:5853431
Pu‘upalaolelo	id=g:5853432
Pu‘upane	id=g:5853433
Pu‘upane	id=g:5853434
Pu‘upāpaa	id=g:5853435
Pu‘upāpa‘	id=g:5853436
Pu‘upapapa	id=g:5853437
Pu‘upe‘ahināi‘a	id=g:5853438
Puupehe	id=g:5853439
Puupehu	id=g:5853440
Pu‘upia	id=g:5853441
Pu‘upiei	id=g:5853442
Puupiha Cemetery	id=g:5853443
Pu‘upili	id=g:5853444
Pu‘upili	id=g:5853445
Pu‘upoepoe	id=g:5853446
Pu‘upōhaku	id=g:5853447
Pu‘upōhaku	id=g:5853448
Pu‘upōhakuloa	id=g:5853449
Pu‘upōhakuloa	id=g:5853450
Pu‘upoli‘ahu	id=g:5853451
Pu‘upoulihale	id=g:5853452
Pu‘upueo	id=g:5853453
Pu‘upueo	id=g:5853454
Pu‘upū‘ou	id=g:5853455
Pu‘uuahia	id=g:5853456
Pu‘u‘uao	id=g:5853457
Pu‘u‘ua‘u	id=g:5853458
Pu‘u‘ula	id=g:5853459
Pu‘u‘ula	id=g:5853460
Pu‘u‘ula‘ula	id=g:5853461
Pu‘u‘ula‘ula	id=g:5853462
Pu‘u‘ula‘ula	id=g:5853463
Pu‘u‘ula‘ula	id=g:5853464
Pu‘u‘ula‘ula	id=g:5853465
Pu‘u‘ula‘ula	id=g:5853466
Pu‘u‘ula‘ulua	id=g:5853467
Pu‘uwa‘awa‘a	id=g:5853468
Pu‘uwahi	id=g:5853469
Pu‘uwai	id=g:5853470
Pu‘uwai Beach	id=g:5853471
Pu‘uwaiahilahila	id=g:5853472
Pu‘uwaiau	id=g:5853473
Pu‘uwaihu‘ena	id=g:5853474
Pu‘uwaimānalo	id=g:5853475
Pu‘uwēkiu	id=g:5853476
Puwahi	id=g:5853477
Pūwainui Falls	id=g:5853478
Puwaiole Gulch	id=g:5853479
Pyramid Rock	id=g:5853480
Pyramid Rock Beach	id=g:5853481
Quarry Loch	id=g:5853482
Queen Emma Building	id=g:5853483
Queen Emma Museum	id=g:5853484
Queen Emma Square	id=g:5853485
Queen Emma Tower	id=g:5853486
Queen Liliuokalani Building	id=g:5853487
Queen Liliuokalani Center for Student Services	id=g:5853488
Queen Lili‘uokalani Garden	id=g:5853489
Queen Victorias Profile	id=g:5853490
Queen of the Holy Rosary Roman Catholic Church	id=g:5853491
Queens Bath	id=g:5853492
Queens Bath	id=g:5853493
Queens Hospital	id=g:5853494
Queens Surf Beach Park	id=g:5853495
Radio Bay	id=g:5853496
Rainbow County Park	id=g:5853497
Rainbow Falls	id=g:5853498
Rainshed Heliport	id=g:5853499
Ralston Field	id=g:5853500
Ranch Camp	id=g:5853501
Ranch Camp	id=g:5853502
Red Cone	id=g:5853503
Red Cones	id=g:5853504
Red Hill	id=g:5853505
Red Hill	id=g:5853506
Red Hill Elementary School	id=g:5853507
Red Tank (not official)	id=g:5853508
Redlander Field	id=g:5853509
Reeds Bay	id=g:5853510
Reeds Bay Beach Park	id=g:5853511
Reeds Island	id=g:5853512
Regina Pacis Hall	id=g:5853513
Rehabilitation Hospital of the Pacific	id=g:5853514
Renton Village	id=g:5853515
Reorganized Church of Jesus Christ of Latter Day Saints	id=g:5853516
Reorganized Church of Jesus Christ of Latter Day Saints	id=g:5853517
Republic of Hawaii (historical)	id=g:5853518
Reservoir Number One	id=g:5853519
Rice Field	id=g:5853520
Rice Memorial Park	id=g:5853521
Rice Patch	id=g:5853522
Rice Shopping Center	id=g:5853523
Richardson Ocean Center	id=g:5853524
Rinzai Zen Temple	id=g:5853525
Rissho Kosei-Kai	id=g:5853526
Rissho Kosei-Kai Hawaii Kyokai	id=g:5853527
River of Life Mission	id=g:5853528
Robert C Allerton Library	id=g:5853529
Robinson Landing	id=g:5853530
Rock Wall Corral	id=g:5853531
Rocky Hill	id=g:5853532
Rocky Point	id=g:5853533
Ross School	id=g:5853534
Round Top	id=g:5853535
Royal Elementary School	id=g:5853536
Royal Gardens	id=g:5853537
Royal Hawaiian Shopping Center	id=g:5853538
Royal Kaanapali Golf Course	id=g:5853539
Royal Mausoleum	id=g:5853540
Royal Mausoleum State Monument	id=g:5853541
Royal-Moana Beach	id=g:5853542
Russian Fort Elizabeth State Historic Park	id=g:5853543
Russian Fort Elizabeth State Historical Park	id=g:5853544
Russian Village	id=g:5853545
Ryusenji Soto Mission	id=g:5853546
S Mowai	id=g:5853547
Sacred Falls	id=g:5853548
Sacred Falls Trail	id=g:5853549
Sacred Heart Catholic Church	id=g:5853550
Sacred Heart Church	id=g:5853551
Sacred Heart Church	id=g:5853552
Sacred Heart Seminary	id=g:5853553
Sacred Hearts Academy	id=g:5853554
Sacred Hearts Cemetery	id=g:5853555
Sacred Hearts Convent	id=g:5853556
Saddle Road Junction	id=g:5853557
Saint Andrews Cathedral	id=g:5853558
Saint Andrews Priory School for Girls	id=g:5853559
Saint Anns Church	id=g:5853560
Saint Anns School	id=g:5853561
Saint Anthony School	id=g:5853562
Saint Anthony School	id=g:5853563
Saint Anthony School	id=g:5853564
Saint Anthonys Catholic Cemetery	id=g:5853565
Saint Anthonys Catholic Church	id=g:5853566
Saint Anthonys Church	id=g:5853567
Saint Anthonys Girls High School	id=g:5853568
Saint Anthonys Roman Catholic Church	id=g:5853569
Saint Augustine Church	id=g:5853570
Saint Augustine Episcopal Cemetery	id=g:5853571
Saint Augustine Parish Convent (historical)	id=g:5853572
Saint Augustine School (historical)	id=g:5853573
Saint Augustines Episcopal Church	id=g:5853574
Saint Benedicts Church	id=g:5853575
Saint Catherines Church	id=g:5853576
Saint Catherines School	id=g:5853577
Saint Christophers Episcopal Church	id=g:5853578
Saint Clements Episcopal Church	id=g:5853579
Saint Clements School	id=g:5853580
Saint Elizabeth Church	id=g:5853581
Saint Elizabeth School	id=g:5853582
Saint Elizabeths Episcopal Church	id=g:5853583
Saint Francis Convent School	id=g:5853584
Saint Francis Medical Center	id=g:5853585
Saint Gabriels Church	id=g:5853586
Saint Georges Roman Catholic Church	id=g:5853587
Saint James Catholic Church	id=g:5853588
Saint John Hall	id=g:5853589
Saint John Lutheran Church	id=g:5853590
Saint John School	id=g:5853591
Saint John the Baptist Church	id=g:5853592
Saint John Vianney Church	id=g:5853593
Saint John Vianney School	id=g:5853594
Saint Joseph Church	id=g:5853595
Saint Joseph Church (historical)	id=g:5853596
Saint Joseph School	id=g:5853597
Saint Josephs Church	id=g:5853598
Saint Josephs High School	id=g:5853599
Saint Josephs Roman Catholic Church	id=g:5853600
Saint Josephs Roman Catholic Church	id=g:5853601
Saint Josephs School	id=g:5853602
Saint Louis Heights	id=g:5853603
Saint Louis Heights Pumping Station Number 1	id=g:5853604
Saint Louis Heights Pumping Station Number 2	id=g:5853605
Saint Louis High School	id=g:5853606
Saint Lukes Episcopal Church	id=g:5853607
Saint Lukes Preschool	id=g:5853608
Saint Mark Lutheran Church	id=g:5853609
Saint Mark Lutheran School	id=g:5853610
Saint Marks Church	id=g:5853611
Saint Marks School	id=g:5853612
Saint Marys Church	id=g:5853613
Saint Marys Episcopal Church	id=g:5853614
Saint Matthews Episcopal Church	id=g:5853615
Saint Michael and All Angels Church	id=g:5853616
Saint Michaels Church	id=g:5853617
Saint Michaels School	id=g:5853618
Saint Nicholas Episcopal Church	id=g:5853619
Saint Patrick Church	id=g:5853620
Saint Patricks School	id=g:5853621
Saint Pauls Episcopal Cemetery	id=g:5853622
Saint Pauls Episcopal Church	id=g:5853623
Saint Peters Catholic Church	id=g:5853624
Saint Peters Episcopal Church	id=g:5853625
Saint Philips Episcopal Church	id=g:5853626
Saint Philomena Catholic Church	id=g:5853627
Saint Pius X Roman Catholic Church	id=g:5853628
Saint Roch Church	id=g:5853629
Saint Rogatine Bank	id=g:5853630
Saint Stephens Church	id=g:5853631
Saint Stephens Seminary	id=g:5853632
Saint Sylvesters Catholic Church	id=g:5853633
Saint Theresa School	id=g:5853634
Saint Theresa School	id=g:5853635
Saint Theresas Church	id=g:5853636
Saint Thomas More Church	id=g:5853637
Saint Timothys Childrens Center	id=g:5853638
Saint Timothys Episcopal Church	id=g:5853639
Saints Peter and Paul Church	id=g:5853640
Saints Peter and Paul Mission	id=g:5853641
Sakamaki Hall	id=g:5853642
Saki Mana (historical)	id=g:5853643
Saki Mana Shaft	id=g:5853644
Salmon Bank	id=g:5853645
Salt Lake	id=g:5853646
Salt Lake District Park	id=g:5853647
Salt Lake Elementary School	id=g:5853648
Salt Lake Shopping Center	id=g:5853649
Salt Lake-Moanalua Public Library	id=g:5853650
Salt Pond Beach Park	id=g:5853651
Salvation Army Kaimukī Cottages	id=g:5853652
Salvation Army Waiole Cottages	id=g:5853653
Sam Sing Village	id=g:5853654
Sam Wights Beach	id=g:5853655
Samoan Congregational Christian Church	id=g:5853656
Sampan Channel	id=g:5853657
Samual N and Mary Castle Memorial Commons	id=g:5853658
Samuel and Mary Castle Art Center	id=g:5853659
San Raphael Church	id=g:5853660
Sand Box Beach	id=g:5853661
Sand Hill	id=g:5853662
Sand Hills	id=g:5853663
Sand Island	id=g:5853664
Sand Island	id=g:5853665
Sand Island	id=g:5853666
Sand Island State Park	id=g:5853667
Sand Point	id=g:5853668
Sandy Beach	id=g:5853669
Sandy Beach Park	id=g:5853670
Sans Souci Beach	id=g:5853671
Sans Souci State Recreational Park	id=g:5853672
Santos Bay	id=g:5853673
Saunders Hall	id=g:5853674
Schofield Barracks Forest Reserve	id=g:5853675
Schofield Veterans Cemetery	id=g:5853676
Schofield Waikāne Trail	id=g:5853677
School Village	id=g:5853678
Scott Elementary School	id=g:5853679
Scudder Dining Hall	id=g:5853680
Sea Life Park	id=g:5853681
Sea Lodge Beach	id=g:5853682
Sea Mountain Golf Club	id=g:5853683
Sea View	id=g:5853684
Seabury Hall	id=g:5853685
Seal Island	id=g:5853686
Seamens Cemetery	id=g:5853687
Secret Beach	id=g:5853688
See Dai Do Society	id=g:5853689
Seicho No Ie Church	id=g:5853690
Seicho-No-Ie Hawaii Society	id=g:5853691
Sellon Hall	id=g:5853692
Seven Pools	id=g:5853693
Seventh Day Adventist Church	id=g:5853694
Shack Camp	id=g:5853695
Shafter Elementary School	id=g:5853696
Shangri-La	id=g:5853697
Shark Bay	id=g:5853698
Sharks Bay	id=g:5853699
Sharks Cove	id=g:5853700
Sheep Station	id=g:5853701
Sherwood Forest	id=g:5853702
Shingle Channel	id=g:5853703
Shingon Buddhist Temple	id=g:5853704
Shinshu Kyokai Buddhist Mission	id=g:5853705
Shipwreck Beach	id=g:5853706
Shriners Hospital	id=g:5853707
Sills Field	id=g:5853708
Siloama Protestant Church	id=g:5853709
Silversword Inn	id=g:5853710
Silversword Loop	id=g:5853711
Sisal	id=g:5853712
Sleeping Giant	id=g:5853713
