Moami	id=g:2357950
Lèrbou	id=g:2358377
Léra	id=g:2358378
Léournyou	id=g:2358379
Léoura	id=g:2358380
Léongo	id=g:2358381
Léo	id=g:2358382
Lénon	id=g:2358383
Lengou	id=g:2358384
Lenga	id=g:2358385
Léna	id=g:2358386
Léna	id=g:2358387
Lèmséré	id=g:2358388
Lèmnongo	id=g:2358389
Lemmkora	id=g:2358390
Lemmka	id=g:2358391
Lemmka	id=g:2358392
Lémini	id=g:2358393
Lèmbonoro	id=g:2358394
Léloubon	id=g:2358395
Lèlkom	id=g:2358396
Lelkom	id=g:2358397
Léli	id=g:2358398
Léli	id=g:2358399
Lélétan	id=g:2358400
Lélétan	id=g:2358401
Lèlèrama	id=g:2358402
Lélèguéssé	id=g:2358403
Léléguéré	id=g:2358404
Lélègsé	id=g:2358405
Lèlèdo	id=g:2358406
Lélé	id=g:2358407
Lelasso	id=g:2358408
Lélarma	id=g:2358409
Lékuy	id=g:2358410
Lékuy	id=g:2358411
Lèkou	id=g:2358412
Lékoro	id=g:2358413
Léï	id=g:2358414
Lehitanga	id=g:2358415
Léguéma	id=g:2358416
Légouré	id=g:2358417
Légou	id=g:2358418
Lègmoin	id=g:2358419
Legbouindigui	id=g:2358420
Léfourba	id=g:2358421
Léfarako	id=g:2358422
Léfara	id=g:2358423
Lédigué	id=g:2358424
Lédéré	id=g:2358425
Lébra	id=g:2358426
Lebiélé	id=g:2358427
Lébéré Béla	id=g:2358428
Lébanga	id=g:2358429
Léba	id=g:2358430
Léba	id=g:2358431
Léamtenga	id=g:2358432
Layavri	id=g:2358433
Lay	id=g:2358434
Lawen	id=g:2358435
Laway	id=g:2358436
Laoua	id=g:2358437
Latou	id=g:2358438
Latou	id=g:2358439
La Todin	id=g:2358440
La Titon	id=g:2358441
Latian	id=g:2358442
Lati	id=g:2358443
Latara	id=g:2358444
Lassonpwéri	id=g:2358445
Lasso	id=g:2358446
Lassa Véndou	id=g:2358447
Lassané	id=g:2358448
Lassa Foulbé	id=g:2358449
Laro	id=g:2358450
Larmanga	id=g:2358451
Larlé	id=g:2358452
Larhala	id=g:2358453
Largogo	id=g:2358454
Largo	id=g:2358455
Larga	id=g:2358456
Laré	id=g:2358457
Laré	id=g:2358458
Larbi	id=g:2358459
Laranfiéra	id=g:2358460
Laranfiéra	id=g:2358461
Laranfiara	id=g:2358462
Larama	id=g:2358463
Lara	id=g:2358464
Lapyo	id=g:2358465
Laponi	id=g:2358466
Laponé	id=g:2358467
Lapa	id=g:2358468
Laougou	id=g:2358469
Laordé	id=g:2358470
Laordé	id=g:2358471
Laonio	id=g:2358472
Laongo Yanga	id=g:2358473
Laongo Lango	id=g:2358474
Laogo	id=g:2358475
Lao	id=g:2358476
Lao	id=g:2358477
Lao	id=g:2358478
Lao	id=g:2358479
Lanviéra	id=g:2358480
Lantari	id=g:2358481
Lantaoro	id=g:2358482
Lantao	id=g:2358483
Lantaga	id=g:2358484
Lanogo	id=g:2358485
Lannyé	id=g:2358486
Lankyanya	id=g:2358487
Lankwé	id=g:2358488
Lankoé	id=g:2358489
Lankassaga	id=g:2358490
Langouérou	id=g:2358491
Langara	id=g:2358492
Lanfiéra	id=g:2358493
Lanférakora	id=g:2358494
Landro	id=g:2358495
Landenkonou	id=g:2358496
Lanbdoga	id=g:2358497
Lanbara	id=g:2358498
La Nabili	id=g:2358499
Lan	id=g:2358500
Lan	id=g:2358501
Lamzoudo	id=g:2358502
Lampyadi	id=g:2358503
Lamoussadaga	id=g:2358504
Lamona	id=g:2358505
Lammzoussi	id=g:2358506
Lammzoussi	id=g:2358507
Lamdamaol	id=g:2358508
Lambouaka	id=g:2358509
Lamana Koria	id=g:2358510
Lamana Kassirga	id=g:2358511
Lama	id=g:2358512
Lalma	id=g:2358513
Lallé	id=g:2358514
Lalla	id=g:2358515
Lalipouré	id=g:2358516
Lalgué	id=g:2358517
Lalgaye	id=g:2358518
Laléara	id=g:2358519
Lalé	id=g:2358520
Lalé	id=g:2358521
Lakba	id=g:2358522
Lakaré	id=g:2358523
Lahoura	id=g:2358524
Lahol	id=g:2358525
Laho	id=g:2358526
Lahirasso	id=g:2358527
Lahigoué	id=g:2358528
Lahallé	id=g:2358529
Lahalé	id=g:2358530
Lahagi	id=g:2358531
Lagyou	id=g:2358532
Lagyana	id=g:2358533
Lagué	id=g:2358534
Lagparé	id=g:2358535
Lago	id=g:2358536
Lago	id=g:2358537
Lagitenga	id=g:2358538
Lafya	id=g:2358539
Lafodé	id=g:2358540
Lafigué	id=g:2358541
Lafigué	id=g:2358542
Lafié	id=g:2358543
Lafala Kourou	id=g:2358544
Lafa	id=g:2358545
Laésséno	id=g:2358546
Ladré	id=g:2358547
Ladré	id=g:2358548
Ladouré	id=g:2358549
Ladouenda	id=g:2358550
Lâdou	id=g:2358551
Lado	id=g:2358552
Lado	id=g:2358553
Ladio	id=g:2358554
Laddé Yatako	id=g:2358555
Labozéré	id=g:2358556
Labozaba	id=g:2358557
Labouli	id=g:2358558
Labola	id=g:2358559
Labièn	id=g:2358560
Labi	id=g:2358561
Labelongo	id=g:2358562
Labarani	id=g:2358563
Labara	id=g:2358564
Labara	id=g:2358565
Forêt Classée de Laba	id=g:2358566
Laba	id=g:2358567
La	id=g:2358568
La	id=g:2358569
Lâ	id=g:2358570
Kyoro	id=g:2358571
Kyikan	id=g:2358572
Kyétébala	id=g:2358573
Kyétarhga	id=g:2358574
Kyéri	id=g:2358575
Kyérèlsé	id=g:2358576
Kyèntsom	id=g:2358577
Kyentenga	id=g:2358578
Kyenkiélogo	id=g:2358579
Kyèndyaga	id=g:2358580
Kyémpalgo	id=g:2358581
Kyèlèlkyopè	id=g:2358582
Kiedpalgo	id=g:2358583
Kyeka	id=g:2358584
Kyébelga	id=g:2358585
Kyala	id=g:2358587
Kyabya	id=g:2358588
Kya	id=g:2358589
Kwotougou	id=g:2358590
Kwotougou	id=g:2358591
Kwon	id=g:2358592
Kwilisen	id=g:2358593
Kwila	id=g:2358594
Kwila	id=g:2358595
Kwèsé	id=g:2358596
Kwensé	id=g:2358597
Kwénani	id=g:2358598
Kwèn	id=g:2358599
Kwarkorodi	id=g:2358600
Kwaré Manguèl	id=g:2358601
Kwanrhanga	id=g:2358602
Kwanrhandyoga	id=g:2358603
Kwandibouri	id=g:2358604
Kwaké	id=g:2358605
Kwadifagou	id=g:2358606
Kwademen	id=g:2358607
Kurmen	id=g:2358608
Kuékuéra	id=g:2358609
Ktédia	id=g:2358610
Kpuéré	id=g:2358611
Kpoumané	id=g:2358612
Kpoko	id=g:2358613
Kpo	id=g:2358614
Kpétora	id=g:2358615
Kpéra	id=g:2358616
Kpé	id=g:2358617
Kparanta	id=g:2358618
Kpapirao	id=g:2358619
Kpapalanboura	id=g:2358620
Kpantianao	id=g:2358621
Kpanpouna	id=g:2358622
Kpandiao	id=g:2358623
Kpala	id=g:2358624
Kpakpara	id=g:2358625
Koygouroua	id=g:2358626
Koyéné	id=g:2358627
Koyati	id=g:2358628
Koyaré	id=g:2358629
Koyenga	id=g:2358630
Mont Koya	id=g:2358631
Koya	id=g:2358632
Koworo	id=g:2358633
Kowari	id=g:2358634
Kovri	id=g:2358635
Kovio	id=g:2358636
Kouzié	id=g:2358637
Kouyougou	id=g:2358638
Kouyéra	id=g:2358639
Kouyé	id=g:2358640
Koui	id=g:2358641
Koutyagou	id=g:2358642
Koutséni	id=g:2358643
Koutoura	id=g:2358644
Koutoumkandé	id=g:2358645
Koutougou	id=g:2358646
Koutoubéré	id=g:2358647
Koutouban	id=g:2358648
Koutoberlé	id=g:2358649
Koutinasogo	id=g:2358650
Koutiélé	id=g:2358651
Koutiana	id=g:2358652
Koutiana	id=g:2358653
Koutiala	id=g:2358654
Koutakou	id=g:2358655
Kouta	id=g:2358656
Koussougou	id=g:2358657
Koussiri	id=g:2358658
Koussiri	id=g:2358659
Koussia	id=g:2358660
Koussaro	id=g:2358661
Koussana	id=g:2358662
Koussadaga	id=g:2358663
Kousoumason	id=g:2358664
Kousoulougou	id=g:2358665
Kouryaoguen	id=g:2358666
Kourya	id=g:2358667
Koury	id=g:2358668
Koursiéra	id=g:2358669
Koursiéra	id=g:2358670
Koursiéra	id=g:2358671
Koursiéra	id=g:2358672
Kourou Véndou	id=g:2358673
Kourountouin	id=g:2358674
Kourounkaoua	id=g:2358675
Kouroumba	id=g:2358676
Kouroumani	id=g:2358677
Kourouma	id=g:2358678
Kouroukui	id=g:2358679
Kouroukida	id=g:2358680
Kourougui	id=g:2358681
Kourouguéré	id=g:2358682
Kourougou	id=g:2358683
Kourougou	id=g:2358684
Kouroufina	id=g:2358685
Kouroué	id=g:2358686
Kourouboulli	id=g:2358687
Kourou Bogo	id=g:2358688
Kouroubariko	id=g:2358689
Kourouba	id=g:2358690
Kourou	id=g:2358691
Kourou	id=g:2358692
Kourori	id=g:2358693
Kouro	id=g:2358694
Kournéré	id=g:2358695
Kourloungou	id=g:2358696
Kourkourkodya	id=g:2358697
Kourki	id=g:2358698
Kourit Yaoguen	id=g:2358699
Province du Kouritenga	id=g:2358700
Kouritenga	id=g:2358701
Kourissiensé	id=g:2358702
Kourinion	id=g:2358703
Kourigué	id=g:2358704
Kourian	id=g:2358705
Kouri	id=g:2358706
Kouri	id=g:2358707
Kouri	id=g:2358708
Kouri	id=g:2358709
Kouri	id=g:2358710
Kouri	id=g:2358711
Kourgou	id=g:2358712
Kourgou	id=g:2358713
Kourgou	id=g:2358714
Kourgano	id=g:2358715
Kourfèl Sidiki	id=g:2358716
Kourfadié	id=g:2358717
Kourésilogo	id=g:2358718
Kourdyana	id=g:2358719
Kourouba Bangaré	id=g:2358720
Kourouba Mogo	id=g:2358721
Kourao	id=g:2358722
Kourani	id=g:2358723
Koumranga	id=g:2358724
Koura-Kourou	id=g:2358725
Kourakou	id=g:2358726
Koura	id=g:2358727
Kour	id=g:2358728
Koupouello	id=g:2358729
Koupessara	id=g:2358730
Koupéné	id=g:2358731
Koupélogo	id=g:2358732
Koupellé	id=g:2358733
Koupélen	id=g:2358734
Koubol Alfa	id=g:2358735
Koupéla	id=g:2358736
Koupéla	id=g:2358737
Koupéla	id=g:2358738
Koupéla	id=g:2358739
Koupéala	id=g:2358740
Kouossey	id=g:2358741
Kouoro	id=g:2358742
Kounyenga	id=g:2358743
Kounti	id=g:2358744
Kounou	id=g:2358745
Kounla	id=g:2358746
Kounla	id=g:2358747
Kounkouna	id=g:2358748
Kouni Kouni	id=g:2358749
Kounia	id=g:2358750
Kouni	id=g:2358751
Kouni	id=g:2358752
Koungwo	id=g:2358753
Koungui Ba	id=g:2358754
Koungny	id=g:2358755
Kounga	id=g:2358756
Koundoula	id=g:2358757
Koundougou	id=g:2358758
Koundougou	id=g:2358759
Koundouba	id=g:2358760
Koundogo	id=g:2358761
Koundla	id=g:2358762
Koundiri	id=g:2358763
Koundimi-Soudéni	id=g:2358764
Koundimi-Ba	id=g:2358765
Koundi	id=g:2358766
Kounda	id=g:2358767
Kounandia	id=g:2358768
Kouna	id=g:2358769
Kouna	id=g:2358770
Kouna	id=g:2358771
Koumzorodogo	id=g:2358772
Koumsyéogo	id=g:2358773
Koumsaga	id=g:2358774
Koumnoro	id=g:2358775
Koumnéré	id=g:2358776
Koumna	id=g:2358777
Koumkoulré	id=g:2358778
Koumisi	id=g:2358779
Koumirtenga	id=g:2358780
Koumi	id=g:2358781
Kouména	id=g:2358782
Koumègo	id=g:2358783
Koumé	id=g:2358784
Koumdanioré	id=g:2358785
Koumbri	id=g:2358786
Koumbranga	id=g:2358787
Koumbou	id=g:2358788
Koumbogoro	id=g:2358789
Koumbo	id=g:2358790
Koumbia	id=g:2358791
Koumbataka	id=g:2358792
Koumbara	id=g:2358793
Koumbara	id=g:2358794
Koumbani	id=g:2358795
Koumbango	id=g:2358796
Koumbadougou	id=g:2358797
Koumandi	id=g:2358798
Koumandara	id=g:2358799
Koumana	id=g:2358800
Kouma	id=g:2358801
Koulwéogo	id=g:2358802
Koulwéogo	id=g:2358803
Koulto	id=g:2358804
Koulsyani	id=g:2358805
Koulponsgo	id=g:2358806
Koulpissi	id=g:2358807
Koulpissi	id=g:2358808
Koulpellé	id=g:2358809
Koul Péolgo	id=g:2358810
Koulpelga	id=g:2358811
Koulpélé	id=g:2358812
Koulouwagadi	id=g:2358813
Koulouoko	id=g:2358814
Koulouoko	id=g:2358815
Kouloungou Iré	id=g:2358816
Koulouméogou	id=g:2358817
Kouloumbou	id=g:2358818
Kouloumasatenga	id=g:2358819
Koulouloura	id=g:2358820
Kouloukpé	id=g:2358821
Kouloukoni	id=g:2358822
Koulouko	id=g:2358823
Koulougoto	id=g:2358824
Koulogo	id=g:2358825
Koulougbélé	id=g:2358826
Koulou-Ganda	id=g:2358827
Koulouga	id=g:2358828
Koulouéogo	id=g:2358829
Koulouéogo	id=g:2358830
Kouloubila	id=g:2358831
Kouloubila	id=g:2358832
Koulou	id=g:2358833
Koulopagaré	id=g:2358834
Kouloko	id=g:2358835
Kouloko	id=g:2358836
Koulwoko	id=g:2358837
Koulohoko	id=g:2358838
Kouloho	id=g:2358839
Koulogo	id=g:2358840
Koulogo	id=g:2358841
Koulogo	id=g:2358842
Koulo	id=g:2358843
Koulo	id=g:2358844
Koulnatenga	id=g:2358845
Koulmyougou	id=g:2358846
Koulli	id=g:2358847
Koulkon	id=g:2358848
Koulkianga	id=g:2358849
Kouritenga	id=g:2358850
Koulirouré	id=g:2358851
Koulinkouna	id=g:2358852
Kouliniéré	id=g:2358853
Koulimazaren	id=g:2358854
Forêt Classée de Koulima	id=g:2358855
Koulima	id=g:2358856
Koulikamsé	id=g:2358857
Kouliga	id=g:2358858
Koulibila	id=g:2358859
Kouliba	id=g:2358860
Kouli	id=g:2358861
Koulgoren	id=g:2358862
Koulga	id=g:2358863
Koulga	id=g:2358864
Koulétéon	id=g:2358865
Kouléguézougou	id=g:2358866
Koulébéaga	id=g:2358867
Koulbi Yoratéoun	id=g:2358868
Koulbalé	id=g:2358870
Koularé	id=g:2358871
Koulagane	id=g:2358872
Koula	id=g:2358873
Koukzandé	id=g:2358874
Kouksabla	id=g:2358875
Koukpyata	id=g:2358876
Koukousen	id=g:2358877
Koukourousso	id=g:2358878
Koukourouna	id=g:2358879
Koukourouba	id=g:2358880
Koukouridyivan Modyé	id=g:2358881
Koukouré	id=g:2358882
Koukounkoulouga	id=g:2358883
Koukoundi	id=g:2358884
Koukoulou	id=g:2358885
Koukouli	id=g:2358886
Koukouli	id=g:2358887
Koukouldi	id=g:2358888
Koukouiré	id=g:2358889
Koukotyoungou	id=g:2358890
Koukonoré	id=g:2358891
Koukin	id=g:2358892
Kouken	id=g:2358893
Kouken	id=g:2358894
Kouken	id=g:2358895
Koukébako	id=g:2358896
Koukankangou	id=g:2358897
Kouka	id=g:2358898
Kouka	id=g:2358899
Kouka	id=g:2358900
Kouizili	id=g:2358901
Kouinou	id=g:2358902
Kouini	id=g:2358903
Kouima	id=g:2358904
Kouilihibré	id=g:2358905
Kouiléra	id=g:2358906
Kouikourkodya	id=g:2358907
Kouidi	id=g:2358908
Koui	id=g:2358909
Kouhoulongou	id=g:2358910
Kouhoulogo	id=g:2358911
Kouho	id=g:2358912
Kouhini	id=g:2358913
Kougui	id=g:2358914
Kougsen	id=g:2358915
Kougsabla	id=g:2358916
Koukpéla	id=g:2358917
Koukpéla	id=g:2358918
Kougpela	id=g:2358919
Kougpaka	id=g:2358920
Kougousoulô	id=g:2358921
Kougouri	id=g:2358922
Kougouri	id=g:2358923
Kougoura	id=g:2358924
Kougoularé	id=g:2358925
Kougoula Paka	id=g:2358926
Kougoué	id=g:2358927
Kougoudouguen	id=g:2358928
Kougoubaga	id=g:2358929
Kougouandi	id=g:2358930
Kougo Tenga	id=g:2358931
Kougmassogo	id=g:2358932
Kouérédéni	id=g:2358933
Kouéré	id=g:2358934
Kouantou	id=g:2358935
Kouéna	id=g:2358936
Kouèkouesso	id=g:2358937
Koué	id=g:2358938
Koudyéré	id=g:2358939
Koudyantyagou	id=g:2358940
Koudsi	id=g:2358941
Koudouwoégen	id=g:2358942
Koudoumbo	id=g:2358943
Marigot de Koudougou	id=g:2358944
Koudougou	id=g:2358945
