Pa-ling	id=g:1302301
Pakin	id=g:1302452
Pakhren Sakan	id=g:1302453
Pakhren Bum	id=g:1302454
Pakho	id=g:1302455
Loi Pakhan	id=g:1302456
Pakettaingywa	id=g:1302457
Paket-magyibin	id=g:1302458
Pa-keng	id=g:1302459
Pakekla	id=g:1302460
Pakeikwa	id=g:1302461
Pā-ke	id=g:1302462
Pa-ke	id=g:1302463
Pakchan River	id=g:1302464
Pakchan Reserved Forest	id=g:1302465
Pakchan	id=g:1302466
Loi Pakawta	id=g:1302467
Pa-kawlam	id=g:1302468
Pakaw	id=g:1302469
Pakaw	id=g:1302470
Pakaw	id=g:1302471
Pakat Taung	id=g:1302472
Pakatkon	id=g:1302473
Pakannge	id=g:1302474
Pakannge	id=g:1302475
Pakangyipya	id=g:1302476
Pakangyi	id=g:1302477
Pakangyi	id=g:1302478
Pakang Taung	id=g:1302479
Pa-kang	id=g:1302480
Pa-kang	id=g:1302481
Pakang	id=g:1302482
Pakang	id=g:1302483
Pa-kan	id=g:1302484
Pakan	id=g:1302485
Pa-kan	id=g:1302486
Pakan	id=g:1302487
Pa-ka-lun	id=g:1302488
Pakabo Reserved Forest	id=g:1302489
Pakabo Chaung	id=g:1302490
Pa-ka	id=g:1302491
Paka	id=g:1302492
Nam Pak	id=g:1302493
Nam Pak	id=g:1302494
Pajao	id=g:1302495
Pai-yüho	id=g:1302496
Paiteaulonghu	id=g:1302497
Pairwan Chaung	id=g:1302498
Painkong	id=g:1302499
Paingwun	id=g:1302500
Paingsunnan	id=g:1302501
Paing Sin	id=g:1302502
Paingpalwin Taung	id=g:1302503
Paingpalwin Chaung	id=g:1302504
Paingmaw	id=g:1302505
Paingla	id=g:1302506
Paingkyun Chaung	id=g:1302507
Paingkyun	id=g:1302508
Paingkyun	id=g:1302509
Paingkyon Atet	id=g:1302510
Paingkyon	id=g:1302511
Paingkyon	id=g:1302512
Paingkyon	id=g:1302513
Paingkama	id=g:1302514
Paingkada	id=g:1302515
Painggaladon	id=g:1302516
Paingdi	id=g:1302517
Paingdawe	id=g:1302518
Paing	id=g:1302519
Paine Kyun	id=g:1302520
Painaw	id=g:1302521
Painamlang	id=g:1302522
Painaisa Island	id=g:1302523
Paimu Chaung	id=g:1302524
Pailenkot	id=g:1302525
Paikthin	id=g:1302526
Paikthin	id=g:1302527
Paiktheyet	id=g:1302528
Paiktawgyi	id=g:1302529
Paiktan-kyaungzu	id=g:1302530
Paiktan	id=g:1302531
Paiktan	id=g:1302532
Paiksôk	id=g:1302533
Paikseik Taungmaw River	id=g:1302534
Paiksandaung	id=g:1302535
Paiksala	id=g:1302536
Paikkyiwe	id=g:1302537
Paikchan	id=g:1302538
Pai-htang	id=g:1302539
Paihang	id=g:1302540
Paidim	id=g:1302541
Paichaung	id=g:1302542
Paibia Klang	id=g:1302543
Paiangaing	id=g:1302544
Nam Pai	id=g:1302545
Nam Pai	id=g:1302546
Loi Pahya	id=g:1302547
Pahu	id=g:1302548
Pahtwe	id=g:1302549
Pahtodaing	id=g:1302550
Pahtet Island	id=g:1302551
Hwè Pa-hso-lè	id=g:1302552
Pa-hsi-tin	id=g:1302553
Pa-hsè-hso	id=g:1302554
Pahsang	id=g:1302555
Pā-hsak	id=g:1302556
Pahsak	id=g:1302557
Pa-hsa	id=g:1302558
Pa-hpang	id=g:1302559
Pa-hpang	id=g:1302560
Pā-hpai	id=g:1302561
Pahpa	id=g:1302562
Pa Hop	id=g:1302563
Pa-hok Yo	id=g:1302564
Pahok Chaung	id=g:1302565
Loi Pa-hōk	id=g:1302566
Pahok	id=g:1302567
Pahok	id=g:1302568
Pa-hôk	id=g:1302569
Pahôk	id=g:1302570
Pahôk	id=g:1302571
Pahnegyat River	id=g:1302572
Pahlè In	id=g:1302573
Pahle Auk	id=g:1302574
Pahle Atet	id=g:1302575
Pahlè	id=g:1302576
Nam Pa-hki	id=g:1302577
Loi Pa-hki	id=g:1302578
Pa-hki	id=g:1302579
Pa-hki	id=g:1302580
Pa-hka	id=g:1302581
Páhká	id=g:1302582
Pa-hka	id=g:1302583
Pa-hka	id=g:1302584
Pahka	id=g:1302585
Pa-hka	id=g:1302586
Pa-hka	id=g:1302587
Pa Hka	id=g:1302588
Pah-eh	id=g:1302589
Pahedo	id=g:1302590
Pahe	id=g:1302591
Pa-he	id=g:1302592
Pahaung Law	id=g:1302593
Pahalo Sakan	id=g:1302594
Pahalo Chaung	id=g:1302595
Pa-hak	id=g:1302596
Pagyizu	id=g:1302597
Pagyi Taung	id=g:1302598
Pagyishaung	id=g:1302599
Pagyile	id=g:1302600
Pagyigyo	id=g:1302601
Pagyi	id=g:1302602
Pagyi	id=g:1302603
Pagyē Island	id=g:1302604
Pagyaung	id=g:1302605
Pagwe	id=g:1302606
Pagunyang	id=g:1302607
Pagosu	id=g:1302608
Pagoi Hpawng	id=g:1302609
Pagoda Point	id=g:1302610
Pagoda Point	id=g:1302611
Pagoda Point	id=g:1302612
Pagoda Point	id=g:1302613
Pagoda Islet	id=g:1302614
Pago	id=g:1302615
Page Island	id=g:1302616
Pagaye	id=g:1302617
Pagawyun	id=g:1302618
Pagat	id=g:1302619
Paganzit	id=g:1302620
Paganyat	id=g:1302621
Pagan Taung	id=g:1302622
Paganpyunbauk	id=g:1302623
Pagan In	id=g:1302624
Paganhmyaw	id=g:1302625
Pagangôn	id=g:1302626
Pagangan	id=g:1302627
Pagandu	id=g:1302628
Pagandi	id=g:1302629
Pagandaung Chaung	id=g:1302630
Pagandaung	id=g:1302631
Pagandaung	id=g:1302632
Pagandat	id=g:1302633
Pagan Chaung	id=g:1302634
Paganbo	id=g:1302635
Nam Pagan	id=g:1302636
Pagan	id=g:1302637
Pagan	id=g:1302638
Pagan	id=g:1302639
Pagaing Chaung	id=g:1302640
Pagaing	id=g:1302641
Pagagon	id=g:1302642
Pagādudat	id=g:1302643
Paga Chaung	id=g:1302644
Paga	id=g:1302645
Paga	id=g:1302646
Paga	id=g:1302647
Paegaw	id=g:1302648
Padwin	id=g:1302649
Padu-wa Chaung	id=g:1302650
Padupu	id=g:1302651
Padu	id=g:1302652
Padu	id=g:1302653
Padu	id=g:1302654
Padu	id=g:1302655
Padonpeik	id=g:1302656
Padonma	id=g:1302657
Padongaing	id=g:1302658
Padongaing	id=g:1302659
Padon	id=g:1302660
Padon	id=g:1302661
Padon	id=g:1302662
Pado Chaung	id=g:1302663
Pado	id=g:1302664
Pado	id=g:1302665
Padi Taung	id=g:1302666
Padi Taung	id=g:1302667
Padipaw Tē	id=g:1302668
Padin Kyun	id=g:1302669
Padinbin	id=g:1302670
Nam Padin	id=g:1302671
Padin	id=g:1302672
Padin	id=g:1302673
Padimyaung	id=g:1302674
Padigon	id=g:1302675
Padigon	id=g:1302676
Padigon	id=g:1302677
Padigon	id=g:1302678
Padigon	id=g:1302679
Padigahtawng	id=g:1302680
Padi Chaung	id=g:1302681
Padi Chaung	id=g:1302682
Padi Chaung	id=g:1302683
Padibyu	id=g:1302684
Padibinkon	id=g:1302685
Padi	id=g:1302686
Padi	id=g:1302687
Padi	id=g:1302688
Padèzu	id=g:1302689
Padetmyaung	id=g:1302690
Padetha	id=g:1302691
Padet Chaung	id=g:1302692
Padet	id=g:1302693
Pade Reserved Forest	id=g:1302694
Padeingon	id=g:1302695
Padeingon	id=g:1302696
Padeingon	id=g:1302697
Padein	id=g:1302698
Padegaw Chaung	id=g:1302699
Padegaw	id=g:1302700
Padegaw	id=g:1302701
Padegaw	id=g:1302702
Padedo	id=g:1302703
Pade Chaung	id=g:1302704
Pade	id=g:1302705
Pade	id=g:1302706
Pade	id=g:1302707
Padawngyang	id=g:1302708
Padawgyin	id=g:1302709
Padawgyin	id=g:1302710
Padawgyin	id=g:1302711
Padawgyi	id=g:1302712
Padaw Chaung	id=g:1302713
Padaw Aw	id=g:1302714
Padaw	id=g:1302715
Padaw	id=g:1302716
Padaungyo Taungdan	id=g:1302717
Padaung Taung	id=g:1302718
Padaung Island	id=g:1302719
Padaungga	id=g:1302720
Padaung Chaung	id=g:1302721
Padaung	id=g:1302722
Padaung	id=g:1302723
Padaung	id=g:1302724
Padaung	id=g:1302725
Padaung	id=g:1302726
Padauk Taung	id=g:1302727
Padauk Reach	id=g:1302728
Padaukpin	id=g:1302729
Padaukpin	id=g:1302730
Padaukpin	id=g:1302731
Padaukngok	id=g:1302732
Padaukkyaw	id=g:1302733
Padaukkyaw	id=g:1302734
Padaukkonywa	id=g:1302735
Padaukkon	id=g:1302736
Padaukkon	id=g:1302737
Padaukkon	id=g:1302738
Padaukkon	id=g:1302739
Padaukkon	id=g:1302740
Padaukkon	id=g:1302741
Padaukkon	id=g:1302742
Padaukkôn	id=g:1302743
Padaukkon	id=g:1302744
Padaukkon	id=g:1302745
Padaukkon	id=g:1302746
Padaukkôn	id=g:1302747
Padaukkhi	id=g:1302748
Padaukkan	id=g:1302749
Padaukhla	id=g:1302750
Padauk Chaung	id=g:1302751
Padauk Chaung	id=g:1302752
Padauk Chaung	id=g:1302753
Padaukchaung	id=g:1302754
Padaukaing	id=g:1302755
Padauk-aik	id=g:1302756
Padauk	id=g:1302757
Padauk	id=g:1302758
Padauk	id=g:1302759
Padauk	id=g:1302760
Padattaing	id=g:1302761
Padatsa Taung	id=g:1302762
Padatsakon	id=g:1302763
Padatkon Taung	id=g:1302764
Padat Chaung	id=g:1302765
Padatchaung	id=g:1302766
Padatchaung	id=g:1302767
Pada Taung	id=g:1302768
Padanywagyi	id=g:1302769
Padang Masang	id=g:1302770
Padan Chaung	id=g:1302771
Padan Chaung	id=g:1302772
Padan Chaung	id=g:1302773
Padan	id=g:1302774
Padan	id=g:1302775
Padan	id=g:1302776
Padamya Chaung	id=g:1302777
Padamya	id=g:1302778
Padama	id=g:1302779
Padali	id=g:1302780
Padakhi	id=g:1302781
Padainggon	id=g:1302782
Padainggon	id=g:1302783
Padaingdaw	id=g:1302784
Padaing Chaung	id=g:1302785
Padaing	id=g:1302786
Padaik	id=g:1302787
Padagyi	id=g:1302788
Padagyaw	id=g:1302789
Pada Chaung	id=g:1302790
Pada	id=g:1302791
Pachwin	id=g:1302792
Pachinchi	id=g:1302793
Pa-chiao-shui	id=g:1302794
Pachia Chai	id=g:1302795
Pa-chem	id=g:1302796
Pachaung Bum	id=g:1302797
Pā Chaung	id=g:1302798
Pāchaung	id=g:1302799
Pachaung	id=g:1302800
Pachaung	id=g:1302801
Pabyok	id=g:1302802
Pabyin	id=g:1302803
Pabyin	id=g:1302804
Pabyalaw Chaung	id=g:1302805
Pabwi	id=g:1302806
Pabwe	id=g:1302807
Pabwe	id=g:1302808
Pabwe	id=g:1302809
Pabu Taungdan	id=g:1302810
Pabut	id=g:1302811
Pābum	id=g:1302812
Pabu Chaung	id=g:1302813
Pabu Chaung	id=g:1302814
Pabu	id=g:1302815
Pabu	id=g:1302816
Pabu	id=g:1302817
Pa Boi	id=g:1302818
Paboh	id=g:1302819
Pablao	id=g:1302820
Pabēzu Chaung	id=g:1302821
Pabèzu	id=g:1302822
Pabezu	id=g:1302823
Pabēzu	id=g:1302824
Pabēzu	id=g:1302825
Pabēzu	id=g:1302826
Pabewa	id=g:1302827
Pabeseikto Chaung	id=g:1302828
Pabein Reserved Forest	id=g:1302829
Pabein	id=g:1302830
Pabe Chaung	id=g:1302831
Pabèbo	id=g:1302832
Pabaungdin	id=g:1302833
Pabaung	id=g:1302834
Nam Pabauk	id=g:1302835
Pabainggon	id=g:1302836
Pabaing Chaung	id=g:1302837
Pabaing Chaung	id=g:1302838
Pabaing	id=g:1302839
Pa-aw Taung	id=g:1302840
Paaw Chaung	id=g:1302841
Paaw Ashe	id=g:1302842
Paaw Anauk	id=g:1302843
Pa-aw	id=g:1302844
Paaw	id=g:1302845
Pa-aungwè	id=g:1302846
Pa-aung	id=g:1302847
Pa-auk	id=g:1302848
Hpa-an	id=g:1302849
Pa-aing	id=g:1302850
Pa-aing	id=g:1302851
Nam Pa	id=g:1302852
Loi Pa	id=g:1302853
Oyster Rock	id=g:1302854
Oyster Reef	id=g:1302855
Oyster Island	id=g:1302856
Oyin	id=g:1302857
Owen Island	id=g:1302858
Owa	id=g:1302859
Owa	id=g:1302860
Oubliée Rock	id=g:1302861
Othegon	id=g:1302862
Othe	id=g:1302863
Osprey Rocks	id=g:1302864
Orestes Shoal	id=g:1302865
Ônzôn Chaung	id=g:1302866
Onzon	id=g:1302867
Onzinkwin	id=g:1302868
Onzaw	id=g:1302869
Onwa	id=g:1302870
Onthigwe	id=g:1302871
Ontha	id=g:1302872
Ontaláng	id=g:1302873
Ontabu	id=g:1302874
Ontabin	id=g:1302875
Onsansaing	id=g:1302876
Onpaw Chaung	id=g:1302877
Onpanghka	id=g:1302878
Ônnigyun	id=g:1302879
On-ma-thi	id=g:1302880
Onmakwe	id=g:1302881
Onmaka	id=g:1302882
Onma Chaung	id=g:1302883
Onletkauk	id=g:1302884
Ôn Kyun	id=g:1302885
Onkreng Reserved Forest	id=g:1302886
Onkreng Klo	id=g:1302887
Onkrengkhi	id=g:1302888
Onkon	id=g:1302889
Onka-yaing	id=g:1302890
Onhnezan	id=g:1302891
Onhnèye	id=g:1302892
Onhnegyin	id=g:1302893
Onhnegyawdan	id=g:1302894
Onhnēgon	id=g:1302895
Onhnechaung	id=g:1302896
Ônhnêbôk	id=g:1302897
Onhnèbok	id=g:1302898
Onhnèbok	id=g:1302899
Onhnèbok	id=g:1302900
Onhnèbin	id=g:1302901
Onhnēbin	id=g:1302902
Onhne	id=g:1302903
Onhnauk	id=g:1302904
Onhmin Taung	id=g:1302905
Onhmingon	id=g:1302906
Ônhmin Chaung	id=g:1302907
Ônhmin Chaung	id=g:1302908
Onhminbauk	id=g:1302909
Ônhmin	id=g:1302910
Onhmin	id=g:1302911
Onhmin	id=g:1302912
Onhmin	id=g:1302913
Onhmin	id=g:1302914
Onhmin	id=g:1302915
On-hlut Chaung	id=g:1302916
On-hlut	id=g:1302917
Ongyun Island	id=g:1302918
Ongyiwa	id=g:1302919
Ongyin	id=g:1302920
Ongyi	id=g:1302921
Ongyaw	id=g:1302922
Ongyaw	id=g:1302923
Ongyan	id=g:1302924
Ongyan	id=g:1302925
Ongwe Zayat	id=g:1302926
Ongwe	id=g:1302927
Ongsang	id=g:1302928
Ong Pao	id=g:1302929
Loi Ongpahpek	id=g:1302930
Ongon	id=g:1302931
Ongon	id=g:1302932
Ongon	id=g:1302933
Ongon	id=g:1302934
Ongon	id=g:1302935
Ôngok Klo	id=g:1302936
Hwè Ongmu	id=g:1302937
Ongmu	id=g:1302938
Onghsi	id=g:1302939
Onghkök	id=g:1302940
Ongaing	id=g:1302941
Ongadaik Chaung	id=g:1302942
Nam Öng	id=g:1302943
Ong	id=g:1302944
On-et	id=g:1302945
On Dwei	id=g:1302946
Ondwe	id=g:1302947
Ondon	id=g:1302948
Ondon	id=g:1302949
Ondok Reserved Forest	id=g:1302950
Ondok	id=g:1302951
Ondin	id=g:1302952
Ondazin	id=g:1302953
Ondawzu	id=g:1302954
Ondawgan	id=g:1302955
Ondaw	id=g:1302956
Ondaw	id=g:1302957
Ondaw	id=g:1302958
Ôndaw	id=g:1302959
Ondaw	id=g:1302960
Ondaw	id=g:1302961
Ôndaw	id=g:1302962
Ôndaw	id=g:1302963
Ondaw	id=g:1302964
Ondaw	id=g:1302965
Ondan Chaung	id=g:1302966
Ondan	id=g:1302967
Ondalin Chaung	id=g:1302968
Ondaing	id=g:1302969
Ondaik Chauk	id=g:1302970
Ondabin	id=g:1302971
Ônchaung	id=g:1302972
Onbyit	id=g:1302973
Onbyin	id=g:1302974
Onbwedaw	id=g:1302975
Onbinzu	id=g:1302976
Onbinzu	id=g:1302977
Onbinzu	id=g:1302978
Onbinzu	id=g:1302979
Ônbinzu	id=g:1302980
Ônbinzu	id=g:1302981
Onbinzeik	id=g:1302982
Onbinmyaung	id=g:1302983
Onbinkwin	id=g:1302984
Onbinkwin	id=g:1302985
Onbinkwin	id=g:1302986
Onbinhin	id=g:1302987
Onbingyaung	id=g:1302988
Onbingyan	id=g:1302989
Onbingyan	id=g:1302990
Onbingwin	id=g:1302991
Onbingon	id=g:1302992
Onbingon	id=g:1302993
Onbindaw	id=g:1302994
Onbin Aw	id=g:1302995
Onbin	id=g:1302996
Onbin	id=g:1302997
Onbin	id=g:1302998
Onbin	id=g:1302999
Onbin	id=g:1303000
Ônbin	id=g:1303001
Ônbin	id=g:1303002
Onbet	id=g:1303003
Onbaung	id=g:1303004
Onbauk	id=g:1303005
Onbaing	id=g:1303006
Omyegon	id=g:1303007
Omyegon	id=g:1303008
Omyegôn	id=g:1303009
Omyedwin	id=g:1303010
Omyedwin	id=g:1303011
Omyedu	id=g:1303012
Omye	id=g:1303013
O-mu	id=g:1303014
Öm Tung	id=g:1303015
Omtet	id=g:1303016
Omswe	id=g:1303017
Ompom	id=g:1303018
Ompok	id=g:1303019
Ompalan	id=g:1303020
Om-ngam	id=g:1303021
Omnga	id=g:1303022
Omlait	id=g:1303023
Omkrang	id=g:1303024
Omatwe	id=g:1303025
Omatwe	id=g:1303026
Omason	id=g:1303027
Old Mu Canal	id=g:1303028
Old Lashio	id=g:1303029
Nam Olam	id=g:1303030
Oktwinkan	id=g:1303031
Oktwin	id=g:1303032
Oktwin	id=g:1303033
Oktwin	id=g:1303034
Oktwin	id=g:1303035
Oktwin	id=g:1303036
Oktwin	id=g:1303037
Ôktwin	id=g:1303038
Oktwin	id=g:1303039
Oktu Taung	id=g:1303040
Oktu Kyun	id=g:1303041
Oktu Chaung	id=g:1303042
Oktu	id=g:1303043
Oktoksu	id=g:1303044
Okthema	id=g:1303045
Ôkthaik	id=g:1303046
Oktaya	id=g:1303047
Oktaung	id=g:1303048
Oktaman	id=g:1303049
Oktada	id=g:1303050
Okson	id=g:1303051
Oksingyi	id=g:1303052
Okshitpya	id=g:1303053
Okshitpin	id=g:1303054
Okshitpin	id=g:1303055
Okshitpin	id=g:1303056
Okshitpin	id=g:1303057
Okshitmyaung	id=g:1303058
Okshitmyaung	id=g:1303059
Okshitkyin	id=g:1303060
Okshitkyi	id=g:1303061
Okshitkwin	id=g:1303062
Okshitkwin	id=g:1303063
Okshitkon	id=g:1303064
Okshitkon	id=g:1303065
Okshitkon	id=g:1303066
Okshitkon	id=g:1303067
Okshitkon	id=g:1303068
Okshitkon	id=g:1303069
Okshitkon	id=g:1303070
Okshitkon	id=g:1303071
Okshitkon	id=g:1303072
Okshitkon	id=g:1303073
Ôkshitkôn	id=g:1303074
Okshitkon	id=g:1303075
Okshitkon	id=g:1303076
Okshitkon	id=g:1303077
Okshitkon	id=g:1303078
Okshitkon	id=g:1303079
Okshitkon	id=g:1303080
Okshitkon	id=g:1303081
Okshitkon	id=g:1303082
Okshitkon	id=g:1303083
Okshitkon	id=g:1303084
Okshitkôn	id=g:1303085
Okshitkon	id=g:1303086
Okshitkon	id=g:1303087
Okshitkon	id=g:1303088
Okshitkon	id=g:1303089
Okshitkon	id=g:1303090
Okshitkon	id=g:1303091
Okshitkon	id=g:1303092
Okshitkon	id=g:1303093
Okshitkon	id=g:1303094
Okshitkon	id=g:1303095
Okshitkon	id=g:1303096
Okshitkon	id=g:1303097
Okshitkin	id=g:1303098
Okshithlain	id=g:1303099
Okshitgon	id=g:1303100
Ôkshit	id=g:1303101
Oksè	id=g:1303102
Oksatwin	id=g:1303103
Okpyat	id=g:1303104
Okpozu	id=g:1303105
Okpoywathit	id=g:1303106
Ôkpon Chaung	id=g:1303107
Okpon	id=g:1303108
Okpon	id=g:1303109
Okpon	id=g:1303110
Okpon	id=g:1303111
Okpon	id=g:1303112
Okpon	id=g:1303113
Okpon	id=g:1303114
Okpo-maw Point	id=g:1303115
Okpo-maw	id=g:1303116
Ôkpogyidaung	id=g:1303117
Okpogyaung	id=g:1303118
Okpogyauk	id=g:1303119
Okpogan	id=g:1303120
Okpo Chaung	id=g:1303121
Okpo-aing	id=g:1303122
Okpo	id=g:1303123
Okpo	id=g:1303124
Okpo	id=g:1303125
Okpo	id=g:1303126
Okpo	id=g:1303127
Ôkpo	id=g:1303128
Okpo	id=g:1303129
Okpo	id=g:1303130
Okpo	id=g:1303131
Okpo	id=g:1303132
Okpo	id=g:1303133
Okpo	id=g:1303134
Okpo	id=g:1303135
Okpo	id=g:1303136
Ôkpo	id=g:1303137
Okpo	id=g:1303138
Ôkpo	id=g:1303139
Okpo	id=g:1303140
Okpo	id=g:1303141
Okpo	id=g:1303142
Okpo	id=g:1303143
Okpo	id=g:1303144
Okpo	id=g:1303145
Okpo	id=g:1303146
Okpo	id=g:1303147
Okpo	id=g:1303148
Okpo	id=g:1303149
Okpo	id=g:1303150
Okpo	id=g:1303151
Okmya	id=g:1303152
Okmundaw	id=g:1303153
Okmun Chaung	id=g:1303154
Ôkma	id=g:1303155
Okkywet	id=g:1303156
Okkyut	id=g:1303157
Ôkkyin	id=g:1303158
Okkyin	id=g:1303159
Okkyi	id=g:1303160
Okkyi	id=g:1303161
Okkon	id=g:1303162
Okkin	id=g:1303163
Ôkkhin	id=g:1303164
Okkan Reserved Forest	id=g:1303165
Okkan Chaung	id=g:1303166
Okkan	id=g:1303167
Okkan	id=g:1303168
Okkan	id=g:1303169
Okkan	id=g:1303170
Okkan	id=g:1303171
Okkan	id=g:1303172
Okkan	id=g:1303173
Okkan	id=g:1303174
Okkan	id=g:1303175
Okkan	id=g:1303176
Okkalapa	id=g:1303177
Okiang Bum	id=g:1303178
Okhpozaung	id=g:1303179
Okhpo Taung	id=g:1303180
Okhpo	id=g:1303181
Okhpo	id=g:1303182
Okhneye Yo	id=g:1303183
Okhnebin	id=g:1303184
Okhne	id=g:1303185
Okhne	id=g:1303186
Okhnauk	id=g:1303187
Okhmonyo	id=g:1303188
Okhmin	id=g:1303189
Okgale	id=g:1303190
Ok-aing	id=g:1303191
Oisi	id=g:1303192
Oi-law	id=g:1303193
Ohpaukywa	id=g:1303194
Ohntale Chaung	id=g:1303195
Ohnmin Taung	id=g:1303196
Ohnedegyi	id=g:1303197
Ohnebok	id=g:1303198
Ohnde	id=g:1303199
O-hma	id=g:1303200
O-hla	id=g:1303201
Ohabak Ga	id=g:1303202
Ogwe Taung	id=g:1303203
Ogwe Chaung	id=g:1303204
Ogwe Chaung	id=g:1303205
Ogon	id=g:1303206
Ogon	id=g:1303207
Odokmyaung	id=g:1303208
Odokkon	id=g:1303209
Odokkon	id=g:1303210
Odeinwa	id=g:1303211
Odeindwin	id=g:1303212
Odeindaung	id=g:1303213
Odein Chaung	id=g:1303214
Odein	id=g:1303215
Odein	id=g:1303216
Obyungan	id=g:1303217
Obyun	id=g:1303218
Obyuingan	id=g:1303219
Obum Taung	id=g:1303220
Observation Island	id=g:1303221
Observation Island	id=g:1303222
Obru	id=g:1303223
Obozu	id=g:1303224
Obondaw	id=g:1303225
Obokyun	id=g:1303226
Obokadauk	id=g:1303227
Obogon	id=g:1303228
Obogon	id=g:1303229
Obogon	id=g:1303230
Obogon	id=g:1303231
Obogon	id=g:1303232
Obogon	id=g:1303233
Obodaung	id=g:1303234
Obodaik	id=g:1303235
Obo Chaung	id=g:1303236
Obo	id=g:1303237
Obo	id=g:1303238
Obo	id=g:1303239
Obo	id=g:1303240
Obo	id=g:1303241
Obo	id=g:1303242
