Kamay	id=g:2430927
Reserve de Faune et de Chasse de I”Abou Telfân	id=g:2431367
Iabi	id=g:2431368
Hyènlé	id=g:2431369
Hourou	id=g:2431370
Hourel	id=g:2431371
Hour	id=g:2431372
Houlougou	id=g:2431373
Oulbo	id=g:2431374
Bir Houbéra	id=g:2431375
Horolé	id=g:2431376
Hori	id=g:2431377
Hori	id=g:2431378
Wori Kaouina	id=g:2431379
Horey Suildoulna	id=g:2431380
Horey el Meïna	id=g:2431381
Horé	id=g:2431382
Horanga	id=g:2431383
Horama	id=g:2431384
Homé	id=g:2431385
Holo	id=g:2431386
Hollom III	id=g:2431387
Hollom I	id=g:2431388
Hollom	id=g:2431389
Hollom II	id=g:2431390
Tago	id=g:2431391
Hol	id=g:2431392
Hoho	id=g:2431393
Hoho	id=g:2431394
Hobé	id=g:2431395
Hirim	id=g:2431396
Himmedié	id=g:2431397
Himeur al Goz	id=g:2431398
Himémlé	id=g:2431399
Himedieh	id=g:2431400
Himédé	id=g:2431401
Himédé	id=g:2431402
Himédé	id=g:2431403
Himédé	id=g:2431404
Himédé Amgar	id=g:2431405
Himėde	id=g:2431406
Himédé	id=g:2431407
Himede	id=g:2431408
Hima	id=g:2431409
Hillélé	id=g:2431410
Hilèle	id=g:2431411
Hihi	id=g:2431412
Hiéda	id=g:2431413
Hidjer Dout	id=g:2431414
Hidjer	id=g:2431415
Hidjilidjé Kélé	id=g:2431416
Hidjilidjé Ealadrij	id=g:2431417
Hidjelidj	id=g:2431418
Hidjélidj	id=g:2431419
Hidjélidj	id=g:2431420
Hidjélidj	id=g:2431421
Hidjelidj	id=g:2431422
Hidjilidjé	id=g:2431423
Hid el Goz	id=g:2431424
Hiam	id=g:2431425
Her	id=g:2431426
Hemer	id=g:2431427
Hémédienga	id=g:2431428
Héllibongo	id=g:2431429
Helia	id=g:2431430
Hécha	id=g:2431431
Hébil	id=g:2431432
Hébédé	id=g:2431433
Ouadi Hawach	id=g:2431434
Rochers Hatma	id=g:2431435
Hatima	id=g:2431436
Haskanit	id=g:2431437
Hasba	id=g:2431438
Goz Hasan	id=g:2431439
Ourongadji	id=g:2431440
Haroub Inouanga	id=g:2431441
Hari	id=g:2431442
Hari	id=g:2431443
Béla Hardey	id=g:2431444
Harbogo	id=g:2431445
Haraze	id=g:2431446
Haraze	id=g:2431447
Haraz	id=g:2431448
Rahat Harazan	id=g:2431449
Harazaï	id=g:2431450
Haraz	id=g:2431451
Bir el Harak	id=g:2431452
Hara	id=g:2431453
Hangana	id=g:2431454
Handi	id=g:2431455
Djebel Hamra	id=g:2431456
Hamra	id=g:2431457
Hamoud es Segoura	id=g:2431458
Hamoud el Hasi	id=g:2431459
Hamoud Dalla	id=g:2431460
Enneri Hamora	id=g:2431461
Hamgar	id=g:2431462
Hamédianga	id=g:2431463
Hamdouadi	id=g:2431464
Hamdja	id=g:2431465
Bir Hamdal	id=g:2431466
Ama Toudji	id=g:2431467
Bir Hamatab	id=g:2431468
Hamatab	id=g:2431469
Ama-Nekayo-Dobolo	id=g:2431470
Ancien Canal de Ham	id=g:2431471
Ham	id=g:2431472
Ham	id=g:2431473
Halola	id=g:2431474
Oued Hallouf	id=g:2431475
Haganga	id=g:2431476
Hadjer Fi	id=g:2431477
Hadjèr el Hamis	id=g:2431478
Hadjere	id=g:2431479
Hadjer Debdabani	id=g:2431480
Hadir	id=g:2431481
Hadid	id=g:2431482
Hadia	id=g:2431483
Ouadi Haddad	id=g:2431484
Oglat Haddad	id=g:2431486
Goz Haddad	id=g:2431487
Bir Haché	id=g:2431488
Hachay	id=g:2431489
Hachaba	id=g:2431490
Hachaba	id=g:2431491
Hacha	id=g:2431492
Haba	id=g:2431493
Haba	id=g:2431494
Rahad al Hab	id=g:2431495
Haaï	id=g:2431496
Gwon	id=g:2431497
Guissédé	id=g:2431498
Guissa Klia	id=g:2431499
Guirou	id=g:2431500
Guirou	id=g:2431501
Guirli	id=g:2431502
Guirkaga	id=g:2431503
Guirkaga	id=g:2431504
Guirkaga	id=g:2431505
Guirim	id=g:2431506
Guiri	id=g:2431507
Nguéré	id=g:2431508
Guirba	id=g:2431509
Guinguini	id=g:2431510
Guindzoro	id=g:2431511
Guindi	id=g:2431512
Guimassa	id=g:2431513
Guim	id=g:2431514
Guilboté	id=g:2431515
Guilari	id=g:2431516
Guila Gondéré	id=g:2431517
Mont Guik	id=g:2431518
Guigeur Mélé	id=g:2431519
Guifou	id=g:2431520
Guifa	id=g:2431521
Guien	id=g:2431522
Guidoboula	id=g:2431523
Guiditi	id=g:2431524
Guiditi	id=g:2431525
Guidjina Donon	id=g:2431526
Guidimi	id=g:2431527
Guidikou	id=g:2431528
Guidibo	id=g:2431529
Guidé	id=g:2431530
Martia Guidasek	id=g:2431531
Guidari	id=g:2431532
Ehi Guidaha	id=g:2431533
Guida	id=g:2431534
Guiba	id=g:2431535
Guiao	id=g:2431536
Guia	id=g:2431537
Bini Gui	id=g:2431538
Guezendou	id=g:2431539
Tarso Guezendi	id=g:2431540
Guetper	id=g:2431541
Guessangolo	id=g:2431542
Guissa Missou	id=g:2431543
Guéséli	id=g:2431544
Guernès	id=g:2431545
Guéring	id=g:2431546
Guerié	id=g:2431547
Hadjer Guéria	id=g:2431548
Bahr Guéria	id=g:2431549
Guerguendeng	id=g:2431550
Guérédé	id=g:2431551
Guéréday	id=g:2431552
Guéré	id=g:2431553
Nguéré	id=g:2431554
Région du Guéra	id=g:2431555
Massif de Guéra	id=g:2431556
Guer	id=g:2431557
Guéni	id=g:2431558
Guéné II	id=g:2431559
Guéné I	id=g:2431560
Guéné	id=g:2431561
Guendoumou	id=g:2431562
Guelviti	id=g:2431563
Guélouèl	id=g:2431564
Guelkouradé	id=g:2431565
Guélkou	id=g:2431566
Guelkol	id=g:2431567
Guelkep	id=g:2431568
Guelkeb	id=g:2431569
Guelgou	id=g:2431570
Guelgong	id=g:2431571
Gélétié	id=g:2431572
Guélengdeng	id=g:2431573
Guélémo	id=g:2431574
Gueleinga	id=g:2431575
Guélédi	id=g:2431576
Guéléhé	id=g:2431577
Guele	id=g:2431578
Guélé	id=g:2431579
Gueldobo	id=g:2431580
Guelbodan	id=g:2431581
Guel	id=g:2431582
Guegou	id=g:2431583
Guéfa	id=g:2431584
Guedjengué	id=g:2431585
Guidikouti	id=g:2431586
Guédi	id=g:2431587
Guédégué	id=g:2431589
Guébour	id=g:2431590
Guébé	id=g:2431591
Guébé	id=g:2431592
Gabounguessé	id=g:2431593
Grotte	id=g:2431594
Griouali	id=g:2431595
Grintié	id=g:2431596
Grintié	id=g:2431597
Grin II	id=g:2431598
Grin I	id=g:2431599
Gringa	id=g:2431600
Grin	id=g:2431601
Grimazay	id=g:2431602
Grikon	id=g:2431603
Grihon	id=g:2431604
Grémari	id=g:2431605
Gréhiné	id=g:2431606
Gréfa	id=g:2431607
Grédaya	id=g:2431608
Gréda Loubia	id=g:2431609
Gréa	id=g:2431610
Gréa	id=g:2431611
Bir Graya	id=g:2431612
Graoudou	id=g:2431613
Graoudou	id=g:2431614
Grand Tougoudé	id=g:2431615
Grand Saïka	id=g:2431616
Grand Goulmoun	id=g:2431617
Graérom	id=g:2431619
Graeff	id=g:2431620
Grada-Tougoy	id=g:2431621
Gradatiri	id=g:2431622
Grad	id=g:2431623
Goz Na am	id=g:2431624
Goz Haraz	id=g:2431625
Goz Fal	id=g:2431626
Goz el Kanado	id=g:2431627
Goz el Eli	id=g:2431628
Goz Djérat	id=g:2431629
Goz Bésé	id=g:2431630
Goz Amdièré	id=g:2431631
Goz Abou Danap	id=g:2431632
Bir Goz	id=g:2431633
Goz	id=g:2431634
Goy	id=g:2431635
Goydé	id=g:2431636
Gowa	id=g:2431637
Gowa	id=g:2431638
Go Valna	id=g:2431639
Gouzi	id=g:2431640
Gouyou	id=g:2431641
Gouy	id=g:2431642
Goutre	id=g:2431643
Bir Goutapk	id=g:2431644
Goussemoun	id=g:2431645
Gouskoundou	id=g:2431646
Gousara II	id=g:2431647
Gousamsi	id=g:2431648
Gourtoula	id=g:2431649
Ehi Gourti	id=g:2431650
Gouroutou	id=g:2431651
Bir Gourou Toroné	id=g:2431652
Gourourou	id=g:2431653
Gourourou	id=g:2431654
Gourourou	id=g:2431655
Gourounten	id=g:2431656
Gouroungal	id=g:2431657
Gourounai	id=g:2431658
Gouroumtou	id=g:2431659
Gouroumti	id=g:2431660
Gouroufa	id=g:2431661
Gouroudou	id=g:2431662
Gouroudinga	id=g:2431663
Gourou Boudanga	id=g:2431664
Gourou	id=g:2431665
Gourou	id=g:2431666
Gourou	id=g:2431667
Bir Gouradoula	id=g:2431668
Gouro	id=g:2431669
Gouro	id=g:2431670
Gourmi	id=g:2431671
Gourmèy	id=g:2431672
Gourmadjo	id=g:2431673
Gourlou	id=g:2431674
Gourle	id=g:2431675
Enneri Gourké	id=g:2431676
Gourinng	id=g:2431677
Gouria	id=g:2431678
Gouri	id=g:2431679
Gouri	id=g:2431680
Gouri	id=g:2431681
Gouri	id=g:2431682
Gouri	id=g:2431683
Gouri	id=g:2431684
Gouri	id=g:2431685
Marais de Gourguiche	id=g:2431686
Enneri Gourgour-Ongoy	id=g:2431687
Gourgouloumou	id=g:2431688
Gourgoul	id=g:2431689
Gourgoul	id=g:2431690
Gourgaré	id=g:2431691
Gourfaye	id=g:2431692
Gouré	id=g:2431693
Gourdjaka	id=g:2431694
Béla Gourdi	id=g:2431695
Gourdéri	id=g:2431696
Gourboudanga	id=g:2431697
Bir Gourbou	id=g:2431698
Riguil Gourbi	id=g:2431699
Gourba	id=g:2431700
Mont Gourara	id=g:2431701
Gourara	id=g:2431702
Gouram	id=g:2431703
Gouradrousou	id=g:2431704
Bir Gouradoula	id=g:2431705
Gouradi	id=g:2431706
Goura	id=g:2431708
Enneri Gour	id=g:2431709
Enneri Gour	id=g:2431710
Gour	id=g:2431711
Gour	id=g:2431712
Gouonoga	id=g:2431713
Gounou Tougoni	id=g:2431714
Gonou Tamboursou I	id=g:2431715
Gounou Tanboursou II	id=g:2431716
Gounou Tamboursou I	id=g:2431717
Gounou Sémé	id=g:2431718
Gonou Poursou	id=g:2431719
Gounou Ndolo	id=g:2431720
Gounou Kodégué	id=g:2431721
Gounou Hobo	id=g:2431722
Gounougoum	id=g:2431723
Gounou-Gaya	id=g:2431724
Gounou Gaya	id=g:2431725
Gounou Gaskala	id=g:2431726
Gounou Gan	id=g:2431727
Gounou Galé	id=g:2431728
Gounou Dogom	id=g:2431729
Gounou Djouman	id=g:2431730
Goundo Ylla	id=g:2431731
Goundoumou	id=g:2431732
Goundo Nongom	id=g:2431733
Goundi I	id=g:2431734
Goundo Bengli	id=g:2431735
Goundi	id=g:2431736
Goundé	id=g:2431737
Gounday	id=g:2431738
Gounbou	id=g:2431739
Gounaye	id=g:2431740
Gounay	id=g:2431741
Gouna	id=g:2431742
Gouna	id=g:2431743
Gouna	id=g:2431744
Goun	id=g:2431745
Goumsi	id=g:2431746
Goumsal	id=g:2431747
Goumoun	id=g:2431748
Goumoumanga	id=g:2431749
Goumou	id=g:2431750
Goumga	id=g:2431751
Oued Goumeur	id=g:2431752
Goumeur	id=g:2431753
Goumé	id=g:2431754
Goumboul	id=g:2431755
Goumboul	id=g:2431756
Goumbou	id=g:2431757
Goumbo Sama Man Ti	id=g:2431758
Goumbo	id=g:2431759
Goumbala	id=g:2431760
Enneri Goumasa	id=g:2431761
Goumadji Kouta	id=g:2431762
Goumadji	id=g:2431763
Ehi Gouma	id=g:2431764
Goum	id=g:2431765
Goulpoum	id=g:2431766
Goulourougou	id=g:2431767
Gouloumoun	id=g:2431768
Gouloumoun Afata	id=g:2431770
Gouloumi	id=g:2431771
Mare de Gouloumaye	id=g:2431772
Bir Gouloumay	id=g:2431773
Gouloumanga	id=g:2431774
Goulol	id=g:2431775
Goulol	id=g:2431776
Goulmoun	id=g:2431777
Goulmoun	id=g:2431778
Goulja	id=g:2431779
Gouli Wachilanga	id=g:2431780
Gouliou Séeli	id=g:2431781
Gouliou Sééli	id=g:2431782
Goulianga	id=g:2431783
Goulia	id=g:2431784
Gouli	id=g:2431785
Gouley	id=g:2431786
Goulenga	id=g:2431787
Goulema	id=g:2431788
Goulang	id=g:2431789
Bahr Goula	id=g:2431790
Goul	id=g:2431791
Goukodé	id=g:2431792
Goukoa	id=g:2431793
Gouko	id=g:2431794
Goukéni	id=g:2431795
Gouiri	id=g:2431796
Gouin Pataguèy	id=g:2431797
Gouin	id=g:2431798
Gouin Lara	id=g:2431799
Ehi Gouida	id=g:2431800
Ehi Goui	id=g:2431801
Gouhour	id=g:2431802
Gouhamma	id=g:2431803
Gougué	id=g:2431804
Gougoum	id=g:2431805
Bir Gougou	id=g:2431806
Gougou	id=g:2431807
Gougn Fourgue	id=g:2431808
Gouganga	id=g:2431809
Bir Goufour	id=g:2431810
Goufou	id=g:2431811
Goueylaou	id=g:2431812
Goueygoudoum	id=g:2431813
Ouadi Gouey	id=g:2431814
Gouélé	id=g:2431815
Gouéfété	id=g:2431816
Ehi Goudresso	id=g:2431817
Bir Goudourtak	id=g:2431818
Ehi Goudoumou	id=g:2431819
Goudoumi	id=g:2431820
Goudoum Goudoum	id=g:2431821
Goudoum	id=g:2431822
Goudoukou Moursili	id=g:2431823
Goudougouri	id=g:2431824
Goudouba	id=g:2431825
Goudorom	id=g:2431826
Goudonga	id=g:2431827
Goudjoul	id=g:2431828
Goudjougou el Goz	id=g:2431829
Goudjougou	id=g:2431830
Goudjianga	id=g:2431831
Goudji	id=g:2431832
Goudja	id=g:2431833
Goudierousou	id=g:2431834
Ehi Goudei	id=g:2431835
Ehi Goudei	id=g:2431836
Goudak	id=g:2431837
Gouchebou	id=g:2431838
Goubousia	id=g:2431839
Goubou	id=g:2431840
Goubone	id=g:2431841
Goubon	id=g:2431842
Enneri Gouboé	id=g:2431843
Massif de Goubo	id=g:2431844
Goubirti	id=g:2431845
Goubgou	id=g:2431846
Goubéti	id=g:2431847
Goubatière	id=g:2431848
Goular	id=g:2431849
Goubago	id=g:2431850
Goub	id=g:2431851
Gouaye Loura	id=g:2431852
Gouaye	id=g:2431853
Gouaye	id=g:2431854
Gouarten	id=g:2431855
Bir Gouarlout	id=g:2431856
Gouangala	id=g:2431857
Gouamar	id=g:2431858
Gouama	id=g:2431859
Gouam	id=g:2431860
Enneri Gouahé	id=g:2431861
Gouake	id=g:2431862
Ennedi Gadu	id=g:2431863
Gouabi	id=g:2431864
Goua	id=g:2431865
Gou	id=g:2431866
Gou	id=g:2431867
Gotokèmbé II	id=g:2431868
Gotobéri	id=g:2431869
Gotekedi	id=g:2431870
Gossakrikno	id=g:2431871
Gosrom	id=g:2431872
Goskorey	id=g:2431873
Goskélé	id=g:2431874
Gosbéta	id=g:2431875
Gosbek	id=g:2431876
Gorro Ndila	id=g:2431877
Gorro	id=g:2431878
Bir Gorou	id=g:2431879
Goromoura	id=g:2431880
Gorokolon	id=g:2431881
Goro-Goro	id=g:2431882
Gorodoroso	id=g:2431883
Gorobaya	id=g:2431884
Goroa	id=g:2431885
Goro	id=g:2431886
Goro	id=g:2431887
Goro	id=g:2431888
Gorro	id=g:2431889
Goro	id=g:2431890
