Kūh-e Lāmīsh	id=g:6875556
Kūh-e Kūreh	id=g:6899649
Mazra‘eh-ye Dastjerdīhā	id=g:6899650
Kūh-e ‘Abbāsī	id=g:6899651
Kūh-e Garī	id=g:6899652
Kūh-e Galleh-ye Sevvom	id=g:6899653
Sherkat-e Ta‘āvonī-ye Towlīd-e Rūsīā’ī	id=g:6899654
Shahrak-e Shahīd Modarres	id=g:6899655
Maḩdūdeh-ye Sherkat-e Nīk Naqsh-e Ājor	id=g:6899656
Mīān Kūh	id=g:6899657
Cheshmeh-ye Bīd	id=g:6899658
Lāqān	id=g:6899659
Kūh-e Lādqū	id=g:6899660
Shojā‘ābād	id=g:6899661
Solţān	id=g:6899662
Chāh Seyyed ‘Alī Akbar-e Homāyūnī	id=g:6899663
Shahrak-e Shahīd Beheshtī	id=g:6899664
Nāḩīyeh-ye Şan‘atī-ye Jarqūyeh	id=g:6899665
Chāh-e Taqīpūr	id=g:6899666
Khalīfeh Solţān	id=g:6899667
Maḩdūdeh-ye Kārgāh-e Gach-e Omīd	id=g:6899668
Kūh-e Gareh	id=g:6899669
Kūhak	id=g:6899670
Ḩabībābād	id=g:6899671
Hemmatābād	id=g:6899672
Kachalī	id=g:6899673
Dasht Jūn	id=g:6899674
Meydān-e Emām Khomeynī	id=g:6899675
Nīkābād	id=g:6899676
Mazra‘eh-ye Shahīd Aşghar-e Khabbāzīān	id=g:6899677
Morghdārī-ye Kavīr	id=g:6899678
Randavān	id=g:6899679
Kachī	id=g:6899680
Goharābād-e ‘Olyā	id=g:6899681
Goharābād-e Pā’īn	id=g:6899682
Pāy Derakht	id=g:6899683
Lāvnī	id=g:6899684
Sūrcheh	id=g:6899685
Kūh-e Lābūnī	id=g:6899686
Sherkat-e Rādbāf	id=g:6899687
Sherkat-e Sepāhān-e Nachaft	id=g:6899688
Mazra‘eh-ye Mīrzā ‘Alī	id=g:6899689
Mazra‘eh-ye Sesbā	id=g:6899690
Mazra‘eh-ye Lādowreh	id=g:6899691
Mazra‘eh-ye Mollā Moḩammad ‘Alī	id=g:6899692
Avarmūh	id=g:6899693
Vazheh	id=g:6899694
Zīāratgāh-e Shāhzādeh Aḩmad	id=g:6899695
Mazra‘eh-ye Darkar	id=g:6899696
Shāh Moḩammad	id=g:6899697
Kīānābād	id=g:6899698
Pūsheh	id=g:6899699
Hashveh	id=g:6899700
Kaskūn	id=g:6899701
Hemmatābād	id=g:6899702
Mazra‘eh-ye Modīr-e Pā’īn	id=g:6899703
Parchīn	id=g:6899704
Kamālābād	id=g:6899705
Mazra‘eh-ye Mīr ‘Alī	id=g:6899706
Ḩoseynābād	id=g:6899707
Now Bahār	id=g:6899708
Kūh-e Shodeh	id=g:6899709
Sang Shekan	id=g:6899710
Mazra‘eh-ye Ḩājjī	id=g:6899711
Zelzeleh Sanj	id=g:6899712
Mazra‘eh-ye Doktor Raz̲avī	id=g:6899713
Tīr Chāh	id=g:6899714
Ākhūn	id=g:6899715
Vāsheh	id=g:6899716
Ākhūnd	id=g:6899717
Jozv	id=g:6899718
Mojtame‘-e Āmūzeshī-ye Eshteghāl	id=g:6899719
Akbarābād	id=g:6899720
Haft Khān	id=g:6899721
Bāmkūshak	id=g:6899722
Ḩājjī Gheynī	id=g:6899723
Ḩājjī Khān	id=g:6899724
Kashān	id=g:6899725
Bezūr	id=g:6899726
Rakhsūn	id=g:6899727
Nūgābād	id=g:6899728
Lākūheh-ye ‘Olyā	id=g:6899729
Lākūheh-ye Soflá	id=g:6899730
Emāmzādeh Ḩeydar	id=g:6899731
Ḩoseynābād	id=g:6899732
Jandāneh	id=g:6899733
Nūjeh-ye Soflá	id=g:6899734
Nūjeh-ye ‘Olyā	id=g:6899735
Eyshī	id=g:6899736
Chācheh-ye Pā’īn	id=g:6899737
‘Abbāsābād	id=g:6899738
Lā’ūd-e Pā’īn	id=g:6899739
Dardaneh	id=g:6899740
Shokrābād	id=g:6899741
Lābīdeh	id=g:6899742
Kargaz	id=g:6899743
Bīd Ākhūn	id=g:6899744
Kūh-e Qolleh Gar	id=g:6899745
Kūh-e Lāmā’ū	id=g:6899746
Chācheh-ye Vasaţ	id=g:6899747
Chācheh-ye Bālā	id=g:6899748
Kūh-e Seh Gonbad	id=g:6899749
Gardaneh-ye Kahang	id=g:6899750
Mazra‘eh-ye Shanāneh	id=g:6899751
Raḩmatābād	id=g:6899752
Zīāratgāh-e Shāh Nāşer od Dīn	id=g:6899753
Mazra‘eh-ye Parvankūn	id=g:6899754
Kūh-e Shāhān	id=g:6899755
Mazra‘eh-ye Chī	id=g:6899756
Kūh-e Vārezeh	id=g:6899757
Emāmzādeh Bābā Sheykh	id=g:6899758
Emāmzādeh Pīr Shams od Dīn	id=g:6899759
Kalūpeh	id=g:6899760
Shahrak-e Maskūnī-ye Kūhpāyeh	id=g:6899761
Shahrak-e Şan‘atī-ye Kūhpāyeh	id=g:6899762
Shahrak-e Şan‘atī-ye Harand	id=g:6899763
Shahrak-e Maskūnī-ye ‘Allāmeh Amīnī	id=g:6899764
Kānūn-e Farhangī va Tarbeyatī-ye Shahīd Beheshtī	id=g:6899765
Shāhzādeh Ḩeydar	id=g:6899766
Emāmzādeh Esḩāq	id=g:6899767
Kārkhānejāt-e Īrān Espīrān	id=g:6899768
Mazra‘eh-ye Khodā Bandehlū va Kāshef	id=g:6899769
Zāyandeh Rūd	id=g:6899770
Shāh Morād	id=g:6899771
Dasht-e Barān-e Jonūbī	id=g:6899772
Sherkat-e Keshtkārān	id=g:6899773
Sherkat-e Ājān Kār	id=g:6899774
Dasht-e Barān-e Shomālī	id=g:6899775
Sherkat-e Takāb	id=g:6899776
Shahrak-e Almehdī	id=g:6899777
Rūd Dasht	id=g:6899778
Mādarkān	id=g:6899779
Moḩammad-e Sūnochī	id=g:6899780
Kūh-e Āb Kam	id=g:6899781
Cheshmeh-ye Sel	id=g:6899782
Kūh-e Sar Mast	id=g:6899783
Kūh-e Tīgheh Zard	id=g:6899784
Kūh-e Sīāh	id=g:6899785
Kūh-e Sīāhchī	id=g:6899786
Kūh-e Chāh Sang-e Sefīd	id=g:6899787
Takht-e Bozorg	id=g:6899788
Dāmaneh-ye Chāh Rīseh	id=g:6899789
Īstgāh-e Rāh Āhan-e Vartūn	id=g:6899790
Tall-e Morād	id=g:6899791
Ţaghāneh Tork	id=g:6899792
Īstgāh-e Āb-e Garm	id=g:6899793
Kūh-e Jelowgīr	id=g:6899794
Kūh-e Gol	id=g:6899795
Lā Pīrūz	id=g:6899796
Cheshmeh-ye Zeyn ol ‘Ābedīn	id=g:6899797
Z̄ar Āvīz	id=g:6899798
Chāh-e Zeyn ol ‘Ābedīn	id=g:6899799
Kūh-e Barzard	id=g:6899800
Cheshmeh-ye Koppeh Boland	id=g:6899801
Kūh-e Bāghcheh Sīāh	id=g:6899802
Kūh-e Āmdeshchī	id=g:6899803
Ḩoseynābād	id=g:6899804
Sīneh Zafreh	id=g:6899805
Ja‘farī	id=g:6899806
Dasht-e Āzādegān	id=g:6899807
Omīdīyeh	id=g:6899808
Seyyedābād	id=g:6899809
Golestān-e Mehdī	id=g:6899810
Mehdīābād	id=g:6899811
Mazra‘eh-ye Shahīd Modarres	id=g:6899812
Maqbareh-ye Arshadī va Bakhtīārī	id=g:6899813
‘Alīābād	id=g:6899814
Mo‘īnābād	id=g:6899815
Kūh-e Khaţ Khaţī	id=g:6899816
Lahneh-ye Pā’īn	id=g:6899817
Sūdābeh	id=g:6899818
Lahneh-ye Bālā	id=g:6899819
Band Āstāneh	id=g:6899820
Kūh-e Ārand	id=g:6899821
Dūk-e Bālā	id=g:6899822
Mazra‘eh-ye Kahanak	id=g:6899823
Aḩmadābād	id=g:6899824
Emāmzādeh Esmā‘īl	id=g:6899825
Solţān Seyyed Ḩoseyn	id=g:6899826
Emāmzādeh Mūsá	id=g:6899827
Emāmzādeh Ebrāhīm	id=g:6899828
Emāmzādeh Qāsem	id=g:6899829
Āhīyeh	id=g:6899830
Shūrābeh	id=g:6899831
Hedāyatābād	id=g:6899832
Emāmzādeh Seyyed Abū ol Ḩasan	id=g:6899833
Eslāmābād	id=g:6899834
Aḩmadābād	id=g:6899835
Golzār-e Moḩammad	id=g:6899836
Shahīd Rejā’ī	id=g:6899837
Shāhzādeh Morād	id=g:6899838
Emāmzādeh Yaḩyá	id=g:6899839
Shahrak-e Doktor Chamrān	id=g:6899840
Shahrak-e Dastgheyb	id=g:6899841
Meydān-e Emām Ḩoseyn	id=g:6899842
Shāh Solţān Seyyed ‘Alī	id=g:6899843
Sherkat-e Şanāye‘-e Rīkhteh Garī-ye Ardestān	id=g:6899844
Ḩasanābād	id=g:6899845
‘Abbāsābād	id=g:6899846
Jalālīyeh	id=g:6899847
Rūdkhāneh-ye Kachū	id=g:6899848
Kūh-e ‘Omar	id=g:6899849
Kūh-e Bar Sefīd	id=g:6899850
Ḩeydarābād	id=g:6899851
Kūh-e Mīnā’ī	id=g:6899852
Moḩammadābād	id=g:6899853
Mazra‘eh-ye Shafī‘ābād	id=g:6899854
Bī Bī Khadījeh	id=g:6899855
Qadamgāh-e Emām Reẕā	id=g:6899856
Emāmzādeh Seh Bozorgvār	id=g:6899857
Moḩammadābād	id=g:6899858
Mārchū	id=g:6899859
Radsūleh	id=g:6899860
Varāzūn	id=g:6899861
Ganjī	id=g:6899862
Kūh-e Bīdamī	id=g:6899863
Dehchī Qāsem	id=g:6899864
Dehchī Rameẕān	id=g:6899865
Shāhzādeh Sarr od Dīn	id=g:6899866
Ma‘dan-e Sang-e Gābrūy	id=g:6899867
Kūh-e Sorkheh	id=g:6899868
Kūh-e Lā Kharān	id=g:6899869
Kūh-e Tang Bādāmī	id=g:6899870
Tehrān Kūh	id=g:6899871
Aşḩābeh	id=g:6899872
Maqbareh-ye Mādar	id=g:6899873
Shāhzādeh Solţān Seyyed ‘Alī	id=g:6899874
Ārast	id=g:6899875
Ma‘-e Shahrīār	id=g:6899876
Bīdmeshk	id=g:6899877
Dāvarān	id=g:6899878
Nī Nī	id=g:6899879
Mazra‘eh-ye Mollā	id=g:6899880
Lā Kūheh	id=g:6899881
Lā Maḩmūd	id=g:6899882
Mazra‘eh-ye Khātūn	id=g:6899883
Mazra‘eh Rajab‘alī	id=g:6899884
Mazra‘eh Mashhadī	id=g:6899885
Mazra‘eh-ye Gol-e Ashk	id=g:6899886
Mazra‘eh-ye Barzangeh	id=g:6899887
Mazra‘eh-ye Lāshan Jareh	id=g:6899888
Mehrābeh	id=g:6899889
Hemmatābād	id=g:6899890
Deh-e Bālā	id=g:6899891
Mazra‘eh-ye Dakhīl	id=g:6899892
Mazra‘eh-ye Varbenāb	id=g:6899893
Bargohar	id=g:6899894
Gazīcheh	id=g:6899895
Mazra‘eh-ye ‘Azīzollāh	id=g:6899896
Mazra‘eh-ye Esma‘īl	id=g:6899897
Mazra‘eh-ye Hājjī	id=g:6899898
Mazra‘eh-ye Ābādīn	id=g:6899899
Mashdemūn	id=g:6899900
Mashdemūn	id=g:6899901
Anjīleh	id=g:6899902
Dastjerdcheh	id=g:6899903
Mazra‘eh-ye Ḩājj ‘Alī Moḩammad	id=g:6899904
Mazra‘eh-ye Ḩoseyn Ne‘matollāh	id=g:6899905
Mazra‘eh-ye Nīsīānī	id=g:6899906
Moḩammadābād	id=g:6899907
Kūh-e Rostam	id=g:6899908
Īstgāh-e Espīdān	id=g:6899909
Mazra‘eh-ye Āqā	id=g:6899910
Abīāzān	id=g:6899911
Ţāherābād	id=g:6899912
Nīm Īstgāh-e Abīāzān	id=g:6899913
Sar Takht	id=g:6899914
Kūh-e Lāmū	id=g:6899915
Gūnū	id=g:6899916
Mazra‘eh-ye Gūrūneh	id=g:6899917
Akbarābād	id=g:6899918
Kūh-e Pīr Āb	id=g:6899919
Tang-e Nahr	id=g:6899920
Kūh-e Band Derāzeh	id=g:6899921
Ashkīn	id=g:6899922
Yameh	id=g:6899923
Kūh-e Chaqā	id=g:6899924
Kūh-e Gereh	id=g:6899925
Kūh-e Zardcheh	id=g:6899926
Emāmzādeh Mūsá va Qāder	id=g:6899927
Kūh-e Khorūseh	id=g:6899928
Kūh-e Meleh	id=g:6899929
Lā Gol	id=g:6899930
Ābgāh-e Lātā	id=g:6899931
Barū Senjed	id=g:6899932
Kūh-e Boz Nahang	id=g:6899933
Cheshmeh-ye Ashkestān	id=g:6899934
Nīm Īstgāh-e Rangān	id=g:6899935
Dehnow	id=g:6899936
Kūh-e Mal Ashtar	id=g:6899937
Kūh-e Do Qolūn	id=g:6899938
Kūh-e Hanūd	id=g:6899939
Kūh-e Lā Tārīkeh	id=g:6899940
Kūh-e Zard	id=g:6899941
Khār Zan	id=g:6899942
Fadak Mārbīn	id=g:6899943
Cheshmeh-ye Gandāb	id=g:6899944
Kūh-e Shabash	id=g:6899945
Ḩasanābād	id=g:6899946
Kalleh Darreh	id=g:6899947
Sarhangcheh	id=g:6899948
Beshkan	id=g:6899949
Moḩammadābād-e Gol Anjīreh	id=g:6899950
Barū	id=g:6899951
Gonbad ‘Aţā	id=g:6899952
Deh-e Bālā	id=g:6899953
Kūh-e Dezāḩ	id=g:6899954
Dowlīn	id=g:6899955
Mehrābād	id=g:6899956
Galleh	id=g:6899957
‘Alīābād	id=g:6899958
Cheshmeh-ye Pādīstān	id=g:6899959
Balū	id=g:6899960
Kūh-e Meleh Estahraq	id=g:6899961
Kūh-e Bārjī	id=g:6899962
Vanestān	id=g:6899963
Ţarḩ-e Shahīd Beheshtī	id=g:6899964
Kūh-e Yazdān	id=g:6899965
Dūrjīr	id=g:6899966
Dowreh	id=g:6899967
Narābeh	id=g:6899968
Ma‘dan-e Komeshcheh	id=g:6899969
Kūh-e Lā Khar	id=g:6899970
Shūr Āb	id=g:6899971
Kūh-e Tambī	id=g:6899972
Damāgheh-ye Sefīd	id=g:6899973
Kūh-e Pāznow	id=g:6899974
Danāvand	id=g:6899975
Kandeh-ye Ḩājjī Āqā	id=g:6899976
Kūh-e Bandū Kalleh	id=g:6899977
Chāh Shūr	id=g:6899978
Kūh-e Dowbarādar	id=g:6899979
Kūh-e Ghār-e Dozdān	id=g:6899980
Āb Bīd	id=g:6899981
Kūh-e Borjī	id=g:6899982
Kūh-e Do Shākh	id=g:6899983
Kūh-e Lā Palang	id=g:6899984
Kūh-e Kalleh Sīāh	id=g:6899985
Āgh Kondeh Taqī	id=g:6899986
Īstgāh-e Gol	id=g:6899987
Eshkeneh	id=g:6899988
Mazra‘eh-ye Vārīūn	id=g:6899989
Ḩājjīābād	id=g:6899990
Raḩīmābād	id=g:6899991
Lā Pīāz	id=g:6899992
Do Rūchaman	id=g:6899993
Lā Jeshk-e Pā’īn	id=g:6899994
Esmā‘īlābād	id=g:6899995
Dozdcheh	id=g:6899996
Bohrānī	id=g:6899997
Gardaneh-ye ‘Alīābād	id=g:6899998
Solţānābād	id=g:6899999
Kūshk Zar	id=g:6900000
Qalā’ī	id=g:6900001
Tūtīn Sīāh	id=g:6900002
Ḩoseynābād	id=g:6900003
Şādeqābād	id=g:6900004
Kārkhāneh-ye Sang-e Shāpūr	id=g:6900005
Şāleḩīn	id=g:6900006
Hanūbarzū	id=g:6900007
Cheshmeh Sang	id=g:6900008
Sanjtū	id=g:6900009
Mazra‘eh-ye Khātūn	id=g:6900010
Khūngcheh	id=g:6900011
Chāleh Lā Lūk	id=g:6900012
Mazra‘eh-ye ‘Asgarī	id=g:6900013
Kūh-e Lā Khūnī	id=g:6900014
Ţūl Gerdī	id=g:6902714
Ḩājj Qāsem	id=g:6902715
Kūh-e Darreh Chālī	id=g:6902716
Kūh-e Āb Sorkh	id=g:6902717
Kūh-e Khākestarī	id=g:6902718
Kūh-e Sīāh Asnā	id=g:6902719
Dahaneh Kūzeh Shekan	id=g:6902720
Kūh-e Sīāh Asnā	id=g:6902721
Chāh-e Qaţāb	id=g:6902722
Kūh-e Chāh Pāzan	id=g:6902723
Kūh-e Chāh Qaţāb	id=g:6902724
Kūh-e Pīr Kāl	id=g:6902725
Chāh-e Pāzan	id=g:6902726
Cheshmeh-ye Nābeh	id=g:6902727
Davveh Lāḩajj	id=g:6902728
Cheshmeh-ye Kūrī	id=g:6902729
Qadamgāh-e Moḩammad-e Now Javān	id=g:6902730
Cheshmeh-ye Moḩammad-e Now Javān	id=g:6902731
Chāh Āb Shīrīn	id=g:6902732
‘Alī Torābī	id=g:6902733
Kīānī	id=g:6902734
Ḩājj Ḩoseyn	id=g:6902735
Chāh Maqnī	id=g:6902736
Chāh Ḩājj Reẕā	id=g:6902737
Chāh-e Ţāleb	id=g:6902738
‘Alī Mūtūrī	id=g:6902739
Mazra‘eh Khātūn	id=g:6902740
Khalīfeh Solţānī	id=g:6902741
Fāteḩeh	id=g:6902742
Rūzbeh	id=g:6902743
Kūh-e Sīneh Pīrūz	id=g:6902744
Kūh-e Kūleh	id=g:6902745
Kūh-e Yazdqomī	id=g:6902746
Dahāneh-ye Rīz Āb	id=g:6902747
Selleh	id=g:6902751
Zīāratgāh-e Shāhzādeh Esḩāq	id=g:6902752
Emāmzādeh Ya‘qūb	id=g:6902753
Ebrāhīmābād	id=g:6902754
Mazra‘eh-ye ‘Alī-ye Bn-e Mūsá ar Reẕā	id=g:6902755
Ḩoseynābād	id=g:6902756
Taqīābād	id=g:6902757
Qal‘eh Sūrkhū	id=g:6902758
Deh-e Nāyeb	id=g:6902759
Golestān-e Shahīd Moţahharī	id=g:6902760
Chāh-e Jangalbānī	id=g:6902761
Nīm Īstgāh-e Tajareh	id=g:6902762
Deh Now	id=g:6902763
Chahār Bāgh-e Pā’īn	id=g:6902764
Gorgī Bād	id=g:6902765
Amīrābād	id=g:6902766
Qal‘eh-ye Zard	id=g:6903474
Meydān-e Emāmzādeh	id=g:6903476
‘Alīābād	id=g:6903478
Afşaḩīyeh	id=g:6903480
Şeydābād	id=g:6903482
Khīābān-e Emām Khomeynī	id=g:6903484
Şādeqābād	id=g:6903486
Chāh-e Dūbrū	id=g:6903488
Hemmatābād	id=g:6903490
Qal‘eh-ye Ḩājj Moḩammad Reẕā	id=g:6903492
Chāh Shūl Bāf	id=g:6903494
Qal‘eh Gūsheh	id=g:6903496
Amīrābād	id=g:6903498
Ja‘farābād	id=g:6903501
Eslāmābād	id=g:6903503
Khorramābād	id=g:6903505
Gorūh-e Mohājer	id=g:6903507
Āqā ‘Alīān	id=g:6903509
Najafī	id=g:6903511
Shahīdābād	id=g:6903513
Chāh Shahīd Beheshtī	id=g:6903515
‘Alīābād	id=g:6903518
Chāh-e Shomāreh-ye Noh-e Qods	id=g:6903520
Kholābād	id=g:6903522
Kaftar Kūh	id=g:6903524
Īstgāh-e Jazan	id=g:6903526
Zard Kūh	id=g:6903528
Sīvan-e Bālā	id=g:6903530
Sīvan-e Pā’īn	id=g:6903533
Moḩammadābād-e ‘Olyā	id=g:6903535
Rūdkhāneh-ye Gūreh	id=g:6903537
Kūh-e Sang Bor	id=g:6903539
Chāh Akbar Sharīfīān	id=g:6903541
Chāh-e Shomāreh-ye Yāzdah-e Qods	id=g:6903543
Chāh Shahīd Dastgheyb	id=g:6903546
Chāh Shahīd Īrajī	id=g:6903548
Chāh-e Shomāreh-ye Chahār-e Qods	id=g:6903550
Chāh-e Shomāreh-ye Seh-ye Qods	id=g:6903552
Chāh-e Shomāreh-ye Haft-e Qods	id=g:6903555
Chāh-e Shomāreh-ye Panj-e Qods	id=g:6903557
Chāh-e Shomāreh-ye Do-ye Qods	id=g:6903559
Chāh Shahīd ‘Abbās	id=g:6903561
Qal‘eh-ye Gūsheh	id=g:6903563
Chāh Golestan	id=g:6903565
Chāh-e Bīst-o Do-ye Bahman	id=g:6903567
Mazra‘eh-ye Zāre‘	id=g:6903570
Mazra‘eh-ye Sherkat-e Ta‘āvonī	id=g:6903572
Chāh ‘Abdollahī	id=g:6903574
Gorūh-e Shesh-e Ţāleqānī	id=g:6903576
Chāh-e Shomāreh-ye Hasht	id=g:6903578
Gorūh-e Dah	id=g:6903581
Gorūh-e Do-ye Sha‘bānī	id=g:6903583
Chāh Taqī	id=g:6903585
Gorūh-e Chahār-e Ţāleqānī	id=g:6903587
Chāh Rameẕān	id=g:6903589
Gorūh-e Seh-ye Rajā’ī	id=g:6903590
Chāh Ḩasanpūr	id=g:6903591
Chāh-e Aḩmadīhā	id=g:6903592
Noşratābād	id=g:6903593
Shamsābād	id=g:6903594
Chāh Kārgar	id=g:6903595
Sheykh ‘Āref	id=g:6903596
Dasht Chūb	id=g:6903597
Golestān-e Khomeynī	id=g:6903598
Golestān-e Beheshtī	id=g:6903599
Chāh Seyyedābād	id=g:6903600
Chāh Ḩeydar	id=g:6903601
Pīr Bar Ḩaq	id=g:6903602
Haft Tā’ī	id=g:6903603
Nāḩīyeh-ye Şan‘atī-ye Mahābād	id=g:6903604
Pārk-e Jangalī-ye Mahābād	id=g:6903605
Ţarḩ-e Shahīd Beheshtī Sarhangcheh	id=g:6903606
Chāh Fadak-e Yek	id=g:6903607
Chāh Şāḩeb oz Zamān	id=g:6903608
Chāh Gāmbū	id=g:6903609
Chāh ‘Āmerī	id=g:6903610
Dasht-e Sārān	id=g:6903611
Darreh-ye Kambīl	id=g:6903612
Gardan Dāsī	id=g:6903613
Lah Derāz	id=g:6903614
Kāl-e Chehrū	id=g:6903615
Kāl-e Zankūh	id=g:6903616
Kūh-e Mīnū	id=g:6903617
Gardaneh-ye Derāz	id=g:6903618
Kāl-e Tang-e Khoshkī	id=g:6903619
Kūh-e Gar	id=g:6903620
Cheshmeh-ye Shesh Pīr	id=g:6903621
Sārūn	id=g:6903622
Behesht-e Gomshodeh	id=g:6903623
Tang-e Bostānak	id=g:6903624
Cheshmeh-ye Qadaḩī	id=g:6903625
Dehdāmcheh	id=g:6903626
Dasht-e Bokān	id=g:6903627
Kalleh Kholī	id=g:6903628
Kūh-e Gar	id=g:6903629
Kāmfīrūz-e Shomālī	id=g:6903630
Maqbareh-ye Seyyed Esmā‘īl-e Mīr Bāqerī	id=g:6903631
Bakhshdārī-ye Kāmfīrūz	id=g:6903632
Emāmzādeh Ebrāhīm	id=g:6903633
Kāmfīrūz-e Jonūbī	id=g:6903634
Kūh-e Ābbād	id=g:6903635
Palangī	id=g:6903636
Kāl-e Ḩoseynābād	id=g:6903637
Rūdkhāneh-ye Rūd Kar	id=g:6903638
Kūh-e Do Shākh	id=g:6903775
Dahaneh Kachū	id=g:6903776
Cheshmeh-ye Karcheh	id=g:6903777
Cheshmeh Sefīd	id=g:6903778
Bejīyeh	id=g:6903779
Khānīābād	id=g:6903780
Chāh Gorūh-e ‘Arabhā	id=g:6903781
Chāh-e Ḩaddādī	id=g:6903782
Mārī	id=g:6903783
Rūdkhāneh-ye Mārī	id=g:6903784
Dahāneh-ye Do Shākh	id=g:6903785
Kūh-e Ţālebeh	id=g:6903786
Dahāneh-ye Sangāb	id=g:6903787
Kūh-e Chāqūchī	id=g:6903788
Chāh-e Gorg	id=g:6903789
Kūh-e Māleh Shūr	id=g:6903790
Kūh-e Tall Sangū	id=g:6903791
Tārvānsarā	id=g:6903792
Kūh-e Chahār Ţāqī	id=g:6903793
Kolūt Torkamanī	id=g:6904655
Taleh Būr	id=g:6904656
Kavīr Chāh Qobād	id=g:6904657
Shūrāb-e Godārzeh Gāh	id=g:6904658
Kūh-e Shekasteh Chakhmāqīyeh	id=g:6904659
Rūdkhāneh-ye Cheshmeh Panbeh	id=g:6904660
Garmāb	id=g:6904661
Rūdkhāneh-ye Karūghī	id=g:6904662
Cheshmeh-ye Mīr	id=g:6904663
Kūhhā-ye Cheshmeh Mīr	id=g:6904664
Kūhhā-ye Danar	id=g:6904665
Khvājeh ‘Alīyeh	id=g:6904666
Cheshmeh-ye Vīsh Khvoveh	id=g:6904667
Vīsh Khvoveh	id=g:6904668
Hamrū	id=g:6904669
Cheshmeh-ye Yakhāb	id=g:6904670
Cheshmeh-ye Kadūkheh Mareh	id=g:6904671
Cheshmeh-ye Jūsh Āb	id=g:6904672
Kūhhā-ye Bābākhū	id=g:6904673
Darreh-ye Yakhāb	id=g:6904674
Jūrkas Gelīj	id=g:6904675
Band-e Shāh Vadī	id=g:6904676
Bāghcheh	id=g:6904677
Kūh-e Chekūh	id=g:6904678
Cheshmeh-ye Angalī	id=g:6904679
Cheshmeh-ye Gandāb	id=g:6904680
Cheshmeh-ye Shāh Vadī	id=g:6904681
Darreh-ye Shāh Vadī	id=g:6904682
Bīsheh	id=g:6904683
Cheshmeh-ye Malek Şadrā	id=g:6904684
Āghol-e Shūr Āb	id=g:6904685
Qal‘eh Sardār	id=g:6904686
Khāleh Sefīd	id=g:6904687
Darreh-ye Pā Band-e Kabk	id=g:6904688
Kūh-e Band Kabk	id=g:6904689
Darreh-ye Anjīrak	id=g:6904690
Karūghī	id=g:6904691
Band-e Īlāghīyeh	id=g:6904692
Kūh-e Malek Şadrā	id=g:6904693
Cheshmeh-ye Āb Bārīk-e Pā’īn	id=g:6904694
Cheshmeh-ye Āb Bārīk-e Bālā	id=g:6904695
Cheshmeh-ye Shūr Āb-e Bārīk	id=g:6904696
Rūdkhāneh-ye Āb-e Bārīk	id=g:6904697
Kolang-e Moḩammad Ḩasan Khānī	id=g:6904698
Āb Qandī	id=g:6904699
Do Kavīrī	id=g:6904700
Rūdkhāneh-ye Qāsem Bekī	id=g:6904701
Kūh-e Torkamānī	id=g:6904702
Qal‘eh-ye Shāh ‘Abbāsī	id=g:6904703
