Mofraa	id=g:166849
Maysarah	id=g:167008
Tall Maysān	id=g:167009
‘Ayn al Maysah	id=g:167010
Khirbat Mayrūn	id=g:167011
Khirbat Mayrī	id=g:167012
Jabal Mayrī	id=g:167013
Māyir	id=g:167014
Maydānkī	id=g:167015
Maydān Jūq	id=g:167016
Maydān Ikbis	id=g:167017
Wādī al Maydānī	id=g:167018
Maydān	id=g:167019
Maydān	id=g:167020
Maydān	id=g:167021
Mayda‘ā	id=g:167022
Mazār al Mayâne	id=g:167023
‘Ayn al Mayâne	id=g:167024
Ma‘yān	id=g:167025
Mawzālān	id=g:167026
Mawlá Sibāţ	id=g:167027
Mawlá Sibāţ	id=g:167028
Ḑahr Ma‘tūq	id=g:167029
Maţrabah	id=g:167030
Tall Matnīn	id=g:167031
Matnīn	id=g:167032
Wādī Matnī	id=g:167033
Jabal al Matnī	id=g:167034
Matn aş Şafşāfah	id=g:167035
Matn ‘Arnūq	id=g:167036
Matn al Qiblīyah	id=g:167037
Matn Abū Rayyā	id=g:167038
Matnāb	id=g:167039
Maţla‘ al Manqūrah	id=g:167040
Bi’r Maţīr	id=g:167041
Wadī al Matīnah	id=g:167042
Ma‘tī	id=g:167043
Minţaqat Maşyāf	id=g:167044
Jabal Maşyāf	id=g:167045
Maşyāf	id=g:167046
Nahr Maşyadah	id=g:167047
Jabal al Maşyadah	id=g:167048
Jabal al Maşyadah	id=g:167049
Maşyadah	id=g:167050
Tall Mas‘ūdīyāt Kabīr	id=g:167051
Mas‘ūdīyah	id=g:167052
Mas‘ūdīyah	id=g:167053
Mas‘ūdīyah	id=g:167054
Mas‘ūdīyah	id=g:167055
Wādī Mas‘ūd	id=g:167056
Tall Mas‘ūd	id=g:167057
Mas‘ūd	id=g:167058
Mastū Shindī	id=g:167059
Wādī al Mastūr	id=g:167060
Ra’s al Maşţabah	id=g:167061
Maşşīş	id=g:167062
Jabal Maşşāyāt	id=g:167063
Maşşād	id=g:167064
‘Ayn Masraoun	id=g:167065
Bi’r Maşra‘ Marwān	id=g:167066
Wādī al Masrab	id=g:167067
Wādī al Masrab	id=g:167068
Bi’r al Masrab	id=g:167069
Bi’r al Masrab	id=g:167070
Maşna‘ al Waţá	id=g:167071
Maşna‘ al Bayāḑ	id=g:167072
Wādī Maşna‘	id=g:167073
Jabal al Maşna‘	id=g:167074
Wādī al Maslūkhah	id=g:167075
Maslūkhah	id=g:167076
Tall al Maslakh	id=g:167077
‘Ayn Maslaḩah	id=g:167078
Māskānlī	id=g:167079
Maskanah	id=g:167080
Maskanah	id=g:167081
Tall Maskan	id=g:167082
Tall al Māsiyah	id=g:167083
Wādī Masīl ash Shaykh Ḩaydar	id=g:167084
Wādī al Masīlah	id=g:167085
Wādī al Māsik	id=g:167086
Jabal al Māsik	id=g:167087
Māsiḩ	id=g:167088
Qurnat al Maşīdah	id=g:167089
Khirbat al Maşīdah	id=g:167090
Ma‘shūq	id=g:167091
Ma‘shūq	id=g:167092
Mashtá Muḩammad ‘Adhrah	id=g:167093
Mashtá Bayt Ḩamrā’	id=g:167094
Mashtá Bayt Darwīsh	id=g:167095
Mashtá at Tūtah	id=g:167096
Mashtá al Laqbah	id=g:167097
Mashtá al Khaḑrā’	id=g:167098
Mashtá al Jawbah	id=g:167099
Mashtá al Ḩulw	id=g:167100
Mashrafat Umm Aacheba	id=g:167101
Mashrafat Sa‘īd	id=g:167102
Ḑahr Mashrafat Miţyāḩ	id=g:167103
Mashrafat ‘Awdān	id=g:167104
Mashrafat at Tutun	id=g:167105
Mashrafat at Taḩtānīyah	id=g:167106
Mashrafat aş Şaghīrah	id=g:167107
Mashrafat ash Shaykh ‘Ubayd	id=g:167108
Mashrafat ash Sharqīyah	id=g:167109
Mashrafat Arjul	id=g:167110
Mashrafat al Muwayliḩ	id=g:167111
Mashrafat al Murayj	id=g:167112
Mashrafat al Ḩallāj	id=g:167113
Mashrafat al Gharbīyah	id=g:167114
Mashrafat al Fawqānīyah	id=g:167115
Mashrafat al Bu’ayr	id=g:167116
Mashrafat Abū Jabbār	id=g:167117
Mashrafat ‘Abd al Karīm	id=g:167118
Mashrafah aş Şaghīrah	id=g:167119
Khirbat al Mashrafah	id=g:167120
Jabal al Mashrafah	id=g:167121
Mashrafah	id=g:167122
Mashrafah	id=g:167123
Mashrafah	id=g:167124
Mushayrifah	id=g:167125
Mashrafah	id=g:167126
Mashraf	id=g:167127
‘Ayn al Mashrabah	id=g:167128
Wādī Mashra‘	id=g:167129
Jabal Mashqūq al Abadān	id=g:167130
Wādī al Mashqūqah ash Sharqīyah	id=g:167131
Wādī al Mashqūqah	id=g:167132
Tall Mashqūqah	id=g:167133
Sha‘īb al Mashqūqah	id=g:167134
Khabrat al Mashqūqah	id=g:167135
Khabrat al Mashqūqah	id=g:167136
Tall Mashqūq	id=g:167137
Mashqītā	id=g:167138
Tall Mashnaqah	id=g:167139
Mashlī	id=g:167140
Mashhad Rūḩīn	id=g:167141
Mashhad	id=g:167142
Wādī Mashāriq	id=g:167143
Maqbarat al Mashārifah	id=g:167144
Ma‘sharān	id=g:167145
Tall Masḩarah	id=g:167146
Masḩarah	id=g:167147
Ḑahr Mashā‘ir	id=g:167148
Masḩab	id=g:167149
Tall Masha	id=g:167150
Wādī Maşāşinah	id=g:167151
Khirbat Maşāşinah	id=g:167152
Ma‘şartah	id=g:167153
Ma‘şar Juqq	id=g:167154
Ma‘şarān	id=g:167155
Ma‘şarān	id=g:167156
Wādī al Ma‘şarah	id=g:167157
Khirbat al Ma‘şarah	id=g:167158
Wādī Mas‘adah	id=g:167159
Khirbat Mas‘adah	id=g:167160
Jabal Mas‘adah	id=g:167161
Mas‘adah	id=g:167162
Mas‘adah	id=g:167163
Mas‘adah	id=g:167164
Mas‘adah	id=g:167165
Mas‘adah	id=g:167166
Mas‘adah	id=g:167167
‘Ayn al Mās	id=g:167168
Wādī Marzūqah	id=g:167169
Khirbat Marzūqah	id=g:167170
Dār Marziyān	id=g:167171
Maryūdah	id=g:167172
Dayr Mār Ya‘qūb	id=g:167173
Maryamayn	id=g:167174
Maryamayn	id=g:167175
Maryamayn	id=g:167176
Maryamayn	id=g:167177
Tall Maryam	id=g:167178
Tall Maryam	id=g:167179
Tall Marwānī	id=g:167180
Marwānah Taḩtānī	id=g:167181
Marwaḩ	id=g:167182
Mārūnīyāt	id=g:167183
Mārūnīyah	id=g:167184
Ma‘rūnah	id=g:167185
Ma‘rūḑah	id=g:167186
Ma‘rubū	id=g:167187
Mar‘ū	id=g:167188
Dayr Mār Tūmā	id=g:167189
Mār Tūmā	id=g:167190
Mārtīn	id=g:167191
Jazīrat Mār Tādrus	id=g:167192
Wādī Marţabīyah	id=g:167193
Khirbat Marţabīyah	id=g:167194
Tall Marshūdī	id=g:167195
Marsḩīn	id=g:167196
Marşawā	id=g:167197
Mār Sarkīs	id=g:167198
Marrāţ	id=g:167199
Marrānah	id=g:167200
Marrān	id=g:167201
Marrānah	id=g:167202
Marrān	id=g:167203
Marrān	id=g:167204
Rujm al Mārrah	id=g:167205
Nahr Marqīyah	id=g:167206
Marqadah	id=g:167207
Marqadah	id=g:167208
Marqadah	id=g:167209
Marqab	id=g:167210
Dayr Mār Mūsá	id=g:167211
Marmarītā	id=g:167212
Marmá Rayyālī	id=g:167213
Tall Marmar	id=g:167214
Marmá Ibn Darwīsh	id=g:167215
Markīyah	id=g:167216
Markaz Abū Qalqal	id=g:167217
Markab al Ḩufnah	id=g:167218
Markab	id=g:167219
Dayr Mār Jurjus	id=g:167220
Marj Umm Ḩāratayn	id=g:167221
Marjūm	id=g:167222
Marj Shīlī	id=g:167223
Marj Ruḩayyil	id=g:167224
Marj Mūsá	id=g:167225
Marj Maţar	id=g:167226
Marj Ma‘īrbān	id=g:167227
Marj Khiḑr	id=g:167228
Marj Khawkhah	id=g:167229
Marj Dhubāb	id=g:167230
Marj Darwish al Khalaf	id=g:167231
Marj az Zāwiyah	id=g:167232
Marj as Sulţān	id=g:167233
Marj al Qaţā	id=g:167234
Marj al Jābirīyah	id=g:167235
Wādī Marj al Gharbīyah	id=g:167236
Marj adh Dhi’bāt	id=g:167237
Wādī al Marj	id=g:167238
Ra’s al Marj	id=g:167239
‘Ayn al Marj	id=g:167240
Arḑ al Marj	id=g:167241
Mārīt	id=g:167242
Khirbat al Marī	id=g:167243
‘Ayn Mar‘ī	id=g:167244
Māri‘	id=g:167245
Mār Ḩannā	id=g:167246
Marḩamīyah	id=g:167247
Tall Mardīkh	id=g:167248
Mardīkh	id=g:167249
Mardīdū	id=g:167250
Marbḩīn	id=g:167251
Marbâte	id=g:167252
Jabal Marbaţ al Ḩassān	id=g:167253
Tall al Marazzah	id=g:167254
Wādī al Marāziqah	id=g:167255
Marātī	id=g:167256
Marāsīyah	id=g:167257
Mar‘and	id=g:167258
Mar‘anāz	id=g:167259
Wādī Ma‘rān	id=g:167260
Tallat Marāḩ ar Rujmah	id=g:167261
Marāḩ ar Ra’s	id=g:167262
Marāḩ al Maşşāyāt	id=g:167263
Rujm al Mar’ah	id=g:167264
Khirbat al Marāḩ	id=g:167265
Jabal al Marāḩ	id=g:167266
Sabkhat al Marāghah	id=g:167267
Bi’r al Marāghah	id=g:167268
Marādij	id=g:167269
Wādī Maradd al Khashab	id=g:167270
Ma‘raḑah al Kabīrah	id=g:167271
Maradah	id=g:167272
Tall al Ma‘raḑ	id=g:167273
Nahr Ma‘rabā	id=g:167274
Ma‘rabā	id=g:167275
Ma‘rabā	id=g:167276
Wādī Maqzel	id=g:167277
Maqtir	id=g:167278
Maqtal az̧ Z̧ālim	id=g:167279
Maqtalah	id=g:167280
Maqţa‘ Ḩajar aş Şaghīr	id=g:167281
Wādī Maqţa‘ al Ḩajar	id=g:167282
Maqţa‘ al Ḩajar	id=g:167283
Maqţa‘ al Ḩajar	id=g:167284
Tall al Maqţa‘	id=g:167285
Jabal Maqţa‘	id=g:167286
Khirbat al Maqşūrah	id=g:167287
Maqsam Muqtabalī	id=g:167288
Maqsam Ḩammāl ash Sharqī	id=g:167289
Maqsam Ḩammāl al Gharbī	id=g:167290
Maqsam ash Shamālī	id=g:167291
Maqsam ad Dār	id=g:167292
Wādī Maqsam	id=g:167293
‘Ayn Maqsam	id=g:167294
Maqrūşah	id=g:167295
Maqrūd	id=g:167296
Wādī al Maqnūş	id=g:167297
Maqinţār	id=g:167298
Jabal al Maqharah	id=g:167299
Maqhá ash Shuḩaymī	id=g:167300
Jabal Maqdūsh	id=g:167301
Tall al Maqbīyah	id=g:167302
Maqbarah	id=g:167303
Maqbarah	id=g:167304
Tall al Maqāţi‘	id=g:167305
Ghadīr Maqāţi‘	id=g:167306
Maḩaţţat al Maqārin	id=g:167307
Maqām Salīm	id=g:167309
Tall Maqām	id=g:167310
Arḑ Maqālīd	id=g:167311
Maqā’il az Zubaydī	id=g:167312
Manzūl	id=g:167313
Manzilat Marmar	id=g:167314
Jabal Manzilah	id=g:167315
Manzalah	id=g:167316
Manzalah	id=g:167317
Arḑ Manū‘ah	id=g:167318
Ḑahr al Manţarah	id=g:167319
Ra’s al Manţar	id=g:167320
Ḑahr al Manţar	id=g:167321
Ḑahr Manţar	id=g:167322
Manţaf	id=g:167323
Tall Manşūrah	id=g:167324
Manşūrah	id=g:167325
Qubbat Manşūr	id=g:167326
Ḑahr Manşūr	id=g:167327
‘Ayn Manşūr	id=g:167328
‘Ayn Manşūr	id=g:167329
Manşūr	id=g:167330
Wādī al Manshūrah	id=g:167331
Khirbat Manshīyah	id=g:167332
Wādī al Manqūrah	id=g:167333
Thanīyat al Manqūrah	id=g:167334
Jabal al Manqūrah	id=g:167335
Khirbat Manqūlah	id=g:167336
Rujm Manqué	id=g:167337
Wādī Mannū	id=g:167338
Khirbat Mannū	id=g:167339
Ḑahr al Mannqa	id=g:167340
Tall al Mannkat	id=g:167341
Khirbat al Mannkat	id=g:167342
Mankallī	id=g:167343
Manjīlā	id=g:167344
Manjī Kūy	id=g:167345
Manīn	id=g:167346
Bi’r Manī‘īyat ‘Aqūmī	id=g:167347
Bi’r al Manī‘īyah	id=g:167348
Jabal al Māni‘	id=g:167349
Mandik	id=g:167350
Mandal	id=g:167351
Mandā	id=g:167352
Tallat al Manbū‘ah	id=g:167353
Jabal al Manbū‘	id=g:167354
Minţaqat Manbij	id=g:167355
‘Ayn al Manbij	id=g:167356
Manbij	id=g:167357
Wādī Manāţir	id=g:167358
Manārat ash Sharīf	id=g:167359
Jabal al Manār	id=g:167360
Kawm al Manākh	id=g:167361
Ma‘mūrlū	id=g:167362
Rujm Ma‘mūr	id=g:167363
Māmūhīyah	id=g:167364
Khirbat Ma‘mūdīyah	id=g:167365
Mamlaḩat Khātūnīyah	id=g:167366
Ḑuhūr al Mamlaḩah	id=g:167367
Ḑahr Mamdūdah	id=g:167368
Māmayt	id=g:167369
Qayşarīyat al Fawqānī	id=g:167370
Ma‘mal Ūshāghī	id=g:167371
Māmālī	id=g:167372
Jabal Ma‘lūlā	id=g:167373
Jabal Ma‘lūlā	id=g:167374
Ma‘lūlā	id=g:167375
Bi’r Malqata	id=g:167376
Jabal Malqá al ‘Arā’is	id=g:167377
Bi’r al Mallūḩī	id=g:167378
Mallā Marsah Şaghīr	id=g:167379
Mallā Marsah Kabīr	id=g:167380
Wādī Mallā Marsah	id=g:167381
Mallājah	id=g:167382
Baḩrat al Mallāḩah	id=g:167383
Tall Mallāḩ	id=g:167384
Tall Mallāḩ	id=g:167385
Sabkhat Mallāḩ	id=g:167386
Mallāḩ	id=g:167387
Mallāḩ	id=g:167388
Tall al Mallā	id=g:167389
Bustān Mālik Aḩmad	id=g:167390
Tall al Malik	id=g:167391
Kurūm Mālik	id=g:167392
Malik	id=g:167393
Malīḩat al ‘Aţash	id=g:167394
Wādī al Māliḩah	id=g:167395
Tall al Māliḩah	id=g:167396
Tall Māliḩah	id=g:167397
Qulbān al Māliḩah	id=g:167398
Khirbat al Malīḩah	id=g:167399
Bi’r Māliḩah	id=g:167400
Malīḩah	id=g:167401
Tall al Māliḩ	id=g:167402
Tall Mālid	id=g:167403
Malḩah	id=g:167404
Wādī Malāţīyah	id=g:167405
‘Uyūn Malāţīyah	id=g:167406
Tall Malāţīyah	id=g:167407
Malaḩ	id=g:167408
Wādī al Māl	id=g:167409
Tall al Māl	id=g:167410
Maktabah	id=g:167411
Tall Maksūr	id=g:167412
Maksar at Taḩtānī	id=g:167413
Jabal Maqsar Ibn Namir Ru’ūs	id=g:167414
Maksar al Ḩişān	id=g:167415
Maksar al Fawqānī	id=g:167416
Wādī al Maksar	id=g:167417
Kawm Maksar	id=g:167418
Wādī al Makmal	id=g:167419
Wādī Makkī	id=g:167420
Mākhūs	id=g:167421
Tall Makḩūl	id=g:167422
Tall Makhrūm	id=g:167423
Makhraj	id=g:167424
Wādī Makhnā	id=g:167425
Makhlī	id=g:167426
Bi’r Makhlaf	id=g:167427
Tall al Makhfī	id=g:167428
Makḩalah	id=g:167429
Makhāḑah	id=g:167430
Tall al Makhābah	id=g:167431
Jabal al Makāmin	id=g:167432
Makāḩil	id=g:167433
Ma‘k	id=g:167434
Wādī al Majrūdah	id=g:167435
Bi’r al Majrūdah	id=g:167436
Majmū‘ah	id=g:167437
Wādī Majma‘ as Sawāqī	id=g:167438
Mājid	id=g:167439
Bi’r al Majdūr	id=g:167440
Majdūlīyah	id=g:167441
Majdalūn al Bustān	id=g:167442
Majdalūn al Bustān	id=g:167443
Majdal Shams	id=g:167444
Majdal Şāliḩ	id=g:167445
Majdalīyah	id=g:167446
Tall Majdal	id=g:167447
Jabal al Majdal	id=g:167448
Ḑahr al Majdal	id=g:167449
Arḑ al Majdal	id=g:167450
Majdal	id=g:167451
Khirbat Majdah	id=g:167452
Tall al Majda‘	id=g:167453
Wādī al Majbūl	id=g:167454
Majās	id=g:167455
Wādī al Majarr	id=g:167456
Tall Majādil	id=g:167457
Majādil	id=g:167458
Mā‘iş	id=g:167459
‘Ayn al Maḩwaţah	id=g:167460
Maḩwartah	id=g:167461
Maḩūnah	id=g:167462
Maḩshīyat aţ Ţawāḩīn	id=g:167464
Maḩsanlī	id=g:167465
Wādī al Mahsâni	id=g:167466
Kharāb al Mahsâni	id=g:167467
Maḩsanah	id=g:167468
Maḩrūqah	id=g:167469
Maḩriqān	id=g:167470
Maḩrān	id=g:167471
Wādī Maḩramīyah	id=g:167472
Maḩmūd Ūbāsī	id=g:167473
Maḩmūdīyah	id=g:167474
Bi’r al Maḩmūdī	id=g:167475
Wādī Maḩmūd	id=g:167476
Wādī Maḩmūd	id=g:167477
Wādī Maḩmūd	id=g:167478
Rujm Maḩmūd	id=g:167480
Ghadīr Maḩmūd	id=g:167481
Wādī al Maḩlabīyah	id=g:167482
Maḩkān	id=g:167483
Khirbat al Maḩjar	id=g:167484
Jabal Mahīn aş Şaghīrah	id=g:167485
Jabal Mahīn al Kabīrah	id=g:167486
Jabal Mahīn	id=g:167487
Mahīn	id=g:167488
Maḩfūrah	id=g:167489
Maḩfāz̧ah	id=g:167490
Wādī Mahdūm	id=g:167491
Tall Mahdūm	id=g:167492
Mahdūm	id=g:167493
Wādī Mahdī	id=g:167494
Tall al Mahdī	id=g:167495
‘Ayn Mahbūlī	id=g:167496
Wādī al Maḩāsh	id=g:167497
Maḩārīm	id=g:167498
Ḑahr al Maḩālib	id=g:167499
Maḩaţţat Maḩajjah	id=g:167500
Maḩajjah	id=g:167501
Muqrīnāt	id=g:167502
Maqrīnāt	id=g:167503
Wādī Maglūjah	id=g:167504
Tall Maghūt	id=g:167505
Maghlūl	id=g:167506
Jabal Maghlūjah	id=g:167507
Maghlūjah	id=g:167508
Khirbat Maghātah	id=g:167509
Maghār Juqq	id=g:167510
Jabal al Maghāriq	id=g:167511
Maghārat Umm ‘Uşfūr	id=g:167512
Maghārat Qarah Sha‘bān	id=g:167513
Maghārat Marzah	id=g:167514
Maghāratayn	id=g:167515
Maghārat al Jāmūs	id=g:167516
Maghārat al Jamal	id=g:167517
Maghārat ‘Abd al ‘Azīz	id=g:167518
Maghārah Darahsī	id=g:167519
Wādī al Maghārah	id=g:167520
Wādī al Maghārah	id=g:167521
Maghārah	id=g:167522
Maghārah	id=g:167523
Wādī al Maghār	id=g:167524
Wādī al Maghār	id=g:167525
Bāb al Maghār	id=g:167526
Maghā’ir	id=g:167527
Tall al Maftūḩ	id=g:167528
Mafşalah	id=g:167529
Wādī Mafîyé	id=g:167530
Maf‘alah	id=g:167531
Maerite	id=g:167532
Jabal al Madyūnah	id=g:167533
Wādī Madrasah	id=g:167534
Madrasah	id=g:167535
Tall Madkūk	id=g:167536
Nahr al Maḑīq	id=g:167537
Ma‘din Jadīd	id=g:167538
Madīnat Ruḩayyah Kabīrah	id=g:167539
Madīnat Ruḩayyah	id=g:167540
Muḩāfaz̧at Dimashq	id=g:167541
Madīnat al Ghazāl	id=g:167542
Madīnat al Fa’r	id=g:167543
Şirāţ Ma‘din al ‘Atīq	id=g:167544
Ma‘din al ‘Atīq	id=g:167545
Madīnah	id=g:167546
Makhfar al Ma‘din	id=g:167547
Ma‘din	id=g:167548
Tall Madik	id=g:167549
Wādī Madīḩ	id=g:167550
Madhbaḩat ad Durūz	id=g:167551
Madhbaḩ al Qāsim	id=g:167552
Arḑ al Madhbaḩ	id=g:167553
Madḩalah	id=g:167554
Wādī al Maddān Zaydī	id=g:167555
Maḑba‘ah	id=g:167556
Sahl Maḑāyā	id=g:167557
Maḑāyā	id=g:167558
Maḑāyā	id=g:167559
Jabal Madār az Zayyāt	id=g:167560
Nahr Ma‘dar	id=g:167561
Ma‘dar	id=g:167562
Jabal Madānī	id=g:167563
Madanah aş Şaghīrah	id=g:167564
Madanah al Kabīrah	id=g:167565
Madā’in	id=g:167566
Maḑābi‘	id=g:167567
Jabal al Madabe	id=g:167568
Madabah	id=g:167569
Tall Ma‘būr	id=g:167570
‘Ayn al Mab‘ūjah	id=g:167571
Mab‘ūjah	id=g:167572
Tall Mabţūḩah	id=g:167573
Tall Mabţūḩ	id=g:167574
Tall Mabtū‘	id=g:167575
Arḑ al Mabrūd	id=g:167576
Ma‘baţlī	id=g:167577
Jabal Mabarrah	id=g:167578
Mabaoûssa	id=g:167579
Ma‘badīyah	id=g:167580
Khirbat Ma‘azyān	id=g:167581
Tall Maâssîne	id=g:167582
Tall Ma‘āshī	id=g:167583
Bi’r Ma‘āshī	id=g:167584
Maar Tabaïne	id=g:167585
Ma‘arr Zaytah	id=g:167586
Ma‘arr Zāf	id=g:167587
Ma‘arr Zāf	id=g:167588
Ma‘arr Shūrīn	id=g:167589
Ma‘arr Shamshah	id=g:167590
Ma‘arr Shamārīn	id=g:167591
Ma‘arr Shaḩūr	id=g:167592
Ma‘arrīyah	id=g:167593
Ma‘arrīn al Jabal	id=g:167594
Khirbat Ma‘arrīn	id=g:167595
Ma‘arrīn	id=g:167596
Ma‘arrīn	id=g:167597
Ma‘arrīn	id=g:167598
Ma‘arr Ballīţ	id=g:167599
Ma‘arrat Umm al Ḩawsh	id=g:167600
Khirbat Ma‘arrat Srâta	id=g:167601
Ma‘arrat Şīn	id=g:167602
Ma‘arrat Şaydnāyā	id=g:167603
Ma‘arrat Moûkhôs	id=g:167604
Ma‘arrat Mişrīn	id=g:167605
Ma‘arrat Khān Tūmān	id=g:167606
Khirbat Ma‘arrat Khā’il	id=g:167607
Ma‘arrat Ḩurmah	id=g:167608
Ma‘arrat Dibsah	id=g:167609
Minţaqat Ma‘arrat an Nu‘mān	id=g:167610
Ma‘arrat an Nu‘mān	id=g:167611
Ma‘arrat al Ikhwān	id=g:167612
Khirbat Ma‘arrat al Bayţūr	id=g:167613
Ma‘arrat al Bāsh	id=g:167614
Ma‘arrat al ‘Atīq	id=g:167615
Ma‘arrat al Atārib	id=g:167616
Wādī Ma‘arrātā	id=g:167617
Jubb Ma‘arrātā	id=g:167618
Ma‘arrātā	id=g:167619
Ma‘arrātā	id=g:167620
Ma‘arrātā	id=g:167621
Ma‘arrātā	id=g:167622
Wādī Ma‘arrah	id=g:167623
Tall Ma‘arrah	id=g:167624
