Faith Wesleyan Church	id=g:4154850
Fellowship Presbyterian Church	id=g:4154969
Fellowship with Christ	id=g:4154970
Fells Cove	id=g:4154971
Fellsmere	id=g:4154972
Fellsmere Airport	id=g:4154973
Fellsmere Elementary School	id=g:4154974
Lake Felter	id=g:4154975
Felton Lake	id=g:4154976
Felton Park Road Plaza	id=g:4154977
Fender Point	id=g:4154978
Fenholloway	id=g:4154979
Fenholloway River	id=g:4154980
Farmdale Cemetery	id=g:4154981
Fenholloway Station	id=g:4154982
Fennel Slough	id=g:4154983
Ferdinand Plaza	id=g:4154984
Ferguson Airport	id=g:4154985
Ferguson Bay	id=g:4154986
Ferguson Lake	id=g:4154987
Ferguson Pond	id=g:4154988
Ferguson River	id=g:4154989
Fenholloway River Approach Light	id=g:4154990
Fermine De Viller Grant	id=g:4154991
Fern Creek	id=g:4154992
Ferguson Seaplane Base	id=g:4154993
Fern Crest Village	id=g:4154994
Fern Forest Nature Center	id=g:4154995
Fern Hammock Springs	id=g:4154996
Fern Hill Cemetery	id=g:4154997
Fern Isle Park	id=g:4154998
Fern Lake	id=g:4154999
Fern Park	id=g:4155000
Fern Park Church of the Nazarene	id=g:4155001
Fern Park Shopping Center	id=g:4155002
Fern Pond	id=g:4155003
Fern Ridge Day School	id=g:4155004
Lake Fern	id=g:4155005
Fernandina Beach	id=g:4155006
Fernandina Beach High School	id=g:4155007
Fernandina Beach Junior High School	id=g:4155008
Fernandina Beach Municipal Airport	id=g:4155009
Fernandina Plaza Historic State Park	id=g:4155010
Ferndale	id=g:4155011
Ferran Park	id=g:4155012
Ferreira Cemetery	id=g:4155013
Ferreira Point	id=g:4155014
Ferrell Branch	id=g:4155015
Fern Creek School	id=g:4155016
Ferry Pass	id=g:4155017
Ferry Pass Baptist Church	id=g:4155018
Ferry Pass Bayou	id=g:4155019
Ferry Cutoff	id=g:4155020
Ferry Pass Elementary School	id=g:4155021
Ferry Pass Middle School	id=g:4155022
Ferry Pass Plaza	id=g:4155023
Ferry Point	id=g:4155024
Fessenden Elementary School	id=g:4155025
Festival Park	id=g:4155026
Festus	id=g:4155027
Fever Hammock	id=g:4155028
Fico Farms Airport	id=g:4155029
Fiddlers Point	id=g:4155030
Fiddlers Point	id=g:4155031
Fiddlestring Bay	id=g:4155032
Fidelis	id=g:4155033
Fidelis Church	id=g:4155034
Fidelis School	id=g:4155035
Field Bay	id=g:4155036
Fields Branch	id=g:4155037
Ferry Pass Church	id=g:4155038
Fieldstone Lake	id=g:4155039
Fiesta Key	id=g:4155040
Fiesta Plaza	id=g:4155041
Fiesta Village	id=g:4155042
Fifteenth Street Church of Christ	id=g:4155043
Fifth Avenue Baptist Church	id=g:4155044
Fifth Avenue Shoppes	id=g:4155045
Fifth Street Baptist Church	id=g:4155046
Fiftone	id=g:4155047
Fifty-Fourth Avenue School	id=g:4155048
Fiftymile Bend	id=g:4155049
Fig Tree Landing	id=g:4155050
Filadel Fia Christian School	id=g:4155051
Filer School	id=g:4155052
Fillman Bayou	id=g:4155053
Fillman Hill Bay	id=g:4155054
Fillmans Creek	id=g:4155055
Fincher	id=g:4155056
Fines Key	id=g:4155057
Finger Pond	id=g:4155058
Finlayson Farm Airport	id=g:4155059
J J Finley Elementary School	id=g:4155060
Lake Finnely	id=g:4155061
Finns Slough	id=g:4155062
Fip Island	id=g:4155063
Fire Pan Sog	id=g:4155064
Fire Prairie	id=g:4155065
Fire Station No 16	id=g:4155066
Fire Station No. 3	id=g:4155067
Firestation No 12	id=g:4155068
Firestone Road and 103rd Street Shopping Center	id=g:4155069
Firnell Island	id=g:4155070
First Advent Christian Church	id=g:4155071
First African Church	id=g:4155072
First Alliance Church	id=g:4155073
First Alliance Church	id=g:4155074
First Alliance Church	id=g:4155075
First Alliance Church	id=g:4155076
First Alliance Church	id=g:4155077
First Apostolic Church of Forest City	id=g:4155078
First Assembly Christian Church	id=g:4155079
First Assembly Christian School	id=g:4155080
First Assembly God Church of Tampa	id=g:4155081
First Assembly of God	id=g:4155082
First Assembly of God	id=g:4155083
First Assembly of God	id=g:4155084
First Assembly of God	id=g:4155085
First Assembly of God	id=g:4155086
First Assembly of God	id=g:4155087
First Assembly of God	id=g:4155088
First Assembly of God Church	id=g:4155089
First Assembly of God Church	id=g:4155090
First Assembly of God Church	id=g:4155091
First Assembly of God Church	id=g:4155092
First Assembly of God Church	id=g:4155093
First Assembly of God Church	id=g:4155094
First Assembly of God Church	id=g:4155095
First Assembly of God Church	id=g:4155096
First Assembly of God Church	id=g:4155097
First Assembly of God Church	id=g:4155098
First Assembly of God Church	id=g:4155099
First Assembly of God Church Bonita Springs	id=g:4155100
First Assembly of God Church of Dover	id=g:4155101
First Assembly of God Church of Seffner	id=g:4155102
First Assembly of God Church of Winter Garden	id=g:4155103
First Assembly of God of Bradenton	id=g:4155104
First Assembly of God of Lynn Haven	id=g:4155105
First Baprist Church of Inglis	id=g:4155106
First Baptist Altamonte	id=g:4155107
First Baptist Chapel of Casselberry	id=g:4155108
First Baptist Christian School	id=g:4155109
First Baptist Christian School	id=g:4155110
First Baptist Christian School	id=g:4155111
First Baptist Church	id=g:4155112
First Baptist of Newberry	id=g:4155113
First Baptist Church	id=g:4155114
Hampton Baptist Church	id=g:4155115
First Baptist Church	id=g:4155116
First Baptist Church of Beverly Hills	id=g:4155117
First Baptist Church	id=g:4155118
First Baptist Church	id=g:4155119
First Baptist Church	id=g:4155120
First Baptist Church	id=g:4155121
First Baptist Church	id=g:4155122
First Baptist Church	id=g:4155123
First Baptist Church	id=g:4155124
First Baptist Church	id=g:4155125
First Baptist Church	id=g:4155126
First Baptist Church	id=g:4155127
First Baptist Church	id=g:4155128
First Baptist Church	id=g:4155129
First Baptist Church	id=g:4155130
First Baptist Church	id=g:4155131
First Baptist Church	id=g:4155132
First Baptist Church	id=g:4155133
First Baptist Church	id=g:4155134
First Baptist Church	id=g:4155135
First Baptist Church	id=g:4155136
First Baptist Church	id=g:4155137
First Baptist Church	id=g:4155138
First Baptist Church	id=g:4155139
First Baptist Church	id=g:4155140
First Baptist Church Day Care/Kindergarten	id=g:4155141
First Baptist Church Markham Woods	id=g:4155142
First Baptist Church Pine Castle	id=g:4155143
First Baptist Church Sanibel	id=g:4155144
First Baptist Church School	id=g:4155145
First Baptist Church Westwood Lake	id=g:4155146
First Baptist Church at Union Park	id=g:4155147
First Baptist Church in Holly Hill	id=g:4155148
First Baptist Church of Apopka	id=g:4155149
First Baptist Church of Bayou George	id=g:4155150
First Baptist Church of Belleview	id=g:4155151
First Baptist Church of Bonita Springs	id=g:4155152
First Baptist Church of Bradenton	id=g:4155153
First Baptist Church of Bunnell	id=g:4155154
First Baptist Church of Bushnell	id=g:4155155
First Baptist Church of Cape Coral	id=g:4155156
First Baptist Church of Citra	id=g:4155157
First Baptist Church of Citrus Park	id=g:4155159
First Baptist Church of Coleman	id=g:4155160
First Baptist Church of Coral Springs	id=g:4155161
First Baptist Church of Crystal Springs	id=g:4155162
First Baptist Church of Dania	id=g:4155163
First Baptist Church of Daytona Beach	id=g:4155164
First Baptist Church of De Leon Springs	id=g:4155165
First Baptist Church of DeLand	id=g:4155166
First Baptist Church of Deltona	id=g:4155167
First Baptist Church of Eaton Park	id=g:4155168
First Baptist Church of Everglades City	id=g:4155169
First Baptist Church of Fort Lauderdale	id=g:4155170
First Baptist Church of Fort McCoy	id=g:4155171
First Baptist Church of Fort Myers	id=g:4155172
First Baptist Church of Geneva	id=g:4155173
First Baptist Church of Hallandale	id=g:4155174
First Baptist Church of Hollywood	id=g:4155175
First Baptist Church of Indian River City	id=g:4155176
First Baptist Church of Kissimmee	id=g:4155177
First Baptist Church of Lady Lake	id=g:4155178
First Baptist Church of Lake Panasoffkee	id=g:4155179
First Baptist Church of Lake Park	id=g:4155180
First Baptist Church of Longwood	id=g:4155181
First Baptist Church of Maitland	id=g:4155182
First Baptist Church of McIntosh	id=g:4155183
First Baptist Church of Mims	id=g:4155184
First Baptist Church of Miramar	id=g:4155185
First Baptist Church of Naples	id=g:4155186
First Baptist Church of North Fort Myers	id=g:4155187
First Baptist Church of North Lauderdale	id=g:4155188
First Baptist Church of Oakland	id=g:4155189
First Baptist Church of Oakland	id=g:4155190
First Baptist Church of Ocala	id=g:4155191
First Baptist Church of Ocala (historical)	id=g:4155192
First Baptist Church of Ocoee	id=g:4155193
First Baptist Church of Ojos	id=g:4155194
First Baptist Church of Oneco	id=g:4155195
First Baptist Church of Opa-Locka	id=g:4155196
First Baptist Church of Orlando	id=g:4155197
First Baptist Church of Osteen	id=g:4155198
First Baptist Church of Oxford	id=g:4155199
First Baptist Church of Panacea	id=g:4155200
First Baptist Church of Panama City	id=g:4155201
First Baptist Church of Parker	id=g:4155202
First Baptist Church of Pensacola	id=g:4155203
First Baptist Church of Perrine	id=g:4155204
First Baptist Church of Pierson	id=g:4155205
First Baptist Church of Plantation	id=g:4155206
First Baptist Church of Pompano	id=g:4155207
First Baptist Church of Port Orange	id=g:4155208
First Baptist Church of Rock Springs	id=g:4155209
First Baptist Church of Saint Cloud	id=g:4155210
First Baptist Church of Saint Marks	id=g:4155211
First Baptist Church of Salt Springs	id=g:4155212
First Baptist Church of Sanlando Springs	id=g:4155213
First Baptist Church of Sebastian	id=g:4155214
First Baptist Church of Silver Spring Shores	id=g:4155215
First Baptist Church of Silver Springs	id=g:4155216
First Baptist Church of Silver Springs Shores	id=g:4155217
First Baptist Church of South Daytona	id=g:4155218
First Baptist Church of South Miami	id=g:4155219
First Baptist Church of Southport	id=g:4155220
First Baptist Church of Summerfield	id=g:4155221
First Baptist Church of Sumterville	id=g:4155222
First Baptist Church of Sunrise	id=g:4155223
First Baptist Church of Sweetwater	id=g:4155224
First Baptist Church of Temple Terrace	id=g:4155225
First Baptist Church of Titusville	id=g:4155226
First Baptist Church of Tuskawilla	id=g:4155227
First Baptist Church of Vineland	id=g:4155228
First Baptist Church of Wabasso	id=g:4155229
First Baptist Church of Warrington	id=g:4155230
First Baptist Church of Weirsdale	id=g:4155231
First Baptist Church of West Hollywood	id=g:4155232
First Baptist Church of West Tampa	id=g:4155233
First Baptist Church of White City	id=g:4155234
First Baptist Church of Wimauma	id=g:4155235
First Baptist Church of Windermere	id=g:4155236
First Baptist Church of Winter Beach	id=g:4155237
First Baptist Church of Winter Garden	id=g:4155238
First Baptist Church of Zellwood	id=g:4155239
First Baptist Church-Haitian Mission of Pompano	id=g:4155240
First Baptist Church-Sanford	id=g:4155241
First Baptist Church/Primera Iglesia Bautista	id=g:4155242
Fields Lake	id=g:4155243
First Baptist Institutional Church	id=g:4155244
First Baptist Preschool	id=g:4155245
First Baptist Preschool Center	id=g:4155246
First Baptist Schools	id=g:4155247
First Baptist of Forest City	id=g:4155248
First Baptist of Ojus Child Care	id=g:4155249
First Baptist of Winter Park	id=g:4155250
First Baptist of Winter Springs	id=g:4155251
First BaptistRuskin Christian School	id=g:4155252
First Bay	id=g:4155253
First Bethal Missionary Baptist Church	id=g:4155254
First Black Creek Baptist Church	id=g:4155255
First Branch	id=g:4155256
First Baptist Community Christian School	id=g:4155257
First Calvary Baptist Church	id=g:4155258
First Christian Church	id=g:4155259
First Christian Church	id=g:4155260
First Christian Church	id=g:4155261
First Christian Church	id=g:4155262
First Christian Church	id=g:4155263
First Christian Church	id=g:4155264
First Christian Church	id=g:4155265
First Christian Church	id=g:4155266
First Christian Church	id=g:4155267
First Christian Church Day School	id=g:4155268
First Christian Church School	id=g:4155269
First Christian Church of Cape Coral	id=g:4155270
First Christian Church of Disciples of Christ	id=g:4155271
First Christian Church of Dunnellon	id=g:4155272
First Christian Church of Jacksonville	id=g:4155273
First Christian Church of Longwood	id=g:4155274
First Christian Church of Margate	id=g:4155275
First Christian Church of Pompano Beach	id=g:4155276
First Christian Church of Titusville	id=g:4155277
First Christian Church of West Palm Beach	id=g:4155278
First Christian Church of the Beaches	id=g:4155279
First Christian Church-Disciples of Christ	id=g:4155280
First Christian Fellowship Church of Orlando	id=g:4155281
First Church	id=g:4155282
First Church of Christ Scientist	id=g:4155283
First Church of Christ Scientist	id=g:4155284
First Church of Christ Scientist	id=g:4155285
First Church of Christ Scientist	id=g:4155286
First Church of Christ Scientist	id=g:4155287
First Church of Christ Scientist	id=g:4155288
First Church of Christ Scientist	id=g:4155289
First Church of Christ Scientist	id=g:4155290
First Church of Christ Scientist	id=g:4155291
First Church of Christ Scientist	id=g:4155292
First Church of Christ Scientist	id=g:4155293
First Church of Christ Scientist (historical)	id=g:4155294
First Church of Christ Scientist Fort Myers	id=g:4155295
First Church of Christ Scientist Naples	id=g:4155296
First Church of Christ Scientist Ormond Beach	id=g:4155297
First Church of Christ Scientist-Daytona Beach	id=g:4155298
First Church of God	id=g:4155299
First Church of God	id=g:4155300
First Church of God	id=g:4155301
First Church of God	id=g:4155302
First Church of God	id=g:4155303
First Church of God	id=g:4155304
First Church of God	id=g:4155305
First Church of God	id=g:4155306
First Church of God Nursery/Kindergarden	id=g:4155307
First Church of God-Anderson	id=g:4155308
First Church of Nazarene	id=g:4155309
First Church of Nazarene	id=g:4155310
First Church of Religious Science	id=g:4155311
First Church of the Nazarene	id=g:4155312
First Church of the Nazarene	id=g:4155313
First Church of the Nazarene	id=g:4155314
First Church of the Nazarene	id=g:4155315
First Church of the Nazarene	id=g:4155316
First Church of the Nazarene	id=g:4155317
First Church of the Nazarene (historical)	id=g:4155318
First Church of the Open Bible	id=g:4155319
First Coast Baptist Church	id=g:4155320
First Coast Church	id=g:4155321
First Congregational Christian Church	id=g:4155322
First Congregational Church	id=g:4155323
First Congregational Church Preschool	id=g:4155324
First Congregational United Church of Christ	id=g:4155325
First Corinthian Baptist Church	id=g:4155326
First Covenant Church	id=g:4155327
First Deliverance Kindergarten	id=g:4155328
First Evangelical Lutheran Church	id=g:4155329
First Evangelical Lutheran Church	id=g:4155330
First Free Church	id=g:4155331
First Free Will Baptist Church	id=g:4155332
First Free Will Baptist Church	id=g:4155333
First Free Will Baptist Church	id=g:4155334
First Hispanic Church	id=g:4155335
First Lutheran School	id=g:4155336
First Merritt Center	id=g:4155337
First United Methodist Church of Green Cove Springs	id=g:4155338
First Missionary Baptist Church	id=g:4155339
First Missionary Baptist Church	id=g:4155340
First Missionary Baptist Church	id=g:4155341
First Missionary Baptist Church	id=g:4155342
First Missionary Baptist Church of Bithlo	id=g:4155343
First Missionary Church	id=g:4155344
First National Bank	id=g:4155345
The First National	id=g:4155346
First Pentacostal Church	id=g:4155347
First Pentecostal Church	id=g:4155348
First Pentecostal Church	id=g:4155349
First Pentecostal Holiness Church	id=g:4155350
First Point	id=g:4155351
First Presbyterian Church	id=g:4155352
First Presbyterian Church	id=g:4155353
First Presbyterian Church	id=g:4155354
First Presbyterian Church	id=g:4155355
First Presbyterian Church	id=g:4155356
First Presbyterian Church	id=g:4155357
First Presbyterian Church	id=g:4155358
First Presbyterian Church	id=g:4155359
First Presbyterian Church	id=g:4155360
First Presbyterian Church	id=g:4155361
First Presbyterian Church	id=g:4155362
First Presbyterian Church of Apopka	id=g:4155363
First Presbyterian Church of Coral Springs	id=g:4155364
First Presbyterian Church of Homestead	id=g:4155365
First Presbyterian Church of Maitland	id=g:4155366
First Presbyterian Church of Naples	id=g:4155367
First Presbyterian Church of Palm Beach	id=g:4155368
First Presbyterian Day School	id=g:4155369
First Presbyterian Preschool	id=g:4155370
First Puncheon Branch	id=g:4155371
First Brethren Church	id=g:4155372
First Southern Baptist Church	id=g:4155373
First Southern Church	id=g:4155374
First Spanish Christian Church	id=g:4155375
First Street School	id=g:4155376
First Thonotosassa Baptist Church	id=g:4155377
First Timothy Baptist Church	id=g:4155378
First Unitarian Church of Orlando	id=g:4155379
First United Methodist Christian Day School	id=g:4155380
First Slough	id=g:4155381
First United Methodist Church	id=g:4155382
First United Methodist Church	id=g:4155383
First United Methodist Church	id=g:4155384
First United Methodist Church	id=g:4155385
First United Methodist Church	id=g:4155386
First United Methodist Church	id=g:4155387
First United Methodist Church	id=g:4155388
First United Methodist Church	id=g:4155389
First United Methodist Church	id=g:4155390
First United Methodist Church	id=g:4155391
First United Methodist Church	id=g:4155392
First United Methodist Church	id=g:4155393
First United Methodist Church	id=g:4155394
First United Methodist Church	id=g:4155395
First United Methodist Church	id=g:4155396
First United Methodist Church	id=g:4155397
First United Methodist Church	id=g:4155398
First United Methodist Church Preschool	id=g:4155399
First United Methodist Church Saint Cloud	id=g:4155400
First United Methodist Church of Apopka	id=g:4155401
First United Methodist Church of Coral Springs	id=g:4155402
First United Methodist Church of Dunnellon	id=g:4155403
First United Methodist Church of Oviedo	id=g:4155404
First United Methodist Church of Pine Hills	id=g:4155405
First United Methodist Church of Winter Garden	id=g:4155406
First United Methodist Church of Winter Park	id=g:4155407
First United Methodist Day School	id=g:4155408
First United Methodist Preschool	id=g:4155409
First United Methodist School	id=g:4155410
First United Pentecostal Church	id=g:4155411
First United Pentecostal Church of Longwood	id=g:4155412
First United methodist Church of Gulfport	id=g:4155413
First Unity Church	id=g:4155414
First-Church Christ Scientist	id=g:4155415
Fischer Lake	id=g:4155416
Fish Branch	id=g:4155417
First United Methodist Church	id=g:4155418
Fish Branch	id=g:4155419
Fish Branch	id=g:4155420
Fish Branch Island	id=g:4155421
Fish Creek	id=g:4155422
Fish Creek	id=g:4155423
Fish Creek	id=g:4155424
Fish Creek	id=g:4155425
Fish Creek	id=g:4155426
Fish Creek	id=g:4155427
Fish Creek	id=g:4155428
Fish Creek Pass	id=g:4155429
Fish Hawk	id=g:4155430
Fish Hawk Creek	id=g:4155431
Fish Hawk Key	id=g:4155432
Fish Hawk Point	id=g:4155433
Fish House Cove	id=g:4155434
Fish Lake	id=g:4155435
Fish Lake	id=g:4155436
Fish Lake	id=g:4155437
Fish Lake	id=g:4155438
Fish Lake	id=g:4155439
Bert Fish Medical Center	id=g:4155440
Florida Hospital - Deland	id=g:4155441
Fish Pond	id=g:4155442
Fish Pond	id=g:4155443
Fish Pond	id=g:4155444
Fish Pond	id=g:4155445
Fish Pond	id=g:4155446
Fish Pond Branch	id=g:4155447
Fish Creek Bay	id=g:4155448
Fish Prairie	id=g:4155449
Fish Prairie	id=g:4155450
Fish Slough	id=g:4155451
Fish Prairie	id=g:4155452
Fish Trap Bay	id=g:4155453
Fish Trap Pond	id=g:4155454
Fishbone Beach	id=g:4155455
Fishbone Creek	id=g:4155456
Fish Swamp	id=g:4155457
Fishbone Creek	id=g:4155458
Fisheating Bay	id=g:4155459
Fisheating Creek	id=g:4155460
Fisheating Creek Bridge	id=g:4155461
Fisheating Creek Wildlife Refuge	id=g:4155462
Fisher Branch	id=g:4155463
Fisheating Creek Wildlife Management Area	id=g:4155464
Fisher Corner	id=g:4155465
Fisher Creek	id=g:4155466
Fisher Cemetery	id=g:4155467
Fisher Island	id=g:4155468
Fisher Island Heliport	id=g:4155469
Fisher Lake	id=g:4155470
Fisher Park	id=g:4155471
Fisher Park	id=g:4155472
Fisherman Island	id=g:4155473
Fisherman Key	id=g:4155474
Fisherman Point	id=g:4155475
Fishermans Channel	id=g:4155476
Fishermans Point	id=g:4155477
Fishermans Rest	id=g:4155478
Fishermens Hospital	id=g:4155479
Fishermens Hospital Emergency Helistop	id=g:4155480
Fishermens Village	id=g:4155481
Fishermens Village Shopping Center	id=g:4155482
Fishermens Village Yacht Basin	id=g:4155483
Fishers Island	id=g:4155484
Fishers Island	id=g:4155485
Fishers of Men Lutheran Church	id=g:4155486
Fishery Point	id=g:4155487
Fishhawk Creek	id=g:4155488
Fisher Island	id=g:4155489
Fishing Creek	id=g:4155490
Fishing Bend	id=g:4155491
Fishpond Branch	id=g:4155492
Fishtrap Branch	id=g:4155493
Fishweir Center	id=g:4155494
Fishweir School	id=g:4155495
Fitch Branch	id=g:4155496
Fishweir Park	id=g:4155497
Fitzgerland Middle School	id=g:4155498
Fitzpatrick Creek	id=g:4155499
Fitzgerald Cemetery	id=g:4155500
Fivay Junction	id=g:4155501
Five Points	id=g:4155502
Five Points	id=g:4155503
Five Points Elementary School	id=g:4155504
Five Points Shopping Center	id=g:4155505
Five Points Shopping Center	id=g:4155506
Five T Ranch	id=g:4155507
Lake Five-O	id=g:4155508
Fiveash Waterworks	id=g:4155509
Fivemile Bay	id=g:4155510
Fivemile Creek	id=g:4155511
Fivemile Creek	id=g:4155512
Fivay Cemetery	id=g:4155513
Fivemile Creek	id=g:4155514
Fivemile Creek	id=g:4155515
Fivemile Gully	id=g:4155516
Fivemile Lake	id=g:4155517
Fivemile Pond	id=g:4155518
Fivemile Pond	id=g:4155519
Fivemile Pond	id=g:4155520
Fivemile Swamp	id=g:4155521
Flag Cadet Academy	id=g:4155522
Flag Creek	id=g:4155523
Fivemile Pond	id=g:4155524
Flag Pond	id=g:4155525
Flag Pond	id=g:4155526
Flag Pond	id=g:4155527
Flag Pond	id=g:4155528
Flagami	id=g:4155529
Flagami Elementary School	id=g:4155530
Flagami Park	id=g:4155531
Flaggler Terrace Park	id=g:4155532
Flagler Beach	id=g:4155533
Flagler College	id=g:4155534
Flagler County	id=g:4155535
Flagler County Adult School	id=g:4155536
Flagler County Airport	id=g:4155537
Flagler Dog Track	id=g:4155538
Flagler Hospital	id=g:4155539
Flagler Hospital Heliport	id=g:4155540
Flagler Lookout Tower	id=g:4155541
Flagler Memorial Bridge	id=g:4155542
Flagler Memorial Hospital	id=g:4155543
Flagler Memorial Library	id=g:4155544
Flagler Memorial Monument	id=g:4155545
Flagler Memorial Park	id=g:4155546
Flagler School	id=g:4155547
Flagler-Palm Coast High School	id=g:4155548
Flamingo	id=g:4155549
Flamingo	id=g:4155550
Flamingo Bay	id=g:4155551
Flamingo Bay	id=g:4155552
Flamingo Campground	id=g:4155553
Flamingo Canal	id=g:4155554
Flamingo Elementary School	id=g:4155555
Flamingo Lake	id=g:4155556
Flamingo Park	id=g:4155557
Flamingo Park	id=g:4155558
Flamingo Park	id=g:4155559
Flamingo Plaza	id=g:4155560
Flamingo Plaza	id=g:4155561
Flamingo Ranger Station	id=g:4155562
Flamingo Road Baptist Church	id=g:4155563
Flamingo Road County Park	id=g:4155564
Flamingo School	id=g:4155565
Flamingo Village	id=g:4155566
Flamingo Waterway	id=g:4155567
Lake Flamingo	id=g:4155568
Flanagan High School	id=g:4155569
Flanders Field	id=g:4155570
Flat Branch	id=g:4155571
Flag Ford	id=g:4155572
Flat Creek	id=g:4155573
Flat Creek	id=g:4155574
Flat Creek	id=g:4155575
Flat Creek	id=g:4155576
Flat Creek Airport	id=g:4155577
Flat Creek Church	id=g:4155578
Flat Head	id=g:4155579
Flat Creek Church	id=g:4155580
Flat Lake	id=g:4155581
Flat Landing	id=g:4155582
Flat Point	id=g:4155583
Flat Pond	id=g:4155584
Flat Swamp	id=g:4155585
The Flat	id=g:4155586
Flatboat Creek	id=g:4155587
Flatwoods Church	id=g:4155588
Flatwoods Trail	id=g:4155589
The Flatwoods	id=g:4155590
Fleetwood Manor	id=g:4155591
Fleming Creek	id=g:4155592
Flat Island	id=g:4155593
Fleming Island	id=g:4155594
Fleming Island Baptist Church	id=g:4155595
Fleming Key	id=g:4155596
Fleming Key Cut	id=g:4155597
Flemington	id=g:4155598
Flemington Baptist Church	id=g:4155599
Fletcher	id=g:4155600
Fletcher Creek	id=g:4155601
Fleming Grant	id=g:4155602
Fletcher Junior High School	id=g:4155603
Fletcher Landing	id=g:4155604
Fletcher Park Monument	id=g:4155605
Fletcher Plaza	id=g:4155606
Fletcher Point	id=g:4155607
Fletcher Pond	id=g:4155608
Fletcher Spring	id=g:4155609
Flint Creek	id=g:4155610
Fletcher High School	id=g:4155611
Flinthead Island	id=g:4155612
Flinthead Lake	id=g:4155613
Flints Flying Ranch Airport	id=g:4155614
Flopbuck Creek	id=g:4155615
