Zardū’īyeh	id=g:111332
Rūdkhāneh-ye Āb-e Shūr	id=g:111511
Zamīnān	id=g:111512
Zamīn Sang	id=g:111513
Qareh Malek	id=g:111514
Zamīn-e Mollā	id=g:111515
Zamīn Lashgarī	id=g:111516
Zamīn Lashkarī	id=g:111517
Zamīn-e Ḩoseyn	id=g:111518
Zamīn-e Sīāh	id=g:111519
Zamīn Anjīr	id=g:111520
Zamīn Derāz	id=g:111521
Rūdkhāneh-ye Zamīndar	id=g:111522
Zemīdān	id=g:111523
Zam Hārūm	id=g:111524
Zamharīz	id=g:111525
Jamunjān	id=g:111526
Ẕāmen Jān	id=g:111527
Ẕāmenī	id=g:111528
Ẕāmenābād	id=g:111529
Z̄ammeh	id=g:111530
Zambūrī	id=g:111531
Cham-e Zamānī	id=g:111532
Zamānī	id=g:111533
Zamand	id=g:111534
Zamān Beg	id=g:111535
Zamānābād-e Moḩammadābād	id=g:111536
Zamānābād	id=g:111537
Zamānābād	id=g:111538
Zamānābād	id=g:111539
Zamānābād	id=g:111540
Zamānābād	id=g:111542
Zamānābād	id=g:111543
Zamānābād	id=g:111544
Zamānābād	id=g:111545
Zamānābād	id=g:111546
Zamānābād	id=g:111547
Zālūnābād	id=g:111548
Kūh-e Zālū Band	id=g:111549
Zālūābād	id=g:111550
Āb-e Zālū	id=g:111551
Zālū	id=g:111552
Kalāteh-ye Zālū	id=g:111553
Z̧olmeh Nūr	id=g:111554
Z̄alkeh	id=g:111555
Zūlīrān	id=g:111556
Zālīān	id=g:111557
Z̄ālīābād	id=g:111558
Zālīāb	id=g:111559
Zālī	id=g:111560
Āb-e Zālān	id=g:111561
Zalān-e Pā’īn	id=g:111562
Z̄alān-e ‘Olyā	id=g:111563
Āb-e Zālakī	id=g:111564
Dālakeh-ye Vazīrī	id=g:111565
Dālakeh-ye Ḩājj ‘Abbās Qolī	id=g:111566
Dālakeh-ye Ḩājjī Faraj	id=g:111567
Rūdkhāneh-ye Zāl	id=g:111568
Kūh-e Zāl	id=g:111569
Kūh-e Zāl	id=g:111570
Zāl	id=g:111572
Z̄akī Maḩalleh	id=g:111573
Zakī Dāgh	id=g:111574
Zakīān-e Bābā Kūhak	id=g:111575
Zakīābād	id=g:111576
Kūh-e Zakī	id=g:111577
Mālek-e Ashtar	id=g:111579
Rūdkhāneh-ye Āb Zākherd	id=g:111580
Zākherd	id=g:111581
Z̄āker	id=g:111583
Kūh-e Z̄akarīā	id=g:111584
Z̄̄akarīān	id=g:111585
Zakarīā’ī	id=g:111586
Zākān	id=g:111587
Zakān	id=g:111588
Z̄akābar	id=g:111589
Zāk	id=g:111590
Zāj Kān-e Pā’īn	id=g:111591
Zāj Kān-e Bālā	id=g:111592
Zāj Kand	id=g:111593
Z̄eyl Omm ol Şşakhar	id=g:111595
Zāhū	id=g:111597
Z̧ahr Rūd-e Pā’īn	id=g:111598
Z̧ahr Rūd-e Bālā	id=g:111599
Z̧ahr Shīr	id=g:111600
Zahrā Mordeh	id=g:111601
Zahrakī	id=g:111602
Rūdkhāneh-ye Zahmakān	id=g:111603
Zaḩmānī	id=g:111604
Z̧ehīrīyeh	id=g:111605
Z̧ahīrābād	id=g:111606
Z̧ahīrābād-e Pā’īn	id=g:111607
Z̧ahīrābād	id=g:111608
Z̧ahīr	id=g:111609
Zāhedshīn	id=g:111611
Kūh-e Zāhedān	id=g:111612
Zāhedān	id=g:111613
Sarāb-e Z̄ahābī	id=g:111615
Zohāb	id=g:111616
Zagros Mountains	id=g:111617
Zāghlījeh	id=g:111619
Kūh-e Zāghen	id=g:111620
Zāgheh-ye Ţāsbandī	id=g:111621
Zāgheh-ye Soflá	id=g:111622
Zāgheh-ye Soflá	id=g:111623
Zāgheh-ye ‘Olyā	id=g:111625
Zāgheh-ye ‘Olyā	id=g:111626
Zāgheh	id=g:111627
Zāgheh Anūch	id=g:111628
Zāgheh Fūlād	id=g:111629
Īstgāh-e Rāh Āhan-e Sāqeh	id=g:111630
Gardaneh-ye Zāgheh	id=g:111631
Zāghej	id=g:111632
Zāgheh	id=g:111633
Zāgheh	id=g:111634
Zāgheh	id=g:111635
Zāgheh	id=g:111636
Chāh-e Zāghdeh	id=g:111637
Zaghanābād	id=g:111639
Z̄̄̄āghel	id=g:111640
Zānūqābād	id=g:111641
Kūh-e Zolqāb	id=g:111642
Rūdkhāneh-ye Zāgh	id=g:111643
Zāgh	id=g:111644
Z̧afarqand	id=g:111645
Za‘farānīyeh	id=g:111646
Za‘farānī	id=g:111647
Za‘farānī	id=g:111648
Za‘farān	id=g:111649
Z̧afarābād	id=g:111650
Z̧afarābād	id=g:111651
Z̧afarābād	id=g:111652
Z̧afarābād	id=g:111653
Z̧afarābād	id=g:111654
Zāfān	id=g:111655
Zā’er Ḩoseyn	id=g:111656
Zādonbeh-ye Pā’īn	id=g:111657
Kūh-e Zād Maḩmūd	id=g:111658
Zāhed Maḩmūd	id=g:111659
Z̄ādeqābād	id=g:111660
Zādak	id=g:111661
Zabzāb	id=g:111662
Z̄abīḩābād	id=g:111663
Zabbāl	id=g:111664
Zabazlū	id=g:111665
Zabarābād	id=g:111666
Rūd-e Zebr	id=g:111667
Zā‘abā-ye Sakhī	id=g:111668
Aḩmad Ebn el Ḩasan	id=g:111669
Balāl	id=g:111670
Yūznāb	id=g:111671
Yūzīdar	id=g:111672
Yūzhenān	id=g:111673
Gardaneh-ye Yūz Gerd	id=g:111674
Yūzbāsh Chāy	id=g:111675
Yūz Bāshī	id=g:111676
Yūzband	id=g:111677
Kabūd Gonbad	id=g:111678
Yūtkī	id=g:111679
Yūsoflū	id=g:111680
Yūsef Khān	id=g:111681
Yūsef Kandī	id=g:111682
Yūsef Kandī	id=g:111683
Yūsefī	id=g:111684
Yūsefābād	id=g:111685
Yūsefābād	id=g:111686
Yūsefābād	id=g:111687
Yūsefābād	id=g:111688
Yūsefābād	id=g:111689
Yūsefābād	id=g:111690
Yūsefābād	id=g:111691
Yūsefābād	id=g:111692
Yūsefābād	id=g:111693
Yūsefābād	id=g:111694
Yūsefābād	id=g:111695
Yūsefābād	id=g:111696
Yūsefābād	id=g:111697
Yūsefābād	id=g:111698
Yūsefābād	id=g:111699
Yūsefābād	id=g:111700
Yūsefābād-e Zīrafzār	id=g:111701
Yūshū	id=g:111702
Yūsh	id=g:111703
Yūsh	id=g:111704
Yowrd-e Kāz̧em	id=g:111705
Yūrd-e Sohrāb	id=g:111706
Yūrd-e Jamāl	id=g:111707
Yūrd-e Anjīr	id=g:111708
Yūnesābād	id=g:111709
Yūnes	id=g:111710
Yūbjī	id=g:111711
Yūnesī	id=g:111712
Yūnekī	id=g:111713
Yūmorīdāsh	id=g:111714
Yolqūn Āghāj	id=g:111715
Yūlchī	id=g:111716
Kūh-e Yūkhlū	id=g:111717
Yūhlag	id=g:111718
Yūgāh	id=g:111719
Yūdkā	id=g:111720
Yūshānlū	id=g:111721
Yūrdeshāh-e Pā’īn	id=g:111722
Yowrabī‘eh	id=g:111723
Yowlqūnlū-ye Qadīm	id=g:111724
Yowlqūnlū-ye Jadīd	id=g:111725
Yardak-e Bālā	id=g:111726
Kūh-e Yomrī	id=g:111727
Yamdīyeh	id=g:111728
Yolmeh Khandān	id=g:111729
Yokhārī Chāy	id=g:111730
Yekhū	id=g:111731
Yoḩeysheh	id=g:111732
Yoghūnborj	id=g:111733
Ḩofeyrī	id=g:111734
Yaz̄arah	id=g:111735
Yeylāq Kūh	id=g:111736
Yeserlū	id=g:111737
Yerveh	id=g:111738
Kūh-e Yershī	id=g:111739
Yerī	id=g:111740
Yerīsīyeh	id=g:111741
Yengī Qeshlāq	id=g:111742
Yengī Qal‘eh-ye ‘Olyā	id=g:111743
Yengī Qal‘eh	id=g:111744
Yengī Kand-e Seyyedlar	id=g:111745
Yengī Kand	id=g:111747
Yengī Kand	id=g:111748
Yengī Kand	id=g:111749
Yenkī Kandī	id=g:111750
Nīkī Kand	id=g:111751
Yangījeh	id=g:111752
Yengīābād	id=g:111753
Qal‘eh-ye Yengeh Ḩoseyn	id=g:111754
Yengejeh-ye Kord	id=g:111755
Yengejeh	id=g:111756
Yengejeh	id=g:111757
Yengejeh	id=g:111758
Yengejeh	id=g:111759
Yengījeh	id=g:111760
Yengejeh	id=g:111761
Yengejeh	id=g:111762
Yengījeh	id=g:111763
Yengejeh	id=g:111764
Yengījeh	id=g:111765
Yengejeh	id=g:111766
Yengejeh	id=g:111767
Yengejeh	id=g:111768
Yengejeh	id=g:111769
Yengejak	id=g:111770
Yengeh Jeh	id=g:111771
Yengejeh	id=g:111772
Yengejeh	id=g:111773
Bahrāmābād	id=g:111774
Yelūjeh	id=g:111775
Yel Gadegī	id=g:111776
Kūh-e Yelāq	id=g:111777
Īlānjūq	id=g:111778
Yekshaveh	id=g:111779
Yeknam	id=g:111780
Yek Lengeh	id=g:111781
Yek Lengeh	id=g:111782
Yekleh	id=g:111783
Yek Khīsheh	id=g:111784
Yekkeh Shākh	id=g:111785
Yekkeh Rīg	id=g:111786
Yekkeh Qūz-e Bālā	id=g:111787
Yekeh Derakht	id=g:111788
Yekkeh Chenār	id=g:111789
Yekeh Chāh	id=g:111790
Yekdār	id=g:111791
Maḩmūdābād-e Yek Dāng	id=g:111792
Yek Dāng	id=g:111793
Yek Chāh	id=g:111794
Yeborkī	id=g:111795
Yek Borjī	id=g:111796
Yekbonī	id=g:111797
Yek Baghī	id=g:111798
Yekān-e Kahrīz-e Soflá	id=g:111799
Yekān-e Kahrīz-e ‘Olyā	id=g:111800
Yegāneh	id=g:111801
Yekanābād	id=g:111802
Yek Gāvī	id=g:111803
Yārī Kandī	id=g:111804
Yāz Galdī	id=g:111805
Kūh-e Yazdī	id=g:111806
Yazd-e Now	id=g:111807
Yazdel	id=g:111808
Yazdrūd	id=g:111809
Yazdejerd	id=g:111810
Yazdān Chāh	id=g:111811
Yazdānābād	id=g:111812
Yazdānābād	id=g:111813
Yazdānābād	id=g:111814
Moḩammadābād	id=g:111815
Yazdānābād-e Katū Gorg	id=g:111816
Kūh-e Yazdān	id=g:111817
Yazdelān	id=g:111818
Yazdābād	id=g:111820
Ostān-e Yazd	id=g:111821
Yazd	id=g:111822
Yarīshahr	id=g:111823
Yājlū	id=g:111824
Yāvīshkī	id=g:111825
Yāvarī	id=g:111826
Yāvarābād	id=g:111827
Yāvarābād	id=g:111828
Yatīmeh	id=g:111829
Yatīm Āghlī	id=g:111830
Kūh-e Yatīm	id=g:111831
Yātān	id=g:111832
Yatālī	id=g:111833
Kūh-e Yatagh	id=g:111834
Yāsūr	id=g:111835
Yāsūj	id=g:111836
Yāstī Bolāgh	id=g:111837
Lesānīyeh	id=g:111839
Yāsī Tappeh	id=g:111840
Yāsīn Kūh	id=g:111841
Eshmū‘īl Nabī	id=g:111842
Bāshīl	id=g:111843
Reshteh-ye Yashak Yāl	id=g:111844
Yāseh Chāh	id=g:111845
Yāsbolāgh	id=g:111846
Yasāvolbāshī	id=g:111847
Yasāvol	id=g:111848
Yasārāt	id=g:111849
Sheykh Foẕeylī	id=g:111850
Yārom Qayah	id=g:111851
Yāromjeh Bāgh	id=g:111852
Yarok	id=g:111853
Yārīm Qīyeh-ye Vasaţ	id=g:111854
Yārīm Qīyeh-ye Soflá	id=g:111855
Yārīm Qīyeh-ye ‘Olyā	id=g:111856
Yārem Qayeh	id=g:111857
Ra’s-e Yarīd	id=g:111858
Yārī	id=g:111859
Yarj	id=g:111860
Yāremcheh	id=g:111861
Yār Chelī	id=g:111862
Jabal-e Yār Boland	id=g:111863
Yārand	id=g:111864
Yārān	id=g:111865
Yārālūjeh	id=g:111866
Yār ‘Alī	id=g:111867
Yārīābād	id=g:111868
Yārābād	id=g:111869
Tang-e Yār	id=g:111870
Kūh-e Yāqūsheh	id=g:111871
Ya‘qūb Shāh	id=g:111872
Ya`qūbīyeh	id=g:111873
Ya‘qūbābād	id=g:111874
Ya‘qūbābād	id=g:111875
Yaqeh-ye Sangar	id=g:111876
Yāpal	id=g:111877
Yanqāq	id=g:111878
Cham-e Yanī Charī	id=g:111879
Yengī Qal‘eh-ye Soflá	id=g:111880
Yengī Qal`eh-ye Bālā	id=g:111881
Yangī Qal`eh	id=g:111882
Yengī Molk	id=g:111883
Yengī Kand-e Almāsī	id=g:111884
Yengī Kahrīz	id=g:111885
Yengī Emām	id=g:111887
Yangī Arakh	id=g:111888
Kūh-e Yangejeh	id=g:111889
Vardeh	id=g:111890
Yengī Kahrīz	id=g:111891
Yāneh Sar	id=g:111892
Kūh-e Yān Cheshmeh	id=g:111893
Yān Cheshmeh	id=g:111894
Yān Cheshmeh	id=g:111895
Yān Cheshmeh	id=g:111896
Gardaneh-ye Yānbolāgh	id=g:111897
Takhteh Sūzak	id=g:111898
Yānbolāgh	id=g:111899
Yamīnān-e Pā'īn	id=g:111900
Yamīnān-e Bālā	id=g:111901
Yāmchī-ye Pā’īn	id=g:111902
Yāmchī-ye Bālā	id=g:111903
Yāmchī	id=g:111904
Yāmchī	id=g:111905
Yām Cheshmeh	id=g:111906
Yamaqān	id=g:111907
Yamn	id=g:111908
Īstgāh-e Yām	id=g:111909
Gardaneh-ye Yām	id=g:111910
Payām	id=g:111911
Yām	id=g:111912
Yālrūd	id=g:111913
Yālqūz Āghāj	id=g:111914
Bāltūz Āghāj	id=g:111915
Yalqūz Āqāj	id=g:111916
Yalfān	id=g:111917
Yāl-e Robāţ	id=g:111918
Yāl-e Ma‘dan	id=g:111919
Kūh-e Yāl-e Khārī	id=g:111920
Yaleh Qārshow	id=g:111921
Yaleh Qārshān	id=g:111922
Yaleh Gonbad	id=g:111923
Kūh-e Yāl Darreh	id=g:111924
Yālānchī	id=g:111925
Yalābād	id=g:111926
Yalābād	id=g:111927
Yākont	id=g:111928
Yekeh Bāgh	id=g:111929
Yakh Kesh	id=g:111930
Yakhfervazān	id=g:111931
Kūh-e Yakhdān	id=g:111932
Yakhdān	id=g:111933
Yākhcheq	id=g:111934
Kūh-e Yekchāl	id=g:111935
Kūhhā-ye Yakhāb	id=g:111937
Yakhāb	id=g:111938
Yakh	id=g:111939
Yaḩyáābād-e Pā’īn	id=g:111940
Yaḩyáābād	id=g:111942
Yaḩyáābād	id=g:111943
Yaḩyáābād	id=g:111944
Yaḩyáābād	id=g:111945
Yaḩyáābād	id=g:111946
Yaḩyáābād	id=g:111947
Yaḩyáābād	id=g:111948
Yaḩyáābād	id=g:111949
Emāmzādeh Yaḩyá	id=g:111950
Emāmzādeh Yaḩyá	id=g:111951
Yahn	id=g:111952
Yaḩmūreh-ye Yek	id=g:111953
Bagrī Jān	id=g:111954
Yāghlān Tappeh	id=g:111955
Kūh-e Yāfteh	id=g:111956
Kūh-e Yadūk	id=g:111957
Yaddī Bolāgh	id=g:111958
Yādegār	id=g:111959
Yaddī Qārdāsh	id=g:111960
Yadak	id=g:111961
Yabīs	id=g:111962
Yo‘ār	id=g:111963
Vozarā Maḩalleh	id=g:111964
Voshteh	id=g:111965
Sadd-e Voshmgīr	id=g:111966
Pīchak Maḩalleh	id=g:111967
Varā	id=g:111968
Varāzāneh	id=g:111969
Volūyeh	id=g:111970
Rūdkhāneh-ye Yūl Kashtī	id=g:111971
Vilkhidje	id=g:111972
Volahzhīr	id=g:111973
Val	id=g:111974
Kūh-e Vohlī	id=g:111975
Vaḩīd	id=g:111976
Kūh-e Vīzhnān	id=g:111977
Dasht-e Vīzhnān	id=g:111978
Vīzhnān	id=g:111979
Vīzheh	id=g:111980
Bezhdāneh-ye Pā’īn	id=g:111981
Bezhdāneh-ye Bālā	id=g:111982
Vīzhdāneh	id=g:111983
Vīyeh	id=g:111984
Vīyeh	id=g:111985
Vīyeh	id=g:111986
Vīyar	id=g:111987
Vīstān-e Pā’īn	id=g:111988
Vīstān-e Bālā	id=g:111989
Vīst	id=g:111990
Vīsmeh	id=g:111991
Dīsmān	id=g:111992
Vīshlaq-e Soflá	id=g:111993
Vīshlaq-e ‘Olyā	id=g:111994
Vīshkā	id=g:111995
Vīshkāh Sūqeh	id=g:111996
Vīshkā Nanak	id=g:111997
Vīsgeh	id=g:111998
Vīrmūnī (1)	id=g:111999
Vīrānī	id=g:112000
Vīrā’ī	id=g:112001
Vīneh	id=g:112002
Vīnaq	id=g:112003
Kūh-e Vīlū	id=g:112004
Vīleh	id=g:112005
Vīk	id=g:112006
Vīheh	id=g:112007
Veyhaj	id=g:112008
Vīdūj	id=g:112009
Vīdūjā	id=g:112010
Vīdar	id=g:112011
Vīāyeh	id=g:112012
Sarāb-e Vīān	id=g:112013
Vīān	id=g:112014
Nīm Īstgāh-e Vīādūk	id=g:112015
Vezvār	id=g:112016
Vazmestān	id=g:112017
Vezmeleh	id=g:112018
Vezmān	id=g:112019
Vīzmeleh	id=g:112020
Vezmedar	id=g:112021
Kūh-e Vezerm	id=g:112022
Vezendān	id=g:112023
Veys Morīd	id=g:112024
Vasīān	id=g:112025
Gharb Veyseh	id=g:112026
Vīsar	id=g:112027
Veysābād	id=g:112028
Veys	id=g:112029
Vey Nesār	id=g:112030
Vesī Sar	id=g:112031
Vesī Kesh	id=g:112032
Vestegān	id=g:112033
Veshgān	id=g:112034
Veshteh	id=g:112035
Vesht	id=g:112036
Kūh-e Vīshan	id=g:112037
Veshāreh	id=g:112038
Veshāreh	id=g:112039
Vesh	id=g:112040
Kūh-e Veşāl	id=g:112041
Varmenjeh-ye Bālā	id=g:112042
Īstgāh-e Veresk	id=g:112043
Darreh-ye Veresk	id=g:112044
Veresk	id=g:112045
Verdeh	id=g:112046
Vanūsh	id=g:112047
Kūh-e Vanūsān	id=g:112048
Venīn	id=g:112049
Vandernī-ye Soflá	id=g:112050
Vandernī-ye ‘Olyā	id=g:112051
Vandarābād	id=g:112052
Venāv	id=g:112053
Venārch	id=g:112054
Venān	id=g:112055
Valīsdeh	id=g:112056
Velāyat Rūd	id=g:112057
Velāyat	id=g:112058
Kūh-e Bejāreh	id=g:112059
Vahnān	id=g:112060
Vechīn	id=g:112061
Vazveh	id=g:112062
Vezvānaq	id=g:112063
Vazvān	id=g:112064
Vāz-e Pā’īn	id=g:112065
Vaznā	id=g:112066
Vazmāneh-ye Soflá	id=g:112067
Vazmāneh-ye ‘Olyā	id=g:112068
Vazīrī	id=g:112069
Vazīreh	id=g:112070
Vazīr Chaman	id=g:112071
Vazīrābād	id=g:112072
Vazīrābād	id=g:112073
Vazīrābād	id=g:112074
Vazīr	id=g:112075
Vaz̧īfeh Khvorān	id=g:112076
Kūh-e Vezīā	id=g:112077
Bāz Bandeh	id=g:112078
Vāz-e Bālā	id=g:112079
Vezq	id=g:112080
Rūd-e Vazag	id=g:112081
Vezg	id=g:112082
Gardaneh-ye Vāy Vāy	id=g:112083
Vāyqān	id=g:112084
Vāyqān	id=g:112085
Vāymand	id=g:112086
Rūdkhāneh-ye Vāyekān	id=g:112087
Vāvsar	id=g:112089
Vāvī	id=g:112090
Vatkelī	id=g:112091
Vastegān	id=g:112092
Vasneh	id=g:112093
Vesmaq	id=g:112094
Vasmaq	id=g:112095
Vaşleh	id=g:112096
Darreh-ye Vāsk	id=g:112097
Rūdkhāneh-ye Āb-e Vāsk	id=g:112098
Vaşī-ye Pāʼīn	id=g:112099
Vaşī-ye Bālā	id=g:112100
Vasīleh	id=g:112101
Vāshūr	id=g:112102
Vashteh	id=g:112103
Vāsheqeh	id=g:112104
Veshnavah	id=g:112105
Tappeh Vāshīān	id=g:112106
Chāh Shīr-e Vāshīyān	id=g:112107
Vāsheh	id=g:112108
Vāsheh	id=g:112109
Vāshān	id=g:112110
Vāshān	id=g:112111
Vāsh	id=g:112112
Kāl-e Vasgūn	id=g:112113
Vaşf Nārd	id=g:112114
Vāşelābād	id=g:112115
Vasaj	id=g:112116
Vaşat	id=g:112117
Varzarān	id=g:112118
Kūh-e Pāzard	id=g:112119
Varzard	id=g:112120
Varazqān	id=g:112121
Varzaqān	id=g:112122
Varzeqān	id=g:112123
Varzaneh	id=g:112124
Varzaneh	id=g:112125
Varvazīn	id=g:112127
Varvandī	id=g:112128
Varvān	id=g:112129
Varūq	id=g:112130
Vazūn Sorkh	id=g:112131
Varū	id=g:112132
Vartavān	id=g:112133
Vartakhtūn	id=g:112134
Vartakhtān	id=g:112135
Nahr-e Varzandān	id=g:112136
Varsaj	id=g:112137
Kūh-e Varaq Zībā	id=g:112138
Varaqā	id=g:112139
Varpā-ye ‘Olyā	id=g:112140
Varnamad-e Soflá	id=g:112141
Varnaq	id=g:112143
Varmīān	id=g:112144
Vārmī	id=g:112145
Varmazyār	id=g:112146
Varmazān Somāq	id=g:112148
Varmaghān	id=g:112149
Varmakān	id=g:112150
Kūh-e Varkhāsh	id=g:112151
Varkash	id=g:112152
Varkesh	id=g:112153
Varkbār	id=g:112154
Varkāneh	id=g:112155
Varkān	id=g:112156
Kūh-e Var Kamar	id=g:112157
Varkabūd	id=g:112158
Varjūshān	id=g:112159
Varjavī	id=g:112160
Verjān	id=g:112161
Kūh-e Varzaq	id=g:112162
Verezg	id=g:112163
Var-e Pā’īn	id=g:112164
Var-e Bālā	id=g:112165
Vārnīān	id=g:112166
Varī	id=g:112167
Varī	id=g:112168
Var Gonbad	id=g:112169
Vārkah-e Pahneh	id=g:112170
Kūh-e Vargūneh	id=g:112171
Kūh-e Var Zard	id=g:112173
Vāres̄ābād	id=g:112174
Vorenjān	id=g:112175
Varejān	id=g:112176
Var Zardī	id=g:112177
Vārdeh Sar	id=g:112178
Fardīs	id=g:112179
Vardīn	id=g:112180
Vardīn	id=g:112181
Vardīj	id=g:112182
Vardeh	id=g:112183
Vardeh	id=g:112184
Vardāvard-e Vosţá	id=g:112185
Vardāvard-e Soflá	id=g:112186
Vardāvard-e ‘Olyā	id=g:112187
Vard Āvard	id=g:112188
Vardūq	id=g:112189
Vardavān	id=g:112190
Vardanjān	id=g:112191
Kūh-e Vardalān Rang	id=g:112192
Kānī-ye Varchūl	id=g:112193
Varcheh	id=g:112194
Kūh-e Varchaq	id=g:112195
Varchaq	id=g:112196
