Ile Aūdany	id=g:1524128
Gor’kovskoe	id=g:1524205
Ozero Gor’ko-Solenoye	id=g:1524206
Goristyy	id=g:1524207
Gorel'nik	id=g:1524208
Gordeyevka	id=g:1524209
Goncharovka	id=g:1524210
Goncharova Shchel’	id=g:1524211
Gomba	id=g:1524212
Aryk Gol-Usten’	id=g:1524213
Goluboy Zaliv	id=g:1524214
Tokhta	id=g:1524215
Golūbovka	id=g:1524216
Golubinovka	id=g:1524217
Golubev Zapor	id=g:1524218
Aysha-Bībi	id=g:1524219
Goloshchëkinskiy	id=g:1524220
Stantsiya Goloshchëkino	id=g:1524221
Gogolevskiy	id=g:1524222
Glūkhovka	id=g:1524223
Glubokoye	id=g:1524224
Glubokoye	id=g:1524225
Glūbokoe Aūdany	id=g:1524226
Glubokoye	id=g:1524227
Stantsiya Glubochanka	id=g:1524228
Üshbulaq	id=g:1524229
Aqbastaū	id=g:1524230
Glebovka	id=g:1524231
Glebovka	id=g:1524232
Glazunovka	id=g:1524233
Lednik Glavnyy	id=g:1524234
Gireknyn-Espeny	id=g:1524235
Gigant	id=g:1524236
Gigant	id=g:1524237
Gerasimovskoye	id=g:1524238
Gerasimovka	id=g:1524239
Gerasīmovka	id=g:1524240
Georgiyevka	id=g:1524241
Georgiyevka	id=g:1524242
Georgīevka	id=g:1524243
Georgiyevka	id=g:1524244
Georgīevka	id=g:1524245
Geday	id=g:1524246
Gaydukovo	id=g:1524247
Gavrīno	id=g:1524248
Gavrīlovka	id=g:1524249
Gavrilovka	id=g:1524250
Gavrilovka	id=g:1524251
Pereval Gasforda	id=g:1524252
Garshino	id=g:1524253
Stantsiya Gan’kino	id=g:1524254
Galkinskoye	id=g:1524255
Galkīno	id=g:1524256
Galkino	id=g:1524257
Galitskoye	id=g:1524258
Gagarinskiy Rayon	id=g:1524259
Gagarinskiy	id=g:1524260
Gagarinskiy	id=g:1524261
Gagarino	id=g:1524262
Fykalka	id=g:1524263
Fūrmanovka	id=g:1524264
Moyynkum	id=g:1524265
Frunzenskiy Rayon	id=g:1524266
Frunze	id=g:1524267
Frunze	id=g:1524268
Frūment’evka	id=g:1524269
Frontovoy	id=g:1524270
Rabat	id=g:1524271
Filippovka	id=g:1524272
Filinka	id=g:1524273
Feklistovka	id=g:1524274
Fedotovskiy	id=g:1524275
Fedoseyevka	id=g:1524276
Fedoseyevka	id=g:1524277
Fedorovka Aūdany	id=g:1524278
Sovkhoz Fëdorovskiy	id=g:1524279
Sovkhoz Fëdorovskiy	id=g:1524280
Fedorovka	id=g:1524281
Fedorovka	id=g:1524282
Fedorovka	id=g:1524283
Fëdorovka	id=g:1524284
Fabrīchnyy	id=g:1524285
Espesay	id=g:1524286
Espe-Say	id=g:1524287
Esperly	id=g:1524288
Solënaya Gryaz’ Espe-Kul’	id=g:1524289
Espe	id=g:1524290
Espe	id=g:1524291
Espe	id=g:1524292
Espe	id=g:1524293
Espe	id=g:1524294
Yesil’	id=g:1524296
Aqsū	id=g:1524298
Sovkhoz Erkenshilikskiy	id=g:1524299
Stantsiya Yerkenshilik	id=g:1524300
Kolodets Erge-Bulak	id=g:1524301
Ereymentaū	id=g:1524302
Ozero Epsikey	id=g:1524303
Kyzylsay	id=g:1524304
Entuziast	id=g:1524305
Entumak	id=g:1524306
Energiya	id=g:1524307
Energetīcheskīy	id=g:1524308
Ozero Enelikty	id=g:1524309
Enbekty	id=g:1524310
Enbekshinskiy Rayon	id=g:1524311
Engbekshilder	id=g:1524312
Ėngbekshilder Aūdany	id=g:1524313
Enbekshil’derskiy	id=g:1524314
Engbekshiqazaq Aūdany	id=g:1524315
Yenbekshi	id=g:1524316
Enbek Sovkhoz	id=g:1524317
El’tyndy	id=g:1524318
Ekpyn	id=g:1524319
Ekpendy	id=g:1524320
Ekibastuzskiy Ugol’nyy Basseyn	id=g:1524321
Ekibastuz Aūdany	id=g:1524322
Törtüy	id=g:1524323
Stantsiya Ekibastuz	id=g:1524324
Ekibastuz	id=g:1524325
Stantsiya Egyz-Kzyl	id=g:1524326
Stantsiya Egin’-Su	id=g:1524327
Gora Egibay	id=g:1524328
Ozero Edyge	id=g:1524329
Edlbek	id=g:1524330
Eban	id=g:1524331
Gora Dzhuvandzhal	id=g:1524332
Zhūaly Aūdany	id=g:1524333
Bugor Zhusantobe	id=g:1524334
Kolodets Dzhusanday	id=g:1524335
Stepi Dzhusan	id=g:1524336
Dzhus-Agachskiy	id=g:1524337
Dzhus-Agach	id=g:1524338
Dzhunus	id=g:1524339
Bugor Dzhundy-Oba	id=g:1524340
Karabastau	id=g:1524341
Mogila Dzhuman-Bay	id=g:1524342
Gory Dzhuman	id=g:1524343
Stantsiya Dzhuma-Dzhambul’skaya	id=g:1524344
Kolodets Dzhumabay	id=g:1524345
Dzhulyus	id=g:1524346
Dzhulumbet	id=g:1524347
Dzhuldybay	id=g:1524348
Ozero Dzhul’bayus-Kul’	id=g:1524349
Dzhul’-Bars	id=g:1524350
Dzhulan	id=g:1524351
Gora Dzhuan-Tyube	id=g:1524352
Dzhol-Golot	id=g:1524353
Dzhol-Dusay	id=g:1524354
Dzhizumduk	id=g:1524355
Dzhiyenkum	id=g:1524356
Kolodets Dzhity-Bas	id=g:1524357
Gora Dzhiren’-Suat	id=g:1524358
Dzhiren’-Aygyr	id=g:1524359
Kolodets Dzhirembay	id=g:1524360
Kolodets Dzhirambay	id=g:1524361
Kolodets Dzhingil’dy	id=g:1524362
Kolodets Dzhingildy	id=g:1524363
Kolodets Dzhingildy	id=g:1524364
Konyrtobe	id=g:1524365
Bugor Dzhinda-Tyube	id=g:1524366
Kolodets Dzhilka-Kuduk	id=g:1524367
Kolodets Dzhili-Saz	id=g:1524368
Kolodets Dzhilga-Kuduk	id=g:1524369
Gora Dzhil’dy-Tau	id=g:1524370
Gory Dzhil’dy-Kara	id=g:1524371
Rodnik Dzhil’-Bulak	id=g:1524372
Dzhil’-Bulak	id=g:1524373
Zhel’bulaksay	id=g:1524374
Gora Dzhilandy	id=g:1524375
Stantsiya Dzhilan	id=g:1524376
Dzhidelik	id=g:1524377
Kolodets Dzhideli	id=g:1524378
Dzhez-Kul’	id=g:1524379
Dzhezkazganskaya Vpadina	id=g:1524380
Zhezdi Aūdany	id=g:1524382
Zhetitobe	id=g:1524383
Zhetisay Aūdany	id=g:1524384
Zhetisay	id=g:1524385
Kolodets Dzhety-Kulak	id=g:1524386
Dzhetygen-Aryk	id=g:1524387
Zhetiqara Aūdany	id=g:1524388
Sovkhoz Dzhetygarinskiy	id=g:1524389
Stantsiya Dzhetygara	id=g:1524390
Peski Dzhety-Dzhal	id=g:1524391
Gora Dzhenys-Tau	id=g:1524393
Dzhenishke-Bulak	id=g:1524394
Stantsiya Dzhemantuz	id=g:1524395
Dzhelgobas	id=g:1524396
Pereval Dzheldy-Kizen’	id=g:1524397
Zhegirgensay	id=g:1524398
Dzhaypak	id=g:1524399
Mogila Dzhaynibeka	id=g:1524400
Kolodets Dzhaynak	id=g:1524401
Madaniyat	id=g:1524402
Dzhaugash	id=g:1524403
Kolodets Dzhasambay	id=g:1524404
Dzhartyshkyn-Kara-Su	id=g:1524405
Dzhartasskoye Vodokhranilishche	id=g:1524406
Dzhartasskiy	id=g:1524407
Zharmukhambet	id=g:1524408
Dzharkul’	id=g:1524409
Kolodets Dzhar-Kuduk	id=g:1524410
Kolodets Zharkuduk	id=g:1524411
Dzhar-Kuduk	id=g:1524412
Mogila Dzharas	id=g:1524413
Kolodets Dzhapar	id=g:1524414
Peski Dzhapalak-Kum	id=g:1524415
Dzhan-Tezek	id=g:1524416
Razvaliny Kreposti Dzhantay	id=g:1524417
Kolodets Dzhangyz-Opan	id=g:1524418
Bugor Dzhangyz-Kair	id=g:1524419
Dzhangypakhta	id=g:1524420
Dzhangydzhar	id=g:1524421
Kolodets Dzhan-Guzha-Kazgan	id=g:1524422
Zhalgyzqudyq	id=g:1524423
Dzhangisaz	id=g:1524424
Zhangeldīn Aūdany	id=g:1524425
Dzhangil'cheganak Ozero	id=g:1524426
Dzhanek	id=g:1524427
Dzhandzhal	id=g:1524428
Dzhan-Chilik	id=g:1524429
Dzhana-Su	id=g:1524430
Zhanashar	id=g:1524431
Zhanadala	id=g:1524432
Dzhanabay	id=g:1524433
Ozero Dzhana-Aut	id=g:1524434
Dzhana-Aul	id=g:1524435
Ozero Dzhamnyr-Kul’	id=g:1524436
Peski Dzhambura-Kum	id=g:1524437
Zhambyl Aūdany	id=g:1524438
Zhambyl Aūdany	id=g:1524439
Zhambyl Aūdany	id=g:1524440
Sovkhoz Dzhambulskiy	id=g:1524441
Sovkhoz Dzhambul’skiy	id=g:1524442
Dzhambul	id=g:1524443
Zhambyl Oblysy	id=g:1524444
Gora Dzhambul	id=g:1524445
Zhambyl	id=g:1524446
Dzhambul	id=g:1524447
Dzhambul	id=g:1524448
Dzhambul	id=g:1524449
Dzhambul	id=g:1524450
Zhambyl	id=g:1524451
Dzhambul	id=g:1524452
Dzhambul	id=g:1524453
Dzhambul	id=g:1524454
Dzhambul	id=g:1524455
Dzhambay	id=g:1524456
Pereval Dzhambas	id=g:1524457
Ostrov Dzhambar-Kunan	id=g:1524458
Dzhama-Yegen’	id=g:1524459
Bugor Dzhaman-Zangar	id=g:1524460
Gora Dzhaman-Tas	id=g:1524461
Aryk Dzhaman-Tas	id=g:1524462
Razvaliny Dzhaman-Kurgan	id=g:1524463
Kolodets Dzhaman-Kuduk	id=g:1524464
Dzhaman-Kuduk	id=g:1524465
Gora Dzhaman-Keneli	id=g:1524466
Dzhaman-Dzhar	id=g:1524467
Dzhaman-Chabaly Ostrov	id=g:1524468
Dzhal-Su	id=g:1524469
Kolodets Dzhalpak-Tau	id=g:1524470
Solonchak Dzhalpak	id=g:1524471
Dzhalpak	id=g:1524472
Kolodets Dzhalimambet	id=g:1524473
Dzhaldama	id=g:1524474
Kolodets Dzhalan-Tuz	id=g:1524475
Stantsiya Dzhalanashkul’	id=g:1524476
Zhalaghash Aūdany	id=g:1524477
Dzhalagash	id=g:1524478
Dzhaksy Dzhartasskiy	id=g:1524479
Gory Dzhaksy-Arganaty	id=g:1524480
Dzhakpek	id=g:1524481
Dzhaby-Say	id=g:1524482
Rodnik Dzhabay-Kezen	id=g:1524483
Dzerzhinskoye	id=g:1524484
Dzerzhinskiy Rayon	id=g:1524485
Dzerzhīnskīy	id=g:1524486
Dyykan	id=g:1524487
Dyuzkaragay	id=g:1524488
Dyusyup	id=g:1524489
Dyusen	id=g:1524490
Dyusen'	id=g:1524491
Dyusekenevskiy	id=g:1524492
Dyurt-Sart	id=g:1524494
Kolodets Dyurt-Kuduk	id=g:1524495
Dyurt-Kuduk	id=g:1524496
Kolodets Dyurt-Kuduk	id=g:1524497
Mogila Dyurt-chiy	id=g:1524498
Stantsiya Dyurmen’-Tyube	id=g:1524499
Ozero Dekale	id=g:1524500
Dynchek	id=g:1524501
Sovkhoz Dvurechnyy	id=g:1524502
Dvūrechnyy	id=g:1524503
Dvoyniki	id=g:1524504
Dvenadtsatogo Dekabrya	id=g:1524505
Dvadtsat’ Pyat’ Let Oktyabrya	id=g:1524506
Ozero Duvany-Sor	id=g:1524507
Duskey	id=g:1524508
Kolodets Dushambe	id=g:1524509
Dusabay-Balasy Mogila	id=g:1524510
Ozero Durnsha	id=g:1524511
Dungal Bugor	id=g:1524512
Dönenbay	id=g:1524513
Dūlyghaly Zhylanshyq	id=g:1524514
Dulygalinskaya Mechet’	id=g:1524515
Dul’dul’	id=g:1524516
Dulaty	id=g:1524517
Dukhovnitskiy	id=g:1524518
Dudakovka	id=g:1524519
Ozero Dubygalinskoye	id=g:1524520
Dubunskaya	id=g:1524521
Dubun	id=g:1524522
Ozero Dubshinkol’	id=g:1524523
Dubrovnoye	id=g:1524524
Dubrovnoye	id=g:1524525
Dubrovka	id=g:1524526
Dubrovka	id=g:1524527
Sovkhoz Dubrovinskiy	id=g:1524528
Dubovskoye	id=g:1524529
Dubovka	id=g:1524530
Dubinka	id=g:1524531
Stantsiya Druzhba	id=g:1524532
Sovkhoz Druzhba	id=g:1524533
Drūzhba	id=g:1524534
Druzhba	id=g:1524535
Druzhba	id=g:1524536
Dostyq	id=g:1524537
Drug-Pakharya	id=g:1524538
Dresvyanka	id=g:1524539
Dragomirovka	id=g:1524540
Doul-Say	id=g:1524541
Dostizheniye	id=g:1524542
Dosovka	id=g:1524543
Dosmambetov	id=g:1524544
Doskazy	id=g:1524545
Doshchan	id=g:1524546
Doschapan	id=g:1524547
Ozero Dosaykopa	id=g:1524548
Dosan-Karabas	id=g:1524549
Kolodets Dosan	id=g:1524550
Dosan	id=g:1524551
Dorogovka	id=g:1524552
Doroginka	id=g:1524553
Dorofeyevka	id=g:1524554
Donskoye	id=g:1524555
Donskoye	id=g:1524556
Donskoy	id=g:1524557
Donskoy	id=g:1524558
Donskoy	id=g:1524559
Don-Kazgan	id=g:1524560
Ozero Dongeleksor	id=g:1524561
Solonchak Dongeleksor	id=g:1524562
Dongelek	id=g:1524563
Donetskoe	id=g:1524564
Donetskoye	id=g:1524565
Domninskoye	id=g:1524566
Gora Dombyraly	id=g:1524567
Domba	id=g:1524568
Dolon	id=g:1524569
Dolmatovo	id=g:1524570
Dolīnka	id=g:1524571
Dolbushka	id=g:1524572
Dolbilovo	id=g:1524573
Stantsiya Dokuchayevskiy	id=g:1524574
Dokuchayevo	id=g:1524575
Dokuchayevka	id=g:1524576
Dokūchaevka	id=g:1524577
Stantsiya Dokuchayev	id=g:1524578
Dogolan	id=g:1524579
Dobrynovka	id=g:1524580
Dobrovol’skoye	id=g:1524581
Dobrovol’noye	id=g:1524582
Urochishche Dobalshilik	id=g:1524583
Loba	id=g:1524584
Dnepropetrovskiy	id=g:1524585
Dmitrovka	id=g:1524586
Dmitriyevka	id=g:1524587
Dmitriyevka	id=g:1524588
Dmitriyevka	id=g:1524589
Dmitriyevka	id=g:1524590
Dmitriyevka	id=g:1524591
Lednik Dmitriyeva	id=g:1524592
Sovkhoz Diyevskiy	id=g:1524593
Diyevka	id=g:1524594
Dīirmentöbe	id=g:1524595
Devyatka	id=g:1524596
Deurechnyy	id=g:1524597
Karakuduk	id=g:1524598
Desyat’ Let Kazakhskoy Sovetskoy Sotsialisticheskoy Respubliki	id=g:1524599
Dom Otdykha Desyati Let Kazakhskoy Sovetskoy Sotsialisticheskoy Respubliky	id=g:1524600
Lednik Desnitsa	id=g:1524601
Derzhavinskoye	id=g:1524602
Zharqayyng Aūdany	id=g:1524603
Sovkhoz Derzhavinskiy	id=g:1524604
Stantsiya Derzhavinskaya	id=g:1524605
Derzhavīnsk	id=g:1524606
Sovkhoz Denisovskiy	id=g:1524607
Stantsiya Denisovka	id=g:1524608
Sovkhoz Dem’yanovskiy	id=g:1524609
Dem’yanovka	id=g:1524610
Ozero Dembe-Kopa	id=g:1524611
Stantsiya Del’begetey	id=g:1524612
Gora Del’begetey	id=g:1524613
Dekhkan	id=g:1524614
Degeres Zapadnyy	id=g:1524615
Degeres Vostochnyy	id=g:1524616
Degeres	id=g:1524617
Degeres	id=g:1524618
Gora Degelen	id=g:1524619
Degelen	id=g:1524620
Kladbishche Dayra	id=g:1524621
Daymaut	id=g:1524622
Dangerbay	id=g:1524623
Urochishche Davydovka	id=g:1524624
Davydenovka	id=g:1524625
Urochishche Daukara	id=g:1524626
Dautbaysay	id=g:1524627
Stantsiya Daut	id=g:1524628
Kolodets Daut	id=g:1524629
Gora Daut	id=g:1524630
Gora Daut	id=g:1524631
Urochishche Daut	id=g:1524632
Dauran-Supe	id=g:1524633
Mektep	id=g:1524634
Daulet	id=g:1524635
Daulatyy	id=g:1524636
Daubay	id=g:1524637
Dastar	id=g:1524638
Ravnina Dar’yalyktakyr	id=g:1524639
Stantsiya Dar’ya	id=g:1524640
Darvaza	id=g:1524641
Darstvennoye	id=g:1524642
Darmina	id=g:1524643
Darkhan	id=g:1524644
Darīya	id=g:1524645
Pereval Dardamty	id=g:1524646
Dardamty	id=g:1524647
Darbaza	id=g:1524648
Daratab	id=g:1524649
Ozero Dansary	id=g:1524650
Danilovka	id=g:1524652
Danilovka	id=g:1524653
Danīlovka	id=g:1524654
Dangeleksor	id=g:1524655
Dandy	id=g:1524656
Danblan	id=g:1524657
Danabulak	id=g:1524658
Danabike	id=g:1524659
Damsa	id=g:1524660
Dämdi	id=g:1524661
Dämdi	id=g:1524662
Sovkhoz Damdinskiy	id=g:1524663
Stantsiya Dal’noye	id=g:1524664
Dal’niy Vostok	id=g:1524665
Dal’niy	id=g:1524666
Dal’noye	id=g:1524667
Dal’neye	id=g:1524668
Stantsiya Dala-Kaynar	id=g:1524669
Dalakaynar	id=g:1524670
Gory Dala-Ashik	id=g:1524671
Peski Dala	id=g:1524672
Dairovo	id=g:1524673
Daghandeli	id=g:1524674
Chuzhe	id=g:1524675
Chuyundy	id=g:1524676
Chuyskoye	id=g:1524677
Shū Aūdany	id=g:1524678
Sovkhoz Chuyskiy	id=g:1524679
Chuybek Sopka	id=g:1524680
Mogila Chuybas	id=g:1524681
Kolodets Chushka-Ul’kun	id=g:1524682
Ozero Shoshkaly	id=g:1524683
Ozero Chushka-Kul’	id=g:1524684
Chushka-Bas Ostrov	id=g:1524685
Gory Chushanay	id=g:1524686
Chushanay	id=g:1524687
Mogila Churun	id=g:1524688
Churuk-Kul' Ozero	id=g:1524689
Kolodets Churk	id=g:1524690
Kolodets Churek	id=g:1524691
Stantsiya Churbay-Nura	id=g:1524692
Sovkhoz Churakovskiy	id=g:1524693
Ozero Chunkur	id=g:1524694
Pereval Chungut	id=g:1524695
Chundzha	id=g:1524696
Ozero Chumysh-Kul’	id=g:1524697
Stantsiya Chumysh	id=g:1524698
Mogila Chumchek	id=g:1524699
Sopka Chul’-Zhota	id=g:1524700
Kolodets Chulpan	id=g:1524701
Chulak-Zhide	id=g:1524702
Sholaqqkorghan	id=g:1524703
Pereval Chulak	id=g:1524704
Gory Sholak	id=g:1524705
Chulak	id=g:1524706
Mokshasay	id=g:1524707
Chulak	id=g:1524708
Chulak	id=g:1524709
Gory Chul’-Adyr	id=g:1524710
Chul-Adyr	id=g:1524711
Kolodets Chukur-Kuduk	id=g:1524712
Kolodets Chukur	id=g:1524713
Chu-Iliyskiye Gory	id=g:1524714
Chudnoye	id=g:1524715
Kolodets Chubura	id=g:1524716
Shubartaū Aūdany	id=g:1524717
Chubarsu	id=g:1524718
Chubarovka	id=g:1524719
Ozero Chubar-Kul’	id=g:1524720
Ozero Chubarkol’	id=g:1524721
Gora Chubar-Baytal	id=g:1524722
Chubanak	id=g:1524723
Mogila Choru	id=g:1524724
Chorga	id=g:1524725
Chomyldy	id=g:1524726
Kolodets Chom-Kalgan	id=g:1524727
Cholokay	id=g:1524728
Ruslo Chol’-Bastau	id=g:1524729
Cholak-Kargaly	id=g:1524730
Kirovo	id=g:1524731
Artezianskiy Kolodets Sholakespe	id=g:1524732
Logovina Cholak-Ak-Su	id=g:1524733
Cholak-Ak-Su	id=g:1524734
Cholak-Ak-Su	id=g:1524735
Pereval Cholak	id=g:1524736
Logovina Cholak	id=g:1524737
Bugor Cholak	id=g:1524738
Cholak	id=g:1524739
Cholak	id=g:1524740
Sopka Chol’-Adyr	id=g:1524741
Gory Chol’-Adyr	id=g:1524742
Stantsiya Chokusu	id=g:1524743
Chokpar	id=g:1524744
Stantsiya Chokpak	id=g:1524745
Chokpak	id=g:1524746
Chokay	id=g:1524747
Chke-Kapkak	id=g:1524748
Chkalov Aūdany	id=g:1524749
Sovkhoz Chkalovskiy	id=g:1524750
Chkalovskiy	id=g:1524751
Stantsiya Chkalovo	id=g:1524752
Chkalov	id=g:1524753
Chizhin	id=g:1524754
Chizhin	id=g:1524755
Chiybut	id=g:1524756
Chitta-Sarykty Mogila	id=g:1524757
Chit-Bulak	id=g:1524758
Chistyy Chandak	id=g:1524759
Alqaterek	id=g:1524760
Ozero Chistoye	id=g:1524761
Chīstoe	id=g:1524762
Chīstovskoe	id=g:1524763
Chistopol’ye	id=g:1524764
Chistopol’skoye	id=g:1524765
Chīstopol’e Aūdany	id=g:1524766
Sovkhoz Chistopol’skiy	id=g:1524767
Chistopol’ka	id=g:1524768
Chirkino	id=g:1524769
Razvaliny Chirikrabat	id=g:1524770
Ozero Chirik-kul’	id=g:1524771
Chirganak	id=g:1524772
Chirganak	id=g:1524773
Shyntürgen	id=g:1524775
Shinggystaū Zhotasy	id=g:1524776
Shyngghystay	id=g:1524777
Logovina Chingil’dy Say	id=g:1524778
Kolodets Chingil’dy	id=g:1524779
Kolodets Chingil’dy	id=g:1524780
Kolodets Chingil’dy	id=g:1524781
Kolodets Chingil’dy	id=g:1524782
Kolodets Chingil’dy	id=g:1524783
Chingil’dy	id=g:1524784
Sanatoriya Chimbulak	id=g:1524785
Shymyrbaysay	id=g:1524786
Yuzhno-Kazakhstanskaya Oblast'	id=g:1524787
Chimbek	id=g:1524788
Chili Pervyye	id=g:1524789
Chilikty	id=g:1524790
Chiliktinskaya Dolina	id=g:1524791
Shelek Aūdany	id=g:1524792
Chil’cha	id=g:1524793
Stantsiya Chil’bastau	id=g:1524794
Chil’bastau	id=g:1524795
Logovina Chil-Ashchi	id=g:1524796
Chilakty	id=g:1524797
Shīeli Aūdany	id=g:1524798
Rodnik Chiili-Bulak	id=g:1524799
Kolodets Chiili	id=g:1524800
Shīeli	id=g:1524801
Chiili	id=g:1524802
Sovkhoz Chigirinovskiy	id=g:1524803
Chīgīrīnovka	id=g:1524804
Chigirinovka	id=g:1524805
Chichërino	id=g:1524806
Sovkhoz Chervonoukrainskiy	id=g:1524807
Chervonnyy Gay	id=g:1524808
Chervonnoye	id=g:1524809
Chervonnaya Zemlya	id=g:1524810
Lednik Chërnyy	id=g:1524811
Aryk Chërnyy	id=g:1524812
Chernyshëvka	id=g:1524813
Chernyayevka	id=g:1524814
Zhibek Zholy	id=g:1524815
Chernyakhovskoye	id=g:1524816
Sovkhoz Chernyakhovskiy	id=g:1524817
Chernozūbovka	id=g:1524818
Chernoe	id=g:1524819
Chernoyarka	id=g:1524820
Chernoyarka	id=g:1524821
Ozero Chernovoye	id=g:1524822
Stantsiya Chernovodskiy	id=g:1524823
Chernovodsk	id=g:1524824
Chernevaya	id=g:1524825
Chernovaya	id=g:1524826
Chernovaya	id=g:1524827
Chernovoye	id=g:1524828
Chernoretskoe	id=g:1524829
Chernoretskiy	id=g:1524830
Chernoirtyshskiy	id=g:1524831
Chernogorskaya	id=g:1524832
Chernobayevka	id=g:1524833
Sovkhoz Chernigovskiy	id=g:1524834
Chernigovka	id=g:1524835
Chernīgovka	id=g:1524836
Chernīgovka	id=g:1524837
Chernigovka	id=g:1524838
Chernaya Uba	id=g:1524839
Gora Chërnaya Skala	id=g:1524840
Chërnaya	id=g:1524841
Chernaya Berel’	id=g:1524842
Chermoshnyanka	id=g:1524843
Cherkasskoe	id=g:1524844
Cherkasskoye	id=g:1524845
Cherëmushki	id=g:1524846
Stantsiya Cheremshanka	id=g:1524847
Cheremshanka	id=g:1524848
Cheremshanka	id=g:1524849
Sherdayaq	id=g:1524850
Mogila Cherchik	id=g:1524851
Chengel’dy	id=g:1524852
Stantsiya Chemolgan	id=g:1524853
Chelyuskin	id=g:1524854
Stantsiya Chelgashi	id=g:1524855
Ozero Chel’dy	id=g:1524856
Kolodets Chekmen’-Kalgan	id=g:1524857
Ozero Chekiy-Kul’	id=g:1524858
Chekhovo	id=g:1524859
Zimovka Chekhovka	id=g:1524860
Kolodets Chek-Bar	id=g:1524861
Cheka	id=g:1524862
Shyganaksay	id=g:1524863
Chebyn-Say	id=g:1524864
Mogila Chebyk-Mola	id=g:1524865
Chebundy	id=g:1524866
Chebach-Bay	id=g:1524867
Stantsiya Chaykuruk	id=g:1524868
Chaykovskiy	id=g:1524869
Chaykovskiy	id=g:1524870
Shayan	id=g:1524871
Bugor Chaulingi	id=g:1524872
Poluostrov Chaukar	id=g:1524873
Kolodets Chatyrly	id=g:1524874
Ozero Chaturdy	id=g:1524875
Zaliv Chashkan	id=g:1524876
Chashchevitka	id=g:1524877
Chashchevitka	id=g:1524878
Charynka	id=g:1524879
Sharyn	id=g:1524880
Sharyn	id=g:1524881
Shar Aūdany	id=g:1524882
Charskaya Yarmarka	id=g:1524883
Stantsiya Charskaya	id=g:1524884
Shardara Aūdany	id=g:1524885
Sovkhoz Chardarinskiy	id=g:1524886
Shardara Dalasy	id=g:1524887
Shardara	id=g:1524888
Shardara	id=g:1524889
Shar	id=g:1524890
Chapaevo	id=g:1524891
Sovkhoz Chapayevskiy	id=g:1524892
Rechnoye	id=g:1524893
Chapayevo	id=g:1524894
Chapaevo	id=g:1524895
Chapayevka	id=g:1524896
Kolodets Chan-Tas	id=g:1524897
Bugor Chan-Kuduk	id=g:1524898
Mīrnyy	id=g:1524899
Chanak	id=g:1524900
Chaltas	id=g:1524901
Chalokozakov	id=g:1524902
Sovkhoz Chalobay	id=g:1524903
Chalobay	id=g:1524904
Sovkhoz Chaldar	id=g:1524905
Chaldar	id=g:1524906
Stantsiya Chal’dala	id=g:1524907
Mogila Chal	id=g:1524908
Chal	id=g:1524909
Chakpak	id=g:1524910
Chakchanskiy	id=g:1524911
Chaka	id=g:1524912
Chaglinka	id=g:1524913
