Darah-ye Sūr Apan	id=g:1459724
Band-e Saybak	id=g:1459783
Kōh-e Kaj Kōtal	id=g:1459784
Kōh-e Khinjak Mazār	id=g:1459785
Jar-e Khōsh Now	id=g:1459786
Khūlah-ye Khudābakhsh	id=g:1459787
Kōh-e Chagah	id=g:1459788
Tapah-ye Chagah	id=g:1459789
Lāshah-ye Tangī-ye Pul	id=g:1459790
Dahān-e ‘Āshiqān	id=g:1459791
Pushtah-ye Mīrzā Fōlād	id=g:1459792
Pīr Zālmurdah	id=g:1459793
Zīārat-e Ḩājī Muḩammad Şadīq	id=g:1459794
Dūdwān	id=g:1459795
Shaylah-ye Yigīn	id=g:1459796
Khūlah-ye Zīārat	id=g:1459797
Guzarah	id=g:1459798
Shamshayr Sang	id=g:1459799
Khūlah-ye Zarbayd	id=g:1459800
Jar-e Khilishkak	id=g:1459801
Jar-e Sīāh Sang	id=g:1459802
Shaylah-ye Qāychī	id=g:1459803
Gardanah-ye Sīrzār	id=g:1459804
Kōh-e Sīrzār	id=g:1459805
Shaylah-ye Labrān	id=g:1459806
Kōh-e Labrān	id=g:1459807
Jowzārī	id=g:1459808
Kōh-e Misāfirak	id=g:1459809
Tagāw-e Ghōr	id=g:1459810
Kulah-ye Ādinah	id=g:1459811
Kōtal-e Zardālūgak	id=g:1459812
Kōh-e Safaydār	id=g:1459813
Gandah Āwak	id=g:1459814
Panj Shākh	id=g:1459815
Bōragak	id=g:1459816
Khūlah-ye Way	id=g:1459817
Nāwah-ye Surkhāj	id=g:1459818
Sīāh Kōh	id=g:1459819
Kōh-e Safayddār	id=g:1459820
Kōtal-e Labrān	id=g:1459821
Esfawr	id=g:1459822
Lūnd Kōh	id=g:1459823
Darah-ye Z̄aghan	id=g:1459824
Sūrkhāj	id=g:1459825
Jar-e Samāheh	id=g:1459826
Poshteh-ye Chalpak	id=g:1459827
Siakhkharak	id=g:1459828
Gora Yakakodi	id=g:1459829
Chashmazar	id=g:1459830
Gora Galak	id=g:1459831
Urochishche Khasari-Sum	id=g:1459832
Dahan-e Amrotak	id=g:1459833
Nayak	id=g:1459834
Grobnitsa Khodzha-Mukhammedulla	id=g:1459835
Gora Darbandkhayn-Safed	id=g:1459836
Langi	id=g:1459837
Padiak	id=g:1459838
Musayak	id=g:1459839
Zīārat-e Khvājehsalmīn	id=g:1459840
Gora Gazak	id=g:1459841
Kisarak	id=g:1459842
Gora Mindukokh	id=g:1459843
Gora Khushnau	id=g:1459844
Nadanak	id=g:1459845
Poshteh-ye Nayak	id=g:1459846
Gora Khakshakhid	id=g:1459847
Chanara	id=g:1459848
Asia	id=g:1459849
Chashmabak	id=g:1459850
Khisari-Sum	id=g:1459851
Siakhkharak	id=g:1459852
Poshteh-ye Lokehsang	id=g:1459853
Gora Khushnausangi	id=g:1459854
Bibian	id=g:1459855
Gora Mingau	id=g:1459856
Khavadzhgan	id=g:1459857
Gora Taktashidgi	id=g:1459858
Jar-e Malzadehgī	id=g:1459859
Gora Sari-Kisarak	id=g:1459860
Kisarak	id=g:1459861
Jar-e Yakowlanchak	id=g:1459862
Gora Pasnasar	id=g:1459863
Kohe Sabak	id=g:1459864
Kanan	id=g:1459865
Korav	id=g:1459866
Dzhari-Siakh	id=g:1459867
Gulamak	id=g:1459868
Mogila Ziarati-Mazar	id=g:1459869
Jar-e Kashkar	id=g:1459870
Kashkar	id=g:1459871
Kharah-e Zaghand	id=g:1459872
Razvaliny Kyshlaki-Uzbak	id=g:1459873
Samakha	id=g:1459874
Gora Parikushta	id=g:1459875
Shelayi-Zard	id=g:1459876
Sakhtatagao	id=g:1459877
Poshteh-ye Telak	id=g:1459878
Sar-e Gazak	id=g:1459879
Sari-Gazak	id=g:1459880
Poshteh-ye Peymāneh	id=g:1459881
Adamkhan	id=g:1459882
Gora Naushad	id=g:1459883
Pereval Uruzgan	id=g:1459884
Pereval Torbulak	id=g:1459885
Samakhayi-Dasht	id=g:1459886
Abūrnāw	id=g:1459887
Gora Avari-Navi-Khalikdadi	id=g:1459888
Avari-Navi-Khalikdadi	id=g:1459889
Avari-Navi-Khalishki	id=g:1459890
Band-e Bayān	id=g:1459891
Gora Avari-Nau	id=g:1459892
Avari-Nau	id=g:1459893
Rakhman	id=g:1459894
Gora Shorva	id=g:1459895
Talkhakey	id=g:1459896
Gora Takabugru	id=g:1459897
Poshteh-ye Rāh	id=g:1459898
Gora Dzhiribag	id=g:1459899
Aini	id=g:1459900
Kohe Katalak	id=g:1459901
Gory Damana	id=g:1459902
Jerītak	id=g:1459903
Qalqalak	id=g:1459904
Jar-e Gazak	id=g:1459905
Madkhan	id=g:1459906
Jar-e Jerītak	id=g:1459907
Jar-e Rabāţ	id=g:1459908
Eskīchak	id=g:1459909
Gora Uruzgan	id=g:1459910
Smakhsang	id=g:1459911
Pereval Ishtarkhin	id=g:1459912
Poshteh-ye Tangī Sīāh	id=g:1459913
Tilak	id=g:1459914
Jar-e Alesayn	id=g:1459915
Eskīchak	id=g:1459916
Band-e Torshak	id=g:1459917
Sukhoye Ruslo Khauzaka	id=g:1459918
Torshak	id=g:1459919
Khargahsang	id=g:1459920
Ghodug	id=g:1459921
Pesikichak	id=g:1459922
Khushnau	id=g:1459923
Jar-e Kowl	id=g:1459924
Bīdak-e Jalāl	id=g:1459925
Poshteh-ye Bīdak-e Jalāl	id=g:1459926
Poshteh-ye Kīchak	id=g:1459927
Sarcheshmeh-ye Akhtum	id=g:1459928
Gora Teggem	id=g:1459929
Khūlah-ye Akhtam	id=g:1459930
Būynāk	id=g:1459931
Khutuburut	id=g:1459932
Dulaynah	id=g:1459933
Kharah-ye Yargīn	id=g:1459934
Minkharah	id=g:1459935
Galah Chashmah	id=g:1459936
Shaylah-ye Bēg Muḩammad	id=g:1459937
Khwājah Khiẕrī	id=g:1459938
Shaylah-ye Zangābah	id=g:1459939
Shaylah-ye Sīāh Sangak	id=g:1459940
Shaylah-ye Gird-Hōlang	id=g:1459941
Shaylah-ye Dagahī	id=g:1459942
Shaylah-ye Gulistān	id=g:1459943
Shaylah-ye Mukhtār	id=g:1459944
Shaylah-ye Dalghar-Khārak	id=g:1459945
Kōrāb-e Raḩmat	id=g:1459946
Kōrāb-e Raḩmat	id=g:1459947
Maghālā	id=g:1459948
Kashah Sang	id=g:1459949
Shaylah-ye Gharībak	id=g:1459950
Shēlah-e Chehelgazī	id=g:1459951
Sīāh Khūlah	id=g:1459952
Duzdān	id=g:1459953
Kalk	id=g:1459954
Āwlī	id=g:1459955
Garmavak	id=g:1459956
Khvoshnāw	id=g:1459957
Band-e Bāyan	id=g:1459958
Shaylah-ye Khushnow	id=g:1459959
Shaylah-ye Bāwandak	id=g:1459960
Shaylah-ye Gharghah Now	id=g:1459961
Shaylah-ye Ghārak	id=g:1459962
Khushnow-e Khushk	id=g:1459963
Tal-e Khushk	id=g:1459964
Barkhūl	id=g:1459965
Jar-e Ghāwah	id=g:1459966
Shaylah-ye Tīlak	id=g:1459967
Qishlāqak	id=g:1459968
Jar-e Afghān	id=g:1459969
Chashmah-ye Safayd	id=g:1459970
Yakshanbah	id=g:1459971
Shaylah-ye Sīrkūkī	id=g:1459972
Minkharah	id=g:1459973
Kōr Ābak	id=g:1459974
Shahīdān	id=g:1459975
Pushtah-ye Baydak Jalāl	id=g:1459976
Jar-e Khushk	id=g:1459977
Kharah-ye Yaragīn	id=g:1459978
Galah Bayd	id=g:1459979
Pushtah-ye Dagahī	id=g:1459980
Band-e Galah Bayd	id=g:1459981
Pushtah-ye Āwbārīk	id=g:1459982
Jar-e Āwbārīk	id=g:1459983
Pushtah-ye Gāwmurdah	id=g:1459984
Jar-e Zard	id=g:1459985
Pushtah-ye Sarak	id=g:1459986
Jar-e Āwbārīk-e Khushk	id=g:1459987
Barkhōl	id=g:1459988
Barkhōl	id=g:1459989
Nāwah-ye Ḩowẕ-e Bangī	id=g:1459990
Jar-e Khāpōlak	id=g:1459991
Pushtah-ye Khārak	id=g:1459992
Sīāh Khārak	id=g:1459993
Nāwah-ye Masjid Nigār	id=g:1459994
Munārah	id=g:1459995
Murghālak	id=g:1459996
Nāwah-ye Jigarbah	id=g:1459997
Nāwah-ye Jumbākhar	id=g:1459998
Jar-e Kutakā	id=g:1459999
Nāwah-ye Kharah Sang	id=g:1460000
Jow Pāyah	id=g:1460001
Jar-e Yakshāwah	id=g:1460002
Pushtah-ye Zard	id=g:1460003
Jar-e Minkharah	id=g:1460004
Murghālak	id=g:1460005
Jar-e Zarnow	id=g:1460006
Nāwah-ye Shāh Jōy	id=g:1460007
Zīārat-e Mīr Ibrāhīm Āghā	id=g:1460008
Zīārat-e Mullā Mūsá	id=g:1460009
Jar-e Sīāh Now	id=g:1460010
Jar-e Malkhār	id=g:1460011
Jar-e Chashmah	id=g:1460012
Pereval Munara	id=g:1460013
Pereval Khauzi-Bangi	id=g:1460014
Shaylah-ye Ghyāghī	id=g:1460015
Shaylah-ye Masjid Nigār	id=g:1460016
Shaylah-ye Sāghar Rāh	id=g:1460017
Rali	id=g:1460018
Karchau	id=g:1460019
Siakhsang	id=g:1460020
Gora Aurak	id=g:1460021
Kali-Mulla	id=g:1460022
Gora Khukkushta	id=g:1460023
Shakhzak	id=g:1460024
Gora Buzgalak	id=g:1460025
Urochishche Argi-Dukhtari-Badshakh	id=g:1460026
Gora Rav	id=g:1460027
Kladbishche Paymazar	id=g:1460028
Bashnya Paymunar	id=g:1460029
Gora Azadkokh	id=g:1460030
Urochishche Petaukhar	id=g:1460031
Jar-e Kharkhowuch	id=g:1460032
Kūh-e Pīāzī	id=g:1460033
Ustuva	id=g:1460034
Cheshmeh-ye Yakhak	id=g:1460035
Kharah	id=g:1460036
Ustuva	id=g:1460037
Gora Tavayi-Safed	id=g:1460038
Palangkhana	id=g:1460039
Gora Kaftarkhanak	id=g:1460040
Sirzar	id=g:1460041
Gora Sergalak	id=g:1460042
Sirzar	id=g:1460043
Kharah-e Pīāzghālak	id=g:1460044
Gora Dzhirivak	id=g:1460045
Darreh-ye Dowlatbeyg	id=g:1460046
Dzhari-Abi	id=g:1460047
Gora Petavi-Siakh	id=g:1460048
Senjedak	id=g:1460049
Gora Kharayi-Safed	id=g:1460050
Jar-e Kawdak	id=g:1460051
Gora Palangkhanak	id=g:1460052
Rodnik Piri-Kavi	id=g:1460053
Galak	id=g:1460054
Jar-e Zard	id=g:1460055
Oshan	id=g:1460056
Gora Bakharkhodzha	id=g:1460057
Gashak	id=g:1460058
Bakharkhodzha	id=g:1460059
Gora Koshga	id=g:1460060
Gora Sangi-Gaday	id=g:1460061
Rodnik Adina	id=g:1460062
Jar-e Kalpestān	id=g:1460063
Gora Kharayi-Siakh	id=g:1460064
Safedari	id=g:1460065
Nigini	id=g:1460066
Zagan	id=g:1460067
Jar-e Dozdak	id=g:1460068
Shūghī	id=g:1460069
Shorak	id=g:1460070
Larak	id=g:1460071
Ruzkan	id=g:1460072
Ruzkan	id=g:1460073
Gora Badkhanak	id=g:1460074
Sangchelak	id=g:1460075
Gora Puy	id=g:1460076
Khushnau	id=g:1460077
Jar-e Sarjangal	id=g:1460078
Tīgh-e Jaryak	id=g:1460079
Gora Kalakokh	id=g:1460080
Gora Sardzhari-Puy	id=g:1460081
Sangzarak	id=g:1460082
Gora Puy	id=g:1460083
Murghzārak	id=g:1460084
Shaylah-ye Istuwah	id=g:1460085
Kharah-ye Palangkhānak	id=g:1460086
Shaylah-ye Sīāh Sangak	id=g:1460087
Ḩasan Sansalaghay	id=g:1460088
Shaylah-ye Girdhōlang	id=g:1460089
Shaylah-ye Sōkhtah	id=g:1460090
Shaylah-ye Nowmazār	id=g:1460091
Shikhlowast	id=g:1460092
Shaylah-ye Ghowmazār	id=g:1460093
Khūk Kushtah	id=g:1460094
Jar-e Zard	id=g:1460095
Jar-e Nāy	id=g:1460096
Lūkah Mazār	id=g:1460097
Jar-e Rasrow	id=g:1460098
Jar-e Āb	id=g:1460099
Jar-e Mūshghālak	id=g:1460100
Nāwah-ye Ūshān	id=g:1460101
Jar-e Manār	id=g:1460102
Shikhliyak	id=g:1460103
Jar-e Shikhliyak	id=g:1460104
Jar-e Naz̧ar	id=g:1460105
Kōh-e Yakabaydak	id=g:1460106
Shaylah-ye Maḩmūdī	id=g:1460107
Shaylah-ye Ghāl Mullā	id=g:1460108
Jar-e Nayk	id=g:1460109
Dahān-e Ghāl Mullā	id=g:1460110
Kōh-e Pīrak	id=g:1460111
Shaylah-ye Pīrak	id=g:1460112
Kōh-e Rahnow	id=g:1460113
Shaylah-ye Rahnow	id=g:1460114
Sukhoye Ruslo Oshan	id=g:1460115
Lukah Kōhak	id=g:1460116
Darah-ye Bāy	id=g:1460117
Darah-ye Bāy	id=g:1460118
Darah-ye Qafzār	id=g:1460119
Kōh-e Maykh Kōrah	id=g:1460120
Zāghêh Khānah	id=g:1460121
Sar-e Bāy	id=g:1460122
Chahār Gōshah	id=g:1460123
Kōh-e Shah-e Bayrānah	id=g:1460124
Sar Jangal	id=g:1460125
Zīārat-e Shāh-e Bayrānah	id=g:1460126
Ghowchak	id=g:1460127
Gora Shakhi-Berana	id=g:1460128
Sar-e Bādah Sīāh	id=g:1460129
Bārīkī	id=g:1460130
Zangāw	id=g:1460131
Rāh Kol	id=g:1460132
Kōh-e Gilīm Bāftah	id=g:1460133
Darah-ye Sar Qōl	id=g:1460134
Wōtipūr	id=g:1460135
Sar Qōl	id=g:1460136
Dasht-e Haft Nāw	id=g:1460137
Sowz Sumūch	id=g:1460138
Darah-ye Ghowchak	id=g:1460139
Bārūsanak	id=g:1460140
Band-e Bāzār	id=g:1460141
Sīāh Sangak	id=g:1460142
Kuhnah Deh	id=g:1460143
Darah-ye Pōpī	id=g:1460144
Darah-ye Maghak	id=g:1460145
Shīrōm	id=g:1460146
Dahan-e Sīnak	id=g:1460147
Darah-ye Zayrāt	id=g:1460148
Zayrāt	id=g:1460149
Darah-ye Shīnah	id=g:1460150
Shamakah	id=g:1460151
Sangīnak	id=g:1460152
Khushk Dānah	id=g:1460153
Darah-ye Kūn-e Gāw	id=g:1460154
Nāwah-e Sangīnak	id=g:1460155
Bīnī Kōh	id=g:1460156
Darah-ye Surkh Daywāl	id=g:1460157
Nuhdāl	id=g:1460158
Tōp-e Nuhdāl	id=g:1460159
Darah-ye Iskah	id=g:1460160
Darah-ye Ōlangak	id=g:1460161
Ōlangak	id=g:1460162
Safayd Sangak	id=g:1460163
Būm	id=g:1460164
Darah-ye Darnah Jōy	id=g:1460165
Qōl-e Lōrah	id=g:1460166
Darnah Jōy	id=g:1460167
Pusht-e Āsyā	id=g:1460168
Iskah	id=g:1460169
Alwā Qōl	id=g:1460170
Kōh-e Sangīnak	id=g:1460171
Āb Darwayshān	id=g:1460172
Baydak	id=g:1460173
Darah-ye Zangāw	id=g:1460174
Dahan-e Bāy	id=g:1460175
Darah-ye Ābshār	id=g:1460176
Chahār Bālā	id=g:1460177
Kōh-e Robā Khurdah	id=g:1460178
Band-e Gidar Gū	id=g:1460179
Kōtal-e Wardak	id=g:1460180
Kārayzak	id=g:1460181
Nāwur Ghaybī	id=g:1460182
Sarāy-e Rāqōl	id=g:1460183
Kōh-e Dāman	id=g:1460184
Kowshak	id=g:1460185
Qōl-e Dōrdanak	id=g:1460186
Dōrdang	id=g:1460187
Sankōy	id=g:1460188
Bandālī	id=g:1460189
Qōl-e Rāqōl	id=g:1460190
Shaytanah	id=g:1460191
Maktab-e Rāqōl	id=g:1460192
Kōh-e Sāy	id=g:1460193
Kalāndīār	id=g:1460194
Nowchārak	id=g:1460195
Qal‘ah-ye Tōp	id=g:1460196
Khōjahdād	id=g:1460197
Nāzōk	id=g:1460198
Zartālah-ye Shāhbāz	id=g:1460199
Darnah Jōy	id=g:1460200
Bāzār-e Bihsūd	id=g:1460201
Bihsūd	id=g:1460202
Kōtal-e Rāqōl	id=g:1460203
Chahār Burjah	id=g:1460204
Darah-ye Cheheltan	id=g:1460205
Darah-ye Sar Qōl	id=g:1460206
Qōl-e Shokōr	id=g:1460207
Gīrō Jōy	id=g:1460208
Khāk-e Āghā	id=g:1460209
Kōtal-e Nāwur Qāder	id=g:1460210
Gardan	id=g:1460211
Qal‘ah-ye Mullā	id=g:1460212
Qōl-e Nāy Qadam	id=g:1460213
Mōmar Khān	id=g:1460214
Safayd Bām	id=g:1460215
Kōh-e Seh Sarah	id=g:1460216
Qal‘ah-ye Bakhtīārī	id=g:1460217
Sorkhak Bayrānah	id=g:1460218
Sowz Derakht	id=g:1460219
Maktab-e Bādah Sīāh	id=g:1460220
Sīāh Sangak	id=g:1460221
Dasht	id=g:1460222
Shōrāb	id=g:1460223
Bāng-e Murdah	id=g:1460224
Now Qal‘ah	id=g:1460225
Būm	id=g:1460226
Qal‘ah-ye Zard Jōy	id=g:1460227
Qal‘ah-ye Khān	id=g:1460228
Bārīk	id=g:1460229
Mangasak	id=g:1460230
Kōh-e Dāmān	id=g:1460231
Kōh-e Zū	id=g:1460232
Kōh-e Rāh-e Galah	id=g:1460233
Kuhnah Qal‘ah	id=g:1460234
Dōābī	id=g:1460235
Kuhnah Būlāq	id=g:1460236
Shaniyah	id=g:1460237
Kōh-e Gīrō-ye Qōl-e Bandah	id=g:1460238
Sarāb-e Rāqōl	id=g:1460239
Kōh-e Baghulān	id=g:1460240
Kōh-e Zard Paytow	id=g:1460241
Katah Qal‘ah	id=g:1460242
Kōh-e Bādurkah	id=g:1460243
Qōl-e Ikhtiyār	id=g:1460244
Chapar Sōkhtah	id=g:1460245
Mīān Deh	id=g:1460246
Sar-e Tōp	id=g:1460247
Sabz Sangak	id=g:1460248
Qōl-e Chowlī	id=g:1460249
Qal‘ah-ye Zangī	id=g:1460250
Būm	id=g:1460251
Kōh-e Garm Būlāq	id=g:1460252
Kōh-e Nālah	id=g:1460253
Kangarān	id=g:1460254
Pījīgah	id=g:1460255
Kōh-e Shaykhak	id=g:1460256
Bangarow	id=g:1460257
Gardan	id=g:1460258
Ghaybdād	id=g:1460259
Kōh-e Zūl	id=g:1460260
Kōh-e Katah Sang	id=g:1460261
Kōtah-ye Khālay	id=g:1460262
Sulţānī	id=g:1460263
Qal‘ah-ye Khālak	id=g:1460264
Kōh-e Dabghōrak	id=g:1460265
Zard Sang	id=g:1460266
Āhangarān	id=g:1460267
Gidargū	id=g:1460268
Bāzār-e Bihsūd	id=g:1460269
Jar-e Ābtak	id=g:1460270
Jar-e Safayd Dīwār	id=g:1460271
Gardan	id=g:1460273
Darah-ye Tājīkān	id=g:1460275
Darah-ye Mārak	id=g:1460276
Sīāh Shaghalan	id=g:1460277
Qōl-e Mīrak	id=g:1460278
Dū Burjah	id=g:1460279
Dāmanah-ye Sīāh Tōb	id=g:1460280
Surkh Sang	id=g:1460281
Kōtal-e Sar Āb	id=g:1460282
Gulzār	id=g:1460283
Kōh-e Nāzuk	id=g:1460284
Nūrū’īt	id=g:1460285
Kōtah-ye Khāldār	id=g:1460286
Qal‘ah-ye Kuhnah	id=g:1460287
Qōl-e Jānābād	id=g:1460288
Kōtah-ye Bilbāz	id=g:1460289
Ōz̲h̲ay	id=g:1460290
Paytow Ghar	id=g:1460291
Gīrō	id=g:1460292
Shāhrāst	id=g:1460293
Qal‘ah-ye Wakīl	id=g:1460294
Kōh-e Āmōdād	id=g:1460295
Qāshmulkī	id=g:1460296
Kharjōy	id=g:1460297
Shōrqōbī	id=g:1460298
Spī Qal‘ah	id=g:1460299
Paytowī Āghā Jān	id=g:1460300
Kōh-e Āsmā’ī Dū	id=g:1460301
Spī Būlāq	id=g:1460302
Gīrō Rōzī	id=g:1460303
Dahān-e Qōl	id=g:1460304
Seh Kōṯah	id=g:1460305
Gumbazī	id=g:1460306
Dahān-e Ōjay	id=g:1460308
Paytow Qal‘ah	id=g:1460309
Qōl-e Abqah	id=g:1460310
Sar-e Tōb	id=g:1460311
Bughundak Qal‘ah	id=g:1460312
Panqāsh	id=g:1460313
Qāsh Kōh	id=g:1460314
Kōh-e Khaltah	id=g:1460315
Kowshak	id=g:1460316
Shaylah-ye Khayrkhānah	id=g:1460317
Kharmurdah-ye Bālā	id=g:1460318
Surkh Kōh	id=g:1460319
Kharmurdah-ye Khushk	id=g:1460320
Tar Būlāq	id=g:1460321
Ōrkah Bābā	id=g:1460322
Dasht-e Bārīkak	id=g:1460323
Bāday	id=g:1460324
Rāqōl	id=g:1460325
Azhdar	id=g:1460326
Shash Burjah	id=g:1460327
Paytāb-e Diglis	id=g:1460328
Shaylah-ye Bārīkak	id=g:1460329
Band-e Kōshah	id=g:1460330
Tapahhā-ye Pasqōl	id=g:1460331
Būlāq-Zindah	id=g:1460332
Mīān Dū Kōh	id=g:1460333
Kōh-e Espī	id=g:1460334
Būm-e Rabāt	id=g:1460335
Zard Qarkh	id=g:1460336
Band-e Dōāb	id=g:1460337
Kārēz-e Naz̧ar	id=g:1460338
Qarkh-e Sulbaynak	id=g:1460339
Tōb-e Bōlō	id=g:1460340
Tōb-e Ghārshōrah	id=g:1460341
Shaylah-ye Bayd Naz̧ar	id=g:1460342
Kōh-e Dumbālah Dār	id=g:1460343
Qarkh-e Bārīk	id=g:1460344
Kōh-e Yakhdān	id=g:1460345
Qal‘ah-ye Sang wa Surkhak-Hā	id=g:1460346
Dasht-e Awramshāh	id=g:1460347
Shaylah-ye Kārēzak	id=g:1460348
Dasht-e Qōl-Shaykh	id=g:1460349
Shaylah-ye Nigah	id=g:1460350
Dasht-e Sarshayw-e Būlāq	id=g:1460351
Band-e Bōkō	id=g:1460352
Katōk	id=g:1460353
Kōh-e Takatū	id=g:1460354
Urochishche Bumi-Rabat	id=g:1460355
Qōl-e Nūnī	id=g:1460356
Sang-e Shāndah	id=g:1460357
Qōl-e Chowlī	id=g:1460358
Zard Paytow	id=g:1460359
Kōtal-e Sī	id=g:1460360
Kōh-e Nēlū	id=g:1460361
Kōh-e Chihiltan	id=g:1460362
Kōh-e Qafcharak	id=g:1460363
Qarkh	id=g:1460364
Nāwêr Khuram	id=g:1460365
Sar-e Zērāt	id=g:1460366
Kōh-e Khār	id=g:1460367
Kōh-e Sar-e Khār	id=g:1460368
Chōchāghā	id=g:1460369
Sōkhtah Gīrō	id=g:1460370
Kōtal-e Mēnah Gī	id=g:1460371
Nāw-e MīānahGī	id=g:1460372
Nāw Bōlān	id=g:1460373
Kōtal-e Kamarak wa Qarah Qōl	id=g:1460374
Kōh-e Kadāl	id=g:1460375
Kōtal-e Lukah Sang	id=g:1460376
Nāw-e Khalţah	id=g:1460377
Nāw-e Jidā	id=g:1460378
Kōh-e Khalţah	id=g:1460379
Rīgak	id=g:1460380
Kōh-e Nāwêr-e Khuram	id=g:1460381
Gardan-e Kamarak	id=g:1460382
Kōh-e Kharqōl	id=g:1460383
Nāwah-ye Sar-e Dasht	id=g:1460384
Sōkhtah Qōl	id=g:1460385
Kōh-e Pushtah	id=g:1460386
Kōh-e Ādam Sang	id=g:1460387
Jāndād	id=g:1460388
Surkh Dehak	id=g:1460389
Kōr Sangak	id=g:1460390
Kushk	id=g:1460391
Nāy Jōy	id=g:1460392
Qabirghah	id=g:1460393
Gīrō	id=g:1460394
Pas-e Qarkh	id=g:1460395
Chowak	id=g:1460396
Nayk	id=g:1460397
Dū Pushtah	id=g:1460398
Kuhnah Qal‘ah	id=g:1460399
Nāwah-ye Nāwêr-e Khuram	id=g:1460400
Pas-e Khāk	id=g:1460401
Kamarak	id=g:1460402
Dahān-e Qōl-e Kōchak	id=g:1460403
Bandsang	id=g:1460404
Ōlangak	id=g:1460405
Shīnīah	id=g:1460406
Kōh-e Nālah	id=g:1460407
Garmak	id=g:1460408
Khwājah-Zangī	id=g:1460409
Qōl-e Chūchah	id=g:1460410
Nāy-e Shayr Aḩmad	id=g:1460411
Khurmā Qōl	id=g:1460412
Daygwār Shāndah	id=g:1460413
Qōl-e Kīldī	id=g:1460414
Dahān-e Tanōr	id=g:1460415
Kōh-e Safayd	id=g:1460416
Qōl-e Iliyās	id=g:1460417
Nāy-e Kadāl	id=g:1460418
Darah-ye Baydak	id=g:1460419
Qōl-e Amīrah	id=g:1460420
Tah Takht	id=g:1460421
Khāk Bādak	id=g:1460422
Sōkhtah	id=g:1460423
Būrghsān	id=g:1460424
Qabzār	id=g:1460425
Bīlgāw	id=g:1460426
Māqah	id=g:1460427
Kōh-e Ūchak	id=g:1460428
Dasht-e Mazār	id=g:1460429
Ūchak	id=g:1460430
Ōtahpūr	id=g:1460431
Gumāb	id=g:1460432
Surkh Tōb	id=g:1460433
Kōh-e Kharmurdah	id=g:1460434
Gardan	id=g:1460435
Jūshah	id=g:1460436
Qal‘ah-ye Tūb	id=g:1460437
Qūshūnghah Jōy	id=g:1460438
Dahān-e Gulbīnah	id=g:1460439
‘Aţā	id=g:1460440
Regak	id=g:1460441
Tūghān	id=g:1460442
Būrughsān	id=g:1460443
Sar-e Sang	id=g:1460444
Ghadakī	id=g:1460445
Shīnīah	id=g:1460446
Darah-ye Sabzak	id=g:1460447
Tah-e Nālah	id=g:1460448
Kōh-e Nālah	id=g:1460449
Gāw Murdah	id=g:1460450
Khwājah-Rowshan	id=g:1460451
Sūmūch	id=g:1460452
Būrughsān	id=g:1460453
Qal‘ah-ye Dasht	id=g:1460454
Zardqurkh	id=g:1460455
Kōh-e Rābarak	id=g:1460456
