Gainda	id=g:1506733
Focha	id=g:1506801
Stantsiya Flyus	id=g:1506802
Mys Flissingskiy	id=g:1506803
Firuli	id=g:1506804
Firstovo	id=g:1506805
Firsovskiy Kordon	id=g:1506806
Firsovskiy	id=g:1506807
Firsovo	id=g:1506808
Firsovo	id=g:1506809
Firsovo	id=g:1506810
Firsanovka	id=g:1506811
Fion	id=g:1506812
Finy	id=g:1506813
Filoshenka	id=g:1506814
Filonovo	id=g:1506815
Fil’kino	id=g:1506816
Filippovskoye	id=g:1506817
Filippovka	id=g:1506818
Filippovo	id=g:1506819
Filippovo	id=g:1506820
Filippovo	id=g:1506821
Filippov Klyuch	id=g:1506822
Filippovka	id=g:1506823
Filippovka	id=g:1506824
Proliv Filippova	id=g:1506825
Filippova	id=g:1506826
Filino	id=g:1506827
Filinsk	id=g:1506828
Filinovo	id=g:1506829
Filonovo	id=g:1506830
Filina	id=g:1506831
Filimonovskiy	id=g:1506832
Ozero Filimonovo	id=g:1506833
Filimonovo	id=g:1506834
Filimonovo	id=g:1506835
Filimonovka	id=g:1506836
Filimonova	id=g:1506837
Filatovskoye	id=g:1506838
Ozero Filatovo	id=g:1506839
Filatovo	id=g:1506840
Filatovka	id=g:1506841
Filatovka	id=g:1506842
Filatkino	id=g:1506843
Filaretikha	id=g:1506844
Mys Figurnyy	id=g:1506845
Figuristyye Belki	id=g:1506846
Gora Figuristyy Belok	id=g:1506847
Fetisova	id=g:1506848
Fes’ki	id=g:1506849
Ostanovochnyy Punkt Ferma	id=g:1506850
Ferma	id=g:1506851
Skala Ferbanksa	id=g:1506852
Mys Ferbanks	id=g:1506853
Feoktistovka	id=g:1506854
Fëklino	id=g:1506855
Fadyushino	id=g:1506856
Fedulki	id=g:1506857
Fedulenkov Zavodchik	id=g:1506858
Fedotovskiy	id=g:1506859
Fedotovskaya	id=g:1506860
Fedotova Zaimka	id=g:1506861
Fedotova	id=g:1506862
Fedos’yevka	id=g:1506863
Sovkhoz Fedosovskiy	id=g:1506864
Ozero Fedosovo	id=g:1506865
Fedosovo	id=g:1506866
Fedosova	id=g:1506867
Fedosova	id=g:1506868
Fedoska	id=g:1506869
Fedosikha	id=g:1506870
Fedoseyevka	id=g:1506871
Fedoseyevka	id=g:1506872
Fedoseyevka	id=g:1506873
Fedoseyeva	id=g:1506874
Fëdorovskiy	id=g:1506875
Fëdorovskiy	id=g:1506876
Fëdorovskiy	id=g:1506877
Fëdorovskiy	id=g:1506878
Fedorovka	id=g:1506879
Fëdorovka	id=g:1506880
Fëdorovka	id=g:1506881
Fëdorovka	id=g:1506882
Fëdorovka	id=g:1506883
Fëdorovka	id=g:1506884
Fëdorovka	id=g:1506885
Fëdorovka	id=g:1506886
Fëdorovka	id=g:1506887
Fëdorovka	id=g:1506888
Fëdorovka	id=g:1506889
Fëdorovka	id=g:1506890
Fëdorovka	id=g:1506891
Fëdorovka	id=g:1506892
Razvaliny Fëdorovka	id=g:1506893
Fëdorov	id=g:1506894
Fedorayevka	id=g:1506895
Fed’kovka	id=g:1506896
Fedino	id=g:1506897
Fat'yanikha	id=g:1506898
Ozero Fateyevskoye	id=g:1506899
Fateyevo	id=g:1506900
Farkovo	id=g:1506901
Fanachet	id=g:1506902
Fanachet	id=g:1506903
Falina	id=g:1506904
Falileyevskiy	id=g:1506905
Falileyevskaya	id=g:1506906
Fakel Sotsializma	id=g:1506907
Fakel Revolyutsii	id=g:1506908
Fadyushina	id=g:1506909
Fad'yukuda	id=g:1506910
Fadino	id=g:1506911
Ozero Fadikha	id=g:1506912
Fadeyevskiy	id=g:1506913
Fadeyeva Krivulya	id=g:1506914
Fabrichnoye	id=g:1506915
Fabrichnoye	id=g:1506916
Ezhim	id=g:1506917
Ezelova	id=g:1506918
Ezel’-Chvor	id=g:1506919
Eylig-Khem	id=g:1506920
Eylig-Khem	id=g:1506921
Evenkiyskiy District	id=g:1506922
Etropavla	id=g:1506923
Etogol	id=g:1506924
Etlym-Yëgan	id=g:1506925
Etimganova	id=g:1506926
Estonsko-Semënovskiy	id=g:1506927
Estoniya	id=g:1506928
Estoniya	id=g:1506929
Estoniya	id=g:1506930
Kordon Essunt	id=g:1506931
Ess	id=g:1506932
Ozero Eskalby	id=g:1506933
Eskalby	id=g:1506934
Ozero Esan-To	id=g:1506935
Erzinskiy Rayon	id=g:1506936
Erzin	id=g:1506937
Erzin	id=g:1506938
Erzhey	id=g:1506939
Erzhek	id=g:1506940
Ozero Eri-Kul’	id=g:1506941
Ozero Ergipskiy Sor	id=g:1506942
Ergi-Barlyk	id=g:1506943
Gora Ered-Under	id=g:1506944
Erbek	id=g:1506945
Erbek	id=g:1506946
Yabtarmayakha	id=g:1506947
Ozero Epekli	id=g:1506948
Entl’-Imi-Yagun	id=g:1506949
Entl’-Gun”ëgan	id=g:1506950
Engel’dinka	id=g:1506951
Ozero Enetor	id=g:1506952
Kolkhoz Energiya	id=g:1506953
Ozero Ende	id=g:1506954
Ende	id=g:1506955
Enbekshi-Kazakh	id=g:1506956
Enbekshi-Kazakh	id=g:1506957
Emi	id=g:1506958
Emi	id=g:1506959
Ozero Emgen-Khol’	id=g:1506960
Elita	id=g:1506961
Elekmonar	id=g:1506962
Elekem	id=g:1506963
Elegest	id=g:1506964
Elegest	id=g:1506965
Eldig-Khem	id=g:1506966
El’-Bazhi	id=g:1506967
Ekstezer’ye	id=g:1506968
Ozero Ekmutovo	id=g:1506969
Bukhta Eklips	id=g:1506970
Banka Eklips	id=g:1506971
Ek-Khem	id=g:1506972
Ekhtal’	id=g:1506973
Ekerbak	id=g:1506974
Egerbash	id=g:1506975
Edynde	id=g:1506976
Edygemskaya	id=g:1506977
Mys Edvard	id=g:1506978
Ozero Edirkey	id=g:1506979
Ederbes	id=g:1506980
Eden	id=g:1506981
Ebudor	id=g:1506982
Ozero Ebeyty	id=g:1506983
Ebargul’	id=g:1506984
Dzun-Khemchikskiy Rayon	id=g:1506985
Dzos	id=g:1506986
Dzhuruntay	id=g:1506987
Dzhurala	id=g:1506988
Ozero Dzhuny-Kul’	id=g:1506989
Dzhumatay	id=g:1506991
Dzhumaly	id=g:1506992
Ozero Dzhulu-Kul’	id=g:1506993
Dzhuglymskiy Khrebet	id=g:1506994
Dzhuglym	id=g:1506995
Dzhugayaka	id=g:1506996
Dzhoyskiy Porog	id=g:1506997
Dzhoyskiy Khrebet	id=g:1506998
Dzhoy	id=g:1506999
Dzhogino	id=g:1507000
Dzhizhiva	id=g:1507001
Ozero Dzhiry	id=g:1507002
Dzhirim	id=g:1507003
Dzhirim	id=g:1507004
Dzhirim	id=g:1507005
Dzhezlyk	id=g:1507006
Dzhotka	id=g:1507007
Dzhep	id=g:1507008
Gora Dzhentanda	id=g:1507009
Dzhelsay	id=g:1507010
Gora Dzhelandzha	id=g:1507011
Ozero Zhylandy	id=g:1507012
Ostrov Dzhekmana	id=g:1507013
Dzhegde	id=g:1507014
Dzhebskiy Most	id=g:1507015
Dzhebashskiy Khrebet	id=g:1507016
Dzhebash	id=g:1507017
Dzheb'	id=g:1507018
Dzhazator	id=g:1507019
Dzhazator	id=g:1507020
Dzhazalych-Khem	id=g:1507021
Dzhasay	id=g:1507022
Dzhartargul’	id=g:1507023
Dzharabutak	id=g:1507024
Dzhanyspay	id=g:1507025
Zhangyzagash	id=g:1507026
Dzhangy	id=g:1507027
Ozero Dzhan-Giz	id=g:1507028
Dzhonkhilik	id=g:1507029
Dzhana-Talap	id=g:1507030
Dzhanabay	id=g:1507031
Dzhaltul	id=g:1507032
Gora Dzhakul’	id=g:1507033
Dzhabash	id=g:1507034
Dzerzhinskoye	id=g:1507035
Mys Dzerzhinskogo	id=g:1507036
Dzerzhinskiy Rayon	id=g:1507037
Dzerzhinskiy Rayon	id=g:1507038
Sovkhoz Dzerzhinskiy	id=g:1507039
Dzaygal Gol	id=g:1507040
Dyusenkin Aul	id=g:1507042
Dyusembay	id=g:1507043
Dyupkunbiran	id=g:1507044
Ozero Dyupkun	id=g:1507045
Ozero Dyupkun	id=g:1507046
Dyupkoshen	id=g:1507047
Dyundaka	id=g:1507048
Ozero Dynda	id=g:1507049
Dynda	id=g:1507050
Dymkovskoye	id=g:1507051
D’yektiyek	id=g:1507052
Dyatlovka	id=g:1507053
Dyamadylya	id=g:1507054
Dyalingda	id=g:1507055
Dyalingda	id=g:1507056
Dyagilevka	id=g:1507057
Dvurechenskiy	id=g:1507058
Dvurechensk	id=g:1507059
Dvukhrech’ye	id=g:1507060
Dvukhozërnaya	id=g:1507061
Mys Dvukh Medvedey	id=g:1507062
Bukhta Dvukh Chumov	id=g:1507063
Dvoyeust'ye	id=g:1507064
Dvoychaga	id=g:1507065
Dvoryanskiy	id=g:1507066
Dvortsy	id=g:1507067
Dvorskoye	id=g:1507068
Dvornikovo	id=g:1507069
Dvornikova	id=g:1507070
Dvorets	id=g:1507071
Dvinyanskiy	id=g:1507072
Dvinskaya	id=g:1507073
Dvinka	id=g:1507074
Dvenadtsat’ Let Oktyabrya	id=g:1507075
Sovkhoz Dvadtsat’ Pyat’ Let RKKA	id=g:1507076
Dvadtsat’ Let Oktyabrya	id=g:1507077
Duvanovka	id=g:1507078
Duvankul’	id=g:1507079
Duvanka	id=g:1507080
Ozero Dushnoye	id=g:1507081
Durovka	id=g:1507082
Durnovo	id=g:1507083
Durnovo	id=g:1507084
Durnovka	id=g:1507085
Durnitsa	id=g:1507086
Durnaya	id=g:1507087
Durgomzha	id=g:1507088
Durgen	id=g:1507089
Durbet	id=g:1507090
Duranino	id=g:1507091
Durandino	id=g:1507092
Durakova	id=g:1507093
Sovkhoz Duplenskiy	id=g:1507094
Duplenskiy	id=g:1507095
Duplenskaya	id=g:1507096
Dunino	id=g:1507097
Dundino	id=g:1507098
Dundikha	id=g:1507099
Dunayevo	id=g:1507100
Dunayevo	id=g:1507101
Dunayeva	id=g:1507102
Ozero Dunay	id=g:1507103
Dunay	id=g:1507104
Dumchevo	id=g:1507105
Dulisma	id=g:1507106
Dulino	id=g:1507107
Duleshma	id=g:1507108
Dukhovka	id=g:1507110
Dukhovaya	id=g:1507111
Dukhovaya	id=g:1507112
Vozvyshennost' Dugo	id=g:1507113
Dudypta	id=g:1507114
Dudinka	id=g:1507115
Dudinka	id=g:1507116
Dudet	id=g:1507117
Dudarevo	id=g:1507118
Dubskaya	id=g:1507119
Stantsiya Dubrovskiy	id=g:1507120
Dubrovskiy	id=g:1507121
Dubrovskiy	id=g:1507122
Dubrovskiy	id=g:1507123
Dubrovskiy	id=g:1507124
Dubrovskiy	id=g:1507125
Dubrovo	id=g:1507126
Dubrovo	id=g:1507127
Dubrovnoye	id=g:1507128
Dubrovnoye	id=g:1507129
Dubrovnoye	id=g:1507130
Dubravnaya	id=g:1507131
Dubrovnoye	id=g:1507132
Dubrovka	id=g:1507133
Dubrovka	id=g:1507134
Dubrovka	id=g:1507135
Dubrovka	id=g:1507136
Urochishche Dubovka	id=g:1507137
Dubrovka	id=g:1507138
Dubrovka	id=g:1507139
Dubrovka	id=g:1507140
Dubrovka	id=g:1507141
Dubrovka	id=g:1507142
Dubrovka	id=g:1507143
Dubrovka	id=g:1507144
Dubrovka	id=g:1507145
Dubrovka	id=g:1507146
Dubrovka	id=g:1507147
Dubrovka	id=g:1507148
Sovkhoz Dubrovinskiy	id=g:1507149
Dubrovinskiy	id=g:1507150
Dubrovino	id=g:1507151
Dubrovino	id=g:1507152
Dubrovina	id=g:1507153
Dubrovino	id=g:1507154
Dubrovino	id=g:1507155
Dubrovino	id=g:1507156
Dubrovino	id=g:1507157
Dubrovina	id=g:1507158
Dubrova	id=g:1507159
Dubrova	id=g:1507160
Dubrova	id=g:1507161
Dubrova	id=g:1507162
Dubravnaya	id=g:1507163
Dubrava	id=g:1507164
Dubrava	id=g:1507165
Dubrava	id=g:1507166
Dubovka	id=g:1507167
Mys Dubinskogo	id=g:1507168
Dubinskiy	id=g:1507169
Dubino	id=g:1507170
Dubinkinskiy	id=g:1507171
Dubinino	id=g:1507172
Dubenskoye	id=g:1507173
Dubenskiy	id=g:1507174
Dubechnyanskiy	id=g:1507175
Dubches	id=g:1507176
Dubasovskoye	id=g:1507177
Dubasova	id=g:1507178
Duanovka	id=g:1507179
Dryannovo	id=g:1507180
Dryagunova	id=g:1507181
Druzhnyy	id=g:1507182
Druzhnyy	id=g:1507183
Druzhnyy	id=g:1507184
Druzhnaya	id=g:1507185
Druzhnyy	id=g:1507186
Druzhino	id=g:1507187
Urochishche Druzhinino	id=g:1507188
Druzhinino	id=g:1507189
Druzhinina	id=g:1507190
Sovkhoz Druzhba	id=g:1507191
Kolkhoz Druzhba	id=g:1507192
Druzhba Kolkhoz	id=g:1507193
Druzhba Kolkhoz	id=g:1507194
Kolkhoz Druzhba	id=g:1507195
Kolkhoz Druzhba	id=g:1507196
Druzhba	id=g:1507197
Druganovo	id=g:1507198
Drozdovskiy	id=g:1507199
Ozero Drozdovo	id=g:1507200
Mys Drovyanoy	id=g:1507201
Mys Drovyanoy	id=g:1507202
Drovyanoy	id=g:1507203
Dronova	id=g:1507204
Drokino	id=g:1507205
Drobyshëvo	id=g:1507206
Drobyshevo	id=g:1507207
Shchebzavod	id=g:1507208
Drezgovityy	id=g:1507209
Dresvyanka	id=g:1507210
Dresvyanka	id=g:1507211
Dresvyanka	id=g:1507212
Dresvyanka	id=g:1507213
Drazhny-Tayly	id=g:1507214
Drankova	id=g:1507215
Stantsiya Dragunskaya	id=g:1507216
Dragunka	id=g:1507217
Drachenino	id=g:1507218
Ozero Dozor-Nur	id=g:1507219
Dovol’noye	id=g:1507220
Dovolenskiy Rayon	id=g:1507221
Sovkhoz Dovolenskiy	id=g:1507222
Sovkhoz Dovolenskiy	id=g:1507223
Solontsovoye	id=g:1507224
Dotot	id=g:1507225
Dostsin	id=g:1507226
Doskul	id=g:1507227
Dosino	id=g:1507228
Dosay	id=g:1507229
Ozero Dorug-Khol’	id=g:1507230
Dorozhnyy	id=g:1507231
Dorozhnyy	id=g:1507232
Ozero Dorozhnoye	id=g:1507233
Dorovskikh	id=g:1507234
Sovkhoz Doroninskiy	id=g:1507235
Doronino	id=g:1507236
Doronina	id=g:1507237
Dorokhovo	id=g:1507238
Dorogino	id=g:1507239
Dorogina Zaimka	id=g:1507240
Mys Dorofeyevskiy	id=g:1507241
Dorofeyevsk	id=g:1507242
Ozero Dora-Kul’	id=g:1507243
Don-Terezin	id=g:1507244
Donskaya	id=g:1507245
Donskaya	id=g:1507246
Donovka	id=g:1507247
Donovo	id=g:1507248
Donok	id=g:1507249
Donnikova	id=g:1507250
Donki	id=g:1507251
Sovkhoz Donguzlovskiy	id=g:1507252
Khrebet Dongul-Tayga	id=g:1507253
Domozhirova	id=g:1507254
Domozharovo	id=g:1507255
Domozhakov	id=g:1507256
Domnino	id=g:1507257
Dombay	id=g:1507258
Ostrov Domashniy	id=g:1507259
Ozero Domashneye	id=g:1507260
Ozero Domashneye	id=g:1507261
Dolzhenkovo	id=g:1507262
Doloon Höshig Uul	id=g:1507263
Dolmatovo	id=g:1507264
Dolmatova	id=g:1507265
Dolino-Chernavka	id=g:1507266
Dolino	id=g:1507267
Dolinnyy	id=g:1507268
Dolgushino	id=g:1507269
Dolgushino	id=g:1507270
Dolgoye Plëso	id=g:1507271
Ozero Dolgoye	id=g:1507272
Ozero Dolgoye	id=g:1507273
Ozero Dolgoye	id=g:1507274
Ozero Dolgoye	id=g:1507275
Ozero Dolgoye	id=g:1507276
Ozero Dolgoye	id=g:1507277
Ozero Dolgoye	id=g:1507278
Ozero Dolgoye	id=g:1507279
Ozero Dolgoye	id=g:1507280
Dolgiye Ozëra	id=g:1507281
Ozero Dolgoye	id=g:1507282
Ozero Dolgoye	id=g:1507283
Ozero Dolgoye	id=g:1507284
Ozero Bol’shoye Dolgoye	id=g:1507285
Ozero Dolgoye	id=g:1507286
Dolgiye	id=g:1507287
Dolgovka	id=g:1507288
Dolgovskiy	id=g:1507289
Dolgovskiy	id=g:1507290
Dolgovo	id=g:1507291
Dolgovo	id=g:1507292
Dolgovki	id=g:1507293
Dolgovka	id=g:1507294
Dolgoun	id=g:1507295
Dolgoun	id=g:1507296
Dolgopolovo	id=g:1507297
Dolgoozernaya	id=g:1507298
Dolgonochet	id=g:1507299
Dolgoderevenskoye	id=g:1507300
Dolgiy Most	id=g:1507301
Dolgiy Klyuch	id=g:1507302
Ostrova Dolgiye	id=g:1507303
Ostrov Dolgiy	id=g:1507304
Dolgiy	id=g:1507305
Dolgiy	id=g:1507306
Dolgiy	id=g:1507307
Dolgina	id=g:1507308
Ostrova Dolgikh	id=g:1507309
Ozero Dolgen’koye	id=g:1507310
Dolgaya Kur’ya	id=g:1507311
Dolgaya Griva	id=g:1507312
Dolgaya	id=g:1507313
Dolgaya	id=g:1507314
Dolgaya	id=g:1507315
Dolgovskoye	id=g:1507316
Dolgany	id=g:1507317
Dolganovka	id=g:1507318
Dolganka	id=g:1507319
Dokuchayevka	id=g:1507320
Dogal'da	id=g:1507321
Ostanovochnyy Punkt Dogadayevo	id=g:1507322
Dodonovo	id=g:1507323
Dodo-Dibi	id=g:1507324
Dobryy Put’	id=g:1507325
Dobryy Klyuch	id=g:1507326
Dobryy	id=g:1507327
Dobrynina	id=g:1507328
Dobryakovka	id=g:1507329
Dobrushka	id=g:1507330
Dobroye Pole	id=g:1507331
Dobrovka	id=g:1507332
Dobrovol’sk	id=g:1507333
Sovkhoz Dobrovol’skiy	id=g:1507334
Dobrovol’skiy	id=g:1507335
Dobrovol’sk	id=g:1507336
Dobrovol’shchina	id=g:1507337
Dobrovol'noye	id=g:1507338
Dobrovol’ka	id=g:1507339
Dobrovolets	id=g:1507340
Dobromyslovskiy	id=g:1507341
Dobrinskiy	id=g:1507342
Dobrino	id=g:1507343
Dobrinka	id=g:1507344
Dobrinka	id=g:1507345
Razvaliny Dobraya	id=g:1507346
Dneprovskiy	id=g:1507347
Dmitrovka	id=g:1507348
Dmitro-Titovo	id=g:1507349
Dmitriyevka	id=g:1507350
Sovkhoz Dmitriyevskiy	id=g:1507351
Dmitriyevskiy	id=g:1507352
Dmitriyevskiy	id=g:1507353
Urochishche Dmitriyevka	id=g:1507354
Dmitriyevskiy	id=g:1507355
Dmitriyevskiy	id=g:1507356
Dmitriyevskiy	id=g:1507357
Dmitriyevka	id=g:1507358
Dmitriyevka	id=g:1507359
Dmitriyevka	id=g:1507360
Dmitriyevka	id=g:1507361
Dmitriyevka	id=g:1507362
Dmitriyevka	id=g:1507363
Dmitriyevka	id=g:1507364
Dmitriyevka	id=g:1507365
Dmitriyevka	id=g:1507366
Dmitriyevka	id=g:1507367
Dmitriyevka	id=g:1507368
Dmitriyevka	id=g:1507369
Dmitriyevka	id=g:1507370
Dmitriyevka	id=g:1507371
Dmitriyevka	id=g:1507372
Dmitriyevka	id=g:1507373
Dmitriyevka	id=g:1507374
Dmitrina	id=g:1507375
Ostrov Dlinnyy	id=g:1507376
Ozero Dlinnoye	id=g:1507377
Dizo	id=g:1507378
Divnogorsk	id=g:1507379
Divinskiy	id=g:1507380
Divinka	id=g:1507381
Ozero Ditënok	id=g:1507382
Dimitriyevka	id=g:1507383
Diksonskiy Rayon	id=g:1507384
Reyd Dikson	id=g:1507385
Ostrov Dikson	id=g:1507386
Mys Dikson	id=g:1507387
Gavan' Dikson	id=g:1507388
Bukhta Dikson	id=g:1507389
Dikson	id=g:1507390
Ozero Dikoye	id=g:1507391
Ozero Dikoye	id=g:1507392
Ozero Dikoye	id=g:1507393
Ozero Dikoye	id=g:1507394
Ozero Dikovskoye	id=g:1507395
Skala Dikiy Kamen'	id=g:1507396
Khrebet Dikiy	id=g:1507397
Dedyuyevo	id=g:1507398
Dibi	id=g:1507399
Dianovo	id=g:1507400
Ostrova Diabazovyye	id=g:1507401
Dezhurnyy	id=g:1507402
Lednik Dezhnëva	id=g:1507403
Deyevo	id=g:1507404
Deyanova	id=g:1507405
Devyatoye Maya	id=g:1507406
Devyatkovo	id=g:1507407
Devyatirekovka	id=g:1507408
Devyashina	id=g:1507409
Devkino	id=g:1507410
Devino	id=g:1507411
Mys De-Fera	id=g:1507412
Detu-Yakha	id=g:1507413
Detlovo	id=g:1507414
Desyatyy Oktyabr’	id=g:1507415
Desyatovo	id=g:1507416
Desyat’ Let Oktyabrya	id=g:1507417
Desyatka	id=g:1507418
Desyataya	id=g:1507419
Despodzinovka	id=g:1507420
Despen	id=g:1507421
Dëshima	id=g:1507422
Dëshima	id=g:1507423
Derzig-Aksy	id=g:1507424
Derzig	id=g:1507425
Deryabino	id=g:1507426
Deryabino	id=g:1507427
Derney	id=g:1507428
Ozero Deri-Kul’	id=g:1507429
Derguno	id=g:1507430
Dergausovo	id=g:1507431
Ostrov Derevyannyy	id=g:1507432
Derevyannaya	id=g:1507433
Derevushka	id=g:1507434
Dereshëvo	id=g:1507435
Derbisheva	id=g:1507436
Dërbino	id=g:1507437
Dërbina	id=g:1507438
Deptumala	id=g:1507440
Dën-Terek	id=g:1507441
Denisovo	id=g:1507442
Denisovo	id=g:1507443
Denisovka	id=g:1507444
Denisovka	id=g:1507445
Denisovka	id=g:1507446
Razvaliny Denisovo	id=g:1507447
Denisovo	id=g:1507448
Denisova	id=g:1507449
Denisovo	id=g:1507450
Ozero Den’gino	id=g:1507451
Den’gino	id=g:1507452
Denezhkino	id=g:1507453
Denezhkino	id=g:1507454
Dem’yanskoye	id=g:1507455
Dem’yanskoye	id=g:1507456
Dem’yanovskaya	id=g:1507457
Dem'yanovka	id=g:1507458
Dem’yanovka	id=g:1507459
Dem’yanovka	id=g:1507460
Dem’yanka	id=g:1507461
Dem’yanka	id=g:1507462
Ostrova Dem'yana Bednogo	id=g:1507463
Ozero Demkino	id=g:1507464
Demirzhi	id=g:1507465
Demir-Sug	id=g:1507466
Dëmino	id=g:1507467
Dëmina	id=g:1507468
Dëmino	id=g:1507469
Demidovka	id=g:1507470
Demidovka	id=g:1507471
Demidovka	id=g:1507472
Demidova	id=g:1507473
Demido-Karpovskiy	id=g:1507474
Dement'yevka	id=g:1507475
Demarino	id=g:1507476
Deltula	id=g:1507477
Delovaya Dubrava	id=g:1507478
Delingiye	id=g:1507479
Delingde	id=g:1507480
Delinda	id=g:1507481
Gora Delimo	id=g:1507482
Deleg-Khol’	id=g:1507483
Poluostrov De-Kolonga	id=g:1507484
Mys De-Kolonga	id=g:1507485
Dekhanovka	id=g:1507486
Dekabristy	id=g:1507487
Degtyarsk	id=g:1507488
Degtyarka	id=g:1507489
Degtyarka	id=g:1507490
Degtyarka	id=g:1507491
Degen	id=g:1507492
Degali	id=g:1507493
Urochishche Dedyukhino	id=g:1507494
Dedyukhina	id=g:1507495
Porog Dedushkin	id=g:1507496
Porog Dedushka	id=g:1507497
Dedovskaya	id=g:1507498
Dede-Balakta	id=g:1507499
Skala Ded	id=g:1507500
Sovkhoz Davydovskiy	id=g:1507501
Davydovskiy	id=g:1507502
Davydovskiy	id=g:1507503
Davydovka	id=g:1507504
Davydovka	id=g:1507505
Davydovka	id=g:1507506
Davydovo	id=g:1507507
Davydova	id=g:1507508
Davydova	id=g:1507509
Davydovo	id=g:1507510
Davydkova	id=g:1507511
Davydkovo	id=g:1507512
Davletbayeva	id=g:1507513
Ozero Davlenkol’	id=g:1507514
Davalakit	id=g:1507515
Ozero Dautovo	id=g:1507516
Dautovo	id=g:1507517
Dautova	id=g:1507518
Daurskoye	id=g:1507519
Daurskiy	id=g:1507520
Daurovka	id=g:1507521
Daur	id=g:1507522
Daugovskaya	id=g:1507523
Ostrov Dauesa	id=g:1507524
Datykta	id=g:1507525
Khrebet Dashtyg-Art	id=g:1507526
Ozero Dashkino	id=g:1507527
Darvino	id=g:1507528
Darko-Gorshkovskiy	id=g:1507529
Urochishche Darger	id=g:1507530
Dan’sha	id=g:1507531
Ozero Dankovo	id=g:1507532
Dankovka	id=g:1507533
Dan’kovo	id=g:1507534
Dan’kova	id=g:1507535
Danilovskiy	id=g:1507536
Danilovskiy	id=g:1507537
Danilovskiy	id=g:1507538
Danilovskaya	id=g:1507539
Danilovka	id=g:1507540
Danilovka	id=g:1507541
Danilovka	id=g:1507542
Danilovka	id=g:1507543
Danilovka	id=g:1507544
Urochishche Danilkina Vilka	id=g:1507545
Danilki	id=g:1507546
Dal’nyy Yar	id=g:1507547
Dal’nyaya Polyana	id=g:1507548
Dal’nyaya Kubasova	id=g:1507549
Dal’nyaya Chundzhel’ka	id=g:1507550
Dal’no-Malinovka	id=g:1507551
Dal’niy Zakharovskiy	id=g:1507552
Vozvyshennost’ Dal’niy Kamen’	id=g:1507553
Dal’niye Pes’yany	id=g:1507554
Ostrov Dal'niy	id=g:1507555
Mys Dal’niy	id=g:1507556
Dal’niy	id=g:1507557
Dal'niy	id=g:1507558
Dal’niy	id=g:1507559
Dal’niy	id=g:1507560
Dal’neye	id=g:1507561
Dal’netravnoye	id=g:1507562
Dal’ne-Surazovo	id=g:1507563
Dalmatovskiy Rayon	id=g:1507564
Dalmatovo	id=g:1507565
Dalimches	id=g:1507566
Mys Dalëkiy	id=g:1507567
Mys Dalëkiy	id=g:1507568
Dalay Otrez	id=g:1507569
Dalay	id=g:1507570
Dakit	id=g:1507571
Pereval Dada-Daban	id=g:1507572
Ozero Dada	id=g:1507573
Dachnyy	id=g:1507574
Dachnyy	id=g:1507575
Dacha	id=g:1507576
Dabusutu Somon	id=g:1507577
Chyrgaky	id=g:1507578
Chyrgaky	id=g:1507579
Chyraa-Bazhy	id=g:1507580
Ozero Chvor	id=g:1507581
Chuzik	id=g:1507582
Chuyskiy	id=g:1507583
Chuyskaya Step’	id=g:1507584
Chuykovskiy	id=g:1507586
