Plav	id=g:509074
Zabolot’ye	id=g:619479
Zabolot’ye	id=g:619480
Zabolot’ye	id=g:619481
Zabolot’ye	id=g:619482
Zabolot’ye	id=g:619483
Zabolots’	id=g:619484
Stantsiya Zabolotinka	id=g:619485
Zabolot’	id=g:619486
Zabolot’	id=g:619487
Zabolot’	id=g:619488
Zabolot’	id=g:619489
Zabolochanka	id=g:619490
Zablots’	id=g:619491
Zablot’	id=g:619492
Zabin’ye	id=g:619493
Zabichany	id=g:619494
Zaberezh’	id=g:619495
Zabelyshin	id=g:619496
Zabel’ye	id=g:619497
Zabel’ye	id=g:619498
Zabegi	id=g:619499
Zabavy	id=g:619500
Zabashevka	id=g:619501
Zabashevichi	id=g:619502
Zabab’ye	id=g:619503
Yuzhnoye Belishchino	id=g:619504
Yuzefovo	id=g:619505
Yuzefovo	id=g:619506
Yuzefovka	id=g:619507
Yuzefino	id=g:619508
Yuzefin	id=g:619509
Yuzefatovo	id=g:619510
Yutsuny	id=g:619511
Yutski	id=g:619512
Yushkovo	id=g:619513
Yushkovichi	id=g:619514
Yushkovichi	id=g:619515
Yushkovichi	id=g:619516
Stantsiya Yushki	id=g:619517
Yushkevichi	id=g:619518
Yushkevichi	id=g:619519
Yushevichi	id=g:619520
Yurzdyka	id=g:619521
Yuryzdytskaya	id=g:619522
Yur’yevo	id=g:619523
Stantsiya Yurtsevo	id=g:619524
Yurtsevo	id=g:619525
Yurovka	id=g:619526
Yurovichi	id=g:619527
Yurkovshchina	id=g:619528
Yurkovichi	id=g:619529
Yurkovichi	id=g:619530
Yurki	id=g:619531
Yurkevichi	id=g:619532
Yurevichi	id=g:619533
Yurevichi	id=g:619534
Yurevichi	id=g:619535
Yurevichi	id=g:619536
Yurevichi	id=g:619537
Yuratsishki	id=g:619538
Stantsiya Yuratishki	id=g:619539
Yurany	id=g:619540
Yunyy Pakhar’	id=g:619541
Yuntsevshchina	id=g:619542
Yuntseviche	id=g:619543
Yunoshevo	id=g:619544
Yunki	id=g:619545
Yunishche	id=g:619546
Yundzily	id=g:619547
Yukhovichi	id=g:619548
Yukhnovka	id=g:619549
Stantsyya Yukhnavichy	id=g:619550
Yukhnovichi	id=g:619551
Yukhnovichi	id=g:619552
Yukhnavichy	id=g:619553
Yugo-Nikol’skiy	id=g:619554
Yudino	id=g:619555
Yudichi	id=g:619556
Ozero Yezerishche	id=g:619557
Yezva	id=g:619558
Yezuvka	id=g:619559
