Gilroy Community Day School	id=g:7237700
Floyd Paxton School	id=g:7237861
Little Mountain Elementary School	id=g:7237862
Kulshan Middle School	id=g:7237863
Northwest Educational Services District 189 Office	id=g:7237864
Lakewood Middle School	id=g:7237865
Ocosta School District 172 Office	id=g:7237866
Port Angeles School District 121 Office	id=g:7237867
Kitsap Lake Elementary School	id=g:7237868
Home Port Learning Center	id=g:7237869
Gold Bar Elementary School	id=g:7237870
Quillayute Valley School District 402 Office	id=g:7237871
Arlington School District 16 Office	id=g:7237872
Ten Mile Creek Elementary School	id=g:7237873
Martin Center	id=g:7237874
Waldron Island School	id=g:7237875
Kent Prairie Elementary School	id=g:7237876
Sedro - Woolley School District 101 Office	id=g:7237877
Lynden School District 504 Office	id=g:7237878
Sequim Adventist School	id=g:7237879
Explorations Academy	id=g:7237880
Bible Baptist Church School	id=g:7237881
Sultan Senior High School	id=g:7237882
Allen Elementary School	id=g:7237883
South Whidbey School District 206 Office	id=g:7237884
Isom Elementary School	id=g:7237885
Squalicum High School	id=g:7237886
Meridian School District Office	id=g:7237887
District Run Home School	id=g:7237888
Sequim Community School	id=g:7237889
Lincoln Academy	id=g:7237890
Decatur Island Schools	id=g:7237891
Bernice Vossbeck Elementary School	id=g:7237892
Concrete Middle School	id=g:7237893
Montesano School District 66 Office	id=g:7237894
Lakewood Elementary School	id=g:7237895
State Street High School	id=g:7237896
Timber Ridge Center	id=g:7237897
Stuart Island Elementary School	id=g:7237898
Sky Valley Options High School	id=g:7237899
Cougar Creek Elementary School	id=g:7237900
Cascadia Elementary School	id=g:7237901
Whatcom Community College	id=g:7237902
Wade King Elementary School	id=g:7237903
Northern Heights Elementary School	id=g:7237904
North Beach School District 64 Office	id=g:7237905
Lake Quinault High School	id=g:7237906
Quinault Lake School District 97 Office	id=g:7237907
Satsop School District 104 Office	id=g:7237908
Elma School District 68 Office	id=g:7237909
Oakville School District Office	id=g:7237910
McCleary School District 065 Office	id=g:7237911
Olympic Christian School - Junior and Senior High School Campus	id=g:7237912
Chimacum Creek Primary School	id=g:7237913
Port Townsend School District 50 Office	id=g:7237914
Olympic Range Carden Academy	id=g:7237915
Coupeville School District 204 Office	id=g:7237916
Midway School	id=g:7237917
Der Kinderhuis Montessori School	id=g:7237918
Utsalady Elementary School	id=g:7237919
Elger Bay Elementary School	id=g:7237920
Bremerton School District 100 Office	id=g:7237921
Whidbey Island Academy	id=g:7237922
Veterans Affairs Puget Sound Health Care System Medical Center	id=g:7237923
The Regional Hospital for Respiratory and Complex Care	id=g:7237924
City of Richmond SouthsideTransfer Station	id=g:7237925
Hanover US Highway 301 Solid Waste Service Center	id=g:7237926
Harborton Solid Waste Receiving Facility	id=g:7237927
Southeastern Public Service Authority Boykins Transfer Station	id=g:7237928
Southeastern Public Service Authority Chesapeake Transfer Station	id=g:7237929
Southeastern Public Service Authority Consolidated Yard Waste Facility	id=g:7237930
Southeastern Public Service Authority Franklin Transfer Station	id=g:7237931
Southeastern Public Service Authority Isle of Wight Transfer Station	id=g:7237932
Southeastern Public Service Authority Ivor Transfer Station	id=g:7237933
Southeastern Public Service Authority Norfolk Transfer Station	id=g:7237934
Southeastern Public Service Authority Oceana Transfer Station	id=g:7237935
Virginia Peninsula Public Service Authority York County Transfer Station	id=g:7237936
Westmoreland County Montross Transfer Station	id=g:7237937
Lewis Conor Park	id=g:7237938
J 29 A Lateral	id=g:7237939
J 27 F Waste Pipeline	id=g:7237940
J 27 I Lateral	id=g:7237941
J 27 I Pipeline	id=g:7237942
J 27 J Lateral	id=g:7237943
J 27 M Lateral	id=g:7237944
J 27 N Lateral	id=g:7237945
J 27 O Lateral	id=g:7237946
J 27 Pipeline	id=g:7237947
J 27 R Lateral	id=g:7237948
J 28 Pipeline	id=g:7237949
J 32 B Lateral	id=g:7237950
J 32 D Lateral	id=g:7237951
J 32 E Lateral	id=g:7237952
J 32 G Lateral	id=g:7237953
J 32 H Lateral	id=g:7237954
J 32 I Lateral	id=g:7237955
J 33 A Lateral	id=g:7237956
J 34 Lateral	id=g:7237957
J 35 Lateral	id=g:7237958
J 36 Drain	id=g:7237959
J 36 Lateral	id=g:7237960
J 36 Pipeline	id=g:7237961
J 37 Pipeline	id=g:7237962
J 38 Lateral	id=g:7237963
J 39 Lateral	id=g:7237964
J 40 Lateral	id=g:7237965
J 6 Lateral	id=g:7237966
J 7 Lateral	id=g:7237967
J 8 Lateral	id=g:7237968
J 9 Lateral	id=g:7237969
Lunch Creek Drain	id=g:7237970
Morgan Drain	id=g:7237971
Priest Drain Ditch	id=g:7237972
Searle Drain	id=g:7237973
Snipe Drain	id=g:7237974
J 36 Pond	id=g:7237975
J Waste Pond	id=g:7237976
H 9 Lateral	id=g:7237977
J 23 E Lateral	id=g:7237978
G 14 Lateral	id=g:7237979
H 27 Lateral	id=g:7237980
J 32 Lateral	id=g:7237981
J 29 Lateral	id=g:7237982
H 25 Pipeline	id=g:7237983
H 1 Lateral	id=g:7237984
H 17 Lateral	id=g:7237985
J 27 Lateral	id=g:7237986
J 23 F Lateral	id=g:7237987
La Promesa Presbyterian Mission	id=g:7237988
Last Rain Ministry Church of New York	id=g:7237989
Latin American Pentecostal Church	id=g:7237990
Lighthouse Assembly of God Church	id=g:7237991
Little Flock Church	id=g:7237992
Little Missionary Baptist Church	id=g:7237993
Living Soul Church	id=g:7237994
Love of Christ Presbyterian Church	id=g:7237995
Luso Brazilian Seventh Day Adventist Church	id=g:7237996
Latimar Gardens Community Center	id=g:7237997
Peoples Baptist Church	id=g:7237998
Community of Christ	id=g:7237999
New Hope Baptist Church	id=g:7238000
Bay City River of Life Church	id=g:7238001
Memorial Presbyterian Church	id=g:7238002
Family of Christ Fellowship	id=g:7238003
Victory Life Worship Center	id=g:7238004
Riverwalk Baptist Church	id=g:7238005
North Euclid Church of God	id=g:7238006
Cornerstone Baptist Church	id=g:7238007
Apostolic Christian Church	id=g:7238008
Our Lady of Guadalupe Parish	id=g:7238009
Broadway Baptist Church	id=g:7238010
Kingdom Hall of Jehovah's Witnesses	id=g:7238011
Church of Jesus Christ of Latter Day Saints	id=g:7238012
Seventh-Day Adventist Church	id=g:7238013
Christ United Methodist Church	id=g:7238014
Wesleyan Church	id=g:7238015
New Life Missionary Church	id=g:7238016
First Pentecostal Church	id=g:7238017
J Waste	id=g:7238018
Alumni Hall	id=g:7238019
Boardman Place	id=g:7238020
Bogart Hall	id=g:7238021
Boothroyd Hall	id=g:7238022
Ceracche Center	id=g:7238023
Clarke Hall	id=g:7238024
Dillingham Center	id=g:7238025
East Tower	id=g:7238026
Eastman Hall	id=g:7238027
Egbert Hall	id=g:7238028
Emerson Hall	id=g:7238029
Gannett Center	id=g:7238030
Hammond Health Center	id=g:7238031
Center For Health Sciences	id=g:7238032
Hill Center	id=g:7238033
Hilliard Hall	id=g:7238034
Holmes Hall	id=g:7238035
Hood Hall	id=g:7238036
Landon Hall	id=g:7238037
Lyon Hall	id=g:7238038
Muller Chapel	id=g:7238039
Center For Natural Sciences	id=g:7238040
Park Hall	id=g:7238041
Phillips Hall	id=g:7238042
Center For Public Safety And General Services	id=g:7238043
Rowland Hall	id=g:7238044
Smiddy Hall	id=g:7238045
Tallcott Hall	id=g:7238046
Terrace Dining Hall	id=g:7238047
Towers Dining Hall	id=g:7238048
West Tower	id=g:7238049
Whalen Center For Music	id=g:7238050
Williams Hall	id=g:7238051
J 39 B Lateral	id=g:7238052
Jim Butterfield Stadium	id=g:7238053
Freeman Field	id=g:7238054
Kostrinsky Field	id=g:7238055
City of Weston Lakes	id=g:7238056
Weston Lakes	id=g:7238057
The Flat	id=g:7238058
Flewellen Ridge	id=g:7238059
The Flats	id=g:7238060
The Flats	id=g:7238061
Sprenger Spires (not official)	id=g:7238062
Sycamore Cemetery	id=g:7238063
Goodloe Memorial Unitarian Universalist Congregation	id=g:7238064
Rush Cemetery	id=g:7238065
Robinette Family Cemetery	id=g:7238066
Rose Hill Cemetery	id=g:7238067
Calvary Cemetery	id=g:7238068
Millbrook Post Office	id=g:7238069
West Millbrook Post Office (historical)	id=g:7238070
Weaver Post Office (historical)	id=g:7238071
Titus Post Office (historical)	id=g:7238072
Sylvester Post Office (historical)	id=g:7238073
Satterlee's Mills Post Office (historical)	id=g:7238074
Rustford Post Office (historical)	id=g:7238075
Rienza Post Office (historical)	id=g:7238076
Pogy Post Office (historical)	id=g:7238077
Marshfield Post Office (historical)	id=g:7238078
Emerald Post Office (historical)	id=g:7238079
Fork Post Office (historical)	id=g:7238080
Crapo Post Office (historical)	id=g:7238081
Byers Post Office (historical)	id=g:7238082
Borland Post Office (historical)	id=g:7238083
Barry Post Office (historical)	id=g:7238084
Altona Post Office (historical)	id=g:7238085
Stanwood Elementary School	id=g:7238086
Stanwood Post Office	id=g:7238087
Mecosta-Austin Fire Hall	id=g:7238088
Saint Thomas Lutheran Church	id=g:7238089
Northland United Methodist Church	id=g:7238090
Stanwood Free Methodist Church	id=g:7238091
Eastside Family Medical Clinic	id=g:7238092
Wheatland Township Library	id=g:7238093
Jehovah's Witnesses Church	id=g:7238094
Remus Post Office	id=g:7238095
Horizons Church	id=g:7238096
Saint Paul's Lutheran Church	id=g:7238097
Chippewa Hills Baptist Church	id=g:7238098
Chippewa Hills Assembly of God Church	id=g:7238099
Remus Church of God	id=g:7238100
Chippewa Hills Trailer Court	id=g:7238101
Chippewa Hills High School	id=g:7238102
Chippewa Hills Intermediate School	id=g:7238103
Resurrection Life Church	id=g:7238104
Horizons Church (North at the House of Faith)	id=g:7238105
Hillside Baptist Church	id=g:7238106
Good Shepherd Lutheran Church	id=g:7238107
Rogers Heights Christian Church	id=g:7238108
Evangelical Wesleyan Church	id=g:7238109
Redeemer Lutheran Church	id=g:7238110
Big Rapids Assembly of God Church	id=g:7238111
Big Rapids Church of Christ	id=g:7238112
Jehovah's Witnesses	id=g:7238113
Horizons Church (Buckhannon Campus)	id=g:7238114
Central Cass Public School	id=g:7238115
Westminister Presbyterian Church	id=g:7238116
Martin's American Lutheran Church	id=g:7238117
Saint Leo's Roman Catholic Church	id=g:7238118
Saint Leo's Parish House	id=g:7238119
Casselton Post Office	id=g:7238120
Ellison Public School (historical)	id=g:7238121
Saint Peter's Lutheran Church	id=g:7238122
State Street Church of God	id=g:7238123
Third Avenue United Methodist Church	id=g:7238124
Casselton United Methodist Church	id=g:7238125
United Church of Big Rapids	id=g:7238126
Big Rapids Free Methodist Church	id=g:7238127
Big Rapids Parish	id=g:7238128
Church of Jesus Christ of Latter Day Saints	id=g:7238129
Lake Lodge Mobile Home Village	id=g:7238130
Church of the Nazarene	id=g:7238131
Central Valley Community Church	id=g:7238132
Fellowship Christian Reformed Church	id=g:7238133
Canellas Park	id=g:7238134
First Baptist Church	id=g:7238135
First United Methodist Church	id=g:7238136
Duvall's Trailer Park	id=g:7238137
Ekey Trailer Park	id=g:7238138
Moores Trailer Park	id=g:7238139
Pleasant Hills Mobile Home Park	id=g:7238140
Immanuel Lutheran Church	id=g:7238141
Reorganized Church of Jesus Christ	id=g:7238142
Saint Mary's Catholic Church	id=g:7238143
Seventh-Day Adventist Church	id=g:7238144
Saint Andrew's Episcopal Church	id=g:7238145
Saint Paul Catholic Campus Parish	id=g:7238146
Havenview Mobile Home Court	id=g:7238147
Forest Hills Mobile Home Park	id=g:7238148
Circle Drive Mobile Home Park	id=g:7238149
College Park Mobile Village	id=g:7238150
Big Rapids Mobile Home Court	id=g:7238151
Mecosta County Building	id=g:7238152
Big Rapids Police Department	id=g:7238153
Mecosta County Medical Center	id=g:7238154
Big Rapids Post Office	id=g:7238155
Big Rapids Library	id=g:7238156
Mecosta County Sheriff Department	id=g:7238157
Mecosta County Historical Museum	id=g:7238158
Big Rapids Fire Department	id=g:7238159
Riverview Elementary School	id=g:7238160
Mecosta/Osceola Intermediate School District-Campus	id=g:7238161
Brookside Elementary School	id=g:7238162
Crossroads Charter Academy	id=g:7238163
Hillcrest Elementary School	id=g:7238164
Saint Peter's Lutheran School	id=g:7238165
Saint Mary's Catholic School	id=g:7238166
Big Rapids Middle School	id=g:7238167
Eastwood Elementary School	id=g:7238168
Big Rapids High School	id=g:7238169
New Directions High School	id=g:7238170
Davis Park Bridge	id=g:7238171
Supervisors Park	id=g:7238172
Northend Riverside Park	id=g:7238173
Hanchett Park	id=g:7238174
Swede Hill Park	id=g:7238175
Hemlock Park	id=g:7238176
Mitchell Creek Park	id=g:7238177
Fairman Community Pool	id=g:7238178
Linden Street Park	id=g:7238179
Vogel Field	id=g:7238180
River Street Park	id=g:7238181
Centennial Park	id=g:7238182
Library Park	id=g:7238183
Osceola Pavillion	id=g:7238184
Industrial Park Ballfield	id=g:7238185
Holland Park	id=g:7238186
Pocket Park	id=g:7238187
Martiny Lake State Game Area	id=g:7238188
Saint Michael Church	id=g:7238189
Paris United Methodist Church	id=g:7238190
Charity Baptist Church	id=g:7238191
Church of Christ of Big Rapids	id=g:7238192
Paris Post Office	id=g:7238193
Country Mobile Home Park	id=g:7238194
Paris Park	id=g:7238195
Barryton Area Museum	id=g:7238196
Morley Post Office	id=g:7238197
Marne United Methodist Church	id=g:7238198
First Baptist Church	id=g:7238199
Morley Area Fire Department	id=g:7238200
Morley Elementary School	id=g:7238201
Walton Erickson Public Library	id=g:7238202
Morley Stanwood Middle School	id=g:7238203
Morley Stanwood High School	id=g:7238204
Mecosta Post Office	id=g:7238205
Morton Township Library	id=g:7238206
Mecosta Elementary School	id=g:7238207
Brockway Christian Academy	id=g:7238208
New Hope United Methodist Church	id=g:7238209
Holiday Terrace Mobile Home Park	id=g:7238210
Sylvester Community Church	id=g:7238211
Rodney Post Office	id=g:7238212
Hunters Creek Estates Mobile Home Park	id=g:7238213
Chippewa Township Hall	id=g:7238214
Chippewa Lake Community Church	id=g:7238215
Chippewa Lake Post Office	id=g:7238216
Sheridan Township Hall	id=g:7238217
Community Christian School	id=g:7238218
Barryton Post Office	id=g:7238219
Barryton Public Library	id=g:7238220
Barryton Elementary School	id=g:7238221
Barryton Church of God	id=g:7238222
United Methodist Church	id=g:7238223
Church of Christ	id=g:7238224
Norman-Cummings Cemetery	id=g:7238225
Saint Anne's Cemetery	id=g:7238226
Stanwood Cemetery	id=g:7238227
Olin Cemetery	id=g:7238228
Indian Cemetery	id=g:7238229
Higbee Cemetery	id=g:7238230
South Grant Cemetery	id=g:7238231
Grant Center Number Two Cemetery	id=g:7238232
Grant Center Number One Cemetery	id=g:7238233
Saint Michael Cemetery	id=g:7238234
Chippewa Township Cemetery	id=g:7238235
Kirschner Farm Cemetery	id=g:7238236
Rodney Cemetery	id=g:7238237
Highland View Cemetery	id=g:7238238
Van Gilder Cemetery	id=g:7238239
Wheatland Church of Christ Historical Marker	id=g:7238240
Negro Settlers Historical Marker	id=g:7238241
Paris Fish Hatchery Historical Marker	id=g:7238242
Saint Andrew's Episcopal Church Historical Marker	id=g:7238243
Old Mecosta County Jail Historical Marker	id=g:7238244
Texas Road School (historical)	id=g:7238245
Wisner School (historical)	id=g:7238246
Swiss Road School (historical)	id=g:7238247
Monnatt School (historical)	id=g:7238248
Henry School (historical)	id=g:7238249
Sweet School (historical)	id=g:7238250
Tucker School (historical)	id=g:7238251
Puffer School (historical)	id=g:7238252
Ossoit School (historical)	id=g:7238253
Beech Hill School (historical)	id=g:7238254
Strifts School (historical)	id=g:7238255
Dicob School (historical)	id=g:7238256
Crystal Lake School (historical)	id=g:7238257
Parthenon Theatre (historical)	id=g:7238258
Pix Theater (historical)	id=g:7238259
Plaza Theatre (historical)	id=g:7238260
Polk Theater (historical)	id=g:7238261
Prospect Theatre (historical)	id=g:7238262
Queens Theatre (historical)	id=g:7238263
Ridgewood Theatre (historical)	id=g:7238264
Ritz Theater (historical)	id=g:7238265
Queens Village Day School	id=g:7238266
Bland Community Center	id=g:7238267
Tuscarawas Valley Middle School	id=g:7238268
J 27 F Lateral	id=g:7238269
Austin Road Elementary School	id=g:7238270
Unity Baptist Church	id=g:7238271
Crossroads Community Church	id=g:7238272
Humboldt Public Cemetery	id=g:7238273
Our Lady of Lourdes Cemetery	id=g:7238274
German Methodist Cemetery	id=g:7238275
Journey Church of Franklin	id=g:7238276
Saint Joseph Catholic Cemetery	id=g:7238277
Saint Paul Lutheran Cemetery	id=g:7238278
J 12 A Lateral	id=g:7238279
Silverwood United Methodist Church	id=g:7238280
Pleasant View Free Methodist Church	id=g:7238281
Silverwood Post Office	id=g:7238282
Providence Presbyterian Church	id=g:7238283
Hideout	id=g:7238284
Hideout	id=g:7238285
Herrick Cemetery	id=g:7238286
Zion Lutheran Cemetery	id=g:7238287
Yokun Ridge	id=g:7238288
Farmers Elementary School (historical)	id=g:7238289
Arikaree Glacier	id=g:7238290
Navajo Glacier	id=g:7238291
All Saints Episcopal Church	id=g:7238292
Bethany Lutheran Brethren Church	id=g:7238293
Bethel Evangelical Free Church	id=g:7238294
Calvary Assembly of God Church	id=g:7238295
Calvary Chapel	id=g:7238296
Calvary Korean Church	id=g:7238297
Willowbrook Park Baptist Church	id=g:7238298
Castleton Hill Moravian Church	id=g:7238299
Christ Assembly Lutheran Church	id=g:7238300
Christ Lutheran Church	id=g:7238301
Christ Memorial Christian Church	id=g:7238302
Christian Pentecostal Church	id=g:7238303
Mount Sinai United Christian Church	id=g:7238304
Church of Bible Understanding	id=g:7238305
Little Lamb Preschool	id=g:7238306
H 16 H Lateral	id=g:7238307
Fairchild Cemetery	id=g:7238308
Mentz Church Cemetery	id=g:7238309
Fosterville Cemetery	id=g:7238310
Maycumber Family Cemetery	id=g:7238311
Smith Cemetery	id=g:7238312
Lamb Cemetery	id=g:7238313
Saint Nicholas Russian Cemetery	id=g:7238314
Farmer Family Cemetery	id=g:7238315
Galpin Hill Cemetery	id=g:7238316
Lake View Cemetery	id=g:7238317
Sand Beach Cemetery	id=g:7238318
Arnold-Comstock Cemetery	id=g:7238319
McMasters Corners Cemetery	id=g:7238320
County House Cemetery	id=g:7238321
Sennett Rural Cemetery	id=g:7238322
Sennett Cemetery	id=g:7238323
Melrose Road Cemetery	id=g:7238324
Saint Peter's Church Cemetery	id=g:7238325
Edgewood High School	id=g:7238326
Yost Theatre (historical)	id=g:7238327
Chester Academy	id=g:7238328
Limestone Medical Center	id=g:7238329
Richardson Cemetery	id=g:7238330
Saint Michaels Roman Catholic Cemetery	id=g:7238331
Saint Bernard's Old Catholic Cemetery	id=g:7238332
Saint Bernard's Catholic Church	id=g:7238333
Sherwood Cemetery	id=g:7238334
Gould-Akin Cemetery	id=g:7238335
Bolts Corners Cemetery	id=g:7238336
Manchester Family Cemetery	id=g:7238337
Babcock Family Cemetery	id=g:7238338
Burch Cemetery	id=g:7238339
Devine Cemetery	id=g:7238340
Humphrey Howland Burial	id=g:7238341
New Hope Cemetery	id=g:7238342
Ledyard Church Cemetery	id=g:7238343
Ledyard Church	id=g:7238344
Poplar Ridge Cemetery	id=g:7238345
Fordyce Cemetery	id=g:7238346
Rathbun And Chase Cemetery	id=g:7238347
Tuppers Corners Cemetery	id=g:7238348
Stewart Corners Cemetery	id=g:7238349
East Venice Cemetery	id=g:7238350
King Ferry Presbyterian Church	id=g:7238351
Goodyears Corners Cemetery	id=g:7238352
Belltown Cemetery	id=g:7238353
West Genoa Methodist Church	id=g:7238354
Pine Hollow Cemetery	id=g:7238355
Old Settlers Cemetery	id=g:7238356
Dry Creek Cemetery	id=g:7238357
Old Quaker Cemetery	id=g:7238358
Summerhill Cemetery	id=g:7238359
Sempronius Cemetery	id=g:7238360
Lake Frederick	id=g:7238361
H 17 Spill Pipeline	id=g:7238362
Blue Heron Lake	id=g:7238363
Clay County Fire Station # 3	id=g:7238364
McRae Elementary School	id=g:7238365
Goldhead American Tower	id=g:7238366
Lake Forest	id=g:7238367
Village Lake	id=g:7238368
Vista Lake	id=g:7238369
Port Saint Lucie Civic Center	id=g:7238370
G 15 Overland Pipeline	id=g:7238371
Airway Shopping Center	id=g:7238372
Church Street Shopping Center	id=g:7238373
Churchland Place Shopping Center	id=g:7238374
Crossroads at Chesapeake Square Shopping Center	id=g:7238375
Fairfield Commons Shopping Center	id=g:7238376
Gloucester Exchange Shopping Center	id=g:7238377
Kensington Square Shopping Center	id=g:7238378
La Promenade Shopping Center	id=g:7238379
Main Street Station Shopping Center	id=g:7238380
Marketplace at Harbor View Shopping Center	id=g:7238381
Newmarket Fair Shopping Center	id=g:7238382
Prime Outlets at Williamsburg Shopping Center	id=g:7238383
Seventeen Plaza Shopping Center	id=g:7238384
South Valley Shopping Center	id=g:7238385
Stagecoach Market Shopping Center	id=g:7238386
Sterling Center Commons Shopping Center	id=g:7238387
Towne Point Square Shopping Center	id=g:7238388
York River Crossing Shopping Center	id=g:7238389
Brook Road Academy	id=g:7238390
The Gladys H Oberle School Montross Campus	id=g:7238391
Virginia Beach Advanced Technology Center	id=g:7238392
Great Bridge Presbyterian Preschool	id=g:7238393
Apple Tree Learning Center	id=g:7238394
Barefoot Kids Christian Day School	id=g:7238395
Tidewater Academy	id=g:7238396
Saint John the Apostle Catholic School	id=g:7238397
Saint Gertrude High School	id=g:7238398
Resurrection Lutheran School	id=g:7238399
Orchard House School	id=g:7238400
Old Donation Episcopal Day School	id=g:7238401
Old Dominion University Child Study Center	id=g:7238402
Nubian Village Academy	id=g:7238403
Mount Lebanon Christian Academy	id=g:7238404
Montessori Academy of Virginia	id=g:7238405
Metropolitan Day School	id=g:7238406
Broadbay Manor School	id=g:7238407
Liberty Christian School	id=g:7238408
I B Pittman Vocational Center	id=g:7238409
Lapetite Academy	id=g:7238410
Greenbriar Montessori School	id=g:7238411
Goddard School	id=g:7238412
Gateway Christian School	id=g:7238413
