Temple Ner Tamid	id=g:6334684
First Presbyterian Church	id=g:6334772
Saint Luke's Episcopal Church	id=g:6334773
First Baptist Church	id=g:6334774
Saint Elizabeth Ann Seton Church	id=g:6334775
Hope Lutheran Church	id=g:6334776
Shepherd of the Valley Lutheran Church	id=g:6334777
Castle Rock Methodist Church	id=g:6334778
Calvary Baptist Church	id=g:6334779
Cornerstone Bible Church	id=g:6334780
Our Saviour's Lutheran Church	id=g:6334781
Saint Philips Lutheran Church	id=g:6334782
Christ's Family Church	id=g:6334783
United Methodist Church	id=g:6334784
Palabra De Restauracion	id=g:6334785
Bethany Christian Reformed Church	id=g:6334786
Seventh Day Adventist Church	id=g:6334787
Little Zion Primitive Baptist Church	id=g:6334788
United Pentecostal Church	id=g:6334789
Our Savior Lutheran Church	id=g:6334790
Saint George Coptic Orthodox Church	id=g:6334791
First Southern Baptist Church	id=g:6334792
Bellflower Church of God	id=g:6334793
Saint Dominic Savio Church	id=g:6334794
First Christian Church of Norwalk	id=g:6334795
Maranatha Norwalk Spanish Church	id=g:6334796
Congregational Church of Norwalk	id=g:6334797
Grace Evangelical Free Church	id=g:6334798
Pine Street Baptist Church	id=g:6334799
Apostolic Lighthouse Church	id=g:6334800
Norwalk Seventh Day Adventist Church	id=g:6334801
Saint Paul Lutheran Church	id=g:6334802
First Baptist Church of Norwalk	id=g:6334803
Norwalk Presbyterian Church	id=g:6334804
Downey Avenue Foursquare Church	id=g:6334805
First Baptist Church of Paramount	id=g:6334806
Saint John Lutheran Church	id=g:6334807
Iglesia Hermanos Vivos En	id=g:6334808
Paramount Alliance Church	id=g:6334809
Church of God of Prophecy	id=g:6334810
Our Lady of the Rosary Church	id=g:6334811
Praise Chapel of Paramount	id=g:6334812
Emmanuel Reformed Church	id=g:6334813
Paramount Assembly of God Church	id=g:6334814
Paramount United Methodist Church	id=g:6334815
Unshackled Ministries	id=g:6334816
Nueva Vidanen Cristo	id=g:6334817
Calvary Baptist Church	id=g:6334818
First Missionary Baptist Church	id=g:6334819
Bellflower First United Methodist Church	id=g:6334820
Good Shepherd Lutheran Church	id=g:6334821
Full Gospel Tabernacle	id=g:6334822
Spanish Seventh Day Adventist Church	id=g:6334823
Greek Apostolic Church	id=g:6334824
Community Presbyterian Church	id=g:6334825
First Baptist Church	id=g:6334826
Bellflower Brethren Church	id=g:6334827
Lord's Church	id=g:6334828
Iglesia Christiana Faro De Vida	id=g:6334829
Saint Bernard Church	id=g:6334830
Korean Canaan Presbyterian Church	id=g:6334831
Church of Christ	id=g:6334832
First Christian Church	id=g:6334833
New Joy Community Church	id=g:6334834
Iglesia Bautista Bethel	id=g:6334835
Church of God	id=g:6334836
Salvation Army	id=g:6334837
Calvary Apostolic Tabernacle	id=g:6334838
Mount Olivet Lutheran Church	id=g:6334839
Light And Life Christian Fellowship Church	id=g:6334840
Saint Pancratius Catholic Church	id=g:6334841
Lakewood Christ Presbyterian Church	id=g:6334842
West Lakewood Baptist Church	id=g:6334843
Holy Trinity Catholic Church	id=g:6334844
Saint Cyprian Catholic Church	id=g:6334845
Congregation of the Good Shepherd	id=g:6334846
Saint Mary's Catholic Church	id=g:6334847
Mount Comfort United Methodist Church	id=g:6334848
Saint Finbars Roman Catholic Church	id=g:6334849
Saint Francis Cabrini Roman Catholic Church	id=g:6334850
Synagogue of the Congregation of the Sons of Israel	id=g:6334851
Beth Sholom People's Temple Synagogue	id=g:6334852
Saint Marys Mother of Jesus Roman Catholic Church	id=g:6334853
Shore Parkway Jewish Center	id=g:6334854
Roman Catholic Church of the Precious Blood	id=g:6334855
Roman Catholic Church of Our Lady of Guadalupe	id=g:6334856
Metropolitan Independent Baptist Church	id=g:6334857
Congregation Magen David	id=g:6334858
Roman Catholic Church of Saint Domenick	id=g:6334859
Church of the Holy Spirit	id=g:6334860
Congregation Tiferth Torah	id=g:6334861
Pine Bush United Methodist Church	id=g:6334862
Church of the Infant Survivor	id=g:6334863
Cornwall Baptist Church	id=g:6334864
Cornwall United Methodist Church	id=g:6334865
Friends Meeting At Cornwall	id=g:6334866
Saint John's Episcopal Church	id=g:6334867
Saint Thomas of Canterbury Church	id=g:6334868
Saint Joseph's Church	id=g:6334869
Cornwall Presbyterian Church	id=g:6334870
Jep Hill Church	id=g:6334871
Assembly of God Church	id=g:6334872
Long Beach Samoan Community Church	id=g:6334873
Brister Memorial Southern Baptist Church	id=g:6334874
First United Methodist Church	id=g:6334875
Calvary Baptist Church of Compton	id=g:6334876
Solid Rock Mission Church	id=g:6334877
New Brighter Day Baptist Church	id=g:6334878
Church of Christ	id=g:6334879
Holy Trinity African Methodist Episcopal Church	id=g:6334880
One One One Christian Church	id=g:6334881
Joseph of Jacob Church	id=g:6334882
Little Beulah Church of God in Christ	id=g:6334883
God of Mercy Church	id=g:6334884
Full Gospel Tabernackle	id=g:6334885
Lambert's Chapel United Church	id=g:6334886
West Baptist Church	id=g:6334887
Saint Pauls Community Baptist Church	id=g:6334888
First Haitian Baptist Church	id=g:6334889
Phileo Outreach International Ministries	id=g:6334890
Temple Emanu-El of Canarsie	id=g:6334891
Congregation Beth Tikvah	id=g:6334892
Haitian First Church of the Brethren	id=g:6334893
Intercessary Prayer Ministry	id=g:6334894
Daybreak Ministries	id=g:6334895
Congregation Ahavath Achim	id=g:6334896
Canarsie Seventh Day Adventist Mission	id=g:6334897
Good News Bible Church	id=g:6334898
Calvary Covenant Church	id=g:6334899
Bethel Lutheran Church	id=g:6334900
Saint Catherine's Catholic Church	id=g:6334901
Centennial Lutheran Church	id=g:6334902
Crossroads Family Church	id=g:6334903
United Methodist Church	id=g:6334904
Calvary Baptist Church	id=g:6334905
United Methodist Church	id=g:6334906
Nashwauk Lutheran Church	id=g:6334907
Nashwauk Alliance Church	id=g:6334908
Saint Cecilia's Church	id=g:6334909
Cloverdale Mennonite Church	id=g:6334910
Saint Augustine Church	id=g:6334911
Saint Joseph's Catholic Church	id=g:6334912
Bethany Lutheran Church	id=g:6334913
Deer River Church of God	id=g:6334914
Redeemer Lutheran Church	id=g:6334915
Saint Mary's Church	id=g:6334916
United Methodist Church	id=g:6334917
Evangelical Covenant Church	id=g:6334918
Ball Club Assembly of God Church	id=g:6334919
Jessie Lake Baptist Church	id=g:6334920
Saint Mary's Catholic Church	id=g:6334921
Grace English Lutheran Church	id=g:6334922
Bethel Church (historical)	id=g:6334923
Copiague Union Church	id=g:6334924
Our Lady of the Assumption Church	id=g:6334925
Saint Johns Church (historical)	id=g:6334926
Church of Our Lady of Mount Carmel	id=g:6334927
Saint Paul's United Methodist Church	id=g:6334928
Saint Johns Evangelical Lutheran Church	id=g:6334929
Middletown Hebrew Association Synagogue	id=g:6334930
Seventh Day Adevntist Church	id=g:6334931
First Baptist Church	id=g:6334932
Grace Episcopal Church	id=g:6334933
Christ Church	id=g:6334934
First Congregational Church of Middletown	id=g:6334935
Webb Horton Memorial Presbyterian Church (historical)	id=g:6334936
First Presbyterian Church (historical)	id=g:6334937
First Church of Christ Scientist	id=g:6334938
Second Baptist Church	id=g:6334939
Trinity Presbyterian Church	id=g:6334940
Saint Joseph's Roman Catholic Church	id=g:6334941
Saint John's African Methodist Episcopal Zion Church	id=g:6334942
Congregation Beth Israel Synagogue	id=g:6334943
Bethlehem Baptist Church	id=g:6334944
Our Lady of Miracles Roman Catholic Church	id=g:6334945
Church of God	id=g:6334946
Saint Albans Episcopal Church	id=g:6334947
Canarsie Community Reformed Church	id=g:6334948
Holy Family Roman Catholic Church	id=g:6334949
Kingdom Hall of Jehovah's Witnesses	id=g:6334950
Church At The Rock	id=g:6334951
Remsen Heights Jewish Center	id=g:6334952
Seaview Jewish Center	id=g:6334953
Young Israel of Canarsie Synagogue	id=g:6334954
Saint Jude's Roman Catholic Church	id=g:6334955
Cortelyou Road Church of God	id=g:6334956
Saint Matthew's Lutheran Church	id=g:6334957
Sephardic Jewish Center of Canarsie	id=g:6334958
Canarsie Church of Christ	id=g:6334959
Beraca Baptist Church	id=g:6334960
Plymouth Congregational Church	id=g:6334961
Miller Memorial Church of the Nazarene	id=g:6334962
Sheepshead Bay Methodist Episcopal Church	id=g:6334963
Saint John's Lutheran Church	id=g:6334964
Congregation Bnai Israel	id=g:6334965
Saint John's Catholic Church	id=g:6334966
Guthrie Bible Chapel	id=g:6334967
Avenue Z Jewish Center	id=g:6334968
Lake George Bible Chapel	id=g:6334969
Trinity Lutheran Church	id=g:6334970
Manhattan Beach Jewish Center	id=g:6334971
Saint Margaret Mary Catholic Church	id=g:6334972
Bethany Lutheran Church	id=g:6334973
Menahga Apostolic Lutheran Church	id=g:6334974
New Brighton Jewish Center	id=g:6334975
Hebrew Alliance of Brighton Beach	id=g:6334976
Jewish Center of Brighton Beach	id=g:6334977
McCordsville United Methodist Church	id=g:6334978
Avon United Methodist Church	id=g:6334979
Faith Baptist Church of Avon	id=g:6334980
Apostolic Bible Church	id=g:6334981
Brownsburg Church of the Nazarene	id=g:6334982
Saint Malachy Church	id=g:6334983
Danville Apostolic Church	id=g:6334984
Danville Christian Church	id=g:6334985
Danville United Methodist Church	id=g:6334986
Mary Queen Of Peace Church	id=g:6334987
Pittsboro Baptist Church	id=g:6334988
Pittsboro Christian Church	id=g:6334989
Synagogue of the Mutual Benefit Society (historical)	id=g:6334990
Roman Catholic Church of the Guardian Angel	id=g:6334991
Saint Paul's Evangelical Lutheran Church	id=g:6334992
Convent of the Holy Name of Jesus and Mary	id=g:6334993
Synagogue of the Seagate Sisterhood	id=g:6334994
Naomi African Methodist Episcopal Zion Church	id=g:6334995
Kneses Israel Synagogue	id=g:6334996
Congregation Chasidei Bresslov	id=g:6334997
Ocean View Jewish Center	id=g:6334998
Saint Luke's Episcopal Parish	id=g:6334999
Gallup-Chapman United Methodist Church	id=g:6335000
Welch Church	id=g:6335001
Holy Cross Roman Catholic Church	id=g:6335002
Latonia Pilgrim Chapel	id=g:6335003
Church of Christ	id=g:6335004
Calvary Baptist Church	id=g:6335005
Highland Avenue Presbyterian Church	id=g:6335006
Immanuel Baptist Church	id=g:6335007
Covington Church of Christ	id=g:6335008
Saint Stephen's Episcopal Church	id=g:6335009
Saint Mark United Church of Christ	id=g:6335010
Latonia Christian Church	id=g:6335011
Saint Ann's Roman Catholic Church	id=g:6335012
Epworth Methodist Church	id=g:6335013
Saint Johns Evangelical Congregational Church	id=g:6335014
First Presbyterian Church	id=g:6335015
First Church of the Nazarene	id=g:6335016
Saint James Roman Catholic Church	id=g:6335017
Wesley Methodist Episcopal Church	id=g:6335018
Ludlow Christian Church	id=g:6335019
Bromley Christian Church	id=g:6335020
Trinity United Methodist Church	id=g:6335021
Saint Anthony's Church	id=g:6335022
Latonia Baptist Church	id=g:6335023
Runyan Memorial Christian Church	id=g:6335024
Faith Bible Church	id=g:6335025
Ida Spence United Methodist Church	id=g:6335026
True Holiness Church of God	id=g:6335027
Church of God Trinity Assembly	id=g:6335028
First Lutheran Church	id=g:6335029
Saint Francis United Methodist Church	id=g:6335030
First Baptist Church	id=g:6335031
Lighthouse Assembly of God Church	id=g:6335032
Bible Baptist Church	id=g:6335033
Saint Andrew Lutheran Church	id=g:6335034
Bethel Community Church	id=g:6335035
Saint John Lutheran Church	id=g:6335036
Burns Evangelical Free Church	id=g:6335037
Linwood Covenant Church	id=g:6335038
Emmanuel Episcopal Church	id=g:6335039
Saint Marks Roman Catholic Church	id=g:6335040
Church of Peace	id=g:6335041
United Methodist Church	id=g:6335042
Saint John's Lutheran Church	id=g:6335043
Saint Peter Lutheran Church	id=g:6335044
Immaculate Conception Parish	id=g:6335045
Saint Paul's Lutheran Church	id=g:6335046
Evangelical Free Church	id=g:6335047
Trinity Lutheran Church	id=g:6335048
Saint Mark's Lutheran Church	id=g:6335049
Saint John Lutheran Church	id=g:6335050
Saint Victoria Catholic Church	id=g:6335051
Zion Lutheran Church	id=g:6335052
Temple of Israel Synagogue	id=g:6335053
Saint James African Methodist Episcopal Church	id=g:6335054
Lane Chapel Christian Methodist Episcopal Church	id=g:6335055
Madison Avenue Baptist Church	id=g:6335056
Landmark Baptist Church	id=g:6335057
Ninth Street Baptist Church	id=g:6335058
Our Saviors Catholic Church	id=g:6335059
Saint Paul African Methodist Episcopal Zion Church	id=g:6335060
Robbins Street Christian Church	id=g:6335061
Saint James Roman Catholic Church	id=g:6335062
First Born Church	id=g:6335063
Macedonia Baptist Church	id=g:6335064
South Side Baptist Church	id=g:6335065
Assembly of God Church	id=g:6335066
Shinkle Methodist Church (historical)	id=g:6335067
Madison Avenue Christian Church	id=g:6335068
Saint Benedict's Roman Catholic Church	id=g:6335069
Free Pentecostal Church	id=g:6335070
Saint Luke Methodist Church	id=g:6335071
Church of Jesus Christ of Latter Day Saints	id=g:6335072
The Apostolic Church	id=g:6335073
Immanuel Baptist Church	id=g:6335074
Saint Augustine Roman Catholic Church	id=g:6335075
Free Pentecost Church	id=g:6335076
Bethany Evangelical Lutheran Church (historical)	id=g:6335077
Eastside Church of the Nazarene	id=g:6335078
Ashland Avenue Baptist Church	id=g:6335079
First Church of God	id=g:6335080
Church of the Nazarene	id=g:6335081
Assemblies of God Church	id=g:6335082
First Baptist Church	id=g:6335083
First English Lutheran Church	id=g:6335084
Church of Saint Mary's	id=g:6335085
Our Lady of the Pines Catholic Church	id=g:6335086
Bible Baptist Church	id=g:6335087
Immaculate Conception Church	id=g:6335088
Bethany Lutheran Church	id=g:6335089
Church of Christ	id=g:6335090
Saint Theodore's Catholic Church	id=g:6335091
Laporte Lutheran Church	id=g:6335092
Laporte Community Baptist Church	id=g:6335093
Christ Gospel Church	id=g:6335094
Trinity Lutheran Church	id=g:6335095
Ben Israel Fellowship	id=g:6335096
Kabekona Community Church	id=g:6335097
Kabekona Free Methodist Church	id=g:6335098
White Oak Bible Chapel	id=g:6335099
White Oak Baptist Church	id=g:6335100
Trinity Lutheran Church	id=g:6335101
Lake Area Christian Church	id=g:6335102
Chippewa Bible Church	id=g:6335103
Hope Lutheran Church	id=g:6335104
Community Church	id=g:6335105
Assembly of God Church	id=g:6335106
Saint Agnes Church	id=g:6335107
Zion Lutheran Church	id=g:6335108
Crosby Presbyterian Church	id=g:6335109
Saint Joseph Catholic Church	id=g:6335110
Immanuel Lutheran Church	id=g:6335111
Bible Baptist Church	id=g:6335112
Assemblies of God Tabernacle Church	id=g:6335113
United Methodist Church	id=g:6335114
Faith Lutheran Church	id=g:6335115
Trinity Lutheran Church	id=g:6335116
All Saints Lutheran Church	id=g:6335117
Ebenezer Lutheran Church	id=g:6335118
Redeemer Lutheran Church	id=g:6335119
Brooks Parish	id=g:6335120
Oak Park Evangelical Lutheran Church	id=g:6335121
Saint Francis Xavier Church	id=g:6335122
Oklee Lutheran Church	id=g:6335123
Saint Edmund's Roman Catholic Church	id=g:6335124
Kingdom Hall of Jehovah's Witnesses	id=g:6335125
Ocean Avenue Jewish Center	id=g:6335126
First Baptist Church	id=g:6335127
Shaare Zion Congregation	id=g:6335128
Congregation Beth-El of Flatbush	id=g:6335129
Our Lady of Grace Roman Catholic Church	id=g:6335130
Saints Simon And Jude Roman Catholic Church	id=g:6335131
Coney Island Pentecostal Church	id=g:6335132
Marlboro Jewish Center	id=g:6335133
Mount Olivet Presbyterian Church	id=g:6335134
Buck Creek Church	id=g:6335135
Trinity Episcopal Church	id=g:6335136
First Baptist Church	id=g:6335137
Church of Christ	id=g:6335138
First Christian Church	id=g:6335139
First United Methodist Church	id=g:6335140
Saint Aloysius Roman Catholic Church	id=g:6335141
Main Street Methodist Episcopal Church (historical)	id=g:6335142
Grace Evangelical And Reformed Church (historical)	id=g:6335143
Faith Assembly of God Church	id=g:6335144
Mother of God Roman Catholic Church	id=g:6335145
Ninth Street Methodist Church	id=g:6335146
First Baptist Church	id=g:6335147
Saint Paul's Evangelical And Reformed Church (historical)	id=g:6335148
Church of God	id=g:6335149
Red Hill Church	id=g:6335150
Church of Christ	id=g:6335151
Calvary Lutheran Church	id=g:6335152
New Life Christian Fellowship	id=g:6335153
Trinity Episcopal Church	id=g:6335154
Saint Peter's Catholic Church	id=g:6335155
Saint John's Lutheran Church	id=g:6335156
Riverside United Methodist Church	id=g:6335157
Jehovah's Witnesses Congregation	id=g:6335158
Saint Mary's Church	id=g:6335159
Silver Bay Baptist Church	id=g:6335160
Faith Lutheran Church	id=g:6335161
United Protestant Church	id=g:6335162
Sychar Lutheran Church	id=g:6335163
Bay Area Vineyard	id=g:6335164
Beth Am Jewish Center	id=g:6335165
Congregation Beth Shalom	id=g:6335166
Nachlath Zion Jewish Center	id=g:6335167
Temple Ahavath Sholom	id=g:6335168
Saint Edmund's Convent	id=g:6335169
Homecrest Presbyterian Church	id=g:6335170
Bethel Jewish Centre Synagogue	id=g:6335171
United Methodist Church	id=g:6335172
Trinity Lutheran Church	id=g:6335173
First Baptist Church	id=g:6335174
Zion Lutheran Church	id=g:6335175
Saint John Lutheran Church	id=g:6335176
Saint Bernard's Church	id=g:6335177
Seventh-Day Adventist Church	id=g:6335178
Assemblies of God Church	id=g:6335179
Abundant Life Church	id=g:6335180
Open Arms Christian Fellowship Church	id=g:6335181
Faith Lutheran Brethren Church	id=g:6335182
Evangelical Free Church	id=g:6335183
Evangelical Covenant Church	id=g:6335184
Redeemer Lutheran Church	id=g:6335185
River of Life Church	id=g:6335186
Jehovah's Witnesses Hall	id=g:6335187
Our Saviour's Lutheran Church	id=g:6335188
Calvary Lutheran Church	id=g:6335189
Saint Ann's Catholic Church	id=g:6335190
Redeemer Lutheran Church	id=g:6335191
Bethany Lutheran Church	id=g:6335192
Presbyterian Church	id=g:6335193
Saint Joseph's Church	id=g:6335194
Saint John's Lutheran Church	id=g:6335195
Grace Methodist Church	id=g:6335196
Faith Gospel Tabernacle	id=g:6335197
Saint Nicholas Greek Orthodox Church	id=g:6335198
Church of the Nazarene	id=g:6335199
Church of the Good Shepherd	id=g:6335200
Sacred Heart Roman Catholic Church	id=g:6335201
Reformed Church of Our Savior	id=g:6335202
Congregation Bnai Israel Synagogue	id=g:6335203
Saint Francis of Assisi Roman Catholic Church	id=g:6335204
First Congregational Church	id=g:6335205
Kingdom Hall of Jehovahs Witnesses	id=g:6335206
Moulton Memorial Baptist Church	id=g:6335207
First United Methodist Church	id=g:6335208
Knife River Lutheran Church	id=g:6335209
Zion Evangelical Lutheran Church	id=g:6335210
Holy Spirit Catholic Church	id=g:6335211
Evangelical Free Church	id=g:6335212
Two Harbors Jehovah's Witnesses	id=g:6335213
Our Saviour's Lutheran Church	id=g:6335214
Trinity Lutheran Church	id=g:6335215
Saint Joseph Catholic Church	id=g:6335216
Faith Lutheran Church	id=g:6335217
Waconia Moravian Church	id=g:6335218
Evangelical Reformed Church	id=g:6335219
Valley Evangelical Free Church	id=g:6335220
Saint Bernard Catholic Church	id=g:6335221
Church of Christ	id=g:6335222
United Methodist Church	id=g:6335223
Chaska Moravian Church	id=g:6335224
Crown of Glory Lutheran Church	id=g:6335225
Guardian Angels Church	id=g:6335226
Saint John's Lutheran Church	id=g:6335227
Trinity Lutheran Church	id=g:6335228
Bobtown Church	id=g:6335229
Corinth Baptist Church	id=g:6335230
Frankford Baptist Church	id=g:6335231
Emanuel Lutheran Church	id=g:6335232
Grace Baptist Church	id=g:6335233
Silver Creek Community Church	id=g:6335234
Palisade Baptist Church	id=g:6335235
Oaklette United Methodist Church	id=g:6335236
New Life Fellowship Church	id=g:6335237
Grace Lutheran Church	id=g:6335238
Providence Baptist Church	id=g:6335239
Indian River Baptist Church	id=g:6335240
Berkeley Commons Outlet Center	id=g:6335241
Kingdom Hall of Jehovahs Witness	id=g:6335242
Church of Christ	id=g:6335243
Lawn Street Chapel	id=g:6335244
Kingdom Hall of Jehovahs Witnesses	id=g:6335245
Half Hollow Union Chapel	id=g:6335246
Union Chapel (historical)	id=g:6335247
Grace Chapel (historical)	id=g:6335248
Lower Melville Church	id=g:6335249
Saint Elizabeths Chapel (historical)	id=g:6335250
West Hills Church	id=g:6335251
Church of Our Father	id=g:6335252
Best Temple Church of God in Christ	id=g:6335253
First Church of Christ Scientist	id=g:6335254
Westminister Church	id=g:6335255
Dutch Reformed Church	id=g:6335256
Saint George's Episcopal Church	id=g:6335257
Reformed Presbyterian Church	id=g:6335258
Associated Reformed Church	id=g:6335259
Ebenezer Baptist Church	id=g:6335260
Saint Patrick's Roman Catholic Church	id=g:6335261
Saint Patricks Convent	id=g:6335262
Mount Carmel Church of Christ	id=g:6335263
First United Presbyterian Church	id=g:6335264
Seventh Day Adventist Church	id=g:6335265
Saint Mary's Roman Catholic Church	id=g:6335266
Congregation Agudas Achim	id=g:6335267
Calvary Presbyterian Church	id=g:6335268
United Holy Church of America	id=g:6335269
Union Presbyterian Church	id=g:6335270
First Baptist Church	id=g:6335271
Christ Lutheran Church	id=g:6335272
Temple Beth Jacob	id=g:6335273
Congregation Agudas Israel	id=g:6335274
Oak Street Baptist Church	id=g:6335275
United Bibleway Temple	id=g:6335276
Saint Timothy Church of Christ	id=g:6335277
Mount Mariah Church	id=g:6335278
Zion Baptist Church	id=g:6335279
Saint Augustine Episcopal Church	id=g:6335280
Gospel Light United Holy Church	id=g:6335281
Galilee Baptist Church	id=g:6335282
Temple of Peace Baptist Church	id=g:6335283
Greater Walters African Methodist Episcopal Zion Church	id=g:6335284
First Baptist Church of East End	id=g:6335285
Miracle Temple Baptist Church	id=g:6335286
Westminister Baptist Church	id=g:6335287
Full Gospel Church of Deliverance	id=g:6335288
Ingleside Baptist Church	id=g:6335289
Friendship Independent Baptist Church	id=g:6335290
Community Church of Norfolk	id=g:6335291
New Horizon Outreach Church of God in Christ	id=g:6335292
Coleman Place Presbyterian Church	id=g:6335293
Ferebee-Halstead Memorial Church	id=g:6335294
Apostolic Christian Church	id=g:6335295
Divine Peace Lutheran Church	id=g:6335296
Our Lady of Lourdes Church	id=g:6335297
Saint John's Evangelical Lutheran Church	id=g:6335298
Saint Martin of Tours Church	id=g:6335299
Whitnall Park Lutheran Church	id=g:6335300
Zion United Church of Christ	id=g:6335301
Tidewater Primitive Baptist Church	id=g:6335302
New Light Christian Church	id=g:6335303
Riverside Baptist Church	id=g:6335304
Aldersgate United Methodist Church	id=g:6335305
Tidewater Gospel Assembly Church	id=g:6335306
Saint Peters Episcopal Church	id=g:6335307
New Covenant Fellowship Church	id=g:6335308
Laurel Avenue Church of Christ	id=g:6335309
Gospel Hall	id=g:6335310
Congregational Pentecostal Church	id=g:6335311
Providence Road Church of Christ	id=g:6335312
Saint Patrick's Episcopal Church	id=g:6335313
Saints Cyril And Methodius Church	id=g:6335314
Evangelical Covenant Church	id=g:6335315
Christ Lutheran Church	id=g:6335316
Northport Baptist Church	id=g:6335317
Bethesda Wesleyan Church	id=g:6335318
First Presbyterian Church	id=g:6335319
Saint Paraskevi Greek Orthodox Church	id=g:6335320
Holy Trinity Methodist Church	id=g:6335321
Saint Paul's Episcopal Church	id=g:6335322
Zoe Community Church	id=g:6335323
Calvary Baptist Church	id=g:6335324
Noland Memorial United Methodist Church	id=g:6335325
Way of the Cross Church of Christ	id=g:6335326
United House of Prayer for All People	id=g:6335327
Full Gospel Deliverance Church	id=g:6335328
New Grafton Baptist Church	id=g:6335329
Alpha and Omega Christian Worship Center	id=g:6335330
Glorious Church of the Lord Jesus	id=g:6335331
Perry's Temple	id=g:6335332
Mount Calvary Baptist Church	id=g:6335333
Second Baptist Church of East End	id=g:6335334
Christian Union Church of Christ	id=g:6335335
Trinity Baptist Church	id=g:6335336
Union Baptist Church	id=g:6335337
Macedonia Baptist Church	id=g:6335338
Ivy Baptist Church	id=g:6335339
Church of the Lord Jesus	id=g:6335340
Saint Paul African Methodist Episcopal Church	id=g:6335341
Antioch Baptist Church	id=g:6335342
Rising Star Christian Church	id=g:6335343
Shalom Baptist Church	id=g:6335344
Tabernacle Baptist Church	id=g:6335345
Wesley Grove United Church of Christ	id=g:6335346
Saint John Church of God in Christ	id=g:6335347
First Church of Our Lord Jesus	id=g:6335348
Walters Temple African Methodist Episcopal Zion Church	id=g:6335349
