Goz Arian	id=g:245180
Am Haraz	id=g:245424
Am Haraz	id=g:245425
Am Hadjer	id=g:245426
Am Habilé	id=g:245427
Am Habile	id=g:245428
Am Habile	id=g:245429
Am Habilé	id=g:245430
Am Habali	id=g:245431
Am Griti	id=g:245432
Am Goz	id=g:245433
Am Gouri	id=g:245434
Am Goulma Técher	id=g:245435
Am Goulma Derbo	id=g:245436
Am Goulma Atomat	id=g:245437
Am Goulma Amberkotio	id=g:245438
Am Goudja	id=g:245439
Am Gou	id=g:245440
Amgin	id=g:245441
Am Géritié	id=g:245442
Am Géréda	id=g:245443
Am Gedaouin	id=g:245444
Am Garnganda	id=g:245445
Ouadi Am Garad	id=g:245446
Am Gantoura	id=g:245447
Am Gantoura	id=g:245448
Hadjer Am Gania	id=g:245449
Am Galaka	id=g:245450
Am Gala	id=g:245451
Am Gafal	id=g:245452
Am Farao	id=g:245453
Amerouk	id=g:245454
Am Eriz	id=g:245455
Ouadi Am Ergé	id=g:245456
Ouadi Amé	id=g:245457
Am Doutilé	id=g:245458
Am Dout Goz	id=g:245459
Am Douroun	id=g:245460
Am Doundo	id=g:245461
Am Dougoulay	id=g:245462
Am Doron	id=g:245463
Am Djourar Mouro	id=g:245464
Am Djourar Ganbir	id=g:245465
Am Djourar	id=g:245466
Am Djodour	id=g:245467
Am Djiouekhin	id=g:245468
Am Djimézé	id=g:245469
Am Djiména	id=g:245470
Am Djer Taama	id=g:245471
Am Djer Morfein	id=g:245472
Am Djeress	id=g:245473
Ouadi Am Djeres	id=g:245474
Am Djer	id=g:245475
Am Djéména	id=g:245476
Am Djéména	id=g:245477
Am Djéména	id=g:245478
Am Djélat	id=g:245479
Am Djédéri	id=g:245480
Am Djédaouit	id=g:245481
Am Djébora	id=g:245482
Am Djan Kaferdout	id=g:245483
Ouadi Am Djana	id=g:245484
Am Djan	id=g:245485
Am Djan	id=g:245486
Am Dioudoul	id=g:245487
Am Digemat	id=g:245488
Am Diéma	id=g:245489
Am Dichi	id=g:245490
Am Dérésé	id=g:245491
Am Dérésa	id=g:245492
Am Derabay	id=g:245493
Am Déonas	id=g:245494
Am Dem	id=g:245495
Am Deïbé	id=g:245496
Am Dam Zeriba	id=g:245497
Am Dam Toulouke	id=g:245498
Am Damania	id=g:245499
Bahr Am Dam	id=g:245500
Am Dam	id=g:245501
Am Dam	id=g:245502
Am Dalam	id=g:245503
Am Dagik	id=g:245504
Am Dagig	id=g:245505
Am Dagel	id=g:245506
Am Dagagna	id=g:245507
Am Dagachi	id=g:245508
Am Dafani	id=g:245509
Am Dachar	id=g:245510
Am Chimélé Dougoum	id=g:245511
Amchidé	id=g:245512
Am Chemoula	id=g:245513
Am Charamit	id=g:245514
Am Chara	id=g:245515
Am Chaloba	id=g:245516
Am Bringuil	id=g:245517
Am Bourtounou	id=g:245518
Am Bourtounou	id=g:245519
Am Bourtounou	id=g:245520
Am Bourougné	id=g:245521
Am Botoro	id=g:245522
Am Bitin Tiné	id=g:245523
Am Bitin Goz	id=g:245524
Am Bitek	id=g:245525
Am Beldi	id=g:245526
Ambégnon	id=g:245527
Ambé	id=g:245528
Ambay	id=g:245529
Am Baram Garaday	id=g:245530
Am Baram Dadjo	id=g:245531
Ouadi Ambar	id=g:245532
Am Bar	id=g:245533
Ambalgna	id=g:245534
Hadjer Ambalat	id=g:245535
Rigil Am Balabit	id=g:245536
Ambakali	id=g:245537
Am Badérègn	id=g:245538
Am Bach	id=g:245539
Amasala	id=g:245540
Amarouba	id=g:245541
Hadjer Amarmar	id=g:245542
Am Arhar Iésey	id=g:245543
Am Arhar Dalou	id=g:245544
Am Arhar Atalbé	id=g:245545
Am Arhar Am Amouna	id=g:245546
Am Arhar al Omar Am Djoubay	id=g:245547
Amarga	id=g:245548
Rahat al Amar	id=g:245549
Amanasis	id=g:245550
Am al Barka	id=g:245551
Am Adat	id=g:245552
Hadjer Ama	id=g:245553
Al Rachracha	id=g:245554
Al Rabsa	id=g:245555
Al Rabsa	id=g:245556
Alr	id=g:245557
Aloubo	id=g:245558
Hadjer Alo	id=g:245559
Alo	id=g:245560
Alo	id=g:245561
Alo	id=g:245562
Almour	id=g:245563
Almisérif	id=g:245564
Almié Dombolaï	id=g:245565
Al Midodil	id=g:245566
Al Michiga	id=g:245567
Al Mérer	id=g:245568
Goz Almar	id=g:245569
Hadjer Alléni	id=g:245570
Al Koudo	id=g:245571
Al Koubou	id=g:245572
Hadjer Alkongui	id=g:245573
Hadjer Alkon	id=g:245574
Al Karouf	id=g:245575
Al Kadanka	id=g:245576
Ouadi Alimi	id=g:245577
Ali Manadji	id=g:245578
Alili	id=g:245579
Hadjer Alikep	id=g:245580
Hadjer Alia	id=g:245581
Al Goz	id=g:245582
Algileb	id=g:245583
Alguiez	id=g:245584
Al Guiésat	id=g:245585
Alfouro	id=g:245586
Alfir	id=g:245587
Aleka	id=g:245588
Ouadi Aléba	id=g:245589
Aldjé	id=g:245590
Al Délim	id=g:245591
Alboy	id=g:245592
Al Biéré	id=g:245593
Al Bidia	id=g:245594
Al Biherda	id=g:245595
Al Bèt	id=g:245596
Al Bériké	id=g:245597
Jabal Albas	id=g:245598
Albakas	id=g:245599
Bahr Al Arbou	id=g:245600
Alao	id=g:245601
Alakori	id=g:245602
Ouadi Alakmar	id=g:245603
Alakhebich	id=g:245604
Hadjer Alagadir	id=g:245605
Alacha	id=g:245606
Alabidi	id=g:245607
Ouadi Ala	id=g:245608
Ouadi Ala	id=g:245609
Akoubé	id=g:245610
Ako	id=g:245611
Hadjer Akédi	id=g:245612
Ouadi Akasa	id=g:245613
Hadjer Akasa	id=g:245614
Akar	id=g:245615
Akansogoa	id=g:245616
Akagéli	id=g:245617
Aka	id=g:245618
Ajouss	id=g:245619
Ayté	id=g:245620
Aïbé	id=g:245621
Ahour Omouri	id=g:245622
Ahoura	id=g:245623
Ahoudi	id=g:245624
Hadjer Ahouali	id=g:245625
Ouadi Ahosidinga	id=g:245626
Ouadi Ahadianga	id=g:245627
Agusi	id=g:245628
Agoza	id=g:245629
Hadjer Agous	id=g:245630
Agourtoulou	id=g:245631
Agourmé	id=g:245632
Agourbo	id=g:245633
Agouné	id=g:245634
Agoundi	id=g:245635
Hadjer Agoumti	id=g:245636
Hadjer Agoumo	id=g:245637
Agoumo	id=g:245638
Agouli	id=g:245639
Agougou	id=g:245640
Agougou	id=g:245641
Agouaré	id=g:245642
Hadjer Agit	id=g:245643
Hadjer Agiré	id=g:245644
Agilé	id=g:245645
Agelba	id=g:245646
Agek	id=g:245647
Ouadi Agay	id=g:245648
Agay	id=g:245649
Agarta	id=g:245650
Agari	id=g:245651
Agarachi	id=g:245652
Rahat el Agan	id=g:245653
Agan	id=g:245654
Agan	id=g:245655
Aga Dubé	id=g:245656
Agadoundé	id=g:245657
Agadi	id=g:245658
Afous	id=g:245659
Afoul	id=g:245660
Bir Afona	id=g:245661
Afona	id=g:245662
Afifour	id=g:245663
Afanaoudam	id=g:245664
Hadjer Afan	id=g:245665
Afal	id=g:245666
Afadja	id=g:245667
Hadjer Aékat	id=g:245668
Adré	id=g:245669
Adré	id=g:245670
Adouksi	id=g:245671
Ouadi Adoukoumi	id=g:245672
Ouadi Adjouradjou	id=g:245673
Adjolo	id=g:245674
Adjobani	id=g:245675
Hadjer Adjibi	id=g:245676
Adjabani	id=g:245677
Adiyayaron	id=g:245678
Ouadi Ouguini	id=g:245679
Hadjer Adingita	id=g:245680
Hadjer Adinga	id=g:245681
Hadjer Adindi	id=g:245682
Ouadi Adima	id=g:245683
Adikota	id=g:245684
Ouadi Adikana	id=g:245685
Hadjer Adiabé	id=g:245686
Adiabé	id=g:245687
Adéranga	id=g:245688
Adé	id=g:245689
Adar	id=g:245690
Adamti	id=g:245691
Adamkouch	id=g:245692
Adait	id=g:245693
Adabarta	id=g:245694
Ada	id=g:245695
Achoumar	id=g:245696
Achkitin	id=g:245697
Hadjer Achgar	id=g:245698
Achekanza	id=g:245699
Achara	id=g:245700
Achaba	id=g:245701
Achaba	id=g:245702
Abzinegir	id=g:245703
Abtil	id=g:245704
Ouadi Abtènay	id=g:245705
Ouadi Absonout	id=g:245706
Absidéré Djado	id=g:245707
Absideré	id=g:245708
Hadjer Abséfifi	id=g:245709
Hadjer Abris	id=g:245710
Aboutantara	id=g:245711
Aboutangi	id=g:245712
Abousoko	id=g:245713
Rigil Abousnet	id=g:245714
Rahat Abousnet	id=g:245715
Ouadi Abousnet	id=g:245716
Ouadi Abousnet	id=g:245717
Abourtouno	id=g:245718
Hadjer Abourer	id=g:245719
Abounoura	id=g:245720
Qarat Abū N’dougay	id=g:245721
Abou Ngaoui	id=g:245722
Ouadi Aboundourou	id=g:245723
Aboundourou	id=g:245724
Aboundourno	id=g:245725
Aboulouk	id=g:245726
Abou Loubia	id=g:245727
Aboukousoum	id=g:245728
Abou Koundaye	id=g:245729
Abouir	id=g:245730
Abouich	id=g:245731
Abouich	id=g:245732
Rahat Abou Hadjérad	id=g:245733
Hadjer Abougoun Toun	id=g:245734
Abou Goulem	id=g:245735
Hadjer Abougoudi	id=g:245736
Hadjer Abougoudam	id=g:245737
Abougoudam	id=g:245738
Abougoudam	id=g:245739
Abou Gadama	id=g:245740
Aboudoma	id=g:245741
Bir Aboudjibit	id=g:245742
Abou Digin	id=g:245743
Abou Charibs	id=g:245744
Abou Chadra	id=g:245745
Ouadi Abou Chabeuch	id=g:245746
Ouadi Abou Adar Safa	id=g:245747
Ouadi Abou Adar Chirak	id=g:245748
Abou Adar	id=g:245749
Hadjer Aboroko	id=g:245750
Ouadi Aboné	id=g:245751
Abonday	id=g:245752
Abo Hachim	id=g:245753
Abogoroum Zafay	id=g:245754
Abogoroum Ramadan	id=g:245755
Abniran	id=g:245756
Ablogila	id=g:245757
Abkéradi	id=g:245758
Abkar Djombo	id=g:245759
Hadjer Abjioka	id=g:245760
Abjer	id=g:245761
Abisa Madala	id=g:245762
Hadjer Abisa	id=g:245763
Abirbri	id=g:245764
Abioka	id=g:245765
Abilélé Sarer	id=g:245766
Abilélé Kébir	id=g:245767
Abilélay	id=g:245768
Abilélay	id=g:245769
Abilélai	id=g:245770
Abil	id=g:245771
Abiet	id=g:245772
Abiad	id=g:245773
Wādī Abū ‘Asal	id=g:245774
Abgoro	id=g:245775
Abgoro	id=g:245776
Abgarna	id=g:245777
Abgara	id=g:245778
Abéré Tchertcher	id=g:245779
Abèrbèr	id=g:245780
Abelrati	id=g:245781
Abélé	id=g:245782
Abéla	id=g:245783
Abedake	id=g:245784
Abéché	id=g:245785
Abéché	id=g:245786
Abdourta	id=g:245787
Hadjer Abdoukouré	id=g:245788
Abdil	id=g:245789
Abdier	id=g:245790
Abdi	id=g:245791
Ouadi Ab Délibé	id=g:245792
Abdata	id=g:245793
Abchour	id=g:245794
Abchidere	id=g:245795
Abchidere	id=g:245796
Abchidere	id=g:245797
Abaron	id=g:245798
Abanié Birgit	id=g:245799
Ouadi Abandoulaf	id=g:245800
Hadjer Abalay	id=g:245801
Abakar	id=g:245802
Abakada	id=g:245803
Abakada	id=g:245804
Hadjer Abagana	id=g:245805
Ababot	id=g:245806
Abaad	id=g:245807
Ouadi Aalouf	id=g:245808
Aaba	id=g:245809
Ouadi Kao	id=g:370506
Kaorkite	id=g:383631
Navarde	id=g:383632
Ūzū	id=g:2209061
Ūrī	id=g:2209154
Tārsū Mūsá	id=g:2210168
Enneri Issinngué	id=g:2423990
Ehi Zrigida	id=g:2423991
Zozi	id=g:2423992
Zouzi	id=g:2423993
Zouyounga	id=g:2423994
Zouyounga	id=g:2423995
Egey Zouyanga	id=g:2423996
Zourtchiami	id=g:2423997
Zourougouldji	id=g:2423998
Zourkoum	id=g:2423999
Zouri	id=g:2424000
Enneri Zouré	id=g:2424001
Zouré	id=g:2424002
Bir Zounga	id=g:2424003
Enneri Zoumri	id=g:2424004
Zoumoulou	id=g:2424005
Zoummeri	id=g:2424006
Zoumka	id=g:2424007
Zoumandang	id=g:2424008
Zoumagar	id=g:2424009
Zouï	id=g:2424010
Zougra	id=g:2424011
Enneri Zouergé	id=g:2424012
Enneri Zouarké	id=g:2424013
Zouara	id=g:2424014
Zouar	id=g:2424015
Zorom	id=g:2424016
Ehi Zorom	id=g:2424018
Zoroa	id=g:2424019
Zoro	id=g:2424020
Ouadi Zornam	id=g:2424021
Bir Zornam	id=g:2424022
Zoou Tavounga	id=g:2424023
Zooulè	id=g:2424024
Zoolomanga	id=g:2424025
Zontaï	id=g:2424026
Zoni	id=g:2424027
Zamera	id=g:2424028
Rahat Zololo	id=g:2424029
Zol	id=g:2424030
Zol	id=g:2424031
Zagoni	id=g:2424032
Zogar	id=g:2424033
Bir Zofa	id=g:2424034
Zodoy	id=g:2424035
Zobili	id=g:2424036
Zizi Sanov	id=g:2424037
Ziri Goubou	id=g:2424038
Bahr Zirèga	id=g:2424039
Zioud	id=g:2424040
Zinki	id=g:2424041
Zinguigo	id=g:2424042
Zingué	id=g:2424043
Enneri Zingéro	id=g:2424044
Ehi Zingero	id=g:2424045
Bahr Zilla	id=g:2424046
Ziguey	id=g:2424047
Zigeyré	id=g:2424048
Zigeyré	id=g:2424049
Ziguéyéré	id=g:2424050
Bir Zigey	id=g:2424051
Bir Zibounga	id=g:2424052
Zézézir	id=g:2424053
Bir Zézerna	id=g:2424054
Zeurta	id=g:2424055
Zëub	id=g:2424056
Zétao	id=g:2424057
Zerzoura	id=g:2424058
Zerzoura	id=g:2424059
Bahr Zerzer	id=g:2424060
Zérinkel	id=g:2424061
Kouri Zerganya	id=g:2424062
Djebel Zerga	id=g:2424063
Ouadi Zergb	id=g:2424064
Bir Zénizanga	id=g:2424065
Zéninga	id=g:2424066
Zengué	id=g:2424067
Dzingué	id=g:2424068
Zen Galimai	id=g:2424069
Zenenga	id=g:2424070
Zenat	id=g:2424071
Bir Zémésa	id=g:2424072
Zelemi	id=g:2424073
Bir Zélek Am-Hirar	id=g:2424074
Zelba	id=g:2424075
Zélango	id=g:2424076
Zékérima	id=g:2424077
Zékék	id=g:2424078
Rahat Zefere	id=g:2424079
Ouadi Zefere	id=g:2424080
Zéfére	id=g:2424081
Zazéré	id=g:2424082
Rahat Zaza	id=g:2424083
Zatane	id=g:2424084
Zarombo	id=g:2424085
Zarli	id=g:2424086
Zargama	id=g:2424087
Dabakay Zarga	id=g:2424088
Zardaouye	id=g:2424089
Zarata	id=g:2424090
Zaraf	id=g:2424091
Zaraf	id=g:2424092
Zaourie	id=g:2424093
Zao Ouli	id=g:2424094
Zao	id=g:2424095
Zankaï Moundang	id=g:2424096
Zanini	id=g:2424097
Zania	id=g:2424098
Zangati Gati	id=g:2424099
Zanbe	id=g:2424100
Zanakora	id=g:2424101
Zanaga	id=g:2424102
Zan	id=g:2424103
Zamré Toulna	id=g:2424104
Zamré Dongor	id=g:2424105
Zamre Anday	id=g:2424106
Zami	id=g:2424107
Zamera	id=g:2424108
Zambidé	id=g:2424109
Zambéréo	id=g:2424110
Zama Gouin	id=g:2424111
Zama	id=g:2424112
Mont Zali	id=g:2424113
Zale	id=g:2424114
Zalbi	id=g:2424115
Rahat Zalata Idjélidj	id=g:2424116
Zalango	id=g:2424117
Bir Zalama	id=g:2424118
Zala	id=g:2424119
Réserve de Faune Dite Parc de Zakouma	id=g:2424120
Zakouma	id=g:2424121
Zakouma	id=g:2424122
Zakaria	id=g:2424123
Zait	id=g:2424124
Zahafaya	id=g:2424125
Zagoni	id=g:2424126
Zagnarao	id=g:2424127
Zaguere	id=g:2424128
Zafaya	id=g:2424129
Zafaia	id=g:2424130
Zadjouli	id=g:2424131
Sabongari	id=g:2424132
Zabogo Mongli	id=g:2424133
Zabogo Garbian	id=g:2424134
Zabogo Agoudoum	id=g:2424135
Zabili	id=g:2424136
Zabifain	id=g:2424137
Zaba II	id=g:2424138
Zaba I	id=g:2424139
Zabba	id=g:2424140
Bir Zaaranga	id=g:2424141
Zaafaië	id=g:2424142
Iri	id=g:2424143
Yra	id=g:2424144
Youssoufari	id=g:2424145
Yousdon	id=g:2424146
Youryour	id=g:2424147
Yoursoula	id=g:2424148
Yourousou	id=g:2424149
Yourou	id=g:2424150
Yourou	id=g:2424151
Yourokali	id=g:2424152
Youro	id=g:2424153
Enneri Yourka	id=g:2424154
Gona Orka	id=g:2424155
Yourgor-Gara	id=g:2424156
Youré	id=g:2424157
Youra Mari	id=g:2424158
Enneri Yountiou	id=g:2424159
Youno	id=g:2424160
Younis Téli	id=g:2424161
Youmbra	id=g:2424162
Youmbra	id=g:2424163
Youmbou	id=g:2424164
Bir Youmaré	id=g:2424165
Youmala Kolongo	id=g:2424166
Youm	id=g:2424167
Youloulia	id=g:2424168
Youlou	id=g:2424169
Youla	id=g:2424171
Yougourdé	id=g:2424172
Yougoum	id=g:2424173
Yougou	id=g:2424174
Enneri Yougé	id=g:2424175
Yougé	id=g:2424176
Yougé	id=g:2424177
Yougay	id=g:2424178
Yougay	id=g:2424179
Pic Youfoudé	id=g:2424180
Enneri Youfa	id=g:2424181
Youé	id=g:2424182
Youdoy	id=g:2424183
Youdounga	id=g:2424184
Youdoumoé	id=g:2424185
Youdougé	id=g:2424186
Youdou	id=g:2424187
Enneri Youdoko	id=g:2424188
Enneri Youdoké	id=g:2424189
Youbor	id=g:2424190
Youbor	id=g:2424191
Youa Youa	id=g:2424192
Mayo Youaïa	id=g:2424193
You	id=g:2424194
You	id=g:2424195
Yotaga	id=g:2424196
Enneri Yoso	id=g:2424197
Yoskonga	id=g:2424198
Yoro Goundjo	id=g:2424199
Yoro	id=g:2424200
Yormo	id=g:2424201
Yoor	id=g:2424202
Enneri Yoo	id=g:2424203
Yonougé	id=g:2424204
Yonougé	id=g:2424205
Yongui	id=g:2424206
Yongoy	id=g:2424207
Yongoy	id=g:2424208
Yongora	id=g:2424209
Yongomboro	id=g:2424210
Yongo	id=g:2424211
Yongo	id=g:2424212
Yong	id=g:2424213
Yomi	id=g:2424214
Yomadji	id=g:2424215
Yoloukoum	id=g:2424216
Yolla	id=g:2424217
Bir Yoli	id=g:2424218
Yokoyena Foungouna	id=g:2424219
Yokoyéna	id=g:2424220
Ehi Yohobé Kourina	id=g:2424221
Yoho	id=g:2424222
Bir Yégeski	id=g:2424223
Yogoum	id=g:2424224
Yogoudi	id=g:2424225
Yogou	id=g:2424226
Yaogou	id=g:2424227
Yogoro	id=g:2424228
Enneri Yogonasou	id=g:2424229
Yogil	id=g:2424230
Bir Yogaranga	id=g:2424231
Yogagi	id=g:2424232
Yodouri	id=g:2424233
Enneri Yodoua	id=g:2424234
Yodohi	id=g:2424235
Yodi	id=g:2424236
Yochila	id=g:2424237
Yoboloy	id=g:2424238
Yoachi	id=g:2424239
Ylla	id=g:2424240
Yla	id=g:2424241
Yké	id=g:2424242
Yissi	id=g:2424243
Yioufoui	id=g:2424244
Bir Yinibili	id=g:2424245
Yingir	id=g:2424246
Yindi	id=g:2424247
Enneri Yidikouri	id=g:2424248
Enneri Yezidi Kozana	id=g:2424249
Gara Yézédoua	id=g:2424250
Tarso Yey	id=g:2424251
Enneri Yeuyou	id=g:2424252
Tégi Yèsko	id=g:2424253
Bezzé Yeskimi	id=g:2424254
Enneri Yeski	id=g:2424255
Egey Yeski	id=g:2424256
Yeska	id=g:2424257
Gara Yesca	id=g:2424258
Yi- Yerra	id=g:2424259
Yéroubou	id=g:2424260
Yerina	id=g:2424261
Yeri	id=g:2424262
Ouadi Yérat	id=g:2424263
Yèntar	id=g:2424264
Yen	id=g:2424265
Yemdigué	id=g:2424266
Yélga	id=g:2424267
Yélé	id=g:2424268
Yéklé	id=g:2424269
Yekia Nerba	id=g:2424270
Yékia	id=g:2424271
Yékenkili	id=g:2424272
Yeï Loulli	id=g:2424273
Yéï	id=g:2424274
Yégué Dourso	id=g:2424275
Yegri	id=g:2424276
Yégamounda	id=g:2424277
Yega Drousa	id=g:2424278
Tarso Yéga	id=g:2424279
Enneri Yéga	id=g:2424280
Yéga	id=g:2424281
Yédri Téga	id=g:2424282
Yédri Miné	id=g:2424283
Tarso- Yédri	id=g:2424284
Enneri Yédri	id=g:2424285
Enneri Yédri	id=g:2424286
Yédri	id=g:2424287
Yédri	id=g:2424288
Yedigua	id=g:2424289
Enneri Yédi	id=g:2424290
Enneri Yédari	id=g:2424291
B. Yébou	id=g:2424292
Yébi Souma	id=g:2424293
Enneri Yébigué	id=g:2424294
Enneri Yébigé	id=g:2424295
Yébé	id=g:2424296
Yebbi-Souma	id=g:2424297
Yebbi-Bou	id=g:2424298
Yebbi-Bou	id=g:2424299
Ybakoura	id=g:2424300
Yayo	id=g:2424301
Yayo	id=g:2424302
Yayanga	id=g:2424303
Enneri Yayanèso	id=g:2424304
