Averill Station (historical)	id=g:7272487
Walking Clover Farms	id=g:7272956
Wooly Hill Farm	id=g:7272957
Hill Side Farm	id=g:7272958
Bouchard Farm	id=g:7272959
Hunter Crossing Farm	id=g:7272960
Salamone Farms	id=g:7272961
Spring Lawn Farm	id=g:7272962
Mustang Valley Farm	id=g:7272963
Cogross Railroad Station (historical)	id=g:7272964
Acup Railroad Station (historical)	id=g:7272965
Hamdin Railroad Station (historical)	id=g:7272966
Vicco Railroad Station (historical)	id=g:7272967
Edjouet Railroad Station (historical)	id=g:7272968
Candy Coal Railroad Station (historical)	id=g:7272969
Buffen Railroad Station (historical)	id=g:7272970
Glomawr Railroad Station (historical)	id=g:7272971
Karles Railroad Station (historical)	id=g:7272972
Perrone Railroad Station (historical)	id=g:7272973
Katy Railroad Station (historical)	id=g:7272974
Lothair Railroad Station (historical)	id=g:7272975
Combs Railroad Station (historical)	id=g:7272976
Typo Railroad Station (historical)	id=g:7272977
Conda Railroad Station (historical)	id=g:7272978
Hilton Railroad Station (historical)	id=g:7272979
Yerkes Railroad Station (historical)	id=g:7272980
Gorman Railroad Station (historical)	id=g:7272981
Leonard Railroad Station (historical)	id=g:7272982
Dacon Railroad Station (historical)	id=g:7272983
Tauber Railroad Station (historical)	id=g:7272984
Bonnyman Railroad Station (historical)	id=g:7272985
Duane Railroad Station (historical)	id=g:7272986
Downing Railroad Station (historical)	id=g:7272987
Tribbey Railroad Station (historical)	id=g:7272988
Hayslen Railroad Station (historical)	id=g:7272989
Burlingham Railroad Station (historical)	id=g:7272990
Dunraven Railroad Station (historical)	id=g:7272991
Bulan Number One Railroad Station (historical)	id=g:7272992
Diamond Railroad Station (historical)	id=g:7272993
Dowlais Railroad Station (historical)	id=g:7272994
Perritt Railroad Station (historical)	id=g:7272995
Krypton Railroad Station (historical)	id=g:7272996
Napfor Railroad Station (historical)	id=g:7272997
Whitsett Railroad Station (historical)	id=g:7272998
Heiner Railroad Station (historical)	id=g:7272999
Coneva Railroad Station (historical)	id=g:7273000
Chavies Railroad Station (historical)	id=g:7273001
Slate Lick Railroad Station (historical)	id=g:7273002
Mayde Railroad Station (historical)	id=g:7273003
Maplewood Farm (historical)	id=g:7273004
Whites Railroad Station (historical)	id=g:7273005
Silver Creek Railroad Station (historical)	id=g:7273006
Panola Railroad Station (historical)	id=g:7273007
Peytontown Railroad Station (historical)	id=g:7273008
Brassfield Railroad Station (historical)	id=g:7273009
Harris Flat Railroad Station (historical)	id=g:7273010
Twitties Fort Station (historical)	id=g:7273011
Evergreen Farm (historical)	id=g:7273012
Harris Railroad Station (historical)	id=g:7273013
Eastern Kentucky University Meadow Brook Farm	id=g:7273014
Moberly Railroad Station (historical)	id=g:7273015
Greenwood Farm (historical)	id=g:7273016
Sunnyside Farm (historical)	id=g:7273017
Whitlock Railroad Station (historical)	id=g:7273018
Ophelia Railroad Station (historical)	id=g:7273019
William Hoys Station (historical)	id=g:7273020
Baxters Station (historical)	id=g:7273021
Redhouse Railroad Station (historical)	id=g:7273022
John Tanner Station (historical)	id=g:7273023
Shearer Railroad Station (historical)	id=g:7273024
Alexandria Railroad Station (historical)	id=g:7273025
Bracht Railroad Station (historical)	id=g:7273026
Dancing Veggie Farm	id=g:7273027
Jamaica Dream Farm	id=g:7273028
Lundins Tree Farm	id=g:7273029
Salo's Tree Farm	id=g:7273030
Seefield Farm	id=g:7273031
Sunny Slope Farm	id=g:7273032
Willy's Farm	id=g:7273033
Forget-Me-Not Farm	id=g:7273034
Deerslayer Goat Farm	id=g:7273035
Blue Bird Hill Farm	id=g:7273036
Kinnie Ridge Farm	id=g:7273037
Milfer Farm	id=g:7273038
Southwind Farms	id=g:7273039
Waterhill Farm	id=g:7273040
Milk And Maple Farm	id=g:7273041
West Wind Farm	id=g:7273042
Pond View Koi Farm	id=g:7273043
Morning View Railroad Station (historical)	id=g:7273044
Bryants Ford Railroad Station (historical)	id=g:7273045
White Villa Railroad Station (historical)	id=g:7273046
Winston Railroad Station (historical)	id=g:7273047
Bank Lick Railroad Station (historical)	id=g:7273048
Visalia Railroad Station (historical)	id=g:7273049
New Canton Railroad Station (historical)	id=g:7273050
Sunnypoint Railroad Station (historical)	id=g:7273051
Oaklawn Railroad Station (historical)	id=g:7273052
Ryland Railroad Station (historical)	id=g:7273053
Lamb Railroad Station (historical)	id=g:7273054
Grant Railroad Station (historical)	id=g:7273055
Pie Railroad Station (historical)	id=g:7273056
Buffington Railroad Station (historical)	id=g:7273057
Locust Railroad Station (historical)	id=g:7273058
Springlake Railroad Station (historical)	id=g:7273059
DeCoursey Railroad Station (historical)	id=g:7273060
Maurice Railroad Station (historical)	id=g:7273061
Greenwood Railroad Station (historical)	id=g:7273062
Erlanger Railroad Station (historical)	id=g:7273063
Quaker Lane Farms	id=g:7273064
Kenton Railroad Station (historical)	id=g:7273065
Crescent Springs Railroad Station (historical)	id=g:7273066
Allandale Farm (historical)	id=g:7273067
Canewood Farm (historical)	id=g:7273068
Cedar Grove Farm (historical)	id=g:7273069
Distant View Farm (historical)	id=g:7273070
Floral Hill Farm (historical)	id=g:7273071
Glen Cottage Farm (historical)	id=g:7273072
Old Dominion Farm (historical)	id=g:7273073
Pleasant View Farm (historical)	id=g:7273074
Rose Glade Farm (historical)	id=g:7273075
Rose Hill Farm (historical)	id=g:7273076
Sycamore Grove Farm (historical)	id=g:7273077
Tablelands Farm (historical)	id=g:7273078
Thorn Hill Farm (historical)	id=g:7273079
Walnut Grove Farm (historical)	id=g:7273080
Shady Grove Farm (historical)	id=g:7273081
High Bridge Railroad Station (historical)	id=g:7273082
Deep Spring Farm (historical)	id=g:7273083
Altamont Farm (historical)	id=g:7273084
Wilmore Railroad Station (historical)	id=g:7273085
Logana Railroad Station (historical)	id=g:7273086
Corrylyn Farm (historical)	id=g:7273087
Jessamine Railroad Station (historical)	id=g:7273088
Maple Hill Farm (historical)	id=g:7273089
Clifton Farm (historical)	id=g:7273090
Elmwood Farm (historical)	id=g:7273091
Rose Glade Farm (historical)	id=g:7273092
Perry Railroad Station (historical)	id=g:7273093
Cedar Grove Farm (historical)	id=g:7273094
Evergreen Farm (historical)	id=g:7273095
Elm Cove Farm (historical)	id=g:7273096
Lilac Bower Farm (historical)	id=g:7273097
Almahurst Horse Farm (historical)	id=g:7273098
Nealton Railroad Station (historical)	id=g:7273099
Brannon Railroad Station (historical)	id=g:7273100
Sunnyside Farm (historical)	id=g:7273101
Woodland Farm (historical)	id=g:7273102
Locust Hall Farm (historical)	id=g:7273103
Locust Hill Farm (historical)	id=g:7273104
Fountain House Farm (historical)	id=g:7273105
Pleasant Valley Farm (historical)	id=g:7273106
Ashbrook Farm (historical)	id=g:7273107
Equestrian Woods Horse Farm	id=g:7273108
T K Hog Farm	id=g:7273109
Groth Farms	id=g:7273110
Stone Road Farm	id=g:7273111
Silver Towne Farms	id=g:7273112
Duckers Railroad Station (historical)	id=g:7273113
Fort Garrett Railroad Station (historical)	id=g:7273114
Glen Lake Farm (historical)	id=g:7273115
Glenns Creek Railroad Station (historical)	id=g:7273116
Pinckard Railroad Station (historical)	id=g:7273117
Vine Hill Farm (historical)	id=g:7273118
Waverly Farm (historical)	id=g:7273119
Cottage Home Farm (historical)	id=g:7273120
Oak Hill Farm (historical)	id=g:7273121
Hillside Farm (historical)	id=g:7273122
Helmsley Farm (historical)	id=g:7273123
Buck Run Farm (historical)	id=g:7273124
Trough Spring Farm (historical)	id=g:7273125
Pisgah Railroad Station (historical)	id=g:7273126
DuPont Farm (historical)	id=g:7273127
Brittany Farm (historical)	id=g:7273128
Poplar Plain Farm (historical)	id=g:7273129
Escondida Farm (historical)	id=g:7273130
Springdale Farm (historical)	id=g:7273131
Stafford Farm (historical)	id=g:7273132
Maple Grove Farm (historical)	id=g:7273133
Spring Hill Farm (historical)	id=g:7273134
Field Farm (historical)	id=g:7273135
Clifton Heights Farm (historical)	id=g:7273136
Prestonwood Farm (historical)	id=g:7273137
Bosque Bonita Farm (historical)	id=g:7273138
Fairfield Farm (historical)	id=g:7273139
Lanes End Horse Farm (historical)	id=g:7273140
Big Sink Farm (historical)	id=g:7273141
Three Chimneys Farm	id=g:7273142
Cane Spring Farm (historical)	id=g:7273143
Merrie Meadows Farm (historical)	id=g:7273144
Pleasant Retreat Farm (historical)	id=g:7273145
Stonewall Farm (historical)	id=g:7273146
Greenfield Farm (historical)	id=g:7273147
Wallace Railroad Station (historical)	id=g:7273148
Nantura Farm (historical)	id=g:7273149
Millville Railroad Station (historical)	id=g:7273150
Taylorton Railroad Station (historical)	id=g:7273151
Mapleton Farm (historical)	id=g:7273152
Woodburn Farm (historical)	id=g:7273153
Canewood Farm (historical)	id=g:7273154
Spring Garden Farm (historical)	id=g:7273155
Spring Garden Farm (historical)	id=g:7273156
Big Spring Railroad Station (historical)	id=g:7273157
Pospect Hill Farm (historical)	id=g:7273158
Aspen Grove Farm (historical)	id=g:7273159
Elkwood Farm (historical)	id=g:7273160
Pine Grove Farm (historical)	id=g:7273161
Sherwood Farm (historical)	id=g:7273162
Stockwood Farm (historical)	id=g:7273163
Elliot Farm (historical)	id=g:7273164
Franklin County Farm (historical)	id=g:7273165
Boones Fork Railroad Station (historical)	id=g:7273166
Kudo Farms	id=g:7273167
Leyland Farms	id=g:7273168
Nash Farms	id=g:7273169
Lund Farms	id=g:7273170
Mulligan Farm	id=g:7273171
M And K Farms	id=g:7273172
A-G Sod Farms	id=g:7273173
Rella Railroad Station (historical)	id=g:7273174
Barber-Mulligan Farm	id=g:7273175
Garfield Station (historical)	id=g:7273176
Zilwaukee Station	id=g:7273177
Paines Station	id=g:7273178
Lawndale Station	id=g:7273179
Gera Station	id=g:7273180
Kulmbach Station (historical)	id=g:7273181
Swan Creek Station (historical)	id=g:7273182
Meridian Station	id=g:7273183
Blackmar Station	id=g:7273184
