Jackass Aeropark	id=g:5506170
Jungletown (historical)	id=g:5506438
Juniper Camp (historical)	id=g:5506439
Juniper Creek	id=g:5506440
June Ellen Mine	id=g:5506441
Juniper Mine	id=g:5506442
Juniper Mine	id=g:5506443
Juniper Pass	id=g:5506444
Juniper Peak	id=g:5506445
Juniper Ridge	id=g:5506446
Juniper Shaft	id=g:5506447
Juniper Spring	id=g:5506448
Juniper Spring	id=g:5506449
Juno Mine	id=g:5506450
Jupiter Mine	id=g:5506451
Jupiter Ridge	id=g:5506452
Jupresti Spring	id=g:5506453
Justice Shaft	id=g:5506454
Justover Field	id=g:5506455
K K Consolidated Mine	id=g:5506456
K K Mine	id=g:5506457
K O Knudson Middle School	id=g:5506458
K-Las Vegas Shopping Center	id=g:5506459
K-Mart Plaza	id=g:5506460
K2B Canal	id=g:5506461
KAME-TV (Reno)	id=g:5506462
KAME-TV (Reno)	id=g:5506463
KATO Radio Tower	id=g:5506464
KBET Radio Tower	id=g:5506465
KBLR-TV (Paradise)	id=g:5506466
KBUL-FM (Carson City)	id=g:5506467
KBXS-FM (Ely)	id=g:5506468
KCBN-AM (Reno)	id=g:5506469
KCEP-FM (Las Vegas)	id=g:5506470
KCEP-FM (Las Vegas)	id=g:5506471
KCRL-TV Tower (Los Alamos)	id=g:5506472
KDHB-AM (Las Vegas)	id=g:5506473
KDOL-AM (Henderson)	id=g:5506474
KDWN-AM (Las Vegas)	id=g:5506475
KDXA-AM (Virginia City)	id=g:5506476
KDXA-AM (Virginia City)	id=g:5506477
KELY-AM (Ely)	id=g:5506478
KELY-FM (Ely)	id=g:5506479
KENO Radio Tower (historical)	id=g:5506480
KENO-AM (Las Vegas)	id=g:5506481
KEYV-FM (Las Vegas)	id=g:5506482
KFBT-TV (Las Vegas)	id=g:5506483
KFMS-AM (North Las Vegas)	id=g:5506484
KFMS-FM (Las Vegas)	id=g:5506485
KGVM-FM (Gardnerville-Minden)	id=g:5506486
KGZA-AM (Boulder City)	id=g:5506487
KHIT-AM (Sun Valley)	id=g:5506488
KHTZ-AM (Sparks)	id=g:5506489
KIIQ-FM (Reno)	id=g:5506490
KILA-FM (Las Vegas)	id=g:5506491
KILA-FM (Las Vegas)	id=g:5506492
KIPP-FM (Mesquite)	id=g:5506493
KJOR-AM (Reno)	id=g:5506494
KJUL-FM (North Las Vegas)	id=g:5506495
KKLZ-FM (Las Vegas)	id=g:5506496
KKMR-FM (Sparks)	id=g:5506497
KKMR-FM (Sparks)	id=g:5506498
KKNC-AM (Sun Valley)	id=g:5506499
KKNK-AM (Carson City)	id=g:5506500
KKVV-AM (Las Vegas)	id=g:5506501
KLAS Radio Tower	id=g:5506502
KLAS-TV (Las Vegas)	id=g:5506503
KLAV-AM (Las Vegas)	id=g:5506504
KLNR-FM (Panaca)	id=g:5506505
KLUC-AM (North Las Vegas)	id=g:5506506
KLUC-FM (Las Vegas)	id=g:5506507
KLVX-TV (Las Vegas)	id=g:5506508
KMMK-FM (Las Vegas)	id=g:5506509
KMTW-AM (Las Vegas)	id=g:5506510
KMZQ-FM (Henderson)	id=g:5506511
KNEV Radio Tower	id=g:5506512
KNEV-FM (Reno)	id=g:5506513
KNIS-FM (Carson City)	id=g:5506514
KNPB-TV (Reno)	id=g:5506515
KNPR-FM (Las Vegas)	id=g:5506516
KNUU-AM (Paradise)	id=g:5506517
KOH Radio Towers	id=g:5506518
KOH-AM (Reno)	id=g:5506519
KOLO Radio Tower	id=g:5506520
KOLO Radio Towers	id=g:5506521
KOLO-TV (Reno)	id=g:5506522
KOMP-FM (Las Vegas)	id=g:5506523
KOMP-FM (Las Vegas)	id=g:5506524
KONE-AM (Reno)	id=g:5506525
KORK Radio Tower (historical)	id=g:5506526
KORK-AM (Las Vegas)	id=g:5506527
KOZZ-FM (Reno)	id=g:5506528
KPAH-FM (Tonopah)	id=g:5506529
KPLY-AM (Sparks)	id=g:5506530
KPTL-AM (Carson City)	id=g:5506531
KQLO-AM (Reno)	id=g:5506532
KQLO-AM (Reno)	id=g:5506533
KRBO-FM (Las Vegas)	id=g:5506534
KRBO-FM (Las Vegas)	id=g:5506535
KRCV-AM (Reno)	id=g:5506536
KREN-TV (Reno)	id=g:5506537
KRLR-TV (Las Vegas)	id=g:5506538
KRLV-FM (Las Vegas)	id=g:5506539
KRNO-FM (Reno)	id=g:5506540
KRNP Radio Tower	id=g:5506541
KRNV-TV (Reno)	id=g:5506542
KROL-AM (East Las Vegas)	id=g:5506543
KROL-AM (Laughlin)	id=g:5506544
KROW-AM (Reno)	id=g:5506545
KRRI-FM (Boulder City) (historical)	id=g:5506546
KRWR-FM (Carson City)	id=g:5506547
KTHX-FM (Reno)	id=g:5506548
KTNV-TV (Las Vegas)	id=g:5506549
KTPH-FM (Tonopah)	id=g:5506550
KTVN Radio Tower	id=g:5506551
KTVN-TV (Reno)	id=g:5506552
KUDA-FM (Pahrump)	id=g:5506553
KUNR-FM (Reno)	id=g:5506554
KUNV-FM (Las Vegas)	id=g:5506555
KVBC-TV (Las Vegas)	id=g:5506556
KVCE-FM (Fallon)	id=g:5506557
KVEG-AM (North Las Vegas)	id=g:5506558
KVLV-AM (Fallon)	id=g:5506559
KVLV-FM (Fallon)	id=g:5506560
KVRX-FM (Sparks)	id=g:5506561
KVVU-TV (Henderson)	id=g:5506562
KWNR-FM (Henderson)	id=g:5506563
KWNZ-FM (Carson City)	id=g:5506564
KWRN-FM Radio Tower	id=g:5506565
KX Lateral Canal	id=g:5506566
KXTO-AM (Reno)	id=g:5506567
KXTZ-FM (Henderson)	id=g:5506568
KYRK-FM (Las Vegas)	id=g:5506569
KZAK-FM (Incline Village)	id=g:5506570
KZSR-FM (Reno)	id=g:5506571
Kaiser Mine	id=g:5506572
Kaiser Mine Camp (historical)	id=g:5506573
Kaiser Spring	id=g:5506574
Kaiser Tunnel	id=g:5506575
Kaiser Well	id=g:5506576
Kaiser Well Number Two	id=g:5506577
Kalamazoo Campground and Picnicking Site	id=g:5506578
Kalamazoo Creek	id=g:5506579
Juniper Dump	id=g:5506580
Kane Springs	id=g:5506581
Kane Springs Valley	id=g:5506582
Kalamazoo Summit	id=g:5506583
Kane Springs Wash	id=g:5506584
Kansas Mine	id=g:5506585
Kaolin Canyon	id=g:5506586
Kaolin (historical)	id=g:5506587
Kaolin Post Office	id=g:5506588
Kaolin Spur (historical)	id=g:5506589
Kaolin Wash	id=g:5506590
Kaolin Mine	id=g:5506591
Karo Post Office (historical)	id=g:5506592
Kate M Smith Elementary School	id=g:5506593
Kate Peak	id=g:5506594
Kate Spring	id=g:5506595
Kate Spring	id=g:5506596
Katherine Dunn Elementary School	id=g:5506597
Kawich Canyon	id=g:5506598
Karo (historical)	id=g:5506599
Kawich Peak	id=g:5506600
Kawich Post Office (historical)	id=g:5506601
Kawich Range	id=g:5506602
Kawich Valley	id=g:5506603
Kay Blockhouse	id=g:5506604
Kay Mine	id=g:5506605
Keegan Ranch	id=g:5506606
Keel Spring	id=g:5506607
Keg Mine	id=g:5506608
Keith (historical)	id=g:5506609
Keller Mine	id=g:5506610
Keller Spring	id=g:5506611
Keller and Company Mill	id=g:5506612
Kelley Creek	id=g:5506613
Kawich Mining District	id=g:5506614
Kelloggs Mill	id=g:5506615
Kelly Alkali Ditch	id=g:5506616
Kelly Creek	id=g:5506617
Kellinske Shaft	id=g:5506618
Kelly Ravine	id=g:5506619
Kelly Mine	id=g:5506620
Kelly-Leach Mine	id=g:5506621
Kellys Mine	id=g:5506622
Kellys Mine Canyon	id=g:5506623
Kelly and Clark Mine	id=g:5506624
Kelsey Canyon	id=g:5506625
Kellys Wells	id=g:5506626
Kelty Well	id=g:5506627
Kendal Cove	id=g:5506628
Kennedy Flats	id=g:5506629
Kennedy Point	id=g:5506630
Kennedy Well	id=g:5506631
Kenneth D Lee South Well	id=g:5506632
Kennison Spring	id=g:5506633
Kenny C Guinn Middle School	id=g:5506634
Keno Spring	id=g:5506635
Kent (historical)	id=g:5506636
Kent Canyon	id=g:5506637
Kelsey Mill	id=g:5506638
Kent Lake Drain	id=g:5506639
Kent Post Office (historical)	id=g:5506640
Kent Ranch	id=g:5506641
Kent Well	id=g:5506642
Kent Well Number 2	id=g:5506643
Kentuck Mine	id=g:5506644
Kentucky Mine	id=g:5506645
Kentucky Mine	id=g:5506646
Kentucky Mine	id=g:5506647
Keough Ranch	id=g:5506648
Keough Spring	id=g:5506649
Keough Spring	id=g:5506650
Kerman Pond	id=g:5506651
Kermit R Booker Elementary School	id=g:5506652
Kern Creek	id=g:5506653
Kent Drain	id=g:5506654
Kernick Mine	id=g:5506655
Kernick Mine	id=g:5506656
Kerr Ranch	id=g:5506657
Kerr Ranch	id=g:5506658
Kershaw (historical)	id=g:5506659
Kershaw Canyon	id=g:5506660
Kern Mountains	id=g:5506661
Kerwin Camp (historical)	id=g:5506662
Key Flower Mine	id=g:5506663
Key Pittman Wildlife Management Area	id=g:5506664
Key West Mine	id=g:5506665
Keyes Mine	id=g:5506666
Keyhole Canyon	id=g:5506667
Kershaw-Ryan State Park	id=g:5506668
Keystone	id=g:5506669
Keystone (historical)	id=g:5506670
Keystone (historical)	id=g:5506671
Keystone Canyon	id=g:5506672
Keystone Hill	id=g:5506674
Keystone Interchange	id=g:5506675
Keystone Junction	id=g:5506676
Keystone Mill (historical)	id=g:5506677
Keystone Mill (historical)	id=g:5506678
Keystone Mine	id=g:5506679
Keystone Mine	id=g:5506680
Keystone Mine	id=g:5506681
Keystone Mine	id=g:5506682
Keystone Mine	id=g:5506683
Keystone Mine	id=g:5506684
Keystone Mine	id=g:5506685
Keystone Nevada Mine	id=g:5506686
Keystone Post Office	id=g:5506687
Keystone Post Office (historical)	id=g:5506688
Keystone Post Office (historical)	id=g:5506689
Keystone Shaft	id=g:5506690
Keystone Spring	id=g:5506691
Keystone Spring	id=g:5506692
Keystone Square	id=g:5506693
Keystone Wash	id=g:5506694
Keystone Dump	id=g:5506695
Kibby Flat	id=g:5506696
Kibby Flat Well	id=g:5506697
Kid Spring	id=g:5506698
Kidwell Airport	id=g:5506699
Kiernan (historical)	id=g:5506700
Kiernan Post Office	id=g:5506701
Kiernan Ranch	id=g:5506702
Kietzke Mine	id=g:5506703
Kihock Mine	id=g:5506704
Kilborn Tunnel	id=g:5506705
Kiln Canyon	id=g:5506706
Keystone Well	id=g:5506707
Kiln Wash	id=g:5506708
Kiln Spring	id=g:5506709
Kimberly	id=g:5506710
Kimberly Hill	id=g:5506711
Kimberly Post Office	id=g:5506712
Kimmerling Ranch	id=g:5506713
Kincaid Reservoir (historical)	id=g:5506714
Kindred Hospital Las Vegas	id=g:5506715
Kiney	id=g:5506716
King Midas Mine	id=g:5506717
King Mine	id=g:5506718
King Mine	id=g:5506719
King Solomon Mine	id=g:5506720
King Tonopah	id=g:5506721
King Well	id=g:5506722
Kings Canyon	id=g:5506723
Kimberley Well	id=g:5506724
Kings Canyon Creek	id=g:5506725
Kingsbury	id=g:5506726
Kingsbury Canyon	id=g:5506727
Kingsbury Meadows	id=g:5506728
Kingsbury Village	id=g:5506729
Kingsooper Center	id=g:5506730
Kingston	id=g:5506731
Kingston (historical)	id=g:5506732
Kingston Campground	id=g:5506733
Kingston Canyon	id=g:5506734
Kingsbury Middle School	id=g:5506735
Kingston Canyon Mine	id=g:5506736
Kingston Cemetery	id=g:5506737
Kingston Creek	id=g:5506738
Kingston Canyon Dam	id=g:5506739
Kingston Mining District	id=g:5506740
Kingston Placer Mine	id=g:5506741
Kingston Post Office (historical)	id=g:5506742
Kingston Post Office (historical)	id=g:5506743
Kingston Ranch (historical)	id=g:5506744
Kingston Ranger Station	id=g:5506745
Kingston Summit	id=g:5506746
Kinkaid	id=g:5506747
Kinkaid Microwave Station	id=g:5506748
Kinkead Mill	id=g:5506749
Kinkead Mill (historical)	id=g:5506750
Kinkead Mill (historical)	id=g:5506751
Kinkead Spring	id=g:5506752
Kinney Peak	id=g:5506753
Kinnikinic Spring	id=g:5506754
Kinsey Canyon	id=g:5506755
Kingston Landing Strip	id=g:5506756
Kious Spring	id=g:5506757
Kirby Mine	id=g:5506758
Kirby Wash	id=g:5506759
Kious Basin	id=g:5506760
Kirkeby Knoll	id=g:5506761
Kirkeby Ranch	id=g:5506762
Kirkeby Ranch Airport	id=g:5506763
Kirkley Pond	id=g:5506764
Kit Carson Elementary School	id=g:5506765
Kitchen Meadow	id=g:5506766
Kittle Kral Wells Mine	id=g:5506767
Kitty Coleman Rock	id=g:5506768
Kiup Spring	id=g:5506769
Kiwi Mesa	id=g:5506770
Kixmiller Summit	id=g:5506771
Kleppe Ranch	id=g:5506772
Kline Hole	id=g:5506773
Kline Spring	id=g:5506774
Kling and Ford Mine	id=g:5506775
Kling and Kelly Mine	id=g:5506776
Klinger Spring	id=g:5506777
Klinker Mill (historical)	id=g:5506778
Klobe Hot Springs	id=g:5506779
Klondike (historical)	id=g:5506780
Klondike (historical)	id=g:5506781
Klondike Cove	id=g:5506782
Klondike Gap	id=g:5506783
Klondike Mine	id=g:5506784
Klondike Mining District	id=g:5506785
Klondike Post Office	id=g:5506786
Klondike Spring	id=g:5506787
Klondike Well	id=g:5506788
Klondyke Hills	id=g:5506789
Knickerbocker (historical)	id=g:5506790
Knickerbocker Mill	id=g:5506791
Knickerbocker Mill (historical)	id=g:5506792
Knickerbocker Mine	id=g:5506793
Knickerbocker Spring	id=g:5506794
Knickerbocker Wash	id=g:5506795
Kirk L Adams Elementary School	id=g:5506796
Knob Hill Spring	id=g:5506797
Knoll Pond Reservoir	id=g:5506798
Knoll Spring	id=g:5506799
The Knoll	id=g:5506800
Knox Creek	id=g:5506801
Knob Hill	id=g:5506802
Knox Well	id=g:5506803
Knox and Nixon Shaft	id=g:5506804
Kobeh Valley	id=g:5506805
Koch Ditch	id=g:5506806
Koegel Hills	id=g:5506807
Kogan Place	id=g:5506808
Kohinoor Mine	id=g:5506809
Kolcheck Basin	id=g:5506810
Kolcheck Mine	id=g:5506811
Kolcheck Springs	id=g:5506812
Kope Scheelite Mine	id=g:5506813
Kossuth Mine	id=g:5506814
Kraft Canyon	id=g:5506815
Knox Divide Mine	id=g:5506816
Kustel and Winters Mill	id=g:5506817
Kwichup Spring	id=g:5506818
Kyle	id=g:5506819
Kyle Canyon	id=g:5506820
Kraft Spring	id=g:5506821
Kyle Canyon RV Camp	id=g:5506822
Kyle Canyon Ranger Station	id=g:5506823
Kyle Canyon Summer Home Area	id=g:5506824
Kyle Ranch (historical)	id=g:5506825
Kyle Ranch Historic Site	id=g:5506826
Kyle Spring	id=g:5506827
Kyles Saw Mill (historical)	id=g:5506828
L 12 Canal	id=g:5506829
L 3 Drain	id=g:5506830
L D Drain	id=g:5506831
L Drain	id=g:5506832
L Line Canal	id=g:5506833
L2 Drain	id=g:5506834
La Panta	id=g:5506835
La Panta Mine	id=g:5506836
La Plata	id=g:5506837
La Plata City Post Office	id=g:5506838
La Plata Mine	id=g:5506839
La Plata Mining District	id=g:5506840
LaBarry Ranch	id=g:5506841
Labbe Camp	id=g:5506842
Labbe Mine	id=g:5506843
Laborde Ranch	id=g:5506844
Laborde Well Number Six	id=g:5506845
Laborde Well Number Three	id=g:5506846
Labou Flat	id=g:5506847
Lackawanna Springs	id=g:5506848
Ladd Mountain	id=g:5506849
Lady Adams Mine	id=g:5506850
Lady Bird Park	id=g:5506851
Lady Bryan Mill (historical)	id=g:5506852
Lady Bryan Mine	id=g:5506853
Lady Washington Mine	id=g:5506854
Lady of Lyons Mine	id=g:5506855
Lady of the Lake Mine	id=g:5506856
Lady of the Snows Camp	id=g:5506857
Lafes Reservoir	id=g:5506858
Lagari Well	id=g:5506859
Lagari Well	id=g:5506860
Lager Beer Mine	id=g:5506861
Lagomarsino Canyon	id=g:5506862
Kyle Canyon Campground	id=g:5506863
Laguna Mine	id=g:5506864
Lahontan (historical)	id=g:5506865
Lahontan Boat Landing	id=g:5506866
Lahontan Dam	id=g:5506867
Lahontan Mine	id=g:5506868
Lahontan Mountains	id=g:5506869
Lahontan National Fish Hatchery	id=g:5506870
Lahontan Post Office (historical)	id=g:5506871
Lahontan Reservoir	id=g:5506872
Lahontan State Game Refuge	id=g:5506873
Lahontan State Recreation Area	id=g:5506874
Lahontan Summit	id=g:5506875
Lahontan Valley	id=g:5506876
Lahontan Well	id=g:5506877
Lake Bigler Lumber Company Sawmill (historical)	id=g:5506878
Lake Ditch	id=g:5506879
Lake Mead Christian Academy	id=g:5506880
Lake Mead Base Branch Post Office (historical)	id=g:5506881
Lake Mead Hospital Medical Center	id=g:5506882
Lake Mead Lodge	id=g:5506883
Lake Mead Marina	id=g:5506884
Lake Mead National Recreation Area	id=g:5506885
Lake Mead Recreation Ranger Headquarters	id=g:5506886
Lake Mead Shopping Center	id=g:5506887
Lake Mining District	id=g:5506888
Lake Number One	id=g:5506889
Lake Number One Dam	id=g:5506890
Lake Park	id=g:5506891
Lake Peak	id=g:5506892
Lake Ranch	id=g:5506893
Lake Spring	id=g:5506894
Lake Spring	id=g:5506895
Lake Tahoe State Park	id=g:5506896
Lake Tahoe State Park Boat Ramp	id=g:5506897
Lake Valley	id=g:5506898
Lake Valley	id=g:5506899
Lagomarsino Petroglyph Site	id=g:5506900
Lake Valley Landing Strip	id=g:5506901
Lake Valley Summit	id=g:5506902
Lake Valley Summit Spring	id=g:5506903
Lake View Post Office (historical)	id=g:5506904
Lakeridge	id=g:5506905
Lakeridge Golf Course	id=g:5506906
Lakeshore Mine	id=g:5506907
Lakeside Bays	id=g:5506908
Lakeside Mine	id=g:5506909
Lakeside Plaza	id=g:5506910
Lakeside Village Plaza	id=g:5506911
Lakeview	id=g:5506912
Lakeview (historical)	id=g:5506913
Lakeview Interchange	id=g:5506914
Lakeview Mine	id=g:5506915
Lakeview Mine	id=g:5506916
Lakeview Point	id=g:5506917
Lakeview Post Office (historical)	id=g:5506918
Lakeview Summit	id=g:5506919
Lamar (historical)	id=g:5506920
Lamartine Mine	id=g:5506921
Lamb Spring	id=g:5506922
Lamb Spring	id=g:5506923
Lambert Ranch	id=g:5506924
Lambertucci Airstrip	id=g:5506925
Lambing Canyon	id=g:5506926
Lake Valley (historical)	id=g:5506927
Lambs Canyon	id=g:5506928
Lambs Pond	id=g:5506929
Lamoreux Canyon	id=g:5506930
Lampe Park	id=g:5506931
Lampson Canyon	id=g:5506932
Lampson Canyon Wash	id=g:5506933
Lampson Spring	id=g:5506934
Lander County	id=g:5506935
Lander Mine	id=g:5506936
Lander Shaft	id=g:5506937
Landmark Helispot	id=g:5506938
