Rebo	id=g:7016090
Rwabavuvu	id=g:7016187
Akarehe	id=g:7016188
Muntwali	id=g:7016189
Agasharu	id=g:7016190
Runyami	id=g:7016191
Jali	id=g:7016192
Uwumuko	id=g:7016193
Kibingo	id=g:7016194
Gisizi	id=g:7016195
Mushwati	id=g:7016196
Rwarutsobe	id=g:7016197
Uwamuhizi	id=g:7016198
Byerwa	id=g:7016199
Mbogo	id=g:7016200
Toraniro	id=g:7016201
Kamabuye	id=g:7016202
Gikomero	id=g:7016203
Ngarulira	id=g:7016204
Agahanga	id=g:7016205
Nyarusovu	id=g:7016206
Umurambi	id=g:7016207
Rushubi	id=g:7016208
Musizi	id=g:7016209
Gatare	id=g:7016210
Cyaratsi	id=g:7016211
Mubuga	id=g:7016212
Kibingo	id=g:7016213
Rwarusonga	id=g:7016214
Murubande	id=g:7016215
Rutamu	id=g:7016216
Cyiruhura	id=g:7016217
Ndago	id=g:7016218
Nyarusovu	id=g:7016219
Gasharu	id=g:7016220
Nyamirama	id=g:7016221
Nyakabingo	id=g:7016222
Ngarama	id=g:7016223
Bunge	id=g:7016224
Kiramutse	id=g:7016225
Remera	id=g:7016226
Akamiranzovu	id=g:7016227
Bukeye	id=g:7016228
Kabilizi	id=g:7016229
Rwamikara	id=g:7016230
Runyinya	id=g:7016231
Akogo	id=g:7016232
Urusambu	id=g:7016233
Mukuge	id=g:7016234
Nyakabazi	id=g:7016235
Nyanza	id=g:7016236
Gashiru	id=g:7016237
Rohero	id=g:7016238
Uwimfizi	id=g:7016239
Musizi	id=g:7016240
Cyamungabo	id=g:7016241
Mubuga	id=g:7016242
Nyabibugu	id=g:7016243
Cyamutumba	id=g:7016244
Sheke	id=g:7016245
Rutare	id=g:7016246
Uwagahilima	id=g:7016247
Akabacuzi	id=g:7016248
Gatare	id=g:7016249
Rubiha	id=g:7016250
Agafunzo	id=g:7016251
Sheke	id=g:7016252
Urushubi	id=g:7016253
Kavumu	id=g:7016254
Mugali	id=g:7016255
Kajororo	id=g:7016256
Gihango	id=g:7016257
Nkomero	id=g:7016258
Nyarusharara	id=g:7016259
Kabuga	id=g:7016260
Shingangabo	id=g:7016261
Rwakagaju	id=g:7016262
Ruhuma	id=g:7016263
Agatare	id=g:7016264
Rubona	id=g:7016265
Nyarushishi	id=g:7016266
Mazatukura	id=g:7016267
Rwintembe	id=g:7016268
Agasharu	id=g:7016269
Miko	id=g:7016270
Ikiziga	id=g:7016271
Nyarwumba	id=g:7016272
Nyiranda	id=g:7016273
Musizi	id=g:7016274
Umurambi	id=g:7016275
Nyabisindu	id=g:7016276
Nkomero	id=g:7016277
Uwarugina	id=g:7016278
Uwimana	id=g:7016279
Gasuma	id=g:7016280
Rasaniro	id=g:7016281
Kirama	id=g:7016282
Kabuburu	id=g:7016283
Akaremera	id=g:7016284
Bweramana	id=g:7016285
Kayogo	id=g:7016286
Kibilizi	id=g:7016287
Uwintobo	id=g:7016288
Cyago	id=g:7016289
Cyambwe	id=g:7016290
Zihali	id=g:7016291
Kibu	id=g:7016292
Munanira	id=g:7016293
Nyamugali	id=g:7016294
Rwinkuba	id=g:7016295
Karama	id=g:7016296
Kinyaga	id=g:7016297
Kabuye	id=g:7016298
Ruyobora	id=g:7016299
Agateko	id=g:7016300
Akagote	id=g:7016301
Busoro	id=g:7016302
Uwifuro	id=g:7016303
Rusaniro	id=g:7016304
Kigona	id=g:7016305
Nyakira	id=g:7016306
Nyamatama	id=g:7016307
Umukura	id=g:7016308
Kibayi	id=g:7016309
Mpanda	id=g:7016310
Ruvumvu	id=g:7016311
Grand Seminaire Nyakibanda	id=g:7016312
Ntanda	id=g:7016313
Agatare	id=g:7016314
Nyagishayo	id=g:7016315
Rwashumbusho	id=g:7016316
Gishamvu	id=g:7016317
Rwinuma	id=g:7016318
Rwabymana	id=g:7016319
Rugalika	id=g:7016320
Uwarurayi	id=g:7016321
Kizenga	id=g:7016322
Kalimba	id=g:7016323
Rwakaramba	id=g:7016324
Umusizi II	id=g:7016325
Rurembo	id=g:7016326
Buguli	id=g:7016327
Gikunzi	id=g:7016328
Rushubi	id=g:7016329
Nyange	id=g:7016330
Muboni	id=g:7016331
Nyakibanda	id=g:7016332
Ikibazo	id=g:7016333
Nyagacyamu	id=g:7016334
Mpunge	id=g:7016335
Nyabicuma	id=g:7016336
Raranzige	id=g:7016337
Munege	id=g:7016338
Nyarunyinya	id=g:7016339
Umusizi I	id=g:7016340
Akajonge	id=g:7016341
Irango	id=g:7016342
Rwimbogo	id=g:7016343
Muhora	id=g:7016344
Rwomeka	id=g:7016345
Kigaza	id=g:7016346
Gikombe	id=g:7016347
Agateko	id=g:7016348
Rukiza	id=g:7016349
Akabacura	id=g:7016350
Karugiranka	id=g:7016351
Agasharu	id=g:7016352
Nyarugumba	id=g:7016353
Nyamashaza	id=g:7016354
Viro	id=g:7016355
Igitwa	id=g:7016356
Gasekebuye	id=g:7016357
Banga	id=g:7016358
Akagera	id=g:7016359
Nyamumira	id=g:7016360
Kivu	id=g:7016361
Migina	id=g:7016362
Gakombe	id=g:7016363
Gakoma	id=g:7016364
Musange	id=g:7016365
Uwisasu	id=g:7016366
Vumbi	id=g:7016367
Ruhunga	id=g:7016368
Kubutare	id=g:7016369
Kiduha	id=g:7016370
Rugarama	id=g:7016371
Muhembe	id=g:7016372
Byimana	id=g:7016373
Ubutamenwa	id=g:7016374
Nyamapfunda	id=g:7016375
Gatenga	id=g:7016376
Nyacyondo	id=g:7016377
Agatare	id=g:7016378
Limbanya	id=g:7016379
Runyinya	id=g:7016380
Uwababanda	id=g:7016381
Buhoro	id=g:7016382
Uwarugondo	id=g:7016383
Kinazi	id=g:7016384
Akagogo	id=g:7016385
Gahondo	id=g:7016386
Rwankoni	id=g:7016387
Rwimbogo	id=g:7016388
Bukoro	id=g:7016389
Gasharu	id=g:7016390
Kaburemera	id=g:7016391
Rukara	id=g:7016392
Mataba	id=g:7016393
Gabiro	id=g:7016394
Ruhwama	id=g:7016395
Ruhuha	id=g:7016396
Gatare	id=g:7016397
Nyamabuye	id=g:7016399
Maryohe	id=g:7016401
Rwaza	id=g:7016403
Nyabyunyu	id=g:7016405
Mpare	id=g:7016407
Kiduha	id=g:7016409
Kibingo	id=g:7016411
Nyarutovu	id=g:7016413
Runga	id=g:7016415
Kumuyange	id=g:7016417
Ryamuhumbi	id=g:7016419
Kiravumba	id=g:7016421
Kivugiza	id=g:7016423
Rukara	id=g:7016425
Zaga	id=g:7016427
Nyarutovu	id=g:7016429
Kaburemera	id=g:7016431
Nyarwumba	id=g:7016433
Gasasa	id=g:7016435
Mashetsa	id=g:7016437
Bukoro	id=g:7016439
Ruvuzo	id=g:7016441
Tububuru	id=g:7016443
Runga	id=g:7016445
Kinyonyo	id=g:7016447
Kansi	id=g:7016449
Nyamirambo	id=g:7016451
Gahororo	id=g:7016453
Gaseke	id=g:7016455
Ururenda	id=g:7016457
Nyarurenda	id=g:7016459
Nyarusange	id=g:7016461
Nyamikaba	id=g:7016463
Nyakagezi	id=g:7016465
Nyagashurushuru	id=g:7016467
Rwinanka	id=g:7016469
Agatorove	id=g:7016471
Matyazo	id=g:7016473
Kigarama	id=g:7016475
Urubaya	id=g:7016477
Magondo	id=g:7016479
Rushoka	id=g:7016481
Rwonga	id=g:7016483
Butare-Ville	id=g:7016485
Tonga	id=g:7016487
Nyagatwaba	id=g:7016489
Nyarugano	id=g:7016491
Rukira	id=g:7016493
Kibali	id=g:7016495
Kidobogo	id=g:7016497
Mukimba	id=g:7016499
Kanazi	id=g:7016501
Rugarama	id=g:7016503
Gasizi	id=g:7016505
Ramba	id=g:7016507
Gicubuko	id=g:7016509
Nyanza	id=g:7016511
Runywamazi	id=g:7016513
Nyarunazi	id=g:7016515
Gihuma	id=g:7016517
Kamagonde	id=g:7016519
Mpungwe	id=g:7016522
Gikongoro	id=g:7016524
Ntindo	id=g:7016526
Gitwa	id=g:7016528
Nyakavumu	id=g:7016530
Musizi	id=g:7016532
Kabaka	id=g:7016534
Cyingwa	id=g:7016536
Murambi	id=g:7016538
Nyabitare	id=g:7016540
Nkima	id=g:7016543
Kigugu	id=g:7016545
Nyabiyogo	id=g:7016547
Uruyange	id=g:7016549
Matyazo	id=g:7016551
Impinga	id=g:7016553
Gasharu	id=g:7016555
Kibingo	id=g:7016557
Gisorora	id=g:7016559
Umuduha	id=g:7016561
Kinyana	id=g:7016563
Kanyaruhinda	id=g:7016565
Gatwaro	id=g:7016567
Runono	id=g:7016569
Rukeli	id=g:7016571
Kabuga	id=g:7016573
Sovu	id=g:7016575
Nyarusazi	id=g:7016577
Nyakagezi	id=g:7016579
Uwinbogo	id=g:7016581
Rusundwe	id=g:7016583
Gikomero	id=g:7016585
Nyakirambi	id=g:7016587
Gasharu	id=g:7016589
Kimpunga	id=g:7016591
Ndobogo	id=g:7016593
Karuhayi	id=g:7016595
Tugogo	id=g:7016597
Kigarama	id=g:7016599
Ndobogo	id=g:7016601
Cyafurwe	id=g:7016603
Nyamabuye	id=g:7016605
Gatobotobo	id=g:7016608
Mukingo	id=g:7016610
Ruranga	id=g:7016612
Kamirahuyo	id=g:7016614
Nyamabuye	id=g:7016616
Mashyuza	id=g:7016618
Shyembe	id=g:7016620
Kabakono	id=g:7016622
Nyarusange	id=g:7016624
Rutuna	id=g:7016626
Gako	id=g:7016628
Gasarabuye	id=g:7016630
Rugango	id=g:7016632
Rulyango	id=g:7016634
Nyarusange	id=g:7016636
Buremera	id=g:7016638
Nyantende	id=g:7016640
Mutunda	id=g:7016642
Kimuna	id=g:7016644
Bugizi	id=g:7016646
Nyarure	id=g:7016648
Karambi	id=g:7016650
Akabuga	id=g:7016652
Kigusa	id=g:7016654
Shyembe	id=g:7016656
Gatumbazi	id=g:7016658
Kigusa	id=g:7016660
Gatare	id=g:7016662
Buremera	id=g:7016664
Kibali	id=g:7016666
Munyacyondo	id=g:7016668
Kavumu	id=g:7016670
Kagoma	id=g:7016672
Kabyira	id=g:7016674
Nkomane	id=g:7016676
Gitwa	id=g:7016678
Kabuye	id=g:7016680
Kibiraro	id=g:7016682
Nyabisindu	id=g:7016684
Nyamvumba	id=g:7016686
Kinazi	id=g:7016688
Gahanga	id=g:7016690
Mburabuturo	id=g:7016692
Nyarwotsi	id=g:7016694
Gashikili	id=g:7016696
Muhembe	id=g:7016698
Maraba	id=g:7016700
Mbogo	id=g:7016702
Ryarubondo	id=g:7016704
Nyarusiza	id=g:7016706
Nkorwe	id=g:7016708
Rususa	id=g:7016710
Rwatsi	id=g:7016712
Kizi	id=g:7016714
Gasharu	id=g:7016716
Mukagende	id=g:7016718
Mwendo	id=g:7016720
Gasumba	id=g:7016722
Murambi	id=g:7016724
Kanserege	id=g:7016726
Cyendajuru	id=g:7016728
Shyinga	id=g:7016730
Kagera	id=g:7016732
Nyakagezi	id=g:7016735
Kibilizi	id=g:7016737
Kayeye	id=g:7016739
Kirwa	id=g:7016741
Kibanda	id=g:7016743
Kinombe	id=g:7016745
Gitwa	id=g:7016747
Nyamiyaga	id=g:7016749
Muyinza	id=g:7016751
Rugendabali	id=g:7016753
Rutiti	id=g:7016755
Nyarunyinya	id=g:7016757
Gasave	id=g:7016759
Rukoko	id=g:7016761
Rusagara	id=g:7016763
Kigwene	id=g:7016765
Ryamuganza	id=g:7016767
Kanyinya	id=g:7016769
Kamicaca	id=g:7016771
Kazenga	id=g:7016773
Ruheru	id=g:7016775
Gihobobo	id=g:7016777
Muhero	id=g:7016779
Rugaragara	id=g:7016781
Gahanga	id=g:7016783
Nyakagezi	id=g:7016785
Kinuka	id=g:7016787
Nyabwoma	id=g:7016789
Mukoni	id=g:7016791
Kaganda	id=g:7016793
Buhoro	id=g:7016795
Kabusanza	id=g:7016797
Maliza	id=g:7016799
Kidakama	id=g:7016801
Rwakamonyo	id=g:7016804
Kigoma	id=g:7016806
Mpanda	id=g:7016808
Kagarama	id=g:7016810
Kayogoro	id=g:7016812
Nyesayo	id=g:7016814
Nyakagezi	id=g:7016816
Muranda	id=g:7016818
Nyamirama	id=g:7016820
Mugano	id=g:7016822
Bwiza	id=g:7016825
Bunzazi	id=g:7016827
Kamegeri	id=g:7016829
Karambi	id=g:7016831
Nyarubaka	id=g:7016833
Mukura	id=g:7016835
Tare	id=g:7016837
Rwameza	id=g:7016839
Rugote	id=g:7016841
Musée National du Rwanda	id=g:7016843
Kibabara	id=g:7016845
Mubyiza	id=g:7016847
Rocher Shari	id=g:7016849
Mumataba	id=g:7016851
Kidahike	id=g:7016853
Station d´Épuration d´Eau Potable Kadahowka	id=g:7016855
Muyogoro	id=g:7016857
Muroli	id=g:7016859
Mpazi	id=g:7016861
Akikirehe	id=g:7016863
Kirambo	id=g:7016865
Rwantibonwa	id=g:7016867
Nyamirongo	id=g:7016869
Kigogo	id=g:7016871
Nyirarwaza	id=g:7016873
Byimana	id=g:7016875
Nyagisenyi	id=g:7016877
Kabacuzi	id=g:7016879
Bambiro	id=g:7016881
Nyamyumba	id=g:7016883
Nyiragahene	id=g:7016885
Mwicubuli	id=g:7016887
Nyantanga	id=g:7016889
Rwarukumbi	id=g:7016891
Ijari	id=g:7016893
Ryarukunyu	id=g:7016895
Gashayo	id=g:7016897
Nyamuko	id=g:7016899
Kinyamahanga	id=g:7016901
Kabuhembe	id=g:7016903
Kigogo	id=g:7016905
Kiziguro	id=g:7016907
Nkoto	id=g:7016909
Nyamaliba	id=g:7016911
Gashurushwa	id=g:7016913
Urwonjya	id=g:7016915
Akabingo	id=g:7016917
Nkonji	id=g:7016919
Nyamyijima	id=g:7016921
Rwagishanja	id=g:7016923
Muhura	id=g:7016925
Kabinduro	id=g:7016927
Gisuma	id=g:7016929
Gisagara	id=g:7016931
Rusumba	id=g:7016933
Kiborogotwa	id=g:7016935
Nyakagezi	id=g:7016937
Cyahafi	id=g:7016939
Rukaragata	id=g:7016941
Nyabigogwe	id=g:7016943
Munyoma	id=g:7016945
Gatara	id=g:7016947
Kigarama	id=g:7016949
Agasayo	id=g:7016951
Kibingo	id=g:7016953
Nyagafunzo	id=g:7016955
Ruhombo	id=g:7016957
Agakenyeri	id=g:7016959
Gisuma	id=g:7016961
Rubona	id=g:7016963
Rwamusheyi	id=g:7016965
Nyabigugu	id=g:7016967
Rwanyuayeye	id=g:7016969
Agatare	id=g:7016971
Bujyo	id=g:7016973
Cyamunana	id=g:7016975
Rubazi	id=g:7016977
Rwimondo	id=g:7016979
Rusiza	id=g:7016981
Akagati	id=g:7016983
Gasonyi	id=g:7016985
Agahama	id=g:7016987
Gisuma	id=g:7016989
Nkomane	id=g:7016991
Agahama	id=g:7016993
Gikokwe	id=g:7016995
Rugaragara	id=g:7016997
Gaseke	id=g:7016999
Rwakibungo	id=g:7017001
Bahimba	id=g:7017003
Rwabyuma	id=g:7017005
Bwanza	id=g:7017007
Akanyaru	id=g:7017009
Rugomero	id=g:7017011
Nyiramigani	id=g:7017013
Rwarugina	id=g:7017016
Rugarama	id=g:7017018
Uwamazi	id=g:7017020
Nyaruhobobo	id=g:7017022
Akamutsinzi	id=g:7017024
Ruhembe	id=g:7017026
Rwaburyoli	id=g:7017028
Nyirantogero	id=g:7017030
Ikinyamaganga	id=g:7017032
Nyamuko	id=g:7017034
Ikigarama	id=g:7017036
Kinuka	id=g:7017038
Urubaya	id=g:7017040
Nyakaliba	id=g:7017042
Kinyweka	id=g:7017044
Akagogwe	id=g:7017046
Ryanyirasine	id=g:7017048
Gatoki	id=g:7017050
Ruhono	id=g:7017052
Rugomoro	id=g:7017054
Igisuma	id=g:7017056
Uruhama	id=g:7017058
Rusaro	id=g:7017060
Gaseke	id=g:7017062
Gasayo	id=g:7017064
Gakokwe	id=g:7017066
Akogogo	id=g:7017068
Agatare	id=g:7017070
Kaganda	id=g:7017072
Kinanira	id=g:7017074
Rweru	id=g:7017076
Karukurura	id=g:7017078
Uwamunungu	id=g:7017080
Karehe	id=g:7017082
Gatezonyo	id=g:7017084
Gashiha	id=g:7017086
Kibingo	id=g:7017088
Icyabisyati	id=g:7017090
Agasito	id=g:7017092
Mbuli	id=g:7017094
Uwagasare	id=g:7017096
Kibingo	id=g:7017098
Muwurublogo	id=g:7017100
Uwamunini	id=g:7017102
Rwamabamba	id=g:7017104
Mukaziguro	id=g:7017106
Mutulirwa	id=g:7017108
Cyarusaho	id=g:7017110
Rwamasasa	id=g:7017112
Cyabicuba	id=g:7017114
Agafunzo	id=g:7017116
Uwanyota	id=g:7017118
Gatare	id=g:7017120
Gisuma	id=g:7017122
Gatare	id=g:7017124
Ikinyamaganga	id=g:7017126
Nyarukoke	id=g:7017128
Agahama	id=g:7017130
Agatizo	id=g:7017132
Ruhuma	id=g:7017134
Nyakabande	id=g:7017136
Nyamunyura	id=g:7017138
Mukabyeyi	id=g:7017140
Cyamashuhe	id=g:7017142
Rwankombe	id=g:7017144
Akadymbwe	id=g:7017146
Kigogo	id=g:7017148
Kamirabagenzi	id=g:7017150
Nyarwondo	id=g:7017152
Uwunugezi	id=g:7017154
Gisuma	id=g:7017156
Nyarushishi	id=g:7017158
Urukoma	id=g:7017160
Mukagende	id=g:7017162
Agahama	id=g:7017164
Nyakabingo	id=g:7017166
Nyesayo	id=g:7017168
Agaseke	id=g:7017170
Agahama	id=g:7017172
Akagera	id=g:7017174
Kagina	id=g:7017176
Nyarushishi	id=g:7017178
Ruhati	id=g:7017180
Akagogo	id=g:7017182
Rwakinyamujugu	id=g:7017184
Rwakabali	id=g:7017186
Rugezi	id=g:7017188
Ruhondohondo	id=g:7017190
Uwarukarama	id=g:7017192
Uwarusasa	id=g:7017194
Uwumwumba	id=g:7017196
Rushaya	id=g:7017198
Bahangaza	id=g:7017200
Igitita	id=g:7017202
Kinyamaganga	id=g:7017204
Rwamuhara	id=g:7017206
Kivugiza	id=g:7017208
Agaturo	id=g:7017210
Ryakadiba	id=g:7017212
Uwinkiko	id=g:7017214
Nyabirare	id=g:7017216
Igisuma	id=g:7017218
Ihurulizo	id=g:7017220
Rukoma	id=g:7017222
Gateagati	id=g:7017224
Akaryeti	id=g:7017226
Ikuryamaganga	id=g:7017228
Uruhondo	id=g:7017230
Cymiyo	id=g:7017232
Gahurura	id=g:7017234
Rubuye	id=g:7017236
Akambu	id=g:7017238
Agatare	id=g:7017240
Igisuma	id=g:7017242
Muwisazi	id=g:7017244
Kageyo	id=g:7017246
Umukura	id=g:7017248
Bisuka	id=g:7017250
Mayumba	id=g:7017252
Mucyanyumviro	id=g:7017254
Uwimana	id=g:7017256
Cyarusengo	id=g:7017258
Kampondwe	id=g:7017260
Cyanyirarukwerero	id=g:7017262
Uwasemaroboro	id=g:7017264
Rushubi	id=g:7017266
Nyabitare	id=g:7017268
Kagarama	id=g:7017270
Kavomo	id=g:7017272
Bikombe	id=g:7017274
Rwufe	id=g:7017276
Gikombe	id=g:7017278
Nyabigugu	id=g:7017280
Rwingwe	id=g:7017282
Akabarera	id=g:7017284
Ruhondo	id=g:7017286
Rwamuhirwa	id=g:7020115
Kamabuye	id=g:7020116
Busesa	id=g:7020117
Nyamubandwa	id=g:7020118
Karangiro	id=g:7020119
Nyabwinshi	id=g:7020120
Gaseke	id=g:7020121
Rwinkuba	id=g:7020122
Macokoro	id=g:7020123
Butare	id=g:7020124
Nyamuliro	id=g:7020125
Kabisheshe	id=g:7020126
Karambo	id=g:7020127
Nyamulira	id=g:7020128
Nyabwinshi	id=g:7020129
Nyamiyaga	id=g:7020130
Nyamazi	id=g:7020131
Busozo	id=g:7020132
Mwiyando	id=g:7020133
Mbanda	id=g:7020134
Mizibira	id=g:7020135
Rugazi	id=g:7020136
Boli	id=g:7020137
Nyamugali	id=g:7020138
Nyarusange	id=g:7020139
Gitwa	id=g:7020140
Kanyinya	id=g:7020141
Nyarutovu	id=g:7020142
Karehe	id=g:7020143
Ruhabwa	id=g:7020144
Nyamunkaba	id=g:7020145
Nyarungu	id=g:7020146
Bukamba	id=g:7020147
Binyugwe	id=g:7020148
Ruhinga	id=g:7020149
Nyagafunzo	id=g:7020150
Gihaya	id=g:7020151
Nyagashikura	id=g:7020152
Muganza	id=g:7020153
Gatagara	id=g:7020154
Rubona	id=g:7020155
Karambi	id=g:7020156
Kamanu	id=g:7020157
Nyamateke	id=g:7020158
Nyanunda	id=g:7020159
Gitunda	id=g:7020160
Gakeli	id=g:7020161
Muhora	id=g:7020162
Gasebeya	id=g:7020163
Nyamurembe	id=g:7020164
Karengera	id=g:7020165
Rulimbi	id=g:7020166
Nyabintare	id=g:7020167
Rukunguli	id=g:7020168
Nkungu	id=g:7020169
Kanoga	id=g:7020170
Cyangirwe	id=g:7020171
Nyakagoma	id=g:7020172
Butanda	id=g:7020173
Gishagara	id=g:7020174
Rwamubature	id=g:7020175
Gatambamo	id=g:7020176
Rujebeli	id=g:7020177
Masango	id=g:7020178
Mpinga	id=g:7020179
Bunyereri	id=g:7020180
Nyagato	id=g:7020181
Nyakabuye	id=g:7020182
Kamanu	id=g:7020183
Rwimbogo	id=g:7020184
Murambi	id=g:7020185
Bugumya	id=g:7020186
Kareba	id=g:7020187
Bayumbo	id=g:7020188
Nyabutagwa	id=g:7020189
Kinunga	id=g:7020190
Ruguti	id=g:7020191
Nyamihanda	id=g:7020192
Makoko	id=g:7020193
Butare	id=g:7020194
Nyamaronko	id=g:7020195
Kiziho	id=g:7020196
Muramba I	id=g:7020197
Kibenga	id=g:7020198
Bitendezi	id=g:7020199
Gatare	id=g:7020200
Rwengezi	id=g:7020201
Mwoya	id=g:7020202
Gatereli	id=g:7020203
Gasumo	id=g:7020204
Butare	id=g:7020205
Nyirabamogo	id=g:7020206
Murundo	id=g:7020207
Gasesero	id=g:7020208
Gisovu	id=g:7020209
Mukunguzi	id=g:7020210
Kibabagirwa	id=g:7020211
Cyamura	id=g:7020212
Nyampanga	id=g:7020213
Murwa	id=g:7020214
Nyabusheshe	id=g:7020215
Nyabihanga	id=g:7020216
Kazinda	id=g:7020217
Nyamigina	id=g:7020218
Matyazo	id=g:7020219
Nyabishungu	id=g:7020220
Nyabitare	id=g:7020221
Cyiyambo	id=g:7020222
Shita	id=g:7020223
Kindabure	id=g:7020224
Mugongowingwe	id=g:7020225
Nyamuzi	id=g:7020226
Shota	id=g:7020227
Gikungu	id=g:7020228
Bannyahe	id=g:7020229
Mivumo	id=g:7020230
Nyamuzi	id=g:7020231
Bweyeye	id=g:7020232
Gikundamvura	id=g:7020233
Bushenge	id=g:7020234
Mpinga	id=g:7020235
Mubera	id=g:7020236
Muganza	id=g:7020237
Cyarukara	id=g:7020238
Muganza	id=g:7020239
Ruhoho	id=g:7020240
Kizura	id=g:7020241
Gihungwe	id=g:7020242
Murira	id=g:7020243
Kabano	id=g:7020244
Kabamba	id=g:7020245
Bicuma	id=g:7020246
Rusayo	id=g:7020247
Misufi	id=g:7020248
Kamabuye	id=g:7020249
Gihigano	id=g:7020250
Buhanga	id=g:7020251
Kibangira	id=g:7020252
Nyange	id=g:7020253
Pera	id=g:7020254
Gihigano	id=g:7020255
Nyehonga	id=g:7020256
Lyankana	id=g:7020257
Mutongo	id=g:7020258
Kibangira	id=g:7020259
Mubombo	id=g:7020260
Gakangaga	id=g:7020261
Bize	id=g:7020262
Kanihura	id=g:7020263
Kagabiro	id=g:7020264
Kazibo	id=g:7021143
Rutabita	id=g:7021144
Gatikirema	id=g:7021145
Nyabunzinya	id=g:7021146
Kabaga	id=g:7021147
Gasayo	id=g:7021148
Nyamucyombanyi	id=g:7021149
Nyabudacya	id=g:7021150
Mbuga	id=g:7021151
Gikuyu	id=g:7021152
Gaseke	id=g:7021153
Lyabugese	id=g:7021154
Murivuga	id=g:7021155
Mubikiro	id=g:7021156
Nyirahindwe	id=g:7021157
Nyarubura	id=g:7021158
Nyirakibuye	id=g:7021159
Gasharara	id=g:7021160
Kibanda	id=g:7021161
Gasayo	id=g:7021162
Gako	id=g:7021163
Bihongerwa	id=g:7021164
Mihohwe	id=g:7021165
Gahisi	id=g:7021166
Rwambeho	id=g:7021167
Gasebeya	id=g:7021168
Nyamugozi	id=g:7021169
Kiririma	id=g:7021170
Nyirangogo	id=g:7021171
Kinyamaganga	id=g:7021172
Shangazi	id=g:7021173
Rugomero	id=g:7021174
Matyazo	id=g:7021175
Nyiragasigo	id=g:7021176
Cyumufu	id=g:7021177
Tugumita	id=g:7021178
Agasanani	id=g:7021179
Rumuna	id=g:7021180
Macu	id=g:7021181
Gakenke	id=g:7021182
Wamaya	id=g:7021183
Gakabwa	id=g:7021184
Gikangaga	id=g:7021185
Maryohe	id=g:7021186
Bitare	id=g:7021187
Bizi	id=g:7021188
Nyakagezi	id=g:7021189
Kalibulibu	id=g:7021190
Mwanana	id=g:7021191
Rugomero	id=g:7021192
Nyarubande	id=g:7021193
Cyarwishi	id=g:7021194
Kijagi	id=g:7021195
Kariba	id=g:7021196
Rugomero	id=g:7021197
Rwakayenga	id=g:7021198
Akagobwe	id=g:7021199
Gaseke	id=g:7021200
Nyabibi	id=g:7021201
Kabare	id=g:7021202
