Spouse Gulch Picnic Area	id=g:5679628
Spring Creek Dam	id=g:5679884
Spring Creek Dam	id=g:5679885
Spring Creek Ditch	id=g:5679886
Spring Creek Fishing Access Site	id=g:5679887
Spring Creek Fishing Access Site	id=g:5679888
Spring Creek Irrigation Dam	id=g:5679889
Spring Creek Junction	id=g:5679890
Spring Creek Lake Dam	id=g:5679891
Spring Creek Post Office (historical)	id=g:5679892
Spring Creek RV Park	id=g:5679893
Spring Creek Ranch	id=g:5679894
Spring Creek Reservoir	id=g:5679895
Spring Creek Reservoir	id=g:5679896
Spring Creek School	id=g:5679897
Spring Creek School (historical)	id=g:5679898
Spring Creek School (historical)	id=g:5679899
Spring Creek School (historical)	id=g:5679900
Spring Creek School (historical)	id=g:5679901
Spring Creek School (historical)	id=g:5679902
Spring Creek School (historical)	id=g:5679903
Spring Creek School (historical)	id=g:5679904
Spring Creek School (historical)	id=g:5679905
Spring Creek Spring	id=g:5679906
Spring Ditch	id=g:5679907
Spring Draw	id=g:5679908
Spring Creek (historical)	id=g:5679909
Spring Draw	id=g:5679910
Spring Draw	id=g:5679911
Spring Grove Trailer Court	id=g:5679912
Spring Gulch	id=g:5679913
Spring Gulch	id=g:5679914
Spring Gulch	id=g:5679915
Spring Gulch	id=g:5679916
Spring Gulch	id=g:5679917
Spring Gulch	id=g:5679918
Spring Gulch	id=g:5679919
Spring Gulch	id=g:5679920
Spring Gulch	id=g:5679921
Spring Gulch	id=g:5679922
Spring Gulch	id=g:5679923
Spring Gulch	id=g:5679924
Spring Gulch	id=g:5679925
Spring Gulch	id=g:5679926
Spring Gulch	id=g:5679927
Spring Gulch	id=g:5679928
Spring Gulch	id=g:5679929
Spring Gulch	id=g:5679930
Spring Gulch	id=g:5679931
Spring Gulch	id=g:5679932
Spring Gulch	id=g:5679933
Spring Gulch	id=g:5679934
Spring Gulch	id=g:5679935
Spring Gulch	id=g:5679936
Spring Gulch	id=g:5679937
Spring Gulch	id=g:5679938
Spring Gulch	id=g:5679939
Spring Gulch	id=g:5679940
Spring Gulch	id=g:5679941
Spring Gulch	id=g:5679942
Spring Gulch	id=g:5679943
Spring Gulch	id=g:5679944
Spring Gulch	id=g:5679945
Spring Gulch Campground	id=g:5679946
Spring Gulch School (historical)	id=g:5679947
Spring Hill	id=g:5679948
Spring Hill	id=g:5679949
Spring Hill Campground	id=g:5679950
Spring Hill Mine	id=g:5679951
Spring Hill Mine	id=g:5679952
Spring Hill Pavilion	id=g:5679953
Spring Hill Picnic Area	id=g:5679954
Spring Hill Ranch	id=g:5679955
Spring Hill Tailings	id=g:5679956
Spring Lake	id=g:5679957
Spring Lake Post Office (historical)	id=g:5679958
Spring Lakes	id=g:5679959
Spring Meadow Creek	id=g:5679960
Spring Gulch Mine	id=g:5679961
Spring Meadow Park	id=g:5679962
Spring Mine	id=g:5679963
Spring Number One	id=g:5679964
Spring Number One	id=g:5679965
Spring Number Two	id=g:5679966
Spring Number Two	id=g:5679967
Spring Park	id=g:5679968
Spring Park	id=g:5679969
Spring Park Butte	id=g:5679970
Spring Park Creek	id=g:5679971
Spring Meadow Lake State Park	id=g:5679972
Spring Park Flat	id=g:5679973
Spring Post Office (historical)	id=g:5679974
Spring Ranch	id=g:5679975
Spring Reef Creek	id=g:5679976
Spring Park Creek Mine	id=g:5679977
Spring Valley	id=g:5679978
Spring Slide Mountain	id=g:5679979
Spring Valley Canal	id=g:5679980
Spring Valley Drop	id=g:5679981
Spring Valley School (historical)	id=g:5679982
Spring Valley School (historical)	id=g:5679983
Spring Valley School (historical)	id=g:5679984
Spring Valley School (historical)	id=g:5679985
Spring Valley School (historical)	id=g:5679986
Spring Valley School (historical)	id=g:5679987
Spring Valley School (historical)	id=g:5679988
Spring Water Colony School	id=g:5679989
Spring Willow Coulee	id=g:5679990
Spring Valley (historical)	id=g:5679991
Springcreek Post Office (historical)	id=g:5679992
Springdale	id=g:5679993
Springdale (historical)	id=g:5679994
Springdale Bridge	id=g:5679995
Springdale Bridge Fishing Access Site	id=g:5679996
Springdale Colony	id=g:5679997
Springdale Colony Dam	id=g:5679998
Springdale Colony School	id=g:5679999
Springdale Dam	id=g:5680000
Springdale Elementary School	id=g:5680001
Springdale Number 2 Dam	id=g:5680002
Springdale Number 3 Dam	id=g:5680003
Springdale Number 4 Dam	id=g:5680004
Springdale Post Office	id=g:5680005
Springdale Ranch	id=g:5680006
Springdale School (historical)	id=g:5680007
Springer Creek	id=g:5680008
Spring-Miller Dam	id=g:5680009
Springhill	id=g:5680010
Springhill Cemetery	id=g:5680011
Springhill Church	id=g:5680012
Springhill Park	id=g:5680013
Springhill Post Office (historical)	id=g:5680014
Springhill School	id=g:5680015
Springs (historical)	id=g:5680016
Springs Campground	id=g:5680017
Springs Gulch	id=g:5680018
Springhill	id=g:5680019
Springs Gulch Creek	id=g:5680020
Springside Ranch	id=g:5680021
Springtime	id=g:5680022
Springtime Mine	id=g:5680023
Springtime Mine	id=g:5680024
Springtime Number 1 Dam	id=g:5680025
Springtime Post Office (historical)	id=g:5680026
Springtown	id=g:5680027
Springtown (historical)	id=g:5680028
Springville (historical)	id=g:5680029
Springwater Colony	id=g:5680030
Sprinkle Coulee	id=g:5680031
Springside Ranch	id=g:5680032
Spritzer Ranch	id=g:5680033
Sprole	id=g:5680034
Sprole Elevator (historical)	id=g:5680035
Spruce (historical)	id=g:5680036
Spruce Creek	id=g:5680037
Sprinkle Trailer Court	id=g:5680038
Spruce Creek	id=g:5680039
Spruce Creek	id=g:5680040
Spruce Creek	id=g:5680041
Spruce Creek	id=g:5680042
Spruce Creek	id=g:5680043
Spruce Creek	id=g:5680044
Spruce Creek	id=g:5680045
Spruce Creek	id=g:5680046
Spruce Creek	id=g:5680047
Spruce Creek	id=g:5680048
Spruce Creek	id=g:5680049
Spruce Creek	id=g:5680050
Spruce Gulch	id=g:5680051
Spruce Gulch	id=g:5680052
Spruce Hills	id=g:5680053
Spruce Lake	id=g:5680054
Spruce Lake	id=g:5680055
Spruce Lookout	id=g:5680056
Spruce Mountain	id=g:5680057
Spruce Park	id=g:5680058
Spruce Park Forest Service Facility	id=g:5680059
Spruce Park Moose Lake Trail	id=g:5680060
Spruce Park RV Park	id=g:5680061
Spruce Point	id=g:5680062
Spruce Springs	id=g:5680063
Spud Creek	id=g:5680064
Spruce Lake	id=g:5680065
Spuhler Gulch	id=g:5680066
Spud Point	id=g:5680067
Spuhler Peak	id=g:5680068
Spuhler Saddle	id=g:5680069
Spur Mountain	id=g:5680070
Spur Park	id=g:5680071
Spurgin Park	id=g:5680072
Spurling	id=g:5680073
Spy Creek	id=g:5680074
Spuhler Gulch Mine	id=g:5680075
Spy Mountain Trail	id=g:5680076
Squabble Creek	id=g:5680077
Spy Mountain	id=g:5680078
Square Butte	id=g:5680079
Square Butte	id=g:5680080
Square Butte	id=g:5680081
Square Butte	id=g:5680082
Square Butte	id=g:5680083
Square Butte	id=g:5680084
Square Butte	id=g:5680085
Square Butte	id=g:5680086
Square Butte	id=g:5680087
Square Butte	id=g:5680088
Square Butte	id=g:5680089
Square Butte	id=g:5680090
Square Butte	id=g:5680091
Square Butte Bench	id=g:5680092
Square Butte Bench Cemetery	id=g:5680093
Square Butte Dam	id=g:5680094
Square Butte Post Office (historical)	id=g:5680095
Square Butte Reservoir Dam	id=g:5680096
Square Butte School (historical)	id=g:5680097
Square Butte School (historical)	id=g:5680098
Square Creek	id=g:5680099
Square Butte	id=g:5680100
Square Creek	id=g:5680101
Square Deal (historical)	id=g:5680102
Square Lake	id=g:5680103
Square Mountain	id=g:5680104
Square Peak	id=g:5680105
Square and Round Dance Center	id=g:5680106
Squaw Butte	id=g:5680107
Duckhead Buttes	id=g:5680108
Big Sagebrush Coulee	id=g:5680109
Square Deal Mine	id=g:5680110
Skl-ow-kin Creek	id=g:5680111
Christiansen Creek	id=g:5680112
Dawussuua Ashkaate	id=g:5680113
Squaw Creek	id=g:5680114
Hot Dance Creek	id=g:5680115
Too-nah-hin Creek	id=g:5680116
Sih-mem Creek	id=g:5680117
In-moolsh Creek	id=g:5680118
North Woman Creek	id=g:5680119
Nancy Russell Creek	id=g:5680120
Cutthroat Creek	id=g:5680121
In-pa-ah Creek	id=g:5680122
Sun Creek	id=g:5680123
Cameron Creek	id=g:5680124
Sin-tin-tin-em-ska Creek	id=g:5680125
Squaw Creek	id=g:5680126
Sqaylth-kwum Creek	id=g:5680127
Squaw Creek (historical)	id=g:5680128
Squaw Creek Ranch	id=g:5680129
Squaw Creek School (historical)	id=g:5680130
Pikuni Flat	id=g:5680131
Sin-pul-stu-weh Gulch	id=g:5680132
Squaw Creek Bridge	id=g:5680133
Squaw Gulch Mine	id=g:5680134
Chewh-toowh-too-peh Hill	id=g:5680135
Too-nah-hin Hollow	id=g:5680136
Squaw Gulch II Mine	id=g:5680137
In-thlam-keh Lake	id=g:5680138
Squaw Meadows	id=g:5680139
Squaw Meadows Creek	id=g:5680140
Lovell Lake	id=g:5680141
Squaw Pass	id=g:5680142
Cube Iron Pass	id=g:5680143
Whe-lha-kleh-tseen Mountain	id=g:5680144
Star Peak Lookout Station	id=g:5680145
Shining Peak Trail	id=g:5680146
Maverick Reservoir	id=g:5680147
Mil-mil-teh Hill	id=g:5680148
Choo-heh-meen Hills	id=g:5680149
Indian Graves Butte	id=g:5680150
Moolsh Hill	id=g:5680151
Squeezer Creek	id=g:5680152
Hirschy Mountain	id=g:5680153
Squiggles Number 1 Dam	id=g:5680154
Squiggles Number 2 Dam	id=g:5680155
Squirrel Creek	id=g:5680156
Squeezer Meadow	id=g:5680157
Squirrel Creek	id=g:5680158
Squirrel Creek School	id=g:5680159
Staats Post Office (historical)	id=g:5680160
Stacey	id=g:5680161
Stacey Creek	id=g:5680162
Sruddy Dam	id=g:5680163
Stacy Island Fishing Access Site	id=g:5680164
Stacy School (historical)	id=g:5680165
Stadium Creek	id=g:5680166
Stack Rocks	id=g:5680167
Stadler Creek	id=g:5680168
Stadium Peak	id=g:5680169
Staff Number 1 Dam	id=g:5680170
Staff Number 2 Dam	id=g:5680171
Staff Post Office (historical)	id=g:5680172
Staff Reservoir	id=g:5680173
Staff School (historical)	id=g:5680174
Stafford Creek	id=g:5680175
Staff Dam	id=g:5680176
Stafford Draw	id=g:5680177
Stafford Post Office (historical)	id=g:5680178
Stafford Spring	id=g:5680179
Stafford Well	id=g:5680180
Stag Creek	id=g:5680181
Stafford Reservoir	id=g:5680182
Stag Rock Creek	id=g:5680183
Stag Rock	id=g:5680184
Stag Rock Spring	id=g:5680185
Stag Rock Spring Number Two	id=g:5680186
Stag Run	id=g:5680187
Stagecoach Gulch	id=g:5680188
Stag Rock Mountain	id=g:5680189
Stagmire Draw	id=g:5680190
Stagger Ranch	id=g:5680191
Stagville Draw	id=g:5680192
Stagville Spring	id=g:5680193
Stahl Creek	id=g:5680194
Stahl Peak	id=g:5680195
Stahlville Post Office (historical)	id=g:5680196
Stainsby (historical)	id=g:5680197
Stair Mine	id=g:5680198
Staley Place	id=g:5680199
Stallabrass Mine	id=g:5680200
Stampede Grounds	id=g:5680201
Stamptown (historical)	id=g:5680202
Standard Creek	id=g:5680203
Stahl Peak Snow Gage	id=g:5680204
Standard Creek	id=g:5680205
Standard Creek Mine	id=g:5680206
Standard Peak	id=g:5680207
Standard School (historical)	id=g:5680208
Standard School (historical)	id=g:5680209
Standard School (historical)	id=g:5680210
Standby Creek	id=g:5680211
Standard Lake	id=g:5680212
Standing Elk Creek	id=g:5680213
Standing Rock	id=g:5680214
Standish Creek	id=g:5680215
Standish Number 1 Dam	id=g:5680216
Standish Number 4 Dam	id=g:5680217
Standish Number 5 Dam	id=g:5680218
Stands Alone Woman Peak	id=g:5680219
Stands Basin	id=g:5680220
Stanford	id=g:5680221
Stanford	id=g:5680222
Stanford Airport	id=g:5680223
Stanford Baptist Church	id=g:5680224
Stanford Cemetery	id=g:5680225
Stanford City Park	id=g:5680226
Stanford Volunteer Fire Department	id=g:5680227
Stanford Post Office	id=g:5680228
Stanford Public Schools	id=g:5680229
Stanford Russell Ranch	id=g:5680230
Stanley (historical)	id=g:5680231
Stanley Chiropractic Center	id=g:5680232
Stanley Coulee	id=g:5680233
Standish Number 3 Dam	id=g:5680234
Stanley Creek	id=g:5680235
Stanley Creek	id=g:5680236
Stanley Creek	id=g:5680237
Stanley Creek	id=g:5680238
Stanley Creek Mine	id=g:5680239
Stanley Mountain	id=g:5680240
Stanley Peak	id=g:5680241
Stanley Spring	id=g:5680242
Stanley Steamer Dam	id=g:5680243
Stanleys Stockade (historical)	id=g:5680244
Stannard Creek	id=g:5680245
Stanley Ditch	id=g:5680246
Stanton Coulee	id=g:5680247
Stansfield Lake	id=g:5680248
Stanton Creek	id=g:5680249
Stanton Creek Lodge Campground	id=g:5680250
Stanton Gulch	id=g:5680251
Stanton Glacier	id=g:5680252
Stanton Mountain	id=g:5680253
Staples Dam	id=g:5680254
Star	id=g:5680255
Star Addition	id=g:5680256
Star Coulee	id=g:5680257
Stanton Lake	id=g:5680258
Star Creek	id=g:5680259
Star Creek	id=g:5680260
Star Creek	id=g:5680261
Star Creek	id=g:5680262
Star Creek	id=g:5680263
Star Creek	id=g:5680264
Star Dust Lake	id=g:5680265
Star Falls	id=g:5680266
Star Gulch	id=g:5680267
Star Creek (historical)	id=g:5680268
Star Meadow	id=g:5680269
Star Meadow Guard Station	id=g:5680270
Star Meadow Ranch	id=g:5680271
Star Mine	id=g:5680272
Star Mine	id=g:5680273
Star Mine	id=g:5680274
Star Mines	id=g:5680275
Star Mobile Home Park	id=g:5680276
Star Park	id=g:5680277
Star Peak	id=g:5680278
Star Ranch	id=g:5680279
Star School (historical)	id=g:5680280
Star School (historical)	id=g:5680281
Star Shopping Center	id=g:5680282
Star Shopping Center	id=g:5680283
Star West Mine	id=g:5680284
Starbuck Coulee	id=g:5680285
Star Lake	id=g:5680286
Stark	id=g:5680287
Stark Creek	id=g:5680288
Stardust Country Inn and RV Park	id=g:5680289
Stark Mountain	id=g:5680290
Stark Mountain Lookout	id=g:5680291
Stark Mountain Vista	id=g:5680292
Stark Post Office (historical)	id=g:5680293
Stark School (historical)	id=g:5680294
Stark School (historical)	id=g:5680295
Starlight Mine	id=g:5680296
Starlight Mine	id=g:5680297
Starlight Mountain	id=g:5680298
Starr Baptist Church	id=g:5680299
Starr Elementary School	id=g:5680300
Starr Mine	id=g:5680301
Starr School	id=g:5680302
Starr School Flat	id=g:5680303
Starr-Browning Airstrip	id=g:5680304
Lake of the Stars	id=g:5680305
Starter Pond	id=g:5680306
Starvation Creek	id=g:5680307
Starvation Creek	id=g:5680308
Stark Dam	id=g:5680309
Starvation Creek	id=g:5680310
Starvation Ridge	id=g:5680311
Starved To Death Haul Road - Nine Mine	id=g:5680312
Starved to Death Creek	id=g:5680313
Starve Out Flat	id=g:5680314
State Bear Dam	id=g:5680315
State Capitol Grounds	id=g:5680316
State Creek	id=g:5680317
Stash Lake	id=g:5680318
State Elevator (historical)	id=g:5680319
State Game Range Headquarters	id=g:5680320
State Highway Department Sandhouse	id=g:5680321
State Line Cabin	id=g:5680322
State Line Trail	id=g:5680323
State Meadows	id=g:5680324
State Mine	id=g:5680325
State Mine	id=g:5680326
State Motor Pool	id=g:5680327
State Number 2 Dam	id=g:5680328
State Number 3 Dam	id=g:5680329
State Prison Ranch Number 1	id=g:5680330
Stateler Cemetery	id=g:5680331
Stateler Monument	id=g:5680332
Staten Coulee	id=g:5680333
State Drive-In (historical)	id=g:5680334
Station Creek	id=g:5680335
Station Creek	id=g:5680336
Station Creek	id=g:5680337
Station Creek	id=g:5680338
Station Creek	id=g:5680339
Station Spring	id=g:5680340
Staton Coulee	id=g:5680341
Staton Mountain	id=g:5680342
Statuary Mountain	id=g:5680343
Statue of the Sacred Heart	id=g:5680344
Staubach Creek	id=g:5680345
Staton	id=g:5680346
Staudaher Ditch	id=g:5680347
Staudaher East Side Ditch	id=g:5680348
Staudaher West Side Ditch	id=g:5680349
Staudenmeyer Ranch	id=g:5680350
Stauffer Chemical Number 1 Dam	id=g:5680351
Staunton Ranch	id=g:5680352
Steadman (historical)	id=g:5680353
Steak Dam	id=g:5680354
Steamboat Butte	id=g:5680355
Steamboat Butte	id=g:5680356
Steamboat Butte	id=g:5680357
Steamboat Island	id=g:5680358
Steamboat Island	id=g:5680359
Steamboat Lookout Pass	id=g:5680360
Steamboat Mountain	id=g:5680361
Steamboat Mountain	id=g:5680362
Steamboat Mountain Lookout (historical)	id=g:5680363
Steamboat Rock	id=g:5680364
Steamboat Rock	id=g:5680365
Steamboat Rock	id=g:5680366
Steamboat Rock	id=g:5680367
Steamer Oakes	id=g:5680368
Steamerville (historical)	id=g:5680369
Stearns Hall	id=g:5680370
Stearns Post Office (historical)	id=g:5680371
Stebbins Creek	id=g:5680372
Staudaher Bishop Ditch	id=g:5680373
Stebbins Windmill	id=g:5680374
Stebley Ranch	id=g:5680375
Stebley Reservoir	id=g:5680376
Steck Coulee	id=g:5680377
Stebbins School (historical)	id=g:5680378
Stee Coulee	id=g:5680379
Stecker Ranch	id=g:5680380
Steedling Creek	id=g:5680381
Steel (historical)	id=g:5680382
Steel Creek	id=g:5680383
Steel Creek	id=g:5680384
Steel Creek Campground	id=g:5680385
Steel Creek Ranger Station	id=g:5680386
Steel Mule Reservoir	id=g:5680387
Steele Coulee	id=g:5680388
Steel Creek Mine	id=g:5680389
Steele Creek	id=g:5680390
Steele Lake Coulee	id=g:5680391
Steele Ranch	id=g:5680392
Steelman Coulee	id=g:5680393
Steeles Dude Ranch	id=g:5680394
Steels Pass Creek	id=g:5680395
Steels Pass	id=g:5680396
Steep Coulee	id=g:5680397
Steen School (historical)	id=g:5680398
Steep Creek	id=g:5680399
Steep Creek	id=g:5680400
Steep Creek	id=g:5680401
Steep Creek	id=g:5680402
Steep Creek	id=g:5680403
Steer Coulee	id=g:5680404
Steep Mountain	id=g:5680405
Steer Meadow	id=g:5680406
Steeves Ranch	id=g:5680407
Steffen Dam	id=g:5680408
Steffen School (historical)	id=g:5680409
Steffins Number 1 Dam	id=g:5680410
Stefonic Ranch	id=g:5680411
Steie Ranch	id=g:5680412
Steiger Creek	id=g:5680413
Steer Lake	id=g:5680414
Steinhelber Reservoir Dam	id=g:5680415
Steinhilber Reservoir	id=g:5680416
Steinreisser Number 10 Dam	id=g:5680417
Stella Creek	id=g:5680418
Steinbach Ranch	id=g:5680419
Stella Mine	id=g:5680420
Stella Number 1 Dam	id=g:5680421
Stella/Golden Spike Mine	id=g:5680422
Stellar Creek	id=g:5680423
Stella Dam	id=g:5680424
Stellar Lake Dam	id=g:5680425
Stellner Coulee	id=g:5680426
Stellar Lake	id=g:5680427
Stemple (historical)	id=g:5680428
Stemple Creek	id=g:5680429
Stember School (historical)	id=g:5680430
Stemple Post Office (historical)	id=g:5680431
Stemwinder Hill	id=g:5680432
Stemwinder Mine	id=g:5680433
Stemwinder Mine	id=g:5680434
Stenerson Mountain	id=g:5680435
Stensvad Oil Field	id=g:5680436
Stentoft Dam	id=g:5680437
Stephen Number 1 Dam	id=g:5680438
Stephens Creek	id=g:5680439
Stemple Pass	id=g:5680440
Stephens Hill	id=g:5680441
Stephens Ranch	id=g:5680442
Stephens Reservoir	id=g:5680443
Stephens School (historical)	id=g:5680444
Stephensons Trailer Court	id=g:5680445
Stepping Stone Lake	id=g:5680446
The Steps	id=g:5680447
Sterling	id=g:5680448
Sterling (historical)	id=g:5680449
Sterling Creek	id=g:5680450
Stephens Dam	id=g:5680451
Sterling Gulch	id=g:5680452
Sterling Ditch	id=g:5680453
Sterling Post Office (historical)	id=g:5680454
Sterling Price Mine	id=g:5680455
Sterling School (historical)	id=g:5680456
Mount Sterling	id=g:5680457
Sterret Dam	id=g:5680458
Stetler Lakes	id=g:5680459
Stetler Ranch	id=g:5680460
