Mokotibe-Antanimavo	id=g:1058747
Milenaka	id=g:1058888
Mileanabo	id=g:1058889
Milanoa	id=g:1058890
Milanoa	id=g:1058891
Toraka Milanja	id=g:1058892
Milanja	id=g:1058893
Milanja	id=g:1058894
Milampiana	id=g:1058895
Milahorano	id=g:1058896
Milahila	id=g:1058897
Milahanina	id=g:1058898
Mikotramihezava	id=g:1058899
Mikorohoky	id=g:1058900
Mikoboky	id=g:1058901
Lake Mikoboka	id=g:1058902
Lac Mikoboka	id=g:1058903
Mikoboka	id=g:1058904
Mikoboka	id=g:1058905
Mikoboka	id=g:1058906
Mikoboka	id=g:1058907
Mikeboka	id=g:1058908
Alan’ ny Mikea	id=g:1058909
Mikanjy	id=g:1058910
Mikaiky	id=g:1058911
Mikaiky	id=g:1058912
Mikaiky	id=g:1058913
Mikaiky	id=g:1058914
Mikaiky	id=g:1058915
Mikaiky	id=g:1058916
Mikaiky	id=g:1058917
Mikaiky	id=g:1058918
Mikaikarivo Andrefana	id=g:1058919
Mikaikarivo	id=g:1058920
Mikaikarivo	id=g:1058921
Mikaikarivo	id=g:1058922
Mikaikarivo	id=g:1058923
Mikaikarivo	id=g:1058924
Mikaikarivo	id=g:1058925
Mikaikarivo	id=g:1058926
Mikaika	id=g:1058927
Mikaika	id=g:1058928
Mikaika	id=g:1058929
Mikaika	id=g:1058930
Mijoha	id=g:1058931
Mijilo	id=g:1058932
Mijadakely	id=g:1058933
Mijada	id=g:1058934
Mijaba Andrefana	id=g:1058935
Lac Mihoza	id=g:1058936
Mihoza	id=g:1058937
Mihovotra	id=g:1058938
Mihitraika	id=g:1058939
Miharana	id=g:1058940
Mihanitsy	id=g:1058941
Mihalo	id=g:1058942
Mihaiky	id=g:1058943
Mihaiky	id=g:1058944
Migioky	id=g:1058945
Mifondra-Bevaro	id=g:1058946
Mifanitsy	id=g:1058947
Mievitranatiny	id=g:1058948
Mierena	id=g:1058949
Miedany	id=g:1058950
Miebotsy	id=g:1058951
Mieba	id=g:1058952
Mieba	id=g:1058953
Midongy Atsimo	id=g:1058954
Midongy	id=g:1058955
Ile Ambato Midoko	id=g:1058956
Midohioky Ambany	id=g:1058957
Mido	id=g:1058958
Midiho	id=g:1058959
Mideboka	id=g:1058960
Roche Microbe	id=g:1058961
Mibay	id=g:1058962
Miatra	id=g:1058963
Miary-Taheza	id=g:1058964
Miary-Soalengo	id=g:1058965
Miary-Ranomafana	id=g:1058966
Miary Ouest	id=g:1058967
Miary-Lamatihy	id=g:1058968
Miary Est	id=g:1058969
Miary Avaratra	id=g:1058970
Miary Atsimo	id=g:1058971
Miary-Andranotsara	id=g:1058972
Miary Afovoany	id=g:1058973
Miary	id=g:1058974
Miary	id=g:1058975
Miary	id=g:1058976
Miary	id=g:1058977
Miary	id=g:1058978
Miary	id=g:1058979
Miary	id=g:1058980
Miary	id=g:1058981
Miary	id=g:1058982
Miary	id=g:1058983
Miary	id=g:1058984
Miary	id=g:1058985
Miary	id=g:1058986
Miary	id=g:1058987
Miary	id=g:1058988
Miary	id=g:1058989
Miary	id=g:1058990
Miary	id=g:1058991
Miary	id=g:1058992
Miary	id=g:1058993
Miary	id=g:1058994
Miary	id=g:1058995
Miarinkofeno	id=g:1058996
Miarinkofeno	id=g:1058997
Miarinavaratra	id=g:1058998
Miarinavaratra	id=g:1058999
Miarinavaratra	id=g:1059000
Miarinavaratra	id=g:1059001
Miarinatsimo	id=g:1059002
Miarinatsimo	id=g:1059003
Miarinarivokely	id=g:1059004
Miarinarivo	id=g:1059005
Miarinarivo	id=g:1059006
Miarinarivo	id=g:1059007
Miarinarivo	id=g:1059008
Miarinarivo	id=g:1059009
Miarinarivo	id=g:1059010
Miarinarivo	id=g:1059011
Miarinarivo	id=g:1059012
Miarinarivo	id=g:1059013
Miarinarivo	id=g:1059014
Miarinarivo	id=g:1059015
Miarinarivo	id=g:1059016
Miarinarivo	id=g:1059017
Miarinarivo	id=g:1059018
Miarinarivo	id=g:1059019
Miarinarivo	id=g:1059020
Miarinarivo	id=g:1059021
Miarinarivo	id=g:1059022
Miarinarivo	id=g:1059023
Miarinarive	id=g:1059024
Miarina	id=g:1059025
Miarina	id=g:1059026
Miarina	id=g:1059027
Miarimbovo	id=g:1059028
Miarikofeno	id=g:1059029
Miarikofeno	id=g:1059030
Miarikofeno	id=g:1059031
Miarena	id=g:1059032
Miaranony	id=g:1059033
Miaramasoandro	id=g:1059034
Miaramasoandro	id=g:1059035
Miaramasoandra	id=g:1059036
Miaramanjaka	id=g:1059037
Miantsoarivo	id=g:1059038
Miantsoarivo	id=g:1059039
Miantsoarivo	id=g:1059040
Miantsoarivo	id=g:1059041
Miantsoarivo	id=g:1059042
Miantso	id=g:1059043
Miantso	id=g:1059044
Mianjona	id=g:1059045
Miangaly	id=g:1059046
Mianefaka	id=g:1059047
Nosy Miandroka	id=g:1059048
Miandrizaza	id=g:1059049
Miandrizara	id=g:1059050
Miandrivazo	id=g:1059051
Miandrivazo	id=g:1059052
Miandrivazo	id=g:1059053
Miandrinirariny	id=g:1059054
Miandrarivo	id=g:1059055
Miandrarivo	id=g:1059056
Miandrarivo	id=g:1059057
Miandrarivo	id=g:1059058
Miandrarivo	id=g:1059059
Miandrarivo	id=g:1059060
Miandrarivo	id=g:1059061
Miandrarivo	id=g:1059062
Miandrarivo	id=g:1059063
Miandrarivo	id=g:1059064
Miandrarahona	id=g:1059065
Miandraivo	id=g:1059066
Miandrafeno	id=g:1059067
Mianafo	id=g:1059068
Mialoka	id=g:1059069
Mialohavory	id=g:1059070
Mialiloha	id=g:1059071
Miakotsorano	id=g:1059072
Miakotso	id=g:1059073
Miakotso	id=g:1059074
Miako	id=g:1059075
Miakara	id=g:1059076
Miakara	id=g:1059077
Miakadaza	id=g:1059078
Miakadaza	id=g:1059079
Miadompehonina	id=g:1059080
Miadankofeno	id=g:1059081
Miadankofena	id=g:1059082
Miadanimerina	id=g:1059083
Miadanimerina	id=g:1059084
Miadanimerina	id=g:1059085
Miadanimerina	id=g:1059086
Miadanimamo	id=g:1059087
Miadanimamo	id=g:1059088
Miadandririnina	id=g:1059089
Miadanatsaha	id=g:1059090
Miadanasoa	id=g:1059091
Miadanasoa	id=g:1059092
Miadanarivo	id=g:1059093
Miadanarivo	id=g:1059094
Miadanarivo	id=g:1059095
Miadanantsaha	id=g:1059096
Miadanantsaha	id=g:1059097
Miadanandriana	id=g:1059098
Miadanandriana	id=g:1059099
Miadanandriana	id=g:1059100
Miadana	id=g:1059101
Miadana	id=g:1059102
Miadana	id=g:1059103
Miadana	id=g:1059104
Miadana	id=g:1059105
Miadana	id=g:1059106
Miadana	id=g:1059107
Miadana	id=g:1059108
Miadana	id=g:1059109
Miadana	id=g:1059110
Miadana	id=g:1059111
Miadampehonina	id=g:1059112
Miadampehonina	id=g:1059113
Miadampehonina	id=g:1059114
Miadampahonina	id=g:1059115
Miadampahonina	id=g:1059116
Miadamanjaka	id=g:1059117
Miadamanjaka	id=g:1059118
Miadamanjaka	id=g:1059119
Miadakofeno	id=g:1059120
Miadakofeno	id=g:1059121
Meyalafika	id=g:1059122
Mevaloka	id=g:1059123
Mevalakana	id=g:1059124
Mevahiaka	id=g:1059125
Mevahaloka	id=g:1059126
Mevadra	id=g:1059127
Merirakely	id=g:1059128
Merinavaratra	id=g:1059129
Merinavaratra	id=g:1059130
Merinavaratra	id=g:1059131
Merinavarara	id=g:1059132
Merimanjaka	id=g:1059133
Merimandroso	id=g:1059134
Merimandroso	id=g:1059135
Merikanjaka	id=g:1059136
Merikanjaka	id=g:1059137
Merikandrefana	id=g:1059138
Menorandra	id=g:1059139
Menokompy	id=g:1059140
Menga	id=g:1059141
Mendivary	id=g:1059142
Menazomby Rivière	id=g:1059143
Tampoketsa de la Menazomby	id=g:1059144
Menazomby	id=g:1059145
Menazomby	id=g:1059146
Menazary	id=g:1059147
Menavoahangy	id=g:1059148
Menavavakely	id=g:1059149
Menavava	id=g:1059150
Menavava	id=g:1059151
Menavato	id=g:1059152
Menavato	id=g:1059153
Menavato	id=g:1059154
Menatany	id=g:1059155
Menasatroka	id=g:1059156
Menaretry	id=g:1059157
Menaretra	id=g:1059158
Menaratra	id=g:1059159
Menaratra	id=g:1059160
Menarano	id=g:1059161
Menarandrohy	id=g:1059162
Menarandroe Rivière	id=g:1059163
Menarandra Rivière	id=g:1059164
Menarandra	id=g:1059165
Menarandra	id=g:1059166
Menarandra	id=g:1059167
Menaraka	id=g:1059168
Menarahaka	id=g:1059169
Menaraboka	id=g:1059170
Menanara	id=g:1059171
Menamiongana	id=g:1059172
Menamaty Iloto	id=g:1059173
Menamaty	id=g:1059174
Menamana	id=g:1059175
Menaloha	id=g:1059176
Menaloha	id=g:1059177
Nosy Menaloba	id=g:1059178
Menalaza	id=g:1059179
Menalamba	id=g:1059180
Menalafika	id=g:1059181
Menala	id=g:1059182
Menakompy	id=g:1059183
Menakianja	id=g:1059184
Menakarongana	id=g:1059185
Menakarangana	id=g:1059186
Menakanitsy	id=g:1059187
Menahavo	id=g:1059188
Menahavo	id=g:1059189
Menagisy	id=g:1059190
Menagisy	id=g:1059191
Menagisy	id=g:1059192
Menagisy	id=g:1059193
Menagisa	id=g:1059194
Menabe Forest	id=g:1059195
Menabe	id=g:1059196
Menabe	id=g:1059197
Menabao	id=g:1059198
Lac Mena	id=g:1059199
Port Memoria	id=g:1059200
Pointe Memoria	id=g:1059201
Membolambo	id=g:1059202
Nosy Mely	id=g:1059203
Anse Melville	id=g:1059204
Melville	id=g:1059205
Melokanina	id=g:1059206
Melobody	id=g:1059207
Melivato	id=g:1059208
Melehabitsy	id=g:1059209
Mego	id=g:1059210
Toraka Médian	id=g:1059211
Meba	id=g:1059212
Meankany	id=g:1059213
Mbolatsitonga	id=g:1059214
Nosy Mbana	id=g:1059215
Mazy	id=g:1059216
Mazavalanitra	id=g:1059217
Mazavalanitra	id=g:1059218
Mazavalalana	id=g:1059219
Mazavalalana	id=g:1059220
Mazavalalana	id=g:1059221
Mazavalalana	id=g:1059222
Mazavalala	id=g:1059223
Mazavalala	id=g:1059224
Mazaolala	id=g:1059225
Mazana	id=g:1059226
Mazamiempo	id=g:1059227
Mazala	id=g:1059228
Mayozaza	id=g:1059229
Mayotoaolana	id=g:1059230
Mayomena	id=g:1059231
Mayohazo Rivière	id=g:1059232
Baie Maxime	id=g:1059233
Mavozaza	id=g:1059234
Mavozaza	id=g:1059235
Mavosisy	id=g:1059236
Mavoroka	id=g:1059237
Mavoravy	id=g:1059238
Mavorano	id=g:1059239
Mavorano	id=g:1059240
Nosy Mavony	id=g:1059241
Nosy Mavony	id=g:1059242
Mavonono	id=g:1059243
Mavolava Rivière	id=g:1059244
Mavolava Rivière	id=g:1059245
Mavolava Rivière	id=g:1059246
Mavolava Rivière	id=g:1059247
Mavolava Rivière	id=g:1059248
Mavolava	id=g:1059249
Mavoila Rivière	id=g:1059250
Mavoila	id=g:1059251
Mavohazo	id=g:1059252
Mavohatohy	id=g:1059253
Mavogisy	id=g:1059254
Mavogiso	id=g:1059255
Mavogise	id=g:1059256
Mavogisa	id=g:1059257
Mavoandro Andrefana	id=g:1059258
Mavoandro	id=g:1059259
Farihy Mavo	id=g:1059260
Mavangararatsy	id=g:1059261
Matsokely	id=g:1059262
Matsohely	id=g:1059263
Matsoborilava	id=g:1059264
Matsoborikilandy	id=g:1059265
Matsobe	id=g:1059266
Matsoandakana	id=g:1059267
Matsoandakana	id=g:1059268
Matsitsokely Rivière	id=g:1059269
Matsitsobe Rivière	id=g:1059270
Matsitsobe	id=g:1059271
Matsitso	id=g:1059272
Matsitso	id=g:1059273
Matsitsirano	id=g:1059274
Matsitsihena	id=g:1059275
Matsinjorano	id=g:1059276
Matsinjorano	id=g:1059277
Matsiatra	id=g:1059278
Farihy Matsiabe	id=g:1059279
Farihy Matsaritsarika	id=g:1059280
Matsano	id=g:1059281
Matsandry Avaratra	id=g:1059282
Matsandry Atsimo	id=g:1059283
Matsandry	id=g:1059284
Matsamoribe	id=g:1059285
Matsamba	id=g:1059286
Matsakoriberiotra	id=g:1059287
Matsakare	id=g:1059288
Matsakafasy	id=g:1059289
Matsakabanja	id=g:1059290
Matsaka	id=g:1059291
Matsabory-Lemby	id=g:1059292
Matsabory Iraronabe	id=g:1059293
Lac Matsabory	id=g:1059294
Lac Matsabory	id=g:1059295
Matsaboro Marosely	id=g:1059296
Matsaborivinaky	id=g:1059297
Forêt de Matsaboritelo	id=g:1059298
Matsaborini Njoaty	id=g:1059299
Farihy Matsaborinibetra	id=g:1059300
Matsaborindreloitra	id=g:1059301
Matsaborimitsiveta	id=g:1059302
Matsaborimirafia	id=g:1059303
Matsaborimena	id=g:1059304
Matsaborimena	id=g:1059305
Matsaborimena	id=g:1059306
Matsaborimarijao	id=g:1059307
Matsaborimanga	id=g:1059308
Matsaborimalio	id=g:1059309
Matsaborimaikahe	id=g:1059310
Matsaborimaika	id=g:1059311
Lac Matsaborimadio	id=g:1059312
Farihy Matsaborimadio	id=g:1059313
Matsaborimadio	id=g:1059314
Matsaborimadio	id=g:1059315
Matsaboriledamy	id=g:1059316
Matsaborilava	id=g:1059317
Matsaborilava	id=g:1059318
Matsaborifanjava	id=g:1059319
Matsaboribitika Rivière	id=g:1059320
Matsaboribe Ambatafo	id=g:1059321
Lac Matsaboribe	id=g:1059322
Lac Matsaboribe	id=g:1059323
Farihy Matsaboribe	id=g:1059324
Matsaboribe	id=g:1059325
Matsaboriandolo	id=g:1059326
Matsaboravito	id=g:1059327
Matrio	id=g:1059328
Matraitray	id=g:1059329
Matongy	id=g:1059330
Matomondriha	id=g:1059331
Matombe	id=g:1059332
Matombay	id=g:1059333
Matofohy	id=g:1059334
Matindrano	id=g:1059335
Matieloana	id=g:1059336
Matiakoho	id=g:1059337
Pointe Matesanaomby	id=g:1059338
Matavy	id=g:1059339
Matavirono	id=g:1059340
Matavirano	id=g:1059341
Matavilamba	id=g:1059342
Matavihataka	id=g:1059343
Mataviamalona	id=g:1059344
Matatana	id=g:1059345
Matara	id=g:1059346
Matanga	id=g:1059347
Matambalahy	id=g:1059348
Matalazotoka	id=g:1059349
Mataipaka	id=g:1059350
Matahotrony	id=g:1059351
Matahotrony	id=g:1059352
Matahitsiny	id=g:1059353
Matahitiry	id=g:1059354
Matahimasina	id=g:1059355
Matahimana	id=g:1059356
Matahibory	id=g:1059357
Masse	id=g:1059358
Masovariaka	id=g:1059359
Masoroamena	id=g:1059360
Masora	id=g:1059361
Masora	id=g:1059362
Masora	id=g:1059363
Masopasy	id=g:1059364
Masondrono	id=g:1059365
Masomiza	id=g:1059366
Masomeloka	id=g:1059367
Masombola	id=g:1059368
Masomboay	id=g:1059369
Masombaha	id=g:1059370
Masomanga	id=g:1059371
Masomamory	id=g:1059372
Masomamangy	id=g:1059373
Masomamangy	id=g:1059374
Masomamangy	id=g:1059375
Masomamangy	id=g:1059376
Masokoenja	id=g:1059377
Masokoamena Rivière	id=g:1059378
Chutês de Masokoamena	id=g:1059379
Masokoamena	id=g:1059380
Masokoamena	id=g:1059381
Masokamena	id=g:1059382
Masokamena	id=g:1059383
Masobe	id=g:1059384
Masobe	id=g:1059385
Masoarivo	id=g:1059386
Masoarivo	id=g:1059387
Masoaretsaka	id=g:1059388
Masoandro	id=g:1059389
Tanjon’ i Masoala	id=g:1059390
Saikanosin’ Masoala	id=g:1059391
Masoala	id=g:1059392
Masitaho	id=g:1059393
Masinilo Rivière	id=g:1059394
Masindrota	id=g:1059395
Masindray Mandiavato	id=g:1059396
Masindray	id=g:1059397
Masindray	id=g:1059398
Masindray	id=g:1059399
Masindray	id=g:1059400
Masindray	id=g:1059401
Masindray	id=g:1059402
Masindranokely	id=g:1059403
Masindrano	id=g:1059404
Masinandriana	id=g:1059405
Masinandriana	id=g:1059406
Ala Masina	id=g:1059407
Masina	id=g:1059408
Masimpleremana	id=g:1059409
Masimbolo	id=g:1059410
Lac Masiloka	id=g:1059411
Masihanaka Rivière	id=g:1059412
Farihy Masihanaka	id=g:1059413
Masihanaka	id=g:1059414
Masiaposa Anandroa	id=g:1059415
Masiaposa-Ambevy	id=g:1059416
Masiaposa	id=g:1059417
Masiaposa	id=g:1059418
Masiaposa	id=g:1059419
Masiaposa	id=g:1059420
Masiaposa	id=g:1059421
Masiaposa	id=g:1059422
Masiaposa	id=g:1059423
Masiaposa	id=g:1059424
Masiaposa	id=g:1059425
Masiapia	id=g:1059426
Masiapapango	id=g:1059427
Masianaka	id=g:1059428
Anse Masiakrava	id=g:1059429
Masiakosy	id=g:1059430
Masiakomby	id=g:1059431
Masiakombilahy	id=g:1059432
Masiakampy	id=g:1059433
Masiakampy	id=g:1059434
Masiakampy	id=g:1059435
Masiakampy	id=g:1059436
Masiakamalona	id=g:1059437
Masiakalika	id=g:1059438
Masiakakoho	id=g:1059439
Masiakakoho	id=g:1059440
Masiaka	id=g:1059441
Masiajao	id=g:1059442
Masiadrivotra	id=g:1059443
Lac Masiadolo	id=g:1059444
Masiadolo	id=g:1059445
Masiadolo	id=g:1059446
Masiadoktra	id=g:1059447
Masiaboay	id=g:1059448
Masiaboay	id=g:1059449
Masena	id=g:1059450
Masamenabe	id=g:1059451
Masama-Ambalabe	id=g:1059452
Farihy Masama	id=g:1059453
Masama	id=g:1059454
Masama	id=g:1059455
Masakena	id=g:1059456
Masakalina	id=g:1059457
Masailalina	id=g:1059458
Masaibe	id=g:1059459
Pointe Maruteza	id=g:1059460
Marozevo	id=g:1059461
Marozevo	id=g:1059462
Marozaza II	id=g:1059463
Marozavavy	id=g:1059464
Marozaravy	id=g:1059465
Marozano	id=g:1059466
Marozano	id=g:1059467
Marozano	id=g:1059468
Marozano	id=g:1059469
Marozanaka	id=g:1059470
Marozahatra	id=g:1059471
Maroza	id=g:1059472
Marovovonana	id=g:1059473
Marovovonana	id=g:1059474
Lac Marovovo	id=g:1059475
Marovovo	id=g:1059476
Marovovo	id=g:1059477
Marovovo	id=g:1059478
Marovovo	id=g:1059479
Marovovanana	id=g:1059480
Marovotry	id=g:1059481
Marovotry	id=g:1059482
Marovotry	id=g:1059483
Marovotry	id=g:1059484
Marovotry	id=g:1059485
Marovotry	id=g:1059486
Marovotry	id=g:1059487
Marovotry	id=g:1059488
Marovotry	id=g:1059489
Marovotry	id=g:1059490
Marovotry	id=g:1059491
Marovotry	id=g:1059492
Marovotry	id=g:1059493
Marovotro	id=g:1059494
Marovotara Rivière	id=g:1059495
Marovoro	id=g:1059496
Marovoro	id=g:1059497
Alan’ i Marovony	id=g:1059498
Marovontaka	id=g:1059499
Marovolo	id=g:1059500
Marovoky Rivière	id=g:1059501
Farihy Marovoay	id=g:1059502
Marovoay	id=g:1059503
Marovoay	id=g:1059504
Marovoay	id=g:1059505
Marovoay	id=g:1059506
Marovoay	id=g:1059507
Marovoara	id=g:1059508
Marovoantaza	id=g:1059509
Marovoantaza	id=g:1059510
Lembalemban’ i Marovoalavo	id=g:1059511
Marovoalavo	id=g:1059512
Marovoalavo	id=g:1059513
Marovoalavo	id=g:1059514
Marovoalavo	id=g:1059515
Marovoalavo	id=g:1059516
Marovoalavo	id=g:1059517
Marovoalavo	id=g:1059518
Marovoalavo	id=g:1059519
Marovoalavo	id=g:1059520
Marovoalava	id=g:1059521
Marovoalava	id=g:1059522
Marovoaikely Rivière	id=g:1059523
Farihy Marovoaikely	id=g:1059524
Marovoaikely	id=g:1059525
Farihy Marovoaibe	id=g:1059526
Pointe Marovitsikia	id=g:1059527
Marovitsika	id=g:1059528
Marovitsika	id=g:1059529
Marovitsika	id=g:1059530
Marovitsika	id=g:1059531
Marovitsika	id=g:1059532
Marovitsika	id=g:1059533
Marovitsika	id=g:1059534
Marovitsika	id=g:1059535
Marovitsika	id=g:1059536
Marovitsika	id=g:1059537
Marovitsika	id=g:1059538
Marovitsika	id=g:1059539
Marovitsika	id=g:1059540
Marovitiky	id=g:1059541
Maroviro	id=g:1059542
Marovintsy	id=g:1059543
Marovintsika	id=g:1059544
Marovinany	id=g:1059545
Marovila	id=g:1059546
Marovikitra	id=g:1059547
Marovazaha	id=g:1059548
Marovazaha	id=g:1059549
Marovaza	id=g:1059550
Marovavy	id=g:1059551
Marovava	id=g:1059552
Marovato Rivière	id=g:1059553
Marovato Rivière	id=g:1059554
Marovatomaika Rivière	id=g:1059555
Marovatolena	id=g:1059556
Marovatobe	id=g:1059557
Marovatobe	id=g:1059558
Marovatobe	id=g:1059559
Marovato Atsimo	id=g:1059560
Marovatoantsavoko	id=g:1059561
Tangorombohitr’ i Marovato	id=g:1059562
Marovato	id=g:1059563
Marovato	id=g:1059564
Marovato	id=g:1059565
Marovato	id=g:1059566
Marovato	id=g:1059567
Marovato	id=g:1059568
Marovato	id=g:1059569
Marovato	id=g:1059570
Marovato	id=g:1059571
Marovato	id=g:1059572
Marovato	id=g:1059573
Marovato	id=g:1059574
Marovato	id=g:1059575
Marovato	id=g:1059576
Marovato	id=g:1059577
Marovato	id=g:1059578
Marovato	id=g:1059579
Marovato	id=g:1059580
Marovato	id=g:1059581
Marovato	id=g:1059582
Marovato	id=g:1059583
Marovato	id=g:1059584
Marovato	id=g:1059585
Marovato	id=g:1059586
Marovato	id=g:1059587
Marovato	id=g:1059588
Marovato	id=g:1059589
Marovato	id=g:1059590
Marovato	id=g:1059591
Marovato	id=g:1059592
Marovato	id=g:1059593
Marovato	id=g:1059594
Marovato	id=g:1059595
Marovato	id=g:1059596
Marovato	id=g:1059597
Marovato	id=g:1059598
Marovato	id=g:1059599
Marovato	id=g:1059600
Marovato	id=g:1059601
Marovato	id=g:1059602
Marovato	id=g:1059603
Marovato	id=g:1059604
Marovato	id=g:1059605
Marovato	id=g:1059606
Marovato	id=g:1059607
Marovato	id=g:1059608
Marovato	id=g:1059609
Marovato	id=g:1059610
Marovato	id=g:1059611
Marovato	id=g:1059612
Marovato	id=g:1059613
Marovato	id=g:1059614
Marovato	id=g:1059615
Marovato	id=g:1059616
Marovato	id=g:1059617
Marovato	id=g:1059618
Marovato	id=g:1059619
Marovatana	id=g:1059620
Marovatana	id=g:1059621
Marovata	id=g:1059622
Marovary	id=g:1059623
Farihy Marovario	id=g:1059624
Marovario	id=g:1059625
Marovany	id=g:1059626
Marovantaza	id=g:1059627
Marovantaza	id=g:1059628
Marovandrika	id=g:1059629
Marovana	id=g:1059630
Marovana	id=g:1059631
Marovala Toby	id=g:1059632
Marovala	id=g:1059633
Marovala	id=g:1059634
Marovala	id=g:1059635
Marovala	id=g:1059636
Marovala	id=g:1059637
Marovala	id=g:1059638
Marovaka	id=g:1059639
Marovahy	id=g:1059640
Marovahy	id=g:1059641
Marovahona	id=g:1059642
Marovaho	id=g:1059643
Marovahiby	id=g:1059644
Marovahatsy Rivière	id=g:1059645
Marovahatsy	id=g:1059646
Marovahatsy	id=g:1059647
Marovahatse	id=g:1059648
Marotsobongy	id=g:1059649
Marotsiva	id=g:1059650
Marotsiraka	id=g:1059651
Marotsiraka	id=g:1059652
Marotsiraka	id=g:1059653
Plateau de Marotsipoy	id=g:1059654
Marotsipoy	id=g:1059655
Marotsipoy	id=g:1059656
Marotsipoy	id=g:1059657
Marotsipoy	id=g:1059658
Marotsipoy	id=g:1059659
Marotsipoy	id=g:1059660
Marotsipoy	id=g:1059661
Marotsipohy	id=g:1059662
Marotsintsina	id=g:1059663
Marotsingala	id=g:1059664
Marotsingala	id=g:1059665
Marotsiazo	id=g:1059666
Marotsialeha	id=g:1059667
