Mirenda	id=g:422478
Gatumba	id=g:422645
Kisanze	id=g:422646
Rubimba	id=g:422647
Rubimba	id=g:422648
Muyange	id=g:422649
Gisenyi	id=g:422650
Bukemba	id=g:422651
Murera	id=g:422652
Gitobo	id=g:422653
Mashuha	id=g:422654
Bukemba	id=g:422655
Kiremba	id=g:422656
Nyesokwe	id=g:422657
Gisagara	id=g:422658
Mwarusi	id=g:422659
Gasarende	id=g:422660
Mayanzo	id=g:422661
Bigina	id=g:422662
Kibanga	id=g:422663
Muyange	id=g:422664
Kigozigozi	id=g:422665
Nyakibugwe	id=g:422666
Mpomvu	id=g:422667
Nyakaboza	id=g:422668
Cinkwi	id=g:422669
Kazeba	id=g:422670
Nkandansi	id=g:422671
Rumina	id=g:422672
Cendajuru	id=g:422673
Magarama	id=g:422674
Karemera	id=g:422675
Kibimbi	id=g:422676
Karinzi	id=g:422677
Kiranzira	id=g:422678
Muhweza	id=g:422679
Rwamabuye-Bikana	id=g:422680
Butambara	id=g:422681
Gihinga	id=g:422682
Gakome	id=g:422683
Muyange	id=g:422684
Kimina	id=g:422685
Butanya	id=g:422686
Sure	id=g:422687
Nyankoba	id=g:422688
Burume	id=g:422689
Kanyererwe	id=g:422690
Nyarugongo	id=g:422691
Kagege	id=g:422692
Nyabisozi	id=g:422693
Mungwa	id=g:422694
Nyangunga	id=g:422695
Migarika	id=g:422696
Mwonge	id=g:422697
Gasaka	id=g:422698
Nyamugari	id=g:422699
Nyabihange	id=g:422700
Maganahe-Runyoni	id=g:422701
Kibanda	id=g:422702
Nyamugongo	id=g:422703
Munyeri	id=g:422704
Ngobeke	id=g:422705
Nyabisindu	id=g:422706
Migerero	id=g:422707
Kabago	id=g:422708
Gisenyi	id=g:422710
Kubahima	id=g:422711
Nyakibuye	id=g:422712
Ngoma	id=g:422713
Muhingo	id=g:422714
Rushanga	id=g:422715
Mahinga	id=g:422717
Mukibingo	id=g:422718
Nyemvura	id=g:422719
Sanzaga	id=g:422720
Nyabibuye	id=g:422721
Nyakijoro	id=g:422722
Kigunda	id=g:422723
Giharo	id=g:422724
Mbuza	id=g:422726
Gahama	id=g:422727
Kayove	id=g:422728
Batamba	id=g:422729
Mpombo	id=g:422731
Bitege	id=g:422733
Kwitaba	id=g:422734
Sananda	id=g:422735
Gahuni	id=g:422736
Gitanga	id=g:422737
Gihera	id=g:422738
Ndurumu	id=g:422739
Gatare	id=g:422740
Gishanga	id=g:422741
Munyantare	id=g:422742
Buranga	id=g:422743
Rorero	id=g:422744
Gisasa	id=g:422745
Kumuvumu	id=g:422746
Ngarama	id=g:422748
Munywero	id=g:422749
Sakirugu	id=g:422750
Murambi	id=g:422751
Gisavya	id=g:422752
Mpinga-Kayove	id=g:422753
Kurunyinya	id=g:422754
Karama	id=g:422756
Rundugu	id=g:422757
Buhogo	id=g:422759
Gitarama	id=g:422760
Kimina	id=g:422761
Shasha	id=g:422762
Muyogoro	id=g:422763
Nyanza	id=g:422764
Gitare	id=g:422765
Nyakinoso	id=g:422766
Gishubi	id=g:422767
Kizenga	id=g:422768
Bubanga	id=g:422770
Vyuma	id=g:422771
Shingurwa	id=g:422772
Bugondo	id=g:422773
Busabe	id=g:422774
Kiriba	id=g:422777
Kayero	id=g:422780
Shanga	id=g:422781
Ceru	id=g:422782
Gihanga	id=g:422783
Gitaba	id=g:422784
Gihindye	id=g:422785
Kumana	id=g:422789
Gishororwe	id=g:422790
Ceranda	id=g:422792
Kutuzi	id=g:422793
Rubanga	id=g:422794
Nyamikungu	id=g:422795
Mudahwera	id=g:422797
Mabawe	id=g:422799
Migezi	id=g:422800
Musokera	id=g:422801
Mutwankoma	id=g:422802
Munyanike	id=g:422803
Rwega	id=g:422804
Nyakavomo	id=g:422805
Gatunguru	id=g:422806
Munyika	id=g:422807
Jubete	id=g:422808
Kavumu	id=g:422809
Chutes Musagara	id=g:422810
Munzaga	id=g:422811
Rugogwe	id=g:422812
Gakombe	id=g:422813
Nyarukona	id=g:422814
Mashuro	id=g:422815
Gisuma	id=g:422817
Nyamiyaga	id=g:422819
Jurugati	id=g:422820
Mujenjero	id=g:422821
Kivoga	id=g:422822
Rugonga	id=g:422823
Musagara	id=g:422824
Mihama	id=g:422825
Nyempongo	id=g:422826
Kumana	id=g:422827
Ruhana	id=g:422828
Rubanga	id=g:422829
Mwebeya	id=g:422830
Karera I	id=g:422831
Nyangazi	id=g:422832
Gahanga	id=g:422833
Bunya	id=g:422834
Ntabago	id=g:422835
Nyakayi	id=g:422836
Kinaba	id=g:422837
Rwanguge	id=g:422838
Kararo	id=g:422839
Nyakabingo	id=g:422840
Nyakabingo	id=g:422841
Kinyovu	id=g:422842
Muhama	id=g:422843
Mugarama	id=g:422844
Butimbo	id=g:422845
Kagera	id=g:422846
Nyobwe	id=g:422847
Giheko	id=g:422848
Kabingo	id=g:422849
Gitwa	id=g:422851
Rubaho	id=g:422852
Gasange	id=g:422853
Gicumbi	id=g:422854
Gisenyi	id=g:422855
Ruranga	id=g:422856
Kwitaba	id=g:422857
Gasakuza	id=g:422858
Gasunu	id=g:422859
Butezi	id=g:422860
Karera II	id=g:422861
Ngoma	id=g:422862
Nyebunga	id=g:422863
Gasaka	id=g:422864
Bitare	id=g:422865
Butezi	id=g:422866
Rutenga	id=g:422867
Bitare	id=g:422868
Kwitaba	id=g:422869
Kiyungu	id=g:422870
Rukobe	id=g:422871
Nzokande	id=g:422874
Busoro	id=g:422875
Nyakimonyi	id=g:422876
Migende	id=g:422877
Kivoga	id=g:422879
Nyakabanga	id=g:422880
Terera	id=g:422881
Ningwe	id=g:422882
Kirebe	id=g:422883
Gitega	id=g:422885
Sarutoke	id=g:422886
Mazimero	id=g:422887
Ningwe	id=g:422888
Muyange	id=g:422889
Kibinzi	id=g:422890
Nyumba	id=g:422891
Kiguhu	id=g:422893
Mwanzwe	id=g:422894
Nkanka	id=g:422895
Gakobe	id=g:422896
Shoti	id=g:422897
Nyagiti	id=g:422898
Nyabweru	id=g:422899
Gakobe	id=g:422900
Gasasa	id=g:422901
Gakugwa	id=g:422902
Bugunda	id=g:422903
Mwogo	id=g:422904
Gakondoshi	id=g:422905
Ngozi	id=g:422906
Mubuga	id=g:422907
Kirotsa	id=g:422908
Nyakabanda	id=g:422909
Kibimbi	id=g:422910
Nkanka	id=g:422911
Rushunguru	id=g:422912
Nyakazu	id=g:422914
Gitara	id=g:422915
Kivubo	id=g:422916
Karama	id=g:422917
Gatoke	id=g:422918
Kamararungu	id=g:422919
Nyabishinowi	id=g:422920
Nyamuhondo	id=g:422921
Muyovozi	id=g:422922
Buhagara	id=g:422924
Karindo	id=g:422925
Kiguhu	id=g:422926
Kiziba	id=g:422927
Kagari	id=g:422928
Rutana	id=g:422929
Nyawaga	id=g:422930
Sarugerera	id=g:422931
Nyakariba	id=g:422932
Karama	id=g:422934
Ruhinga	id=g:422935
Buyaga	id=g:422936
Bugarama	id=g:422937
Nyarubere	id=g:422938
Miryoryo	id=g:422940
Shembe	id=g:422941
Kinani	id=g:422942
Kumuhafu	id=g:422943
Karibu	id=g:422944
Kinyangoma	id=g:422945
Nyesasa	id=g:422946
Dabambe	id=g:422947
Nyemvyiro	id=g:422949
Kanywangiri	id=g:422950
Buhumbi	id=g:422951
Kayige	id=g:422952
Mugenda	id=g:422953
Nkoma	id=g:422954
Murehe	id=g:422955
Munege	id=g:422956
Kibumba	id=g:422957
Kibinzi	id=g:422958
Musenyi	id=g:422959
Rongero	id=g:422960
Bukaravya	id=g:422961
Kiramvya	id=g:422962
Mukinwa	id=g:422963
Nyabigozi	id=g:422964
Nyembuye	id=g:422965
Ruremba	id=g:422966
Mutundigwe	id=g:422967
Murehe	id=g:422968
Borera	id=g:422969
Nyamigezi	id=g:422970
Rugwe	id=g:422971
Gisikara	id=g:422972
Mwayi	id=g:422973
Muzye	id=g:422974
Bisanda	id=g:422975
Kiziba	id=g:422976
Kibonobono	id=g:422977
Nyanganda	id=g:422978
Murama	id=g:422979
Rutamba	id=g:422980
Bukemba	id=g:422981
Mutara	id=g:422982
Muzye	id=g:422983
Kizenga	id=g:422984
Gihofi	id=g:422985
Rugunga	id=g:422987
Nyabiganba	id=g:422989
Rugombo	id=g:422990
Mugamba	id=g:422992
Musasa	id=g:422994
Bugiga	id=g:422995
Bukemba	id=g:422997
Mahama	id=g:422998
Muhafu	id=g:422999
Kumoso	id=g:423000
Mura	id=g:423001
Rutoke	id=g:423002
Munyundo	id=g:423003
Karimba	id=g:423004
Gakungu	id=g:423005
Ngomante	id=g:423006
Conga	id=g:423007
Mugombwa	id=g:423008
Kabumba	id=g:423009
Sesa	id=g:423010
Kubaremba	id=g:423011
Nkurye	id=g:423012
Rutare	id=g:423013
Cahi	id=g:423014
Murembera	id=g:423016
Kigogo	id=g:423017
Kwibimba	id=g:423018
Ngemwe	id=g:423019
Murwanzu	id=g:423020
Nyagafunzo	id=g:423021
Mukazye	id=g:423022
Muntwana	id=g:423023
Gikende	id=g:423024
Kibimba	id=g:423025
Muvumu	id=g:423026
Kumurago	id=g:423027
Rutare	id=g:423028
Lycée Bururi	id=g:423029
Kayogoro	id=g:423030
Réserve naturelle forestière de Rumonge	id=g:423031
Réserve naturelle forestière de Kigwena	id=g:423032
Maguruka	id=g:423033
Monument Burton-Speke	id=g:423034
Pukeye	id=g:423035
Mugera	id=g:423036
Bukeye	id=g:423037
Matana	id=g:423038
Matana	id=g:423039
Rubanga	id=g:423040
Athénée Rubanga	id=g:423041
Masembe	id=g:423042
Rusi	id=g:423043
Kishubi	id=g:423045
Gozi	id=g:423046
Mwurire	id=g:423047
Kizuga	id=g:423048
Butwe	id=g:423049
Butwe	id=g:423050
Gisumo	id=g:423051
Mugonera	id=g:423052
Cogo	id=g:423053
Nkizi	id=g:423054
Mahango	id=g:423055
Kiroba	id=g:423056
Ruhororo	id=g:423057
Canika	id=g:423058
Matana	id=g:423059
Kavuza	id=g:423060
Gahura	id=g:423061
Musanga	id=g:423062
Matana	id=g:423063
Collège Matana	id=g:423064
Matana	id=g:423065
Gisarenda	id=g:423066
Mutoyi	id=g:423067
Gasema	id=g:423068
Rtyazo	id=g:423069
Rusura	id=g:423070
Makaba	id=g:423071
Bura	id=g:423072
Migerere	id=g:423073
Cibwire	id=g:423074
Gitara	id=g:423075
Nyakija	id=g:423076
Banda	id=g:423077
Nyamurongomya	id=g:423078
Mugate	id=g:423079
Magana	id=g:423080
Butwe	id=g:423081
Butwe	id=g:423082
Kibungo	id=g:423083
Bihanga	id=g:423084
Nyarugegene	id=g:423085
Murangara	id=g:423086
Gishiha	id=g:423087
Gwasanga	id=g:423088
Sovu	id=g:423089
Mananga	id=g:423090
Bihanga	id=g:423091
Gitsinda	id=g:423092
Buhana	id=g:423093
Ziba	id=g:423094
Gisisye	id=g:423095
Gisarenda	id=g:423096
Nyagatovu	id=g:423097
Nyakabugu	id=g:423098
Kiruri	id=g:423099
Muhanda	id=g:423100
Kagoma	id=g:423101
Rubonwe	id=g:423102
Hayi	id=g:423103
Nkingu	id=g:423104
Runyinya	id=g:423105
Busura	id=g:423106
Ruzira	id=g:423107
Gasaro	id=g:423108
Kiriza	id=g:423109
Nyamurunga	id=g:423110
Banda	id=g:423111
Nyakigi	id=g:423112
Muyange	id=g:423113
Nkanga	id=g:423114
Musasa	id=g:423115
Kibarazi	id=g:423116
Muzenga	id=g:423117
Nyakuguma	id=g:423118
Songa	id=g:423119
Gasenyi	id=g:423120
Mahonda	id=g:423121
Bubunga	id=g:423122
Rucu	id=g:423123
Muyama	id=g:423124
Kigoti	id=g:423125
Matanga	id=g:423126
Kinwa	id=g:423127
Gitumba	id=g:423128
Nyacambuko	id=g:423129
Cogo	id=g:423130
Burambi	id=g:423131
Cewe	id=g:423132
Nyacambuko	id=g:423133
Rusama	id=g:423134
Muwingomo	id=g:423135
Banza	id=g:423136
Burambi	id=g:423137
Nyacambuko	id=g:423138
Nyakarambo	id=g:423139
Kinwa	id=g:423140
Musebeyi	id=g:423141
Kijugu	id=g:423142
Ruhora	id=g:423143
Mushihi	id=g:423144
Burambi	id=g:423145
Kigabiro	id=g:423146
Muzamba	id=g:423148
Yengero	id=g:423149
Muzamba	id=g:423150
Muhisirizi	id=g:423151
Gitanganika	id=g:423152
Higiro	id=g:423153
Ngoma	id=g:423154
Nyeshombe	id=g:423155
Muntita	id=g:423156
Tara	id=g:423157
Rubirizi	id=g:423158
Ntawantunze	id=g:423159
Nyamuhanga	id=g:423160
Mabanza	id=g:423161
Karambi	id=g:423162
Mabuga	id=g:423163
Nyakungo	id=g:423164
Masonga	id=g:423165
Muka	id=g:423166
Rumeza	id=g:423167
Rumeza	id=g:423168
Rumeza	id=g:423169
Kanyinya	id=g:423170
Nyabuyugi	id=g:423171
Mishishi	id=g:423172
Rarire	id=g:423173
Karambi	id=g:423174
Gishanga	id=g:423175
Ruvumu	id=g:423176
Mutuntu	id=g:423177
Kanyinya	id=g:423178
Musumba	id=g:423179
Songorere	id=g:423180
Nyamizi	id=g:423181
Tara	id=g:423182
Musasa	id=g:423183
Bihari	id=g:423185
Muyaga	id=g:423186
Rugari	id=g:423187
Manyoni	id=g:423188
Kimiranzovu	id=g:423189
Uwimpene	id=g:423190
Laiterie Kiryama	id=g:423191
Muvumu	id=g:423192
Musenyi	id=g:423193
Ngemwe	id=g:423194
Mursarara	id=g:423195
Muhanda	id=g:423196
Gitezi	id=g:423197
Nyakayungwe	id=g:423198
Murago	id=g:423199
Kiryama	id=g:423200
Kavuza	id=g:423201
Rukoma	id=g:423202
Ruhuma	id=g:423203
Rukoma	id=g:423204
Rwansongo	id=g:423205
Taba	id=g:423206
Ruzunga	id=g:423207
Kiryama	id=g:423208
Kayange	id=g:423209
Sebeyi	id=g:423210
Ngandu	id=g:423211
Taba	id=g:423212
Rukina	id=g:423213
Kibazwa	id=g:423214
Kayange	id=g:423215
Kibasi	id=g:423216
Fuku	id=g:423217
Jenda	id=g:423218
Mubanga	id=g:423219
Gisumo	id=g:423220
Gihoro	id=g:423221
Munoboke	id=g:423222
Horezo	id=g:423223
Nyamusenyi	id=g:423224
Mbariza	id=g:423225
Kame	id=g:423226
Muheka	id=g:423227
Karambi	id=g:423228
Rukina	id=g:423229
Kayange	id=g:423230
Kanyamisiba	id=g:423231
Taba	id=g:423232
Gahororo	id=g:423233
Sama	id=g:423234
Manjabaga	id=g:423235
Muhorera	id=g:423236
Gikuze	id=g:423237
Kanyabitumwe	id=g:423238
Nyakigo	id=g:423239
Murambi	id=g:423240
Ndago	id=g:423241
Mugure	id=g:423242
Kabumburi	id=g:423243
Nyamiyaga	id=g:423244
Nyabwato	id=g:423245
Rwego	id=g:423246
Mureba	id=g:423247
Kinama	id=g:423248
Mutsinda	id=g:423249
Jerama	id=g:423250
Kanyabitumwe	id=g:423251
Buzamana	id=g:423252
Ruminamina	id=g:423253
Rutundwe	id=g:423254
Rwego	id=g:423255
Kivumu	id=g:423256
Giheta	id=g:423257
Mudende	id=g:423258
Nyakigongwe	id=g:423259
Musagara	id=g:423260
Jiji	id=g:423261
Karinzi	id=g:423262
Kuwingwa	id=g:423263
Ndago	id=g:423264
Nyagatwe	id=g:423265
Muganda	id=g:423266
Mpinga	id=g:423267
Gikuyo	id=g:423268
Rugomero	id=g:423269
Nyamirama	id=g:423270
Kizingwe	id=g:423271
Nyakanazi	id=g:423272
Gikokoma	id=g:423273
Kadina	id=g:423274
Kiyengo	id=g:423275
Rwamabuye	id=g:423276
Vumbi	id=g:423277
Mubuga	id=g:423278
Shembe	id=g:423279
Musebeyi	id=g:423280
Miremera	id=g:423281
Kibango	id=g:423282
Munyegeri	id=g:423283
Maramvya	id=g:423284
Murago	id=g:423285
Nyabuyumpu	id=g:423286
Nyavyamo	id=g:423287
Nyarukenke	id=g:423288
Mitanga	id=g:423289
Kimongozi	id=g:423290
Karimbi	id=g:423291
Nyagwijima	id=g:423292
Gasenyi	id=g:423293
Kashubi	id=g:423294
Nanira	id=g:423295
Cangwe	id=g:423296
Manda	id=g:423297
Nyange	id=g:423298
Dundwe	id=g:423299
Rushemeza	id=g:423300
Rukanda	id=g:423301
Mudaraza	id=g:423302
Gatohwe	id=g:423303
Taba	id=g:423304
Kinangike	id=g:423305
Ndava	id=g:423306
Kamvumvu	id=g:423307
Murago	id=g:423308
Gatonganika	id=g:423309
Mutandu	id=g:423310
Gasura	id=g:423311
Bururi	id=g:423312
École normale Kiremba	id=g:423313
Réserve naturelle forestière de Bururi	id=g:423314
Rumonyi	id=g:423315
Maza	id=g:423316
Kiremba	id=g:423317
Gishurushuru	id=g:423318
Kagomogomo	id=g:423319
Nyamugari	id=g:423320
Gisarenda	id=g:423321
École primaire Kiremba	id=g:423322
Kiremba	id=g:423323
Kiremba	id=g:423324
Murinda	id=g:423325
Muyange	id=g:423326
iProvense ya Bururi	id=g:423327
Bururi	id=g:423328
Cathédrale Nyamugari	id=g:423329
Hôpital Bururi	id=g:423330
École primaire Nyamugari	id=g:423331
Kanzogoro	id=g:423332
Burunga	id=g:423333
Rugara	id=g:423334
Siguvyaye	id=g:423335
Bureau de commune Bururi	id=g:423336
Petit Séminaire Buta	id=g:423337
Gasye	id=g:423338
Buta	id=g:423339
Kaziramihunda	id=g:423340
Bururi	id=g:423341
Myugaro	id=g:423342
Gatanga	id=g:423343
Nyansyo	id=g:423344
Mugozi	id=g:423345
Gasanda	id=g:423346
Kinama	id=g:423347
Rurembera	id=g:423348
Musorora	id=g:423349
Rwankona	id=g:423350
Nyamiyaga	id=g:423351
Nyagasaka	id=g:423352
Mugweji	id=g:423353
Nyundo	id=g:423354
Sangu	id=g:423355
Muzima	id=g:423356
Kiganda	id=g:423357
Mututu	id=g:423358
Rudegwe	id=g:423359
Kiganda	id=g:423360
Kivuruga	id=g:423361
Muzima	id=g:423362
Kavimvira	id=g:423363
Gisatura	id=g:423364
Butaro	id=g:423365
Kagomogomo	id=g:423366
Bushingwa	id=g:423367
Maramvya	id=g:423368
Tarire	id=g:423369
Koga	id=g:423370
Kagunguzi	id=g:423371
Mudahandwa	id=g:423372
Honga	id=g:423373
Nyarwonga	id=g:423374
Cimabare	id=g:423375
Kajabure	id=g:423376
Muhora	id=g:423377
Nyakarambo	id=g:423378
Mutara	id=g:423379
Rubanga	id=g:423380
Kabogora	id=g:423381
Gisanze	id=g:423382
Ndurumu	id=g:423383
Mahando	id=g:423384
Muhanda	id=g:423385
Rushiha	id=g:423386
Mizigo	id=g:423387
Kanyamigogo	id=g:423388
Mahonda	id=g:423389
Muzura	id=g:423390
Murambi	id=g:423391
Shavu	id=g:423392
Rubungo	id=g:423393
Tongwe	id=g:423394
Kibasi	id=g:423395
Mivo	id=g:423396
Kirogorya	id=g:423397
Kigezi	id=g:423398
Rugomero	id=g:423399
Mibaga	id=g:423400
Muyuga	id=g:423401
Buruhukiro	id=g:423402
Burarana	id=g:423403
Mirango	id=g:423404
Kiganda	id=g:423405
Bubera	id=g:423406
Songa	id=g:423407
Bigoti	id=g:423408
Tagara	id=g:423409
Rukamba	id=g:423410
Numbwe	id=g:423411
Kayonza	id=g:423412
Gishiha	id=g:423413
Buhinyuza	id=g:423414
Gitwe II	id=g:423415
Gishiha	id=g:423416
Nyabisare	id=g:423417
Rwiri	id=g:423418
Nyangwa	id=g:423419
Kiri	id=g:423420
Rumonyi	id=g:423421
Kinyarwera	id=g:423422
Shanga	id=g:423423
Kivoga	id=g:423424
Gihinga	id=g:423425
Ruhora	id=g:423426
Kinkwiba	id=g:423427
Rwera	id=g:423428
Mugere	id=g:423429
Kinyamaganga	id=g:423430
Muturirwa	id=g:423431
Buyenzi	id=g:423432
Mariza	id=g:423433
Muturirwa	id=g:423434
Kivoga	id=g:423435
Rugata	id=g:423436
Gisarenda	id=g:423437
Kabo	id=g:423438
Kabezi	id=g:423439
Nyamunzugwe	id=g:423440
Rutwenzi	id=g:423441
Muzi	id=g:423442
Muvumu	id=g:423443
Muyaga	id=g:423444
Kibozi	id=g:423445
Minago	id=g:423446
Minago	id=g:423447
Kibenga	id=g:423448
Murara	id=g:423449
Ngonya	id=g:423450
Murago	id=g:423451
Minago	id=g:423452
Murago	id=g:423453
Murago	id=g:423454
Rwaniro	id=g:423455
Nyabugangara	id=g:423456
Nkenke	id=g:423457
Minago	id=g:423458
Kibumba	id=g:423459
Mpogora	id=g:423460
Nyarumanga	id=g:423461
Kigara	id=g:423462
Rusabagi	id=g:423463
Gakonko	id=g:423464
Nyamiguha	id=g:423465
Bisaka	id=g:423466
Minago	id=g:423467
Murago	id=g:423468
Burambi	id=g:423469
Bitare	id=g:423470
Kesha	id=g:423471
Nyabiriba	id=g:423472
Vumbaganya	id=g:423473
Mibanda	id=g:423474
Muyange	id=g:423475
Nyangwa	id=g:423476
Cugaro	id=g:423477
Gitaramuka	id=g:423478
Gakuza	id=g:423479
Mibanda	id=g:423480
Nyabisoro	id=g:423481
Kabezi	id=g:423482
Rutwenzi	id=g:423483
Muyogoro	id=g:423484
Mugaranzura	id=g:423485
Cinjira	id=g:423486
Busesa	id=g:423487
Gitarungama	id=g:423488
Kagongo	id=g:423489
Borne Kagongo	id=g:423490
Gicumbi	id=g:423491
Nyakibuye	id=g:423492
Mugotora	id=g:423493
Musave	id=g:423494
Burengera	id=g:423495
Gahinda	id=g:423496
Kavumu	id=g:423497
Migende	id=g:423498
Gatwe	id=g:423499
Cewe	id=g:423500
Gatobo	id=g:423501
Kaguve	id=g:423502
Gitaba	id=g:423503
Kanywabakunzi	id=g:423504
Kizuka	id=g:423505
Busaga	id=g:423506
Remba	id=g:423507
Gitongwe	id=g:423508
Nkambasi	id=g:423509
Shawe	id=g:423510
Kizuka	id=g:423511
Murenge	id=g:423512
Nkara	id=g:423513
Karama	id=g:423514
Gakora	id=g:423515
Gasamba	id=g:423516
Kiyagayaga	id=g:423517
Mpara	id=g:423518
Nyamibu	id=g:423519
Munege	id=g:423520
Duli	id=g:423521
Munege	id=g:423522
Nyacijima	id=g:423523
Munege	id=g:423524
Munege	id=g:423525
Mwika	id=g:423526
Kavombe	id=g:423527
Mwange	id=g:423528
Mudende	id=g:423529
Katanyobwa	id=g:423530
Maramvya	id=g:423531
Gisagara	id=g:423532
Nyamisozo	id=g:423533
Muzimwe	id=g:423534
Kirama	id=g:423535
Mwange	id=g:423536
Cunda	id=g:423537
Musihazi	id=g:423538
Sambwe	id=g:423539
Mbuga	id=g:423540
Dama	id=g:423541
Mugomere	id=g:423542
Rukinga	id=g:423543
Nkayamba	id=g:423544
Kibumba	id=g:423545
Nyabihanga	id=g:423546
Rumonge	id=g:423547
Mugweji	id=g:423548
Rumonge	id=g:423549
Mugerangabo	id=g:423550
Bureau de commune Rumonge	id=g:423551
Rumonge	id=g:423552
Birimba	id=g:423553
Rwasuma	id=g:423554
Mutambara	id=g:423555
Kanyankoko	id=g:423556
Rusabagi	id=g:423557
Gisure	id=g:423558
Busesa	id=g:423559
Station météorologique Ntaho	id=g:423560
Mukonko	id=g:423561
Buhanda	id=g:423562
Mena	id=g:423563
Rutambiro	id=g:423564
Mubone	id=g:423565
Manga	id=g:423566
Kigaramango	id=g:423567
Barrage Rubanda	id=g:423568
Vumbiro	id=g:423569
Rubanda	id=g:423570
Gasarwe	id=g:423571
Ngoma	id=g:423572
