Kapóremma	id=g:261111
Kámbos	id=g:261223
Kámbos	id=g:261224
Kámbos	id=g:261225
Kámbos	id=g:261226
Kámbos	id=g:261227
Kámbos	id=g:261228
Kámbos	id=g:261229
Kambokhórion	id=g:261230
Kámboi	id=g:261231
Kambitsáta	id=g:261232
Kampíon	id=g:261233
Kambinára	id=g:261234
Kambiás	id=g:261235
Kambianí Kefála	id=g:261236
Kampiá	id=g:261237
Kambiá	id=g:261238
Kambiá	id=g:261239
Kambiá	id=g:261240
Kambiá	id=g:261241
Kampí	id=g:261242
Kambí	id=g:261243
Akrotírion Kampanós	id=g:261244
Kambanós	id=g:261245
Kambánion	id=g:261246
Ákra Kambána	id=g:261247
Kamatriádhes	id=g:261248
Kamaterón	id=g:261249
Kamaterón	id=g:261250
Kamaroúla	id=g:261251
Kamaroúla	id=g:261252
Kamarítsa	id=g:261253
Kamarítsa	id=g:261254
Kamárion	id=g:261255
Kamariótis	id=g:261256
Kamárion	id=g:261257
Kamárion	id=g:261258
Kamárion	id=g:261259
Kamárion	id=g:261260
Kamárion	id=g:261261
Kamárion	id=g:261262
Kamárion	id=g:261263
Kamárion	id=g:261264
Kamarína	id=g:261265
Kamarílla	id=g:261266
Kamária	id=g:261267
Kamária	id=g:261268
Kamária	id=g:261269
Kamária	id=g:261270
Órmos Kamári	id=g:261271
Ákra Kamári	id=g:261272
Ákra Kamári	id=g:261273
Kamári	id=g:261274
Ákra Kamáres	id=g:261275
Kamáres	id=g:261276
Kamarélou	id=g:261277
Réma Kamáras	id=g:261278
Kamarákion	id=g:261279
Kamarákion	id=g:261280
Kamaráki	id=g:261281
Órmos Kamárai	id=g:261282
Kamárai	id=g:261283
Kamárai	id=g:261284
Kamárai	id=g:261285
Kamárai	id=g:261286
Kamára	id=g:261287
Kamára	id=g:261288
Kamára	id=g:261289
Kamára	id=g:261290
Kamára	id=g:261291
Kamára	id=g:261292
Vrachonisída Kaltsonísi	id=g:261293
Kaltezaí	id=g:261294
Kalpakóvrakhos	id=g:261295
Kalpakiótikos Potamós	id=g:261296
Kalpákion	id=g:261297
Kalpákion	id=g:261298
Kalpáki	id=g:261299
Kalpáki	id=g:261300
Kálpa	id=g:261301
Kaloyírou Stroúnga	id=g:261302
Kávos Kaloyírou	id=g:261303
Nisída Kalógiros	id=g:261304
Avláki Kalógiros	id=g:261305
Ákra Kalóyiros	id=g:261306
Ákra Kalóyiros	id=g:261307
Kalóyiros	id=g:261308
Kalóyiros	id=g:261309
Kalógiroi	id=g:261310
Kaloyerovoúni	id=g:261311
Kaloyerovoúni	id=g:261312
Kaloyerovoúni	id=g:261313
Ákra Kalóyeros	id=g:261314
Ákra Kalóyeros	id=g:261315
Ákra Kalóyeros	id=g:261316
Ákra Kalóyeros	id=g:261317
Ákra Kalóyeros	id=g:261318
Kalóyeros	id=g:261319
Kalóyeros	id=g:261320
Kaloyerórrakhi	id=g:261321
Kaloyéron	id=g:261322
Vráchoi Kalógeroi	id=g:261323
Vrákhoi Kalóyeroi	id=g:261324
Nisída Kalógeros	id=g:261325
Ífaloi Kaloyéroi	id=g:261326
Ákra Kalóyeroi	id=g:261327
Kalóyeroi	id=g:261328
Kaloyerína	id=g:261329
Kalogerikón	id=g:261330
Kaloyerésion	id=g:261331
Kaloyerés	id=g:261332
Kaloyerádho	id=g:261333
Ákra Kaloyerá	id=g:261334
Kalóvrisi	id=g:261335
Vrachonisída Kalóvoulo	id=g:261336
Kalóvatos	id=g:261337
Kalovátai	id=g:261338
Kaloutás	id=g:261339
Kaloúsion	id=g:261340
Kaloúdhion	id=g:261341
Kaloudhianá	id=g:261342
Ákra Kalotrivídhis	id=g:261343
Órmos Kalotíri	id=g:261344
Kalothrónion	id=g:261345
Ákra Kaloteroúsa	id=g:261346
Ákra Kalotéri	id=g:261347
Kalós Lákkos	id=g:261348
Kalós Lákkos	id=g:261349
Kaloskopí	id=g:261350
Kalós	id=g:261351
Kalós	id=g:261352
Kalórrouma	id=g:261353
Kalóros	id=g:261354
Kalóros	id=g:261355
Órmos Kalopoúlou	id=g:261356
Kaloporítsa	id=g:261357
Kalópirgos	id=g:261358
Kalón Paidhíon	id=g:261359
Kalonóvgoro	id=g:261360
Kalón Óros	id=g:261361
Kalón Nerón	id=g:261362
Kalón Nerón	id=g:261363
Kalón Khoríon	id=g:261364
Kalón Khoríon	id=g:261365
Kalón Khoríon	id=g:261366
Kalón Khoríon	id=g:261367
Kalón Khoríon	id=g:261368
Kalonioí	id=g:261369
Kaloníktis	id=g:261370
Kalonérion	id=g:261371
Kalomoiraíika	id=g:261372
Kalomoíra	id=g:261373
Ákra Kalomeriá	id=g:261374
Nisída Kalólimnos	id=g:261375
Kalokhórion	id=g:261376
Kalochórion	id=g:261377
Kalokhórion	id=g:261378
Kalokhorafítis	id=g:261379
Kalokairinoí	id=g:261380
Órmos Kaloí Limniónes	id=g:261381
Kaloí Liménes	id=g:261382
Kaloí Lákkoi	id=g:261383
Órmos Kalogriá	id=g:261384
Kalogrianí	id=g:261385
Kalogrianá	id=g:261386
Vrakhonisídha Kalógria	id=g:261387
Limnothálassa Kalogriá	id=g:261388
Kalogréza	id=g:261389
Kalogoniá	id=g:261390
Kalofána	id=g:261391
Kalodhikátika	id=g:261392
Kólpos Kallonís	id=g:261393
Vrachonisída Kalloní	id=g:261394
Kalloní	id=g:261395
Kalloní	id=g:261396
Kalloní	id=g:261397
Kalloní	id=g:261398
Kalloní	id=g:261399
Kalloní	id=g:261400
Kallíthiron	id=g:261401
Kallitheókambos	id=g:261402
Kallithéa	id=g:261403
Kallithéa	id=g:261404
Kallithéa	id=g:261405
Kallithéa	id=g:261406
Kallithéa	id=g:261407
Kallithéa	id=g:261408
Kallithéa	id=g:261409
Kallithéa	id=g:261410
Kallithéa	id=g:261411
Kallithéa	id=g:261412
Kallithéa	id=g:261413
Kallithéa	id=g:261414
Kallithéa	id=g:261415
Kallithéa	id=g:261416
Kallithéa	id=g:261417
Kallithéa	id=g:261418
Kallithéa	id=g:261419
Kallithéa	id=g:261420
Kallithéa	id=g:261421
Kallirróï	id=g:261422
Kallirröḯ	id=g:261423
Kallipévki	id=g:261424
Kalliópi	id=g:261425
Kállion	id=g:261426
Kallimasiá	id=g:261427
Kallikrátis	id=g:261428
Kallikrathianó Farángi	id=g:261429
Kalligónion	id=g:261430
Kallifónion	id=g:261431
Kallifónion	id=g:261432
Óros Kallídhromon	id=g:261433
Kallídhromon	id=g:261434
Kallianós	id=g:261435
Kalliánion	id=g:261436
Kalleryianá	id=g:261437
Kallérgos	id=g:261438
Kalarítai	id=g:261439
Kálivos	id=g:261440
Kalivítis	id=g:261441
Sidirodromikós Stathmós Kalyvíon	id=g:261442
Sidhirodhromikí Stásis Kalivíon	id=g:261443
Órmos Kalívia Vámou	id=g:261444
Kalývia Thorikoú	id=g:261445
Kalívia Theológou	id=g:261446
Kalívia Soudheniótika	id=g:261447
Kalívia Sokhás	id=g:261448
Kalívia Skotánis	id=g:261449
Kalívia Pteleoú	id=g:261450
Kalívia Prasínon	id=g:261451
Kalívia Pangratíon	id=g:261452
Kalivianí	id=g:261453
Kalívia Makrí	id=g:261454
Kalývia	id=g:261455
Týrgia	id=g:261456
Kalívia Khelonospiliás	id=g:261457
Kalívia Karión	id=g:261458
Kalívia Filíon	id=g:261459
Kalývia Fylaktís	id=g:261460
Kalívia Eláfou	id=g:261461
Kalývia Arístis	id=g:261462
Kalívia Analípseos	id=g:261463
Kalývia	id=g:261464
Kallithéa	id=g:261465
Kalívia	id=g:261466
Kalívia	id=g:261467
Kalývia	id=g:261468
Kalívia	id=g:261469
Kalívia	id=g:261470
Kalívia	id=g:261471
Kalívia	id=g:261472
Kalývia	id=g:261473
Kalívia	id=g:261474
Kalívia	id=g:261475
Kalívia	id=g:261476
Kalívia	id=g:261477
Kalívia	id=g:261478
Kalívia	id=g:261479
Kalívia	id=g:261480
Kalívia	id=g:261481
Kalívia	id=g:261482
Kalívia	id=g:261483
Kalívia	id=g:261484
Kalívia	id=g:261485
Kalívia	id=g:261486
Kalívia	id=g:261487
Kalíveza	id=g:261488
Kalíves Valtsaíikes	id=g:261489
Kalivárion	id=g:261490
Kalivákia	id=g:261491
Kalivákia	id=g:261492
Kalivákia	id=g:261493
Kalivákia	id=g:261494
Kalívai	id=g:261495
Kalívai	id=g:261496
Kalívai	id=g:261497
Kalítsaina	id=g:261498
Kalíti Rákhi	id=g:261499
Kalisperiánika	id=g:261500
Kalí Sikéa	id=g:261501
Kávos Kalís	id=g:261502
Kalipádhon	id=g:261503
Nisís Kalióra	id=g:261504
Órmos Kalýmnou	id=g:261505
Nisí Kálymnos	id=g:261506
Kálymnos	id=g:261507
Kalimeriánoi	id=g:261508
Óros Kalí Límni	id=g:261509
Kalí Kómi	id=g:261510
Kalí Chítsa	id=g:261511
Vrákhoi Kalíka	id=g:261512
Ákra Kalíka	id=g:261513
Kaligáta	id=g:261514
Órmos Kalidhónos	id=g:261515
Órmos Kalidhoníkhi	id=g:261516
Kalidhónia	id=g:261517
Kalídhona	id=g:261518
Nisída Spinalónga	id=g:261519
Kalidhón	id=g:261520
Kaliánoi	id=g:261521
Kalianaíika	id=g:261522
Kaliakoúdhas Réma	id=g:261523
Kaliakoúdha Óros	id=g:261524
Kaliakoúdha	id=g:261525
Kálfas	id=g:261526
Kalesménon	id=g:261527
Kaleryianá	id=g:261528
Kalérgon	id=g:261529
Kaléntzion	id=g:261530
Kaléntzion	id=g:261531
Kaléntzis Potamós	id=g:261532
Kalentínis Potamós	id=g:261533
Kalavroúza	id=g:261534
Kalavroú	id=g:261535
Vrachonisída Kalavrós	id=g:261536
Kalávryta	id=g:261537
Kalavárda	id=g:261538
Kalathórouno	id=g:261539
Kaláthion Óros	id=g:261540
Kaláthenai	id=g:261541
Kalathás Réma	id=g:261542
Órmos Kalathás	id=g:261543
Kalathás	id=g:261544
Kaláta	id=g:261545
Kalarrítikos Potamós	id=g:261546
Kalaremaíika	id=g:261547
Kalapódhion	id=g:261548
Vrachonisídes Kalapódia	id=g:261549
Réma Kalantzíkia	id=g:261550
Kalantzaíïka	id=g:261551
Kálanos	id=g:261552
kalanístra	id=g:261553
Kalánia	id=g:261554
Órmos Kalá Nerá	id=g:261555
Kalá Nerá	id=g:261556
Kalándra	id=g:261557
Órmos Kalandó	id=g:261558
Ákra Kalandó	id=g:261559
Kalamoúdhion	id=g:261560
Kalamotí	id=g:261561
Órmos Kálamos	id=g:261562
Órmos Kálamos	id=g:261563
Órmos Kálamos	id=g:261564
Nísos Kálamos	id=g:261565
Ákra Kálamos	id=g:261566
Ákra Kálamos	id=g:261567
Ákra Kálamos	id=g:261568
Kálamos	id=g:261569
Kálamos	id=g:261570
Kálamos	id=g:261571
Kálamos	id=g:261572
Kálamos	id=g:261573
Kálamos	id=g:261574
Kálamos	id=g:261575
Kálamos	id=g:261576
Kálamos	id=g:261577
Kalamórrema	id=g:261578
Kalamonítis Potamós	id=g:261579
Kalamondári Réma	id=g:261580
Kalamítsion Amigdhálion	id=g:261581
Kalamítsion Alexándrou	id=g:261582
Kalamítsion	id=g:261583
Kalamítsion	id=g:261584
Órmos Kalamítsas	id=g:261585
Kalamítis Potamós	id=g:261586
Kalamiós	id=g:261587
Kalamióna	id=g:261588
Kalámion	id=g:261589
Kalámion	id=g:261590
Kalámion	id=g:261591
Kalámion	id=g:261592
Ákra Kalamíki	id=g:261593
Kalamiás	id=g:261594
Ákra Kalamiá	id=g:261595
Kalamiá	id=g:261596
Ákra Kalámi	id=g:261597
Kalámi	id=g:261598
Kalámi	id=g:261599
Kalambóka Réma	id=g:261600
Kalampáka	id=g:261601
Kalamávki	id=g:261602
Kalamávka	id=g:261603
Kalamáta	id=g:261604
Ákra Kalamás	id=g:261605
Ákra Kalamária	id=g:261606
Kalamarás	id=g:261607
Órmos Kalamakíou	id=g:261608
Kalamákion	id=g:261609
Kalamákion	id=g:261610
Kalamákion	id=g:261611
Kalamákion	id=g:261612
Kalamákion	id=g:261613
Kalamáki	id=g:261614
Kalamákion	id=g:261615
Kalamákion	id=g:261616
Kalamákion	id=g:261617
Órmos Kalamáki	id=g:261618
Órmos Kalamáki	id=g:261619
Ákra Kalamáki	id=g:261620
Ákra Kalamáki	id=g:261621
Kalamáki	id=g:261622
Kalamáki	id=g:261623
Kalamáki	id=g:261624
Kalakaíika	id=g:261625
Ákra Kalafátis	id=g:261626
Óros Kakóvoulo	id=g:261627
Kakóvolon	id=g:261628
Kakóvoli	id=g:261629
Kakóvatos	id=g:261630
Kakóvatos	id=g:261631
Kakoúsi	id=g:261632
Kakoúrion	id=g:261633
Órmos Kakoúri	id=g:261634
Kakouraíika	id=g:261635
Kakotárion	id=g:261636
Kakospáthi	id=g:261637
Kakórrevma	id=g:261638
Kakórrema	id=g:261639
Kakórrema	id=g:261640
Kakórrema	id=g:261641
Kakoplévrion	id=g:261642
Kakóplaka	id=g:261643
Kakópetros	id=g:261644
Kakongiónion	id=g:261645
Ákra Kakomoúri	id=g:261646
Kakó Melíssi	id=g:261647
Órmos Kakoláspi	id=g:261648
Kakó Kefáli	id=g:261649
Kakokefalí	id=g:261650
Kakó Kastélli	id=g:261651
Kakokámotai	id=g:261652
Kakodhíkion	id=g:261653
Kakodhikianós Potamós	id=g:261654
Ákra Kakó	id=g:261655
Kákkavos	id=g:261656
Kákkavas	id=g:261657
Kákiza	id=g:261658
Kakí Vígla	id=g:261659
Órmos Kakí Thálassa	id=g:261660
Órmos Kakí Vígla	id=g:261661
Vráchos Kakí Skála	id=g:261662
Kakí Skála	id=g:261663
Kakí Rákhi	id=g:261664
Kakí Rákhi	id=g:261665
Kakiá Rákhi	id=g:261666
Kakavoulaíika	id=g:261667
Kakaváki	id=g:261668
Avathí Kákava	id=g:261669
Ákra Kakáta	id=g:261670
Kákari Réma	id=g:261671
Kakára Réma	id=g:261672
Kakalioraíika	id=g:261673
Kakalétrion	id=g:261674
Kakaíika	id=g:261675
Kaḯtsa	id=g:261676
Kaisárion	id=g:261677
Kaisarianí	id=g:261678
Kainoúryion Khoríon	id=g:261679
Kainoúryion	id=g:261680
Kainoúryion	id=g:261681
Kainoúryia Khóra	id=g:261682
Kainoúrion Khoríon	id=g:261683
Káïna	id=g:261684
Kaiménos	id=g:261685
Kaïméni Khóra	id=g:261686
Kaiména Ambélia	id=g:261687
Nisída Kamákia	id=g:261688
Kaïáfas	id=g:261689
Límni Kaïáfa	id=g:261690
Kafritsaíika	id=g:261691
Kafoúros	id=g:261692
Kafoú	id=g:261693
Ákra Kafirévs	id=g:261694
Stenón Kafiréos	id=g:261695
Kafióna	id=g:261696
Kádhros	id=g:261697
Kádhiston Óros	id=g:261698
Kádhion	id=g:261699
Kadhará Kávos	id=g:261700
Ífalos Jónston	id=g:261701
Ixós	id=g:261702
Itoli Potamós	id=g:261703
Ýfalos Itísa	id=g:261704
Ithómi Óros	id=g:261705
Stenó Ithákis	id=g:261706
Nísos Itháki	id=g:261707
Itháki	id=g:261708
Limín Itéas	id=g:261709
Kólpos Itéas	id=g:261710
Ákra Itéa	id=g:261711
Itéa	id=g:261712
Itéa	id=g:261713
Itéa	id=g:261714
Itéa	id=g:261715
Ítamos Óros	id=g:261716
Koryfí	id=g:261717
Ákra Ístros	id=g:261718
Ístrios	id=g:261719
Istiaía	id=g:261720
Isthmía	id=g:261721
Ákra Istérnia	id=g:261722
Istérnia	id=g:261723
Vrachonisída Koukkonísi	id=g:261724
Isómata	id=g:261725
Isómata	id=g:261726
Isómata	id=g:261727
Isómata	id=g:261728
Isómata	id=g:261729
Isómata	id=g:261730
Ísoma Karión	id=g:261731
Ísoma	id=g:261732
Isiómata	id=g:261733
Isiómata	id=g:261734
Órmos Isidhórou	id=g:261735
Ísaris	id=g:261736
Sidhirodhromikós Stathmós Ísari	id=g:261737
Irtakína	id=g:261738
Ákra Íria	id=g:261739
Íria	id=g:261740
Nomós Irakleíou	id=g:261741
Kólpos Iraklíou	id=g:261742
Iráklion	id=g:261743
Irákleion	id=g:261745
Nísos Irákleia	id=g:261746
Iráklia	id=g:261747
Iráklia	id=g:261748
Iráklia	id=g:261749
Liménas Irakléous	id=g:261750
Ákra Iraíon	id=g:261751
Ipsoús	id=g:261752
Ipsimóndas	id=g:261753
ipsilós Soros	id=g:261754
Ipsilón Khoríon	id=g:261755
Ipsilón	id=g:261756
Ypsilométopon	id=g:261757
Ipsilí Rákhi	id=g:261758
Nisís Ipsilí	id=g:261759
Nisís Ypsilí	id=g:261760
Ipsilándis	id=g:261761
Ipsilá	id=g:261762
Ippoforvíon	id=g:261763
Íppeion	id=g:261764
Ípeiros	id=g:261765
Sidhirodhromikós Stathmós Ipátou	id=g:261766
Ípaton Óros	id=g:261767
Ípaton	id=g:261768
Ipáti	id=g:261769
Órmos Íou	id=g:261770
Nísos Íos	id=g:261771
Íos	id=g:261772
Íon Potamós	id=g:261773
Ionian Islands	id=g:261774
Iónioi Nísoi	id=g:261775
Ionia	id=g:261776
Nomós Ioannínon	id=g:261777
Límni Ioannínon	id=g:261778
Ioánnina	id=g:261779
Ínion	id=g:261780
Ínia	id=g:261781
Ínachos Réma	id=g:261782
Ínakhos Potamós	id=g:261783
Ínakhos Potamós	id=g:261784
Imvrótiko Farángi	id=g:261785
Óros Ymittós	id=g:261786
Imerovígli	id=g:261787
Ímbros	id=g:261788
Ilisós Potamós	id=g:261789
Ílis	id=g:261790
Iliopoulaíika	id=g:261791
Iliochórion	id=g:261792
Iliókastron	id=g:261793
Iliókali	id=g:261794
Ilíki Límni	id=g:261795
Ilíki	id=g:261796
Nomós Ileías	id=g:261797
Ákra Ilías	id=g:261798
Ilías	id=g:261799
Ília	id=g:261800
Iléktra	id=g:261801
Ákra Ikónisma	id=g:261802
Íklaina	id=g:261803
Nísos Ikaría	id=g:261804
Ikaraíoi	id=g:261805
Órmos Igoumenítsis	id=g:261806
Igoumenítsa	id=g:261807
Ierón Asklipioú	id=g:261808
Ieromónachos	id=g:261809
Ieromními	id=g:261810
Ákra Gérakas	id=g:261811
Gérakas	id=g:261812
Ákra Ierápetra	id=g:261813
Ierápetra	id=g:261814
Órmos Iérakos	id=g:261815
Ydroússa	id=g:261816
Nisís Idhroúsa	id=g:261817
Liménas Ýdras	id=g:261818
Kólpos Ýdras	id=g:261819
Kávos Idhraíou	id=g:261820
Nísos Ýdra	id=g:261821
Ýdra	id=g:261822
Óros Ídi	id=g:261823
Iámia	id=g:261824
Iakó Tsoúrmo	id=g:261825
Hasámbali	id=g:261826
Hajóbasis	id=g:261827
Hají Yelási	id=g:261828
Hajís	id=g:261829
Chatzí	id=g:261830
Koryfí	id=g:261831
Gkremós Réma	id=g:261832
Groustésion	id=g:261833
Ákra Grótto	id=g:261834
Grótta	id=g:261835
Ákra Gróssos	id=g:261836
Ákra Grósso	id=g:261837
Grósso	id=g:261838
Nisís Gromboloúra	id=g:261839
Grizókambos	id=g:261840
Grizáta	id=g:261841
Grízanon	id=g:261842
Ákra Gríva	id=g:261843
Gríva	id=g:261844
Grionísi	id=g:261845
Gkrímpovon	id=g:261846
Grimbilianá	id=g:261847
Grimpianá	id=g:261848
Vrachonisída Grylloúsa	id=g:261849
Gríllos	id=g:261850
Órmos Gríko	id=g:261851
Gkríka	id=g:261852
Grigóris	id=g:261853
Grigórion	id=g:261854
Grigorianá	id=g:261855
Grigoría	id=g:261856
Grímpovon	id=g:261857
Griás Vígla	id=g:261858
Griás Sorós	id=g:261859
Griás Próvata	id=g:261860
Ákra Griás	id=g:261861
Vrachonisída Griá	id=g:261862
Ákra Griá	id=g:261863
Ánoixis	id=g:261864
Miléai	id=g:261865
Grevenítion	id=g:261866
Karyá	id=g:261867
Gremoulás	id=g:261868
Ákra Gregáli	id=g:261869
Graviá	id=g:261870
Graviá	id=g:261871
Rákhi Grávas	id=g:261872
Nisís Grávaris	id=g:261873
Gkráva Léka	id=g:261874
Gráva	id=g:261875
Granitsopoúla	id=g:261876
Granitsiótis Réma	id=g:261877
Granitsás	id=g:261878
Granitsaíika	id=g:261879
Granítsa	id=g:261880
Granítsa	id=g:261881
Granítsa	id=g:261882
Ákra Granítis	id=g:261883
Órmos Grándes	id=g:261884
Nisídes Gkrántes	id=g:261885
Ýfalos Grand	id=g:261886
Granás	id=g:261887
Limín Gramvoúsis	id=g:261888
Órmos Gramvoúsa	id=g:261889
Nisís Gramvoúsa	id=g:261890
Gramvousá	id=g:261891
Grámousa	id=g:261892
Límni Grámmousti	id=g:261893
Gramménon	id=g:261894
Grammenítsa	id=g:261895
Gramméni Pétra	id=g:261896
Gramméni Oxiá	id=g:261897
Gramméni	id=g:261898
Órmos Grammatikoú	id=g:261899
Grammatikoú	id=g:261900
Grammatikós	id=g:261901
Grammatikón	id=g:261902
Grammatikón	id=g:261903
Grammatikiánoi	id=g:261904
Grammatikaíika	id=g:261905
Órmos Grámmata	id=g:261906
Ákra Grámmata	id=g:261907
Grambiá	id=g:261908
Grambála	id=g:261909
Gra Liyiá	id=g:261910
Grá-Kirá	id=g:261911
Graikós	id=g:261912
Graikochórion	id=g:261913
Graíkas	id=g:261914
Graíkas	id=g:261915
Chalasména	id=g:261916
Nisída Gramvoúsa	id=g:261917
Órmos Goúves	id=g:261918
Goúvai	id=g:261919
Goúvai	id=g:261920
Goúvai	id=g:261921
Goúva	id=g:261922
Órmos Goúrzas	id=g:261923
Goúrthi	id=g:261924
Ikhthiotrofíobn Gourounopoúles	id=g:261925
Nisís Gouroúnia	id=g:261926
Ákra Gouroúni	id=g:261927
Goúrnos	id=g:261928
Gourniá	id=g:261929
Skópelos Goúrnes	id=g:261930
Órmos Goúrnes	id=g:261931
Órmos Goúrnes	id=g:261932
Ákra Goúrnes	id=g:261933
Goúrnes	id=g:261934
Goúrnai	id=g:261935
Goúrnai	id=g:261936
Gourlésas Réma	id=g:261937
Gourkolímano	id=g:261938
Gouriótissa	id=g:261939
Gourianá	id=g:261940
Gouriá	id=g:261941
Gourgoutsaíika	id=g:261942
Gourgoúthoi	id=g:261943
Vrachonisída Gourgári	id=g:261944
Réma Gourezás	id=g:261945
Goúrdes	id=g:261946
Vouná Goúras	id=g:261947
Gkoúra	id=g:261948
Goúra	id=g:261949
Goúra	id=g:261950
Goúpata	id=g:261951
Goúnaris	id=g:261952
Gounariánnika	id=g:261953
Ákra Goúnari	id=g:261954
Goumourádha	id=g:261955
Goúmeron	id=g:261956
Goumenitsiánika	id=g:261957
Gouméni Rákhi	id=g:261958
Goumaíoi	id=g:261959
Goumaíika	id=g:261960
Goulinás	id=g:261961
Goulémion	id=g:261962
Gouledhianá	id=g:261963
Goulás Réma	id=g:261964
Goulás	id=g:261965
Goulás	id=g:261966
Goulaíika	id=g:261967
Goúdhouros	id=g:261968
Ákra Goúdhoura	id=g:261969
Goudhiánika	id=g:261970
Goudhí	id=g:261971
Gótsali	id=g:261972
Gortsiés	id=g:261973
Gortsés	id=g:261974
Górtys	id=g:261975
Górmos Potamós	id=g:261976
Goritsoúla	id=g:261977
Ákra Gorítsa	id=g:261978
Limpoúsda	id=g:261979
Gorítsa	id=g:261980
Gorítsa	id=g:261981
Goritsá	id=g:261982
Goríllas	id=g:261983
Gorílla	id=g:261984
Gorianádhes	id=g:261985
Gorgogýrion	id=g:261986
Gorgovítai	id=g:261987
Gorgoúsa	id=g:261988
Gorgopótamos	id=g:261989
Gorgopótamos	id=g:261990
Gorgómylos	id=g:261991
Gorgómylos	id=g:261992
Ákra Gorémi	id=g:261993
Goránoi	id=g:261994
Gonoússa	id=g:261995
Gónnoi	id=g:261996
Goníon	id=g:261997
Goníai	id=g:261998
Goníai	id=g:261999
Órmos Goniá	id=g:262000
Gonía	id=g:262001
Gonía	id=g:262002
Goniá	id=g:262003
Ákra Goní	id=g:262004
Gonéa	id=g:262005
Gomostón	id=g:262006
Gómfoi	id=g:262007
Órmos Gomáti	id=g:262008
Gkolfárion	id=g:262009
Golémi	id=g:262010
Golémion	id=g:262011
Golémi	id=g:262012
Golémi	id=g:262013
Godamán	id=g:262014
Gnafianá	id=g:262015
Kefalochórion	id=g:262016
Glóssa Pogonías	id=g:262017
Ákra Glóssa	id=g:262018
Glóssa	id=g:262019
Glóssa	id=g:262020
Glístra	id=g:262021
Glínos	id=g:262022
Vrachonisída Lignó	id=g:262023
Choutianá	id=g:262024
Glinádhon	id=g:262025
Glimaté Réma	id=g:262026
Glikorrízion	id=g:262027
