Arroyo de El Algarrobo	id=g:3685000
Cuturú	id=g:3685306
Cutupil	id=g:3685307
Río Cutuaquer	id=g:3685308
Río Cutí	id=g:3685309
Cutí	id=g:3685310
Pico Cutanga	id=g:3685311
Loma de Cusumbí	id=g:3685312
Cusumbí	id=g:3685313
Río Cusiyaco	id=g:3685314
Río Cusiyaco	id=g:3685315
Río Cusiyaco	id=g:3685316
Laguna Cusiyaco	id=g:3685317
Cerro Cusiyaco	id=g:3685318
Caño Cúsiva	id=g:3685319
Caño Cusiva	id=g:3685320
Rápido Cusita	id=g:3685321
Quebrada Cusillo	id=g:3685322
Río Cusiana	id=g:3685323
Brazo Cusiana	id=g:3685324
Brazo Cusiana	id=g:3685325
Río Cusay	id=g:3685326
Isla Cusachón	id=g:3685327
Ciénaga de Curvaradocito	id=g:3685328
Caño Curvaradocito	id=g:3685329
Ciénaga de Curvaradó	id=g:3685330
Caño de Curvaradó	id=g:3685331
Río Curuya	id=g:3685332
Raudal Curupira	id=g:3685333
Río Curumbará	id=g:3685334
Curumaní	id=g:3685335
Curumani	id=g:3685336
Caño Corocoro	id=g:3685337
Río Curucata	id=g:3685338
Río Currulao	id=g:3685339
Currulao	id=g:3685340
Lomas de Curruchino	id=g:3685341
Quebrada Currindó	id=g:3685342
Cerro Currera	id=g:3685343
Caño Curitiva	id=g:3685344
Curití	id=g:3685345
Curití	id=g:3685346
Curital	id=g:3685347
Cuririri	id=g:3685348
Curiquigui	id=g:3685349
Río Coropoya	id=g:3685350
Curí Playa	id=g:3685351
Huitora	id=g:3685352
Río Caribaya	id=g:3685353
Sabanas de Curipao	id=g:3685354
Cerro Curina	id=g:3685355
Caño Curimina	id=g:3685356
Caño Curimape	id=g:3685357
Quebrada La Curillo	id=g:3685358
Río Curilla	id=g:3685359
Río Curilla	id=g:3685360
Laguna Curigüa	id=g:3685361
Alto de Curíes	id=g:3685362
Río Curiche	id=g:3685363
Curiche	id=g:3685364
Río Curiba	id=g:3685365
Río Curiba	id=g:3685366
Páramo Curiba	id=g:3685367
Río Curiaco	id=g:3685368
Curiaco	id=g:3685369
Curiaco	id=g:3685370
Caño Curia	id=g:3685371
Río Curí	id=g:3685372
Río Curé	id=g:3685373
Río Curbatá	id=g:3685374
Curazao	id=g:3685375
Curazao	id=g:3685376
Curazao	id=g:3685377
Curazao	id=g:3685378
Curazao	id=g:3685379
Río Curazamba	id=g:3685380
Río Curay	id=g:3685381
Quebrada Curay	id=g:3685382
Córdoba Curay	id=g:3685383
Curampide	id=g:3685384
Río Curama	id=g:3685385
Río Curama	id=g:3685386
San José de Curama	id=g:3685387
Alto del Cural	id=g:3685388
Curadientes	id=g:3685389
Cerro Curacatá	id=g:3685390
Alto Cura	id=g:3685391
Caño Chaquita	id=g:3685392
Río Cuquiari	id=g:3685393
Cuque	id=g:3685394
Cuprecia	id=g:3685395
Río Cupiná	id=g:3685396
Río Cupica	id=g:3685397
Golfo de Cupica	id=g:3685398
Bahía de Cupica	id=g:3685399
Cupica	id=g:3685400
Río Cupí	id=g:3685401
Cupereña	id=g:3685402
Río Cunuvení	id=g:3685403
Caño Cunubén	id=g:3685404
Cunira	id=g:3685405
Caño Cunimía	id=g:3685406
Río Cungupí	id=g:3685407
Cuneque	id=g:3685408
Cune	id=g:3685409
Arroyo Cundoso	id=g:3685410
Cundinamarca	id=g:3685411
Arroyo Cundinamarco	id=g:3685412
Departamento de Cundinamarca	id=g:3685413
Cundinamarca	id=g:3685414
Cundinamarca	id=g:3685415
Cundinamarca	id=g:3685416
Río Cunday	id=g:3685417
Cunday	id=g:3685418
Cunday	id=g:3685419
Cunchila	id=g:3685420
Cunaviche	id=g:3685421
Cunaviche	id=g:3685422
Río Cuñaré	id=g:3685423
Cuñaré	id=g:3685424
Río Cumitá	id=g:3685425
Cerro de la Cumbre	id=g:3685426
Cerros de Cumbitará	id=g:3685427
Cumbitara	id=g:3685428
Páramo de Cumbarco	id=g:3685429
Cumbarco	id=g:3685430
Nevado de Cumbal	id=g:3685431
Cumbal	id=g:3685432
Cumbal	id=g:3685433
Cumay	id=g:3685434
Cumaribo	id=g:3685435
Cumariana	id=g:3685436
Cerro Cumaré	id=g:3685437
Caño Chaquetón	id=g:3685438
Caño Cumare	id=g:3685439
Caño Cumaral	id=g:3685440
Cumaral	id=g:3685441
Cumaral	id=g:3685442
Cumaral	id=g:3685443
Cumaral	id=g:3685444
Cumaral	id=g:3685445
Cumaral	id=g:3685446
Cumana	id=g:3685447
Caño Cumalí	id=g:3685448
Cumaco	id=g:3685449
Caño Cumachao	id=g:3685450
Cumaca	id=g:3685451
Cumá	id=g:3685452
Río Cultún	id=g:3685453
Culpí	id=g:3685454
Culima	id=g:3685455
Punta Culebrón	id=g:3685456
Culebrita	id=g:3685457
Culebrita	id=g:3685458
Pico Culebras	id=g:3685459
Río Culebra	id=g:3685460
Quebrada Culebra	id=g:3685461
Quebrada Culebra	id=g:3685462
Playa Culebra	id=g:3685463
Isla Culebra	id=g:3685464
Ciénaga Culebra	id=g:3685465
Arroyo Culebra	id=g:3685466
Alto Culebra	id=g:3685467
Culebra	id=g:3685468
Culebra	id=g:3685469
Culebra	id=g:3685470
La Culebra	id=g:3685471
Culebra	id=g:3685472
Quebrada Culantro	id=g:3685473
Culantrillo	id=g:3685474
Culantrillo	id=g:3685475
Cerro Culachi	id=g:3685476
Cujacal	id=g:3685477
Río Cuja	id=g:3685478
Cuivas	id=g:3685479
Cuivas	id=g:3685480
Cuiva	id=g:3685481
Cuítiva	id=g:3685482
Cuítiva	id=g:3685483
Cuira	id=g:3685484
Cuira	id=g:3685485
Río Cuindefeo	id=g:3685486
Río Cuindecito	id=g:3685487
Río Cuinde Blanco	id=g:3685488
Río Cuinde	id=g:3685489
Cuilví	id=g:3685490
Río Cuiloto	id=g:3685491
Altos de Cuiloticos	id=g:3685492
Río Cuil	id=g:3685493
Cuil	id=g:3685494
Llanos de Cuibá	id=g:3685495
Río Cuiari	id=g:3685496
Quebrada Cuhimbé	id=g:3685497
Cuhimbé	id=g:3685498
Río Cugucho	id=g:3685499
Cerros Cugucho	id=g:3685500
Bahía Cuevita	id=g:3685501
Cuevita	id=g:3685502
Río Cuevas	id=g:3685503
Quebrada Cuevas	id=g:3685504
Cueva de Morgan	id=g:3685505
Cerro de la Cueva de los Chulos	id=g:3685506
Cueva Chiquita	id=g:3685507
Quebrada la Cueva	id=g:3685508
Caño La Cueva	id=g:3685509
Caño Cueto	id=g:3685510
Quebrada Cuetial	id=g:3685511
Cuetial	id=g:3685512
Quebrada Cuestecita	id=g:3685513
Cuestecitas	id=g:3685514
Cuesta Rica	id=g:3685515
Cuesta Nueva	id=g:3685516
Loma la Cuesta	id=g:3685517
Cerro Cuesbí	id=g:3685518
Ciénaga los Cuervos	id=g:3685519
Punta del Cuerno	id=g:3685520
Cuenca	id=g:3685521
Río Cuembí	id=g:3685522
Río Cuembí	id=g:3685523
Río Cuemaní	id=g:3685524
Río Cuello	id=g:3685525
Isla de Cuello	id=g:3685526
Cuello	id=g:3685527
Río Cucutilla	id=g:3685528
Cucutilla	id=g:3685529
Cucutilla	id=g:3685530
Estación Cúcuta	id=g:3685531
Arroyo Cúcuta	id=g:3685532
Cúcuta	id=g:3685533
Cúcuta	id=g:3685534
Alto Cucurucho	id=g:3685535
Alto Cucurucho	id=g:3685536
Río Cucurrupí	id=g:3685537
Cucurrupí	id=g:3685538
Cucurital	id=g:3685539
Cucunubá	id=g:3685540
Cucunubá	id=g:3685541
Río Cucuanita	id=g:3685542
Rio Cucuana	id=g:3685543
Quebrada Cuchumbi	id=g:3685544
Cucho	id=g:3685545
Cucho	id=g:3685546
Cuchiquira	id=g:3685547
Loma del Cuchillo	id=g:3685548
Loma las Cuchillas	id=g:3685549
Cuchilla del Salado	id=g:3685550
Caño Cuchilla	id=g:3685551
Cuche	id=g:3685552
Loma El Cucharo	id=g:3685553
Quebrada el Cucharo	id=g:3685554
Ciénaga Cucharito	id=g:3685555
Cucharito	id=g:3685556
Cucharito	id=g:3685557
Quebrada Cucharal	id=g:3685558
Ciénaga Cucharal	id=g:3685559
Caño Cucharal	id=g:3685560
Cucharal	id=g:3685561
Cucharal	id=g:3685562
Cucharal	id=g:3685563
Ciénaga de Cuchara	id=g:3685564
Cuchadó	id=g:3685565
Cucarachero	id=g:3685566
Cerro Cucaracha	id=g:3685567
Cucal	id=g:3685568
Cucaita	id=g:3685569
Caño Cubigú	id=g:3685570
Cubará	id=g:3685571
Cubará	id=g:3685572
Cubanito	id=g:3685573
Punta la Cubana	id=g:3685574
Cerros Cubalé	id=g:3685575
Cerro de Cuba	id=g:3685576
Cuba	id=g:3685577
Cuba	id=g:3685578
Cuba	id=g:3685579
Cuba	id=g:3685580
Cuba	id=g:3685581
Isla Cuatrovientos	id=g:3685582
Cuatro Vientos	id=g:3685583
Cuatro Vientos	id=g:3685584
Cuatro Esquinas de Bermeo	id=g:3685585
Cuatro Esquinas	id=g:3685586
Cuatro Esquinas	id=g:3685587
Cuatro Esquinas	id=g:3685588
Cuatro Esquinas	id=g:3685589
Cuatro Esquinas	id=g:3685590
Cuatro Esquinas	id=g:3685591
Cuatro Esquinas	id=g:3685592
Cuatro Caminos	id=g:3685593
Cuatro Caminos	id=g:3685594
Ciénaga Cuatrobocas	id=g:3685595
Ciénaga Cuatro Bocas	id=g:3685596
Arroyo Cuatro Bocas	id=g:3685597
Alto Cuatro Bocas	id=g:3685598
Cuatrobocas	id=g:3685599
Cuatro Bocas	id=g:3685600
Cuatro Bocas	id=g:3685601
Cuatro Bocas	id=g:3685602
Cuatro Bocas	id=g:3685603
Cuatro Bocas	id=g:3685604
Cuatro Bocas	id=g:3685605
Cuatro Bocas	id=g:3685606
Cuatro Bocas	id=g:3685607
Cuatro Bocas	id=g:3685608
Cuatro	id=g:3685609
Quebrada de Cuatis	id=g:3685610
Cuatis	id=g:3685611
Quebrada Cuatala	id=g:3685612
Cuatala	id=g:3685613
Cerro Cuaspud	id=g:3685614
Cuaspud	id=g:3685615
Cuasa	id=g:3685616
Caño Cuarteles	id=g:3685617
Caño Maporal	id=g:3685618
Cañada Cuarteles	id=g:3685619
Cañada Cuarteles	id=g:3685620
Cuarteles	id=g:3685621
Quebrada Cuaré	id=g:3685622
Quebrada Cuaré	id=g:3685623
Cuarchu	id=g:3685624
Río Cuanza	id=g:3685625
Cualcha	id=g:3685626
Cuajarón	id=g:3685627
Cuajadoras	id=g:3685628
Loma Cuadrada	id=g:3685629
Páramo Cruz Verde	id=g:3685630
Cruz Verde	id=g:3685631
Cordillera Cruz de Piedra	id=g:3685632
Cerro Cruz de Mayo	id=g:3685633
Cruz del Molino	id=g:3685634
Cruz del Beque	id=g:3685635
Cruz de Hierro	id=g:3685636
Cruz de Amarillo	id=g:3685637
Páramo de Cruz Colorada	id=g:3685638
Cruz Chiquita	id=g:3685639
Sierra la Cruz	id=g:3685640
Río de la Cruz	id=g:3685641
Quebrada Cruz	id=g:3685642
Alto de la Cruz	id=g:3685643
Alto de la Cruz	id=g:3685644
Alto de la Cruz	id=g:3685645
Alto Cruz	id=g:3685646
Crucetal	id=g:3685647
Cruces de Cáceres	id=g:3685648
Cruces de Anorí	id=g:3685649
Río Cruces	id=g:3685650
Río Cruces	id=g:3685651
Quebrada Cruces	id=g:3685652
Punta Cruces	id=g:3685653
Cuchilla las Cruces	id=g:3685654
Ciénaga Las Cruces	id=g:3685655
Cerro Cruces	id=g:3685656
Alto de las Cruces	id=g:3685657
Alto Cruces	id=g:3685658
Alto Cruces	id=g:3685659
Cruces	id=g:3685660
Cruces	id=g:3685661
Cruces	id=g:3685662
Cruces	id=g:3685663
Cruces	id=g:3685664
Cerro Cruce	id=g:3685665
Cristo Rey	id=g:3685666
Cristo Rey	id=g:3685667
Cristobón	id=g:3685668
Pico Cristóbal Colón	id=g:3685669
Quebrada de Cristo	id=g:3685670
Peña de Cristo	id=g:3685671
Ciénaga del Cristo	id=g:3685672
Arroyo el Cristo	id=g:3685673
Arroyo Cristina	id=g:3685674
Cristianía	id=g:3685675
Quebrada Cristalina	id=g:3685676
Estación Cristalina	id=g:3685677
Cristalina	id=g:3685678
Cristalina	id=g:3685679
Cuchilla los Cristales	id=g:3685680
Cerro Cristales	id=g:3685681
Cerro Cristales	id=g:3685682
Alto de los Cristales	id=g:3685683
Cristales	id=g:3685684
Cristales	id=g:3685685
Cristales	id=g:3685686
Río Cristal	id=g:3685687
Filo El Cristal	id=g:3685688
Cerro Cristal	id=g:3685689
Cerro Cristal	id=g:3685690
Quebrada Criollo	id=g:3685691
Criollo	id=g:3685692
Criollo	id=g:3685693
Crio Indigena	id=g:3685694
Bojabá	id=g:3685695
Crestagallo	id=g:3685696
Cerro Cresta de Gallo	id=g:3685697
Crecientes	id=g:3685698
Río Cravo Sur	id=g:3685699
Cravo Norte South	id=g:3685700
Río Cravo Norte	id=g:3685701
Cravo Norte	id=g:3685702
Cravo Norte	id=g:3685703
Coyuntura	id=g:3685704
Coyongal	id=g:3685705
Quebrada Coyal	id=g:3685706
Coyaima	id=g:3685707
Coyaima	id=g:3685708
Coyaima	id=g:3685709
Coveñitas	id=g:3685710
Coveñas	id=g:3685711
Coveñas	id=g:3685712
Coveñas	id=g:3685713
Pozo Cove	id=g:3685714
Covarachía	id=g:3685715
Covadonga	id=g:3685716
Caño Covado	id=g:3685717
Arroyo Covado	id=g:3685718
Covado	id=g:3685719
Río Cotuhe	id=g:3685720
Quebrada del Cotudo	id=g:3685721
Quebrada Cotudo	id=g:3685722
Punta Cotudo	id=g:3685723
Cotorra	id=g:3685724
Isla Cotoré	id=g:3685725
Ciénaga Cotoré	id=g:3685726
Cotoprix	id=g:3685727
Cotomal	id=g:3685728
Cotoca Arriba	id=g:3685729
Cotoca Abajo	id=g:3685730
Río Coteje	id=g:3685731
Coteje	id=g:3685732
Cota	id=g:3685733
Cota	id=g:3685734
Costillas	id=g:3685735
Costilla	id=g:3685736
Costas	id=g:3685737
Arroyo Costarrica	id=g:3685738
Costarrica	id=g:3685739
Costarrica	id=g:3685740
Costarrica	id=g:3685741
Costarrica	id=g:3685742
Costarrica	id=g:3685743
Costarrica	id=g:3685744
Costa Rica	id=g:3685745
Costa Rica	id=g:3685746
Costa Rica	id=g:3685747
Costa Rica	id=g:3685748
Costa Rica	id=g:3685749
Costarrica	id=g:3685750
Costa Rica	id=g:3685751
Lomas Costa del Mico	id=g:3685752
Isla de Costa Brava	id=g:3685753
Bahía Cosinetas	id=g:3685754
Coscorrón	id=g:3685755
Corontunjo	id=g:3685756
Río Corual	id=g:3685757
Corual	id=g:3685758
Isla del Coroto	id=g:3685759
Cortes	id=g:3685760
Quebrada Cortadura	id=g:3685761
Quebrada Cortadera	id=g:3685762
Páramo de Cortadera	id=g:3685763
Cortadera	id=g:3685764
Quebrada Corrondo	id=g:3685765
Cabo Corrientes	id=g:3685766
Caño Correntoso	id=g:3685767
Arroyo Corrental	id=g:3685768
Corregimiento El Sol	id=g:3685769
Ciénaga Corredor	id=g:3685770
Caño Corredor	id=g:3685771
Río Corredó	id=g:3685772
Caño de Correa	id=g:3685773
Correa	id=g:3685774
Corral Viejo	id=g:3685775
Corralnuevo	id=g:3685776
Corralnuevo	id=g:3685777
Corral Nuevo	id=g:3685778
Corral Nuevo	id=g:3685779
Corralnuevo	id=g:3685780
Corral Nuevo	id=g:3685781
Corral Nuevo	id=g:3685782
Corral Nuevo	id=g:3685783
Corral Manuel Granados	id=g:3685784
Corralitos	id=g:3685785
Punta Corralito	id=g:3685786
Caño Corralito	id=g:3685787
Corralito	id=g:3685788
Corralito	id=g:3685789
Quebrada Corrales	id=g:3685790
Quebrada Corrales	id=g:3685791
Quebrada Corrales	id=g:3685792
Alto Corrales	id=g:3685793
Corrales	id=g:3685794
Corrales	id=g:3685795
Corral El Totumo	id=g:3685796
Corralejo	id=g:3685797
Corralejas	id=g:3685798
Corralejas	id=g:3685799
Corral de Piedra	id=g:3685800
Punta Corralagrande	id=g:3685801
Caño Corral	id=g:3685802
Quebrada Corpas	id=g:3685803
Boca Corpas	id=g:3685804
Cañada los Corozos	id=g:3685805
Caño Corozo Largo	id=g:3685806
Corozo Largo	id=g:3685807
Corozolargo	id=g:3685808
Ciénaga el Corozo	id=g:3685809
Caño Corozo	id=g:3685810
Corozo	id=g:3685811
Corozo	id=g:3685812
Corozalito	id=g:3685813
Corozalito	id=g:3685814
Corozal de Vuelta Mala	id=g:3685815
Quebrada Corozal	id=g:3685816
Caño Corozal	id=g:3685817
Caño Corozal	id=g:3685818
Brazo de Corozal	id=g:3685819
Corozal	id=g:3685820
Corozal	id=g:3685821
Corozal	id=g:3685822
Corozal	id=g:3685823
Corozal	id=g:3685824
Corozal	id=g:3685825
Corozal	id=g:3685826
Corozal	id=g:3685827
Corozal	id=g:3685828
Corozal	id=g:3685829
Corozal	id=g:3685830
Corozal	id=g:3685831
Isla Corota	id=g:3685832
Páramo Coroneles	id=g:3685833
Punta Coroncoro	id=g:3685834
Caño Coroncoro	id=g:3685835
Río Coronado	id=g:3685836
Coronado	id=g:3685837
Corona	id=g:3685838
Río Coromoro	id=g:3685839
Coromoro	id=g:3685840
Coromoro	id=g:3685841
Corome	id=g:3685842
Caño Corocoro	id=g:3685843
Caño Corocoro	id=g:3685844
Hato Corocoro	id=g:3685845
Corocoro	id=g:3685846
Corocito Sarmento	id=g:3685847
Caño Corocito	id=g:3685848
Caño Corocito	id=g:3685849
Corocito	id=g:3685850
Corocito	id=g:3685851
Corocito	id=g:3685852
Corocito	id=g:3685853
Caserío Corocitos	id=g:3685854
Corocito	id=g:3685855
Corocito	id=g:3685856
Corocito	id=g:3685857
Corocito	id=g:3685858
Corocito	id=g:3685859
Corocita	id=g:3685860
Raudal Coro	id=g:3685861
Corneta	id=g:3685862
Cornelio	id=g:3685863
Corneliano	id=g:3685864
Cornejo	id=g:3685865
Cornejo	id=g:3685866
Cordillera del Cornal	id=g:3685867
Corleón	id=g:3685868
Sabanas de Corinto	id=g:3685869
Corinto	id=g:3685870
Corinto	id=g:3685871
Corinto	id=g:3685872
