Cisy	id=g:3101270
Chmielnik	id=g:3101738
Chmielnik	id=g:3101739
Chmielinko	id=g:3101740
Chmieliniec	id=g:3101741
Chmielewo	id=g:3101742
Chmieleń	id=g:3101743
Chmielarze	id=g:3101744
Chludowo	id=g:3101745
Chłopy	id=g:3101746
Chłopowy	id=g:3101747
Chłopowo	id=g:3101748
Chłopowo	id=g:3101749
Chłopowo	id=g:3101750
Chłopki	id=g:3101751
Jezioro Chłop	id=g:3101752
Jezioro Chłop	id=g:3101753
Jezioro Chlop	id=g:3101754
Jezioro Chłop	id=g:3101755
Chlina	id=g:3101756
Chlewska Wola	id=g:3101757
Chlewo	id=g:3101758
Chlewo	id=g:3101759
Chlewnica	id=g:3101760
Chlewiska	id=g:3101761
Chlewiska	id=g:3101762
Chlewice	id=g:3101763
Chlebowo	id=g:3101764
Chlebowo	id=g:3101765
Chlebowo	id=g:3101766
Chlebowo	id=g:3101767
Chlebowo	id=g:3101768
Chlebowo	id=g:3101769
Chlebowo	id=g:3101770
Chlebówko	id=g:3101771
Chlebówka	id=g:3101772
Chlebowice	id=g:3101773
Chlebów	id=g:3101774
Chlebów	id=g:3101775
Chlebów	id=g:3101776
Chlastawa	id=g:3101777
Chłapowo	id=g:3101778
Chłądowo	id=g:3101779
Chichy	id=g:3101780
Chełstowo	id=g:3101781
Chełstow	id=g:3101782
Chełst	id=g:3101783
Chełst	id=g:3101784
Jezioro Chełmżyńskie	id=g:3101785
Chełm Żarski	id=g:3101786
Chełmża	id=g:3101787
Chełm Śląski	id=g:3101788
Chełmsko Śląskie	id=g:3101789
Chełmsko	id=g:3101790
Chełmoniec	id=g:3101791
Chełmonie	id=g:3101792
Góra Chełmo	id=g:3101793
Chełmo	id=g:3101794
Chełmno	id=g:3101795
Chełmno	id=g:3101796
Chełmno	id=g:3101797
Chełm Mały	id=g:3101798
Pojezierze Chełmińskie	id=g:3101799
Chełminko	id=g:3101800
Chełmiec	id=g:3101801
Chełmiec	id=g:3101802
Chełmiczki	id=g:3101803
Chełmice	id=g:3101804
Chełmica Mała	id=g:3101805
Chełmica Duża	id=g:3101806
Jezioro Chełmica	id=g:3101807
Chełmica	id=g:3101808
Chełmica	id=g:3101809
Chełmianki	id=g:3101810
Chełmek	id=g:3101811
Chełmek	id=g:3101812
Chełm Dolny	id=g:3101813
Chełmce	id=g:3101814
Chełmce	id=g:3101815
Gora Chełm	id=g:3101816
Chełm	id=g:3101817
Chełm	id=g:3101818
Chełm	id=g:3101819
Chęciny	id=g:3101820
Chechło	id=g:3101821
Chechło	id=g:3101822
Chechło	id=g:3101823
Chechło	id=g:3101824
Chebzie	id=g:3101825
Chawłodno	id=g:3101826
Chaty Zgońskie	id=g:3101827
Chaławy	id=g:3101828
Chąśno	id=g:3101829
Charzyno	id=g:3101830
Charzykowy	id=g:3101831
Jezioro Charzykowskie	id=g:3101832
Chartowo	id=g:3101833
Chartow	id=g:3101834
Charsznica	id=g:3101835
Charnowo	id=g:3101836
Charłupia Wielka	id=g:3101837
Charłupia Mała	id=g:3101838
Charłub	id=g:3101839
Charchów Pański	id=g:3101840
Charchów Księży	id=g:3101841
Charbrowo	id=g:3101842
Charbowo	id=g:3101843
Charbielin	id=g:3101844
Charbielin	id=g:3101845
Charbice Górne	id=g:3101846
Charbice Dolne	id=g:3101847
Chamsk	id=g:3101848
Chałupy	id=g:3101849
Chalupy	id=g:3101850
Chałupki	id=g:3101851
Chałupki	id=g:3101852
Chałupki	id=g:3101854
Chałupki	id=g:3101855
Chałupki	id=g:3101856
Jezioro Chalińskie	id=g:3101857
Chalinek	id=g:3101858
Chalin	id=g:3101859
Chajew	id=g:3101860
Chachalnia	id=g:3101861
Chabsko	id=g:3101862
Chabowo Swiniary	id=g:3101863
Chabowo	id=g:3101864
Chabówka	id=g:3101865
Chabielice	id=g:3101866
Cezarówka Górna	id=g:3101867
Cewlino	id=g:3101868
Cewice	id=g:3101869
Cewice	id=g:3101870
Cetyń	id=g:3101871
Cetuń	id=g:3101872
Cetty	id=g:3101873
Cetniewo	id=g:3101874
Cetlin	id=g:3101875
Cetki	id=g:3101876
Cesarzowice	id=g:3101877
Cesarski Port	id=g:3101878
Cerkwica	id=g:3101879
Cerekwica	id=g:3101880
Cerekwica	id=g:3101881
Cerekwica	id=g:3101882
Ceradz Kościelny	id=g:3101883
Ceradz Dolny	id=g:3101884
Cepno	id=g:3101885
Centuria	id=g:3101886
Centawa	id=g:3101887
Centary	id=g:3101888
Celów	id=g:3101889
Celiny Przesławskie	id=g:3101890
Celiny	id=g:3101891
Celiny	id=g:3101892
Celiny	id=g:3101893
Celiny	id=g:3101894
Celestyny	id=g:3101895
Celestynów	id=g:3101896
Celestynów	id=g:3101897
Celbowo	id=g:3101898
Ceków	id=g:3101899
Jezioro Cekcyńskie	id=g:3101900
Cekcynek	id=g:3101901
Cekcyn	id=g:3101902
Cekanowo	id=g:3101903
Cekanowo	id=g:3101904
Cekanów	id=g:3101905
Cegły	id=g:3101906
Ceglarze	id=g:3101907
Cegielsko	id=g:3101908
Cegielnik	id=g:3101909
Cegielnia Wielowieś	id=g:3101910
Cegielnia Rudki	id=g:3101911
Cegielnia	id=g:3101912
Cegielnia	id=g:3101913
Cegielnia	id=g:3101914
Cegielnia	id=g:3101915
Cegielnia	id=g:3101916
Cegielnia	id=g:3101917
Cedynia	id=g:3101918
Cedry Wielkie	id=g:3101919
Cedry Małe	id=g:3101920
Cedrowice	id=g:3101921
Cedron	id=g:3101922
Jezioro Cechyńskie Wielkie	id=g:3101923
Cecenowo	id=g:3101924
Cebryszewo	id=g:3101925
Carski Dar	id=g:3101926
Camcarsko	id=g:3101927
Całownia	id=g:3101928
Cadów	id=g:3101929
Bzowo	id=g:3101930
Bzowo	id=g:3101931
Bzówki	id=g:3101932
Bzowiec	id=g:3101933
Bzów	id=g:3101934
Bzie Zameckie	id=g:3101935
Bzie Górne	id=g:3101936
Bzie Dolne	id=g:3101937
Bzie	id=g:3101938
Jezioro Bytyńskie	id=g:3101939
Bytyń	id=g:3101940
Bytowo	id=g:3101941
Bytowa	id=g:3101942
Bytów	id=g:3101943
Bytonia	id=g:3101944
Bytonia	id=g:3101945
Bytoń	id=g:3101946
Bytom Odrzański	id=g:3101947
Bytomka	id=g:3101948
Bytomiec	id=g:3101949
Bytom	id=g:3101950
Bytnica	id=g:3101951
Bytkowice	id=g:3101952
Bytkowice	id=g:3101953
Bytków	id=g:3101954
Byszyno	id=g:3101955
Byszwałd	id=g:3101956
Byszow	id=g:3101957
Byszki	id=g:3101958
Byszewy	id=g:3101959
Byszewo	id=g:3101960
Byszewo	id=g:3101961
Byszewice	id=g:3101962
Byszew	id=g:3101963
Byszew	id=g:3101964
Jezioro Bystrzyno Wielkie	id=g:3101965
Jezioro Bystrzyno Małe	id=g:3101966
Góry Bystrzyckie	id=g:3101967
Bystrzyca Kłodzka	id=g:3101968
Bystrzyca Górna	id=g:3101969
Bystrzyca Dusznicka	id=g:3101970
Bystrzyca Dolna	id=g:3101971
Bystrzyca	id=g:3101972
Bystrzyca	id=g:3101973
Bystrzyca	id=g:3101974
Bystrzyca	id=g:3101975
Bystrzyca	id=g:3101976
Stara Bystrzyca	id=g:3101977
Bystrzek	id=g:3101978
Bystrze	id=g:3101979
Bystrzanowice	id=g:3101980
Bystry	id=g:3101981
Bystronowice	id=g:3101982
Bystre Dolne	id=g:3101983
Bystre	id=g:3101984
Bystre	id=g:3101985
Bystra	id=g:3101987
Bystra	id=g:3101988
Bystra	id=g:3101989
Bystra	id=g:3101990
Bystra	id=g:3101992
Bystra	id=g:3101993
Bystra	id=g:3101994
Bysławek	id=g:3101995
Bysław	id=g:3101996
Bysina	id=g:3101997
Bysewo	id=g:3101998
Bynowo	id=g:3101999
Byłyczek	id=g:3102000
Bylina	id=g:3102001
Bylin	id=g:3102002
Bylice	id=g:3102003
Bylice	id=g:3102004
Bylew	id=g:3102005
Bylew	id=g:3102006
Bykowina	id=g:3102007
Byki	id=g:3102008
Bydlino	id=g:3102009
Bydlin	id=g:3102010
Bydgoszcz Wschodni	id=g:3102011
Bydgoszcz-Brdyujście	id=g:3102012
Nadleśnictwo Bydgoszcz	id=g:3102013
Bydgoszcz	id=g:3102014
Województwo Kujawsko-Pomorskie	id=g:3102015
Kanał Bydgoski	id=g:3102016
Puszcza Bydgoska	id=g:3102017
Byczyna	id=g:3102018
Byczyna	id=g:3102019
Byczyna	id=g:3102020
Byczoń	id=g:3102021
Bycz	id=g:3102022
Bycz	id=g:3102023
Bycina	id=g:3102024
Bychowo	id=g:3102025
Bychorz	id=g:3102026
Bychlew	id=g:3102027
Butowo	id=g:3102028
Butowice	id=g:3102029
Buszyno	id=g:3102030
Buszyce	id=g:3102031
Buszów	id=g:3102032
Buszkowy Górne	id=g:3102033
Buszkowy Dolne	id=g:3102034
Buszkowy	id=g:3102035
Buszkowo	id=g:3102036
Buszkowo	id=g:3102037
Buszkówek	id=g:3102038
Buszewo	id=g:3102039
Buszewo	id=g:3102040
Buszęcin	id=g:3102041
Bustryk	id=g:3102042
Buśnia	id=g:3102043
Buślary	id=g:3102044
Jezioro Busko	id=g:3102045
Burzenin	id=g:3102046
Burzej	id=g:3102047
Bursztynowo	id=g:3102048
Burów	id=g:3102049
Burki	id=g:3102050
Burkatów	id=g:3102051
Burgrabice	id=g:3102052
Jezioro Burgale	id=g:3102053
Burdynówka	id=g:3102054
Burdajny	id=g:3102055
Burbony	id=g:3102056
Buniewice	id=g:3102057
Bulowiec	id=g:3102058
Bułowe	id=g:3102059
Bulin	id=g:3102060
Bułaków	id=g:3102061
Bukwica	id=g:3102062
Bukowy Las	id=g:3102063
Bukowo Morskie	id=g:3102064
Jezioro Bukowo	id=g:3102065
Bukowo	id=g:3102066
Bukowo	id=g:3102067
Bukowo	id=g:3102068
Bukowo	id=g:3102069
Bukowo	id=g:3102070
Bukowo	id=g:3102071
Bukowno Warszawa	id=g:3102072
Bukowno Krótka Wieś	id=g:3102073
Jezioro Bukówno	id=g:3102074
Bukowno	id=g:3102075
Bukowno	id=g:3102076
Bukownica Kolonia Pierwsza	id=g:3102078
Bukownica Kolonia Druga	id=g:3102079
Bukownica Huby Pierwsze	id=g:3102080
Bukownica	id=g:3102081
Bukownica	id=g:3102082
Bukówko	id=g:3102083
Bukówka	id=g:3102084
Bukówka	id=g:3102085
Bukowina	id=g:3102086
Bukowina	id=g:3102087
Bukowina	id=g:3102088
Bukowina	id=g:3102089
Bukowina	id=g:3102090
Bukowina	id=g:3102091
Bukowie Górne	id=g:3102092
Bukowie Dolne	id=g:3102093
Bukowiec Nowy	id=g:3102094
Bukowiec Mały	id=g:3102095
Jezioro Bukowieckie	id=g:3102096
Bukowiec Górny	id=g:3102097
Bukowiec	id=g:3102098
Bukowiec	id=g:3102099
Bukowiec	id=g:3102100
Bukowiec	id=g:3102101
Bukowiec	id=g:3102102
Bukowiec	id=g:3102103
Bukowiec	id=g:3102104
Bukowiec	id=g:3102105
Bukowiec	id=g:3102106
Bukowiec	id=g:3102107
Bukowiec	id=g:3102108
Bukowiec	id=g:3102109
Bukowie	id=g:3102110
Bukowie	id=g:3102111
Bukowiczka	id=g:3102112
Bukowice	id=g:3102113
Bukowice	id=g:3102114
Bukowica	id=g:3102115
Bukowe Góry	id=g:3102116
Jezioro Bukowe	id=g:3102117
Bukowce	id=g:3102118
Bukowce	id=g:3102119
Bukowa Śląska	id=g:3102120
Bukowa Puszcza	id=g:3102121
Bukowa Góra	id=g:3102122
Bukowa	id=g:3102123
Bukowa	id=g:3102124
Bukowa	id=g:3102125
Bukowa	id=g:3102126
Buków	id=g:3102127
Buków	id=g:3102128
Buków	id=g:3102129
Buków	id=g:3102130
Buków	id=g:3102131
Buków	id=g:3102132
Buk Góralski	id=g:3102133
Buka	id=g:3102134
Buk	id=g:3102135
Buk	id=g:3102136
Buk Pomorski	id=g:3102137
Buk	id=g:3102138
Buk	id=g:3102139
Bujny Szlacheckie	id=g:3102140
Bujny Księże	id=g:3102141
Bujny	id=g:3102142
Bujnów	id=g:3102143
Bujniczki	id=g:3102144
Bujnice	id=g:3102145
Bujaków	id=g:3102146
Bujaków	id=g:3102147
Bugaj Radoszewicki	id=g:3102148
Bugaj Dmeniński	id=g:3102149
Bugaj	id=g:3102150
Bugaj	id=g:3102151
Bugaj	id=g:3102152
Bugaj	id=g:3102153
Bugaj	id=g:3102154
Bugaj	id=g:3102155
Stary Bugaj	id=g:3102156
Bugaj	id=g:3102157
Bugaj	id=g:3102158
Bugaj	id=g:3102159
Bugaj	id=g:3102160
Budzynek	id=g:3102161
Budzyń	id=g:3102162
Budzyń	id=g:3102163
Budzyń	id=g:3102164
Budzyń	id=g:3102165
Budzyń	id=g:3102166
Budzowy	id=g:3102167
Budzów-Kolonia	id=g:3102168
Budzów	id=g:3102169
Budzów	id=g:3102170
Budzów	id=g:3102171
Budzów	id=g:3102172
Budzówka	id=g:3102173
Budziszów Wielki	id=g:3102174
Budziszowice	id=g:3102175
Budziszow	id=g:3102176
Jezioro Budziszewskie	id=g:3102177
Budziszewo	id=g:3102178
Budziszewko	id=g:3102179
Budziszewice	id=g:3102180
Budziszewice	id=g:3102181
Budzisz	id=g:3102182
Budzistowo	id=g:3102183
Jezioro Budzisławskie	id=g:3102184
Budzisław Kościelny	id=g:3102185
Budzisław Górny	id=g:3102186
Budzisław	id=g:3102187
Budzisław	id=g:3102188
Budzisław	id=g:3102189
Budzisław	id=g:3102190
Budziska	id=g:3102191
Budziska	id=g:3102192
Budzin	id=g:3102193
Budzin	id=g:3102194
Budziłowo	id=g:3102195
Budziłówko	id=g:3102196
Budzieszewice	id=g:3102197
Budzień	id=g:3102198
Budziczno	id=g:3102199
Budziaki	id=g:3102200
