Nyiti	id=g:2328436
Makeri Barashi	id=g:2328618
Numai	id=g:2328619
Numa Hills	id=g:2328620
Num Agundu	id=g:2328621
Num	id=g:2328622
Nula	id=g:2328623
Nukwendi	id=g:2328624
Nukuya	id=g:2328625
Nukuru	id=g:2328626
Nuku	id=g:2328627
Nukpo	id=g:2328628
Nujap	id=g:2328629
Nugmagi	id=g:2328630
Nufuninan	id=g:2328631
Nufawa	id=g:2328632
Nudugh	id=g:2328633
Nubupe	id=g:2328634
Nubudi	id=g:2328635
Nubin	id=g:2328636
Nuabuli	id=g:2328637
Ntukuk	id=g:2328638
Ntuk Otong	id=g:2328639
Utu	id=g:2328640
Ntrigom	id=g:2328641
Nto Unang	id=g:2328642
Nto Ubiam	id=g:2328643
Nto Otong	id=g:2328644
Nto Obo	id=g:2328645
Nto Obo	id=g:2328646
Nto Obo	id=g:2328647
Nto Obo	id=g:2328648
Nto Nturom	id=g:2328649
Ntong Uno	id=g:2328650
Nto Ndan	id=g:2328651
Nto Ide	id=g:2328652
Nto-Esu	id=g:2328653
Nto Ekpe	id=g:2328654
Nto Edino	id=g:2328655
Ntit Oton	id=g:2328656
Ntirim	id=g:2328657
Ntigha	id=g:2328658
Nti Gha	id=g:2328659
Ntezi-Aba	id=g:2328660
Ntezi	id=g:2328661
Ntete	id=g:2328662
Ntem	id=g:2328663
Nteje	id=g:2328664
Ntede	id=g:2328665
Ntawa	id=g:2328666
Ayimaya	id=g:2328667
Ntara (3)	id=g:2328668
Ntara	id=g:2328670
Ntan-Obu	id=g:2328671
Ntan Mbat	id=g:2328672
Ntan Beach	id=g:2328673
Ntanante	id=g:2328674
Ntalakwu	id=g:2328675
Ntalakwu	id=g:2328676
Ntak Iyang	id=g:2328677
Ntak Ekpenyong	id=g:2328678
Ntak Afa	id=g:2328679
Ntak	id=g:2328680
Nta-Ikut	id=g:2328681
Nta Asim	id=g:2328682
Nsukwa	id=g:2328683
Nsukka	id=g:2328684
Nsukara-Offot	id=g:2328685
Nsugpe	id=g:2328686
Nsudimo	id=g:2328687
Nsude Hill	id=g:2328688
Nsude	id=g:2328689
Nsu	id=g:2328690
Isiokpo	id=g:2328691
Nsob	id=g:2328692
Nsobi Hill	id=g:2328693
Nsit Ikpe	id=g:2328694
River Nsiki	id=g:2328695
Nsidung	id=g:2328696
Nsia Oron	id=g:2328697
Nsiak	id=g:2328698
Nsia	id=g:2328699
Nshupere	id=g:2328700
Nselle	id=g:2328701
Nsasak	id=g:2328702
Nsarum	id=g:2328703
Nsan	id=g:2328704
Nsak	id=g:2328705
Nsadup	id=g:2328706
Nrobo	id=g:2328707
Nrima	id=g:2328708
Nguot-Ikot-Umo	id=g:2328709
Nquot	id=g:2328710
Npude River	id=g:2328711
Noyo	id=g:2328712
Nosworthy Point	id=g:2328713
Nosiru	id=g:2328714
North Tangaza Forest Reserve	id=g:2328716
North Ropp	id=g:2328717
North Point	id=g:2328718
North Point	id=g:2328720
North Point	id=g:2328721
North Ganawuri	id=g:2328722
North	id=g:2328724
Norman Creek	id=g:2328725
Norman Bank	id=g:2328726
Norjajo	id=g:2328727
Norie	id=g:2328728
Nordorough	id=g:2328729
Nor	id=g:2328730
Nor	id=g:2328731
Nor	id=g:2328732
Nonya	id=g:2328733
Nonwa Sogho	id=g:2328734
Nonwa Kenbawa	id=g:2328735
River Nono	id=g:2328736
Nono	id=g:2328737
Nono	id=g:2328738
River Nonne	id=g:2328739
Nongur	id=g:2328740
Nongu	id=g:2328741
Nongoaiye	id=g:2328742
Nongo	id=g:2328743
Nongo	id=g:2328744
Nongo	id=g:2328745
Nonaa	id=g:2328746
Nomyugh	id=g:2328747
Nomyiwa	id=g:2328748
Nomso	id=g:2328749
Nomso	id=g:2328750
Nomor	id=g:2328751
Nomjou	id=g:2328752
Nomhwange	id=g:2328753
Nomhwange	id=g:2328754
Nomeh	id=g:2328755
River Noken	id=g:2328756
Nok	id=g:2328757
Nogu	id=g:2328758
Nogona	id=g:2328759
Nognadwa	id=g:2328760
Noddere Bokki	id=g:2328761
Nnono	id=g:2328762
River Nnom	id=g:2328763
Nnobi	id=g:2328764
Nnewi	id=g:2328765
Nne Oyi	id=g:2328766
Nnenu	id=g:2328767
Eneka	id=g:2328768
Nnarambe	id=g:2328769
Nnamg	id=g:2328770
Nmiata	id=g:2328771
Nmapacha	id=g:2328772
Nmadi	id=g:2328773
Nlul (2)	id=g:2328774
Nlul (1)	id=g:2328775
Nlagu	id=g:2328776
River Nkyan	id=g:2328777
Nkwuot-Ikot Ete	id=g:2328778
Nkwuli	id=g:2328779
Nkwot Ikot Umo	id=g:2328780
Nkwot Ikot Abia	id=g:2328781
Nkwot Ikono	id=g:2328782
Nkworji	id=g:2328783
Nkwo-Nando	id=g:2328784
Nkwok	id=g:2328785
Nkwoida	id=g:2328786
River Nkwo	id=g:2328787
Nkwesi	id=g:2328788
Nwerre-Inyi	id=g:2328789
Nkwerre	id=g:2328790
Nkwelle	id=g:2328791
Ngalakwu	id=g:2328792
Nkwebi	id=g:2328793
Nkwe	id=g:2328794
Nkwagu	id=g:2328795
Nkwa	id=g:2328796
Nkwa	id=g:2328797
Nkura	id=g:2328798
Nkuot Etok	id=g:2328799
Nkunaya	id=g:2328800
Nkumekpo Usaka	id=g:2328801
Nkume	id=g:2328802
Nkum Akpambe	id=g:2328803
Nkum	id=g:2328804
Nkum	id=g:2328805
Nkst	id=g:2328806
Nkrigom	id=g:2328807
Ukputuke	id=g:2328808
Nkpunia	id=g:2328809
Nkpuku	id=g:2328810
Nkpor	id=g:2328811
Nkpologwu	id=g:2328812
Nkpologu	id=g:2328813
Nkpat Enin	id=g:2328814
Nkpan Uruk	id=g:2328815
Nkpani	id=g:2328816
Nkpanghe	id=g:2328817
Nkpakna	id=g:2328818
Nkpa Eto	id=g:2328819
Nkpa	id=g:2328820
Nkot Mbuk	id=g:2328821
Nkoro	id=g:2328822
Nkor	id=g:2328823
Nko Otoro	id=g:2328824
Nkonfap	id=g:2328825
Nko	id=g:2328826
Nko	id=g:2328827
Nkiri Hill	id=g:2328828
Nkim Station	id=g:2328829
Nkimera	id=g:2328830
Nkim	id=g:2328831
Nkim	id=g:2328832
Nkikara	id=g:2328833
Nkek	id=g:2328834
Nkek	id=g:2328835
Nkata	id=g:2328836
Nkarasi (2)	id=g:2328837
Nkarasi (1)	id=g:2328838
Nkara-Obio	id=g:2328839
Nkarahia	id=g:2328840
Nkap	id=g:2328841
Nkankpo	id=g:2328842
Nkana	id=g:2328843
Nkana	id=g:2328844
Nkana	id=g:2328845
Nkamoro	id=g:2328846
Nkalunta	id=g:2328847
Nkalu	id=g:2328848
Nkalike	id=g:2328849
Nkalagu	id=g:2328850
Njuwa	id=g:2328851
Njuda	id=g:2328852
Njua	id=g:2328853
Njometom	id=g:2328854
Njoma Musa	id=g:2328855
Njoma Jato	id=g:2328856
Njoma Dikwa	id=g:2328857
Njoddomo	id=g:2328858
Njoboli	id=g:2328859
Njobbore	id=g:2328860
Njiranga	id=g:2328861
Njine	id=g:2328862
Njimob	id=g:2328863
Njila Hamlets	id=g:2328864
Njikuniwa	id=g:2328865
Njikilamma	id=g:2328866
Njikar	id=g:2328867
Lake Njiddawo	id=g:2328868
Njiddawo	id=g:2328869
Njida Garua	id=g:2328870
Njibia	id=g:2328871
Njibi	id=g:2328872
Njeke	id=g:2328873
Njebi	id=g:2328874
Njawai	id=g:2328875
Njarengol	id=g:2328876
Njanjen	id=g:2328877
Njamjabba	id=g:2328878
Njakina	id=g:2328879
Njahasang	id=g:2328880
Njaba River	id=g:2328881
Niutsa	id=g:2328882
Nitoji	id=g:2328883
Nissin	id=g:2328884
Nise	id=g:2328885
Niro	id=g:2328886
Nirewa	id=g:2328887
Nintabi	id=g:2328888
Ninowa	id=g:2328889
Ninowa	id=g:2328890
Ninowa	id=g:2328891
Ninkoro	id=g:2328892
Ninki Baba	id=g:2328893
Ninki	id=g:2328894
Ninkada	id=g:2328895
Nini	id=g:2328896
Nini	id=g:2328897
Ningu	id=g:2328898
Ningo	id=g:2328899
Ningishi Hill	id=g:2328900
Ningil	id=g:2328901
Ningi	id=g:2328902
Ningi	id=g:2328903
Ningi	id=g:2328904
Ningawa	id=g:2328905
Ninga	id=g:2328906
Nine Mile Corner	id=g:2328907
Nindam Hills	id=g:2328908
Nindam Forest Reserve	id=g:2328909
Nindam Daji	id=g:2328910
Nindam	id=g:2328911
Ninama	id=g:2328912
Nimve	id=g:2328913
Nimo	id=g:2328914
Nimbia Forest Reserve	id=g:2328915
Nimbia	id=g:2328916
Nilo	id=g:2328917
Nikun	id=g:2328918
Nikuchi	id=g:2328919
Nikrowa	id=g:2328920
Nikorogha Creek	id=g:2328921
Nikoragba	id=g:2328922
Nike	id=g:2328923
Nikanikta	id=g:2328924
Niger State	id=g:2328925
Federal Republic of Nigeria	id=g:2328926
Niger Delta	id=g:2328927
Niger	id=g:2328928
Mouths of the Niger	id=g:2328929
River Nienga	id=g:2328930
Kokani	id=g:2328931
Nibo-Nise	id=g:2328932
Nibo	id=g:2328933
Niagba	id=g:2328934
River Ni	id=g:2328935
Ngyolun	id=g:2328936
Ngyoloko	id=g:2328937
Ngyen	id=g:2328938
Ngwo-Uno	id=g:2328939
River Ngwo Gwo	id=g:2328940
Ngwaltibar Hills	id=g:2328941
Ngwalti	id=g:2328942
Ngwalkahamba Hills	id=g:2328943
Ngwalimiri	id=g:2328944
Ngwalangwalam	id=g:2328945
Ngwa Hill	id=g:2328946
Ngwa	id=g:2328947
Ngusu	id=g:2328948
Ngurunbite	id=g:2328949
Ngurum	id=g:2328950
Ngurucinguwa	id=g:2328951
Nguru	id=g:2328952
Nguru	id=g:2328953
Nguru	id=g:2328954
Nguru	id=g:2328955
Ngurtuwa	id=g:2328956
Ngurshe	id=g:2328957
Ngurosoye	id=g:2328958
Ngurore Yebbi	id=g:2328959
Ngurore	id=g:2328960
Ngurore	id=g:2328961
Ngurore	id=g:2328962
Nguroje	id=g:2328963
Ngornu	id=g:2328964
Ngurmi	id=g:2328965
Ngurkyegh	id=g:2328966
Ngurara	id=g:2328967
Nguradina II	id=g:2328968
Nguradina I	id=g:2328969
Ngur	id=g:2328970
River Nguna	id=g:2328971
Ngulya	id=g:2328972
Nguli	id=g:2328973
Ngulefi	id=g:2328974
Ngulde	id=g:2328975
Ngulde	id=g:2328976
Ngukpen	id=g:2328977
Ngugu	id=g:2328978
Nguga	id=g:2328979
Nguengu	id=g:2328980
Ngudda	id=g:2328981
Ngubin	id=g:2328982
Ngubdori	id=g:2328983
Ngubala	id=g:2328984
Nguagwa	id=g:2328985
Ngu	id=g:2328986
Ngu	id=g:2328987
Ngov	id=g:2328988
Ngotso	id=g:2328989
Ngorugh	id=g:2328990
Ngoromari	id=g:2328991
Ngorkori	id=g:2328992
Ngor	id=g:2328993
Ngombo Hill	id=g:2328994
Ngolwanwurta	id=g:2328995
Ngolomba	id=g:2328996
Ngolomba	id=g:2328997
Ngollaide	id=g:2328998
Ngolkonbi	id=g:2328999
Ngolirde	id=g:2329000
Ngojin	id=g:2329001
Ngojin	id=g:2329002
Ngohingulde Forest Reserve	id=g:2329003
Dutse Ngohi	id=g:2329004
Ngohi	id=g:2329005
Ngodo	id=g:2329006
Ngo	id=g:2329007
Ngizam	id=g:2329008
Ngiyee	id=g:2329009
Ngiti	id=g:2329010
Ngirna	id=g:2329011
Ngirmari	id=g:2329012
Ngiri	id=g:2329013
Ngine	id=g:2329014
Mayel Ngilang	id=g:2329015
Ngikar	id=g:2329016
Ngigo	id=g:2329017
Ngigh	id=g:2329018
Ngiegba	id=g:2329019
Nggalbije	id=g:2329020
Nggadadamai Hamlets	id=g:2329021
Ngettanni	id=g:2329022
Ngetera	id=g:2329023
Ngererewa	id=g:2329024
Ngeneugbo	id=g:2329025
Ngelzarma	id=g:2329026
Ngeltowa	id=g:2329027
Ngel Nyaki	id=g:2329028
River N’gell	id=g:2329029
Ngelkafaje	id=g:2329030
River Ngelforo	id=g:2329031
Ngelforo	id=g:2329032
Ngelewa	id=g:2329033
Ngelewa	id=g:2329034
Ngeleun	id=g:2329035
Ngeleged	id=g:2329036
Ngele-Ata	id=g:2329037
Ngegwu	id=g:2329038
Ngederen	id=g:2329039
Ngeare	id=g:2329040
Ngbyanakaa	id=g:2329041
Ngbukon	id=g:2329042
Ngbolung	id=g:2329043
Ngbo Agbaja	id=g:2329044
Ngbo (1)	id=g:2329045
Ngbo (2)	id=g:2329046
Mgbele	id=g:2329047
Ngbegha	id=g:2329048
Ngbegha	id=g:2329049
Ngbebe	id=g:2329050
Ngbande	id=g:2329051
Ngbanaocha	id=g:2329052
Ngbana-Eze	id=g:2329053
Ngbalapin	id=g:2329054
Ngbalang	id=g:2329055
Ngbakowan	id=g:2329056
Ngbabeluzo	id=g:2329057
Ngba	id=g:2329058
Ngassawé	id=g:2329059
Ngaski	id=g:2329060
Ngasam	id=g:2329061
Ngasa	id=g:2329062
Ngaruwa	id=g:2329063
Ngarno	id=g:2329064
Ngarje	id=g:2329065
Ngarije	id=g:2329066
Ngari	id=g:2329067
Ngarbia Kare Kare	id=g:2329068
Ngabia Fulani	id=g:2329069
Ngarbia	id=g:2329070
Ngarbia	id=g:2329071
Ngarannam	id=g:2329072
Ngarabo	id=g:2329073
Ngarabe	id=g:2329074
River Ngara	id=g:2329075
Nganawa	id=g:2329076
Ngawama	id=g:2329077
Ngamma	id=g:2329078
Ngamdu	id=g:2329079
Ngamdu	id=g:2329080
Ngamale	id=g:2329081
Ngalibin	id=g:2329082
Ngalda	id=g:2329083
Ngalbiamari	id=g:2329084
Ngalakwu	id=g:2329085
Ngaladum	id=g:2329086
Ngala	id=g:2329087
Ngaje	id=g:2329088
Ngaiwa	id=g:2329089
Nga Hill	id=g:2329090
River Ngadda	id=g:2329091
Ngadaya	id=g:2329092
Ngadarma Butu	id=g:2329093
Ngadarma Bulayahi	id=g:2329094
River Ngada	id=g:2329095
Ngaburawa	id=g:2329096
Ngabu	id=g:2329097
Ngabu	id=g:2329098
River Ngabo	id=g:2329099
Ngabelani	id=g:2329100
Ngabarawa	id=g:2329101
Ngabal	id=g:2329102
River Nfro	id=g:2329103
Nfom (2)	id=g:2329104
Nfom (1)	id=g:2329105
Nfa	id=g:2329106
Neye	id=g:2329107
New Yunmu	id=g:2329108
New Yanke	id=g:2329109
New Warra	id=g:2329110
New Ujiji	id=g:2329111
New Tungan-Dangaje	id=g:2329112
New Tangwagi	id=g:2329113
New Shagunnu	id=g:2329114
New Saura	id=g:2329115
New Panga	id=g:2329116
New Ngabarawa	id=g:2329117
New Netim	id=g:2329118
New Libata	id=g:2329119
New Kwasam	id=g:2329120
New Kurwasa	id=g:2329121
New Kitimi	id=g:2329122
New Gwam Gwam	id=g:2329123
Newekwete	id=g:2329124
New Dukusaku	id=g:2329125
New Dugga	id=g:2329126
New Dudu	id=g:2329127
New Demsa	id=g:2329128
New Dakolo	id=g:2329129
New Calabar River	id=g:2329130
Ketoru Creek	id=g:2329131
New Bussa	id=g:2329132
New Bishini	id=g:2329133
New Angwanpa	id=g:2329134
Nev	id=g:2329135
Nev	id=g:2329136
River Nerma	id=g:2329137
Ner	id=g:2329138
Nenwe	id=g:2329139
Neni	id=g:2329140
Nengigbene	id=g:2329141
Nengel	id=g:2329142
Nenge	id=g:2329143
Nenge	id=g:2329144
Nenge	id=g:2329145
Nempe	id=g:2329146
Nemnei	id=g:2329147
Nembe Flats	id=g:2329148
Nembe Creek	id=g:2329149
Nembe	id=g:2329150
Nemba	id=g:2329151
Neloka	id=g:2329152
Nelem	id=g:2329153
River Nekia	id=g:2329154
Neke Mecha	id=g:2329155
Nekede	id=g:2329156
Neils Valley	id=g:2329157
Nege	id=g:2329158
Nege	id=g:2329159
Ne Eshe	id=g:2329160
Ndyor	id=g:2329161
Ndutiri	id=g:2329162
Nduruma	id=g:2329163
Ndurori	id=g:2329164
Nduragina	id=g:2329165
Ndur	id=g:2329166
Ndur	id=g:2329167
Ndupa	id=g:2329168
Nduoke	id=g:2329169
River Nduma	id=g:2329170
Ndul	id=g:2329171
Nduku	id=g:2329172
Nduku	id=g:2329173
Ndukpo Ise	id=g:2329174
Nduk (1)	id=g:2329175
Nduk (2)	id=g:2329176
Ndug Waba	id=g:2329177
Nduguno	id=g:2329178
Ndufu	id=g:2329179
Nduetong	id=g:2329180
Nduche	id=g:2329181
Ndubia	id=g:2329182
Ndubia	id=g:2329183
Ndubi	id=g:2329184
Nduar	id=g:2329185
Ndowu	id=g:2329186
Ndotu	id=g:2329187
Ndot-Ikpe	id=g:2329188
Ndot	id=g:2329189
Ndot	id=g:2329190
Ndoronkon	id=g:2329191
Ndoro Market	id=g:2329192
Ndoro	id=g:2329193
Bolou-Ndoro	id=g:2329194
Ndon Utim	id=g:2329195
Ndon Nwong	id=g:2329196
Ndon-Nkim	id=g:2329197
Ndoni Creek	id=g:2329198
Ndoni	id=g:2329199
Ndoni	id=g:2329200
Ndon	id=g:2329201
Ndon Ebom	id=g:2329202
Ndombo Sama	id=g:2329203
Ndombo Kasa	id=g:2329204
Ndom	id=g:2329205
Ndizuogu	id=g:2329206
Ndiya-Nfia	id=g:2329207
Ndiyam Danijum Hill	id=g:2329208
Ndiya Etuk	id=g:2329209
Ndiya	id=g:2329210
Ndi Wulu Nbe	id=g:2329211
Ndivana	id=g:2329212
Ndiuno-Obinofia	id=g:2329213
Ndiugu	id=g:2329214
Ndi-Uduma Ukwu	id=g:2329215
Udi-Uduma	id=g:2329216
Ndi Udara	id=g:2329217
Ndiuche	id=g:2329218
Ndiube	id=g:2329219
Nditia	id=g:2329220
Ndirsha	id=g:2329221
Ndiro	id=g:2329222
Nditi	id=g:2329223
Ndiowu	id=g:2329224
Ndi-Owere Amangwu	id=g:2329225
Ndi-Orieke	id=g:2329226
Ndiopaleze	id=g:2329227
Ndiokwarake	id=g:2329228
Ndiokpoto	id=g:2329229
Ndiokpo	id=g:2329230
Ndiokpalaeke	id=g:2329231
Ndiokorukwu	id=g:2329232
Ndiokoroukwo	id=g:2329233
Ndi-Okorie	id=g:2329234
Ndioko	id=g:2329235
Ndi-Okereke	id=g:2329236
Ndiokala	id=g:2329237
Ndiokabi	id=g:2329238
Ndioji-Ugwo	id=g:2329239
Ndi-Oji	id=g:2329240
Ndi Ogodo	id=g:2329241
Ndiogbokote	id=g:2329242
Ndiogbo	id=g:2329243
Ndi Ogalagu	id=g:2329244
Ndi Offia	id=g:2329245
Ndiochigbo	id=g:2329246
Ndiobasi	id=g:2329247
Ndiobani	id=g:2329248
Ndiya-Nfia	id=g:2329249
Ndinya	id=g:2329250
Ndinwovukarivu	id=g:2329251
Nkwoda	id=g:2329252
Ndinko	id=g:2329253
Ndingan	id=g:2329254
Nding	id=g:2329255
Ndine Soho	id=g:2329256
Ndine	id=g:2329257
Ndimoko	id=g:2329258
Ndimana	id=g:2329259
Ndim	id=g:2329260
Ndilme	id=g:2329261
Ndille Hills	id=g:2329262
Ndilan	id=g:2329263
Ndikur	id=g:2329264
Ndikong Nassarawa	id=g:2329265
Ndikelionwu	id=g:2329266
Ndijiu	id=g:2329267
Ndijere	id=g:2329268
Ndi-Iwo	id=g:2329269
Ndi-Ite	id=g:2329270
Ndi Ikpo	id=g:2329271
Ndi-Ibe	id=g:2329272
Ndi Gboke	id=g:2329273
Ndi Ememe-Abam	id=g:2329274
Ndielu-Ugwueke	id=g:2329275
Ndi-Elu Nkporo	id=g:2329276
Ndi-Ekete	id=g:2329277
Ndi Eguru	id=g:2329278
Ndi Egbe	id=g:2329279
Ndiechi-Igbagu	id=g:2329280
Ndilche Achara	id=g:2329281
Ndi-Ebeleagu	id=g:2329282
Ndiebe Amagbo	id=g:2329283
Ndi-Ebe	id=g:2329284
Ndichuku	id=g:2329285
Ndi Buloffia	id=g:2329286
Ndibiofa	id=g:2329287
Ndibe Beach	id=g:2329288
Ndiawa	id=g:2329289
Ndianiche	id=g:2329290
Ndialagu Akpu	id=g:2329291
Ndiaima Ogu	id=g:2329292
Ndiaguowo	id=g:2329293
Ndiagu-Onicha	id=g:2329294
Ndiagu-Obinofia	id=g:2329295
Ndiagu Amagu	id=g:2329296
Ndiaguagba	id=g:2329297
Ndiagu	id=g:2329298
Ndiagu	id=g:2329299
Ndiagho	id=g:2329300
Ndiagh	id=g:2329301
Ndiaga-Akpugu	id=g:2329302
Ndiachinivu	id=g:2329303
Ndiachi	id=g:2329305
Ndiabo Ohoke	id=g:2329306
Ndiabongiji	id=g:2329307
Ndiabo	id=g:2329308
Ndiogbu	id=g:2329309
Nderi	id=g:2329310
Ndergba	id=g:2329311
Nderbode	id=g:2329312
Ndera	id=g:2329313
Ndeosibo	id=g:2329314
Ndeokpai	id=g:2329315
Nde Okoro	id=g:2329316
Nde Ohinhin	id=g:2329317
Ndeogbu	id=g:2329318
Ndelle	id=g:2329319
Ndela	id=g:2329320
Ndekwe	id=g:2329321
Ndekpo	id=g:2329322
Ndekke	id=g:2329323
Ndeke	id=g:2329324
Ndeji Gosan	id=g:2329325
Ndeji	id=g:2329326
Ndeji	id=g:2329327
Ndegualeke	id=g:2329328
Ndeel	id=g:2329329
Ndebiji	id=g:2329330
Ndebiji	id=g:2329331
Ndeanyebu	id=g:2329332
Ndealiche	id=g:2329333
Nde Akwara	id=g:2329334
Ndeacha	id=g:2329335
Ndeaboh	id=g:2329336
Nde (3)	id=g:2329337
Nde (2)	id=g:2329338
Nde (1)	id=g:2329339
Ndayma	id=g:2329340
Ndayama	id=g:2329341
River Ndawuse	id=g:2329342
Ndawala	id=g:2329343
Ndatsadu	id=g:2329344
Ndatoraki	id=g:2329345
Ndasso	id=g:2329346
Ndashe	id=g:2329347
Ndarshi	id=g:2329348
Ndarabgi	id=g:2329349
Ndar	id=g:2329350
Nda Nsit	id=g:2329351
Ndangelan	id=g:2329352
Ndanda	id=g:2329353
Ndambazau	id=g:2329354
Ndamaza	id=g:2329355
Ndamaraki	id=g:2329356
Nda Maraki	id=g:2329357
Ndamanma	id=g:2329358
Ndaloke	id=g:2329359
Ndaloke	id=g:2329360
Ndalandu	id=g:2329361
Ndalama	id=g:2329362
Ndakwudu	id=g:2329363
Ndakuru	id=g:2329364
Ndakambawa	id=g:2329365
Lake Ndakalowu	id=g:2329366
Ndakagbara	id=g:2329367
Ndagbo Nkporo	id=g:2329368
