Bérétékounda	id=g:2460109
Bélékanbougou	id=g:2460184
Bèlèko	id=g:2460185
Bélé	id=g:2460186
Belbelgoro	id=g:2460187
Bélbél	id=g:2460188
Belbel	id=g:2460189
Bèlbèl	id=g:2460190
Béla Waré	id=g:2460191
Bélassane	id=g:2460192
’Erg Bel Aouar	id=g:2460193
Bélamougou	id=g:2460194
’Aleb Bel ’Aïd	id=g:2460195
Bèlèbougou	id=g:2460196
Bélaba	id=g:2460197
Béla	id=g:2460198
Béla	id=g:2460199
Békori	id=g:2460200
Békola	id=g:2460201
Beket	id=g:2460202
Kreb de Bekati el Bass	id=g:2460203
Béjéla	id=g:2460204
Béidat	id=g:2460205
Nebka el Beïda	id=g:2460206
El Gara el Beïda	id=g:2460207
Béguéné	id=g:2460208
Bégoudjindé	id=g:2460209
Bégaouan	id=g:2460210
Bodéwel	id=g:2460211
Bédékoma	id=g:2460212
Bedar	id=g:2460213
Béchékou	id=g:2460214
Bébé	id=g:2460215
Béba	id=g:2460216
Bé	id=g:2460217
Bazogou	id=g:2460218
Bazayokobougou	id=g:2460219
Bayo	id=g:2460220
Bayélé	id=g:2460221
Bayéko	id=g:2460222
Baye	id=g:2460223
Bayasso	id=g:2460224
Bayala	id=g:2460225
Bayala	id=g:2460226
Bayabougou	id=g:2460227
Baya	id=g:2460228
Batroébougou	id=g:2460229
Batouma	id=g:2460230
Batouma	id=g:2460231
Batoudji	id=g:2460232
Batou	id=g:2460233
Bato	id=g:2460234
Batirilo	id=g:2460235
Batimakana	id=g:2460236
Batilaye	id=g:2460237
Batigama	id=g:2460238
Batienso	id=g:2460239
Bassiembougou	id=g:2460240
Batérandé	id=g:2460241
Batchirikui	id=g:2460242
Batara	id=g:2460243
Batanga	id=g:2460244
Batama	id=g:2460245
Batama	id=g:2460246
Batalé	id=g:2460247
Batal	id=g:2460248
Batal	id=g:2460249
Batakarédji	id=g:2460250
Basso	id=g:2460251
Bassiya	id=g:2460252
Bassirou	id=g:2460253
Bassidibédjin	id=g:2460254
Bassidialandougou	id=g:2460255
Basibougou	id=g:2460256
Bassibougou	id=g:2460257
Bassé	id=g:2460258
Bassatou	id=g:2460259
Basaro Wéré	id=g:2460260
Bassarey	id=g:2460261
Bassara	id=g:2460262
Bassala	id=g:2460263
Basaka	id=g:2460264
Bassabougou	id=g:2460265
Bassabougou	id=g:2460266
Bassabougou	id=g:2460267
Bassa	id=g:2460268
Bassa	id=g:2460269
Bartyakoba	id=g:2460270
Bartaga	id=g:2460271
Barsandaga	id=g:2460272
Barsafè	id=g:2460273
Barsafé	id=g:2460274
Barsafé	id=g:2460275
Barassafé	id=g:2460276
Baroumba	id=g:2460277
Barouéli	id=g:2460278
Dâyet el Bâroûd	id=g:2460279
Barlakourou Tinntila	id=g:2460280
Barkoussou	id=g:2460281
Barkinelbi	id=g:2460282
Barkaïna	id=g:2460283
Barkeyna	id=g:2460284
Barkérou	id=g:2460285
Groun el Barkéné	id=g:2460286
Barké Amadou	id=g:2460287
Barakaïa	id=g:2460288
Barkafou	id=g:2460289
Hassi el Barka	id=g:2460290
Barila	id=g:2460291
Barila	id=g:2460292
Barikoro	id=g:2460293
Baridié	id=g:2460294
Barhia	id=g:2460295
Bargui	id=g:2460296
Bargué	id=g:2460297
Barfa	id=g:2460298
Baré Sémé	id=g:2460299
Barébougou	id=g:2460300
Barébougou	id=g:2460301
Baré	id=g:2460302
Baré	id=g:2460303
Bardagh	id=g:2460304
Barbon	id=g:2460305
Barbi	id=g:2460306
Barayogoulékana	id=g:2460307
Baratou	id=g:2460308
Barassalé	id=g:2460309
Bagaroko	id=g:2460310
Barao	id=g:2460311
Bèrènimba	id=g:2460312
Baranii	id=g:2460313
Baranian	id=g:2460314
Barana	id=g:2460315
Baghanba	id=g:2460316
Baramandougou	id=g:2460317
Baramana	id=g:2460318
Baramabougou	id=g:2460319
Barama	id=g:2460320
Baram	id=g:2460321
Adrar Ti-n-Barakoye	id=g:2460322
Barakotogoré	id=g:2460323
Barakoto	id=g:2460324
Barakorodji	id=g:2460325
Barakolonbougou	id=g:2460326
Barakolé	id=g:2460327
Barakabougou	id=g:2460328
Barakabougou	id=g:2460329
Bara-Issa	id=g:2460330
Baraïné	id=g:2460331
Bafaroto	id=g:2460332
Barafara	id=g:2460333
Barabanda	id=g:2460334
Barabala	id=g:2460335
Bara	id=g:2460336
Bara	id=g:2460337
Baoundo	id=g:2460338
Forêt Classée du Baoulé	id=g:2460339
Baule	id=g:2460340
Baoulé	id=g:2460341
Bawéma	id=g:2460342
Baoua	id=g:2460343
Baon	id=g:2460344
Bao-Flala	id=g:2460345
Bao Bowal	id=g:2460346
Bawo Bowal	id=g:2460347
Banzano	id=g:2460348
Banzana	id=g:2460349
Banzana	id=g:2460350
Banzana	id=g:2460351
Banyéga	id=g:2460352
Bantona	id=g:2460353
Bantoma	id=g:2460354
Bantinngoungou	id=g:2460355
Bantina	id=g:2460356
Bantièsso	id=g:2460357
Bantianko	id=g:2460358
Bantanta	id=g:2460359
Bantankoto	id=g:2460360
Bantanko	id=g:2460361
Bantanko	id=g:2460362
Bantania	id=g:2460363
Bantanho	id=g:2460364
Bantakoto	id=g:2460365
Bantahama	id=g:2460366
Bansa	id=g:2460367
Banounfé	id=g:2460368
Bandougou	id=g:2460369
Banomé	id=g:2460370
Banntako	id=g:2460371
Bannkara	id=g:2460372
Bannbadinnka	id=g:2460373
Banna	id=g:2460374
Ban Markala	id=g:2460375
Banlassi	id=g:2460376
Bankoumana	id=g:2460377
Bankoumana	id=g:2460378
Bankoumana	id=g:2460379
Bankoumana	id=g:2460380
Bankouma	id=g:2460381
Banko-Sokoum	id=g:2460382
Bankoro	id=g:2460383
Bankoré	id=g:2460384
Bankonina	id=g:2460385
Bankonina	id=g:2460386
Bankoni	id=g:2460387
Bankoni	id=g:2460388
Bankoni	id=g:2460389
Bankoni	id=g:2460390
Bankoma	id=g:2460391
Bankoma	id=g:2460392
Bankolé	id=g:2460393
Bankolé	id=g:2460394
Banko Koura	id=g:2460395
Banko	id=g:2460396
Banko	id=g:2460397
Banko	id=g:2460398
Banko	id=g:2460399
Bankassi	id=g:2460400
Bankas	id=g:2460401
Bankani	id=g:2460402
Bankamé	id=g:2460403
Baniré Koré	id=g:2460404
Baniré	id=g:2460405
Baniré	id=g:2460406
Banikani	id=g:2460407
Banikane	id=g:2460408
Banikan	id=g:2460409
Forêt Classée du Banifing-Baoulé	id=g:2460410
Banifing	id=g:2460411
Banifing	id=g:2460412
Banifing	id=g:2460413
Baniankafata	id=g:2460415
Baniamèbougou	id=g:2460416
Baniakafata	id=g:2460417
Bani	id=g:2460418
Bani	id=g:2460419
Bani	id=g:2460420
Bani	id=g:2460421
Banhon	id=g:2460422
Banhagho	id=g:2460423
Banguita	id=g:2460424
Banguirila	id=g:2460425
Bangui Mallam	id=g:2460426
Banguiéré	id=g:2460427
Bangui Akadi	id=g:2460428
Banguel-Toupé	id=g:2460429
Bangouma	id=g:2460430
Bangoro	id=g:2460431
Bangolo	id=g:2460432
Bango	id=g:2460433
Bango	id=g:2460434
Bangaya	id=g:2460435
Bangassi-Nangou	id=g:2460436
Bangassidougou	id=g:2460437
Forêt Classée de Bangassi	id=g:2460438
Bangassi	id=g:2460439
Bangassi	id=g:2460440
Bangassi	id=g:2460441
Bangassi	id=g:2460442
Bangassi	id=g:2460443
Bangassi	id=g:2460444
Bangassi	id=g:2460445
Bangassi	id=g:2460446
Bangassi	id=g:2460447
Bangassi	id=g:2460448
Bangassi	id=g:2460449
Bangasi	id=g:2460450
Bangao	id=g:2460451
Bangao	id=g:2460452
Banganoura	id=g:2460453
Bangana	id=g:2460454
Bangalébougou	id=g:2460455
Bangala	id=g:2460456
Bangaguèn	id=g:2460457
Bangadina	id=g:2460458
Bangadié	id=g:2460459
Bangadarya-Wouloun	id=g:2460460
Bangadarya-Abadyouma	id=g:2460461
Bangabé	id=g:2460462
Bangabé	id=g:2460463
Banga	id=g:2460464
Banga	id=g:2460465
Banfoula	id=g:2460466
Banfara	id=g:2460467
Banfara	id=g:2460468
Banfankoto	id=g:2460469
Banèy	id=g:2460470
Banéguébougou	id=g:2460471
Bandyougoubougou	id=g:2460472
Bandyougoubougou	id=g:2460473
Bandoma	id=g:2460475
Bandiougou-Lambé	id=g:2460476
Bandiougoula	id=g:2460477
Bandiougoula	id=g:2460478
Bandiougoufara	id=g:2460479
Bandiougoubouria	id=g:2460480
Bandiougoubougou	id=g:2460481
Bandionia	id=g:2460482
Bandigoula	id=g:2460483
Bandièndé	id=g:2460484
Badiankabougou	id=g:2460485
Bandiala	id=g:2460486
Bandiakara	id=g:2460487
Falaise de Bandiagara	id=g:2460488
Bandiagara	id=g:2460489
Bandia	id=g:2460490
Bandé	id=g:2460491
Bandé	id=g:2460492
Banda	id=g:2460493
Banbouta	id=g:2460494
Banbougou	id=g:2460495
Banbougou	id=g:2460496
Banbira	id=g:2460497
Banbéra	id=g:2460498
Banbéko	id=g:2460499
Banbé	id=g:2460500
Bambé	id=g:2460501
Bambaran	id=g:2460502
Bambala Guimbala	id=g:2460503
Banbala	id=g:2460504
Bambako	id=g:2460505
Banba Guédé	id=g:2460506
Banbafara	id=g:2460507
Bambadinka	id=g:2460508
Bambadi-Aoura	id=g:2460509
Banazo	id=g:2460511
Banaya	id=g:2460512
Banaya	id=g:2460513
Banay	id=g:2460514
Banaré	id=g:2460515
Bananzolé	id=g:2460516
Banantou	id=g:2460517
Banantou	id=g:2460518
Bananso	id=g:2460519
Banankoura	id=g:2460520
Banankoumou	id=g:2460521
Banankoro	id=g:2460522
Banankoro	id=g:2460523
Banankoro	id=g:2460524
Banangourou	id=g:2460525
Banankoro	id=g:2460526
Banankoro	id=g:2460527
Banankoro	id=g:2460528
Banankoro	id=g:2460529
Banankoro	id=g:2460530
Banankoro	id=g:2460531
Banankoro	id=g:2460532
Banankoro	id=g:2460533
Banankoni	id=g:2460534
Banankoni	id=g:2460535
Bananko	id=g:2460536
Banankoro	id=g:2460537
Banankélé	id=g:2460538
Banankabougou	id=g:2460539
Banankoroni	id=g:2460540
Banankoroni	id=g:2460541
Banantomo	id=g:2460542
Banamblé	id=g:2460543
Banambani	id=g:2460544
Banamba Koulou	id=g:2460545
Banamba	id=g:2460546
Banamba	id=g:2460547
Banakourou	id=g:2460548
Banadjié	id=g:2460549
Banadi	id=g:2460550
Banabougou	id=g:2460551
Bana	id=g:2460552
Bana	id=g:2460553
Bana	id=g:2460554
Bana	id=g:2460555
Bana	id=g:2460556
Bana	id=g:2460557
Bana	id=g:2460558
Bana	id=g:2460559
Bamoûré	id=g:2460560
Bamou	id=g:2460561
Bamodibougou	id=g:2460562
Bami Farami	id=g:2460563
Bamguel	id=g:2460564
Bamguél	id=g:2460565
Bamdéré	id=g:2460566
Bambougou	id=g:2460567
Banbougou	id=g:2460568
Bambou	id=g:2460569
Bambila	id=g:2460570
Bambila	id=g:2460571
Bambila	id=g:2460572
Banbéla	id=g:2460573
Banbara-Sintienkoura	id=g:2460574
Bambara-Maoundé	id=g:2460575
Banbara	id=g:2460576
Bambaou	id=g:2460577
Bambangoumba	id=g:2460578
Bambala	id=g:2460579
Bamba Digua	id=g:2460580
Bambada	id=g:2460581
Bamba	id=g:2460582
Bamba	id=g:2460583
Bamba	id=g:2460584
Bamaro	id=g:2460585
Bamanko	id=g:2460586
Bamangaye	id=g:2460587
Banamantou	id=g:2460588
Bamana	id=g:2460589
Bama Koulou	id=g:2460590
Bamakoni	id=g:2460591
Bamakolon	id=g:2460592
Bamako Koura	id=g:2460593
District de Bamako	id=g:2460594
Bamako	id=g:2460595
Bamako	id=g:2460596
Bamafélé	id=g:2460597
Bamadou	id=g:2460598
Bamadiguin	id=g:2460599
Bamabougou	id=g:2460600
Bamabougou	id=g:2460601
Bama	id=g:2460602
Bama	id=g:2460603
Balténé	id=g:2460604
Balradièndo	id=g:2460605
Balou	id=g:2460606
Ballé	id=g:2460607
Balinndala	id=g:2460608
Balikongo	id=g:2460610
Baliako	id=g:2460611
Bali	id=g:2460612
Bali	id=g:2460613
Balé Zénon	id=g:2460614
Baléani	id=g:2460615
Baléya	id=g:2460616
Baléssadjié	id=g:2460617
Baléna	id=g:2460618
Balèmba	id=g:2460619
Balélé	id=g:2460620
Balel	id=g:2460621
Balé Diassa	id=g:2460622
Balébougou	id=g:2460623
Baléya	id=g:2460624
Balé	id=g:2460625
Balé	id=g:2460626
Balé	id=g:2460628
Balbala	id=g:2460629
Balansan	id=g:2460630
Balanougoukourou	id=g:2460631
Balankomana	id=g:2460632
Balanko	id=g:2460633
Balanko	id=g:2460634
Balamiaoulé	id=g:2460635
Balanfina	id=g:2460636
Balandougou	id=g:2460637
Balandougou	id=g:2460638
Balandougou	id=g:2460639
Balandougou	id=g:2460640
Balandougou	id=g:2460641
Balandougou	id=g:2460642
Balandougou	id=g:2460643
Balandougou	id=g:2460644
Balandougou	id=g:2460645
Balandougou	id=g:2460646
Balandougou	id=g:2460647
Balandougou	id=g:2460648
Balandougou	id=g:2460649
Balandougou	id=g:2460650
Balandougou	id=g:2460651
Balan	id=g:2460652
Balaminako	id=g:2460653
Balandougou	id=g:2460654
Bala-Maoundé	id=g:2460655
Balamansaya	id=g:2460656
Balalani	id=g:2460657
Balalaba	id=g:2460658
Balala	id=g:2460659
Balala	id=g:2460660
Balal	id=g:2460661
Balaka	id=g:2460662
Balaguira	id=g:2460663
Baladougou	id=g:2460664
Baladougou	id=g:2460665
Balabougou	id=g:2460666
Balabougou	id=g:2460667
Balabougou	id=g:2460668
Balabougou	id=g:2460669
Balabougou	id=g:2460670
Balabougou	id=g:2460671
Balabougou	id=g:2460672
Balabougou	id=g:2460673
Balabougou	id=g:2460674
Balabougou	id=g:2460675
Balaban	id=g:2460676
Bala	id=g:2460677
Bala	id=g:2460678
Bala	id=g:2460679
Bala	id=g:2460680
Bakhi	id=g:2460681
Bakoye	id=g:2460682
Bakoye	id=g:2460683
Bakouroufata	id=g:2460684
Bakouroubougou	id=g:2460685
Bakoulé	id=g:2460686
Bakou Kourou	id=g:2460687
Bakoundian	id=g:2460688
Bakou	id=g:2460689
Bakoronidougou	id=g:2460690
Bakorobougou	id=g:2460691
Bakorobabougou	id=g:2460692
Bokolobi	id=g:2460693
Bakorobougou	id=g:2460694
Bako	id=g:2460695
Bako	id=g:2460696
Bako	id=g:2460697
Bakkaï	id=g:2460698
Bakilzene	id=g:2460699
Baki	id=g:2460700
Bakbakana	id=g:2460701
Bakaria	id=g:2460702
Bakal	id=g:2460703
Bakafé	id=g:2460704
Bakadadji	id=g:2460705
Bakada	id=g:2460706
Bâkabougou	id=g:2460707
Bakabaka	id=g:2460708
Bailé Fombo	id=g:2460709
Baï	id=g:2460710
Aleb Bahrnoussen	id=g:2460711
Adrar Bahoubou	id=g:2460712
Bahila	id=g:2460713
Bahé	id=g:2460714
Bayé	id=g:2460715
Bahé	id=g:2460716
Bahada	id=g:2460717
Bahabougou	id=g:2460718
Baguita	id=g:2460719
Baguiria	id=g:2460720
Baguinéda	id=g:2460721
Baguida	id=g:2460722
Baguila	id=g:2460723
Baguibé	id=g:2460724
Baguiba	id=g:2460725
Baguia	id=g:2460726
Baguéya	id=g:2460727
Baguébougou	id=g:2460728
Bagé	id=g:2460729
Baguè	id=g:2460730
Bagouré	id=g:2460731
Bagouré	id=g:2460732
Bagoundié	id=g:2460733
Forêt Classée de Bagouko	id=g:2460734
Bagouko	id=g:2460735
Bagoéni	id=g:2460736
Bagni	id=g:2460738
Bagayobougou	id=g:2460739
Banavana	id=g:2460740
Bagaya	id=g:2460741
Bagari	id=g:2460742
Bagani	id=g:2460743
Bagama	id=g:2460744
Bagama	id=g:2460745
Bagama	id=g:2460746
Bagalanta	id=g:2460747
Bagado	id=g:2460748
Bagadadji	id=g:2460749
Bagadadji	id=g:2460750
Bagadadi	id=g:2460751
Bagabagadala	id=g:2460752
Baga Baga	id=g:2460753
Baga	id=g:2460754
Bafoulabé	id=g:2460755
Grèin Baforiyeu	id=g:2460756
Bafini	id=g:2460757
Bafing Makana	id=g:2460758
Bafing	id=g:2460759
Bafing	id=g:2460760
Banifing	id=g:2460761
Bafé	id=g:2460762
Bafé	id=g:2460763
Bafarara	id=g:2460764
Bafaga	id=g:2460765
Badyangoubougou	id=g:2460766
Badialanko	id=g:2460767
Badoumbéra	id=g:2460768
Badoumbé	id=g:2460769
Badougou Koro	id=g:2460770
Badougou	id=g:2460771
Badougou	id=g:2460772
Badogo	id=g:2460773
Badjila	id=g:2460774
Badji Haoussa	id=g:2460775
Badji Gourma	id=g:2460776
Badiongo	id=g:2460777
Badioké	id=g:2460778
Badioké	id=g:2460779
Badinyé	id=g:2460780
Badinndala	id=g:2460781
Forêt Classée du Badinko	id=g:2460782
Badinko	id=g:2460783
Badinko	id=g:2460784
Badiazita	id=g:2460785
Badiana	id=g:2460786
Badian	id=g:2460787
Hâssi Badi	id=g:2460788
Badi	id=g:2460789
Badéka	id=g:2460790
Badyano	id=g:2460791
Badalabougou	id=g:2460792
Badala	id=g:2460793
Badala	id=g:2460794
Bada	id=g:2460795
Bada	id=g:2460796
Gara Bachet	id=g:2460797
Baboye	id=g:2460798
Babouro	id=g:2460799
Babougou	id=g:2460800
Babougou	id=g:2460801
Babougou	id=g:2460802
Babougou	id=g:2460803
Babougou	id=g:2460804
Babougou	id=g:2460805
Babougou	id=g:2460806
Baboto	id=g:2460807
Babiléna	id=g:2460808
Babila	id=g:2460809
Babi	id=g:2460810
Babaroto	id=g:2460811
Babara	id=g:2460812
Babani	id=g:2460813
Babani	id=g:2460814
Babalabougou	id=g:2460815
Babala	id=g:2460816
Babala	id=g:2460817
Babakabougou	id=g:2460818
Babaga	id=g:2460819
Babadyan	id=g:2460820
Baba-Dama	id=g:2460821
Baba	id=g:2460822
Bakara	id=g:2460823
Babougou	id=g:2460824
Banifin	id=g:2460825
Bâ	id=g:2460826
Oued Azigzan	id=g:2460827
Azigzane	id=g:2460828
Azigui	id=g:2460829
Azerzi	id=g:2460830
I-n-Azerraf	id=g:2460831
Azernaoual	id=g:2460832
Azerem	id=g:2460833
’Erg Azarza	id=g:2460834
’Erg Azarane	id=g:2460835
Azawak	id=g:2460836
Azaouâd	id=g:2460837
Azanga	id=g:2460838
Azagueroum	id=g:2460839
Azabzab	id=g:2460840
Ayoun Goupou	id=g:2460841
Aylélen	id=g:2460842
Ayelane	id=g:2460843
Awoéni	id=g:2460844
’Elb el ’Atech ech Chergui	id=g:2460845
Attara	id=g:2460846
Atouma	id=g:2460847
’Erg Atouila	id=g:2460848
Atokila	id=g:2460850
Atlik	id=g:2460851
Atlek	id=g:2460852
Atkiyrat	id=g:2460853
Atilé Daka	id=g:2460854
Atil Barké	id=g:2460855
Adrar Ahtes	id=g:2460856
Atelaf	id=g:2460857
Atarassa	id=g:2460858
Ataouil	id=g:2460859
Atamakolo	id=g:2460860
Ataleya	id=g:2460861
Atakarmo	id=g:2460862
Ata	id=g:2460863
Assoussa	id=g:2460864
Assonfri	id=g:2460865
Assobol	id=g:2460866
Assèy	id=g:2460867
Asésingi i-n-Tabakat	id=g:2460868
Assesser	id=g:2460869
Asseredred	id=g:2460870
Asserar	id=g:2460871
Assekkarai	id=g:2460872
Asakaré	id=g:2460873
Assékèkène Bega	id=g:2460874
Assekaka	id=g:2460875
Assek	id=g:2460876
Asèylèl i-n-Bao	id=g:2460877
Assegueffi	id=g:2460878
’Erg Assedrem	id=g:2460879
Assayat	id=g:2460880
Assatiémala	id=g:2460881
Assa Rharbo	id=g:2460882
Adrar Assarafal	id=g:2460883
Azanko	id=g:2460884
Asandyi	id=g:2460885
Assamorola	id=g:2460886
Assamed	id=g:2460887
Assamarar	id=g:2460888
Assamangataré	id=g:2460889
Assanmangatéré	id=g:2460890
Assamalmal	id=g:2460891
Assamalmal	id=g:2460892
Assaloua	id=g:2460893
Assaloa	id=g:2460894
Assalala	id=g:2460895
Assakongo	id=g:2460896
Assakene	id=g:2460897
Assakan	id=g:2460898
Daïa d’ Assahou	id=g:2460899
Assaguèryé	id=g:2460900
’Elb Assabaï	id=g:2460901
Adrar Asref	id=g:2460902
Adrar Ti-n-Asmas	id=g:2460903
Asler	id=g:2460904
Asler	id=g:2460905
’Erg Arzour	id=g:2460906
Aryao	id=g:2460907
Artéstémérhst	id=g:2460908
Arteus Asabar	id=g:2460909
Arsi Foulbé	id=g:2460910
Arsi Belladé	id=g:2460911
Arâtene	id=g:2460912
Arouguénagorou	id=g:2460913
Aroudid	id=g:2460914
Arouâkim	id=g:2460915
Arnassey	id=g:2460916
Arlatinndala	id=g:2460917
Arlal in Gouda	id=g:2460918
Arlal	id=g:2460919
Arksimala	id=g:2460920
Arkoud	id=g:2460921
Arkodia	id=g:2460922
Arkil Boundou	id=g:2460923
Arkaou	id=g:2460924
Arimèno	id=g:2460925
Ari Guidé	id=g:2460926
Haïré Arifonda	id=g:2460927
Arifonda	id=g:2460928
Ariey	id=g:2460929
’Ariet Bamoûré	id=g:2460930
Aridiana	id=g:2460931
Arhoueyit	id=g:2460932
Aghor	id=g:2460933
Aghor	id=g:2460934
Arherrher	id=g:2460935
Aghegrher	id=g:2460936
Agherebba	id=g:2460937
Arhebeb	id=g:2460938
Agharghar	id=g:2460939
Agh	id=g:2460940
Arguéto	id=g:2460941
Argan	id=g:2460942
Argaga	id=g:2460943
Arhezzaf	id=g:2460944
Adrar Arejerech	id=g:2460945
Arejerech	id=g:2460946
Oued Msail Areit	id=g:2460947
Areïdeïdé	id=g:2460948
Arch Henda	id=g:2460949
Archâni	id=g:2460950
Arbichi	id=g:2460951
Aratene	id=g:2460952
Arataï	id=g:2460953
Araouane	id=g:2460954
Aranga	id=g:2460955
Aralam Ralam	id=g:2460956
Arala	id=g:2460957
Arakad	id=g:2460958
Araham	id=g:2460959
Arachar ti-n-Aouarouar	id=g:2460960
Aracham	id=g:2460961
Arabou	id=g:2460962
Arabou	id=g:2460963
Arabou	id=g:2460964
Arabébé	id=g:2460965
Arabangui	id=g:2460966
Arabadié	id=g:2460967
Ara-Ara-Harikouna	id=g:2460968
Ara-Ara-Aramgoui	id=g:2460969
Aouzourou	id=g:2460970
’Erîgât Aoussassil	id=g:2460971
Aourou	id=g:2460972
Aouré Amba	id=g:2460973
Awoye	id=g:2460974
Aounkari	id=g:2460975
Aoulenkan	id=g:2460976
Aoul	id=g:2460977
Aoul	id=g:2460978
Aoukenek	id=g:2460979
’Erg Aoukâr	id=g:2460980
Aouikat	id=g:2460982
Aouhou	id=g:2460983
Lac Aougoundou	id=g:2460984
Aouga	id=g:2460985
Aweyna	id=g:2460986
Aoudiaï Yoro Ali	id=g:2460987
Aouchi	id=g:2460988
’Erg Aouarâch	id=g:2460990
Ouéssébougou Aouala	id=g:2460992
Aouaki	id=g:2460993
Ader oua-n-Aouakas	id=g:2460994
Awâdi	id=g:2460995
Aoua	id=g:2460996
Aoré	id=g:2460997
Anté	id=g:2460998
Antam Myo	id=g:2460999
Antam	id=g:2461000
Réserve Temporaire de Faune d’ Ansongo-Ménaka	id=g:2461001
Foret Classée d’ Ansongo	id=g:2461002
Ansongo	id=g:2461003
Ansegdin	id=g:2461004
Ânou Mellene	id=g:2461005
Ânou Mellene	id=g:2461006
Annaka	id=g:2461007
Ankoum Myo	id=g:2461008
Ankoum	id=g:2461009
Ankou-Guindé	id=g:2461010
Ankora	id=g:2461011
Achâ-n-Anir	id=g:2461012
Anguihoro	id=g:2461013
Angira	id=g:2461014
Angambongo	id=g:2461015
Angabéré	id=g:2461016
Angabéré	id=g:2461017
Anga	id=g:2461018
Anfoulgoulaye	id=g:2461019
Anezrouf	id=g:2461020
An Ekneïchad	id=g:2461021
Anefis i-n-Darane	id=g:2461022
Oued Anefis	id=g:2461023
Anefis	id=g:2461024
Oued Anéchag	id=g:2461025
Kreb Anéchag	id=g:2461026
Anechchag	id=g:2461027
Andrarakoyen	id=g:2461028
Andjour	id=g:2461029
Andjébí	id=g:2461030
Andiama	id=g:2461031
Andernamel	id=g:2461032
Andernaman	id=g:2461033
Andéranboukan	id=g:2461034
Hamdallaye	id=g:2461035
Andakaga	id=g:2461036
Andagoye	id=g:2461037
Anassa	id=g:2461038
Anamouniéla	id=g:2461039
Anamégho	id=g:2461040
Anakanda	id=g:2461041
Anakanda	id=g:2461042
Ana Kanda	id=g:2461043
Anakaga	id=g:2461044
Amzérakad	id=g:2461045
Amzelli	id=g:2461046
Amzak	id=g:2461047
Amzag	id=g:2461048
Amsir	id=g:2461049
Adrar ti-n-Amoul	id=g:2461050
Amilalé	id=g:2461051
Amichi	id=g:2461052
Amguillis	id=g:2461053
Amgoundji	id=g:2461054
Amezzour	id=g:2461055
Amezzena	id=g:2461056
Amezzeha	id=g:2461057
Amezzeha	id=g:2461058
Amezzahagas	id=g:2461059
Ametettaï	id=g:2461060
Ames Danin	id=g:2461061
Amerguia	id=g:2461062
Amenad	id=g:2461063
Amèm	id=g:2461064
Amejelel	id=g:2461065
Amechechegh	id=g:2461066
Amdillis	id=g:2461067
Adrar Amchekenchar	id=g:2461068
Amchekenchar	id=g:2461069
Amchekenchar	id=g:2461070
Ambol	id=g:2461071
Ambidédi	id=g:2461072
Ambeïloulat	id=g:2461073
Ambeïloul	id=g:2461074
Ambaka	id=g:2461075
Amba	id=g:2461076
Amba	id=g:2461077
Amba	id=g:2461078
Amazel	id=g:2461079
Amazallag	id=g:2461080
Amayert	id=g:2461081
Amateltel	id=g:2461082
Amata	id=g:2461083
Amastaouas	id=g:2461084
Amassous	id=g:2461085
