Kungauma	id=g:928123
Kanduku	id=g:928945
Kandowe Stream	id=g:928946
Kandowe	id=g:928947
Kandoli Mountains	id=g:928948
Kandoli Hill	id=g:928949
Kandodo School	id=g:928950
Kandodo Chisi	id=g:928951
Kandimana Hill	id=g:928952
Kandeu	id=g:928953
Kandete	id=g:928954
Kande School	id=g:928955
Kandere	id=g:928956
Kande Island	id=g:928957
Kande	id=g:928958
Kande	id=g:928959
Kandaya	id=g:928960
Kandaula Estate	id=g:928961
Kandambwako	id=g:928962
Kandama	id=g:928963
Kandale	id=g:928964
Kanda	id=g:928965
Kancholo Stream	id=g:928966
Kanchito	id=g:928967
Kanchire	id=g:928968
Kanchembele	id=g:928969
Kanchedza Island	id=g:928970
Kancence	id=g:928971
Kancence	id=g:928972
Kancele	id=g:928973
Kancele	id=g:928974
Kanaunami Hill	id=g:928975
Kananje Stream	id=g:928976
Kanampere	id=g:928977
Kaname	id=g:928978
Kanakulera	id=g:928979
Kanaiza	id=g:928980
Kanache	id=g:928981
Kamzunguzeni	id=g:928982
Kamzingen	id=g:928983
Kamzimbi	id=g:928984
Kamzimbi	id=g:928985
Kamzati	id=g:928986
Kamwete Dambo	id=g:928987
Kamwenye	id=g:928988
Kamwendo	id=g:928989
Kamwendo	id=g:928990
Kamwe Hill	id=g:928991
Kamwaza	id=g:928992
Kamwatonga Stream	id=g:928993
Kamwanya	id=g:928994
Kamwankhuku	id=g:928995
Kamwankhuku	id=g:928996
Kamwanjiwa Stream	id=g:928997
Kamwanjiwa	id=g:928998
Kamwambuzi	id=g:928999
Kamwamba	id=g:929000
Kamwalengo	id=g:929001
Kamwalaperere	id=g:929002
Kamwala	id=g:929003
Kamwala	id=g:929004
Kamvula	id=g:929005
Kamvona Guiani	id=g:929006
Kamuwori Hills	id=g:929007
Kamuwanga	id=g:929008
Kamutu	id=g:929009
Kamuona	id=g:929010
Kamuona	id=g:929011
Kamunyenda Stream	id=g:929012
Kamunwe	id=g:929013
Kamunkokwe	id=g:929014
Kamuninga	id=g:929015
Kamungwe	id=g:929016
Kamunda	id=g:929017
Kamuna	id=g:929018
Kamulu	id=g:929019
Kamtuwale	id=g:929020
Kamtumbo	id=g:929021
Kamtoma	id=g:929022
Kamtibule	id=g:929023
Kamthanta	id=g:929024
Kamteteka School	id=g:929025
Kamteteka Phili	id=g:929026
Kamteteka	id=g:929027
Kamtepa	id=g:929028
Kamtenje	id=g:929029
Kamtawa	id=g:929030
Kamsoro Hill	id=g:929031
Kamsonga	id=g:929032
Kamsoma Hill	id=g:929033
Kamsale	id=g:929034
Kampupu	id=g:929035
Kampoti	id=g:929036
Kamponji	id=g:929037
Kampongo	id=g:929038
Kampomo	id=g:929039
Kampini	id=g:929040
Kampingu	id=g:929041
Kam’pingo Sibande	id=g:929042
Kampingo	id=g:929043
Kampinga	id=g:929044
Kampido	id=g:929045
Kamphuru	id=g:929046
Kamphulusa	id=g:929047
Kamphofwa Hill	id=g:929048
Kamphiningo	id=g:929049
Kamphimba	id=g:929050
Kamphido	id=g:929051
Kamphata	id=g:929052
Kamphasi	id=g:929053
Kamphanga Hill	id=g:929054
Kamphandila	id=g:929055
Lake Kamphambe	id=g:929056
Kamphambale	id=g:929057
Kamphambale	id=g:929058
Kampepunza Trading Centre	id=g:929059
Kampenga	id=g:929060
Kampata	id=g:929061
Kampata	id=g:929062
Kampanikiza	id=g:929063
Kampani	id=g:929064
Kampango	id=g:929065
Kampande Hill	id=g:929066
Kampande Hill	id=g:929067
Kampambe Hill	id=g:929068
Kampambe	id=g:929069
Kampalilo	id=g:929070
Kampala Ndhlovu	id=g:929071
Kampakata Hill	id=g:929072
Kamoza	id=g:929073
Kamoto	id=g:929074
Kamori	id=g:929075
Kamonga	id=g:929076
Kamodzi	id=g:929077
Kamnthambala	id=g:929078
Kamndalilo	id=g:929079
Kamlilika	id=g:929080
Kamlendo Trading Centre	id=g:929081
Kamlendo	id=g:929082
Kamlembo	id=g:929083
Kamlaza	id=g:929084
Kamkwinya	id=g:929085
Kamkunguzeni Zgambo	id=g:929086
Kamkondo	id=g:929087
Kamkoko	id=g:929088
Kamkoba	id=g:929089
Kamkande	id=g:929090
Kamkambo	id=g:929091
Kamizu Hill	id=g:929092
Kamitula	id=g:929093
Kamimbi Hill	id=g:929094
Kamimba	id=g:929095
Kamilaza	id=g:929096
Kamilangombi	id=g:929097
Kamgomi	id=g:929098
Kamfutu	id=g:929099
Kamfumu	id=g:929100
Kamfulu	id=g:929101
Kamenya-Gwaza	id=g:929102
Kamehe	id=g:929103
Kame	id=g:929104
Kamdidi	id=g:929105
Kamdale	id=g:929106
Kamcoco	id=g:929107
Kamchocho Banda	id=g:929108
Kamchira	id=g:929109
Kamchere	id=g:929110
Kamcaeni	id=g:929111
Kambwiya	id=g:929112
Kambwiri	id=g:929113
Kambwili	id=g:929114
Kambwili	id=g:929115
Kambuzinyomi Hill	id=g:929116
