Maytabaro	id=g:6812486
Kotorogo	id=g:6819386
Garin Gariram	id=g:6819387
Ajidogori	id=g:6819388
Marouma Giriram	id=g:6819389
Djigendémi	id=g:6819390
Tyololo	id=g:6819391
Faya Gabia	id=g:6819392
Djabalam Gousou	id=g:6819393
Gamdwa	id=g:6819394
Djabalam	id=g:6819395
Bitoa Naram	id=g:6819396
Kamoutata	id=g:6819397
Bitoa	id=g:6819398
Karagou	id=g:6819399
Bougdouma	id=g:6819400
Fanamiram	id=g:6819401
Bandéri	id=g:6819402
Alamaram	id=g:6819403
Gamgawa	id=g:6819404
Kil	id=g:6819405
Forsali	id=g:6819406
Tchagamari	id=g:6819407
Tatoukoutou	id=g:6819408
Mariri	id=g:6819409
Idrisaram	id=g:6819410
Faya	id=g:6819411
Lawan Adjiri	id=g:6819412
Gel Ningé	id=g:6819413
Mayaram	id=g:6819414
Faya	id=g:6819415
Karikasanba	id=g:6819416
Garin Ibvey	id=g:6819417
Lanom	id=g:6819418
Djéréréa	id=g:6819419
Malam Kyaridi	id=g:6819420
Boula Salé	id=g:6819421
Madou Kagouri	id=g:6819422
Likaridi	id=g:6819423
Afounoram	id=g:6819424
Nahi	id=g:6819425
Dounamari	id=g:6819426
Kiriwa	id=g:6819427
Tamsougou Doubou	id=g:6819428
Birandi	id=g:6819429
Kangé Bawo	id=g:6819430
Gréma Bokardi	id=g:6819431
Kasoulwa	id=g:6819432
Gidjiga	id=g:6819433
Kadjikajiri	id=g:6819434
Tomsoudouwa	id=g:6819435
Kogwa	id=g:6819436
Gel Karia	id=g:6819437
Keytawa	id=g:6819438
Kangé Bawo	id=g:6819439
Garin Ibvèy	id=g:6819440
Mélékondoram	id=g:6819441
Wagiri	id=g:6819442
Bariram	id=g:6819443
Gadjiram	id=g:6819444
Kojimiri	id=g:6819445
Matiouram	id=g:6819446
Zangararam	id=g:6819447
Bourèm Géjiram	id=g:6819448
Gel Kaya	id=g:6819449
Dyadyoubo	id=g:6819450
Amsaganari	id=g:6819451
Méskindi	id=g:6819452
Arikoubouram	id=g:6819453
Tangaria	id=g:6819454
Faya	id=g:6819455
Yawali	id=g:6819456
Yanoun Sawarné	id=g:6819457
Bamaram	id=g:6819458
Madougounari	id=g:6819459
Bitoa Aba Dajimi	id=g:6819460
Goutouka	id=g:6819461
Djidjia	id=g:6819462
Gogogalé	id=g:6819463
Gongourasa	id=g:6819464
Ramari	id=g:6819465
Koa	id=g:6819466
Kasoulwa	id=g:6819467
Samsirama	id=g:6819468
Myémya	id=g:6819469
Isoubari	id=g:6819470
Dangwaram	id=g:6819471
Dyabatikya	id=g:6819472
Douptyari	id=g:6819473
Saléri	id=g:6819474
Koublé	id=g:6819475
Daouya	id=g:6819476
Arikoubouram	id=g:6819477
Dirgya	id=g:6819478
Baboula	id=g:6819479
Bougou Malamdi	id=g:6819480
Lawandi	id=g:6819481
Koulo Ngibia	id=g:6819482
Bitoa Abd-el-Kader	id=g:6819483
Kangara	id=g:6819484
Ousmandi	id=g:6819485
Kagèla	id=g:6819486
Wanganga	id=g:6819487
Fourdia	id=g:6819488
May Boukaram	id=g:6819489
Tjoromadi	id=g:6819490
Badéri	id=g:6819491
Dougoura	id=g:6819492
Maroumadi	id=g:6819493
Faya Koura	id=g:6819494
Touboram	id=g:6819495
Aba Tilori	id=g:6819496
Baboulwa	id=g:6819497
Goudyoubélaga	id=g:6819498
Chagadéa	id=g:6819499
Dyagarémaram	id=g:6819500
Kololoa	id=g:6819501
Fourdia	id=g:6819502
Mayléaram	id=g:6819503
Dyalaganari	id=g:6819504
Faya Gana	id=g:6819505
Gadjilabi	id=g:6819506
Boulouswa	id=g:6819507
Kouloram	id=g:6819508
Faya	id=g:6819509
Ganoumiram	id=g:6819510
Faya Soumay	id=g:6819511
Kelkéli	id=g:6819512
Faya	id=g:6819513
Touboram	id=g:6819514
Katyalari	id=g:6819515
May Birin	id=g:6819516
Katafororam	id=g:6819517
Kangarwa Dalkiri	id=g:6819518
Bagaléram	id=g:6819519
Daliram	id=g:6819520
Fiéram	id=g:6819521
Tamsougwa	id=g:6819522
Lawadi	id=g:6819523
Rimandi	id=g:6819524
Langanari	id=g:6819525
Boulangou	id=g:6819526
Kasaoram	id=g:6819527
Fiéram	id=g:6819528
Araka	id=g:6819529
Morgona	id=g:6819530
Dasorom	id=g:6819531
Aligoudoram	id=g:6819532
Baboulwa	id=g:6819533
Anaramatam	id=g:6819534
Talbari	id=g:6819535
Fiéram	id=g:6819536
Mélédi	id=g:6819537
Dira	id=g:6819538
Tomiram	id=g:6819539
Déléram	id=g:6819540
Faya	id=g:6819541
Doumbouram	id=g:6819542
Maloumboukardi	id=g:6819543
Fadjimiram	id=g:6819544
Aligoudoram	id=g:6819545
Kouble	id=g:6819546
Jangari Kaygama	id=g:6819547
Jangamaram	id=g:6819548
Réréwa	id=g:6819549
Arisinédi	id=g:6819550
Kiméram	id=g:6819551
Arangaram	id=g:6819552
Maydingari	id=g:6819553
Doumoa	id=g:6819554
Malam Goulori	id=g:6819555
Sisia	id=g:6819556
Fongorimaram	id=g:6819557
Fougouraram	id=g:6819558
Boulamba	id=g:6819559
Sankorom	id=g:6819560
Féram	id=g:6819561
Bouloswa	id=g:6819562
Isari	id=g:6819563
Karawlawa	id=g:6819564
Diongomari	id=g:6819565
Tjidjari	id=g:6819566
Kagoutjiba	id=g:6819567
Kaéwa	id=g:6819568
Maysakirdi	id=g:6819569
Matoram	id=g:6819570
Faya	id=g:6819571
Bougoulouram	id=g:6819572
Boulangou	id=g:6819573
Bana	id=g:6819574
Toumaram	id=g:6819575
Goariganaram	id=g:6819576
Abaridi	id=g:6819577
Mériram	id=g:6819578
Boula Bérin	id=g:6819579
Gamaram	id=g:6819580
Babamdéliram	id=g:6819581
Alkamaram	id=g:6819582
Dyadjiritjoula	id=g:6819583
Madji Kamara	id=g:6819584
Kournadi	id=g:6819585
Matawaram	id=g:6819586
Nériram	id=g:6819587
Gindya	id=g:6819588
Bousèyram	id=g:6819589
Boula Ali	id=g:6819590
Pagam	id=g:6819591
Daoum	id=g:6819592
Kao Maroundi	id=g:6819593
Dyanémaram	id=g:6819594
Kougoulé	id=g:6819595
Gabalam	id=g:6819596
Kalousaram	id=g:6819597
Gréma Kadéri	id=g:6819598
Foraram	id=g:6819599
Kadéri	id=g:6819600
Koyova	id=g:6819601
Tyébalam	id=g:6819602
Tiabua	id=g:6819603
Gouskou	id=g:6819604
Koa Léalidi	id=g:6819605
Mbotjoulo	id=g:6819606
Birinoum Bourgi	id=g:6819607
Touraram	id=g:6819608
Forêt Classée de Mbo	id=g:6819609
Zoumbouloumaram	id=g:6819610
Gouskou	id=g:6819611
Boulouswa	id=g:6819612
Madjikam	id=g:6819613
Ngourwa	id=g:6819614
Abakouroram	id=g:6819615
Dabou Kalek	id=g:6819616
Barmaouliram	id=g:6819617
Marodi	id=g:6819618
Fadji Ganaram	id=g:6819619
Aribourgoumaram	id=g:6819620
Tiabua	id=g:6819621
Marolam	id=g:6819622
Mbo	id=g:6819623
Koa Dalari	id=g:6819624
Boulabérim	id=g:6819625
Abdouri	id=g:6819626
Abdouri	id=g:6819627
Bonzoro	id=g:6819628
Tjitjilam	id=g:6819629
Gimbari	id=g:6819630
Maloum Goudounari	id=g:6819631
Awalidi	id=g:6819632
Kabasia	id=g:6819633
Maykaori	id=g:6819634
Lawan Mousami	id=g:6819635
Nira	id=g:6819636
Farga	id=g:6819637
Kantadi	id=g:6819638
Doundwa	id=g:6819639
Kéritjirit	id=g:6819640
Forêt Classée de Kélakam	id=g:6819641
Kalakalamaram	id=g:6819642
Tamdwa	id=g:6819643
Kourkoura	id=g:6819644
Kargidi	id=g:6819645
Madji Kamara	id=g:6819646
Dounari	id=g:6819647
Kélakam	id=g:6819648
Charaouda	id=g:6819649
Goumsoumaram	id=g:6819650
Komaganam	id=g:6819651
Zénamiram	id=g:6819652
Faya	id=g:6819653
Lariki	id=g:6819654
Fana Malouram	id=g:6819655
Maroumaram	id=g:6819656
Bolomiram	id=g:6819657
Boukardi	id=g:6819658
Séliram	id=g:6819659
Kouloudjia	id=g:6819660
Babawa	id=g:6819661
Forêt Classée de Tamsougwa	id=g:6819662
Wané	id=g:6819663
Katjalari	id=g:6819664
Abdoukakouri	id=g:6819665
Mandawa	id=g:6819666
Marombali	id=g:6819667
Roboji	id=g:6819668
Ari Kourougouram	id=g:6819669
Madou Kouréram	id=g:6819670
Gadawa	id=g:6819671
Sisi	id=g:6819672
Abounoram	id=g:6819673
Djadjimaram	id=g:6819674
Dounari	id=g:6819675
Goudéram	id=g:6819676
Kougoulé	id=g:6819677
Kolol	id=g:6819678
Kawararam	id=g:6819679
Kiméram Malam	id=g:6819680
Katjalari	id=g:6819681
Baganari	id=g:6819682
Sagadou	id=g:6819683
Maréni	id=g:6819684
Dogoram	id=g:6819685
Kargoutjima	id=g:6819686
Gatroumboulèy	id=g:6819687
Toubouram	id=g:6819688
Tisoa	id=g:6819689
Doubo	id=g:6819690
Baboulwa	id=g:6819691
Forêt Classée de Mounouk	id=g:6819692
Forêt Classée de Lolouné	id=g:6819693
Landori	id=g:6819694
Wando Wadji	id=g:6819695
Dirgya	id=g:6819696
Moudouram	id=g:6819697
Forêt Classée de Kolol	id=g:6819698
Gel Oumalé	id=g:6819699
Damagaram	id=g:6819700
Koséiri	id=g:6819701
Ganoram	id=g:6819702
Kangalékédji	id=g:6819703
Boudouma	id=g:6819704
Niwa	id=g:6819705
Gatkam Boula	id=g:6819706
Gamdou	id=g:6819707
Yébibito	id=g:6819708
Amadou Boultouram	id=g:6819709
Kargoutjima	id=g:6819710
Kangarwa	id=g:6819711
Payé-Payé	id=g:6819712
Walérom	id=g:6819713
Korodawa	id=g:6819714
Toumbalam	id=g:6819715
Kanouram	id=g:6819716
Ari Boundéram	id=g:6819717
Mandawa	id=g:6819718
Ngitchoum	id=g:6819719
Wagadji	id=g:6819720
Garin Toudou	id=g:6819721
Gourwa	id=g:6819722
Boultouram	id=g:6819723
Kadjélé	id=g:6819724
Mousaram	id=g:6819725
Diémoram	id=g:6819726
Maydounari	id=g:6819727
Kadjigawa	id=g:6819728
Mayzariram	id=g:6819729
Boulamabiaram	id=g:6819730
Doumbouram	id=g:6819731
Kalakomougana	id=g:6819732
Boulamabwaram	id=g:6819733
Oumaradi	id=g:6819734
Damagaram	id=g:6819735
Kournawa	id=g:6819736
Madialéri	id=g:6819737
Saléram	id=g:6819738
Ardo	id=g:6819739
Chondoram	id=g:6819740
Forêt Classée de Ari Boundéram	id=g:6819741
Grémadjadjira	id=g:6819742
Gadouram Gana	id=g:6819743
Ngorgana	id=g:6819744
Kadjéléram	id=g:6819745
Tyélèmri	id=g:6819746
Ngoriani	id=g:6819747
Malikamiram	id=g:6819748
Djagabari	id=g:6819749
Gadouram	id=g:6819750
Gel Lamido	id=g:6819751
Gamagamaram	id=g:6819752
Dourougoun	id=g:6819753
Korokanouzwi	id=g:6819754
Idiri	id=g:6819755
Karéram	id=g:6819756
Kadia	id=g:6819757
Adia	id=g:6819758
Gadouram	id=g:6819759
Gel Koréma	id=g:6819760
Yérimaram	id=g:6819761
Mélé Aytamiram	id=g:6819762
Gel Barouma	id=g:6819763
Niwa	id=g:6819764
Boudaram	id=g:6819765
Boukourmaram	id=g:6819766
Ganbatouram	id=g:6819767
Soumbalwa Djadji	id=g:6819768
Ngibia	id=g:6819769
Gouléram	id=g:6819770
Bandyougouram	id=g:6819771
Sisi Koulo	id=g:6819772
Djajirmaram	id=g:6819773
Kémiram	id=g:6819774
Abaram	id=g:6819775
Goundouram	id=g:6819776
Boari	id=g:6819777
Boudwa	id=g:6819778
Gourdya	id=g:6819779
Kakarawa	id=g:6819780
Garadjéram	id=g:6819781
Koloram	id=g:6819782
Karadjiri	id=g:6819783
Girimaram	id=g:6819784
Aysabouni	id=g:6819785
Mayram Miram	id=g:6819786
Wargaza	id=g:6819787
Gadyaji	id=g:6819788
Chanikol	id=g:6819789
Kadaouram	id=g:6819790
Boukardi	id=g:6819791
Bélatilwa	id=g:6819792
Gel Baydo	id=g:6819793
Mouniram	id=g:6819794
Gimbari	id=g:6819795
Kayévoa	id=g:6819796
Maloum Dounari	id=g:6819797
Alamari	id=g:6819798
Dilaram	id=g:6819799
Wargaza	id=g:6819800
Gol Gel Hédji	id=g:6819801
Gel Dadi	id=g:6819802
Kalérom	id=g:6819803
Gagosom	id=g:6819804
Dibinoa	id=g:6819805
Kadjélé	id=g:6819806
Adibéji	id=g:6819807
Kourfiho	id=g:6819808
Gakoté	id=g:6819809
Kolodibia	id=g:6819810
Toumboulam	id=g:6819811
Maskouri	id=g:6819812
Mamaram	id=g:6819813
Chamali	id=g:6819814
Jaji Ganaram	id=g:6819815
Kwi-Kwi Waki Salé	id=g:6819816
Gel Bélbéla	id=g:6819817
Kiméri	id=g:6819818
Koumoursou	id=g:6819819
Baboulwa	id=g:6819820
Karouchoumba	id=g:6819821
Kaéwa Oumar	id=g:6819822
Gazwiré	id=g:6819823
Isari	id=g:6819824
Dagamri	id=g:6819825
Koldadou	id=g:6819826
Kwi-Kwi Waki	id=g:6819827
Gibia	id=g:6819828
Kadiloa	id=g:6819829
Gadjévé	id=g:6819830
Arikidamiram	id=g:6819831
Gel Elchéfou	id=g:6819832
Bodou	id=g:6819833
Golgorka	id=g:6819834
Doumba	id=g:6819835
Golbougou	id=g:6819836
Gargoutchimba	id=g:6819837
Barambito	id=g:6819838
Bogwaji	id=g:6819839
Sargéram	id=g:6819840
Kadjikwini	id=g:6819841
Argadou	id=g:6819842
Gel Eji	id=g:6819843
Tanamiram	id=g:6819844
Gardaeram	id=g:6819845
Galabadji	id=g:6819846
Karagou	id=g:6819847
Gel Bayli	id=g:6819848
Djimagédi	id=g:6819849
Kilbwa	id=g:6819850
Djeldanda	id=g:6819851
Bouroum Bouroum	id=g:6819852
Benga	id=g:6819853
Lélin Gel	id=g:6819854
Nanoram	id=g:6819855
Birinia	id=g:6819856
Giling Giling	id=g:6819857
Karemboa	id=g:6819858
Toraram	id=g:6819859
Karagouléwa	id=g:6819860
Kadial	id=g:6819861
Mandawa	id=g:6819862
Kinériram	id=g:6819863
Kouloum Bardou Gana	id=g:6819864
Abdouram	id=g:6819865
Karagou	id=g:6819866
Diarètkwa	id=g:6819867
Tchidi Ngourbaybé	id=g:6819868
Tiougoul	id=g:6819869
Dagoram	id=g:6819870
Kournawa	id=g:6819871
Bouléché	id=g:6819872
Kasatchia	id=g:6819873
Bouladji	id=g:6819874
Dadimata	id=g:6819875
Dialsaykiré	id=g:6819876
Korofouranom	id=g:6819877
Kolol	id=g:6819878
Kirikeldyou	id=g:6819879
Daba Gana	id=g:6819880
Kwéram	id=g:6819881
Kalowa	id=g:6819882
Diélhamza	id=g:6819883
Médjélou	id=g:6819884
Kinja Indi	id=g:6819885
Gabalé	id=g:6819886
Daba	id=g:6819887
Chilou Gel	id=g:6819888
Djida	id=g:6819889
Karagou Lafia	id=g:6819890
Kasatchia Koura	id=g:6819891
Ngoriani	id=g:6819892
Dialdawadi	id=g:6819893
Taria	id=g:6819894
Manga	id=g:6819895
Kourdoumous	id=g:6819896
Aysaboulom	id=g:6819897
Tjirawa	id=g:6819898
Faya	id=g:6819899
Gel Ourama	id=g:6819900
Karoumiram	id=g:6819901
Délawa	id=g:6819902
Koublé Maloum Boukar	id=g:6819903
Sisi Koulo	id=g:6819904
Galdiam	id=g:6819905
Adamri	id=g:6819906
Chidin Gel	id=g:6819907
Tamsoukwa	id=g:6819908
Matalamiram	id=g:6819909
Garmahalaka	id=g:6819910
Gel Amadou	id=g:6819911
Djataoram	id=g:6819912
Falgwa	id=g:6819913
Bélamajoutari	id=g:6819914
Gel Oumé	id=g:6819915
Galdiam Gana	id=g:6819916
Délawa Malemdi	id=g:6819917
Ngimar	id=g:6819918
Dounadjaliram	id=g:6819919
Karamgawa	id=g:6819920
Chaoundiram	id=g:6819921
Kasatchia	id=g:6819922
Gel Kourma	id=g:6819923
Kajimaram	id=g:6819924
Tamsoukwa	id=g:6819925
Bidokoutouni	id=g:6819926
Soumbalwa Dagara	id=g:6819927
Walouganaram	id=g:6819928
Bitoa Malam	id=g:6819929
Koutékaya	id=g:6819930
Foukwel	id=g:6819931
Gilam Namani	id=g:6819932
Chaou	id=g:6819933
Gel Chaoundi	id=g:6819934
Karemboa	id=g:6819935
Bidal	id=g:6819936
Alatchikani	id=g:6819937
Abay	id=g:6823059
Somesèk	id=g:6823060
Artés Adèged	id=g:6823061
I-n-Taylalén	id=g:6823062
Tabaou	id=g:6823063
Amézédér+Z66	id=g:6823064
Tian Aytan	id=g:6823065
Tamaya	id=g:6823066
Imatéltélén	id=g:6823067
Entékékite	id=g:6823068
Échamgélou	id=g:6823069
Tamérat	id=g:6823070
I-n-Tchérikat	id=g:6823248
Moghamadin	id=g:6823249
Boughlourou	id=g:6823250
Laghalakh	id=g:6823251
Ghamadi	id=g:6823252
Akagh	id=g:6823253
Eghadi	id=g:6823254
I-n-Zarnan	id=g:6823255
Gholou	id=g:6823256
Aghmèd	id=g:6823257
Ghalissou	id=g:6823258
Aloghoussèini	id=g:6823259
Taghomout	id=g:6823260
Akodonay	id=g:6823261
Jodri	id=g:6823262
Kouloua	id=g:6823263
Bilonga	id=g:6823264
Assadèr	id=g:6823265
Mohana	id=g:6823266
Rissé	id=g:6823267
Jiji	id=g:6823268
Tajrart	id=g:6823269
Kassohoussaoua	id=g:6823270
Jahé	id=g:6823271
Bouzou	id=g:6823272
Boki	id=g:6823273
Amatann	id=g:6823274
Lamida	id=g:6823275
Choubba	id=g:6823276
Ambogotan	id=g:6823277
Adam	id=g:6823278
Mazababou	id=g:6823279
Ekènan	id=g:6823280
Donda	id=g:6823281
Tongoutman	id=g:6823282
Toula	id=g:6823283
Tozé	id=g:6823284
Oll	id=g:6823285
Amadou Moussa	id=g:6823286
Amatya	id=g:6823287
Tarsat	id=g:6823288
Azohor	id=g:6823289
Amazagorni	id=g:6823290
Echia	id=g:6823291
Abatoul	id=g:6823292
Sanda	id=g:6823293
Jaho	id=g:6823294
Kolkotaoua	id=g:6823295
Anntamat	id=g:6823296
Malan	id=g:6823297
Touèndiguit	id=g:6823298
Edoubouk	id=g:6823299
Akèrinjèd	id=g:6823300
Toumkou	id=g:6823301
Oumarou	id=g:6823302
Abori	id=g:6823303
Samarila	id=g:6823304
Marouan	id=g:6823305
Toumbélaga	id=g:6823306
Tizoum	id=g:6823307
Kabobi	id=g:6823308
Manèji	id=g:6823309
Balèri	id=g:6823310
Siliman	id=g:6823311
Tchèdoubèguèn	id=g:6823312
Antotèrkit	id=g:6823313
Ténaou	id=g:6823314
Elou	id=g:6823315
Yobi	id=g:6823316
Agtiouban	id=g:6823317
Tèjiguèlt	id=g:6823318
Anou Moulèn	id=g:6823319
Lkaouil	id=g:6823320
Taouo	id=g:6823321
Anntouchoukouk	id=g:6823322
Eknaouan	id=g:6823323
Tioumbogotan	id=g:6823324
Tanout	id=g:6823325
Efayinatès	id=g:6823326
Guèrmaouan	id=g:6823327
Tiantoubarak	id=g:6823328
Obèlichi	id=g:6823329
Tédinga	id=g:6823330
Téguènziguit	id=g:6823331
Guèrmaouan	id=g:6823332
Forêt Classée de Gadabèji	id=g:6823333
Tafassaoua	id=g:6823334
Gaourarou	id=g:6823335
Garo	id=g:6823336
Baba	id=g:6823337
Dera	id=g:6823338
Damama	id=g:6823339
Bakoba	id=g:6823340
Sèyidi	id=g:6823341
Emoulas	id=g:6823342
Dogo	id=g:6823343
Baba	id=g:6823344
Moyamdé	id=g:6823345
Echofèr	id=g:6823346
Sala	id=g:6823347
Batno	id=g:6823348
Gora	id=g:6823349
Hamada	id=g:6823350
Animata	id=g:6823351
Jaho	id=g:6823352
Bamo	id=g:6823353
Okoualèy	id=g:6823354
Inguèlt	id=g:6823355
Donga	id=g:6823356
Tougouraou	id=g:6823357
Assader	id=g:6823358
Rissé	id=g:6823359
Ila Gamo	id=g:6823360
Magaria	id=g:6823361
Aboussa	id=g:6823362
Jémari	id=g:6823363
Bouza	id=g:6823364
Baka	id=g:6823365
Boubakar	id=g:6823366
Kèlchou	id=g:6823367
Ehèti	id=g:6823368
Mamajam	id=g:6823369
Arouna	id=g:6823370
Ekèlaouèy	id=g:6823371
Barajé	id=g:6823372
Daora	id=g:6823373
Gaènaga	id=g:6823374
Samoro	id=g:6823375
Bidaou	id=g:6823376
Toujé	id=g:6823377
Hodi	id=g:6823378
Abdou	id=g:6823379
Sabonkori	id=g:6823380
Jémari	id=g:6823381
Maoudé	id=g:6823382
Korgam	id=g:6823383
Aguèjd	id=g:6823384
Edoualèn	id=g:6823385
Antabandout	id=g:6823386
Gorssé	id=g:6823387
Jola	id=g:6823388
Adjènguèt	id=g:6823389
Makiay	id=g:6823390
Takado	id=g:6823391
Jaoura	id=g:6823392
Mazagori	id=g:6823393
Konchi	id=g:6823394
Tadèni	id=g:6823395
Hodi	id=g:6823396
Adouna	id=g:6823397
Akoutan	id=g:6823398
Gadambo	id=g:6823399
Amazagarnin	id=g:6823400
Mohamèd	id=g:6823401
Nahanssi	id=g:6823402
Sèyidi	id=g:6823403
Eggour	id=g:6823404
Homa	id=g:6823405
Anntazoalen	id=g:6823406
Dangui	id=g:6823407
Sidi	id=g:6823408
Abèz	id=g:6823409
Ousseïni	id=g:6823410
Mangari	id=g:6823411
Alla	id=g:6823412
Ebèlakan	id=g:6823413
Labi	id=g:6823414
Tanko	id=g:6823415
Iabèr	id=g:6823416
Maygoctn	id=g:6823417
Anténitan	id=g:6823418
Arouna	id=g:6823419
Gahido	id=g:6823420
Rafir	id=g:6823421
Tchinaboro	id=g:6823422
Gajiri	id=g:6823423
Rabidin	id=g:6823424
Toukbalana	id=g:6823425
Tagama	id=g:6823426
Tèndé	id=g:6823427
Kinéké	id=g:6823428
Bobo	id=g:6823429
Essèlik	id=g:6823430
Koubora	id=g:6827159
Similtidèy	id=g:6827160
Bangou Sinsan	id=g:6827161
Tondi Banda	id=g:6827162
Kokoro Bangou	id=g:6827163
Kwazéli Koarey	id=g:6827164
Délinya	id=g:6827165
Tamégèy	id=g:6827166
Boé Garba	id=g:6827167
Zanzah	id=g:6827168
Nagiézé	id=g:6827169
Bangou Fatakay	id=g:6827170
Golo	id=g:6827171
Bangou Bi	id=g:6827172
Sâ	id=g:6827173
Lor Bangou	id=g:6827174
Korogo Bangou	id=g:6827175
Goundèy	id=g:6827176
Gom	id=g:6827177
Kargi Bangou	id=g:6827178
Gom	id=g:6827179
Warou Bangou	id=g:6827180
Sini Bangou	id=g:6827181
Kom Bangou	id=g:6827182
Banizoumbou	id=g:6827183
Goubay	id=g:6827184
Diogo Bangou	id=g:6827185
Djino Bangou	id=g:6827186
Goubi	id=g:6827187
Tyéna	id=g:6827188
Warou	id=g:6827189
Garobogol	id=g:6827190
Tyéna	id=g:6827191
Kounam Bangou	id=g:6827192
Kounam Mane Koara	id=g:6827193
Karfale	id=g:6827194
Tangodian	id=g:6827195
Zatara	id=g:6827196
Tchika Koara	id=g:6827197
Séla Bangou	id=g:6827198
Djatiki	id=g:6827199
Gandé Bangou	id=g:6827200
Tondi Banda	id=g:6827201
Bangou Koara	id=g:6827202
Mamalagourou	id=g:6827203
Aso Koara	id=g:6827204
Gado Koara	id=g:6827205
Kâ Bangou	id=g:6827206
Koarèy	id=g:6827207
Koum	id=g:6827208
Korou	id=g:6827209
Kô	id=g:6827210
Boulougaya	id=g:6827211
Bangou Banda	id=g:6827212
Darèy	id=g:6827213
Alogorou	id=g:6827214
Gorié	id=g:6827215
Tondi Banda	id=g:6827216
Hamani Koara	id=g:6827217
Kabanda	id=g:6827218
Gamédi Bangou	id=g:6827219
Gagaro Bangou	id=g:6827220
Niandou Koara	id=g:6827221
