Jnaïdiyé	id=g:6278594
El Himi	id=g:6278707
Mrâh el Baïdar	id=g:6278708
Harf el Mehmaïha	id=g:6278709
Khallet el Ouard	id=g:6278710
Aïn ech Cherb	id=g:6278711
Chqâret Boutros	id=g:6278712
Mrâh es Sindiâné	id=g:6278713
Ech Cheqîf	id=g:6278714
Tellet Aïn Tezaa	id=g:6278715
Baïdar ed Dij	id=g:6278716
El Harîqa	id=g:6278717
El Ouaar	id=g:6278718
Ouâdi Maïdoûn	id=g:6278719
El Maqbané	id=g:6278720
Mrâh et Taalab	id=g:6278721
El Makhnaq	id=g:6278722
Mathanet Bou Jaarach	id=g:6278723
Khallet el Hatab	id=g:6278724
El Baïyâra	id=g:6278725
Ej Jammâzé	id=g:6278726
El Ouatiê	id=g:6278727
Khalâli Sleïmâne	id=g:6278728
Kitf ed Dallîl	id=g:6278729
El Qatâaï	id=g:6278730
Aarîd Aali Ahmad	id=g:6278731
Ej Jaroûdi	id=g:6278732
Râs Hirbaïya	id=g:6278733
Baïtsanîyé	id=g:6278734
Aïn ez Zéqâni	id=g:6278736
Mghâret ed Daaouîss	id=g:6278737
El Aaqabé	id=g:6278738
Maïdâne el Hassa	id=g:6278739
Ghmâssaïya	id=g:6278740
Ouâdi el Qrît	id=g:6278741
Ouâdi ej Jaouz	id=g:6278742
Ouâdi Massâqîaa	id=g:6278743
Ej Jouâr	id=g:6278744
Bîr Jbaïb et Tahtâni	id=g:6278745
Wadi Siaah	id=g:6278746
Râs el Aïn	id=g:6278747
Aïn Sannoûr	id=g:6279234
Ech Chehâl	id=g:6279235
Chouâr Adonîs	id=g:6279236
Chouâr Mechâne	id=g:6279237
Ouâdi Jinni	id=g:6279238
Ech Chouâya	id=g:6279239
El Qrâni	id=g:6279240
Deïr Mâr Jeries ej Jabal	id=g:6279241
Ed Dahr	id=g:6279242
Aïn ech Chîr	id=g:6279243
Ouâdi Sâhoûb el Bahs	id=g:6279244
Khîrâni	id=g:6279245
El Joûra	id=g:6279246
Es Sârât	id=g:6279247
Chahtet Qouâlé	id=g:6279248
Aazrâne	id=g:6279249
Ed Dahr	id=g:6279250
Ouâdi Taroûaa er Râmié	id=g:6279251
El Jaâyel	id=g:6279252
Haï Mâr Nohra	id=g:6279253
El Kouâkh	id=g:6279254
Aïn Abael	id=g:6279255
El Aarîd	id=g:6279256
Aïn Sarbîne	id=g:6279257
El Aardîyé	id=g:6279258
Aïn en Naouâaîss	id=g:6279259
Joûret et Toût	id=g:6279260
Aïn Mâr Charbel	id=g:6279261
Hajar el Aafrît	id=g:6279262
Bîr el Aazr	id=g:6279263
El Borj	id=g:6279264
El Mhaïdlé	id=g:6279265
Hqâlé Kfarhbâb	id=g:6279266
Er Ramlîyé	id=g:6279267
Es Sahl	id=g:6279268
El Aaqbé	id=g:6279269
Nabaa el Khdaïra	id=g:6279270
Ksâr el Qâdi	id=g:6279271
Darjet en Nomr	id=g:6279272
El Fesqîne	id=g:6279273
el Harf	id=g:6279274
Nabaa Jabr	id=g:6279275
Chmîs Zeïtoûn	id=g:6279276
Nahr el Hsaïn	id=g:6279277
Aïn el Ghâboûr	id=g:6279278
Mghâret Biz es Sigâra	id=g:6279279
Namoûret et Tahta	id=g:6279280
El Aaqaïbé	id=g:6279281
El Ksâyer	id=g:6279282
Aïn ej Jorn	id=g:6279283
El Kharroûb	id=g:6279284
El Ouata	id=g:6279285
Er Rsîf	id=g:6279286
Ed Daoura	id=g:6279287
El Ftâh	id=g:6279288
Ed Dallîl	id=g:6279289
Nabaa Farah	id=g:6279290
Ksâr el Fich	id=g:6279291
Lzâq Mâr Yoûssef	id=g:6279292
Archevêché de Baalbek	id=g:6279293
Aïn Joûret Sâlem	id=g:6279294
Deïr Mâr Mtanios	id=g:6279295
El Hrîq	id=g:6279296
El Ftâh	id=g:6279297
Ej Jabal	id=g:6279298
Méchâne	id=g:6279299
El Ksâra	id=g:6279300
Ej Jouâr	id=g:6279301
Namoûret el Faouqa	id=g:6279302
Ed Dahr	id=g:6279303
Nabaa ej Jaouzât	id=g:6279304
Dallîl el Ghâboûr	id=g:6279305
Ouâdi el Hidd	id=g:6279306
El Qabouât	id=g:6279307
Baddoûaa	id=g:6279308
Er Rîhanîyé	id=g:6279309
Chalabi	id=g:6279310
Ouâdi es Sâraoût	id=g:6279311
Ard Aajjoûr	id=g:6279312
El Khirbé	id=g:6279313
Ard Esber	id=g:6279314
Er Raouda	id=g:6279315
Centrale Electrique de Nahr el Bâred	id=g:6279316
El Bellâné	id=g:6279317
El Herz	id=g:6279318
Kfar Beïti	id=g:6279319
Aïn es Safsâfi	id=g:6279320
Aazâq Raîya	id=g:6279321
El Aazâqi	id=g:6279322
Aïn el Kbîré	id=g:6279323
Aïn el Âamrîyé	id=g:6279324
Karm el Akhras	id=g:6279325
Er Rejem	id=g:6279326
Et Taatoûr	id=g:6279327
Deïr Mâr Doûmit	id=g:6279328
Ed Daqar	id=g:6279329
El Mrabaa	id=g:6279330
Ard el Battîkha	id=g:6279331
Ard el Ghoûta	id=g:6279332
Arbaaïn	id=g:6279333
El Aaqbé	id=g:6279334
Beït Barkât	id=g:6279335
El Mlaabé	id=g:6279336
Ard Abou Nakhl	id=g:6279337
Ej Jouar	id=g:6279338
Ard el Baîyâd	id=g:6279339
Ard el Houî	id=g:6279340
Ouâdi Bzemmâra	id=g:6279341
Jabal Nemniaá	id=g:6279342
Deïr Aouzé	id=g:6279343
Ouâdi el Aaqbi	id=g:6279344
Jabal Takrît	id=g:6279345
Sahlet el Midâne	id=g:6279346
Aïn el Maïdâne	id=g:6279347
Ech Cháhdi	id=g:6279348
Aïn ech Chahdé	id=g:6279349
Mâr Jeryes el Qraïyât	id=g:6279350
Darmoûssi	id=g:6279351
El Kaddâni	id=g:6279352
Aïn el Qammoûaa	id=g:6279353
Aïn el Baïda	id=g:6279354
Jabal Masrah ed Diâb	id=g:6279355
Ouâdi ech Chahroûr	id=g:6279356
Aïn el Khraïbé	id=g:6279357
Darbîyé	id=g:6279358
Joûret el Qatlabé	id=g:6279359
Aïn el Qatlabé	id=g:6279360
Aïn ed Dilbi	id=g:6279361
Aïn Ouâdi Handoûch	id=g:6279362
Aïn Stâbé	id=g:6279363
Aïn el Barboûr	id=g:6279364
Aïn Mansoûr	id=g:6279365
Aïn el Khnâdeq	id=g:6279366
Aïn el Khoukh	id=g:6279367
Aïn el Karm	id=g:6279368
Aïn en Naassa	id=g:6279369
Aïn Hamzé	id=g:6279370
Tallet Handouch	id=g:6279371
Tallet el Marj	id=g:6279372
Joûret ej Jaalîye	id=g:6279373
Nabi el Aajam	id=g:6279374
Sahlet et Tall	id=g:6279375
Aïn el Koûaa	id=g:6279376
Aïn el Haour	id=g:6279377
El Banná	id=g:6279378
En Nsoûb	id=g:6279379
Ouâdi Nahr el Barghachi	id=g:6279380
Harf Ksâret Mahmoûd	id=g:6279381
Râs el Kbîr	id=g:6279382
Harf el Aadaissi	id=g:6279383
Sahm ed Dabaa	id=g:6279384
Aïn Maan	id=g:6279385
Jabal Jouret el Qbâbît	id=g:6279386
Ouâdi Aïn ech Chalach	id=g:6279387
Aïn Hmâdé	id=g:6279388
Ouâdi Hmâdé	id=g:6279389
Qornet Aaroûba	id=g:6279390
El Maan	id=g:6279391
Aïn el Ouata	id=g:6279392
Aïn ej Jaouzé	id=g:6279393
Harf Jim el Benn	id=g:6279394
Qalaat es Safâsel	id=g:6279395
Joûret ed Danboûné	id=g:6279396
Chîr el Ghâzrä	id=g:6279397
Jaîroûn	id=g:6279398
Ouâdi ej Jinniyât	id=g:6279399
Ouâdi el Roûn	id=g:6279400
Maaboûr el Aazra	id=g:6279401
Qornet Sîfa	id=g:6279402
Zâroûb el Báhs	id=g:6279403
Dahr Yassa	id=g:6279404
Tallet Beït Dahr Yassa	id=g:6279405
Baouâb el Houé	id=g:6279406
Aïn Ouâdi ej Jinniyât	id=g:6279407
Aïn el Marjé	id=g:6279408
Jabal Aïn ez Zaïka	id=g:6279409
Maql ech Chhîr	id=g:6279410
Haql el Hamra	id=g:6279411
Aïn Châhîne	id=g:6279412
El Harîq	id=g:6279413
Ard Aïn el Khiâr	id=g:6279414
Aïn Mali Qbâli	id=g:6279415
Challâl Ouâdi ej Jinnîyât	id=g:6279416
Ouâdi Aïn Faouar	id=g:6279417
Aartoûssi	id=g:6279418
Ech Chtâh	id=g:6279419
El Bayâda	id=g:6279420
Taouîlet ech Chamsîyât	id=g:6279421
Es Srâjîyé	id=g:6279422
El Koûrânîyé	id=g:6279423
Abou Adar	id=g:6279424
Es Sâroût	id=g:6279425
Er Rmoûl	id=g:6279426
El Aallaïqa	id=g:6279427
El Baal	id=g:6279428
Qalaat el Qlaïaât	id=g:6279429
El Aabdiyât	id=g:6279430
Jouâr el Aâmoûd	id=g:6279431
Ed Damné	id=g:6279432
Ard el Mchâyekh	id=g:6279433
Ard es Saïyed Restom	id=g:6279434
Damloûk	id=g:6279435
Tellet Qattoûr	id=g:6279436
Er Rahbâné	id=g:6279437
Hajar et Tahn	id=g:6279438
Qabr el Qatîl	id=g:6279439
Aïn es Safsâf	id=g:6279440
Ed Dahra	id=g:6279441
Aïn ej Jorn	id=g:6279442
Es Semmaïkât	id=g:6279443
El Horche	id=g:6279444
El Halbiyât	id=g:6279445
Ej Jemmaïzât	id=g:6279446
Dhoûr Beït Aamar	id=g:6279447
El Baal	id=g:6279448
El Aaouîq	id=g:6279449
Es Semmaqli	id=g:6279450
El Mqaïtéaa	id=g:6279451
Es Sâdrîyé	id=g:6279452
Mârlayet Melhem	id=g:6279453
Ech Cheïkh Badr	id=g:6279454
El Bahssa	id=g:6279455
Ouâdi Slâm	id=g:6279456
Mafraq Abou Chahoûd	id=g:6279457
Sahl el Ouilî	id=g:6279458
Mathanet Abou Nasr	id=g:6279459
Deïr Mâr Tamoûrâ	id=g:6279460
Aïn el Maqsboûni	id=g:6279461
Archevêché d’ Akkâr	id=g:6279462
Tell Zakkâ	id=g:6279463
Ard Aaouâd	id=g:6279464
Aïn el Faouâr	id=g:6279465
Ard el Mbaïda	id=g:6279466
Aïn es Slaïâa	id=g:6279467
En Naâssa	id=g:6279468
Jâr el Mtârbé	id=g:6279469
El Hqâlé	id=g:6279470
El Hbaïchîyé	id=g:6279471
Ed Dhoûr	id=g:6279472
Aïn el Faouâr	id=g:6279473
Aïn Chqîf	id=g:6279474
Aïn ech Chahmé	id=g:6279475
Aïn et Taïyoûné	id=g:6279476
El Meghrâ	id=g:6279477
Marj Minnes	id=g:6279478
Aïn el Mâlha	id=g:6279479
Mathanet ech Chrâtît	id=g:6279480
Mathanet ej Jdîdé	id=g:6279481
Ej Joûra	id=g:6279482
Oumm el Qtât	id=g:6279483
Hokr Etti	id=g:6279484
Tallet el Kharnoubé	id=g:6279485
Ard et Tlaa	id=g:6279486
Tallet Shkara	id=g:6279487
El Aaqabé	id=g:6279488
Aarid el Aawaïnat	id=g:6279489
Wadi Hmaïs	id=g:6279490
Aïn es Sfiné	id=g:6279491
Tallet Nakhl	id=g:6279492
El Mrabaat	id=g:6279493
Dahr el Kharabé	id=g:6279494
Jouar el Khouri	id=g:6279495
El Qobbé	id=g:6279496
Aïn ed Douair	id=g:6279497
El Aarid	id=g:6279498
Rbabis	id=g:6279499
Ard el Mghara	id=g:6279500
Ej Jaddouaa	id=g:6279501
Ed Daghlé	id=g:6279502
Aïn ed Dilbé	id=g:6279503
Aïn el Bsatine	id=g:6279504
El Hadbiyé	id=g:6279505
Wadi es Sarout	id=g:6279506
Aïn el Homsiyé	id=g:6279507
El Bouwab	id=g:6279508
El Qass	id=g:6279509
Aïn el Qaq	id=g:6279510
Aïn Wajih	id=g:6279511
Aazaah esh Shemmayé	id=g:6279512
Esh Shafqa	id=g:6279513
El Baaliyé	id=g:6279514
Tallet Ghoro	id=g:6279515
Nahr el Maïyet	id=g:6279516
Aïn et Tannour	id=g:6279517
Aïn el Faouwar	id=g:6279518
Aïn Qboula	id=g:6279519
Aïn el Ghaïda	id=g:6279520
Nahr el Mashnouq	id=g:6279521
Aïn en Namsiyé	id=g:6279522
Aïn el Meziab	id=g:6279523
Aïn Abd el Hamid Mrad	id=g:6279524
Wadi en Nemsiyé	id=g:6279525
Dahr er Riz	id=g:6279526
El Aarmouta	id=g:6279527
Dahr el Mrah	id=g:6279528
Ez Ziré	id=g:6279529
Aïn Beït Mellat	id=g:6279530
El Maqsabé	id=g:6279531
El Melkiyé	id=g:6279532
Aïn el Laïssiné	id=g:6279533
Dahr el Laïssiné	id=g:6279534
Nabaa el Hilzaoun	id=g:6279535
Es Sahlat	id=g:6279536
Wadi Sbagha	id=g:6279537
El Ksar	id=g:6279538
Sbagha	id=g:6279539
El Aazzaqi	id=g:6279540
Aïn et Tiné	id=g:6279541
En Nkhiz	id=g:6279542
Aïn et Tiné	id=g:6279543
Ard el Khaniqa	id=g:6279544
Aïn er Rihané	id=g:6279545
Et Talqa	id=g:6279546
El Ghabé	id=g:6279547
Aïn ez Zaouqa	id=g:6279548
Aïn Qorqoaa	id=g:6279549
Aïn ed Dilbé	id=g:6279550
Tallet es Saouda	id=g:6279551
Mar Youhanna	id=g:6279552
Aïn el Aarous	id=g:6279553
Er Ramliyé	id=g:6279554
El Aallaïqa	id=g:6279555
El Bouaïb	id=g:6279556
Ksaret Aabbas	id=g:6279557
Jabal el Kaf	id=g:6279558
Aïn el Kaf	id=g:6279559
Saqiet en Nabaa	id=g:6279560
El Wata	id=g:6279561
Tallet el Bayada	id=g:6279562
El Qornet	id=g:6279563
Wadi esh Shqaïlat	id=g:6279564
Aïn es Sirwal	id=g:6279565
Aïn et Tiné	id=g:6279566
Dahr el Mghara	id=g:6279567
Wadi el Qalaah	id=g:6279568
Wadi el Qotolbé	id=g:6279569
Wadi el Kharrar	id=g:6279570
Nabaa Aïn Yaaqoub	id=g:6279571
El Hesniyé	id=g:6279572
Es Sayeh	id=g:6279573
Aïn el Aadsi	id=g:6279574
Aïn Taba	id=g:6279575
Qalaat Aakkar	id=g:6279576
Aïn en Nbouaah	id=g:6279577
Haffet Aakkar	id=g:6279578
Hrouf Aïn es Sokkar	id=g:6279579
Aïn Memnaa	id=g:6279580
Tallet Ranté	id=g:6279581
Jabal Hroush	id=g:6279582
Ard Aabbas	id=g:6279583
Aïn el Haramiyé	id=g:6279584
Tallet Aarbayé	id=g:6279585
El Kroum	id=g:6279586
Hrash Deïr Janine	id=g:6279587
Wadi el Hakoura	id=g:6279588
El Hakoura	id=g:6279589
Dahr Harf Sinni	id=g:6279590
Ej Jouar	id=g:6279591
El Hedd	id=g:6279592
Ard ed Doqor	id=g:6279593
Ej Joura	id=g:6279594
Qabr el Aabd	id=g:6279595
Wadi er Rbassé	id=g:6279596
Tallet Kaskiné	id=g:6279597
Tallet el Khodr	id=g:6279598
Tallet el Araah	id=g:6279599
Wadi el Hamra	id=g:6279600
Aïn el Mejwiyé	id=g:6279601
Haret ej Jwaïq	id=g:6279602
Aïn el Bardé	id=g:6279603
Ain ej Jmal	id=g:6279604
Dahr el Aaoura	id=g:6279605
Barbara	id=g:6279606
Qboula	id=g:6279607
Nabaa el Baghlé	id=g:6279608
Wadi Shehab	id=g:6279609
Dahr es Sindiané	id=g:6279610
Wadi Hashish	id=g:6279611
Nahr el Oustouane	id=g:6279612
Khorr ech Chirchâr	id=g:6279613
Ed Dâlâti	id=g:6279614
Et Trâmes	id=g:6279615
Ketf el Aâbed	id=g:6279616
Ez Zrâqîyât	id=g:6279617
Ed Debbâgh	id=g:6279618
El Khaznât	id=g:6279619
Ech Chamboûk	id=g:6279620
Bîr ez Zouîyé	id=g:6279621
Khalîj es Sammoûnîye	id=g:6279622
Ech Chmâyât	id=g:6279623
Ed Dhoûr	id=g:6279624
Tell Bîri	id=g:6279625
Ard el Habât	id=g:6279626
El Aabbâssîyé	id=g:6279627
Es Sâroût	id=g:6279628
Ard el Mabroûk	id=g:6279629
Et Taouîlé	id=g:6279630
El Khattâbîyât	id=g:6279631
Oumm Aaouad	id=g:6279632
Ed Douâra	id=g:6279633
El Bahsa	id=g:6279634
Ej Jdâdîaa	id=g:6279635
Jaddoûa	id=g:6279636
Soultâne Brâhîm	id=g:6279637
Barchâ	id=g:6279638
Karm et Tarrâf	id=g:6279639
Masrîne	id=g:6279640
Ouâdi en Nâr	id=g:6279641
Ouâdi Masrîne	id=g:6279642
er Râmi	id=g:6279643
Er Raml	id=g:6279644
Ej Jaouâmia	id=g:6279645
Ed Darboûzîyé	id=g:6279646
Tebbet Chqaïr	id=g:6279647
El Aallaïqât	id=g:6279648
El Haouchrîyé	id=g:6279649
El Khâldîyé	id=g:6279650
El Aajmé	id=g:6279651
Châloûtîyé	id=g:6279652
El Bassa	id=g:6279653
Cheïkh Yoûssef er Raddâne	id=g:6279654
Dhoûr el Makmel	id=g:6279655
Ouâdi el Qattîni	id=g:6279656
El Kharâyeb	id=g:6279657
Aïn Antoûn	id=g:6279658
Sâqiet es Skâf	id=g:6279659
Ouâdi Karmsâhe	id=g:6279660
Aïn Nîha	id=g:6279661
Slaïyeb	id=g:6279662
Ed Daïaa	id=g:6279663
Ouâdi Hourâta	id=g:6279664
Haqlet el Bîch	id=g:6279665
Es Souânât	id=g:6279666
Aïn es Sâqié	id=g:6279667
Dahr el Aïn	id=g:6279668
Aïn Châra	id=g:6279669
Aïn ej Jadîdé	id=g:6279670
El Qorné	id=g:6279671
Aarbet Daoud	id=g:6279672
Deïr Mâr Sarkîs oû Bakhos	id=g:6279673
Ed Dahra	id=g:6279674
Dahr ej Jmâch	id=g:6279675
Ouâdi Koûr	id=g:6279676
El Hrîq	id=g:6279677
Aïn Kfar Hatnâ	id=g:6279678
Châloûta	id=g:6279679
Aaqbet Abdilli	id=g:6279680
Deïr Mâr Youhanna	id=g:6279681
Aïn Sghâr	id=g:6279682
Mazraat Chabtîne	id=g:6279683
El Mhaïdli	id=g:6279684
Aïn el Laaouch	id=g:6279685
Aïn el Ghommass	id=g:6279686
El Ouatâ	id=g:6279687
El Aaqbé	id=g:6279688
Ouâdi el Aarâbi	id=g:6279689
Ech Chateh	id=g:6279690
Kfar Maoutâ	id=g:6279691
Ouâdi Mâr Sarkiss	id=g:6279692
Sâqiet Aaïoua	id=g:6279693
El Blaïta	id=g:6279694
Ouâdi Zéir el Aïn	id=g:6279695
Aarqbi	id=g:6279696
Ouâdi Ghinbaïl	id=g:6279697
El Qzîh	id=g:6279698
Ouâdi el Ouqaïbé	id=g:6279699
Qatéaa Sanya	id=g:6279700
Ouâdi Meftah Maalla	id=g:6279701
El Ouatâya	id=g:6279702
Ouâdi Beria	id=g:6279703
Aïn el Maassîé	id=g:6279704
Ouâdi Mahmara	id=g:6279705
El Bqaïaa	id=g:6279706
El Ksâyer	id=g:6279707
Beït es Salîb	id=g:6279708
Ouata Hessaïn	id=g:6279709
Aïn el Ouâta	id=g:6279710
Ouâdi el Aïn	id=g:6279711
Khaaba	id=g:6279712
Déqqâr Sâbâ	id=g:6279713
Abou Saad	id=g:6279714
Tâhoûn el Hrâmîyé	id=g:6279715
Aïn el Khoûri	id=g:6279716
Aïn Jibla	id=g:6279717
El Haffé	id=g:6279719
Jisr el Hammâm	id=g:6279720
Tâhoûn el Hammâm	id=g:6279721
Ed Dahr	id=g:6279722
Qattîne el Ahmar	id=g:6279723
Qattîne el Abiad	id=g:6279724
El Qobaa	id=g:6279725
Msâsîr Deïr Billa	id=g:6279726
Ech Choûrât	id=g:6279727
Aïn el Aouaïni	id=g:6279728
El Haouet	id=g:6279729
Ej Jouâr	id=g:6279730
Aïn Hardîne	id=g:6279731
Mâr Challîta	id=g:6279732
Er Râm	id=g:6279733
Deïr Mâr Estephâne	id=g:6279734
Aaqbet Fnaïdeq	id=g:6279735
Bsâtîne Kfar Hilda	id=g:6279736
El Bhîs	id=g:6279737
Nabaa el Meftâh	id=g:6279738
Ech Chaqaa	id=g:6279739
Hrîq Dâal	id=g:6279740
Kroûm Aaoura	id=g:6279741
Ouâdi Aaoura	id=g:6279742
Aïn Aaoura	id=g:6279743
Aarbet ed Dabboûr	id=g:6279744
Aarbîya	id=g:6279745
Ksâret Maatoûq	id=g:6279746
Dahr el Khoûri	id=g:6279747
Ouâdi Mâr Eliâs	id=g:6279748
Ouâdi Haïchboûn	id=g:6279749
El Hqaïlât	id=g:6279750
Aïn el Ghâr	id=g:6279751
Ez Zhît	id=g:6279752
El Ksâra	id=g:6279753
Deïr Tallé	id=g:6279754
Chouâta	id=g:6279755
Aarq ech Chîr	id=g:6279756
El Aarbé	id=g:6279757
El Mahlîssa	id=g:6279758
Aïn ed Daïaa	id=g:6279759
Aarbet Im Chihâdé	id=g:6279760
Ard ed Deïr	id=g:6279761
Tâhoûn Bassa	id=g:6279762
Ksâyer er Rohbâne	id=g:6279763
Aïn el Maatmé	id=g:6279764
Snaoubar Deïr Bassa	id=g:6279765
Aarbet el Hamoui	id=g:6279766
Nabaa Dalli	id=g:6279767
Nabaa ed Deïr	id=g:6279768
Aïn el Hosn	id=g:6279769
Aïn el Mîdâne	id=g:6279770
Aaqbet el Bellène	id=g:6279771
Aïn Blât	id=g:6279772
El Aachqa	id=g:6279773
Horch en Nahlé	id=g:6279774
El Bsâtîne	id=g:6279775
El Bîyâd	id=g:6279776
El Millâha	id=g:6279777
El Aaoura	id=g:6279778
Ez Zaaroûra	id=g:6279779
El Mghâra	id=g:6279780
El Khadra	id=g:6279781
Aïn el Birké	id=g:6279782
Horch Mrâh Kâmel	id=g:6279783
El Ftâh	id=g:6279784
Ouâdi el Karnîch	id=g:6279785
Aïn Maïtoûba	id=g:6279786
El Mîdâne	id=g:6279787
Aïn et Tahta	id=g:6279788
Ech Chaqaa	id=g:6279789
Aïn et Tahta	id=g:6279790
Deïr Mâr Charbel	id=g:6279791
El Aouaïni	id=g:6279792
Ard Mâr Faouqa	id=g:6279793
El Hbîs	id=g:6279794
Mâr Faouqa	id=g:6279795
Er Reboûaa	id=g:6279796
Ksâyer el Hrâyeq	id=g:6279797
El Hrâyeq	id=g:6279798
Ksâret Hassane	id=g:6279799
Douâouîr en Njâss	id=g:6279800
Gherna	id=g:6279801
Aïn el Faouqa	id=g:6279802
Ouata Aïn et Tahta	id=g:6279803
El Bouaïder	id=g:6279804
Ouâdi Baatâra	id=g:6279805
Aassoûla	id=g:6279806
Aïn Aakfor	id=g:6279807
El Martoûssa	id=g:6279808
Ard ed Deïr	id=g:6279809
Sâqiet el Mraïyeh	id=g:6279810
Aïn Râm	id=g:6279811
El Matlaq	id=g:6279812
Aïn Jaoûa	id=g:6279813
Aïn el Kbîré	id=g:6279814
El Hirzmâne	id=g:6279815
Aïn el Aouaïni	id=g:6279816
Nabaa Mehmarch	id=g:6279817
El Bîyâda	id=g:6279818
Ouata Aïta	id=g:6279819
Aïn Râa	id=g:6279820
Nabaa Qatra	id=g:6279821
Nabaa en Nahr	id=g:6279822
Nabaa ech Chmîs	id=g:6279823
El Mabhsa	id=g:6279824
El Ghrîb	id=g:6279825
Aïn ej Jaouzât	id=g:6279826
Aïn el Mghâra	id=g:6279827
Aïn el Qottâra	id=g:6279828
Aïn el Mezrâb	id=g:6279829
Aïn Châouîta	id=g:6279830
Aïn el Ouata	id=g:6279831
Aïn el Haouar	id=g:6279832
Aïn Msîta	id=g:6279833
Msîta	id=g:6279834
Ghommâs el Hmâm	id=g:6279835
Ech Chrik	id=g:6279836
El Fesqîne	id=g:6279837
Aïn el Ouata	id=g:6279838
Ouâdi el Fesqîne	id=g:6279839
Chmîs ed Drâta	id=g:6279840
El Aarâbé	id=g:6279841
Ej Jnaïnât	id=g:6279842
Ghommâs ez Zaaroûra	id=g:6279843
Ech Cheaab	id=g:6279844
Himi el Ouaqf	id=g:6279845
Ghommâs Yoûssef	id=g:6279846
Ghommâs Abed el Msîh	id=g:6279847
Joûret el Maqtoûl	id=g:6279848
Bâloûaa Baatâra	id=g:6279849
Er Rouâyem	id=g:6279850
El Himi	id=g:6279851
Ouata Nîha	id=g:6279852
El Masbak	id=g:6279853
Nabaa ez Zahlé	id=g:6279854
