Al ‘Aqm	id=g:402496
Jabal al Qaşr	id=g:402695
Ḩişn Mafḩaq	id=g:402696
Aţ Ţawīlah	id=g:402697
Banī Mariḩ	id=g:402698
Sharaf	id=g:402699
Banī Manşūr	id=g:402700
Jabal Sallām	id=g:402701
Wādī Yufā‘ah	id=g:402702
Jabal Saţḩān	id=g:402703
Wādī al Mawjir	id=g:402704
Wādī al Ghalīl	id=g:402705
Al Ghalīl	id=g:402706
Wādī ‘Alasān	id=g:402707
Duḩrah	id=g:402708
Jabal Madārah	id=g:402709
Jabal Yāda‘	id=g:402710
Bayt Ghawbar	id=g:402711
Jabal al Manār	id=g:402712
Wādī al Khārifī	id=g:402713
Al Khārifī	id=g:402714
Jabal ar Rukhamīyah	id=g:402715
Wādī Şubāḩ	id=g:402716
Wādī Sa‘īd	id=g:402717
Bayt az Zubdānī	id=g:402718
Al Jāhilī	id=g:402719
Jabal al ‘Urr	id=g:402720
Bayt az Zuwwār	id=g:402721
Bayt as Suwaydī	id=g:402722
Dār al Mawrid	id=g:402723
Jabal ash Sharqī	id=g:402724
Wādī al Fajarah	id=g:402725
Ad Dafā’	id=g:402726
Jabal Darwān	id=g:402727
An Nābāt	id=g:402728
Bayt ar Rumaym	id=g:402729
Baw‘ān	id=g:402730
Ḩişn Banī Sulaymān	id=g:402731
Bayt Umm Jallī	id=g:402732
Jabal Suḩāḩ	id=g:402733
Jabal al ‘Asākirah	id=g:402734
Jabal Dawqar	id=g:402735
Banī Dahmān	id=g:402736
Al Ma‘īnah	id=g:402737
Bayt al Mifḑal	id=g:402738
Wādī Bayhas	id=g:402739
Raymah	id=g:402740
Jabal Raymah	id=g:402741
Jabal Banī Aḩmad	id=g:402742
Al Ya‘ar	id=g:402743
Wādī Namir	id=g:402744
Qārat Banī Suwār	id=g:402745
Al Maḩaţţah	id=g:402746
Bayt al Jiddī	id=g:402747
Al Ma’khadh	id=g:402748
Wādī al Mūsīyah	id=g:402749
Al Mi‘zāb	id=g:402750
Jabal Jūbah	id=g:402751
Banī Manşūr	id=g:402752
Al ‘Urr	id=g:402753
Al Hijrah	id=g:402754
Jabal Sawdān	id=g:402755
Amrash	id=g:402756
Al Ḩayfah	id=g:402757
Wādī Maḩlā’	id=g:402758
Al Qalīs	id=g:402759
Wādī Faḩm	id=g:402760
Wādī Ja‘mān	id=g:402761
Wādī Mukḩulah	id=g:402762
Wādī al Bidāḩah	id=g:402763
Wādī Nāqah	id=g:402764
Wādī al Fiqrah	id=g:402765
Bayt al ‘Umaysī	id=g:402766
Al Aḩşām	id=g:402767
Şā‘ah	id=g:402768
Al Kharābah	id=g:402769
Al Majan ash Shumah	id=g:402770
Jabal al Jamūḩ	id=g:402771
Ar Rizwah	id=g:402772
Maḩall al ‘Irq	id=g:402773
Thawbar	id=g:402774
Al Masāwir	id=g:402775
Banī Haysān	id=g:402776
Al Khanaq	id=g:402777
Al Qurayyah	id=g:402778
Al Ḩarf	id=g:402779
Bayt Mirrah	id=g:402780
Bayt an Nushayrī	id=g:402781
Bayt Abū Shā’i‘	id=g:402782
Samḩ	id=g:402783
Bayt Wāzi‘	id=g:402784
Banī Şabir	id=g:402785
Banī Miḩann	id=g:402786
Al Kharābah	id=g:402787
Al Qawāzi‘ah	id=g:402788
Banī ‘Ubayd	id=g:402789
Banī Sanad	id=g:402790
Hijrat aş Şayḩ	id=g:402791
Aş Şayḩ	id=g:402792
Wādī Şār	id=g:402793
Jabal al Maḩāriq	id=g:402794
Jabal Ghurāb	id=g:402795
Jabal al Qāhirī	id=g:402796
Jabal as Suqūr	id=g:402797
Jabal Mabrūt	id=g:402798
Jabal al ‘Asūs	id=g:402799
Jabal al Qurūn	id=g:402800
Jabal Banī ‘Alī	id=g:402801
Jabal aţ Ţabl	id=g:402802
Jabal Shawkān	id=g:402803
Jabal Taḩmus	id=g:402804
Jabal al Jamā’	id=g:402805
Jabal Mash‘ar	id=g:402806
Jabal Şabārīyah	id=g:402807
Jabal Şār	id=g:402808
Jabal al Jumjumah	id=g:402809
Jabal Jurayb	id=g:402810
Jabal al ‘Ayn	id=g:402811
Jabal Şufwayn	id=g:402812
Jabal al Ja‘āshīm	id=g:402813
Jabal Matnah	id=g:402814
Jabal an Nawāşirīyah	id=g:402815
Jabal Suwaydān	id=g:402816
Jabal Dahyān	id=g:402817
Jabal ar Rukab	id=g:402818
Jabal al Minjārah	id=g:402819
Qā‘ al ‘Aydab	id=g:402821
As Saqā’if	id=g:402825
Al Ḩaḑan	id=g:402827
Banī Qirāţ	id=g:402828
Jabal Nu‘mān	id=g:402829
Huwā‘	id=g:402831
Waz̧āfah	id=g:402832
Banī ‘Amr	id=g:402833
Ḑibyān	id=g:402834
Al Ḩarf	id=g:402836
Ḩaḑrān	id=g:402837
Sharaf al Izār	id=g:402838
Al Ghudham	id=g:402839
Jabal Birak	id=g:402840
Jabal Mashriq	id=g:402841
Jabal al Qaflah	id=g:402842
Jabal Ţufyān	id=g:402843
Jabal al ‘Adhar	id=g:402844
Jabal al Qulāh	id=g:402845
Jabal aţ Ţawil	id=g:402846
Jabal Dabasān	id=g:402847
Wādī al Ḩawḑ	id=g:402855
Wādī Jarf	id=g:402856
Wādī aḑ Ḑarḩ	id=g:402857
Dayr al Qiḩām Gharbī	id=g:402858
Dayr al Qiḩām Sharqī	id=g:402859
Maḩall aţ Ţawīl	id=g:402860
Maḩall an Nashshād	id=g:402861
Dayr ash Sharfayn	id=g:402862
Dayr Yūsuf	id=g:402863
Maḩall al Khalīl	id=g:402864
Al Jīlānīyah	id=g:402865
Maḩall ash Shawq	id=g:402866
Maḩall al ‘Abbāsah	id=g:402867
Al Khulay‘ah	id=g:402868
Maḩall as Suwayd	id=g:402869
Ḩabīl al Mawādhinah	id=g:402870
Qarnabūr	id=g:402871
Al Madāfin	id=g:402872
Al Mashā‘ibah	id=g:402874
Aḑ Ḑawḩī	id=g:402875
Mawthab	id=g:402876
Walā’	id=g:402877
Kurabah	id=g:402878
Maḩlīt	id=g:402879
Al Ḩaţab	id=g:402880
Waynān	id=g:402881
Aḑ Ḑubrah	id=g:402882
Qaryat ‘Usayq	id=g:402883
Al Ḩāfah	id=g:402884
Al Ku‘b	id=g:402885
Al Marqab	id=g:402886
Ghāribayn	id=g:402887
Jabal Yitār	id=g:402888
Jabal Yitarah	id=g:402889
An Nasamī	id=g:402890
Jabal Barāsh	id=g:402891
Bayt Ḩuţrum	id=g:402892
Al Muḑbār	id=g:402893
Al Bustān	id=g:402894
As Suqbān	id=g:402895
Madhāb as Suflá	id=g:402896
Maḩall Kuwālah	id=g:402897
Madhāb al ‘Ulyā	id=g:402898
Bayt al Khaḑr	id=g:402899
Maḩall Fattāḩ	id=g:402900
Al Ḩamrā’	id=g:402901
Ghāwir	id=g:402902
Al Quraş	id=g:402903
Rifd	id=g:402904
Raḩabah	id=g:402905
Al Maswaḩ	id=g:402906
Maḩall al Khubayb	id=g:402907
Lakamat ash Shāwish	id=g:402908
Al Kadḩah	id=g:402909
Al Ḩibs	id=g:402910
Al Manqaţa‘	id=g:402911
Bayt az Zāb	id=g:402912
Al Maghārib	id=g:402913
Shābin	id=g:402914
Al Ḩaddah	id=g:402915
Bayt Suqal	id=g:402916
Al Hijrah	id=g:402917
Maywān	id=g:402918
‘Urājah	id=g:402919
Dayr al ‘Ajūr	id=g:402920
Qaryat al ‘Ansī	id=g:402921
Al Khashab	id=g:402922
Al Jāhilī	id=g:402923
‘Ashrūs	id=g:402924
Al Qāhir	id=g:402925
Al Jabjab	id=g:402926
Miftāḩ	id=g:402927
Banī Ḑabyān	id=g:402928
Hijrat adh Dharī	id=g:402929
Shahdān	id=g:402930
Maḩall al Hindī	id=g:402931
Al Yitarah	id=g:402932
Al Maşna‘ah	id=g:402933
Bayt Abū Ḩasan	id=g:402934
Jabal an Nāţif	id=g:402935
Dayr Muḩammad	id=g:402936
Jabal Jumā‘ah	id=g:402937
Maḩall al Baḩḩārī	id=g:402938
Maḩall Barshīsh	id=g:402939
Maḩall al ‘Ināsh	id=g:402940
Maḩall al Mishkhar	id=g:402941
Maḩall al Khaţīb	id=g:402942
Dayr an Nahārī	id=g:402943
Ta‘izz al Manār	id=g:402944
Maḩall al ‘Umayrī	id=g:402945
Maḩall al Jabbān	id=g:402946
Bayt al Ja‘wirī	id=g:402947
Maḩall Jabal Qaraḑ	id=g:402948
Sūq al Aḩad	id=g:402949
Dhī Şabil	id=g:402950
Az̧ Z̧āli‘	id=g:402951
Dā’ūdīyah	id=g:402952
Maḩall Maḑḩ	id=g:402953
Maḩall ‘Umar Mahdalī	id=g:402954
Hijrat al Wishāḩ	id=g:402955
Maḩall ar Raḩmah	id=g:402956
Hijrat Dhī Ḩūd	id=g:402957
Dār al Kalfūd	id=g:402958
Aḑ Ḑula‘	id=g:402959
Mati‘	id=g:402960
Al ‘Awshah	id=g:402961
Bayt ‘Aţā’	id=g:402962
Al ‘Ubrayn	id=g:402963
Al Miḩdājah	id=g:402964
Siḩāq	id=g:402965
Al Akḩal	id=g:402966
Al Kharābah	id=g:402967
Maḩall al Walī	id=g:402968
Maḩall Subu‘	id=g:402969
Maliş	id=g:402970
Athmad	id=g:402971
Ya‘ar	id=g:402972
Dhukhrah	id=g:402973
Aḑ Ḑubrah	id=g:402974
Ḩarf as Sādah	id=g:402975
Ar Ribāţ	id=g:402976
Al ‘Adanah	id=g:402977
Al Jabjab	id=g:402978
Al Mayfa‘ah	id=g:402979
Sidd Thabbah	id=g:402980
‘Umar	id=g:402981
Al Miţbābah	id=g:402982
Maḩall al Qawzīyah	id=g:402983
Ḩabīrah	id=g:402984
Dayr Bushābish ash Sharq	id=g:402985
Al Marqab	id=g:402986
Nay‘ān	id=g:402987
Dayr al Ḩumādīyah	id=g:402988
Ḩansar	id=g:402989
Madwah	id=g:402991
Dayr Bushābish al Gharb	id=g:402992
Al ‘Abadīyah	id=g:402993
Maḩall Banī Bukar	id=g:402994
Dayr al Makīn	id=g:402996
Dayr al Jubaylī	id=g:402997
Al Ḩarashah	id=g:402999
Ar Rāfi‘ī	id=g:403000
Ar Rāyah	id=g:403001
Maḩall al Burūq	id=g:403002
Dayr al Qurayţī	id=g:403005
Dayr Aḩmad	id=g:403006
Maḩall Māni‘	id=g:403007
Dayr ar Rubaydī	id=g:403008
Dayr al Ḩabīlī	id=g:403009
Maḩall az Zaydīyah	id=g:403010
Ţilḩāmah	id=g:403011
Bayt as Sinānī	id=g:403012
Banī Saba’	id=g:403013
Al Ḩiqā’	id=g:403014
Maqhāyat as Sawād	id=g:403015
Aḑ Ḑawāhirah	id=g:403016
Bayt Abū Maḩniqah	id=g:403017
Bayt al Fātiqī	id=g:403018
As Salīl	id=g:403019
Al Masāqirah	id=g:403020
Sibyah	id=g:403021
Banī Jamīl	id=g:403022
Banī ‘Akrūt	id=g:403023
Sibāl al Ḩadīd	id=g:403024
Banī Khuḑayr	id=g:403025
Shāriḩ	id=g:403026
Khashrān	id=g:403027
Al Maḩillah	id=g:403028
Hijrat Manqadhah	id=g:403029
Bayt Shuţayf	id=g:403030
Kharābat ash Shallāl	id=g:403031
Ath Thujrah	id=g:403032
Qubbat Ḩathīth	id=g:403033
Al Ḩillah	id=g:403034
An Najjārī	id=g:403035
Al Maşlūbah	id=g:403036
Dayr ‘Inwāsh	id=g:403037
Maḩall al Ma`rūf	id=g:403038
Qubātil	id=g:403040
Al Qa‘mah	id=g:403041
Aḑ Ḑayq	id=g:403042
Dhī Ajj	id=g:403043
Al Maḩfad	id=g:403044
Rāsah	id=g:403045
Al Aghwāl	id=g:403046
Hijrat al Kilabah	id=g:403047
Nahrān al Kilabah	id=g:403048
Bishār	id=g:403049
Al Quḑāḑah	id=g:403050
Jabal al ‘Uthmānī	id=g:403051
Afk	id=g:403052
Al Ḩijfah	id=g:403053
Şan‘ah	id=g:403054
Ath Thanīyah	id=g:403055
Al Manşūrah	id=g:403056
Ja‘awdar	id=g:403057
Yafa‘	id=g:403058
Dhī Mājid	id=g:403059
Kharābat Nashţan	id=g:403061
Shawkān	id=g:403062
Al ‘Allānah	id=g:403063
Ḩawbah	id=g:403064
Al Jubbah	id=g:403065
Saḩbān	id=g:403066
‘Ayshān	id=g:403067
Nujaym	id=g:403068
Dafīnah	id=g:403069
As Suwaydā’	id=g:403070
Al Millah	id=g:403071
Thamar	id=g:403072
Jabal Rafān	id=g:403073
Dhī Ḩawlān	id=g:403074
Bāb al Filāk	id=g:403075
Marwaḩān	id=g:403076
Māriyah	id=g:403077
Dayr Shirimbān	id=g:403128
Dayr az Zayḩ al Yamānī	id=g:403129
Dayr ‘Abdah Rabbah	id=g:403130
Maḩall al Bunn	id=g:403131
Maḩall ash Shāwush	id=g:403132
Maḩall ‘Alī ‘Umar	id=g:403133
Maḩall al Mūrī	id=g:403134
Maḩall al Ḩillah	id=g:403135
Dayr az Zāhir	id=g:403136
Maḩall al Balaḩ	id=g:403137
Dayr aţ Ţubaysh	id=g:403138
Dayr ash Shāmī	id=g:403139
Maḩall al Ḩalīl	id=g:403140
Ar Ribāţ	id=g:403141
Maḩall al Mash‘af	id=g:403142
Bayt `Ikād	id=g:403143
Dayr `Asalah	id=g:403144
Dayr ‘Ayyāsh	id=g:403145
Dayr ‘Umar	id=g:403146
Al Ḩashābirah	id=g:403147
Dayr al Mahadī	id=g:403148
Dayr al Ḩarāzī	id=g:403149
Al Kidf	id=g:403150
Dayr Şāliḩ	id=g:403151
Maḩall ad Dahl	id=g:403152
Maḩall Muḩsin	id=g:403153
Barḩal	id=g:403154
Al Makhnūq	id=g:403155
Al Fuqahā’	id=g:403156
Dayr Kaynah	id=g:403157
Al Kadirah	id=g:403158
Ash Sharīj	id=g:403159
Muţālibīyah	id=g:403160
Dayr Ghurāb	id=g:403161
Dayr al Muqāzilah	id=g:403162
Dayr ‘Alī	id=g:403163
Dayr Jalālah	id=g:403164
Al Ḩarīqīyah	id=g:403165
‘Ankazah	id=g:403166
Al Mukhanjif	id=g:403167
Maḩall al Khabāl	id=g:403168
Al Minwab	id=g:403169
Al Minwab al Qadīm	id=g:403170
Al Ḩaddādīyah	id=g:403171
Kūfīyah	id=g:403172
Al Khubaytīyah	id=g:403173
Al Mash‘alīyah	id=g:403174
Maḩall al Hashal	id=g:403175
Ar Rāfi`ī	id=g:403176
Maḩall ‘Aqīl	id=g:403177
Al Maqāni‘	id=g:403178
Kuḩlān	id=g:403179
Al Muqannaf	id=g:403180
Mufraḩ	id=g:403181
Al Mikhdāsh	id=g:403182
Maḩall Ghayyān	id=g:403183
Al ‘Aqīmah	id=g:403184
Al Ḩarthah	id=g:403185
Maḩall al Hulaylī	id=g:403186
Dayr ‘Uwīdān	id=g:403187
Jabal al Ja‘ād	id=g:403188
Jabal ‘Inān	id=g:403189
Jabal Wuqayhah	id=g:403190
Al Qarn	id=g:403256
Ḩadabat al Muz̧z̧	id=g:403257
Baş‘ān	id=g:403258
Jabal al Jabar	id=g:403259
Maḩall Jamīl	id=g:403260
Al Ghurzah	id=g:403261
Jabal ‘Arshān	id=g:403262
Az̧ Z̧afīr	id=g:403263
Al ‘Ubāl	id=g:403264
Al Mash‘īb	id=g:403265
Al Madhābah	id=g:403266
Şāyat ‘Affār	id=g:403267
Jabal Qaydān	id=g:403268
Maghrabat al Harīsh	id=g:403269
Al Maghrabah	id=g:403270
Aş Şarārah	id=g:403271
An Nāşirah	id=g:403272
Bayt Khayrah	id=g:403273
Bayt Dhānib	id=g:403274
Jabal Ruwa‘	id=g:403275
Sha‘b	id=g:403276
Jabal Sīd al Marānī	id=g:403277
Jabal ‘Iyāl Yazīd	id=g:403278
Al Maḩallah	id=g:403279
Jawb al A‘lá	id=g:403280
Banī ‘Abd	id=g:403281
Jabal Banī Ḩajjāj	id=g:403282
Al ‘Ayānah	id=g:403283
Az̧ Z̧ubr	id=g:403294
Al Khadarah	id=g:403295
Bayt al Iqra‘	id=g:403296
Ad Darb al Aswad	id=g:403297
Bayt Shirāḩ Allāh	id=g:403298
Bayt Bādī	id=g:403299
Az Zāfin	id=g:403300
Awlī Hamdān	id=g:403301
Mankal	id=g:403302
Dira‘	id=g:403303
Al Warik	id=g:403304
Ash Shī‘ah	id=g:403305
Banī Qādim	id=g:403306
Bayt ‘Āmir	id=g:403307
Jabal al Jamīmah	id=g:403308
Na‘mān	id=g:403309
Jabal Ḑurub	id=g:403310
Maḩall Muda‘	id=g:403311
Jabal Banī al Fulayḩī	id=g:403312
Sūq al Madrak	id=g:403313
Sūq ath Thulūth	id=g:403314
Bayt ar Rukb	id=g:403315
Mabyan	id=g:403316
Jibāl ash Sharāqī	id=g:403317
Qudam	id=g:403318
Hijrat ‘Izzān	id=g:403319
Wādī Ḩawşān	id=g:403321
Wādī Mawr	id=g:403322
Wādī Akhraf	id=g:403323
Wādī Dharḩān	id=g:403324
Wādī al Kalābī	id=g:403325
Wādī Ḑubāwah	id=g:403326
Wādī Shiras	id=g:403327
Wādī Tha‘lān	id=g:403328
Wādī ‘Umyān	id=g:403329
Wādī Qā’ah	id=g:403330
Wādī Ḑayyān	id=g:403331
Wādī al Ghalīl	id=g:403332
Qā‘ ash Shu‘ūbī	id=g:403333
Wādī Lā`ah	id=g:403334
Wādī al Khadhil	id=g:403335
Wādī ‘Ayyān	id=g:403336
Ţūz̧ā n	id=g:403736
Madām	id=g:403737
Qaryat al ‘Urrah as Suflá	id=g:403738
Jidr al Asfal	id=g:403739
Jidr al A‘ lá	id=g:403740
Al Munaqqab	id=g:403741
Ḩāfat Idrīs	id=g:403742
‘Almān	id=g:403743
Qaryat al Muşallī	id=g:403744
Rayshān	id=g:403745
Dār al Yājūr	id=g:403746
‘Aţţān	id=g:403747
Ray‘ān	id=g:403748
Bayt ‘Adhrān	id=g:403749
Qaryat ‘Aşr al Asfal	id=g:403750
Maḩall Rayd	id=g:403751
Al Qadhaf	id=g:403752
Al Jurn	id=g:403753
Matnah	id=g:403754
Kushar	id=g:403755
Bayt Maḩfad	id=g:403756
Şawād	id=g:403757
Kharāb as Sanaf	id=g:403842
Qā‘ al Munaqqab	id=g:403843
Wādī al Iqbāl	id=g:403844
Wādī as Sūsī	id=g:403845
Qā‘ ar Raqqah	id=g:403846
Qā‘ al ‘Adhrah	id=g:403847
Qā‘ Māliḩ	id=g:403848
Jabal as Sināfī	id=g:403849
Qā‘ al Qaryah	id=g:403850
Jabal Qīrah	id=g:403851
Jabal Bayt ‘Adhrān	id=g:403852
Qā‘ an Nāhim	id=g:403853
Jabal ‘Amlān	id=g:403854
Jabal Shi‘b az Zahrā	id=g:403855
Kawlat Jidr	id=g:403856
Jabal Qayf	id=g:403857
Qā‘ Jidr	id=g:403858
Jabal al Yājūrah	id=g:403859
Jabal al Aswad	id=g:403860
Wādī as Sirār	id=g:403861
Qā‘ al Mafjūr	id=g:403862
Wādī al Jawz	id=g:403922
Wādī al Fārisī	id=g:403938
Wādī al Mulaykī	id=g:403940
Wādī al Marāḩiḑah	id=g:403941
Wādī at Tālūq	id=g:403944
Wādī Z̧urayḩah	id=g:403945
Wādī ‘Ashshah	id=g:403946
Wādī Haybān	id=g:403953
Wādī Dā’ish	id=g:403956
Wādī Sāmik	id=g:403958
Wādī al Ḩubātirah	id=g:403962
Wādī al Ḩalamah	id=g:403964
Wādī aḑ Ḑub‘	id=g:403965
Wādī al Jallah	id=g:403966
Wādī Aḩjir	id=g:403968
Wādī Mashwāk	id=g:403970
Wādī Milāḩah	id=g:403971
Wādī Kisib	id=g:403972
Shi‘b al Khunfuq	id=g:403975
Wādī al Jarr	id=g:403976
Wādī ash Shāhilīyah	id=g:403977
Wadi ‘Iyāl Maţar	id=g:403978
Wādī Ya‘luf	id=g:403979
Wādī al Khalaq	id=g:404044
Jabal al Manārah	id=g:404045
Jabal Rihqah	id=g:404046
Jabal al Ghurbūb	id=g:404047
Qā‘ al Ḩaql	id=g:404048
Jabal al ‘Urr	id=g:404049
Jabal Fāyān	id=g:404050
Jabal al Manār	id=g:404051
Jabal ad Dūkam	id=g:404052
Jibāl al Yahūd	id=g:404053
Jabal Nublān	id=g:404054
Qā‘ Dāyān	id=g:404055
Jabal Nabhān	id=g:404056
Jabal Ḩuthum	id=g:404057
Jabal al Maḩrath	id=g:404058
Al Qārah	id=g:404059
Bayt Mahdam	id=g:404060
Sha‘bān	id=g:404061
Bayt Rijāl	id=g:404062
Ḩallah	id=g:404063
Al Mawqa‘	id=g:404064
‘Ukayfān	id=g:404065
Ghābir	id=g:404066
Al Qirrān	id=g:404067
Ḩaḑrān	id=g:404068
Al Ḩarf	id=g:404069
Waqash	id=g:404070
Banī ‘Abbād	id=g:404071
Al Marāḩiḑah	id=g:404072
Al Miqāsh	id=g:404073
Ruhm as Suflá	id=g:404074
Ad Dār al Bayḑā’	id=g:404075
