Kominasaeo	id=g:2093584
Kobuni 1	id=g:2093782
Kobula	id=g:2093783
Kobuan Bay	id=g:2093784
Kobuaga Point	id=g:2093785
Koboru	id=g:2093786
Kobolga	id=g:2093787
Kobokane	id=g:2093788
Kobobwa	id=g:2093789
Kobo	id=g:2093790
Kobiri	id=g:2093791
Kobio	id=g:2093792
Kobio	id=g:2093793
Kobilinye River	id=g:2093794
Kobilinye	id=g:2093795
Kobiak Creek	id=g:2093796
Kobiak	id=g:2093797
Kobia	id=g:2093798
Kobi	id=g:2093799
Koben	id=g:2093800
Kobeinan	id=g:2093801
Kobau	id=g:2093802
Kobatara Point	id=g:2093803
Kobaroka	id=g:2093804
Kobararu	id=g:2093805
Kobarago	id=g:2093806
Kobanibu	id=g:2093807
Koban	id=g:2093808
Koban	id=g:2093809
Kobalaiva	id=g:2093810
Koba	id=g:2093811
Cape Koas	id=g:2093812
Koaru	id=g:2093813
Koanumbo	id=g:2093814
Koanumbo	id=g:2093815
Koakopi Creek	id=g:2093816
Koakoarivi Island	id=g:2093817
Koabu	id=g:2093818
Koabij	id=g:2093819
Ko	id=g:2093820
Cape Knorr	id=g:2093821
The Knob	id=g:2093822
The Knob	id=g:2093823
Knirps Island	id=g:2093824
Knight Shoals	id=g:2093825
Knight Point	id=g:2093826
Klelbuf	id=g:2093827
Mount Kleiner	id=g:2093828
Klegelu Creek	id=g:2093829
Klareg	id=g:2093830
Klaplei 3	id=g:2093831
Klaplei 2	id=g:2093832
Klaplei 1	id=g:2093833
Klamoulul River	id=g:2093834
Kiyo	id=g:2093835
Kiwuruga	id=g:2093836
Kiwsawa	id=g:2093837
Kiwok Island	id=g:2093838
Kiwakane	id=g:2093839
Kiwai Island	id=g:2093840
Kivori Poe	id=g:2093841
Kivori-Kui	id=g:2093842
Kivaumai Number 2	id=g:2093843
Kivaumai Number 1	id=g:2093844
Kiunga District	id=g:2093845
Kiunga	id=g:2093846
Kiummge River	id=g:2093847
Kiumda	id=g:2093848
Kiu Creek	id=g:2093849
Kitumala Point	id=g:2093850
Kitschapon Point	id=g:2093851
Kiton Island	id=g:2093852
Kiton	id=g:2093853
Kitomave	id=g:2093854
Kito Creek	id=g:2093855
Kitkita	id=g:2093856
Kitikaini	id=g:2093857
Kitchikan	id=g:2093858
Kitava Island	id=g:2093859
Kisuwe River	id=g:2093860
Kisiu	id=g:2093861
Kisituen	id=g:2093862
Kisila	id=g:2093863
Kisikude	id=g:2093864
Kisi	id=g:2093865
Kisenpoi	id=g:2093866
Kisengam	id=g:2093867
Kisela	id=g:2093868
Kise	id=g:2093869
Kis	id=g:2093870
Kiru	id=g:2093871
Kirra Beach	id=g:2093872
Kirop	id=g:2093873
Kirkirkona Mission	id=g:2093874
Kiriwo	id=g:2093875
Kiriwina Island	id=g:2093876
Kiriwana	id=g:2093877
Kiripia Mission	id=g:2093878
Kirino	id=g:2093879
Kirina Hill	id=g:2093880
Kirima	id=g:2093881
Kirikire	id=g:2093882
Kirikavi	id=g:2093883
Kiriginabi	id=g:2093884
Kiri Creek	id=g:2093885
Kiriai	id=g:2093886
Kireni	id=g:2093887
Cape Kirchoff	id=g:2093888
Kirarm	id=g:2093889
Kirarigu	id=g:2093890
Kiramur Hill	id=g:2093891
Kiramara River	id=g:2093892
Kiraiku	id=g:2093893
Kiraigu	id=g:2093894
Kirai Creek Plantation	id=g:2093895
Kirai Creek	id=g:2093896
Kira Hari Hills	id=g:2093897
Kiragu	id=g:2093898
Kira	id=g:2093899
Kira	id=g:2093900
Kipu	id=g:2093901
Kipri Hill	id=g:2093902
Kipa	id=g:2093903
Kip	id=g:2093904
Kip	id=g:2093905
Kiovi Number 1	id=g:2093906
Kiosa	id=g:2093907
Kiorota	id=g:2093908
Kioribi	id=g:2093909
Kiolivi	id=g:2093910
Kinsena	id=g:2093911
Kinomere	id=g:2093912
Kinkio	id=g:2093913
Kinkin	id=g:2093914
Kinkin	id=g:2093915
Kinjibi	id=g:2093916
Kinjaki	id=g:2093917
Kinipo	id=g:2093918
Kininyari	id=g:2093919
Kininimbogu	id=g:2093920
Kinimsogy	id=g:2093921
Kinim Creek	id=g:2093922
Kinim	id=g:2093923
Kinigunan Plantation	id=g:2093924
Kiniambu	id=g:2093925
Cape King William	id=g:2093926
Kingu	id=g:2093927
King River	id=g:2093928
King Plantation	id=g:2093929
Kingfaringau	id=g:2093930
King Bay	id=g:2093931
Kingaui	id=g:2093932
Cape King	id=g:2093933
King	id=g:2093934
Kinegi	id=g:2093935
Kinebug Division	id=g:2093936
Kine	id=g:2093937
Kindupu	id=g:2093938
Kinduli Aid Post	id=g:2093939
Kinduli	id=g:2093940
Kindogokevi	id=g:2093941
Kindinggauma	id=g:2093942
Kindeimorofa	id=g:2093943
Kindarupa	id=g:2093944
Kindarib	id=g:2093945
Kinda Lake	id=g:2093946
Kinbangwa	id=g:2093947
Kinami	id=g:2093948
Kinalakna	id=g:2093949
Kinakaten	id=g:2093950
Mount Kinai	id=g:2093951
Kimu Creek	id=g:2093952
Kim River	id=g:2093953
Kimokimo 2	id=g:2093954
Kimokimo 1	id=g:2093955
Kimoe	id=g:2093956
Kiminsarae	id=g:2093957
Kiminggenagau	id=g:2093958
Kimil River	id=g:2093959
Kimil	id=g:2093960
Kimigomo	id=g:2093961
Kimianai	id=g:2093962
Mount Kimbonamguve	id=g:2093963
Kimbe Island	id=g:2093964
Kimbe High School	id=g:2093965
Kimbe Bay	id=g:2093966
Kimbe	id=g:2093967
Kimama	id=g:2093968
Kimadan River	id=g:2093969
Kimadan Plantation	id=g:2093970
Kimadan Mission	id=g:2093971
Kimadan	id=g:2093972
Kilu	id=g:2093973
Kilmanglen	id=g:2093974
Cape Killerton	id=g:2093975
Killenge Island	id=g:2093976
Killavava	id=g:2093977
Mount Kilkerran	id=g:2093978
Kiliwis	id=g:2093979
Kiliwas	id=g:2093980
Kilipau	id=g:2093981
Kilinwato Plantation	id=g:2093982
Kilinailau Atoll	id=g:2093983
Kilimbit	id=g:2093984
Kiliga	id=g:2093985
Kilifas	id=g:2093986
Kilibimi	id=g:2093987
Kilia	id=g:2093988
Kiletu	id=g:2093989
Kilenge Mission	id=g:2093990
Kileipi	id=g:2093991
Kilden	id=g:2093992
Kilave	id=g:2093993
Kilau	id=g:2093994
Kilalum	id=g:2093995
Kila Kila Number 1	id=g:2093996
Kila Kila	id=g:2093997
Kilaikane	id=g:2093998
Kila	id=g:2093999
Kikori River	id=g:2094000
Kikori Plantation	id=g:2094001
Kikori District	id=g:2094002
Kikori	id=g:2094003
Kikori	id=g:2094004
Kikivaiai River	id=g:2094005
Kikitambu	id=g:2094006
Kikita	id=g:2094007
Mount Kikiria	id=g:2094008
Kikipei	id=g:2094009
Kikinonda	id=g:2094010
Kiki Creek	id=g:2094011
Kikibiti	id=g:2094012
Kikerei	id=g:2094013
Kikabim	id=g:2094014
Mount Kijurak	id=g:2094015
Kihakihaderi	id=g:2094016
Kigupa	id=g:2094017
Kigin	id=g:2094018
Kigera	id=g:2094019
Kigara River	id=g:2094020
Kigabah	id=g:2094021
Kiga	id=g:2094022
Kieta Peninsula	id=g:2094023
Kieta Harbour	id=g:2094024
Kieta District	id=g:2094025
Kieta	id=g:2094026
Kieta	id=g:2094027
Kier River	id=g:2094028
Kiep Plantation	id=g:2094029
Cape Kiepert	id=g:2094030
Kiep	id=g:2094031
Kiengganggatei	id=g:2094032
Kiengganggatei	id=g:2094033
Kidovi Creek	id=g:2094034
Kido River	id=g:2094035
Kido	id=g:2094036
Mount Kiding	id=g:2094037
Kiburu	id=g:2094038
Kibuli	id=g:2094039
Kibuli	id=g:2094040
Kibu Island	id=g:2094041
Kibogu	id=g:2094042
Kibirowi Island	id=g:2094043
Kibirisi Point	id=g:2094044
Kibil	id=g:2094045
Kibi	id=g:2094046
Kibi	id=g:2094047
Kibi	id=g:2094048
Kibi	id=g:2094049
Kibeni	id=g:2094050
Kibbirrumm Creek	id=g:2094051
Kibandi	id=g:2094052
Kiava	id=g:2094053
Kiau Point Lighthouse	id=g:2094054
Kiau Point	id=g:2094055
Kiata	id=g:2094056
Kiarivu	id=g:2094057
Kiari River	id=g:2094058
Kiari	id=g:2094059
Kiari	id=g:2094060
Kiara	id=g:2094061
Kiang River	id=g:2094062
Kiangana Island	id=g:2094063
Kiambaui	id=g:2094064
Kiam	id=g:2094065
Kiakau	id=g:2094066
Kiakara River	id=g:2094067
Kiago	id=g:2094068
Kiagigauwom	id=g:2094069
Kiage River	id=g:2094070
Khanda Lake	id=g:2094071
Keyonosa	id=g:2094072
Kewieng River	id=g:2094073
Kewieng Number 1	id=g:2094074
Kewibun	id=g:2094075
Mount Kewari	id=g:2094076
Kewansasap	id=g:2094077
Kewandegukane	id=g:2094078
Kewamugl	id=g:2094079
Kewa’inde	id=g:2094080
Kevoro Creek	id=g:2094081
Kevim	id=g:2094082
Keveri Hills	id=g:2094083
Keveona	id=g:2094084
Kevel	id=g:2094085
Keveamakana	id=g:2094086
Kevasop	id=g:2094087
Kevaiwa	id=g:2094088
Keuru River	id=g:2094089
Ketuba	id=g:2094090
Wai Ketu	id=g:2094091
Wai Ketu	id=g:2094092
Ketskets	id=g:2094093
Ketomoknai	id=g:2094094
Ketigoa Creek	id=g:2094095
Keti	id=g:2094096
Keteraufa	id=g:2094097
Ketenge Anchorage	id=g:2094098
Ketenge	id=g:2094099
Ketawawena	id=g:2094100
Ketarobo	id=g:2094101
Ketakerua Bay	id=g:2094102
Ketabi	id=g:2094103
Kesura	id=g:2094104
Kesu Plantation	id=g:2094105
Kesup	id=g:2094106
Kesuguruguru Island	id=g:2094107
Kesu	id=g:2094108
Kesseroa Lagoon	id=g:2094109
Kesin	id=g:2094110
Kesepeu	id=g:2094111
Kesemubu	id=g:2094112
Keseke	id=g:2094113
Kese	id=g:2094114
Kesawaka	id=g:2094115
Kesawai	id=g:2094116
Kesa	id=g:2094117
Kerungili	id=g:2094118
Kerum	id=g:2094119
Keru	id=g:2094120
Kerranggi	id=g:2094121
Kerowil	id=g:2094122
Kerowaiai Island	id=g:2094123
Kerowagi District	id=g:2094124
Kerowagi	id=g:2094125
Kerora	id=g:2094126
Kerodo Creek	id=g:2094127
Kero	id=g:2094128
Kero	id=g:2094129
Kernam	id=g:2094130
Ker Ker Creek	id=g:2094131
Kerisa	id=g:2094132
Kerilku	id=g:2094133
Kerikane	id=g:2094134
Mount Kerigomna	id=g:2094135
Keri	id=g:2094136
Mount Kerewa	id=g:2094137
Kerewa	id=g:2094138
Keresau Island	id=g:2094139
Kereru Range	id=g:2094140
Keremahaua	id=g:2094141
Kerema District	id=g:2094142
Kerema Bay	id=g:2094143
Kerema	id=g:2094144
Kerekerina Point	id=g:2094145
Mount Kereja	id=g:2094146
Keregera	id=g:2094147
Kerebabi	id=g:2094148
Kerea	id=g:2094149
Kerawara Island	id=g:2094150
Kerawara Harbour	id=g:2094151
Kerawara	id=g:2094152
Keravat River	id=g:2094153
Keravat Number 2 Plantation	id=g:2094154
Keravat Corrective Institution	id=g:2094155
Keravat Agricultural Station	id=g:2094156
Keravat	id=g:2094157
Kerau	id=g:2094158
Kera River	id=g:2094159
Kerapi	id=g:2094160
Kerangge	id=g:2094161
Keram River	id=g:2094162
Kerame	id=g:2094163
Kerabi Valley	id=g:2094164
Kerabari	id=g:2094165
Kepsau	id=g:2094166
Keppel Point	id=g:2094167
Kepoiak	id=g:2094168
Kepler Point	id=g:2094169
Kepilum	id=g:2094170
Kepara	id=g:2094171
Kepafinaga	id=g:2094172
Keougu	id=g:2094173
Kenyari	id=g:2094174
Kenuwa River	id=g:2094175
Kentib	id=g:2094176
Kenolia	id=g:2094177
Kenoa	id=g:2094178
Kenmungger	id=g:2094179
Kenminings	id=g:2094180
Kengramei	id=g:2094181
Kenggaku-Wuramagakane	id=g:2094182
Kenggaku-Kuruku	id=g:2094183
Kenggaku-Inaukane	id=g:2094184
Kengenadoibi	id=g:2094185
Kengawi	id=g:2094186
Keng	id=g:2094187
Kenewa Creek	id=g:2094188
Kenewa	id=g:2094189
Kenewa	id=g:2094190
Mount Kenevi	id=g:2094191
Keneri	id=g:2094192
Kenemote	id=g:2094193
Kenemba	id=g:2094194
Kendeng	id=g:2094195
Kendata	id=g:2094196
Kendata	id=g:2094197
Kendagl Mission	id=g:2094198
Kendagl	id=g:2094199
Kenapit Plantation	id=g:2094200
Kenangi	id=g:2094201
Kenai Islet	id=g:2094202
Kenagabobi	id=g:2094203
Kenadiba	id=g:2094204
Kenabot Plantation	id=g:2094205
Kemrawari Gap	id=g:2094206
Mount Kempt	id=g:2094207
Kempenkobia	id=g:2094208
Kempeni	id=g:2094209
Kemovi	id=g:2094210
Kemiuyagusa	id=g:2094211
Kemiu	id=g:2094212
Kemina	id=g:2094213
Kemilga	id=g:2094214
Kemerua	id=g:2094215
Keme Pass	id=g:2094216
Mount Kemenagi	id=g:2094217
Kemei	id=g:2094218
Kemei	id=g:2094219
Kemea Lagoon	id=g:2094220
Kemburum	id=g:2094221
Kembul	id=g:2094222
Kembien	id=g:2094223
Kembeng	id=g:2094224
Kembakn	id=g:2094225
Kemb	id=g:2094226
Kemasi	id=g:2094227
Keman	id=g:2094228
Kemakomana	id=g:2094229
Kemaea	id=g:2094230
Kemabolo	id=g:2094231
Kema	id=g:2094232
Kema	id=g:2094233
Keluwel River	id=g:2094234
Kelumehi River	id=g:2094235
Kelta	id=g:2094236
Kelkel	id=g:2094237
Kelerg Creek	id=g:2094238
Kelemi	id=g:2094239
Keleman River	id=g:2094240
Kelaua Point	id=g:2094241
Kelaua Point	id=g:2094242
Kelaua Plantation	id=g:2094243
Kelaua Harbour	id=g:2094244
Kelaua Bay	id=g:2094245
Kela Point	id=g:2094246
Kelanoa Harbour	id=g:2094247
Kelanoa	id=g:2094248
Kela Creek	id=g:2094249
Kelabulu Creek	id=g:2094250
Kela	id=g:2094251
Kekten	id=g:2094252
Kekitaka	id=g:2094253
Kekewana	id=g:2094254
Keketa	id=g:2094255
Kekeni Rocks	id=g:2094256
Kekemona	id=g:2094257
Kekei	id=g:2094258
Keke	id=g:2094259
Keka	id=g:2094260
Keka	id=g:2094261
Keiya	id=g:2094262
Keivi Creek	id=g:2094263
Mount Keith	id=g:2094264
Keili	id=g:2094265
Keila	id=g:2094266
Keifile	id=g:2094267
Keibam	id=g:2094268
Keiakaso	id=g:2094269
Keiakasa	id=g:2094270
Keia	id=g:2094271
Kehol Island	id=g:2094272
Keglsugl	id=g:2094273
Ke Girawa	id=g:2094274
Mount Kegeraga	id=g:2094275
Mount Kegel	id=g:2094276
Ke’efu Government Rest House	id=g:2094277
Keeba River	id=g:2094278
Kedidia Creek	id=g:2094279
Kebil Rest House	id=g:2094280
Kebigi	id=g:2094281
Mount Kebebe	id=g:2094282
Mount Kebea	id=g:2094283
Kebani	id=g:2094284
Kebamiankani	id=g:2094285
Kebakabi	id=g:2094286
Kebaimeri	id=g:2094287
Kebaiela	id=g:2094288
Keba Creek	id=g:2094289
Keba	id=g:2094290
Keba	id=g:2094291
Keast Reef	id=g:2094292
Kear Creek	id=g:2094293
Ke Anagumia	id=g:2094294
Keaki Hills	id=g:2094295
Kea Kea Creek	id=g:2094296
Kea Kea	id=g:2094297
Keabunna	id=g:2094298
Keabada Point	id=g:2094299
Keabada	id=g:2094300
Kaza River	id=g:2094301
Kayoni Island	id=g:2094302
Kayne Creek	id=g:2094303
Mount Kaye	id=g:2094304
Kawulikiau Island	id=g:2094305
Kawulikiau	id=g:2094306
Kawok	id=g:2094307
Kawoia	id=g:2094308
Kawga	id=g:2094309
Kaweteng Head	id=g:2094310
Kawe	id=g:2094311
Kawbenaberi	id=g:2094312
Kawawoki Mission	id=g:2094313
Kawawoki	id=g:2094314
Kawauwu Island	id=g:2094315
Kawari	id=g:2094316
Kawaren	id=g:2094317
Kaware	id=g:2094318
Kawapena Mission	id=g:2094319
Kawang Island	id=g:2094320
Kawangglauma	id=g:2094321
Kawangam River	id=g:2094322
Kawambu	id=g:2094323
Kawaliap	id=g:2094324
Kawaliap	id=g:2094325
Kawaka	id=g:2094326
Kawa Island	id=g:2094327
Kawai Point	id=g:2094328
Kawaina 2	id=g:2094329
Kawaina 1	id=g:2094330
Kawa	id=g:2094331
Kavutu Point	id=g:2094332
Kavutu	id=g:2094333
Kavui Settlement Block	id=g:2094334
Kavugara Settlement Blocks	id=g:2094335
Kavuai Hills	id=g:2094336
Kavu	id=g:2094337
Mount Kavillamas	id=g:2094338
Kaviki	id=g:2094339
Kavieng Harbour	id=g:2094340
Kavieng District	id=g:2094341
Kavieng	id=g:2094342
Kaviapu	id=g:2094343
Kavianganga	id=g:2094344
Kaviananga	id=g:2094345
Kaviak	id=g:2094346
Kaveve	id=g:2094347
Kaveng Island	id=g:2094348
Kaveng	id=g:2094349
Kaveja Settlement Blocks	id=g:2094350
Kavavar River	id=g:2094351
Kavava Mission	id=g:2094352
Kavali	id=g:2094353
Kavaleka	id=g:2094354
Kavak 2	id=g:2094355
Kavak	id=g:2094356
Kavailo Plantation	id=g:2094357
Kavailo Bay	id=g:2094358
Kavailo	id=g:2094359
Kavai Creek	id=g:2094360
Kauwol River	id=g:2094361
Kauwo	id=g:2094362
Kauwis	id=g:2094363
Kauwa River	id=g:2094364
Kauwa	id=g:2094365
Kau’uakarua	id=g:2094366
Kaut Plantation	id=g:2094367
Kaut Harbour	id=g:2094368
Kautem Point	id=g:2094369
Mount Kautaira	id=g:2094370
Kautaga Island	id=g:2094371
Ok Kaut	id=g:2094372
Kaut	id=g:2094373
Kausimbi	id=g:2094374
Kausi	id=g:2094375
Kauruti	id=g:2094376
Kauruku	id=g:2094377
Kaurona	id=g:2094378
Kauris	id=g:2094379
Kauri	id=g:2094380
Kauravi	id=g:2094381
Kaurau	id=g:2094382
Kauraona Plantation	id=g:2094383
Kaurai Lagoon	id=g:2094384
Kaurai	id=g:2094385
Kaura Bay	id=g:2094386
Kaura	id=g:2094387
Kaura	id=g:2094388
Kauptimete Island	id=g:2094389
Kauptimete	id=g:2094390
Kaup Lagoon	id=g:2094391
Kaupki River	id=g:2094392
Kaupena	id=g:2094393
Kaup Bluffs	id=g:2094394
Kaupabienggaua	id=g:2094395
Kaupa	id=g:2094396
Kaup	id=g:2094397
Kaunkiol	id=g:2094398
Kaungko	id=g:2094399
Kaungava	id=g:2094400
Kaune Creek	id=g:2094401
Kaunangisi	id=g:2094402
Mount Kaumi	id=g:2094403
Kaumanga	id=g:2094404
Kaulz Creek	id=g:2094405
Kaul Plantation	id=g:2094406
Kaulo	id=g:2094407
Kaul Number 3	id=g:2094408
Kaul Number 2	id=g:2094409
Kaul Number 1	id=g:2094410
Kaukwi	id=g:2094411
Kaukum	id=g:2094412
Kaukomba River	id=g:2094413
Kaukomba	id=g:2094414
Kaukauai	id=g:2094415
Kaukari	id=g:2094416
Kauk	id=g:2094417
Kauk	id=g:2094418
Kau Island	id=g:2094419
Kauimbei	id=g:2094420
Kauimbei	id=g:2094421
Kauilikau	id=g:2094422
Kauil	id=g:2094423
Kauho Beach	id=g:2094424
Kaugiak	id=g:2094425
Kaugere	id=g:2094426
Kaugel River	id=g:2094427
Kauganggiku	id=g:2094428
Kau Creek	id=g:2094429
Kaubi	id=g:2094430
Kauberau	id=g:2094431
Kaubari	id=g:2094432
Kaubademki	id=g:2094433
Kaubabiangauma	id=g:2094434
Kaualagu	id=g:2094435
Kauaina	id=g:2094436
Kauaia	id=g:2094437
Kau	id=g:2094438
Katu Plantation	id=g:2094439
Katuna Creek	id=g:2094440
Katuna	id=g:2094441
Katumani Hamlet	id=g:2094442
Katom	id=g:2094443
Katokato	id=g:2094444
Ok Katok	id=g:2094445
Katobip	id=g:2094446
Kat Island	id=g:2094447
Katingan Aid Post and Mission	id=g:2094448
Katingan	id=g:2094449
Katika	id=g:2094450
Katigi	id=g:2094451
Katiati	id=g:2094452
Katiapa	id=g:2094453
Katiabia’iw	id=g:2094454
Katherine Harbour	id=g:2094455
Katepa	id=g:2094456
Katendan River	id=g:2094457
Katendan Plantation	id=g:2094458
Katendan	id=g:2094459
Kate Creek	id=g:2094460
Katebuang Plantation	id=g:2094461
Katatar	id=g:2094462
Katatai	id=g:2094463
Kataramupinti	id=g:2094464
Kataramunga Creek	id=g:2094465
Katapa	id=g:2094466
Katanga	id=g:2094467
Katana Division	id=g:2094468
Katamun	id=g:2094469
Katalusa	id=g:2094470
Katakatai	id=g:2094471
Kataipa	id=g:2094472
Katabil	id=g:2094473
Kasu 2	id=g:2094474
Kasumisi Number 2	id=g:2094475
Kasumi	id=g:2094476
Kasume Point	id=g:2094477
Kasuma	id=g:2094478
Kasua	id=g:2094479
Kasu	id=g:2094480
Kasu	id=g:2094481
Kasu	id=g:2094482
Kassa River	id=g:2094483
Kassam	id=g:2094484
Kassa Creek	id=g:2094485
Kasrenai	id=g:2094486
Kasoru	id=g:2094487
Kasokasa	id=g:2094488
Kasogu	id=g:2094489
Kaskas Island	id=g:2094490
Kaskas	id=g:2094491
Mount Kasini	id=g:2094492
Kasin	id=g:2094493
Kasiman	id=g:2094494
Kasim	id=g:2094495
Kasilamaka Passage	id=g:2094496
Kasi Hill	id=g:2094497
Kasiawa	id=g:2094498
Kasiabadina Creek	id=g:2094499
Kasia	id=g:2094500
Kasereng River	id=g:2094501
Kasepka Creek	id=g:2094502
Kaselock Plantation	id=g:2094503
Kaselock Mission	id=g:2094504
Kaselock	id=g:2094505
Kaseiru	id=g:2094506
Mount Kase	id=g:2094507
Kase	id=g:2094508
Kasarai	id=g:2094509
Kasanombe	id=g:2094510
Kasanmin Camp	id=g:2094511
Kasanmin	id=g:2094512
Kasangari Number 2	id=g:2094513
Kasangari Number 1	id=g:2094514
Kasangari	id=g:2094515
Kasanga	id=g:2094516
Kasana	id=g:2094517
Karu Plantation	id=g:2094518
Karup Hill	id=g:2094519
Karum Plantation	id=g:2094520
Karum Number 2	id=g:2094521
Karum Number 1	id=g:2094522
Karu Kussa	id=g:2094523
Karukaru	id=g:2094524
Karueri Creek	id=g:2094525
