Nahr al Braghūthīyat	id=g:6763876
Nahr al Gharībāwīyah	id=g:6763925
‘Abd ‘Alī	id=g:6763926
Nahr aş Şāyibah	id=g:6763927
Tall al Aḩmar	id=g:6763928
Nahr al Jamīlīyah	id=g:6763929
Ābār Abrūkh	id=g:6763930
Thānī Dawīmil	id=g:6763931
‘Āşī Sayyid Gharīb	id=g:6763932
‘Alī Shawī‘ Wālī	id=g:6763933
Jamīl Shahir Bānī	id=g:6763934
Tall al Madīj	id=g:6763935
Hawr Umm Kalūk	id=g:6763936
Hawr aş Şabḩīyah	id=g:6763937
Hawr Umm Gaţībah	id=g:6763938
Khilātī Khīr Allāh Khalaf	id=g:6763939
Sayyid Ḩamīrah	id=g:6763940
Tall al Bashā’r	id=g:6763941
Nāḩīyat al Bashā’r	id=g:6763942
Hawr al Braghūthīyah	id=g:6763943
Hawr ar Rashādah	id=g:6763944
Nahr ar Rāshāyah	id=g:6763945
Tall Karīmz	id=g:6763946
Nahr Umm Ţabīkh	id=g:6763947
Nahr al Karakah	id=g:6763948
Tall Juwīdir	id=g:6763949
Nahr al Jadīdah	id=g:6763950
Tall as Saḩal	id=g:6763951
Umm al Baţūs	id=g:6763952
Īshān Itlīl	id=g:6763953
Nahr Shadād	id=g:6763954
Nahr al Ḩanz̧alah	id=g:6763955
Dawb ash Shawīr	id=g:6763956
Tulūl al Fajīr	id=g:6763957
Nahr Umm al Baţūsh	id=g:6763958
Nahr Abhīyah	id=g:6763959
Tulūl ad Damīghah	id=g:6763960
Tall Abū ‘Ajil	id=g:6763961
Tulūl al Mafkar	id=g:6763962
Tulūl ‘Abrat al Faras	id=g:6763963
Nahr al Mafkar	id=g:6763964
Bayūt as Sayyid Marhaj	id=g:6763965
Bayūt Ḩasās al Halīl	id=g:6763966
Shabūţ ar Rāḑī	id=g:6763967
Bayūt Muḩammad	id=g:6763968
Tall Abū Jamājim	id=g:6763970
Muḩammad	id=g:6763971
‘Abd as Satār	id=g:6763972
Ţāḩūnat Jabr aţ Ţa‘īmah	id=g:6763973
Sayyid Hāshim	id=g:6763974
‘Arab Salmān	id=g:6763975
‘Arab Ţanāb	id=g:6763976
Khajim ‘Abd Allāh	id=g:6763977
Hawr al ‘Āliyah	id=g:6763978
Nahr as Suwīb	id=g:6763979
Nahr as Suwīb al Kabīr	id=g:6763980
Nahr ar Rashīdīyah	id=g:6763981
Hawr ad Dujīlah	id=g:6763982
Abū Dakhūt	id=g:6763983
Abū Duḩn	id=g:6763984
Wālī Jaşān	id=g:6763985
Wālī Ḩasān	id=g:6763986
‘Arab Ţa‘mah	id=g:6763987
Hawr Amarī‘āt	id=g:6763988
Nahr al Baţurah	id=g:6763989
Hawr aş Şamūmah	id=g:6763990
Īshān Amdīnah	id=g:6763991
Sayyid Sāchit	id=g:6763992
Tall al Wāgif	id=g:6763993
Shaḩīd ‘Alá Gāţ‘	id=g:6763994
Īshān Abūḩah	id=g:6763995
Nahr ar Raḩānī	id=g:6763996
Dawb Shayyib Qaşāb	id=g:6763997
Qal‘at Muḩammad al Qaşāb	id=g:6763998
‘Ajīl	id=g:6763999
Nahr al Magīlī	id=g:6764000
Thāmir	id=g:6764001
Al Jahādil	id=g:6764002
Minţaqat Mushrū‘ ad Dajīlah	id=g:6764003
Tall Gabat Ḩasan	id=g:6764004
Khayţ al Ḩamālīyat	id=g:6764005
Farjān al ‘Abīd wa ‘Abīd al Mashḩan	id=g:6764006
Tall al ‘Arbān	id=g:6764007
Tall al Ḩaḑābāt	id=g:6764008
Tall Ḩithābīyat ash Sharqī	id=g:6764009
Tall Ḩathābīyat ash Gharbī	id=g:6764010
Ḩajj Ghaḑib as Salāmah	id=g:6764011
Tall Abū Shajīr	id=g:6764012
Nahr Ma‘ārij	id=g:6764013
Tall Qabat ‘Abd	id=g:6764014
Al Amdīnah	id=g:6764015
Ash Sharqī ‘Abbas al Kāz̧am	id=g:6764016
‘Abūd ar Rīḩ	id=g:6764017
Şab‘ ash Shaḩīb	id=g:6764018
Kharā’ib Jabar Sharī	id=g:6764019
Tall al Mabakh	id=g:6764020
Tall Abū Khafwīyah	id=g:6764021
Kharā’ib Sayyid Saghīr	id=g:6764022
Kharā’ib Gaţaf al Ḩamr	id=g:6764023
Al Ḩājj Thāmir Ḩajlī	id=g:6764024
Tall Abū Ţārmah	id=g:6764025
Tall Abū Ţabrah	id=g:6764026
Īshān al Jarīmāt	id=g:6764027
Salmān ‘Abd ar Raḑā	id=g:6764028
Īshān as Sakrānīyah	id=g:6764029
Īshān Ḩasan aş Şaghīr	id=g:6764030
Tall ‘Abd Allāh	id=g:6764031
Tall az̧ Z̧alīmah	id=g:6764032
Tall Baḩīr Nān	id=g:6764033
Khayţ al Maḑāt	id=g:6764034
Tall Abū Ḑaba‘	id=g:6764035
Tall Sanāy	id=g:6764036
Īshān ar Rasīs	id=g:6764037
Īshān al Karashah	id=g:6764038
Tall Shawīr	id=g:6764039
Halhūl	id=g:6764040
Manārat Wāsiţ	id=g:6764041
Tall Manārat	id=g:6764042
Īshān Balū	id=g:6764043
Īshān Awrīd	id=g:6764044
Īshān as Şabīḩīyah	id=g:6764045
Īshān Kabah	id=g:6764046
Tall al Ḩīnīyah	id=g:6764047
Tall at Tuwīm	id=g:6764048
Tall ad Dasim	id=g:6764049
Īshān Bayāt al Jīlah	id=g:6764050
Īshān Abū Mafţa‘	id=g:6764051
Īshān Abū Malib	id=g:6764052
Īshān Abī Dhaybah	id=g:6764053
Tall Ibrāhīm	id=g:6764054
Tall ash Sha‘īb	id=g:6764055
Tall Dasmah	id=g:6764056
Tall Atharī	id=g:6764057
Īshān al Jalīyah	id=g:6764058
Īshān ad Dasam	id=g:6764059
Īshān Bayāt al Hawr	id=g:6764060
Īshān Baţrānah	id=g:6764061
Īshān Bayāt Abū Ḩamḑah	id=g:6764062
Īshān al ‘Aţrāt	id=g:6764063
Tulūl ar Radīyah	id=g:6764064
Tall Manjān	id=g:6764065
Tall Islīg	id=g:6764066
Īshān al Jarbās	id=g:6764067
Īshān aş Şawāwīn	id=g:6764068
Īshān Umm Buţah	id=g:6764069
Īshān as Sawkīyah	id=g:6764070
Īshān Bayāt al Hawr	id=g:6764071
Īshān Abū Rūs	id=g:6764072
‘Argūb ash Shamī	id=g:6764073
Shākhat Raqm Thilāthat ‘Ashur	id=g:6764074
Karīb Bin ‘Alī al Gharbī	id=g:6764075
Naḩū al Jābr	id=g:6764076
Nahr al Ishīdīyah	id=g:6764077
Nahr Abū Saba‘	id=g:6764078
Nahr Umm Ţabīkh	id=g:6764079
Nahr Abū ad Dakhn	id=g:6764080
Shākhat Asātah	id=g:6764081
Tall al Kabāb	id=g:6764082
Nahr an Nāşrīyah	id=g:6764083
Nahr al Bakāshī	id=g:6764084
Nahr al Bashshar	id=g:6764085
Jibāl aḑ Ḑab‘	id=g:6764531
Wādī Shuḩaymān	id=g:6764532
Jibāl aḑ Ḑab‘	id=g:6764533
Jibāl aḑ Ḑab‘	id=g:6764534
Jibāl aḑ Ḑab‘	id=g:6764535
Jibāl ‘Āmij	id=g:6764536
Wādī an Natūlīyah	id=g:6764537
Aḑ Ḑab‘	id=g:6764538
Sadd ‘Umayij	id=g:6764539
Khalaf	id=g:6764540
Jibāl al Ḩuzaymī	id=g:6764541
Al Ḩuzaymī	id=g:6764542
Tall Ja‘dān	id=g:6764543
Jabal ‘Ināb	id=g:6765372
Wādī Fayḑat al Akhirrah	id=g:6765373
Wādī al Khunfusān	id=g:6765374
Wādī Ţakākah	id=g:6765375
Wādī al ‘Ijl al Aḩmar	id=g:6765376
Wādī al Aḩmad	id=g:6765377
Qaryat al Khalīlīyah	id=g:6765378
Wādī Khābūlīyah	id=g:6765379
Dalyān Jassāb	id=g:6765380
Wādī ‘Inād	id=g:6765381
Wādī al Ab	id=g:6765382
Wādī Bū Ḑālī	id=g:6765383
Wādī al Bayḑah	id=g:6765384
Madīnat ‘Annat al Jadīdah	id=g:6765385
Wādī Rayḩānah	id=g:6765386
Wādī al Fuḩaymī	id=g:6765387
Wādī al Jams	id=g:6765388
Arāḑī as Salmās	id=g:6765389
Wādī al Fuḩaymī	id=g:6765390
Arāḑī ad Dawsah	id=g:6765391
Arāḑī al Jams	id=g:6765392
Wādī as Salmās	id=g:6765393
Arāḑī aş Şakrah	id=g:6765394
Wādī aş Şafā	id=g:6765395
Wādī Rijlat at Tayl	id=g:6765396
Wādī az Zurū‘	id=g:6765397
Wādī Mubārak	id=g:6765398
Wādī Rijlat at Tayl	id=g:6765399
Wādī al Mabradah	id=g:6765400
Wādī Khadir	id=g:6765401
Arāḑī Ḩaqlān	id=g:6765402
Wādī Kunaydah al Gharbī	id=g:6765403
Wādī Şayyāḩah	id=g:6765404
Wādī Fajīyah	id=g:6765405
Qaryat Ālbū Ḩayyāt	id=g:6765406
Qaryat al Haḑabah	id=g:6765407
Qaryat ash Sham‘ūn	id=g:6765408
Qaryat al Faz‘īyah	id=g:6765409
Qaryat al Wardīyah	id=g:6765410
Qaryat Duwaylīyah	id=g:6765411
Qaryat al Mashţūr	id=g:6765412
Qaryat al Ḩumayrīyah	id=g:6765413
Wādī al Aswadīyah	id=g:6765414
Wādī Nahr Dulāfā	id=g:6765415
Wādī al ‘Umayzīyah	id=g:6765416
Qaryat al Jabīn	id=g:6765417
Qaryat Şulayjīyah	id=g:6765418
Qaryat Şadr Zaghdān	id=g:6765419
Fawzī Dāwud	id=g:6765420
Qaryat al Khaffājīyah al Juwwānīyah	id=g:6765421
Qaryat Şadrakah	id=g:6765422
Qaryat ‘Alī Şāliḩ	id=g:6765423
Wādī Şaylajīyah	id=g:6765424
Qaryat Shubayrah	id=g:6765425
Qaryat Huraymiz	id=g:6765426
Qaryat al Bijārīyah	id=g:6765427
Qaryat Banī Rajjah	id=g:6765428
Minţaqat Sakrān	id=g:6765429
Wādī al Jadādīyah	id=g:6765430
Ḩayy al Wakalāt	id=g:6765431
Qaryat Damāmah	id=g:6765432
Bānsiz Yakhānah	id=g:6765433
Wādī ath Thanāyā	id=g:6765434
Al Ḩaqlānīyah al Gharbīyah	id=g:6765435
Qaryat Şarwīnah	id=g:6765436
Ḩayy Banī Dāhir	id=g:6765437
Wādī Damāmah	id=g:6765438
Qaryat ash Shā‘ī	id=g:6765439
Qaryat al Ḩuwayjah	id=g:6765440
Khasfat Salmān	id=g:6765441
Qaryat al Khasfah	id=g:6765442
Qaryat Banī Ḩārith	id=g:6765443
Qaryat ath Thamāniyah	id=g:6765444
Qaryat al Jisr	id=g:6765445
Samī‘ ‘Abbās	id=g:6765446
Wādī Shu‘aybah	id=g:6765447
Wādī aş Şaff	id=g:6765448
Qaryat ash Shaykh Jadīd	id=g:6765449
Maḩmūd al Ḩamad	id=g:6765450
Wādī al Khasfah	id=g:6765451
Wādī al Bārij	id=g:6765452
‘Arab Fulayḩ Ḩasan	id=g:6765453
Wādī Bashtah	id=g:6765454
Qaryat Sakrān an Namūdhajīyah	id=g:6765455
Simyān Muḩammad	id=g:6765456
‘Alī Būqān	id=g:6765457
Qaryat Abū Ţanjarah	id=g:6765458
Arāḑī Jammah	id=g:6765459
Khams Tulūl al Juwwānīyah	id=g:6765460
Wādī Jammah	id=g:6765461
Khams Tulūl al Fawqānīyah	id=g:6765462
Wādī Fakkat adh Dhahab	id=g:6765463
Wādī ‘Aryān	id=g:6765464
Wādī Abū Khurayb	id=g:6765465
Kārat ash Shaykh	id=g:6765466
Tulūl ‘Ayn ‘Aryān	id=g:6765467
Wādī Umm al Ḩijār	id=g:6765468
Wādī al Murān	id=g:6765469
Wādī ad Dayr	id=g:6765470
Wādī as Sa‘d	id=g:6765471
Wādī Jammah	id=g:6765472
Wādī al Māmisīyah	id=g:6765473
Wādī al Afḩaj	id=g:6765474
Wādī ad Dawālīb	id=g:6765475
Maşraf ar Rāfidayn	id=g:6765476
Maqbarat Ḩadīthah	id=g:6765477
Ma‘mal Ḩajar al Ḩaqlānīyah	id=g:6765478
Al Mansha’ah al ‘Āmmah li Sadd Hadīthah	id=g:6765479
Qaḑā’ Ḩadīthah	id=g:6765480
Wādī Ḩaqlān	id=g:6765481
Wādī al Akhḑar	id=g:6765482
Jisr ‘Ā’im	id=g:6765483
Tulaylāt az Zurk	id=g:6765848
Tulaylāt az Zurk	id=g:6765849
Miḑakhkhat Mā’ Duwaykhilah	id=g:6765850
Al Jāyish	id=g:6765851
Fayḑat ‘Uz̧mān	id=g:6765852
Ad Duwaykhilah	id=g:6765853
Ad Duwaykhilāt	id=g:6765854
‘Uz̧mān	id=g:6765855
Kūldazah	id=g:6768305
Kardamlā	id=g:6768306
Jālat Kardalah	id=g:6768307
Dūlat Sarat Muşţafá	id=g:6768308
Dūlat Sarat	id=g:6768309
Abū Khūrjah	id=g:6768310
Awmīr Māmakah	id=g:6768311
‘Alī Āwā	id=g:6768312
Ţūbazāwah	id=g:6768313
‘Abd Allāh Fātī	id=g:6768314
Barkan	id=g:6768315
Khūsrū	id=g:6768316
Sharghat al ‘Alī	id=g:6768317
Khazraj	id=g:6768318
Nahr Jūlak	id=g:6768319
Wādī Ḩasan Khamr	id=g:6768320
Sārī Cham aş Şughrá	id=g:6768321
Wādī Kūnat Shayr	id=g:6768322
Wādī Bājuwān	id=g:6768323
Wādī Shayran	id=g:6768324
Wādī ash Shakak	id=g:6768325
Kharbat Maḩmūd	id=g:6768326
Wādī Karūkan	id=g:6768327
Wādī Zandanah	id=g:6768328
Wādī ‘Amshah	id=g:6768329
Wādī Hadīyah	id=g:6768330
Qarghatū	id=g:6768331
Wādī Bū Jawrat Kazū	id=g:6768332
Wādī Māmah	id=g:6768333
Wādī Karīsh	id=g:6768334
Wādī Tāq Tāq	id=g:6768335
Wādī al Musalaḩ	id=g:6768336
Wādī Mūjrat	id=g:6768337
Wādī Kūrdah	id=g:6768338
Wādī al Kawr	id=g:6768339
Wādī Sī Sarr	id=g:6768340
Wādī Kūnat Raywī	id=g:6768341
Wādī Sī Kānyān	id=g:6768342
Khāşat Tīmārī	id=g:6768343
Dūhalah	id=g:6768344
Wādī at Tūl	id=g:6768345
Markaz Nāḩiyah Shuwān	id=g:6768346
Mu‘askar ad Dibis	id=g:6768347
Mu‘askar al Yarmūk	id=g:6768348
Kwtdzah	id=g:6768349
Bābā Kurkur	id=g:6768350
Yārwalī	id=g:6768351
Kūrjil	id=g:6768352
Kūrjil	id=g:6768353
Mu‘askar Ḩaţīn	id=g:6768354
Jabalīyah	id=g:6768355
Jadwal Khirr al Kīl	id=g:6768356
Kharḑārī	id=g:6769197
Zubaydah	id=g:6769198
Nahr Mīrzāyād	id=g:6769199
Īshān Şafār Sanadī	id=g:6769200
Tall Z̧abī	id=g:6769201
Tall Bandar	id=g:6769202
Ghālī	id=g:6769203
Khalaf aţ Ţāhir	id=g:6769204
Ismā‘īl al ‘Abbāsī	id=g:6769205
Kinānah	id=g:6769206
Ţāhir an Ni‘mah	id=g:6769207
Shiyā‘ aş Şafūk	id=g:6769208
Tall Bartalah	id=g:6769209
Tall Abū Ţālah	id=g:6769210
Janab Warwayshīd	id=g:6769211
Nisah	id=g:6769212
Īshān al Abyaḑ	id=g:6769213
Hawr ash Shuwaykīyah	id=g:6769214
Ash Shuwaykīyah	id=g:6769215
Madrasat al Jumhūrīyah	id=g:6769216
Abū Samīḩ	id=g:6769217
Abū Samīḩ	id=g:6769218
Abū Zarāyir	id=g:6769219
Makmūlāt	id=g:6769220
Nahr Shāyiţ al Qadīm	id=g:6769221
Nahr Shādī	id=g:6769222
Nahr aţ Ţarwīḩ al Qadīm	id=g:6769223
Nahr al Fawkaţ	id=g:6769224
Qabr al Chalb	id=g:6769225
Al ‘Algāyah	id=g:6769226
Maḩmūd al Amarhīd	id=g:6769227
Nahr al ‘Ubayd	id=g:6769228
Imām al Mahdī	id=g:6769229
Ḩajj ‘Aţīyah al Jabr	id=g:6769230
An Nu‘amānīyah	id=g:6769231
Qal‘at al Amīr	id=g:6769232
‘Ibār	id=g:6769233
Nahr ad Dujaylah	id=g:6769234
Ḩasan az Zanbūr	id=g:6769235
Nahr as Sabtīyah	id=g:6769236
Nahr Amsīgīţ	id=g:6769237
Sha‘lān al ‘Ali	id=g:6769238
Iskān	id=g:6769239
Nahr Akfīrī	id=g:6769240
Nahr ‘Az̧m	id=g:6769241
Akrīsh	id=g:6769242
Nahr Jadīdah	id=g:6769243
Nahr Namūsah al Ḩadīth	id=g:6769244
Nahr Umm Ḩalfīyah	id=g:6769245
Nahr Umm Sahlah	id=g:6769246
Nahr Umm Ţablah	id=g:6769247
Nahr Umm Rawīyah	id=g:6769248
‘Abd al Muḩsin	id=g:6769249
Nahr Umm aş Şukhūl	id=g:6769250
Nahr al Mutanfakhān	id=g:6769251
Nahr al Faīryah	id=g:6769252
Ḩusayn al ‘Ilyawī	id=g:6769253
Sayyid Khayūn	id=g:6769254
Ālbū Jābir	id=g:6769255
AI Malgāyah	id=g:6769256
Nahr al Kīs ar Rashīd	id=g:6769257
‘Ali al Amīr	id=g:6769258
Nahr Umm al Baznī	id=g:6769259
Baţār Rabī ‘ah	id=g:6769260
Al Baţār	id=g:6769261
Nahr Z̧āmin	id=g:6769262
Ar Rawīyah	id=g:6769263
Z̧āmin	id=g:6769264
Al Balḩah	id=g:6769265
Nahr al Aḩjal	id=g:6769266
Nahr Askun Akhawīyah	id=g:6769267
Muḩammad al Shamrānī	id=g:6769268
Nahr al Ḩāwī	id=g:6769269
Nahr Abū Ţabl	id=g:6769270
Nahr Karīm	id=g:6769271
Nahr Sarāy	id=g:6769272
Nahr al Marshīyah	id=g:6769273
Ālbū Başār	id=g:6769274
Abū Ḩanjah	id=g:6769275
Nahr al Maḩz̧am	id=g:6769276
Nahr al Abyaḑ	id=g:6769277
Al Mukhaţţam	id=g:6769278
Nahr Damūk	id=g:6769279
Nahr Damūk aş Şaghīr	id=g:6769280
Nahr al Kuraydī	id=g:6769281
Nahr ‘Arabīyah	id=g:6769282
Nahr al Mazak	id=g:6769283
Nahr Garmat Ali	id=g:6769284
Nahr ad Dubbīyah	id=g:6769285
Nahr Fahd	id=g:6769286
Nahr Manşūr	id=g:6769287
Nahr ash Shā‘ilīyah	id=g:6769288
‘Ali Jūdah	id=g:6769289
Al Qamar	id=g:6769290
Nahr Balbūl	id=g:6769291
Nahr Umm Hawlah	id=g:6769292
Ībrāhīm al ‘Azīz	id=g:6769293
Nahr Abū Ţablaj	id=g:6769294
Makkī al Kuraysī	id=g:6769295
Nahr al Māliḩ	id=g:6769296
Aḑ Ḑā‘īyāt	id=g:6769297
Nahr at Turk	id=g:6769298
Sawādah	id=g:6769299
Ar Rashīdah	id=g:6769300
Imām Sayyid Ramaḑān	id=g:6769301
Tulūl al Hawá	id=g:6769302
Sayyid Thāmir	id=g:6769303
Az̧ Z̧āfirīyah	id=g:6769304
Nahr Mayqaţ	id=g:6769305
Nahr Maţbag	id=g:6769306
Nahr Tall ‘Ugāb	id=g:6769307
Ash Shamrānī	id=g:6769308
Shammām	id=g:6769309
Tamām	id=g:6769310
Dawīlīyah	id=g:6769311
Madrasat ar Rashīd	id=g:6769312
Sayyid Andīwī	id=g:6769313
Nahr Dabbah al Milgāyah	id=g:6769314
Al ‘Algāyah	id=g:6769315
Madrasat Arba‘at ‘Ashar Tammūz	id=g:6769316
Arāḑī Umm Hulayl	id=g:6769317
As Sawādah	id=g:6769318
Nahr al Wadlah	id=g:6769319
Tulūl ar Ramaylī	id=g:6769320
Sayyid Muḩammad Ḩājj Jaşşāş	id=g:6769321
Mālik Ḩājj Jaşşāş	id=g:6769322
Ar Rumaylī	id=g:6769323
‘Uţaywī as Salmān	id=g:6769324
Maqbarat al Hīsh	id=g:6769325
Al Birţānī	id=g:6769326
Arāḑī Akrīsh	id=g:6769327
Nahrawān al Qadīm	id=g:6769328
Nahr Ash Shīb	id=g:6769329
Ahdīlān	id=g:6769330
Manārat Shuhadā’ al Atrāk	id=g:6769331
Mua‘ffar ‘Abbās	id=g:6769332
Umm Hīlānah	id=g:6769333
Al Falāḩīyah	id=g:6769334
‘Ubayd	id=g:6769335
Al Aylān	id=g:6769336
Sawādī	id=g:6769337
Al ‘Ajlān	id=g:6769338
Sāqiyat al Bayḑah	id=g:6769339
Al ‘Algāyah	id=g:6769340
Nahr an Nuşayfīyah	id=g:6769341
Ash Shāḑī al Gharbī	id=g:6769342
Ash Shāḑī ash Sharqī	id=g:6769343
Ash Shāḑī al Awsaţ	id=g:6769344
Nahr al ’Arīḑ	id=g:6769345
Jisr al Kūt	id=g:6769346
Al Aḩrār	id=g:6769347
Dākhil ‘Abd ’Awn	id=g:6769348
Zafīyah	id=g:6769349
Shākhat Abū Musallam	id=g:6769350
Jamdat Jarmah	id=g:6769351
Nahr al Mazik	id=g:6769352
Nahr al Fathr	id=g:6769353
Ālbū Jābir	id=g:6769354
Nahr Ţalab	id=g:6769355
Nahr Shakhkhah	id=g:6769356
Al Khāchīyah	id=g:6769357
Nahr an Naşr	id=g:6769358
Nahr Shayfī	id=g:6769359
Garrmat Miḑakhkhat ‘Abd al Razzāq	id=g:6769360
Al Makhaţţam	id=g:6769361
Aḑ Ḑā‘īyāt	id=g:6769362
Kanānah Banī Lām	id=g:6769363
Ibrāhīm al ‘Azīz	id=g:6769364
Al Amgāşīş	id=g:6769365
Nahr Abū Dukhn	id=g:6769366
Makhfar Ḩudūd Ḩāmr	id=g:6769402
Jadīdat ‘Ar‘Ar	id=g:6769403
Umm al Ghayrān	id=g:6769404
Rijlat ar Rūḩ	id=g:6769405
Majmma‘ Kumrukī	id=g:6769406
Tulūl al Juwayrāt	id=g:6769421
Minţaqat Tajma‘ al Badū	id=g:6769441
Ḑamān	id=g:6769442
Makhfar Ḩudūd Fāris	id=g:6769443
Makhfar Ḩudūd Jumayḩah	id=g:6769444
Wādī ath Thamīl aţ Ţawīl	id=g:6769451
Wādī ath Thamīlīyāt	id=g:6769452
Wādī Abū Ḩamām	id=g:6769453
Wādī Abū Yatīnah	id=g:6769454
Wādī al Ghadaf	id=g:6769455
Wādī al Mālḩ	id=g:6769456
Tulūl aţ Ţawāfiḩ	id=g:6769457
Wādī Abū Ḩahf	id=g:6769458
Wādī Sadīrah	id=g:6769459
Wādī Abū Kudūr	id=g:6769460
Wādī aţ Ţaḩaynīyāt	id=g:6769461
Wādī al ‘Arjāwī	id=g:6769462
Wādī ash Shaţbān	id=g:6769463
Wādī Abū Jahf	id=g:6769464
Wādī Rawthīyat al Ghadaf	id=g:6769465
Sha‘īb Abū Sijlah	id=g:6769466
Rijlat Abū Jahf	id=g:6769467
Ghadīr ash Shaţbān	id=g:6769468
Al ‘Arjāwīyāt	id=g:6769469
Khashm al ‘Arjāwī	id=g:6769470
Ar Rumaylīyāt	id=g:6769471
Wādī al ‘Arjāwī	id=g:6769472
Tulūl ad Daḩal	id=g:6769473
Tulūl Abū Ghurayrīyāt	id=g:6769474
Tall Kuraydī aţ Ţawānī	id=g:6769475
Minţaqat ‘Asaylah	id=g:6769476
Arāḑī al Kaşbayr	id=g:6769477
‘Ayn Umm al Qār	id=g:6769478
Arāḑī ar Rawḑah	id=g:6769479
Tulūl al ‘Awj	id=g:6769480
Tulūl ar Rafḩ	id=g:6769481
Qārat ash Shaţbān	id=g:6769482
Kūr as Sawd	id=g:6769483
Tulūl aţ Ţawāfiḩ	id=g:6769484
Rijlat ash Shaţbān	id=g:6769485
Tulūl Hubaylah	id=g:6769501
Wādī al Ayrānah	id=g:6769502
Wādī ‘Awdartah	id=g:6769503
Wādī al Fuwayrah	id=g:6769504
Biyār al Jawkhah	id=g:6769505
Wādī al Fārah	id=g:6769506
Qaryat aţ Ţārqah	id=g:6770225
Qaryat Ḩanaf	id=g:6770226
Qaryat as Sa‘dīyah	id=g:6770227
Qaryat al Ja‘farīyah	id=g:6770228
Qaryat al Karāmat al ‘Aşrīyah	id=g:6770229
Qaryat Ḩawḑ Thalāthat ‘Ashar	id=g:6770230
Qaryat al ‘Ubaydīyah	id=g:6770231
Aswad Muḩammad Ḩassan	id=g:6770232
Qaryat ad Dāwudīyah	id=g:6770233
Yāsīn Muḩammad Khaḑar	id=g:6770234
Qaryat al Jāsmīyah	id=g:6770235
Tall Kayşūmah	id=g:6770236
Qaryat Kayşūmah	id=g:6770237
Qaryat Tulūl Dhiyāb	id=g:6770238
Sayyid ‘Alī Muşţafá	id=g:6770239
Tall al Laḩam	id=g:6770240
Qaryat Tall al Laḩam	id=g:6770241
Qaryat Ḩusayn Na‘īm	id=g:6770242
Salmān Ḩamīd	id=g:6770243
Ḩusayn Salmān	id=g:6770244
Khalaf Bilāl	id=g:6770245
Qaryat Ḩawḑ Thamānīyat ‘Ashar	id=g:6770246
Majūl ‘Alīj	id=g:6770247
Ḩusayn ‘Alī Murād	id=g:6770248
Qaryat al Murādīyah	id=g:6770249
Qaryat Tabbah Karah	id=g:6770250
Tall as Sarāy	id=g:6770251
Ḩamad Sharjī	id=g:6770252
Qaryat Sarāy al Faḑal	id=g:6770253
Khalīfat Jāsim	id=g:6770254
Qaryat Sarhīd al Maţar	id=g:6770255
Qaryat ‘Alī Sulţān	id=g:6770256
Qaryat Abū Şakhrah	id=g:6770257
‘Abd Allāh Muḩammad Ḩusayn	id=g:6770258
Qaryat Marba‘	id=g:6770259
Qaryat al Qasāmīyah	id=g:6770260
Qaryat Adhirabān	id=g:6770261
‘Ajāj Muḩsin	id=g:6770262
Qaryat Kan‘ān	id=g:6770263
Mahdī Şāliḩ	id=g:6770264
Sarhīd Khalaf	id=g:6770265
Ḩamad Khalaf	id=g:6770266
‘Īsá Aḩmad	id=g:6770267
