Bukii Tikup	id=g:6971345
Dongkala	id=g:6971471
Bukitremaja	id=g:6971472
Tanjung Walangi	id=g:6971473
Belo	id=g:6971474
Liwumpatu	id=g:6971475
Bajoberese	id=g:6971476
Kase	id=g:6971477
Tolando	id=g:6971478
Topa	id=g:6971479
Baliara	id=g:6971481
Teomokole	id=g:6971482
Benteng Watuparangga	id=g:6971483
Tanjung Perak	id=g:6971484
Benteng Watu Watarapa	id=g:6971485
Rahadopi	id=g:6971486
Sampalakambula	id=g:6971487
Benteng Tukutari	id=g:6971488
Benteng Tabulagi	id=g:6971489
Tangkeno	id=g:6971490
Benteng Ebolangka	id=g:6971491
Gunung Wumbuntandasa	id=g:6971492
Lameroro	id=g:6971493
Ulungkura	id=g:6971494
Langkema	id=g:6971495
Gunung Pontimutui	id=g:6971496
Tanjung Lemo	id=g:6971497
Teluk Watekule	id=g:6971498
Teluk Tabaro	id=g:6971499
Pulau Taraha	id=g:6971500
Batuawu	id=g:6971501
Gunung Tangkenoea	id=g:6971502
Pegunungan Malapulu	id=g:6971503
Pulau Bungiolo	id=g:6971504
Bungiite	id=g:6971505
Teluk Kalaero	id=g:6971506
Tanjung Kalaero	id=g:6971507
Pegunungan Kaliasin	id=g:6971508
Pegunungan Wulaende	id=g:6971509
Toroau	id=g:6971510
Purano	id=g:6971511
Tanjung Ngutuno	id=g:6971512
Tanjung Toromaginte	id=g:6971513
Teluk Labangko	id=g:6971514
Tanjung Bangko	id=g:6971515
Malapulu	id=g:6971516
Tanjung Kaliasin	id=g:6971517
Teluk Maluga	id=g:6971518
Wulaende	id=g:6971519
Teluk Apiapi	id=g:6971520
Tanjung Apiapi	id=g:6971521
Tanjung Sogado	id=g:6971522
Teluk Sogado	id=g:6971523
Tanjung Airbatu	id=g:6971524
Gunung Batu	id=g:6971525
Pulau Wali Besar	id=g:6971526
Pulau Wali Kecil	id=g:6971527
Teluk Bugis	id=g:6971528
Ee Lakampula	id=g:6971529
Ee Watarada	id=g:6971530
Ee Ea	id=g:6971531
Ee Bolanta	id=g:6971532
Ee Ngkobura-Bura	id=g:6971533
Ee Rarahua	id=g:6971534
Ee Lameowea	id=g:6971535
Ee Puununu	id=g:6971536
Ee Wawodewa	id=g:6971537
Ee Lampedomi	id=g:6971538
Ee Ngutuno	id=g:6971539
Ee Babuuwa	id=g:6971540
Ee Lapulu	id=g:6971541
Ee Sangia	id=g:6971542
Ee Tawo	id=g:6971543
Ee Paku	id=g:6971544
Ee Lampaku	id=g:6971545
Ee Latarawona	id=g:6971546
Kecamatan Kabaena Barat	id=g:6971547
Kecamatan Kabaena Timur	id=g:6971548
La Hampaku	id=g:6973876
Balo	id=g:6973877
Balobalo	id=g:6973878
Tolitoli	id=g:6973879
Tanjung Lore	id=g:6973880
La Lampamanu	id=g:6973881
Bukit Wumuntadoha	id=g:6973882
Bukit Wumburano	id=g:6973883
Bungi Towea	id=g:6973884
La Rumbia	id=g:6973885
Tapuhaka Lama	id=g:6973886
La Lambale	id=g:6973887
Tanjung Damalawa	id=g:6973888
Pulau Damalawa Kecil	id=g:6973889
Teluk Mustari	id=g:6973890
Tanjung Mustari	id=g:6973891
Teluk Olaro	id=g:6973892
Tanjung Tikus	id=g:6973893
La Kalumpa	id=g:6973894
Teluk Kalumpa	id=g:6973895
Tanjung Mangka	id=g:6973896
Wolala	id=g:6973897
Tanjung Wolala	id=g:6973898
Teluk Wolala	id=g:6973899
Pegunungan Wulu	id=g:6973900
Teluk Taloe	id=g:6973901
Wulu	id=g:6973902
Teluk Kalimbungu	id=g:6973903
La Kalimbungu	id=g:6973904
Pegunungan Bonemakata	id=g:6973905
Tanjung Wamorapa	id=g:6973906
Teluk Wabula	id=g:6973907
Tanjung Bonemakata	id=g:6973908
Talaga Dua	id=g:6973909
Tanjung Sangkuria	id=g:6973910
Teluk Pangulia	id=g:6973911
Tanjung Potanduia	id=g:6973912
Teluk Potanduia	id=g:6973913
Talaga Besar	id=g:6973914
Selat Potanduia	id=g:6973915
Selat Damalawa	id=g:6973916
Tapuhaka	id=g:6973917
Kecamatan Mawasangka	id=g:6973940
Wouli	id=g:6973941
Sauntiri	id=g:6973942
Ujung Laboba	id=g:6973943
Balobone	id=g:6973944
Polindu	id=g:6973945
Balano	id=g:6973946
Lolibu	id=g:6973947
Wasilomata Dua	id=g:6973948
Langkomu	id=g:6973949
Molampino	id=g:6973950
Mapalenda	id=g:6973951
Wasilomata Satu	id=g:6973952
Paria	id=g:6973953
Katukobari	id=g:6973954
Lianabanggai	id=g:6973955
Mbela-mbela	id=g:6973956
Labesu	id=g:6973957
Lamaraja	id=g:6973958
Batubanawa	id=g:6973959
Lasori	id=g:6973960
Watorumbe	id=g:6973961
Balo	id=g:6973962
Danau Airasin	id=g:6973963
Bungi	id=g:6973964
Teluk Lasori	id=g:6973965
Tanjung Sampelakera	id=g:6973966
Kancebungi	id=g:6973967
Gumanano	id=g:6973968
Bonemarambe	id=g:6973969
Lamena	id=g:6973970
Sapa Retah	id=g:6973975
Sapa Tarapimpi	id=g:6973976
Pasi Pandolangi	id=g:6973977
Teluk Tontodongkala	id=g:6973978
Teluk Aloalo	id=g:6973979
Tanjung Aloalo	id=g:6973980
Tanjung Tontodongkala	id=g:6973981
Gunung Pangi	id=g:6973982
Teluk Tallabassi Besar	id=g:6973983
Teluk Karangan	id=g:6973984
Tanjung Karangan	id=g:6973985
Tanjung Boepapa	id=g:6973986
Ee Lengora	id=g:6973987
Gunung Keume	id=g:6973988
Gunung Tallabassi	id=g:6973989
Gunung Belulu	id=g:6973990
Tanjung Tallabassi	id=g:6973991
Pulau Dahudahu	id=g:6973992
Tanjung Dahudahu	id=g:6973993
Tanjung Lore	id=g:6973994
Teluk Belulupi	id=g:6973995
Ee Belulupi	id=g:6973996
Mone	id=g:6974001
Bombonawulu	id=g:6974002
Rahia	id=g:6974003
Metere	id=g:6974004
Moko	id=g:6974005
Lowulowumorikana	id=g:6974006
Koo	id=g:6974007
Batubanawa	id=g:6974008
Pasirpanjang Selatan	id=g:6974009
Lakasopi	id=g:6974010
Sekarsari	id=g:6974011
Tanjung Batupodangka	id=g:6974012
Uneume	id=g:6974013
Wakeakea	id=g:6974014
Kecamatan Gu	id=g:6974015
Gunung Bombonawulu	id=g:6974016
Wongkobombonawulu	id=g:6974017
Wongkolakudo	id=g:6974018
Nepanepa	id=g:6974019
Kecamatan Lakudo	id=g:6974020
Gunung Pangilia	id=g:6974021
Potoa	id=g:6974022
Balobuea	id=g:6974023
Kolowa	id=g:6974024
Tolandona	id=g:6974025
Barutamaradika	id=g:6974026
Doda	id=g:6974027
Manuru	id=g:6974028
Barutaanalalaki	id=g:6974029
Bukit Watondo	id=g:6974030
Kolagana	id=g:6974031
Wanajati	id=g:6974032
Tampuna	id=g:6974033
Wonco	id=g:6974034
Darmaloka	id=g:6974035
Balidwipa	id=g:6974036
Pegunungan Wonco	id=g:6974037
Umala Malaoge	id=g:6974038
Umala Liabuku	id=g:6974039
Liabuku	id=g:6974040
Subur	id=g:6974041
Makmur	id=g:6974042
Benteng	id=g:6974043
Wamembe	id=g:6974044
Umala Wonco	id=g:6974045
Kalialia	id=g:6974046
Lowulowu	id=g:6974047
Tanjung Pomongkoa	id=g:6974048
Waara	id=g:6974049
Maadongka	id=g:6974050
Tanjung Wandoridi	id=g:6974051
Tanjung Labuea	id=g:6974052
Pulau Makassar	id=g:6974053
Sukanayo	id=g:6974054
Banabungi	id=g:6974055
Umala Pagi	id=g:6974056
Lakologou	id=g:6974057
Pendaratan	id=g:6974058
Kopalia	id=g:6974059
Kecamatan Sorawolio	id=g:6974060
Gunung Wokokili	id=g:6974061
Kecamatan Bungi	id=g:6974062
Bukit Wangkapopo	id=g:6974063
Amanasi	id=g:6974064
Karyabaru	id=g:6974065
Kaisabu	id=g:6974066
Kabauria	id=g:6974067
Kombakomba	id=g:6974068
Wakonti	id=g:6974069
Kecamatan Wolio	id=g:6974070
Gunungsari	id=g:6974071
Palatiga	id=g:6974072
Katobengke	id=g:6974073
Bonebone	id=g:6974074
Tarafu	id=g:6974075
Wameo	id=g:6974076
Kaubula	id=g:6974077
Lanto	id=g:6974078
Nganganaumala	id=g:6974079
Wale	id=g:6974080
Batulo	id=g:6974081
Kadolomoko	id=g:6974082
Wangkanapi	id=g:6974083
Tanahabang	id=g:6974084
Bataraguru	id=g:6974085
Baadia	id=g:6974086
Melai	id=g:6974087
Lamangga	id=g:6974088
Tanjung Batubutih	id=g:6974089
Lapangan Terbang Betoambari	id=g:6974090
Palagimata	id=g:6974091
Labuantae	id=g:6974092
Waborobo	id=g:6974093
Umala Baubau	id=g:6974094
Hendea	id=g:6974095
Kota Administratip Baubau	id=g:6974096
Kaisabu Baru	id=g:6974097
Lakudo	id=g:6974098
Wanepanepa	id=g:6974099
Betoambari	id=g:6974100
Wajo	id=g:6974101
Teluk Kampeonahu	id=g:6974102
Pegunungan Wakalambe	id=g:6974103
Ngkaniuniu	id=g:6974104
Palapusa	id=g:6974105
Teluk Tolandona	id=g:6974106
Teluk Waara	id=g:6974107
Kecamatan Betoambari	id=g:6974108
Tomba	id=g:6974109
Umala Wakalambe	id=g:6974110
Watulea	id=g:6974111
Gunu Warombia	id=g:6974112
Gunu Siantopina	id=g:6974113
Kumele Kowiana	id=g:6974114
Kumele Tondo	id=g:6974115
Kumele Winto	id=g:6974116
Gunu Katipi	id=g:6974117
Kumele Lapipi	id=g:6974118
Kumele Wahalaka	id=g:6974119
Wakantolalo	id=g:6974120
Walompo	id=g:6974121
Bajo	id=g:6974122
Bungi	id=g:6974123
Simpangan	id=g:6974124
Kilometersatu	id=g:6974125
Kabongka	id=g:6974126
Kumele Kabungka	id=g:6974127
Galanti	id=g:6974128
Waole	id=g:6974129
Laganda	id=g:6974130
Tanamaeta	id=g:6974131
Wasaga	id=g:6974132
Kumele Wasaga	id=g:6974133
Kumele Wakoko	id=g:6974134
Wakoko	id=g:6974135
Labahawa	id=g:6974136
Barabaa	id=g:6974137
Banauwe	id=g:6974138
Wakaokili	id=g:6974139
Kaongkeongkea	id=g:6974140
Saragi	id=g:6974141
Kecamatan Pasarwajo	id=g:6974142
Aalaa Paria	id=g:6974146
Lagoga	id=g:6974147
Kasabolo	id=g:6974148
Soreangtiworo	id=g:6974149
Tanjung Beropa	id=g:6974150
Aalaa Laea	id=g:6974151
Kalibaru	id=g:6974152
Pulausope	id=g:6974153
Boeasing	id=g:6974154
Aalaa Ea	id=g:6974155
Koro Gumekasi	id=g:6974197
Koro Sikoy	id=g:6974198
Buyu Sinara	id=g:6974199
Kuala Bongka	id=g:6974200
Buyu Bino	id=g:6974201
Koro Sangkapuyu	id=g:6974202
Koro Maliwuko	id=g:6974203
Buyu Kanato	id=g:6974204
Buyu Watumoana	id=g:6974205
Koro Kauru	id=g:6974206
Kuala Menandar	id=g:6974207
Kecamatan Ulubongka	id=g:6974218
Ue Salibuko	id=g:6974219
Ue Kalincu	id=g:6974220
Ue Marao	id=g:6974221
Ue Bongka Kodi	id=g:6974222
Ue Malogu	id=g:6974223
Kawahang	id=g:6974229
Niambangeng	id=g:6974230
Beba	id=g:6974231
Batu Kapal	id=g:6974232
Salu Batusuki	id=g:6974233
Salu Batukole	id=g:6974234
Salu Mamlebuhe	id=g:6974235
Salu Batubulan	id=g:6974236
Salu Kamba	id=g:6974237
Tonggeng Batubulan	id=g:6974238
Batubulan	id=g:6974239
Batubulan Bulude	id=g:6974240
Salu Kaloko	id=g:6974241
Nameng	id=g:6974242
Lengke	id=g:6974243
Bukide	id=g:6974244
Tonggeng Nameng	id=g:6974245
Tonggeng Bukide	id=g:6974246
Tonggeng Batupuki	id=g:6974247
Hiung	id=g:6974248
Salu Kiawang	id=g:6974249
Salu Kinali	id=g:6974250
Salu Batuare	id=g:6974251
Salu Saboang	id=g:6974252
Salu Binang	id=g:6974253
Salu Eli	id=g:6974254
Salu Ehase	id=g:6974255
Kakalabe	id=g:6974256
Limo	id=g:6974257
Apelawo	id=g:6974258
Tawara	id=g:6974259
Lantang	id=g:6974260
Deahe	id=g:6974261
Moade	id=g:6974262
Salu Deahe	id=g:6974263
Tonggeng Apelawo	id=g:6974264
Tonggeng Lantang	id=g:6974265
Tonggeng Moade	id=g:6974266
Tonggeng Sensong	id=g:6974267
Tonggeng Nagha	id=g:6974268
Salu Sumpihi	id=g:6974269
Salu Nanitu	id=g:6974270
Salu Sense	id=g:6974271
Kinali	id=g:6974272
Winangon	id=g:6974273
Mini	id=g:6974274
Salu Beha	id=g:6974275
Salu Timbelang	id=g:6974276
Sawang Kanang	id=g:6974277
Bulude Kalai	id=g:6974278
Salu Lia	id=g:6974279
Salu Madalung	id=g:6974280
Gesang	id=g:6974281
Salu Gesang	id=g:6974282
Salu Sahau	id=g:6974283
Salu Kanang	id=g:6974284
Tumbira	id=g:6974285
Ingge	id=g:6974286
Kali	id=g:6974287
Salu Ingge	id=g:6974288
Salu Kali	id=g:6974289
Tonggeng Kanuku	id=g:6974290
Lehi	id=g:6974291
Toto	id=g:6974292
Kanawong	id=g:6974293
Kahawungan	id=g:6974294
Tonggeng Manangehe	id=g:6974295
Salu Liang	id=g:6974296
Salu Batang	id=g:6974297
Salu Pemekaan	id=g:6974298
Tonggeng Tanggaliang Betu	id=g:6974299
Tonggeng Tanggaliang	id=g:6974300
Pelabuhan Pehe	id=g:6974301
Salu Toto	id=g:6974302
Manangehe	id=g:6974303
Tonggeng Kanang	id=g:6974304
Kecamatan Siau Barat	id=g:6974305
Kecamatan Siau Timur	id=g:6974306
Tanjung Torobero	id=g:6977096
Tanjung Lamoa	id=g:6977097
Malandahilaut	id=g:6977098
Tanjung Malandahi	id=g:6977099
Malandahidarat	id=g:6977100
Tanjung Lassisie	id=g:6977101
Tanjung Labota	id=g:6977102
Labota	id=g:6977103
Pulau Bangko	id=g:6977104
Selat Batu Macindong	id=g:6977105
Pulau Pasiewakube	id=g:6977106
La Molea	id=g:6977107
Tanjung Melati	id=g:6977108
Ketalaposu	id=g:6977109
Pilanoa	id=g:6977110
Subar	id=g:6977111
Ee Sangiang	id=g:6977112
Ee Omalaate	id=g:6977113
Tanjungmelati	id=g:6977114
Olohaka	id=g:6977115
Buntila	id=g:6977116
Ee Pamali	id=g:6977117
Pulau Talinga	id=g:6977118
Tanjung Monepiano	id=g:6977119
Ee Monepiano	id=g:6977120
Teluk Labota	id=g:6977121
Eemokolo	id=g:6977122
Teluk Pikoloa	id=g:6977123
Pikoloa	id=g:6977124
Buntila	id=g:6977125
Ee Pikaloa	id=g:6977126
Ranomakembo	id=g:6977127
Tanjung Mustira	id=g:6977128
Pasarmustari	id=g:6977129
Danau Mahembo	id=g:6977130
La Napo	id=g:6977131
Pulau Dudu Kecil	id=g:6977132
Pulau Dudu Besar	id=g:6977133
Rahantari	id=g:6977134
Lamonggi	id=g:6977135
Gunung Katopikecil	id=g:6977136
Gunung Katopibesar	id=g:6977137
Gunung Waombu	id=g:6977138
La Waombo	id=g:6977139
Gunung Takenoea	id=g:6977140
Gunung Lamolea	id=g:6977141
Gunung Moolo	id=g:6977142
Gunung Watuburi	id=g:6977143
Lengora	id=g:6977144
La Rano	id=g:6977145
Gunung Lengora	id=g:6977146
Ee Pekoyaa	id=g:6977147
Gunung Onemotto	id=g:6977148
Teluk Boepapa	id=g:6977149
Tanjung Boepapa	id=g:6977150
La Rolano	id=g:6977151
Ee Malandahi	id=g:6977152
Teluk Malandahi	id=g:6977153
Pising Bugis	id=g:6977154
Kontumere	id=g:6977168
Lamaeo	id=g:6977169
Fopanda	id=g:6977170
Lakasa	id=g:6977171
Laiba	id=g:6977172
Sungai Labulubulu	id=g:6977173
Sungai Logmio	id=g:6977174
Kawite-wite	id=g:6977175
Passi Mandara	id=g:6977176
Passi Kuta	id=g:6977177
Tapi-tapi	id=g:6977178
Tanjung Tapi-tapi	id=g:6977179
Wadolao	id=g:6977180
Teluk Wasolangka	id=g:6977181
Napa	id=g:6977182
Kampungbaru	id=g:6977183
Labalia	id=g:6977184
Lakaponu	id=g:6977185
Latongku	id=g:6977186
Lagholobatu	id=g:6977187
Kosundano	id=g:6977188
Oelongko	id=g:6977189
Lawakala	id=g:6977190
Marobo	id=g:6977191
Guda	id=g:6977192
Teluk Marobo	id=g:6977193
Tanjung Marobo	id=g:6977194
Sungai Marobo	id=g:6977195
Bottu	id=g:6977196
Labunta	id=g:6977197
Bonetondo	id=g:6977198
Kaliwu-liwu	id=g:6977199
Bonekacitala	id=g:6977200
Kecamatan Wakuru	id=g:6977201
Sungai Kuleselaso	id=g:6977202
Matomura	id=g:6977203
Mone	id=g:6977204
Waburonse	id=g:6977205
Tanjung Tampunawu	id=g:6977206
Passi Lamali	id=g:6977207
Bajoe	id=g:6977208
Teluk Kandani	id=g:6977209
Sungai Bala-bala	id=g:6977210
Polindu	id=g:6977211
Tanailandu	id=g:6977212
Kecamatan Parigi	id=g:6977213
Sungai Lambalano	id=g:6977214
Sungai Lamanu	id=g:6977215
Kecamatan Kapontori	id=g:6977216
Lamarada	id=g:6977217
Wakonawe	id=g:6977218
Wakaweo	id=g:6977219
Kalomba	id=g:6977220
Teluk Tompano	id=g:6977221
Labulawa	id=g:6977222
Latede	id=g:6977223
Teluk Todanga	id=g:6977224
Umele Ranasa	id=g:6977225
Todanga	id=g:6977226
Lano Bungi	id=g:6977227
Bone	id=g:6977228
Lano Tompano	id=g:6977229
Lano Bone	id=g:6977230
Gunu Lambelu	id=g:6977231
Umele Ombo	id=g:6977232
Teluk Kapontori	id=g:6977233
Tanjung Kamponea	id=g:6977234
Tanjung Kapoloka	id=g:6977235
Wawoncusu	id=g:6977236
Watambo	id=g:6977237
Pulau Waudu	id=g:6977238
Mataompana	id=g:6977239
Umele Labelago	id=g:6977240
Wapaneana	id=g:6977241
Kalaka	id=g:6977242
Gunu Embusan	id=g:6977243
Restubuana	id=g:6977244
Kaweli	id=g:6977245
Talingko	id=g:6977246
Umele Lisuwasini	id=g:6977247
Gunu Kamosope	id=g:6977248
Latembe	id=g:6977249
Tanjung Gadigadi	id=g:6977250
Kampungmuara	id=g:6977251
Tanjung Wakalancue	id=g:6977252
Pongkowulu	id=g:6977253
Lagundi	id=g:6977254
Wakansoro	id=g:6977255
Tanjung Wakansoro	id=g:6977256
Minanga Lagundi	id=g:6977257
Minanga Kambowa	id=g:6977258
Minanga Pongkowulu	id=g:6977259
Umala Sinapuli	id=g:6977260
Umala Mompenga	id=g:6977261
Umala Batuawu	id=g:6977262
Umala Tandoompure	id=g:6977263
Suandala	id=g:6977264
Kaluku	id=g:6977265
Lagunturu	id=g:6977266
Kawunawuna	id=g:6977267
Kampungpemuda	id=g:6977268
Bajo	id=g:6977269
Lapuli	id=g:6977270
Umala Lawele	id=g:6977271
Gunu Kabumbu Kopea	id=g:6977272
Umala Toruku	id=g:6977273
Toruku	id=g:6977274
Labundobundo	id=g:6977275
Kakenauwe	id=g:6977276
Mata	id=g:6977277
Umala Dongkula	id=g:6977278
Tanjung Latede	id=g:6977279
Kecamatan Poleang Timur	id=g:6977290
Aalaa Moauno	id=g:6977291
Lemboea Satu	id=g:6977292
Lemboea Dua	id=g:6977293
Aalaa Seserekaea	id=g:6977294
Opali	id=g:6977295
Padamalori	id=g:6977296
Aalaa Rarompana	id=g:6977297
Aalaa Rarompana	id=g:6977298
Rambaha	id=g:6977299
Poo	id=g:6977300
Kecamatan Poleang	id=g:6977301
Tandebura	id=g:6977302
Peoho	id=g:6977303
Arjosari	id=g:6977304
Kukutio	id=g:6977305
Kapukapura Toburi	id=g:6977306
Entekolo	id=g:6977307
Ranongkoya	id=g:6977308
Tuluto	id=g:6977309
Kecamatan Rumbia	id=g:6977310
Aalaa Lausu	id=g:6977311
Aalaa Ewbululu	id=g:6977312
Aalaa Inotunowua	id=g:6977313
Aalaa Watuwatu	id=g:6977314
Peohoa	id=g:6977315
Sawey Dua	id=g:6977316
Aalaa Raurau	id=g:6977317
Labayu	id=g:6977318
Lawaea	id=g:6977319
Lerentapupu	id=g:6977320
Torodono	id=g:6977321
Kabotu	id=g:6977322
Talabente	id=g:6977323
Sangkona	id=g:6977324
Pasi Toboa	id=g:6977325
Lauru	id=g:6977326
Aalaa Retenoea	id=g:6977327
Tapoahi	id=g:6977328
Selle	id=g:6977329
Pasi Padanga	id=g:6977330
Saeyo	id=g:6977331
Maloa	id=g:6977332
Pasi Bero	id=g:6977333
Kecamatan Kambara	id=g:6977820
Kecamatan Kabawo	id=g:6977822
Lupia	id=g:6977824
Sungai Wakobalu	id=g:6977826
Sungai Lameleiya	id=g:6977828
Sungai Laangsangia	id=g:6977830
Bangko	id=g:6977832
Teluk Tanjungbatu	id=g:6977834
Passi Toboang	id=g:6977836
Wadana	id=g:6977838
Demplot	id=g:6977840
Lasama	id=g:6977842
Walegalega	id=g:6977844
Waturempe	id=g:6977846
Danila	id=g:6977848
Lanubangka	id=g:6977850
Gala	id=g:6977852
Passi Matobura	id=g:6977854
Teluk Lakabu	id=g:6977856
Teluk Wanseriwu	id=g:6977858
Teluk Wanseriwulama	id=g:6977860
Teluk Katangana	id=g:6977862
Sungai Wanseriwu	id=g:6977864
Sungai Lakabu	id=g:6977866
Sungai Langkulangku	id=g:6977868
Sungai Waturempe	id=g:6977870
Sungai Kasimpa	id=g:6977872
Aalaa Doule	id=g:6977894
Aalaa Kandowo	id=g:6977895
Aalaa Jawijawi	id=g:6977896
Aalaa Uemata	id=g:6977897
Durian	id=g:6977898
Aalaa Lantari	id=g:6977899
Aalaa Robu	id=g:6977900
Tembe	id=g:6977901
Katela	id=g:6977902
Lano Bua	id=g:6977903
Sungai Guali	id=g:6977904
Tanjung Toropapa	id=g:6977905
Sungai Wadahu	id=g:6977906
Sungai Matundu	id=g:6977907
Sungai Remba	id=g:6977908
Sungai Labunti	id=g:6977909
Labalue	id=g:6977910
Laiworu	id=g:6977911
Raha Tiga	id=g:6977912
Lampogu	id=g:6977913
Wanse	id=g:6977914
Raha Dua	id=g:6977915
Tula	id=g:6977916
Raha Satu	id=g:6977917
Lagasa	id=g:6977918
Ghonebalano	id=g:6977919
Ghonsume	id=g:6977920
Duruka	id=g:6977921
Lasunapa	id=g:6977922
Ghai	id=g:6977923
Teluk Ghai	id=g:6977924
Kondongia	id=g:6977925
Korihi	id=g:6977926
Bungi	id=g:6977927
Punto	id=g:6977928
Lapolea	id=g:6977929
Latugho	id=g:6977930
Lapadaku	id=g:6977931
Madampi	id=g:6977932
Lakanaha	id=g:6977933
Wou	id=g:6977934
Kanowela	id=g:6977935
Sungai Labalano	id=g:6977936
Karo	id=g:6977937
Butu	id=g:6977938
Sugimanuru	id=g:6977939
Lagasa	id=g:6977940
Sungai Wakorambu	id=g:6977941
Sungai Wangkoborona	id=g:6977942
Kecamatan Kusambi	id=g:6977943
Kecamatan Katobu	id=g:6977944
Kecamatan Tongkuno	id=g:6977945
Kecamatan Lawa	id=g:6977946
Waodekalowo	id=g:6977981
Umele Latambera	id=g:6977982
Lano Kapatea	id=g:6977983
Pegunungan Watungkutungku	id=g:6977984
Kecamatan Bonegunu	id=g:6977985
Tabatano	id=g:6977986
Lele	id=g:6977987
Gunu Mariaga	id=g:6977988
Kambaaha Lambale	id=g:6977989
Lano Wakorumba	id=g:6977990
Tanjung Laowa	id=g:6977991
Meleura	id=g:6977992
Teluk Pola	id=g:6977993
Lano Pola	id=g:6977994
Wakerebu	id=g:6977995
Kecamatan Wakorumba Selatan	id=g:6977996
Logasi	id=g:6977997
Lamele	id=g:6977998
Lano Moolo	id=g:6977999
Sampuha	id=g:6978000
Aalaa Ambopi	id=g:6978001
Kecamatan Tinanggea	id=g:6978002
Palowewu	id=g:6978003
