Pakuria	id=g:1260809
Pādru	id=g:1260906
Pādrīganj	id=g:1260907
Padri	id=g:1260908
Padrauna	id=g:1260909
Padrāra	id=g:1260910
Padra	id=g:1260911
Pādoli	id=g:1260912
Pādmūr	id=g:1260913
Padmatirth Point	id=g:1260914
Padmapuram	id=g:1260915
Padmapur	id=g:1260916
Padmāpur	id=g:1260917
Padmanābhapuram	id=g:1260918
Padmanābham	id=g:1260919
Padma	id=g:1260920
Pādlia Khurd	id=g:1260921
Pādli	id=g:1260922
Padla	id=g:1260923
Padiyūr	id=g:1260924
Pādiyanallūr	id=g:1260925
Pādiv	id=g:1260926
Padigaon	id=g:1260927
Padiangadi Bay	id=g:1260928
Pādha	id=g:1260930
Padghe	id=g:1260931
Pāderu	id=g:1260932
Paddhari	id=g:1260933
Padarri	id=g:1260934
Padarāha	id=g:1260935
Padāna	id=g:1260936
Padampura	id=g:1260937
Padampur	id=g:1260938
Padampur	id=g:1260939
Padampur	id=g:1260940
Padamchen	id=g:1260941
Padam	id=g:1260942
Pādālūr	id=g:1260943
Padalia River	id=g:1260944
Padālam	id=g:1260945
Padal	id=g:1260946
Padakal	id=g:1260947
Pādājar Nāla	id=g:1260948
Pādagiri	id=g:1260949
Pāchūd Khurd	id=g:1260950
Pāchūd Buzurg	id=g:1260951
Pāchūd	id=g:1260952
Pachranga	id=g:1260953
Pachperwa	id=g:1260954
Pachpahār	id=g:1260955
Pachpadra Salt Depot	id=g:1260956
Pachpadra	id=g:1260957
Pachpadra	id=g:1260958
Pāchora	id=g:1260959
Pachor	id=g:1260960
Pachnān	id=g:1260961
Pachmarhī	id=g:1260962
Pachkhura Buzurg	id=g:1260963
Pachkheri	id=g:1260964
Pachipenta	id=g:1260965
Pāchingri	id=g:1260966
Pachi	id=g:1260967
Pachhewar	id=g:1260968
Pachhegām	id=g:1260969
Pāchhāpur	id=g:1260970
Pachham Island	id=g:1260971
Pachham	id=g:1260972
Pachgachhia	id=g:1260973
Pacheri	id=g:1260974
Pachegaon	id=g:1260975
Pāchchalūr	id=g:1260976
Pāchchal	id=g:1260977
Pachau Tāl	id=g:1260978
Pāchātang	id=g:1260979
Pachāsa	id=g:1260980
Pachari	id=g:1260981
Pachār	id=g:1260982
Pachamba	id=g:1260983
Pachamba	id=g:1260984
Pachālia	id=g:1260985
Pachālā	id=g:1260986
Pachaimalai Hills	id=g:1260987
Pābusar	id=g:1260988
Pāburiya	id=g:1260989
Pabram	id=g:1260990
Pābar River	id=g:1260991
Pabal	id=g:1260992
Pabai	id=g:1260993
Ozorim	id=g:1260994
Oyster Rocks	id=g:1260995
Oxel	id=g:1260996
Oxel	id=g:1260997
Owsa Road	id=g:1260998
Owk	id=g:1260999
Owan	id=g:1261000
Ovari Paravarnattam	id=g:1261001
Outram Island	id=g:1261002
Outer Islet	id=g:1261003
Oukchaung	id=g:1261004
Otūr	id=g:1261005
Ottivākkam	id=g:1261006
Ottappidāram	id=g:1261007
Ottappālam	id=g:1261008
Osmān Sāgar	id=g:1261009
Osmānnagar	id=g:1261010
Osmānnagar	id=g:1261011
Osmānābād	id=g:1261012
Osmānābād	id=g:1261013
Osla	id=g:1261014
Osiān	id=g:1261015
Osao	id=g:1261016
Osam Hill	id=g:1261017
Orxel	id=g:1261018
Orwāra	id=g:1261019
Oru	id=g:1261020
Orsang River	id=g:1261021
Ororotse	id=g:1261022
Ororāi Nadī	id=g:1261023
Or Nadī	id=g:1261024
Ormānjhi	id=g:1261025
Orlim	id=g:1261026
Orissa Coast Canal	id=g:1261027
Orissa Coast	id=g:1261028
State of Orissa	id=g:1261029
Orhagān	id=g:1261030
Ordeltong	id=g:1261031
Orchha	id=g:1261032
Orchha	id=g:1261033
Orattanādu	id=g:1261034
Orāngajuli	id=g:1261035
Orāng	id=g:1261036
Oran	id=g:1261037
Orampādu	id=g:1261038
Orai	id=g:1261039
Oragadam	id=g:1261040
Ontimitta	id=g:1261041
Onnapuram	id=g:1261042
Ongūr	id=g:1261043
Ong River	id=g:1261044
Ongole	id=g:1261045
Ongna	id=g:1261046
Onder	id=g:1261047
Onda	id=g:1261048
Omalūr	id=g:1261049
Olpād	id=g:1261050
Ollūru	id=g:1261051
Ollūr	id=g:1261052
Olenchi	id=g:1261053
Old Kanpur	id=g:1261054
Mount Oldham	id=g:1261055
Old Deesa	id=g:1261056
Olasingha	id=g:1261057
Olāpur	id=g:1261058
Olakkūr	id=g:1261059
Olakara	id=g:1261060
Ol	id=g:1261061
Okhla	id=g:1261062
Okha Rann	id=g:1261063
Okha Point	id=g:1261064
Okha	id=g:1261065
Okha	id=g:1261066
Okacheti Vāgu	id=g:1261067
Ojhar	id=g:1261068
Ojat River	id=g:1261069
Oinamlong	id=g:1261070
Ohond	id=g:1261071
Ohan Nadī	id=g:1261072
Oghna	id=g:1261073
Odūru	id=g:1261074
Odur	id=g:1261075
Odugattūr	id=g:1261076
Odlābāri	id=g:1261077
Odiyāttūr	id=g:1261078
Odhan	id=g:1261079
Odha	id=g:1261080
Oddarahalli	id=g:1261081
Oddanchatram	id=g:1261082
Odānia	id=g:1261083
Od	id=g:1261084
Obra	id=g:1261085
Obra	id=g:1261086
Obra	id=g:1261087
Oblāpura	id=g:1261088
Obate	id=g:1261089
Obalāpuram	id=g:1261090
Obalam	id=g:1261091
Obalagandi	id=g:1261092
Oal-hetaih	id=g:1261093
Oaklands	id=g:1261094
Nyuri	id=g:1261095
Nyukmadong	id=g:1261096
Nyug Pass	id=g:1261097
Nyorāk	id=g:1261098
Nyoma Rap	id=g:1261099
Nyingri	id=g:1261101
Nyeying	id=g:1261102
Nyereng	id=g:1261103
Nyasia	id=g:1261104
Nyamur	id=g:1261105
Nan-Cha-pu Ho	id=g:1261106
Nyāmati	id=g:1261107
Nyahalode	id=g:1261108
Nyagzu	id=g:1261109
Nūzvīd	id=g:1261110
Nuvem	id=g:1261111
Nuvalrevu	id=g:1261112
Nutnus	id=g:1261113
Nūtimadugu	id=g:1261114
Nutan Bāzār	id=g:1261115
Nūtalapādu	id=g:1261116
Nūruddīn	id=g:1261117
Nūr Sarai	id=g:1261118
Nurrea Banga Nassi	id=g:1261119
Nūrpur Kalān	id=g:1261120
Nūrpur	id=g:1261121
Nūrpur	id=g:1261122
Nurpur	id=g:1261123
Nūrmahal	id=g:1261124
Nūrla	id=g:1261125
Nuriāla	id=g:1261126
Nūrganj	id=g:1261127
Nuralrevu	id=g:1261128
Nūrābād	id=g:1261129
Nūn River	id=g:1261130
Nunmāti	id=g:1261131
Nunkun	id=g:1261132
Nunkapasi	id=g:1261133
Nunihāt	id=g:1261134
Nungtak	id=g:1261135
Nungkuinu	id=g:1261136
Nungba	id=g:1261137
Nungambākkam	id=g:1261138
Nunera	id=g:1261139
Nundem	id=g:1261140
Nūna Nadī	id=g:1261141
Numāligarh	id=g:1261142
Numah	id=g:1261143
Nuliasāhi	id=g:1261144
Nūh	id=g:1261145
Nuggihalli	id=g:1261146
Nubra River	id=g:1261147
Nubra	id=g:1261148
Nuāpalli	id=g:1261149
Nuāpalli	id=g:1261150
Nuākot	id=g:1261151
Nūa Hāthigurha	id=g:1261152
Nūāhatā	id=g:1261153
Nuagān	id=g:1261154
Nūāgān	id=g:1261155
Nuagām	id=g:1261156
Nuāgad	id=g:1261157
Nūa	id=g:1261158
Nring	id=g:1261159
Noyil River	id=g:1261160
Noyil	id=g:1261161
Nowrangapur	id=g:1261162
Nowgong	id=g:1261163
Nowgong	id=g:1261164
Nowgong	id=g:1261165
Nowgānwa	id=g:1261166
Nowānaghar	id=g:1261167
Nowa	id=g:1261168
Novāra Bay	id=g:1261169
Nossam	id=g:1261170
Nosra	id=g:1261171
North West Point	id=g:1261172
North Vanlaiphai	id=g:1261173
North Tripura	id=g:1261174
North Sentinel Island	id=g:1261175
North Sālmāra	id=g:1261176
North Reef Island	id=g:1261177
North Point	id=g:1261178
North Passage Island	id=g:1261179
North Pap	id=g:1261180
North Lakhimpur	id=g:1261181
North Koel River	id=g:1261182
North Kāveri River	id=g:1261183
North Islet	id=g:1261184
North Island	id=g:1261185
North Guwāhāti	id=g:1261186
Northern Ghaggar Canal	id=g:1261187
Northern Circārs	id=g:1261188
Northern Channel	id=g:1261189
North District	id=g:1261190
North Cinque Island	id=g:1261191
North Cāchār Hills	id=g:1261192
North Button Island	id=g:1261193
North Brother Island	id=g:1261194
North Bay	id=g:1261195
North Bay	id=g:1261196
North Arcot	id=g:1261197
North Andaman	id=g:1261198
Nora Tāpu	id=g:1261199
Norang	id=g:1261200
Non River	id=g:1261201
Non Nadī	id=g:1261202
Nonia Khāl	id=g:1261203
Nongwālbibrā	id=g:1261204
Nongstoin	id=g:1261205
Nongspung	id=g:1261206
Nongpur	id=g:1261207
Nongpoh	id=g:1261208
Nongkynshi	id=g:1261209
Nongkrem	id=g:1261210
Nongkhlaw	id=g:1261211
Nongjrong	id=g:1261212
Nongbah	id=g:1261213
Nonerā	id=g:1261214
Nondora	id=g:1261215
Nonbira	id=g:1261216
Nonavinkere	id=g:1261217
Nonāpānji	id=g:1261218
Nona Nadī	id=g:1261219
Nonāi Nadī	id=g:1261220
Nokrek	id=g:1261221
Nokhra	id=g:1261222
Nokhra	id=g:1261223
Nokhamandi	id=g:1261224
Nokha	id=g:1261225
Nokha	id=g:1261226
Nokha	id=g:1261227
Nokh	id=g:1261228
Nokera	id=g:1261229
Noju	id=g:1261230
Noigāng Khāl	id=g:1261231
Nohtā	id=g:1261232
Nohjhīl	id=g:1261233
Nohar	id=g:1261234
Nohan	id=g:1261235
Nogorcem	id=g:1261236
Noghanvadar	id=g:1261237
Nogāma	id=g:1261238
Nōgām	id=g:1261239
Noāwān	id=g:1261240
Noapāra	id=g:1261241
Noāmundi	id=g:1261242
Noāgaon	id=g:1261243
Noa Dihing River	id=g:1261244
Nizau	id=g:1261245
Nizām Sāgar Main Canal	id=g:1261246
Nizām Sāgar	id=g:1261247
Nizāmpur	id=g:1261248
Nizāmpur	id=g:1261249
Nizāmpur	id=g:1261250
Nizāmpur	id=g:1261251
Nizāmpet	id=g:1261252
Nizāmpatam Canal	id=g:1261253
Nizāmpatam Bay	id=g:1261254
Nizāmpatam	id=g:1261255
Nizāmghāt	id=g:1261256
Nizāmābād	id=g:1261257
Nizāmābād	id=g:1261258
Nizāmābād	id=g:1261259
Nizāmābād	id=g:1261260
Niwas	id=g:1261261
Niwāri	id=g:1261262
Niwār	id=g:1261263
Nivāli	id=g:1261264
Nituria	id=g:1261265
Nitūr	id=g:1261266
Nittūr	id=g:1261267
Nitrūr	id=g:1261268
Ni-t’i Shan-k’ou	id=g:1261269
Nīthrāna	id=g:1261270
Nithor	id=g:1261271
Nitai River	id=g:1261272
Nishānkonda	id=g:1261273
Nishāngāra	id=g:1261274
Nisha	id=g:1261275
Nischu	id=g:1261276
Nisarpura	id=g:1261277
Nisāpui	id=g:1261278
Nīsang	id=g:1261279
Nirvāda	id=g:1261280
Niruna	id=g:1261281
Niru	id=g:1261282
Nirsā	id=g:1261283
Nirpar	id=g:1261284
Nirmāli	id=g:1261285
Nirmāli	id=g:1261286
Nirmal	id=g:1261287
Nirmal	id=g:1261288
Niri Sumdo	id=g:1261289
Niri	id=g:1261290
Nirgundihi	id=g:1261291
Nirgunda	id=g:1261292
Nirgana River	id=g:1261293
Nirgājni	id=g:1261294
Nirbāna	id=g:1261295
Niraun	id=g:1261296
Nīra River	id=g:1261297
Nīra Right Bank Canal	id=g:1261298
Niranjanpur	id=g:1261299
Nirani Creek	id=g:1261300
Nirancal	id=g:1261301
Nīra Left Bank Canal	id=g:1261302
Nirākārpur	id=g:1261303
Nīra	id=g:1261304
Niphād	id=g:1261305
Nipāni Dongri	id=g:1261306
Nipānia	id=g:1261307
Nipania	id=g:1261308
Nipāni	id=g:1261309
Nīpal	id=g:1261310
Nior Nis	id=g:1261311
Nion Nadī	id=g:1261312
Nioku	id=g:1261313
Ninor	id=g:1261314
Ninguani	id=g:1261315
Ningru	id=g:1261316
Ninging	id=g:1261317
Ningala	id=g:1261318
Nine Feet Patch	id=g:1261319
Nine Degree Channel	id=g:1261320
Nindhar Benār	id=g:1261321
Nindali	id=g:1261322
Nīndakara	id=g:1261323
Nināwad	id=g:1261324
Nimu	id=g:1261325
Nimtita	id=g:1261326
Nimsod	id=g:1261327
Nīmsākhar	id=g:1261328
Nīmri	id=g:1261329
Nīmrāna	id=g:1261330
Nīmpāni	id=g:1261331
Nimora	id=g:1261332
Nimora	id=g:1261333
Nimon	id=g:1261334
Nimoda	id=g:1261335
Nimod	id=g:1261336
Nimnan	id=g:1261337
Nīm Nadī	id=g:1261338
Nimmakhandipenth	id=g:1261339
Nimla	id=g:1261340
Nīmkhera	id=g:1261341
Nīm ka Thāna	id=g:1261342
Nīm Ka Khera	id=g:1261343
Nimiāghāt	id=g:1261344
Nimiādīh	id=g:1261345
Nīmia	id=g:1261346
Nīmgiri	id=g:1261347
Nīmgaon	id=g:1261348
Nimgāchi	id=g:1261349
Nimera	id=g:1261350
Nimbola	id=g:1261351
Nimbod	id=g:1261352
Nimbli Vda	id=g:1261353
Nīmblāna	id=g:1261354
Nimbi Jodhān	id=g:1261355
Nimbhora	id=g:1261356
Nīmbgaon Ketki	id=g:1261357
Nimbgaon Jāli	id=g:1261358
Nimbgaon	id=g:1261359
Nīmbāwa	id=g:1261360
Nimbavda	id=g:1261361
Nimbarga	id=g:1261362
Nimbāl Khurd	id=g:1261363
Nimbāl Buzurg	id=g:1261364
Nimbala	id=g:1261365
Nimbāl	id=g:1261366
Nimbal	id=g:1261367
Nimbāl	id=g:1261368
Nīmbāhera	id=g:1261369
Nimbagallu	id=g:1261370
Nīmba	id=g:1261371
Nimb	id=g:1261372
Nimasarai	id=g:1261373
Nimarkheri	id=g:1261374
Nimāparha	id=g:1261375
Niman	id=g:1261376
Nimakhandipenta	id=g:1261377
Nīmāj	id=g:1261378
Nimach	id=g:1261379
Nilvala	id=g:1261380
Nilsar	id=g:1261381
Nilokheri	id=g:1261382
Nilogi	id=g:1261383
Nilkund	id=g:1261384
Nilkat	id=g:1261385
Nīlkanta	id=g:1261386
Nīlkant	id=g:1261387
Nīlji	id=g:1261388
Nīlguda	id=g:1261389
Nīlgiri Hills	id=g:1261390
Nīlgiri	id=g:1261391
Nīlgaon	id=g:1261392
Nīleswaram	id=g:1261393
Nīleshwar	id=g:1261394
Nīlarevu River	id=g:1261395
Nilanga	id=g:1261396
Nilamel	id=g:1261397
Nilambūr	id=g:1261398
Nilāmbāzār	id=g:1261399
Nila La	id=g:1261400
Nilakkottai	id=g:1261401
Nīlgiri	id=g:1261402
Nikursīni	id=g:1261403
Nikurān	id=g:1261404
Nīkūm	id=g:1261405
Niktak	id=g:1261406
Nikri Nadī	id=g:1261407
Nikora Mota	id=g:1261408
Nikora	id=g:1261409
Nikāva	id=g:1261410
Nij Nārājol	id=g:1261411
Nij Lāluk	id=g:1261412
Nijhar	id=g:1261413
Nijgaon Parānpur	id=g:1261414
Nihtaur	id=g:1261415
Nihāl Singhwāla	id=g:1261416
Nihālpur	id=g:1261417
Nihāl Khera	id=g:1261418
Nihalgarh	id=g:1261419
Nihālāmba	id=g:1261420
Nigudghar	id=g:1261421
Nigri	id=g:1261422
Nigri	id=g:1261423
Nigri	id=g:1261424
Nigrā Nadī	id=g:1261425
Nigohi Branch	id=g:1261426
Nigohi	id=g:1261427
Nigohān	id=g:1261428
Nighoj	id=g:1261429
Nighaw	id=g:1261430
Nighāsan	id=g:1261431
Cursetji Rocks	id=g:1261432
Nigda	id=g:1261433
Nigatpur	id=g:1261434
Nigaria	id=g:1261435
Nigan	id=g:1261436
Nidvanda	id=g:1261437
Nidumolu	id=g:1261438
Nidugal	id=g:1261439
Nidubrolu	id=g:1261440
Nidni	id=g:1261441
Nidjapla	id=g:1261442
Nidgundi	id=g:1261443
Nīdāmāngalam	id=g:1261444
Nidagundi	id=g:1261445
Nidadavole	id=g:1261446
Nicobar Islands	id=g:1261447
Nicobar	id=g:1261448
Nichuguard	id=g:1261449
Nicholson Island	id=g:1261450
Nichlaul	id=g:1261451
Nichinai	id=g:1261452
Nibua Raiganj	id=g:1261453
Nibra River	id=g:1261454
Nibnutvadi	id=g:1261455
Nībli	id=g:1261456
Nibia	id=g:1261457
Nibhora	id=g:1261458
Niaunyu	id=g:1261459
Niāri River	id=g:1261460
Niāli	id=g:1261461
Niāla Kondapalle	id=g:1261462
Niāl	id=g:1261463
Nhāve	id=g:1261464
Port of Nhāva-Sheba	id=g:1261465
Nhāva Creek	id=g:1261466
Nhāva	id=g:1261467
Ngūr	id=g:1261468
Neyyūr	id=g:1261469
Neyyāttinkara	id=g:1261470
Neyyār River	id=g:1261471
Neyveli	id=g:1261472
Neyveli	id=g:1261473
Neyveli	id=g:1261474
Neyvāsal	id=g:1261475
Neykuppai	id=g:1261476
New Moore Island	id=g:1261477
New Mangalore	id=g:1261478
New Kandla	id=g:1261479
New Jalpaiguri	id=g:1261480
New Delhi	id=g:1261481
New Cut Canal	id=g:1261482
Newāri	id=g:1261483
Newaj River	id=g:1261484
Newāda	id=g:1261485
Nevra	id=g:1261486
Nevāsa	id=g:1261487
Neur River	id=g:1261488
Neura	id=g:1261489
Neur	id=g:1261490
Neupur	id=g:1261491
Netrāvati River	id=g:1261492
Netrang	id=g:1261493
Netra	id=g:1261494
Netorlim	id=g:1261495
Nethersole Dam	id=g:1261496
Netarhāt	id=g:1261497
Nerur	id=g:1261498
Neru Magu Channel	id=g:1261499
Nerul	id=g:1261500
Nerukona Vanka	id=g:1261501
Ner Pinglai	id=g:1261502
Nermand	id=g:1261503
Nerla	id=g:1261504
Neriyamangalam	id=g:1261505
Nerinjippettai	id=g:1261506
Nerijamupalle	id=g:1261507
Neri	id=g:1261508
Nerhema	id=g:1261509
Nereducherla	id=g:1261510
Neredikonda	id=g:1261511
Neral	id=g:1261512
Nerabailu	id=g:1261513
Ner	id=g:1261514
Ner	id=g:1261515
Ni-p’a-erh Shan-k’ou	id=g:1261516
Nepa Nagar	id=g:1261517
Nepālganj Road	id=g:1261518
Neorī Nadī	id=g:1261519
Neoria Husainpur	id=g:1261520
Neorā Nadī	id=g:1261521
Neora	id=g:1261522
Neoli	id=g:1261523
Nengkhra Āgalgiri	id=g:1261524
Nemmara	id=g:1261525
Nemāwar	id=g:1261526
Nemalladinne	id=g:1261527
Nellūrapālem	id=g:1261528
Nellore	id=g:1261529
Nellore	id=g:1261530
Nellimarla	id=g:1261531
Nellikkuppam	id=g:1261532
Nelligere	id=g:1261533
Nellāyi	id=g:1261534
Nellatūru	id=g:1261535
Nellākotā	id=g:1261536
Nelda Serbonle	id=g:1261537
Nelang	id=g:1261538
Nelamangala	id=g:1261539
Nelali Karai	id=g:1261540
Nelahālu	id=g:1261541
Nekonda	id=g:1261542
Nekarikallu	id=g:1261543
Neill Island	id=g:1261544
Neihdawn	id=g:1261545
Neihbawi	id=g:1261546
Nehr Tank	id=g:1261547
Neghereting	id=g:1261548
Negapatam Shoal	id=g:1261549
Nedungulam	id=g:1261550
Nedungādu	id=g:1261551
Nedumbalam	id=g:1261552
Nedumangād	id=g:1261553
Nedra	id=g:1261554
Neddigurha	id=g:1261555
Neconda Hill	id=g:1261556
Nechwa	id=g:1261557
Nechanpur	id=g:1261558
Neāzipur	id=g:1261559
Neārān	id=g:1261560
Neamati	id=g:1261561
Nāzīrābād	id=g:1261562
Nāzirā	id=g:1261563
Nāzareth	id=g:1261564
Nazarbagh	id=g:1261565
Na-yü Shan-k’ou	id=g:1261566
Nāyudupeta	id=g:1261567
Nayira	id=g:1261568
Nāyinārkovil	id=g:1261569
Nayegaon	id=g:1261570
Naydongri	id=g:1261571
Nayar River	id=g:1261572
Nayālkal	id=g:1261573
Nāyakkaneri	id=g:1261574
Naya Khondār	id=g:1261575
Nāyakanhatti	id=g:1261576
Nayāgrām	id=g:1261577
Nayāgarh	id=g:1261578
Nayāgarh	id=g:1261579
Nayāgarh	id=g:1261580
Nayāgaon	id=g:1261581
Nayāgaon	id=g:1261582
Nayāgaon	id=g:1261583
Nayāgaon	id=g:1261584
Jar ka Nayāgaon	id=g:1261585
Nayāgaon	id=g:1261586
Nayāgaon	id=g:1261587
Naya Bāzār	id=g:1261588
Nawi Khāl	id=g:1261589
Nawi	id=g:1261590
Nawegaon Lake	id=g:1261591
Nawegaon	id=g:1261592
Nawegaon	id=g:1261593
Nawātānr	id=g:1261594
Nawātānr	id=g:1261595
Nawātala	id=g:1261596
Nawa Tala	id=g:1261597
Nawāshahr	id=g:1261598
Nawargaon Buzurg	id=g:1261599
Nawa Purwa	id=g:1261600
Nāwāpur	id=g:1261601
Nawāpāra Road	id=g:1261602
Nawāpāra	id=g:1261603
Nawāpāra	id=g:1261604
Nawāpāra	id=g:1261605
Nawāpāra	id=g:1261606
Nawānshahr	id=g:1261607
Nāwandi	id=g:1261608
Nāwandgi	id=g:1261609
Nawānagar	id=g:1261610
Nawānagar	id=g:1261611
Nāwalkal	id=g:1261612
Nawalgarh	id=g:1261613
Nawai	id=g:1261614
Nawāgarh	id=g:1261615
Nawāgaon	id=g:1261616
Nawagaon	id=g:1261617
Nawāgaon	id=g:1261618
Nawāgaon	id=g:1261619
Nawāgaon	id=g:1261620
Nawāgaon	id=g:1261621
Nawāgaon	id=g:1261622
Nawāgaon	id=g:1261623
Nawāgām	id=g:1261624
Nawādih	id=g:1261625
Nawādīh	id=g:1261626
Nawādih	id=g:1261627
Nawāda	id=g:1261628
Nawāda	id=g:1261629
Nawāda	id=g:1261630
Nawāda	id=g:1261631
Nawāda	id=g:1261632
Nawabupālem	id=g:1261633
Nawābpet	id=g:1261634
Nawābpet	id=g:1261635
Nawāb Ghāziuddīn Haidars Canal	id=g:1261636
Nawābganj Allābād	id=g:1261637
Nawābganj	id=g:1261638
Nawābganj	id=g:1261639
Nawābganj	id=g:1261640
Nawābganj	id=g:1261641
Nawābganj	id=g:1261642
Nawābganj	id=g:1261643
Nawābganj	id=g:1261644
Nawāb Bāsoda	id=g:1261645
Nawābandar	id=g:1261646
Nāwa	id=g:1261647
Nāwa	id=g:1261648
Navy Bay	id=g:1261649
Navutala	id=g:1261650
Nāvūru	id=g:1261651
Navūru	id=g:1261652
Navsāri	id=g:1261653
Nāvli	id=g:1261654
Navlakhi	id=g:1261655
Navīnāl Point	id=g:1261656
Navīnāl	id=g:1261657
Navībandar	id=g:1261658
Navgam	id=g:1261659
Navelim	id=g:1261660
Navelim	id=g:1261661
Navdi	id=g:1261662
Navdi	id=g:1261663
Navāpur	id=g:1261664
Navalyal	id=g:1261665
Navāli	id=g:1261666
Navalgund	id=g:1261667
Navagadh	id=g:1261668
Navadwīp	id=g:1261669
Nauzuarzo Tlāng	id=g:1261670
Nautārā	id=g:1261671
Nautanwa	id=g:1261672
Naushehra	id=g:1261673
Naushahra Panwān	id=g:1261674
Nāushahra	id=g:1261675
Nauratori	id=g:1261676
Naura	id=g:1261677
Naupahār	id=g:1261678
Naupadapenth	id=g:1261679
Naupada	id=g:1261680
Naultha	id=g:1261681
Nauli Patti	id=g:1261682
Naulī	id=g:1261683
Naukhari Point	id=g:1261684
Nauhata	id=g:1261685
Naugarh	id=g:1261686
Naugarh	id=g:1261687
Nāugarh	id=g:1261688
Naugaon Sarf	id=g:1261689
Naugaon Sādāt	id=g:1261690
Naugaon	id=g:1261691
Naugaon	id=g:1261692
Naugānwān	id=g:1261693
Naugām	id=g:1261695
Naugachhia	id=g:1261696
Naudiha	id=g:1261697
Naude	id=g:1261698
Naubatpur	id=g:1261699
Na-tu Shan-k’ou	id=g:1261700
Nātudaha	id=g:1261701
Nātteri	id=g:1261702
Nat Taung	id=g:1261703
Nāttarasankottai	id=g:1261704
Nattam	id=g:1261705
Natsimi	id=g:1261706
Nathusar	id=g:1261707
Nathrau	id=g:1261708
Nathnagar	id=g:1261709
Nāthdwāra	id=g:1261710
Nāthdwāra	id=g:1261711
Nathāna	id=g:1261712
Nateran	id=g:1261713
Nāteputa	id=g:1261714
Natāu	id=g:1261715
Natara	id=g:1261716
Nātang	id=g:1261717
Nātambi	id=g:1261718
Nātabāri Hāt	id=g:1261719
Nasuma	id=g:1261720
Nasrullahganj	id=g:1261721
Nāsriganj	id=g:1261722
Nāsrīda	id=g:1261723
Nasrāpur	id=g:1261724
Nasrāla	id=g:1261725
Nāspur	id=g:1261726
Nasīrābād	id=g:1261727
Nasīrābād	id=g:1261728
Nasīrābād	id=g:1261729
Nāsik Road	id=g:1261730
Nāsik	id=g:1261731
Nāsik	id=g:1261732
Naryāuli	id=g:1261733
Narwāsi Railway Station	id=g:1261734
Narwar	id=g:1261735
Narwar	id=g:1261736
Narwar	id=g:1261737
Narwānī	id=g:1261738
Narwāna	id=g:1261739
Narwal	id=g:1261740
Nārwa	id=g:1261741
Narwa	id=g:1261742
Nartiang	id=g:1261743
