Trail Number 10	id=g:5141290
Trinity Church	id=g:5141383
Trinity Church	id=g:5141384
Trinity Church	id=g:5141385
Trinity Church	id=g:5141386
Trinity Church	id=g:5141387
Trinity Church	id=g:5141388
Trinity Church	id=g:5141389
Trinity Church	id=g:5141390
Church of the Intercession	id=g:5141391
Trinity Church	id=g:5141392
Trinity Church	id=g:5141393
Trinity Church	id=g:5141394
Trinity Church	id=g:5141395
Trinity United Methodist Church	id=g:5141396
Trinity Methodist Church	id=g:5141397
Trinity Churchyard	id=g:5141398
Trinity Elementary School	id=g:5141399
Trinity Episcopal Church	id=g:5141400
Trinity Episcopal Church	id=g:5141401
Trinity Episcopal Church of Morrisania	id=g:5141402
Most Holy Trinity School	id=g:5141403
Trinity Lake	id=g:5141404
Trinity Methodist Church	id=g:5141405
Trinity Place Bridge	id=g:5141406
Trinity School	id=g:5141407
Trinity School	id=g:5141408
Trinity School	id=g:5141409
Trinity Lutheran School	id=g:5141410
Trinity United Methodist Church	id=g:5141411
Trinity-Pawling School	id=g:5141412
Triphammer Falls	id=g:5141413
Triplet Hill	id=g:5141414
Triplet Islands	id=g:5141415
Tripod Mountain	id=g:5141416
Tripoli	id=g:5141417
Tripoli	id=g:5141418
Tripp Mountain	id=g:5141419
Tripp Pinnacle	id=g:5141420
Tripp Pond	id=g:5141421
Tripps Pond	id=g:5141422
Tristates	id=g:5141423
Trojan Lake	id=g:5141424
Trombley Bay	id=g:5141425
Trombley Bay Cemetery	id=g:5141426
Trombley Landing	id=g:5141427
Troop A Headquarters Heliport	id=g:5141428
Troop B Headquarters Heliport	id=g:5141429
Troop E Heliport	id=g:5141430
Trott Vocational School	id=g:5141431
Troublesome Brook	id=g:5141432
Trenton Falls	id=g:5141433
Trough Hollow	id=g:5141434
Troups Creek	id=g:5141435
Troupsburg	id=g:5141436
Trout Brook	id=g:5141437
Trout Brook	id=g:5141438
Town of Troupsburg	id=g:5141439
Trout Brook	id=g:5141440
Trout Brook	id=g:5141441
Trout Brook	id=g:5141442
Trout Brook	id=g:5141443
Trout Brook	id=g:5141444
Trout Brook	id=g:5141445
Trout Brook	id=g:5141446
Trout Brook	id=g:5141447
Trout Brook	id=g:5141448
Trout Brook	id=g:5141449
Trout Brook	id=g:5141450
Trout Brook	id=g:5141451
Trout Brook	id=g:5141452
Trout Brook	id=g:5141453
Trout Brook	id=g:5141454
Trout Brook	id=g:5141455
Trout Brook	id=g:5141456
Trout Brook	id=g:5141457
Trout Brook Mountain	id=g:5141458
Trout Creek	id=g:5141459
Trout Creek	id=g:5141460
Trout Brook	id=g:5141461
Trout Creek	id=g:5141462
Trout Creek	id=g:5141463
Trout Creek	id=g:5141464
Trout Creek	id=g:5141465
Trout Creek Bridge	id=g:5141466
Trout Lake	id=g:5141467
Trout Lake	id=g:5141468
Trout Lake	id=g:5141469
Trout Lake	id=g:5141470
Trout Lake	id=g:5141471
Trout Lake Creek	id=g:5141472
Trout Lake	id=g:5141473
Trout Lake State Forest	id=g:5141474
Trout Pond	id=g:5141475
Trout Pond	id=g:5141476
Trout Pond	id=g:5141477
Trout Pond	id=g:5141478
Trout Pond	id=g:5141479
Trout Pond	id=g:5141480
Trout Pond	id=g:5141481
Trout Pond	id=g:5141482
Trout Pond	id=g:5141483
Trout Pond	id=g:5141484
Trout Pond	id=g:5141485
Trout Pond Brook	id=g:5141486
Trout Lake Mountain	id=g:5141487
Trout River	id=g:5141488
Trout River	id=g:5141489
Trout Pond Hill	id=g:5141490
Trout Run	id=g:5141491
Troutburg	id=g:5141492
Trowbridge Creek	id=g:5141493
Trowbridge School	id=g:5141494
Troy Armory Heliport	id=g:5141495
Troy Lock	id=g:5141496
Troy Reservoir	id=g:5141497
City of Troy	id=g:5141498
Tru-Blue Church	id=g:5141499
Trudeau	id=g:5141500
True Brook	id=g:5141501
Troy	id=g:5141502
Trues Creek	id=g:5141503
Truesdale Lake	id=g:5141504
Truitt Pond	id=g:5141505
Truman Beach	id=g:5141506
Truman Hill	id=g:5141507
Trumansburg	id=g:5141508
Trumansburg Creek	id=g:5141509
Truesdale Lake	id=g:5141510
Trumbull Mountain	id=g:5141511
Trummonds Hill	id=g:5141512
Trump Building	id=g:5141513
Trusty Mountain	id=g:5141514
Truthville	id=g:5141515
Truxton	id=g:5141516
Truxton Hill	id=g:5141517
Town of Truxton	id=g:5141518
Tryon State School for Boys	id=g:5141519
Tryons Corners	id=g:5141520
Trypoli Creek	id=g:5141521
Trumbull Corners	id=g:5141522
Tub Mill Brook	id=g:5141523
Trywood Camp	id=g:5141524
Tub Mountain	id=g:5141525
Tubby Hook	id=g:5141526
Tuckahoe	id=g:5141527
Tuckahoe	id=g:5141528
Tuckahoe High School	id=g:5141529
Tuckahoe Post Office	id=g:5141530
Tuckahoe School	id=g:5141531
Tuckahoe Station	id=g:5141532
Tuckahoe Village Hall	id=g:5141533
Tucker Brook	id=g:5141534
Tub Mill Pond	id=g:5141535
Tucker Heights	id=g:5141536
Tucker Terrace	id=g:5141537
Tuckers Corner	id=g:5141538
Tuffs Island	id=g:5141539
Tug Hill	id=g:5141540
Tug Hill	id=g:5141541
Tug Hill	id=g:5141542
Tug Hill	id=g:5141543
Tug Hill Cemetery	id=g:5141544
Tug Hill Farm Airport	id=g:5141545
Mount Tug	id=g:5141546
Tullamore Playground	id=g:5141547
Tuller Hill	id=g:5141548
Tully	id=g:5141549
Tully Center	id=g:5141550
Tully Forest	id=g:5141551
Tully Lake	id=g:5141552
Tully Lake Park	id=g:5141553
Tully Valley	id=g:5141554
Tully Valley	id=g:5141555
Tucker Cemetery	id=g:5141556
Tunis Lake	id=g:5141557
Tunis Pond	id=g:5141558
Tunkethandle Hill	id=g:5141559
Tunnel	id=g:5141560
Tunnel Reservoir	id=g:5141561
The Tunnel	id=g:5141562
The Tunnel	id=g:5141563
Town of Tully	id=g:5141564
Tunnery Brook	id=g:5141565
Tunnicliff Hill	id=g:5141566
Tunungwant Creek	id=g:5141567
Tupper Creek	id=g:5141568
Tupper Lake	id=g:5141569
Tupper Lake Reservoir	id=g:5141570
Town of Tupper Lake	id=g:5141571
Turin	id=g:5141572
Turin Cemetery	id=g:5141573
Turin Reservoir	id=g:5141574
Turin School (historical)	id=g:5141575
Town of Turin	id=g:5141576
Turk Hill	id=g:5141577
Turk Hill	id=g:5141578
Turk Hollow	id=g:5141579
Tupper Lake	id=g:5141580
Turkey Creek	id=g:5141581
Turk Slashings	id=g:5141582
Turkey Hill	id=g:5141583
Turkey Hill	id=g:5141584
Turkey Hill	id=g:5141585
Turkey Hill	id=g:5141586
Turkey Hill	id=g:5141587
Turkey Hill	id=g:5141588
Turkey Hill Pond	id=g:5141589
Turkey Hollow	id=g:5141590
Turkey Hill	id=g:5141591
Turkey Mountain	id=g:5141592
Turkey Point	id=g:5141593
Turkey Rock	id=g:5141594
Turnbull Corner	id=g:5141595
Turner Brook	id=g:5141596
Turkey Mountain	id=g:5141597
Turner Creek	id=g:5141598
Turner Cemetery	id=g:5141599
Turner Hollow	id=g:5141600
Turner High School	id=g:5141601
Turner School	id=g:5141602
Turners Bridge	id=g:5141603
Turney Corners	id=g:5141604
Turnpike Creek	id=g:5141605
Turner Mountain	id=g:5141606
Turnwood	id=g:5141607
Turtle Bay Farm (historical)	id=g:5141608
Turtle Cove	id=g:5141609
Turtle Cove	id=g:5141610
Turtle Hook Middle School	id=g:5141611
Turtle Island	id=g:5141612
Turtle Island	id=g:5141613
Turtle Lot Brook	id=g:5141614
Turnpike Pond	id=g:5141615
Turtle Pond	id=g:5141616
Turtle Pond	id=g:5141617
Turtle Rocks	id=g:5141618
Tuscan	id=g:5141619
Tuscarora	id=g:5141620
Tuscarora Bay	id=g:5141621
Tuscarora Creek	id=g:5141622
Turtle Pond	id=g:5141623
Tuscarora Creek	id=g:5141624
Tuscarora Creek	id=g:5141625
Tuscarora Indian Reservation	id=g:5141626
Tuscarora Lake	id=g:5141627
Tuscarora Park	id=g:5141628
Tuscarora Plateau Airport	id=g:5141629
Tuscarora Nation Reservation	id=g:5141630
Tuscarora School	id=g:5141631
Tuscarora School	id=g:5141632
Mount Tuscarora	id=g:5141633
Town of Tuscarora	id=g:5141634
Tusten	id=g:5141635
Tusten Cemetery	id=g:5141636
Tusten Mountain Lake	id=g:5141637
Tusten Station	id=g:5141638
Town of Tusten	id=g:5141639
Tuthill	id=g:5141640
Tuthill Cove	id=g:5141641
Tuthill Point	id=g:5141642
Tuthill Ridge	id=g:5141643
Tuthills Creek	id=g:5141644
Tuscarora Hill	id=g:5141645
Tuthilltown Grist Mill	id=g:5141646
Tuttle Brook	id=g:5141647
Tuthilltown	id=g:5141648
Tuttle Brook	id=g:5141649
Tuttle Cemetery	id=g:5141650
Tuttle Creek	id=g:5141651
Tuxedo Lake	id=g:5141652
Tuxedo Park	id=g:5141653
Tuxedo Park Golf Course	id=g:5141654
Tuxedo Park School	id=g:5141655
Tuxedo Rock	id=g:5141656
Town of Tuxedo	id=g:5141657
Twaalfskill Brook	id=g:5141658
Tuxedo Park	id=g:5141659
Twaalfskill Creek	id=g:5141660
Twadell Brook	id=g:5141661
Twadell Mountain	id=g:5141662
Twelve Corners	id=g:5141663
Twelve Corners	id=g:5141664
Twelve Corners Cemetery	id=g:5141665
Twelve Corners Church	id=g:5141666
Twelve Thousand	id=g:5141667
Twelvemile Creek	id=g:5141668
Tweed House	id=g:5141669
Twelvemile Creek	id=g:5141670
Twentyeighth Creek	id=g:5141671
Twentyfourth Street School	id=g:5141672
Twentymile Creek	id=g:5141673
Twentyninth Pond	id=g:5141674
Twentythird Street Pier	id=g:5141675
Twilight Island	id=g:5141676
Twilight Park	id=g:5141677
Twilight Rest Cemetery	id=g:5141678
Twin Bridges	id=g:5141679
Twin Brook	id=g:5141680
Twin Brooks	id=g:5141681
Twentysecond Street School	id=g:5141682
Twin Falls	id=g:5141683
Lake of the Twin Fawns	id=g:5141684
Twin Glens	id=g:5141685
Twin Church Hill	id=g:5141686
Twin Island	id=g:5141687
Twin Island	id=g:5141688
Twin Island Lake	id=g:5141689
Twin Lake Stream	id=g:5141690
Twin Hill	id=g:5141691
Twin Lakes	id=g:5141692
Twin Lakes	id=g:5141693
Twin Lakes	id=g:5141694
Twin Lakes	id=g:5141695
Twin Lakes	id=g:5141696
Twin Lakes	id=g:5141697
Twin Lakes	id=g:5141698
Twin Lakes	id=g:5141699
Twin Lakes Inlet	id=g:5141700
Twin Lakes	id=g:5141701
Twin Lakes Mountain	id=g:5141702
Twin Lakes Outlet	id=g:5141703
Twin Lakes Marsh	id=g:5141704
Twin Lakes Stream	id=g:5141705
Twin Lakes Trail	id=g:5141706
Twin Mountain	id=g:5141707
Twin Mountain	id=g:5141708
Twin Mountain	id=g:5141709
Twin Mountains	id=g:5141710
Twin Orchard	id=g:5141711
Twin Pines Elementary School	id=g:5141712
Twin Pond	id=g:5141713
Twin Pond	id=g:5141714
Twin Pond Mountain	id=g:5141715
Twin Ponds	id=g:5141716
Twin Ponds	id=g:5141717
Twin Ponds	id=g:5141718
Twin Ponds	id=g:5141719
Twin Ponds	id=g:5141720
Twin Ponds	id=g:5141721
Twin Ponds	id=g:5141722
Twin Ponds	id=g:5141723
Twin Ponds	id=g:5141724
Twin Ponds	id=g:5141725
Twin Ponds	id=g:5141726
Twin Ponds	id=g:5141727
Twin Ponds	id=g:5141728
Twin Ponds Airport	id=g:5141729
Twin Ponds Golf Club	id=g:5141730
Twin Ponds Outlet	id=g:5141731
Twin Lakes Village	id=g:5141732
Twin Sister Creek	id=g:5141733
Twin River School	id=g:5141734
Twin Vlys	id=g:5141735
Twist Mountain	id=g:5141736
Twist Vly	id=g:5141737
Twitchel Cemetery	id=g:5141738
Twitchell Creek	id=g:5141739
Twin Sister Lake	id=g:5141740
Twitchell Creek	id=g:5141741
Twitchell Lake	id=g:5141742
Two Bridge Run	id=g:5141743
Twitchell Mountain	id=g:5141744
Two Brooks	id=g:5141745
Two Brooks	id=g:5141746
Two Pigs	id=g:5141747
Two Top Mountain	id=g:5141748
Two Tops	id=g:5141749
Twobridge Brook	id=g:5141750
Two Holes Pond	id=g:5141751
Twomile Brook	id=g:5141752
Twomile Creek	id=g:5141753
Twomile Creek	id=g:5141754
Twomile Creek	id=g:5141755
Twomile Creek	id=g:5141756
Twomile Creek	id=g:5141757
Twomile Creek	id=g:5141758
Tygert Swamp	id=g:5141759
Tyler Brook	id=g:5141760
Tyler Cemetery	id=g:5141761
Tyler Hollow	id=g:5141762
Tyler Hollow	id=g:5141763
Tyler Point	id=g:5141764
Tylers Corners	id=g:5141765
Tylers Switch	id=g:5141766
Tylersville	id=g:5141767
Tylertown	id=g:5141768
Tyndal Point	id=g:5141769
Tyner	id=g:5141770
Typnahda Mountain	id=g:5141771
Tyre	id=g:5141772
Tyre Church	id=g:5141773
Town of Tyre	id=g:5141774
Tyrone	id=g:5141775
Tyrone Union Cemetery	id=g:5141776
Town of Tyrone	id=g:5141777
Tyrrel Lake	id=g:5141778
Tyrrell Hill	id=g:5141779
U S Mountain	id=g:5141780
Udalls Millpond	id=g:5141781
Ufford Corners	id=g:5141782
Uihlein Mercy Center	id=g:5141783
Ulster County	id=g:5141784
Ulster Heights	id=g:5141785
Ulster Heights Lake	id=g:5141786
Ulster Landing	id=g:5141787
Ulster Park	id=g:5141788
Town of Ulster	id=g:5141789
Ulsterville	id=g:5141790
Ultralight Flight Farm	id=g:5141791
Ultralight Port	id=g:5141792
Town of Ulysses	id=g:5141793
Umbrella Point	id=g:5141794
Umbrella Point	id=g:5141795
Unadilla	id=g:5141796
Unadilla Center	id=g:5141797
Unadilla Forks	id=g:5141798
Unadilla Lake	id=g:5141799
Unadilla River	id=g:5141800
Tylers Corner	id=g:5141801
Uncas Island	id=g:5141802
Lake Uncas	id=g:5141803
Unchachoque Creek	id=g:5141804
Town of Unadilla	id=g:5141805
Uncle Daniels Point	id=g:5141806
Uncle Toms Brook	id=g:5141807
West Mountain	id=g:5141808
Underhill Avenue School	id=g:5141809
Underhill Cemetery	id=g:5141810
Underhill Pond	id=g:5141811
Underwood	id=g:5141812
Underwood Cemetery	id=g:5141813
Underwood Cemetery	id=g:5141814
Underwood Corner	id=g:5141815
Underwood Hill	id=g:5141816
Underwood Hill	id=g:5141817
Underwood School	id=g:5141818
Uneeda Beach	id=g:5141819
Union	id=g:5141820
Union Avenue School	id=g:5141821
Union Baptist Church	id=g:5141822
Union Baptist Church	id=g:5141823
Union Canal	id=g:5141824
Union Cemetery	id=g:5141825
Union Cemetery	id=g:5141826
Panama Union Cemetery	id=g:5141827
Union Cemetery	id=g:5141828
Union Cemetery	id=g:5141829
Union Cemetery	id=g:5141830
Union Cemetery	id=g:5141831
Union Cemetery	id=g:5141832
Ancram Union Cemetery	id=g:5141833
Union Cemetery	id=g:5141834
Union Cemetery	id=g:5141835
Union Cemetery	id=g:5141836
Union Cemetery	id=g:5141837
Union Cemetery	id=g:5141838
Union Cemetery	id=g:5141839
Union Cemetery	id=g:5141840
Union Cemetery	id=g:5141841
Union Cemetery	id=g:5141842
Union Cemetery	id=g:5141843
Union Cemetery	id=g:5141844
Union Cemetery	id=g:5141845
Union Cemetery	id=g:5141846
Union Cemetery	id=g:5141847
Union Cemetery	id=g:5141848
Union Cemetery	id=g:5141849
Union Cemetery	id=g:5141850
Union Cemetery	id=g:5141851
Union Cemetery	id=g:5141852
Union Cemetery	id=g:5141853
Union Cemetery	id=g:5141854
Union Cemetery	id=g:5141855
Union Cemetery	id=g:5141856
Union Cemetery	id=g:5141857
Union Cemetery	id=g:5141858
Union Cemetery	id=g:5141859
Union Cemetery	id=g:5141860
Union Cemetery	id=g:5141861
Union Cemetery	id=g:5141862
Union Cemetery	id=g:5141863
Union Cemetery	id=g:5141864
Union Cemetery	id=g:5141865
Union Cemetery	id=g:5141866
Union Cemetery	id=g:5141867
Union Center	id=g:5141868
Union Center	id=g:5141869
Union Chapel	id=g:5141870
Union Chapel	id=g:5141871
Union Church	id=g:5141872
Union Church	id=g:5141873
Union Church	id=g:5141874
Union Church	id=g:5141875
Union Church of Pocantico Hills	id=g:5141876
Union College	id=g:5141877
Union Corners	id=g:5141878
Union Corners	id=g:5141879
Union Corners	id=g:5141880
Union Corners	id=g:5141881
Union Corners	id=g:5141882
Union Falls	id=g:5141883
Union Falls Pond	id=g:5141884
Union Falls Pond	id=g:5141885
Union Field Cemetery	id=g:5141886
Union Free School	id=g:5141887
Union Free School	id=g:5141888
Union Free School	id=g:5141889
Union Free School	id=g:5141890
Ghent Union Cemetery	id=g:5141891
Union Grove School	id=g:5141892
Union Hill	id=g:5141893
Union Hill	id=g:5141894
Union Hill	id=g:5141895
Union Hill Cemetery	id=g:5141896
Union Hospital (historical)	id=g:5141897
Union Mills	id=g:5141898
Union Mills Cemetery	id=g:5141899
Union Park	id=g:5141900
Union Park Cemetery	id=g:5141901
Union Point	id=g:5141902
Union Road School	id=g:5141903
Altamont Elementary School	id=g:5141904
Union School	id=g:5141905
Union School	id=g:5141906
Union School	id=g:5141907
Union School	id=g:5141908
Union School	id=g:5141909
Big Cross Street School	id=g:5141910
Union Settlement	id=g:5141911
Union Springs	id=g:5141912
Union Springs Academy	id=g:5141913
Union Springs Central School	id=g:5141914
Union Square Park	id=g:5141915
Union Station	id=g:5141916
Union Stock Yard	id=g:5141917
Town of Union Vale	id=g:5141918
Union Valley	id=g:5141919
Undercliff	id=g:5141920
Union Valley	id=g:5141921
Union Valley	id=g:5141922
Union Valley	id=g:5141923
Union Valley Church	id=g:5141924
Union Village Rural Cemetery	id=g:5141925
Town of Union	id=g:5141926
Uniondale	id=g:5141927
Uniondale High School	id=g:5141928
Uniondale Park	id=g:5141929
Unionport	id=g:5141930
Uniontown Playground	id=g:5141931
Unionville	id=g:5141932
Unionville	id=g:5141933
Unionville	id=g:5141934
Unionville	id=g:5141935
Unionville	id=g:5141936
Unionville	id=g:5141937
Unisys Heliport	id=g:5141938
United Catholic Cemetery	id=g:5141939
United Church	id=g:5141940
United Church	id=g:5141941
United Church	id=g:5141942
United Hebrew Cemetery	id=g:5141943
United Lutheran Church	id=g:5141944
United Methodist Church	id=g:5141945
United Mission	id=g:5141946
United Nations Headquarters	id=g:5141947
United Nations School	id=g:5141948
United States Army Building (historical)	id=g:5141949
United States Assay Building (historical)	id=g:5141950
United States Department of Agriculture	id=g:5141951
United States Merchant Marine Academy	id=g:5141952
United States Naval Clinic	id=g:5141953
United States Quarantine Station	id=g:5141954
Brookhaven National Laboratory	id=g:5141955
United States Reservation Knolls Atomic Energy Plant	id=g:5141956
United States Veterans Hospital	id=g:5141957
Unity Baptist Tabernacle	id=g:5141958
Unity Drive School	id=g:5141959
Unity Hospital	id=g:5141960
Universal Shopping Center	id=g:5141961
University Gardens	id=g:5141962
University Heights	id=g:5141963
University of Rochester	id=g:5141964
Unknown Pond	id=g:5141965
Unknown Soldier Monument	id=g:5141966
Unqua Point	id=g:5141967
Unqua Elementary School	id=g:5141968
Untermyer Park	id=g:5141969
Uphill Falls Brook	id=g:5141970
Union Valley Church	id=g:5141971
Upper Barbourville	id=g:5141972
Upper Beach	id=g:5141974
Upper Beech Hill Brook	id=g:5141975
Upper Ausable Lake	id=g:5141976
Upper Beechwood	id=g:5141977
Upper Benson	id=g:5141978
Upper Big Bay	id=g:5141979
Upper Brookville	id=g:5141980
Upper Cascade Lake	id=g:5141981
Upper Cat Pond	id=g:5141982
Upper Cemetery	id=g:5141983
Upper Chateaugay Lake	id=g:5141984
Upper Corners Cemetery	id=g:5141985
Upper Cranberry Pond	id=g:5141986
Upper Dam Pond	id=g:5141987
Upper Deep Bay	id=g:5141988
Upper Delaware Scenic and Recreation River	id=g:5141989
Upper Duck Hole	id=g:5141990
Upper Fairfield	id=g:5141991
Upper Falls	id=g:5141992
Upper Falls	id=g:5141993
Upper Feeder Pond	id=g:5141994
Upper Forecourt	id=g:5141995
Upper Francis Pond	id=g:5141996
Upper Goose Pond	id=g:5141997
Upper Hollowville	id=g:5141998
Upper Jay	id=g:5141999
Upper Kilns	id=g:5142000
Upper Lake	id=g:5142001
Upper Lake	id=g:5142002
Upper Lake	id=g:5142003
Upper Lake Cohasset	id=g:5142004
Upper Lisle	id=g:5142005
Upper Little York Lake	id=g:5142006
Upper Mongaup	id=g:5142007
Upper Moose Pond	id=g:5142008
Upper Moreland School (historical)	id=g:5142009
Upper New York Bay	id=g:5142010
Upper Nyack	id=g:5142011
Upper Page Brook Cemetery	id=g:5142012
Upper Pepper Island	id=g:5142013
Upper Pine Lakes	id=g:5142014
Upper Pine Mountain	id=g:5142015
Upper Pond	id=g:5142016
Upper Pond	id=g:5142017
Upper Pond	id=g:5142018
Upper Pound Swamp	id=g:5142019
Upper Red Hook	id=g:5142020
Upper Reservoir	id=g:5142021
Upper Reservoir	id=g:5142022
Upper Rhoda Pond	id=g:5142023
Upper Ridge Road School	id=g:5142024
Upper Sag Harbor Cove	id=g:5142025
Upper Saint Regis	id=g:5142026
Upper Saint Regis Lake	id=g:5142027
Upper Saranac Lake	id=g:5142028
Upper Schodack Island	id=g:5142029
Upper Sister Lake	id=g:5142030
Upper South Pond	id=g:5142031
Upper Stafford Marsh	id=g:5142032
Upper Town Landing	id=g:5142033
Upper Twin Brook	id=g:5142034
Upper Beech Ridge Pond	id=g:5142035
Upper West Side	id=g:5142036
Upper Winganhauppauge Lake	id=g:5142037
Upper Wolfjaw Mountain	id=g:5142038
Upperville	id=g:5142039
Upson Corners	id=g:5142040
Upson School	id=g:5142041
Upton	id=g:5142042
Upton Lake	id=g:5142043
Upton Lake Cemetery	id=g:5142044
Upton Station	id=g:5142045
Uptonville	id=g:5142046
Urbana	id=g:5142047
Town of Urbana	id=g:5142048
Uriah Hill Early Childhood Center	id=g:5142049
Ursone Airport	id=g:5142050
Ursula Hall	id=g:5142051
Ursuline Academy	id=g:5142052
Ursuline Convent	id=g:5142053
Ursuline School	id=g:5142054
Ushers	id=g:5142055
Utica	id=g:5142056
Utica Academy (historical)	id=g:5142057
Utica Municipal Airport	id=g:5142058
Utica Reservoir	id=g:5142059
City of Utica	id=g:5142060
Utley Brook	id=g:5142061
Upper Twin Lake	id=g:5142062
Utopia Cemetery	id=g:5142063
Utowana Lake	id=g:5142064
Utsayantha Lake	id=g:5142065
Utsayantha Mountain	id=g:5142066
V Everit Macy Park	id=g:5142067
VVS Central School	id=g:5142068
Vacation Camp for the Blind	id=g:5142069
Vail Hill	id=g:5142070
Vail Mills	id=g:5142071
Vail Pond	id=g:5142072
Vails Gate	id=g:5142073
Vails Gate Junction	id=g:5142074
Valatie	id=g:5142075
Valatie Colony	id=g:5142076
Valatie Kill	id=g:5142077
Utopia	id=g:5142078
Valcour Chapel	id=g:5142079
Valcour Island	id=g:5142080
Valcour Lighthouse Light	id=g:5142081
Valcour Shoal	id=g:5142082
Vale Cemetery	id=g:5142083
Vale of Rest Cemetery	id=g:5142084
Valentine Corners	id=g:5142085
Valentine Pond	id=g:5142086
Valentines Beach	id=g:5142087
Valenty Mierek Airport	id=g:5142088
Valeria Home	id=g:5142089
Valhalla	id=g:5142090
Valhalla High School	id=g:5142091
Valhalla Post Office	id=g:5142092
Valhalla Skeet Club (historical)	id=g:5142093
Valhalla Station	id=g:5142094
Lake Valhalla	id=g:5142095
Valiant Rock	id=g:5142096
Valiant Rock	id=g:5142097
Valley Airpark	id=g:5142098
Valley Brook	id=g:5142099
Valley Brook Cemetery	id=g:5142100
Valley Cottage	id=g:5142101
Valley Dormitory	id=g:5142102
Valley Falls	id=g:5142103
Valley Lake	id=g:5142104
Valley Mills	id=g:5142105
Valley Pond Estates	id=g:5142106
Valley Ridge	id=g:5142107
Valley School	id=g:5142108
Valley Stream	id=g:5142109
Valley Stream	id=g:5142110
Valcour	id=g:5142111
Valley Tabernacle	id=g:5142112
Valley View	id=g:5142113
Valley View Airport	id=g:5142114
Valley View Cemetery	id=g:5142115
Valley View Cemetery	id=g:5142116
Valley View Cemetery	id=g:5142117
Valley View Cemetery	id=g:5142118
Valley View Cemetery	id=g:5142119
Valley View Church	id=g:5142120
Valley View Golf	id=g:5142121
Vallonia Springs	id=g:5142122
Valmont Village Park	id=g:5142123
Valois	id=g:5142124
Valois Cemetery	id=g:5142125
Valois Point	id=g:5142126
Van Allen Cemetery	id=g:5142127
Van Allen Cemetery	id=g:5142128
Van Allen Park	id=g:5142129
Van Amringe Millpond	id=g:5142130
Van Antwerp Creek	id=g:5142131
Valley Stream State Park	id=g:5142132
Van Benschoten Cemetery	id=g:5142133
Van Benthuysen Brook	id=g:5142134
Van Antwerp Middle School	id=g:5142135
Van Buren Bay	id=g:5142136
Van Buren Bay	id=g:5142137
