Astakhnovo	id=g:7080483
Lashutino	id=g:7080595
Grigorino	id=g:7080596
Maslovo	id=g:7080597
Krushinino	id=g:7080598
Oshestki	id=g:7080599
Ozero Chërnoye	id=g:7080600
Chernitsa	id=g:7080601
Drozdkovo	id=g:7080602
Komissary	id=g:7080603
Sushchëvo	id=g:7080604
Sintsovo	id=g:7080605
Boyarshchino	id=g:7080606
Belomuty	id=g:7080607
Domnino	id=g:7080608
Pritchi	id=g:7080609
Bukolovo	id=g:7080610
Volkovo	id=g:7080611
Yartsevo	id=g:7080612
Sheykino	id=g:7080613
Koninovo	id=g:7080614
Korni	id=g:7080615
Sukhorukovo	id=g:7080616
Ozero Rubezhnoye	id=g:7080617
Zapeklevo	id=g:7080618
Gorodishche	id=g:7080619
Gorushka	id=g:7080620
Grebeshino	id=g:7080621
Pantsernovo	id=g:7080622
Urochishche Tyanukhi	id=g:7080623
Kozhentsy	id=g:7080624
Mayzelovo	id=g:7080625
Lugi	id=g:7080626
Gnilishche	id=g:7080627
Klyuchki	id=g:7080628
Grishino	id=g:7080629
Ozero Gar’	id=g:7080630
Ozero Rovnyazhskoye	id=g:7080631
Matveyevo	id=g:7080632
Ogurtsovo	id=g:7080633
Viselki	id=g:7080634
Zhevlaki	id=g:7080635
Shkelevo	id=g:7080636
Yermolovo	id=g:7080637
Kovyryayevo	id=g:7080638
Yekimtsevo	id=g:7080639
Shvetsovo	id=g:7080640
Bakharëvo	id=g:7080641
Yeldino	id=g:7080642
Volkovo	id=g:7080643
P’yanovo	id=g:7080644
Koloshino	id=g:7080645
Glushnevo	id=g:7080646
Katkovo	id=g:7080647
Chashnitsa	id=g:7080648
Abrosimovo	id=g:7080649
Perkhovo	id=g:7080650
Mochalkovo	id=g:7080651
Fedorkovo	id=g:7080652
Zyabki	id=g:7080653
Ozero Isenno	id=g:7080654
Lobovo	id=g:7080655
Ozero Kosarno	id=g:7080656
Zhgunovo	id=g:7080657
Kudenkovo	id=g:7080658
Terekhi	id=g:7080659
Polikhnovo	id=g:7080660
Reshetnikovo	id=g:7080661
Ledovo	id=g:7080662
Avinishchi	id=g:7080663
Makhnovo	id=g:7080664
Shelukhi	id=g:7080665
Zanogi	id=g:7080666
Kobylkino	id=g:7080667
Markovo	id=g:7080668
Ozero Sinovino	id=g:7080669
Fed’kino	id=g:7080670
Provedishchi	id=g:7080671
Nizhneye	id=g:7080672
Pogorelovo	id=g:7080673
Astashëvo	id=g:7080674
Kazikhi	id=g:7080675
Grechukhino	id=g:7080676
Russkiye-Rzhavki	id=g:7080677
Rzhavki	id=g:7080678
Nakly	id=g:7080679
Shchemelinki	id=g:7080680
Boldino	id=g:7080681
Agur’yevo	id=g:7080682
Khopalovo	id=g:7080683
Zhegi	id=g:7080684
Khrulëvo	id=g:7080685
Guzhevo	id=g:7080686
Pyzhiki	id=g:7080687
Pleshki	id=g:7080688
Karesëlka	id=g:7080689
Ozero Koninovskoye	id=g:7080690
Rubanovo	id=g:7080691
Ozero Zuyevskoye	id=g:7080692
Ostrilovo	id=g:7080693
Izotovo-Bobrovo	id=g:7080694
Yamishchi	id=g:7080695
Leokhnovo	id=g:7080696
Utretki	id=g:7080697
Zavarzino	id=g:7080698
Semënovo	id=g:7080699
Slyazhino	id=g:7080700
Lopatino	id=g:7080701
Staklino	id=g:7080702
Vlasovo	id=g:7080703
Kamenka	id=g:7080704
Zagar’ye	id=g:7080705
Ozero Kvashnets	id=g:7080706
Lub’yevo	id=g:7080707
Brod	id=g:7080708
Koshnyaki	id=g:7080709
Kozynovo	id=g:7080710
Khlyusty	id=g:7080711
Yermolova Gora	id=g:7080712
Agur’yanovo	id=g:7080713
Usadishchi	id=g:7080714
Butyn’ki	id=g:7080715
Pyupino	id=g:7080716
Govyadovo	id=g:7080717
Bubny	id=g:7080718
Kostuchikha	id=g:7080719
Klin	id=g:7080720
Klyushevo	id=g:7080721
Zuyevo	id=g:7080722
Zhuki	id=g:7080723
Varaksino	id=g:7080724
Ovinishchi	id=g:7080725
Smagino	id=g:7080726
Zentsovo	id=g:7080727
Malyuzino	id=g:7080728
Khodyuki	id=g:7080729
Kazikhi	id=g:7080730
Shershni	id=g:7080731
Vorontsovo	id=g:7080732
Rybno	id=g:7080733
Leshani	id=g:7080734
Litvinovo	id=g:7080735
Ozero Ostrovito	id=g:7080736
Dorbyshi	id=g:7080737
Chertovo	id=g:7080738
Vlazovichi	id=g:7080739
Masenkovo	id=g:7080740
Puchnino	id=g:7080741
Nesterovo	id=g:7080742
Ozero Prikhabskoye	id=g:7080743
Boklanitsy	id=g:7080744
Karely	id=g:7080745
Ivany	id=g:7080746
Grishmany	id=g:7080747
Boshkino	id=g:7080748
Aleksandrovo	id=g:7080749
Morozovka	id=g:7080750
Boroviki	id=g:7080751
Vyakino	id=g:7080752
Kozyrëvo	id=g:7080753
Ovsyanki	id=g:7080754
Rubany	id=g:7080755
Noglovo	id=g:7080756
Kozel’tsy	id=g:7080757
Sofiyskoye	id=g:7080758
Gasporovo	id=g:7080759
Mogili	id=g:7080760
Mezhentsy	id=g:7080761
Armanovo	id=g:7080762
Kamenets	id=g:7080763
Los’ma	id=g:7080764
Andrepol’ye	id=g:7080765
Gryaznyye	id=g:7080766
Ovsyanki	id=g:7080767
Zarech’ye	id=g:7080768
Zabolot’ye	id=g:7080769
Khvoshchinka	id=g:7080770
Vygorodka	id=g:7080771
Grumady	id=g:7080772
Malinovka	id=g:7080773
Zamkovo-Morozovka	id=g:7080774
Kostelëvo	id=g:7080775
Selishche	id=g:7080776
Romanovo	id=g:7080777
Verino	id=g:7080778
Ryabikovo	id=g:7080779
Levnovo	id=g:7080780
Matskovo	id=g:7080781
Raykovo	id=g:7080782
Gvozdy	id=g:7080783
Ozero Kitskovskoye	id=g:7080784
Shushkovo	id=g:7080785
Zheludy	id=g:7080786
Pristan’	id=g:7080787
Kholoye	id=g:7080788
Khodyki	id=g:7080789
Bol’shiye Gvozdy	id=g:7080790
Yakovlevo	id=g:7080791
Glukharëvo	id=g:7080792
Koshevo	id=g:7080793
Trubino	id=g:7080794
Klishino	id=g:7080795
Stantsiya Idritsa	id=g:7080796
Yalovki	id=g:7080797
Bilevitsa	id=g:7080798
Alatovichi	id=g:7080799
Prosni	id=g:7080800
Ozero Alatovichi	id=g:7080801
Zuyevka	id=g:7080802
Motygino	id=g:7080803
Zamosh’ye	id=g:7080804
Frolovshchina	id=g:7080805
Guta	id=g:7080806
Litvinovka	id=g:7080807
Krementsy	id=g:7080808
Shuni	id=g:7080809
Zharkovo	id=g:7080810
Ostrovno	id=g:7080811
Ozero Ostrovenskoye	id=g:7080812
Bel’chaninovo	id=g:7080813
Mel’nitsa	id=g:7080814
Shkigino	id=g:7080815
Puchnino	id=g:7080816
Baydakovo	id=g:7080817
Yaskino	id=g:7080818
Bychkovo	id=g:7080819
Skripki	id=g:7080820
Ozero Zalosemskoye	id=g:7080821
Gornyaya	id=g:7080822
Shkigino	id=g:7080823
Shikenevo	id=g:7080824
Syltanovo	id=g:7080825
Voytekhovo	id=g:7080826
Belyye Klyuchi	id=g:7080827
Makene	id=g:7080828
Akhromei	id=g:7080829
Khroshki	id=g:7080830
Ozero Zasitinskoye	id=g:7080831
Valtrevo	id=g:7080832
Dylnovo	id=g:7080833
Usovo Ovinki	id=g:7080834
Kapustino	id=g:7080835
Posin’	id=g:7080836
Puzyrëvo	id=g:7080837
Bezgribovo	id=g:7080838
Diviny	id=g:7080839
Kalnyshi	id=g:7080840
Bondarëvo	id=g:7080841
Vasil’kovo	id=g:7080842
Ozero Orekhovno	id=g:7080843
Loguny	id=g:7080844
Purgeli	id=g:7080845
Tsynki	id=g:7080846
Glazkovo	id=g:7080847
Avseykovo	id=g:7080848
Shuty	id=g:7080849
Gasporovo	id=g:7080850
Arestovo	id=g:7080851
Baranovshchina	id=g:7080852
Korshaninkovo	id=g:7080853
Sundukovo	id=g:7080854
Gusevo	id=g:7080855
Dmitrovo	id=g:7080856
Ostanovochnyy Punkt 611 km	id=g:7080857
Ptushkino	id=g:7080858
Sovrashchina	id=g:7080859
Osetki	id=g:7080860
Zamost’ye	id=g:7080861
Berëzki	id=g:7080862
Novoloki	id=g:7080863
Ozero Ostrovno	id=g:7080864
Ostrovno	id=g:7080865
Idriya	id=g:7080866
Ozero Idriya	id=g:7080867
Luzhki	id=g:7080868
Raduni	id=g:7080869
Starokozlovo	id=g:7080870
Kovalëvo-Sizhen’ye	id=g:7080871
Ozero Zarodishche	id=g:7080872
Zarodishche	id=g:7080873
Tarasy	id=g:7080874
Greblo	id=g:7080875
Nevedryanka	id=g:7080876
Loyno	id=g:7080877
Cheremushnitsa	id=g:7080878
Tkachi	id=g:7080879
Barsuki	id=g:7080880
Livitsa	id=g:7080881
Gribel’tsy	id=g:7080882
Kozlovo	id=g:7080883
Prudishche	id=g:7080884
Maksimkovo	id=g:7080885
Borki	id=g:7080886
Putina	id=g:7080887
Grishino	id=g:7080888
Lopukhi	id=g:7080889
Kharmanovo	id=g:7080890
Tolstukha	id=g:7080891
Selishche	id=g:7080892
Mal’kovo	id=g:7080893
Gorbuny	id=g:7080894
Ul’yanovshchina	id=g:7080895
Epimakhovo	id=g:7080896
Zagady	id=g:7080897
Zatur’ye	id=g:7080898
Tekhomichi	id=g:7080899
Klevino	id=g:7080900
Krekovo	id=g:7080901
Gusevo	id=g:7080902
Konoplyastik	id=g:7080903
Selivanovo	id=g:7080904
Ozero Dedino	id=g:7080905
Studënka	id=g:7080906
Barlovo	id=g:7080907
Zastarin’ye	id=g:7080908
Litvinovo	id=g:7080909
Ilovo	id=g:7080910
Shuty	id=g:7080911
Ugarinka	id=g:7080912
Kapanovo	id=g:7080913
Repshino	id=g:7080914
Cherneya	id=g:7080915
Praski	id=g:7080916
Borodulino	id=g:7080917
Donyushka	id=g:7080918
Osinniki	id=g:7080919
Novoye Lukovo	id=g:7080920
Staroye Lukovo	id=g:7080921
Fed’kovo	id=g:7080922
Drozdovo	id=g:7080923
Terekhi	id=g:7080924
Krasnaya Voda	id=g:7080925
Ozero Demino	id=g:7080926
Kostino	id=g:7080927
Balyki	id=g:7080928
Poddub’ye	id=g:7080929
Grinëvo	id=g:7080930
Khodotovo	id=g:7080931
Klevtsy	id=g:7080932
Nikolayenki	id=g:7080933
Zanogi	id=g:7080934
Glapti	id=g:7080935
Yazvin’	id=g:7080936
Nishchanka	id=g:7080937
Ukleynitsa	id=g:7080938
Metishchi	id=g:7080939
Morozovo	id=g:7080940
Zalinevo	id=g:7080941
Ozero Anninskoye	id=g:7080942
Sutoki	id=g:7080943
Pligovki	id=g:7080944
Lavrovo	id=g:7080945
Skokovo	id=g:7080946
Goncharovo	id=g:7080947
Ozero Anisimovo	id=g:7080948
Belogurovo	id=g:7080949
Kuz’mino	id=g:7080950
Ozero Ostrovno	id=g:7080951
Zabel’ye	id=g:7080952
Glubochitsa	id=g:7080953
Storona	id=g:7080954
Orekhovka	id=g:7080955
Steymaki	id=g:7080956
Ozero Midino	id=g:7080957
Midino	id=g:7080958
Zales’ye	id=g:7080959
Ozero Zales’ye	id=g:7080960
Vizoven’	id=g:7080961
Natsional’nyy Park Sebezhskiy	id=g:7080962
Ozero Bron’ye	id=g:7080963
Komary	id=g:7080964
Turkovo	id=g:7080965
Zamoshan’ye	id=g:7080966
Ozero Glubokoye	id=g:7080967
Gorushka	id=g:7080968
Fomino	id=g:7080969
Peschanka	id=g:7080970
Ozero Albetskoye	id=g:7080971
Bol’shoye Drozdovo	id=g:7080972
Petrovino	id=g:7080973
Kovalëvka	id=g:7080974
Lopatino	id=g:7080975
Grudinino	id=g:7080976
Goyshino	id=g:7080977
Borki	id=g:7080978
Pozhinki	id=g:7080979
Ogurki	id=g:7080980
Mashikhino	id=g:7080981
Zalivitsa	id=g:7080982
Kostelishche	id=g:7080983
Dvoritsy	id=g:7080984
Sheklaki	id=g:7080985
Utuga	id=g:7080986
Chukhovo	id=g:7080987
Astashkovo	id=g:7080988
Dashkovo	id=g:7080989
Olbita	id=g:7080990
Poleykovichi	id=g:7080991
Klësino	id=g:7080992
Novikovo	id=g:7080993
Poddubniki	id=g:7080994
Ozero Berezvitsa	id=g:7080995
Levoninskaya	id=g:7080996
Ozero Motyazh	id=g:7080997
Morskoye	id=g:7080998
Zhuki	id=g:7080999
Piskuny	id=g:7081000
Ladeyevo	id=g:7081001
Kazinka	id=g:7081002
Ozero Nitsa	id=g:7081003
Bukatino	id=g:7081004
Gora Orzhaniki	id=g:7081005
Gora Baran’ya	id=g:7081006
Maloye Krupovo	id=g:7081007
Ozero Ormeya	id=g:7081008
Ozero Yaritsa	id=g:7081009
Glatovo	id=g:7081010
Kapustino	id=g:7081011
Baydakovo	id=g:7081012
Gorelovo	id=g:7081013
Pripeshi	id=g:7081014
Bulavchino	id=g:7081015
Mel’nitsa	id=g:7081016
Klyuch	id=g:7081017
Litvinovo	id=g:7081018
Budani	id=g:7081019
Ozero Chërnoye	id=g:7081020
Mikheyevo	id=g:7081021
Krugliki	id=g:7081022
Pustoshka	id=g:7081023
Berëzavets	id=g:7081024
Duplevo	id=g:7081025
Maleyevo	id=g:7081026
Predkovo	id=g:7081027
Ozero Dolostsy	id=g:7081028
Koklino	id=g:7081029
Pityuli	id=g:7081030
Tomsino	id=g:7081031
Ozero Tomsino	id=g:7081032
Veremeyevo	id=g:7081033
Volovniki	id=g:7081034
Nepadovichi	id=g:7081035
Moshchënoye	id=g:7081036
Ozero Devitsy	id=g:7081037
Devitsy	id=g:7081038
Osyna	id=g:7081039
Ashnarovo	id=g:7081040
Ol’khoviki	id=g:7092327
Petrovo	id=g:7092328
Terekhi	id=g:7092329
Sipino	id=g:7092330
Glukhovo	id=g:7092331
Bryanka	id=g:7092332
Urochishche Sosnovaya	id=g:7092333
Rakita	id=g:7092334
Mamonovo	id=g:7092335
Miterenki	id=g:7092336
Mart’yanovo	id=g:7092337
Borodino	id=g:7092338
Semënovskoye	id=g:7092339
Novoye Koryavino	id=g:7092342
Shchitniki	id=g:7092343
Pokornovo	id=g:7092344
Dryazhna	id=g:7092345
Lopushki	id=g:7092346
Kiryakino	id=g:7092347
Yermachki	id=g:7092348
Khat’yanovo	id=g:7092349
Krivtsy	id=g:7092350
Krasnyye Gory	id=g:7092351
Barsuchki	id=g:7092352
Kuz’mishkino	id=g:7092353
Pishchulino	id=g:7092354
Grintsovo	id=g:7092355
Krasnyy Pakhar’	id=g:7092356
Chasovnya	id=g:7092357
Novaya Borovka	id=g:7092358
Gorodok	id=g:7092359
Mashkino	id=g:7092360
Nadva	id=g:7092361
Vasil’yevo	id=g:7092362
Tsur’kovo	id=g:7092363
Mol’kovo	id=g:7092364
Mar’ino	id=g:7092365
Mezhniki	id=g:7092366
Sokolovo	id=g:7092367
Puzynino	id=g:7092368
Ryasino	id=g:7092369
Astrogan’	id=g:7092370
Zolovnya	id=g:7092371
Rogachëvo	id=g:7092372
Isakovo	id=g:7092373
Byl’niki	id=g:7092374
Ryasino	id=g:7092375
Magalinshchina	id=g:7092376
Shchëtkino	id=g:7092377
Piskarikha	id=g:7092378
Distantsiya Pervaya	id=g:7092379
Babynino	id=g:7092380
Volicheyka	id=g:7092381
Sokol’niki	id=g:7092382
Lubino	id=g:7092383
Yerevnya	id=g:7092384
Ostanovochnyy Punkt 397 km	id=g:7092385
Leshino	id=g:7092386
Kozlovo	id=g:7092387
Zabolot’ye	id=g:7092388
Kuzino	id=g:7092389
Krichkovo	id=g:7092390
Luna	id=g:7092391
Berezhok	id=g:7092392
Kucherovskoye Lesnichestvo	id=g:7092393
Urochishche Kucherovskiy Les	id=g:7092394
Ivonino	id=g:7092395
Viletovka	id=g:7092396
Novaya	id=g:7092397
Balakirevo Vtoroye	id=g:7092398
Iskra	id=g:7092399
Parshino	id=g:7092400
Krasil’shchino	id=g:7092401
Tatarovshchina	id=g:7092402
Papkovo	id=g:7092403
Stolybino	id=g:7092404
Yeroven’ka	id=g:7092405
Staroye Sinyavino	id=g:7092406
Mokryatchino	id=g:7092407
Blokpost Valutino	id=g:7092408
Stantsiya Smolensk-Sortirovochnyy	id=g:7092409
Zagor’ye	id=g:7092410
Milovidovo	id=g:7092411
Tikhvinka	id=g:7092412
Posëlok Remontno-Tekhnicheskaya Stantsiya	id=g:7092413
Altukhovka	id=g:7092414
Kozino	id=g:7092415
Rogachëvo	id=g:7092416
Onokhovo	id=g:7092417
Val’kovo	id=g:7092418
Chui	id=g:7092419
Pridneprovskaya	id=g:7092420
Stantsiya Stabna	id=g:7092421
Kanal Neglinnyy	id=g:7092422
Kanal Tsentral’nyy	id=g:7092423
Belaya Griva	id=g:7092424
Slobodka	id=g:7092425
Fodorovo	id=g:7092426
Ostanovochnyy Punkt 551 km	id=g:7092427
Konchino	id=g:7092428
Kulakovo	id=g:7092429
Naumovo	id=g:7092430
Lashutina	id=g:7092431
Ostanovochnyy Punkt 368 km	id=g:7092432
Selifonovo	id=g:7092433
Mosolova Gora	id=g:7092434
Goryany	id=g:7092435
Dryutsk	id=g:7092436
Tomashëvka	id=g:7092437
Verbovka	id=g:7092438
Znamenka	id=g:7092439
Prigorskoye	id=g:7092440
Nagat’	id=g:7092441
Nagat’	id=g:7092442
Razdorovo	id=g:7092443
Ostrov	id=g:7092444
Pristan’ Boroviki	id=g:7092445
Semekhino	id=g:7092446
Pristan’ Nizhniye Nemykari	id=g:7092447
Bolotovo	id=g:7092448
Taleyevka	id=g:7092449
Matrenino	id=g:7092450
Mar’ino	id=g:7092451
Bezzaboty	id=g:7092452
Lyady	id=g:7092453
Stantsiya Glinka	id=g:7092454
Petropavlovka	id=g:7092455
Rudlovo	id=g:7092456
Yanovo	id=g:7092457
Ostanovochnyy Punkt Yanovskiy	id=g:7092458
Berezinka	id=g:7092459
Flenovo	id=g:7092460
Avdot’ino	id=g:7092461
Boreshino	id=g:7092462
Telicheno	id=g:7092463
Mukhanino	id=g:7092464
Rakovo	id=g:7092465
Nemchino	id=g:7092466
Il’inskoye	id=g:7092467
Koshchino Pervoye	id=g:7092468
Kolenovo	id=g:7092469
Strel’niki	id=g:7092470
Beloruch’ye	id=g:7092471
Ostanovochnyy Punkt 349 km	id=g:7092472
Akuly	id=g:7092473
Voskresensk	id=g:7092474
Belkino	id=g:7092475
Rzhavets	id=g:7092476
Orlovo	id=g:7092477
Ivonino	id=g:7092478
Urochishche Klekhovskiy Mokh	id=g:7092479
Kosobuki	id=g:7092480
Ptakhino	id=g:7092481
Panskoye Vtoroye	id=g:7092482
Panskoye Pervoye	id=g:7092483
Kurchevshchina	id=g:7092484
Ostanovochnyy Punkt Zykolino	id=g:7092485
Nikol’skoye	id=g:7092486
Mar’ino	id=g:7092487
Tychinino	id=g:7092488
Urochishche Galino	id=g:7092489
Pokroye	id=g:7092490
Shibanovo	id=g:7092491
Mityushino	id=g:7092492
Bykovo	id=g:7092493
Sviridonovo	id=g:7092494
Panskaya Mashino-Traktornaya Masterskaya	id=g:7092495
Likhachëvo	id=g:7092496
Chuchelovo Vtoroye	id=g:7092497
Gusakovo	id=g:7092498
Rozovka	id=g:7092499
Nivki	id=g:7092500
Yasenok	id=g:7092501
Kartavoye	id=g:7092502
Ozero Lagovskoye	id=g:7092503
Tatarovo	id=g:7092504
Aleksino	id=g:7092505
Sestrino	id=g:7092506
Pakhomovo	id=g:7092507
Samolyubovo	id=g:7092508
Beliki	id=g:7092509
Polna	id=g:7092510
Klemyatino	id=g:7092511
Barsuki	id=g:7092512
Potëmkino	id=g:7092513
Belokotolovo	id=g:7092514
Zyakhino	id=g:7092515
Kharinka	id=g:7092516
Mishukovo	id=g:7092517
Berdebyaki Tret’ye	id=g:7092518
Beloye	id=g:7092519
Boyady Pervyye	id=g:7092520
Prudki Vtoryye	id=g:7092521
Prudki Pervyye	id=g:7092522
Verdikhovo	id=g:7092523
Molokovo	id=g:7092524
Kazinka	id=g:7092525
Vepryanka	id=g:7092526
Matveyevo	id=g:7092527
Svetloye	id=g:7092528
Martynovo	id=g:7092529
Proverzhenka	id=g:7092530
Tsyganovka	id=g:7092531
Prikhmar’ye	id=g:7092532
Revyki	id=g:7092533
Lyadovskoye Torfboloto	id=g:7092534
Kocherezhka	id=g:7092535
Dertyanka	id=g:7092536
Kocherezh’ye	id=g:7092537
Petrishchevo	id=g:7092538
Urochishche Bordavitsy	id=g:7092539
Pavlovo	id=g:7092540
Bor	id=g:7092541
Vesëlovka	id=g:7092542
Podbor’ye	id=g:7092543
Pochinok	id=g:7092544
Dokudovo	id=g:7092545
Garbuzovka	id=g:7092546
Baranovka	id=g:7092547
Khmorka	id=g:7092548
Krasilovka	id=g:7092549
Kominternovskiy L’nozavod	id=g:7092550
Kozyatniki	id=g:7092551
Rudnya	id=g:7092552
Demeshki	id=g:7092553
Kostinskoye	id=g:7092554
Svaly	id=g:7092555
Sloboda	id=g:7092556
Kliny	id=g:7092557
Mokryadino	id=g:7092558
Boriskovo	id=g:7092559
Troitskoye	id=g:7092560
Sychëvka	id=g:7092561
Buda Zemtsova	id=g:7092562
Kolosovka	id=g:7092563
Uymovka	id=g:7092564
Zaytsovka	id=g:7092565
Pantyukhovka	id=g:7092566
Fëdorovo	id=g:7092567
Tushemlya	id=g:7092568
Machuly Pervyye	id=g:7092569
Machuly Vtoryye	id=g:7092570
Novosel’ye	id=g:7092571
Kukuyevo	id=g:7092572
Vzgonskoye Pervoye	id=g:7092573
Dubrovka	id=g:7092574
Shimonovka	id=g:7092575
Ol’khovskoye	id=g:7092576
Zabolot’ye	id=g:7092577
Zakharovka	id=g:7092578
Terekhovka	id=g:7092579
Vasil’yevo	id=g:7092580
Urochishche Skoblyanka	id=g:7092581
Semygovka	id=g:7092582
Voshchilovka	id=g:7092583
Sukhovily	id=g:7092584
Nikulino	id=g:7092585
Murav’yëvo Pervoye	id=g:7092586
Murav’yëvo Vtoroye	id=g:7092587
Novaya Aleksandrovka	id=g:7092588
Galeyevka	id=g:7092589
Nikitino	id=g:7092590
Postarok	id=g:7092591
Chernavka	id=g:7092592
Stomyatskoye	id=g:7092593
Meregoshche	id=g:7092594
Polufeyevka	id=g:7092595
Zarech’ye	id=g:7092596
Vladimirovka	id=g:7092597
Bogovka	id=g:7092598
Berezhok	id=g:7092599
Likhnovo	id=g:7092600
Posëlok Stodolishchenskogo L’nozavoda	id=g:7092601
Vodotok	id=g:7092602
Nikolayevka	id=g:7092603
Cherepovishche	id=g:7092604
Shishki	id=g:7092605
Minovka	id=g:7092606
Krasnyy Posëlok	id=g:7092607
Malinnik	id=g:7092608
Malyye Lyzki	id=g:7092609
Torfopredpriyatiye Turkovskoye	id=g:7092610
Kozlovo Pervoye	id=g:7092611
Staraya Vorob’yevka	id=g:7092612
Ognepol’ye	id=g:7092613
Kalinovka	id=g:7092614
Kamenshina	id=g:7092615
Khutor Novaya Rudnya	id=g:7092616
Krasilovka	id=g:7092617
Yefremovka	id=g:7092618
Golubi	id=g:7092619
Martynovka	id=g:7092620
Stantsiya Stodolishche	id=g:7092621
Budyanka	id=g:7092622
Syakovka	id=g:7092623
Kustovka	id=g:7092624
Urochishche Sokolovskiy Les	id=g:7092625
Zal’nitskoye	id=g:7092626
Zarevo	id=g:7092627
Kukuy	id=g:7092628
Podluzh’ye	id=g:7092629
Malaya Khutora	id=g:7092630
Bogdanovka	id=g:7092631
Krasnyy Bor	id=g:7092632
Lar’kovka	id=g:7092633
Bolotovo	id=g:7092634
Lyakhtovka	id=g:7092635
Zhukovichi	id=g:7092636
Kholupovka	id=g:7092637
Mikhaylovka	id=g:7092638
Stantsiya Engel’gardtovskaya	id=g:7092639
Ivanovka	id=g:7092640
Komarovka Pervaya	id=g:7092641
Novaya Moiseyevka	id=g:7092642
Dolgiy Most	id=g:7092643
Vyazemka	id=g:7092644
Dyatlovka	id=g:7092645
Leninskiy Stan	id=g:7092646
Pyt’ki	id=g:7092647
Khaynovshchina	id=g:7092648
Staryye Sivai	id=g:7092649
Maloye Shkundino	id=g:7092650
Kosachëvka	id=g:7092651
Komissarovka	id=g:7092652
Abakumovka	id=g:7092653
Kukuyevka	id=g:7092654
Ilovnya	id=g:7092655
Krasnyy Pakhar’	id=g:7092656
Bol’shaya Ignatovka	id=g:7092657
Malaya Ignatovka	id=g:7092658
Sloboda	id=g:7092659
Kagarichi	id=g:7092660
Glinki	id=g:7092661
Ozero Stoyacheye	id=g:7092662
Belki	id=g:7092663
Zhukovoskiy Dom Invalidov	id=g:7092664
