Yên Xá	id=g:1560031
Yên Ỏn	id=g:1560133
Yên Ổn	id=g:1560134
Yên Ốc	id=g:1560135
Yên Nội	id=g:1560136
Yên Nội	id=g:1560137
Yên Nội	id=g:1560138
Yên Ninh	id=g:1560139
Yên Ninh	id=g:1560140
Yên Ninh	id=g:1560141
Yên Ninh	id=g:1560142
Yên Ninh	id=g:1560143
Yên Nhuận	id=g:1560144
Yên Nhân	id=g:1560145
Yên Nhân	id=g:1560146
Yên Ngưu	id=g:1560147
Yên Ngựa (2)	id=g:1560148
Yên Nghĩa	id=g:1560149
Yên Nghĩa	id=g:1560150
Yến Nê (3)	id=g:1560151
Yến Nê (1)	id=g:1560152
Yèn Nau	id=g:1560153
Yên Mỹ	id=g:1560154
Yên Mỹ	id=g:1560155
Yên Mỹ	id=g:1560156
Yên Mỹ	id=g:1560157
Yên Mỹ	id=g:1560158
Yên Mỹ	id=g:1560159
Yên Mỹ	id=g:1560160
Yên Mỹ	id=g:1560161
Yên Mông	id=g:1560162
Yên Mông	id=g:1560163
Yên Mô	id=g:1560164
Yên Mô	id=g:1560165
Yên Minh	id=g:1560166
Yên Minh	id=g:1560167
Yên Minh	id=g:1560168
Yên Minh	id=g:1560169
Yên Mao	id=g:1560170
Yên Mạc	id=g:1560171
Yên Mã	id=g:1560172
Yên Lý Thượng	id=g:1560173
Yên Lý Ngoại	id=g:1560174
Yên Lý Ðông	id=g:1560175
Trạm Yên Lý	id=g:1560176
Núi Yên Luyên	id=g:1560177
Yên Lưu	id=g:1560178
Yên Lương	id=g:1560179
Yên Lường	id=g:1560180
Yên Lương	id=g:1560181
Yên Lương	id=g:1560182
Yên Lương	id=g:1560183
Yên Lương	id=g:1560184
Yên Lược	id=g:1560185
Yên Lũng	id=g:1560186
Yên Lộc	id=g:1560187
Yên Lộc	id=g:1560188
Yên Lôc	id=g:1560189
Yên Lỗ	id=g:1560190
Yên Lô	id=g:1560191
Ngòi Yên Lĩnh	id=g:1560192
Yên Lĩnh	id=g:1560193
Yên Linh	id=g:1560194
Yên Liêu Thượng	id=g:1560195
Yên Liêu Hạ	id=g:1560196
Yen Liet	id=g:1560197
Yên Lich	id=g:1560198
Yên Lịch	id=g:1560199
Yên Lễ	id=g:1560200
Yên Lệ	id=g:1560201
Yên Lệ	id=g:1560202
Yến Lâu	id=g:1560203
Yên Lập	id=g:1560204
Yên Lập	id=g:1560205
Yên Lão Giáp	id=g:1560206
Yên Lão	id=g:1560207
Yên Lão	id=g:1560208
Yên Lão	id=g:1560209
Yên Lão	id=g:1560210
Yên Lãnh	id=g:1560211
Yên Lãng (1)	id=g:1560212
Yên Lăng (1)	id=g:1560213
Yên Lãng	id=g:1560214
Yên Lãng	id=g:1560215
Yên Lãng	id=g:1560216
Yên Lãng	id=g:1560217
Yên Lăng	id=g:1560218
Yên Lãng	id=g:1560219
Yên Lăng	id=g:1560220
Yên Lan	id=g:1560221
Yên Lâm	id=g:1560222
Yên Lại	id=g:1560223
Yên Lại	id=g:1560224
Yên Lại	id=g:1560225
Yên Lac (1)	id=g:1560226
Yên Lạc	id=g:1560227
Yên Lạc	id=g:1560228
Yên Lac	id=g:1560229
Yên Lạc	id=g:1560230
Yên Lạc	id=g:1560231
Yên Lạc	id=g:1560232
Yên Lạc	id=g:1560233
Yên Lac	id=g:1560234
Yên Lạc	id=g:1560235
Yên Lạc	id=g:1560236
Suối Yen La	id=g:1560237
Yên Kỳ	id=g:1560238
Yên Kiên (2)	id=g:1560239
Yên Kiện (1)	id=g:1560240
Yen Khuong	id=g:1560241
Yên Khoái Mỹ Thôn	id=g:1560242
Yên Khoái	id=g:1560243
Yèn Khoái	id=g:1560244
Yên Khoái	id=g:1560245
Yên Khê	id=g:1560246
Yên Khê	id=g:1560247
Yên Khang	id=g:1560248
Ye Niou Ping	id=g:1560249
Yên Huy	id=g:1560250
Yên Hưng	id=g:1560251
Yên Hùng	id=g:1560252
Yên Hợp	id=g:1560253
Yên Hội Ha	id=g:1560254
Yên Hôi	id=g:1560255
Yên Hoa Thương	id=g:1560256
Yên Hoành	id=g:1560257
Rivière de Yên Hoa	id=g:1560258
Yen Hòa	id=g:1560259
Yên Hoa	id=g:1560260
Yên Hòa	id=g:1560261
Yên Hâu	id=g:1560262
Yên Hâu	id=g:1560263
Yên Ha	id=g:1560264
Yên Hạ	id=g:1560265
Yên Giúng	id=g:1560266
Yên Giu Nam (1)	id=g:1560267
Yên Giu Ðông	id=g:1560268
Yên Giu Bắc (2)	id=g:1560269
Yên Giu Bắc (1)	id=g:1560270
Yên Giơi	id=g:1560271
Pia Yeng	id=g:1560272
Yên Ðuyệt	id=g:1560273
Yên Duyệt	id=g:1560274
Núi Yên Duyên	id=g:1560275
Yên Duyên	id=g:1560276
Yên Ðương	id=g:1560277
Yên Dương	id=g:1560278
Yên Dương	id=g:1560279
Yên Dương	id=g:1560280
Yên Dương	id=g:1560281
Yên Dượng	id=g:1560282
Yên Ðưc Xã	id=g:1560283
Yên Ðức	id=g:1560284
Yên Dung (1)	id=g:1560285
Yên Ðũng Thương	id=g:1560286
Yèn Ðung Hạ	id=g:1560287
Yên Duệ	id=g:1560288
Chư Yen Du	id=g:1560289
Yen Ðông (2)	id=g:1560290
Núi Yen Dong	id=g:1560291
Yên Ðộng	id=g:1560292
Yên Ðông	id=g:1560293
Yen Dong	id=g:1560294
Yên Ðông	id=g:1560295
Yên Ðồng	id=g:1560296
Yên Ðông	id=g:1560297
Yên Ðội Hạ	id=g:1560298
Yên Ðội	id=g:1560299
Yên Ðổ	id=g:1560300
Yén Do	id=g:1560301
Yên Ðổ	id=g:1560302
Yên Do	id=g:1560303
Yên Ðịnh	id=g:1560304
Hương Thiêu Yên	id=g:1560305
Yên Ðình	id=g:1560306
Yên Dinh	id=g:1560307
Yên Dịnh	id=g:1560308
Yèn Ðiên	id=g:1560309
Yên Ðiên	id=g:1560310
Yên Ðiêm	id=g:1560311
Yên Ðiệm	id=g:1560312
Yên Ðiềm	id=g:1560313
Yên Ðiềm	id=g:1560314
Yên Ðề	id=g:1560315
Yên Dât	id=g:1560316
Yên Ðạo	id=g:1560317
Yên Dân	id=g:1560318
Yên Dan	id=g:1560319
Yên Ðai	id=g:1560320
Yên Ða	id=g:1560321
Yên Cu (1)	id=g:1560322
Yên Cương	id=g:1560323
Yên Cư	id=g:1560324
Yên Cư	id=g:1560325
Yên Cư	id=g:1560326
Yên Cư	id=g:1560327
Yên Cư	id=g:1560328
Yên Cu	id=g:1560329
Yen Coi	id=g:1560330
Yên Côc	id=g:1560331
Yên Cốc	id=g:1560332
Yên Chu	id=g:1560333
Yên Châu	id=g:1560334
Yên Châu	id=g:1560335
Yên Châu	id=g:1560336
Yên Châu	id=g:1560337
Yên Cát	id=g:1560338
Yên Cái	id=g:1560339
Yên Bồ	id=g:1560340
Chư Yen Bline	id=g:1560341
Yên Bình Xã	id=g:1560342
Yên Bình	id=g:1560343
Yên Bình	id=g:1560344
Yên Bình	id=g:1560345
Yên Bình	id=g:1560346
Núi Yên Beo	id=g:1560347
Núi Yên Bầu	id=g:1560348
Yên Bái	id=g:1560349
Yên Bài	id=g:1560350
Yên Bài	id=g:1560351
Yên Bài	id=g:1560352
Yên Bạc	id=g:1560353
Yên Bạc	id=g:1560354
Yến Bằc	id=g:1560355
Yên Ấp	id=g:1560356
Sông Yên	id=g:1560357
Sông Yên	id=g:1560358
Núi Yến	id=g:1560359
Nam Yen	id=g:1560360
Mũi Yến	id=g:1560361
Hòn Yen	id=g:1560362
Yệ Linh	id=g:1560363
Yé Kla	id=g:1560364
Ye Cao	id=g:1560365
Suối Yé	id=g:1560366
Chư Yé	id=g:1560367
Y Ðốn Ngoai	id=g:1560368
Y Chou Phen	id=g:1560369
Y Chou Phen	id=g:1560370
Y Can	id=g:1560371
Ybou	id=g:1560372
Y Bằng	id=g:1560373
Tam Yavour	id=g:1560374
Yavour	id=g:1560375
Yau Vai	id=g:1560376
Chư Ya Trang	id=g:1560377
Phu Ya Tao	id=g:1560378
Ya Sui Thang	id=g:1560379
Chư Ya Pô	id=g:1560380
Phu Yaou	id=g:1560381
Yao San Ouri	id=g:1560382
Yao San Meo	id=g:1560383
Yao Ngai Tiai	id=g:1560384
Yao In San	id=g:1560385
Yao Chản	id=g:1560386
Suối Yao	id=g:1560387
Ia Yao	id=g:1560388
Ea Yao	id=g:1560389
Ðak Yao	id=g:1560390
Ngok Yan Yen	id=g:1560391
Yan Yan Chay	id=g:1560392
Yan Peng	id=g:1560393
Yan Mo Chay	id=g:1560394
Ðèo Yankar	id=g:1560395
Chư Yan Kao	id=g:1560396
Yan Inh	id=g:1560397
Chư Yang Troum	id=g:1560398
Yang Thàng	id=g:1560399
Chư Yang Sin	id=g:1560400
Chư Yang Siêng	id=g:1560401
Chư Yang Saone	id=g:1560402
Ðak Yang R'heng	id=g:1560403
Chư Yang Reh	id=g:1560404
Chư Yang Phé	id=g:1560405
Chư Yang Pel	id=g:1560406
Chư Yang Nia	id=g:1560407
Yang Ma Sin Tiay	id=g:1560408
Yang Ma Sin Cao	id=g:1560409
Yang Loi Your	id=g:1560410
Chư Yang Lak	id=g:1560411
Núi Yang Kuet	id=g:1560412
Chư Yang Krinh	id=g:1560413
Chư Yang K'lih	id=g:1560414
Chư Yang Gri	id=g:1560415
Núi Yang Coi	id=g:1560416
Yang Brai	id=g:1560417
Chư Yang Bông	id=g:1560418
Sông Yang	id=g:1560419
Núi Yàng	id=g:1560420
Nam Yang	id=g:1560421
Khao Yang	id=g:1560422
Chư Yan Du	id=g:1560423
Kong Yan Djóe	id=g:1560424
Phou Yan Dinh	id=g:1560425
Suối Yan	id=g:1560426
Suối Yan	id=g:1560427
Cư Yan	id=g:1560428
Co Yan	id=g:1560429
Chư Yan	id=g:1560430
Núi Yam	id=g:1560431
Chư Yam	id=g:1560432
Ya Lou	id=g:1560433
Ya Ló	id=g:1560434
Thác Yali	id=g:1560435
Chư Ya Krei	id=g:1560436
Ya Khao Chai	id=g:1560437
Ya Keou	id=g:1560438
Ya Haï	id=g:1560439
Kông Ya Gouan	id=g:1560440
Ya Co	id=g:1560441
Núi Yac	id=g:1560442
Núi Ya Bonnonh	id=g:1560443
Núi Ya Bo	id=g:1560444
Núi Ya Bô	id=g:1560445
Suối Ya	id=g:1560446
Núi Ya	id=g:1560447
Xvai Ngnông	id=g:1560448
Khe Xuy Vàng	id=g:1560449
Xuy Nông Chào	id=g:1560450
Xuyên see Tấu	id=g:1560451
Xuyên Mộc	id=g:1560452
Xuyên Ðương	id=g:1560453
Xuyên Ðông	id=g:1560454
Hòn Xuyên	id=g:1560455
Xu Pau	id=g:1560456
Núi Xư Vang	id=g:1560457
Xương Lý	id=g:1560458
Xương Ðiền	id=g:1560459
Hòn Xưởng	id=g:1560460
Núi Xước	id=g:1560461
Xuong Kuang	id=g:1560462
Ðường Xuồng	id=g:1560463
Hòn Xuối Phèn	id=g:1560464
Phu Xung	id=g:1560465
Nam Xún	id=g:1560466
Xuất Thang	id=g:1560467
Núi Xuất Tác	id=g:1560468
Xuất Tác	id=g:1560469
Xuất Lễ	id=g:1560470
Xuân Yên Ðông (1)	id=g:1560471
Xuân Yên	id=g:1560472
Xuân Vũ	id=g:1560473
Xuân Vinh	id=g:1560474
Xuân Vinh	id=g:1560475
Xuân Viên Ðông	id=g:1560476
Xuân Viên	id=g:1560477
Xuân Viên	id=g:1560478
Xuân Viên	id=g:1560479
Xuân Viên	id=g:1560480
Xuân Vi	id=g:1560481
Xuân Úc	id=g:1560482
Xuân Úc	id=g:1560483
Xuấn Úc	id=g:1560484
Xuân Tự	id=g:1560485
Xuân Trường	id=g:1560486
Xuân Truc	id=g:1560487
Xuân Trĩ	id=g:1560488
Xuân Tràng (1)	id=g:1560489
Xuận Tra Ke	id=g:1560490
Xuân Trạch	id=g:1560491
Xuân Trach	id=g:1560492
Xuân Tình	id=g:1560493
Xuân Tiêu	id=g:1560494
Xuân Tiên	id=g:1560495
Xuân Thủy (2)	id=g:1560496
Xuan Thuy	id=g:1560497
Xuân Thương (3)	id=g:1560498
Xuân Thuong	id=g:1560499
Núi Xuân Thu	id=g:1560500
Xuân Thới Thượng	id=g:1560501
Xuân Thôn	id=g:1560502
Xuân Thọ	id=g:1560503
Xuân Thọ	id=g:1560504
Xuân Thịnh (2)	id=g:1560505
Xuân Thịnh (1)	id=g:1560506
Xuân Thình	id=g:1560507
Xuân Thinh	id=g:1560508
Xuân Thiện	id=g:1560509
Xuân Thành	id=g:1560510
Xuân Thành	id=g:1560511
Xuân Thạnh	id=g:1560512
Xuân Tây	id=g:1560513
Xuân Tao Xã	id=g:1560514
Xuân Tảo	id=g:1560515
Xuân Tàng	id=g:1560516
Xuận Suối Cai (2)	id=g:1560517
Xuân Sơn (1)	id=g:1560518
Trạm Xuân Sơn	id=g:1560519
Xuân Sơn	id=g:1560520
Xuân Sơn	id=g:1560521
Xuân Sơn	id=g:1560522
Xuân Sơn	id=g:1560523
Xuân Sơn	id=g:1560524
Xuân Sơn	id=g:1560525
Xuân Quế (1)	id=g:1560526
Xuân Quan	id=g:1560527
Xuân Pinh	id=g:1560528
Xuân Phú (1)	id=g:1560529
Xuân Phương (1)	id=g:1560530
Xuân Phương (1)	id=g:1560531
Xuận Phướng Mói (1)	id=g:1560532
Xuân Phước (1)	id=g:1560533
Xuận Phư	id=g:1560534
Xuân Phong (1)	id=g:1560535
Xuân Phố	id=g:1560536
Xuân Phổ	id=g:1560537
Xuân Nhu	id=g:1560538
Xuân Nho	id=g:1560539
Xuân Nha	id=g:1560540
Xuân Nhâ	id=g:1560541
Xuan Nguyên	id=g:1560542
Xuân Ngoc (2)	id=g:1560543
Xuân Mỹ (1)	id=g:1560544
Xuân Mỹ	id=g:1560545
Xuân Mỹ	id=g:1560546
Xuân Mỹ	id=g:1560547
Xuân Mộc	id=g:1560548
Xuan Man	id=g:1560549
Xuân Mãn	id=g:1560550
Xuân Mai	id=g:1560551
Xuân Mai	id=g:1560552
Xuân Lũng	id=g:1560553
Xuân Lũng	id=g:1560554
Xuân Lung	id=g:1560555
Xuân Long	id=g:1560556
Xuân Lôi	id=g:1560557
Xuân Lôi	id=g:1560558
Xuân Lôi	id=g:1560559
Xuân Lôi	id=g:1560560
Xuận Lộc Hà	id=g:1560561
Ðồn Ðiền Xuân Lộc	id=g:1560562
Xuân Lộc	id=g:1560563
Xuân Lộc	id=g:1560564
Xuân Lộc	id=g:1560565
Xuân Lĩnh	id=g:1560566
Xuân Lieu	id=g:1560567
Xuân Lieu	id=g:1560568
Xuân Lễ	id=g:1560569
Xuân Lạn Nam	id=g:1560570
Xuận Lang	id=g:1560571
Xuân Lạn	id=g:1560572
Xuân Lâm	id=g:1560573
Xuân Lai	id=g:1560574
Xuân Lai	id=g:1560575
Xuân Lai	id=g:1560576
Xuân Lai	id=g:1560577
Xuân Lạc	id=g:1560578
Xuân La	id=g:1560579
Xuan La	id=g:1560580
Xuân Kỳ	id=g:1560581
Xuân Kinh	id=g:1560582
Xuân Kiều	id=g:1560583
Xuân Khương (1)	id=g:1560584
Xuân Khê	id=g:1560585
Xuan Khánh	id=g:1560586
Xuân Khánh	id=g:1560587
Hồ Xuân Hương	id=g:1560588
Xuân Húc	id=g:1560589
Xuân Hồi	id=g:1560590
Xuận Hố Diêt (2)	id=g:1560591
Xuân Hòa (2)	id=g:1560592
Xuân Hòa (1)	id=g:1560593
Xuân Hòa (1)	id=g:1560594
Xuân Hòa (1)	id=g:1560595
Xuân Hòa Giáo	id=g:1560596
Xuân Hòa	id=g:1560597
Xuân Hoa	id=g:1560598
Xuân Hoa	id=g:1560599
Xuân Hòa	id=g:1560600
Xuân Hòa	id=g:1560601
Xuân Hòa	id=g:1560602
Xuân Hòa	id=g:1560603
Xuân Hòa	id=g:1560604
Xuân Hòa	id=g:1560605
Xuân Hồ	id=g:1560606
Xuận Hãm Hãn	id=g:1560607
Xuan Hải	id=g:1560608
Xuân Hạ	id=g:1560609
Xuân Hà	id=g:1560610
Xuan Giang Hà	id=g:1560611
Xuân Giang	id=g:1560612
Xuân Dương	id=g:1560613
Xuân Dương	id=g:1560614
Xuân Dương	id=g:1560615
Xuân Dương	id=g:1560616
Xuân Dương	id=g:1560617
Xuân Dương	id=g:1560618
Ga Xuân Dục	id=g:1560619
Xuân Dục	id=g:1560620
Xuân Dục	id=g:1560621
Xuan Dinh	id=g:1560622
Xuân Diêm (2)	id=g:1560623
Xuân Ðáu	id=g:1560624
Xuân Ðào	id=g:1560625
Xuân Ðào	id=g:1560626
Xuán Dám	id=g:1560627
Xuân Ðàm	id=g:1560628
Vũng Xuân Ðài	id=g:1560629
Xuân Ðài	id=g:1560630
Xuân Ðài	id=g:1560631
Xuân Ðài	id=g:1560632
Xuân Cung	id=g:1560633
Xuận Cây Xoài (2)	id=g:1560634
Xuận Cây Gia (1)	id=g:1560635
Xuân Cáo	id=g:1560636
Xuân Canh Phường	id=g:1560637
Xuân Canh	id=g:1560638
Xuân Cẩm	id=g:1560639
Xuân Bồ	id=g:1560640
Xuân Bồ	id=g:1560641
Xuân Bình (3)	id=g:1560642
Xuân Bình (1)	id=g:1560643
Xuân Biều	id=g:1560644
Xuân Bay	id=g:1560645
Xuận Bàu Me	id=g:1560646
Xuân Bảng	id=g:1560647
Xuân Bảng	id=g:1560648
Xuân Bảng	id=g:1560649
Xuân Bảng	id=g:1560650
Xuân Bâng	id=g:1560651
Xuân Bách	id=g:1560652
Xuân An (1)	id=g:1560653
Xuân An (1)	id=g:1560654
Xuân Áng	id=g:1560655
Xuàn Áng	id=g:1560656
Xuân Âng	id=g:1560657
Xuân Ang	id=g:1560658
Xuân An	id=g:1560659
Xuân An	id=g:1560660
Suối Xuán	id=g:1560661
Dak Xota	id=g:1560662
Dak Xo Rack	id=g:1560663
Xốp Viêng	id=g:1560664
Xơm Ða Tri	id=g:1560665
Nam Xở	id=g:1560666
Xong Sai	id=g:1560667
Phou Xong	id=g:1560668
Da Xong	id=g:1560669
Huôi Xón	id=g:1560670
Xóm Zieit	id=g:1560671
Xóm Y Lành	id=g:1560672
Xóm Yên Sơn	id=g:1560673
Xóm Yên Lộc	id=g:1560674
Xóm Yên Ðông	id=g:1560675
Xóm Yến	id=g:1560676
Xóm Yên	id=g:1560677
Xóm Yân Lạc Hâu	id=g:1560678
Xóm Xương	id=g:1560679
Xóm Xương	id=g:1560680
Xóm Xuôi	id=g:1560681
Xóm Xuất	id=g:1560682
Xóm Xuân Tan	id=g:1560683
Xóm Xuân Huy	id=g:1560684
Xóm Xuân	id=g:1560685
Xóm Xroui	id=g:1560686
Xóm Xot	id=g:1560687
Xóm Xo Ro	id=g:1560688
Xóm Xõi	id=g:1560689
Xóm Xõi	id=g:1560690
Xóm Xoài Rùm	id=g:1560691
Xóm Xoài Minh	id=g:1560692
Xóm Xoai	id=g:1560693
Xóm Xẻo Trâm	id=g:1560694
Xóm Xẻo Su (2)	id=g:1560695
Xóm Xẻo Su (1)	id=g:1560696
Xóm Xẻo Ràng	id=g:1560697
Xóm Xẻo Ngàn	id=g:1560698
Xóm Xẻo Ginh	id=g:1560699
Xóm Xèo Gia	id=g:1560700
Xóm Xẻo Ðước	id=g:1560701
Xóm Xẻo Dầu	id=g:1560702
Xóm Xê	id=g:1560703
Xóm Xa Xía	id=g:1560704
Xóm Xẩu Chia	id=g:1560705
Xóm Xa Ty	id=g:1560706
Xóm Xã Thông	id=g:1560707
Xóm Xã Tá	id=g:1560708
Xóm Xã Niệm	id=g:1560709
Xóm Xáng Bộ	id=g:1560710
Xóm Xã Năm	id=g:1560711
Xóm Xân	id=g:1560712
Xóm Xa Mươi	id=g:1560713
Xóm Xâm	id=g:1560714
Xóm Xa Kỳ	id=g:1560715
Xóm Xa Huon	id=g:1560716
Xóm Xã Ben	id=g:1560717
Xóm Vương	id=g:1560718
Xóm Vưc Giang	id=g:1560719
Xóm Vưc	id=g:1560720
Xóm Vung	id=g:1560721
Xóm Vun	id=g:1560722
Xóm Vọt	id=g:1560723
Xóm Vôn	id=g:1560724
Xóm Vôi	id=g:1560725
Xóm Voi	id=g:1560726
Xóm Voi	id=g:1560727
Xóm Vĩnh Thanh	id=g:1560728
Xóm Vĩnh Khanh	id=g:1560729
Xóm Vĩnh Ðịnh	id=g:1560730
Xóm Vinh	id=g:1560731
Xóm Vịnh	id=g:1560732
Xóm Vịnh	id=g:1560733
Xóm Viên	id=g:1560734
Xóm Vè (2)	id=g:1560735
Xóm Ve (1)	id=g:1560736
Xóm Vé	id=g:1560737
Xóm Vào	id=g:1560738
Xóm Văn Thượng	id=g:1560739
Xóm Ván Ngừa	id=g:1560740
Xóm Vân Mỹ	id=g:1560741
Xóm Văn Mạch	id=g:1560742
Xóm Van Hanh	id=g:1560743
Xóm Vàm Vôi	id=g:1560744
Xóm Vàm Láng	id=g:1560745
Xóm Vàm Hàng	id=g:1560746
Xóm Vàm Dù Tho	id=g:1560747
Xóm Vàm Chắc Bắng	id=g:1560748
Xóm Vàm Cái Cùng	id=g:1560749
Xóm Vam Cai Ban	id=g:1560750
Xóm Vàng	id=g:1560751
Xóm Vách	id=g:1560752
Xóm Uông Hạ	id=g:1560753
Xóm U Ðâp	id=g:1560754
Xóm Úc Càn Trên	id=g:1560755
Xóm Tuy Tịnh Việt	id=g:1560756
Xóm Tửa	id=g:1560757
Xóm Tun Lun	id=g:1560758
Xóm Tú Diễm	id=g:1560759
Xóm Trướng Tốc	id=g:1560760
Xóm Trương Quít	id=g:1560761
Xóm Trường Ðịnh	id=g:1560762
Xóm Truông Càn	id=g:1560763
Xóm Truông	id=g:1560764
Xóm Trưa	id=g:1560765
Xóm Trữa	id=g:1560766
Xóm Trung Thượng	id=g:1560767
Xóm Trung Hoa	id=g:1560768
Xóm Trung Hâu	id=g:1560769
Xóm Trung	id=g:1560770
Xóm Trung	id=g:1560771
Xóm Trung	id=g:1560772
Xóm Trùm Tháp	id=g:1560773
Xóm Trụ Ðá	id=g:1560774
Xóm Trúc	id=g:1560775
Xóm Trua	id=g:1560776
Xóm Trong (2)	id=g:1560777
Xóm Trong (2)	id=g:1560778
Xóm Trong	id=g:1560779
Xóm Trông	id=g:1560780
Xóm Trong	id=g:1560781
Xóm Trong	id=g:1560782
Xóm Trong	id=g:1560783
Xóm Trong	id=g:1560784
Xóm Trong	id=g:1560785
Xóm Trong	id=g:1560786
Xóm Trọ Ðó	id=g:1560787
Xóm Tro	id=g:1560788
Xóm Tri Tôn	id=g:1560789
Xóm Trình	id=g:1560790
Xóm Tri	id=g:1560791
Xóm Trên	id=g:1560792
Xóm Tren	id=g:1560793
Xóm Trên	id=g:1560794
Xóm Tre	id=g:1560795
Xóm Tre	id=g:1560796
Xóm Tre	id=g:1560797
Xóm Tre	id=g:1560798
Xóm Trây Mắm	id=g:1560799
Xóm Trảy	id=g:1560800
Xóm Tra Vông	id=g:1560801
Xóm Tra Teo	id=g:1560802
Xóm Trà Tem (3)	id=g:1560803
Xóm Trà Quít (2)	id=g:1560804
Xóm Trần Quang Tống	id=g:1560805
Xóm Trà Nô	id=g:1560806
Xóm Tran Hồ	id=g:1560807
Xóm Tranh	id=g:1560808
Xóm Tranh	id=g:1560809
Xóm Trảng Sụp	id=g:1560810
Xóm Trảng Năng	id=g:1560811
Xóm Trang	id=g:1560812
Xóm Trang	id=g:1560813
Xóm Trang	id=g:1560814
Xóm Tràng	id=g:1560815
Xóm Trang	id=g:1560816
Xóm Trang	id=g:1560817
Xóm Tráng	id=g:1560818
Xóm Tran	id=g:1560819
Xóm Trâm (1)	id=g:1560820
Xóm Tràm Tróc	id=g:1560821
Xóm Trà Mới	id=g:1560822
Xóm Tràm Cửa	id=g:1560823
Xóm Tram	id=g:1560824
Xóm Tram	id=g:1560825
Xóm Trại (2)	id=g:1560826
Xóm Trại Voi	id=g:1560827
Xóm Trai Mới	id=g:1560828
Xóm Trại Lưới	id=g:1560829
Xóm Trại Khoai	id=g:1560830
Xóm Trại Ðèn	id=g:1560831
Xóm Trai Ðèn	id=g:1560832
Xóm Trại Bâu	id=g:1560833
Xóm Trai	id=g:1560834
Xóm Trại	id=g:1560835
Xóm Trai	id=g:1560836
Xóm Trại	id=g:1560837
Xóm Trà Gút	id=g:1560838
Xóm Tra Gình (2)	id=g:1560839
Xóm Trà Ðuốc	id=g:1560840
Xóm Trà Cú Bé	id=g:1560841
Xóm Trà Cốt	id=g:1560842
Xóm Trà Ban Nhỏ	id=g:1560843
Xóm Tra	id=g:1560844
Xóm Tôt Bồng	id=g:1560845
