Kinjačka	id=g:3198146
Otočić Idula	id=g:3198604
Ježovec	id=g:3198605
Ježevo	id=g:3198608
Ježevik	id=g:3198609
Kanal Ježevica	id=g:3198611
Ježević	id=g:3198612
Jezero Posavsko	id=g:3198619
Jezero	id=g:3198621
Jezero	id=g:3198626
Jezernice	id=g:3198627
Jezerine	id=g:3198628
Jezerce	id=g:3198630
Jezerane	id=g:3198632
Jezera	id=g:3198634
Ježdovec	id=g:3198635
Uvala Jesenovo	id=g:3198642
Jesenovica	id=g:3198643
Jesenovec	id=g:3198644
Jesenice	id=g:3198649
Jesenice	id=g:3198650
Jertovec	id=g:3198652
Jerovec	id=g:3198653
Otok Jerolim	id=g:3198655
Jenčarija	id=g:3198665
Jelvica	id=g:3198667
Luka Jelsa	id=g:3198672
Jelsa	id=g:3198673
Jelov Venac	id=g:3198674
Jelovi Vrh	id=g:3198675
Jelovi Vrh	id=g:3198676
Jelovice	id=g:3198678
Jelovec	id=g:3198684
Jelkovec	id=g:3198692
Jelisavac	id=g:3198695
Rt Jelinak	id=g:3198697
Jelinac	id=g:3198699
Jelenski Potok	id=g:3198703
Jelenje	id=g:3198705
Razvalina Jelen Grad	id=g:3198707
Jelenc	id=g:3198709
Jelas Šuma	id=g:3198716
Jelas Polje	id=g:3198721
Vučji Vrh	id=g:3198722
Jegulja	id=g:3198727
Jazvenik	id=g:3198733
Jazvaci	id=g:3198735
Luka Jazi	id=g:3198741
Jazbina Višnjička	id=g:3198743
Otočić Jaz	id=g:3198748
Javorov Vrh	id=g:3198751
Javorovica	id=g:3198753
Javornik	id=g:3198762
Javornik	id=g:3198763
Javošnica	id=g:3198765
Javorje	id=g:3198770
Javorje	id=g:3198772
Javorek	id=g:3198775
Jastrebarsko Općina	id=g:3198798
Jastrebarsko	id=g:3198799
Jaškovo	id=g:3198802
Jasenov Vrh	id=g:3198808
Jasenovica	id=g:3198812
Jasenovica	id=g:3198813
Jasenovac	id=g:3198814
Jasenovac	id=g:3198815
Uvala Jasenova	id=g:3198818
Jasenik Šuma	id=g:3198821
Jasenik	id=g:3198822
Jasenice	id=g:3198826
Jasenaš	id=g:3198834
Jasenar	id=g:3198835
Jasenak	id=g:3198836
Jarušje	id=g:3198845
Jaruge	id=g:3198846
Jaruga	id=g:3198849
Jarmina	id=g:3198852
Jarki Horvatićevi	id=g:3198853
Jarki	id=g:3198854
Jargovo	id=g:3198855
Jarek Bisaški	id=g:3198858
Rt Japlenički	id=g:3198871
Uvala Janska	id=g:3198876
Jankovo Brdo	id=g:3198878
Jankovića Vrh	id=g:3198880
Željeznička Stanica Jankovci	id=g:3198881
Janjina	id=g:3198884
Janja Lipa	id=g:3198890
Janja Gora	id=g:3198891
Jančarska Glava	id=g:3198901
Jamno	id=g:3198903
Jamnica Pisarovinska	id=g:3198905
Jamaričko Brdo	id=g:3198910
Jamarica	id=g:3198911
Železnička Stanica Jalžabet	id=g:3198912
Jalžabet	id=g:3198913
Jalšovec	id=g:3198914
Jalševec	id=g:3198915
Jalkovec	id=g:3198918
Jakuševec	id=g:3198920
Jakšić	id=g:3198922
Jakšić	id=g:3198923
Jakovlje	id=g:3198924
Jakopovac Kapelski	id=g:3198926
Otok Jakljan	id=g:3198927
Jakići	id=g:3198930
Vela Jajina	id=g:3198936
Jaguplije	id=g:3198938
Jagodno	id=g:3198941
Jagodnje	id=g:3198942
Jagodnjak	id=g:3198943
Jagnjedovac	id=g:3198954
Jadrtovac	id=g:3198956
Jadro	id=g:3198957
Rt Jadrija	id=g:3198959
Jadrići	id=g:3198960
Luka Jadrešnica	id=g:3198961
Jadreški	id=g:3198962
Jadranovo	id=g:3198964
Piškera	id=g:3198965
Jadova	id=g:3198970
Jadova	id=g:3198971
Jabukovac	id=g:3198976
Pličina Jabuka	id=g:3198979
Otočić Jabuka	id=g:3198980
Rt Jabučni	id=g:3198989
Jabučeta	id=g:3198990
Jablanovec	id=g:3198994
Jablanac Jasenovački	id=g:3199008
Rt Jablanac	id=g:3199009
Jablanac	id=g:3199010
Jablan	id=g:3199013
Iž Mali	id=g:3199018
Izimje	id=g:3199021
Otok Iž	id=g:3199028
Ivoševci	id=g:3199030
Ivanska	id=g:3199038
Ivanšćica	id=g:3199040
Ivanšćica	id=g:3199041
Ivanovo Selo	id=g:3199043
Ivanovec	id=g:3199044
Ivanovci Gorjanski	id=g:3199045
Ivanovci	id=g:3199047
Ivanovci Požeški	id=g:3199048
Ivanovčani	id=g:3199049
Ivankovo	id=g:3199051
Ivanjski Bok	id=g:3199053
Ivanje	id=g:3199061
Ivanja Reka	id=g:3199065
Ivanin Dvor	id=g:3199066
Ivanič Miljanski	id=g:3199067
Ivanic-Grad Općina	id=g:3199068
Ivanić-Grad	id=g:3199069
Ivanec Vojakovački	id=g:3199072
Ivanec Ludbreški	id=g:3199073
Ivanec Bistranski	id=g:3199074
Ivanec Općina	id=g:3199075
Ivanec	id=g:3199076
Ivan-Dol	id=g:3199077
Ivančići	id=g:3199079
Ivanci	id=g:3199082
Ivančec	id=g:3199084
Ivančani	id=g:3199085
Ivan Brijeg	id=g:3199086
Ivakuša	id=g:3199087
Istočna Plina	id=g:3199088
Istirizna Jezero	id=g:3199089
Otok Ist	id=g:3199090
Ist	id=g:3199091
Islam Latinski	id=g:3199092
Islam Grčki	id=g:3199093
Iški Kanal	id=g:3199094
Inkejovica	id=g:3199105
Imsovac	id=g:3199108
Imotsko Polje	id=g:3199109
Imotski Općina	id=g:3199110
Imotski	id=g:3199111
Imotica	id=g:3199112
Imbrijovec Jalžabetski	id=g:3199115
Imbrijovec	id=g:3199116
Imbrijevci	id=g:3199117
Otok Ilovik	id=g:3199119
Luka Ilovik	id=g:3199120
Ilovik	id=g:3199121
Ilovačak	id=g:3199123
Ilova	id=g:3199125
Ilova	id=g:3199126
Ilok	id=g:3199128
Ilača	id=g:3199147
Ika	id=g:3199148
Igrišće	id=g:3199153
Uvala Igrane	id=g:3199156
Rt Igrane	id=g:3199157
Igrane	id=g:3199158
Ičići	id=g:3199174
Ičevo	id=g:3199175
Hvarski Kanal	id=g:3199176
Otok Hvar	id=g:3199177
Hvar Općina	id=g:3199178
Luka Hvar	id=g:3199179
Hvar	id=g:3199180
Husinec	id=g:3199183
Husain	id=g:3199184
Hum	id=g:3199187
Hum-Varoš	id=g:3199188
Hum u Istri	id=g:3199189
Hum Stubički	id=g:3199190
Hum na Sutli	id=g:3199194
Humljani	id=g:3199195
Gora Humka	id=g:3199196
Hum Breznički	id=g:3199202
Humac	id=g:3199204
Hum	id=g:3199205
Hum	id=g:3199212
Hudovo	id=g:3199215
Hudovljani	id=g:3199216
Hudi Bitek	id=g:3199222
Hrženik	id=g:3199225
Hrženica	id=g:3199226
Hrvatsko Selo	id=g:3199227
Hrvatsko Primorje	id=g:3199228
Hrvatski Leskovac	id=g:3199229
Hrvatski Čuntić	id=g:3199230
Hrvatski Blagaj	id=g:3199231
Hrvatini	id=g:3199233
Hrvace	id=g:3199235
Hrusta	id=g:3199239
Hruškovica	id=g:3199241
Hruškovec	id=g:3199242
Hrušćica	id=g:3199250
Hrtić	id=g:3199252
Hrsovo	id=g:3199254
Hrsina	id=g:3199255
Hromec	id=g:3199257
Hrnjevac	id=g:3199258
Hrnjanec	id=g:3199259
Hrkanovci Ðakovački	id=g:3199262
Hrib	id=g:3199264
Hrgovljani	id=g:3199270
Hrgovec	id=g:3199272
Hreljin Ogulinski	id=g:3199278
Hreljin	id=g:3199279
Hreljići	id=g:3199280
Hrelići	id=g:3199281
Hrbtić	id=g:3199283
Otočić Hrbošnjak	id=g:3199284
Hrboki	id=g:3199285
Hrastovsko	id=g:3199288
Hrastovljan	id=g:3199290
Hrastovica	id=g:3199291
Hrastovac	id=g:3199294
Hrastje	id=g:3199305
Hrastin	id=g:3199306
Krastići	id=g:3199307
Železnička Stanica Hrašćina-Trgovišće	id=g:3199318
Hrašćina	id=g:3199319
Hrašće Turopoljsko	id=g:3199320
Hramina	id=g:3199325
Hotnja	id=g:3199330
Hosti	id=g:3199343
Horvatska	id=g:3199345
Horvati	id=g:3199346
Homoljac	id=g:3199350
Homer	id=g:3199351
Hodošan	id=g:3199360
Hodilje	id=g:3199363
Hlm	id=g:3199371
Hlevnica	id=g:3199373
Hlevci	id=g:3199374
Hlebine	id=g:3199376
Hlapje	id=g:3199379
Hlapičina	id=g:3199380
Herešin	id=g:3199387
Hercegovac	id=g:3199391
Hemuševec	id=g:3199395
Helena	id=g:3199398
Sveta Helena	id=g:3199399
Heki	id=g:3199400
Uvala Harvatin	id=g:3199407
Hartje	id=g:3199408
Prolaz Harpoti	id=g:3199409
Harmica	id=g:3199410
Harkanovci	id=g:3199411
Hampovica	id=g:3199420
Haloze	id=g:3199423
Haljevo Šuma	id=g:3199425
Haljevo Kanal	id=g:3199426
Haganj	id=g:3199434
Hađer	id=g:3199442
Habjanovci	id=g:3199443
Habjanovac	id=g:3199444
Gvozdansko	id=g:3199445
Gutešin Vrh	id=g:3199452
Gustirna	id=g:3199454
Rt Gustinja	id=g:3199455
Otočić Gustinja	id=g:3199456
Gustelnica	id=g:3199458
Guštare	id=g:3199459
Otočić Gustac	id=g:3199460
Otočić Gustac	id=g:3199461
Otočić Gustac	id=g:3199462
Guščerovec	id=g:3199464
Gušće	id=g:3199465
Gunjavci	id=g:3199470
Gunja	id=g:3199473
Gundinci	id=g:3199474
Gudovac	id=g:3199480
Gudčinska Gora	id=g:3199481
Gudci	id=g:3199482
Guče Selo	id=g:3199488
Gubavo Brdo	id=g:3199493
Gubavica	id=g:3199495
Rt Gubac	id=g:3199497
Luka Gruž	id=g:3199499
Gruž	id=g:3199500
Otočić Grujica	id=g:3199505
Rt Gruj	id=g:3199506
Gruda	id=g:3199511
Grubišno Polje Općina	id=g:3199514
Grubišno Polje	id=g:3199515
Grubiši	id=g:3199516
Grožnjan	id=g:3199519
Rt Grota	id=g:3199521
Grošulja	id=g:3199524
Gromašica	id=g:3199528
Gromačnik	id=g:3199529
Gromača	id=g:3199530
Grohote	id=g:3199531
Grobnik	id=g:3199532
Gromnik	id=g:3199533
Grobnica	id=g:3199535
Rt Grmine	id=g:3199546
Grkavešćak	id=g:3199554
Grižići	id=g:3199556
Grižev Rt	id=g:3199557
Grižane	id=g:3199560
Uvala Griparica	id=g:3199565
Grimalda	id=g:3199567
Griče	id=g:3199568
Grgurići	id=g:3199572
Grgurevići	id=g:3199573
Grgoščak	id=g:3199575
Grginac	id=g:3199576
Grgetov Rt	id=g:3199578
Gregurovec	id=g:3199583
Gregurić Breg	id=g:3199584
Gredoviti Vrh	id=g:3199586
Gredoviti Vrh	id=g:3199588
Donje Gredice	id=g:3199592
Hrid Gredica	id=g:3199593
Grede	id=g:3199595
Greda Sunjska	id=g:3199596
Greda Peskovečka	id=g:3199597
Gređani	id=g:3199598
Gređani	id=g:3199599
Greda Maruševečka	id=g:3199600
Greda	id=g:3199601
Greda	id=g:3199604
Otočići Grebeni	id=g:3199606
Hridi Grebeni	id=g:3199607
Otočić Greben	id=g:3199608
Greben	id=g:3199610
Luka Grebaštica	id=g:3199612
Grebaštica	id=g:3199613
Grdoselo	id=g:3199615
Grđevica Šuma	id=g:3199616
Grđevica	id=g:3199617
Grđevica	id=g:3199618
Grdak	id=g:3199620
Hrid Grčik	id=g:3199621
Rt Pologrin	id=g:3199627
Grbin Vrh	id=g:3199628
Otočić Grbavac	id=g:3199639
Grbavac	id=g:3199640
Grašnik	id=g:3199642
Granice	id=g:3199649
Granica	id=g:3199652
Granešina	id=g:3199654
Grandići	id=g:3199655
Grančari	id=g:3199656
Gramanik	id=g:3199658
Gradusa Posavska	id=g:3199672
Gradište Bekteško	id=g:3199679
Gradište	id=g:3199680
Gradišće	id=g:3199694
Gradišće	id=g:3199695
Jelenski Vrh	id=g:3199696
Gradinje	id=g:3199698
Gradine	id=g:3199699
Gradina	id=g:3199702
Gradina	id=g:3199703
Gradina	id=g:3199713
Gradina	id=g:3199719
Gradina	id=g:3199725
Gradina	id=g:3199726
Gradina	id=g:3199727
Gradina	id=g:3199728
Gradina	id=g:3199729
Gradina	id=g:3199730
Gradići	id=g:3199732
Železnička Stanica Gradec	id=g:3199736
Gradec	id=g:3199737
Gradac	id=g:3199738
Gradec	id=g:3199739
Gradac	id=g:3199742
Gradac Našički	id=g:3199743
Gradac	id=g:3199748
Gradac	id=g:3199749
Gradac	id=g:3199751
Gradac	id=g:3199753
Gradac	id=g:3199763
Gradac	id=g:3199764
Velike Gračište	id=g:3199769
Gračišće	id=g:3199770
Graci	id=g:3199771
Gračenica	id=g:3199772
Gračec	id=g:3199773
Gračanica	id=g:3199778
Gračani	id=g:3199788
Gračac Slavetićki	id=g:3199789
Gračac	id=g:3199790
Gračac	id=g:3199791
Grabušić	id=g:3199792
Grabrov Potok	id=g:3199793
Grabrovnik	id=g:3199794
Grabrovnica	id=g:3199795
Grabrk	id=g:3199797
Grabovnica	id=g:3199800
Grabovac	id=g:3199814
Grabovac	id=g:3199815
Grabovac	id=g:3199816
Grabić	id=g:3199824
Graberje Ivanićko	id=g:3199828
Graberje	id=g:3199829
Graberec	id=g:3199830
Grabovača	id=g:3199831
Grabarje Brodsko	id=g:3199833
Grabarje	id=g:3199834
Grabar	id=g:3199835
Grab	id=g:3199837
Grab	id=g:3199839
Grab	id=g:3199845
Goveđe Polje	id=g:3199853
Goveđari	id=g:3199854
Gotalovo	id=g:3199860
Gostinjac	id=g:3199864
Gospić	id=g:3199873
Gorušenjak	id=g:3199879
Gorski Kotar	id=g:3199882
Gornji Zvečaj	id=g:3199888
Gornji Žirovac	id=g:3199890
Gornji Zemunik	id=g:3199891
Gornji Zebanec	id=g:3199893
Gornji Žagari	id=g:3199894
Gornji Vukšinac	id=g:3199895
Gornji Vukojevac	id=g:3199896
Gornji Vrhovci	id=g:3199897
Gornji Velemerić	id=g:3199902
Gornji Varoš	id=g:3199903
Gornji Vaganac	id=g:3199905
Gornji Uljanik	id=g:3199906
Gornji Trpuci	id=g:3199907
Gornji Tkalec	id=g:3199908
Gornji Sređani	id=g:3199917
Gornji Srb	id=g:3199919
Gornji Slatinik	id=g:3199922
Gornji Škrnik	id=g:3199924
Gornji Sjeničak	id=g:3199925
Gornji Selkovac	id=g:3199926
Gornji Seget	id=g:3199927
Gornji Šarampov	id=g:3199928
Gornji Šajn	id=g:3199929
Gornji Rukavac	id=g:3199931
Gornji Rajić	id=g:3199939
Gornji Pustakovec	id=g:3199941
Gornji Proložac	id=g:3199942
Gornji Prnjarovec	id=g:3199943
Gornji Poloj	id=g:3199945
Gornji Oštrc	id=g:3199951
Okrug Gornji	id=g:3199954
Gornji Muć	id=g:3199957
Gornji Mosti	id=g:3199959
Gornji Miklouš	id=g:3199962
Gornji Miholjac	id=g:3199963
Gornji Mihaljevec	id=g:3199964
Gornji Meljani	id=g:3199965
Gornji Mekinjar	id=g:3199966
Gornji Maslarec	id=g:3199967
Gornji Martijanec	id=g:3199969
Gornji Marinkovac	id=g:3199970
Gornji Majkovi	id=g:3199972
Gornji Lović	id=g:3199977
Gornji Lipovac	id=g:3199978
Gornji Lapac	id=g:3199979
Gornji Laduč	id=g:3199981
Gornji Lađevac	id=g:3199982
Gornji Kućan	id=g:3199983
Gornji Križ	id=g:3199985
Gornji Kraljevec	id=g:3199988
Gornji Kraljevec	id=g:3199989
Gornji Kraj	id=g:3199990
Gornji Kosinj	id=g:3199993
Gornji Koncovčak	id=g:3199995
Gornji Kneginec	id=g:3199998
Gornji Klasnić	id=g:3199999
Gornji Karin	id=g:3200001
Gornji Javoranj	id=g:3200003
Gornji Humac	id=g:3200006
Gornji Hruševec	id=g:3200007
Gornji Hrastovac	id=g:3200009
Gornji Hrašćan	id=g:3200010
Gornji Grahovljani	id=g:3200012
Šalata	id=g:3200014
Gornji Grad	id=g:3200015
Gornji Furjan	id=g:3200020
Gornji Ervenik	id=g:3200021
Gornji Emovci	id=g:3200022
Gornji Dubovec	id=g:3200024
Gornji Dragonožec	id=g:3200026
Gornji Dolac	id=g:3200028
Gornji Dobretin	id=g:3200030
Gornji Desinec	id=g:3200032
Gornji Daruvar	id=g:3200033
Gornji Crnogovci	id=g:3200034
Gornji Čaglić	id=g:3200040
Gornji Bukovec	id=g:3200042
Gornji Budački	id=g:3200044
Gornji Brgat	id=g:3200046
Gornji Borki	id=g:3200047
Gornji Bogičevci	id=g:3200050
Gornji Bjelovac	id=g:3200051
Gornji Bitelić	id=g:3200052
Gornji Babin Potok	id=g:3200055
Gornji Andrijevci	id=g:3200056
Rt Gornji	id=g:3200058
Gornje Zdelice	id=g:3200062
Gornje Zagorje	id=g:3200064
Gornje Vratno	id=g:3200069
Gornje Vinovo	id=g:3200071
Gornje Viljevo	id=g:3200072
Gornje Utore	id=g:3200073
Gornje Taborište	id=g:3200075
Gornje Stative	id=g:3200077
Gornje Sredice	id=g:3200078
Gornje Selo	id=g:3200080
Gornje Selište	id=g:3200081
Gornje Rogolje	id=g:3200082
Gornje Rašćane	id=g:3200086
Gornje Psarjevo	id=g:3200087
Gornje Primorje	id=g:3200088
Gornje Prilišće	id=g:3200089
Gornje Prekrižje	id=g:3200090
Gornje Predrijevo	id=g:3200091
Gornje Postinje	id=g:3200092
Gornje Pokupje	id=g:3200095
Gornje Podotočje	id=g:3200096
Podbablje	id=g:3200097
Gornje Plavnice	id=g:3200098
Gornje Petrčane	id=g:3200100
Gornje Pazarište	id=g:3200102
Gornje Ogorje	id=g:3200106
Gornje Makojišće	id=g:3200110
Gornje Ladanje	id=g:3200117
Gornje Kusonje	id=g:3200118
Gornje Komarevo	id=g:3200123
Gornje Jesenje	id=g:3200124
Gornje Jelenje	id=g:3200125
Gornje Igrane	id=g:3200126
Železnička Stanica Gornje Dubrave	id=g:3200131
Gornje Dubrave	id=g:3200132
Gornji Doljani	id=g:3200134
Gornje Danilo	id=g:3200136
Gornje Cjepidlake	id=g:3200138
Gornje Ceranje	id=g:3200142
Gornje Čelo	id=g:3200143
Gornje Bukovlje	id=g:3200144
Gornje Biljane	id=g:3200147
Gornje Bazje	id=g:3200148
Gornja Zdenčina	id=g:3200150
Gornja Vrućica	id=g:3200151
Gornja Vrijeska	id=g:3200152
Gornja Vrba	id=g:3200153
Gornja Voća	id=g:3200157
Gornja Višnjica	id=g:3200158
Gornja Velika	id=g:3200163
Gornja Velika	id=g:3200164
Gornja Velešnja	id=g:3200165
Gornja Trstenica	id=g:3200168
Gornja Trebinja	id=g:3200170
Gornja Topličica	id=g:3200174
Gornja Tijarica	id=g:3200175
Gornja Švica	id=g:3200177
Gornja Suvaja	id=g:3200179
Gornja Šušnjara	id=g:3200180
Gornja Šumetlica	id=g:3200181
Gornja Stupnica	id=g:3200182
Gornja Stubica	id=g:3200183
Gornja Selnica	id=g:3200186
Gornja Rijeka	id=g:3200190
Gornja Rašenica	id=g:3200194
Gornja Pušća	id=g:3200198
Gornja Punta	id=g:3200199
Gornja Poljana	id=g:3200203
Gornja Ploča	id=g:3200205
Gornja Plemenšćina	id=g:3200206
Gornja Pištana	id=g:3200208
Gornja Petrička	id=g:3200210
Gornja Pačetina	id=g:3200214
Gornja Oraovica	id=g:3200216
Gornja Obrijež	id=g:3200217
Gornja Obreška	id=g:3200218
Gornja Nugla	id=g:3200219
Gornja Motičina	id=g:3200220
Gornja Močila	id=g:3200221
Gornja Mlinoga	id=g:3200222
Gornja Meminska	id=g:3200223
Gornja Lučelnica	id=g:3200229
Gornja Lomnica	id=g:3200231
Gornja Letina	id=g:3200237
Gornja Kupčina	id=g:3200240
Gornja Krašićevica	id=g:3200241
Gornja Kovačica	id=g:3200243
Gornja Konjšćina	id=g:3200246
Gornja Klada	id=g:3200249
Gornja Kamenica	id=g:3200250
Gornja Jelenska	id=g:3200252
Gornja Jagodnja	id=g:3200254
Gornja Greda	id=g:3200256
Gornja Gračenica	id=g:3200258
Gornja Glina	id=g:3200260
Gornja Glavnica	id=g:3200261
Gornja Garešnica	id=g:3200262
Gornja Dubrava	id=g:3200263
Gornja Drežnica	id=g:3200265
Gornja Čemernica	id=g:3200268
Gornja Bukovica	id=g:3200270
Gornja Budičina	id=g:3200274
Gornja Bučica	id=g:3200275
Gornja Brela	id=g:3200280
Gornja Brckovčina	id=g:3200281
Gornja Bistra	id=g:3200286
Gornja Bedekovčina	id=g:3200293
Gornja Bebrina	id=g:3200294
Gornja Batina	id=g:3200295
Gornja Bačuga	id=g:3200297
Otočić Gornja Aba	id=g:3200298
Gorjani	id=g:3200304
Gorjakovo	id=g:3200306
Goriš	id=g:3200310
Goričko	id=g:3200313
Uvala Gorička	id=g:3200314
Gorička	id=g:3200315
Gorice	id=g:3200320
Gorica Valpovačka	id=g:3200323
Gorica Svetojanska	id=g:3200324
Goričan	id=g:3200328
Gorica Miholečka	id=g:3200329
Gorica Jamnička	id=g:3200330
Gorica	id=g:3200334
Gorica	id=g:3200336
Gorica	id=g:3200338
Gorica	id=g:3200343
Gorenja Vas	id=g:3200383
Goranec	id=g:3200403
Gorači	id=g:3200406
Gora	id=g:3200408
Goozdenovac	id=g:3200411
Gomirje	id=g:3200413
Otočić Gominjak	id=g:3200414
Rt Gomilica	id=g:3200418
Golubinjak	id=g:3200425
Golubić	id=g:3200430
Golubić	id=g:3200431
Golubić	id=g:3200432
Golo Trlo	id=g:3200434
Gologorica	id=g:3200435
Golo Brdo	id=g:3200441
Golo Brdo	id=g:3200444
Golobrdci	id=g:3200447
Veli Golji	id=g:3200451
Goljak	id=g:3200453
Goljak	id=g:3200454
