Égalah	id=g:6398012
I-n-Zèna	id=g:6400076
I-n-Tabakat	id=g:6400077
I-n-Sédida	id=g:6400078
Abelar	id=g:6400079
Tazoft	id=g:6400080
Tamezguidda	id=g:6400081
Maouk	id=g:6400082
Taggatadi	id=g:6400083
Tchoungouyas	id=g:6400084
Meghimet	id=g:6400085
Téliya	id=g:6400086
Menaouya	id=g:6400087
Fouzeguiz	id=g:6400088
Ânou Moulene	id=g:6400089
Toufagadout	id=g:6400090
I-n-Tabôra	id=g:6400091
I-n-Ouabagou	id=g:6400092
Télichinene	id=g:6400093
Garagoumsa	id=g:6400094
I-n-Touina	id=g:6400095
Tamattàdane	id=g:6400096
Èrk	id=g:6400097
Menaouya	id=g:6400098
Assamoul	id=g:6400099
Assamoul	id=g:6400100
Kourda	id=g:6400101
Agalalla	id=g:6400102
Tâfidet	id=g:6400103
Takolokouzet	id=g:6400104
Touelaouel	id=g:6400105
Tchintates	id=g:6400106
Tchibossene	id=g:6400107
Tchibossene	id=g:6400108
Anèzzou	id=g:6400109
I-n-Tasra	id=g:6400110
Malotchi	id=g:6400111
I-n-Tamaskaouene	id=g:6400112
I-n-Tamaskaouene	id=g:6400113
Tadogh	id=g:6400114
Tchou-Assa	id=g:6400115
Temaouene	id=g:6400116
Aknoua	id=g:6400117
Tchett	id=g:6400118
I-n-Dergane	id=g:6400119
Séghayet	id=g:6400120
Télichinene	id=g:6400121
Tchighazèrine	id=g:6400122
Tchighazèrine	id=g:6400123
Taouelaouel	id=g:6400124
Chighat	id=g:6400125
Tanoughèret	id=g:6400126
Édemok	id=g:6400127
Bichnaou	id=g:6400128
Tagartouguet	id=g:6400129
I-n-Tanguet	id=g:6400130
Abanakaï	id=g:6400131
Tchiourkedene	id=g:6400132
Tanao	id=g:6400133
Iragajal	id=g:6400134
Adrar Mari	id=g:6400135
Mari	id=g:6400136
Ajirigoudou	id=g:6400137
Baouet	id=g:6400138
Éghazer Oua-n-Agar	id=g:6400139
Tataras	id=g:6400140
Tagazout	id=g:6400141
I-n-Azaoua	id=g:6407394
Ti-m-Meghsoï	id=g:6407395
Émilene	id=g:6407584
Eghazer Oua-n-Taggart	id=g:6407585
Tazourout	id=g:6407586
Tanghizane	id=g:6407587
Teguidda	id=g:6407588
Bichnaou	id=g:6407589
Tchi-n-Iguifene	id=g:6407590
Tatagor	id=g:6407591
Aghârous	id=g:6407592
Guénou	id=g:6407593
Guénou	id=g:6407594
Ébanaou	id=g:6407595
Tabelalt Ta-n-Étakas	id=g:6407596
Zakara	id=g:6407597
Tadramuchéret	id=g:6407598
Taggogho	id=g:6407599
Toussidet	id=g:6407600
Ébanaouene Tchibararane	id=g:6407601
Afakkane	id=g:6407602
Jadanak	id=g:6407603
Taghessiddoumir	id=g:6407604
I-n-Tarayene	id=g:6407605
Barengani	id=g:6407606
Barankari	id=g:6407607
Tchi-n-Ouarâne	id=g:6407608
Ézintaoua	id=g:6407609
Tatagor	id=g:6407610
Taoussat-en-Tatagor	id=g:6407611
Adabdab	id=g:6407612
I-n-Dakat	id=g:6407613
Adrar Oua-n-Éouagh	id=g:6407614
Alallara	id=g:6407615
Tchikerouassene	id=g:6407616
Emekachouar	id=g:6407617
Éfeï-n- Azeba	id=g:6407618
Teggouri	id=g:6407619
Adrar Oua-n-Ounane	id=g:6407620
I-n-Taghahamt	id=g:6407621
Afouetchi	id=g:6407622
Éferi Mazadou	id=g:6407623
Técheguit	id=g:6407624
Kori Tabelalt	id=g:6407625
Eghazer Oua-n-Tazzéri	id=g:6407626
Tadénak	id=g:6407627
I-n-Agarsammane	id=g:6407628
Tétinkit	id=g:6407629
Égdil Tadaza	id=g:6407630
Éferi Badene	id=g:6407631
Aghârous	id=g:6407632
Ékadé-n-Idouil	id=g:6407633
Éguef-en-Tourana	id=g:6407634
I-n-Tesseghouene	id=g:6407635
Issek-n-Ouggour	id=g:6407636
I-n-Efreghaf	id=g:6407637
Ébalaghene	id=g:6407638
Taoussat Ébanaou	id=g:6407639
Afouétchi	id=g:6407640
Téssalit Mbaoua	id=g:6407641
Tarat-n-Etakas	id=g:6407642
Ânou Zegré	id=g:6407643
Éferi Gourma	id=g:6407644
Éferi Maïkogo	id=g:6407645
Amllelt	id=g:6407646
Tassabat	id=g:6407647
Talat Éroumbou	id=g:6407648
Adrar Éberjeguï	id=g:6407649
Ikazane	id=g:6407650
Oganted	id=g:6407651
Tchizé	id=g:6407652
Tarreït-en-Taghlamt	id=g:6407653
Afarrara	id=g:6407654
I-n-Éfei	id=g:6407655
Tarat	id=g:6407656
Oua-m-Massaknane	id=g:6407657
Assaba	id=g:6407658
Tamayét	id=g:6407659
Garmat	id=g:6407660
Ilialene	id=g:6407661
Takadabat	id=g:6407662
Arébat	id=g:6407663
Amzeguer	id=g:6407664
Oumbarou	id=g:6407665
I-m-Bessak	id=g:6407666
I-n-Témachchaouene	id=g:6407667
Ânou Gari	id=g:6407668
Gari	id=g:6407669
Tamzeguert	id=g:6407670
Takoyam	id=g:6407671
Émech	id=g:6407672
I-n-Zina	id=g:6407673
Tchikachaouchaouene	id=g:6407674
Talat-en-Tarakat	id=g:6407675
Kankouri	id=g:6407676
Taoussat	id=g:6407677
Émèdid	id=g:6407678
I-n-Aguene	id=g:6407679
I-n-Tèggart	id=g:6407680
Guermaouéne	id=g:6407681
Azelík	id=g:6407682
Adrar Yaouêlt	id=g:6407683
Émilouag	id=g:6407684
Émilouag	id=g:6407685
Takarakoum	id=g:6407686
Iaoutane	id=g:6407687
I-n-Atagag	id=g:6407688
I-n-Temilt	id=g:6407689
Tchekerkane	id=g:6407690
Tchibalaghlaghé	id=g:6407691
Éguef-n-Igguir	id=g:6407692
Taouardé	id=g:6407693
I-n-Faouene	id=g:6407694
Talat-en-Tagueïtanates	id=g:6407695
Gadambo	id=g:6407696
Tchounene	id=g:6407697
Aralgou	id=g:6407698
Talat-en-Tagueït	id=g:6407699
Oufatekine	id=g:6407700
Adikel Kalaka	id=g:6407701
Oufaguédout	id=g:6407702
Oufaguédout	id=g:6407703
Bourra Nassaouane	id=g:6407704
I-n-Tamat	id=g:6407705
Ader Oua-n-Tagueït	id=g:6407706
Oua-n-Chaouar	id=g:6407707
Abadagajaga	id=g:6407708
Ébadaghjene	id=g:6407709
Dolé-n-Oufaguédout	id=g:6407710
Iguelougal	id=g:6407711
Alanfasso	id=g:6407712
Ikabkabene	id=g:6407713
Égueyengueye	id=g:6407714
Tidergalene	id=g:6407715
Ézerza	id=g:6407716
Goni	id=g:6578132
Tchilainsaouîne	id=g:6578133
Tagôra	id=g:6578134
I-n-Tazane	id=g:6578135
Aghénat	id=g:6578136
Éferi	id=g:6578137
Malletas	id=g:6578138
I-n-Efissak	id=g:6578139
Jouguenassouf	id=g:6578140
Tafat-n-Erés	id=g:6578141
Zouadane	id=g:6578142
Koumeyé	id=g:6578143
Foulougues	id=g:6578144
Tchigarene	id=g:6578145
Tabeghikat	id=g:6578146
Ghèchouet	id=g:6578147
Aôusselfat	id=g:6578148
Ékrarene	id=g:6578149
Tiguijir	id=g:6578150
Imidet	id=g:6578151
Tchigoussas	id=g:6578152
Koumtchi-n-Timélouas	id=g:6578153
Afatene	id=g:6578154
Téfaraou	id=g:6578155
Éouanaua	id=g:6578156
Araouza	id=g:6578157
Tchissek	id=g:6578158
Tchoumechokaouene	id=g:6578159
Fatataouát	id=g:6578160
I-n-Tadenes	id=g:6578161
Toumalet	id=g:6578162
I-n-Zarag	id=g:6578163
Tidiarene	id=g:6578164
I-n-Tarona	id=g:6578165
Gaza	id=g:6578166
Gaza	id=g:6578167
Émagal	id=g:6578168
I-n-Kachmamana	id=g:6578169
Saou	id=g:6578170
Ouguésses	id=g:6578171
Tenifat	id=g:6578172
Tessilit	id=g:6578173
Teguet Doufaouene	id=g:6578174
Tagueï	id=g:6578175
Ouabarem	id=g:6578176
Ténueghné Tamazélak	id=g:6578177
Ouabarem	id=g:6578178
Agaloua	id=g:6578179
Éourkid	id=g:6578180
Ganigui	id=g:6578181
Taghoziene	id=g:6578182
Tchighezrene	id=g:6578183
Aghitoua	id=g:6578184
Aghitoua	id=g:6578185
Koumenatene	id=g:6578186
Talat-n-Amadat Sattafane	id=g:6578187
Eblalene	id=g:6578188
Idaoudene	id=g:6578189
Talaghat	id=g:6578190
Idoukâl	id=g:6578191
Tânout-m-Boutou	id=g:6578192
Ajirou	id=g:6578193
Kossénu	id=g:6578194
Téguézélit	id=g:6578195
Tadéglat	id=g:6578196
Talat Sattafat	id=g:6578197
Égharghar	id=g:6578198
Égharghar	id=g:6578199
Téguilailet	id=g:6578200
Téguilailet	id=g:6578201
Taghâghit	id=g:6578202
Téssaoner	id=g:6578203
Imighiaha	id=g:6578204
Toureyet	id=g:6578205
Ououeilal	id=g:6578206
Tchi-m-Bakane	id=g:6578207
Aguéssis	id=g:6578208
I-n-Tékardaouene	id=g:6578209
Tillia	id=g:6578210
Tchououissek	id=g:6578211
Akotchari	id=g:6578212
Ouagous	id=g:6578213
Boutouene	id=g:6578214
Ti-n-Taboûrak	id=g:6578215
Ti-n-Taboûrak	id=g:6578216
Téghazer	id=g:6578217
Tékassam	id=g:6578218
Sakségha	id=g:6578219
Tekizmat	id=g:6578220
Tekizmat Ta-n-Agar	id=g:6578221
Aza Malla	id=g:6578222
Kouchéoua Malam	id=g:6578223
Tedéïni	id=g:6578224
Bariki	id=g:6578225
Aguéssis	id=g:6578226
I-n-Dilioua	id=g:6578227
I-n-Dilioua	id=g:6578228
Tassouba Azadormoulane	id=g:6578229
Tazamak	id=g:6578230
Angatane	id=g:6578231
Tézaghane	id=g:6578232
Ajambaghene	id=g:6578233
Adékal	id=g:6578234
I-n-Tânout	id=g:6578235
Fagué	id=g:6578236
Teoughane	id=g:6578237
I-n-Amaïfel	id=g:6578238
Amdigra	id=g:6578239
Tânout Makaouet	id=g:6578240
Téourkit	id=g:6578241
Téoueghné	id=g:6578242
Aghatene	id=g:6578243
Azel	id=g:6578244
Téguir	id=g:6578245
Ti-n-Tabô ak Tamirchikat	id=g:6578246
I-n-Gouyas	id=g:6578247
Damana	id=g:6578248
Téssilit	id=g:6578249
Tachekit	id=g:6578250
I-n-Tilamene	id=g:6578251
Madeï	id=g:6578252
Tchi-n-Abêlkel	id=g:6578253
Tamazgoul	id=g:6578254
I-m-Boukatene	id=g:6578255
Aguéssis	id=g:6578256
Tchigouda	id=g:6578257
I-n-Ouichiki	id=g:6578258
Agadeba	id=g:6578259
Aza-n-Gara	id=g:6578260
I-n-Azata	id=g:6578261
I-n-Afegag	id=g:6578262
Adrar Zegrine	id=g:6578263
I-n-Dirsene	id=g:6578264
Tchitaoulaouene	id=g:6578265
Atelemtelem	id=g:6578266
Toussaéyet	id=g:6578267
Aguelir	id=g:6578268
Magangari	id=g:6578269
Kolamaloke	id=g:6578270
Temil	id=g:6578271
Témachelii	id=g:6578272
Édoub	id=g:6578273
Azatane	id=g:6578274
Tabadabat	id=g:6578275
Bogol	id=g:6578276
Éferi	id=g:6578277
Tchimaonchaouene	id=g:6578278
Boughel	id=g:6578279
Éguigar	id=g:6578280
Ighitioala	id=g:6578281
Tadoliza	id=g:6578282
Iouakane	id=g:6578283
I-n-Étouane	id=g:6578284
I-n-Tchitane	id=g:6578285
Poits	id=g:6578286
Tacharor	id=g:6578287
I-n-Akazam	id=g:6578288
I-n-Esseda	id=g:6578289
I-n-Timbangaouene	id=g:6578290
Aghârous	id=g:6578291
Ilane-n-Kachmama	id=g:6578292
Aza-n-Azane	id=g:6578293
I-n-Guelzane	id=g:6578294
Tassédrak	id=g:6578295
Betel	id=g:6578296
Mouazeïdi	id=g:6578297
Tassalamsalam	id=g:6578298
Isserserane	id=g:6578299
Forêt Classée de Dabaga	id=g:6578300
Tchiboghaghaghène	id=g:6578301
Dabaga	id=g:6578302
Azèkka	id=g:6578303
Tchissek	id=g:6578304
I-n-Chikoubidane	id=g:6578305
Ouachina	id=g:6578306
I-n-Tiguermaouene	id=g:6578307
Tânout	id=g:6578308
I-n-Taleghar	id=g:6578309
Embel Takouba	id=g:6578310
Kemdebas	id=g:6578311
Édab	id=g:6578312
Zermou-n-Téghaché	id=g:6578313
Amatakhsei	id=g:6578314
Tchilafaya	id=g:6578315
Tchilafayene	id=g:6578316
Taoussat-n-Ghatouene	id=g:6578317
I-n-Ouichiji	id=g:6578318
I-n-Tiguiddaouene	id=g:6578319
I-n-Ajéghar	id=g:6578320
Takraokraou	id=g:6578321
I-n-Abôragh	id=g:6578322
Kilioua	id=g:6578323
Tilattîne Gagueï	id=g:6578324
I-n-Azanane	id=g:6578325
Taghaghaoassa	id=g:6578326
Éferi-n-Kantou	id=g:6578327
Aghajabjab	id=g:6578328
Aguéjid	id=g:6578329
I-n-Téferit	id=g:6578330
Ghabda	id=g:6578331
Ghabda	id=g:6578332
Tebgghaghine	id=g:6578333
I-n-Téguèrmaouene	id=g:6578334
Tékaouene	id=g:6578335
Tédeïnaouene	id=g:6578336
Bégourou	id=g:6578337
Dakat	id=g:6578338
Tchagane	id=g:6578339
Boutouene	id=g:6578340
Boutouene	id=g:6578341
Talat-n-Taguet	id=g:6578342
I-n-Tchima	id=g:6578343
I-n-Lagazane	id=g:6578344
Aza-n-Gara	id=g:6578345
I-n-Agar	id=g:6578346
Taoussat-n-Aza Méllene	id=g:6578347
Zakara	id=g:6578348
I-n-Zena	id=g:6578349
Tchi-m-Bezgane	id=g:6578350
Bagba-n-Azata	id=g:6578351
Éfeï-n-Abôragh	id=g:6578352
Berjé Moutsane	id=g:6578353
Tessa-n-Aouetta	id=g:6578354
I-n-Afegag	id=g:6578355
I-n-Tiguiddaouene	id=g:6578356
I-n-Outéssane	id=g:6578357
Sékina	id=g:6578358
I-m-Bezgane	id=g:6578359
I-n-Tebolarine	id=g:6578360
Tatta	id=g:6578361
Tasgha	id=g:6578362
Mebaoua	id=g:6578363
Bella	id=g:6578364
I-n-Tidit	id=g:6578365
Assatagheï	id=g:6578366
I-n-Tafounek	id=g:6578367
I-n-Tédeïni	id=g:6578368
Moutermich	id=g:6578369
Akerkoui	id=g:6578370
I-n-Toghéjine	id=g:6578371
I-n-Tajèt	id=g:6578372
Mamadou	id=g:6578373
Tilattíne Gagueï	id=g:6578374
I-n-Agane	id=g:6578375
Taoussat-n-Amouzzour	id=g:6578376
Amouzzour	id=g:6578377
I-n-Takakatene	id=g:6578378
Téssilit	id=g:6578379
I-m-Boraghene	id=g:6578380
Gora	id=g:6578381
Assa	id=g:6578382
I-n-Aguer	id=g:6578383
I-n-Tékoullaouene	id=g:6578384
Tebagaou	id=g:6578385
I-n-Ates	id=g:6578386
Éguériadane	id=g:6578387
Ébéki	id=g:6578388
Ébeki	id=g:6578389
Égaraou	id=g:6578390
Toudaouda Ta-n-Inkaka	id=g:6578391
Bokélkèl	id=g:6578392
Toumouzéni	id=g:6578393
Iferâne Fânno	id=g:6578394
Élous	id=g:6578395
Aghaoua	id=g:6578396
Boutès	id=g:6578397
Taghès Azekki	id=g:6578398
Tchiguerfane	id=g:6578399
Tchiguerfane	id=g:6578400
Tchigarine	id=g:6578401
Tchi-m-Bezgane	id=g:6578402
Tékénissit	id=g:6578403
Sokkamer	id=g:6578404
Azániz	id=g:6578405
Imine-n-Tatkaki	id=g:6578406
Tchinèsdoubanene	id=g:6578407
Goûda	id=g:6578408
I-n-Azata	id=g:6578409
Tadrak-n-Azra	id=g:6578410
Koghgam	id=g:6578411
Gueraguera	id=g:6578412
Tafir	id=g:6578413
Elmokhtar	id=g:6578414
Talat	id=g:6578415
Aza Mellene	id=g:6578416
Tchimanannadene	id=g:6578417
Tessaouet	id=g:6578418
Ebeï	id=g:6578419
Tessaouet	id=g:6578420
Toudou-n-Ghaouilene	id=g:6578421
Garmat	id=g:6578422
Sebila	id=g:6578423
Édébélaga	id=g:6578424
Tchokane	id=g:6578425
Édîkel Mellene	id=g:6578426
Taghos	id=g:6578427
Nebarou	id=g:6578428
Ébeï	id=g:6578429
Sogha	id=g:6578430
Éghouak	id=g:6578431
Toudou-n-Karnika	id=g:6578432
Tékeref	id=g:6578433
Akouaja	id=g:6578434
Tombouda	id=g:6578435
Tabankor	id=g:6578436
Taoussat-n-Ghoufoud	id=g:6578437
I-n-Assarane	id=g:6578438
Kénéri	id=g:6578439
Édîkel Mellene	id=g:6578440
I-n-Efouk	id=g:6578441
Èfouk Simanti	id=g:6578442
Doubouna	id=g:6578443
Ghoufoud	id=g:6578444
I-n-Têchghar	id=g:6578445
Tébochit	id=g:6578446
Touzzèlader	id=g:6578447
I-n-Éfouk	id=g:6578448
Atkaki	id=g:6578449
Chikéli	id=g:6578450
I-n-Sam	id=g:6578451
Èmédérar	id=g:6578452
Berjé	id=g:6578453
I-n-Terzaouene	id=g:6578454
Guèndana	id=g:6578455
Amdid	id=g:6578456
Abôragh Déla	id=g:6578457
Tchiléouene-m-Bikas	id=g:6578458
Iferâne-n-Tatkaki	id=g:6578459
Talat-n-Taguet	id=g:6578460
Talat-n-Ésséfoum	id=g:6578461
Abardokh	id=g:6578462
Abardokh	id=g:6578463
Talat	id=g:6578464
Taghès	id=g:6578465
Azèdi	id=g:6578466
Aligga	id=g:6578467
Téssouma	id=g:6578468
Tchidtarene	id=g:6578469
Éghazer-n-Abôragh	id=g:6578470
Téguébichéri	id=g:6578471
I-n-Taraïn	id=g:6578472
Talat-n-Taguet	id=g:6578473
Fodi Sonka	id=g:6578474
Fodi Sonka	id=g:6578475
I-n-Toghatene	id=g:6578476
Taoussat-n-Taram	id=g:6578477
Édikel	id=g:6578478
Tohigarine	id=g:6578479
Béroguene	id=g:6578480
Idiguera	id=g:6578481
Teghabghoub	id=g:6578482
Badardèr	id=g:6578483
Kéllna	id=g:6578484
Ghaoghaouat	id=g:6578485
Goûda	id=g:6578486
Goûda Acha	id=g:6578487
I-n-Tatta	id=g:6578488
Bagzane-n-Âmmas	id=g:6578489
Boudeï	id=g:6578490
Bokotane	id=g:6578491
I-n-Tchamia	id=g:6578492
Tchamia	id=g:6578493
Fongous	id=g:6578494
Sobiha	id=g:6578495
Aguelmam-n-Iklâne	id=g:6578496
Bourni-n-Doutchi	id=g:6578497
I-n-Ates	id=g:6578498
Tétagheït	id=g:6578499
Amo	id=g:6578500
Éferi-n-Kassaka	id=g:6578501
Bedeï-n-Takeïbabat	id=g:6578502
Tétagheï-n-Tanoufane	id=g:6578503
Mokéditene	id=g:6578504
I-n-Tiguérene	id=g:6578505
I-n-Tarakat	id=g:6578506
Taoussat Ta-m-Bédeï	id=g:6578507
Toumouzéni	id=g:6578508
I-n-Kára	id=g:6578509
Zeïdiri	id=g:6578510
Ouicha	id=g:6578511
Tchinine	id=g:6578512
Rimrim	id=g:6578513
Téssilit	id=g:6578514
Modéni	id=g:6578515
I-n-Iguire	id=g:6578516
Égadaouil	id=g:6578517
Iferâne Énèfas	id=g:6578518
Semaghil	id=g:6578519
Tiersal	id=g:6578520
Érouak	id=g:6578521
Jofélet	id=g:6578522
Téguér	id=g:6578523
Samominine	id=g:6578524
Édabdab	id=g:6578525
Tessénagat	id=g:6578526
Amane	id=g:6578527
Tessénagat	id=g:6578528
Zeggaghane	id=g:6578529
I-n-Abôragh	id=g:6578530
I-n-Tigha	id=g:6578531
Tanozodok	id=g:6578532
Tagalanghat	id=g:6578533
I-m-Bakane	id=g:6578534
I-n-Tidit	id=g:6578535
Ouararatakat	id=g:6578536
Tidene	id=g:6578537
I-n-Abardokh	id=g:6578538
Éguéreouene	id=g:6578539
Tiersal	id=g:6578540
I-n-Anoragh	id=g:6578541
Boudari	id=g:6578542
Zouèzer	id=g:6578543
Kébi	id=g:6578544
Guèrmaouene	id=g:6578545
Égadaouil	id=g:6578546
Tadénak	id=g:6578547
I-n-Tcheggai	id=g:6578548
Tazoubarat	id=g:6578549
I-n-Tékoke	id=g:6578550
Ilerane Zeggaghane	id=g:6578551
Kijéno	id=g:6578552
Izeggaghane	id=g:6578553
I-n-Ajeghan	id=g:6578554
Taouerdé	id=g:6578555
Gadambou	id=g:6578556
I-n-Tassaskot	id=g:6578557
Toghéjimene	id=g:6578558
Elimine	id=g:6578559
Faoudeout	id=g:6578560
Taguelmam	id=g:6578561
Toussar	id=g:6578562
I-n-Kakane	id=g:6578563
I-n-Tadém	id=g:6578564
I-n-Targuit	id=g:6578565
I-n-Abôragh	id=g:6578566
Toghejimene	id=g:6578567
Tchilamsaouîne	id=g:6578568
Marinet	id=g:6578569
Zaro	id=g:6578570
Manakaoutchi	id=g:6578571
Mada	id=g:6578572
Ezak	id=g:6578573
Tchordaouene	id=g:6578574
Semaghil	id=g:6578575
I-n-Torguit	id=g:6578576
Tchougourouram	id=g:6578577
Éourkid	id=g:6578578
I-m-Bakane	id=g:6578579
Tazalaralak	id=g:6578580
Sakalet	id=g:6578581
Tanazamalik	id=g:6578582
Takamouét	id=g:6578583
Éguéjir	id=g:6578584
Amettessa	id=g:6578585
Beteghmatas	id=g:6578586
Tegoumak	id=g:6578587
Tanazamalé	id=g:6578588
Taoudeout	id=g:6578589
Tchifayatia	id=g:6578590
Éméssakene	id=g:6578591
Tchinesboubanene	id=g:6578592
Tamas Ouajjao	id=g:6578593
Fourdéous	id=g:6578594
Fourdéous	id=g:6578595
Amouroudou	id=g:6578596
Tchi-n-Karadet	id=g:6578597
Amouroudou	id=g:6578598
Aouderas	id=g:6578599
Aghajébjab	id=g:6578600
Tânout Araghat	id=g:6578601
Ouabarem	id=g:6578602
Bergoda	id=g:6578603
Bakari	id=g:6578604
Elméki	id=g:6578605
I-n-Anoumane	id=g:6578606
Bosbos	id=g:6578607
Tchinagharíane	id=g:6578608
Kodri	id=g:6578609
Kodri	id=g:6578610
Tchinaghariane	id=g:6578611
I-n-Tichikit	id=g:6578612
Taghâghit	id=g:6578613
Éres-n-Aggour	id=g:6578614
Éferi Tchi-n-Tézzak	id=g:6578615
Tégoumak	id=g:6578616
Tchidtarene	id=g:6578617
Karmach	id=g:6578618
Talat Mellet	id=g:6578619
Afakene	id=g:6578620
Afatene	id=g:6578621
Milla	id=g:6578622
Goujé	id=g:6578623
Tazamak	id=g:6578624
Tchidrarene	id=g:6578625
Kaghak	id=g:6578626
Téguébichéri	id=g:6578627
Ibodènane	id=g:6578628
I-n-Dounane	id=g:6578629
Tchi-n-Éssélémane	id=g:6578630
Taouai	id=g:6578631
Maliki	id=g:6578632
Chellichchem	id=g:6578633
Tékazazane	id=g:6578634
Tassak	id=g:6578635
Téssouma	id=g:6578636
Mérïg	id=g:6578637
Ilemsa	id=g:6578638
Tokadi	id=g:6578639
Mérïg	id=g:6578640
Asséssa	id=g:6578641
Taghès	id=g:6578642
Éouélem	id=g:6578643
Akari	id=g:6578644
Tékokeï	id=g:6578645
