Childs Lake Dam	id=g:4187746
Chulio Hills	id=g:4187888
Chunn Estates	id=g:4187889
Chupp Cemetery	id=g:4187890
Church Branch	id=g:4187891
Christmas Lake	id=g:4187892
Church Hall	id=g:4187893
Church Hill	id=g:4187894
Church House Branch	id=g:4187895
Church Campground	id=g:4187896
Church Street Park	id=g:4187897
Church Street Elementary School	id=g:4187898
Church Street School	id=g:4187899
Church and Kingdom of Christ	id=g:4187900
Church of Christ	id=g:4187901
Church of Christ	id=g:4187902
Church of Christ	id=g:4187903
Church of Christ	id=g:4187904
Church of Christ	id=g:4187905
Church of Christ	id=g:4187906
Church of Christ	id=g:4187907
Church of Christ	id=g:4187908
Church of Christ	id=g:4187909
Church of Christ	id=g:4187910
Church of Christ	id=g:4187911
Church of Christ	id=g:4187912
Church of Christ	id=g:4187913
Church of Christ	id=g:4187914
Church of Christ	id=g:4187915
Church of Christ	id=g:4187916
Church of Christ	id=g:4187917
Church of Christ	id=g:4187918
Church of Christ	id=g:4187919
Church of Christ	id=g:4187920
Church of Christ	id=g:4187921
Church of Christ	id=g:4187922
Church of Christ	id=g:4187923
Church of Christ	id=g:4187924
Church of Christ	id=g:4187925
Church of Christ	id=g:4187926
Church of Christ	id=g:4187927
Church of Christ	id=g:4187928
Church of Christ	id=g:4187929
Church of Christ	id=g:4187930
Church of Christ	id=g:4187931
Church of Christ	id=g:4187932
Church of Christ	id=g:4187933
Church of Christ	id=g:4187934
Church of Christ	id=g:4187935
Church of Christ	id=g:4187936
Church of Christ	id=g:4187937
Church of Christ	id=g:4187938
Church of Christ	id=g:4187939
Church of Christ	id=g:4187940
Church of Christ	id=g:4187941
Church of Christ	id=g:4187942
Church of Christ	id=g:4187943
Church of Christ	id=g:4187944
Church of Christ	id=g:4187945
Church of Christ	id=g:4187946
Church of Christ	id=g:4187947
Church of Christ	id=g:4187948
Church of Christ	id=g:4187949
Church of Christ	id=g:4187950
Church of Christ	id=g:4187951
Church of Christ (historical)	id=g:4187952
Church of Christ (historical)	id=g:4187953
Church of Christ Cemetery	id=g:4187954
Church of Christ Cemetery	id=g:4187955
Church of Desser	id=g:4187956
Church of God	id=g:4187957
Church of God	id=g:4187958
Church of God	id=g:4187959
Church of God	id=g:4187960
Church of God	id=g:4187961
Church of God	id=g:4187962
Church of God	id=g:4187963
Church of God	id=g:4187964
Church of God	id=g:4187965
Church of God	id=g:4187966
Church of God	id=g:4187967
Church of God	id=g:4187968
Church of God	id=g:4187969
Church of God	id=g:4187970
Church of God	id=g:4187971
Church of God	id=g:4187972
Church of God	id=g:4187973
Church of God	id=g:4187974
Church of God	id=g:4187975
Church of God	id=g:4187976
Church of God	id=g:4187977
Church of God	id=g:4187978
Church of God	id=g:4187979
Church of God	id=g:4187980
Church of God	id=g:4187981
Church of God	id=g:4187982
Church of God	id=g:4187983
Church of God	id=g:4187984
Church of God	id=g:4187985
Church of God	id=g:4187986
Church of God	id=g:4187987
Church of God	id=g:4187988
Church of God	id=g:4187989
Church of God	id=g:4187990
Church of God	id=g:4187991
Church of God	id=g:4187992
Church of God	id=g:4187993
Church of God	id=g:4187994
Church of God	id=g:4187995
Church of God	id=g:4187996
Church of God	id=g:4187997
Church of God	id=g:4187998
Church of God	id=g:4187999
Church of God	id=g:4188000
Church of God	id=g:4188001
Church of God	id=g:4188002
Church of God	id=g:4188003
Church of God	id=g:4188004
Church of God	id=g:4188005
Church of God	id=g:4188006
Church of God	id=g:4188007
Church of God	id=g:4188008
Church of God	id=g:4188009
Church of God	id=g:4188010
Church of God	id=g:4188011
Church of God	id=g:4188012
Church of God	id=g:4188013
Church of God	id=g:4188014
Church of God	id=g:4188015
Church of God	id=g:4188016
Church of God	id=g:4188017
Church of God	id=g:4188018
Church of God	id=g:4188019
Church of God	id=g:4188020
Church of God	id=g:4188021
Church of God (historical)	id=g:4188022
Church of God (historical)	id=g:4188023
Church of God (historical)	id=g:4188024
Church of God (historical)	id=g:4188025
Church of God (historical)	id=g:4188026
Church of God (historical)	id=g:4188027
Church of God (historical)	id=g:4188028
Church of God (historical)	id=g:4188029
Church of God (historical)	id=g:4188030
Church of God Cemetery	id=g:4188031
Church of God Holiness	id=g:4188032
Church of God and Christ	id=g:4188033
Church of God in Christ	id=g:4188034
Church of God in Christ	id=g:4188035
Church of God in Christ	id=g:4188036
Church of God in Christ	id=g:4188037
Church of God in Christ	id=g:4188038
Church of God in Unity	id=g:4188039
Church of God of Prophecy	id=g:4188040
Church of God of Prophecy	id=g:4188041
Church of God of Prophecy	id=g:4188042
Church of God of Prophecy	id=g:4188043
Church of God of Prophecy	id=g:4188044
Church of God of Prophecy	id=g:4188045
Church of God of Prophecy	id=g:4188046
Church of God of Prophecy	id=g:4188047
Church of God of Prophecy	id=g:4188048
Church of God of Wahoma	id=g:4188049
Church of Jesus	id=g:4188050
Church of Jesus Christ	id=g:4188051
Church of Jesus Christ	id=g:4188052
Church of Jesus Christ	id=g:4188053
Church of Our Savior (historical)	id=g:4188054
Church of Prophecy	id=g:4188055
Church of Prophecy	id=g:4188056
Church of Redeemer	id=g:4188057
Church of Sacred Heart	id=g:4188058
Church of Saint Andrew	id=g:4188059
Church of the Atonement	id=g:4188060
Church of the Good Shepherd	id=g:4188061
Church of the Good Shepherd	id=g:4188062
Church of the Good Shepherd	id=g:4188063
Church of the Good Shepherd	id=g:4188064
Church of the Holy God	id=g:4188065
Church of the Immaculate Conception	id=g:4188066
Church of the Immaculate Conception	id=g:4188067
Church of the Kingdom of God	id=g:4188068
Church of the Little Flower Roman Catholic Church	id=g:4188069
Church of the Living God	id=g:4188070
Church of the Living God	id=g:4188071
Church of the Lord	id=g:4188072
Church of the Lord Jesus Christ	id=g:4188073
Church of the Lord Jesus Christ of the Apostolic Faith	id=g:4188074
Church of the Lord Jesus Christ of the Apostolic Faith	id=g:4188075
Church of the Most Holy Trinity	id=g:4188076
Church of the Nazarene	id=g:4188077
Church of the Nazarene	id=g:4188078
Church of the Nazarene	id=g:4188079
Church of the Nazarene	id=g:4188080
Church of the Nazarene	id=g:4188081
Church of the Nazarene	id=g:4188082
Church of the Nazarene	id=g:4188083
Church of the Nazarene	id=g:4188084
Church of the Nazarene	id=g:4188085
Church of the Nazarene (historical)	id=g:4188086
Church-Smith-Harris Streets Historic District	id=g:4188087
Churchill Cemetery	id=g:4188088
Churchill Swamp	id=g:4188089
Cicero Loudermilk Cove	id=g:4188090
Church Street Church of Christ	id=g:4188091
Cinderella Hills	id=g:4188092
Cindy Cove	id=g:4188093
Cindy Lake	id=g:4188094
Cindys Lake	id=g:4188095
Circle Creek	id=g:4188096
Circle H Estates	id=g:4188097
Circle View Cemetery	id=g:4188098
Cisco	id=g:4188099
Cisco Baptist Church	id=g:4188100
Cisco Post Office	id=g:4188101
Citizen Bridge	id=g:4188102
Citizens Cemetery	id=g:4188103
Citizens Christian Academy	id=g:4188104
City Drainage Canal	id=g:4188105
City Lake	id=g:4188106
City Lake Dam	id=g:4188107
City Market	id=g:4188108
City Market Parking Garage	id=g:4188109
City Mills Dam	id=g:4188110
City Mills Dam	id=g:4188111
City Park School	id=g:4188112
City Pumping Station Number 1	id=g:4188113
City Square Park	id=g:4188114
City View Heights	id=g:4188115
City Village	id=g:4188116
City of Adel Lake	id=g:4188117
City of Adel Lake Dam	id=g:4188118
City of East Point Reservoir	id=g:4188119
City of East Point Reservoir Dam	id=g:4188120
City of Fayetteville Lake	id=g:4188121
City of Fayetteville Lake Dam	id=g:4188122
City of Fitzgerald Dam Northeast	id=g:4188123
City of Fitzgerald Northeast Pond	id=g:4188124
City of Refuge	id=g:4188125
City of Sylvester Lake	id=g:4188126
City of Sylvester Lake Dam	id=g:4188127
City of Sylvester Lake North	id=g:4188128
City of Sylvester Lake North Dam	id=g:4188129
City of Washington Reservoir	id=g:4188130
City of Washington Reservoir Dam	id=g:4188131
Civic Center Park	id=g:4188132
Civic Center Station Atlanta Post Office	id=g:4188133
Civilian Conservation Corps Camp Number 5426 (historical)	id=g:4188134
Cinder Hill	id=g:4188135
Clack Bridge	id=g:4188136
Clacks Chapel (historical)	id=g:4188137
Clair Lake	id=g:4188138
Clair Lake Dam	id=g:4188139
Clairmont Church	id=g:4188140
Clairmont Park	id=g:4188141
Clairemont Elementary School	id=g:4188142
Clam Creek	id=g:4188143
Clabber Landing	id=g:4188144
Clanton Cemetery	id=g:4188145
Clanttian Grove School (historical)	id=g:4188146
Clap Hill Reservoir	id=g:4188147
Clapp Hill	id=g:4188148
Clara Muhammad School	id=g:4188149
Clardy Strip	id=g:4188150
Clark Bluff Cemetery	id=g:4188151
Clark Bridge	id=g:4188152
Clark Bridge Access Point	id=g:4188153
Clark Cemetery	id=g:4188154
Clark Cemetery	id=g:4188155
Clark Cemetery	id=g:4188156
Clark Cemetery	id=g:4188157
Clark Cemetery	id=g:4188158
Clark Cemetery	id=g:4188159
Clark Chapel (historical)	id=g:4188160
Clark Chapel Baptist Church	id=g:4188161
Clark Church	id=g:4188162
Clark Atlanta University	id=g:4188163
Clark Creek	id=g:4188164
Clam Creek Picnic Area	id=g:4188165
Clark Creek	id=g:4188166
Clark Creek Campground	id=g:4188167
Clark Fain Lake	id=g:4188168
Clark Fain Lake Dam	id=g:4188169
Clark Grove Church	id=g:4188170
Clark Howell Hall	id=g:4188171
Clark Lake	id=g:4188172
Clark Lake	id=g:4188173
Clark Lake	id=g:4188174
Clark Lake Dam	id=g:4188175
Clark Lake Dam	id=g:4188176
Clark Lake Dam	id=g:4188177
Clark Library	id=g:4188178
Clark Mountain	id=g:4188179
Clark Pond (historical)	id=g:4188180
Clark Recreation Area	id=g:4188181
Clark School	id=g:4188182
Clark Station Church	id=g:4188183
Clark-Webb-Simmons Family Cemetery	id=g:4188184
Clarkdale	id=g:4188185
Clarkdale Elementary School	id=g:4188186
Clarkdale Historic District	id=g:4188187
Clarkdale Park	id=g:4188188
Clarkdale Post Office	id=g:4188189
Clarke Central High School	id=g:4188190
Clarke County	id=g:4188191
Clarke County Courthouse	id=g:4188192
Clarke Crossing Shopping Center	id=g:4188193
Clarke Middle School	id=g:4188194
Clarke School (historical)	id=g:4188195
Clarkedale	id=g:4188196
Clarkesville	id=g:4188197
Clarkesville Baptist Church	id=g:4188198
Clarkesville Elementary School	id=g:4188199
Clarkesville Lookout Tower	id=g:4188200
Clarking	id=g:4188201
Clarks Bluff	id=g:4188202
Clarks Bluff	id=g:4188203
Clarks Bluff	id=g:4188204
Clarks Bluff Landing	id=g:4188205
Clarks Bridge	id=g:4188206
Clarks Bridge Place	id=g:4188207
Clarks Chapel	id=g:4188208
Clarks Chapel Cemetery	id=g:4188209
Clarks Chapel Church	id=g:4188210
Clarks Creek	id=g:4188211
Clark Creek South Public Use Area	id=g:4188212
Clarks Creek	id=g:4188213
Clarks Creek	id=g:4188214
Clarks Creek	id=g:4188215
Clarks Fork	id=g:4188216
Clarks Creek Church	id=g:4188217
Clarks Grove Church (historical)	id=g:4188218
Clarks Island	id=g:4188219
Clarks Junction	id=g:4188220
Clarks Landing	id=g:4188221
Clarks Mill	id=g:4188222
Clarks Mill	id=g:4188223
Clarks Mill (historical)	id=g:4188224
Clarks Mill Pond	id=g:4188225
Clarks Mill Pond Dam	id=g:4188226
Clarks Millpond Dam	id=g:4188227
Clarks Millpond Dam	id=g:4188228
Clarks Mineral Spring	id=g:4188229
Clarks Siding (historical)	id=g:4188230
Clarks Station Cemetery	id=g:4188231
Clarksboro	id=g:4188232
Clarkston	id=g:4188233
Clarkston High School	id=g:4188234
Clarkston Mine	id=g:4188235
Clarkview	id=g:4188236
Clatin Elementary School	id=g:4188237
Clawson Cemetery	id=g:4188238
Claxton	id=g:4188239
Claxton Bridge	id=g:4188240
Claxton City Hall	id=g:4188241
Claxton Crossing Shopping Center	id=g:4188242
Claxton Elementary School	id=g:4188243
Claxton First Methodist Church	id=g:4188244
Claxton High School	id=g:4188245
Claxton Hospital	id=g:4188246
Claxton Memorial Bridge	id=g:4188247
Claxton Post Office	id=g:4188248
Claxton Primitive Baptist Church	id=g:4188249
Claxton Sewage Treatment Pond	id=g:4188250
Claxton Sewage Treatment Pond Dam	id=g:4188251
Claxton Square Shopping Center	id=g:4188252
Claxton-Evans County Airport	id=g:4188253
Clay Bluff	id=g:4188254
Clay Branch	id=g:4188255
Clay Branch	id=g:4188256
Clay Cemetery	id=g:4188257
Clay County	id=g:4188258
Clay County Courthouse	id=g:4188259
Clay County High School	id=g:4188260
Clay Creek	id=g:4188261
Clarks Grove Church	id=g:4188262
Clay Hill	id=g:4188263
Clay Hill Cemetery	id=g:4188264
Clay Hill School (historical)	id=g:4188265
Clay Homes	id=g:4188266
Clay Homes	id=g:4188267
Clay Island	id=g:4188268
Clay Lake	id=g:4188269
Clay Lake	id=g:4188270
Clay Lake	id=g:4188271
Clay Lake Dam	id=g:4188272
Clay Lake North	id=g:4188273
Clay Lake North Dam	id=g:4188274
Clay Lookout Tower	id=g:4188275
Clay Plaza Shopping Center	id=g:4188276
Clay Road Church	id=g:4188277
Clay South Dam	id=g:4188278
Clay South Lake	id=g:4188279
Claybank School (historical)	id=g:4188280
Claybed	id=g:4188281
Clayfields	id=g:4188282
Clayhole Creek	id=g:4188283
Clay Creek Falls	id=g:4188284
Clayhole Swamp	id=g:4188285
Claystone Park	id=g:4188286
Clayton	id=g:4188287
Clayton Church	id=g:4188288
Clayton State University	id=g:4188289
Clayton Commons Shopping Center	id=g:4188290
Clayton County	id=g:4188291
Clayton County Courthouse	id=g:4188292
Clayton County Medical Center	id=g:4188293
Clayton County Reservoir	id=g:4188294
Clayton County Reservoir Dam	id=g:4188295
Clayton County Waterworks	id=g:4188296
Clayton Elementary School	id=g:4188297
Clayton General Hospital	id=g:4188298
Clayton Heliport	id=g:4188299
Clayton High School (historical)	id=g:4188300
Clayton Junior College Lake	id=g:4188301
Clayton Junior College Lake Dam	id=g:4188302
Clayton Lake	id=g:4188303
Clayton Manor	id=g:4188304
Clayton Plaza Shopping Center	id=g:4188305
Clayton Ridge	id=g:4188306
Clayton Ridge North	id=g:4188307
Clayton Elementary School	id=g:4188308
Clayton-Bonner Family Cemetery	id=g:4188309
Clear Creek	id=g:4188310
Clayhole Island	id=g:4188311
Clear Creek	id=g:4188312
Clear Creek	id=g:4188313
Clear Creek	id=g:4188314
Clear Creek	id=g:4188315
Clear Creek	id=g:4188316
Clear Creek	id=g:4188317
Clear Creek	id=g:4188318
Clear Creek	id=g:4188319
Clear Creek	id=g:4188320
Clear Creek	id=g:4188321
Clear Creek	id=g:4188322
Clear Creek	id=g:4188323
Clear Creek Cemetery	id=g:4188324
Clear Creek Church	id=g:4188325
Clear Creek Church	id=g:4188326
Clear Creek Church	id=g:4188327
Clear Creek Pond	id=g:4188328
Clear Lake	id=g:4188329
Clear Lake	id=g:4188330
Clear Lake	id=g:4188331
Clear Lake	id=g:4188332
Clear Lake Dam	id=g:4188333
Clear Lake Dam	id=g:4188334
Clear Spring Creek	id=g:4188335
Clear Creek Cemetery	id=g:4188336
Clear Springs Church	id=g:4188337
Clearbrook	id=g:4188338
Clearlake Court Dam	id=g:4188339
Clearview	id=g:4188340
Clearview	id=g:4188341
Clearview	id=g:4188342
Clearview Church	id=g:4188343
Clearwater Lake	id=g:4188344
Clearwater Lake Dam	id=g:4188345
Clearwater Springs	id=g:4188346
Cleaton (historical)	id=g:4188347
Cleburnes Creek	id=g:4188348
Clear Spring School (historical)	id=g:4188349
Cleggs Lake Dam	id=g:4188350
Cleghorn Spring	id=g:4188351
Clem	id=g:4188352
Clem Cemetery	id=g:4188353
Clem Church	id=g:4188354
Clem Holland Memorial Bridge	id=g:4188355
Clem Methodist Church	id=g:4188356
Clemens Cemetery	id=g:4188357
Clement School	id=g:4188358
Clements Branch	id=g:4188359
Cleggs Lake	id=g:4188360
Clements Cemetery	id=g:4188361
Clements Cemetery	id=g:4188362
Clements Chapel	id=g:4188363
Clements Chapel Cemetery	id=g:4188364
Clements Creek	id=g:4188365
Clements Branch Church	id=g:4188366
Clements Lake Dam	id=g:4188367
Clements Mill (historical)	id=g:4188368
Clements Mountain	id=g:4188369
Clements Pond	id=g:4188370
Clements School (historical)	id=g:4188371
Clemones Cemetery	id=g:4188372
Clemons Chapel	id=g:4188373
Clemons Chapel Cemetery	id=g:4188374
Clermont	id=g:4188375
Clermont Residential Historic District	id=g:4188376
Cleveland	id=g:4188377
Cleveland Elementary School	id=g:4188378
Cleveland Cemetery	id=g:4188379
Cleveland Cemetery	id=g:4188380
Cleveland Cemetery	id=g:4188381
Cleveland Cemetery	id=g:4188382
Cleveland Chapel	id=g:4188383
Cleveland Chapel African Methodist Episcopal Church	id=g:4188384
Cleveland Church	id=g:4188385
Cleveland Church (historical)	id=g:4188386
Cleveland City Hall	id=g:4188387
Cleveland Dam	id=g:4188388
Cleveland Ferry (historical)	id=g:4188389
Cleveland Field	id=g:4188390
Cleveland Field School	id=g:4188391
Cleveland Grove Church	id=g:4188392
Cleveland Heights	id=g:4188393
Cleveland Hill	id=g:4188394
Cleveland Lake	id=g:4188395
Cleveland Park	id=g:4188396
Cleveland Post Office	id=g:4188397
Cleveland School (historical)	id=g:4188398
Cleveland School (historical)	id=g:4188399
Cleveland Shoal (historical)	id=g:4188400
Cleveland Station	id=g:4188401
Clewis Island	id=g:4188402
Cliatt Creek	id=g:4188403
Cliatt Shopping Center	id=g:4188404
Cliett Cemetery	id=g:4188405
Cliff Creek	id=g:4188406
Clements Lake	id=g:4188407
Cliff Creek	id=g:4188408
Cliff Mountain	id=g:4188409
Cliff Pond Dam	id=g:4188410
Cliff Ridge	id=g:4188411
Clifford Grove Church	id=g:4188412
Clifford Temple Christian Methodist Episcopal Church	id=g:4188413
Cliffords Grove Cemetery	id=g:4188414
Cliffords Grove Church	id=g:4188415
Clifton	id=g:4188416
Clifton Bluff	id=g:4188417
Clifton Cemetery	id=g:4188418
Clifton Cemetery	id=g:4188419
Clifton Cemetery	id=g:4188420
Clifton Church	id=g:4188421
Clifton Creek	id=g:4188422
Cliff Pond	id=g:4188423
Clifton Plantation (historical)	id=g:4188424
Clifton Springs Golf Course	id=g:4188425
Clifton Tower	id=g:4188426
Cliftondale	id=g:4188427
Cliftondale Church	id=g:4188428
Cliftondale Elementary School	id=g:4188429
Cliftondale Park	id=g:4188430
Climax	id=g:4188431
Climax Elementary School	id=g:4188432
Clinch County	id=g:4188433
Clinch County Courthouse	id=g:4188434
Clinch County High School	id=g:4188435
Clinch County Pre-School	id=g:4188436
Clinch Memorial Hospital	id=g:4188437
Clinch Middle School	id=g:4188438
Clinchfield	id=g:4188439
Clinchfield Presbyterian Church (historical)	id=g:4188440
Clinchs Chapel	id=g:4188441
Cline Lake	id=g:4188442
Cline Ranch Strip	id=g:4188443
Clines Crossroads	id=g:4188444
Clint Odom Airport	id=g:4188445
Clinton	id=g:4188446
Clinton Chapel School (historical)	id=g:4188447
Clipper	id=g:4188448
Clisby School	id=g:4188449
Clito	id=g:4188450
Clito Cemetery	id=g:4188451
Clito Church	id=g:4188452
Clito School (historical)	id=g:4188453
Cloer Trail	id=g:4188454
Clopine	id=g:4188455
Lake Clopine	id=g:4188456
Clopton (historical)	id=g:4188457
Clopton Mine	id=g:4188458
Clotfelter Lake	id=g:4188459
Clotfelter Lake Dam	id=g:4188460
Clothespole Bay	id=g:4188461
Cloud Cemetery	id=g:4188462
Cloud Cemetery	id=g:4188463
Cloud Cemetery	id=g:4188464
Cloud Lake	id=g:4188465
Cloud Lake Dam	id=g:4188466
Cloud Springs	id=g:4188467
Cloud Springs Baptist Church	id=g:4188468
Cloud Springs Cemetery	id=g:4188469
Cloud Springs Elementary School	id=g:4188470
Cloudland	id=g:4188471
Cloudland Canyon State Park	id=g:4188472
Cloudland Canyon State Park	id=g:4188473
Cloudland Park Club	id=g:4188474
Cloudland School	id=g:4188475
Cloudman Hall	id=g:4188476
Clouds Creek	id=g:4188477
Clifton Elementary School	id=g:4188478
Clouds Creek Church	id=g:4188479
Cloughs Bay	id=g:4188480
Clover	id=g:4188481
Clover Heights	id=g:4188482
Clover Lake	id=g:4188483
Clover Lake Dam	id=g:4188484
Clover Ranch Mobile Home Park	id=g:4188485
Clover Reach	id=g:4188486
Clover Reach Recreation Center	id=g:4188487
Cloverdale	id=g:4188488
Cloverdale	id=g:4188489
Cloverdale Baptist Church	id=g:4188490
Cloverfield Hunt Camp	id=g:4188491
Cloverleaf Church	id=g:4188492
Cloverleaf Elementary School	id=g:4188493
Clowers Cemetery	id=g:4188494
Clowers Church	id=g:4188495
Clowers School (historical)	id=g:4188496
Club Dam	id=g:4188497
Club Drive	id=g:4188498
Club Lake	id=g:4188499
Club Lake	id=g:4188500
Club Lake Dam	id=g:4188501
Club Park	id=g:4188502
Clubbs Creek	id=g:4188503
Clubhouse Ridge	id=g:4188504
Clubview Elementary School	id=g:4188505
Clubview Heights	id=g:4188506
Cluese (historical)	id=g:4188507
Clyatt Mill Creek	id=g:4188508
Clouds Creek Cemetery	id=g:4188509
Clyattville Elementary School	id=g:4188510
Clyattville Lake Park School	id=g:4188511
Clyattville Post Office	id=g:4188512
Clyde	id=g:4188513
Clyde Cemetery	id=g:4188514
Clyde Creek	id=g:4188515
Clyattville	id=g:4188516
Clyo	id=g:4188517
Clyo Post Office	id=g:4188518
Co Academy	id=g:4188519
Coacher Hill	id=g:4188520
Coachman Park	id=g:4188521
Coachman Park School	id=g:4188522
Coahulla Creek	id=g:4188523
Clyde Pond	id=g:4188524
Coal Mountain Cemetery	id=g:4188525
Coal Mountain Church	id=g:4188526
Coal Mountain Elementary School	id=g:4188527
Coal Neck Settlement (historical)	id=g:4188528
Coastal Correctional Institution	id=g:4188529
Coastal Empire Christian Camp	id=g:4188530
Coastal Loan Company Lake	id=g:4188531
Coastal Loan Company Lake Dam	id=g:4188532
Coat Creek	id=g:4188533
Coal Mountain	id=g:4188534
Coats and Clark Dam	id=g:4188535
Coats and Clark Lake	id=g:4188536
Coats Cemetery	id=g:4188537
Coats and Clark Park	id=g:4188538
Cob Creek	id=g:4188539
Coates Airport	id=g:4188540
Cobb	id=g:4188541
Cobb Bethel Church	id=g:4188542
Cobb Bridge	id=g:4188543
Cobb Bridges	id=g:4188544
Cobb Cemetery	id=g:4188545
Cobb Center Shopping Center	id=g:4188546
Cobb County	id=g:4188547
Cobb County Civic Center	id=g:4188548
Cobb County Courthouse	id=g:4188549
Cobb County Farm (historical)	id=g:4188550
Cobb County Regional Park	id=g:4188551
Cobb County Vocational School	id=g:4188552
Cobb County-McCollum Field	id=g:4188553
Cobb Creek	id=g:4188554
Cobb Creek	id=g:4188555
Cobb Creek	id=g:4188556
Cob Ridge	id=g:4188557
Cobb Creek Church	id=g:4188558
Cobb Crossing	id=g:4188559
Cobb Estates	id=g:4188560
Cobb General Hospital Heliport	id=g:4188561
