Beji	id=g:6388519
Kali Cidondong	id=g:6388591
Wlahar	id=g:6388592
Kalisasak	id=g:6388593
Kedungcekong	id=g:6388594
Kaliula	id=g:6388595
Kaliurip	id=g:6388596
Kali Sasak	id=g:6388597
Kali Cibugel	id=g:6388598
Karangtengah	id=g:6388599
Kali Pulung	id=g:6388600
Tugu	id=g:6388601
Karangkemiri	id=g:6388602
Kali Paruk	id=g:6388603
Pertinggi	id=g:6388604
Kaliula	id=g:6388605
Kali Ula	id=g:6388606
Bojong	id=g:6388607
Siduda	id=g:6388608
Dukuhtengah	id=g:6388609
Dawuhan	id=g:6388610
Klapasawit Kidul	id=g:6388611
Kali Bojong	id=g:6388612
Karangcengis	id=g:6388613
Kali Putih	id=g:6388614
Karanglaban	id=g:6388615
Cibalung	id=g:6388616
Kali Cirebah	id=g:6388617
Kali Blender	id=g:6388618
Karangnangka	id=g:6388619
Kali Kedondong	id=g:6388620
Kaliwulan	id=g:6388621
Blender	id=g:6388622
Irigasi Banjaran	id=g:6388623
Kali Binglu	id=g:6388624
Kali Sereh	id=g:6388625
Kali Pegadungan	id=g:6388626
Kali Tapen	id=g:6388627
Cilapar	id=g:6388628
Desa Rancamaya	id=g:6388632
Desa Babakan	id=g:6388633
Desa Singasari	id=g:6388634
Desa Dawuhan Kulon	id=g:6388635
Desa Pernasidi	id=g:6388636
Desa Cilongok	id=g:6388637
Desa Langgonsari	id=g:6388638
Desa Pageraji	id=g:6388639
Desa Cipete	id=g:6388640
Desa Batuanten	id=g:6388641
Desa Sudimara	id=g:6388642
Desa Kesegeran	id=g:6388643
Desa Pejogol	id=g:6388644
Desa Karangkemiri	id=g:6388645
Desa Tamansari	id=g:6388646
Desa Jipang	id=g:6388647
Desa Pasir Kulon	id=g:6388648
Desa Pasir Lor	id=g:6388649
Desa Pasir Wetan	id=g:6388650
Kelurahan Pasir Kidul	id=g:6388651
Kelurahan Karanglewas Lor	id=g:6388652
Kelurahan Rejasari	id=g:6388653
Kelurahan Kober	id=g:6388654
Desa Karangsalam Kidul	id=g:6388655
Kelurahan Bobosan	id=g:6388656
Kelurahan Purwanegara	id=g:6388657
Desa Kebocoran	id=g:6388658
Desa Beji	id=g:6388659
Desa Purwasari	id=g:6388660
Desa Kutasari	id=g:6388661
Desa Pandak	id=g:6388662
Kelurahan Pabuaran	id=g:6388663
Kelurahan Sumampir	id=g:6388664
Kelurahan Grendeng	id=g:6388665
Kelurahan Purwokerto Lor	id=g:6388666
Kelurahan Bancarkembar	id=g:6388667
Kelurahan Kranji	id=g:6388668
Kelurahan Purwokerto Kulon	id=g:6388669
Kelurahan Kedungwuluh	id=g:6388670
Kelurahan Bantarsoka	id=g:6388671
Kelurahan Pasirmuncang	id=g:6388672
Kelurahan Tanjung	id=g:6388673
Desa Kedungwringin	id=g:6388674
Kelurahan Karangpucung	id=g:6388675
Kelurahan Karangklesem	id=g:6388676
Kelurahan Tejuk	id=g:6388677
Desa Sidabowa	id=g:6388678
Desa Karanganyar	id=g:6388679
Desa Kediri	id=g:6388680
Desa Kedungwuluh Lor	id=g:6388681
Desa Panusupan	id=g:6388682
Desa Jatisaba	id=g:6388683
Desa Sawangan Kidul	id=g:6388684
Desa Karangendep	id=g:6388685
Desa Karangmangu	id=g:6388686
Desa Kaliputih	id=g:6388687
Desa Notog	id=g:6388688
Desa Kedungwuluh Kidul	id=g:6388689
Desa Kedungrandu	id=g:6388690
Desa Patikraja	id=g:6388691
Desa Pegalongan	id=g:6388692
Desa Pangeratan	id=g:6388693
Desa Karanglewas Kidul	id=g:6388694
Desa Kedungbanteng	id=g:6388695
Tawangjati	id=g:6388696
Cimerang	id=g:6388697
Jero Tengah	id=g:6388698
Dukuhsaba	id=g:6388699
Sabrang	id=g:6388700
Karangmangu	id=g:6388701
Gandarija	id=g:6388702
Bendayuda	id=g:6388703
Wanalaba	id=g:6388704
Moncol	id=g:6388705
Jenawi	id=g:6388706
Glempang	id=g:6388707
Lemahgoak	id=g:6388708
Kalisanga	id=g:6388709
Karangpucung Kulon	id=g:6388710
Pangempongunung	id=g:6388711
Jatisawit	id=g:6388712
Karangpucung Wetan	id=g:6388713
Babakan Lor	id=g:6388714
Glempang	id=g:6388715
Dukuh	id=g:6388716
Brobahan	id=g:6388717
Legok	id=g:6388718
Krajan Dua	id=g:6388719
Gunungslamet	id=g:6388720
Krajan Satu	id=g:6388721
Keniten	id=g:6388722
Pandak	id=g:6388723
Gewok	id=g:6388724
Ciwarak	id=g:6388725
Karangblimbing	id=g:6388726
Kertasari	id=g:6388727
Gayagati	id=g:6388728
Sumingkir	id=g:6388729
Prompong	id=g:6388730
Beji Utara	id=g:6388731
Kali Penasalan	id=g:6388732
Kali Jengok	id=g:6388733
Gadog	id=g:6388734
Dawuhan	id=g:6388735
Babakan	id=g:6388736
Karangklesem	id=g:6388737
Kalibamban	id=g:6388738
Kalibambansuwung	id=g:6388739
Pangempon	id=g:6388740
Dukuharen	id=g:6388741
Darmaraja	id=g:6388742
Wates	id=g:6388743
Bojong	id=g:6388744
Bojong Kidul	id=g:6388745
Karangpundung	id=g:6388746
Semayu	id=g:6388747
Kalipancur	id=g:6388748
Kedungsentrol	id=g:6388749
Rancamaya	id=g:6388750
Kali Prukut	id=g:6388751
Penyuruh	id=g:6388752
Gerbeas	id=g:6388753
Ciwaru	id=g:6388754
Karangsemanding	id=g:6388755
Pondokpring	id=g:6388756
Pernasidi	id=g:6388757
Sukamerta	id=g:6388758
Panduraksa	id=g:6388759
Bedolan	id=g:6388760
Pageraji	id=g:6388761
Tangkil	id=g:6388762
Pliken	id=g:6388763
Pakuncen	id=g:6388764
Gohong	id=g:6388765
Karanggebang	id=g:6388766
Singasari	id=g:6388767
Karangjati	id=g:6388768
Margasari	id=g:6388769
Depok	id=g:6388770
Kedunglemah	id=g:6388771
Bojong	id=g:6388772
Kali Cangkok	id=g:6388773
Dukuhanyar	id=g:6388774
Brobahan	id=g:6388775
Kebocoran	id=g:6388776
Karangsalam	id=g:6388777
Beji Selatan	id=g:6388778
Purwasari	id=g:6388779
Sumampir Kulon	id=g:6388780
Sumampir Tengah	id=g:6388781
Sumampir Wetan	id=g:6388782
Kali Kranji	id=g:6388783
Pabuwaran	id=g:6388784
Brubahan	id=g:6388785
Dukuhbandong	id=g:6388786
Pakembaran	id=g:6388787
Karangmiri	id=g:6388788
Kadisari	id=g:6388789
Karangjambu	id=g:6388790
Watumas	id=g:6388791
Bobosan	id=g:6388792
Karangpucung	id=g:6388793
Karangpule	id=g:6388794
Kali Bogor	id=g:6388795
Sokawera	id=g:6388796
Pasir Lor	id=g:6388797
Karangtalun	id=g:6388798
Jipang Wetan	id=g:6388799
Jipang Kulon	id=g:6388800
Grugak	id=g:6388801
Kali Mengaji	id=g:6388802
Lenggerang	id=g:6388803
Cideng	id=g:6388804
Karangsalam	id=g:6388805
Ketetet	id=g:6388806
Langgong	id=g:6388807
Renteng	id=g:6388808
Pandansurat	id=g:6388809
Cilongok Timur	id=g:6388810
Glempang	id=g:6388811
Kalimanggis Utara	id=g:6388812
Cilongok	id=g:6388813
Kalimanggis Selatan	id=g:6388814
Dukuhpona	id=g:6388815
Cipete	id=g:6388816
Petir	id=g:6388817
Dukuhkluih	id=g:6388818
Dalawangi	id=g:6388819
Jurangmangu	id=g:6388820
Sindangkasih	id=g:6388821
Larangan	id=g:6388822
Kebontebu	id=g:6388823
Bulakan	id=g:6388824
Kurungayam	id=g:6388825
Karangjengkol	id=g:6388826
Karangkemiri	id=g:6388827
Pasir Kulon	id=g:6388828
Pasir Wetan	id=g:6388829
Pekuncen	id=g:6388830
Kauman Kulon	id=g:6388831
Kauman	id=g:6388832
Semingkir	id=g:6388833
Parakanonje	id=g:6388834
Kober	id=g:6388835
Karangjengkol	id=g:6388836
Karanganjing	id=g:6388837
Karangbawang	id=g:6388838
Glempang	id=g:6388839
Jatiwinangun	id=g:6388840
Mangunjaya	id=g:6388841
Cigrobak	id=g:6388842
Kebondalem	id=g:6388843
Sitapen	id=g:6388844
Karangkobar	id=g:6388845
Brubahan	id=g:6388846
Pesayangan	id=g:6388847
Bantarsoka	id=g:6388848
Pasiraja Kidul	id=g:6388849
Pasiraja Lor	id=g:6388850
Rejasari	id=g:6388851
Kalibogor	id=g:6388852
Pagedangan	id=g:6388853
Kebanaran	id=g:6388854
Sidenok	id=g:6388855
Kecamatan Purwokerto Selatan	id=g:6388856
Karanggude	id=g:6388857
Kemukusan	id=g:6388858
Tumanggul Kidul	id=g:6388859
Tumanggul Lor	id=g:6388860
Kalipoh	id=g:6388861
Situwangi	id=g:6388862
Legok	id=g:6388863
Wadasmalang	id=g:6388864
Karangnangka	id=g:6388865
Purut	id=g:6388866
Blater	id=g:6388867
Maratelu	id=g:6388868
Sawowan	id=g:6388869
Bentala	id=g:6388870
Dukuhlaben	id=g:6388871
Cirangkok	id=g:6388872
Pengilon	id=g:6388873
Kali Tenggulun	id=g:6388874
Pulasari	id=g:6388875
Karangpucung	id=g:6388876
Sudimara	id=g:6388877
Depok	id=g:6388878
Bantardawa Wetan	id=g:6388879
Tembelang	id=g:6388880
Rata	id=g:6388881
Malang	id=g:6388882
Karanglo	id=g:6388883
Karanggebang	id=g:6388884
Pejogol	id=g:6388885
Prigi	id=g:6388886
Pegunden	id=g:6388887
Kedungpugur	id=g:6388888
Tamansari	id=g:6388889
Tamansari Lor	id=g:6388890
Rawakuda	id=g:6388891
Pesanggrahan	id=g:6388892
Rawagunung	id=g:6388893
Dukuh	id=g:6388894
Pasirmuncang Kulon	id=g:6388895
Pepedan	id=g:6388896
Pasirmuncang Tengah	id=g:6388897
Sawangan	id=g:6388898
Pereng	id=g:6388899
Kranjimuntang	id=g:6388900
Kalibener	id=g:6388901
Tipar	id=g:6388902
Penisian	id=g:6388903
Kongsen	id=g:6388904
Kauman Lama	id=g:6388905
Sodagaran	id=g:6388906
Kedungampel	id=g:6388907
Pancurawis	id=g:6388908
Karangbawang	id=g:6388909
Karangpucung	id=g:6388910
Gandasuli	id=g:6388911
Cileleng	id=g:6388912
Bojong	id=g:6388913
Tanjung	id=g:6388914
Kembaran	id=g:6388915
Lemahurug	id=g:6388916
Jomlang	id=g:6388917
Lebak	id=g:6388918
Wungudadi	id=g:6388919
Kecamatan Karanglewas	id=g:6388920
Pasirluhur	id=g:6388921
Tamansari Kidul	id=g:6388922
Gebangsari	id=g:6388923
Dukuh Lor	id=g:6388924
Dukuharen	id=g:6388925
Mangir	id=g:6388926
Jamal	id=g:6388927
Anjir	id=g:6388928
Seger	id=g:6388929
Bantardawa Kulon	id=g:6388930
Kedungmakam	id=g:6388931
Kaligecek	id=g:6388932
Kali Wadas	id=g:6388933
Karanggintung	id=g:6388934
Karanggedang	id=g:6388935
Kalipapag	id=g:6388936
Karangmangu	id=g:6388937
Kandangaur	id=g:6388938
Jatibarang	id=g:6388939
Jambon	id=g:6388940
Danasri	id=g:6388941
Kediri	id=g:6388942
Pengasinan	id=g:6388943
Kedungwringin	id=g:6388944
Rawadawa	id=g:6388945
Muntang	id=g:6388946
Bersole	id=g:6388947
Karangklesem	id=g:6388948
Kruwet	id=g:6388949
Bantarmangu	id=g:6388950
Greja	id=g:6388951
Windusara	id=g:6388952
Pringgede	id=g:6388953
Klayar	id=g:6388954
Sidasari	id=g:6388955
Kedungmindi	id=g:6388956
Sidabowa	id=g:6388957
Kedungrogek	id=g:6388958
Karangblimbing	id=g:6388959
Dukuhsela	id=g:6388960
Kalisutra	id=g:6388961
Parakanjambe	id=g:6388962
Kaligebang	id=g:6388963
Rancahkedawung	id=g:6388964
Igirkopeng	id=g:6388965
Pecikalan	id=g:6388966
Golongtomo	id=g:6388967
Karangpucung	id=g:6388968
Pakujati	id=g:6388969
Panusupan	id=g:6388970
Sabrang Kidul	id=g:6388971
Kalikemojing	id=g:6388972
Clekit	id=g:6388973
Segla	id=g:6388974
Grugak	id=g:6388975
Gunung Batur	id=g:6388976
Gunungbatur	id=g:6388977
Watutumpang	id=g:6388978
Majingklak	id=g:6388979
Gunung Gripis	id=g:6388980
Curah	id=g:6388981
Gandaria	id=g:6388982
Watukumpul	id=g:6388983
Makandawa	id=g:6388984
Cengkoreh	id=g:6388985
Gebangsari	id=g:6388986
Watuagung	id=g:6388987
Kamal	id=g:6388988
Pacean	id=g:6388989
Brebeg	id=g:6388990
Anjir	id=g:6388991
Kalibening	id=g:6388992
Sawangan	id=g:6388993
Bojongsari	id=g:6388994
Maragati	id=g:6388995
Cliwek	id=g:6388996
Srowot	id=g:6388997
Planjan	id=g:6388998
Cikalan	id=g:6388999
Kombades	id=g:6389000
Kalirau	id=g:6389001
Clibur	id=g:6389002
Pagergunung	id=g:6389003
Karanganyar	id=g:6389004
Karanggede	id=g:6389005
Kalimenyawak	id=g:6389006
Sudimara	id=g:6389007
Pamujan	id=g:6389008
Kecamatan Purwokerto Barat	id=g:6389009
Gunungtugel	id=g:6389010
Karangaglik	id=g:6389011
Sidayasa	id=g:6389012
Kertayasa	id=g:6389013
Kebumen	id=g:6389014
Kedungwuluh	id=g:6389015
Pagedangan	id=g:6389016
Pete	id=g:6389017
Brem	id=g:6389018
Brayo	id=g:6389019
Wotgalih	id=g:6389020
Lentong	id=g:6389021
Karangendep	id=g:6389022
Gunung Cimelang	id=g:6389023
Cilaku	id=g:6389024
Semanding	id=g:6389025
Galing	id=g:6389026
Batur	id=g:6389027
Karangjati	id=g:6389028
Poncol	id=g:6389029
Karangcengis	id=g:6389030
Tambakmudal	id=g:6389031
Semingkir	id=g:6389032
Kalikranji	id=g:6389033
Pawungkalan	id=g:6389034
Cangkring	id=g:6389035
Klapasawit Lor	id=g:6389036
Pasanggrahan	id=g:6389037
Karangkemiri	id=g:6389038
Ciandong	id=g:6389039
Kedungpasung	id=g:6389040
Watugede	id=g:6389041
Ronten	id=g:6389042
Keser	id=g:6389043
Notog Lor	id=g:6389044
Petir	id=g:6389045
Klenteng	id=g:6389046
Bulu	id=g:6389047
Cunil	id=g:6389048
Pegalongan	id=g:6389049
Sorogan	id=g:6389050
Cilibang	id=g:6389051
Sanggrahan	id=g:6389052
Dukuh	id=g:6389053
Legok	id=g:6389054
Cilongok	id=g:6389055
Salamudin	id=g:6389056
Kecamatan Purwokerto Utara	id=g:6389057
Kalikulu	id=g:6389058
Kalikele	id=g:6389059
Gunung Watu	id=g:6389060
Winong	id=g:6389061
Gunung Payung	id=g:6389062
Kalirajet	id=g:6389063
Gandulekor	id=g:6389064
Tambangan	id=g:6389065
Dukuhparen	id=g:6389066
Tegalan	id=g:6389067
Bogem	id=g:6389068
Kesumba	id=g:6389069
Kedunggaram	id=g:6389070
Papringan Kidul	id=g:6389071
Kotip Purwokerto	id=g:6389072
Desa Karanggude Kulon	id=g:6389073
Pasirmuncang Wetan	id=g:6389074
Kecamatan Patikraja	id=g:6389075
Karanggandul	id=g:6389479
Gruyung	id=g:6389480
Kedungoleng	id=g:6389481
Kali Arus	id=g:6389482
Kali Bunton	id=g:6389483
Kali Guntur	id=g:6389484
Krajan	id=g:6389485
Gunungbarang Lor	id=g:6389486
Dawuhan	id=g:6389487
Igir Jakatingkir	id=g:6389488
Keseran Kidul	id=g:6389489
Gunungbuntu	id=g:6389490
Mungguhan	id=g:6389491
Keseran Kulon	id=g:6389492
Waduk Penjalin	id=g:6389493
Kedungwungu	id=g:6389494
Cukang	id=g:6389495
Karangsempu	id=g:6389496
Kali Karangkrinjing	id=g:6389497
Gununganyar	id=g:6389498
Watukarut	id=g:6389499
Pesurupan	id=g:6389500
Keseran	id=g:6389501
Soka	id=g:6389502
Igir Depok	id=g:6389503
Tipar	id=g:6389504
Kedungagung Kulon	id=g:6389505
Kedungagung Wetan	id=g:6389506
Karangbawang	id=g:6389507
Sawen	id=g:6389508
Kalimanggis	id=g:6389509
Karangblimbing	id=g:6389510
Gunungbarang Kidul	id=g:6389511
Karangwangkal	id=g:6389512
Sindangharja	id=g:6389513
Wadasmalang	id=g:6389514
Igir Ajir	id=g:6389515
Cigugur	id=g:6389516
Logandeng	id=g:6389517
Renggong	id=g:6389518
Bribis	id=g:6389519
Kali Kawung	id=g:6389520
Losari	id=g:6389521
Cikokol	id=g:6389522
Igir Nagaboga	id=g:6389523
Igir Jojoktiga	id=g:6389524
Sindang	id=g:6389525
Kali Cukang	id=g:6389526
Kemiri	id=g:6389527
Jatisari	id=g:6389528
Peturusan	id=g:6389529
Pegujungan	id=g:6389530
Pekuncen	id=g:6389531
Karangpundung	id=g:6389532
Glempang	id=g:6389533
Kali Bawang	id=g:6389534
Kedunggandu	id=g:6389535
Kutiyang	id=g:6389536
Menggala Kulon	id=g:6389537
Semingkir	id=g:6389538
Karangnangka	id=g:6389539
Sirongge	id=g:6389540
Karangkemiri	id=g:6389541
Karangmangu	id=g:6389542
Tumiyangudik	id=g:6389543
Cilongok Kulon	id=g:6389544
Tumiyang	id=g:6389545
Pasiraman	id=g:6389546
Pojok	id=g:6389547
Pasiraman Kidul	id=g:6389548
Kebongedang	id=g:6389549
Danasri	id=g:6389550
Parakansinjang Tengah	id=g:6389551
Parakansinjang	id=g:6389552
Kebonsengon	id=g:6389553
Igir Karas	id=g:6389554
Sineran	id=g:6389555
Randamulih	id=g:6389556
Kalimangir	id=g:6389557
Kaliblundeng	id=g:6389558
Sawangan	id=g:6389559
Curugnagga	id=g:6389560
Pringtali	id=g:6389561
Karangdlima	id=g:6389562
Igir Sanggarpamujan	id=g:6389563
Majingklak Kulon	id=g:6389564
Majingklak Wetan	id=g:6389565
Kali Wadas	id=g:6389566
Petahunan	id=g:6389567
Gunungcau	id=g:6389568
Karangpucung	id=g:6389569
Karangpetir	id=g:6389570
Kalimanggis	id=g:6389571
Karangmangu	id=g:6389572
Planjan	id=g:6389573
Karangnangka	id=g:6389574
Mijen	id=g:6389575
Banjaranyar	id=g:6389576
Karangsengon	id=g:6389577
Karangsalam	id=g:6389578
Tipar	id=g:6389579
Ancik	id=g:6389580
Cilongok	id=g:6389581
Gombongbolong Lor	id=g:6389582
Cilongok Wetan	id=g:6389583
Karanganyar	id=g:6389584
Lebaksiu	id=g:6389585
Sabrang Wetan	id=g:6389586
Kecamatan Paguyangan	id=g:6389587
Kecamatan Pekuncen	id=g:6389588
Karangnangka	id=g:6389589
Gunung Jerukjingga	id=g:6389590
Krajan	id=g:6389591
Gombongbolong Kidul	id=g:6389592
Sempel	id=g:6389593
Pangawaren	id=g:6389594
Desa Samudra	id=g:6389595
Desa Petahunan	id=g:6389596
Desa Semedo	id=g:6389597
Desa Karangkemiri	id=g:6389598
Desa Winduaji	id=g:6389599
Desa Kranggan	id=g:6389600
Desa Paguyangan	id=g:6389601
Desa Pakujati	id=g:6389602
Desa Taraban	id=g:6389603
Desa Pagojengan	id=g:6389604
Desa Jatisawit	id=g:6389605
Desa Negaradaha	id=g:6389606
Desa Kalierang	id=g:6389607
Desa Langkap	id=g:6389608
Desa Cilibur	id=g:6389609
Desa Kretek	id=g:6389610
Desa Wanatirta	id=g:6389611
Desa Krajan	id=g:6389612
Desa Banjaranyar	id=g:6389613
Desa Pasiraman Lor	id=g:6389614
Desa Pasiraman Kidul	id=g:6389615
Desa Karangtengah	id=g:6389616
Desa Pekuncen	id=g:6389617
Desa Glempang	id=g:6389618
Desa Tumiyang	id=g:6389619
Desa Pandansari	id=g:6389620
Desa Wanareja	id=g:6389621
Desa Cipetung	id=g:6389622
Desa Kedungoleng	id=g:6389623
Kampungbaru	id=g:6389624
Krajan	id=g:6389625
Kauman	id=g:6389626
Bandung Utara	id=g:6389627
Karangturi	id=g:6389628
Sawangan	id=g:6389629
Krajan Satu	id=g:6389630
Krajan Dua	id=g:6389631
Pongkuran	id=g:6389632
Pagenjahan	id=g:6389633
Krajan	id=g:6389634
Kali Erang	id=g:6389635
Cimenga	id=g:6389636
Karangpoh	id=g:6389637
Gembol	id=g:6389638
Waringin	id=g:6389639
Menggala	id=g:6389640
Kali Cilebak	id=g:6389641
Grembel	id=g:6389642
Beran	id=g:6389643
Karangtengah	id=g:6389644
Karanggandul	id=g:6389645
Jerukjingga	id=g:6389646
Kumambang	id=g:6389647
Gunung Ancik	id=g:6389648
Gunung Cipetung	id=g:6389649
Cipetung	id=g:6389650
Guning Tretepan	id=g:6389651
Kali Kemandu	id=g:6389652
Kali Keruh	id=g:6389653
Igirmanis	id=g:6389654
Gronggongan Satu	id=g:6389655
Tretepan	id=g:6389656
Cirumyang	id=g:6389657
Kubangurang	id=g:6389658
Benoa	id=g:6389659
Kali Arus	id=g:6389660
Kali Majapahit	id=g:6389661
Pejoktelu	id=g:6389662
Mingkrik	id=g:6389663
Karangsalam	id=g:6389664
Kutawangi	id=g:6389665
Karangjati	id=g:6389666
Negaradahakecil	id=g:6389667
Karanganggrung Timur	id=g:6389668
Karanganggrung Barat	id=g:6389669
Karangdempul Timur	id=g:6389670
Dukuhtengah	id=g:6389671
Kemaron	id=g:6389672
Krajan	id=g:6389673
Pesantren	id=g:6389674
Kampungbaru Munggang	id=g:6389675
Tegong	id=g:6389676
Laren	id=g:6389677
Purbanala	id=g:6389678
Karangdempul Barat	id=g:6389679
Penyingkir	id=g:6389680
Kalibata	id=g:6389681
Damsari	id=g:6389682
Muncang	id=g:6389683
Pekulen	id=g:6389684
Krajan	id=g:6389685
Sokawera	id=g:6389686
Dukuhsepur	id=g:6389687
Kali Gombong	id=g:6389688
Gunung Sijeruk	id=g:6389689
Sijampang Lor	id=g:6389690
Gunung Tugel	id=g:6389691
Igirpandan	id=g:6389692
Embel	id=g:6389693
Kalikidang	id=g:6389694
Igir Pagergunung	id=g:6389695
Kaliguwa	id=g:6389696
Taman	id=g:6389697
Sijampang Kidul	id=g:6389698
Kali Bleber	id=g:6389699
Kali Jampang	id=g:6389700
Kali Grayang	id=g:6389701
Menteng	id=g:6389702
Rau	id=g:6389703
Pesawahan	id=g:6389704
Legok	id=g:6389705
Tanjungsari	id=g:6389706
Cibangkong	id=g:6389707
Dukuh Lor	id=g:6389708
Krajan	id=g:6389709
Duren	id=g:6389710
Pondokbolang Satu	id=g:6389711
Dakwaru	id=g:6389712
Glempang	id=g:6389713
Dukuhlo	id=g:6389714
Teblog	id=g:6389715
Igir Teblog	id=g:6389716
Krajan	id=g:6389717
Karanganyar	id=g:6389718
Pengasinan Timur	id=g:6389719
Grengseng	id=g:6389720
Temempek	id=g:6389721
Pondokbolang Dua	id=g:6389722
Penisihan	id=g:6389723
Karangmangu	id=g:6389724
Pesanggrahan Satu	id=g:6389725
Pesanggrahan Dua	id=g:6389726
Karanganyar	id=g:6389727
Kalibuntu	id=g:6389728
Gunung Cupu	id=g:6389729
Igir Kucing	id=g:6389730
Gunung Sembung	id=g:6389731
Bulubunder	id=g:6389732
Dukuhlor	id=g:6389733
Kali Jatisaba	id=g:6389734
Karanganyar	id=g:6389735
Sijoho	id=g:6389736
Bantarmangu	id=g:6389737
Pengasinan Barat	id=g:6389738
Igir Pengasinan	id=g:6389739
Brengkok	id=g:6389740
Igirbatu	id=g:6389741
Igir Karanganyar	id=g:6389742
Igir Batu	id=g:6389743
Cangkaraun	id=g:6389744
Pojok	id=g:6389745
Krajan	id=g:6389746
Payan	id=g:6389747
Kali Jati	id=g:6389748
Kembangtumpek	id=g:6389749
Kembang	id=g:6389750
Wanatirta	id=g:6389751
Randegan	id=g:6389752
Sayim	id=g:6389753
Dawuhan	id=g:6389754
Buaran	id=g:6389755
Kesuren	id=g:6389756
Kedawung	id=g:6389757
Kali Cideng	id=g:6389758
Karanganyar	id=g:6389759
Kali Duaji	id=g:6389760
Tajurmalang	id=g:6389761
Kali Guwa	id=g:6389762
Kali Kedondong	id=g:6389763
Kali Bujanggerang	id=g:6389764
Kali Baya	id=g:6389765
Cegokan Kidul	id=g:6389766
Warunggintung	id=g:6389767
Bulakamba	id=g:6389768
Tipar	id=g:6389769
Kedungbanteng	id=g:6389770
Karangasem	id=g:6389771
Karangbawang	id=g:6389772
Cipanas	id=g:6389773
Cilancing	id=g:6389774
Dawuhan	id=g:6389775
Cingebul	id=g:6389776
Kali Cipanas	id=g:6389777
Kali Cilancing	id=g:6389778
Mapag	id=g:6389779
Igir Kinanti	id=g:6389780
Karangbenda	id=g:6389781
Kali Kebayan	id=g:6389782
Pecikalan	id=g:6389783
Blandongan	id=g:6389784
Karangnangka	id=g:6389785
Winduaji	id=g:6389786
Pereng	id=g:6389787
Peudutan	id=g:6389788
Dukuhbenda	id=g:6389789
Kali Udik	id=g:6389790
Kali Mremang	id=g:6389791
Desa Ragatunjung	id=g:6389792
Kali Gronggong	id=g:6389793
Gronggongan Dua	id=g:6389794
Cibatur	id=g:6389795
Krajan	id=g:6389796
Karanganyar	id=g:6389797
Telaga Ranjeng	id=g:6389798
Desa Sambirata	id=g:6389799
Desa Sunyalangu	id=g:6389801
Desa Baseh	id=g:6389802
Desa Sokawera	id=g:6389803
Desa Kalisalak	id=g:6389804
Desa Melung	id=g:6389805
Desa Windujaya	id=g:6389806
Desa Kalikesur	id=g:6389807
Desa Kutaliman	id=g:6389808
Desa Kebumen	id=g:6389809
Desa Rempoah	id=g:6389810
Desa Karangnangka	id=g:6389811
Desa Keniten	id=g:6389812
Desa Dawuhan Wetan	id=g:6389813
Desa Karangtengah	id=g:6389814
Desa Kemutug Lor	id=g:6389815
Desa Karangsalam	id=g:6389816
Desa Kemutug Kidul	id=g:6389817
Desa Ketenger	id=g:6389818
Desa Karangmangu	id=g:6389819
Desa Banjarsari Kulon	id=g:6389820
Desa Limpakuwus	id=g:6389821
Desa Igirklanceng	id=g:6389822
Desa Pamijen	id=g:6389823
