Ntambu	id=g:900486
Nkomeshya	id=g:900736
Nkomesha	id=g:900737
Nkomesha	id=g:900738
Nkomesha	id=g:900739
Nkomesha	id=g:900740
Nkombwe	id=g:900741
Nkombwa	id=g:900742
Nkombwa	id=g:900743
Nkomba Protected Forest Area	id=g:900744
Nkombalume	id=g:900745
Nkomba	id=g:900746
Nkomba	id=g:900747
Nkomba	id=g:900748
Nkomba	id=g:900749
Nkomashe	id=g:900750
Nkolowondo	id=g:900751
Nkolowondo	id=g:900752
Nkolonga School	id=g:900753
Nkolonga	id=g:900754
Nkolonga	id=g:900755
Nkoloma	id=g:900756
Nkoloma	id=g:900757
Nkolemfumu	id=g:900758
Nkole	id=g:900759
Nkole	id=g:900760
Nkole	id=g:900761
Nkole	id=g:900762
Nkoka	id=g:900763
Nkobola	id=g:900764
Nkhuntha	id=g:900765
Nkhuntha	id=g:900766
Nkhowe	id=g:900767
Nkhope	id=g:900768
Nkhani	id=g:900769
Nkhala	id=g:900770
Nkeyema	id=g:900771
Nkenyauna	id=g:900772
Nkengele	id=g:900773
Nkazimwene	id=g:900774
Nkata Store	id=g:900775
Nkatanga	id=g:900776
N’Kasonga Range	id=g:900777
Nkaseka	id=g:900778
Nkasawila	id=g:900779
Nkapato	id=g:900780
Nkanya	id=g:900781
Nkanka	id=g:900782
Nkanka	id=g:900783
Nkanka	id=g:900784
Nkanka	id=g:900785
Nkanjavika	id=g:900786
Nkangwa	id=g:900787
Nkango	id=g:900788
Nkange	id=g:900789
Nkangawakali	id=g:900790
Nkangamango	id=g:900791
Nkanga Berembe Hill	id=g:900792
Nkanga	id=g:900793
Nkanga	id=g:900794
Nkanga	id=g:900795
Nkanga	id=g:900796
Nkanga	id=g:900797
Nkanga	id=g:900798
Nkanga	id=g:900799
Nkanga	id=g:900800
Nkanga	id=g:900801
Nkandwe	id=g:900802
Nkandwa	id=g:900803
Nkande	id=g:900804
Nkande	id=g:900805
Nkandamatipa	id=g:900806
Nkandabwe Dam	id=g:900807
Nkandabwe	id=g:900808
Nkandabwe	id=g:900809
Nkanda	id=g:900810
Nkanda	id=g:900811
Nkanda	id=g:900812
Nkana	id=g:900813
Nkana	id=g:900814
Nkambo	id=g:900815
Nkamba	id=g:900816
Nkamashi	id=g:900817
Nkalawika	id=g:900818
Nkala Old Boma	id=g:900819
Nkalanyake	id=g:900820
Nkalamu	id=g:900821
Nkalamu	id=g:900822
Nkalamabwe	id=g:900823
Nkalakwe	id=g:900824
Nkalabanda	id=g:900825
Nkala	id=g:900826
Nkala	id=g:900827
Nkala	id=g:900828
Nkala	id=g:900829
Nkala	id=g:900830
Nkala	id=g:900831
Nkala	id=g:900832
Nkala	id=g:900833
N’Kakilwa	id=g:900834
N’Kaka	id=g:900835
Nkabila	id=g:900836
Njungu	id=g:900837
Njungu	id=g:900838
Njungu	id=g:900839
Njungolo	id=g:900840
Njunga	id=g:900841
Njunga	id=g:900842
Njuli	id=g:900843
Njuga	id=g:900844
Njowe	id=g:900845
Njosya	id=g:900846
Njoro	id=g:900847
Njopu	id=g:900848
Njonjolo	id=g:900849
Njoni Luambisha	id=g:900850
Njoni Kapema	id=g:900851
Njongolo	id=g:900852
Njongolo	id=g:900853
Njongolo	id=g:900854
Njongolo	id=g:900855
Njongola	id=g:900856
Njongo	id=g:900857
Njonga	id=g:900858
Njombwa	id=g:900859
Njombi	id=g:900860
Njolwe	id=g:900861
Njolomba	id=g:900862
Njolomba	id=g:900863
Lake Njolo	id=g:900864
Njola	id=g:900865
Njoko	id=g:900866
Njoko	id=g:900867
Njoko	id=g:900868
Njoko	id=g:900869
Njoka	id=g:900870
Njoka	id=g:900871
Njodilo	id=g:900872
Njobwe	id=g:900873
Njobwa	id=g:900874
Njitwa	id=g:900875
Njinti	id=g:900876
Njinje	id=g:900877
Njeyengo	id=g:900878
Njewa	id=g:900879
Njerenje	id=g:900880
Njenjema	id=g:900881
Njenjema	id=g:900882
Njenja	id=g:900883
Njeni Mambwe	id=g:900884
Njenga	id=g:900885
Njenda Hill	id=g:900886
Njelwa	id=g:900887
Njeli	id=g:900888
Njelele	id=g:900889
Njekwa	id=g:900890
Njekwa	id=g:900891
Njekwa	id=g:900892
Njekwa	id=g:900893
Njekwa	id=g:900894
Njeke	id=g:900895
Njeke	id=g:900896
Njejema	id=g:900897
Njebe	id=g:900898
Njazi	id=g:900899
Njaya	id=g:900900
Njaya	id=g:900901
Njawa Hill	id=g:900902
Njati	id=g:900903
Njase	id=g:900904
Njaranika	id=g:900905
Njara	id=g:900906
Njanjimba	id=g:900907
Njamwichela	id=g:900908
Njami	id=g:900909
Njami	id=g:900910
Njambe	id=g:900911
Njambe	id=g:900912
Njamba	id=g:900913
Njamba	id=g:900914
Njamba	id=g:900915
Njamba	id=g:900916
Njamba	id=g:900917
Njamba	id=g:900918
Njamba	id=g:900919
Njamba	id=g:900920
Njamba	id=g:900921
Njamba	id=g:900922
Njalyali	id=g:900923
Njaluka	id=g:900924
Njalakunjila	id=g:900925
Njala	id=g:900926
Njai	id=g:900927
Njabalombe	id=g:900928
Niwi	id=g:900929
Nisuma	id=g:900930
Niramba	id=g:900931
Niomah	id=g:900932
Ninga Hill	id=g:900933
Ninga	id=g:900934
Ninesi Island	id=g:900935
Ninda	id=g:900936
Nimrod	id=g:900937
Nimoni	id=g:900938
Nimbo	id=g:900939
Nil Desperandum	id=g:900940
Nikisi	id=g:900941
Nijaratenga	id=g:900942
Niekete	id=g:900943
Nicota	id=g:900944
Nhlovualumi	id=g:900945
Nhanka	id=g:900946
Ngwezi	id=g:900947
Ngwezi	id=g:900948
Ngweze Pools	id=g:900949
Ngwesi	id=g:900950
Ngweshi	id=g:900951
Ngweshe	id=g:900952
Ngweru	id=g:900953
Ngwerere Estate	id=g:900954
Ngwerere	id=g:900955
Ngwerere	id=g:900956
Ngwerere	id=g:900957
Ngwerere	id=g:900958
Ngwenyi	id=g:900959
Ngwena	id=g:900960
Ngwena	id=g:900961
Ngwena	id=g:900962
Ngwemesika	id=g:900963
Ngwemanzi	id=g:900964
Ngwata	id=g:900965
Ngwata	id=g:900966
Ngwata	id=g:900967
Ngwata	id=g:900968
Ngwata	id=g:900969
Ngwata	id=g:900970
Ngwanta	id=g:900971
Ngwanda	id=g:900972
Ngwambo	id=g:900973
Ngwalungwalu	id=g:900974
Ngwalamambi	id=g:900975
Nguya	id=g:900976
Nguvulu	id=g:900977
Nguvu	id=g:900978
Nguvu	id=g:900979
Nguvu	id=g:900980
Nguvu	id=g:900981
Ngurvili	id=g:900982
Ngurunguru Hills	id=g:900983
Ng’unyama	id=g:900984
Nguni	id=g:900985
Ngungula	id=g:900986
Ngunga	id=g:900987
Ngundului	id=g:900988
Ngundu	id=g:900989
Ngundu	id=g:900990
Ngundu	id=g:900991
Ngundu	id=g:900992
Ngundi	id=g:900993
Ngunda	id=g:900994
Ngunda	id=g:900995
Ngunda	id=g:900996
Ngumbwe	id=g:900997
Ngumbwe	id=g:900998
Ngumbwa	id=g:900999
Ngumbi	id=g:901000
Ngumbe	id=g:901001
Nguma	id=g:901002
Ng’uma	id=g:901003
Ngulwe	id=g:901004
Ngulwana	id=g:901005
Ngulwana	id=g:901006
Ngulwana	id=g:901007
Ngulwana	id=g:901008
Nguluwe	id=g:901009
Nguluwe	id=g:901010
Nguluwe	id=g:901011
Nguluka	id=g:901012
Ngulube	id=g:901013
Ngulube	id=g:901014
Ngulu	id=g:901015
Ngulu	id=g:901016
Ngulu	id=g:901017
Ngulu	id=g:901018
Ngulu	id=g:901019
Ngulu	id=g:901020
Ngula	id=g:901021
Ngubulu	id=g:901022
Ngubulu	id=g:901023
Ngubudu	id=g:901024
Ngubo	id=g:901025
Nguba	id=g:901026
Nguba	id=g:901027
Ngozi	id=g:901028
Ngozi	id=g:901029
Ngozi	id=g:901030
Ngozi	id=g:901031
Ngozhe	id=g:901032
Ngoze	id=g:901033
Ngoza	id=g:901034
Ngoza	id=g:901035
Ngoza	id=g:901036
Ngoza	id=g:901037
Ngoza	id=g:901038
Ngoyi	id=g:901039
Ngowane Kunda	id=g:901040
Ngovwa	id=g:901041
Ngovwa	id=g:901042
Ngosa Muchinka	id=g:901043
Ngosa Milandu Hill	id=g:901044
Ngosa Koni	id=g:901045
Ngosa Farm	id=g:901046
Ngosa	id=g:901047
Ngosa	id=g:901048
Ngosa	id=g:901049
Ngosa	id=g:901050
Ngorsalulamba	id=g:901051
Ngonzi Hill	id=g:901052
Ngonye Falls	id=g:901053
Ngonya	id=g:901054
Ngonto	id=g:901055
Ngonowa	id=g:901056
Ngonje	id=g:901057
Ngoni School	id=g:901058
Ngoni Native Reserve Number II	id=g:901059
Ngoni	id=g:901060
Ngoni	id=g:901061
Ngongola	id=g:901062
Ngongola	id=g:901063
Ngongola	id=g:901064
Ngongola	id=g:901065
Ngongola	id=g:901066
Ngongola	id=g:901067
Ngongola	id=g:901068
Ngongo	id=g:901069
Ngongo	id=g:901070
Ngongo	id=g:901071
Ngongo	id=g:901072
Ngonga	id=g:901073
Ngonga	id=g:901074
Ngondo	id=g:901075
Ngonde	id=g:901076
Ngonde	id=g:901077
Ngonde	id=g:901078
Ngonda	id=g:901079
Ngonali	id=g:901080
Ngona	id=g:901081
Ngomi	id=g:901082
Ngomebwa	id=g:901083
Ngombwe	id=g:901084
Ngombongongo	id=g:901085
Ngombola	id=g:901086
Ngombo	id=g:901087
Ngombemongo	id=g:901088
Ngombe Hills	id=g:901089
Ngombe	id=g:901090
Ngombe	id=g:901091
Ngombe	id=g:901092
Ngombe	id=g:901093
Ngombe	id=g:901094
Ngombe	id=g:901095
Ngombe	id=g:901096
Ngombe	id=g:901097
Ngombe	id=g:901098
Ngombe	id=g:901099
Ngombe	id=g:901100
Ngombe	id=g:901101
Ngombe	id=g:901102
Ngomba	id=g:901103
Ngomba	id=g:901104
Ngomba	id=g:901105
Ngomba	id=g:901106
Ngomayachibanda	id=g:901107
Ngoma Rest Camp	id=g:901108
Ngomangulu	id=g:901109
Ngomangulu	id=g:901110
Ngoma Kuta	id=g:901111
Ngoma Forest	id=g:901112
Ngoma Coal Area	id=g:901113
Ngoma	id=g:901114
Ngoma	id=g:901115
Ngoma	id=g:901116
Ngoma	id=g:901117
Ngoma	id=g:901118
Ngoma	id=g:901119
Ngoma	id=g:901120
Ngoma	id=g:901121
Ngoma	id=g:901122
Ngoma	id=g:901123
Ngoma	id=g:901124
Ngolwe	id=g:901125
Ngolongozya	id=g:901126
Ngolongonjo	id=g:901127
Ngolongonjo	id=g:901128
Ngololu	id=g:901129
Ngolofwana	id=g:901130
Ngoli wa Mapopo	id=g:901131
Ngolika	id=g:901132
Ngoli Hills	id=g:901133
Ngoli Hills	id=g:901134
Ngoli	id=g:901135
Ngola	id=g:901136
Ngodzongo	id=g:901137
Ngobongobo	id=g:901138
Ngobola	id=g:901139
Ngobo	id=g:901140
Ngo	id=g:901141
Ngo	id=g:901142
Ngo	id=g:901143
Ngiza	id=g:901144
Ngiya	id=g:901145
Nginda	id=g:901146
Ngimbu	id=g:901147
Ngimbu	id=g:901148
Ngimbu	id=g:901149
Ngimbu	id=g:901150
Ngiliwabunda	id=g:901151
Ngenjo	id=g:901152
Ngenjo	id=g:901153
Ngenjo	id=g:901154
Ngenda	id=g:901155
Ngenda	id=g:901156
Ngenda	id=g:901157
Ngenda	id=g:901158
Ngenda	id=g:901159
Ngenda	id=g:901160
Ngenda	id=g:901161
Ngenda	id=g:901162
Ngena	id=g:901163
Ngena	id=g:901164
Ngeleta	id=g:901165
Ngelenge	id=g:901166
Ngela	id=g:901167
Ngela	id=g:901168
Ngela	id=g:901169
Ngazima	id=g:901170
Ngazhi Protected Forest Area	id=g:901171
Ngawa	id=g:901172
Ngaswe	id=g:901173
Ngara	id=g:901174
Ngapo	id=g:901175
Ngao	id=g:901176
Nganswa School	id=g:901177
Nganswa	id=g:901178
Nganswa	id=g:901179
Ngansa	id=g:901180
Nganjo	id=g:901181
Nganjo	id=g:901182
Nganja	id=g:901183
Ngangwe	id=g:901184
Ngangula	id=g:901185
Ngangula	id=g:901186
Ngangula	id=g:901187
Ngangula	id=g:901188
Ngangula	id=g:901189
Ngangula	id=g:901190
Ng’angu	id=g:901191
Ngangola	id=g:901192
Nganga	id=g:901193
Nganga	id=g:901194
Nganga	id=g:901195
Nganga	id=g:901196
Nganga	id=g:901197
Nganga	id=g:901198
Nganga	id=g:901199
Ng’anga	id=g:901200
Ngandwa	id=g:901201
Ngandu School	id=g:901202
Ngandubesa	id=g:901203
Ngandu	id=g:901204
Ngandu	id=g:901205
Ngandu	id=g:901206
Ngandoia	id=g:901207
Nganda Point	id=g:901208
Ngandalo	id=g:901209
Ngandaino	id=g:901210
Nganda	id=g:901211
Ngambwe Rapids	id=g:901212
Ngambwe Hill	id=g:901213
Ngambwe	id=g:901214
Ngambwe	id=g:901215
Ngambwe	id=g:901216
Ngambwa School	id=g:901217
Ngambo	id=g:901218
Ngambela	id=g:901219
Ngambela	id=g:901220
Ngambela	id=g:901221
Ngambela	id=g:901222
Ngambeka	id=g:901223
Ngamba	id=g:901224
Ngamara	id=g:901225
Ngalume Point	id=g:901226
Ngali	id=g:901227
Ngalati	id=g:901228
Ngalande	id=g:901229
Ngalamisamba	id=g:901230
Ngala Hill	id=g:901231
Ngala	id=g:901232
Ngala	id=g:901233
Ngala	id=g:901234
Ngala	id=g:901235
Ngaji	id=g:901236
Ngailiko	id=g:901237
Ngabwe	id=g:901238
Ngabo	id=g:901239
Ngabaneni	id=g:901240
Nfyenga	id=g:901241
Nfele Wita	id=g:901242
Neywa	id=g:901243
Neyamba	id=g:901244
Newlands	id=g:901245
New Cilgwyn	id=g:901246
Neuwa	id=g:901247
Netia Wa Simaa	id=g:901248
Netia Wa Nulonga	id=g:901249
Netete	id=g:901250
Netesi	id=g:901251
Neta	id=g:901252
Neta	id=g:901253
Neta	id=g:901254
Neta	id=g:901255
Neta	id=g:901256
Nesiki	id=g:901257
Neojongo	id=g:901258
Nengo	id=g:901259
Nengu	id=g:901260
Nengo	id=g:901261
Nenga	id=g:901262
Nene	id=g:901263
Nene	id=g:901264
Nena	id=g:901265
Nemfwe School	id=g:901266
Nembwalushi	id=g:901267
Nemasikami	id=g:901268
Nemano	id=g:901269
Nelson Kunda	id=g:901270
Nelsoni	id=g:901271
Nelson Chibuye	id=g:901272
Neloya	id=g:901273
Nelomwe	id=g:901274
Nekoya	id=g:901275
Nega Nega Intensive Conservation Area	id=g:901276
Nega Nega	id=g:901277
Nefuba	id=g:901278
Nebungu	id=g:901279
Nebubela Canal	id=g:901280
Nebele	id=g:901281
Neanda Forest	id=g:901282
Nduye	id=g:901283
Nduwa	id=g:901284
Nduvu	id=g:901285
Ndusa	id=g:901286
Ndungu	id=g:901287
Ndungu	id=g:901288
Ndunga	id=g:901289
Ndundumwense	id=g:901290
Ndundu Hills	id=g:901291
Ndundu	id=g:901292
Ndunda	id=g:901293
Ndunda	id=g:901294
Ndumo	id=g:901295
Ndumbwa Hill	id=g:901296
Ndumbakashimbi	id=g:901297
Ndumbakahehu	id=g:901298
Ndumba	id=g:901299
Ndumba	id=g:901300
Ndumba	id=g:901301
Ndumba	id=g:901302
Ndumba	id=g:901303
Ndumba	id=g:901304
Ndumba	id=g:901305
Ndulumina Rest Camp	id=g:901306
Nduli	id=g:901307
Nduli	id=g:901308
Ndukutaba	id=g:901309
Ndui	id=g:901310
Ndubeni	id=g:901311
Nduba	id=g:901312
Nduba	id=g:901313
Ndozi	id=g:901314
Ndopu	id=g:901315
Ndonyo	id=g:901316
Ndongwe	id=g:901317
Ndonga	id=g:901318
Ndonga	id=g:901319
Ndondo	id=g:901320
Ndondo	id=g:901321
Ndondo	id=g:901322
Ndondo	id=g:901323
Ndonde Hills	id=g:901324
Ndonde	id=g:901325
Ndondango	id=g:901326
Ndonda	id=g:901327
Ndonda	id=g:901328
Ndombo	id=g:901329
Ndombo	id=g:901330
Ndombi	id=g:901331
Ndombi	id=g:901332
Ndombi	id=g:901333
Ndombi	id=g:901334
Ndombi	id=g:901335
Ndombe	id=g:901336
Ndomba	id=g:901337
Ndolela	id=g:901338
Ndola Rural District	id=g:901339
Ndola-Luanshya Intensive Conservation Area	id=g:901340
Ndola Location	id=g:901341
Ndola District	id=g:901342
Ndola Central	id=g:901343
Ndola	id=g:901344
Ndoka	id=g:901345
Ndoka	id=g:901346
Ndoba	id=g:901347
Ndiyo	id=g:901348
Ndio	id=g:901349
Ndingi	id=g:901350
Ndimipashi	id=g:901351
Ndimba	id=g:901352
Ndile Pool	id=g:901353
Ndike	id=g:901354
Ndewe	id=g:901355
Ndewa	id=g:901356
Ndewa	id=g:901357
Ndevu	id=g:901358
Ndesha	id=g:901359
Ndesa	id=g:901360
Nderimani	id=g:901361
Ndere	id=g:901362
Ndere	id=g:901363
Ndepelwa	id=g:901364
Ndengulu	id=g:901365
Ndengeza	id=g:901366
Ndendi	id=g:901367
Ndendeka	id=g:901368
Ndenda	id=g:901369
Ndenda	id=g:901370
Ndenda	id=g:901371
Ndembo Protected Forest Area	id=g:901372
Ndembo	id=g:901373
Ndembele	id=g:901374
Ndembela	id=g:901375
Ndembela	id=g:901376
Ndembela	id=g:901377
Ndembe	id=g:901378
Ndemba	id=g:901379
Ndemba	id=g:901380
Ndema	id=g:901381
Ndelwa	id=g:901382
Ndelumuna	id=g:901383
Ndelumuna	id=g:901384
Ndelemani	id=g:901385
Ndela	id=g:901386
Ndeketya	id=g:901387
Ndeka Chisenga	id=g:901388
Ndeho	id=g:901389
Ndazia	id=g:901390
Ndaya	id=g:901391
Ndawe	id=g:901392
Ndaupala	id=g:901393
Ndauni	id=g:901394
Ndaula	id=g:901395
Ndate	id=g:901396
Ndashika	id=g:901397
Ndashi	id=g:901398
Ndasa	id=g:901399
Ndasa	id=g:901400
Ndarunga	id=g:901401
Ndare	id=g:901402
Ndapota	id=g:901403
Ndapehatako	id=g:901404
Ndangale	id=g:901405
Ndangalazana	id=g:901406
Ndandula	id=g:901407
Ndandanga	id=g:901408
Ndandamani	id=g:901409
Ndanda Dispensary	id=g:901410
Ndanda	id=g:901411
Ndanda	id=g:901412
Ndanda	id=g:901413
Ndanda	id=g:901414
Ndamkani	id=g:901415
Ndambula	id=g:901416
Ndambula	id=g:901417
Ndambula	id=g:901418
Ndambo	id=g:901419
Ndambo	id=g:901420
Ndambi	id=g:901421
Ndama	id=g:901422
Ndalu	id=g:901423
Ndale	id=g:901424
Ndalampakule	id=g:901425
Ndalama	id=g:901426
Ndalakile	id=g:901427
Ndalakalili	id=g:901428
Ndala	id=g:901429
Ndake School	id=g:901430
Ndake	id=g:901431
Ndabwa	id=g:901432
Ndabulula	id=g:901433
Ndabala Landing Ground	id=g:901434
Ndabala	id=g:901435
Nchofu School	id=g:901436
Nchofu	id=g:901437
Nchisya	id=g:901438
Nchinkwo	id=g:901439
Nchinke School	id=g:901440
Nchinke	id=g:901441
Nchingilizya	id=g:901442
Nchindo	id=g:901443
Nchindeni Hills	id=g:901444
Nchimishi	id=g:901445
Nchimishi	id=g:901446
Nchilinga	id=g:901447
Nchilima	id=g:901448
Ncheta Island	id=g:901449
Nchende	id=g:901450
Nchembwe	id=g:901451
Nchema	id=g:901452
Nchelia	id=g:901453
Nchelenje	id=g:901454
Nchelenge	id=g:901455
Nchele	id=g:901456
Nchele	id=g:901457
Nchanga Copper Mine	id=g:901458
Nchanga	id=g:901459
Nchanche	id=g:901460
Ncendwezi	id=g:901461
Ncele	id=g:901462
Nazilongo	id=g:901463
Nazibula	id=g:901464
Nazele	id=g:901465
Nazare	id=g:901466
Nayumbu	id=g:901467
Nayumbi	id=g:901468
Nayumba	id=g:901469
Nayuma	id=g:901470
Nayoya	id=g:901471
Nayamba Hill	id=g:901472
Nawinda Kuta	id=g:901473
Nawinda Dispensary	id=g:901474
Nawinda	id=g:901475
Nawina	id=g:901476
Nawina	id=g:901477
Nawili	id=g:901478
Nawiko	id=g:901479
Nawiko	id=g:901480
Nawaya	id=g:901481
Nawatumbi	id=g:901482
Nawatadi	id=g:901483
Nawasilundu	id=g:901484
Nawande	id=g:901485
Nawalala	id=g:901486
Nawala	id=g:901487
Nawa	id=g:901488
Nawa	id=g:901489
Naviruli Mission	id=g:901490
Naviruli Hill	id=g:901491
Naviruli	id=g:901492
Naviavioka	id=g:901493
Nauzi	id=g:901494
Naumi	id=g:901495
Natwembe	id=g:901496
Natuza	id=g:901497
Natuseko	id=g:901498
Natuseko	id=g:901499
Natural Resources Development College	id=g:901500
Natumwe	id=g:901501
Natumbulu	id=g:901502
Natulu	id=g:901503
Natukusi	id=g:901504
Natubila	id=g:901505
Natonde	id=g:901506
Natoba	id=g:901507
Natoba	id=g:901508
Nathan Mumba	id=g:901509
