Shi‘b Hājir	id=g:7344167
Bayt Sinaḩ	id=g:7344241
Al Kurbāt	id=g:7344242
Al Ḩijlah	id=g:7344243
‘Amad	id=g:7344244
Wādī Khuzāmir	id=g:7344245
Bayt Sābiḩ	id=g:7344246
As Sawād	id=g:7344247
Bayt Zayd	id=g:7344248
Ablās	id=g:7344249
Aş Şa‘āţīyah	id=g:7344250
Bayt Khamīs	id=g:7344251
Bayt Shāţir	id=g:7344252
Ḩajarat az Zaqar	id=g:7344253
Badūqah	id=g:7344254
Sā’ib	id=g:7344255
Naţa	id=g:7344256
Bukir	id=g:7344257
Maḩall an Naqīl	id=g:7344258
Al ‘Udw	id=g:7344259
Bayt Man‘ayn	id=g:7344260
Bani aş Şayfī	id=g:7344261
Al Maḩjar	id=g:7344262
Barāsh	id=g:7344263
Bayt Shās	id=g:7344264
Şawwān	id=g:7344265
Al Aqyāḑ	id=g:7344266
‘Islah	id=g:7344267
Gharbi aţ Ţawīlah	id=g:7344268
Wādī al Maḩjar	id=g:7344269
Wādī Banī al ‘Abbās	id=g:7344270
Banī al ‘Abbās	id=g:7344271
Bayt Thāmir	id=g:7344272
Maḩall al Jaws	id=g:7344273
Banī al Kuraybī	id=g:7344274
Dār al Murayr	id=g:7344275
Al ‘Ubrah	id=g:7344276
Al Qan‘ah	id=g:7344277
Jabal Banī ‘Ubayd	id=g:7344278
Aş Şalūl	id=g:7344279
Dhahbān	id=g:7344280
Bayt al Ḩawdah	id=g:7344281
Bayt az̧ Z̧arf	id=g:7344282
Bayt az Zubayyiḩ	id=g:7344283
Raydat al Qadam	id=g:7344284
Maḩall Banī Sarī	id=g:7344285
Maḩall Bayt ash Shaţārī	id=g:7344286
Manīr	id=g:7344287
Juljul	id=g:7344288
Wādī Juljul	id=g:7344289
Qal‘at Shāwir	id=g:7344290
Ta‘izz	id=g:7344291
Bayt al Ḩajar	id=g:7344292
Al Ḩawbar	id=g:7344293
Bayt Wuḩaysh	id=g:7344294
Bayt Ḩaydar	id=g:7344295
Jira‘	id=g:7344296
Bayt Mahdī	id=g:7344297
Al Maşla‘	id=g:7344298
Bayt Mizāriţ	id=g:7344299
Bayt Farḩāt	id=g:7344300
Ra’s Kuḩlān	id=g:7344301
Bayt al Qurrī	id=g:7344302
Bayt aţ Ţalī	id=g:7344303
Jamīmat ‘Izzān	id=g:7344304
Bayt al Kawlī	id=g:7344305
Al Khushbī	id=g:7344306
Bayt Jum‘ān	id=g:7344307
Rīmah	id=g:7344308
Far‘ah	id=g:7344309
Maḩall Shākah	id=g:7344310
‘Uşārah	id=g:7344311
Wādī ‘Uşārah	id=g:7344312
Bayt Khayrah	id=g:7344313
Ḩidāb	id=g:7344314
‘Aybah	id=g:7344315
‘Arāşim	id=g:7344316
Bayt al Mahyaf	id=g:7344317
Bayt al Walī	id=g:7344318
Al Qimmah	id=g:7344319
Jabal aş Şāfiyah	id=g:7344320
Maḩall Bayt Za‘bal	id=g:7344321
Sahl al Kumayt	id=g:7344322
Khawlān	id=g:7344323
Al Manāwir	id=g:7344324
Wādī Hamil	id=g:7344325
Jibāl Banī Mawhab	id=g:7344326
Bayt ‘Umar	id=g:7344327
Al Muntabahah	id=g:7344328
Al Ḩimā’	id=g:7344329
Al Hajar	id=g:7344330
Al Ghabbayshah	id=g:7344331
Al ‘Urrah	id=g:7344332
Al ‘Āriḑah	id=g:7344333
Aş Şu‘ayfīyah	id=g:7344334
‘Amrān Highway Bridge	id=g:7344335
‘Irqān	id=g:7344336
Madar	id=g:7344337
Al Mūqir	id=g:7344338
Wādī Jaḩāwir	id=g:7344339
Qaryat Shi‘ār	id=g:7344340
Shu‘ayyir	id=g:7344341
Ash Sharqī	id=g:7344342
Al Maghrabah	id=g:7344343
‘Arḑ ash Shawīq	id=g:7344344
Al Ḩuḑayn al A‘lá	id=g:7344345
Al Jamīmah	id=g:7344346
Wādī Maşraf	id=g:7344347
Bayt Makhārish	id=g:7344348
Al Mahdī	id=g:7344349
Maşraf	id=g:7344350
Al Manz̧ar	id=g:7344351
Qudam	id=g:7344352
Ar Ran‘	id=g:7344353
Ash Shāhilī	id=g:7344354
Al Marwī	id=g:7344355
Jabal Ḑufur	id=g:7344356
Sharqī ‘Abs	id=g:7344357
Ḩimrah	id=g:7344358
Maḩall Ghānim	id=g:7344359
Aş Şāyah	id=g:7344360
Ţanib	id=g:7344361
Z̧ahr Banī ‘Ukāb	id=g:7344362
Az Zurqah	id=g:7344363
Maḩall Banī al Qadhafī	id=g:7344364
Jabal az Zurqah	id=g:7344365
Al Muḩarraq	id=g:7344366
Al Qarāhib	id=g:7344367
Al Masḩab	id=g:7344368
Dhirā‘ al Khaţām	id=g:7344369
Ash Sha‘āthimah	id=g:7344370
Bayt Ḩammād	id=g:7344371
Wādī Ghurbān	id=g:7344372
‘Azīl	id=g:7344373
Maḩall ash Shayābī	id=g:7344374
Maḩall al ‘Utum	id=g:7344375
Al Ḩaḑan	id=g:7344376
Wādī al Amān	id=g:7344377
Ghurbān	id=g:7344378
Al Quţub	id=g:7344379
Wādī al Ḩishar	id=g:7344380
Al Qāhirah	id=g:7344381
Bayt al Ma‘āfā	id=g:7344382
Jabal Ibrāhīm	id=g:7344383
Qal‘at al Kharrāz	id=g:7344384
Ar Rābiyah	id=g:7344385
Banī al ‘Āqabī	id=g:7344386
Qaryat Banī‘Ūḑah	id=g:7344387
Bayt al Qāsī	id=g:7344388
Bayt al Ḩājirī	id=g:7344389
Banī Ḩumayd	id=g:7344390
Wādī al Quţub	id=g:7344391
Al Qārah	id=g:7344392
Al Ḩajar	id=g:7344393
Banī al ‘Awwām	id=g:7344394
Al Manāmah	id=g:7344395
Al Jāhilī	id=g:7344396
Maḩall Majad	id=g:7344397
Qaryat ash Sharaf	id=g:7344398
Maḩall Banī Shāwir	id=g:7344399
Al Ḩaznah	id=g:7344400
Maḩall Qal‘at ash Sharqī	id=g:7344401
Al Qārī al A‘lā	id=g:7344402
Banī Qāsim	id=g:7344403
Bayt al Marānī	id=g:7344404
Al Qārī al Asfal	id=g:7344405
Banī Ghushaym	id=g:7344406
Al Ma‘mil	id=g:7344407
Banī ‘Ilyān	id=g:7344408
Al Qārah	id=g:7344409
Dhahbān	id=g:7344410
Ansham	id=g:7344411
Al Jālid	id=g:7344412
Al Ḩamāmī	id=g:7344413
Wādī Khayyārah	id=g:7344414
Shamsān	id=g:7344415
Bājān	id=g:7344416
Banī Sabba’	id=g:7344417
Sūq al Ḩammām	id=g:7344418
Wādī al Ma‘mil	id=g:7344419
Wādī Sha‘bān	id=g:7344420
‘Izzān	id=g:7344421
Qal‘at Ḩatim	id=g:7344422
Maḩall Khazn	id=g:7344423
Bāriq	id=g:7344424
Banī Zayd	id=g:7344425
Al Qārah ‘Uzlat aş Sarābī	id=g:7344426
Banī Ḩadīd	id=g:7344427
Bayt ‘Awwāḑ	id=g:7344428
‘Ubr Makyal	id=g:7344429
Bayt Abū ‘Alī	id=g:7344430
Al Qulayb	id=g:7344431
Lā‘ah	id=g:7344432
Wādī Ma‘āniq	id=g:7344433
Ghadīr	id=g:7344434
Bayt al Muţayrī	id=g:7344435
Al Miţyān	id=g:7344436
Ar Rayyād	id=g:7344437
Al ‘Urrah	id=g:7344438
Al Ḩazzah	id=g:7344439
Maḩall al ‘Urrah	id=g:7344440
Jabal Shamsān	id=g:7344441
Bayt aş Şuraymī	id=g:7344442
Khayyārah	id=g:7344443
Bayt al Quṭāfī	id=g:7344444
‘Ubratayn	id=g:7344445
Az Za‘lā	id=g:7344446
Jirrah	id=g:7344447
Bayt al Hādī	id=g:7344448
Maḩallāt Bayt az Zubā‘	id=g:7344449
Al Qarn al Qaḩāţanah	id=g:7344450
Hijrat ash Shāhilī	id=g:7344451
Al Maghrabah Bayt al Ghūlī	id=g:7344452
‘Arāmiḑ	id=g:7344453
Maḩall Bayt az Zajjān	id=g:7344454
Maḩall al Muqaşşar	id=g:7344455
Qurāḑah	id=g:7344456
Sā’ilat al ‘Uqq	id=g:7344457
Bayt al Bakīlī	id=g:7344458
Bayt Thāmir	id=g:7344459
Al Ḩuţaym	id=g:7344460
Al Qal‘ah Bayt al Muqaşşar	id=g:7344461
Maḩall Şayrān	id=g:7344462
Al Jaḩādib	id=g:7344463
Aḑ Ḑubbah	id=g:7344464
Kharāb Thāmir	id=g:7344465
Maḩall Arḩab	id=g:7344466
Qal‘at ash Shāwish	id=g:7344467
Maḩall Bayt Ghānim	id=g:7344468
Qiblat Khudayf	id=g:7344469
Al Maqbal	id=g:7344470
Maḩall Mi‘thil	id=g:7344471
Rawḩān	id=g:7344472
Khā‘im	id=g:7344473
Bayt Surayḩ	id=g:7344474
Al Mayādīn	id=g:7344475
Qaryat Maswar	id=g:7344476
Ar Rumayḩ	id=g:7344477
Al Jurūf	id=g:7344478
Bayt aţ Ţumays	id=g:7344479
Jabal Jawb	id=g:7344480
Al Quhayshah	id=g:7344481
Al Maz̧mar	id=g:7344482
‘Izzān at Tām	id=g:7344483
Al Ḩuşayn	id=g:7344484
Wādī Sarm Maswar	id=g:7344485
Sarm Maswar	id=g:7344486
Radmān	id=g:7344487
Mīs	id=g:7344488
Al Afqūr	id=g:7344489
An Nāṣirah	id=g:7344490
Qurāz̧ah	id=g:7344491
Sha‘bān	id=g:7344492
Al Qurānah	id=g:7344493
Bayt Hāshim	id=g:7344494
Qal‘at ash Shāwish	id=g:7344495
Maḩall al Qā’imah	id=g:7344496
Bayt as Suray‘	id=g:7344497
Bayt al Faqīh	id=g:7344498
Maḩall Bayt Ţabīn	id=g:7344499
Qal‘at Zawbarī	id=g:7344500
‘Izzān Banī as Sa‘d	id=g:7344501
Maşna‘at Banī As‘ad	id=g:7344502
Bayt Ḩanash	id=g:7344503
‘Abqān	id=g:7344504
Bayt Salāmah	id=g:7344505
Maḩall Maḩfad	id=g:7344506
Maḩall az̧ Z̧ahār	id=g:7344507
Bayt Qa‘d	id=g:7344508
Bayt al Qāz	id=g:7344509
Bayt Yaḩyá Zayd	id=g:7344510
Bayt al Ḩumaydī	id=g:7344511
Al Muqābil	id=g:7344512
Maḩall ar Rā’is	id=g:7344513
Al Jidum	id=g:7344514
Al Maḩjar	id=g:7344515
‘Iyāl ‘Alī	id=g:7344516
Maḩall an Nāshir	id=g:7344517
Qārat Sawīd	id=g:7344518
Maḩall Suwār	id=g:7344519
Maḩall Sawīd	id=g:7344520
Bayt Thayyūb	id=g:7344521
Banī al ‘Urrī	id=g:7344522
Bayt ‘Īsá	id=g:7344523
Aţ Ţarasān	id=g:7344524
Maḩall al Jīwar	id=g:7344525
Qaryat Bani Sa‘īd	id=g:7344526
Madīnat al ‘Ajam	id=g:7344527
Rayshān	id=g:7344528
Maḩall as Sādah	id=g:7344529
Jabal al Kilālī	id=g:7344530
Sama‘	id=g:7344531
Bayt Sa‘d Şalāḩ	id=g:7344532
Ra’s al Wādī	id=g:7344533
Şāfiyat al Maḩdad	id=g:7344534
Bayt ash Shaym	id=g:7344535
Qaryat as Sādah	id=g:7344536
Bayt ‘Umar	id=g:7344537
Adh Dhanūb	id=g:7344538
Al ‘Uqāfī	id=g:7344539
Dār Ḩājib	id=g:7344540
Al Jāhilī	id=g:7344541
Al Jamīmah	id=g:7344542
Kawkab al Jāhilī	id=g:7344543
‘Ajramah	id=g:7344544
Al Jilal	id=g:7344545
Sūq ar Rabbah	id=g:7344546
Al Birār	id=g:7344547
Maḩall Shāmah	id=g:7344548
Bayt Miḩyī	id=g:7344549
Maḩall adh Dhībah	id=g:7344550
Banī Hajar	id=g:7344551
Ḩabarān	id=g:7344552
Al Ghūlah	id=g:7344553
Al ‘Albaţī	id=g:7344554
Al Maḩrabah	id=g:7344555
Al Qanzi‘īyah	id=g:7344556
Al Ma’dhinah	id=g:7344557
Ruţbān	id=g:7344558
Al Qaylah	id=g:7344559
Al Qadhaf	id=g:7344560
Maḩall Jabal ‘Amr	id=g:7344561
Kawkabān Ḩajjah	id=g:7344562
Jandalah	id=g:7344563
Shirāz	id=g:7344564
Qaryat al Būṭ	id=g:7344565
Qa‘ād Mas‘ūd	id=g:7344566
Kharāb Ja‘mal	id=g:7344567
Jabal Qaflah	id=g:7344568
Banī an Nahārī	id=g:7344569
Bayt Māni‘	id=g:7344570
Ar Rawāji‘	id=g:7344571
‘Āthil	id=g:7344572
Ash Shahīm	id=g:7344573
Markaz ‘Azī	id=g:7344574
Maḩall Bayt Sulaymān	id=g:7344575
Wādī Raḩbān	id=g:7344576
Aḑ Ḑāḩah	id=g:7344577
Jabal Ḩabb	id=g:7344578
Ḩabb	id=g:7344579
Bāl ‘Arābī	id=g:7344580
Maḩall al Wāsiţah	id=g:7344581
Al Qaylah	id=g:7344582
Qa‘ād Ḩikam	id=g:7344583
Khuz̧āfir	id=g:7344584
Al ‘Adhar	id=g:7344585
Ash Sharifah	id=g:7344586
Jabal Ḩaqīl	id=g:7344587
Ḩaqīl	id=g:7344588
‘Ubr Ţall	id=g:7344589
Maḩall Bayt al Kuḩlānī	id=g:7344590
Maḩall az Zabbā‘ah	id=g:7344591
Ḩişn ash Shadd	id=g:7344592
Bayt Qāsim	id=g:7344593
Al Qārah	id=g:7344594
Ash Sharqī	id=g:7344595
Ash Shaḑawāt	id=g:7344596
Banī ‘Alā	id=g:7344597
Wādī ash Sharqī	id=g:7344598
Su‘dān	id=g:7344599
Bayt aş Şāyidī	id=g:7344600
Bayt Abū Jahlān	id=g:7344601
Qaryat Jabal ‘Ayyān	id=g:7344602
Raḩbān	id=g:7344603
Bayt ar Raḑī	id=g:7344604
Bayt al Jayshī	id=g:7344605
Maḩall Bayt az Zā’idī	id=g:7344606
Ash Shawāhil	id=g:7344607
Nibāsh	id=g:7344608
Qarn	id=g:7344609
Jabal Qarn	id=g:7344610
Ash Shawāriqah	id=g:7344611
Jabal ash Shawāriqah	id=g:7344612
Banī Hinnān	id=g:7344613
Kharawḑā’	id=g:7344614
‘Izzān	id=g:7344615
Jabal ‘Izzān	id=g:7344616
Bayt al ‘Adlānī	id=g:7344617
Bayt al Jalabī	id=g:7344618
Bayt an Nawm	id=g:7344619
Banī Waqarī	id=g:7344620
Bayt al Karḑamī	id=g:7344621
Bayt al Jidrah	id=g:7344622
Bayt Sa‘d ad Dīn	id=g:7344623
Banī Dāhim	id=g:7344624
Maḩall al Mīdān	id=g:7344625
Maḩall al Maqāwiḩ	id=g:7344626
Maḩall Bayt al ‘Aşarī	id=g:7344627
Banī ‘Alkam	id=g:7344628
Al Ḩawmar	id=g:7344629
Muwāhah	id=g:7344630
Wādī Muwāhah	id=g:7344631
Al Qal‘ah Qaţ‘at aş Şarābī	id=g:7344632
Bayt al Quţaylī	id=g:7344633
As Subā‘ī	id=g:7344634
Jabal as Subā‘ī	id=g:7344635
Jabbal ‘Izzān	id=g:7344636
Sūq ‘Ubr Qaḩtān	id=g:7344637
Wajjah	id=g:7344638
Maḩall aḑ Ḑajāj	id=g:7344639
Maḩall ar Raydah	id=g:7344640
Jabal ‘Awālī	id=g:7344641
‘Inyah	id=g:7344642
Z̧ahrat Bin Naşşār	id=g:7344643
Al Qara‘	id=g:7344644
Sīd	id=g:7344645
Jabal Sīd	id=g:7344646
Ḩaşb	id=g:7344647
Ash Shabakah	id=g:7344648
Wādī al Khushbī	id=g:7344649
Wādī Mahrab	id=g:7344650
Maḩall al Jawmar	id=g:7344651
Maḩall Banī ad Darīb	id=g:7344652
Maḩall al Maqāwir	id=g:7344653
Qal‘at al Fayşalī	id=g:7344654
Al ‘Ubāl	id=g:7344655
Bayt al Farawī	id=g:7344656
Banī Burām	id=g:7344657
Bayt al ‘Assāl	id=g:7344658
Banī Sālim	id=g:7344659
Bayt as Sa‘īdī	id=g:7344660
Maḩall al Hajar	id=g:7344661
Al Wathan	id=g:7344662
Qufl al ‘Asam	id=g:7344663
Al Maşna‘ah	id=g:7344664
Banī ash Sharā‘ī	id=g:7344665
Ḩalumlum al A‘lá	id=g:7344666
Z̧il‘ al Ashmūr	id=g:7344667
Bayt an Naqīb	id=g:7344668
Al Miḑwāḩī	id=g:7344669
Maḩall Yanid al Qaşr	id=g:7344670
Ḩalumlum al Asfal	id=g:7344671
Qaryat al Ashmūr	id=g:7344672
Al ‘Urrah	id=g:7344673
At Ta‘ālī	id=g:7344674
Bayt aţ Ţammāḩ	id=g:7344675
Wādī al Maḩlā’	id=g:7344676
Ḩadaqī	id=g:7344677
Bayt az Zurayb	id=g:7344678
Az Zīlah	id=g:7344679
Baţ‘	id=g:7344680
Al Maghrabah	id=g:7344681
Maqtal	id=g:7344682
Raymah	id=g:7344683
Al Hijrah	id=g:7344684
Bayt as Sayyid	id=g:7344685
Bayt al Ma‘şār	id=g:7344686
Wādī ‘Aqār	id=g:7344687
Al Ma‘mar	id=g:7344688
‘Uzaywah	id=g:7344689
Qiţa‘ ‘Urayj	id=g:7344690
Ad Darb	id=g:7344691
‘Amrān Cement Works	id=g:7344692
Al Qin‘ah	id=g:7344693
Ḩajz Banī al Jarādī	id=g:7344694
Kharābayn Ḩirwah	id=g:7344695
Ash Shadhnah	id=g:7344696
Bayt al Faqīh	id=g:7344697
Bi’r ‘Awḑah	id=g:7344698
Al Qaşr	id=g:7344699
Al Mawqar	id=g:7344700
Al Ma‘mar	id=g:7344701
Bayt Ja‘dān	id=g:7344702
Bayt al Qa‘ūd	id=g:7344703
Az̧ Z̧amarī	id=g:7344704
Bayt al Ashwal	id=g:7344705
Nughāsh	id=g:7344706
Bayt al Faqīh	id=g:7344707
Bayt ‘Alī Muqbil	id=g:7344708
Bayt Mudrik	id=g:7344709
Al Qābilah	id=g:7344710
Maḩall al Mi‘mil	id=g:7344711
Bayt al Abdhar	id=g:7344712
Bayt al Murawiḩī	id=g:7344713
Bayt ‘Ilmān	id=g:7344714
Ḩajar al Bannā’	id=g:7344715
Hijrat Qā‘ah	id=g:7344716
Ḑubr al Maşāni‘	id=g:7344717
Al Ashqāq	id=g:7344718
Al Ḩijlah	id=g:7344719
Al Ḩājib	id=g:7344720
Al Madīnah al ‘Ulyā	id=g:7344721
At Tibqāl	id=g:7344722
Bayt al ‘Ajāj	id=g:7344723
Bayt Ghaythān	id=g:7344724
Al Hajar	id=g:7344725
Al Aḩşabāt	id=g:7344726
Maḩall Ḑabyān	id=g:7344727
Darb al Mīdān	id=g:7344728
Al Qābilah	id=g:7344729
Bayt Nābit	id=g:7344730
Banī Jābir	id=g:7344731
Bayt Zāhir	id=g:7344732
Banī Nā‘im	id=g:7344733
Al Ḩalḩal	id=g:7344734
Wādī ad Darb	id=g:7344735
Lughābah	id=g:7344736
Jabal al Miḩshāsh	id=g:7344737
Bayt Aḩmad ‘Araq	id=g:7344738
Al Malaḩah	id=g:7344739
Bayt Z̧āfir	id=g:7344740
Maḩall Nafwah	id=g:7344741
Bayt al Aḩraq	id=g:7344742
Ḑabbā‘īn	id=g:7344743
Qaryat al Asţaḩ	id=g:7344744
Wādī Bājān	id=g:7344745
Ar Riqqah	id=g:7344746
Banī Bashīr	id=g:7344747
Bayt al Madhyūb	id=g:7344748
Bayt ‘Awāḑ	id=g:7344749
Aş Şurm	id=g:7344750
Wādī ‘Urr Milḩ	id=g:7344751
Watār	id=g:7344752
Ar Rawnah	id=g:7344753
Ash Shīm	id=g:7344754
Al Maḩālī	id=g:7344755
Al ‘Ayn	id=g:7344756
Bayt ‘Umar	id=g:7344757
Bayt ar Rabū‘ī	id=g:7344758
Banī ‘Uqayf	id=g:7344759
Ad Darb	id=g:7344760
Al Qummāmah	id=g:7344761
Ḩaḑrān	id=g:7344762
Al Ghūlah	id=g:7344763
Qaryat Wādī as Sayl	id=g:7344764
Darb Sa‘d Allāh	id=g:7344765
Al Ḩayyārah	id=g:7344766
‘Afiţ	id=g:7344767
Bayt Tibah	id=g:7344768
Bayt Man‘ayn	id=g:7344769
Bayt Qīrah	id=g:7344770
Bayt Baḩr	id=g:7344771
Al Gharāb	id=g:7344772
Wādī al Gharāb	id=g:7344773
Qal‘at Ghunaym	id=g:7344774
Maḩall Bayt Ju‘ayl	id=g:7344775
Bayt Qubb	id=g:7344776
Al Qufl	id=g:7344777
Ash Sharāqī	id=g:7344778
Bayt Rayyāsh	id=g:7344779
Ishtirah	id=g:7344780
Al Ḩāfah	id=g:7344781
Al Masna‘ah	id=g:7344782
Wādī Dhahbān	id=g:7344783
Wādī al Ḩirmāl	id=g:7344812
Jabal al Majrab	id=g:7344813
As Sa‘rā’	id=g:7344814
Jabal Ḑab‘	id=g:7344815
Kumbūshah	id=g:7344816
Aţ Ţawīlāt	id=g:7344817
Wādī Kuḩayl	id=g:7344818
Wādī Waban	id=g:7344819
Sūd al ‘Az̧b	id=g:7344820
Aḑ Ḑa‘ah	id=g:7344821
Shi‘b aḑ Ḑa‘ah	id=g:7344822
Aḑ Ḑuyūq	id=g:7344823
Bulayq	id=g:7344824
Jaww Qanāw	id=g:7344825
Ḩizmat Qurayshimān	id=g:7344826
Wādī Amwāh	id=g:7344827
Jabal Qanāw	id=g:7344828
Jaww Gharr al Majāmi‘	id=g:7344829
Jaww al Quff	id=g:7344830
Wādī Gharr al Majāmi‘	id=g:7344831
Jabal Ashqar al Quff	id=g:7344832
Gharr an Nasratayn	id=g:7344833
Jibāl ash Shahlā’	id=g:7344834
Ad Daḩlāt	id=g:7344835
An Nāşif	id=g:7344836
Jibāl ad Duḩayḑah	id=g:7344837
Jabalat Āl Ḩazm	id=g:7344838
Bi’r al Marāzīq	id=g:7344839
Jabal Qaysayn	id=g:7344840
Wādī Kutnah	id=g:7344841
Ḑayqat Kuḩayl	id=g:7344842
Jabal Shammākhah	id=g:7344843
Jabal aş Şafqah	id=g:7344844
Wādī Wasaţ	id=g:7344845
Jabal an Nuddar	id=g:7344846
Wādī al Mighālah	id=g:7344847
Wādī Rāk	id=g:7344848
Al ‘Awāţif	id=g:7344849
Burq Mi‘qil	id=g:7344850
Wādī Gharr Ja‘‘ās	id=g:7344851
Wādī Iqbah	id=g:7344853
Jabal al Mu‘allaqah	id=g:7344854
Jabal an Nākhir	id=g:7344855
Jabal ash Shubālah	id=g:7344856
As Salamāt	id=g:7344857
Jabal Sabyān	id=g:7344858
Wādī al Ghurdah	id=g:7344859
Al Muqawwam	id=g:7344860
Aţ Ţufalah	id=g:7344861
Al Qawz	id=g:7344862
Banī Shihāb	id=g:7344863
Farshā’	id=g:7344864
Z̧ulfān	id=g:7344865
Al Ḩāz̧inah	id=g:7344866
Az Zughnah	id=g:7344867
Al Faḑāyā	id=g:7344868
Al ‘Aşalāt	id=g:7344869
Al Ḩişn	id=g:7344870
Dahm	id=g:7344871
Al Bayḑā’	id=g:7344872
Wādī as Sāqīyah	id=g:7344873
Ash Shuqbān	id=g:7344874
Al Marānī	id=g:7344875
Al Bāţin	id=g:7344876
Al Khawāţirah	id=g:7344877
Manfūḩah	id=g:7344878
Al Ḩasīr	id=g:7344879
Al Jarr	id=g:7344880
Inabbā’	id=g:7344881
Umm as Sitit	id=g:7344882
Wādī Hurāb	id=g:7344883
Jabal Yarākh	id=g:7344884
Wādī Qiyān	id=g:7344885
Jibāl al Khuşayy	id=g:7344886
Jabal Ibḑah	id=g:7344887
Wādī al Milāḩah	id=g:7344888
Wādī Yawban	id=g:7344889
Jibāl al Asad	id=g:7344890
Wādī al Qaḑāz̧	id=g:7344891
Jabal as Suwayqah	id=g:7344892
Al Ḩāz̧inah al Ḩamrā’	id=g:7344893
Āl Sharīf	id=g:7344894
Jabal al Asḩum	id=g:7344895
Birāḩah	id=g:7344897
Jabal al Hadaf	id=g:7344898
Wādī Khibāh	id=g:7344899
Jabal aţ Ţawīlah	id=g:7344900
Wādī an Nishshaf	id=g:7344901
Hābah	id=g:7344902
Wādī Şayḩ	id=g:7344903
Qarn Bin Shāmān	id=g:7344904
Qarn al Ḩijrah	id=g:7344905
Shi‘b al Asāwīd	id=g:7344906
Wādī Silbah	id=g:7344907
Al Ḩujrūf	id=g:7344908
Al Mishāqah	id=g:7344909
Ushţub	id=g:7344910
Al Marī al Asfal	id=g:7344911
Al Burayd	id=g:7344912
Ash Shumaykh	id=g:7344913
Wal‘ah	id=g:7344914
Ḩayfah	id=g:7344915
Al Ḩalafah	id=g:7344916
Wādī Thamar	id=g:7344917
Wādī al Jarḩāriḑ	id=g:7344918
Wādī Afqah	id=g:7344919
Wādī Qifayl	id=g:7344920
Jabal as Siḩayr	id=g:7344921
Jabal Baḑī‘	id=g:7344922
Jabal ar Rizin	id=g:7344923
Shi‘āb al Ḩidah	id=g:7344924
Shi‘b ‘Aybah	id=g:7344925
Shi‘āb al Ḩidah	id=g:7344926
Jabal ‘Aybah	id=g:7344927
Rawbān	id=g:7344928
Al Wādiyayn	id=g:7344929
Bayt Shirḩūj Dimaynah	id=g:7344930
Jabal al Mighanīyah	id=g:7344931
Jabal ar Rizwah	id=g:7344932
As Sa‘lawī	id=g:7344933
Wādī al ‘Arīn	id=g:7344934
Jabal Ḩumr al Ḩisak	id=g:7344935
Wādī al Khāsh	id=g:7344936
