Hogenweg	id=g:2795582
Hoeleden	id=g:2795656
Hoeleden	id=g:2795657
Hoelbeek	id=g:2795658
Hoelbeek	id=g:2795659
Hoekven	id=g:2795660
Hoek ten Eiken	id=g:2795661
Hoekstraat	id=g:2795662
Hoekstraat	id=g:2795663
Hoeksken ter Hulst	id=g:2795664
Hoeksken	id=g:2795665
Hoeksken	id=g:2795666
Hoeksken	id=g:2795667
Hoeksken	id=g:2795668
Hoeksken	id=g:2795669
Hoeksken	id=g:2795670
Hoeksken	id=g:2795671
Hoeksken	id=g:2795672
Hoeksken	id=g:2795673
Hoeksken	id=g:2795674
Hoeksken	id=g:2795675
Hoeksken	id=g:2795676
Hoeksken	id=g:2795677
Hoeksken	id=g:2795678
Hoeksken	id=g:2795679
Hoeksken	id=g:2795680
Hoeksken	id=g:2795681
Hoeksken	id=g:2795682
Hoeksken	id=g:2795683
Hoeksken	id=g:2795684
Hoekje	id=g:2795685
Hoekevaart	id=g:2795686
Hoekeinde	id=g:2795687
Hoeke	id=g:2795688
Hoeke	id=g:2795689
Hoek	id=g:2795690
Hoek	id=g:2795691
Hoek	id=g:2795692
Hoek	id=g:2795693
Hoek	id=g:2795694
Hoek	id=g:2795695
Hoek	id=g:2795696
Hoek	id=g:2795697
Hoek	id=g:2795698
Hoeilaart	id=g:2795699
Hoeilaart	id=g:2795700
Hoeigat	id=g:2795701
Hoëgne	id=g:2795702
Hoegaarden	id=g:2795703
Hoegaarden	id=g:2795704
Hoefijzer	id=g:2795705
Hoef	id=g:2795706
Hoef	id=g:2795707
Hoef	id=g:2795708
Hoedje	id=g:2795709
Hoebenschot	id=g:2795710
Hody	id=g:2795711
Hody	id=g:2795712
Hodoumont	id=g:2795713
Hodister	id=g:2795714
Hodister	id=g:2795715
Hodimont	id=g:2795716
Hodeige	id=g:2795717
Hodeige	id=g:2795718
Hodbomont	id=g:2795719
Hockniez	id=g:2795720
Hockai	id=g:2795721
Hochtumsknopf	id=g:2795722
Hocht	id=g:2795723
Hochkreuz	id=g:2795724
Hochit Champ	id=g:2795725
Hochelbach	id=g:2795726
Hoc	id=g:2795727
Hoboster	id=g:2795728
Hobokenpolder	id=g:2795729
Hoboken	id=g:2795730
Hoboken	id=g:2795731
Hives	id=g:2795732
Hives	id=g:2795733
Hirtz	id=g:2795734
Hipshoekbeek	id=g:2795735
Hinter dem Ewemt	id=g:2795736
Hingeon	id=g:2795737
Hingeon	id=g:2795738
Hingene Broekpolder	id=g:2795739
Hingene	id=g:2795740
Hingene	id=g:2795741
Hinderhausen	id=g:2795742
Hindeplas	id=g:2795743
Hindel	id=g:2795744
Hinaumetz	id=g:2795745
Himmerich	id=g:2795746
Himbeek	id=g:2795747
Bois de Himbe	id=g:2795748
Himbe	id=g:2795749
Himans	id=g:2795750
Hilsthof	id=g:2795751
Hillegem	id=g:2795752
Hillegem	id=g:2795753
Hille	id=g:2795754
Hillare	id=g:2795755
Hill	id=g:2795756
Hilhoek	id=g:2795757
Hilan	id=g:2795758
Hijfte	id=g:2795759
Hietinne	id=g:2795760
Heid de Hierlot	id=g:2795761
Hierlot	id=g:2795762
Hezewijk	id=g:2795763
Hez et Suette	id=g:2795764
Hezerheide	id=g:2795765
Hezemeerheide	id=g:2795766
Heze	id=g:2795767
Heze	id=g:2795768
Heze	id=g:2795769
Hèze	id=g:2795770
Hez de Harzé	id=g:2795771
Ferme d'Hez	id=g:2795772
Bois d'Hez	id=g:2795773
Heisel	id=g:2795774
Heyemolen	id=g:2795775
Heyd	id=g:2795776
Heyd	id=g:2795777
Bois de Hèvremont	id=g:2795778
Hèvremont	id=g:2795779
Hévillers	id=g:2795780
Hévillers	id=g:2795781
Heverlee	id=g:2795783
Heverlee	id=g:2795784
Hever	id=g:2795785
Hever	id=g:2795786
Heuven	id=g:2795787
Heuvelse Heide	id=g:2795788
Heuvelheide	id=g:2795789
Heuvelgem	id=g:2795790
Heuvel	id=g:2795791
Heuvel	id=g:2795792
Heuvel	id=g:2795793
Heuvel	id=g:2795794
Heusy	id=g:2795795
Heusy	id=g:2795796
Heusière	id=g:2795797
Heuseux	id=g:2795798
Heusdensesloot	id=g:2795799
Heusden	id=g:2795800
Heusden	id=g:2795801
Heusden	id=g:2795802
Heusden	id=g:2795803
Heusay	id=g:2795804
Heurne Sint-Pieter	id=g:2795805
Heurne	id=g:2795806
Heurne	id=g:2795807
Heure-le-Romain	id=g:2795808
Heure-le-Romain	id=g:2795809
Eau d'Heure	id=g:2795810
Eau d'Heure	id=g:2795811
Bois d'Heure	id=g:2795812
Heure	id=g:2795813
Heure	id=g:2795814
Heurbeek	id=g:2795815
Heultje	id=g:2795816
Heulendonk	id=g:2795817
Heulen	id=g:2795818
Heuleken	id=g:2795819
Heulebrug	id=g:2795820
Heulebos	id=g:2795821
Heulebeek	id=g:2795822
Heule	id=g:2795823
Heule	id=g:2795824
Heukelom	id=g:2795825
Heukelgem	id=g:2795826
Heufkenstraat	id=g:2795827
Heuem	id=g:2795828
Het Zwin	id=g:2795829
Het Zoute	id=g:2795830
Het Zand	id=g:2795831
Het Zand	id=g:2795832
Het Zand	id=g:2795833
Het Wik	id=g:2795834
Het Vrieselhof	id=g:2795835
Het Vliet	id=g:2795836
Het Viswater	id=g:2795837
Het Vinne	id=g:2795838
Het Venne	id=g:2795839
Het Ven	id=g:2795840
Het Ven	id=g:2795841
Het Veldeken	id=g:2795842
Het Veld	id=g:2795843
Het Varenbroek	id=g:2795844
Het Turfven	id=g:2795845
Het Steenbroek	id=g:2795846
Het Sprietjen	id=g:2795847
Het Spreet	id=g:2795848
Het Spek	id=g:2795849
Het Seesbroek	id=g:2795850
Het Schuurken	id=g:2795851
Het Schransken	id=g:2795852
Het Schoutvoort	id=g:2795853
Het Sas	id=g:2795854
Het Sas	id=g:2795855
Het Rot Zwarte Reed	id=g:2795856
Het Rolleken	id=g:2795857
Het Rietland	id=g:2795858
Bois de Hêtre	id=g:2795859
Het Punt	id=g:2795860
Het Oosteneind	id=g:2795861
Het Moer	id=g:2795862
Het Looi	id=g:2795863
Het Lo	id=g:2795864
Het Liefken	id=g:2795865
Het Lemmeken	id=g:2795866
Het Laar	id=g:2795867
Het Laar	id=g:2795868
Het Klooster	id=g:2795869
Het Klaverblad	id=g:2795870
Het Kermisveldje	id=g:2795871
Het Keepskere	id=g:2795872
Het Kamp	id=g:2795873
Het Kalf	id=g:2795874
Het Huffelken	id=g:2795875
Het Hoeksken	id=g:2795876
Het Heiken	id=g:2795877
Het Heiken	id=g:2795878
Het Heidjen	id=g:2795879
Het Heet	id=g:2795880
Het Haantjen	id=g:2795881
Het Groot Veld	id=g:2795882
Het Geheul	id=g:2795883
Het Fort	id=g:2795884
Het End	id=g:2795885
Het Einde	id=g:2795886
Het Eiland	id=g:2795887
Het Bunder	id=g:2795888
Het Brakeleiken	id=g:2795889
Het Bovenste Broek	id=g:2795890
Het Boshof	id=g:2795891
Het Bosgat	id=g:2795892
Het Blokhuis	id=g:2795893
Het Blak	id=g:2795894
Het Bergsken	id=g:2795895
Het Aanwijs	id=g:2795896
Hestrulle	id=g:2795897
Hestroy	id=g:2795898
Hestroumont	id=g:2795899
Hestreux	id=g:2795900
Bois de Hestrait	id=g:2795901
Hessie	id=g:2795902
Hespinte	id=g:2795903
Hesesheide	id=g:2795904
Hesbie	id=g:2795905
Hesbaye	id=g:2795906
Herzogenhügel	id=g:2795907
Herzele	id=g:2795908
Herzele	id=g:2795909
Hervert	id=g:2795910
Plateau de Herve	id=g:2795911
Herve	id=g:2795912
Herve	id=g:2795913
Hertswegen	id=g:2795914
Hertsbergebeek	id=g:2795915
Hertsberge	id=g:2795916
Hertsberge	id=g:2795917
Hertogjanshoeve	id=g:2795918
Hertogenwald	id=g:2795919
Hertje	id=g:2795920
Herthoek	id=g:2795921
Hertenrode-Berg	id=g:2795922
Herten	id=g:2795923
Herten	id=g:2795924
Hertberg	id=g:2795925
Hertain	id=g:2795926
Hertain	id=g:2795927
Herstappe	id=g:2795928
Herstappe	id=g:2795929
Herstal	id=g:2795930
Herstal	id=g:2795931
Hersseltsebeek	id=g:2795932
Herselt	id=g:2795933
Herselt	id=g:2795934
Herseling	id=g:2795935
Herseaux	id=g:2795936
Mouscron	id=g:2795937
Herseau	id=g:2795938
Ferme de l'Herse	id=g:2795939
Herrival	id=g:2795940
Herresbach	id=g:2795941
Herren Busch	id=g:2795942
Herrenberg	id=g:2795943
Herrebeken	id=g:2795944
Herquegies	id=g:2795945
Herquegies	id=g:2795946
Héropont	id=g:2795947
Bois de Heronnerie	id=g:2795948
Héron	id=g:2795949
Héron	id=g:2795950
Herock	id=g:2795951
Bois de Hernoy	id=g:2795952
Hernof	id=g:2795953
Bois de Hernière	id=g:2795954
Hernebeek	id=g:2795955
Herne	id=g:2795956
Herne	id=g:2795957
Hermeux	id=g:2795958
Hermeton-sur-Meuse	id=g:2795959
Hermeton-sur-Meuse	id=g:2795960
Hermeton	id=g:2795961
Hermelgem	id=g:2795962
Hermée	id=g:2795963
Hermée	id=g:2795964
Hermansheuvel	id=g:2795965
Hermanne	id=g:2795966
Château de Hermanmont	id=g:2795967
Hermalle-sous-Huy	id=g:2795968
Hermalle-sous-Huy	id=g:2795969
Hermalle-sous-Argenteau	id=g:2795970
Hermalle-sous-Argenteau	id=g:2795971
Bois d'Hermalle	id=g:2795972
Herlinval	id=g:2795973
Herleuvaux	id=g:2795974
Herlaimont	id=g:2795975
Herlaar	id=g:2795976
Herkkant	id=g:2795977
Herkkant	id=g:2795978
Herkerbroek	id=g:2795979
Herkenroot	id=g:2795980
Herkenrodeplaats	id=g:2795981
Herkenrode	id=g:2795982
Herkenhoek	id=g:2795983
Herkebeek	id=g:2795984
Herk-de-Stad	id=g:2795985
Herk-de-Stad	id=g:2795986
Herk	id=g:2795987
Herk	id=g:2795988
Hérisson	id=g:2795989
Hérissart	id=g:2795990
Heris	id=g:2795991
Hérinnes	id=g:2795992
Hérinnes	id=g:2795993
Herinkhoeve	id=g:2795994
Bois d'Herimetz	id=g:2795996
Herimetz	id=g:2795997
Herhout	id=g:2795998
Herhet	id=g:2795999
Hergersberg	id=g:2796000
Hergenrath	id=g:2796001
Hergenrath	id=g:2796002
Herfelingen	id=g:2796003
Herfelingen	id=g:2796004
Herenthout	id=g:2796005
Herenthout	id=g:2796006
Herenteugelhoeve	id=g:2796007
Herentalsevaart	id=g:2796008
Herentals	id=g:2796009
Herentals	id=g:2796010
Herent	id=g:2796011
Herent	id=g:2796012
Herent	id=g:2796013
Herendaalhof	id=g:2796014
Herendaal	id=g:2796015
Heren Bossen	id=g:2796016
Herenbos	id=g:2796017
Herebos	id=g:2796018
Herdershoek	id=g:2796019
Herdersem	id=g:2796020
Herdersem	id=g:2796021
Herderen	id=g:2796022
Herderen	id=g:2796023
Herchies	id=g:2796024
Herchies	id=g:2796025
Herchies	id=g:2796026
Herbuchenne	id=g:2796027
Herbroek	id=g:2796028
Herbricht	id=g:2796029
Herboufa	id=g:2796030
Herbois	id=g:2796031
Herbois	id=g:2796032
Herbôfaye	id=g:2796033
Herbiester	id=g:2796034
Bois Herbier	id=g:2796035
Forêt d'Herbeumont	id=g:2796036
Herbeumont	id=g:2796037
Herbeumont	id=g:2796038
Herbet	id=g:2796039
Herbesthal	id=g:2796040
Herbefays	id=g:2796041
Bois Herbay	id=g:2796042
Herbais	id=g:2796043
Bois de Herbaimont	id=g:2796044
Herbaimont	id=g:2796045
Hepscheid	id=g:2796046
Heppignies	id=g:2796047
Heppignies	id=g:2796048
Heppenert	id=g:2796049
Heppenbach	id=g:2796050
Heppenbach	id=g:2796051
Heppen	id=g:2796052
Heppen	id=g:2796053
Heppe	id=g:2796054
Henumont	id=g:2796055
Hensies	id=g:2796056
Hensies	id=g:2796057
Hensem	id=g:2796058
Henripont	id=g:2796059
Henripont	id=g:2796060
Henrimont	id=g:2796061
Henri Chêne	id=g:2796062
Henri-Chapelle	id=g:2796063
Henri-Chapelle	id=g:2796064
Bois Henrard	id=g:2796065
Hennuyères	id=g:2796066
Hennuyères	id=g:2796067
Henne	id=g:2796068
Henksbroekheide	id=g:2796069
Henis	id=g:2796070
Henis	id=g:2796071
Hendrikvoort	id=g:2796072
Hendrikstraat	id=g:2796073
Hendrieken	id=g:2796074
Hendrieken	id=g:2796075
Hendeken	id=g:2796076
Hemroulle	id=g:2796077
Hemptinne	id=g:2796078
Hemptinne	id=g:2796079
Hemptinne	id=g:2796080
Hemptinne	id=g:2796081
Hemmenbeek	id=g:2796082
Hemmen	id=g:2796083
Hemmeleed	id=g:2796084
Hemiksem	id=g:2796085
Hemiksem	id=g:2796086
Hemelveerdegem	id=g:2796087
Hemelveerdegem	id=g:2796088
Hemelstraat	id=g:2796089
Hemelshoek	id=g:2796090
Hemelseschoot	id=g:2796091
Hemelrijk	id=g:2796092
Hemelrijk	id=g:2796093
Hemelrijk	id=g:2796094
Hemelrijk	id=g:2796095
Hemelrijk	id=g:2796096
Hemelrijk	id=g:2796097
Hemelrijk	id=g:2796098
Hemelrijk	id=g:2796099
Hemeldonk	id=g:2796100
Hembise	id=g:2796101
Helverenberg	id=g:2796102
Helstraat	id=g:2796103
Helshoven	id=g:2796104
Helsendries	id=g:2796105
Helsdries	id=g:2796106
Helschot	id=g:2796107
Helmet	id=g:2796108
Helmest	id=g:2796109
Hellingen	id=g:2796110
Hellicht	id=g:2796111
Hellestraat	id=g:2796112
Helle Polder	id=g:2796113
Hellenhoeve	id=g:2796114
Hellegatbeek	id=g:2796115
Hellegatbeek	id=g:2796116
Hellegat	id=g:2796117
Hellebrug	id=g:2796118
Hellebos	id=g:2796119
Hellebeekberg	id=g:2796120
Hellebecq	id=g:2796121
Hellebecq	id=g:2796122
Helle	id=g:2796123
Helle	id=g:2796124
Hélincourt	id=g:2796125
Helen-Bos	id=g:2796126
Helen-Bos	id=g:2796127
Heldergem	id=g:2796128
Heldergem	id=g:2796129
Helderbeek	id=g:2796130
Helchterenbos	id=g:2796131
Helchteren	id=g:2796132
Helchteren	id=g:2796133
Helkijn	id=g:2796134
Helkijn	id=g:2796135
Helbeek	id=g:2796136
Hel	id=g:2796137
Heksken	id=g:2796138
Heks	id=g:2796139
Heks	id=g:2796140
Hekkestraat	id=g:2796141
Hekke	id=g:2796142
Hekhoek	id=g:2796143
Hekelgem	id=g:2796144
Hekelgem	id=g:2796145
Heizijde	id=g:2796146
Heizijde	id=g:2796147
Heiwik	id=g:2796148
Heivoort	id=g:2796149
Heiveld	id=g:2796150
Heiveld	id=g:2796151
Heistraat	id=g:2796152
Heist-op-den-Berg	id=g:2796153
Heist-op-den-Berg	id=g:2796154
Heiste	id=g:2796155
Bol van Heist	id=g:2796156
Heist	id=g:2796157
Heist	id=g:2796158
Heissiehoek	id=g:2796159
Heisselt	id=g:2796160
Heissehuizen	id=g:2796161
Heisbroek	id=g:2796162
Heisbroek	id=g:2796163
Heisbroek	id=g:2796164
Heirweg	id=g:2796165
Heirstraat	id=g:2796166
Heirgrachthoeve	id=g:2796167
Heirenhoek	id=g:2796168
Heirbrug	id=g:2796169
Heiplas	id=g:2796170
Ruisseau de Heinstert	id=g:2796171
Heinstert	id=g:2796172
Heinsdale	id=g:2796173
Heinsch	id=g:2796174
Heinsch	id=g:2796175
Heine	id=g:2796176
Heindonk	id=g:2796177
Heindonk	id=g:2796178
Heimolen	id=g:2796179
Heiloop	id=g:2796180
Heilig Geest Hoek	id=g:2796181
Heilaar	id=g:2796182
Heikruis	id=g:2796183
Heikruis	id=g:2796184
Heikens	id=g:2796185
Heiken	id=g:2796186
Heiken	id=g:2796187
Heiken	id=g:2796188
Heiken	id=g:2796189
Heiken	id=g:2796190
Heiken	id=g:2796191
Heiken	id=g:2796192
Heiken	id=g:2796193
Heiken	id=g:2796194
Heike	id=g:2796195
Heikant	id=g:2796196
Heikant	id=g:2796197
Heikant	id=g:2796198
Heikant	id=g:2796199
Heikant	id=g:2796200
Heikant	id=g:2796201
Heikant	id=g:2796202
Heikant	id=g:2796203
Heikant	id=g:2796204
Heikant	id=g:2796205
Heikant	id=g:2796206
Heikant	id=g:2796207
Heikant	id=g:2796208
Heikant	id=g:2796209
Heikant	id=g:2796210
Heikant	id=g:2796211
Heikant	id=g:2796212
Heikant	id=g:2796213
Heikant	id=g:2796214
Heikant	id=g:2796215
Heihuizen	id=g:2796216
Heihof	id=g:2796217
Heihof	id=g:2796218
Heihoek	id=g:2796219
Heihoek	id=g:2796220
Heihoek	id=g:2796221
Heihoek	id=g:2796222
Heihoek	id=g:2796223
Heihoek	id=g:2796224
Heigne	id=g:2796225
Heiende	id=g:2796226
Heieinde	id=g:2796227
Heieinde	id=g:2796228
Heieinde	id=g:2796229
Heieinde	id=g:2796230
Heieinde	id=g:2796231
Heie	id=g:2796232
Heiderveld	id=g:2796233
Heiderheide	id=g:2796234
Heider Busch	id=g:2796235
Heiderbos	id=g:2796236
Heidenbroek	id=g:2796237
Heidelo	id=g:2796238
Heidelberg	id=g:2796239
Heidela	id=g:2796240
Heideken	id=g:2796241
Heidekant	id=g:2796242
Heidekant	id=g:2796243
Heidebos	id=g:2796244
Heidebeek	id=g:2796245
Heidebeek	id=g:2796246
Bois de Heide	id=g:2796247
Heide	id=g:2796248
Heide	id=g:2796249
Heide	id=g:2796250
Heide	id=g:2796251
Heide	id=g:2796252
Heide	id=g:2796253
Heide	id=g:2796254
Heide	id=g:2796255
Heide	id=g:2796256
Heide	id=g:2796257
Heide	id=g:2796258
Heide	id=g:2796259
Heide	id=g:2796260
Heide	id=g:2796261
Heide	id=g:2796262
Heide	id=g:2796263
Heide	id=g:2796264
Heide	id=g:2796265
Heide	id=g:2796266
Heid de Spa	id=g:2796267
Bois du Heid de Pouhon	id=g:2796268
Heidam	id=g:2796269
Heibraek	id=g:2796270
Heibos	id=g:2796271
Heiblok	id=g:2796272
Heiblok	id=g:2796273
Heibloem	id=g:2796274
Heibergen	id=g:2796275
Heiberg	id=g:2796276
Heibaart	id=g:2796277
Heggen	id=g:2796278
Hegge	id=g:2796279
Hegge	id=g:2796280
Château Heffink	id=g:2796281
Heffen	id=g:2796282
Heffen	id=g:2796283
Heffelbeek	id=g:2796284
Heet	id=g:2796285
Heeswater	id=g:2796286
Heesveld	id=g:2796287
Heestert	id=g:2796288
Heestert	id=g:2796289
Heesten	id=g:2796290
Heesdonk	id=g:2796291
Heesakkers Heide	id=g:2796292
Heesakker	id=g:2796293
Hees	id=g:2796294
Hees	id=g:2796295
Heerstraat	id=g:2796296
Heers	id=g:2796297
Heers	id=g:2796298
Heernisse	id=g:2796299
Heerlese Loop	id=g:2796300
Heerle	id=g:2796301
Heerle	id=g:2796302
Heerkenshoeve	id=g:2796303
Heer	id=g:2796304
Heer	id=g:2796305
Heer	id=g:2796306
Heek	id=g:2796307
Hée des Mainies	id=g:2796308
Heed	id=g:2796309
Hédrée	id=g:2796310
Hédrée	id=g:2796311
Hédomont	id=g:2796312
Hedenge	id=g:2796313
Hé de Lonay	id=g:2796314
Heckenberg	id=g:2796315
Hecken	id=g:2796316
Heckbous	id=g:2796317
Hechtelse Heide	id=g:2796318
Hechtel	id=g:2796319
Hechtel	id=g:2796320
Hecht	id=g:2796321
Hebronval	id=g:2796322
Hebret	id=g:2796323
Hebbe	id=g:2796324
Bois de Hazy	id=g:2796325
Hazy	id=g:2796326
Hazewindeken	id=g:2796327
Hazewind	id=g:2796328
Hazewind	id=g:2796329
Hazenschrans	id=g:2796330
Hazennest	id=g:2796331
Hazenhout	id=g:2796332
Hazendries	id=g:2796333
Hazendonk	id=g:2796334
Hazenberg	id=g:2796335
Hazelbeek	id=g:2796336
Hazelarenhoek	id=g:2796337
Bois de Hazeille	id=g:2796338
Hazeille	id=g:2796339
Hazegraspolder	id=g:2796340
Hazegras	id=g:2796341
Hazebergen	id=g:2796342
Bois d'Hayon	id=g:2796343
Bois des Hayettes	id=g:2796344
Hayettes	id=g:2796345
Hayen	id=g:2796346
Bois de la Haye du Roeulx	id=g:2796347
Ferme de l'Haye	id=g:2796348
Havron	id=g:2796349
Havrenne	id=g:2796350
Kasteel van Havre	id=g:2796351
Bois d'Havré	id=g:2796352
Havré	id=g:2796353
Havré	id=g:2796354
Havissart	id=g:2796355
Bois Havinnois	id=g:2796356
Havinnes	id=g:2796357
Havinnes	id=g:2796358
Havink Dam	id=g:2796359
Haverzee	id=g:2796360
Haver Ven	id=g:2796361
Haversin	id=g:2796362
Havermaatbeek	id=g:2796363
Haverbeek	id=g:2796364
Havenne	id=g:2796365
Haven	id=g:2796366
Ferme d'Haveligeoule	id=g:2796367
Havelange	id=g:2796368
Havelange	id=g:2796369
Havelange	id=g:2796370
Havegnée	id=g:2796371
Bois de la Have	id=g:2796372
Havay	id=g:2796373
Hauzeur	id=g:2796374
Hauzeur	id=g:2796375
Hauwstraat	id=g:2796376
Hauwijk	id=g:2796377
Hauwald	id=g:2796378
Haut Vent	id=g:2796379
Haut Trieux	id=g:2796380
Hauts Tiennes	id=g:2796381
Hauts Sarts	id=g:2796382
Hauts Marais	id=g:2796383
Hauts Marais	id=g:2796384
Bois les Aulnois	id=g:2796385
Haut Sart	id=g:2796386
Haut Rejet	id=g:2796387
Haut Rejet	id=g:2796388
Hautregard	id=g:2796389
Haut Ransbeek	id=g:2796390
Hautrage	id=g:2796391
Hautrage	id=g:2796392
Bois Hautmont-Feschère	id=g:2796393
Bois de Hautmont	id=g:2796394
Haut Mont	id=g:2796395
Ferme du Haut Marais	id=g:2796396
Haut Marais	id=g:2796397
Haut-le-Wastia	id=g:2796399
Haut-le-Wastia	id=g:2796400
Haut Laveu	id=g:2796401
Haut Judas	id=g:2796402
Haut-Ittre	id=g:2796403
Haut-Ittre	id=g:2796404
Haut Hameau	id=g:2796405
Haut Hameau	id=g:2796406
Haut-Fays	id=g:2796407
Haute Valise	id=g:2796408
Haute Tribomont	id=g:2796409
Hautes Fanges dessus l'Honeux	id=g:2796410
Hohes Venn	id=g:2796411
Haute Sarte	id=g:2796412
Haute Saive	id=g:2796413
Haute Rue	id=g:2796414
Hauterue	id=g:2796415
Haute Roche	id=g:2796417
Haute Pré	id=g:2796418
Haute Porte	id=g:2796419
Haute Planche	id=g:2796420
Haute Noucelle	id=g:2796421
Haute-Nitémont	id=g:2796422
Haute Nimelette	id=g:2796423
Haute Masville	id=g:2796424
Haute Masure	id=g:2796425
Bois de la Haute Marlagne	id=g:2796426
Haute Houssière	id=g:2796427
Bois de Haute-Heveau	id=g:2796428
Haute Heuval	id=g:2796429
Haute Grange	id=g:2796430
La Gage	id=g:2796431
Haute Franchise	id=g:2796432
Haute Fontaine	id=g:2796433
Haute Folie	id=g:2796434
Haute Folie	id=g:2796435
Haute Flône	id=g:2796436
Haute-Fays	id=g:2796437
Haute Cense	id=g:2796438
Ferme de la Haute Cabbecq	id=g:2796439
Haute Bruyère	id=g:2796440
Haute Bodeux	id=g:2796441
Haute Bise	id=g:2796442
Haute Bise	id=g:2796443
Haute Arche	id=g:2796444
Haute	id=g:2796445
Haut Doux	id=g:2796446
Haut Doux	id=g:2796447
Haut des Minières	id=g:2796448
Haut Corot	id=g:2796449
Coron du bois	id=g:2796450
Haut Chemin	id=g:2796451
Haut Buisson	id=g:2796452
Haut Braucq	id=g:2796453
Haut Bosquet	id=g:2796454
Haut Bois	id=g:2796455
Haut Bois	id=g:2796456
Haut Beaumal	id=g:2796457
Haut Aulnoy	id=g:2796458
Bois la Haut	id=g:2796459
Bois Haut	id=g:2796460
Haut	id=g:2796461
Hauster	id=g:2796462
Hausta	id=g:2796463
Haussart	id=g:2796464
Hauset	id=g:2796465
Hauset	id=g:2796466
Haureux	id=g:2796467
Haule	id=g:2796468
Haulchin	id=g:2796469
Haulchin	id=g:2796470
Haudion	id=g:2796471
Haubroek Bemden	id=g:2796472
Hattain	id=g:2796473
Hatrival	id=g:2796474
Hatrival	id=g:2796475
Hatoufat	id=g:2796476
Bois d'Hatinne	id=g:2796477
Haterbeek	id=g:2796478
Hastroit	id=g:2796479
Hastière-par-delà	id=g:2796480
Hastière-par-delà	id=g:2796481
Hastière-Lavaux	id=g:2796482
Hastière	id=g:2796483
Hastelaar	id=g:2796484
Hassonville	id=g:2796485
Hasseltveld	id=g:2796486
Hasseltbos	id=g:2796487
Arrondissement Hasselt	id=g:2796488
Hasselt	id=g:2796489
Hasselt	id=g:2796490
Hasselt	id=g:2796491
Hasselt	id=g:2796492
Hasselstraat	id=g:2796493
Hasselshoeven	id=g:2796494
Hasselsgracht	id=g:2796495
Hasselpath	id=g:2796496
Hasselhoek	id=g:2796497
Hasselbroek	id=g:2796498
Hassel Bos	id=g:2796499
Hasselbos	id=g:2796500
Hasselbach	id=g:2796501
Haspershoven	id=g:2796502
Hasoy	id=g:2796503
Ferme de Hasoumont	id=g:2796504
Hasenvenn	id=g:2796505
Hasenell	id=g:2796506
Hasal	id=g:2796507
Harzé	id=g:2796508
Harzé	id=g:2796509
Harveng	id=g:2796510
Harveng	id=g:2796511
Harveng	id=g:2796512
Harth	id=g:2796513
Hartenge	id=g:2796514
Harsin	id=g:2796515
Harsin	id=g:2796516
Bois de Harre	id=g:2796517
Harre	id=g:2796518
Harre	id=g:2796519
Harnoncourt	id=g:2796520
Harnoncourt	id=g:2796521
Harmignies	id=g:2796522
Harmignies	id=g:2796523
Harmansart	id=g:2796524
Harlue	id=g:2796525
Harling	id=g:2796526
Harivaux	id=g:2796527
Harinsart	id=g:2796528
Haringslede	id=g:2796529
